ѝ	i
препоръчаш	prɛpoˈrɤtʃəʃ
препоръчаше	prɛpoˈrɤtʃəʃɛ
препоръчва	prɛpoˈrɤtʃvə
препоръчвай	prɛpoˈrɤtʃvəj
препоръчвайки	prɛpoˈrɤtʃvəjkʲi
препоръчвайте	prɛpoˈrɤtʃvəjt̪ɛ
препоръчвал	prɛpoˈrɤtʃvəɫ
препоръчвала	prɛpoˈrɤtʃvəɫə
препоръчвалата	prɛpoˈrɤtʃvəɫət̪ə
препоръчвали	prɛpoˈrɤtʃvəli
препоръчвалите	prɛpoˈrɤtʃvəlit̪ɛ
препоръчвалия	prɛpoˈrɤtʃvəlijə
препоръчвалият	prɛpoˈrɤtʃvəlijət̪
препоръчвало	prɛpoˈrɤtʃvəɫo̝
препоръчвалото	prɛpoˈrɤtʃvəɫo̝t̪o̝
препоръчвам	prɛpoˈrɤtʃvəm
препоръчваме	prɛpoˈrɤtʃvəmɛ
препоръчван	prɛpoˈrɤtʃvən
препоръчвана	prɛpoˈrɤtʃvənə
препоръчваната	prɛpoˈrɤtʃvənət̪ə
препоръчване	prɛpoˈrɤtʃvənɛ
препоръчванета	prɛpoˈrɤtʃvənɛt̪ə
препоръчванетата	prɛpoˈrɤtʃvənɛt̪ət̪ə
препоръчването	prɛpoˈrɤtʃvənɛt̪o̝
препоръчвани	prɛpoˈrɤtʃvəni
препоръчваните	prɛpoˈrɤtʃvənit̪ɛ
препоръчвания	prɛpoˈrɤtʃvənijə
препоръчваният	prɛpoˈrɤtʃvənijət̪
препоръчванията	prɛpoˈrɤtʃvənijət̪ə
препоръчвано	prɛpoˈrɤtʃvəno̝
препоръчваното	prɛpoˈrɤtʃvəno̝t̪o̝
препоръчват	prɛpoˈrɤtʃvət̪
препоръчвате	prɛpoˈrɤtʃvət̪ɛ
препоръчвах	prɛpoˈrɤtʃvəx
препоръчваха	prɛpoˈrɤtʃvəxə
препоръчвахме	prɛpoˈrɤtʃvəxmɛ
препоръчвахте	prɛpoˈrɤtʃvəxt̪ɛ
препоръчваш	prɛpoˈrɤtʃvəʃ
препоръчваше	prɛpoˈrɤtʃvəʃɛ
препоръчващ	prɛpoˈrɤtʃvəʃt̪
препоръчваща	prɛpoˈrɤtʃvəʃt̪ə
препоръчващата	prɛpoˈrɤtʃvəʃt̪ət̪ə
препоръчващи	prɛpoˈrɤtʃvəʃt̪i
препоръчващите	prɛpoˈrɤtʃvəʃt̪it̪ɛ
препоръчващия	prɛpoˈrɤtʃvəʃt̪ijə
препоръчващият	prɛpoˈrɤtʃvəʃt̪ijət̪
препоръчващо	prɛpoˈrɤtʃvəʃt̪o̝
препоръчващото	prɛpoˈrɤtʃvəʃt̪o̝t̪o̝
препрочел	prɛproˈtʃɛɫ
препрочела	prɛproˈtʃɛɫə
препрочелата	prɛproˈtʃɛɫət̪ə
препрочели	prɛproˈtʃɛli
препрочелите	prɛproˈtʃɛlit̪ɛ
препрочелия	prɛproˈtʃɛlijə
препрочелият	prɛproˈtʃɛlijət̪
препрочело	prɛproˈtʃɛɫo̝
препрочелото	prɛproˈtʃɛɫo̝t̪o̝
препрочета	prɛpro̝tʃɛˈt̪ɤ
препрочетат	prɛpro̝tʃɛˈt̪ɤt̪
препрочете	prɛpro̝tʃɛˈt̪ɛ
препрочете	prɛproˈtʃɛt̪ɛ
препрочетели	prɛpro̝tʃɛˈt̪ɛli
препрочетем	prɛpro̝tʃɛˈt̪ɛm
препрочетен	prɛproˈtʃɛt̪ɛn
препрочетена	prɛproˈtʃɛt̪ɛnə
препрочетената	prɛproˈtʃɛt̪ɛnət̪ə
препрочетени	prɛproˈtʃɛt̪ɛni
препрочетените	prɛproˈtʃɛt̪ɛnit̪ɛ
препрочетения	prɛproˈtʃɛt̪ɛnijə
препрочетеният	prɛproˈtʃɛt̪ɛnijət̪
препрочетено	prɛproˈtʃɛt̪ɛno̝
препрочетеното	prɛproˈtʃɛt̪ɛno̝t̪o̝
препрочетете	prɛpro̝tʃɛˈt̪ɛt̪ɛ
препрочетеш	prɛpro̝tʃɛˈt̪ɛʃ
препрочетеше	prɛpro̝tʃɛˈt̪ɛʃɛ
препрочети	prɛpro̝tʃɛˈt̪i
препрочетох	prɛproˈtʃɛt̪o̝x
препрочетоха	prɛproˈtʃɛt̪o̝xə
препрочетохме	prɛproˈtʃɛt̪o̝xmɛ
препрочетохте	prɛproˈtʃɛt̪o̝xt̪ɛ
препрочетял	prɛpro̝tʃɛˈtʲaɫ
препрочетяла	prɛpro̝tʃɛˈtʲaɫə
препрочетяло	prɛpro̝tʃɛˈtʲaɫo̝
препрочетях	prɛpro̝tʃɛˈtʲax
препрочетяха	prɛpro̝tʃɛˈtʲaxə
препрочетяхме	prɛpro̝tʃɛˈtʲaxmɛ
препрочетяхте	prɛpro̝tʃɛˈtʲaxt̪ɛ
препрочита	prɛproˈtʃit̪ə
препрочитай	prɛproˈtʃit̪əj
препрочитайки	prɛproˈtʃit̪əjkʲi
препрочитайте	prɛproˈtʃit̪əjt̪ɛ
препрочитал	prɛproˈtʃit̪əɫ
препрочитала	prɛproˈtʃit̪əɫə
препрочиталата	prɛproˈtʃit̪əɫət̪ə
препрочитали	prɛproˈtʃit̪əli
препрочиталите	prɛproˈtʃit̪əlit̪ɛ
препрочиталия	prɛproˈtʃit̪əlijə
препрочиталият	prɛproˈtʃit̪əlijət̪
препрочитало	prɛproˈtʃit̪əɫo̝
препрочиталото	prɛproˈtʃit̪əɫo̝t̪o̝
препрочитам	prɛproˈtʃit̪əm
препрочитаме	prɛproˈtʃit̪əmɛ
препрочитан	prɛproˈtʃit̪ən
препрочитана	prɛproˈtʃit̪ənə
препрочитаната	prɛproˈtʃit̪ənət̪ə
препрочитане	prɛproˈtʃit̪ənɛ
препрочитанета	prɛproˈtʃit̪ənɛt̪ə
препрочитанетата	prɛproˈtʃit̪ənɛt̪ət̪ə
препрочитането	prɛproˈtʃit̪ənɛt̪o̝
препрочитани	prɛproˈtʃit̪əni
препрочитаните	prɛproˈtʃit̪ənit̪ɛ
препрочитания	prɛproˈtʃit̪ənijə
препрочитаният	prɛproˈtʃit̪ənijət̪
препрочитанията	prɛproˈtʃit̪ənijət̪ə
препрочитано	prɛproˈtʃit̪əno̝
препрочитаното	prɛproˈtʃit̪əno̝t̪o̝
препрочитат	prɛproˈtʃit̪ət̪
препрочитате	prɛproˈtʃit̪ət̪ɛ
препрочитах	prɛproˈtʃit̪əx
препрочитаха	prɛproˈtʃit̪əxə
препрочитахме	prɛproˈtʃit̪əxmɛ
препрочитахте	prɛproˈtʃit̪əxt̪ɛ
препрочиташ	prɛproˈtʃit̪əʃ
препрочиташе	prɛproˈtʃit̪əʃɛ
препрочитащ	prɛproˈtʃit̪əʃt̪
препрочитаща	prɛproˈtʃit̪əʃt̪ə
препрочитащата	prɛproˈtʃit̪əʃt̪ət̪ə
препрочитащи	prɛproˈtʃit̪əʃt̪i
препрочитащите	prɛproˈtʃit̪əʃt̪it̪ɛ
препрочитащия	prɛproˈtʃit̪əʃt̪ijə
препрочитащият	prɛproˈtʃit̪əʃt̪ijət̪
препрочитащо	prɛproˈtʃit̪əʃt̪o̝
препрочитащото	prɛproˈtʃit̪əʃt̪o̝t̪o̝
пресен	ˈprɛsɛn
прехапа	prɛˈxapə
прехапал	prɛˈxapəɫ
прехапала	prɛˈxapəɫə
прехапалата	prɛˈxapəɫət̪ə
прехапали	prɛˈxapəli
прехапалите	prɛˈxapəlit̪ɛ
прехапалия	prɛˈxapəlijə
прехапалият	prɛˈxapəlijət̪
прехапало	prɛˈxapəɫo̝
прехапалото	prɛˈxapəɫo̝t̪o̝
прехапан	prɛˈxapən
прехапана	prɛˈxapənə
прехапаната	prɛˈxapənət̪ə
прехапани	prɛˈxapəni
прехапаните	prɛˈxapənit̪ɛ
прехапания	prɛˈxapənijə
прехапаният	prɛˈxapənijət̪
прехапано	prɛˈxapəno̝
прехапаното	prɛˈxapəno̝t̪o̝
прехапах	prɛˈxapəx
прехапаха	prɛˈxapəxə
прехапахме	prɛˈxapəxmɛ
прехапахте	prɛˈxapəxt̪ɛ
прехапва	prɛˈxapvə
прехапвай	prɛˈxapvəj
прехапвайки	prɛˈxapvəjkʲi
прехапвайте	prɛˈxapvəjt̪ɛ
прехапвал	prɛˈxapvəɫ
прехапвала	prɛˈxapvəɫə
прехапвалата	prɛˈxapvəɫət̪ə
прехапвали	prɛˈxapvəli
прехапвалите	prɛˈxapvəlit̪ɛ
прехапвалия	prɛˈxapvəlijə
прехапвалият	prɛˈxapvəlijət̪
прехапвало	prɛˈxapvəɫo̝
прехапвалото	prɛˈxapvəɫo̝t̪o̝
прехапвам	prɛˈxapvəm
прехапваме	prɛˈxapvəmɛ
прехапван	prɛˈxapvən
прехапвана	prɛˈxapvənə
прехапваната	prɛˈxapvənət̪ə
прехапване	prɛˈxapvənɛ
прехапванета	prɛˈxapvənɛt̪ə
прехапванетата	prɛˈxapvənɛt̪ət̪ə
прехапването	prɛˈxapvənɛt̪o̝
прехапвани	prɛˈxapvəni
прехапваните	prɛˈxapvənit̪ɛ
прехапвания	prɛˈxapvənijə
прехапваният	prɛˈxapvənijət̪
прехапванията	prɛˈxapvənijət̪ə
прехапвано	prɛˈxapvəno̝
прехапваното	prɛˈxapvəno̝t̪o̝
прехапват	prɛˈxapvət̪
прехапвате	prɛˈxapvət̪ɛ
прехапвах	prɛˈxapvəx
прехапваха	prɛˈxapvəxə
прехапвахме	prɛˈxapvəxmɛ
прехапвахте	prɛˈxapvəxt̪ɛ
прехапваш	prɛˈxapvəʃ
прехапваше	prɛˈxapvəʃɛ
прехапващ	prɛˈxapvəʃt̪
прехапваща	prɛˈxapvəʃt̪ə
прехапващата	prɛˈxapvəʃt̪ət̪ə
прехапващи	prɛˈxapvəʃt̪i
прехапващите	prɛˈxapvəʃt̪it̪ɛ
прехапващия	prɛˈxapvəʃt̪ijə
прехапващият	prɛˈxapvəʃt̪ijət̪
прехапващо	prɛˈxapvəʃt̪o̝
прехапващото	prɛˈxapvəʃt̪o̝t̪o̝
прехапе	prɛˈxapɛ
прехапел	prɛˈxapɛɫ
прехапела	prɛˈxapɛɫə
прехапели	prɛˈxapɛli
прехапело	prɛˈxapɛɫo̝
прехапем	prɛˈxapɛm
прехапете	prɛˈxapɛt̪ɛ
прехапете	prɛxɐˈpɛt̪ɛ
прехапех	prɛˈxapɛx
прехапеха	prɛˈxapɛxə
прехапехме	prɛˈxapɛxmɛ
прехапехте	prɛˈxapɛxt̪ɛ
прехапеш	prɛˈxapɛʃ
прехапеше	prɛˈxapɛʃɛ
прехапи	prɛxɐˈpi
прехапя	prɛˈxapʲə
прехапят	prɛˈxapʲət̪
пречупвам	prɛˈtʃupvəm
пречупя	prɛˈtʃupʲə
привнася	priˈvnasʲə
привнасяй	priˈvnasʲəj
привнасяйки	priˈvnasʲəjkʲi
привнасяйте	priˈvnasʲəjt̪ɛ
привнасял	priˈvnasʲəɫ
привнасяла	priˈvnasʲəɫə
привнасялата	priˈvnasʲəɫət̪ə
привнасяли	priˈvnasʲəli
привнасялите	priˈvnasʲəlit̪ɛ
привнасялия	priˈvnasʲəlijə
привнасялият	priˈvnasʲəlijət̪
привнасяло	priˈvnasʲəɫo̝
привнасялото	priˈvnasʲəɫo̝t̪o̝
привнасям	priˈvnasʲəm
привнасяме	priˈvnasʲəmɛ
привнасян	priˈvnasʲən
привнасяна	priˈvnasʲənə
привнасяната	priˈvnasʲənət̪ə
привнасяне	priˈvnasʲənɛ
привнасянета	priˈvnasʲənɛt̪ə
привнасянетата	priˈvnasʲənɛt̪ət̪ə
привнасянето	priˈvnasʲənɛt̪o̝
привнасяни	priˈvnasʲəni
привнасяните	priˈvnasʲənit̪ɛ
привнасяния	priˈvnasʲənijə
привнасяният	priˈvnasʲənijət̪
привнасянията	priˈvnasʲənijət̪ə
привнасяно	priˈvnasʲəno̝
привнасяното	priˈvnasʲəno̝t̪o̝
привнасят	priˈvnasʲət̪
привнасяте	priˈvnasʲət̪ɛ
привнасях	priˈvnasʲəx
привнасяха	priˈvnasʲəxə
привнасяхме	priˈvnasʲəxmɛ
привнасяхте	priˈvnasʲəxt̪ɛ
привнасяш	priˈvnasʲəʃ
привнасяше	priˈvnasʲəʃɛ
привнасящ	priˈvnasʲəʃt̪
привнасяща	priˈvnasʲəʃt̪ə
привнасящата	priˈvnasʲəʃt̪ət̪ə
привнасящи	priˈvnasʲəʃt̪i
привнасящите	priˈvnasʲəʃt̪it̪ɛ
привнасящия	priˈvnasʲəʃt̪ijə
привнасящият	priˈvnasʲəʃt̪ijət̪
привнасящо	priˈvnasʲəʃt̪o̝
привнасящото	priˈvnasʲəʃt̪o̝t̪o̝
привнеса	privnɛˈsɤ
привнесат	privnɛˈsɤt̪
привнесе	privnɛˈsɛ
привнесе	priˈvnɛsɛ
привнесели	privnɛˈsɛli
привнесем	privnɛˈsɛm
привнесен	priˈvnɛsɛn
привнесена	priˈvnɛsɛnə
привнесената	priˈvnɛsɛnət̪ə
привнесени	priˈvnɛsɛni
привнесените	priˈvnɛsɛnit̪ɛ
привнесения	priˈvnɛsɛnijə
привнесеният	priˈvnɛsɛnijət̪
привнесено	priˈvnɛsɛno̝
привнесеното	priˈvnɛsɛno̝t̪o̝
привнесете	privnɛˈsɛt̪ɛ
привнесеш	privnɛˈsɛʃ
привнесеше	privnɛˈsɛʃɛ
привнеси	privnɛˈsi
привнесла	priˈvnɛsɫə
привнеслата	priˈvnɛsɫət̪ə
привнесли	priˈvnɛsli
привнеслите	priˈvnɛslit̪ɛ
привнеслия	priˈvnɛslijə
привнеслият	priˈvnɛslijət̪
привнесло	priˈvnɛsɫo̝
привнеслото	priˈvnɛsɫo̝t̪o̝
привнесох	priˈvnɛso̝x
привнесоха	priˈvnɛso̝xə
привнесохме	priˈvnɛso̝xmɛ
привнесохте	priˈvnɛso̝xt̪ɛ
привнесъл	priˈvnɛsəɫ
привнесял	privnɛˈsʲaɫ
привнесяла	privnɛˈsʲaɫə
привнесяло	privnɛˈsʲaɫo̝
привнесях	privnɛˈsʲax
привнесяха	privnɛˈsʲaxə
привнесяхме	privnɛˈsʲaxmɛ
привнесяхте	privnɛˈsʲaxt̪ɛ
прилагателно	priləˈɡatɛlnɔ
приложимост	priloˈʒimost
примира	priˈmiɾə
примирай	priˈmiɾəj
примирайки	priˈmiɾəjkʲi
примирайте	priˈmiɾəjt̪ɛ
примирал	priˈmiɾəɫ
примирала	priˈmiɾəɫə
примиралата	priˈmiɾəɫət̪ə
примирали	priˈmiɾəli
примиралите	priˈmiɾəlit̪ɛ
примиралия	priˈmiɾəlijə
примиралият	priˈmiɾəlijət̪
примирало	priˈmiɾəɫo̝
примиралото	priˈmiɾəɫo̝t̪o̝
примирам	priˈmiɾəm
примираме	priˈmiɾəmɛ
примиране	priˈmiɾənɛ
примиранета	priˈmiɾənɛt̪ə
примиранетата	priˈmiɾənɛt̪ət̪ə
примирането	priˈmiɾənɛt̪o̝
примирания	priˈmiɾənijə
примиранията	priˈmiɾənijət̪ə
примират	priˈmiɾət̪
примирате	priˈmiɾət̪ɛ
примирах	priˈmiɾəx
примираха	priˈmiɾəxə
примирахме	priˈmiɾəxmɛ
примирахте	priˈmiɾəxt̪ɛ
примираш	priˈmiɾəʃ
примираше	priˈmiɾəʃɛ
примиращ	priˈmiɾəʃt̪
примираща	priˈmiɾəʃt̪ə
примиращата	priˈmiɾəʃt̪ət̪ə
примиращи	priˈmiɾəʃt̪i
примиращите	priˈmiɾəʃt̪it̪ɛ
примиращия	priˈmiɾəʃt̪ijə
примиращият	priˈmiɾəʃt̪ijət̪
примиращо	priˈmiɾəʃt̪o̝
примиращото	priˈmiɾəʃt̪o̝t̪o̝
примра	priˈmrɤ
примрат	priˈmrɤt̪
примре	priˈmrɛ
примрели	priˈmrɛli
примрелите	priˈmrɛlit̪ɛ
примрелия	priˈmrɛlijə
примрелият	priˈmrɛlijət̪
примрем	priˈmrɛm
примрете	priˈmrɛt̪ɛ
примреш	priˈmrɛʃ
примреше	priˈmrɛʃɛ
примри	priˈmri
примря	priˈmrʲa
примрял	priˈmrʲaɫ
примряла	priˈmrʲaɫə
примрялата	priˈmrʲaɫət̪ə
примряло	priˈmrʲaɫo̝
примрялото	priˈmrʲaɫo̝t̪o̝
примрях	priˈmrʲax
примряха	priˈmrʲaxə
примряхме	priˈmrʲaxmɛ
примряхте	priˈmrʲaxt̪ɛ
принася	priˈnasʲə
принасяй	priˈnasʲəj
принасяйки	priˈnasʲəjkʲi
принасяйте	priˈnasʲəjt̪ɛ
принасял	priˈnasʲəɫ
принасяла	priˈnasʲəɫə
принасялата	priˈnasʲəɫət̪ə
принасяли	priˈnasʲəli
принасялите	priˈnasʲəlit̪ɛ
принасялия	priˈnasʲəlijə
принасялият	priˈnasʲəlijət̪
принасяло	priˈnasʲəɫo̝
принасялото	priˈnasʲəɫo̝t̪o̝
принасям	priˈnasʲəm
принасяме	priˈnasʲəmɛ
принасян	priˈnasʲən
принасяна	priˈnasʲənə
принасяната	priˈnasʲənət̪ə
принасяне	priˈnasʲənɛ
принасянета	priˈnasʲənɛt̪ə
принасянетата	priˈnasʲənɛt̪ət̪ə
принасянето	priˈnasʲənɛt̪o̝
принасяни	priˈnasʲəni
принасяните	priˈnasʲənit̪ɛ
принасяния	priˈnasʲənijə
принасяният	priˈnasʲənijət̪
принасянията	priˈnasʲənijət̪ə
принасяно	priˈnasʲəno̝
принасяното	priˈnasʲəno̝t̪o̝
принасят	priˈnasʲət̪
принасяте	priˈnasʲət̪ɛ
принасях	priˈnasʲəx
принасяха	priˈnasʲəxə
принасяхме	priˈnasʲəxmɛ
принасяхте	priˈnasʲəxt̪ɛ
принасяш	priˈnasʲəʃ
принасяше	priˈnasʲəʃɛ
принасящ	priˈnasʲəʃt̪
принасяща	priˈnasʲəʃt̪ə
принасящата	priˈnasʲəʃt̪ət̪ə
принасящи	priˈnasʲəʃt̪i
принасящите	priˈnasʲəʃt̪it̪ɛ
принасящия	priˈnasʲəʃt̪ijə
принасящият	priˈnasʲəʃt̪ijət̪
принасящо	priˈnasʲəʃt̪o̝
принасящото	priˈnasʲəʃt̪o̝t̪o̝
принеса	prinɛˈsɤ
принесат	prinɛˈsɤt̪
принесе	prinɛˈsɛ
принесе	priˈnɛsɛ
принесели	prinɛˈsɛli
принесем	prinɛˈsɛm
принесен	priˈnɛsɛn
принесена	priˈnɛsɛnə
принесената	priˈnɛsɛnət̪ə
принесени	priˈnɛsɛni
принесените	priˈnɛsɛnit̪ɛ
принесения	priˈnɛsɛnijə
принесеният	priˈnɛsɛnijət̪
принесено	priˈnɛsɛno̝
принесеното	priˈnɛsɛno̝t̪o̝
принесете	prinɛˈsɛt̪ɛ
принесеш	prinɛˈsɛʃ
принесеше	prinɛˈsɛʃɛ
принеси	prinɛˈsi
принесла	priˈnɛsɫə
принеслата	priˈnɛsɫət̪ə
принесли	priˈnɛsli
принеслите	priˈnɛslit̪ɛ
принеслия	priˈnɛslijə
принеслият	priˈnɛslijət̪
принесло	priˈnɛsɫo̝
принеслото	priˈnɛsɫo̝t̪o̝
принесох	priˈnɛso̝x
принесоха	priˈnɛso̝xə
принесохме	priˈnɛso̝xmɛ
принесохте	priˈnɛso̝xt̪ɛ
принесъл	priˈnɛsəɫ
принесял	prinɛˈsʲaɫ
принесяла	prinɛˈsʲaɫə
принесяло	prinɛˈsʲaɫo̝
принесях	prinɛˈsʲax
принесяха	prinɛˈsʲaxə
принесяхме	prinɛˈsʲaxmɛ
принесяхте	prinɛˈsʲaxt̪ɛ
принудел	priˈnud̪ɛɫ
принудела	priˈnud̪ɛɫə
принудели	priˈnud̪ɛli
принудело	priˈnud̪ɛɫo̝
принуден	priˈnud̪ɛn
принудена	priˈnud̪ɛnə
принудената	priˈnud̪ɛnət̪ə
принудени	priˈnud̪ɛni
принудените	priˈnud̪ɛnit̪ɛ
принудения	priˈnud̪ɛnijə
принуденият	priˈnud̪ɛnijət̪
принудено	priˈnud̪ɛno̝
принуденото	priˈnud̪ɛno̝t̪o̝
принудете	prinoˈd̪ɛt̪ɛ
принудех	priˈnud̪ɛx
принудеха	priˈnud̪ɛxə
принудехме	priˈnud̪ɛxmɛ
принудехте	priˈnud̪ɛxt̪ɛ
принудеше	priˈnud̪ɛʃɛ
принуди	priˈnud̪i
принуди	prinoˈd̪i
принудил	priˈnud̪iɫ
принудила	priˈnud̪iɫə
принудилата	priˈnud̪iɫət̪ə
принудили	priˈnud̪ili
принудилите	priˈnud̪ilit̪ɛ
принудилия	priˈnud̪ilijə
принудилият	priˈnud̪ilijət̪
принудило	priˈnud̪iɫo̝
принудилото	priˈnud̪iɫo̝t̪o̝
принудим	priˈnud̪im
принудите	priˈnud̪it̪ɛ
принудих	priˈnud̪ix
принудиха	priˈnud̪ixə
принудихме	priˈnud̪ixmɛ
принудихте	priˈnud̪ixt̪ɛ
принудиш	priˈnud̪iʃ
принудя	priˈnudʲə
принудят	priˈnudʲət̪
принуждава	prinoʒˈd̪avə
принуждавай	prinoʒˈd̪avəj
принуждавайки	prinoʒˈd̪avəjkʲi
принуждавайте	prinoʒˈd̪avəjt̪ɛ
принуждавал	prinoʒˈd̪avəɫ
принуждавала	prinoʒˈd̪avəɫə
принуждавалата	prinoʒˈd̪avəɫət̪ə
принуждавали	prinoʒˈd̪avəli
принуждавалите	prinoʒˈd̪avəlit̪ɛ
принуждавалия	prinoʒˈd̪avəlijə
принуждавалият	prinoʒˈd̪avəlijət̪
принуждавало	prinoʒˈd̪avəɫo̝
принуждавалото	prinoʒˈd̪avəɫo̝t̪o̝
принуждавам	prinoʒˈd̪avəm
принуждаваме	prinoʒˈd̪avəmɛ
принуждаван	prinoʒˈd̪avən
принуждавана	prinoʒˈd̪avənə
принуждаваната	prinoʒˈd̪avənət̪ə
принуждаване	prinoʒˈd̪avənɛ
принуждаванета	prinoʒˈd̪avənɛt̪ə
принуждаванетата	prinoʒˈd̪avənɛt̪ət̪ə
принуждаването	prinoʒˈd̪avənɛt̪o̝
принуждавани	prinoʒˈd̪avəni
принуждаваните	prinoʒˈd̪avənit̪ɛ
принуждавания	prinoʒˈd̪avənijə
принуждаваният	prinoʒˈd̪avənijət̪
принуждаванията	prinoʒˈd̪avənijət̪ə
принуждавано	prinoʒˈd̪avəno̝
принуждаваното	prinoʒˈd̪avəno̝t̪o̝
принуждават	prinoʒˈd̪avət̪
принуждавате	prinoʒˈd̪avət̪ɛ
принуждавах	prinoʒˈd̪avəx
принуждаваха	prinoʒˈd̪avəxə
принуждавахме	prinoʒˈd̪avəxmɛ
принуждавахте	prinoʒˈd̪avəxt̪ɛ
принуждаваш	prinoʒˈd̪avəʃ
принуждаваше	prinoʒˈd̪avəʃɛ
принуждаващ	prinoʒˈd̪avəʃt̪
принуждаваща	prinoʒˈd̪avəʃt̪ə
принуждаващата	prinoʒˈd̪avəʃt̪ət̪ə
принуждаващи	prinoʒˈd̪avəʃt̪i
принуждаващите	prinoʒˈd̪avəʃt̪it̪ɛ
принуждаващия	prinoʒˈd̪avəʃt̪ijə
принуждаващият	prinoʒˈd̪avəʃt̪ijət̪
принуждаващо	prinoʒˈd̪avəʃt̪o̝
принуждаващото	prinoʒˈd̪avəʃt̪o̝t̪o̝
припада	priˈpad̪ə
припадай	priˈpad̪əj
припадайки	priˈpad̪əjkʲi
припадайте	priˈpad̪əjt̪ɛ
припадал	priˈpad̪əɫ
припадала	priˈpad̪əɫə
припадалата	priˈpad̪əɫət̪ə
припадали	priˈpad̪əli
припадалите	priˈpad̪əlit̪ɛ
припадалия	priˈpad̪əlijə
припадалият	priˈpad̪əlijət̪
припадало	priˈpad̪əɫo̝
припадалото	priˈpad̪əɫo̝t̪o̝
припадам	priˈpad̪əm
припадаме	priˈpad̪əmɛ
припадане	priˈpad̪ənɛ
припаданета	priˈpad̪ənɛt̪ə
припаданетата	priˈpad̪ənɛt̪ət̪ə
припадането	priˈpad̪ənɛt̪o̝
припадания	priˈpad̪ənijə
припаданията	priˈpad̪ənijət̪ə
припадат	priˈpad̪ət̪
припадате	priˈpad̪ət̪ɛ
припадах	priˈpad̪əx
припадаха	priˈpad̪əxə
припадахме	priˈpad̪əxmɛ
припадахте	priˈpad̪əxt̪ɛ
припадаш	priˈpad̪əʃ
припадаше	priˈpad̪əʃɛ
припадащ	priˈpad̪əʃt̪
припадаща	priˈpad̪əʃt̪ə
припадащата	priˈpad̪əʃt̪ət̪ə
припадащи	priˈpad̪əʃt̪i
припадащите	priˈpad̪əʃt̪it̪ɛ
припадащия	priˈpad̪əʃt̪ijə
припадащият	priˈpad̪əʃt̪ijət̪
припадащо	priˈpad̪əʃt̪o̝
припадащото	priˈpad̪əʃt̪o̝t̪o̝
припадна	priˈpad̪nə
припаднал	priˈpad̪nəɫ
припаднала	priˈpad̪nəɫə
припадналата	priˈpad̪nəɫət̪ə
припаднали	priˈpad̪nəli
припадналите	priˈpad̪nəlit̪ɛ
припадналия	priˈpad̪nəlijə
припадналият	priˈpad̪nəlijət̪
припаднало	priˈpad̪nəɫo̝
припадналото	priˈpad̪nəɫo̝t̪o̝
припаднат	priˈpad̪nət̪
припаднах	priˈpad̪nəx
припаднаха	priˈpad̪nəxə
припаднахме	priˈpad̪nəxmɛ
припаднахте	priˈpad̪nəxt̪ɛ
припадне	priˈpad̪nɛ
припаднел	priˈpad̪nɛɫ
припаднела	priˈpad̪nɛɫə
припаднели	priˈpad̪nɛli
припаднело	priˈpad̪nɛɫo̝
припаднем	priˈpad̪nɛm
припаднете	priˈpad̪nɛt̪ɛ
припаднете	pripɐd̪ˈnɛt̪ɛ
припаднех	priˈpad̪nɛx
припаднеха	priˈpad̪nɛxə
припаднехме	priˈpad̪nɛxmɛ
припаднехте	priˈpad̪nɛxt̪ɛ
припаднеш	priˈpad̪nɛʃ
припаднеше	priˈpad̪nɛʃɛ
припадни	pripɐd̪ˈni
припека	pripɛˈkɤ
припекат	pripɛˈkɤt̪
припекла	priˈpɛkɫə
припеклата	priˈpɛkɫət̪ə
припекли	priˈpɛkli
припеклите	priˈpɛklit̪ɛ
припеклия	priˈpɛklijə
припеклият	priˈpɛklijət̪
припекло	priˈpɛkɫo̝
припеклото	priˈpɛkɫo̝t̪o̝
припекох	priˈpɛko̝x
припекоха	priˈpɛko̝xə
припекохме	priˈpɛko̝xmɛ
припекохте	priˈpɛko̝xt̪ɛ
припекъл	priˈpɛkəɫ
припечал	pripɛˈtʃaɫ
припечала	pripɛˈtʃaɫə
припечали	pripɛˈtʃali
припечало	pripɛˈtʃaɫo̝
припечах	pripɛˈtʃax
припечаха	pripɛˈtʃaxə
припечахме	pripɛˈtʃaxmɛ
припечахте	pripɛˈtʃaxt̪ɛ
припече	pripɛˈtʃɛ
припече	priˈpɛtʃɛ
припечел	pripɛˈtʃɛɫ
припечела	pripɛˈtʃɛɫə
припечели	pripɛˈtʃɛli
припечело	pripɛˈtʃɛɫo̝
припечем	pripɛˈtʃɛm
припечен	priˈpɛtʃɛn
припечена	priˈpɛtʃɛnə
припечената	priˈpɛtʃɛnət̪ə
припечени	priˈpɛtʃɛni
припечените	priˈpɛtʃɛnit̪ɛ
припечения	priˈpɛtʃɛnijə
припеченият	priˈpɛtʃɛnijət̪
припечено	priˈpɛtʃɛno̝
припеченото	priˈpɛtʃɛno̝t̪o̝
припечете	pripɛˈtʃɛt̪ɛ
припечех	pripɛˈtʃɛx
припечеха	pripɛˈtʃɛxə
припечехме	pripɛˈtʃɛxmɛ
припечехте	pripɛˈtʃɛxt̪ɛ
припечеш	pripɛˈtʃɛʃ
припечеше	pripɛˈtʃɛʃɛ
припечи	pripɛˈtʃi
припира	priˈpiɾə
припирай	priˈpiɾəj
