aalenian	aːlenian
seducție	sedukt͡sie
sedus	sedus
seduse	seduse
senzualitate	senzualitate
sept	sept
serenadă	serenadə
serenade	serenade
seri	serʲ
serii	seriː
serile	serile
serilor	serilor
seșă	seʃə
sexe	sekse
sexologie	seksolodʒie
sexual	seksual
sexuala	seksuala
sexuală	seksualə
sexuale	seksuale
sexualei	seksualej
sexualele	seksualele
sexualelor	seksualelor
sexuali	seksualʲ
sexualii	seksualij
sexualilor	seksualilor
sexualul	seksualul
sexualul	seksualu
sexualului	seksualuluj
sexy	seksi
sfânt	sfɨnt
sfânta	sfɨnta
sfântă	sfɨntə
sfârc	sfɨrk
sfârșea	sfɨrʃja
sfârșeai	sfɨrʃjaj
sfârșeam	sfɨrʃjam
sfârșească	sfɨrʃjaskə
sfârșeați	sfɨrʃjatsʲ
sfârșeau	sfɨrʃjaw
sfârșesc	sfɨrʃesk
sfârșește	sfɨrʃeʃte
sfârșești	sfɨrʃeʃtʲ
sfârși	sfɨrʃi
sfârșii	sfɨrʃiː
sfârșim	sfɨrʃim
sfârșind	sfɨrʃind
sfârșiră	sfɨrʃirə
sfârșirăm	sfɨrʃirəm
sfârșirăți	sfɨrʃirətsʲ
sfârșise	sfɨrʃise
sfârșisem	sfɨrʃisem
sfârșiseră	sfɨrʃiserə
sfârșiserăm	sfɨrʃiserəm
sfârșiserăți	sfɨrʃiserətsʲ
sfârșiseși	sfɨrʃiseʃʲ
sfârșiși	sfɨrʃiʃʲ
sfârșit	sfɨrʃit
sfârșita	sfɨrʃita
sfârșită	sfɨrʃitə
sfârșite	sfɨrʃite
sfârșitei	sfɨrʃitej
sfârșitele	sfɨrʃitele
sfârșitelor	sfɨrʃitelor
sfârșitul	sfɨrʃitul
sfârșitul	sfɨrʃitu
sfârșitului	sfɨrʃituluj
sfârșiți	sfɨrʃit͡sʲ
sfârșiții	sfɨrʃit͡siː
sfârșiților	sfɨrʃit͡silor
sfinx	sfinks
siberia	siberia
sicriu	sikriw
sigur	siɡur
simionescu	simionesku
simpla	simpla
simplă	simplə
simple	simple
simpli	simpli
simplifica	simplifika
simplitate	simplitate
simplu	simplu
simți	simtsi
simulare	simulare
sinagogă	sinaɡoɡə
sinistra	sinistra
sinistre	sinistre
slab	slab
sloboz	sloboz
slobozi	slobozi
slobozi	slobozʲ
slovac	slovak
slovacă	slovakə
sloven	sloven
slovena	slovena
slovenă	slovenə
slovene	slovene
slovenei	slovenej
slovenele	slovenele
slovenelor	slovenelor
sloveni	slovenʲ
slovenia	slovenia
sloveniei	sloveniej
slovenii	slovenij
slovenilor	slovenilor
slovenul	slovenul
slovenul	slovenu
slovenului	slovenuluj
smârc	smɨrk
smochină	smokinə
soare	so̯are
soarele	swarele
soarelui	swareluj
soartă	swartə
sobă	sobə
socializa	sot͡ʃializa
sodomist	sodomist
sodomit	sodomit
sodomiza	sodomiza
sodomizai	sodomizaj
sodomizam	sodomizam
sodomizară	sodomizarə
sodomizarăm	sodomizarəm
sodomizarăți	sodomizarət͡sʲ
sodomizase	sodomizase
sodomizasem	sodomizasem
sodomizaseră	sodomizaserə
sodomizaserăm	sodomizaserəm
sodomizaserăți	sodomizaserət͡sʲ
sodomizaseși	sodomizaseʃʲ
sodomizași	sodomizaʃʲ
sodomizat	sodomizat
sodomizata	sodomizata
sodomizată	sodomizatə
sodomizate	sodomizate
sodomizatei	sodomizatej
sodomizatele	sodomizatele
sodomizatelor	sodomizatelor
sodomizatul	sodomizatul
sodomizatul	sodomizatu
sodomizatului	sodomizatuluj
sodomizați	sodomizat͡sʲ
sodomizații	sodomizat͡siː
sodomizaților	sodomizat͡silor
sodomizau	sodomizaw
sodomiză	sodomizə
sodomizăm	sodomizəm
sodomizând	sodomizɨnd
sodomizează	sodomizʲazə
sodomizez	sodomizez
sodomizeze	sodomizeze
sodomizezi	sodomizezʲ
soli	solʲ
soliditate	soliditate
somai	somaj
somam	somam
somară	somarə
somarăm	somarəm
somarăți	somarətsʲ
somase	somase
somasem	somasem
somaseră	somaserə
somaserăm	somaserəm
somaserăți	somaserətsʲ
somaseși	somaseʃʲ
somași	somaʃʲ
somați	somat͡sʲ
somau	somaw
somă	somə
somăm	soməm
somând	somɨnd
somează	somjazə
somez	somez
someze	someze
somezi	somezʲ
somnambul	somnambul
somnambulist	somnambulist
somnambuliști	somnambuliʃtʲ
somnifer	somnifeɾ
sonată	sonatə
sonet	sonet
soporifer	soporifer
soră	sorə
sorii	soriʲ
sorilor	sorilor
sorin	sorin
sorina	sorina
soț	sots
soțul	sot͡sul
soțul	sot͡su
spania	spanja
spaniolește	spanioleʃte
spargi	spard͡ʒʲ
specialitate	spet͡ʃialitate
specific	spet͡ʃifik
specificitate	spet͡ʃifit͡ʃitate
spectral	spektral
spectre	spektre
spectru	spektru
sper	sper
sperai	speraj
spere	spere
speri	sperʲ
sperma	sperma
spermă	spɛrmə
sperme	sperme
spermei	spermej
spermele	spermele
spermelor	spermelor
spital	spital
spor	spor
spovedea	spovedja
spovedeai	spovedjaj
spovedeam	spovedjam
spovedească	spovedjaskə
spovedeați	spovedjatsʲ
spovedeau	spovedjaw
spovedesc	spovedesk
spovedește	spovedeʃte
spovedești	spovedeʃtʲ
spovedi	spovedi
spovedii	spovediː
spovedim	spovedim
spovedind	spovedind
spovediră	spovedirə
spovedirăm	spovedirəm
spovedirăți	spovedirətsʲ
spovedise	spovedise
spovedisem	spovedisem
spovediseră	spovediserə
spovediserăm	spovediserəm
spovediserăți	spovediserətsʲ
spovediseși	spovediseʃʲ
spovediși	spovediʃʲ
spovedit	spovedit
spovedita	spovedita
spovedită	spoveditə
spovedite	spovedite
spoveditei	spoveditej
spoveditele	spoveditele
spoveditelor	spoveditelor
spoveditul	spoveditul
spoveditul	spoveditu
spoveditului	spovedituluj
spovediți	spovedit͡sʲ
spovediții	spovedit͡siː
spovediților	spovedit͡silor
sprânceană	sprɨntʃjænə
sprâncene	sprɨntʃene
spre	spre
spui	spuj
spun	spun
stăpân	stəpɨn
stele	stele
stimul	stimul
stimula	stimula
stimulai	stimulaj
stimulam	stimulam
stimulară	stimularə
stimularăm	stimularəm
stimularăți	stimularətsʲ
stimulase	stimulase
stimulasem	stimulasem
stimulaseră	stimulaserə
stimulaserăm	stimulaserəm
stimulaserăți	stimulaserətsʲ
stimulaseși	stimulaseʃʲ
stimulași	stimulaʃʲ
stimulat	stimulat
stimulați	stimulat͡sʲ
stimulau	stimulaw
stimulă	stimulə
stimulăm	stimuləm
stimulând	stimulɨnd
stimulează	stimuljazə
stimulez	stimulez
stimuleze	stimuleze
stimulezi	stimulezʲ
stimuli	stimulʲ
stomac	stomac
stradă	stradə
străluc	strəluk
străluci	strəlutʃi
străluci	strəlutʃʲ
strungă	strunɡə
studia	studia
studiai	studjaj
studie	studje
stupid	stupid
stupide	stupide
stupiditate	stupiditate
stupidități	stupiditət͡sʲ
sturz	sturz
subraț	subrats
substantive	substantive
substanță	substant͡sə
substanțe	substant͡se
subsuoară	subsuwarə
suc	suk
suedez	suedez
suedeză	suedezə
suedezi	suedezʲ
sufăr	sufər
suferi	suferi
suferi	suferʲ
suferi	suferi
suferință	suferintsə
sufix	sufiks
suflet	suflet
suflete	suflete
sufletele	sufletele
sufletelor	sufletelor
sufletul	sufletul
sufletul	sufletu
sufletului	sufletuluj
sug	suɡ
sugă	suɡə
sugând	suɡɨnd
sugea	sud͡ʒe̯a
sugeai	sud͡ʒe̯aj
sugeam	sud͡ʒe̯am
sugeați	sud͡ʒe̯at͡sʲ
sugeau	sud͡ʒe̯aw
sugem	sud͡ʒem
sugere	sud͡ʒere
sugeți	sud͡ʒet͡sʲ
sugi	sud͡ʒʲ
sumer	sumeɾ
sunet	sunet
sunete	sunete
sunetele	sunetele
sunetelor	sunetelor
sunetul	sunetul
sunetul	sunetu
sunetului	sunetuluʲ
sunt	sunt
sunt	sɨnt
suntem	suntem
suntem	suntem
sunteți	suntet͡sʲ
sunteți	sɨntet͡sʲ
supse	supse
supsei	supsej
supseră	supserə
supserăm	supserəm
supserăți	supserət͡sʲ
supsese	supsese
supsesem	supsesem
supseseră	supseserə
supseserăm	supseserəm
supseserăți	supseserət͡sʲ
supseseși	supseseʃʲ
supseși	supseʃʲ
supt	supt
surori	surorʲ
susur	susur
susurare	susurare
susure	susure
suveran	suveɾan
șabat	ʃabat
șacal	ʃakal
șal	ʃal
șansă	ʃansə
șanse	ʃanse
șantaj	ʃantaʒ
șantaja	ʃantaʒa
șantajai	ʃantaʒaj
șantajam	ʃantaʒam
șantajară	ʃantaʒarə
șantajarăm	ʃantaʒarəm
șantajarăți	ʃantaʒarət͡sʲ
șantajase	ʃantaʒase
șantajasem	ʃantaʒasem
șantajaseră	ʃantaʒaserə
șantajaserăm	ʃantaʒaserəm
șantajaserăți	ʃantaʒaserət͡sʲ
șantajaseși	ʃantaʒaseʃʲ
șantajași	ʃantaʒaʃʲ
șantajat	ʃantaʒat
șantajata	ʃantaʒata
șantajată	ʃantaʒatə
șantajate	ʃantaʒate
șantajatei	ʃantaʒatej
șantajatele	ʃantaʒatele
șantajatelor	ʃantaʒatelor
șantajatul	ʃantaʒatul
șantajatul	ʃantaʒatu
șantajatului	ʃantaʒatuluj
șantajați	ʃantaʒat͡sʲ
șantajații	ʃantaʒat͡siː
șantajaților	ʃantaʒat͡silor
șantajau	ʃantaʒaw
șantajă	ʃantaʒə
șantajăm	ʃantaʒəm
șantajând	ʃantaʒɨnd
șantaje	ʃantaʒe
șantajează	ʃantaʒjazə
șantajele	ʃantaʒele
șantajelor	ʃantaʒelor
șantajez	ʃantaʒez
șantajeze	ʃantaʒeze
șantajezi	ʃantaʒezʲ
șantajist	ʃantaʒist
șantajista	ʃantaʒista
șantajistă	ʃantaʒistə
șantajiste	ʃantaʒiste
șantajistei	ʃantaʒistej
șantajistele	ʃantaʒistele
șantajistelor	ʃantaʒistelor
șantajistul	ʃantaʒistul
șantajistul	ʃantaʒistu
șantajistului	ʃantaʒistuluj
șantajiști	ʃantaʒiʃtʲ
șantajiștii	ʃantaʒiʃtiː
șantajiștilor	ʃantaʒiʃtilor
șantajul	ʃantaʒul
șantajul	ʃantaʒu
șantajului	ʃantaʒuluj
șantajuri	ʃantaʒurʲ
șantajurile	ʃantaʒurile
șantajurilor	ʃantaʒurilor
șapte	ʃapte
șarpe	ʃarpe
șase	ʃase
școală	ʃko̯alə
și	ʃi
șmecherie	ʃmekerie
șoaptă	ʃo̯aptə
șoptea	ʃoptja
șopteai	ʃoptjaj
șopteam	ʃoptjam
șoptească	ʃoptjaskə
șopteați	ʃoptjatsʲ
șopteau	ʃoptjaw
șoptesc	ʃoptesk
șoptește	ʃopteʃte
șoptești	ʃopteʃtʲ
șopti	ʃopti
șoptii	ʃoptiː
șoptim	ʃoptim
șoptind	ʃoptind
șoptiră	ʃoptirə
șoptirăm	ʃoptirəm
șoptirăți	ʃoptirətsʲ
șoptise	ʃoptise
șoptisem	ʃoptisem
șoptiseră	ʃoptiserə
șoptiserăm	ʃoptiserəm
șoptiserăți	ʃoptiserətsʲ
șoptiseși	ʃoptiseʃʲ
șoptiși	ʃoptiʃʲ
șoptit	ʃoptit
șoptita	ʃoptita
șoptită	ʃoptitə
șoptite	ʃoptite
șoptitei	ʃoptitej
șoptitele	ʃoptitele
șoptitelor	ʃoptitelor
șoptitul	ʃoptitul
șoptitul	ʃoptitu
șoptitului	ʃoptituluj
șoptiți	ʃoptit͡sʲ
șoptiții	ʃoptit͡siː
șoptiților	ʃoptit͡silor
ștefănescu	ʃtefənesku
ști	ʃti
știe	ʃtie
știi	ʃtiː
știință	ʃtiint͡sə
știm	ʃtim
știți	ʃtit͡sʲ
știu	ʃtiu
șurubelniță	ʃurubelnitsə
tai	taj
tale	tale
tare	tare
tari	tarʲ
tastatura	tastatura
tastatură	tastaturə
tată	tatə
tatăl	tatəl
tatălui	tatəluj
tatua	tatua
tatuai	tatuaj
tatuaj	tatuaʒ
tatuaje	tatwaʒe
tatuajele	tatuaʒele
tatuajelor	tatuaʒelor
tatuajul	tatuaʒul
tatuajul	tatuaʒul
tatuajului	tatuaʒuluj
tatuam	tatuam
tatuară	tatuarə
tatuarăm	tatuarəm
tatuarăți	tatuarətsʲ
tatuase	tatuase
tatuasem	tatuasem
tatuaseră	tatuaserə
tatuaserăm	tatuaserəm
tatuaserăți	tatuaserətsʲ
tatuaseși	tatuaseʃʲ
tatuași	tatuaʃʲ
tatuat	tatuat
tatuați	tatuat͡sʲ
tatuau	tatuaw
tatuă	tatuə
tatuăm	tatuəm
tatuând	tatuɨnd
tatuează	tatujazə
tatuez	tatuez
tatueze	tatueze
tatuezi	tatuezʲ
tați	tatsʲ
tații	tat͡siʲ
taților	tat͡silor
tătărușanu	tətəruʃanu
tânăr	tɨnər
tânji	tɨnʒi
teatru	te̯atru
telega	telɛɡa
temelie	temelie
tentai	tentaj
tentam	tentam
tentant	tentant
tentantă	tentantə
tentante	tentante
tentanți	tentant͡sʲ
tentară	tentarə
tentarăm	tentarəm
tentarăți	tentarətsʲ
tentase	tentase
tentasem	tentasem
tentaseră	tentaserə
tentaserăm	tentaserəm
tentaserăți	tentaserətsʲ
tentaseși	tentaseʃʲ
tentași	tentaʃʲ
tentat	tentat
tentați	tentat͡sʲ
tentau	tentaw
tentă	tentə
tentăm	tentəm
tentând	tentɨnd
tentează	tentjazə
tentez	tentez
tenteze	tenteze
tentezi	tentezʲ
terminai	terminaj
terminase	terminase
terminasem	terminasem
terminaseră	terminaserə
terminaserăm	terminaserəm
termine	termine
testicul	testikul
testicule	testikule
testiculul	testikulul
testiculul	testikulu
testosteron	testosteron
timp	timp
timpuri	timpurʲ
tipe	tipe
tiran	tiran
toi	toj
torturai	torturaj
torturam	torturam
torturară	torturarə
torturarăm	torturarəm
torturarăți	torturarətsʲ
torturase	torturase
torturasem	torturasem
torturaseră	torturaserə
torturaserăm	torturaserəm
torturaserăți	torturaserətsʲ
torturaseși	torturaseʃʲ
torturași	torturaʃʲ
torturat	torturat
torturați	torturat͡sʲ
torturau	torturaw
torturăm	torturəm
torturând	torturɨnd
torturează	torturjazə
torturez	torturez
tortureze	tortureze
torturezi	torturezʲ
totalitate	totalitate
tovarăș	tovarəʃ
tovărășie	tovərəʃie
trabuc	trabuk
traducere	tradut͡ʃere
traduceri	tradutʃerʲ
traduci	tradut͡ʃʲ
trandafir	trandafir
transilvania	transilvania
transnistria	transnistria
trăi	trəi
trăiască	trəjaskə
tre	tre
treabă	tre̯abə
trebuia	trebuja
trebuie	trebuje
trei	trej
trib	trib
tricot	trikot
tricou	trikow
trimite	trimite
triste	triste
tub	tub
tunet	tunet
tură	turə
turcesc	turt͡ʃesk
turist	turist
turiști	turiʃtʲ
turnuri	turnurʲ
turtit	turtit
țara	tsara
țară	tsarə
țaro	t͡saro
țări	tsərʲ
țării	t͡səri
ție	tsie
ubicua	ubikua
ubicuă	ubikuə
ubicue	ubikue
ubicuei	ubikuej
ubicuele	ubikuele
ubicuelor	ubikuelor
ubicui	ubikuj
ubicuii	ubikuiː
ubicuilor	ubikuilor
ubicuitate	ubikuitate
ubicuitatea	ubikuitate̯a
ubicuul	ubikuul
ubicuul	ubikuu
ubicuului	ubikuuluj
ucide	utʃide
uimitor	ujmitor
ultima	ultima
ultime	ultime
ultimi	ultimʲ
ultimul	ultimul
umana	umana
umane	umane
umani	umanʲ
umanitate	umanitate
umeraș	umeraʃ
umiditate	umiditate
unde	unde
ungaria	unɡaria
ungur	uŋɡur
unic	unik
unic	unik
unit	unit
universitate	universitate
unul	unul
urăsc	urəsk
urăște	urəʃte
urăști	urəʃtʲ
urâm	urɨm
urâți	urɨt͡sʲ
urdă	urdə
uri	urʲ
urinai	urinaj
urinam	urinam
urinară	urinarə
urinarăm	urinarəm
urinarăți	urinarətsʲ
urinase	urinase
urinasem	urinasem
urinaseră	urinaserə
urinaserăm	urinaserəm
urinaserăți	urinaserətsʲ
urinaseși	urinaseʃʲ
urinași	urinaʃʲ
urinat	urinat
urinați	urinat͡sʲ
urinau	urinaw
urinăm	urinəm
urinând	urinɨnd
urinează	urinjazə
urinez	urinez
urineze	urineze
urinezi	urinezʲ
usturoi	ust̪uɾoj
ușa	uʃa
ușă	uʃə
uși	uʃʲ
ușii	uʃiʲ
ușile	uʃile
ușilor	uʃilor
ușor	uʃor
ușuratic	uʃuratik
uter	uter
va	va
vaci	vat͡ʃʲ
vadă	vadə
vagin	vad͡ʒin
vagine	vad͡ʒine
valahia	valaxia
vale	vale
valea	valʲe̯a
vampir	vampir
vampira	vampira
vampiră	vampirə
vampire	vampire
vampiri	vampirʲ
vargă	varɡə
varujan	varuʒan
văd	vəd
văi	vəj
văii	vəji
văile	vəjle
văilor	vəjlor
văzând	vəzɨnd
văzut	vəzut
vârcolac	vɨrkolak
vede	vede
vede	vede
vedea	vede̯a
vedem	vedem
vedeți	vedet͡sʲ
vei	vej
velocitate	velot͡ʃitate
venerase	venerase
venin	venin
veninos	veninos
venise	venise
venisem	venisem
verb	verb
vergi	verd͡ʒʲ
veri	verʲ
veșnic	veʃnik
veșted	veʃted
veștejea	veʃteʒe̯a
veștejeai	veʃteʒe̯aj
veștejeam	veʃteʒe̯am
veștejească	veʃteʒe̯askə
veștejeați	veʃteʒe̯at͡sʲ
veștejeau	veʃteʒe̯au
veștejesc	veʃteʒesk
veștejește	veʃteʒeʃte
veștejești	veʃteʒeʃtʲ
veșteji	veʃteʒi
veștejii	veʃteʒiː
veștejim	veʃteʒim
veștejind	veʃteʒind
veștejiră	veʃteʒirə
veștejirăm	veʃteʒirəm
veștejirăți	veʃteʒirət͡sʲ
veștejise	veʃteʒise
veștejisem	veʃteʒisem
veștejiseră	veʃteʒiserə
veștejiserăm	veʃteʒiserəm
veștejiserăți	veʃteʒiserət͡sʲ
veștejiseși	veʃteʒiseʃʲ
veștejiși	veʃteʒiʃʲ
veștejit	veʃteʒit
veștejita	veʃteʒita
veștejită	veʃteʒitə
veștejite	veʃteʒite
veștejitei	veʃteʒitej
veștejitele	veʃteʒitele
veștejitelor	veʃteʒitelor
veștejitul	veʃteʒitul
veștejitul	veʃteʒitu
veștejitului	veʃteʒituluj
veștejiți	veʃteʒit͡sʲ
veștejiții	veʃteʒit͡siː
veștejiților	veʃteʒit͡silor
veți	vet͡sʲ
vezi	vezʲ
viața	vjatsa
viață	vjatsə
vieți	vjetsʲ
vieții	vjetsiː
viețile	vjetsile
vieților	vjetsilor
viezure	vjezure
vigilență	vid͡ʒilent͡sə
viii	viji
vin	vin
vino	vino
vioară	vio̯aɾə
virgulă	virɡulə
virgule	virɡule
virilitate	virilitate
visa	visa
visătoare	visətware
visător	visətor
visului	visuluj
vizibilitate	vizibilitate
vînt	vɨnt
voastră	vo̯astrə
vocală	vokalə
vocale	vokale
vodcă	vodkə
voi	voj
vom	vom
vorbă	vorbə
vorbea	vorbʲæ
vorbeai	vorbʲæj
vorbeam	vorbʲæm
vorbească	vorbe̯askə
vorbeați	vorbʲæt͡sʲ
vorbeau	vorbʲæu
vorbesc	vorbesk
vorbește	vorbeʃte
vorbești	vorbeʃtʲ
vorbi	vorbi
vorbii	vorbiː
vorbim	vorbim
vorbind	vorbind
vorbiră	vorbirə
vorbirăm	vorbirəm
vorbirăți	vorbirət͡sʲ
vorbise	vorbise
vorbisem	vorbisem
vorbiseră	vorbiserə
vorbiserăm	vorbiserəm
vorbiserăți	vorbiserət͡sʲ
vorbiseși	vorbiseʃʲ
vorbiși	vorbiʃʲ
vorbit	vorbit
vorbită	vorbitə
vorbiți	vorbit͡sʲ
votcă	votkə
vreau	vre̯aw
vrei	vrej
vrem	vrem
vreți	vretsʲ
vrut	vrut
vulpe	vulpe
vultur	vultur
vultur	vultur
vulvă	vulvə
vutcă	vutkə
zahărul	zahərul
zahărul	zahəru
zahărului	zahəruluj
zăcea	zətʃjæ
zăpadă	zəpadə
zăpușea	zəpuʃja
zăpușeai	zəpuʃjaj
zăpușeam	zəpuʃjam
zăpușească	zəpuʃjaskə
zăpușeați	zəpuʃjatsʲ
zăpușeau	zəpuʃjaw
zăpușesc	zəpuʃesk
zăpușește	zəpuʃeʃte
zăpușești	zəpuʃeʃtʲ
zăpuși	zəpuʃi
zăpușii	zəpuʃiː
zăpușim	zəpuʃim
zăpușind	zəpuʃind
zăpușiră	zəpuʃirə
zăpușirăm	zəpuʃirəm
zăpușirăți	zəpuʃirətsʲ
zăpușise	zəpuʃise
zăpușisem	zəpuʃisem
zăpușiseră	zəpuʃiserə
zăpușiserăm	zəpuʃiserəm
zăpușiserăți	zəpuʃiserətsʲ
zăpușiseși	zəpuʃiseʃʲ
zăpușiși	zəpuʃiʃʲ
zăpușit	zəpuʃit
zăpușita	zəpuʃita
zăpușită	zəpuʃitə
zăpușite	zəpuʃite
zăpușitei	zəpuʃitej
zăpușitele	zəpuʃitele
zăpușitelor	zəpuʃitelor
zăpușitul	zəpuʃitul
zăpușitul	zəpuʃitu
zăpușitului	zəpuʃituluj
zăpușiți	zəpuʃit͡sʲ
zăpușiții	zəpuʃit͡siː
zăpușiților	zəpuʃit͡silor
zărgan	zərɡan
zână	zɨnə
zei	zej
zeu	zew
zgardă	zgardə
zice	zitʃe
zilnic	zilnik
zona	zona
zonă	zonə
zone	zone
zonei	zonej
zonele	zonele
zonelor	zonelor
бэрбат	bərbat
бэят	bəjat
вис	vis
делир	delir
доктор	doktor
есте	jeste
есте	este
кишинэу	kiʃinəu̯
кынтэрец	kɨntərets
молдова	moldova
молдовенеште	moldoveneʃte
морковь	moɾkovʲ
пенис	penis
ромыния	romɨnia
русия	rusia
собэ	sobə
фу	fu
