က	ka̰
ဖြောဖြော	pʰjɔ́bjɔ́
ဖြော်ဖြော်	pʰjɔ̀bjɔ̀
ဖွား	pʰwá
ဖွဲ့စည်းပုံ	pʰwɛ̰zíbòʊɴ
ဖွဲ့စည်းပုံအခြေခံဥပဒေ	pʰwɛ̰zíbòʊɴʔət͡ɕʰèɡàɴʔṵbədè
ဗက်တီးရီးယား	bɛʔtíɹíjá
ဗင်နီဇွဲလား	bɪ̀ɴnìzwɛ́lá
ဗညား	bəɲá
ဗန်တို	bàɴdò
ဗန်ရှည်	bàɴʃè
ဗန်းမော်	báɴmɔ̀
ဗမာ	bəmà
ဗမာ	bəma̰
ဗမာ့	bəma̰
ဗလ	bəla̰
ဗလဝ	bələwa̰
ဗလာစာအုပ်	bəlàsàʔoʊʔ
ဗလီ	bəlì
ဗဟို	bəhò
ဗဟုသုတ	bəhṵθṵta̰
ဗာတီကန်	bàtìkàɴ
ဗာလ	bàla̰
ဗာလချောင်	bàla̰t͡ɕʰàʊɴ
ဗားနစ်	bánɪʔ
ဗိမာန်	beɪʔmàɴ
ဗိသုကာ	bḭðəɡà
ဗိုက်	baɪʔ
ဗိုက်ကြီး	baɪʔt͡ɕí
ဗိုင်း	báɪɴ
ဗိုင်းရပ်စ်	báɪɴɹaʔs
ဗိုလ်	bò
ဗိုလ်ကျ	bòt͡ɕa̰
ဗိုလ်ကြီး	bòd͡ʑí
ဗိုလ်ချုပ်	bòd͡ʑoʊʔ
ဗိုလ်ချုပ်ကြီး	bòd͡ʑoʊʔd͡ʑí
ဗိုလ်ချုပ်မှူးကြီး	bòd͡ʑoʊʔm̥úd͡ʑí
ဗိုလ်မှူး	bòm̥ú
ဗိုလ်မှူးကြီး	bòm̥úd͡ʑí
ဗိုလ်မှူးချုပ်	bòm̥úd͡ʑoʊʔ
ဗိုလ်လောင်း	bòláʊɴ
ဗို့	bo̰
ဗို့အား	bo̰ʔá
ဗိဿနိုး	beɪʔθənó
ဗီဇ	bìza̰
ဗီဇာ	bìzà
ဗီတာမင်	bìtàmɪ̀ɴ
ဗီဒီယို	bìdìjò
ဗီယက်နမ်	bìjɛʔnàɴ
ဗီယင်ကျန်း	bìjɪ̀ɴt͡ɕáɴ
ဗီရို	bìjò
ဗုဒ္ဓ	boʊʔda̰
ဗုဒ္ဓဘာသာ	boʊʔda̰bàθà
ဗုဒ္ဓသာသနာ	θàðənà
ဗုဒ္ဓဟူး	boʊʔda̰hú
ဗုန်း	bóʊɴ
ဗုံး	bóʊɴ
ဗေဒ	bèda̰
ဗောဓိညောင်	bɔ́dḭɲàʊɴ
ဗောဓိသတ်	bɔ́dḭθaʔ
ဗော့ဒ်ကာ	bɔ̰dkà
ဗျစ်	bjɪʔ
ဗျည်း	bjí
ဗျုပ္ပတ်	bjoʊʔpaʔ
ဗျူရို	bjùɹò
ဗြဟ္မစိုရ်တရား	bjəməzòjtəjá
ဗြဟ္မာ	bjəmà
ဗြာဟ္မဏ	bjàhma̰na̰
ဗြိစ္ဆာ	bjeɪʔsʰà
ဗြိတိန်	bjḭtèɪɴ
ဗြိတိသျှ	bəɹḭtḭʃa̰
ဘ	ba̰
ဘက္ကဒီးအစ်	bɛʔkədíʔɪʔ
ဘက်	bɛʔ
ဘက်ထရီ	bɛʔtʰa̰ɹì
ဘကြီး	ba̰d͡ʑí
ဘင်	bɪ̀ɴ
ဘင်နာ	bɪ̀ɴnà
ဘင်း	bɪ́ɴ
ဘင်္ဂလားဒေ့ရှ်	bɪ̀ɴládḛʃ
ဘင်္ဂါလီ	bɪ̀ɴɡàlì
ဘဏ္ဍာ	bàndà
ဘဏ္ဍာရေး	bàndàjé
ဘဏ်	bàɴ
ဘဏ်တိုက်	bàɴdaɪʔ
ဘတ်	baʔ
ဘတ်	pʰaʔ
ဘတ်ဂျက်	baʔd͡ʑɛʔ
ဘတ်စ်ကား	baʔsəká
ဘထွေး	ba̰tʰwé
ဘန်ကောက်	bàɴkaʊʔ
ဘယာ	bəjà
ဘယ်	bɛ̀
ဘယ်တုန်းက	bɛ̀dóʊɴɡa̰
ဘယ်တော့	bɛ̀dɔ̰
ဘယ်နှ	bɛ̀n̥a̰
ဘယ်နှစ်	bɛ̀n̥ə
ဘယ်မှ	bɛ̀m̥a̰
ဘယ်ရီလီယမ်	bɛ̀ɹìlìjàɴ
ဘယ်လို	bɛ̀lò
ဘယ်လောက်	bɛ̀laʊʔ
ဘယ်လ်ဂျီယမ်	bɛ̀ld͡ʑìjàɴ
ဘယ်သူ	bəθù
ဘယ်သူ့	bəθṵ
ဘရင်ဂျီ	bəjɪ̀ɴd͡ʑì
ဘရဏီ	ba̰jənì
ဘရာစီယာ	bəɹàsìjà
ဘရာဇီး	bəɹàzí
ဘရိတ်	bəɹeɪʔ
ဘရူနိုင်း	bəɹùnáɪɴ
ဘလိဇ်	bəlìz
ဘလောက်	ba̰laʊʔ
ဘလော့ဂ်	bəloʊʔ
ဘလေး	ba̰lé
ဘဝ	ba̰wa̰
ဘဝဲ	bəwɛ́
ဘဟားမား	ba̰hámá
ဘာ	bà
ဘာကီးနားဖားဆို	bàkínápʰásʰò
ဘာရိန်း	bàɹéɪɴ
ဘာလင်	bàlɪ̀ɴ
ဘာလိ	bàlḭ
ဘာသာ	bàθà
ဘာသာစကား	bàθàzəɡá
ဘာသာပြန်	bàðàpjàɴ
ဘာသာဗေဒ	bàθàbèda̰
ဘား	bá
ဘား	pʰá
ဘိက္ခု	beɪʔkʰṵ
ဘိက္ခုနီ	bìkkʰṵnì
ဘိက္ခူ	beɪʔkʰù
ဘိန်း	béɪɴ
ဘိန်းမုန့်	béɪɴmo̰ʊɴ
ဘိဘိသန	bḭbḭθəna̰
ဘိလပ်	bḭlaʔ
ဘိသိက်	beɪʔθeɪʔ
ဘိုကလေး	bòɡəlé
ဘိုက်	baɪʔ
ဘိုင်	bàɪɴ
ဘိုင်စကယ်	bàɪɴsəkɛ̀
ဘိုင်စကုတ်	bàɪɴsəkoʊʔ
ဘိုရွန်	bòɹʊ̀ɴ
ဘိုလီးဗီးယား	bòlíbíjá
ဘိုးဘိုး	pʰópʰó
ဘီ	bì
ဘီစကွတ်	bìsəkʊʔ
ဘီနင်	bìnɪ̀ɴ
ဘီယာ	bìjà
ဘီလာရုဇ်	bìlàɹùz
ဘီလူး	bəlú
ဘီး	bí
ဘီး	béɪɴ
ဘု	bṵ
ဘုဉ်းပေး	bóʊɴpé
ဘုန်း	pʰóʊɴ
ဘုန်းကြီး	pʰóʊɴd͡ʑí
ဘုန်းကြီးကျောင်း	pʰóʊɴd͡ʑít͡ɕáʊɴ
ဘုန်းကြီးပျံ	pʰóʊɴd͡ʑíbjàɴ
ဘုန်းဘုန်း	pʰóʊɴpʰóʊɴ
ဘုမ္မစိုး	bòʊɴməzó
ဘုရင်	ba̰jɪ̀ɴ
ဘုရင်မ	ba̰jɪ̀ɴma̰
ဘုရား	pʰəjá
ဘုရားကိုးဆူ	bṵjákósʰù
ဘုရားကျောင်း	pʰəjád͡ʑáʊɴ
ဘုရားရှိခိုးကျောင်း	pʰəjáʃḭkʰód͡ʑáʊɴ
ဘုရားလောင်း	pʰəjáláʊɴ
ဘုရားအလောင်း	pʰəjáʔəláʊɴ
ဘုံကျောင်း	bòʊɴd͡ʑáʊɴ
ဘုံပိုင်	bòʊɴbàɪɴ
ဘူ	bù
ဘူဂေးရီးယား	bùɡéɹíjá
ဘူတန်	bùtàɴ
ဘူတာရုံ	bùdàjòʊɴ
ဘူမိဗေဒ	bùmḭbèda̰
ဘူမိရူပဗေဒ	bùmḭjùpa̰bèda̰
ဘူရွန်ဒီ	bùɹʊ̀ɴdì
ဘူး	bú
ဘူးသီး	búθí
ဘူးသီးတောင်	búðídàʊɴ
ဘော	bɔ́
ဘောက်ဆူး	baʊʔsʰú
ဘောဂဗေဒ	bɔ́ɡa̰ta̰bèda̰
ဘောင်းဘီ	báʊɴbì
ဘောပင်	bɔ́pɪ̀ɴ
ဘောလုံး	bɔ́lóʊɴ
ဘော့ဆွာနာ	bɔ̰sʰwànà
ဘော်ဒါကြေး	bɔ̀dàt͡ɕé
ဘော်လီဘော	bɔ̀lìbɔ́
ဘေး	bé
ဘေးဆိုး	bézó
ဘေးဆီးရန်ကာ	bézíjàɴɡà
ဘဲ	bɛ́
ဘဲ	bɛ́
ဘဲ	bɛ́
ဘဲလေး	bɛ́lé
ဘွားဘွား	pʰwápʰwá
ဘွဲ့	bwɛ̰
မ	mə
မ	ma̰
မ	mə
မကန်း	məɡáɴ
မကိုဋ်	məɡaɪʔ
မကုဋ	məkṵta̰
မက္ကဆီကို	mɛʔkəsʰìkò
မက်	mɛʔ
မက်စီဒိုးနီးယား	mɛʔsìdóníjá
မက်မွန်	mɛʔmʊ̀ɴ
မကြာမတင်	mət͡ɕàmətɪ̀ɴ
မကွေး	məɡwé
မဂ္ဂင်ရှစ်ပါး	mɛʔɡɪ̀ɴʃɪʔbá
မဂ္ဂဇင်း	mɛʔɡa̰zɪ̀ɴ
မင်	m̥ɪ̀ɴ
မင်း	mɪ́ɴ
မင်းကြီး	mɪ́ɴd͡ʑí
မင်းကွတ်	mɪ́ɴɡʊʔ
မင်းဘူး	mɪ́ɴbú
မင်းမြောက်တန်ဆာ	mɪ́ɴmjaʊʔdəzà
မင်းသမီး	mɪ́ɴðəmí
မင်းသား	mɪ́ɴðá
မင်္ဂလသုတ်	mɪ̀ɴɡəla̰θoʊʔ
မင်္ဂလာ	mɪ̀ɴɡəlà
မင်္ဂလာဆောင်	mɪ̀ɴɡəlàsʰàʊɴ
မင်္ဂလာပါ	mɪ̀ɴɡəlàbà
မစင်	ma̰sɪ̀ɴ
မဆလာ	ma̰sʰəlà
မဇ္ဈဒေသ	mɪʔza̰dèθa̰
မဉ္ဇူ	mɪ̀ɴzù
မည်	mjì
မည်	mjì
မည်	mjì
မည်သည်	mìðì
မည်သူ	mìðù
မည်း	mɛ́
မဏိ	mənḭ
မဏိပူရ	mənḭpùja̰
မဏိမေခလာ	mənḭmèkʰəlà
မဏ္ဍပ်	máɴdaʔ
မဏ္ဍိုင်	màɴdàɪɴ
မတော်တဆ	mətɔ̀təsʰa̰
မတော်တဆမှု	mətɔ̀təsʰa̰m̥ṵ
မတ်	maʔ
မတ်	maʔ
မတ်ခွက်	maʔkʰwɛʔ
မတ်မတ်	maʔmaʔ
မဒါဂတ်စကား	ma̰dàɡaʔsəká
မနက်	mənɛʔ
မနုပ်တာနီ	mənoʊʔtànì
မနုဿ	ma̰noʊʔθà
မနုဿဗေဒ	mənoʊʔθa̰bèda̰
မနုဿီဟ	mənoʊʔθìha̰
မနော	mənɔ́
မနောကံ	mənɔ́ɡàɴ
မနေ့က	mənḛɡa̰
မန္တန်	màɴdàɴ
မန္တလေး	màɴdəlé
မန်ကျည်း	məd͡ʑí
မန်နေဂျာ	màɴnèd͡ʑà
မန်း	máɴ
မယား	məjá
မယ်	mɛ̀
မယ်ဇလီ	mɛ̀zəlì
မယ်တော်	mɛ̀dɔ̀
မယ်သီတာ	mɛ̀θìdà
မယ်သီလ	mɛ̀ðìla̰
မရဏ	məɹəna̰
မရန်း	məjáɴ
မရမာ	məɹəmà
မရမာကြီး	məɹəmàd͡ʑí
မရီး	məjí
မလိုင်	ma̰làɪɴ
မလုပ်တာနီ	məloʊʔtànì
မလေး	məlé
မလေးရှား	məléʃá
မသာ	məθà
မဟာ	ma̰hà
မဟာကဿပ	məhàkaʔθəpa̰
မဟာဂီတ	məhàɡìta̰
မဟာပညာဗလ	məhàpjɪ̀ɴɲàbəla̰
မဟာပိန္နဲ	məhàpèɪɴnɛ́
မဟာဘာရတ	məhàbàɹəta̰
မဟာဘွဲ့	məhàbwɛ̰
မဟာမိတ်	məhàmeɪʔ
မဟာမောဂ္ဂလာန်	məhàmaʊʔɡəlàɴ
မဟာယာန	məhàjàna̰
မဟာရဋ္ဌ	məhàjətʰa̰
မဟာလတာ	məhàlətà
မဟာဝင်	məhàwɪ̀ɴ
မဟာဝိဇ္ဇာဘွဲ့	məhàweɪʔzàbwɛ̰
မဟာသာဝက	məhàθàwəka̰
မဟာသိပ္ပံဘွဲ့	məhàθeɪʔpàɴbwɛ̰
မဟေ	məhè
မဟေသီ	məhèθì
မာ	mà
မာကျောက်	màt͡ɕaʊʔ
မာတိကာ	màtḭkà
မာန်	màɴ
မာန်အောင်	mànʔàʊɴ
မာရ်	mà
မာရ်နတ်	mànaʔ
မာလကာ	màləkà
မာလကာသီး	màləkàθí
မာလဝီ	màla̰wì
မာလာ	màlà
မာလာဟင်း	màlàhɪ́ɴ
မာလီ	màlì
မိ	mḭ
မိကျောင်း	mḭd͡ʑáʊɴ
မိခင်	mḭɡɪ̀ɴ
မိငယ်	mḭŋɛ̀
မိတ္တူ	meɪʔtù
မိတ္ထီလာ	meɪʔtʰìlà
မိတ်	meɪʔ
မိတ်ကပ်	meɪʔkaʔ
မိတ်ဆွေ	meɪʔsʰwè
မိထွေး	mḭdwé
မိနစ်	mḭnɪʔ
မိန်းကလေး	méɪɴɡəlé
မိန်းမ	méɪɴma̰
မိန်းမလျာ	méɪɴməʃà
မိဖုရား	mḭbəjá
မိဘ	mḭba̰
မိဘမဲ့	mḭba̰mɛ̰
မိသားစု	mḭðázṵ
မိုက်	maɪʔ
မိုက်ကယ်	maɪʔkɛ̀
မိုင်	màɪɴ
မိုင်လို	màɪɴlò
မိုင်း	máɪɴ
မိုဇမ်ဘစ်	mòzàɴbɪʔ
မိုတယ်	mòtɛ̀
မိုနာကို	mònàkò
မိုဘိုင်းလ်ဖုန်း	mòbáɪɴpʰóʊɴ
မိုး	mó
မိုးကာအင်္ကျီ	móɡàʔɪ̀ɴd͡ʑì
မိုးကုတ်	mókoʊʔ
မိုးကုပ်စက်ဝိုင်း	móɡoʊʔsɛʔwáɪɴ
မိုးကြိုး	mód͡ʑó
မိုးခေါ်	mókʰɔ̀
မိုးရာသီ	mójàðì
မီတာ	mìtà
မီနူး	mìnú
မီး	mí
မီးခတ်	míɡaʔ
မီးခတ်	míkʰaʔ
မီးခေါင်း	míɡáʊɴ
မီးခြစ်	míd͡ʑɪʔ
မီးခွက်	míɡwɛʔ
မီးတောင်	mídàʊɴ
မီးပန်း	míbáɴ
မီးပူ	míbù
မီးပြတိုက်	míbja̰daɪʔ
မီးပွား	míbwá
မီးပွိုင့်	mípwa̰ɪɴ
မီးဖို	mípʰò
မီးဖို	míbò
မီးဖိုချောင်	míbòd͡ʑàʊɴ
မီးယပ်	míjaʔ
မီးယပ်ရောဂါ	míjaʔjɔ́ɡà
မီးရထား	míjətʰá
မီးရထားတွဲ	míjətʰádwɛ́
မီးလင်းဖို	mílɪ́ɴbò
မီးသင်္ဘော	míθɪ̀ɴbɔ́
မီးသီး	míθí
မီးသုံးပါး	míθóʊɴbá
မီးသွေး	míðwé
မီးအိမ်	míʔèɪɴ
မုခ်	moʊʔ
မုစလိန္ဒ	mṵsəlèɪɴda̰
မုဆိုး	moʊʔsʰò
မုဆိုးဖို	mṵsʰóbò
မုဆိုးမ	mṵsʰóma̰
မုတ္ထမ	moʊʔtəma̰
မုတ်ဆိတ်	moʊʔsʰeɪʔ
မုဒိမ်း	mṵdéɪɴ
မုဒိမ်း	mədéɪɴ
မုဒ္ဓဇ	mùddəza̰
မုဒြာ	mṵdɹà
မုနိ	mṵnḭ
မုန့်	mo̰ʊɴ
မုန့်ကျွဲသည်း	mo̰ʊɴt͡ɕwɛ́ðí
မုန့်ကွမ်းယာ	mo̰ʊɴkʊ́ɴjà
မုန့်ညက်	mo̰ʊɴɲɛʔ
မုန့်တီ	mo̰ʊɴtì
မုန့်လက်ဆောင်း	mo̰ʊɴlɛʔsʰáʊɴ
မုန့်လုံးရေပေါ်	mo̰ʊɴlóʊɴjèbɔ̀
မုန့်ဟင်းခါး	mo̰ʊɴhɪ́ɴɡá
မုန့်ဦးနှောက်	mo̰ʊɴʔóʊɴðí
မုန်ညင်း	mòʊɴɲɪ́ɴ
မုန်ညင်းဆီ	mòʊɴɲɪ́ɴsʰì
မုန်ညင်းဖြူ	mòʊɴɲɪ́ɴpʰjù
မုန်တိုင်း	mòʊɴdáɪɴ
မုန်လာဥဝါ	mòʊɴlàʔṵwà
မုန်း	móʊɴ
မုသား	mṵðá
မုံ	mòʊɴ
မုံရွာ	mòʊɴjwà
မူလ	mùla̰
မူလတန်း	mùla̰táɴ
မူလီ	mùlì
မူး	mú
မေ	mè
မေဃာလယ	mèɡàləja̰
မေတ္တာ	mjɪʔtà
မေတ္တေယျ	mjɪʔtèja̰
မော	mɔ́
မောက်ချ	maʊʔt͡ɕʰa̰
မောင်	màʊɴ
မောင်တော	màʊɴtɔ́
မောင်နှမ	màʊɴn̥əma̰
မောင်း	máʊɴ
မောရစ်ရှ	mɔ́ɹɪʔʃa̰
မော်စကို	mɔ̀səkò
မော်ဇာ	mɔ̀zà
မော်တော်ဆိုင်ကယ်	mɔ̀tɔ̀sʰàɪɴkɛ̀
မော်ရိုကို	mɔ̀ɹòkò
မော်ရီတေးနီးယား	mɔ̀ɹìténíjá
မော်လတာ	mɔ̀lətà
မော်လဒိုက်	mɔ̀lədaɪʔ
မော်လမြိုင်	mɔ̀ləmjàɪɴ
မော်လီကျူး	mɔ̀lìt͡ɕú
မော်လ်ဒိုဗာ	mɔ̀ldòbà
မေ့	mḛ
မေး	mé
မေးခိုင်ရောဂါ	mékʰàɪɴjɔ́ɡà
မေးစေ့	mézḭ
မဲ	mɛ́
မဲခေါင်မြစ်	mɛ́kʰàʊɴmjɪʔ
မဲဆန္ဒ	mɛ́sʰàɴda̰
မဲဆန္ဒနယ်	mɛ́sʰàɴda̰nɛ̀
မဲဆန္ဒရှင်	mɛ́sʰàɴda̰ʃɪ̀ɴ
မဲဆောက်	mɛ́sʰaʊʔ
မဲဇလီ	mɛ́zəlì
မဲပေး	mɛ́pé
မံ	màɴ
မံသ	màɴθa̰
မျက်ခုံး	mjɛʔkʰóʊɴ
မျက်ခွံ	mjɛʔkʰʊ̀ɴ
မျက်စိ	mjɛʔsḭ
မျက်တောင်	mjɛʔtàʊɴ
မျက်နှာ	mjɛʔn̥à
မျက်နှာကြက်	mjɛʔn̥àd͡ʑɛʔ
မျက်နှာဖုံး	mjɛʔn̥əpʰóʊɴ
မျက်နှာသုတ်ပဝါ	mjɛʔn̥àθoʊʔpa̰wà
မျက်မှန်	mjɛʔm̥àɴ
မျက်ရည်	mjɛʔjè
မျက်လွှာ	mjɛʔl̥wà
မျက်လှည့်	mjɛʔl̥ɛ̰
မျည်းတံ	mjídàɴ
များ	mjá
များများ	mjámjá
မျို	mjò
မျိုး	mjó
မျိုးချစ်စိတ်	mjót͡ɕʰɪʔseɪʔ
မျိုးစု	mjózṵ
မျိုးဆက်	mjózɛʔ
မျော	mjɔ́
မျောက်	mjaʊʔ
မျောက်ချော	mjaʊʔt͡ɕʰɔ́
မျှင်	m̥jɪ̀ɴ
မျှို့	m̥jo̰
မျှော်	m̥jɔ̀
မျှော်လင့်	m̥jɔ̀lɪ̰ɴ
မျှော်လင့်ချက်	m̥jɔ̀lɪ̰ɴd͡ʑɛʔ
မြ	mja̰
မြက်	mjɛʔ
မြက်ခင်း	mjɛʔkʰɪ́ɴ
မြက်ခုတ်ဓား	mjɛʔkʰoʊʔdá
မြက်ခြောက်	mjɛʔt͡ɕʰaʊʔ
မြင့်	mjɪ̰ɴ
မြင်	mjɪ̀ɴ
မြင်း	mjɪ́ɴ
မြင်းကလေး	mjɪ́ɴɡəlé
မြင်းကျား	mjɪ́ɴd͡ʑá
မြင်းခြံ	mjɪ́ɴd͡ʑàɴ
မြင်းခွာ	mjɪ́ɴkʰwà
မြင်းခွာရွက်သုပ်	mjɪ́ɴkʰwàjwɛʔθoʊʔ
မြင်းစားဂျုံ	mjɪ́ɴzád͡ʑòʊɴ
မြင်းဆေး	mjɪ́ɴzé
မြင်းမ	mjɪ́ɴma̰
မြင်းမကလေး	mjɪ́ɴma̰ɡəlé
မြင်းမိုရ်	mjɪ́ɴmò
မြင်းလှည်း	mjɪ́ɴl̥ɛ́
မြင်းသံခွာ	mjɪ́ɴθàɴkʰwà
မြစ်	mjɪʔ
မြစ်ကြီးနား	mjɪʔt͡ɕíná
မြည်း	mjí
မြန်	mjàɴ
မြန်မာ	mjàɴmà
မြန်မာ့	mjàɴma̰
မြန်မြန်	mjàɴmjàɴ
မြဝတီ	mja̰wədì
မြား	m̥já
မြိတ်	beɪʔ
မြို့	mjo̰
မြို့စား	mjo̰zá
မြို့တော်	mjo̰dɔ̀
မြို့တော်ဝန်	mjo̰dɔ̀wʊ̀ɴ
မြို့နယ်	mjo̰nɛ̀
မြီ	mjì
မြီးရှေ	mjíʃè
မြုံ	mjòʊɴ
မြူ	mjù
မြူစွမ်	mjùswàɴ
မြေ	mjè
မြေခွေး	mjèɡwé
မြေပုံ	mjèbòʊɴ
မြေပုံသီး	mjèbòʊɴðí
မြေပဲ	mjèbɛ́
မြေပြန့်	mjèbja̰ɴ
မြေဖြူခဲ	mjèbjùɡɛ́
မြေအောက်	mjèʔaʊʔ
မြေအောက်မီးရထား	mjèʔaʊʔmíjətʰá
မြေဩဇာ	mjèʔɔ́zà
မြောက်	mjaʊʔ
မြောက်ကိုရီးယား	mjaʊʔkòɹíjá
မြောက်‌ဦး	mjaʊʔ‌ʔú
မြောင်း	mjáʊɴ
မြေး	mjé
မြေးမ	mjéma̰
မြွက်	mjwɛʔ
မြွေ	mwè
မြွေပါ	mwèbà
မြှား	m̥já
မြှောက်	m̥jaʊʔ
မြှောက်ရကိန်း	m̥jaʊʔja̰kéɪɴ
မွတ်	mʊʔ
မွတ်စလင်	mʊʔsəlɪ̀ɴ
မွန်	mʊ̀ɴ
မွန်	mʊ̀ɴ
မွန်ဂိုးလီးယား	mʊ̀ɴɡólíjá
မွန်တီနီဂရိုး	mʊ̀ɴtìnìɡəɹó
မွာချီး	mwàt͡ɕʰí
မွေး	mwé
မွေးနေ့	mwénḛ
မွှား	m̥wá
မွှေး	m̥wé
မှ	m̥a̰
မှတ်ကျောက်	m̥aʔt͡ɕaʊʔ
မှတ်စု	m̥aʔsṵ
မှတ်စုစာအုပ်	m̥aʔsṵsàʔoʊʔ
မှတ်ဉာဏ်	m̥aʔɲàn
မှတ်မိ	m̥aʔmḭ
မှန်	m̥àɴ
မှန်စီရွှေချ	m̥àɴzìʃwèt͡ɕʰa̰
မှန်ပါ့ဘုရား	m̥àɴba̰pʰəjá
မှန်ပြောင်း	m̥àɴbjáʊɴ
မှန်ဘီလူး	m̥àɴbəlú
မှန်မှန်	m̥àɴm̥àɴ
မှာ	m̥à
မှား	m̥á
မှို	m̥ò
မှု	m̥ṵ
မှုတ်	m̥oʊʔ
မှုန့်	m̥o̰ʊɴ
မှုန်	m̥òʊɴ
မှဲ့	m̥ɛ̰
ယခု	jəkʰṵ
ယင်ကောင်	jɪ̀ɴɡàʊɴ
ယင်းမာ	jɪ́ɴmà
ယစ်ထုတ်	jɪʔtʰoʊʔ
ယဉ်	jɪ̀ɴ
ယဉ်ကျေးမှု	jɪ̀ɴt͡ɕém̥ṵ
ယတြာ	jədəjà
ယနေ့	ja̰nḛ
ယန္တရား	jàɴdəjá
ယပင့်	ja̰pɪ̰ɴ
ယမနေ	jəmənè
ယမမင်း	jəma̰mɪ́ɴ
ယမ်း	jáɴ
ယမ်းတောင့်	jáɴda̰ʊɴ
ယမ်းမှုန့်	jáɴm̥o̰ʊɴ
ယဝဒီပ	ja̰wa̰dìpa̰
ယသောဓရာ	ja̰θɔ́dəjà
ယာဉ်	jɪ̀ɴ
ယာဉ်မောင်း	jɪ̀ɴmàʊɴ
ယာဉ်ရပ်	jɪ̀ɴjaʔ
ယာဘ	jàba̰
ယာမာ	jàmà
ယာယီ	jàjì
ယို	jò
ယိုးဒယား	jódəjá
ယီမင်	jìmɪ̀ɴ
ယုဂ်	joʊʔ
ယုဇန	jṵza̰na̰
ယုတ္တိ	joʊʔtḭ
ယုတ္တိဗေဒ	joʊʔtḭbèda̰
ယုန်	jòʊɴ
ယုံ	jòʊɴ
ယူ	jù
ယူကရိန်း	jùkəɹéɪɴ
ယူဂန်းဒါး	jùɡáɴdá
ယူနိုက်တက်ကင်းဒမ်း	jùnaɪʔtɛʔkɪ́ɴdáɴ
ယူနီယန်	jùnìjàɴ
ယူရို	jùɹò
ယူရေးရှား	jùɹéʃá
ယေရှု	jèʃṵ
ယောက္ခထီး	jaʊʔkʰətʰí
ယောက္ခမ	jaʊʔkʰəma̰
ယောက်	jaʊʔ
ယောက်ဖ	jaʊʔpʰa̰
ယောက်မ	jáʊɴma̰
ယောက်ျား	jaʊʔt͡ɕá
ယောက်ျားလျာ	jaʊʔkəʃà
ယောဂ	jɔ́ɡì
ယောဇနာ	jɔ́zənà
ယောနိ	jɔ́nḭ
ယဲ့ယဲ့	jɛ̰jɛ̰
ယွန်း	jʊ́ɴ
ယွန်း	jʊ́ɴ
ယွန်းယွန်း	jʊ́ɴjʊ́ɴ
ယှဉ်း	ʃɪ́ɴ
ရ	ja̰
ရ	ɹa̰
ရ	ja̰
ရက်	jɛʔ
ရက်ကန်း	jɛʔkáɴ
ရက်ကန်းစင်	jɛʔkáɴzɪ̀ɴ
ရက်စွဲ	jɛʔswɛ́
ရက်သတ္တပတ်	jɛʔθaʔdəbaʔ
ရခိုင်	jəkʰàɪɴ
ရင်	jɪ̀ɴ
ရင်ခံ	jɪ̀ɴkʰàɴ
ရင်ထိုးတံဆိပ်	jɪ̀ɴdódəzeɪʔ
ရင်ပတ်	jɪ̀ɴbaʔ
ရင်ပြင်	jɪ̀ɴbjɪ̀ɴ
ရင်ဘတ်	jɪ̀ɴbaʔ
ရင်းရဲ	jɪ́ɴjɛ́
ရည်	jì
ရည်းစား	jízá
ရတနာ	jɛ̀dənà
ရတနာပုံ	jɛ̀dənàbòʊɴ
ရတနာပူရ	jɛ̀dənàpùɹa̰
ရတနာသုံးပါး	jɛ̀dənàθóʊɴbá
ရတီ	jətì
ရတု	ja̰tṵ
ရထား	jətʰá
ရနံ့	jəna̰ɴ
ရန်	jàɴ
ရန်ကုန်	jàɴɡòʊɴ
ရန်ဖြစ်	jàɴpʰjɪʔ
ရန်သူ	jàɴðù
ရန်သူမျိုးငါးပါး	jàɴðùmjóŋábá
ရပါတယ်	ja̰bàdɛ̀
ရပ်	jaʔ
ရပ်ကွက်	jaʔkwɛʔ
ရမ္မက်	jəmɛʔ
ရမ်	jàɴ
ရမ်းရမ်း	jáɴjáɴ
ရယ်	jì
ရရစ်	ja̰jɪʔ
ရဝမ်ဒါ	ɹəwàɴdà
ရဝိန်	jəwèɪɴ
ရဝေ	jəwè
ရသ	ja̰ðà
ရဟတ်	jəhaʔ
ရဟန်း	jəháɴ
ရာ	jà
ရာဂ	jàɡa̰
ရာစု	jàzṵ
ရာစုနှစ်	jàzṵn̥ɪʔ
ရာဇ	jàza̰
ရာဇဂုရု	jàza̰ɡṵɹṵ
ရာဇဌာန်	ɹàzətʰàn
ရာဇဝင်	jàzəwɪ̀ɴ
ရာဇဝတ်ကောင်	jàzəwʊʔkàʊɴ
ရာဇာ	jàzà
ရာဇာဓိရာဇဂုရု	jàza̰dḭjàza̰ɡṵɹṵ
ရာဘ	jàba̰
ရာမ	jàma̰
ရာဝဏ	ɹàwəna̰
ရာသီ	jàðì
ရာသီဥတု	jàðìʔṵdṵ
ရာဟုလာ	jàhṵlà
ရိက္ခါ	jeɪʔkʰà
ရိက္ခာ	jeɪʔkʰà
ရိတ်	jeɪʔ
ရိတ်သိမ်း	jeɪʔθéɪɴ
ရိပ်ရိပ်	jeɪʔjeɪʔ
ရိုက်	jaɪʔ
