a	ˈɒ
pályaválasztás	ˈpaːjɒvaːlɒstaːʃ
pályaválasztási	ˈpaːjɒvaːlɒstaːʃi
pályázat	ˈpaːjaːzɒt
pályázata	ˈpaːjaːzɒtɒ
pályázati	ˈpaːjaːzɒti
pályázatok	ˈpaːjaːzɒtok
pályázatokat	ˈpaːjaːzɒtokɒt
pályázatokon	ˈpaːjaːzɒtokon
pályázaton	ˈpaːjaːzɒton
pályázatot	ˈpaːjaːzɒtot
pályázhat	ˈpaːjaːshɒt
pályázik	ˈpaːjaːzik
pályázni	ˈpaːjaːzni
pályázó	ˈpaːjaːzoː
pályázók	ˈpaːjaːzoːk
pamut	ˈpɒmut
pamutok	ˈpɒmutok
pán	ˈpaːn
panamakalap	ˈpɒnɒmɒkɒlɒp
panasonic	ˈpɒnɒsonik
panasz	ˈpɒnɒs
panasza	ˈpɒnɒsɒ
panaszai	ˈpɒnɒsɒʲi
panaszaid	ˈpɒnɒsɒʲid
panaszaik	ˈpɒnɒsɒʲik
panaszaim	ˈpɒnɒsɒʲim
panaszaink	ˈpɒnɒsɒʲiŋk
panaszaitok	ˈpɒnɒsɒʲitok
panaszkodik	ˈpɒnɒskodik
panaszkönyv	ˈpɒnɒskøɲv
panaszkönyvbe	ˈpɒnɒskøɲvbɛ
panaszkönyvben	ˈpɒnɒskøɲvbɛn
panaszkönyvből	ˈpɒnɒskøɲvbøːl
panaszkönyve	ˈpɒnɒskøɲvɛ
panaszkönyved	ˈpɒnɒskøɲvɛd
panaszkönyvei	ˈpɒnɒskøɲvɛʲi
panaszkönyveid	ˈpɒnɒskøɲvɛʲid
panaszkönyveik	ˈpɒnɒskøɲvɛʲik
panaszkönyveim	ˈpɒnɒskøɲvɛʲim
panaszkönyveink	ˈpɒnɒskøɲvɛʲiŋk
panaszkönyveitek	ˈpɒnɒskøɲvɛʲitɛk
panaszkönyvek	ˈpɒnɒskøɲvɛk
panaszkönyvekbe	ˈpɒnɒskøɲvɛɡbɛ
panaszkönyvekben	ˈpɒnɒskøɲvɛɡbɛn
panaszkönyvekből	ˈpɒnɒskøɲvɛɡbøːl
panaszkönyveken	ˈpɒnɒskøɲvɛkɛn
panaszkönyvekért	ˈpɒnɒskøɲvɛkeːrt
panaszkönyveket	ˈpɒnɒskøɲvɛkɛt
panaszkönyvekhez	ˈpɒnɒskøɲvɛkhɛz
panaszkönyvekig	ˈpɒnɒskøɲvɛkiɡ
panaszkönyvekké	ˈpɒnɒskøɲvɛkːeː
panaszkönyvekkel	ˈpɒnɒskøɲvɛkːɛl
panaszkönyvekként	ˈpɒnɒskøɲvɛkːeːnt
panaszkönyveknek	ˈpɒnɒskøɲvɛknɛk
panaszkönyveknél	ˈpɒnɒskøɲvɛkneːl
panaszkönyvekre	ˈpɒnɒskøɲvɛkrɛ
panaszkönyvekről	ˈpɒnɒskøɲvɛkrøːl
panaszkönyvektől	ˈpɒnɒskøɲvɛktøːl
panaszkönyvem	ˈpɒnɒskøɲvɛm
panaszkönyvért	ˈpɒnɒskøɲveːrt
panaszkönyvet	ˈpɒnɒskøɲvɛt
panaszkönyvetek	ˈpɒnɒskøɲvɛtɛk
panaszkönyvhöz	ˈpɒnɒskøɲfhøz
panaszkönyvig	ˈpɒnɒskøɲviɡ
panaszkönyvként	ˈpɒnɒskøɲfkeːnt
panaszkönyvnek	ˈpɒnɒskøɲvnɛk
panaszkönyvnél	ˈpɒnɒskøɲvneːl
panaszkönyvre	ˈpɒnɒskøɲvrɛ
panaszkönyvről	ˈpɒnɒskøɲvrøːl
panaszkönyvtől	ˈpɒnɒskøɲftøːl
panaszkönyvvé	ˈpɒnɒskøɲveː
panaszkönyvvel	ˈpɒnɒskøɲvɛl
panaszkönyvön	ˈpɒnɒskøɲvøn
panaszkönyvük	ˈpɒnɒskøɲvyk
panaszkönyvünk	ˈpɒnɒskøɲvyŋk
panaszod	ˈpɒnɒsod
panaszok	ˈpɒnɒsok
panaszokat	ˈpɒnɒsokɒt
panaszom	ˈpɒnɒsom
panaszos	ˈpɒnɒsoʃ
panaszotok	ˈpɒnɒsotok
panaszt	ˈpɒnɒst
panaszuk	ˈpɒnɒsuk
panaszunk	ˈpɒnɒsuŋk
páncélautó	ˈpaːnt͡seːlɒutoː
páncélautók	ˈpaːnt͡seːlɒutoːk
panda	ˈpɒndɒ
pandák	ˈpɒndaːk
pandán	ˈpɒndaːn
pandát	ˈpɒndaːt
pandeizmus	ˈpɒndɛʲizmuʃ
pandit	ˈpɒndit
pandóra	ˈpɒndoːrɒ
pandzsábi	ˈpɒnd͡ʒaːbi
panel	ˈpɒnɛl
panelház	ˈpɒnɛlɦaːz
páni	ˈpaːni
pánik	ˈpaːnik
pánikok	ˈpaːnikok
pánikol	ˈpaːnikol
paníroz	ˈpɒniːroz
panoráma	ˈpɒnoraːmɒ
panorámák	ˈpɒnoraːmaːk
panorámakép	ˈpɒnoraːmɒkeːp
panorámás	ˈpɒnoraːmaːʃ
pánsíp	ˈpaːnʃiːp
pánsípok	ˈpaːnʃiːpok
pántli	ˈpaːntli
pántlika	ˈpaːntlikɒ
panzió	ˈpɒnziʲoː
panziók	ˈpɒnziʲoːk
pap	ˈpɒp
papa	ˈpɒpɒ
pápa	ˈpaːpɒ
papagáj	ˈpɒpɒɡaːj
papagájok	ˈpɒpɒɡaːjok
pápai	ˈpaːpɒʲi
papaja	ˈpɒpɒjɒ
papaják	ˈpɒpɒjaːk
pápaság	ˈpaːpɒʃaːɡ
pápaságok	ˈpaːpɒʃaːɡok
papi	ˈpɒpi
papír	ˈpɒpiːr
papírdoboz	ˈpɒpiːrdoboz
papírdobozok	ˈpɒpiːrdobozok
papírgyártás	ˈpɒpiːrɟaːrtaːʃ
papírgyártással	ˈpɒpiːrɟaːrtaːʃːɒl
papírkép	ˈpɒpiːrkeːp
papírkosár	ˈpɒpiːrkoʃaːr
papírmasé	ˈpɒpiːrmɒʃeː
papírok	ˈpɒpiːrok
papíron	ˈpɒpiːron
papiros	ˈpɒpiroʃ
papirosok	ˈpɒpiroʃok
papírpénz	ˈpɒpiːrpeːnz
papírpohár	ˈpɒpiːrpoɦaːr
papírra	ˈpɒpiːrːɒ
papírt	ˈpɒpiːrt
papirusz	ˈpɒpirus
papiruszok	ˈpɒpirusok
papírzacskó	ˈpɒpiːrzɒt͡ʃkoː
paplan	ˈpɒplɒn
paplanok	ˈpɒplɒnok
papné	ˈpɒpneː
papnő	ˈpɒpnøː
papnők	ˈpɒpnøːk
papok	ˈpɒpok
papol	ˈpɒpol
papolás	ˈpɒpolaːʃ
papon	ˈpɒpon
papot	ˈpɒpot
papp	ˈpɒp
pappá	ˈpɒpːaː
papra	ˈpɒprɒ
paprika	ˈpɒprikɒ
paprikák	ˈpɒprikaːk
paprikás	ˈpɒprikaːʃ
paprikások	ˈpɒprikaːʃok
paprikást	ˈpɒprikaːʃt
papság	ˈpɒpʃaːɡ
papságok	ˈpɒpʃaːɡok
papucs	ˈpɒput͡ʃ
papucsa	ˈpɒput͡ʃɒ
papucsai	ˈpɒput͡ʃɒʲi
papucsaid	ˈpɒput͡ʃɒʲid
papucsaik	ˈpɒput͡ʃɒʲik
papucsaim	ˈpɒput͡ʃɒʲim
papucsaink	ˈpɒput͡ʃɒʲiŋk
papucsaitok	ˈpɒput͡ʃɒʲitok
papucsférj	ˈpɒput͡ʃfeːrʝ
papucsod	ˈpɒput͡ʃod
papucsok	ˈpɒput͡ʃok
papucsokon	ˈpɒput͡ʃokon
papucsokra	ˈpɒput͡ʃokrɒ
papucsom	ˈpɒput͡ʃom
papucson	ˈpɒput͡ʃon
papucsotok	ˈpɒput͡ʃotok
papucsra	ˈpɒput͡ʃrɒ
papucsuk	ˈpɒput͡ʃuk
papucsunk	ˈpɒput͡ʃuŋk
pár	ˈpaːr
para	ˈpɒrɒ
pára	ˈpaːrɒ
parabola	ˈpɒrɒbolɒ
parabolák	ˈpɒrɒbolaːk
parádé	ˈpɒraːdeː
paradicsom	ˈpɒrɒdit͡ʃom
paradicsomot	ˈpɒrɒdit͡ʃomot
paradigmaváltás	ˈpɒrɒdiɡmɒvaːltaːʃ
paradoxon	ˈpɒrɒdokson
paraj	ˈpɒrɒj
párája	ˈpaːraːjɒ
páráját	ˈpaːraːjaːt
paralelogramma	ˈpɒrɒlɛloɡrɒmːɒ
paralelogrammák	ˈpɒrɒlɛloɡrɒmːaːk
paralízis	ˈpɒrɒliːziʃ
paralízisek	ˈpɒrɒliːziʃɛk
parallaxis	ˈpɒrɒlːɒksiʃ
paraméter	ˈpɒrɒmeːtɛr
paraméterek	ˈpɒrɒmeːtɛrɛk
páran	ˈpaːrɒn
paranccsal	ˈpɒrɒnt͡ʃɒl
parancs	ˈpɒrɒnt͡ʃ
parancsikon	ˈpɒrɒnt͡ʃikon
parancsnak	ˈpɒrɒnt͡ʃnɒk
parancsnok	ˈpɒrɒnt͡ʃnok
parancsnokok	ˈpɒrɒnt͡ʃnokok
parancsok	ˈpɒrɒnt͡ʃok
parancsokat	ˈpɒrɒnt͡ʃokɒt
parancsokkal	ˈpɒrɒnt͡ʃokːɒl
parancsoknak	ˈpɒrɒnt͡ʃoknɒk
parancsol	ˈpɒrɒnt͡ʃol
parancsolat	ˈpɒrɒnt͡ʃolɒt
parancsolatok	ˈpɒrɒnt͡ʃolɒtok
parancsolgat	ˈpɒrɒnt͡ʃolɡɒt
parancsolnak	ˈpɒrɒnt͡ʃolnɒk
parancsot	ˈpɒrɒnt͡ʃot
paranoiás	ˈpɒrɒnojaːʃ
paranormális	ˈpɒrɒnormaːliʃ
parányi	ˈpɒraːɲi
parapács	ˈpɒrɒpaːt͡ʃ
parapszichológia	ˈpɒrɒpsiɦoloːɡiʲɒ
párás	ˈpaːraːʃ
paraszt	ˈpɒrɒst
parasztcsalád	ˈpɒrɒstt͡ʃɒlaːd
parasztfelkelés	ˈpɒrɒstfɛlkɛleːʃ
parasztház	ˈpɒrɒsthaːz
paraszti	ˈpɒrɒsti
parasztok	ˈpɒrɒstok
parasztos	ˈpɒrɒstoʃ
parasztság	ˈpɒrɒst͡ʃaːɡ
parasztságok	ˈpɒrɒst͡ʃaːɡok
parasztvakítás	ˈpɒrɒstvɒkiːtaːʃ
párat	ˈpaːrɒt
páratartalom	ˈpaːrɒtɒrtɒlom
páratlan	ˈpaːrɒtlɒn
paratölgy	ˈpɒrɒtølɟ
parazita	ˈpɒrɒzitɒ
paráznaság	ˈpɒraːznɒʃaːɡ
paráznaságok	ˈpɒraːznɒʃaːɡok
parázs	ˈpɒraːʒ
parazsak	ˈpɒrɒʒɒk
párbaj	ˈpaːrbɒj
párbajok	ˈpaːrbɒjok
párbajozik	ˈpaːrbɒjozik
párbajra	ˈpaːrbɒjrɒ
párbajtőr	ˈpaːrbɒjtøːr
párbeszéd	ˈpaːrbɛseːd
parcella	ˈpɒrt͡sɛlːɒ
parcellák	ˈpɒrt͡sɛlːaːk
párduc	ˈpaːrdut͡s
párducmacska	ˈpaːrdut͡smɒt͡ʃkɒ
parfé	ˈpɒrfeː
parfék	ˈpɒrfeːk
parfüm	ˈpɒrfym
parfüméria	ˈpɒrfymeːriʲɒ
parfümök	ˈpɒrfymøk
párhuzam	ˈpaːrɦuzɒm
párhuzamos	ˈpaːrɦuzɒmoʃ
párhuzamosan	ˈpaːrɦuzɒmoʃɒn
párhuzamosság	ˈpaːrɦuzɒmoʃːaːɡ
pária	ˈpaːriʲɒ
parietális	ˈpɒriʲɛtaːliʃ
paripa	ˈpɒripɒ
parittya	ˈpɒricːɒ
párizs	ˈpaːriʒ
párizsba	ˈpaːriʒbɒ
párizsban	ˈpaːriʒbɒn
párizsi	ˈpaːriʒi
párja	ˈpaːrjɒ
park	ˈpɒrk
párkány	ˈpaːrkaːɲ
párkányok	ˈpaːrkaːɲok
párkányon	ˈpaːrkaːɲon
párkapcsolat	ˈpaːrkɒpt͡ʃolɒt
parkban	ˈpɒrɡbɒn
parkinson-kór	ˈpɒrkinzoŋkoːr
parkíroz	ˈpɒrkiːroz
parkok	ˈpɒrkok
parkol	ˈpɒrkol
parkolás	ˈpɒrkolaːʃ
parkolási	ˈpɒrkolaːʃi
parkolások	ˈpɒrkolaːʃok
parkoló	ˈpɒrkoloː
parkolóház	ˈpɒrkoloːɦaːz
parkolóhely	ˈpɒrkoloːɦɛj
parkolóóra	ˈpɒrkoloːoːrɒ
parlag	ˈpɒrlɒɡ
parlament	ˈpɒrlɒmɛnt
parlamentáris	ˈpɒrlɒmɛntaːriʃ
parlamentben	ˈpɒrlɒmɛndbɛn
parlamenten	ˈpɒrlɒmɛntɛn
parlamenter	ˈpɒrlɒmɛntɛr
parlamentet	ˈpɒrlɒmɛntɛt
parlamenti	ˈpɒrlɒmɛnti
párlat	ˈpaːrlɒt
párlatok	ˈpaːrlɒtok
parmezán	ˈpɒrmɛzaːn
párna	ˈpaːrnɒ
párnacsata	ˈpaːrnɒt͡ʃɒtɒ
párnahuzat	ˈpaːrnɒɦuzɒt
párnák	ˈpaːrnaːk
párnás	ˈpaːrnaːʃ
párok	ˈpaːrok
paróka	ˈpɒroːkɒ
parókák	ˈpɒroːkaːk
párom	ˈpaːrom
páros	ˈpaːroʃ
párosok	ˈpaːroʃok
párra	ˈpaːrːɒ
párrá	ˈpaːrːaː
párszor	ˈpaːrsor
part	ˈpɒrt
párt	ˈpaːrt
pártelnök	ˈpaːrtɛlnøk
pártfogás	ˈpaːrtfoɡaːʃ
pártfogások	ˈpaːrtfoɡaːʃok
parti	ˈpɒrti
partifecske	ˈpɒrtifɛt͡ʃkɛ
partikuláris	ˈpɒrtikulaːriʃ
partitúra	ˈpɒrtituːrɒ
partizán	ˈpɒrtizaːn
partizánok	ˈpɒrtizaːnok
partja	ˈpɒrcɒ
pártja	ˈpaːrcɒ
partján	ˈpɒrcaːn
partner	ˈpɒrtnɛr
partnere	ˈpɒrtnɛrɛ
partnered	ˈpɒrtnɛrɛd
partnereink	ˈpɒrtnɛrɛʲiŋk
partnerek	ˈpɒrtnɛrɛk
partneren	ˈpɒrtnɛrɛn
partneri	ˈpɒrtnɛri
partnert	ˈpɒrtnɛrt
partok	ˈpɒrtok
pártok	ˈpaːrtok
parton	ˈpɒrton
partot	ˈpɒrtot
pártot	ˈpaːrtot
pártprogram	ˈpaːrtproɡrɒm
partra	ˈpɒrtrɒ
partvonal	ˈpɒrtvonɒl
pasa	ˈpɒʃɒ
pasas	ˈpɒʃɒʃ
pasasér	ˈpɒʃɒʃeːr
pascal	ˈpɒskaːl
pascal	ˈpɒskaːl
pasi	ˈpɒʃi
passzátszél	ˈpɒsːaːtseːl
passzátszelek	ˈpɒsːaːtsɛlɛk
passzió	ˈpɒsːiʲoː
passziók	ˈpɒsːiʲoːk
passzív	ˈpɒsːiːv
passzivitás	ˈpɒsːivitaːʃ
passzivitások	ˈpɒsːivitaːʃok
passzol	ˈpɒsːol
pástétom	ˈpaːʃteːtom
paszomány	ˈpɒsomaːɲ
paszományok	ˈpɒsomaːɲok
paszpartu	ˈpɒspɒrtu
paszternák	ˈpɒstɛrnaːk
pasztinák	ˈpɒstinaːk
pásztor	ˈpaːstor
pásztorok	ˈpaːstorok
pásztoróra	ˈpaːstoroːrɒ
pásztorórák	ˈpaːstoroːraːk
pasztőröz	ˈpɒstøːrøz
paszuly	ˈpɒsuj
pata	ˈpɒtɒ
patagónia	ˈpɒtɒɡoːniʲɒ
patak	ˈpɒtɒk
paták	ˈpɒtaːk
patakaparó	ˈpɒtɒkɒpɒroː
patakká	ˈpɒtɒkːaː
patakocska	ˈpɒtɒkot͡ʃkɒ
patakocskák	ˈpɒtɒkot͡ʃkaːk
patakok	ˈpɒtɒkok
patakpart	ˈpɒtɒkpɒrt
patakpartok	ˈpɒtɒkpɒrtok
patakvíz	ˈpɒtɒkviːz
patakvizek	ˈpɒtɒkvizɛk
patakzik	ˈpɒtɒɡzik
pataszerű	ˈpɒtɒsɛryː
páternoszter	ˈpaːtɛrnostɛr
páternoszterek	ˈpaːtɛrnostɛrɛk
patika	ˈpɒtikɒ
patikák	ˈpɒtikaːk
patikus	ˈpɒtikuʃ
patikusok	ˈpɒtikuʃok
patisszon	ˈpɒtisːon
patkány	ˈpɒtkaːɲ
patkányméreg	ˈpɒtkaːɲmeːrɛɡ
patkányok	ˈpɒtkaːɲok
patkó	ˈpɒtkoː
patkóbél	ˈpɒtkoːbeːl
patkóbelek	ˈpɒtkoːbɛlɛk
patkók	ˈpɒtkoːk
patkol	ˈpɒtkol
patni	ˈpɒtni
patogén	ˈpɒtoɡeːn
patologikus	ˈpɒtoloɡikuʃ
patriarchális	ˈpɒtriʲɒrɦaːliʃ
patrícius	ˈpɒtriːt͡siʲuʃ
patríciusok	ˈpɒtriːt͡siʲuʃok
patriotizmus	ˈpɒtriʲotizmuʃ
patróna	ˈpɒtroːnɒ
patronázs	ˈpɒtronaːʒ
patronázsok	ˈpɒtronaːʒok
patronima	ˈpɒtronimɒ
patrónus	ˈpɒtroːnuʃ
pattan	ˈpɒtːɒn
pattanás	ˈpɒtːɒnaːʃ
pattanások	ˈpɒtːɒnaːʃok
pattogatott	ˈpɒtːoɡɒtotː
pauszpapír	ˈpɒuspɒpiːr
páva	ˈpaːvɒ
pávák	ˈpaːvaːk
pávakék	ˈpaːvɒkeːk
pávián	ˈpaːviʲaːn
páviánok	ˈpaːviʲaːnok
pazar	ˈpɒzɒr
pazarol	ˈpɒzɒrol
pázmány	ˈpaːzmaːɲ
pázsit	ˈpaːʒit
pech	ˈpɛxː
peches	ˈpɛxːɛʃ
pechhez	ˈpɛxhɛz
pécs	ˈpeːt͡ʃ
pécsen	ˈpeːt͡ʃɛn
pecsenye	ˈpɛt͡ʃɛɲɛ
pecsenyék	ˈpɛt͡ʃɛɲeːk
pecsét	ˈpɛt͡ʃeːt
pécsett	ˈpeːt͡ʃɛtː
pécsi	ˈpeːt͡ʃi
pedagógia	ˈpɛdɒɡoːɡiʲɒ
pedagógiai	ˈpɛdɒɡoːɡiʲɒʲi
pedagógus	ˈpɛdɒɡoːɡuʃ
pedál	ˈpɛdaːl
pedig	ˈpɛdiɡ
pedikűr	ˈpɛdikyːr
pedikűrök	ˈpɛdikyːrøk
pedikűrös	ˈpɛdikyːrøʃ
pedikűrösök	ˈpɛdikyːrøʃøk
pedikűröz	ˈpɛdikyːrøz
pedikűröztet	ˈpɛdikyːrøstɛt
pégaszosz	ˈpeːɡɒsos
pegazus	ˈpɛɡɒzuʃ
pehely	ˈpɛhɛj
pehelyfelhő	ˈpɛhɛjfɛlɦøː
pehelypaplan	ˈpɛhɛjpɒplɒn
pehelypaplanok	ˈpɛhɛjpɒplɒnok
pehelysúly	ˈpɛhɛjʃuːj
pej	ˈpɛj
pejoratív	ˈpɛjorɒtiːv
pék	ˈpeːk
pékek	ˈpeːkɛk
péket	ˈpeːkɛt
peking	ˈpɛkiŋɡ
pékség	ˈpeːkʃeːɡ
pékségek	ˈpeːkʃeːɡɛk
példa	ˈpeːldɒ
példája	ˈpeːldaːjɒ
példák	ˈpeːldaːk
példákat	ˈpeːldaːkɒt
példakép	ˈpeːldɒkeːp
példaképek	ˈpeːldɒkeːpɛk
példány	ˈpeːldaːɲ
példánya	ˈpeːldaːɲɒ
példányok	ˈpeːldaːɲok
példányt	ˈpeːldaːɲt
példáról	ˈpeːldaːroːl
példát	ˈpeːldaːt
példátlan	ˈpeːldaːtlɒn
például	ˈpeːldaːul
pelenka	ˈpɛlɛŋkɒ
pelenkák	ˈpɛlɛŋkaːk
pelikán	ˈpɛlikaːn
péló	ˈpeːloː
pelyva	ˈpɛjvɒ
pelyvák	ˈpɛjvaːk
pendül	ˈpɛndyl
pendülnek	ˈpɛndylnɛk
penész	ˈpɛneːs
penészedik	ˈpɛneːsɛdik
penészek	ˈpɛneːsɛk
penészes	ˈpɛneːsɛʃ
peng	ˈpɛŋɡ
penge	ˈpɛŋɡɛ
pengék	ˈpɛŋɡeːk
pengő	ˈpɛŋɡøː
pénisz	ˈpeːnis
penna	ˈpɛnːɒ
pentán	ˈpɛntaːn
pentaprizma	ˈpɛntɒprizmɒ
péntek	ˈpeːntɛk
péntek	ˈpeːntɛk
péntekek	ˈpeːntɛkɛk
pénteken	ˈpeːntɛkɛn
péntekenként	ˈpeːntɛkɛŋkeːnt
pénteki	ˈpeːntɛki
pentium	ˈpɛntiʲum
pénz	ˈpeːnz
pénzbe	ˈpeːnzbɛ
pénzbeli	ˈpeːnzbɛli
pénzben	ˈpeːnzbɛn
pénzből	ˈpeːnzbøːl
pénze	ˈpeːnzɛ
pénzek	ˈpeːnzɛk
pénzeket	ˈpeːnzɛkɛt
pénzeknek	ˈpeːnzɛknɛk
pénzem	ˈpeːnzɛm
pénzért	ˈpeːnzeːrt
pénzes	ˈpeːnzɛʃ
pénzét	ˈpeːnzeːt
pénzhiány	ˈpeːnshiʲaːɲ
pénzhiányok	ˈpeːnshiʲaːɲok
pénzintézet	ˈpeːnzinteːzɛt
pénzintézetek	ˈpeːnzinteːzɛtɛk
penzió	ˈpɛnziʲoː
pénzmosás	ˈpeːnzmoʃaːʃ
pénznek	ˈpeːnznɛk
pénzre	ˈpeːnzrɛ
pénzt	ˈpeːnst
pénztár	ˈpeːnstaːr
pénztárca	ˈpeːnstaːrt͡sɒ
pénztárcák	ˈpeːnstaːrt͡saːk
pénztárgép	ˈpeːnstaːrɡeːp
pénztárgépszalag	ˈpeːnstaːrɡeːpsɒlɒɡ
pénztáros	ˈpeːnstaːroʃ
pénztárosok	ˈpeːnstaːroʃok
pénztelen	ˈpeːnstɛlɛn
pénztelenség	ˈpeːnstɛlɛnʃeːɡ
pénztelenségi	ˈpeːnstɛlɛnʃeːɡi
pénzzel	ˈpeːnzɛl
pénzügy	ˈpeːnzyɟ
pénzügyi	ˈpeːnzyɟi
pénzügyminiszter	ˈpeːnzyɟministɛr
pénzügyminisztérium	ˈpeːnzyɟministeːriʲum
pép	ˈpeːp
pépek	ˈpeːpɛk
per	ˈpɛr
perc	ˈpɛrt͡s
perccel	ˈpɛrt͡sɛl
perce	ˈpɛrt͡sɛ
perced	ˈpɛrt͡sɛd
percei	ˈpɛrt͡sɛʲi
perceid	ˈpɛrt͡sɛʲid
perceik	ˈpɛrt͡sɛʲik
perceim	ˈpɛrt͡sɛʲim
perceink	ˈpɛrt͡sɛʲiŋk
perceitek	ˈpɛrt͡sɛʲitɛk
percek	ˈpɛrt͡sɛk
percem	ˈpɛrt͡sɛm
percemen	ˈpɛrt͡sɛmɛn
percemet	ˈpɛrt͡sɛmɛt
percemre	ˈpɛrt͡sɛmrɛ
percen	ˈpɛrt͡sɛn
percenként	ˈpɛrt͡sɛŋkeːnt
percenkénti	ˈpɛrt͡sɛŋkeːnti
percent	ˈpɛrt͡sɛnt
perces	ˈpɛrt͡sɛʃ
percetek	ˈpɛrt͡sɛtɛk
perckor	ˈpɛrt͡skor
percmutató	ˈpɛrt͡smutɒtoː
percnyi	ˈpɛrt͡sɲi
percre	ˈpɛrt͡srɛ
percük	ˈpɛrt͡syk
percünk	ˈpɛrt͡syŋk
perdít	ˈpɛrdiːt
perdita	ˈpɛrditɒ
perdül	ˈpɛrdyl
perdület	ˈpɛrdylɛt
perdületek	ˈpɛrdylɛtɛk
pere	ˈpɛrɛ
perec	ˈpɛrɛt͡s
perece	ˈpɛrɛt͡sɛ
pereced	ˈpɛrɛt͡sɛd
perecei	ˈpɛrɛt͡sɛʲi
perecek	ˈpɛrɛt͡sɛk
perecem	ˈpɛrɛt͡sɛm
perecen	ˈpɛrɛt͡sɛn
pereces	ˈpɛrɛt͡sɛʃ
pereg	ˈpɛrɛɡ
peregtek	ˈpɛrɛktɛk
perei	ˈpɛrɛʲi
perek	ˈpɛrɛk
perel	ˈpɛrɛl
peren	ˈpɛrɛn
pereputty	ˈpɛrɛpucː
pereputtyok	ˈpɛrɛpucːok
peres	ˈpɛrɛʃ
pereskedik	ˈpɛrɛʃkɛdik
perfid	ˈpɛrfid
perforál	ˈpɛrforaːl
perforált	ˈpɛrforaːlt
periféria	ˈpɛrifeːriʲɒ
periferiális	ˈpɛrifɛriʲaːliʃ
periódus	ˈpɛriʲoːduʃ
periódusok	ˈpɛriʲoːduʃok
periódusos	ˈpɛriʲoːduʃoʃ
perje	ˈpɛrjɛ
perjel	ˈpɛrjɛl
perjelek	ˈpɛrjɛlɛk
perlekedik	ˈpɛrlɛkɛdik
permutáció	ˈpɛrmutaːt͡siʲoː
permutációk	ˈpɛrmutaːt͡siʲoːk
peron	ˈpɛron
peronok	ˈpɛronok
perre	ˈpɛrːɛ
perspektivikus	ˈpɛrʃpɛktivikuʃ
persze	ˈpɛrsɛ
perszephoné	ˈpɛrsɛfoneː
perszepolisz	ˈpɛrsɛpolis
perszeusz	ˈpɛrsɛus
perszóna	ˈpɛrsoːnɒ
perszónák	ˈpɛrsoːnaːk
pert	ˈpɛrt
perturbáció	ˈpɛrturbaːt͡siʲoː
perturbációk	ˈpɛrturbaːt͡siʲoːk
perzsák	ˈpɛrʒaːk
pesavar	ˈpɛʃɒvɒr
pesszárium	ˈpɛsːaːriʲum
pesszimista	ˈpɛsːimiʃtɒ
pesszimizmus	ˈpɛsːimizmuʃ
pesszimizmusok	ˈpɛsːimizmuʃok
pest	ˈpɛʃt
pesten	ˈpɛʃtɛn
pesti	ˈpɛʃti
pestis	ˈpɛʃtiʃ
pestisek	ˈpɛʃtiʃɛk
pestisjárvány	ˈpɛʃtiʃjaːrvaːɲ
pestisjárványok	ˈpɛʃtiʃjaːrvaːɲok
pestre	ˈpɛʃtrɛ
pészah	ˈpeːsɒx
pesztra	ˈpɛstrɒ
pesztrák	ˈpɛstraːk
pete	ˈpɛtɛ
petefészek	ˈpɛtɛfeːsɛk
petefészkek	ˈpɛtɛfeːskɛk
peték	ˈpɛteːk
péter	ˈpeːtɛr
peti	ˈpɛti
petíció	ˈpɛtiːt͡siʲoː
petíciók	ˈpɛtiːt͡siʲoːk
petit	ˈpɛtit
petrezselyem	ˈpɛtrɛʒɛjɛm
petri-csésze	ˈpɛtrit͡ʃeːsɛ
petri-csészék	ˈpɛtrit͡ʃeːseːk
petróleumlámpa	ˈpɛtroːlɛumlaːmpɒ
petróleumlámpák	ˈpɛtroːlɛumlaːmpaːk
petőfi	ˈpɛtøːfi
pezseg	ˈpɛʒɛɡ
pezsgő	ˈpɛʒɡøː
pezsgőbe	ˈpɛʒɡøːbɛ
pezsgők	ˈpɛʒɡøːk
pezsgős	ˈpɛʒɡøːʃ
pezsgőspohár	ˈpɛʒɡøːʃpoɦaːr
pezsgőspoharak	ˈpɛʒɡøːʃpoɦɒrɒk
pezsgőspohárból	ˈpɛʒɡøːʃpoɦaːrboːl
pézsmatök	ˈpeːʒmɒtøk
pézsmatökök	ˈpeːʒmɒtøkøk
pf.	ˈpoʃtɒfiʲoːk
pfuj	ˈpfuj
phd	ˈpeːɦaːdeː
phd	ˈpiːʲeːd͡ʒdiː
photoshoppol	ˈfotoʃopːol
pia	ˈpiʲɒ
piac	ˈpiʲɒt͡s
piaca	ˈpiʲɒt͡sɒ
piacán	ˈpiʲɒt͡saːn
piacgazdaság	ˈpiʲɒd͡zɡɒzdɒʃaːɡ
piaci	ˈpiʲɒt͡si
piackutatás	ˈpiʲɒt͡skutɒtaːʃ
piacok	ˈpiʲɒt͡sok
piacokat	ˈpiʲɒt͡sokɒt
piacokon	ˈpiʲɒt͡sokon
piacokra	ˈpiʲɒt͡sokrɒ
piacon	ˈpiʲɒt͡son
piacot	ˈpiʲɒt͡sot
piacra	ˈpiʲɒt͡srɒ
piacvezető	ˈpiʲɒt͡svɛzɛtøː
piál	ˈpiʲaːl
pici	ˈpit͡si
picik	ˈpit͡sik
picit	ˈpit͡sit
