アーバーダーン	ābādān
ロードローラー	rōdorōrā
ロードショー	rōdoshō
ロドス	rodosu
ローファー	rōfā
ロゴ	rogo
ログ	rogu
ログイン	roguin
ロイヤル	roiyaru
ロジャー	rojā
ロジウム	rojiumu
ローカライゼーション	rōkaraizēshon
ローカル	rōkaru
ロケット	roketto
ロキ	roki
ロッカー	rokkā
ロッキード	rokkīdo
ロック	rokku
ロックアウト	rokkuauto
ロックフォール	rokkufōru
ローマ	rōma
ローマジ	rōmaji
ロマン	roman
ロマンチック	romanchikku
ロマンチスト	romanchisuto
ロマンス	romansu
ロマンティスト	romantisuto
ロメ	rome
ロム	romu
ロームシャ	rōmusha
ロン	ron
ローン	rōn
ロンバルディア	ronbarudia
ロンドン	rondon
ロング	rongu
ロングヒット	ronguhitto
ロンリー	ronrī
ロープ	rōpu
ロープウェイ	rōpuwei
ローラー	rōrā
ローラーコースター	rōrākōsutā
ローラースケート	rōrāsukēto
ロレックス	rorekkusu
ローレンシウム	rōrenshiumu
ローレンス	rōrensu
ロリ	rori
ローリー	rōrī
ロリコン	rorikon
ロリポップ	roripoppu
ロリータ	rorīta
ロール	rōru
ロサンゼルス	rosanzerusu
ロシア	roshia
ローション	rōshon
ロウソク	rōsoku
ローソク	rōsoku
ロス	rosu
ロスレス	rosuresu
ローター	rōtā
ロータリー	rōtarī
ロタウイルス	rotauirusu
ロト	roto
ロットワイラー	rottowairā
ロヴァニエミ	rovaniemi
ローヤルゼリー	rōyaruzerī
ロザリオ	rozario
ロゼ	roze
ロゾー	rozō
ローズ	rōzu
ルー	rū
ルアンダ	ruanda
ルーバー	rūbā
ルバシカ	rubashika
ルビ	rubi
ルビー	rubī
ルビジウム	rubijiumu
ルーブル	rūburu
ルーチン	rūchin
ルーデサック	rūde-sakku
ルドルフ	rudorufu
ルイ	rui
ルイジアナ	ruijiana
ルイス	ruisu
ルージュ	rūju
ルカ	ruka
ルックス	rukkusu
ルーク	rūku
ルクセンブルグ	rukusenburugu
ルクセンブルク	rukusenburuku
ルクソン	rukuson
ルクソール	rukusōru
ルクス	rukusu
ルーマニア	rūmania
ルーメン	rūmen
ルーム	rūmu
ルームメイト	rūmumeito
ルナ	runa
ルナール	runāru
ルネサンス	runesansu
ルネッサンス	runessansu
ルーペ	rūpe
ルペン	rupen
ルピー	rupī
ルポ	rupo
ルポライター	ruporaitā
ルポルタージュ	ruporutāju
ループ	rūpu
ルーレット	rūretto
ルール	rūru
ルサカ	rusaka
ルーシ	rūshi
ルシファー	rushifā
ルシフェル	rushiferu
ルシヘル	rushiheru
ルータ	rūta
ルーター	rūtā
ルテチウム	rutechiumu
ルテニウム	ruteniumu
ルート	rūto
ルートビア	rūtobia
ルートヴィヒ	rūtovihi
ルーヴェン	rūven
ルーヴル	rūvuru
ルワンダ	ruwanda
ルーズベルト	rūzuberuto
リャマ	ryama
リョコウバト	ryokōbato
リョナ	ryona
リュブリャナ	ryuburyana
リューイーソー	ryūīsō
リュージュ	ryūju
リュック	ryukku
リュックサック	ryukkusakku
リュクサンブール	ryukusanbūru
リューネブルク	ryūneburuku
リュート	ryūto
サバ	saba
サーバー	sābā
サバゲー	sabagē
サバヒー	sabahī
サバンナ	sabanna
サーバル	sābaru
サーベル	sāberu
サビ	sabi
サービス	sābisu
サボン	sabon
サボタージ	sabotāji
サボタージュ	sabotāju
サボテン	saboten
サブ	sabu
サブカル	sabukaru
サブカルチャー	sabukaruchā
サブマリン	sabumarin
サーブル	sāburu
サーチライト	sāchiraito
サディスティック	sadisutikku
サディスト	sadisuto
サディズム	sadizumu
サド	sado
サード	sādo
サーファー	sāfā
サファイア	safaia
サファイヤ	safaiya
サファリ	safari
サッフィズム	saffizumu
サーフィン	sāfin
サフィズム	safizumu
サーフボード	sāfubōdo
サギ	sagi
サハラ	sahara
サハリン	saharin
サイ	sai
サイバネティックス	saibanetikkusu
サイバシ	saibashi
サイバースペース	saibāsupēsu
サイベリアン	saiberian
サイボーグ	saibōgu
サイダー	saidā
サイド	saido
サイドミラー	saidomirā
サイエンス	saiensu
サイエントロジー	saientorojī
サイフォン	saifon
サイホン	saihon
サイキック	saikikku
サイコメトリー	saikometorī
サイコロ	saikoro
サイコロジー	saikorojī
サイクリング	saikuringu
サイクロイド	saikuroido
サイクロプス	saikuropusu
サイクル	saikuru
サイン	sain
サインオフ	sain'ofu
サインペン	sainpen
サイオン	saion
サイレージ	sairēji
サイレン	sairen
サイレンサー	sairensā
サイロ	sairo
サイシン	saishin
サイス	saisu
サイト	saito
サイトマップ	saitomappu
サイズ	saizu
サジェスチョン	sajesuchon
サジェスト	sajesuto
サーカス	sākasu
サケ	sake
サキソホン	sakisohon
サーキット	sākitto
サッカー	sakkā
サッカリン	sakkarin
サッカロース	sakkarōsu
サック	sakku
サックス	sakkusu
サクラ	sakura
サクラメント	sakuramento
サクラソウ	sakurasō
サークル	sākuru
サクサク	sakusaku
サクソフォン	sakusofon
サクソフォーン	sakusofōn
サマー	samā
サマエル	samaeru
サマーラ	samāra
サマリウム	samariumu
サメ	same
サミット	samitto
サモア	samoa
サーモン	sāmon
サモサ	samosa
サーモスタット	sāmosutatto
サモワール	samowāru
サムエル	samueru
サムゲタン	samugetan
サムネ	samune
サムネイル	samuneiru
サムネール	samunēru
サナダムシ	sanadamushi
サナトリウム	sanatoriumu
サンバ	sanba
サンバー	sanbā
サンボ	sanbo
サンボードロモ	sanbōdoromo
サンチャゴ	sanchago
サンチアゴ	sanchiago
サンチーム	sanchīmu
サンダー	sandā
サンダル	sandaru
サンデー	sandē
サンド	sando
サンドバッグ	sandobaggu
サンドイッチ	sandoitchi
サンドイッチマン	sandoitchiman
サンドペーパー	sandopēpā
サンドレス	sandoresu
サンドウィッチ	sandowitchi
サンゴ	sango
サングラス	sangurasu
サングリア	sanguria
サンクス	sankusu
サンクトペテルブルク	sankuto-peteruburuku
サンキュー	sankyū
サンマ	sanma
サンノゼ	sannoze
サンパン	sanpan
サンプル	sanpuru
サンラータン	sanrātan
サンルーフ	sanrūfu
サンサルバドル	sansarubadoru
サンショウウオ	sanshōuo
サンスクリット	sansukuritto
サンタ	santa
サンティアゴ	santiago
サントメプリンシペ	santomepurinshipe
サントラ	santora
サヌア	sanua
サンザシ	sanzashi
サオラ	saora
サポーター	sapōtā
サポート	sapōto
サプリ	sapuri
サプリメント	sapurimento
サラ	sara
サラバ	saraba
サラブレッド	sarabureddo
サラダ	sarada
サラエボ	saraebo
サラエヴォ	saraevo
サラファン	sarafan
サラジュ	saraju
サラマンダー	saramandā
サラミ	sarami
サラノキ	saranoki
サラリー	sararī
サラリーマン	sararīman
サラサ	sarasa
サラソウジュ	sarasōju
サライェヴォ	sarayevo
サリー	sarī
サリン	sarin
サーロイン	sāroin
サロン	saron
サル	saru
サルデーニャ	sarudēnya
サルーキ	sarūki
サルクイワシ	sarukuiwashi
サルサ	sarusa
サルスベリ	sarusuberi
サシ	sashi
サソリ	sasori
サスカチュワン	sasukachuwan
サスペンション	sasupenshon
サスペンス	sasupensu
サタン	satan
サターン	satān
サタニズム	satanizumu
サテライト	sateraito
サーティーン	sātīn
サトウキビ	satōkibi
サトシ	satoshi
サツキ	satsuki
サテュロス	satyurosu
サウダージ	saudāji
サウナ	sauna
サウンド	saundo
サウンドトラック	saundotorakku
サウサンプトン	sausanputon
サウス	sausu
サウスハンプトン	sausuhanputon
サワークリーム	sawākurīmu
サザエ	sazae
サザンカ	sazanka
サーズ	sāzu
セ	se
セベク	sebeku
セビロ	sebiro
セボルガ	seboruga
セーブ	sēbu
セブン	sebun
セダン	sedan
セーフ	sēfu
セフレ	sefure
セガ	sega
セグメント	segumento
セグウェイ	seguwei
セイゴ	seigo
セイラム	seiramu
セイラン	seiran
セイレイ	seirei
セイレーン	seirēn
セイロン	seiron
セイシェル	seisheru
セイタン	seitan
セイウチ	seiuchi
セカンド	sekando
セカント	sekanto
セキレイ	sekirei
セックス	sekkusu
セックスアピール	sekkusuapīru
セコンド	sekondo
セクハラ	sekuhara
セクマイ	sekumai
セクメト	sekumeto
セクシャル	sekusharu
セクシー	sekushī
セクション	sekushon
セクシュアル	sekushuaru
セクター	sekutā
セキュリティ	sekyuriti
セキュリティー	sekyuritī
セメント	semento
セミ	semi
セミコロン	semikoron
セミナー	seminā
セミロング	semirongu
セム	semu
センチメートル	senchimētoru
セネガル	senegaru
センサ	sensa
センサー	sensā
センス	sensu
センター	sentā
センテンス	sentensu
セント	sento
セントポーリア	sentopōria
セントラル	sentoraru
セントロメア	sentoromea
セントルイス	sentoruisu
セントルシア	sentorushia
セーヌ	sēnu
セオリー	seorī
セーラー	sērā
セレブ	serebu
セレブリティ	sereburiti
セレブリティー	sereburitī
セレモニー	seremonī
セレン	seren
セレーナ	serēna
セレナーデ	serenāde
セレナード	serenādo
セレネ	serene
セレーネー	serēnē
セレニティ	sereniti
セレス	seresu
セリフ	serifu
セリウム	seriumu
セロ	sero
セロファン	serofan
セロハン	serohan
セロリ	serori
セロテープ	serotēpu
セル	seru
セルビア	serubia
セルフィー	serufī
セルフ	serufu
セルフネイル	serufu-neiru
セルフレジ	serufureji
セルフサービス	serufusābisu
セルロイド	seruroido
セルロース	serurōsu
セールス	sērusu
セールスマン	sērusuman
セーシェル	sēsheru
セシウム	seshiumu
セッション	sesshon
セーター	sētā
セト	seto
セッター	settā
セット	setto
セットアップ	settoappu
セットリスト	settorisuto
セザンヌ	sezannu
シャー	shā
シャベル	shaberu
シャーベット	shābetto
シャボン	shabon
シャブ	shabu
シャチ	shachi
シャーデンフロイデ	shādenfuroide
シャドー	shadō
シャドーボクシング	shadōbokushingu
シャッフル	shaffuru
シャフト	shafuto
シャガ	shaga
シャゲダン	shagedan
シャイ	shai
シャイアン	shaian
シャケ	shake
シャム	shamu
シャンチー	shanchī
シャンデリア	shanderia
シャンハイ	shanhai
シャンパン	shanpan
シャンパーニュ	shanpānyu
シャンペン	shanpen
シャンペーン	shanpēn
シャンプー	shanpū
シャーペン	shāpen
シャープ	shāpu
シャープナー	shāpunā
シャラ	shara
シャラノキ	sharanoki
シャラソウジュ	sharasōju
シャレ	share
シャーロット	shārotto
シャーロッツビル	shārottsubiru
シャーロッツヴィル	shārottsuviru
シャルムーズ	sharumūzu
シャルル	sharuru
シャルトリュー	sharutoryū
シャシリク	shashiriku
シャトル	shatoru
シャツ	shatsu
シャッター	shattā
シャットダウン	shattodaun
シャワー	shawā
シェア	shea
シェアウエア	sheauea
シェアウェア	sheawea
シェーバー	shēbā
シェフィールド	shefīrudo
シェフ	shefu
シェイクスピア	sheikusupia
シェラン	sheran
シェリー	sherī
シェル	sheru
シェルター	sherutā
シイ	shī
シー	shī
シアン	shian
シアター	shiatā
シアトル	shiatoru
シバ	shiba
シーバス	shībasu
シベリア	shiberia
シーベルト	shīberuto
シーボーギウム	shībōgiumu
シボレー	shiborē
シチメンチョウ	shichimenchō
シチリア	shichiria
シチュー	shichū
シチュエーション	shichuēshon
シッダールタ	shiddāruta
シード	shīdo
シドニー	shidonī
シーエム	shīemu
シエシエ	shieshie
シフォン	shifon
シーフード	shīfūdo
シフト	shifuto
シガー	shigā
シガレット	shigaretto
シグマ	shiguma
シジフォス	shijifosu
シカ	shika
シカゴ	shikago
シカイノシシ	shikainoshishi
シカレイヨウ	shikareiyō
シキミ	shikimi
シック	shikku
シックス	shikkusu
シックスナイン	shikkusunain
シクラメン	shikuramen
シークヮーサー	shīkwāsā
シマアジ	shimaaji
シマヘビ	shimahebi
シマウマ	shimauma
シミ	shimi
シミター	shimitā
シミーズ	shimīzu
シモン	shimon
シミュレーション	shimyurēshon
シーン	shīn
シナ	shina
シナジー	shinajī
シナモン	shinamon
シナプス	shinapusu
シナリオ	shinario
シンバル	shinbaru
シンビオジェネシス	shinbiojeneshisu
シンボル	shinboru
シンデレラ	shinderera
シンドバッド	shindobaddo
シンドローム	shindorōmu
シネマ	shinema
シンフォニー	shinfonī
シンフォニエッタ	shinfonietta
シンガー	shingā
シンガポール	shingapōru
シンガプーラ	shingapūra
シンガーソングライター	shingāsonguraitā
シングル	shinguru
シングルス	shingurusu
シニア	shinia
シニヨン	shiniyon
シンク	shinku
シンクタンク	shinkutanku
シンノリン	shinnorin
シンポジウム	shinpojiumu
シンプル	shinpuru
シンセ	shinse
シンセポップ	shinsepoppu
シンセサイザー	shinsesaizā
シンシナティ	shinshinati
シオン	shion
シップ	shippu
シラバス	shirabasu
シラフ	shirafu
シーラカンス	shīrakansu
シラクサ	shirakusa
シラキュース	shirakyūsu
シラミ	shirami
シーランド	shīrando
シラサギ	shirasagi
シリア	shiria
シリアル	shiriaru
シリコン	shirikon
シリコーン	shirikōn
シリンダー	shirindā
シリング	shiringu
シリウス	shiriusu
シリーズ	shirīzu
シロアリ	shiroari
シロハラ	shirohara
シロイルカ	shiroiruka
シロカモシカ	shirokamoshika
シロクマ	shirokuma
シロップ	shiroppu
シロウリ	shirouri
シール	shīru
シルバー	shirubā
シールブック	shīrubukku
シルエット	shiruetto
シルフ	shirufu
シーサー	shīsā
シシャモ	shishamo
シシ	shishi
シシリー	shishirī
シシュフォス	shishufosu
シシュポス	shishuposu
シーシュポス	shīshuposu
シーソー	shīsō
シスオペ	shisuope
シスター	shisutā
システイン	shisutein
システム	shisutemu
システムキッチン	shisutemukitchin
シータ	shīta
シイタケ	shītake
シタール	shitāru
シティ	shiti
シティー	shitī
シティポップ	shitipoppu
シート	shīto
シトシン	shitoshin
シーツ	shītsu
シット	shitto
シウマイ	shiumai
シヴァ	shiva
シーザー	shīzā
シーズー	shīzū
シーズン	shīzun
ショー	shō
ショベル	shoberu
ショービニズム	shōbinizumu
ショウガ	shōga
ショーケース	shōkēsu
ショック	shokku
ショックアブソーバー	shokkuabusōbā
ショコラ	shokora
ショパン	shopan
ショッピング	shoppingu
ショップ	shoppu
ショウロンポウ	shōronpō
ショール	shōru
ショールーム	shōrūmu
ショタ	shota
ショタコン	shotakon
ショート	shōto
ショートカット	shōtokatto
ショートカットキー	shōtokattokī
ショートストップ	shōtosutoppu
ショーツ	shōtsu
ショット	shotto
ショットガン	shottogan
ショーウィンドウ	shōwindō
シュー	shū
シュバシコウ	shubashikō
シューゲイザー	shūgeizā
シュークリーム	shūkurīmu
シュウマイ	shūmai
シューマイ	shūmai
シュメール	shumēru
シュミーズ	shumīzu
シュナウザー	shunauzā
シュニッツェル	shunittseru
シュパイアー	shupaiā
シュラフ	shurafu
シュラーフ	shurāfu
シュラフザック	shurafuzakku
シュラーフザック	shurāfuzakku
シュラスコ	shurasuko
シュレッダー	shureddā
シュール	shūru
シュルレアリスム	shururearisumu
シュールレアリスム	shūrurearisumu
シュタゲ	shutage
シュート	shūto
シューズ	shūzu
スィー	sī
ソビエト	sobieto
ソチ	sochi
ソーダ	sōda
ソード	sōdo
ソファ	sofa
ソファー	sofā
ソフィア	sofia
ソフホーズ	sofuhōzu
ソフテニ	sofuteni
ソフト	sofuto
ソフトボール	sofutobōru
ソフトカバー	sofutokabā
ソフトウエア	sofutouea
ソフトウェア	sofutowea
ソグディアナ	sogudiana
ソジュ	soju
ソカ	soka
ソケイ	sokei
ソックス	sokkusu
ソクラテス	sokuratesu
ソクズ	sokuzu
ソマリ	somari
ソマリア	somaria
ソマリランド	somarirando
ソムリエ	somurie
ソムタム	somutamu
ソン	son
ソナー	sonā
ソナタ	sonata
ソンブレロ	sonburero
ソネット	sonetto
ソング	songu
ソニー	sonī
ソニックブーム	sonikkubūmu
ソプラノ	sopurano
ソリティア	soritia
ソリトン	soriton
ソロ	soro
ソロモン	soromon
ソル	soru
ソール	sōru
ソルビトール	sorubitōru
ソルフェージュ	sorufēju
ソールズベリー	sōruzuberī
ソーサー	sōsā
ソーサリー	sōsarī
ソーセージ	sōsēji
ソーシャルメディア	sōsharumedia
ソース	sōsu
ソート	sōto
ソウル	souru
ソヴェト	soveto
ソワカ	sowaka
スバ	suba
スバル	subaru
スチーブン	suchībun
スチール	suchīru
スチュワーデス	suchuwādesu
スチュワード	suchuwādo
スダチ	sudachi
スーダン	sūdan
スエード	suēdo
スエット	suetto
スフィンクス	sufinkusu
スーフィズム	sūfizumu
スフレ	sufure
スイギュウ	suigyū
スイカ	suika
スイミング	suimingu
スイング	suingu
スイングドア	suingudoa
スイセン	suisen
スイス	suisu
スイッチ	suitchi
スイートコーン	suītokōn
スイートピー	suītopī
スイーツ	suītsu
スカ	suka
スカーフ	sukāfu
スカイダイビング	sukaidaibingu
スカイプ	sukaipu
スカイライン	sukairain
スカンジウム	sukanjiumu
スカンク	sukanku
スカラー	sukarā
スカラベ	sukarabe
スカラブ	sukarabu
スカッシュ	sukasshu
スカート	sukāto
スカトロ	sukatoro
スカウト	sukauto
スカウトレポート	sukautorepōto
スケジュール	sukejūru
スケール	sukēru
スケルタル	sukerutaru
スケルトン	sukeruton
スケソウダラ	sukesōdara
スケッチブック	suketchibukku
スケート	sukēto
スケートボード	sukētobōdo
スケトウダラ	suketōdara
スキー	sukī
スキッドマーク	sukiddomāku
スキーイング	sukīingu
スキーム	sukīmu
スキン	sukin
スキンヘッド	sukinheddo
スキンシップ	sukinshippu
スキレット	sukiretto
スキル	sukiru
スキーヤー	sukīyā
スコア	sukoa
スコアボード	sukoabōdo
スコピエ	sukopie
スコップ	sukoppu
スコール	sukōru
スコート	sukōto
スコット	sukotto
スコットランド	sukottorando
スーク	sūku
スクープ	sukūpu
スクラム	sukuramu
スクラップ	sukurappu
スクラップブック	sukurappubukku
スクリーン	sukurīn
スクリーンショット	sukurīnshotto
スクリーンテスト	sukurīntesuto
スクリプト	sukuriputo
スクロール	sukurōru
スクロールバー	sukurōrubā
スクロース	sukurōsu
スクール	sukūru
スクリュードライバー	sukuryūdoraibā
スクショ	sukusho
スクーター	sukūtā
スクウェア	sukuwea
スキャナ	sukyana
スキャナー	sukyanā
スキャンダル	sukyandaru
スキャンティー	sukyantī
スマフォ	sumafo
スマホ	sumaho
スマイル	sumairu
スマート	sumāto
スマートフォン	sumātofon
スマートホン	sumātohon
スマトラ	sumatora
スメルシ	sumerushi
スメルシュ	sumerushu
スミコ	sumiko
スミス	sumisu
スミツキザメ	sumitsukizame
スモッグ	sumoggu
スムーズ	sumūzu
スナック	sunakku
スナネコ	sunaneko
スナネズミ	sunanezumi
スナノミ	sunanomi
スニーカー	sunīkā
スノッブ	sunobbu
スノボ	sunobo
スノーボード	sunōbōdo
スノーグローブ	sunōgurōbu
スノーモービル	sunōmōbiru
スノープラウ	sunōpurau
スヌード	sunūdo
スーパーボール	sūpābōru
スパゲティ	supageti
スパゲティー	supagetī
スパゲッティ	supagetti
スーパーヒーロー	sūpāhīrō
スパイ	supai
スパイダー	supaidā
スーパーインポーズ	sūpāinpōzu
スパイス	supaisu
スパイウェア	supaiwea
スーパーコンピューター	sūpākonpyūtā
スーパーマーケット	sūpāmāketto
スーパーマン	sūpāman
スーパーモデル	sūpāmoderu
スーパーモタード	sūpāmotādo
スパナ	supana
スパンデックス	supandekkusu
スパングル	supanguru
スパンキング	supankingu
スパンコール	supankōru
スパルタ	suparuta
スーパースター	sūpāsutā
スペアミント	supeaminto
スペード	supēdo
スペイン	supein
スペクトル	supekutoru
スペリング	superingu
スペル	superu
スペシャル	supesharu
スペース	supēsu
スピーチ	supīchi
スピード	supīdo
スピードバンプ	supīdobanpu
スピカ	supika
スピーカー	supīkā
スピナーシャーク	supināshāku
スピンオフ	supin'ofu
スポイラー	supoirā
スポイト	supoito
スポケーン	supokēn
スポークスマン	supōkusuman
スポンジ	suponji
スポンサー	suponsā
スポンサーシップ	suponsāshippu
スポーツ	supōtsu
スポーツバー	supōtsubā
スポーツブラ	supōtsubura
スポーツカー	supōtsukā
スポーツクラブ	supōtsukurabu
スポット	supotto
スポットライト	supottoraito
スッポン	suppon
スッポンモドキ	suppon-modoki
スープ	sūpu
スプーン	supūn
スプレー	supurē
スープレックス	sūpurekkusu
スプリング	supuringu
スプリングフィールド	supuringufīrudo
スプリンクラー	supurinkurā
スプリント	supurinto
スプール	supūru
スプートニク	supūtoniku
スラー	surā
スーラ	sūra
スラブ	surabu
スライダー	suraidā
スライド	suraido
スライドショー	suraidoshō
スライム	suraimu
スラックス	surakkusu
スラム	suramu
スラング	surangu
スランプ	suranpu
スラッシュ	surasshu
スラヴ	suravu
スレ	sure
スレッド	sureddo
スレート	surēto
スリー	surī
スリーブ	surību
スリナム	surinamu
スリーピース	surīpīsu
スリッパ	surippa
スリップ	surippu
スリラー	surirā
スリル	suriru
スリルライド	suriruraido
スリーサイズ	surī-saizu
スリーヴ	surīvu
スロバキア	surobakia
スロベニア	surobenia
スローガン	surōgan
スロヴァキア	surovakia
スロヴェニア	surovenia
スルー	surū
スルホキシド	suruhokishido
スルホン	suruhon
スルメ	surume
スルメイカ	surumeika
スループ	surūpu
スルタン	surutan
スルターン	surutān
スサノオ	susanoo
スター	sutā
スタバ	sutaba
スターバックス	sutābakkusu
スターダスト	sutādasuto
スタディー	sutadī
スタッフ	sutaffu
スタイリッシュ	sutairisshu
スタイル	sutairu
スタイルシート	sutairushīto
スタジアム	sutajiamu
スタジオ	sutajio
スタッカート	sutakkāto
スタンバイ	sutanbai
スタンダード	sutandādo
スタンディングオベーション	sutandinguobēshon
スタンド	sutando
スタンレーカップ	sutanrēkappu
スタント	sutanto
スタントマン	sutantoman
スターリン	sutārin
スタティック	sutatikku
スタート	sutāto
スタートボタン	sutātobotan
スタートレック	sutātorekku
ステアリン	sutearin
ステゴサウルス	sutegosaurusu
ステージ	sutēji
ステキ	suteki
ステーキ	sutēki
ステッカー	sutekkā
ステッキ	sutekki
ステークス	sutēkusu
ステムグラファー	sutemugurafā
ステンレス	sutenresu
ステンレススチール	sutenresusuchīru
ステップ	suteppu
ステープラ	sutēpura
ステープラー	sutēpurā
ステラジアン	suterajian
ステレオ	sutereo
ステロイド	suteroido
ステルス	suterusu
ステーション	sutēshon
ステータス	sutētasu
ステート	sutēto
スティーブ	sutību
スティーブン	sutībun
スティック	sutikku
スティーヴ	sutīvu
スティーヴン	sutīvun
スト	suto
スート	sūto
ストア	sutoa
ストーブ	sutōbu
ストーカー	sutōkā
ストッキング	sutokkingu
ストックホルム	sutokkuhorumu
ストーマ	sutōma
ストーン	sutōn
ストーンヘンジ	sutōnhenji
ストップ	sutoppu
ストップウオッチ	sutoppuuotchi
ストップウォッチ	sutoppuwotchi
ストライキ	sutoraiki
ストライク	sutoraiku
ストラップ	sutorappu
ストレージ	sutorēji
ストレンジクォーク	sutorenjikwōku
ストレス	sutoresu
ストレッチャー	sutoretchā
ストレッチ	sutoretchi
ストレッチング	sutoretchingu
ストレート	sutorēto
ストーリー	sutōrī
ストリーキング	sutorīkingu
ストリキニン	sutorikinin
ストリキニーネ	sutorikinīne
ストリング	sutoringu
ストリングス	sutoringusu
ストリッパー	sutorippā
ストリート	sutorīto
ストロー	sutorō
ストロベリー	sutoroberī
ストローク	sutorōku
ストロンチウム	sutoronchiumu
スーツ	sūtsu
スーツケース	sūtsukēsu
ストゥーパ	sutūpa
スワジランド	suwajirando
スワン	suwan
スウェーデン	suwēden
スウェットシャツ	suwettoshatsu
スウェットスーツ	suwettosūtsu
スウォンジ	suwonji
スウォンジー	suwonjī
スーザフォン	sūzafon
スズ	suzu
スズキ	suzuki
スズメ	suzume
スズメバチ	suzumebachi
スズムシ	suzumushi
スズラン	suzuran
タバコ	tabako
ターバン	tāban
タバスコ	tabasuko
タービン	tābin
ターボ	tābo
タブー	tabū
タブレット	taburetto
タブリーズ	taburīzu
タブロイド	taburoido
タチバナ	tachibana
タチウオ	tachiuo
タダイ	tadai
ターディオン	tādion
タフィー	tafī
タフ	tafu
タフネス	tafunesu
タフタ	tafuta
タゲリ	tageri
ターゲット	tāgetto
タッグ	taggu
タグ	tagu
タヒバリ	tahibari
タヒチ	tahichi
タイ	tai
タイア	taia
タイアップ	taiappu
タイガ	taiga
タイゴン	taigon
タイマー	taimā
タイマイ	taimai
タイミング	taimingu
タイム	taimu
タイムライン	taimurain
タイムセール	taimusēru
タイムシート	taimushīto
タイペイ	taipei
タイピング	taipingu
タイピスト	taipisuto
タイポグラフィ	taipogurafi
タイポグラフィー	taipogurafī
タイプ	taipu
タイプフェイス	taipufeisu
タイプフェース	taipufēsu
タイプライター	taipuraitā
タイル	tairu
タイトル	taitoru
タイツ	taitsu
タイヤ	taiya
タジキスタン	tajikisutan
タカ	taka
タケノコ	takenoko
ターキー	tākī
ターキン	tākin
タキオン	takion
タキシード	takishīdo
タコ	tako
タコマ	takoma
タコライス	takoraisu
タコス	takosu
タクボクチョウ	takubokuchō
タクシー	takushī
タクティクス	takutikusu
タクト	takuto
タマネギ	tamanegi
タマリン	tamarin
タマリンド	tamarindo
ターミナル	tāminaru
ターミナルアダプター	tāminaruadaputā
タモ	tamo
ターン	tān
タナゴ	tanago
タンバリン	tanbarin
タンブラン	tanburan
タンブリン	tanburin
タンチョウ	tanchō
タンゴ	tango
タングステン	tangusuten
タンジェント	tanjento
タンカー	tankā
タンキニ	tankini
タンク	tanku
タンパク	tanpaku
タンパクシツ	tanpakushitsu
タンペレ	tanpere
タンポン	tanpon
タンポポ	tanpopo
タンタロス	tantarosu
タンタル	tantaru
ターンテーブル	tāntēburu
タントラ	tantora
タヌキ	tanuki
タンザニア	tanzania
タオル	taoru
タオルケット	taoruketto
タピオカ	tapioka
タッピング	tappingu
タラ	tara
タラハシー	tarahashī
タラップ	tarappu
タレイア	tareia
タレント	tarento
タレス	taresu
タリン	tarin
タリウム	tariumu
タロット	tarotto
タルパ	tarupa
タルト	taruto
タアサイ	tāsai
ターサイ	tāsai
タシケント	tashikento
タスク	tasuku
タスマニア	tasumania
タッチ	tatchi
タッチダウン	tatchidaun
タッチパッド	tatchipaddo
タッチパネル	tatchipaneru
タッチペン	tatchipen
タテガミイヌ	tategamiinu
ターツァイ	tātsai
タウ	tau
タウマタファカタンギハンガコアウアウオタマテアポカイフェヌアキタナタフ	taumatafakatangihangakoauauotamateapokaifenuakitanatafu
タウン	taun
タウナギ	taunagi
タウオン	tauon
タウリン	taurin
タワー	tawā
タワレコ	tawareko
テビバイト	tebibaito
テビビット	tebibitto
テーブル	tēburu
テーブルクロス	tēburukurosu
テーブルスプーン	tēburusupūn
テフヌト	tefunuto
テグシガルパ	tegushigarupa
テヘラン	teheran
テイア	teia
テイアー	teiā
テイラー	teirā
テイスト	teisuto
テキパキ	tekipaki
テキーラ	tekīra
テキサス	tekisasu
テキスト	tekisuto
テキストブック	tekisutobukku
テックス	tekkusu
テコンドー	tekondō
テクネチウム	tekunechiumu
テクニカル	tekunikaru
テクニック	tekunikku
テクノ	tekuno
テクノロジー	tekunorojī
テクスト	tekusuto
テクトニクス	tekutonikusu
テーマ	tēma
テメ	teme
テミス	temisu
テモテ	temote
テン	ten
テナー	tenā
テナガザル	tenagazaru
テナント	tenanto
テネシー	teneshī
テネシン	teneshin
テングタケ	tengutake
テニス	tenisu
テノール	tenōru
テンペ	tenpe
テンポ	tenpo
テンプラ	tenpura
テンプレ	tenpure
テンプレート	tenpurēto
テンション	tenshon
テント	tento
テントウムシダマシ	tentō-mushi-damashi
テッポウエビ	teppōebi
テッポウウオ	teppōuo
テッポウユリ	teppōyuri
テープ	tēpu
テープレコーダー	tēpurekōdā
テラバイト	terabaito
テレビ	terebi
テレビジョン	terebijon
テレホン	terehon
テレカ	tereka
テレックス	terekkusu
テレコム	terekomu
テレクラ	terekura
テレマコス	teremakosu
テーレマコス	tēremakosu
テレパシー	terepashī
テレポーテーション	terepōtēshon
テレポート	terepōto
テレストレーター	teresutorētā
テレタイプ	teretaipu
テリア	teria
テリヤ	teriya
テロ	tero
テロメア	teromea
テロップ	teroppu
テロリスト	terorisuto
テロリズム	terorizumu
