.f	ʔ ɛ f
ꜥꜣdt	ɑː ʔ ɑ d ɛ t
ḏꜣdw	d͡ʒ ɑ d uː
ḏꜣf	d͡ʒ ɑ f
ꜣḫf	ɑ x ɛ f
ꜣꜥfj	ɑ ʔ ɑː f i
ꜥꜥft	ɑː ʔ ɑː f ɛ t
ꜥꜣg	ɑː ʔ ɑ ɡ
ḏꜣhꜣ	d͡ʒ ɑ h ɑ
ṯꜣj	c i ʀ j i t
ḏꜣj	d͡ʒ ɑ i
ṯꜣj	t͡ʃ i ʀ j i ʔ
ṯꜣj	t͡ʃ iː ʔ ə
ṯꜣj	t͡ʃ ɑ i
ḫꜣj	x ɑ i
ḫꜥj	x ɑː i
ḫꜥj	χ a ʕ j a
ḫꜥj	χ e ʕ j ə
ḫꜥj	χ i ʕ j i t
ꜥꜣj	ʕ i ʀ j i t
ḫꜥj	χ i ʕ j i ʔ
ꜥꜣj	ʕ i ʀ j i ʔ
ꜥꜣj	ʕ iː ʔ ə
ḥḏj	ħ ɛ d͡ʒ i
ḥꜣj	ħ ɑ i
ḥḥj	ħ ɛ ħ i
ḥꜥj	ħ ɑː i
ꜥẖj	ɑː ç i
ꜥꜣj	ɑː ʔ ɑ i
ꜥꜥj	ɑː ʔ ɑː i
ḏꜣjs	d͡ʒ ɑ i s
ḫꜣjw	x ɑ i uː
ḏꜥm	d͡ʒ ɑː m
ḫꜣm	x ɑ m
ẖꜥm	ç ɑː m
ꜥẖm	ʕ a ç aː m a w
ꜥẖm	ʕ a ç oː m
ꜥḫm	ɑː x ɛ m
ꜥẖm	ɑː ç ɛ m
ꜥꜣm	ɑː ʔ ɑ m
ꜥꜣmt	ɑː ʔ ɑ m ɛ t
ṯḥn	t͡ʃ ɛ ħ ɛ n
ḏꜥnt	c ʼ u ʕ n a t
ḏꜥnt	d͡ʒ ɑː n ɛ t
ḏꜥnt	t͡ʃ ʼ u ʕ n a ʔ
ḏꜥnt	t͡ʃ ʼ ø ʕ n ə
ṯḥnw	t͡ʃ ɛ ħ ɛ n uː
ꜣṯp	ɑ t͡ʃ ɛ p
ḥꜣp	ħ ɑ p
ḥꜥpj	ħ ɑː p i
ꜥꜣpp	ɑː ʔ ɑ p ɛ p
ẖꜥq	ç ɑː k
šꜣq	ʃ ɑ k
ḥꜣq	ħ ɑ k
šꜣqb	ʃ ɑ k ɛ b
šꜣqw	ʃ ɑ k uː
ḏꜣr	d͡ʒ ɑ r
ḏꜥr	d͡ʒ ɑː r
ẖꜣr	ç ɑ r
ꜣšr	ɑ ʃ ɛ r
ẖꜣrt	ç ɑ r ɛ t
ꜣšrt	ɑ ʃ r ɛ t
ḫꜣrw	x ɑ r uː
ḫꜣrw	χ u ɾ ɾ a w
ḫꜣrw	χ ø ɾ ɾ
šꜣs	ʃ ɑ s
ḫꜣst	x ɑ s ɛ t
ḫꜣstjw	x ɑ s t i uː
šꜣsw	ʃ ɑ s uː
ḏꜣt	d͡ʒ ɑ t
ḫꜣt	x ɑ t
ẖꜣt	ç ɑ t
ḥḏt	ħ e c ʼ j ə
ḥꜣt	ħ eː ʔ ə
ḥḏt	ħ u c ʼ j a t
ḥḏt	ħ u c ʼ j a ʔ
ḥꜣt	ħ uː ʀ i t
ḥꜣt	ħ uː ʀ i ʔ
ꜣḫt	ɑ x ɛ t
ḥḏt	ħ ɛ d͡ʒ ɛ t
ḥꜣt	ħ ɑ t
ꜣḥt	ɑ ħ ɛ t
ꜣꜣt	ɑ ʔ ɑ t
šꜥt	ʃ ɑː t
ꜥḏt	ɑː d͡ʒ ɛ t
ꜥꜣt	ɑː ʔ ɑ t
ḫꜣtb	x ɑ t ɛ b
ṯꜣtj	t͡ʃ ɑ t i
ḥꜣtj	ħ eː t
ḥꜣtj	ħ u ʀ iː t i j
ꜣḫtj	ɑ x t i
ḥꜣtj	ħ ɑ t i
ḏꜣtt	d͡ʒ ɑ t ɛ t
ṯꜣtt	t͡ʃ ɑ t ɛ t
ḥꜣtt	ħ ɑ t ɛ t
ꜣꜣtꜣ	ɑ ʔ ɑ t ɑ
ṯꜣw	c i ʀ w i t
ṯꜣw	c u ʀ w u w
ṯꜣw	t eː w
ṯꜣw	t u ʀ w u w
ṯꜣw	t͡ʃ i ʀ w i ʔ
ṯꜣw	t͡ʃ iː w ə
ṯꜣw	t͡ʃ ɑ uː
ṯḥw	t͡ʃ ɛ ħ uː
ḫꜥw	x ɑː uː
ꜣḫw	ɑ x uː
ḥꜣw	ħ ɑ uː
ḥḥw	ħ ɛ ħ uː
ꜣꜥw	ɑ ʔ ɑː uː
ḥꜥw	ħ ɑː uː
ꜥꜣw	ɑː ʔ ɑ uː
ꜥꜥw	ɑː ʔ ɑː uː
ḫꜣwj	x ɑ uː i
ḫꜣwt	x ɑ uː t
šꜥwt	ʃ ɑː uː t
ḏḥwtj	c ʼ a ħ a w t i j
ḏḥwtj	d͡ʒ ɛ ħ uː t i
ḏḥwtj	t ʼ a ħ a w t i j
ḏḥwtj	t ʼ ə ħ a w t
ḏḥwtt	c ʼ a ħ a w t a t
ḏḥwtt	d͡ʒ ɛ ħ uː t ɛ t
ḏḥwtt	t ʼ a ħ a w t a ʔ
ḏḥwtt	t ʼ ə ħ a w t ə
ṯꜣy	t͡ʃ ɑ iː
ḫꜣy	x ɑ iː
šꜥy	ʃ ɑː iː
ḏꜣyt	d͡ʒ ɑ iː t
ẖꜣyt	ç ɑ iː t
ḥꜣyt	ħ ɑ iː t
ḏꜣyw	d͡ʒ ɑ iː uː
ḫꜣz	x ɑ z
ꜣꜥz	ɑ ʔ ɑː z
ḫꜣḫ	x ɑ x
ḫꜣꜥ	x ɑ ʔ ɑː
ḫꜣꜥ	χ aː ʀ a ʕ
ꜥšꜣ	ʕ i ʃ i ʀ
ḫꜣꜥ	χ oː ʕ
ꜣẖꜥ	ɑ ç ɑː
ꜥšꜣ	ʕ ə ʃ e j
šꜣꜥ	ʃ ɑ ʔ ɑː
ꜣꜥꜥ	ɑ ʔ ɑː ʔ ɑː
ꜥšꜣ	ɑː ʃ ɑ
ꜥḥꜣ	ɑː ħ ɑ
ꜥꜣꜥ	ɑː ʔ ɑ ʔ ɑː
ꜥḥꜥ	ɑː ħ ɑː
ꜣꜥꜥbw	ɑ ʔ ɑː ɑː b uː
ꜣꜥꜥnj	ɑ ʔ ɑː ɑː n i
ḥṯṯt	ħ a c c a t
ḥṯṯt	ħ a ʔ t͡ʃ a ʔ
ꜣẖꜥt	ɑ ç ɑː t
ḥṯṯt	ħ ɛ t͡ʃ ɛ t͡ʃ ɛ t
ḥṯṯt	ħ ə ʔ t͡ʃ a ʔ
ꜣꜥꜥt	ɑ ʔ ɑː ɑː t
ꜥšꜣt	ɑː ʃ ɑ t
ꜣꜥꜥw	ɑ ʔ ɑː ɑː uː
ꜥḥꜣw	ɑː ħ ɑ uː
ꜥḥꜥw	ɑː ħ ɑː uː
ꜣꜥꜥwj	ɑ ʔ ɑː ɑː uː i
ḥꜥꜥwt	ħ ɑː ʔ ɑː uː t
ꜥḥꜣwtj	ʕ a ħ ʀ a w t i j
ꜥḥꜣwtj	ʕ ə ħ a w t
ꜥḥꜣwtj	ɑː ħ ɑ uː t i
ḫšꜣyꜣrwšꜣ	x ɛ ʃ ɑ iː ɑ r uː ʃ ɑ
ḏꜣḏꜣ	c ʼ a ʀ c ʼ a ʀ
ḏꜣḏꜣ	d͡ʒ ɑ d͡ʒ ɑ
ḏꜣḏꜣ	t ʼ a ʀ t ʼ a ʀ
ḏꜣḏꜣ	t ʼ oː t ʼ ə
ḫꜣḫꜣ	x ɑ x ɑ
ꜣḫꜣḫ	ɑ x ɑ x
šꜣšꜣnq	ʃ ɑ ʃ ɑ n ɛ k
ḏꜣḏꜣt	d͡ʒ ɑ d͡ʒ ɑ t
