サス	s ä s ɯ̥ᵝ
ほんしゅう	h õ̞ ɰ̃ ɕ ɨᵝː
ほんしょ	h õ̞ ɰ̃ ɕ o̞
ぼんしょう	b õ̞ ɰ̃ ɕ o̞ː
ほんしょく	h õ̞ ɰ̃ ɕ o̞ k ɯ̟ᵝ
ほんしん	h õ̞ ɰ̃ ɕ ĩ ɴ
ほんじ	h õ̞ ɲ̟ d͡ʑ i
ぼんじ	b õ̞ ɲ̟ d͡ʑ i
ほんじつ	h õ̞ ɲ̟ d͡ʑ i t͡s ɨᵝ
ポンず	p õ̞ n d͡z ɨᵝ
ほんしょう	h õ̞ ɰ̃ ɕ o̞ː
ほんせい	h õ̞ ɰ̃ s e̞ː
ほんたい	h õ̞ n t a̠ i
ほんだ	h õ̞ n d a̠
ほんだ	h õ̞ n d a̠
ほんだい	h õ̞ n d a̠ i
ポンチ	p õ̞ ɲ̟ t͡ɕ i
ポンチョ	p õ̞ ɲ̟ t͡ɕ o̞
ほんちょう	h õ̞ ɲ̟ t͡ɕ o̞ː
ほんとう	h õ̞ n t o̞ː
ほんとう	h õ̞ n t o̞ː
ほんにん	h õ̞ ɲ̟ ɲ̟ ĩ ɴ
ほんね	h õ̞ nː e̞
ほんねん	h õ̞ nː ẽ̞ ɴ
ほんばん	h õ̞ m b ã̠ ɴ
ポンびき	p õ̞ m bʲ i kʲ i
ぼんぷ	b õ̞ m p ɯ̟ᵝ
ポンプ	p õ̞ m p ɯ̟ᵝ
ポンプざ	p õ̞ m p ɯ̟ᵝ z a̠
ほんぽう	h õ̞ m p o̞ː
ポンポン	p õ̞ m p õ̞ ɴ
ほんま	h õ̞ mː a̠
ほんや	h õ̞ ɰ̃ j a̠
ほんやく	h õ̞ ɰ̃ j a̠ k ɯ̟ᵝ
ぼんやすみ	b õ̞ ɰ̃ j a̠ s ɨᵝ mʲ i
ほうゆう	h o̞ː j ɯ̟ᵝː
ポンユー	p õ̞ ɰ̃ j ɯ̟ᵝː
ほんらい	h õ̞ n ɾ a̠ i
ぼんらん	b õ̞ n ɾ ã̠ ɴ
ほんるい	h õ̞ n ɾ ɯ̟ᵝ i
ほんるいだ	h õ̞ n ɾ ɯ̟ᵝ i d a̠
ま	m a̠
マ	m a̠
あさ	a̠ s a̠
お	o̞
そ	s o̞
ま	m a̠
まあ	m a̠ː
マーカー	m a̠ː k a̠ː
マーガリン	m a̠ː ɡ a̠ ɾʲ ĩ ɴ
マーキュリー	m a̠ː kʲ ɨᵝ ɾʲ iː
マーゲイ	m a̠ː ɡ e̞ː
マージャン	m a̠ː ʑ ã̠ ɴ
マーズ	m a̠ː z ɨᵝ
まあたらしい	m a̠ː t a̠ ɾ a̠ ɕ iː
まーぼーどうふ	m a̠ː b o̞ː d o̞ː ɸ ɯ̟ᵝ
マーマレード	m a̠ː m a̠ ɾ e̞ː d o̞
マーメード	m a̠ː m e̞ː d o̞
マーモット	m a̠ː m o̞ t̚ t o̞
マールス	m a̠ː ɾ ɯ̟ᵝ s ɨᵝ
マイアミ	m a̠ i a̠ mʲ i
まいおちる	m a̠ i o̞ t͡ɕ i ɾ ɯ̟ᵝ
まいおどる	m a̠ i o̞ d o̞ ɾ ɯ̟ᵝ
マイク	m a̠ i k ɯ̟ᵝ
マイクロホン	m a̠ i k ɯ̟ᵝ ɾ o̞ h õ̞ ɴ
まいご	m a̠ i ɡ o̞
まいしゅう	m a̠ i ɕ ɨᵝː
まいにち	m a̠ i ʑ i t͡s ɨᵝ
まいにち	m a̠ i ʑ i t͡s ɨᵝ
まいじつ	m a̠ i ʑ i t͡s ɨᵝ
まいすう	m a̠ i s ɨᵝː
まいせつ	m a̠ i s e̞ t͡s ɨᵝ
まいそう	m a̠ i s o̞ː
まいそう	m a̠ i s o̞ː
まいぞう	m a̠ i z o̞ː
まいたけ	m a̠ i t a̠ k e̞
まいとし	m a̠ i t o̞ ɕ i
マイトネリウム	m a̠ i t o̞ n e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
まいど	m a̠ i d o̞
マイペース	m a̠ i p e̞ː s ɨᵝ
まいまい	m a̠ i m a̠ i
マイム	m a̠ i m ɯ̟ᵝ
まいり	m a̠ i ɾʲ i
まうしろ	m a̠ ɯ̟ᵝ ɕ i ɾ o̞
まえあし	m a̠ e̞ a̠ ɕ i
まえうり	m a̠ e̞ ɯ̟ᵝ ɾʲ i
まえおき	m a̠ e̞ o̞ kʲ i
まえかけ	m a̠ e̞ k a̠ k e̞
まえかけ	m a̠ e̞ k a̠ k e̞
まえがみ	m a̠ e̞ ɡ a̠ mʲ i
まえこうじょう	m a̠ e̞ k o̞ː ʑ o̞ː
まえざわ	m a̠ e̞ z a̠ ɰᵝ a̠
まえだて	m a̠ e̞ d a̠ t e̞
まえだれ	m a̠ e̞ d a̠ ɾ e̞
まえだれ	m a̠ e̞ d a̠ ɾ e̞
まえづけ	m a̠ e̞ z ɨᵝ k e̞
まえばらい	m a̠ e̞ b a̠ ɾ a̠ i
まえぶれ	m a̠ e̞ b ɯ̟ᵝ ɾ e̞
まか	m a̠ k a̠
マカー	m a̠ k a̠ː
まかい	m a̠ k a̠ i
マカオ	m a̠ k a̠ o̞
マカオ	m a̠ k a̠ o̞
まかつきゅう	m a̠ k a̠ t͡s ɨ̥ᵝ kʲ ɨᵝː
まかない	m a̠ k a̠ n a̠ i
マカロニ	m a̠ k a̠ ɾ o̞ ɲ̟ i
マカロン	m a̠ k a̠ ɾ õ̞ ɴ
まがいもの	m a̠ ɡ a̠ i m o̞ n o̞
まがう	m a̠ ɡ a̠ ɯ̟ᵝ
まがお	m a̠ ɡ a̠ o̞
まがたま	m a̠ ɡ a̠ t a̠ m a̠
まがまがしい	m a̠ ɡ a̠ m a̠ ɡ a̠ ɕ iː
まがも	m a̠ ɡ a̠ m o̞
まがりかど	m a̠ ɡ a̠ ɾʲ i k a̠ d o̞
まがる	m a̠ ɡ a̠ ɾ ɯ̟ᵝ
まがん	m a̠ ɡ ã̠ ɴ
まき	m a̠ kʲ i
まきえ	m a̠ kʲ i e̞
けんうん	m a̠ kʲ i ɡ ɯ̟ᵝ m o̞
けんうん	m a̠ kʲ i ɡ ɯ̟ᵝ m o̞
まきこ	m a̠ kʲ i k o̞
マキシ	m a̠ kʲ i ɕ i
まきじた	m a̠ kʲ i ʑ i t a̠
まきぞえ	m a̠ kʲ i z o̞ e̞
まきもどす	m a̠ kʲ i m o̞ d o̞ s ɨᵝ
まきもの	m a̠ kʲ i m o̞ n o̞
まきゅう	m a̠ kʲ ɨᵝː
まきょう	m a̠ kʲ o̞ː
まぐれ	m a̠ ɡ ɯ̟ᵝ ɾ e̞
まぎれ	m a̠ ɡʲ i ɾ e̞
まくじゃく	m a̠ k ɯ̟ᵝ ʑ a̠ k ɯ̟ᵝ
マクド	m a̠ k ɯ̟ᵝ d o̞
マクドナルド	m a̠ k ɯ̟ᵝ d o̞ n a̠ ɾ ɯ̟ᵝ d o̞
まくなぎ	m a̠ k ɯ̟ᵝ n a̠ ɡʲ i
まくらぎ	m a̠ k ɯ̟ᵝ ɾ a̠ ɡʲ i
マクロファージ	m a̠ k ɯ̟ᵝ ɾ o̞ ɸ a̠ː ʑ i
マクロン	m a̠ k ɯ̟ᵝ ɾ õ̞ ɴ
マグ	m a̠ ɡ ɯ̟ᵝ
まぐさ	m a̠ ɡ ɯ̟ᵝ s a̠
マグネシウム	m a̠ ɡ ɯ̟ᵝ n e̞ ɕ i ɯ̟ᵝ m ɯ̟ᵝ
マグマ	m a̠ ɡ ɯ̟ᵝ m a̠
まぐれあたり	m a̠ ɡ ɯ̟ᵝ ɾ e̞ a̠ t a̠ ɾʲ i
まぐろ	m a̠ ɡ ɯ̟ᵝ ɾ o̞
まけ	m a̠ k e̞
まけいぬ	m a̠ k e̞ː n ɯ̟ᵝ
マケドニアじん	m a̠ k e̞ d o̞ ɲ̟ i a̠ ʑ ĩ ɴ
まけん	m a̠ k ẽ̞ ɴ
まこ	m a̠ k o̞
しん	ɕ ĩ ɴ
まこと	m a̠ k o̞ t o̞
まこと	m a̠ k o̞ t o̞
まご	m a̠ ɡ o̞
まごこ	m a̠ ɡ o̞ k o̞
まごまご	m a̠ ɡ o̞ m a̠ ɡ o̞
まごむすこ	m a̠ ɡ o̞ m ɯ̟ᵝ s ɨ̥ᵝ k o̞
まごむすめ	m a̠ ɡ o̞ m ɯ̟ᵝ s ɨᵝ m e̞
まさあき	m a̠ s a̠ː kʲ i
まさあき	m a̠ s a̠ː kʲ i
まさあき	m a̠ s a̠ː kʲ i
まさお	m a̠ s a̠ o̞
しょうわ	ɕ o̞ː ɰᵝ a̠
まさかず	m a̠ s a̠ k a̠ z ɨᵝ
まさき	m a̠ s a̠ kʲ i
まさき	m a̠ s a̠ kʲ i
まさき	m a̠ s a̠ kʲ i
まさき	m a̠ s a̠ kʲ i
まさくに	m a̠ s a̠ k ɯ̟ᵝ ɲ̟ i
まさぐる	m a̠ s a̠ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
まさこ	m a̠ s a̠ k o̞
まさこ	m a̠ s a̠ k o̞
まさこ	m a̠ s a̠ k o̞
まさし	m a̠ s a̠ ɕ i
まさし	m a̠ s a̠ ɕ i
まさしい	m a̠ s a̠ ɕ iː
まさじ	m a̠ s a̠ ʑ i
まさじ	m a̠ s a̠ ʑ i
まさたか	m a̠ s a̠ t a̠ k a̠
まさき	m a̠ s a̠ kʲ i
まさき	m a̠ s a̠ t a̠ k a̠
まさつおん	m a̠ s a̠ t͡s ɨᵝ õ̞ ɴ
まさとし	m a̠ s a̠ t o̞ ɕ i
まさとし	m a̠ s a̠ t o̞ ɕ i
まさとし	m a̠ s a̠ t o̞ ɕ i
まさに	m a̠ s a̠ ɲ̟ i
まさのり	m a̠ s a̠ n o̞ ɾʲ i
まさはる	m a̠ s a̠ h a̠ ɾ ɯ̟ᵝ
まさはる	m a̠ s a̠ h a̠ ɾ ɯ̟ᵝ
まさひこ	m a̠ s a̠ ç i k o̞
まさひこ	m a̠ s a̠ ç i k o̞
まさひこ	m a̠ s a̠ ç i k o̞
まさと	m a̠ s a̠ t o̞
まさひと	m a̠ s a̠ ç i t o̞
まさひろ	m a̠ s a̠ ç i ɾ o̞
まさひろ	m a̠ s a̠ ç i ɾ o̞
まさひろ	m a̠ s a̠ ç i ɾ o̞
まさひろ	m a̠ s a̠ ç i ɾ o̞
まさし	m a̠ s a̠ ɕ i
まさし	m a̠ s a̠ ɸ ɯ̟ᵝ mʲ i
まさみ	m a̠ s a̠ mʲ i
まさや	m a̠ s a̠ j a̠
まさゆき	m a̠ s a̠ j ɯ̟ᵝ kʲ i
まさゆき	m a̠ s a̠ j ɯ̟ᵝ kʲ i
まさよし	m a̠ s a̠ j o̞ ɕ i
まさる	m a̠ s a̠ ɾ ɯ̟ᵝ
ましお	m a̠ ɕ i o̞
ました	m a̠ ɕ i t a̠
マシマロ	m a̠ ɕ i m a̠ ɾ o̞
マシュマロ	m a̠ ɕ ɨᵝ m a̠ ɾ o̞
ましょうめん	m a̠ ɕ o̞ː m ẽ̞ ɴ
まじん	m a̠ ʑ ĩ ɴ
ましん	m a̠ ɕ ĩ ɴ
まじ	m a̠ ʑ i
のろい	n o̞ ɾ o̞ i
まじない	m a̠ ʑ i n a̠ i
まじなう	m a̠ ʑ i n a̠ ɯ̟ᵝ
マジパン	m a̠ ʑ i p ã̠ ɴ
まじまんじ	m a̠ ʑ i m ã̠ ɲ̟ d͡ʑ i
まじゅつ	m a̠ ʑ ɨᵝ t͡s ɨᵝ
まじゅつし	m a̠ ʑ ɨᵝ t͡s ɨᵝ ɕ i
マジュロ	m a̠ ʑ ɨᵝ ɾ o̞
まじょ	m a̠ ʑ o̞
まじょがり	m a̠ ʑ o̞ ɡ a̠ ɾʲ i
まじわり	m a̠ ʑ i ɰᵝ a̠ ɾʲ i
ます	m a̠ s ɨᵝ
マスカット	m a̠ s ɨ̥ᵝ k a̠ t̚ t o̞
マスク	m a̠ s ɨ̥ᵝ k ɯ̟ᵝ
マスコット	m a̠ s ɨ̥ᵝ k o̞ t̚ t o̞
マスコミ	m a̠ s ɨ̥ᵝ k o̞ mʲ i
マスゴミ	m a̠ s ɨᵝ ɡ o̞ mʲ i
マスター	m a̠ s ɨ̥ᵝ t a̠ː
マスタード	m a̠ s ɨ̥ᵝ t a̠ː d o̞
マスタープラン	m a̠ s ɨᵝ t a̠ː p ɯ̟ᵝ ɾ ã̠ ɴ
マスターベーション	m a̠ s ɨ̥ᵝ t a̠ː b e̞ː ɕ õ̞ ɴ
ますたけ	m a̠ s ɨᵝ t a̠ k e̞
マスタング	m a̠ s ɨ̥ᵝ t ã̠ ŋ ɡ ɯ̟ᵝ
ますみ	m a̠ s ɨᵝ mʲ i
ますらお	m a̠ s ɨᵝ ɾ a̠ o̞
ますらおぶり	m a̠ s ɨᵝ ɾ a̠ o̞ b ɯ̟ᵝ ɾʲ i
まず	m a̠ z ɨᵝ
マセル	m a̠ s e̞ ɾ ɯ̟ᵝ
マゼンタ	m a̠ z ẽ̞ n t a̠
マゾ	m a̠ z o̞
マゾヒスト	m a̠ z o̞ ç i s ɨ̥ᵝ t o̞
マゾヒズム	m a̠ z o̞ ç i z ɨᵝ m ɯ̟ᵝ
また	m a̠ t a̠
マターリ	m a̠ t a̠ː ɾʲ i
またがる	m a̠ t a̠ ɡ a̠ ɾ ɯ̟ᵝ
マダガスカル	m a̠ d a̠ ɡ a̠ s ɨ̥ᵝ k a̠ ɾ ɯ̟ᵝ
まだに	m a̠ d a̠ ɲ̟ i
まだら	m a̠ d a̠ ɾ a̠
まち	m a̠ t͡ɕ i
まちあい	m a̠ t͡ɕ i a̠ i
まちあいしつ	m a̠ t͡ɕ i a̠ i ɕ i t͡s ɨᵝ
まちあわせ	m a̠ t͡ɕ i a̠ ɰᵝ a̠ s e̞
まちかまえる	m a̠ t͡ɕ i k a̠ m a̠ e̞ ɾ ɯ̟ᵝ
まちがい	m a̠ t͡ɕ i ɡ a̠ i
まちやくば	m a̠ t͡ɕ i j a̠ k ɯ̟ᵝ b a̠
マチュピチュ	m a̠ t͡ɕ ɨᵝ pʲ i t͡ɕ ɨᵝ
まぢか	m a̠ ʑ i k a̠
まっか	m a̠ k̚ k a̠
まっかんがに	m a̠ k̚ k ã̠ ŋ ɡ a̠ ɲ̟ i
まっき	m a̠ k̚ʲ kʲ i
マック	m a̠ k̚ k ɯ̟ᵝ
MAX	m a̠ k̚ k ɯ̟ᵝ s ɨᵝ
まっくら	m a̠ k̚ k ɯ̟ᵝ ɾ a̠
まっくろ	m a̠ k̚ k ɯ̟ᵝ ɾ o̞
まっこう	m a̠ k̚ k o̞ː
まっこうくじら	m a̠ k̚ k o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
まっさお	m a̠ sː a̠ o̞
まっさかり	m a̠ sː a̠ k a̠ ɾʲ i
まっさき	m a̠ sː a̠ kʲ i
まっさつ	m a̠ sː a̠ t͡s ɨᵝ
マッシュルーム	m a̠ ɕː ɯ̟ᵝ ɾ ɯ̟ᵝː m ɯ̟ᵝ
まっしょう	m a̠ ɕː o̞ː
まっしょうめん	m a̠ ɕː o̞ː m ẽ̞ ɴ
まっすぐ	m a̠ sː ɯ̟ᵝ ɡ ɯ̟ᵝ
マッチばこ	m a̠ t̚ t͡ɕ i b a̠ k o̞
マッチョ	m a̠ t̚ t͡ɕ o̞
まっとう	m a̠ t̚ t o̞ː
マットレス	m a̠ t̚ t o̞ ɾ e̞ s ɨᵝ
マッド	m a̠ d̚ d̥ o̞
マッハ	m a̠ hː a̠
まっぱだか	m a̠ p̚ p a̠ d a̠ k a̠
まっぴるま	m a̠ p̚ʲ pʲ i ɾ ɯ̟ᵝ m a̠
マッポ	m a̠ p̚ p o̞
まつ	m a̠ t͡s ɨᵝ
マツエク	m a̠ t͡s ɨᵝ e̞ k ɯ̟ᵝ
まつかさ	m a̠ t͡s ɨ̥ᵝ k a̠ s a̠
まつち	m a̠ t͡s ɨᵝ t͡ɕ i
まつば	m a̠ t͡s ɨᵝ b a̠
まつばくずし	m a̠ t͡s ɨᵝ b a̠ k ɯ̟ᵝ z ɨᵝ ɕ i
まつばづえ	m a̠ t͡s ɨᵝ b a̠ z ɨᵝ e̞
まつひら	m a̠ t͡s ɨᵝ ç i ɾ a̠
まつひろ	m a̠ t͡s ɨᵝ ç i ɾ o̞
まつび	m a̠ t͡s ɨᵝ bʲ i
まつむし	m a̠ t͡s ɨᵝ m ɯ̟ᵝ ɕ i
まつむら	m a̠ t͡s ɨᵝ m ɯ̟ᵝ ɾ a̠
まつりごと	m a̠ t͡s ɨᵝ ɾʲ i ɡ o̞ t o̞
待て	m a̠ t e̞
待てい	m a̠ t e̞ː
まてがい	m a̠ t e̞ ɡ a̠ i
マテちゃ	m a̠ t e̞ t͡ɕ a̠
まてんろう	m a̠ t ẽ̞ n ɾ o̞ː
まで	m a̠ d e̞
まとう	m a̠ t o̞ ɯ̟ᵝ
まとまり	m a̠ t o̞ m a̠ ɾʲ i
まとめる	m a̠ t o̞ m e̞ ɾ ɯ̟ᵝ
マトリョーシカ	m a̠ t o̞ ɾʲ o̞ː ɕ i̥ k a̠
まどい	m a̠ d o̞ i
まどう	m a̠ d o̞ ɯ̟ᵝ
まどうし	m a̠ d o̞ː ɕ i
まどだい	m a̠ d o̞ d a̠ i
まどろむ	m a̠ d o̞ ɾ o̞ m ɯ̟ᵝ
あい	a̠ i
まな	m a̠ n a̠
まな	m a̠ n a̠
まないた	m a̠ n a̠ i t a̠
そ	s o̞
まながつお	m a̠ n a̠ ɡ a̠ t͡s ɨᵝ o̞
マナグア	m a̠ n a̠ ɡ ɯ̟ᵝ a̠
まなこ	m a̠ n a̠ k o̞
まなざし	m a̠ n a̠ z a̠ ɕ i
マナティー	m a̠ n a̠ tʲ iː
まなびや	m a̠ n a̠ bʲ i j a̠
がくしゃ	ɡ a̠ k ɯ̟ᵝ ɕ a̠
まなびや	m a̠ n a̠ bʲ i j a̠
まなむすめ	m a̠ n a̠ m ɯ̟ᵝ s ɨᵝ m e̞
まに	m a̠ ɲ̟ i
マニア	m a̠ ɲ̟ i a̠
マニアック	m a̠ ɲ̟ i a̠ k̚ k ɯ̟ᵝ
マニエリスム	m a̠ ɲ̟ i e̞ ɾʲ i s ɨᵝ m ɯ̟ᵝ
マニキュア	m a̠ ɲ̟ i kʲ ɨᵝ a̠
マニトバ	m a̠ ɲ̟ i t o̞ b a̠
マニフェスト	m a̠ ɲ̟ i ɸ e̞ s ɨᵝ t o̞
まにゅう	m a̠ ɲ̟ ɯ̟ᵝː
マニューシャ	m a̠ ɲ̟ ɯ̟ᵝː ɕ a̠
マニラ	m a̠ ɲ̟ i ɾ a̠
マヌカン	m a̠ n ɯ̟ᵝ k ã̠ ɴ
まぬけ	m a̠ n ɯ̟ᵝ k e̞
まね	m a̠ n e̞
まねる	m a̠ n e̞
マネー	m a̠ n e̞ː
まねき	m a̠ n e̞ kʲ i
マネキン	m a̠ n e̞ kʲ ĩ ɴ
まねごと	m a̠ n e̞ ɡ o̞ t o̞
まねしつぐみ	m a̠ n e̞ ɕ i̥ t͡s ɨᵝ ɡ ɯ̟ᵝ mʲ i
マネロン	m a̠ n e̞ ɾ õ̞ ɴ
まのあたり	m a̠ n o̞ a̠ t a̠ ɾʲ i
まひる	m a̠ ç i ɾ ɯ̟ᵝ
まひわ	m a̠ ç i ɰᵝ a̠
あさぬの	a̠ s a̠ n ɯ̟ᵝ n o̞
あさふ	a̠ s a̠ ɸ ɯ̟ᵝ
あざぶ	a̠ z a̠ b ɯ̟ᵝ
まふ	m a̠ ɸ ɯ̟ᵝ
マフィア	m a̠ ɸʲ i a̠
まふゆ	m a̠ ɸ ɯ̟ᵝ j ɯ̟ᵝ
マフラー	m a̠ ɸ ɯ̟ᵝ ɾ a̠ː
まばゆい	m a̠ b a̠ j ɯ̟ᵝ i
まぶい	m a̠ b ɯ̟ᵝ i
もる	m o̞ ɾ ɯ̟ᵝ
まぼる	m a̠ b o̞ ɾ ɯ̟ᵝ
まぶる	m a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
マプト	m a̠ p ɯ̟ᵝ t o̞
まほう	m a̠ h o̞ː
まほうつかい	m a̠ h o̞ː t͡s ɨ̥ᵝ k a̠ i
まほうびん	m a̠ h o̞ː bʲ ĩ ɴ
まぼろし	m a̠ b o̞ ɾ o̞ ɕ i
まま	m a̠ m a̠
まま	m a̠ m a̠
まま	m a̠ m a̠
ママ	m a̠ m a̠
けいふ	m a̠ m a̠ t͡ɕ i̥ t͡ɕ i
けいふ	m a̠ m a̠ t͡ɕ i̥ t͡ɕ i
ママチャリ	m a̠ m a̠ t͡ɕ a̠ ɾʲ i
ママっこ	m a̠ m a̠ k̚ k o̞
ママとも	m a̠ m a̠ t o̞ m o̞
けいぼ	m a̠ m a̠ h a̠ h a̠
けいぼ	m a̠ m a̠ h a̠ h a̠
ママレード	m a̠ m a̠ ɾ e̞ː d o̞
まみい	m a̠ mʲ iː
まみれる	m a̠ mʲ i ɾ e̞ ɾ ɯ̟ᵝ
はみ	h a̠ mʲ i
ハミ	m a̠ m ɯ̟ᵝ ɕ i
ちゅうじつ	t͡ɕ ɨᵝː ʑ i t͡s ɨᵝ
まめ	m a̠ m e̞
まめうまし	m a̠ m e̞ ɯ̟ᵝ m a̠ ɕ i
まめがら	m a̠ m e̞ ɡ a̠ ɾ a̠
まめきゅう	m a̠ m e̞ kʲ ɨᵝː
まめちしき	m a̠ m e̞ t͡ɕ i ɕ i kʲ i
まめでんきゅう	m a̠ m e̞ d ẽ̞ ŋʲ kʲ ɨᵝː
まめまわし	m a̠ m e̞ m a̠ ɰᵝ a̠ ɕ i
まもう	m a̠ m o̞ː
まもの	m a̠ m o̞ n o̞
まもり	m a̠ m o̞ ɾʲ i
まもる	m a̠ m o̞ ɾ ɯ̟ᵝ
けん	k ẽ̞ ɴ
まやか	t͡s ɨᵝ ɾ ɯ̟ᵝ ɡʲ i
まゆ	m a̠ j ɯ̟ᵝ
まよなか	m a̠ j o̞ n a̠ k a̠
マヨネーズ	m a̠ j o̞ n e̞ː z ɨᵝ
マヨラー	m a̠ j o̞ ɾ a̠ː
マラウイ	m a̠ ɾ a̠ ɯ̟ᵝ i
マラソン	m a̠ ɾ a̠ s õ̞ ɴ
マラッカ	m a̠ ɾ a̠ k̚ k a̠
マラリア	m a̠ ɾ a̠ ɾʲ i a̠
マリ	m a̠ ɾʲ i
マリア	m a̠ ɾʲ i a̠
マリオネット	m a̠ ɾʲ i o̞ n e̞ t̚ t o̞
まりょく	m a̠ ɾʲ i kʲ i
まりょく	m a̠ ɾʲ i kʲ i
マリネ	m a̠ ɾʲ i n e̞
マリファナ	m a̠ ɾʲ i ɸ a̠ n a̠
まりも	m a̠ ɾʲ i m o̞
マリンバ	m a̠ ɾʲ ĩ m b a̠
えん	ẽ̞ ɴ
まる	m a̠ ɾ ɯ̟ᵝ
まるあらい	m a̠ ɾ ɯ̟ᵝ a̠ ɾ a̠ i
マルウェア	m a̠ ɾ ɯ̟ᵝ ɰᵝ e̞ a̠
まるかじり	m a̠ ɾ ɯ̟ᵝ k a̠ ʑ i ɾʲ i
まるかっこ	m a̠ ɾ ɯ̟ᵝ k a̠ k̚ k o̞
まるがお	m a̠ ɾ ɯ̟ᵝ ɡ a̠ o̞
まるごと	m a̠ ɾ ɯ̟ᵝ ɡ o̞ t o̞
まるシー	m a̠ ɾ ɯ̟ᵝ ɕ iː
マルス	m a̠ ɾ ɯ̟ᵝ s ɨᵝ
まるた	m a̠ ɾ ɯ̟ᵝ t a̠
まるだし	m a̠ ɾ ɯ̟ᵝ d a̠ ɕ i
マルチーズ	m a̠ ɾ ɯ̟ᵝ t͡ɕ iː z ɨᵝ
まるっこい	m a̠ ɾ ɯ̟ᵝ k̚ k o̞ i
まるで	m a̠ ɾ ɯ̟ᵝ d e̞
まるのうち	m a̠ ɾ ɯ̟ᵝ n o̞ ɯ̟ᵝ t͡ɕ i
まるのみ	m a̠ ɾ ɯ̟ᵝ n o̞ mʲ i
まるのみ	m a̠ ɾ ɯ̟ᵝ n o̞ mʲ i
まるひ	m a̠ ɾ ɯ̟ᵝ ç i
まるみえ	m a̠ ɾ ɯ̟ᵝ mʲ i e̞
まるみみぞう	m a̠ ɾ ɯ̟ᵝ mʲ i mʲ i z o̞ː
マルメロ	m a̠ ɾ ɯ̟ᵝ m e̞ ɾ o̞
マレーぐま	m a̠ ɾ e̞ː ɡ ɯ̟ᵝ m a̠
まわし	m a̠ ɰᵝ a̠ ɕ i
まわりあわせ	m a̠ ɰᵝ a̠ ɾʲ i a̠ ɰᵝ a̠ s e̞
まわりみち	m a̠ ɰᵝ a̠ ɾʲ i mʲ i t͡ɕ i
まんいん	m ã̠ ɰ̃ ĩ ɴ
まんえい	m ã̠ ɰ̃ e̞ː
まんえん	m ã̠ ɰ̃ ẽ̞ ɴ
まんかんしょく	m ã̠ ŋ k ã̠ ɰ̃ ɕ o̞ k ɯ̟ᵝ
まんが	m ã̠ ŋ ɡ a̠
まんがか	m ã̠ ŋ ɡ a̠ k a̠
まんがじ	m ã̠ ŋ ɡ a̠ ʑ i
マンガン	m ã̠ ŋ ɡ ã̠ ɴ
マンガン	m ã̠ ŋ ɡ ã̠ ɴ
マンクス	m ã̠ ŋ k ɯ̟̊ᵝ s ɨᵝ
マングース	m ã̠ ŋ ɡ ɯ̟ᵝː s ɨᵝ
まんげつ	m ã̠ ŋ ɡ e̞ t͡s ɨᵝ
マンコ	m ã̠ ŋ k o̞
マンゴスチン	m ã̠ ŋ ɡ o̞ s ɨᵝ t͡ɕ ĩ ɴ
マンゴー	m ã̠ ŋ ɡ o̞ː
ばんぜい	b ã̠ n d͡z e̞ː
ばんざい	b ã̠ n d͡z a̠ i
まんざい	m ã̠ n d͡z a̠ i
まんざい	m ã̠ n d͡z a̠ i
まんざら	m ã̠ n d͡z a̠ ɾ a̠
まんしゅうご	m ã̠ ɰ̃ ɕ ɨᵝː ɡ o̞
まんしゅうじん	m ã̠ ɰ̃ ɕ ɨᵝː ʑ ĩ ɴ
マンション	m ã̠ ɰ̃ ɕ õ̞ ɴ
まんしん	m ã̠ ɰ̃ ɕ ĩ ɴ
まんしん	m ã̠ ɰ̃ ɕ ĩ ɴ
まんじともえ	m ã̠ ɲ̟ d͡ʑ i t o̞ m o̞ e̞
まんじゅしゃげ	m ã̠ ɲ̟ d͡ʑ ɨᵝ ɕ a̠ ɡ e̞
まんじゅしゃげ	m ã̠ ɲ̟ d͡ʑ ɨᵝ ɕ a̠ ɡ e̞
まんじょう	m ã̠ ɲ̟ d͡ʑ o̞ː
まんじょういっち	m ã̠ ɲ̟ d͡ʑ o̞ː i t̚ t͡ɕ i
まんせき	m ã̠ ɰ̃ s e̞ kʲ i
まんだら	m ã̠ n d a̠ ɾ a̠
まんだら	m ã̠ n d a̠ ɾ a̠
マンティーカ	m ã̠ n tʲ iː k a̠
どうだんつつじ	d o̞ː d ã̠ ɴ
どうだんつつじ	d o̞ː d ã̠ ɴ
ドウダンツツジ	m ã̠ n t ẽ̞ ɰ̃ s e̞ː
ドウダンツツジ	d o̞ː d ã̠ ɴ
マント	m ã̠ n t o̞
マンドリル	m ã̠ n d o̞ ɾʲ i ɾ ɯ̟ᵝ
マンネリか	m ã̠ nː e̞ ɾʲ i k a̠
まんねんひつ	m ã̠ nː ẽ̞ ɰ̃ ç i̥ t͡s ɨᵝ
まんねんひつ	m ã̠ nː ẽ̞ ɰ̃ ç i̥ t͡s ɨᵝ
ばんのう	m ã̠ nː o̞ː
ばんのう	m ã̠ nː o̞ː
まんぷく	m ã̠ m p ɯ̟ᵝ k ɯ̟ᵝ
