a	ɑː
grot	ɡ r o t
growan	ɡ r oː w ɑ n
groƿan	ɡ r oː w ɑ n
grundweall	ɡ r u n d w æ ɑ̯ l l
grundƿeall	ɡ r u n d w æ ɑ̯ l l
grunnettan	ɡ r u n n e t t ɑ n
grunnian	ɡ r u n n i ɑ n
gryre	ɡ r y r e
grædig	ɡ r æː d i j
græf	ɡ r æ f
græg	ɡ r æː j
græs	ɡ r æ s
grætan	ɡ r æː t ɑ n
guma	ɡ u m ɑ
gumcynn	ɡ u m k y n n
guþ	ɡ uː θ
guþbeorn	ɡ uː θ b e o r n
guþbyrne	ɡ uː θ b y r n e
guþcræft	ɡ uː θ k r æ f t
guþfremmend	ɡ uː θ f r e m m e n d
guþfugel	ɡ uː θ f ʊ ɡ ɛ l
guþgewæde	ɡ uː θ j e w æː d e
guþgeƿæde	ɡ uː θ j e w æː d e
guþmod	ɡ uː θ m oː d
guþrof	ɡ uː θ r oː f
guþsele	ɡ uː θ s e l e
gydig	ɡ y d i j
gyldan	j y l d a n
gylden	ɡ y l d e n
gylpword	j y l p w o r d
gylpƿord	j y l p w o r d
gyltend	ɡ y l t e n d
gymeleasnys	j yː m e l æː ɑ s n y s
gymeleast	j yː m e l æː ɑ s t
gyrdan	ɡ y r d ɑ n
gyrdel	ɡ y r d e l
gyrwan	j y r w ɑ n
gyrƿan	j y r w ɑ n
gystian	j y s t i ɑ n
gægn	ɡ æ j n
gælsa	ɡ æː l s ɑ
gærshoppa	ɡ æ r s h o p p ɑ
gærstapa	ɡ æ r s t ɑ p ɑ
gæsne	ɡ æː s n e
habban	h ɑ b b ɑ n
hafela	h ɑ f e l ɑ
hafoc	h ɑ f u k
haga	h ɑ ɣ ɑ
hagosteald	h ɑ ɣ o s t æ ɑ l d
hal	h ɑː l
halbære	h ɑː l b æː r e
haleg	h ɑː l e j
halgian	h ɑː l ɣ i ɑ n
halig	h ɑː l i j
haligdom	h ɑː l i j d oː m
haligmonaþ	h ɑː l i j m oː n ɑ θ
halpenige	h ɑ l p e n i j e
halwende	h ɑː l w e n d e
halwœnde	h ɑː l w ø n d e
halƿende	h ɑː l w e n d e
halƿœnde	h ɑː l w ø n d e
ham	h ɑː m
hamcyme	h ɑː m k y m e
hamelian	h ɑ m e l i ɑ n
hamettan	h ɑː m e t t ɑ n
hamm	h ɑ m m
hamor	h ɑ m o r
hamsteall	h ɑː m s t æ ɑ l l
hana	h ɑ n ɑ
hancred	h ɑ n k r eː d
hand	h ɑ n d
handboc	h ɑ n d b oː k
handbred	h ɑ n d b r e d
handlian	h ɑ n d l i ɑ n
handscyldig	h ɑ n d ʃ y l d i j
handseax	h ɑ n d s æ ɑ k s
handworht	h ɑ n d w o r h t
handƿorht	h ɑ n d w o r h t
hangian	h ɑ ŋ ɡ i ɑ n
har	h ɑː r
hara	h ɑ r ɑ
has	h ɑː s
hasu	h ɑ s u
haswig	h ɑ s w i j
hasƿig	h ɑ s w i j
hat	h ɑː t
hatan	h ɑː t ɑ n
hatheort	h ɑː t h e o r t
he	h eː
heafoc	h æ ɑ̯ f u k
heafod	h æː ɑ̯ f o d
heafodleas	h æː ɑ̯ f o d l æː ɑ̯ s
heafodmæg	h æː ɑ f o d m æː j
heafodpanne	h æː ɑ̯ f o d p ɑ n n e
heafodwind	h æː ɑ f o d w i n d
heafodƿind	h æː ɑ f o d w i n d
heafola	h æ ɑ f o l ɑ
heah	h æː ɑ̯ h
heahencgel	h æː ɑ h e n d͡ʒ e l
heahengel	h æː ɑ h e n ɡ e l
heahflod	h æː ɑ x f l oː d
heahfæder	h æː ɑ x f æ d e r
heahgast	h æː ɑ x ɡ ɑː s t
heahstede	h æː ɑ x s t e d e
heahweg	h æː ɑ̯ h w e j
heahƿeg	h æː ɑ x w e j
heala	h æː ɑ l ɑ
healdan	h æ ɑ l d ɑ n
healf	h æ ɑ̯ l f
healfdead	h æ ɑ l f d æː ɑ d
healfscyldig	h æ ɑ̯ l f ʃ y l d i j
healftrendel	h æ ɑ̯ l f t r e n d e l
healh	h æ ɑ l h
heall	h æ ɑ̯ l l
healm	h æ ɑ l m
heals	h æ ɑ l s
healsbeag	h æ ɑ̯ l s b æː ɑ̯ ɡ
healsfang	h æ ɑ l s f ɑ ŋ ɡ
healsgebedda	h æ ɑ l s j e b e d d ɑ
healt	h æ ɑ̯ l t
hean	h æː ɑ n
heap	h æː ɑ̯ p
heard	h æ ɑ̯ r d
hearg	h æ ɑ r x
hearm	h æ ɑ r m
hearma	h æ ɑ r m ɑ
hearmascinnen	h æ ɑ r m ɑ ʃ i n n e n
hearmcweþan	h æ ɑ r m k w e θ ɑ n
hearmcƿeþan	h æ ɑ r m k w e θ ɑ n
hearpe	h æ ɑ r p e
heawan	h æː ɑ w ɑ n
heaþolac	h æ ɑ θ o l ɑː k
heaþorinc	h æ ɑ θ o r i ŋ k
heaþowæd	h æ ɑ θ o w æː d
heaþoƿæd	h æ ɑ θ o w æː d
heaƿan	h æː ɑ w ɑ n
hebban	h e b b ɑ n
hedan	h eː d ɑ n
hefig	h e f i j
hege	h e j e
hela	h eː l ɑ
hela	h eː l ɑː
helan	h e l ɑ n
hell	h e lː
hellewite	h e l l e w iː t e
hellrun	h e l l r uː n
hellruna	h e l l r uː n ɑ
helm	h e l m
helma	h e l m
helpan	h e l p ɑ n
helruna	h e l r uː n ɑ
helrynegu	h e l r yː n e j u
hemeþe	h e m e θ e
hengen	h e n d͡ʒ e n
hengen	h e ŋ ɡ e n
hengest	h e n d͡ʒ e s t
henn	h e n n
hentan	h e n t ɑ n
heo	h eː o
heodæg	h eː o d æ j
heof	h eː o f
heofan	h eː o f ɑ n
heofon	h e o̯ f o n
heofonisc	h e o f o n i ʃ
heofonum	h e o f o n u m
heofonwuldor	h e o f o n w u l d o r
heofonƿuldor	h e o f o n w u l d o r
heolca	h e o̯ l k ɑ
heonan	h e o n ɑ n
heora	h e o r ɑ
heord	h e o̯ r d
heore	h eː o r e
heorot	h e o̯ r o t
heorra	h e o̯ r r ɑ
heort	h e o̯ r t
heorte	h e o̯ r t e
heortece	h e o r t e t͡ʃ e
heortgryre	h e o r t ɡ r y r e
heoru	h e o r u
heorþ	h e o r θ
heorþgeneat	h e o r θ j e n æː ɑ t
her	h eː r
heran	h eː r ɑ n
here	h e r e
herebeacen	h e r e b æː ɑ k e n
herebeorg	h e r e b e o̯ r ɡ
heregeatwa	h e r e j æ ɑ̯ t w ɑ
heregeatƿa	h e r e j æ ɑ̯ t w ɑ
heregrima	h e r e ɡ r iː m ɑ
hergian	h e r ɣ i ɑ n
herian	h e r j ɑ n
hersum	h eː r s u m
het	h eː t
hete	h e t e
heteniþ	h e t e n iː θ
heterof	h e t e r oː f
hider	h i d e r
hie	h iː y
hieg	h iː y j
hielfan	h i y̯ l f ɑ n
hieran	h iː y̯ r ɑ n
hierde	h i y r d e
hiere	h i y r e
hierstan	h i y̯ r s t ɑ n
hierusalem	h i e r u s ɑ l e m
higian	h iː ɣ i ɑ n
hild	h i l d
hildebord	h i l d e b o r d
hildedeor	h i l d e d eː o r
hilderæs	h i l d e r æː s
hildewæpen	h i l d e w æː p e n
hildeƿæpen	h i l d e w æː p e n
him	h i m
hindan	h i n d ɑ n
hindrian	h i n d r i ɑ n
hine	h i n e
hired	h iː r eː d
hit	h i t
hiw	h iː w
hiwcund	h iː w k u n d
hiwen	h iː w e n
hiwfæst	h iː w f æ s t
hiwisc	h iː w i ʃ
hiƿ	h iː w
hiƿcund	h iː w k u n d
hiƿen	h iː w e n
hiƿfæst	h iː w f æ s t
hiƿisc	h iː w i ʃ
hladan	h l ɑ d ɑ n
hlaf	h l ɑː f
hlaford	h l ɑː f o r d
hlafordleas	h l ɑː f o r d l æː ɑ s
hlafordlic	h l ɑː f o r d l iː t ʃ
hlafæta	h l ɑː f æː t ɑ
hlagol	h l ɑ ɣ o l
hland	h l ɑ n d
hlaw	h l ɑː w
hlaƿ	h l ɑː w
hleahtor	x l æ ɑ̯ x t o r
hleapan	h l æː ɑ̯ p ɑ n
hleapere	h l æː ɑ̯ p e r e
hleapestre	h l æː ɑ̯ p e s t r e
hlehhan	h l e x x ɑ n
hlenca	l̥ e n t͡ʃ a
hleor	h l eː o r
hleorberg	h l eː o r b e r x
hleoþor	h l eː o̯ θ o r
hleoþorcyme	h l eː o̯ θ o r
hleoþrere	h l eː o̯ θ r e r e
hleoþrian	h l eː o̯ θ r i ɑ n
hleoþrung	h l eː o̯ θ r u n ɡ
hlid	h l i d
hliehhan	x l i y̯ x x ɑ n
hliep	h l iː y̯ p
hlifian	h l i f i ɑ n
hlisa	h l iː s ɑ
hlisful	h l iː s f u l
hliþ	h l i θ
hlosnian	h l o s n i ɑ n
hlowan	h l oː w ɑ n
hloƿan	h l oː w ɑ n
hlud	h l uː d
hlynsian	h l y n s i ɑ n
hlysnan	h l y s n ɑ n
hlystan	h l y s t ɑ n
hlæder	h l æː d e r
hlæfdige	h l æː f d iː j e
hlæne	h l æː n e
hlænsian	h l æː n s i ɑ n
hlæst	h l æ s t
hlæw	h l æː w
hlæƿ	h l æː w
hnah	h n ɑː h
hneaw	h n æː ɑ̯ w
hneaƿ	h n æː ɑ̯ w
hnesce	h n e ʃ ʃ e
hnigan	h n iː ɡ ɑ n
hnigian	h n i ɡ i ɑ n
hnitu	h n i t u
hnocc	h n o kː
hnoll	h n o lː
hnossian	h n o s s i ɑ n
hnot	h n o t
hnutu	h n u t u
hnægan	h n æː j ɑ n
hnægung	h n æː j u n ɡ
hnæp	h n æ p
hnæpf	h n æ p f
hnæpp	h n æ p p
hof	h o f
hof	h oː f
hofor	h o f u r
hoga	h o ɣ ɑ
hogg	h o ɡː
hogode	h o ɣ o d e
hol	h o l
hol	h oː l
hold	h o l d
holegn	h o l e j n
holen	h o l e n
holian	h o l i ɑ n
holian	h oː l i ɑ n
holm	h o l m
hon	h oː n
hopa	h o p ɑ
hoppestre	h o pː e s t r e
hoppian	h o p p i ɑ n
hord	h o r d
hore	h oː r e
horh	h o r x
horig	h o r i j
horn	h o r n
hornblawere	h o r n b l ɑː w e r e
hornblaƿere	h o r n b l ɑː w e r e
hornbære	h o r n b æː r e
hornreced	h o r n r e t ʃ e d
hors	h o r s
horscamb	h o r s k ɑ m b
horshwæl	x o r s h w æ l
horshƿæl	h o r s h w æ l
horsminte	h o r s m i n t e
horu	h o r u
hos	h oː s
hosan	h o s ɑ n
hose	h o s e
hosp	h o s p
hra	h r ɑː
hrafyl	h r ɑː f y l
hragra	h r ɑː ɡ r ɑ
hramsa	h r ɑ m s ɑ
hran	h r ɑ n
hranrad	h r ɑ n r ɑː d
hraþe	h r ɑ θ e
hraþor	h r ɑ θ o r
hreac	h r æː ɑ̯ k
hreaƿ	r̥ æː ɑ w
hreddan	h r e d d ɑ n
hremig	h r eː m i j
hreod	h r eː o̯ d
hreodan	h r eː o̯ d ɑ n
hreosan	h r eː o̯ s ɑ n
hreow	h r eː o̯ w
hreoƿ	h r eː o̯ w
hreppan	h r e p p ɑ n
hrepung	h r e p u n ɡ
hreran	h r eː r ɑ n
hreþ	h r eː θ
hreþer	h r e θ e r
hreþig	h r eː θ i j
hreþmonaþ	h r eː θ m oː n ɑ θ
hrif	h r i f
hrim	h r iː m
hring	h r i n ɡ
hringan	h r i n d͡ʒ ɑ n
hringedstefna	h r i ŋ ɡ e d s t e f n ɑ
hringfinger	h r i n ɡ f i n ɡ e r
hris	h r iː s
hrisian	h r i s i ɑ n
hriþ	x r i θ
hriþ	x r iː θ
hroc	h r oː k
hrof	h r oː f
hronfisc	h r o n f i ʃ
hrop	h r oː p
hropan	r̥ oː p ɑ n
hror	h r oː r
hroþwyn	h r o θ w y n n
hroþƿyn	h r o θ w y n n
hruse	h r uː s e
hrycg	h r y d d͡ʒ
hrycgban	h r y d d͡ʒ b ɑː n
hryre	h r y r e
hryscan	h r yː ʃ ʃ ɑ n
hryþerhyrde	h r yː θ e r h y r d e
hræd	h r æ d
hrædlice	h r æ d l iː t͡ʃ e
hræfn	h r æ f n
hrægl	h r æ j l
hræn	h r æ n
hræw	h r æː w
hræþe	h r æ θ e
hræƿ	r̥ æː w
hu	h uː
hulc	h u l k
hund	h u n d
hundlic	h u n d l iː t͡ʃ
hundred	h u n d r e d
hundteontig	h u n d t eː o̯ n t i j
hundteontigoþa	h u n d t eː o n t i j o θ ɑ
hundtwelftig	h u n d t w e l f t i j
hundtƿelftig	h u n d t w e l f t i j
hunig	h u n i j
hunigcamb	h u n i j k ɑ m b
hunigsmæc	h u n i j s m æ k
hunigsmæc	h u n i j s m æ t͡ʃ
hunta	h u n t ɑ
huntian	h u n t i ɑ n
huntoþ	h u n t o θ
huru	h uː r u
hus	h uː s
husbryne	h uː s b r y n e
husc	h u ʃː
husl	h uː s l̩
huþ	h uː θ
hwa	h w ɑː
hwam	h w ɑː m
hwanon	h w ɑ n o n
hwara	ʍ ɑː r ɑ
hwealf	h w æ ɑ l f
hwearfian	h w æ ɑ̯ r f i ɑ n
hwelca	h w e l k ɑ
hwelian	h w e l i ɑ n
hwelp	h w e l p
hweol	ʍ eː o l
hweorfan	ʍ e o r f ɑ n
hwergen	ʍ e r j e n
hwerhwette	h w e r h w e t t e
hwetstan	h w e t s t ɑː n
hwettan	h w e t t ɑ n
hwider	ʍ i d e r
hwierfan	h w i y r f ɑ n
hwil	h w iː l
hwilc	h w i l t͡ʃ
hwilum	h w iː l u m
hwilwende	h w iː l w e n d e
hwistlere	h w i s t l e r e
hwistlian	h w i s t l i ɑ n
hwit	h w iː t
hwitel	h w iː t e l
hwon	h w o n
hwone	h w o n e
hwopan	h w oː p ɑ n
hwosan	h w oː s ɑ n
hwosta	h w oː s t ɑ
hwy	h w yː
hwylca	h w y l k ɑ
hwyrft	ʍ y r f t
hwæder	ʍ æ d e r
hwæg	h w æː j
hwæl	h w æ l
hwælhunta	h w æ l h u n t ɑ
hwælhuntoþ	h w æ l h u n t o θ
hwælweg	ʍ æ l w e j
hwæm	h w æː m
hwæne	h w æ n e
hwænne	ʍ æ n n e
hwær	h w æː r
hwæs	h w æ s
hwæt	h w æ t
hwæte	h w æː t e
hwæþer	h w æ θ e r
hwæþre	h w æ θ r e
hycgan	h y d d͡ʒ ɑ n
hyd	h yː d
hydan	h yː d ɑ n
hyf	h yː f
hyge	h y j e
hygerof	h y j e r oː f
hyht	h y h t
hyldo	h y l d o
hyll	h y l l
hynþu	h yː n θ u
hype	h y p e
hyr	h yː r
hyran	h yː r ɑ n
hyrdan	h y r d ɑ n
hyrdel	h y r d e l
hyrdon	h yː r d o n
hyreborg	h yː r e b o r ɣ
hyrmann	h yː r m ɑ n n
hyrne	h y r n e
hyrstan	h y r s t ɑ n
hyscan	h y ʃ ɑ n
hyse	h y s e
hyþ	h yː θ
hæbbende	h æ b b e n d e
hæc	h æ t͡ʃ
hæf	h æ f
hæfde	h æ f d e
hæfdon	h æ f d o n
hæfen	h æ f e n
hæfer	h æ f e r
hæfern	h æ f e r n
hæft	h æ f t
hæftling	h æ f t l i ŋ ɡ
hæftnung	h æ f t n u ŋ ɡ
hægl	h æ j l
hægtesse	h æ ɡ t e s s e
hæl	h æː l
hælan	h æː l ɑ n
hælend	h æː l e n d
hæleþ	h æ l e θ
hælig	h æː l i j
hælu	h æː l u
hælþ	h æː l θ
hæman	h æː m a n
hæmed	h æː m e d
hæmedlac	h æː m e d l ɑː k
hæmedscipe	h æː m e d ʃ i p e
hær	h æː r
hærfest	h æ r f e s t
hærfestmonaþ	h æ r f e s t m oː n ɑ θ
hæring	h æː r i ŋ ɡ
hærn	h æ r n
hærnflota	h æ r n f l o t ɑ
hæs	h æː s
hæsl	h æ s l̩
hæst	h æː s t
hæte	h æː t e
hætt	h æ t t
hæþ	h æː θ
hæþen	h æː θ e n
hƿa	h w ɑː
hƿanon	h w ɑ n o n
hƿara	ʍ ɑː r ɑ
hƿealf	h w æ ɑ l f
hƿearfian	h w æ ɑ r f i ɑ n
hƿelca	h w e l k ɑ
hƿelian	h w e l i ɑ n
hƿelp	h w e l p
hƿeol	ʍ eː o l
hƿeorfan	ʍ e o r f ɑ n
hƿergen	ʍ e r j e n
hƿerhƿette	h w e r h w e t t e
hƿetstan	h w e t s t ɑː n
hƿettan	h w e t t ɑ n
hƿider	ʍ i d e r
hƿierfan	h w i r f ɑ n
hƿierfan	h w i y r f ɑ n
hƿierfan	h w y r f ɑ n
hƿil	ʍ iː l
hƿilc	h w i l t͡ʃ
hƿilƿende	h w iː l w e n d e
hƿistlere	h w i s t l e r e
hƿistlian	h w i s t l i ɑ n
hƿit	ʍ iː t
hƿitel	h w iː t e l
hƿon	h w o n
hƿone	h w o n e
hƿopan	h w oː p ɑ n
hƿosan	h w oː s ɑ n
hƿosta	h w oː s t ɑ
hƿy	h w yː
hƿylca	h w y l k ɑ
hƿyrft	ʍ y r f t
hƿæder	ʍ æ d e r
hƿæg	h w æː j
hƿæl	h w æ l
hƿælhunta	h w æ l h u n t ɑ
hƿælhuntoþ	h w æ l h u n t o θ
hƿælƿeg	ʍ æ l w e j
hƿæne	h w æ n e
hƿænne	ʍ æ n n e
hƿær	h w æː r
hƿæs	h w æ s
hƿæt	h w æ t
hƿæte	h w æː t e
hƿæþer	h w æ θ e r
hƿæþre	ʍ æ θ r e
ic	i t͡ʃ
idel	iː d e l
ides	i d e s
idæges	iː d æ j e s
ieg	iː y j
iegland	iː y̯ j l ɑ n d
iegstream	iː y j s t r æː ɑ m
ielde	i y l d e
ieldu	i y̯ l d u
ielfete	i y l f e t e
ielfetu	i y l f e t u
iermþ	i y̯ r m θ
ifig	iː f i j
ifiht	iː f i ç t
igeoþ	i j o θ
iggaþ	i j j ɑ θ
iggoþ	i j j o θ
igil	i j i l
igoþ	i j o θ
ih	i x
ilca	i l k ɑ
imbe	i m b e
impian	i m p i ɑ n
in	i n
inburh	i n b u r x
inburh	i n b u r ɣ
inca	i ŋ k ɑ
incer	i n k e r
inciegan	i n t͡ʃ iː y j ɑ n
incit	i ŋ k i t
incniht	i n k n i x t
incund	i n k u n d
inferan	i n f eː r ɑ n
ing	i ŋ ɡ
ingang	i n ɡ ɑ n ɡ
ingefeoht	i n j e f e o̯ h t
ingeþanc	i n j e θ ɑ ŋ k
inlenda	i n l e n d ɑ
inlendisc	i n l e n d i ʃ
inlædan	i n l æː d ɑ n
inn	i nː
innan	i n n ɑ n
innancund	i n n ɑ n k u n d
innanweard	i n n ɑ n w æ ɑ r d
innanƿeard	i n n ɑ n w æ ɑ r d
inne	i n n e
innecund	i n n e k u n d
innefare	i n n e f ɑ r e
innera	i n n e r ɑ
inneweard	i n n e w æ ɑ r d
inneƿeard	i n n e w æ ɑ r d
innian	i n n i ɑ n
innoþ	i n n o θ
innung	i n n u ŋ ɡ
insiht	i n s i ç t
into	i n t oː
inweard	i n w æ ɑ r d
inylfe	i n y l f e
inƿeard	i n w æ ɑ r d
iohannes	j o x ɑ nː e s
iow	iː o̯ w
ioƿ	iː o̯ w
is	iː s
isceald	iː s t͡ʃ æ ɑ l d
isearn	iː s æ ɑ̯ r n
isern	iː s e r n
isernsmiþ	iː s e r n s m i θ
isig	iː s i j
isiht	iː s i ç t
isiþes	iː s iː θ e s
israhel	i z r ɑ ç e l
iude	j u d e
iudeisc	j uː d eː i ʃ
iw	iː w
iƿ	iː w
lac	l ɑː k
lacan	l ɑː k ɑ n
lacu	l ɑ k u
lad	l ɑː d
ladmann	l ɑː d m ɑ n n
ladteow	l ɑː d t eː o w
ladteoƿ	l ɑː d t eː o w
laf	l ɑː f
lafian	l ɑ f i ɑ n
lagu	l ɑ ɣ u
lagucræftig	l ɑ ɣ u k r æ f t i j
lagustræt	l ɑ ɣ u s t r æː t
lama	l ɑ m ɑ
lamb	l ɑ m b
lambru	l ɑ m b r u
lamp	l ɑ m p
land	l ɑ n d
landbuend	l ɑ n d b uː e n d
landfruma	l ɑ n d f r u m ɑ
landhlaford	l ɑ n d h l ɑː f o r d
landmearc	l ɑ n d m æ ɑ̯ r k
landrest	l ɑ n d r e s t
lang	l ɑ ŋ ɡ
lange	l ɑ ŋ ɡ e
langsum	l ɑ ŋ ɡ s u m
lanu	l ɑ n u
lar	l ɑː r
last	l ɑː s t
late	l ɑ t e
lawerce	l ɑː w e r k e
laþ	l ɑː θ
laþgeteona	l ɑː θ j e t eː o n ɑ
laþian	l ɑ θ i ɑ n
laþian	l ɑː θ i ɑ n
laþu	l ɑ θ u
laƿerce	l ɑː w e r k e
leac	l æː ɑ k
lead	l æː ɑ̯ d
leaf	l æː ɑ f
leafa	l æː ɑ̯ f ɑ
leafnes	l æː ɑ̯ f n e s
leafnesword	l æː ɑ f n e s w o r d
leafnesƿord	l æː ɑ f n e s w o r d
leah	l æː ɑ x
lean	l æː ɑ n
leasere	l æː ɑ s e r e
leaslic	l æː ɑ s l iː t ʃ
leassagol	l æː ɑ s s ɑ ɣ o l
leassceawere	l æː ɑ s ʃ æː ɑ w e r e
leassceaƿere	l æː ɑ s ʃ æː ɑ w e r e
leax	l æ ɑ k s
lec	l eː k
leccan	l e t t͡ʃ ɑ n
lecgan	l e d d͡ʒ ɑ n
legen	l e j e n
leger	l e j e r
legerteam	l e j e r t æː ɑ m
lencten	l e n k t e n
lenden	l e n d e n
leng	l e n d͡ʒ
lengest	l e n d͡ʒ e s t
lengþu	l e ŋ ɡ θ u
leo	l eː o̯
leod	l eː o d
leodan	l eː o d ɑ n
leodcyning	l eː o d k y n i ŋ ɡ
leode	l eː o d e
leoden	l eː o̯ d e n
leof	l eː o f
leofwende	l eː o f w e n d e
leofƿende	l eː o f w e n d e
leogan	l eː o ɣ ɑ n
leogere	l eː o̯ ɡ e r e
leoht	l eː o̯ h t
leohtberend	l eː o x t b e r e n d
leohtbrædnes	l eː o x t b r æː d n e s
leohtbære	l eː o x t b æː r e
leohtfæt	l eː o̯ h t f æ t
leohtsawend	l eː o x t s ɑː w e n d
leohtsaƿend	l eː o x t s ɑː w e n d
leoma	l eː o m ɑ
leon	l eː o n
leoran	l eː o r ɑ n
leornungcniht	l e o r n u ŋ ɡ k n i ç t
leoþ	l eː o θ
leoþcræft	l eː o θ k r æ f t
leoþcræftig	l eː o θ k r æ f t i j
leoþgiddung	l eː o θ j i d d u ŋ ɡ
leoþian	l eː o θ i ɑ n
leoþlic	l eː o̯ θ l iː t͡ʃ
leoþorun	l eː o θ o r uː n
leoþwise	l eː o θ w iː s e
leoþwyrhta	l eː o θ w y r x t ɑ
leoþƿise	l eː o θ w iː s e
leoþƿyrhta	l eː o θ w y r x t ɑ
lesan	l e s ɑ n
lettan	l e t t ɑ n
leðer	l e θ e r
leþer	l e θ e r
libban	l i b b ɑ n
lic	l iː k
lic	l iː t ʃ
licettan	l iː t͡ʃ e t t a n
licettere	l iː t͡ʃ e t t e r e
licettung	l iː t͡ʃ e t t u n ɡ
licgan	l i d d͡ʒ ɑ n
lichama	l iː k h ɑ m ɑ
lichamlic	l iː k h ɑ m l iː t͡ʃ
lichamlice	l iː k h ɑ m l iː t͡ʃ e
licnes	l i k n e s
lictun	l iː k t uː n
licþeote	l iː k θ eː o̯ t e
liefan	l iː y f ɑ n
lieg	l iː y̯ j
liesan	l iː y s ɑ n
lif	l iː f
lifer	l i f e r
liffrea	l iː f f r æː ɑ
lifgedal	l iː f j e d ɑː l
lig	l iː j
ligen	l iː j e n
lignan	l iː j n ɑ n
lihtan	l iː ç t ɑ n
lim	l i m
lim	l iː m
limpan	l i m p ɑ n
lind	l i n d
linden	l i n d e n
lindhæbbend	l i n d h æ b b e n d
line	l iː n e
linnan	l i n n ɑ n
lira	l iː r ɑ
list	l i s t
lixan	l iː k s ɑ n
liþ	l i θ
liþa	l iː θ ɑ
liþan	l iː θ ɑ n
liþe	l iː θ e
loc	l o k
locian	l oː k i ɑ n
loddere	l o d d e r e
lodrung	l o d r u ŋ ɡ
lof	l o f
lof	l oː f
lofdæd	l o f d æː d
log	l oː x
logian	l oː ɣ i ɑ n
loh	l oː x
lome	l oː m e
longe	l o ŋ ɡ e
loppe	l o p p e
loppestre	l o p p e s t r e
los	l o s
lox	l o k s
loþa	l o θ ɑ
lucan	l uː k ɑ n
lucas	l u k ɑ s
lufestice	l u f e s t i t͡ʃ e
lufestre	l u f e s t r e
lufian	l u f i ɑ n
luflic	l u f l iː t͡ʃ
lufsum	l u f s u m
luftacen	l u f t ɑː k e n
lufu	l u f u
lumpen	l u m p e n
lunden	l u n d e n
lungen	l u ŋ ɡ e n
lustbære	l u s t b æː r e
lutan	l uː t ɑ n
lybb	l y b b
lybesn	l y b e s n
lyft	l y f t
lyge	l y j e
lygen	l y j e n
lysan	l yː s ɑ n
lysu	l y s u
lyswen	l y s w e n
lysƿen	l y s w e n
lyt	l yː t
lytel	l yː t e l
lythwon	l yː t h w oː n
lythƿon	l yː t h w oː n
læccan	l æː t t͡ʃ ɑ n
læce	l æː t͡ʃ e
læcehus	l æː t͡ʃ e h uː s
lædan	l æː d ɑ n
læden	l æː d e n
lædere	l æː d e r e
læfan	l æː f ɑ n
læn	l æː n
lænan	l æː n ɑ n
læppa	l æ p p ɑ
læran	l æː r ɑ n
læs	l æː s
læsest	l æː s e s t
læssa	l æː s s ɑ
læst	l æː s t
læstan	l æː s t ɑ n
læt	l æ t
lætan	l æː t ɑ n
læwa	l æː w ɑ
læƿa	l æː w ɑ
ma	m ɑː
macian	m ɑ k i ɑ n
maga	m ɑ ɣ ɑ
maga	m ɑː ɣ ɑ
magan	m ɑ ɡ ɑ n
magon	m ɑ ɣ o n
magu	m ɑ ɣ u
maguþegn	m ɑ ɣ u θ e j n
mal	m ɑː l
malscrung	m ɑ l ʃ r u ŋ ɡ
man	m ɑ n
man	m ɑː n
mancynn	m ɑ n k y nː
mandæde	m ɑː n d æː d e
manfordædla	m ɑː n f o r d æː d l ɑ
manian	m ɑ n i ɑ n
manig	m ɑ n i j
manigfeald	m ɑ n i j f æ ɑ̯ l d
mann	m ɑ nː
mannbære	m ɑ n n b æː r e
manscyldig	m ɑː n ʃ y l d i j
manslaga	m ɑ n s l ɑ ɡ ɑ
manswerian	m ɑː n s w e r i ɑ n
mansƿerian	m ɑː n s w e r i ɑ n
manu	m ɑ n u
mapulder	m ɑ p u l d e r
mara	m ɑː r ɑ
marcus	m ɑ r k u s
mare	m ɑ r e
marmstan	m ɑ r m s t ɑː n
masc	m ɑ ʃ
masc	m ɑː ʃ
mase	m ɑː s e
matheus	m ɑ t h e u s
mawan	m ɑː w ɑ n
maþa	m ɑ θ ɑ
maþelian	m ɑ θ e l i ɑ n
maþelode	m ɑ θ e l o d e
maþum	m ɑː θ u m
maƿan	m ɑː w ɑ n
me	m eː
meaht	m æ ɑ x t
mealt	m æ ɑ l t
mealwe	m æ ɑ̯ l w e
mealƿe	m æ ɑ̯ l w e
mearcian	m æ ɑ r k i ɑ n
mearcung	m æ ɑ r k u ŋ ɡ
mearg	m æ ɑ̯ r ɡ
mearh	m æ ɑ̯ r h
mearn	m æ ɑ r n
mearþ	m æ ɑ̯ r θ
meatte	m æ ɑ̯ t t e
mec	m e k
mec	m e t͡ʃ
mece	m eː t͡ʃ e
mecefisc	m eː t͡ʃ e f i ʃ
mecgan	m e d d͡ʒ ɑ n
med	m eː d
meddern	m eː d d e r n
medeme	m e d e m e
medern	m eː d e r n
medren	m eː d r e n
medu	m e d u
medusetl	m e d u s e t l
medwis	m e d w iː s
medƿis	m e d w iː s
melcan	m e l k ɑ n
meltan	m e l t ɑ n
melu	m e l u
mene	m e n e
mengan	m e n d͡ʒ ɑ n
mengan	m e ŋ ɡ ɑ n
menigeo	m e n i j o
menigu	m e n i j u
mennisc	m e n n i ʃ
mennisclic	m e n n i ʃ l iː t͡ʃ
mennisclicnes	m e n n i ʃ l iː k n e s
