Ⴁ	b
სტატიკური	s tʼ ɑ tʼ ɪ kʼ u r ɪ
სტატისტი	s tʼ ɑ tʼ ɪ s tʼ ɪ
სტატისტიკოსი	s tʼ ɑ tʼ ɪ s tʼ ɪ kʼ ɔ s ɪ
სტატისტიკურად	s tʼ ɑ tʼ ɪ s tʼ ɪ kʼ u r ɑ d
სტატისტიკური	s tʼ ɑ tʼ ɪ s tʼ ɪ kʼ u r ɪ
სტატუეტი	s tʼ ɑ tʼ u ɛ tʼ ɪ
სტატუსი	s tʼ ɑ tʼ u s ɪ
სტატუტი	s tʼ ɑ tʼ u tʼ ɪ
სტაფილოსფერი	s tʼ ɑ pʰ ɪ l ɔ s pʰ ɛ r ɪ
სტაციონარული	s tʼ ɑ t s i ɔ n ɑ r u l i
სტელა	s tʼ ɛ l ɑ
სტენლი	s tʼ ɛ n l ɪ
სტენოგრაფია	s tʼ ɛ n ɔ ɡ r ɑ pʰ ɪ ɑ
სტეპი	s tʼ ɛ pʼ ɪ
სტერეოსკოპი	s tʼ ɛ r ɛ ɔ s kʼ ɔ pʼ ɪ
სტერეოტიპი	s tʼ ɛ r ɛ ɔ tʼ ɪ pʼ ɪ
სტერილიზაცია	s tʼ ɛ r ɪ l ɪ z ɑ t s ɪ ɑ
სტერილური	s tʼ ɛ r ɪ l u r ɪ
სტერლინგი	s tʼ ɛ r l ɪ n ɡ ɪ
სტეფანე	s tʼ ɛ pʰ ɑ n ɛ
სტეფანი	s tʼ ɛ pʰ ɑ n ɪ
სტვენა	s tʼ v ɛ n ɑ
სტვენით	s tʼ v ɛ n i tʰ
სტვირი	s tʼ v ɪ r ɪ
სტიბიუმი	s tʼ i b i u m i
სტივენი	s tʼ ɪ v ɛ n ɪ
სტილეტი	s tʼ ɪ l ɛ tʼ ɪ
სტილიზაცია	s tʼ ɪ l ɪ z ɑ t s ɪ ɑ
სტილისტი	s tʼ ɪ l ɪ s tʼ ɪ
სტილისტურად	s tʼ ɪ l ɪ s tʼ u r ɑ d
სტილისტური	s tʼ ɪ l ɪ s tʼ u r ɪ
სტიმული	s tʼ ɪ m u l ɪ
სტიპენდია	s tʼ ɪ pʼ ɛ n d ɪ ɑ
სტიქარი	s tʼ ɪ kʰ ɑ r ɪ
სტიქიური	s tʼ i kʰ i u r i
სტიქსი	s tʼ ɪ kʰ s ɪ
სტკივა	s tʼ kʼ i v ɑ
სტოიკოსი	s tʼ ɔ ɪ kʼ ɔ s ɪ
სტოიკურად	s tʼ ɔ ɪ kʼ u r ɑ d
სტოიკური	s tʼ ɔ i kʼ u r i
სტოიციზმი	s tʼ ɔ ɪ t s ɪ z m ɪ
სტომატოლოგი	s tʼ ɔ m ɑ tʼ ɔ l ɔ ɡ i
სტომაქი	s tʼ ɔ m ɑ kʰ ɪ
სტრასბურგი	s tʼ r ɑ s b u r ɡ ɪ
სტრატეგი	s tʼ r ɑ tʼ ɛ ɡ ɪ
სტრატეგიულად	s tʼ r ɑ tʼ ɛ ɡ ɪ u l ɑ d
სტრატეგიული	s tʼ r ɑ tʼ ɛ ɡ ɪ u l ɪ
სტრატოსფერო	s tʼ r ɑ tʼ ɔ s pʰ ɛ r ɔ
სტრეპტოკოკი	s tʼ r ɛ pʼ tʼ ɔ kʼ ɔ kʼ ɪ
სტრიპტიზი	s tʼ r ɪ pʼ tʼ ɪ z ɪ
სტრონციუმი	s tʼ r ɔ n t s i u m i
სტროფი	s tʼ r ɔ pʰ ɪ
სტრუქტურა	s tʼ r u kʰ tʼ u r ɑ
სტრუქტურულად	s tʼ r u kʰ tʼ u r u l ɑ d
სტრუქტურული	s tʼ r u kʰ tʼ u r u l ɪ
სტუდენტი	s tʼ u d ɛ n tʼ i
სტუდია	s tʼ u d ɪ ɑ
სტუმართმოყვრულად	s tʼ u m ɑ r tʰ m ɔ qʼ v r u l ɑ d
სტუმრობა	s tʼ u m r ɔ b ɑ
სუ	s u
სუბიექტურად	s u b ɪ ɛ kʰ tʼ u r ɑ d
სუბიექტური	s u b i ɛ kʰ tʼ u r i
სუბიექტურობა	s u b ɪ ɛ kʰ tʼ u r ɔ b ɑ
სუბორდინაცია	s u b ɔ r d ɪ n ɑ t s ɪ ɑ
სუბსიდია	s u b s ɪ d ɪ ɑ
სუბსტანცია	s u b s tʼ ɑ n t s ɪ ɑ
სუბსტრატი	s u b s tʼ r ɑ tʼ ɪ
სუბტროპიკული	s u b tʼ r ɔ pʼ ɪ kʼ u l ɪ
სუდანი	s u d ɑ n ɪ
სუდარა	s u d ɑ r ɑ
სუვენირი	s u v ɛ n i r i
სუზანი	s u z ɑ n ɪ
სულ	s u l
სულგრძელად	s u l ɡ r d z ɛ l ɑ d
სულგრძელი	s u l ɡ r d z ɛ l i
სულგრძელობა	s u l ɡ r d z ɛ l ɔ b ɑ
სულგუნი	s u l ɡ u n ɪ
სულელი	s u l ɛ l i
სულელობა	s u l ɛ l ɔ b ɑ
სულელურად	s u l ɛ l u r ɑ d
სულელური	s u l ɛ l u r ɪ
სულთანი	s u l tʰ ɑ n ɪ
სული	s u l i
სულიერად	s u l ɪ ɛ r ɑ d
სულიერი	s u l i ɛ r i
სულმდაბალი	s u l m d ɑ b ɑ l ɪ
სულმდაბლად	s u l m d ɑ b l ɑ d
სულმოკლე	s u l m ɔ kʼ l ɛ
სულმოკლეობა	s u l m ɔ kʼ l ɛ ɔ b ɑ
სულფატი	s u l pʰ ɑ tʼ ɪ
სულფიდი	s u l pʰ ɪ d ɪ
სუნამო	s u n ɑ m ɔ
სუნელი	s u n ɛ l i
სუნთქავს	s u n tʰ kʰ ɑ v s
სუნთქვითი	s u n tʰ kʰ v ɪ tʰ ɪ
სუნი	s u n i
სუნიანი	s u n ɪ ɑ n ɪ
სუნსული	s u n s u l ɪ
სუპერმარკეტი	s u pʼ ɛ r m ɑ r kʼ ɛ tʼ i
სუპერმენი	s u pʼ ɛ r m ɛ n ɪ
სურა	s u r ɑ
სურავანდი	s u r ɑ v ɑ n d ɪ
სურავანდიანი	s u r ɑ v ɑ n d ɪ ɑ n ɪ
სურათი	s u r ɑ tʰ i
სურამი	s u r ɑ m i
სურვილი	s u r v ɪ l ɪ
სურვილისამებრ	s u r v ɪ l ɪ s ɑ m ɛ b r
სურინამი	s u r i n ɑ m i
სურნელები	s u r n ɛ l ɛ b ɪ
სურნელი	s u r n ɛ l ɪ
სურნელოვანი	s u r n ɛ l ɔ v ɑ n ɪ
სურო	s u r ɔ
სუროსფერი	s u r ɔ s pʰ ɛ r ɪ
სურს	s u r s
სურსათი	s u r s ɑ tʰ ɪ
სუსტად	s u s tʼ ɑ d
სუსტი	s u s tʼ i
სუსხიანად	s u s χ ɪ ɑ n ɑ d
სუსხიანი	s u s χ ɪ ɑ n ɪ
სუტენიორი	s u tʼ ɛ n ɪ ɔ r ɪ
სუფთა	s u pʰ tʰ ɑ
სუფთად	s u pʰ tʰ ɑ d
სუფიქსი	s u pʰ ɪ kʰ s ɪ
სუფლე	s u pʰ l ɛ
სუფრა	s u pʰ r ɑ
სფერო	s pʰ ɛ r ɔ
სფეროიდი	s pʰ ɛ r ɔ ɪ d ɪ
სფერული	s pʰ ɛ r u l ɪ
სფინქსი	s pʰ ɪ n kʰ s ɪ
სქელი	s kʰ ɛ l ɪ
სქელკანიანი	s kʰ ɛ l kʼ ɑ n ɪ ɑ n ɪ
სქემა	s kʰ ɛ m ɑ
სქემატურად	s kʰ ɛ m ɑ tʼ u r ɑ d
სქემატური	s kʰ ɛ m ɑ tʼ u r ɪ
სქოლასტიკა	s kʰ ɔ l ɑ s tʼ ɪ kʼ ɑ
სქოლასტიკოსი	s kʰ ɔ l ɑ s tʼ i kʼ ɔ s i
სქოლასტიკური	s kʰ ɔ l ɑ s tʼ ɪ kʼ u r ɪ
სქოლიო	s kʰ ɔ l ɪ ɔ
სცენა	s t s ɛ n ɑ
სცენარი	s t s ɛ n ɑ r ɪ
სცენარისტი	s t s ɛ n ɑ r ɪ s tʼ ɪ
სცენური	s t s ɛ n u r ɪ
სცილდება	s t s i l d ɛ b ɑ
სწავლა	s t sʼ ɑ v l ɑ
სწავლება	s t sʼ ɑ v l ɛ b ɑ
სწავლობს	s t sʼ ɑ v l ɔ b s
სწერს	s t sʼ ɛ r s
სწორად	s t sʼ ɔ r ɑ d
სწორედ	s t sʼ ɔ r ɛ d
სწორი	s t sʼ ɔ r i
სწორკუთხა	s t sʼ ɔ r kʼ u tʰ χ ɑ
სწორუპოვარი	s t sʼ ɔ r u pʼ ɔ v ɑ r ɪ
სწორხაზოვანი	s t sʼ ɔ r χ ɑ z ɔ v ɑ n ɪ
სწრაფად	s t sʼ r ɑ pʰ ɑ d
სწრაფი	s t sʼ r ɑ pʰ i
სჭირდება	s t ʃʼ i r d ɛ b ɑ
სხდომა	s x d ɔ m ɑ
სხეული	s x ɛ u l i
სხვა	s x v ɑ
სხვაგვარად	s χ v ɑ ɡ v ɑ r ɑ d
სხვადასხვა	s x v ɑ d ɑ s x v ɑ
სხვადასხვაგვარად	s χ v ɑ d ɑ s χ v ɑ ɡ v ɑ r ɑ d
სხვათაშორის	s χ v ɑ tʰ ɑ ʃ ɔ r ɪ s
სხვანაირად	s χ v ɑ n ɑ ɪ r ɑ d
სხვანაირი	s x v ɑ n ɑ i r i
სხვები	s x v ɛ b i
სხვენი	s x v ɛ n i
სხვისი	s x v i s i
სხივი	s χ ɪ v ɪ
სხივოსანი	s χ ɪ v ɔ s ɑ n ɪ
სხივურად	s χ ɪ v u r ɑ d
სხივური	s x i v u r i
სჯა	s d ʒ ɑ
სჯის	s d ʒ i s
ტაბაკი	tʼ ɑ b ɑ kʼ i
ტაბლეტი	tʼ ɑ b l ɛ tʼ ɪ
ტაბლო	tʼ ɑ b l ɔ
ტაბუ	tʼ ɑ b u
ტაბულატორი	tʼ ɑ b u l ɑ tʼ ɔ r ɪ
ტაბურეტი	tʼ ɑ b u r ɛ tʼ ɪ
ტავერნა	tʼ ɑ v ɛ r n ɑ
ტავტოლოგია	tʼ ɑ v tʼ ɔ l ɔ ɡ i ɑ
ტავტოლოგიური	tʼ ɑ v tʼ ɔ l ɔ ɡ ɪ u r ɪ
ტაივანი	tʼ ɑ ɪ v ɑ n ɪ
ტაილანდი	tʼ ɑ i l ɑ n d i
ტაიტი	tʼ ɑ ɪ tʼ ɪ
ტაიური	tʼ ɑ ɪ u r ɪ
ტაიფუნი	tʼ ɑ ɪ pʰ u n ɪ
ტაკელაჟი	tʼ ɑ kʼ ɛ l ɑ ʒ ɪ
ტალავერი	tʼ ɑ l ɑ v ɛ r ɪ
ტალანი	tʼ ɑ l ɑ n ɪ
ტალანტი	tʼ ɑ l ɑ n tʼ ɪ
ტალახი	tʼ ɑ l ɑ x i
ტალახიანი	tʼ ɑ l ɑ x i ɑ n i
ტალკი	tʼ ɑ l kʼ ɪ
ტალღა	tʼ ɑ l ɣ ɑ
ტალღოვანი	tʼ ɑ l ʁ ɔ v ɑ n ɪ
ტამბური	tʼ ɑ m b u r ɪ
ტამბურინი	tʼ ɑ m b u r ɪ n ɪ
ტამპონი	tʼ ɑ m pʼ ɔ n ɪ
ტამტამი	tʼ ɑ m tʼ ɑ m ɪ
ტანადი	tʼ ɑ n ɑ d ɪ
ტანადობა	tʼ ɑ n ɑ d ɔ b ɑ
ტანგო	tʼ ɑ n ɡ ɔ
ტანვარჯიში	tʼ ɑ n v ɑ r d ʒ ɪ ʃ ɪ
ტანზანია	tʼ ɑ n z ɑ n i ɑ
ტანი	tʼ ɑ n i
ტანინი	tʼ ɑ n ɪ n ɪ
ტანკერი	tʼ ɑ n kʼ ɛ r ɪ
ტანმოვარჯიშე	tʼ ɑ n m ɔ v ɑ r d ʒ ɪ ʃ ɛ
ტანსაცმელი	tʼ ɑ n s ɑ t s m ɛ l i
ტანტალი	tʼ ɑ n tʼ ɑ l i
ტანწერწეტა	tʼ ɑ n t sʼ ɛ r t sʼ ɛ tʼ ɑ
ტანჯავს	tʼ ɑ n d ʒ ɑ v s
ტარა	tʼ ɑ r ɑ
ტარაკანი	tʼ ɑ r ɑ kʼ ɑ n i
ტარანტული	tʼ ɑ r ɑ n tʼ u l ɪ
ტარება	tʼ ɑ r ɛ b ɑ
ტარი	tʼ ɑ r i
ტარიფი	tʼ ɑ r ɪ pʰ ɪ
ტარო	tʼ ɑ r ɔ
ტარსიკონი	tʼ ɑ r s ɪ kʼ ɔ n ɪ
ტარხუნა	tʼ ɑ r χ u n ɑ
ტასმანია	tʼ ɑ s m ɑ n i ɑ
ტაფა	tʼ ɑ pʰ ɑ
ტაფტა	tʼ ɑ pʰ tʼ ɑ
ტაქსომეტრი	tʼ ɑ kʰ s ɔ m ɛ tʼ r ɪ
ტაქტი	tʼ ɑ kʰ tʼ ɪ
ტაქტიანად	tʼ ɑ kʰ tʼ ɪ ɑ n ɑ d
ტაქტიანი	tʼ ɑ kʰ tʼ ɪ ɑ n ɪ
ტაქტიკა	tʼ ɑ kʰ tʼ ɪ kʼ ɑ
ტაქტიკოსი	tʼ ɑ kʰ tʼ ɪ kʼ ɔ s ɪ
ტაქტიკურად	tʼ ɑ kʰ tʼ ɪ kʼ u r ɑ d
ტაქტიკური	tʼ ɑ kʰ tʼ ɪ kʼ u r ɪ
ტაში	tʼ ɑ ʃ ɪ
ტაშკენტი	tʼ ɑ ʃ kʼ ɛ n tʼ ɪ
ტაშტი	tʼ ɑ ʃ tʼ i
ტაძარი	tʼ ɑ d z ɑ r i
ტაძარმა	tʼ ɑ d z ɑ r m ɑ
ტაძარს	tʼ ɑ d z ɑ r s
ტაძრად	tʼ ɑ d z r ɑ d
ტაძრით	tʼ ɑ d z r ɪ tʰ
ტაძრის	tʼ ɑ d z r ɪ s
ტახტი	tʼ ɑ x tʼ i
ტბა	tʼ b ɑ
ტბორი	tʼ b ɔ r ɪ
ტევადი	tʼ ɛ v ɑ d ɪ
ტევადობა	tʼ ɛ v ɑ d ɔ b ɑ
ტევრი	tʼ ɛ v r ɪ
ტელეგადაცემა	tʼ ɛ l ɛ ɡ ɑ d ɑ t s ɛ m ɑ
ტელეგრამა	tʼ ɛ l ɛ ɡ r ɑ m ɑ
ტელეგრაფი	tʼ ɛ l ɛ ɡ r ɑ pʰ ɪ
ტელეგრაფია	tʼ ɛ l ɛ ɡ r ɑ pʰ ɪ ɑ
ტელეგრაფისტი	tʼ ɛ l ɛ ɡ r ɑ pʰ ɪ s tʼ ɪ
ტელეგრაფიულად	tʼ ɛ l ɛ ɡ r ɑ pʰ ɪ u l ɑ d
ტელევიზია	tʼ ɛ l ɛ v i z i ɑ
ტელეოლოგიური	tʼ ɛ l ɛ ɔ l ɔ ɡ ɪ u r ɪ
ტელესკოპი	tʼ ɛ l ɛ s kʼ ɔ pʼ ɪ
ტელესკოპურად	tʼ ɛ l ɛ s kʼ ɔ pʼ u r ɑ d
ტელესკოპური	tʼ ɛ l ɛ s kʼ ɔ pʼ u r ɪ
ტელეფონი	tʼ ɛ l ɛ pʰ ɔ n ɪ
ტელეფონირება	tʼ ɛ l ɛ pʰ ɔ n ɪ r ɛ b ɑ
ტელეფონისტი	tʼ ɛ l ɛ pʰ ɔ n ɪ s tʼ ɪ
ტელუგუ	tʼ ɛ l u ɡ u
ტელური	tʼ ɛ l u r i
ტემბრი	tʼ ɛ m b r ɪ
ტემპერამენტი	tʼ ɛ m pʼ ɛ r ɑ m ɛ n tʼ ɪ
ტემპერამენტულად	tʼ ɛ m pʼ ɛ r ɑ m ɛ n tʼ u l ɑ d
ტემპერატურა	tʼ ɛ m pʼ ɛ r ɑ tʼ u r ɑ
ტენდენცია	tʼ ɛ n d ɛ n t s ɪ ɑ
ტენდენციურად	tʼ ɛ n d ɛ n t s ɪ u r ɑ d
ტენდენციური	tʼ ɛ n d ɛ n t s ɪ u r ɪ
ტენიანობა	tʼ ɛ n ɪ ɑ n ɔ b ɑ
ტენისი	tʼ ɛ n ɪ s ɪ
ტენორი	tʼ ɛ n ɔ r ɪ
ტენტი	tʼ ɛ n tʼ ɪ
ტერასა	tʼ ɛ r ɑ s ɑ
ტერბიუმი	tʼ ɛ r b i u m i
ტერეზა	tʼ ɛ r ɛ z ɑ
ტერი	tʼ ɛ r ɪ
ტერიტორია	tʼ ɛ r ɪ tʼ ɔ r ɪ ɑ
ტერიტორიული	tʼ ɛ r i tʼ ɔ r i u l i
ტერმინი	tʼ ɛ r m ɪ n ɪ
ტერმინოლოგია	tʼ ɛ r m ɪ n ɔ l ɔ ɡ ɪ ɑ
ტერმიტი	tʼ ɛ r m ɪ tʼ ɪ
ტერორი	tʼ ɛ r ɔ r ɪ
ტერორიზმი	tʼ ɛ r ɔ r ɪ z m ɪ
ტერორისტი	tʼ ɛ r ɔ r ɪ s tʼ ɪ
ტერფი	tʼ ɛ r pʰ i
ტეტანუსი	tʼ ɛ tʼ ɑ n u s ɪ
ტექნეციუმი	tʼ ɛ kʰ n ɛ t s i u m i
ტექნიკა	tʼ ɛ kʰ n ɪ kʼ ɑ
ტექნიკურად	tʼ ɛ kʰ n ɪ kʼ u r ɑ d
ტექნიკური	tʼ ɛ kʰ n i kʼ u r i
ტექნოლოგი	tʼ ɛ kʰ n ɔ l ɔ ɡ ɪ
ტექნოლოგია	tʼ ɛ kʰ n ɔ l ɔ ɡ ɪ ɑ
ტექნოლოგიური	tʼ ɛ kʰ n ɔ l ɔ ɡ i u r i
ტექსტი	tʼ ɛ kʰ s tʼ ɪ
ტექსტილი	tʼ ɛ kʰ s tʼ ɪ l ɪ
ტექტონა	tʼ ɛ kʰ tʼ ɔ n ɑ
ტეხადი	tʼ ɛ χ ɑ d ɪ
ტეხავს	tʼ ɛ χ ɑ v s
ტეხასი	tʼ ɛ χ ɑ s ɪ
ტეხს	tʼ ɛ χ s
ტვინად	tʼ v i n ɑ d
ტვინებად	tʼ v i n ɛ b ɑ d
ტვინები	tʼ v i n ɛ b i
ტვინებით	tʼ v i n ɛ b i tʰ
ტვინების	tʼ v i n ɛ b i s
ტვინებმა	tʼ v i n ɛ b m ɑ
ტვინებო	tʼ v i n ɛ b ɔ
ტვინებს	tʼ v i n ɛ b s
ტვინთ	tʼ v i n tʰ
ტვინი	tʼ v i n i
ტვინით	tʼ v i n i tʰ
ტვინის	tʼ v i n i s
ტვინმა	tʼ v i n m ɑ
ტვინნი	tʼ v i n n i
ტვინნო	tʼ v i n n ɔ
ტვინო	tʼ v i n ɔ
ტვინს	tʼ v i n s
ტვირთი	tʼ v i r tʰ i
ტიბეტური	tʼ ɪ b ɛ tʼ u r ɪ
ტიგელი	tʼ ɪ ɡ ɛ l ɪ
ტივი	tʼ ɪ v ɪ
ტივტივა	t ɪ v t ɪ v a
ტივტივით	tʼ ɪ v tʼ ɪ v ɪ tʰ
ტიკი	tʼ ɪ kʼ ɪ
ტილი	tʼ i l i
ტილიანი	tʼ ɪ l ɪ ɑ n ɪ
ტილო	tʼ ɪ l ɔ
ტიმი	tʼ ɪ m ɪ
ტიმოთელა	tʼ ɪ m ɔ tʰ ɛ l ɑ
ტიპის	tʼ ɪ pʼ ɪ s
ტიპმა	tʼ ɪ pʼ m ɑ
ტიპოგრაფია	tʼ ɪ pʼ ɔ ɡ r ɑ pʰ ɪ ɑ
ტიპოგრაფიულად	tʼ ɪ pʼ ɔ ɡ r ɑ pʰ ɪ u l ɑ d
ტიპოგრაფიული	tʼ ɪ pʼ ɔ ɡ r ɑ pʰ ɪ u l ɪ
ტიპოლოგია	tʼ i pʼ ɔ l ɔ ɡ i ɑ
ტიპს	tʼ ɪ pʼ s
ტიპურად	tʼ i pʼ u r ɑ d
ტიპური	tʼ i pʼ u r i
ტირადა	tʼ ɪ r ɑ d ɑ
ტირანი	tʼ ɪ r ɑ n ɪ
ტირანია	tʼ ɪ r ɑ n ɪ ɑ
ტირანული	tʼ ɪ r ɑ n u l ɪ
ტირაჟი	tʼ ɪ r ɑ ʒ ɪ
ტირე	tʼ i r ɛ
ტირილი	tʼ i r i l i
ტირის	tʼ i r i s
ტიტა	tʼ i tʼ ɑ
ტიტანი	tʼ i tʼ ɑ n i
ტიტანური	tʼ ɪ tʼ ɑ n u r ɪ
ტიტველი	tʼ i tʼ v ɛ l i
ტიტრი	tʼ ɪ tʼ r ɪ
ტიტული	tʼ ɪ tʼ u l ɪ
ტიული	tʼ ɪ u l ɪ
ტიფლისი	tʼ ɪ pʰ l ɪ s ɪ
ტიხარი	tʼ ɪ χ ɑ r ɪ
ტკაცანი	tʼ kʼ ɑ t s ɑ n ɪ
ტკაცანით	tʼ kʼ ɑ t s ɑ n ɪ tʰ
ტკაცუნა	tʼ kʼ ɑ t s u n ɑ
ტკაცუნი	tʼ kʼ ɑ t s u n ɪ
ტკბილად	tʼ kʼ b i l ɑ d
ტკბილეული	tʼ kʼ b ɪ l ɛ u l ɪ
ტკბილეულობა	tʼ kʼ b ɪ l ɛ u l ɔ b ɑ
ტკბილი	tʼ kʼ b i l i
ტკბილმოუბარი	tʼ kʼ b ɪ l m ɔ u b ɑ r ɪ
ტკენს	tʼ kʼ ɛ n s
ტკივილი	tʼ kʼ i v i l i
ტკივილის	tʼ kʼ ɪ v ɪ l ɪ s
ტკივილმა	tʼ kʼ ɪ v ɪ l m ɑ
ტკივილს	tʼ kʼ ɪ v ɪ l s
ტკიპა	tʼ kʼ ɪ pʼ ɑ
ტლანქი	tʼ l ɑ n kʰ i
ტლიკინი	tʼ l ɪ kʼ ɪ n ɪ
ტო	tʼ ɔ
ტობი	tʼ ɔ b ɪ
ტოგა	tʼ ɔ ɡ ɑ
ტოგო	tʼ ɔ ɡ ɔ
ტოკიო	tʼ ɔ kʼ i ɔ
ტოლგვერდა	tʼ ɔ l ɡ v ɛ r d ɑ
ტოლი	tʼ ɔ l i
ტოლმა	tʼ ɔ l m ɑ
ტოლობა	tʼ ɔ l ɔ b ɑ
ტოლუმბაში	tʼ ɔ l u m b ɑ ʃ i
ტოლფასი	tʼ ɔ l pʰ ɑ s ɪ
ტოლჩა	tʼ ɔ l t ʃ ɑ
ტომარა	tʼ ɔ m ɑ r ɑ
ტომი	tʼ ɔ m i
ტომობრივი	tʼ ɔ m ɔ b r ɪ v ɪ
ტონა	tʼ ɔ n ɑ
ტონალობა	tʼ ɔ n ɑ l ɔ b ɑ
ტონაჟი	tʼ ɔ n ɑ ʒ ɪ
ტონგა	tʼ ɔ n ɡ ɑ
ტონი	tʼ ɔ n ɪ
ტოპაზი	tʼ ɔ pʼ ɑ z ɪ
ტოპოგრაფი	tʼ ɔ pʼ ɔ ɡ r ɑ pʰ ɪ
ტოპოგრაფია	tʼ ɔ pʼ ɔ ɡ r ɑ pʰ ɪ ɑ
ტოპოგრაფიულად	tʼ ɔ pʼ ɔ ɡ r ɑ pʰ ɪ u l ɑ d
ტოპოგრაფიული	tʼ ɔ pʼ ɔ ɡ r ɑ pʰ i u l i
ტორეადორი	tʼ ɔ r ɛ ɑ d ɔ r ɪ
ტორი	tʼ ɔ r ɪ
ტოროლა	tʼ ɔ r ɔ l ɑ
ტორპედო	tʼ ɔ r pʼ ɛ d ɔ
ტორსი	tʼ ɔ r s ɪ
ტორტი	tʼ ɔ r tʼ ɪ
ტორფი	tʼ ɔ r pʰ i
ტორფიანი	tʼ ɔ r pʰ ɪ ɑ n ɪ
ტორფნარი	tʼ ɔ r pʰ n ɑ r ɪ
ტოტალიზატორი	tʼ ɔ tʼ ɑ l ɪ z ɑ tʼ ɔ r ɪ
ტოტებიანი	tʼ ɔ tʼ ɛ b ɪ ɑ n ɪ
ტოტემი	tʼ ɔ tʼ ɛ m ɪ
ტოტი	tʼ ɔ tʼ ɪ
ტოქსიკოლოგი	tʼ ɔ kʰ s ɪ kʼ ɔ l ɔ ɡ ɪ
ტოქსიკოლოგია	tʼ ɔ kʰ s ɪ kʼ ɔ l ɔ ɡ ɪ ɑ
ტოქსიკური	tʼ ɔ kʰ s ɪ kʼ u r ɪ
ტოქსიკურობა	tʼ ɔ kʰ s ɪ kʼ u r ɔ b ɑ
ტრაბახი	tʼ r ɑ b ɑ χ ɪ
ტრაბახით	tʼ r ɑ b ɑ χ ɪ tʰ
ტრაგედია	tʼ r ɑ ɡ ɛ d ɪ ɑ
ტრაგიკომედია	tʼ r ɑ ɡ ɪ kʼ ɔ m ɛ d ɪ ɑ
ტრაგიკოსი	tʼ r ɑ ɡ ɪ kʼ ɔ s ɪ
ტრაგიკულად	tʼ r ɑ ɡ ɪ kʼ u l ɑ d
ტრაგიკული	tʼ r ɑ ɡ ɪ kʼ u l ɪ
ტრადიცია	tʼ r ɑ d ɪ t s ɪ ɑ
ტრადიციულად	tʼ r ɑ d ɪ t s ɪ u l ɑ d
ტრადიციული	tʼ r ɑ d ɪ t s ɪ u l ɪ
ტრაექტორია	tʼ r ɑ ɛ kʰ tʼ ɔ r ɪ ɑ
ტრავერსზე	tʼ r ɑ v ɛ r s z ɛ
ტრავმა	tʼ r ɑ v m ɑ
ტრავმატული	tʼ r ɑ v m ɑ tʼ u l ɪ
ტრაკი	tʼ r ɑ kʼ i
ტრალი	tʼ r ɑ l ɪ
ტრამვა	tʼ r ɑ m v ɑ
ტრამვაი	tʼ r ɑ m v ɑ i
ტრამპლინი	tʼ r ɑ m pʼ l ɪ n ɪ
ტრანზისტორი	tʼ r ɑ n z ɪ s tʼ ɔ r ɪ
ტრანზიტი	tʼ r ɑ n z ɪ tʼ ɪ
ტრანსგრესია	tʼ r ɑ n s ɡ r ɛ s ɪ ɑ
ტრანსი	tʼ r ɑ n s ɪ
ტრანსკრიფცია	tʼ r ɑ n s kʼ r ɪ pʰ t s ɪ ɑ
ტრანსლაცია	tʼ r ɑ n s l ɑ t s ɪ ɑ
ტრანსპარანტი	tʼ r ɑ n s pʼ ɑ r ɑ n tʼ ɪ
ტრანსპორტი	tʼ r ɑ n s pʼ ɔ r tʼ ɪ
ტრანსპორტირი	tʼ r ɑ n s pʼ ɔ r tʼ ɪ r ɪ
ტრანსცენდენტულად	tʼ r ɑ n s t s ɛ n d ɛ n tʼ u l ɑ d
ტრანშეა	tʼ r ɑ n ʃ ɛ ɑ
ტრაპეცია	tʼ r ɑ pʼ ɛ t s i ɑ
ტრაფარეტი	tʼ r ɑ pʰ ɑ r ɛ tʼ ɪ
ტრაქეა	tʼ r ɑ kʰ ɛ ɑ
ტრაქტატი	tʼ r ɑ kʰ tʼ ɑ tʼ ɪ
ტრაქტი	tʼ r ɑ kʰ tʼ i
ტრაქტორი	tʼ r ɑ kʰ tʼ ɔ r ɪ
ტრიადა	tʼ r ɪ ɑ d ɑ
ტრიალებს	tʼ r ɪ ɑ l ɛ b s
ტრიალი	tʼ r ɪ ɑ l ɪ
ტრიბუნა	tʼ r ɪ b u n ɑ
ტრიბუნალი	tʼ r ɪ b u n ɑ l ɪ
ტრიბუნი	tʼ r ɪ b u n ɪ
ტრივიალურად	tʼ r ɪ v ɪ ɑ l u r ɑ d
ტრივიალური	tʼ r ɪ v ɪ ɑ l u r ɪ
ტრიკი	tʼ r ɪ kʼ ɪ
ტრიკოტაჟი	tʼ r ɪ kʼ ɔ tʼ ɑ ʒ ɪ
ტრილოგია	tʼ r ɪ l ɔ ɡ ɪ ɑ
ტრინიდადი	tʼ r ɪ n ɪ d ɑ d ɪ
ტრიო	tʼ r ɪ ɔ
ტრიპოლი	tʼ r i pʼ ɔ l i
ტრიუმვირატი	tʼ r ɪ u m v ɪ r ɑ tʼ ɪ
ტრიუმვირი	tʼ r ɪ u m v ɪ r ɪ
ტრიუმო	tʼ r ɪ u m ɔ
ტრიუმფალური	tʼ r i u m pʰ ɑ l u r i
ტრიუმფი	tʼ r ɪ u m pʰ ɪ
ტრიუფელი	tʼ r ɪ u pʰ ɛ l ɪ
