NG	e̞ n d͡ʑ i
최고	t͡ɕʰ w e̞ː ɡ o̞
최근	t͡ɕʰ w e̞ː ɡ ɯ n
최대	t͡ɕʰ w e̞ː d e̞
최대한	t͡ɕʰ w e̞ː d e̞ ɦ a̠ n
최면	t͡ɕʰ w e̞ː m j ʌ̹ n
최상급	t͡ɕʰ w e̞ː sʰ a̠ ŋ ɡ ɯ p̚
최선	t͡ɕʰ w e̞ː sʰ ʌ̹ n
최소한	t͡ɕʰ w e̞ː sʰ o̞ ɦ a̠ n
최종	t͡ɕʰ w e̞ː d͡ʑ o̞ ŋ
최초	t͡ɕʰ w e̞ː t͡ɕʰ o̞
최후	t͡ɕʰ w e̞ː β u
추가	t͡ɕʰ u ɡ a̠
추격	t͡ɕʰ u ɡ j ʌ̹ k̚
추구	t͡ɕʰ u ɡ u
추구하다	t͡ɕʰ u ɡ u ɦ a̠ d a̠
추기경	t͡ɕʰ u ɡ i ɡ j ʌ̹ ŋ
추다	t͡ɕʰ u d a̠
추락	t͡ɕʰ u ɾ a̠ k̚
추리닝	t͡ɕʰ u ɾ i n i ŋ
추밀원	t͡ɕʰ u m i ɾ w ʌ̹ n
추석	t͡ɕʰ u sʰ ʌ̹ k̚
추수	t͡ɕʰ u sʰ u
추악하다	t͡ɕʰ u a̠ kʰ a̠ d a̠
추억	t͡ɕʰ u ʌ̹ k̚
추위	t͡ɕʰ u ɥ i
추적하다	t͡ɕʰ u d͡ʑ ʌ̹ kʰ a̠ d a̠
추진	t͡ɕʰ u d͡ʑ i n
추진하다	t͡ɕʰ u d͡ʑ i n ɦ a̠ d a̠
추천	t͡ɕʰ u t͡ɕʰ ʌ̹ n
추출	t͡ɕʰ u t͡ɕʰ u ɭ
추측	t͡ɕʰ u t͡ɕʰ ɯ k̚
추측하다	t͡ɕʰ u t͡ɕʰ ɯ kʰ a̠ d a̠
추켜세우다	t͡ɕʰ u k ç j ʌ̹ sʰ e̞ u d a̠
축	t͡ɕʰ u k̚
축구	t͡ɕʰ u k̚ k͈ u
축배	t͡ɕʰ u k̚ p͈ e̞
축복	t͡ɕʰ u k̚ p͈ o̞ k̚
축복하다	t͡ɕʰ u k̚ p͈ o̞ kʰ a̠ d a̠
축사	t͡ɕʰ u k s͈ a̠
축음기	t͡ɕʰ u ɡ ɯ m ɡ i
축일	t͡ɕʰ u ɡ i ɭ
축전기	t͡ɕʰ u k̚ t͡ɕ͈ ʌ̹ n ɡ i
축제	t͡ɕʰ u k̚ t͡ɕ͈ e̞
축제일	t͡ɕʰ u k̚ t͡ɕ͈ e̞ i ɭ
축척	t͡ɕʰ u k̚ t͡ɕʰ ʌ̹ k̚
축축하다	t͡ɕʰ u k̚ t͡ɕʰ u kʰ a̠ d a̠
축하하다	t͡ɕʰ u kʰ a̠ ɦ a̠ d a̠
춘	t͡ɕʰ u n
춘절	t͡ɕʰ u n d͡ʑ ʌ̹ ɭ
춘하추동	t͡ɕʰ u n ɦ a̠ t͡ɕʰ u d o̞ ŋ
출	t͡ɕʰ u ɭ
출구	t͡ɕʰ u ɭ ɡ u
출근	t͡ɕʰ u ɭ ɡ ɯ n
출근하다	t͡ɕʰ u ɭ ɡ ɯ n ɦ a̠ d a̠
출납계	t͡ɕʰ u ɭ ɭ a̠ p̚ k͈ j e̞
출발	t͡ɕʰ u ɭ b a̠ ɭ
출발하다	t͡ɕʰ u ɭ b a̠ ɾ ɦ a̠ d a̠
출산	t͡ɕʰ u ɭ s͈ a̠ n
출산율	t͡ɕʰ u ɭ sʰ a̠ ɲ j u ɭ
출생	t͡ɕʰ u ɭ s͈ e̞ ŋ
출생일	t͡ɕʰ u ɭ s͈ e̞ ŋ i ɭ
출생하다	t͡ɕʰ u ɭ s͈ e̞ ŋ ɦ a̠ d a̠
출석	t͡ɕʰ u ɭ s͈ ʌ̹ k̚
출석하다	t͡ɕʰ u ɭ sʰ ʌ̹ kʰ a̠ d a̠
출신	t͡ɕʰ u ɭ ɕ͈ i n
출신성분	t͡ɕʰ u ɭ ɕ͈ i n sʰ ʌ̹ ŋ b u n
출애굽기	t͡ɕʰ u ɾ e̞ ɡ u p̚ k͈ i
출연	t͡ɕʰ u ɾ j ʌ̹ n
출연하다	t͡ɕʰ u ɾ j ʌ̹ n ɦ a̠ d a̠
출원자	t͡ɕʰ u ɾ w ʌ̹ n d͡ʑ a̠
출장	t͡ɕʰ u ɭ t͡ɕ͈ a̠ ŋ
출처	t͡ɕʰ u ɭ t͡ɕʰ ʌ̹
출출하다	t͡ɕʰ u ɭ t͡ɕʰ u ɾ ɦ a̠ d a̠
출퇴근하다	t͡ɕʰ u ɭ tʰ w e̞ ɡ ɯ n ɦ a̠ d a̠
출판하다	t͡ɕʰ u ɭ pʰ a̠ n ɦ a̠ d a̠
출혈	t͡ɕʰ u ɾ ʝ j ʌ̹ ɭ
춤	t͡ɕʰ u m
춤꾼	t͡ɕʰ u m k͈ u n
춤추다	t͡ɕʰ u m t͡ɕʰ u d a̠
춥다	t͡ɕʰ u p̚ t͈ a̠
충	t͡ɕʰ u ŋ
충격	t͡ɕʰ u ŋ ɡ j ʌ̹ k̚
충고	t͡ɕʰ u ŋ ɡ o̞
충고하다	t͡ɕʰ u ŋ ɡ o̞ ɦ a̠ d a̠
충돌	t͡ɕʰ u ŋ d o̞ ɭ
충분하다	t͡ɕʰ u ŋ b u n ɦ a̠ d a̠
충분히	t͡ɕʰ u ŋ b u n ʝ i
충성	t͡ɕʰ u ŋ sʰ ʌ̹ ŋ
충수	t͡ɕʰ u ŋ sʰ u
충심	t͡ɕʰ u ŋ ɕʰ i m
충전기	t͡ɕʰ u ŋ d͡ʑ ʌ̹ n ɡ i
충청남도	t͡ɕʰ u ŋ t͡ɕʰ ʌ̹ ŋ n a̠ m d o̞
충청북도	t͡ɕʰ u ŋ t͡ɕʰ ʌ̹ ŋ b u k̚ t͈ o̞
충칭	t͡ɕʰ u ŋ t͡ɕʰ i ŋ
췌장암	t͡ɕʰ w e̞ː d͡ʑ a̠ ŋ a̠ m
취급	t͡ɕʰ ɥ i ɡ ɯ p̚
취나물	t͡ɕʰ ɥ i n a̠ m u ɭ
취리히	t͡ɕʰ ɥ i ɾ i ʝ i
취미	t͡ɕʰ ɥ iː m i
취소	t͡ɕʰ ɥ iː sʰ o̞
취조	t͡ɕʰ ɥ iː d͡ʑ o̞
취직	t͡ɕʰ ɥ iː d͡ʑ i k̚
취하다	t͡ɕʰ ɥ iː ɦ a̠ d a̠
취향	t͡ɕʰ ɥ iː ʝ j a̠ ŋ
취흥	t͡ɕʰ ɥ iː ɣ ɯ ŋ
츄잉껌	t͡ɕʰ j u i ŋ k͈ ʌ̹ m
츠	t͡ɕʰ ɯ
측	t͡ɕʰ ɯ k̚
측위	t͡ɕʰ ɯ ɡ ɥ i
층	t͡ɕʰ ɯ ŋ
츼	t͡ɕʰ i
치	t͡ɕʰ i
치는	t͡ɕʰ i n ɯ n
치다	t͡ɕʰ i d a̠
치닫다	t͡ɕʰ i d a̠ t̚ t͈ a̠
치료	t͡ɕʰ i ɾ j o
치르다	t͡ɕʰ i ɾ ɯ d a̠
치리	t͡ɕʰ i ɾ i
치마	t͡ɕʰ i m a̠
치맥	t͡ɕʰ i m e̞ k̚
치아	t͡ɕʰ i a̠
치안	t͡ɕʰ i a̠ n
치앙마이	t͡ɕʰ i a̠ ŋ m a̠ i
치약	t͡ɕʰ i j a̠ k̚
치어리더	t͡ɕʰ i ʌ̹ ɾ i d ʌ̹
치어리딩	t͡ɕʰ i ʌ̹ ɾ i d i ŋ
치와와	t͡ɕʰ i w a̠ w a̠
치욕	t͡ɕʰ i j o k̚
치우다	t͡ɕʰ i u d a̠
치읓	t͡ɕʰ i ɯ t̚
치즈	t͡ɕʰ i d͡ʑ ɯ
치킨	t͡ɕʰ i k ç i n
치타	t͡ɕʰ i tʰ a̠
치통	t͡ɕʰ i tʰ o̞ ŋ
치한	t͡ɕʰ i ɦ a̠ n
칙	t͡ɕʰ i k̚
친	t͡ɕʰ i n
친구	t͡ɕʰ i n ɡ u
친근감	t͡ɕʰ i n ɡ ɯ n ɡ a̠ m
친근하다	t͡ɕʰ i n ɡ ɯ n ɦ a̠ d a̠
친밀	t͡ɕʰ i n m i ɭ
친삼촌	t͡ɕʰ i n sʰ a̠ m t͡ɕʰ o̞ n
친애	t͡ɕʰ i n e̞
친우	t͡ɕʰ i n u
친일파	t͡ɕʰ i n i ɭ pʰ a̠
친절	t͡ɕʰ i n d͡ʑ ʌ̹ ɭ
친절하다	t͡ɕʰ i n d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠
친족	t͡ɕʰ i n d͡ʑ o̞ k̚
친척	t͡ɕʰ i n t͡ɕʰ ʌ̹ k̚
친하다	t͡ɕʰ i n ɦ a̠ d a̠
친할아버지	t͡ɕʰ i n ɦ a̠ ɾ a̠ b ʌ̹ d͡ʑ i
칠	t͡ɕʰ i ɭ
칠각형	t͡ɕʰ i ɭ ɡ a̠ k ç j ʌ̹ ŋ
칠레	t͡ɕʰ i ɭ ɭ e̞
칠리	t͡ɕʰ i ɭ ʎ i
칠면조	t͡ɕʰ i ɭ m j ʌ̹ n d͡ʑ o̞
칠성말배꼽	t͡ɕʰ i ɭ s͈ ʌ̹ ŋ m a̠ ɭ b e̞ k͈ o̞ p̚
칠성장어	t͡ɕʰ i ɭ s͈ ʌ̹ ŋ d͡ʑ a̠ ŋ ʌ̹
칠십	t͡ɕʰ i ɭ ɕ͈ i p̚
칠월	t͡ɕʰ i ɾ w ʌ̹ ɭ
칠판	t͡ɕʰ i ɭ pʰ a̠ n
칠하다	t͡ɕʰ i ɾ ɦ a̠ d a̠
칡	t͡ɕʰ i k̚
침공	t͡ɕʰ iː m ɡ o̞ ŋ
침낭	t͡ɕʰ iː m n a̠ ŋ
침대	t͡ɕʰ iː m d e̞
침략	t͡ɕʰ iː m ɲ j a̠ k̚
침략자	t͡ɕʰ iː m ɲ j a̠ k̚ t͡ɕ͈ a̠
침몰	t͡ɕʰ i m m o̞ ɭ
침묵	t͡ɕʰ i m m u k̚
침묵하다	t͡ɕʰ i m m u kʰ a̠ d a̠
침술	t͡ɕʰ i m sʰ u ɭ
침실	t͡ɕʰ iː m ɕʰ i ɭ
침입	t͡ɕʰ iː m i p̚
침팬지	t͡ɕʰ i m pʰ e̞ n d͡ʑ i
칩	t͡ɕʰ i p̚
칫솔	t͡ɕʰ i t̚ s͈ o̞ ɭ
칭찬	t͡ɕʰ i ŋ t͡ɕʰ a̠ n
칭찬하다	t͡ɕʰ i ŋ t͡ɕʰ a̠ n ɦ a̠ d a̠
칭하이	t͡ɕʰ i ŋ ɦ a̠ i
칭호	t͡ɕʰ i ŋ β o̞
카	kʰ a̠
카게베	kʰ a̠ ɡ e̞ b e̞
카나	kʰ a̠ n a̠
카나다	kʰ a̠ n a̠ d a̠
카나리아	kʰ a̠ n a̠ ɾ i a̠
카드	kʰ a̠ d ɯ
카드뮴	kʰ a̠ d ɯ m j u m
카디건	kʰ a̠ d i ɡ ʌ̹ n
카라반	kʰ a̠ ɾ a̠ b a̠ n
카라치	kʰ a̠ ɾ a̠ t͡ɕʰ i
카라카스	kʰ a̠ ɾ a̠ kʰ a̠ sʰ ɯ
카란	kʰ a̠ ɾ a̠ n
카렌더	kʰ a̠ ɾ e̞ n d ʌ̹
카르마	kʰ a̠ ɾ ɯ m a̠
카르보닐기	kʰ a̠ ɾ ɯ b o̞ n i ɭ ɡ i
카르복실기	kʰ a̠ ɾ ɯ b o̞ k ɕ͈ i ɭ ɡ i
카르볼린	kʰ a̠ ɾ ɯ b o̞ ɭ ʎ i n
카르빌아민	kʰ a̠ ɾ ɯ b i ɾ a̠ m i n
카메라	kʰ a̠ m e̞ ɾ a̠
카메룬	kʰ a̠ m e̞ ɾ u n
카멜레온	kʰ a̠ m e̞ ɭ ɭ e̞ o̞ n
카바레	kʰ a̠ b a̠ ɾ e̞
카바졸	kʰ a̠ b a̠ d͡ʑ o̞ ɭ
카보베르데	kʰ a̠ b o̞ b e̞ ɾ ɯ d e̞
카복실산	kʰ a̠ b o̞ k ɕ͈ i ɭ sʰ a̠ n
카불	kʰ a̠ b u ɭ
카브	kʰ a̠ b ɯ
카세트	kʰ a̠ sʰ e̞ tʰ ɯ
카옌	kʰ a̠ j e̞ n
카우보이	kʰ a̠ u b o̞ i
카우치	kʰ a̠ u t͡ɕʰ i
카운터	kʰ a̠ u n tʰ ʌ̹
카이로	kʰ a̠ i ɾ o̞
카이만	kʰ a̠ i m a̠ n
카이사르	kʰ a̠ i sʰ a̠ ɾ ɯ
카인	kʰ a̠ i n
카자흐스탄	kʰ a̠ d͡ʑ a̠ ɣ ɯ sʰ ɯ tʰ a̠ n
카자흐어	kʰ a̠ d͡ʑ a̠ ɣ ɯ ʌ̹
카지노	kʰ a̠ d͡ʑ i n o̞
카타르	kʰ a̠ tʰ a̠ ɾ ɯ
카트	kʰ a̠ tʰ ɯ
카트만두	kʰ a̠ tʰ ɯ m a̠ n d u
카페	k͈ a̠ pʰ e̞
카페인	kʰ a̠ pʰ e̞ i n
카페테리아	kʰ a̠ pʰ e̞ tʰ e̞ ɾ i a̠
카피바라	kʰ a̠ pʰ i b a̠ ɾ a̠
칵테일	kʰ a̠ k̚ tʰ e̞ i ɭ
칸	kʰ a̠ n
칸델라	kʰ a̠ n d e̞ ɭ ɭ a̠
칼	kʰ a̠ ɭ
칼날	kʰ a̠ ɭ ɭ a̠ ɭ
칼납자루	kʰ a̠ ɭ ɭ a̠ p̚ t͡ɕ͈ a̠ ɾ u
칼라	kʰ a̠ ɭ ɭ a̠
칼럼	kʰ a̠ ɭ ɭ ʌ̹ m
칼로리	kʰ a̠ ɭ ɭ o̞ ɾ i
칼륨	kʰ a̠ ɭ ʎ j u m
칼리닌그라드	kʰ a̠ ɭ ʎ i n i n ɡ ɯ ɾ a̠ d ɯ
칼리파	kʰ a̠ ɭ ʎ i pʰ a̠
칼상어	kʰ a̠ ɭ sʰ a̠ ŋ ʌ̹
칼슘	kʰ a̠ ɭ ɕʰ j u m
칼파스	kʰ a̠ ɭ pʰ a̠ sʰ ɯ
캄보디아	kʰ a̠ m b o̞ d i a̠
캄판	kʰ a̠ m pʰ a̠ n
캄팔라	kʰ a̠ m pʰ a̠ ɭ ɭ a̠
캐	kʰ e̞
캐나다	kʰ e̞ n a̠ d a̠
캐나다기러기	kʰ e̞ n a̠ d a̠ ɡ i ɾ ʌ̹ ɡ i
캐넌	kʰ e̞ n ʌ̹ n
캐다	kʰ e̞ː d a̠
캐릭터	kʰ e̞ ɾ i k̚ tʰ ʌ̹
캐비어	kʰ e̞ b i ʌ̹
캐스팅	kʰ e̞ sʰ ɯ tʰ i ŋ
캔	kʰ e̞ n
캔디	kʰ e̞ n d i
캔버라	kʰ e̞ n b ʌ̹ ɾ a̠
캔버스	kʰ e̞ n b ʌ̹ sʰ ɯ
캘리포늄	kʰ e̞ ɭ ʎ i pʰ o̞ ɲ j u m
캠퍼스	kʰ e̞ m pʰ ʌ̹ sʰ ɯ
캠페인	kʰ e̞ m pʰ e̞ i n
캠프	kʰ e̞ m pʰ ɯ
캠핑	kʰ e̞ m pʰ i ŋ
캠핑족	kʰ e̞ m pʰ i ŋ d͡ʑ o̞ k̚
캡	kʰ e̞ p̚
캡슐	kʰ e̞ p ɕ͈ j u ɭ
캡스턴	kʰ e̞ p s͈ ɯ tʰ ʌ̹ n
캥거루	kʰ e̞ ŋ ɡ ʌ̹ ɾ u
커	kʰ ʌ̹
커닝	kʰ ʌ̹ n i ŋ
커닝하다	kʰ ʌ̹ n i ŋ ɦ a̠ d a̠
커다랗다	kʰ ɘː d a̠ ɾ a̠ tʰ a̠
커리	kʰ ʌ̹ ɾ i
커뮤니케이션	kʰ ʌ̹ m j u n i kʰ e̞ i ɕʰ j ʌ̹ n
커뮤니티	kʰ ʌ̹ m j u n i tʰ i
커브	kʰ ʌ̹ b ɯ
커서	kʰ ʌ̹ sʰ ʌ̹
커지다	kʰ ʌ̹ d͡ʑ i d a̠
커튼	kʰ ʌ̹ tʰ ɯ n
커플	kʰ ʌ̹ pʰ ɯ ɭ
커피	kʰ ʌ̹ pʰ i
커피숍	kʰ ʌ̹ pʰ i ɕʰ j o p̚
컬래버레이션	kʰ ʌ̹ ɭ ɭ e̞ b ʌ̹ ɾ e̞ i ɕʰ j ʌ̹ n
컬트	kʰ ʌ̹ ɭ tʰ ɯ
컴맹	kʰ ʌ̹ m m e̞ ŋ
컴퓨터	kʰ ʌ̹ m pʰ j u tʰ ʌ̹
컵	kʰ ʌ̹ p̚
케냐	kʰ e̞ ɲ j a̠
케이블	kʰ e̞ i b ɯ ɭ
케이크	kʰ e̞ i k x ɯ
케이프타운	kʰ e̞ i pʰ ɯ tʰ a̠ u n
케익	kʰ e̞ i k̚
케첩	kʰ e̞ t͡ɕʰ ʌ̹ p̚
케톤	kʰ e̞ tʰ o̞ n
케피르	kʰ e̞ pʰ i ɾ ɯ
켈빈	kʰ e̞ ɭ b i n
켕기다	kʰ e̞ ŋ ɡ i d a̠
켜다	k ç j ʌ̹ d a̠
켤레	k ç j ʌ̹ ɭ ɭ e̞
코	kʰ o̞
코끼리	kʰ o̞ k͈ i ɾ i
코나크리	kʰ o̞ n a̠ k x ɯ ɾ i
코냑	kʰ o̞ ɲ j a̠ k̚
코너	kʰ o̞ n ʌ̹
코드	kʰ o̞ d ɯ
코리아	kʰ o̞ ɾ i a̠
코린	kʰ o̞ ɾ i n
코멘트	kʰ o̞ m e̞ n tʰ ɯ
코미디	kʰ o̞ m i d i
코발트	kʰ o̞ b a̠ ɭ tʰ ɯ
코뿔소	kʰ o̞ p͈ u ɭ s͈ o̞
코소보	kʰ o̞ sʰ o̞ b o̞
코스	kʰ o̞ sʰ ɯ
코스모스	kʰ o̞ sʰ ɯ m o̞ sʰ ɯ
코스타리카	kʰ o̞ sʰ ɯ tʰ a̠ ɾ i kʰ a̠
코스프레	kʰ o̞ sʰ ɯ pʰ ɯ ɾ e̞
코알라	kʰ o̞ a̠ ɭ ɭ a̠
코요테	kʰ o̞ j o tʰ e̞
코쟁이	kʰ o̞ d͡ʑ e̞ ŋ i
코치	kʰ o̞ t͡ɕʰ i
코카인	kʰ o̞ kʰ a̠ i n
코코넛	kʰ o̞ kʰ o̞ n ʌ̹ t̚
코크스	kʰ o̞ k x ɯ sʰ ɯ
코토누	kʰ o̞ tʰ o̞ n u
코토레타	kʰ o̞ tʰ o̞ ɾ e̞ tʰ a̠
코트	kʰ o̞ tʰ ɯ
코트디부아르	kʰ o̞ tʰ ɯ d i b u a̠ ɾ ɯ
코튼	kʰ o̞ tʰ ɯ n
코페르니슘	kʰ o̞ pʰ e̞ ɾ ɯ n i ɕʰ j u m
코펜하겐	kʰ o̞ pʰ e̞ n ɦ a̠ ɡ e̞ n
코퓰러	kʰ o̞ pʰ j u ɭ ɭ ʌ̹
코헬렛	kʰ o̞ ɦ e̞ ɭ ɭ e̞ t̚
콘도미니엄	kʰ o̞ n d o̞ m i n i ʌ̹ m
콘돔	kʰ o̞ n d o̞ m
콘비프	kʰ o̞ n b i pʰ ɯ
콘서트	kʰ o̞ n sʰ ʌ̹ tʰ ɯ
콘센트	kʰ o̞ n sʰ e̞ n tʰ ɯ
콘셉트	kʰ o̞ n sʰ e̞ p̚ tʰ ɯ
콘스탄티노폴리스	kʰ o̞ n sʰ ɯ tʰ a̠ n tʰ i n o̞ pʰ o̞ ɭ ʎ i sʰ ɯ
콘스탄티누스	kʰ o̞ n sʰ ɯ tʰ a̠ n tʰ i n u sʰ ɯ
콘크리트	kʰ o̞ n k x ɯ ɾ i tʰ ɯ
콘택트	kʰ o̞ n tʰ e̞ k̚ tʰ ɯ
콜	kʰ o̞ ɭ
콜라	kʰ o̞ ɭ ɭ a̠
콜라보	kʰ o̞ ɭ ɭ a̠ b o̞
콜라보레이션	kʰ o̞ ɭ ɭ a̠ b o̞ ɾ e̞ i ɕʰ j ʌ̹ n
콜레라	kʰ o̞ ɭ ɭ e̞ ɾ a̠
콜레스테롤	kʰ o̞ ɭ ɭ e̞ sʰ ɯ tʰ e̞ ɾ o̞ ɭ
콜론	kʰ o̞ ɭ ɭ o̞ n
콜롬보	kʰ o̞ ɭ ɭ o̞ m b o̞
콜롬비아	kʰ o̞ ɭ ɭ o̞ m b i a̠
콜린	kʰ o̞ ɭ ʎ i n
콜카타	kʰ o̞ ɭ kʰ a̠ tʰ a̠
콜호스	kʰ o̞ ɾ β o̞ sʰ ɯ
콤마	kʰ o̞ m m a̠
콤바인	kʰ o̞ m b a̠ i n
콤포트	kʰ o̞ m pʰ o̞ tʰ ɯ
콤퓨터	kʰ o̞ m pʰ j u tʰ ʌ̹
콤플렉스	kʰ o̞ m pʰ ɯ ɭ ɭ e̞ k s͈ ɯ
콧구멍	kʰ o̞ t̚ k͈ u m ʌ̹ ŋ
콧노래	kʰ o̞ n n o̞ ɾ e̞
콧물	kʰ o̞ n m u ɭ
콧수염	kʰ o̞ t̚ s͈ u j ʌ̹ m
콩	kʰ o̞ ŋ
콩고	kʰ o̞ ŋ ɡ o̞
콩나물	kʰ o̞ ŋ n a̠ m u ɭ
콩자반	kʰ o̞ ŋ d͡ʑ a̠ b a̠ n
쾌	kʰ w e̞
쾌락	kʰ w e̞ ɾ a̠ k̚
쾰른	kʰ w e̞ ɭ ɭ ɯ n
쿠	kʰ u
쿠냥	kʰ u ɲ j a̠ ŋ
쿠데타	kʰ u d e̞ tʰ a̠
쿠바	kʰ u b a̠
쿠션	kʰ u ɕʰ j ʌ̹ n
쿠알라룸푸르	kʰ u a̠ ɭ ɭ a̠ ɾ u m pʰ u ɾ ɯ
쿠웨이트	kʰ u w e̞ i tʰ ɯ
쿠키	kʰ u k ç i
쿨라크	kʰ u ɭ ɭ a̠ k x ɯ
쿨쿨	kʰ u ɭ kʰ u ɭ
쿵후	kʰ u ŋ β u
쿼	kʰ w ʌ̹
퀴나졸린	kʰ ɥ i n a̠ d͡ʑ o̞ ɭ ʎ i n
퀴녹살린	kʰ ɥ i n o̞ k s͈ a̠ ɭ ʎ i n
퀴논	kʰ ɥ i n o̞ n
퀴놀린	kʰ ɥ i n o̞ ɭ ʎ i n
퀴륨	kʰ ɥ i ɾ j u m
퀴즈	kʰ ɥ i d͡ʑ ɯ
퀸	kʰ ɥ i n
크기	k x ɯ ɡ i
크다	k x ɯ d a̠
크래시	k x ɯ ɾ e̞ ɕʰ i
크래커	k x ɯ ɾ e̞ kʰ ʌ̹
크레디트	k x ɯ ɾ e̞ d i tʰ ɯ
크레용	k x ɯ ɾ e̞ j o ŋ
크레인	k x ɯ ɾ e̞ i n
크레파스	k x ɯ ɾ e̞ pʰ a̠ sʰ ɯ
크로뮴	k x ɯ ɾ o̞ m j u m
크로스드레싱	k x ɯ ɾ o̞ sʰ ɯ d ɯ ɾ e̞ ɕʰ i ŋ
크로아티아	k x ɯ ɾ o̞ a̠ tʰ i a̠
크로아티아어	k x ɯ ɾ o̞ a̠ tʰ i a̠ ʌ̹
크로켓	k x ɯ ɾ o̞ kʰ e̞ t̚
크롬	k x ɯ ɾ o̞ m
크루아상	k x ɯ ɾ u a̠ sʰ a̠ ŋ
크리스마스	k x ɯ ɾ i sʰ ɯ m a̠ sʰ ɯ
크리스마스이브	k x ɯ ɾ i sʰ ɯ m a̠ sʰ ɯ i b ɯ
크리스천	k x ɯ ɾ i sʰ ɯ t͡ɕʰ ʌ̹ n
크리켓	k x ɯ ɾ i kʰ e̞ t̚
크림	k x ɯ ɾ i m
크림	k x ɯ ɾ iː m
크립톤	k x ɯ ɾ i p̚ tʰ o̞ n
크메르어	k x ɯ m e̞ ɾ ɯ ʌ̹
크바르크	k x ɯ b a̠ ɾ ɯ k x ɯ
크바스	k x ɯ b a̠ sʰ ɯ
크산텐	k x ɯ sʰ a̠ n tʰ e̞ n
크세논	k x ɯ sʰ e̞ n o̞ n
큰	k x ɯ n
큰가시고기	k x ɯ n ɡ a̠ ɕʰ i ɡ o̞ ɡ i
큰고니	k x ɯ n ɡ o̞ n i
큰귀박쥐	k x ɯ n ɡ ɥ i b a̠ k̚ t͡ɕ͈ ɥ i
큰기러기	k x ɯ n ɡ i ɾ ʌ̹ ɡ i
큰납지리	k x ɯ n n a̠ p̚ t͡ɕ͈ i ɾ i
큰낫	k x ɯ n n a̠ t̚
큰논병아리	k x ɯ n n o̞ n b j ʌ̹ ŋ a̠ ɾ i
큰덤불해오라기	k x ɯ n d ʌ̹ m b u ɾ ɦ e̞ o̞ ɾ a̠ ɡ i
큰돌고래	k x ɯ n d o̞ ɭ ɡ o̞ ɾ e̞
큰말똥가리	k x ɯ n m a̠ ɭ t͈ o̞ ŋ ɡ a̠ ɾ i
큰머리돌고래	k x ɯ n m ʌ̹ ɾ i d o̞ ɭ ɡ o̞ ɾ e̞
큰물	k x ɯ n m u ɭ
큰바다사자	k x ɯ n b a̠ d a̠ sʰ a̠ d͡ʑ a̠
큰발뒤쥐	k x ɯ n b a̠ ɭ d ɥ i d͡ʑ ɥ i
큰발윗수염박쥐	k x ɯ n b a̠ ɾ ɥ i t̚ s͈ u j ʌ̹ m b a̠ k̚ t͡ɕ͈ ɥ i
큰볏말뚝망둥어	k x ɯ n b j ʌ̹ n m a̠ ɭ t͈ u ŋ m a̠ ŋ d u ŋ ʌ̹
큰부리고래	k x ɯ n b u ɾ i ɡ o̞ ɾ e̞
큰이빨부리고래	k x ɯ n i p͈ a̠ ɭ b u ɾ i ɡ o̞ ɾ e̞
큰일	k x ɯ n n i ɭ
큰줄납자루	k x ɯ n d͡ʑ u ɭ ɭ a̠ p̚ t͡ɕ͈ a̠ ɾ u
큰집박쥐	k x ɯ n d͡ʑ i p̚ p͈ a̠ k̚ t͡ɕ͈ ɥ i
큰첨서	k x ɯ n t͡ɕʰ ʌ̹ m sʰ ʌ̹
큰회색머리아비	k x ɯ n β w e̞ sʰ e̞ ŋ m ʌ̹ ɾ i a̠ b i
큰흰죽지	k x ɯ n ʝ i n d͡ʑ u k̚ t͡ɕ͈ i
클래스	k x ɯ ɭ ɭ e̞ sʰ ɯ
클랜	k x ɯ ɭ ɭ e̞ n
클럽	k x ɯ ɭ ɭ ʌ̹ p̚
클로버	k x ɯ ɭ ɭ o̞ b ʌ̹
클리닝	k x ɯ ɭ ʎ i n i ŋ
클리토리스	k x ɯ ɭ ʎ i tʰ o̞ ɾ i sʰ ɯ
클립	k x ɯ ɭ ʎ i p̚
키	k ç i
키갈리	k ç i ɡ a̠ ɭ ʎ i
키다리	k ç i d a̠ ɾ i
키로와트	k ç i ɾ o̞ w a̠ tʰ ɯ
키르기스스탄	k ç i ɾ ɯ ɡ i sʰ ɯ sʰ ɯ tʰ a̠ n
키르기스어	k ç i ɾ ɯ ɡ i sʰ ɯ ʌ̹
키리바시	k ç i ɾ i b a̠ ɕʰ i
키릴	k ç i ɾ i ɭ
키릴문자	k ç i ɾ i ɭ m u n d͡ʑ a̠
키보드	k ç i b o̞ d ɯ
키스	k ç i sʰ ɯ
키스하다	k ç i sʰ ɯ ɦ a̠ d a̠
키시너우	k ç i ɕʰ i n ʌ̹ u
키예프	k ç i j e̞ pʰ ɯ
키오스크	k ç i o̞ sʰ ɯ k x ɯ
키우다	k ç i u d a̠
키위	k ç i ɥ i
키읔	k ç i ɯ k̚
키토	k ç i tʰ o̞
키프로스	k ç i pʰ ɯ ɾ o̞ sʰ ɯ
킨샤사	k ç i n ɕʰ j a̠ sʰ a̠
킬로그람	k ç i ɭ ɭ o̞ ɡ ɯ ɾ a̠ m
킬로그램	k ç i ɭ ɭ o̞ ɡ ɯ ɾ e̞ m
킬로미터	k ç i ɭ ɭ o̞ m i tʰ ʌ̹
