abak	áː b a k
opuščaj	ɔ p u ʃ t͡ʃ áː j
orakelj	ɔ r àː k ə l
oranža	ɔ r áː n ʒ a
oranžen	ɔ r áː n ʒ ə n
oreh	ɔ̀ː r ɛ x
orel	ɔ̀ː r ə ʋ
organizacija	ɔ r ɡ a n i z àː t͡s i j a
orgazem	ɔ r ɡ àː z ə m
orgazmičen	ɔ r ɡ àː z m i t͡ʃ ə n
orgiastičen	ɔ r ɡ i àː s t i t͡ʃ ə n
orgija	òː r ɡ i j a
orgle	óː r ɡ l ɛ
orhideja	ɔ r x i d ɛ́ː j a
orjak	ɔ r j àː k
orlič	ɔ r l í t͡ʃ
orodje	ɔ r óː d j ɛ
orodnik	ɔ r óː d n i k
os	óː s
osa	ɔ̀ː s a
oseba	ɔ s éː b a
oseben	ɔ s éː b ə n
osebnost	ɔ s éː b n ɔ s t
osel	ɔ̀ː s ə ʋ
osem	òː s ə m
osemdeset	òː s ə m d ɛ s ɛ t
osemnajst	òː s ə m n a j s t
osemnajst	ɔ s ə m n àː j s t
osmij	òː s m i j
osnoven	ɔ s n ɔ́ː ʋ ə n
osnovnejši	ɔ s n ɔ́ː ʋ n ɛ j ʃ i
osončje	ɔ s óː n t͡ʃ j ɛ
ost	óː s t
oster	òː s t ə r
ostriga	ɔ s t r ìː ɡ a
ostriga	ɔ s t r íː ɡ a
ostrivec	ɔ s t r íː ʋ ə t͡s
oteti	ɔ t èː t i
otok	ɔ̀ː t ɔ k
otomanski	ɔ t ɔ m áː n s k i
otrok	ɔ t r ɔ́ k
otroče	ɔ t r ɔ t͡ʃ ɛ́
otročji	ɔ t r òː t͡ʃ j i
otrpniti	ɔ t ə̀ r p n i t i
otvoriti	ɔ t ʋ òː r i t i
otvoriti	ɔ t ʋ óː r i t i
ovca	ɔ̀ː ʋ t͡s a
oven	ɔ̀ː ʋ ə n
oves	ɔ̀ː ʋ ə s
ovratnik	ɔ ʋ r áː t n i k
ovčar	ɔ ʋ t͡ʃ àː r
ozek	òː z ə k
oziroma	ɔ z íː r ɔ m a
oznaka	ɔ z n áː k a
oče	ɔ̀ː t͡ʃ ɛ
očim	òː t͡ʃ i m
očim	óː t͡ʃ i m
očiten	ɔ t͡ʃ ìː t ə n
očitnejši	ɔ t͡ʃ ìː t n ɛ j ʃ i
ošiliti	ɔ ʃ ìː l i t i
ožemati	ɔ ʒ éː m a t i
ožeti	ɔ ʒ èː t i
ožji	óː ʒ j i
pa	p a
padalo	p a d àː l ɔ
padati	p àː d a t i
padati	p áː d a t i
padec	p áː d ə t͡s
paglavec	p àː ɡ l a ʋ ə t͡s
pajek	p áː j ə k
paladij	p a l àː d i j
paladin	p a l a d íː n
palača	p a l àː t͡ʃ a
palec	p áː l ə t͡s
paleolitik	p a l ɛ ɔ l ìː t i k
palestina	p a l ɛ s t íː n a
palimpsest	p a l i m p s éː s t
palindrom	p a l i n d r óː m
palma	p áː l m a
palčnik	p áː ʋ t͡ʃ n i k
pamet	p àː m ɛ t
panj	p áː n
papagaj	p a p a ɡ áː j
papež	p áː p ɛ ʃ
papiga	p áː p i ɡ a
papir	p a p íː r
par	p àː r
paradižnik	p a r a d íː ʒ n i k
paradoks	p a r a d óː k s
paranoja	p a r a n óː j a
parfum	p a r f úː m
pariz	p a r íː s
past	p áː s t
pasti	p àː s t i
pastir	p a s t ìː r
patologija	p a t ɔ l ɔ ɡ íː j a
patološki	p a t ɔ l óː ʃ k i
pav	p áː ʋ
pavel	p áː ʋ ə l
pazduha	p áː z d u x a
pedagogika	p ɛ d a ɡ òː ɡ i k a
pegatka	p ɛ ɡ áː t k a
pehati	p éː x a t i
pehati	p ə x àː t i
pek	p èː k
pek	p éː k
pekel	p ə k ə́ ʋ
pekel	p ə̀ k ə ʋ
peljati	p ɛ l j àː t i
pena	p èː n a
penis	p éː n i s
pepel	p ɛ p éː ʋ
pepelka	p ɛ p éː l k a
pero	p ɛ r óː
peron	p ɛ r óː n
perut	p ɛ r úː t
perutnina	p ɛ r u t n ìː n a
perverzija	p ɛ r ʋ ɛ r z íː j a
perverzija	p ɛ r ʋ ɛ̀ː r z i j a
pes	p ə́ s
pesek	p èː s ə k
pesem	p éː s ə m
pesnik	p éː s n i k
pest	p éː s t
pester	p èː s t ə r
pestič	p ɛ s t í t͡ʃ
pestrejši	p èː s t r ɛ j ʃ i
pet	p éː t
peta	p ɛ̀ː t a
petdeset	p éː d d ɛ s ɛ t
petek	p èː t ə k
petelin	p ɛ t ɛ̀ː l i n
peter	p èː t ə r
peteršilj	p ɛ t ɛ r ʃ í l
peteršilj	p ɛ t ɛ r ʃ íː l
peti	p èː t i
peti	p ɛ̀ː t i
petnajst	p éː t n a j s t
petnajst	p ɛ t n àː j s t
pevec	p èː ʋ ə t͡s
peč	p éː t͡ʃ
pečat	p ɛ t͡ʃ áː t
peči	p ɛ̀ː t͡ʃ i
phati	p x àː t i
pi	p íː
pianist	p i j a n íː s t
pica	p ìː t͡s a
pica	p íː t͡s a
pihati	p ìː x a t i
pijavka	p i j áː ʋ k a
pijača	p i j àː t͡ʃ a
pikapolonica	p i k a p ɔ l óː n i t͡s a
pila	p ìː l a
pingvin	p i n ɡ ʋ íː n
pipa	p ìː p a
pira	p ìː r a
piramida	p i r a m íː d a
pisarna	p i s áː r n a
pisatelj	p i s áː t ɛ l
pisati	p i s àː t i
pisati	p ìː s a t i
pismo	p ìː s m ɔ
pistacija	p i s t àː t͡s i j a
pita	p ìː t a
pitagora	p i t àː ɡ ɔ r a
piti	p ìː t i
piton	p i t óː n
pivo	p ìː ʋ ɔ
pizda	p ìː z d a
pizda	p íː z d a
piščanec	p i ʃ t͡ʃ àː n ə t͡s
plamen	p l àː m ɛ n
planet	p l a n éː t
platana	p l a t áː n a
platina	p l áː t i n a
platno	p l àː t n ɔ
plavati	p l áː ʋ a t i
plaz	p l áː s
plačati	p l a t͡ʃ àː t i
plačati	p l àː t͡ʃ a t i
plašč	p l àː ʃ t͡ʃ
plaža	p l àː ʒ a
ples	p l éː s
plesati	p l èː s a t i
plesati	p l ɛ s àː t i
plesen	p l éː s ə n
plesti	p l ɛ̀ː s t i
pleti	p l èː t i
pleva	p l èː ʋ a
pljuča	p l j ùː t͡ʃ a
pljučnica	p l j úː t͡ʃ n i t͡s a
plod	p l óː t
ploden	p l òː d ə n
plodnejši	p l òː d n ɛ j ʃ i
pločevinka	p l ɔ t͡ʃ ɛ ʋ íː n k a
plug	p l ú k
plug	p l úː k
pluta	p l ùː t a
pluti	p l ùː t i
pluton	p l úː t ɔ n
plutonij	p l u t òː n i j
po	p ɔ
pobrati	p ɔ b r àː t i
poceni	p ɔ t͡s èː n i
pod	p ɔ́ t
podaljšati	p ɔ d áː l ʃ a t i
podaljšava	p ɔ d a l ʃ áː ʋ a
podel	p ɔ̀ː d ə ʋ
podgana	p ɔ d ɡ àː n a
podkev	p ɔ̀ː t k ə ʋ
podkovati	p ɔ t k ɔ ʋ àː t i
podla	p ɔ̀ː d l a
podlasica	p ɔ d l àː s i t͡s a
podlejši	p ɔ̀ː d l ɛ j ʃ i
podleči	p ɔ d l èː t͡ʃ i
podmornica	p ɔ d m óː r n i t͡s a
podnebje	p ɔ d n éː b j ɛ
podoba	p ɔ d óː b a
podoben	p ɔ d òː b ə n
podobnejši	p ɔ d òː b n ɛ j ʃ i
podpičje	p ɔ́ t p íː t͡ʃ j ɛ
podroben	p ɔ d r óː b ə n
podrobnejši	p ɔ d r óː b n ɛ j ʃ i
podrobnost	p ɔ d r óː b n ɔ s t
pofukan	p ɔ f úː k a n
pofukati	p ɔ f úː k a t i
pogača	p ɔ ɡ àː t͡ʃ a
pogodba	p ɔ ɡ óː d b a
pogoj	p ɔ ɡ ɔ́ j
pogojnik	p ɔ ɡ óː j n i k
pogoltniti	p ɔ ɡ ɔ̀ː ʋ t n i t i
pogosteje	p ɔ ɡ óː s t ɛ j ɛ
pogostejše	p ɔ ɡ óː s t ɛ j ʃ ɛ
pogosto	p ɔ ɡ óː s t ɔ
pogovarjati	p ɔ ɡ ɔ ʋ áː r j a t i
pogovor	p ɔ ɡ ɔ́ː ʋ ɔ r
pogovoren	p ɔ ɡ ɔ́ː ʋ ɔ r ə n
pogovoriti	p ɔ ɡ ɔ ʋ ɔ r ìː t i
pogovoriti	p ɔ ɡ ɔ ʋ ɔ r íː t i
pogrešati	p ɔ ɡ r èː ʃ a t i
pogum	p ɔ ɡ úː m
pogumen	p ɔ ɡ ùː m ə n
pogumnejši	p ɔ ɡ ùː m n ɛ j ʃ i
pohištvo	p ɔ x íː ʃ t ʋ ɔ
pohorje	p óː x ɔ r j ɛ
pojasniti	p ɔ j a s n ìː t i
pojasniti	p ɔ j a s n íː t i
pojasniti	p ɔ j àː s n i t i
pojasniti	p ɔ j áː s n i t i
pojutrišnjem	p ɔ j úː t r i ʃ n j ɛ m
pokazati	p ɔ k a z àː t i
pokazati	p ɔ k àː z a t i
poker	p òː k ə r
poklekniti	p ɔ k l èː k n i t i
poklekniti	p ɔ k l ɛ k n ìː t i
poklekniti	p ɔ k l ɛ k n íː t i
poklic	p ɔ k l íː t͡s
poklicati	p ɔ k l ìː t͡s a t i
pokol	p ɔ k ɔ́ l
pokop	p ɔ k ɔ́ p
pokopališče	p ɔ k ɔ p a l ìː ʃ t͡ʃ ɛ
pokrov	p ɔ k r ɔ́ ʋ
polbrat	p ɔ́ː ʋ b r á t
poldan	p ɔ́ː ʋ d a n
polenovka	p ɔ l èː n ɔ ʋ k a
poletje	p ɔ l éː t j ɛ
polh	p ɔ̀ː ʋ x
polh	p ɔ́ː ʋ x
polica	p ɔ l ìː t͡s a
policist	p ɔ l i t͡s íː s t
policistka	p ɔ l i t͡s íː s t k a
politeizem	p ɔ l i t ɛ ìː z ə m
polizati	p ɔ l i z àː t i
polizati	p ɔ l ìː z a t i
poljak	p ɔ l j àː k
poljakinja	p ɔ l j àː k i n j a
poljanšek	p ɔ l j àː n ʃ ə k
polje	p óː l j ɛ
polje	p ɔ l j éː
poljedelstvo	p ɔ l j ɛ d éː l s t ʋ ɔ
poljska	p óː l s k a
poljski	p óː l s k i
poljsko	p óː l s k ɔ
poljub	p ɔ l j úː p
poljubiti	p ɔ l j u b ìː t i
poljubiti	p ɔ l j u b íː t i
poljubiti	p ɔ l j ùː b i t i
poljubiti	p ɔ l j úː b i t i
poljščina	p óː l ʃ t͡ʃ i n a
polkovnica	p ɔ l k ɔ́ː ʋ n i t͡s a
polmer	p ɔ l m éː r
polmer	p ɔ ʋ m éː r
poln	p ɔ́ː ʋ n
polnejši	p ɔ̀ː ʋ n ɛ j ʃ i
polnoč	p ɔ́ː ʋ n ɔ t͡ʃ
polonij	p ɔ l òː n i j
polotok	p óː l ɔ t ɔ k
polotok	p ɔ l ɔ t ɔ́ k
polovica	p ɔ l ɔ ʋ ìː t͡s a
položaj	p ɔ l ɔ ʒ áː j
polzeti	p ɔ ʋ z èː t i
polž	p ɔ̀ː ʋ ʃ
polž	p ɔ́ː ʋ ʃ
pomagati	p ɔ m a ɡ àː t i
pomagati	p ɔ m àː ɡ a t i
pomaranča	p ɔ m a r áː n t͡ʃ a
pomemben	p ɔ m èː m b ə n
pomemben	p ɔ m éː m b ə n
pomembnejši	p ɔ m èː m b n ɛ j ʃ i
pomembnejši	p ɔ m éː m b n ɛ j ʃ i
pomembnost	p ɔ m èː m b n ɔ s t
pomembnost	p ɔ m éː m b n ɔ s t
pomen	p ɔ m ɛ́ n
pomenoslovje	p ɔ m ɛ n ɔ s l ɔ́ː ʋ j ɛ
pomenski	p ɔ m éː n s k i
pomlad	p ɔ m l áː t
pomniti	p óː m n i t i
pomoč	p ɔ m óː t͡ʃ
pomočnik	p ɔ m ɔ t͡ʃ n ìː k
ponarediti	p ɔ n a r ɛ d ìː t i
ponarediti	p ɔ n a r ɛ d íː t i
ponedeljek	p ɔ n ɛ d éː l j ə k
ponos	p ɔ n ɔ́ s
popačenka	p ɔ p áː t͡ʃ ɛ n k a
popek	p óː p ə k
poper	p ɔ̀ː p ə r
poplava	p ɔ p l áː ʋ a
popoldan	p ɔ p ɔ́ː ʋ d a n
popolnoma	p ɔ p ɔ́ː ʋ n ɔ m a
por	p óː r
por	p ɔ́ r
porcelan	p ɔ r t͡s ɛ l áː n
pornograf	p ɔ r n ɔ ɡ r áː f
pornografija	p ɔ r n ɔ ɡ r a f íː j a
pornografski	p ɔ r n ɔ ɡ r áː f s k i
porod	p ɔ r ɔ́ t
porod	p ɔ̀ː r ɔ t
poročen	p ɔ r óː t͡ʃ ə n
poročen	p ɔ r ɔ t͡ʃ ɛ́ n
poročilo	p ɔ r ɔ t͡ʃ ìː l ɔ
poročnica	p ɔ r óː t͡ʃ n i t͡s a
poročnik	p ɔ r óː t͡ʃ n i k
portoriko	p ɔ r t ɔ r íː k ɔ
portret	p ɔ r t r éː t
portugalec	p ɔ r t u ɡ áː l ə t͡s
portugalka	p ɔ r t u ɡ áː l k a
portugalska	p ɔ r t u ɡ áː l s k a
portugalski	p ɔ r t u ɡ áː l s k i
portugalsko	p ɔ r t u ɡ áː l s k ɔ
portugalščina	p ɔ r t u ɡ áː l ʃ t͡ʃ i n a
posameznik	p ɔ s áː m ɛ z n i k
posebej	p ɔ s éː b ɛ j
posel	p ɔ̀ː s ə ʋ
poskusiti	p ɔ s k ùː s i t i
poskušati	p ɔ s k ùː ʃ a t i
poslati	p ɔ s l àː t i
poslušati	p ɔ s l u ʃ àː t i
poslušati	p ɔ s l ùː ʃ a t i
posoditi	p ɔ s òː d i t i
posoditi	p ɔ s ɔ d ìː t i
posoditi	p ɔ s ɔ d íː t i
posodobiti	p ɔ s ɔ d ɔ̀ː b i t i
posodobiti	p ɔ s ɔ d ɔ́ː b i t i
pospešek	p ɔ s p éː ʃ ə k
post	p ɔ́ s t
postaja	p ɔ s t áː j a
postati	p ɔ s t àː t i
postelja	p òː s t ɛ l j a
posteljica	p òː s t ɛ l j i t͡s a
postrv	p ɔ s t ə́ r ʋ
pot	p òː t
pot	p óː t
potegovati	p ɔ t ɛ ɡ ɔ ʋ àː t i
potem	p ɔ t éː m
potem	p ɔ t ɛ́ m
potok	p ɔ̀ː t ɔ k
potreben	p ɔ t r èː b ə n
potrebnejši	p ɔ t r èː b n ɛ j ʃ i
potrebovati	p ɔ t r ɛ b ɔ ʋ àː t i
potres	p ɔ t r ɛ́ s
potrpežljiv	p ɔ t ə r p ɛ ʒ l j ìː ʋ
potrpežljiv	p ɔ t ə r p ɛ ʒ l j íː ʋ
potrpežljivejši	p ɔ t ə r p ɛ ʒ l j ìː ʋ ɛ j ʃ i
potrpežljivost	p ɔ t ə r p ɛ ʒ l j ìː ʋ ɔ s t
poudariti	p ɔ u d àː r i t i
povednik	p ɔ ʋ éː d n i k
povratnik	p ɔ ʋ r áː t n i k
površina	p ɔ ʋ ə r ʃ ìː n a
pozabiti	p ɔ z a b ìː t i
pozabiti	p ɔ z a b íː t i
pozabiti	p ɔ z àː b i t i
pozavna	p ɔ z áː ʋ n a
pozdrav	p ɔ z d r á ʋ
pozen	p ɔ̀ː z ə n
pozitron	p ɔ z i t r óː n
poznati	p ɔ z n àː t i
pozno	p ɔ̀ː z n ɔ
pozornost	p ɔ z òː r n ɔ s t
počasi	p ɔ t͡ʃ áː s i
počasneje	p ɔ t͡ʃ a s n ɛ́ː j ɛ
počasneje	p ɔ t͡ʃ àː s n ɛ j ɛ
počasno	p ɔ t͡ʃ àː s n ɔ
počitek	p ɔ t͡ʃ íː t ə k
počiti	p òː t͡ʃ i t i
počiti	p ɔ t͡ʃ ìː t i
počivati	p ɔ t͡ʃ ìː ʋ a t i
požar	p ɔ ʒ áː r
prababica	p r áː b àː b i t͡s a
praded	p r áː d éː t
praded	p r áː d ɛ́ t
praga	p r àː ɡ a
pragermanščina	p r áː ɡ ɛ r m áː n ʃ t͡ʃ i n a
prah	p r áː x
prakrt	p r áː k ə r t
praporščak	p r a p ɔ r ʃ t͡ʃ àː k
praporščakinja	p r a p ɔ r ʃ t͡ʃ àː k i n j a
praprot	p r àː p r ɔ t
prase	p r a s ɛ́
prase	p r àː s ɛ
praslovanski	p r áː s l ɔ ʋ áː n s k i
praslovanščina	p r áː s l ɔ ʋ áː n ʃ t͡ʃ i n a
prati	p r àː t i
pravica	p r a ʋ ìː t͡s a
pravilen	p r a ʋ íː l ə n
pravilneje	p r a ʋ íː l n ɛ j ɛ
pravilnejše	p r a ʋ íː l n ɛ j ʃ ɛ
pravilno	p r a ʋ íː l n ɔ
pravičen	p r a ʋ ìː t͡ʃ ə n
pravičen	p r a ʋ íː t͡ʃ ə n
pravičnost	p r a ʋ ìː t͡ʃ n ɔ s t
pravičnost	p r a ʋ íː t͡ʃ n ɔ s t
pravkar	p r á ʋ k a r
pravo	p r áː ʋ ɔ
pravopis	p r a ʋ ɔ p íː s
prazen	p r àː z ə n
prazeodim	p r a z ɛ ɔ d íː m
prazniti	p r a z n ìː t i
prazniti	p r a z n íː t i
prazniti	p r àː z n i t i
prašati	p r a ʃ àː t i
prašati	p r àː ʃ a t i
prašič	p r àː ʃ i t͡ʃ
prašnik	p r áː ʃ n i k
praštevilo	p r áː ʃ t ɛ ʋ ìː l ɔ
pražiti	p r àː ʒ i t i
prebava	p r ɛ b áː ʋ a
prebiti	p r ɛ b ìː t i
prebivalec	p r ɛ b i ʋ áː l ə t͡s
pred	p r ɛ t
predal	p r ɛ d áː l
predhodnik	p r ɛ d x óː d n i k
predlagati	p r ɛ d l áː ɡ a t i
predlog	p r ɛ̀ː d l ɔ k
predmet	p r ɛ̀ː d m ɛ t
prednik	p r éː d n i k
predpona	p r ɛ t p óː n a
predpreteklik	p r ɛ́ t p r ɛ t ɛ̀ː k l i k
predsednik	p r ɛ t s éː d n i k
predvideti	p r ɛ d ʋ ìː d ɛ t i
predvidljiv	p r ɛ d ʋ i d l j ìː ʋ
predvidljiv	p r ɛ d ʋ i d l j íː ʋ
predvidljivost	p r ɛ d ʋ i d l j ìː ʋ ɔ s t
prehlad	p r ɛ x l á t
preja	p r ɛ̀ː j a
preja	p r ɛ́ː j a
prekletstvo	p r ɛ k l éː t s t ʋ ɔ
premena	p r ɛ m éː n a
premeniti	p r ɛ m ɛ n ìː t i
premeniti	p r ɛ m ɛ n íː t i
preobrat	p r ɛ ɔ b r à t
prepelica	p r ɛ p ɛ l ìː t͡s a
preproga	p r ɛ p r òː ɡ a
preproga	p r ɛ p r óː ɡ a
prepucij	p r ɛ p ùː t͡s i j
prepustnica	p r ɛ p úː s t n i t͡s a
presenetiti	p r ɛ s ɛ n èː t i t i
presenetiti	p r ɛ s ɛ n éː t i t i
presenečenje	p r ɛ s ɛ n éː t͡ʃ ɛ n j ɛ
presredek	p r ɛ s r éː d ə k
presti	p r èː s t i
presti	p r ɛ̀ː s t i
prestol	p r ɛ̀ː s t ɔ l
prestolnica	p r ɛ s t óː l n i t͡s a
preteklik	p r ɛ t ɛ̀ː k l i k
prevajalec	p r ɛ ʋ a j áː l ə t͡s
prevesti	p r ɛ ʋ èː s t i
prevesti	p r ɛ ʋ ɛ̀ː s t i
prevod	p r ɛ ʋ ɔ́ t
prevod	p r ɛ̀ː ʋ ɔ t
prevodnik	p r ɛ ʋ óː d n i k
preživeti	p r ɛ ʒ i ʋ èː t i
prga	p ə̀ r ɡ a
prha	p ə̀ r x a
pri	p r i
priden	p r ìː d ə n
pridevnik	p r i d éː ʋ n i k
pridevniški	p r i d éː ʋ n i ʃ k i
pridnejši	p r ìː d n ɛ j ʃ i
prihajati	p r i x áː j a t i
prihodnji	p r i x óː d n j i
prihodnjik	p r i x óː d n j i k
prihodnost	p r i x óː d n ɔ s t
priimek	p r i íː m ə k
prijatelj	p r i j áː t ɛ l
prijateljica	p r i j áː t ɛ l j i t͡s a
prijateljski	p r i j áː t ɛ l s k i
prijateljstvo	p r i j áː t ɛ l s t ʋ ɔ
prijaviti	p r i j àː ʋ i t i
prijazen	p r i j àː z ə n
prijaznejši	p r i j àː z n ɛ j ʃ i
prijeten	p r i j èː t ə n
priložnost	p r i l òː ʒ n ɔ s t
primer	p r i m éː r
primež	p r ìː m ɛ ʃ
primež	p r íː m ɛ ʃ
princ	p r íː n t͡s
princesa	p r i n t͡s éː s a
pripeti	p r i p èː t i
pripona	p r i p óː n a
priponski	p r i p óː n s k i
prisega	p r i s éː ɡ a
prislov	p r i s l ɔ́ ʋ
prisotnost	p r i s ɔ̀ː t n ɔ s t
prispevek	p r i s p éː ʋ ə k
pristati	p r i s t àː t i
priti	p r ìː t i
pritisk	p r i t íː s k
priznati	p r i z n àː t i
priznavati	p r i z n áː ʋ a t i
priča	p r ìː t͡ʃ a
pričakovati	p r i t͡ʃ a k ɔ ʋ àː t i
prižnica	p r ìː ʒ n i t͡s a
prižnica	p r íː ʒ n i t͡s a
profesor	p r ɔ f éː s ɔ r
programje	p r ɔ ɡ r áː m j ɛ
programski	p r ɔ ɡ r áː m s k i
prometij	p r ɔ m èː t i j
prosim	p r òː s i m
prositi	p r ɔ s ìː t i
prositi	p r ɔ s íː t i
prost	p r ɔ́ s t
prostata	p r óː s t a t a
prostitucija	p r ɔ s t i t ùː t͡s i j a
prostor	p r ɔ̀ː s t ɔ r
prostornina	p r ɔ s t ɔ r n ìː n a
prostorski	p r ɔ s t òː r s k i
prostorski	p r ɔ s t óː r s k i
protaktinij	p r ɔ t a k t ìː n i j
protipomenka	p r óː t i p ɔ m éː n k a
prst	p ə́ r s t
prstan	p ə̀ r s t a n
prstanec	p ə̀ r s t a n ə t͡s
prt	p ə́ r t
prtljaga	p ə r t l j áː ɡ a
prvak	p ə r ʋ àː k
prvi	p ə́ r ʋ i
prvoten	p ə r ʋ ɔ̀ː t ə n
psalmi	p s áː l m i
psica	p s ìː t͡s a
ptica	p t ìː t͡s a
ptič	p t í t͡ʃ
puhati	p ùː x a t i
puhati	p úː x a t i
pulzar	p úː l z a r
puma	p ùː m a
punt	p ú n t
puran	p u r áː n
pust	p úː s t
pustejši	p u s t ɛ́ː j ʃ i
pustejši	p ùː s t ɛ j ʃ i
pustinja	p u s t ìː n j a
pustiti	p u s t ìː t i
pustiti	p u s t íː t i
puška	p úː ʃ k a
puščati	p ùː ʃ t͡ʃ a t i
puščava	p u ʃ t͡ʃ áː ʋ a
pšenica	p ʃ ɛ n ìː t͡s a
raba	r àː b a
rabarbara	r a b àː r b a r a
rabiti	r a b ìː t i
rabiti	r a b íː t i
rabiti	r àː b i t i
raca	r àː t͡s a
rad	r á t
rad	r áː t
radar	r àː d a r
radar	r áː d a r
radij	r àː d i j
radij	r áː d i j
radirka	r a d íː r k a
radon	r a d óː n
radon	r áː d ɔ n
radost	r àː d ɔ s t
radoveden	r a d ɔ ʋ èː d ə n
radovednost	r a d ɔ ʋ èː d n ɔ s t
rakun	r a k úː n
ralo	r àː l ɔ
rama	r àː m a
ramovš	r a m ɔ́ː ʋ ʃ
ran	r áː n
rana	r àː n a
ranejši	r àː n ɛ j ʃ i
rasa	r àː s a
rast	r áː s t
rasti	r àː s t i
rastlina	r a s t l ìː n a
rastlinojedec	r a s t l i n ɔ j éː d ə t͡s
raven	r àː ʋ ə n
ravnejši	r àː ʋ n ɛ j ʃ i
ravnik	r áː ʋ n i k
ravnost	r àː ʋ n ɔ s t
ravnotežje	r a ʋ n ɔ t éː ʒ j ɛ
razglednica	r a z ɡ l éː d n i t͡s a
razgovor	r a z ɡ ɔ́ː ʋ ɔ r
razlika	r a z l íː k a
različen	r a z l ìː t͡ʃ ə n
različnejši	r a z l ìː t͡ʃ n ɛ j ʃ i
razpelo	r a s p èː l ɔ
razpelo	r a s p ɛ̀ː l ɔ
razred	r àː z r ɛ t
razumeti	r a z u m èː t i
razvoj	r a z ʋ ɔ́ j
računalnik	r a t͡ʃ u n áː l n i k
rdeč	ə r d ɛ́ t͡ʃ
rebro	r ɛ̀ː b r ɔ
recikliranje	r ɛ t͡s i k l íː r a n j ɛ
red	r éː t
redar	r ɛ d àː r
redek	r èː d ə k
redkejši	r èː t k ɛ j ʃ i
redkejši	r ɛ t k ɛ́ː j ʃ i
redkev	r ɛ̀ː t k ə ʋ
redko	r èː t k ɔ
regrat	r èː ɡ r a t
rek	r éː k
rek	r ɛ́ k
reka	r èː k a
rektalen	r ɛ k t áː l ə n
relativnost	r éː l a t i ʋ n ɔ s t
relativnost	r ɛ l a t íː ʋ n ɔ s t
religija	r ɛ l ìː ɡ i j a
relikvija	r ɛ l ìː k ʋ i j a
renesansa	r ɛ n ɛ s áː n s a
renij	r èː n i j
rep	r éː p
rep	r ɛ́ p
repatica	r ɛ p a t ìː t͡s a
republika	r ɛ p ùː b l i k a
resnica	r ɛ s n ìː t͡s a
resnik	r éː s n i k
resničen	r ɛ s n ìː t͡ʃ ə n
resničen	r ɛ s n íː t͡ʃ ə n
resničnejši	r ɛ s n ìː t͡ʃ n ɛ j ʃ i
resničnejši	r ɛ s n íː t͡ʃ n ɛ j ʃ i
restavracija	r ɛ s t a ʋ r àː t͡s i j a
reven	r èː ʋ ə n
revija	r ɛ ʋ íː j a
revnejši	r èː ʋ n ɛ j ʃ i
revolucija	r ɛ ʋ ɔ l ùː t͡s i j a
rezati	r èː z a t i
rezilo	r ɛ z ìː l ɔ
rezultat	r ɛ z u l t áː t
reč	r éː t͡ʃ
reči	r ɛ̀ː t͡ʃ i
rešeto	r ɛ ʃ ɛ̀ː t ɔ
reši	r èː ʃ i
rešitev	r ɛ ʃ íː t ə ʋ
rešiti	r èː ʃ i t i
rešiti	r ɛ ʃ ìː t i
rešiti	r ɛ ʃ íː t i
riba	r ìː b a
ribariti	r i b àː r i t i
ribi	r ìː b i
rigler	r ìː ɡ l ɛ r
rijavec	r ìː j a ʋ ə t͡s
rilec	r íː l ə t͡s
rim	r ìː m
rima	r ìː m a
rima	r íː m a
ris	r íː s
risati	r íː s a t i
risba	r íː z b a
rit	r í t
riti	r ìː t i
riž	r íː ʃ
rjav	ə r j á ʋ
rjuha	ə r j ùː x a
rjuti	ə r j ùː t i
rob	r óː p
robidnica	r ɔ b íː d n i t͡s a
robot	r ɔ b óː t
rodij	r òː d i j
rodilnik	r ɔ d íː l n i k
roditi	r ɔ d ìː t i
roditi	r ɔ d íː t i
rog	r óː k
rojen	r ɔ̀ː j ɛ n
rojstvo	r ɔ̀ː j s t ʋ ɔ
roka	r ɔ̀ː k a
rokavica	r ɔ k a ʋ ìː t͡s a
rokomet	r ɔ k ɔ m ɛ́ t
roman	r ɔ m áː n
romb	r óː m p
romun	r ɔ m úː n
romunija	r ɔ m ùː n i j a
romunka	r ɔ m úː n k a
romunski	r ɔ m úː n s k i
romunsko	r ɔ m úː n s k ɔ
romunščina	r ɔ m úː n ʃ t͡ʃ i n a
ropar	r óː p a r
rosa	r ɔ̀ː s a
rosomah	r ɔ s ɔ m áː x
rotovž	r óː t ɔ ʋ ʃ
rovka	r ɔ́ː ʋ k a
rozman	r óː z m a n
roža	r óː ʒ a
roževina	r ɔ ʒ ɛ ʋ ìː n a
rožmarin	r óː ʒ m a r i n
rožmarin	r ɔ ʒ m a r íː n
rubidij	r u b ìː d i j
ruda	r ùː d a
rudar	r u d àː r
rudnik	r úː d n i k
rumen	r u m ɛ́ n
rumenjak	r u m ɛ n j àː k
runo	r ùː n ɔ
runo	r úː n ɔ
rus	r úː s
rusija	r úː s i j a
rusinja	r úː s i n j a
ruski	r úː s k i
rusko	r úː s k ɔ
rutenij	r u t èː n i j
ruti	r ùː t i
ruvati	r u ʋ àː t i
ruvati	r ùː ʋ a t i
ruvati	r úː ʋ a t i
ruščina	r úː ʃ t͡ʃ i n a
rvati	ə r ʋ àː t i
rž	ə́ r ʃ
s	s
sablja	s áː b l j a
sabotaža	s a b ɔ t áː ʒ a
sad	s áː t
