a	ɒ
tanulói	t ɒ n u l oːʲ i
tanulók	t ɒ n u l oː k
tanya	t ɒ ɲ ɒ
tanyák	t ɒ ɲ aː k
tanzánia	t ɒ n z aː n iʲ ɒ
tanzániai	t ɒ n z aː n iʲ ɒʲ i
tanáccsal	t ɒ n aː t͡ʃː ɒ l
tanáccsá	t ɒ n aː t͡ʃː aː
tanács	t ɒ n aː t͡ʃ
tanácsa	t ɒ n aː t͡ʃ ɒ
tanácsadás	t ɒ n aː t͡ʃ ɒ d aː ʃ
tanácsadó	t ɒ n aː t͡ʃ ɒ d oː
tanácsadók	t ɒ n aː t͡ʃ ɒ d oː k
tanácsba	t ɒ n aː d͡ʒ b ɒ
tanácsban	t ɒ n aː d͡ʒ b ɒ n
tanácsból	t ɒ n aː d͡ʒ b oː l
tanácshoz	t ɒ n aː t͡ʃ h o z
tanácsi	t ɒ n aː t͡ʃ i
tanácsig	t ɒ n aː t͡ʃ i ɡ
tanácskozás	t ɒ n aː t͡ʃ k o z aː ʃ
tanácsként	t ɒ n aː t͡ʃ k eː n t
tanácsnak	t ɒ n aː t͡ʃ n ɒ k
tanácsnál	t ɒ n aː t͡ʃ n aː l
tanácsok	t ɒ n aː t͡ʃ o k
tanácsokat	t ɒ n aː t͡ʃ o k ɒ t
tanácsokba	t ɒ n aː t͡ʃ o ɡ b ɒ
tanácsokban	t ɒ n aː t͡ʃ o ɡ b ɒ n
tanácsokból	t ɒ n aː t͡ʃ o ɡ b oː l
tanácsokhoz	t ɒ n aː t͡ʃ o k h o z
tanácsokig	t ɒ n aː t͡ʃ o k i ɡ
tanácsokkal	t ɒ n aː t͡ʃ o kː ɒ l
tanácsokká	t ɒ n aː t͡ʃ o kː aː
tanácsokként	t ɒ n aː t͡ʃ o kː eː n t
tanácsoknak	t ɒ n aː t͡ʃ o k n ɒ k
tanácsoknál	t ɒ n aː t͡ʃ o k n aː l
tanácsokon	t ɒ n aː t͡ʃ o k o n
tanácsokra	t ɒ n aː t͡ʃ o k r ɒ
tanácsokról	t ɒ n aː t͡ʃ o k r oː l
tanácsoktól	t ɒ n aː t͡ʃ o k t oː l
tanácsokért	t ɒ n aː t͡ʃ o k eː r t
tanácsol	t ɒ n aː t͡ʃ o l
tanácson	t ɒ n aː t͡ʃ o n
tanácsos	t ɒ n aː t͡ʃ o ʃ
tanácsot	t ɒ n aː t͡ʃ o t
tanácsra	t ɒ n aː t͡ʃ r ɒ
tanácsról	t ɒ n aː t͡ʃ r oː l
tanácstalan	t ɒ n aː t͡ʃ t ɒ l ɒ n
tanácsterem	t ɒ n aː t͡ʃ t ɛ r ɛ m
tanácstermek	t ɒ n aː t͡ʃ t ɛ r m ɛ k
tanácstól	t ɒ n aː t͡ʃ t oː l
tanácsért	t ɒ n aː t͡ʃ eː r t
tanár	t ɒ n aː r
tanára	t ɒ n aː r ɒ
tanári	t ɒ n aː r i
tanárnő	t ɒ n aː r n øː
tanárnők	t ɒ n aː r n øː k
tanárok	t ɒ n aː r o k
tanárokat	t ɒ n aː r o k ɒ t
tanárt	t ɒ n aː r t
tanév	t ɒ n eː v
tanévben	t ɒ n eː v b ɛ n
tanít	t ɒ n iː t
tanítana	t ɒ n iː t ɒ n ɒ
tanítanak	t ɒ n iː t ɒ n ɒ k
tanítani	t ɒ n iː t ɒ n i
tanítania	t ɒ n iː t ɒ n iʲ ɒ
tanítanod	t ɒ n iː t ɒ n o d
tanítanom	t ɒ n iː t ɒ n o m
tanítanunk	t ɒ n iː t ɒ n u ŋ k
tanítanád	t ɒ n iː t ɒ n aː d
tanítanál	t ɒ n iː t ɒ n aː l
tanítanám	t ɒ n iː t ɒ n aː m
tanítanának	t ɒ n iː t ɒ n aː n ɒ k
tanítanánk	t ɒ n iː t ɒ n aː ŋ k
tanítanátok	t ɒ n iː t ɒ n aː t o k
tanítanék	t ɒ n iː t ɒ n eː k
tanítasz	t ɒ n iː t ɒ s
taníthat	t ɒ n iː t h ɒ t
tanítottam	t ɒ n iː t o tː ɒ m
taníttat	t ɒ n iː tː ɒ t
tanítvány	t ɒ n iː t v aː ɲ
tanítványa	t ɒ n iː t v aː ɲ ɒ
tanítványai	t ɒ n iː t v aː ɲ ɒʲ i
tanítványaid	t ɒ n iː t v aː ɲ ɒʲ i d
tanítványaidon	t ɒ n iː t v aː ɲ ɒʲ i d o n
tanítványaidra	t ɒ n iː t v aː ɲ ɒʲ i d r ɒ
tanítványaik	t ɒ n iː t v aː ɲ ɒʲ i k
tanítványaim	t ɒ n iː t v aː ɲ ɒʲ i m
tanítványaimon	t ɒ n iː t v aː ɲ ɒʲ i m o n
tanítványaimra	t ɒ n iː t v aː ɲ ɒʲ i m r ɒ
tanítványain	t ɒ n iː t v aː ɲ ɒʲ i n
tanítványaink	t ɒ n iː t v aː ɲ ɒʲ i ŋ k
tanítványainkon	t ɒ n iː t v aː ɲ ɒʲ i ŋ k o n
tanítványainkra	t ɒ n iː t v aː ɲ ɒʲ i ŋ k r ɒ
tanítványaira	t ɒ n iː t v aː ɲ ɒʲ i r ɒ
tanítványaitok	t ɒ n iː t v aː ɲ ɒʲ i t o k
tanítványaitokon	t ɒ n iː t v aː ɲ ɒʲ i t o k o n
tanítványaitokra	t ɒ n iː t v aː ɲ ɒʲ i t o k r ɒ
tanítványod	t ɒ n iː t v aː ɲ o d
tanítványodon	t ɒ n iː t v aː ɲ o d o n
tanítványodra	t ɒ n iː t v aː ɲ o d r ɒ
tanítványok	t ɒ n iː t v aː ɲ o k
tanítványokon	t ɒ n iː t v aː ɲ o k o n
tanítványokra	t ɒ n iː t v aː ɲ o k r ɒ
tanítványom	t ɒ n iː t v aː ɲ o m
tanítványomon	t ɒ n iː t v aː ɲ o m o n
tanítványomra	t ɒ n iː t v aː ɲ o m r ɒ
tanítványon	t ɒ n iː t v aː ɲ o n
tanítványotok	t ɒ n iː t v aː ɲ o t o k
tanítványotokon	t ɒ n iː t v aː ɲ o t o k o n
tanítványotokra	t ɒ n iː t v aː ɲ o t o k r ɒ
tanítványra	t ɒ n iː t v aː ɲ r ɒ
tanítványt	t ɒ n iː t v aː ɲ t
tanítványuk	t ɒ n iː t v aː ɲ u k
tanítványukon	t ɒ n iː t v aː ɲ u k o n
tanítványukra	t ɒ n iː t v aː ɲ u k r ɒ
tanítványul	t ɒ n iː t v aː ɲ u l
tanítványunk	t ɒ n iː t v aː ɲ u ŋ k
tanítványunkon	t ɒ n iː t v aː ɲ u ŋ k o n
tanítványunkra	t ɒ n iː t v aː ɲ u ŋ k r ɒ
tanítványán	t ɒ n iː t v aː ɲ aː n
tanítványára	t ɒ n iː t v aː ɲ aː r ɒ
tanítás	t ɒ n iː t aː ʃ
tanítása	t ɒ n iː t aː ʃ ɒ
tanítási	t ɒ n iː t aː ʃ i
tanítások	t ɒ n iː t aː ʃ o k
tanító	t ɒ n iː t oː
tanítók	t ɒ n iː t oː k
tanítómester	t ɒ n iː t oː m ɛ ʃ t ɛ r
tanítómestere	t ɒ n iː t oː m ɛ ʃ t ɛ r ɛ
tanítómesterek	t ɒ n iː t oː m ɛ ʃ t ɛ r ɛ k
tanítónő	t ɒ n iː t oː n øː
tanóra	t ɒ n oː r ɒ
tanú	t ɒ n uː
tanúbizonyság	t ɒ n uː b i z o ɲ ʃ aː ɡ
tanúi	t ɒ n uːʲ i
tanúk	t ɒ n uː k
tanúskodik	t ɒ n uː ʃ k o d i k
tanúság	t ɒ n uː ʃ aː ɡ
tanúsít	t ɒ n uː ʃ iː t
tanúsítvány	t ɒ n uː ʃ iː t v aː ɲ
tanúsítványok	t ɒ n uː ʃ iː t v aː ɲ o k
tanúvallomás	t ɒ n uː v ɒ lː o m aː ʃ
tanúvallomások	t ɒ n uː v ɒ lː o m aː ʃ o k
tao	t ɒ o
taoista	t ɒ oʲ i ʃ t ɒ
taoisták	t ɒ oʲ i ʃ t aː k
taoizmus	t ɒ oʲ i z m u ʃ
tapad	t ɒ p ɒ d
tapasz	t ɒ p ɒ s
tapaszok	t ɒ p ɒ s o k
tapaszt	t ɒ p ɒ s t
tapasztal	t ɒ p ɒ s t ɒ l
tapasztalat	t ɒ p ɒ s t ɒ l ɒ t
tapasztalata	t ɒ p ɒ s t ɒ l ɒ t ɒ
tapasztalatai	t ɒ p ɒ s t ɒ l ɒ t ɒʲ i
tapasztalatait	t ɒ p ɒ s t ɒ l ɒ t ɒʲ i t
tapasztalatcsere	t ɒ p ɒ s t ɒ l ɒ t t͡ʃ ɛ r ɛ
tapasztalati	t ɒ p ɒ s t ɒ l ɒ t i
tapasztalatlan	t ɒ p ɒ s t ɒ l ɒ t l ɒ n
tapasztalatlanság	t ɒ p ɒ s t ɒ l ɒ t l ɒ n ʃ aː ɡ
tapasztalatlanságok	t ɒ p ɒ s t ɒ l ɒ t l ɒ n ʃ aː ɡ o k
tapasztalatok	t ɒ p ɒ s t ɒ l ɒ t o k
tapasztalatokat	t ɒ p ɒ s t ɒ l ɒ t o k ɒ t
tapasztalatokkal	t ɒ p ɒ s t ɒ l ɒ t o kː ɒ l
tapasztalatom	t ɒ p ɒ s t ɒ l ɒ t o m
tapasztalatot	t ɒ p ɒ s t ɒ l ɒ t o t
tapasztalatszerzés	t ɒ p ɒ s t ɒ l ɒ t s ɛ r z eː ʃ
tapasztalattal	t ɒ p ɒ s t ɒ l ɒ tː ɒ l
tapasztalt	t ɒ p ɒ s t ɒ l t
tapasztaltam	t ɒ p ɒ s t ɒ l t ɒ m
taperol	t ɒ p ɛ r o l
tapint	t ɒ p i n t
tapintat	t ɒ p i n t ɒ t
tapintatlan	t ɒ p i n t ɒ t l ɒ n
tapintatok	t ɒ p i n t ɒ t o k
tapintatos	t ɒ p i n t ɒ t o ʃ
tapintható	t ɒ p i n t h ɒ t oː
tapló	t ɒ p l oː
taplók	t ɒ p l oː k
tapos	t ɒ p o ʃ
taposóakna	t ɒ p o ʃ oː ɒ k n ɒ
taposómalom	t ɒ p o ʃ oː m ɒ l o m
taps	t ɒ p ʃ
tapsok	t ɒ p ʃ o k
tapsol	t ɒ p ʃ o l
tapsvihar	t ɒ p ʃ v i ɦ ɒ r
tapsviharral	t ɒ p ʃ v i ɦ ɒ rː ɒ l
tapéta	t ɒ p eː t ɒ
tapéták	t ɒ p eː t aː k
tapír	t ɒ p iː r
tar	t ɒ r
tarackbúza	t ɒ r ɒ d͡z ɡ b uː z ɒ
tarackbúzák	t ɒ r ɒ d͡z ɡ b uː z aː k
tarantász	t ɒ r ɒ n t aː s
targonca	t ɒ r ɡ o n t͡s ɒ
targoncák	t ɒ r ɡ o n t͡s aː k
tarhonya	t ɒ r ɦ o ɲ ɒ
tarhál	t ɒ r ɦ aː l
tarja	t ɒ r j ɒ
tarka	t ɒ r k ɒ
tarkább	t ɒ r k aː bː
tarkállik	t ɒ r k aː lː i k
tarkó	t ɒ r k oː
tarkók	t ɒ r k oː k
tarkószíj	t ɒ r k oː s iː j
tarlatán	t ɒ r l ɒ t aː n
tarló	t ɒ r l oː
tarlók	t ɒ r l oː k
tarsoly	t ɒ r ʃ o j
tarsolyok	t ɒ r ʃ o j o k
tart	t ɒ r t
tartalma	t ɒ r t ɒ l m ɒ
tartalmak	t ɒ r t ɒ l m ɒ k
tartalmakkal	t ɒ r t ɒ l m ɒ kː ɒ l
tartalmas	t ɒ r t ɒ l m ɒ ʃ
tartalmat	t ɒ r t ɒ l m ɒ t
tartalmaz	t ɒ r t ɒ l m ɒ z
tartalmaznak	t ɒ r t ɒ l m ɒ z n ɒ k
tartalmazni	t ɒ r t ɒ l m ɒ z n i
tartalmaznia	t ɒ r t ɒ l m ɒ z n iʲ ɒ
tartalmazza	t ɒ r t ɒ l m ɒ zː ɒ
tartalmazó	t ɒ r t ɒ l m ɒ z oː
tartalmi	t ɒ r t ɒ l m i
tartalmilag	t ɒ r t ɒ l m i l ɒ ɡ
tartalmának	t ɒ r t ɒ l m aː n ɒ k
tartalmát	t ɒ r t ɒ l m aː t
tartalom	t ɒ r t ɒ l o m
tartalomjegyzék	t ɒ r t ɒ l o m j ɛ ɟ z eː k
tartalomjegyzékek	t ɒ r t ɒ l o m j ɛ ɟ z eː k ɛ k
tartalommal	t ɒ r t ɒ l o mː ɒ l
tartalék	t ɒ r t ɒ l eː k
tartalékok	t ɒ r t ɒ l eː k o k
tartam	t ɒ r t ɒ m
tartamok	t ɒ r t ɒ m o k
tartana	t ɒ r t ɒ n ɒ
tartanak	t ɒ r t ɒ n ɒ k
tartani	t ɒ r t ɒ n i
tarthatatlan	t ɒ r t h ɒ t ɒ t l ɒ n
tartja	t ɒ r c ɒ
tartják	t ɒ r c aː k
tartod	t ɒ r t o d
tartom	t ɒ r t o m
tartomány	t ɒ r t o m aː ɲ
tartományban	t ɒ r t o m aː ɲ b ɒ n
tartományok	t ɒ r t o m aː ɲ o k
tartott	t ɒ r t o tː
tartotta	t ɒ r t o tː ɒ
tartozik	t ɒ r t o z i k
tartoznak	t ɒ r t o z n ɒ k
tartozás	t ɒ r t o z aː ʃ
tartozék	t ɒ r t o z eː k
tartozékok	t ɒ r t o z eː k o k
tartozó	t ɒ r t o z oː
tartály	t ɒ r t aː j
tartályok	t ɒ r t aː j o k
tartás	t ɒ r t aː ʃ
tartása	t ɒ r t aː ʃ ɒ
tartó	t ɒ r t oː
tartód	t ɒ r t oː d
tartók	t ɒ r t oː k
tartós	t ɒ r t oː ʃ
tartósít	t ɒ r t oː ʃ iː t
tartósítás	t ɒ r t oː ʃ iː t aː ʃ
tartózkodik	t ɒ r t oː s k o d i k
tartózkodás	t ɒ r t oː s k o d aː ʃ
tartózkodási	t ɒ r t oː s k o d aː ʃ i
tartózkodó	t ɒ r t oː s k o d oː
tartóztat	t ɒ r t oː s t ɒ t
taréj	t ɒ r eː j
taréjok	t ɒ r eː j o k
tasak	t ɒ ʃ ɒ k
tasakok	t ɒ ʃ ɒ k o k
taszít	t ɒ s iː t
tat	t ɒ t
tata	t ɒ t ɒ
tatabánya	t ɒ t ɒ b aː ɲ ɒ
tataroz	t ɒ t ɒ r o z
tatu	t ɒ t u
taták	t ɒ t aː k
tatárjárás	t ɒ t aː r j aː r aː ʃ
tau	t ɒ u
taum	t ɒ u m
taun	t ɒ u n
taura	t ɒ u r ɒ
taut	t ɒ u t
tautológia	t ɒ u t o l oː ɡ iʲ ɒ
tavacska	t ɒ v ɒ t͡ʃ k ɒ
tavacskák	t ɒ v ɒ t͡ʃ k aː k
tavak	t ɒ v ɒ k
tavaly	t ɒ v ɒ j
tavalyi	t ɒ v ɒ j i
tavasszal	t ɒ v ɒ sː ɒ l
tavasz	t ɒ v ɒ s
tavasza	t ɒ v ɒ s ɒ
tavaszi	t ɒ v ɒ s i
tavaszok	t ɒ v ɒ s o k
tavaszonként	t ɒ v ɒ s o ŋ k eː n t
tavaszán	t ɒ v ɒ s aː n
tavat	t ɒ v ɒ t
taxaméter	t ɒ k s ɒ m eː t ɛ r
taxi	t ɒ k s i
taxiban	t ɒ k s i b ɒ n
taxik	t ɒ k s i k
taxira	t ɒ k s i r ɒ
taxisofőr	t ɒ k s i ʃ o f øː r
taxonómia	t ɒ k s o n oː m iʲ ɒ
taxonómiák	t ɒ k s o n oː m iʲ aː k
tb	t eː b eː
tbiliszi	t b i l i s i
te	t ɛ
tea	t ɛ ɒ
teaház	t ɛ ɒ ɦ aː z
tealattad	t ɛ ɒ l ɒ tː ɒ d
tealevelek	t ɛ ɒ l ɛ v ɛ l ɛ k
tealevél	t ɛ ɒ l ɛ v eː l
tealád	t ɛ ɒ l aː d
tealólad	t ɛ ɒ l oː l ɒ d
teaszűrő	t ɛ ɒ s yː r øː
teaszűrők	t ɛ ɒ s yː r øː k
tebeléd	t ɛ b ɛ l eː d
tebelőled	t ɛ b ɛ l øː l ɛ d
tebenned	t ɛ b ɛ nː ɛ d
teca	t ɛ t͡s ɒ
technika	t ɛ x n i k ɒ
technikai	t ɛ x n i k ɒʲ i
technikailag	t ɛ x n i k ɒʲ i l ɒ ɡ
technikus	t ɛ x n i k u ʃ
technikusok	t ɛ x n i k u ʃ o k
technikák	t ɛ x n i k aː k
technikákat	t ɛ x n i k aː k ɒ t
technikát	t ɛ x n i k aː t
technikával	t ɛ x n i k aː v ɒ l
technológia	t ɛ x n o l oː ɡ iʲ ɒ
technológiai	t ɛ x n o l oː ɡ iʲ ɒʲ i
technológiák	t ɛ x n o l oː ɡ iʲ aː k
technológiákat	t ɛ x n o l oː ɡ iʲ aː k ɒ t
technológiákkal	t ɛ x n o l oː ɡ iʲ aː kː ɒ l
technológiáknak	t ɛ x n o l oː ɡ iʲ aː k n ɒ k
technológiának	t ɛ x n o l oː ɡ iʲ aː n ɒ k
technológiát	t ɛ x n o l oː ɡ iʲ aː t
technológiával	t ɛ x n o l oː ɡ iʲ aː v ɒ l
technécium	t ɛ x n eː t͡s iʲ u m
tedd	t ɛ dː
teelébed	t ɛ ɛ l eː b ɛ d
teeléd	t ɛ ɛ l eː d
teelőled	t ɛ ɛ l øː l ɛ d
teelőtted	t ɛ ɛ l øː tː ɛ d
teendő	t ɛ ɛ n d øː
teendők	t ɛ ɛ n d øː k
teendőket	t ɛ ɛ n d øː k ɛ t
tefeletted	t ɛ f ɛ l ɛ tː ɛ d
tefeléd	t ɛ f ɛ l eː d
tefelőled	t ɛ f ɛ l øː l ɛ d
teflon	t ɛ f l o n
tefölötted	t ɛ f ø l ø tː ɛ d
tegez	t ɛ ɡ ɛ z
tegezlek	t ɛ ɡ ɛ z l ɛ k
tegnap	t ɛ ɡ n ɒ p
tegnapelőtt	t ɛ ɡ n ɒ p ɛ l øː tː
tegnapi	t ɛ ɡ n ɒ p i
tegnapok	t ɛ ɡ n ɒ p o k
tegnapot	t ɛ ɡ n ɒ p o t
tegye	t ɛ ɟ ɛ
tegyed	t ɛ ɟ ɛ d
tegyek	t ɛ ɟ ɛ k
tegyelek	t ɛ ɟ ɛ l ɛ k
tegyem	t ɛ ɟ ɛ m
tegyen	t ɛ ɟ ɛ n
tegyenek	t ɛ ɟ ɛ n ɛ k
tegyetek	t ɛ ɟ ɛ t ɛ k
tegyék	t ɛ ɟ eː k
tegyél	t ɛ ɟ eː l
tegyétek	t ɛ ɟ eː t ɛ k
tegyük	t ɛ ɟ y k
tegyünk	t ɛ ɟ y ŋ k
tehelyetted	t ɛ h ɛ j ɛ tː ɛ d
tehenek	t ɛ h ɛ n ɛ k
teher	t ɛ h ɛ r
teherautó	t ɛ h ɛ r ɒ u t oː
teherautók	t ɛ h ɛ r ɒ u t oː k
teherbe	t ɛ h ɛ r b ɛ
teherhajó	t ɛ h ɛ r ɦ ɒ j oː
teherán	t ɛ h ɛ r aː n
tehesd	t ɛ h ɛ ʒ d
tehess	t ɛ h ɛ ʃː
tehesse	t ɛ h ɛ ʃː ɛ
tehessed	t ɛ h ɛ ʃː ɛ d
tehessek	t ɛ h ɛ ʃː ɛ k
tehesselek	t ɛ h ɛ ʃː ɛ l ɛ k
tehessem	t ɛ h ɛ ʃː ɛ m
tehessen	t ɛ h ɛ ʃː ɛ n
tehessenek	t ɛ h ɛ ʃː ɛ n ɛ k
tehessetek	t ɛ h ɛ ʃː ɛ t ɛ k
tehessék	t ɛ h ɛ ʃː eː k
tehessél	t ɛ h ɛ ʃː eː l
tehessétek	t ɛ h ɛ ʃː eː t ɛ k
tehessük	t ɛ h ɛ ʃː y k
tehessünk	t ɛ h ɛ ʃː y ŋ k
tehet	t ɛ h ɛ t
teheted	t ɛ h ɛ t ɛ d
tehetek	t ɛ h ɛ t ɛ k
tehetem	t ɛ h ɛ t ɛ m
tehetetlen	t ɛ h ɛ t ɛ t l ɛ n
tehetetlenebb	t ɛ h ɛ t ɛ t l ɛ n ɛ bː
tehetetlenség	t ɛ h ɛ t ɛ t l ɛ n ʃ eː ɡ
tehetetlenségek	t ɛ h ɛ t ɛ t l ɛ n ʃ eː ɡ ɛ k
tehetetlenségi	t ɛ h ɛ t ɛ t l ɛ n ʃ eː ɡ i
tehetett	t ɛ h ɛ t ɛ tː
teheti	t ɛ h ɛ t i
tehetik	t ɛ h ɛ t i k
tehetitek	t ɛ h ɛ t i t ɛ k
tehetjük	t ɛ h ɛ cː y k
tehetlek	t ɛ h ɛ t l ɛ k
tehetne	t ɛ h ɛ t n ɛ
tehetnek	t ɛ h ɛ t n ɛ k
tehetné	t ɛ h ɛ t n eː
tehetnéd	t ɛ h ɛ t n eː d
tehetnék	t ɛ h ɛ t n eː k
tehetnél	t ɛ h ɛ t n eː l
tehetnélek	t ɛ h ɛ t n eː l ɛ k
tehetném	t ɛ h ɛ t n eː m
tehetnének	t ɛ h ɛ t n eː n ɛ k
tehetnénk	t ɛ h ɛ t n eː ŋ k
tehetnétek	t ɛ h ɛ t n eː t ɛ k
tehetsz	t ɛ h ɛ t͡sː
tehetség	t ɛ h ɛ t͡ʃː eː ɡ
tehetsége	t ɛ h ɛ t͡ʃː eː ɡ ɛ
tehetségek	t ɛ h ɛ t͡ʃː eː ɡ ɛ k
tehetségeknek	t ɛ h ɛ t͡ʃː eː ɡ ɛ k n ɛ k
tehetséges	t ɛ h ɛ t͡ʃː eː ɡ ɛ ʃ
tehetségesebb	t ɛ h ɛ t͡ʃː eː ɡ ɛ ʃ ɛ bː
tehetséget	t ɛ h ɛ t͡ʃː eː ɡ ɛ t
tehetségét	t ɛ h ɛ t͡ʃː eː ɡ eː t
tehette	t ɛ h ɛ tː ɛ
tehetted	t ɛ h ɛ tː ɛ d
tehettek	t ɛ h ɛ tː ɛ k
tehettelek	t ɛ h ɛ tː ɛ l ɛ k
tehettem	t ɛ h ɛ tː ɛ m
tehettetek	t ɛ h ɛ tː ɛ t ɛ k
tehették	t ɛ h ɛ tː eː k
tehettél	t ɛ h ɛ tː eː l
tehettétek	t ɛ h ɛ tː eː t ɛ k
tehettük	t ɛ h ɛ tː y k
tehettünk	t ɛ h ɛ tː y ŋ k
tehetünk	t ɛ h ɛ t y ŋ k
tehetős	t ɛ h ɛ t øː ʃ
tehozzád	t ɛ ɦ o zː aː d
tehát	t ɛ ɦ aː t
tehén	t ɛ ɦ eː n
tehénistálló	t ɛ ɦ eː n i ʃ t aː lː oː
tej	t ɛ j
tejben	t ɛ j b ɛ n
tejcsokoládé	t ɛ j t͡ʃ o k o l aː d eː
tejek	t ɛ j ɛ k
tejes	t ɛ j ɛ ʃ
tejesember	t ɛ j ɛ ʃ ɛ m b ɛ r
tejet	t ɛ j ɛ t
tejfel	t ɛ j f ɛ l
tejfog	t ɛ j f o ɡ
tejfogak	t ɛ j f o ɡ ɒ k
tejföl	t ɛ j f ø l
tejsav	t ɛ j ʃ ɒ v
tejszín	t ɛ j s iː n
tejszínhab	t ɛ j s iː n ɦ ɒ b
tejtermék	t ɛ j t ɛ r m eː k
tejtermékek	t ɛ j t ɛ r m eː k ɛ k
tejút	t ɛ j uː t
teke	t ɛ k ɛ
teker	t ɛ k ɛ r
tekercs	t ɛ k ɛ r t͡ʃ
tekercsek	t ɛ k ɛ r t͡ʃ ɛ k
tekervény	t ɛ k ɛ r v eː ɲ
tekervények	t ɛ k ɛ r v eː ɲ ɛ k
tekerő	t ɛ k ɛ r øː
tekerőlant	t ɛ k ɛ r øː l ɒ n t
tekint	t ɛ k i n t
tekinteni	t ɛ k i n t ɛ n i
tekintet	t ɛ k i n t ɛ t
tekintetben	t ɛ k i n t ɛ d b ɛ n
tekintete	t ɛ k i n t ɛ t ɛ
tekintetek	t ɛ k i n t ɛ t ɛ k
tekintetekben	t ɛ k i n t ɛ t ɛ ɡ b ɛ n
tekinteteket	t ɛ k i n t ɛ t ɛ k ɛ t
tekintetekkel	t ɛ k i n t ɛ t ɛ kː ɛ l
tekinteteknek	t ɛ k i n t ɛ t ɛ k n ɛ k
tekintetet	t ɛ k i n t ɛ t ɛ t
tekintetnek	t ɛ k i n t ɛ t n ɛ k
tekintettel	t ɛ k i n t ɛ tː ɛ l
tekintetében	t ɛ k i n t ɛ t eː b ɛ n
tekintetét	t ɛ k i n t ɛ t eː t
tekinthet	t ɛ k i n t h ɛ t
tekinthető	t ɛ k i n t h ɛ t øː
tekinthetők	t ɛ k i n t h ɛ t øː k
tekintve	t ɛ k i n t v ɛ
tekintély	t ɛ k i n t eː j
tekintélyek	t ɛ k i n t eː j ɛ k
tekintélyes	t ɛ k i n t eː j ɛ ʃ
tekintélyromboló	t ɛ k i n t eː j r o m b o l oː
teknő	t ɛ k n øː
teknők	t ɛ k n øː k
teknős	t ɛ k n øː ʃ
teknősbéka	t ɛ k n øː ʒ b eː k ɒ
teknősbékák	t ɛ k n øː ʒ b eː k aː k
teknősök	t ɛ k n øː ʃ ø k
tektonikus	t ɛ k t o n i k u ʃ
tekék	t ɛ k eː k
tekörötted	t ɛ k ø r ø tː ɛ d
teközötted	t ɛ k ø z ø tː ɛ d
tel.	t ɛ l ɛ f o n
tele	t ɛ l ɛ
telefon	t ɛ l ɛ f o n
telefonbeszélgetés	t ɛ l ɛ f o m b ɛ s eː l ɡ ɛ t eː ʃ
telefonbetyár	t ɛ l ɛ f o m b ɛ c aː r
telefonfülke	t ɛ l ɛ f o ɱ f y l k ɛ
telefonhívás	t ɛ l ɛ f o n ɦ iː v aː ʃ
telefonkártya	t ɛ l ɛ f o ŋ k aː r c ɒ
telefonnal	t ɛ l ɛ f o nː ɒ l
telefonnál	t ɛ l ɛ f o nː aː l
telefonok	t ɛ l ɛ f o n o k
telefonokat	t ɛ l ɛ f o n o k ɒ t
telefonon	t ɛ l ɛ f o n o n
telefonos	t ɛ l ɛ f o n o ʃ
telefonszám	t ɛ l ɛ f o n s aː m
telefonszámok	t ɛ l ɛ f o n s aː m o k
telefonszámokon	t ɛ l ɛ f o n s aː m o k o n
telefonszámon	t ɛ l ɛ f o n s aː m o n
telefonszámot	t ɛ l ɛ f o n s aː m o t
telefont	t ɛ l ɛ f o n t
telefonvonal	t ɛ l ɛ f o ɱ v o n ɒ l
telefonzsinór	t ɛ l ɛ f o n ʒ i n oː r
telefonál	t ɛ l ɛ f o n aː l
telefonálgat	t ɛ l ɛ f o n aː l ɡ ɒ t
telefonálhat	t ɛ l ɛ f o n aː l ɦ ɒ t
telefonálás	t ɛ l ɛ f o n aː l aː ʃ
telefonérme	t ɛ l ɛ f o n eː r m ɛ
telefonérmék	t ɛ l ɛ f o n eː r m eː k
teleház	t ɛ l ɛ ɦ aː z
telei	t ɛ l ɛʲ i
telek	t ɛ l ɛ k
teleken	t ɛ l ɛ k ɛ n
teleket	t ɛ l ɛ k ɛ t
telekommunikáció	t ɛ l ɛ k o mː u n i k aː t͡s iʲ oː
telekommunikációk	t ɛ l ɛ k o mː u n i k aː t͡s iʲ oː k
telekommunikációs	t ɛ l ɛ k o mː u n i k aː t͡s iʲ oː ʃ
telem	t ɛ l ɛ m
telenként	t ɛ l ɛ ŋ k eː n t
telente	t ɛ l ɛ n t ɛ
teleobjektív	t ɛ l ɛ o b j ɛ k t iː v
telep	t ɛ l ɛ p
telepakol	t ɛ l ɛ p ɒ k o l
telepedik	t ɛ l ɛ p ɛ d i k
telepek	t ɛ l ɛ p ɛ k
telepes	t ɛ l ɛ p ɛ ʃ
telepszik	t ɛ l ɛ p s i k
telepít	t ɛ l ɛ p iː t
telepíteni	t ɛ l ɛ p iː t ɛ n i
telepítés	t ɛ l ɛ p iː t eː ʃ
telepítése	t ɛ l ɛ p iː t eː ʃ ɛ
telepítési	t ɛ l ɛ p iː t eː ʃ i
telepítő	t ɛ l ɛ p iː t øː
települ	t ɛ l ɛ p y l
település	t ɛ l ɛ p y l eː ʃ
települések	t ɛ l ɛ p y l eː ʃ ɛ k
településeken	t ɛ l ɛ p y l eː ʃ ɛ k ɛ n
településekről	t ɛ l ɛ p y l eː ʃ ɛ k r øː l
