aba	a b a
șontâc	ʃ o n t ɨ k
șopârlă	ʃ o p ɨ r l ə
șosetă	ʃ o s e t ə
șters	ʃ t e r s
șterși	ʃ t e r ʃʲ
știrb	ʃ t i r b
șubred	ʃ u b r e d
t	t e
t	t e
ta	t a
tahitian	t a h i t i a n
tainic	t a j n i k
talcioc	t a l t͡ɕ ɵ k
tandru	t a n d r u
tanti	t a n tʲ
tanzanian	t a n z a n i a n
tarantulă	t a r a n t u l ə
tatu	t a t u
tavan	t a v a n
taxi	t a k s i
tăcut	t ə k u t
tăi	t ə j
tăios	t ə j o s
tătic	t ə t i k
tău	t ə w
tâmp	t ɨ m p
tâmpit	t ɨ m p i t
târziu	t ɨ r z i w
tehnic	t e h n i k
tehnică	t e h n i k ə
tehnologic	t e h n o l o d͡ʒ i k
temător	t e m ə t o r
tembel	t e m b e l
temniță	t e m n i t s ə
temperatură	t e m p e r a t u r ə
temporar	t e m p o r a r
tendință	t e n d i n t͡s ə
tenisman	t e n i s m a n
tenismană	t e n i s m a n ə
tenta	t e n t a
tenta	t e n t a
teoretic	t e o r e t i k
teoric	t e o r i k
terapeutic	t e r a p e u t i k
terestru	t e r e s t r u
terț	t e r t͡s
terțiu	t e r t͡s i w
testa	t e s t a
testicular	t e s t i k u l a r
tibetan	t i b e t a n
ticălos	t i k ə l o s
timid	t i m i d
timișoarei	t i m i ʃ o̯ a r e j
timișorean	t i m i ʃ o r e̯ a n
timonier	t i m o n i e r
timpuriu	t i m p u r i w
tine	t i n e
tins	t i n s
tip	t i p
tipa	t i p a
tipar	t i p a r
tipare	t i p a r e
tipă	t i p ə
tiramisu	t i r a m i s u
tisă	t i s ə
titan	t i t a n
toamnă	t o̯ a m n ə
tocat	t o k a t
tocit	t o t͡ʃ i t
tomată	t o m a t ə
tomnatic	t o m n a t i k
tongan	t o ŋ ɡ a n
tortura	t o r t u r a
tortura	t o r t u r a
tortură	t o r t u r ə
tortură	t o r t u r ə
tot	t o t
totuși	t o t u ʃʲ
tovărășesc	t o v ə r ə ʃ e s k
toxic	t o k s i k
toxic	t o k s i k
tradiție	t r a d i t͡s i e
traduce	t r a d u t ʃ e
traductor	t r a d u k t o r
traiectorie	t r a j e k t o r i e̯
tramvai	t r a m v a j
trandafiriu	t r a n d a f i r i w
transatlantic	t r a n s a t l a n t i k
transcendental	t r a n s t͡ʃ e d e n t a l
transcrie	t r a n s k r i e
transparent	t r a n s p a r e n t
transpune	t r a n s p u n e
transpunere	t r a n s p u n e r e
tranzient	t r a n z i e n t
tranzitiv	t r a n z i t i v
tranzițional	t r a n z i t͡s i o n a l
trata	t r a t a
tratament	t r a t a m e n t
traversa	t r a v e r s a
trăgător	t r ə ɡ ə t o r
trăsătură	t r ə s ə t u r ə
trăsnit	t r ə s n i t
trândav	t r ɨ n d a v
trântit	t r ɨ n t i t
trebui	t r e b u i
trecător	t r e k ə t o r
trecere	t r e t͡ʃ e r e
treceri	t r e t͡ʃ e rʲ
trecut	t r e k u t
treia	t r e j a
treilea	t r e j l e̯ a
treisprezece	t r e j s p r e z e t͡ʃ e
treisprezecea	t r e j s p r e z e t͡ʃ e̯ a
treisprezecelea	t r e j s p r e z e t͡ʃ e l e̯ a
treișpe	t r e j ʃ p e
treișpea	t r e j ʃ p e̯ a
treișpelea	t r e j ʃ p e l e̯ a
treizecea	t r e j z e t͡ʃ e̯ a
treizeci	t r e j z e t͡ʃʲ
treizecilea	t r e j z e t͡ʃ i l e̯ a
tren	t r e n
triatlonist	t r i a t l o n i s t
triatlonistă	t r i a t l o n i s t ə
tridimensional	t r i d i m e n s i o n a l
trinidadian	t r i n i d a d i a n
trist	t r i s t
trișa	t r i ʃ a
trivial	t r i v i a l
trompetă	t r o m p e t ə
tron	t r o n
trota	t r o t a
trudit	t r u d i t
tu	t u
tucan	t u k a n
tulbure	t u l b u r e
tunisian	t u n i s i a n
tuns	t u n s
turc	t u r k
turcescu	t u r t͡ʃ e s k u
turistic	t u r i s t i k
turkmen	t u r k m e n
turn	t u r n
tuși	t u ʃ i
tutela	t u t e l a
tuvaluan	t u v a l u a n
ț	t͡s e
țărănesc	t͡s ə r ə n e s k
țările	t s ə r i l e
țărilor	t s ə r i l o r
țeapăn	t͡s e̯ a p ə n
țelină	t͡s e l i n ə
țeline	t͡s e l i n e
țestos	t͡s e s t o s
țigan	t͡s i ɡ a n
țigancă	t͡s i ɡ a ŋ k ə
țigani	t͡s i ɡ a nʲ
țigănesc	t͡s i ɡ ə n e s k
țigănește	t͡s i ɡ ə n e ʃ t e
țigăni	t͡s i ɡ ə n i
țigănie	t͡s i ɡ ə n i e
ține	t͡s i n e
ținut	t͡s i n u t
țuică	t͡s u j k ə
u	u
u	u
ubicuității	u b i k u i t ə t s i
ubicuu	u b i k u u
ubicuu	u b i k uː
ud	u d
udat	u d a t
udmurt	u d m u r t
uimi	u j m i
ulm	u l m
ultim	u l t i m
uman	u m a n
umbelă	u m b e l ə
umbră	u m b r ə
umbrelă	u m b r e l ə
umbros	u m b r o s
umed	u m e d
umil	u m i l
umple	u m p l e
un	u n
una	u n a
unchi	u ŋ kʲ
undă	u n d ə
undeva	u n d e v a
undiță	u n d i t͡s ə
undrea	u n d r e̯ a
unduios	u n d u j o s
unealtă	u n e̯ a l t ə
unei	u n e j
unguresc	u ŋ ɡ u r e s k
unidirecțional	u n i d i r e k t͡s i o n a l
uniform	u n i f o r m
unilateral	u n i l a t e r a l
unire	u n i r e
unor	u n o r
unsprezece	u n s p r e z e t͡ʃ e
unsprezecea	u n s p r e z e t͡ʃ e̯ a
unsprezecelea	u n s p r e z e t͡ʃ e l e̯ a
unsuros	u n s u r o s
unșpe	u n ʃ p e
unșpea	u n ʃ p e̯ a
unșpelea	u n ʃ p e l e̯ a
untos	u n t o s
untură	u n t u r ə
unu	u n u
unui	u n u j
ura	u r a
ura	u r a
ura	u r a
uragan	u r a ɡ a n
urât	u r ɨ t
urcare	u r k a r e
urcat	u r k a t
ureche	u r e k e
uriaș	u r i a ʃ
urina	u r i n a
urina	u r i n a
urină	u r i n ə
urină	u r i n ə
urî	u r ɨ
urmă	u r m ə
urmări	u r m ə r i
următor	u r m ə t o r
urolog	u r o l o ɡ
urologă	u r o l o ɡ ə
uruguayan	u r u ɡ w a j a n
urzeală	u r z e̯ a l ə
urzică	u r z i k ə
uscat	u s k a t
ustensilă	u s t e n s i l ə
usturător	u s t u r ə t o r
util	u t i l
utila	u t i l a
utilaj	u t i l a ʒ
utile	u t i l e
utili	u t i lʲ
uzi	u zʲ
uzină	u z i n ə
v	v
v	v e
v	v e
vag	v a ɡ
vagabond	v a ɡ a b o n d
vai	v a j
valah	v a l a x
valoare	v a l o̯ a r e
valon	v a l o n
valoros	v a l o r o s
vamal	v a m a l
van	v a n
vanadiu	v a n a d j u
vanitos	v a n i t o s
vapor	v a p o r
vara	v a r a
vară	v a r ə
varia	v a r i a
variat	v a r i a t
vă	v ə
vădos	v ə d o s
văduv	v ə d u v
văduvă	v ə d u v ə
văr	v ə r
văratic	v ə r a t i k
vărgat	v ə r ɡ a t
vărui	v ə r u i
văzuți	v ə z u t͡sʲ
vâlced	v ɨ l t͡ʃ e d
vâlced	v ɨ l t͡ʃ e d
vână	v ɨ n ə
vânăt	v ɨ n ə t
vânătă	v ɨ n ə t ə
vânjos	v ɨ n ʒ o s
vânos	v ɨ n o s
vântos	v ɨ n t o s
vârtos	v ɨ r t o s
vâscos	v ɨ s k o s
vechi	v e kʲ
vecin	v e t͡ʃ i n
vecină	v e t͡ʃ i n ə
vecini	v e t͡ʃ i nʲ
venă	v e n ə
venera	v e n e ɾ a
venerare	v e n e r a r e
venerație	v e n e r a t s i e
veneric	v e n e r i k
venezuelean	v e n e z u e l e̯ a n
verandă	v e r a n d ə
verbină	v e r b i n ə
verde	v e r d e
vergur	v e r ɡ u r
vergură	v e r ɡ u r ə
verișoară	v e r i ʃ o̯ a r ə
verosimil	v e r o s i m i l
versatile	v e r s a t i l e
versatili	v e r s a t i lʲ
verzui	v e r z u j
vesel	v e s e l
via	v i a
via	v i a
via	v i a
via	v i a
victorios	v i k t o r i o s
vid	v i d
vie	v i e
viermănos	v j e r m ə n o s
viețui	v j e t͡s u i
viguros	v i ɡ u r o s
vii	v i j
vii	v iː
viitor	v i i t o r
vinaț	v i n a t͡s
vindecător	v i n d e k ə t o r
vindicativ	v i n d i k a t i v
vine	v i n e
vineri	v i n e rʲ
vinicer	v i n i t͡ʃ e r
vinos	v i n o s
vinovat	v i n o v a t
vioi	v i o j
viol	v i o l
viola	v j o l a
violent	v i o l e n t
violet	v i o l e t
viperă	v i p e r ə
vipt	v i p t
viral	v i r a l
virgin	v i r d͡ʒ i n
virgină	v i r d͡ʒ i n ə
viril	v i r i l
virile	v i r i l e
virilitatea	v i r i l i t a t e̯ a
virilității	v i r i l i t ə t s i
virnanț	v i r n a n t͡s
virolog	v i r o l o ɡ
virologă	v i r o l o ɡ ə
virotic	v i r o t i k
viroză	v i r o z ə
virtuos	v i r t u o s
vișină	v i ʃ i n ə
vitamină	v i t a m i n ə
vită	v i t ə
viteaz	v i t e̯ a z
viteză	v i t e z ə
viticultor	v i t i k u l t o r
vitreg	v i t r e ɡ
vitrină	v i t r i n ə
viță	v i t͡s ə
viu	v i w
vizibil	v i z i b i l
vlăstar	v l ə s t a r
voastre	v o̯ a s t r e
voce	v o t͡ʃ e
voinic	v o j n i k
voință	v o i n t͡s ə
voios	v o j o s
volbură	v o l b u r ə
voltaj	v o̞ l t a ʒ
vor	v o r
vorbăreț	v o r b ə r e t͡s
vostru	v o s t r u
voștri	v o ʃ t r i
vouă	v o w ə
vrajă	v r a ʒ ə
vrea	v r e̯ a
vrednic	v r e d n i k
vremelnic	v r e m e l n i k
vreun	v r e u n
vreun	v r e̯ u n
vro	v r o
vrun	v r u n
vulcan	v u l k a n
vulcanolog	v u l k a n o l o ɡ
vulcanologă	v u l k a n o l o ɡ ə
vulgar	v u l ɡ a r
whisky	u j s k i
whisky	w i s k i
wikționar	w i k t͡s i o n a r
x	i k s
x	i k s
z	z e
z	z e t
z	z e
z	z e t
zadarnic	z a d a r n i k
zahăr	z a h ə r
zambian	z a m b i a n
zarzavagioaică	z a r z a v a d͡ʒ w a i̯ k ə
zarzavagiu	z a r z a v a d͡ʒ i w
zarzără	z a r z ə r ə
zăbală	z ə b a l ə
zănatic	z ə n a t i k
zăpăceală	z ə p ə t͡ʃ e̯ a l ə
zău	z ə w
zâmbet	z ɨ m b e t
zâmbi	z ɨ m b i
zârnă	z ɨ r n ə
zbici	z b i t͡ʃ i
zdravăn	z d r a v ə n
zeamă	z e̯ a m ə
zece	z e t͡ʃ e
zecea	z e t͡ʃ e̯ a
zecelea	z e t͡ʃ e l e̯ a
zeci	z e t͡ʃʲ
zecimal	z e t͡ʃ i m a l
zecime	z e t͡ʃ i m e
zeiță	z e i t͡s ə
zemos	z e m o s
zero	z e r o
zevzec	z e v z e k
zgău	z ɡ ə w
zgăuri	z ɡ ə u rʲ
zgârcit	z ɡ ɨ r t͡ʃ i t
zgomotos	z ɡ o m o t o s
ziarist	z i a r i s t
zibelină	z i b e l i n ə
zicală	z i k a l ə
zimbru	z i m b r u
zinc	z i n k
zmeură	z m e u r ə
zoolog	z o o l o ɡ
zoologă	z o o l o ɡ ə
zori	z o rʲ
zugrăvi	z u ɡ r ə v i
zvăpăiat	z v ə p ə j a t
zvelt	z v e l t
ţ	t s e
букурешть	b u k u r e ʃ tʲ
леу	l e w
молдовенеск	m o l d o v e n e s k
молдовеняскэ	m o l d o v e n e̯ a s k ə
урсс	u ɛ r ɛ s ɛ s
