abbé	abbɛː
učiteľka	ut͡ʃicelʲka
užitočnosť	uʒitɔt͡ʃnɔsc
užitočný	uʒitɔt͡ʃniː
uško	uʃkɔ
ušnica	uʃɲit͡sa
užovka	uʒɔu̯ka
užívateľ	uʒiːvacɛʎ
užší	uʃiː
vagína	vaɡiːna
vajce	vajt͡sɛ
valach	vaɫax
valaška	vaɫaʃka
valašsko	vaɫaʃskɔ
valašský	vaɫaʃskiː
valentín	valɛntiːn
valentína	valɛntiːna
valkýra	vaɫkiːra
valér	valɛːr
valéria	valɛːria
valčík	vaɫt͡ʃiːk
vanda	vanda
vankúš	vaŋkuːʃ
vanuatu	vanuatu
vanád	ʋanaːt
varšava	ʋarʃaʋa
vasil	vasiɫ
vavrinec	vavriɲɛt͡s
vaňa	vaɲa
vaše	ʋaʃe
vdov	vdɔu̯
vdovami	vdɔvami
vdove	vdɔvɛ
vdovou	vdɔvɔu̯
vdovu	vdɔvu
vdovy	vdɔvi
vdovách	vdɔvaːx
vdovám	vdɔvaːm
vec	vɛt͡s
vedec	vɛɟɛt͡s
vedieť	vɛɟi̯ɛc
vedro	vɛdrɔ
vedľa	vɛdʎa
veko	vɛkɔ
vendelín	vɛndɛliːn
verejný	vɛrɛjniː
veronika	vɛrɔɲiːka
ves	ʋes
vestibul	vɛstibuɫ
vetchý	vɛtxiː
veternica	vɛcɛrɲit͡sa
vetva	vɛtva
veverica	vɛvɛrit͡sa
veľa	vɛʎa
veža	vɛʒa
večer	vɛt͡ʃɛr
večera	vɛt͡ʃɛra
večes	ʋetʃes
vežička	vɛʒit͡ʃka
veľký	vɛʎkiː
veľmi	vɛʎmi
viac	vi̯at͡s
vianoce	vi̯anɔt͡s
viať	vi̯ac
vidiecky	viɟi̯ɛt͡ski
vidieť	viɟi̯ɛc
vidlička	vidʎit͡ʃka
viedenský	vi̯ɛɟɛnskiː
viedeň	vi̯ɛɟɛɲ
viera	vi̯ɛra
vieroslava	vi̯ɛrɔsɫava
viesť	vi̯ɛsc
vietnam	vi̯ɛtnam
vietor	vi̯ɛtɔr
viezť	vi̯ɛsc
viking	vikiŋɡ
viktor	viktɔr
viktória	viktɔːria
viliam	viliam
vilma	viɫma
vilnius	viɫɲi̯us
vincent	vint͡sɛnt
vinš	vinʃ
viola	viɔɫa
visla	visɫa
vitráž	ʋitraːʃ
vladimír	vɫaɟimiːr
vladimíra	vɫaɟimiːra
vladislav	vɫaɟisɫau̯
vlaha	vɫaɦa
vlajočka	vɫajɔt͡ʃka
vlani	vɫaɲi
vlas	vɫas
vlasta	vɫasta
vlastimil	vɫascimiɫ
vlastný	vɫastniː
vlasť	ʋɫasc
vlha	ʋɫ̩ɦa
vlk	vɫ̩k
vlkolak	vɫ̩kɔɫak
vlna	vɫ̩na
vltava	ʋl̩taʋa
vlásočnica	vɫaːsɔt͡ʃɲit͡sa
vláčik	vɫaːt͡ʃik
vlčica	vɫ̩t͡ʃit͡sa
vnuk	vnuk
vnučka	ʋnut͡ʃka
vnútornosti	vnuːtɔrnɔsc
vnúčik	ʋnuːt͡ʃik
voda	vɔda
vodca	ʋɔt͡sːa
vodiť	vɔɟic
vodič	vɔɟit͡ʃ
vodka	vɔtka
vodopád	vɔdɔpaːt
vodík	vɔɟiːk
vojak	vɔjak
vojačik	vɔjat͡ʃik
vojtech	ʋɔjcex
vola	vɔɫa
volavka	vɔɫau̯ka
volfrám	vɔɫfraːm
volov	vɔɫɔu̯
volt	vɔɫt
voz	vɔs
voziť	vɔzic
voš	vɔʃ
vplyv	fpɫiw
vrabec	vrabɛt͡s
vracať	vrat͡sac
vrah	vrax
vraj	vraj
vrana	vrana
vraní	vraɲiː
vratislav	vracisɫau̯
vratko	vratkɔ
vravieť	vravi̯ɛc
vražda	vraʒda
vrch	ʋr̩x
vrece	vrɛt͡sɛ
vrecko	vrɛt͡skɔ
vretenica	vrɛcɛɲit͡sa
vrh	ʋr̩x
vrkoč	vr̩kɔt͡ʃ
vroclav	ʋrɔt͡sɫaw
vrt	ʋr̩t
vrtuľník	vr̩tuʎɲiːk
vrátane	vraːtanɛ
vrátiť	vraːcic
vrš	vr̩ʃ
vrša	vr̩ʃa
vstupenka	fstupɛŋka
vtedy	ftɛdi
vták	ftaːk
vtákopysk	ftaːkɔpisk
vtáčik	ftaːt͡ʃik
vtĺcť	ftɫ̩ːt͡sc
vulkán	vuɫkaːn
vuvuzela	ʋuʋuzeɫa
vy	vi
vychádzka	vixaːt͡ska
vydra	vidra
vyhodnotiť	viɦɔdnɔcic
vypnúť	vipnuːc
vypínať	vipiːnac
vysvedčenie	ʋisʋett͡ʃeni̯e
vzal	vzaɫ
vzduch	vzdux
vziať	vzi̯ac
václav	ʋaːt͡sɫaw
váh	vaːx
vápnik	ʋaːpɲik
váš	vaːʃ
vážka	vaːʃka
vädnúť	vædnuːc
vädnúť	vɛdnuːc
väčšina	væt͡ʃʃina
väčšina	vɛt͡ʃʃina
väčší	væt͡ʃʃi
väčší	vɛt͡ʃʃi
víchor	viːxɔr
víkend	ʋiːkent
víla	ʋiːɫa
víno	viːnɔ
vít	viːt
víťaz	viːcas
víťazoslav	viːcazɔsɫau̯
víťazoslava	viːcazɔsɫava
víťazstvo	viːcasstvɔ
vôl	vu̯ɔɫ
vôľa	vu̯ɔʎa
výbuch	viːbux
výnos	viːnɔs
výskum	viːskum
výsledok	viːslɛdɔk
vývojka	viːvɔjka
výťah	viːcax
všade	fʃaɟɛ
vďaka	vɟaka
vďačnosť	vɟat͡ʃnɔsc
vďačný	vɟat͡ʃniː
vŕb	vr̩ːp
včela	ft͡ʃɛɫa
včera	ft͡ʃɛra
všetci	fʃɛtt͡si
všetok	fʃɛtɔk
vĺh	ʋɫ̩ːx
vĺn	ʋɫ̩ːn
vŕš	vr̩ːʃ
whisky	ʋiski
wikipédia	vikipɛːdia
xenofón	ksɛnɔfɔːn
xylofón	ksilɔfɔːn
xylograf	ksiɫɔɡraf
xénia	kseːnia
yeti	jeti
ypsilon	ipsiɫɔn
yterbium	itɛrbium
ytrium	itrium
yzop	izɔp
z	z
zabiť	zabic
zabudnúť	zabudnuːc
zachariáš	zaxariaːʃ
zachmúrený	zaxmuːrɛniː
zajac	zajat͡s
zajačik	zajat͡ʃik
zajtra	zajtra
zapnúť	zapnuːc
zapínať	zapiːnac
zaspať	zaspac
zastaralý	zastaraɫiː
zatiaľ	zaci̯aʎ
zať	zac
začať	zat͡ʃac
zažať	zaʒac
začiatok	zat͡ʃi̯atɔk
zbohom	zbɔɦɔm
zbožie	zbɔʒi̯ɛ
zboží	zbɔʒiː
zdenka	zɟɛŋka
zdravie	zdravi̯ɛ
zdraví	zdraviː
zdravý	zdraviː
zdrobnenina	zdrɔbɲɛɲina
zelenina	zɛlɛɲina
zelená	zɛlɛnaː
zelený	ze̞ɫe̞niː
zelený	ze̞ʎe̞niː
zem	zɛm
zemepis	zɛmɛpis
zemetrasenie	zɛmɛtrasɛɲi̯ɛ
zemi	zemi
zemiak	zɛmi̯ak
zemiakový	zɛmi̯akɔviː
zemiaky	zɛmi̯aki
zemí	zɛmiː
zeus	ze̞us
zhodnotiť	zɦɔdnɔcic
zima	zima
zina	zina
zlatica	zɫacit͡sa
zlatko	zɫatkɔ
zlato	zɫatɔ
zlatý	zɫatiː
zlo	zɫɔ
zlodej	zɫɔɟɛj
zlí	zɫiː
zlý	zɫiː
zmena	zmɛna
zmes	zmɛs
zmija	zmija
zmluva	zmɫuva
zmrd	zmr̩t
zmrzlina	zmr̩zɫina
zmrzlina	zmr̩zʎina
znamenať	znamɛnac
znať	znac
znezrady	zɲɛzradi
zo	zɔ
zobáčik	zɔbaːt͡ʃik
zoja	zɔja
zoltán	zɔɫtaːn
zombi	zɔmbi
zombia	zɔmbia
zombie	zɔmbiɛ
zomrieť	zɔmri̯ɛc
zoológia	zɔɔɫɔːɡia
zoom	zuːm
zora	zɔra
zoznam	zɔznam
zrak	zrak
zrelý	zrɛliː
zrenica	zrɛɲit͡sa
zrkadlo	zr̩kadɫɔ
zrniečko	zr̩ɲi̯ɛt͡ʃkɔ
zrno	zr̩no̞
zröntgenovať	zrœntɡɛnɔvac
zröntgenovať	zrɛntɡɛnɔvac
zub	zup
zuba	zuba
zubár	zubaːr
zubáč	zubaːt͡ʃ
zunovaný	zunɔvaniː
zunovať	zunɔvac
zuzana	zuzana
zuzanka	zuzaŋka
zuzka	zuska
zviera	zvi̯ɛra
zvuk	zvuk
zvyšný	zviʃniː
zvyšok	zviʃɔk
zväz	zʋes
zväz	zʋæs
zvýšiť	zviːʃic
záhada	zaːɦada
záhrada	zaːɦrada
záhreb	zaːɦrɛp
základný	zaːkɫadniː
záležitosť	zaːɫeʒitɔsc
záležitosť	zaːʎeʒitɔsc
zámeno	zaːmɛnɔ
zámok	zaːmɔk
zápal	zaːpaɫ
zápcha	zaːpxa
zápražka	zaːpraʃka
zásaditý	zaːsaɟitiː
zátvorka	zaːtvɔrka
závisť	zaːʋisc
zázrak	zaːzrak
zázračný	zaːzrat͡ʃniː
zázvor	zaːzvɔr
zŕn	zr̩ːn
ábel	aːbɛɫ
áno	aːnɔ
áut	aːu̯t
ázia	aːzia
ázijský	aːzijskiː
ä	e
ä	æ
ålandy	ɔɫandi
ångström	ankstrem
ír	iːr
íri	iːri
íris	iːris
írsko	iːrskɔ
írčina	iːrt͡ʃina
ísť	iːsc
íver	iːvɛr
óda	ɔːda
ôsmy	u̯osmi
úbohý	uːbɔɦiː
údolie	uːdɔʎi̯ɛ
úrad	uːrat
ústa	uːsta
útroba	uːtrɔba
územie	uːzɛmi̯ɛ
území	uːzɛmiː
úzky	uːski
úžitok	uːʒitɔk
ý	iː
ŕ	r̩ː
č	t͡ʃ
ň	ɲ
ž	ʒ
ĺ	ɫ̩ː
žaba	ʒaba
šach	ʃax
šachovnica	ʃaxɔu̯ɲit͡sa
čad	t͡ʃat
ľad	ʎat
ľadnička	ʎadɲit͡ʃka
ľadoborec	ʎadɔbɔrɛt͡s
ľadvina	ʎadvina
ľahký	ʎaxkiː
čaj	t͡ʃaj
čajka	t͡ʃajka
šakal	ʃakaɫ
čakať	t͡ʃakac
ďalekohľad	ɟalɛkɔɦʎat
žalmy	ʒaɫmi
žalúdok	ʒaɫuːdɔk
ďalší	ɟaɫʃiː
šamlík	ʃamliːk
šampión	ʃampiɔːn
žaneta	ʒanɛta
ťarchavý	carxaviː
čaro	t͡ʃarɔ
čas	t͡ʃas
časti	t͡ʃasci
častica	t͡ʃascit͡sa
častí	t͡ʃasciː
časť	t͡ʃasc
ďatelina	ɟacɛlina
ďateľ	ɟacɛʎ
šatka	ʃatka
šaty	ʃati
šatôčka	ʃatu̯ɔt͡ʃka
čau	t͡ʃau̯
ťava	cava
žať	ʒac
čaša	t͡ʃaʃa
ťažký	caʃkiː
žbrnda	ʒbr̩nda
žbŕnd	ʒbr̩ːnt
že	ʒɛ
čech	t͡ʃɛx
čechizmus	t͡ʃɛxizmus
čechy	t͡ʃɛxi
čej	t͡ʃɛj
želanie	ʒɛɫaɲi̯ɛ
želať	ʒɛɫac
železo	ʒeɫezɔ
železo	ʒeʎezɔ
želmíra	ʒɛɫmiːra
čelo	t͡ʃɛɫɔ
žemlička	ʒɛmlit͡ʃka
žemľa	ʒɛmʎa
žena	ʒena
ženami	ʒɛnami
ženatý	ʒɛnatiː
žene	ʒɛɲɛ
ženou	ʒenɔu̯
ženu	ʒenu
ženy	ʒeni
ženách	ʒɛnaːx
ženám	ʒɛnaːm
čerešňa	t͡ʃɛrɛʃɲa
žeriav	ʒɛri̯au̯
černica	t͡ʃɛrɲit͡sa
černoch	t͡ʃɛrnɔx
žerucha	ʒɛruxa
červ	t͡ʃɛrw
červený	t͡ʃɛrvɛniː
česko	t͡ʃɛskɔ
československo	t͡ʃɛskɔsɫɔvɛnskɔ
český	t͡ʃeskiː
šestnásť	ʃɛstnaːsc
česť	t͡ʃɛsc
šesť	ʃɛst
čečensko	t͡ʃet͡ʃenskɔ
čečenský	t͡ʃɛt͡ʃɛnskiː
čeština	t͡ʃɛʃcina
žgrloš	ʒɡr̩ɫɔs
či	t͡ʃi
žiak	ʒi̯ak
čiapka	t͡ʃi̯apka
čiapočka	t͡ʃi̯apɔt͡ʃka
čiaročka	t͡ʃi̯arɔt͡ʃka
žiačik	ʒi̯at͡ʃik
žiačík	ʒi̯at͡ʃiːk
žid	ʒit
žien	ʒi̯en
čierny	t͡ʃi̯erni
šiesty	ʃi̯ɛsti
žigmund	ʒiɡmund
žihľava	ʒiɦʎava
žihľavka	ʒiɦʎau̯ka
šija	ʃija
žila	ʒiɫa
žiletka	ʒilɛtka
žilina	ʒilina
šimpanz	ʃimpans
čin	t͡ʃin
činnosť	t͡ʃinnɔsc
žinčica	ʒint͡ʃit͡sa
čipka	t͡ʃipka
žirafa	ʒirafa
žirafí	ʒirafiː
čistej	t͡ʃiscɛj
čistý	t͡ʃistiː
čivava	t͡ʃivava
život	ʒivɔt
životopis	ʒivɔtɔpis
živočích	ʒivɔt͡ʃiːx
živý	ʒiviː
žiť	ʒic
čiže	t͡ʃiʒɛ
žičiť	ʒit͡ʃic
šiška	ʃiʃka
čižma	t͡ʃiʒma
čižmička	t͡ʃiʒmit͡ʃka
škandinávia	ʃkandinaːvia
škandinávie	ʃkandinaːviɛ
škandál	ʃkandaːɫ
škatuľa	ʃkatuʎa
škoda	ʃkɔda
škola	ʃkɔɫa
škorec	ʃkɔrɛt͡s
škorica	ʃkɔrit͡sa
škorpión	ʃkɔrpiɔːn
škorčí	ʃkɔrt͡ʃiː
škovránok	ʃkɔvraːnɔk
škrečok	ʃkrɛt͡ʃɔk
škriabať	ʃkri̯abac
škrt	ʃkr̩t
škrupina	ʃkrupina
škrupinka	ʃkrupiŋka
škvrna	ʃkvr̩na
škvŕn	ʃkvr̩ːn
škál	ʃkaːɫ
škála	ʃkaːɫa
škáročka	ʃkaːrɔt͡ʃka
škót	ʃkɔːt
škóti	ʃkɔːci
škótsko	ʃkɔːtskɔ
škótsky	ʃkɔːtski
škótština	ʃkɔːtʃcina
členok	t͡ʃlɛnɔk
čln	t͡ʃɫ̩n
žlna	ʒɫ̩na
človek	t͡ʃɫɔvɛk
človiečik	t͡ʃɫɔvi̯ɛt͡ʃik
žltý	ʒɫ̩tiː
žlť	ʒɫ̩t
žlč	ʒɫ̩t͡ʃ
čmeľ	t͡ʃmɛʎ
šmrnc	ʃmr̩nt͡s
žmýkačka	ʒmiːkat͡ʃka
žni	ʒɲi
čo	t͡ʃɔ
žofia	ʒɔfia
šofér	ʃɔfɛːr
šok	ʃɔk
čokoláda	t͡ʃɔkɔɫaːda
čomu	t͡ʃɔmu
šopron	ʃɔprɔn
čoskoro	t͡ʃɔskɔrɔ
šou	ʃɔw
šošovica	ʃɔʃɔvit͡sa
šošovka	ʃɔʃɔu̯ka
špageta	ʃpaɡɛta
špagety	ʃpaɡɛti
španielsko	ʃpaɲi̯ɛɫskɔ
španielčina	ʃpaɲi̯ɛɫt͡ʃina
čpavok	t͡ʃpavɔk
špekulácia	ʃpekuɫaːt͡sia
špenát	ʃpɛnaːt
špicbergy	ʃpit͡sbɛrɡi
šplh	ʃpɫ̩x
šprt	ʃpr̩t
žreb	ʒrɛp
čremcha	t͡ʃrɛmxa
črep	t͡ʃrɛp
črevo	t͡ʃrɛvɔ
žriebä	ʒri̯ebe
žriebä	ʒri̯ebæ
žriebäcí	ʒri̯bɛt͡siː
žriebäcí	ʒri̯ɛbæt͡siː
črieda	t͡ʃri̯ɛda
črta	t͡ʃr̩ta
žrď	ʒr̩c
ľstivý	ʎsciviː
štart	ʃtart
štefan	ʃcɛfan
štefánia	ʃcɛfaːnia
štiny	ʃcini
štopeľ	ʃtɔpɛʎ
štrajk	ʃtrajk
štrajkovať	ʃtrajkɔvac
štrk	ʃtr̩k
štrkáč	ʃtr̩kaːt͡ʃ
štrnásť	ʃtr̩naːsc
študent	ʃtudɛnt
štvrtok	ʃtvr̩tɔk
štvrtý	ʃtvr̩tiː
štyri	ʃtiri
štyridsať	ʃtirit͡sac
štát	ʃtaːt
štátny	ʃtaːtni
štóla	ʃtɔːɫa
ľuba	ʎuba
ľubica	ʎubit͡sa
ľubo	ʎubɔ
ľubomír	ʎubɔmiːr
ľubomíra	ʎubɔmiːra
ľubor	ʎubɔr
ľuboslav	ʎubɔsɫau̯
ľuboslava	ʎubɔsɫava
ľuboš	ʎubɔʃ
žubrienka	ʒubri̯ɛŋka
ľubľana	lʲublʲana
čuchať	t͡ʃuxac
ľuda	ʎuda
ľudia	ʎuɟi̯a
ľudmila	ʎudmiɫa
čudný	t͡ʃudniː
ľudo	ʎudɔ
ľudomil	ʎudɔmiɫ
ľudomila	ʎudɔmiɫa
ľudovít	ʎudɔviːt
čujný	t͡ʃujniː
žurnalista	ʒurnalista
žurnalistika	ʒurnalistika
žurnalistka	ʒurnalistka
žurnál	ʒurnaːɫ
žuvať	ʒuvac
žuvačka	ʒuvat͡ʃka
čučoriedka	t͡ʃut͡ʃɔri̯ɛtka
švagor	ʃvaɡɔr
švajčiarsko	ʃvajt͡ʃi̯arskɔ
švéd	ʃʋeːt
švédka	ʃʋeːtka
švédsko	ʃvɛːtskɔ
švédsky	ʃvɛːtski
švédčina	ʃvɛːtt͡ʃina
šálka	ʃaːɫka
šáločka	ʃaɫɔt͡ʃka
žíla	ʒiːɫa
čím	t͡ʃiːm
čína	t͡ʃiːna
čínsky	t͡ʃiːnski
šíp	ʃiːp
šípka	ʃiːpka
číselný	t͡ʃiːsɛɫniː
číslo	t͡ʃiːsɫɔ
číslovka	t͡ʃiːsɫɔu̯ka
číslovky	t͡ʃiːsɫɔu̯ki
čítať	t͡ʃiːtac
žízeň	ʒiːzɛɲ
číňan	t͡ʃiːɲan
číňanka	t͡ʃiːɲaŋka
šógun	ʃɔːɡun
šľachtic	ʃʎaxcit͡s
čŕt	t͡ʃr̩ːt
žĺtkový	ʒɫ̩ːtkɔviː
žĺtok	ʒɫ̩ːtɔk
šťúr	ʃcuːr
