а	ʔ aː
къуапсӏэ	qʷ aː p s ʼ a
къуапцӏэ	qʷ aː p t͡s ʼ a
къуапэ	qʷ aː p a
къуахъо	qʷ aː χʷ a
къуашъо	qʷ aː ʂʷ a
къуащэ	qʷ aː ɕ a
къуащэу	qʷ aː ɕ a w
къугъо	qʷ ə ʁʷ a
къуджыр	qʷ ə d͡ʒ ə r
къудыин	qʷ ə d ə j ə n
къужъы	qʷ ə ʐ ə
къузмэзадэ	qʷ ə z m a z aː d a
къуладжэ	qʷ ə ɮ aː d͡ʒ a
къулъфыгъэ	qʷ ə ɬ f ə ʁ a
къупышъхьэ	qʷ ə p ə ʂ ħ a
къурнэ	qʷ ə r n a
къутамэ	qʷ ə t aː m a
къутыр	qʷ ə t ə r
къутэн	qʷ ə t a n
къухьэ	qʷ ə ħ a
къухьэбыб	qʷ ə ħ a b ə b
къухьэлъат	qʷ ə ħ a ɬ aː t
къухьэтӏысыпӏ	qʷ ə ħ a t ʼ ə s ə p ʼ
къухьэуцупӏэ	qʷ ə ħ a w t͡sʷ ə p ʼ a
къушъхьэ	qʷ ə ʂ ħ a
къуэдэс	qʷ a d a s
къыблэ	q ə b l a
къыгъэ	q ə ʁ a
къыдэкӏохьын	q ə d a kʷ ʼ a ħ ə n
къыдэкӏухьан	q ə d a kʷ ʼ ə ħ aː n
къызбэч	q ə z b aː kʲ
къызбэч	q ə z b aː t͡ʃ
къыин	q ə j ə n
къыкъокӏын	q ə qʷ a t͡ʃ ʼ ə n
къыкӏышын	q ə t͡ʃ ə ʃ ə n
къылъыкӏотэн	q ə ɬ ə kʷ ʼ a t a n
къын	q ə n
къыпцӏэ	q ə p t͡ʃ a
къыпылэлын	q ə p ə ɮ a ɮ ə n
къыпыщын	q ə p ə ɕ ə n
къырегъэхьын	q ə r e ʁ a ħ ə n
къытегъэзын	q ə t a j ʁ a z ə n
къытегъэзэн	q ə t a j ʁ a z a n
къытэгъэзэн	q ə t a ʁ a z a n
къыухьан	q ə w ə ħ aː n
къыфифэн	q ə f ə j f a n
къыхэущыкӏын	q ə x a w ɕ ə t͡ʃ ʼ ə n
къыхэущыкӏьын	q ə x a w ɕ ə kʲ ʼ ə n
къыцэ	q ə t͡s a
къычӏэгъэкӏын	q ə t͡ʃ ʼ a ʁ a kʲ ʼ ə n
къычӏэгъэкӏьын	q ə t͡ʃ ʼ a ʁ a kʲ ʼ ə n
къычӏэгъэщын	q ə t͡ʂ ʼ a ʁ a ɕ ə n
къычӏэхын	q ə t͡ʃ ʼ a x ə n
къычӏэщын	q ə t͡ʂ ʼ a ɕ ə n
къыщинэн	q ə ɕ i n a n
къыщыкӏэн	q ə ɕ ə t͡ʃ ʼ a n
къыӏэкӏэхьэн	q ə ʔ a t͡ʃ ʼ a ħ aː n
къыӏэпхъотэн	q ə ʔ a p χʷ a t a n
къыӏэхын	q ə ʔ a x ə n
къэ	q a
къэбар	q a b aː r
къэбарыпцӏы	q a b aː r ə p t͡s ʼ ə
къэбаскъэ	q a b aː s q a
къэбастхъэ	q a b aː s t χ a
къэбкӏэ	q a b kʲ ʼ a
къэбы	q a b ə
къэбыпцӏэ	q a b ə p t͡s a
къэбэкъао	q a b a q aː w a
къэбэртай	q a b a r t aː j
къэбэртайбзэ	q a b a r t aː j b z a
къэвкъаз	q a f q aː z
къэвкъаз	q a v q aː z
къэгужъон	q a ɡʷ ə ʒʷ a n
къэгъагъэ	q a ʁ aː ʁ a
къэгъуен	q a ʁʷ a j ə n
къэгъэгъунэн	q a ʁ a ʁ a ʁʷ ə n a n
къэгъэзэгъу	q a ʁ a z a ʁʷ
къэгъэзэн	q a ʁ a z a n
къэгъэкӏэхьын	q a ʁ a t͡ʃ a ħ ə n
къэгъэлъэгъоны	q a ʁ a ɬ a ʁʷ a n ə
къэгъэнэжьын	q a ʁ a n a ʑ ə n
къэгъэнэн	q a ʁ a n a n
къэгъэуцун	q a ʁ a w t͡sʷ ə n
къэгъэучъыӏын	q a ʁ a w t ʂ ə ʔ ə n
къэгъэущын	q a ʁ a w ɕ ə n
къэгъэфын	q a ʁ a f ə n
къэгъэхъэн	q a ʁ a χ a n
къэгъэхын	q a ʁ a x ə n
къэгъэӏун	q a ʁ a ʔʷ ə n
къэжьын	q a ʑ ə n
къэи	q a j ə
къэин	q a q ə j ə n
къэкъун	q a qʷ ə n
къэкъушъун	q a qʷ ə ʃʷ ə n
къэкъыин	q a q ə j ə n
къэкӏожьын	q a kʷ ʼ a ʑ ə n
къэкӏорэгъэ	q a kʷ ʼ a r a ʁ a
къэкӏорэтхьэмафэ	q a kʷ ʼ a r a t ħ a m aː f a
къэкӏохьын	q a kʷ ʼ a ħ ə n
къэкӏухьан	q a kʷ ʼ ə ħ aː n
къэкӏыгъэхэр	q a kʲ ʼ ə ʁ a x a r
къэкӏыгъэхэр	q a t͡ʃ ʼ ə ʁ a x a r
къэлапчъ	q a l aː p t͡ʃ
къэлъфын	q a ɬ f ə n
къэлъы	q a ɬ ə
къэлыдын	q a ɮ ə d ə n
къэлэдэс	q a ɮ a d a s
къэлэм	q a l a m
къэлэмдалъхьэ	q a l a m d aː ɬ ħ a
къэлэсэраи	q a l a s a r aː j ə
къэлэсэрай	q a l a s a r aː j
къэмлан	q a m l aː n
къэмэхын	q a m a x ə n
къэнэн	q a n a n
къэнэхъэжьын	q a n a χ a ʑ ə n
къэон	q a w a n
къэплъан	q a p ɬ aː n
къэптан	q a p t aː n
къэпшӏэжын	q a p ʃ ʼ a ʑ ə n
къэпшӏэн	q a p ʃ ʼ a n
къэпы	q a p ə
къэраб	q a r aː b
къэрабгъэ	q a r aː b ʁ a
къэрал	q a r aː ɮ
къэралыгъу	q a r aː ɮ ə ʁʷ
къэркъэтэн	q a r q a t a n
къэрэбгъэ	q a r a b ʁ a
къэрэгъул	q a r a ʁʷ ə l
къэрэу	q a r a w
къэсшъхьэпкӏьэтын	q a s ʂ ħ a p kʲ ʼ a t ə n
къэсшъхьэпкӏэтын	q a s ʂ ħ a p kʲ ʼ a t ə n
къэсын	q a s ə n
къэсэхын	q a s a x ə n
къэсӏын	s ʼ ə n
къэугъоин	q a w ʁʷ a j ə n
къэутхын	q a w ə t x ə n
къэучъыӏын	q a w t ʂ ə ʔ ə n
къэущын	q a p ɕ ə n
къэфын	q a f ə n
къэхалъэ	q a x aː ɬ a
къэхъун	q a χʷ ə n
къэхъушъун	q a χʷ ə ʃʷ ə n
къэхын	q a x ə n
къэхьо	q a ħ w a
къэхьпэ	q a ħ p a
къэхьуашъо	q a ħ w aː ʂʷ a
къэхьын	q a ħ ə n
къэхьыо	q a ħ w a
къэхьыпэ	q a ħ ə p a
къэхьыуашъо	q a ħ w aː ʂʷ a
къэц	q a t͡s
къэцы	q a t͡s ə
къэцыгъуан	q a t͡s ə ʁʷ aː n
къэцӏын	t͡s ʼ ə n
къэцӏыон	q a t͡s ʼ ə w a n
къэшъон	q a ʂʷ a n
къэшъуакӏо	q a ʃʷ aː kʷ ʼ a
къэшӏэжын	q a ʃ ʼ a ʑ ə n
къэшӏэн	q a ʃ ʼ a n
къэщыпын	ʔʷ ə x ə n
къэщэгъу	q a ɕ a ʁʷ
къэщэкьын	q a ɕ a kʲ ə n
къэщэн	q a ɕ a n
къэщэчын	q a ɕ a t͡ʃ ə n
кьэ	kʲ a
кьэн	kʰ a n
кьэпчъэӏу	kʲ a p t͡ʂ a ʔʷ
кьэрхъон	kʲ a r χʷ a n
кьэт	kʲ a t
кьэтжъые	kʲ a t ʐ ə j
кьэтыу	kʲ a t ə w
кьэупчъэ	kʲ a w ə p t͡ʂ a
кьэфы	kʲ a f ə
кӏай	t͡ʃ ʼ aː j
кӏако	t͡ʃ ʼ aː kʷ a
кӏакӏо	t͡ʃ aː kʷ ʼ a
кӏакӏы	kʲ aː t͡ʃ ə
кӏакӏы	t͡ʃ aː t͡ʃ ə
кӏалэ	t͡ʃ ʼ aː l a
кӏалэ	t͡ʃ ʼ aː ɮ a
кӏапсэ	t͡ʃ ʼ aː p s a
кӏапсэрыкӏо	t͡ʃ ʼ aː p s a r ə kʷ ʼ a
кӏапэ	kʲ aː p a
кӏапэ	t͡ʃ aː p a
кӏасэ	t͡ʃ ʼ aː s a
кӏашъо	t͡ʃ ʼ aː ʃʷ a
кӏежьэжьын	ʔʷ a r ə ʃ ʼ a
кӏодыгъошӏу	kʷ ʼ a d ə ʁʷ a ʃʷ ʼ
кӏодыжьыгъошӏу	kʷ ʼ a d ə ʑ ə ʁʷ a ʃʷ ʼ
кӏодын	kʷ ʼ a d ə n
кӏожьын	kʷ ʼ a ʑ ə n
кӏолӏэн	j a kʷ ʼ a ɬ ʼ a n
кӏон	kʷ ʼ a n
кӏосэн	kʷ ʼ a s a n
кӏотэн	kʷ ʼ a t a n
кӏоцӏы	kʷ ʼ a t͡s ʼ ə
кӏоцӏылъхьэн	kʷ ʼ a t͡s ʼ ə ɬ ħ a n
кӏоцӏыхьан	kʷ ʼ a t͡s ʼ ə ħ aː n
кӏоцӏыщыхьан	kʷ ʼ a t͡s ʼ ə ɕ ə ħ aː n
кӏоцӏыщыхьэн	kʷ ʼ a t͡s ʼ ə ɕ ə ħ a n
кӏочӏагъэ	kʷ ʼ a t͡ʃ ʼ aː ʁ a
кӏочӏадж	kʷ ʼ aː t͡ʂ ʼ aː d͡ʒ
кӏошъэн	kʷ ʼ a ʂ a n
кӏошын	kʷ ʼ a ʃ ə n
кӏуадж	kʷ ʼ aː d͡ʒ
кӏуапӏэ	kʷ ʼ aː p ʼ a
кӏуачӏэ	kʷ ʼ aː t͡ʃ ʼ a
кӏун	kʷ ʼ ə n
кӏурэжъый	kʷ ʼ ə r a ʐ ə j
кӏуснэщаб	kʷ ʼ ə s n a ɕ aː b
кӏыб	t͡ʃ ʼ ə b
кӏыгъун	t͡ʃ ʼ ə ʁʷ ə n
кӏыин	m a t͡ʃ ʼ ə j ə n
кӏый	kʲ ʼ ə i j
кӏыкӏьай	t͡ʃ ə kʲ aː j
кӏымафэ	t͡ʃ ʼ ə m aː f a
кӏын	t͡ʃ ʼ ə n
кӏырыун	t͡ʃ ʼ ə r ə w ə n
кӏыфы	t͡ʃ ʼ ə f ə
кӏыхьэ	t͡ʃ ʼ ə ħ a
кӏыхьэлыхьэ	t͡ʃ ʼ ə ħ a ɮ ə ħ a
кӏышъу	t͡ʃ ə ʂʷ
кӏыӏу	t͡ʃ ʼ ə ʔʷ
кӏьако	kʲ ʼ aː kʷ a
кӏьакӏьэ	kʲ ʼ aː kʲ ʼ a
кӏьапсэ	kʲ ʼ aː p s a
кӏьасэ	kʲ ʼ aː s a
кӏьашъо	kʲ ʼ aː ʃʷ a
кӏьыин	kʲ ʼ ə j ə n
кӏьэ	kʲ ʼ a
кӏьэй	kʲ ʼ a j
кӏьэлъыон	kʲ ʼ a ɬ ə w ə n
кӏьэлъыун	kʲ ʼ a ɬ ə w ə n
кӏьэмгуе	kʲ ʼ a m ɡʷ ə j a
кӏьэнлъэ	kʲ ʼ a n ɬ a
кӏьэрахъо	kʲ ʼ a r aː χʷ a
кӏьэрыт	kʲ ʼ a r ə t
кӏьэтхъэн	kʲ ʼ a t χ a n
кӏьэхьы	kʲ ʼ a ħ ə
кӏьэхьылэхь	kʲ ʼ a ħ ə l a ħ
кӏэ	k ʼ a
кӏэ	t͡ʃ ʼ a
кӏэгъожьын	t͡ʃ a ʁʷ a ʑ ə n
кӏэгъэгъожьын	t͡ʃ ʼ a ʁ a ʁʷ a ʑ ə n
кӏэгьэн	t͡ʃ ʼ a ɡʲ a n
кӏэджэн	t͡ʃ ʼ a d͡ʒ a n
кӏэегъулъын	t͡ʃ ʼ a j a ʁʷ ə ɬ ə n
кӏэен	t͡ʃ ʼ a j a n
кӏэй	t͡ʃ ʼ a j
кӏэко	kʲ ʼ aː kʷ a
кӏэко	t͡ʃ ʼ aː kʷ a
кӏэкъэпс	t͡ʃ a q a p s
кӏэкӏьащын	t͡ʃ ʼ a kʲ ʼ aː ɕ ə n
кӏэлъыкӏон	t͡ʃ a ɬ ə kʷ ʼ a n
кӏэлъыон	t͡ʃ ʼ a ɬ ə w ə n
кӏэлъыун	t͡ʃ ʼ a ɬ ə w ə n
кӏэлъэтэкьын	t͡ʃ a ɬ a t a kʲ ə n
кӏэлъэӏун	t͡ʃ ʼ a ɬ a ʔʷ ə n
кӏэлэ	t͡ʃ a l a
кӏэлэгъу	t͡ʃ a l a ʁʷ
кӏэлэегъагь	t͡ʃ ʼ a l a ʁ aː ɡʲ
кӏэлэегъадж	t͡ʃ ʼ a ɮ a ʁ aː d͡ʒ
кӏэлэегьакӏо	t͡ʃ ʼ a l a j a ɡʲ aː kʷ ʼ a
кӏэлэеджакӏо	t͡ʃ ʼ a ɮ a j a d͡ʒ aː kʷ ʼ a
кӏэлэхъу	t͡ʃ ʼ a ɮ a χʷ
кӏэлэхъуцӏыкӏу	t͡ʃ ʼ a ɮ a χʷ t͡s ʼ ə kʷ ʼ
кӏэмгуе	t͡ʃ ʼ a m ɡʷ ə j a
кӏэн	t͡ʃ ʼ a n
кӏэнкӏэ	t͡ʃ ʼ a n t͡ʃ ʼ a
кӏэнкӏэжъапхъэ	t͡ʃ a n t͡ʃ a ʐ aː p χ a
кӏэнлъэ	t͡ʃ ʼ a n ɬ a
кӏэнэкӏэн	t͡ʃ ʼ a n a t͡ʃ ʼ a n
кӏэп	t͡ʃ ʼ a p
кӏэпхъ	t͡ʃ ʼ a p χ
кӏэпхын	t͡ʃ ʼ a p x ə n
кӏэпщ	t͡ʃ ʼ a p ɕ
кӏэпщы	t͡ʃ ʼ a p ɕ ə
кӏэракӏ	t͡ʃ ʼ a r aː t͡ʃ ʼ
кӏэрахъо	t͡ʃ ʼ a r aː χʷ a
кӏэрхъон	t͡ʃ ʼ a r χʷ a n
кӏэрыкӏэу	t͡ʃ ʼ a r ə t͡ʃ ʼ a w
кӏэрэон	t͡ʃ ʼ a r a w a n
кӏэрэхъоцыкӏу	t͡ʃ a r a χʷ a t͡s ə kʷ ʼ
кӏэсэн	t͡ʃ a s a n
кӏэтал	kʲ ʼ a t aː l
кӏэтал	t͡ʃ ʼ a t aː l
кӏэтхъун	t͡ʃ ʼ a t χʷ ə n
кӏэтхъэн	t͡ʃ ʼ a t χ a n
кӏэтыл	kʲ ʼ a t ə l
кӏэтыл	t͡ʃ ʼ a t ə l
кӏэтыщх	kʲ a t ə ɕ x
кӏэтыщх	t͡ʃ a t ə ɕ x
кӏэтӏэй	t͡ʃ a t ʼ a j
кӏэупкӏэн	t͡ʃ ʼ a w p t͡ʃ ʼ a n
кӏэупхъухьан	t͡ʃ a w p χʷ ə ħ aː n
кӏэух	t͡ʃ ʼ a w ə x
кӏэхъопсын	t͡ʃ ʼ a χʷ a p s əː n
кӏэхьан	t͡ʃ ʼ ə ħ aː n
кӏэхьы	t͡ʃ ʼ a ħ ə
кӏэхэкӏын	t͡ʃ a x a t͡ʃ ə n
кӏэшъун	t͡ʃ ʼ a ʃʷ ə n
кӏэшӏэн	t͡ʃ ʼ a ʃ ʼ a n
кӏэщакӏо	t͡ʃ a ɕ aː kʷ ʼ a
кӏэӏэжьын	t͡ʃ ʼ a ʔ a ʑ ə n
лавэ	l aː v a
лагъымэ	ɮ aː ʁ ə m a
лагъэ	l aː ʁ a
лалэ	l aː l a
ланчъэ	l aː n t͡ʃ a
лачэ	l aː t͡ʃ a
лимон	l i m ɔ n
лъагъо	ɬ aː ʁʷ a
лъагэ	ɬ aː ɣ a
лъакъо	ɬ aː qʷ a
лъапсэ	ɬ aː p s a
лъапсӏэ	ɬ aː p s ʼ a
лъапцӏэ	ɬ aː p t͡s ʼ a
лъапэ	ɬ aː p a
лъапӏэ	ɬ aː p ʼ a
лъасэ	ɬ aː s a
лъашъхьэ	ɬ aː ʂ ħ a
лъащэ	ɬ aː ɕ a
лъежьэн	ɬ a j ʑ a n
лъежэн	ɬ a j ʒ a n
лъфащэ	ɬ f aː ɕ a
лъфыгъэ	ɬ f ə ʁ a
лъфын	ɬ f ə n
лъфэн	ɬ f a n
лъы	ɬ ə
лъыгъачъэ	ɬ ə ʁ aː t͡ʂ a
лъыкӏон	ɬ ə kʷ ʼ a n
лъыкӏотэн	ɬ ə kʷ ʼ a t a n
лъыкӏошъэн	ɬ ə kʷ ʼ a ʂ a n
лъынтфэ	ɬ ə n t f a
лъынэ	ɬ ə n a
лъыплъэн	ɬ ə p ɬ a n
лъытфэ	ɬ ə t f a
лъытэн	ɬ ə t a n
лъытэныгъ	ɬ ə t a n ə ʁ
лъыфыгъэ	ɬ f ə ʁ a
лъыхъун	ɬ ə χʷ ə n
лъычъэн	ɬ ə t͡ʂ a n
лъышӏэжь	ɬ ə ʃ ʼ a ʑ
лъышӏэжьакӏо	ɬ ə ʃ ʼ a ʑ aː kʷ ʼ a
лъышӏэжьын	ɬ ə ʃ ʼ a ʑ ə n
лъыӏэбэн	ɬ ə ʔ a b a n
лъыӏэсын	ɬ ə ʔ a s ə n
лъэ	ɬ a
лъэбакъу	ɬ a b aː qʷ
лъэбжъанэ	ɬ a p ʐ aː n a
лъэбыӏу	ɬ a b ə ʔʷ
лъэбэкъу	ɬ a b a qʷ
лъэгу	ɬ a ɡʷ
лъэгуаджэ	ɬ a ɡʷ aː d͡ʒ a
лъэгуанджэ	ɬ a ɡʷ aː n d͡ʒ a
лъэгъуае	ɬ a ʁʷ aː j a
лъэгъуен	ɬ a ʁʷ ə j a n
лъэгъун	p ɬ a ʁʷ ə n
лъэгъупхъ	ɬ a ʁʷ ə p χ
лъэдакъэ	ɬ a d aː q a
лъэецуакъо	ɬ a j a t͡sʷ aː qʷ a
лъэжъуагъ	ɬ a ʐʷ aː ʁ
лъэкъопцӏанэ	ɬ a qʷ a p t͡s ʼ aː n a
лъэкъорыгъачъэ	ɬ a qʷ a r ə ʁ aː t͡ʂ a
лъэкъуапсӏ	ɬ a qʷ aː p s ʼ
лъэкъуапцӏ	ɬ a qʷ aː p s ʼ
лъэкъуапцӏ	ɬ a qʷ aː p t͡s ʼ
лъэкъуасӏэ	ɬ a qʷ aː s ʼ a
лъэкъуацӏэ	ɬ a qʷ aː t͡s ʼ a
лъэкӏ	ɬ a t͡ʃ ʼ n
лъэкӏапӏ	ɬ a t͡ʃ aː p ʼ a
лъэкӏапӏэ	ɬ a t͡ʃ aː p ʼ
лъэкӏоцӏ	ɬ a kʷ ʼ a t͡s ʼ
лъэкӏын	ɬ a kʲ ʼ ə n
лъэкӏын	ɬ a t͡ʃ ʼ ə n
лъэкӏь	ɬ a k ʼʲ
лъэкӏэн	ɬ a t͡ʃ a n
лъэмыдж	ɬ a m ə d͡ʒ
лъэн	ɬ a n
лъэныкъу	ɬ a n ə qʷ
лъэныкъуащ	ɬ a n ə qʷ aː ɕ
лъэой	ɬ a w a j
лъэпапцӏэ	ɬ a p aː p t͡s ʼ a
лъэпкъ	ɬ a p q
лъэпкъгъэкӏод	ɬ a p q ʁ a kʷ ʼ a d
лъэпкъэгъу	ɬ a p q
лъэпс	ɬ a p s
лъэпхъабэ	ɬ a p χ aː b a
лъэпщ	ɬ a p ɕ
лъэпщ	ɬ a p ʃʷ
лъэпэд	ɬ a p a d
лъэпэон	ɬ a p a w a n
лъэпэпсӏий	ɬ a p a p s ʼ ə j
лъэпӏаӏо	ɬ a p ʼ aː ʔʷ a
лъэрыгъачъэ	ɬ a r ə ʁ aː t͡ʂ a
лъэрымыхь	ɬ a r ə m ə ħ
лъэрычъ	ɬ a r ə t͡ʂ
лъэсы	ɬ a s ə
лъэтэн	ɬ a t a n
лъэу	ɬ a w
лъэубакъу	ɬ a w b aː qʷ
лъэуж	ɬ a w ə ʒ
лъэужь	ɬ a w ə ʑ
лъэужьэу	ɬ a w ʑ ə m ə j
лъэхъан	ɬ a χ aː n
лъэхъаны	ɬ a χ aː n ə
лъэхъомбэшх	ɬ a χʷ a m b a ʃ x
лъэхъуамбэ	ɬ a χʷ aː m b a
лъэхьэ	ɬ a ħ a
лъэхэнэн	ɬ a x a n a n
лъэш	ɬ a ʃ
лъэшъун	ɬ a ʃʷ ə n
лъэшы	ɬ a ʃ ə
лъэшыдж	ɬ a ʃ ə d͡ʒ
лъэшыӏо	ɬ a ʃ ə ʔʷ a
лъэшэу	ɬ a ʃ a w
лъэӏуакӏо	ɬ a ʔʷ aː kʷ ʼ a
лы	l ə
лы	ɮ ə
лыгъон	ɮ ə ʁʷ a n
лыдын	ɮ ə d ə n
лые	ɮ ə j a
лыкъумэ	l ə qʷ m a
лымышх	l ə m ə ʃ x
лыпцэ	l ə p t͡s a
лыпцӏэ	l ə p t͡s ʼ a
лышъутӏэ	l ə ʃʷ t ʼ a
лэблэбый	l a b l a b ə j
лэгъу	l a ʁʷ
лэгъунэ	ɮ a ʁʷ n a
лэгъупкъопс	l a ʁʷ ə p ʕʷ a p s
лэгъупышху	l a ʁʷ ə p ə ʃ xʷ
лэгъупэкъопс	l a ʁʷ ə p a ʕʷ a p s
лэгьэн	ɮ a ɡʲ a n
лэджэн	ɮ a d͡ʒ a n
лэжьакӏу	l a ʑ aː kʷ ʼ
лэжьын	ɮ a ʑ ə n
лэжьэн	l a ʑ a n
лэлэн	l a l a n
лэн	l a n
лэн	ɮ a n
лэныстэ	l a n ə s t a
лӏагъэ	ɬˤ ʼ aː ʁ a
лӏакъо	ɬ ʼ aː qʷ a
лӏапӏэ	ɬ ʼ aː p ʼ a
лӏы	ɬ ʼ ə
лӏыгъэ	ɬ ʼ ə ʁ a
лӏыгъэкӏэ	ɬ ʼ ə ʁ a t͡ʃ ʼ a
лӏыжъы	ɬ ʼ ə ʐ ə
лӏыжъыгъу	ɬ ʼ ə ʐ ə ʁʷ
лӏыжъыпӏ	ɬ ʼ ə ʐ ə p ʼ
лӏыжъышъ	ɬ ʼ ə ʐ ə ʂ
лӏыкӏо	ɬ ʼ ə kʷ ʼ a
лӏыкӏын	ɬˤ ʼ ə kʲ ʼ ə n
лӏымыш	ɬ ʼ ə m ə ʃ
лӏыукӏ	m a χ aː d͡ʒ a
лӏыхъу	ɬ ʼ ə χʷ
лӏыхъужъ	ɬ ʼ ə χʷ ə ʐ
лӏышъхьэ	ɬ ʼ ə ʂ ħ a
лӏэкъолъэш	ɬ a qʷ a ɬ a ʃ
лӏэкъуацӏэ	ɬ ʼ a qʷ aː t͡s ʼ a
лӏэн	ɬ ʼ a n
лӏэныгъ	ɬˤ ʼ a n ə ʁ
лӏэу	ɬ ʼ a w
лӏэуж	ɬ ʼ a w ə ʒ
лӏэужыгъо	ɬ ʼ a w ʒ ə ʁʷ a
лӏэужьыгъо	ɬ ʼ a w ʑ ə ʁʷ a
лӏэшӏэгъу	ɬˤ ʼ a ʃ ʼ a ʁʷ
мажьэ	m aː ʑ a
мазэ	m aː z a
маймун	m a j m u n
майтэ	m aː j t a
макъэ	m aː q a
макӏэ	m aː t͡ʃ a
малхъо	m aː l χʷ a
малъхъо	m aː ɬ χʷ a
мамыщ	aː f ə
манэ	m aː n a
мастэ	m aː s t a
матхъэжьын	m aː t χ a ʑ ə n
матэ	m aː t a
мафэ	m aː f a
махълъэ	m aː χ ɬ a
махъсымэ	m aː χ s ə m a
махъушэ	m aː χʷ ə ʃ a
махъушэбзу	m aː χʷ ʃ a b z ə w
махъушэчэтыу	m aː χʷ ə ʃ a kʲ a t ə w
махъушэчэтыу	m aː χʷ ə ʃ a t͡ʃ a t ə w
махъчэ	m aː χ t͡ʃ a
махъчэбзу	m aː χ t͡ʃ a b z ə w
махъшэбзу	m aː χ t͡ʃ a b z ə w
махъэ	m aː χ a
махь	m aː ħ
махэ	m aː x a
мацӏэ	m aː t͡s ʼ a
машинэ	m aː ʃ i n a
машинэ	m aː ʃ ə n a
машэ	m aː ʃ a
машӏо	m aː ʃʷ ʼ a
маӏьэ	m aː ʔʲ a
мин	m i n
минитӏу	m i n i tʷ ʼ
модэ	m a w d a
мусэ	m ə w s a
мы	m ə
мыгъо	m ə ʁʷ a
мыгъэ	m a ʁ a
мыгьыр	m ə ɡʲ ə r
мыджыр	m ə d͡ʒ ə r
мыдэ	m ə d a
мые	m ə j a
мыжъо	m ə ʐʷ a
мыжъодэбыш	m ə ʐʷ a d a m ə ʃ
мыжъокӏашъхъ	m ə ʐʷ a kʲ aː ʂ χ
мыжъуакӏэ	m ə ʐʷ aː t͡ʃ a
мызуэ	m ə v a
мызуэ	m ə zʷ a
мызуэ	m ə ʒʷ a
мыкӏэ	m ə t͡ʃ ʼ a
мылъку	m ə ɬ ə kʷ
мылъфыкъо	m ə ɬ f ə qʷ a
мылъыку	m ə ɬ ə kʷ
мылы	m ə ɮ ə
мыпытэ	m ə p ə t a
мыст	m ə s t
мысэ	m ə s a
мытэрэз	m ə t a r a z
мыхъатэ	m ə χ aː t a
мыхъомышӏ	m ə χʷ a m ə ʃ ʼ
мыхъумыбз	m ə χʷ ə m ə b z
мыхьэнэ	m ə ħ a n a
мычӏы	m ə t͡ʃ ə
мышкӏу	m ə ʃ kʷ
мышъыпкъэ	m ə ʂ ə p q a
мышъэ	m ə ʂ a
мыщгъум	m ə ɕ ʁʷ ə m
мыщыгъу	m ə ɕ ə ʁʷ
мыӏэрыс	m ə ʔ a r ə s
мыӏэрысэпсы	m ə ʔ a r ə s a p s ə
мэ	m a
мэбзэен	m a b z a j a n
мэбзэин	m a b z a j ə n
мэбыбын	m a b ə b ə n
мэбэгъон	m a b a ʁʷ a n
мэбэнэн	m a b a n a n
мэгоӏэн	m a ɡʷ a ʔ a n
мэгубжын	m a ɡʷ ə b ʒ ə n
мэгушӏон	m a ɡʷ ə ʃʷ ʼ a n
мэгущыӏэн	m a ɡʷ ɕ ə ʔ a n
мэгънэнэн	m a ʁ n a n a n
мэгъолъын	m a ʁʷ a ɬ ə n
мэгъуен	m a ʁʷ ə j a n
мэгъун	m a ʁʷ ə n
мэгъушъыжъын	m a ʁʷ ʂ ə ʐ ə n
мэгъушъын	m a ʁʷ ʂ ə n
мэгъын	m a ʁ ə n
мэгъэгъэн	m a ʁ a ʁ a n
мэджыджэн	m a d͡ʒ ə d͡ʒ a n
мэджэгун	m a d͡ʒ a ɡʷ ə n
мэдрэ	m a d r a
мэдрэр	m a d r a
мэдэӏон	m a d a ʔʷ a n
мэжъутхэн	m a ʒʷ ə t x a n
мэз	m a z
мэзагъо	m a z aː ʁʷ a
мэзай	m a z aː j
мэзахэ	m a z aː x a
мэзгуащэ	m a z ɡʷ aː ɕ a
мэзкьэт	m a z kʲ a t
мэзпчэн	m a z p t͡ʃ a n
мэзчэт	m a z t͡ʃ a t
мэзчэтыу	m a z kʲ a t ə w
мэзчэтыу	m a z t͡ʃ a t ə w
мэзы	m a z ə
мэзыкъу	m a z ə qʷ
мэзыпчэн	m a z ə p t͡ʃ a n
мэзытхьэ	m a z ə t ħ a
мэзэбэлыдж	m a z a b a l ə d͡ʒ
мэзэгъэн	m a z a ʁ a n
мэзэзэн	m a z a z a n
мэзэкӏон	z a kʷ ʼ a n
мэзэон	m a z a w a n
мэкуон	m ə kʷ ə w a n
мэкъамэ	m a q aː m a
мэкъу	m a qʷ
мэкъуогъумаз	m a qʷ ə w a ʁʷ ə m aː z
мэкъупӏ	m a qʷ p ʼ
мэкъын	m a q ə n
мэкъэкъащ	m a q a q aː ɕ
мэкъэркъэтэн	m a q a r q a t a n
мэкьэн	m a kʲ a n
мэкьэрэзын	m a kʲ a r a z ə n
мэкӏодын	m a kʷ ʼ a d ə n
мэкӏосэн	m a kʷ ʼ a s a n
мэкӏошъэн	m a kʷ ʼ a ʂ a n
мэкӏыин	m a t͡ʃ ʼ ə j ə n
мэкӏьыин	m a kʲ ʼ ə j ə n
мэкӏэтхъэн	m a t͡ʃ a t χ a n
мэл	m a l
