ab	ɑ b
xəmir	χ æ m i r
xərc	χ æ r d͡ʒ
xərc	χ æ r d͡z
xərcləmək	χ æ r d͡ʒ l æ m æ k
xərcləmək	χ æ r d͡z l æ m æ k
xəstə	χ æ s t æ
xəstəlik	χ æ s t æ l i k
xəstəlik	χ æ s t æ l i j
xəstəxana	χ æ s t æ χ ɑ n ɑ
xətkeş	χ æ t k e ʃ
xətçəkən	χ æ t t͡ʃ æ k æ n
xətçəkən	χ æ t t͡s æ t͡ʃ æ n
xəzinə	x æ z iː n æ
yaba	j ɑ b ɑ
yad	j ɑ d
yaddaş	j ɑ dː a ʃ
yadplanetli	j ɑ d p l ɑ n e t l i
yal	j ɑ ɫ
yalamaq	j ɑ ɫ ɑ m ɑ χ
yalan	j a ɫ a n
yalın	j ɑ ɫ ɯ n
yalınayaq	j ɑ ɫ ɯ n ɑ j ɑ ɣ
yalnız	j ɑ ɫ n ɯ z
yalnız	j a ɫ n ɯ z
yalvarmaq	j ɑ ɫ v ɑ r m ɑ χ
yamac	j ɑ m ɑ d͡ʒ
yaman	j ɑ m ɑ n
yanacaq	j ɑ n ɑ d͡ʒ ɑ χ
yanacaq	j ɑ n ɑ d͡z ɑ χ
yanaq	j ɑ n ɑ χ
yandırmaq	j ɑ n d ɯ r m ɑ χ
yanında	j ɑ n ɯ n d ɑ
yanlış	j ɑ n ɫ ɯ ʃ
yanlış	j ɑ ɫ n ɯ ʃ
yanmaq	j ɑ n m ɑ χ
yanmaq	j ɑ mː ɑ χ
yanğın	j ɑ n ɣ ɯ n
yanğın	j ɑ ŋ ɣ ɯ n
yanğınsöndürən	j ɑ n ɣ ɯ n s œ n d y r æ n
yapışdırmaq	j ɑ p ɯ ʃ d ɯ r m ɑ χ
yara	j ɑ r ɑ
yaramaq	j ɑ r ɑ m ɑ χ
yaramaz	j ɑ r ɑ m ɑ z
yaranmaq	j ɑ r ɑ n m ɑ χ
yarasa	j ɑ r ɑ s ɑ
yaratmaq	j ɑ r ɑ t m ɑ χ
yaraşıqlı	j ɑ r ɑ ʃ ɯ ɣ ɫ ɯ
yaraşmaq	j ɑ r ɑ ʃ m ɑ χ
yardım	j ɑ r d ɯ m
yarı	j ɑ r ɯ
yarım	j ɑ r ɯ m
yarımada	j ɑ r ɯ m ɑ d ɑ
yarımkürə	j ɑ r ɯ m k y r æ
yarımkürə	j ɑ r ɯ m t͡ʃ y r æ
yarımsavadlı	j ɑ r ɯ m s ɑ v ɑ d ɫ ɯ
yarın	j ɑ r ɯ n
yarısavadlı	j ɑ r ɯ s ɑ v ɑ d ɫ ɯ
yarış	j ɑ r ɯ ʃ
yarmaq	j ɑ r m ɑ χ
yarpaq	j ɑ r p ɑ χ
yarpaq	j æ p r ɑ x
yarus	j ɑ r u s
yarğan	j ɑ r ɣ ɑ n
yasaq	j ɑ s ɑ χ
yastıq	j ɑ s t ɯ χ
yataq	j ɑ t ɑ χ
yataqxana	j ɑ t ɑ χː ɑ n ɑ
yatırım	j ɑ t ɯ r ɯ m
yatmaq	j ɑ t m ɑ χ
yavaş	j ɑ v ɑ ʃ
yaxa	j ɑ χ ɑ
yaxalamaq	j ɑ χ ɑ ɫ ɑ m ɑ χ
yaxın	j ɑ χ ɯ n
yaxınlığında	j ɑ χ ɯ n ɫ ɯ ɣ ɯ n d ɑ
yaxmaq	j ɑ χ m ɑ χ
yaxşı	j ɑ χ ʃ ɯ
yaxşı	j ɑ χ ʃ ɯ̥
yaxşı	j ɑ χ t͡ʃ ɯ
yaxşı	j ɑ χ t͡s ɯ
yay	j ɑ j
yaylaq	j ɑ j l ɑ χ
yaylıq	j ɑ j ɫ ɯ χ
yazılış	j ɑ z ɯ l ɯ ʃ
yazıq	j ɑː z ɯ ɣ
yazıq	j ɑː z ɯ χ
yazıçı	j ɑ z ɯ t͡ʃ ɯ
yazıçı	j ɑ z ɯ t͡s ɯ
yazışmaq	j ɑ z ɯ ʃ m a χ
yazmaq	j ɑ z m ɑ χ
yağ	j ɑ ɣ
yağı	j ɑ ɣ ɯ
yağış	j a ɣ ɯ ʃ
yaş	j ɑ ʃ
yaşasın	j ɑ ʃ ɑ s ɯ n
yaşayış	j ɑ ʃ ɑ j ɯ ʃ
yaşdaş	j ɑ ʃ d ɑ ʃ
yaşıd	j ɑ ʃ ɯ d
yaşlı	j ɑ ʃ ɫ ɯ
yeddi	j e tː i
yeddinci	j e tː i n d͡ʒ i
yeddinci	j e tː i n d͡z i
yekə	j e t͡ʃ æ
yel	j e l
yelləncək	j e lː æ n d͡ʒ æ k
yelləncək	j e lː æ n d͡ʒ æ j
yelləncək	j e lː æ n d͡z æ t͡ʃ
yellənmək	j e lː æ n m æ k
yellənmək	j e lː æ n m æ j
yellənmək	j e lː æ n m æ t͡ʃ
yelpik	j e l p i k
yelpik	j e l p i j
yelpik	j e l p i ç
yemək	j e m æ k
yemək	j e m æ j
yemək	j e m ɑ χ
yengə	j e ŋ ɡ æ
yeni	j e n i
yenilməz	j e n i l m æ z
yer	j e rʲ
yerləşdirmək	j e r l æ ʃ d i r m æ j
yerləşdirmək	j e rː æ ʃ d i r m æ j
yerləşmək	j e r l æ ʃ m æ j
yerləşmək	j e rː æ ʃ m æ j
yersiz	j e r s i z
yerimək	j e r i m æ k
yerimək	j e r i m æ j
yetmiş	j e t m i ʃ
yetmişinci	j e t m i ʃ i n d͡ʒ i
yetmək	j e t m æ k
yetmək	j e t m æ j
yetim	j e t i m
yetişdirmək	j e t i ʃ d i r m æ k
yetişdirmək	j e t i ʃ d i r m æ j
yetişmək	j e t i ʃ m æ k
yetişmək	j e t i ʃ m æ j
yey	j e j
yey	j e ɡ
yeznə	j e z n æ
yırtıcı	j ɯ r t ɯ d͡ʒ ɯ
yırtıcı	j ɯ r t ɯ d͡z ɯ
yırtmaq	j ɯ r t m ɑ χ
yıxmaq	j ɯ χ m ɑ χ
yığışdırmaq	j ɯ ɣ ɯ ʃ d ɯ r m ɑ χ
yığışmaq	j ɯ ɣ ɯ ʃ m ɑ χ
yığmaq	j ɯ ɣ m ɑ χ
yoluxmaq	j o ɫ u χ m ɑ χ
yoluxucu	j o ɫ u χ u d͡ʒ u
yoluxucu	j o ɫ u χ u d͡z u
yorulmaq	j o r u l m ɑ χ
yorulmaz	j o r u ɫ m ɑ z
yorğan	j o r ɣ ɑ n
yorğanağı	j o r ɣ ɑ n ɑ ɣ ɯ
yorğun	j o r ɣ u n
yosun	j o s u n
yox	j o χ
yoxlamaq	j o χ ɫ ɑ m ɑ χ
yoxsa	j o χ s ɑ
yoxsul	j o x s u ɫ
yozmaq	j o z m ɑ χ
yoğurmaq	j o ɣ u r m ɑ χ
yoğurt	j o ɣ u r t
yumaq	j u m ɑ χ
yumruq	j u m r u χ
yumruq	j u m u r u χ
yumurta	j u m u r t ɑ
yumşaq	j u m ʃ a χ
yumşaq	j u m u ʃ a χ
yuva	j u v ɑ
yuva	u v ɑ
yönlü	j œ n l y
yönlü	j œ nː y
yüksək	j y k s æ k
yükçü	j y k t͡ʃ y
yükçü	j y k t͡s y
yüngül	j y n ɡ y l
yürümək	j y r y m æ k
yürümək	j y r y m æ j
yüyürmək	j y j y r m æ k
yüyürmək	j y j y r m æ j
yüzüncü	j y z y n d͡ʒ y
yiyə	j i j æ
yiyəsiz	j i j æ s i z
yəqin	j æ ɡ i n
yəqin	j æː ɡ i n
zaman	z ɑ m ɑ n
zaqafqaziya	z ɑ ɡ ɑ f k ɑ z j ɑ
zaqafqaziya	z ɑ ɡ ɑ f ɡ a z i j ɑ
zavod	z ɑ v o d
zorakılıq	z o r ɑ k ɯ l ɯ χ
zorla	z o r ɫ ɑ
zorla	z o r ɫ ɑ
zorla	z o rː ɑ
zorlama	z o r ɫ ɑ m ɑ
zorlama	z o rː ɑ m ɑ
zorlamaq	z o r ɫ ɑ m ɑ χ
zorlamaq	z o rː ɑ m ɑ χ
ziyil	z i j i l
zəfər	z æ f æ ɾ
zəfəran	z æ f æ r ɑ n
zəhmət	z æ h m æ t
zəhər	z æ h æ r̥
zəhərli	z æ h æ r l i
zəhərli	z æ h æ rː i
zəncir	z æ n d͡ʒ i r
zəncir	z æ n d͡z i r
zəncəfil	z æ n d͡ʒ æ f i l
zəncəfil	z æ n d͡z æ f i l
zəngin	z æ ŋ ɡ i n
zəngin	z æ n d͡ʒ i n
zərgər	z æ r ɡ æ r
zərurət	z æ r uː r æ t
zərər	z æ r æ r
zəif	z æ i f
zəiflik	z æ i f l i ç
zəiflik	z æ i f l i j
çalışmaq	t͡ʃ ɑ ɫ ɯ ʃ m ɑ χ
çalışmaq	t͡s ɑ ɫ ɯ ʃ m ɑ χ
çalma	t͡ʃ ɑ ɫ m ɑ
çalma	t͡s ɑ ɫ m ɑ
çanta	t͡ʃ ɑ n t ɑ
çanta	t͡s ɑ n t ɑ
çap	t͡ʃ ɑ p
çap	t͡s ɑ p
çaqqal	t͡ʃ ɑ kː ɑ ɫ
çaqqal	t͡s ɑ kː ɑ ɫ
çaqqı	t͡s ɑ kː ɯ
çarə	t͡ʃ ɑː r æ
çarə	t͡s ɑː r æ
çatdırmaq	t͡ʃ ɑ tː ɯ r m ɑ χ
çatdırmaq	t͡s ɑ tː ɯ r m ɑ χ
çatışmamazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ m ɑ z ɫ ɯ χ
çatışmamazlıq	t͡s ɑ t ɯ ʃ m ɑ m ɑ z ɫ ɯ χ
çatışmaq	t͡ʃ ɑ t ɯ ʃ m ɑ χ
çatışmaq	t͡s ɑ t ɯ ʃ m ɑ χ
çatışmazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ z ɫ ɯ χ
çatışmazlıq	t͡s ɑ t ɯ ʃ m ɑ z ɫ ɯ χ
çatmaq	t͡ʃ ɑ t m ɑ χ
çatmaq	t͡s ɑ t m ɑ χ
çavuş	t͡ʃ ɑ v u ʃ
çavuş	t͡s ɑ v u ʃ
çayxana	t͡ʃ ɑ j χ ɑ n ɑ
çayxana	t͡s ɑ j χ ɑ n ɑ
çağ	t͡ʃ ɑ ɣ
çağ	t͡s ɑ ɣ
çağa	t͡ʃ ɑ ɣ ɑ
çağa	t͡s ɑ ɣ ɑ
çağırış	t͡ʃ ɑ ɣ ɯ r ɯ ʃ
çağırış	t͡s ɑ ɣ ɯ r ɯ ʃ
çağırmaq	t͡ʃ ɑ ɣ ɯ r m ɑ χ
çağırmaq	t͡s ɑ ɣ ɯ r m ɑ χ
çaşdırmaq	t͡ʃ ɑ ʃ t ɯ r m ɑ χ
çaşdırmaq	t͡s ɑ ʃ t ɯ r m ɑ χ
çaşmaq	t͡ʃ ɑ ʃ m ɑ χ
çaşmaq	t͡s ɑ ʃ m ɑ χ
çeşmək	t͡ʃ e ʃ m æ k
çeşmək	t͡ʃ e ʃ m æ j
çeşmək	t͡ʃ e ʃ m æ ç
çeşmək	t͡s e ʃ m æ t͡ʃ
çeşmək	t͡s e ʃ m æ ç
çıraq	t͡ʃ ɯ r ɑ χ
çıraq	t͡s ɯ r ɑ χ
çıxarmaq	t͡ʃ ɯ χ ɑ r t m ɑ χ
çıxarmaq	t͡s ɯ χ ɑ r t m ɑ χ
çıxış	t͡ʃ ɯ χ ɯ ʃ
çıxış	t͡s ɯ χ ɯ ʃ
çıxmaq	t͡ʃ ɯ χ m ɑ χ
çıxmaq	t͡s ɯ χ m ɑ χ
çocuq	t͡ʃ o d͡ʒ u χ
çocuq	t͡s o d͡z u χ
çox	t͡ʃ ɔ χ
çox	t͡s ɔ χ
çoxdan	t͡ʃ o χ d ɑ n
çoxdan	t͡s o χ d ɑ n
çoxlu	t͡ʃ ɔ χ l u
çoxlu	t͡ʃ ɔ χ l ɯ
çoxlu	t͡s ɔ χ l u
çoxlu	t͡s ɔ χ l ɪ
çoxnikahlılıq	t͡ʃ o χ n i kʲ ɑ h ɫ ɯ l ɯ χ
çoxnikahlılıq	t͡s o χ n i t͡ʃ ɑ h ɫ ɯ l ɯ χ
çoxnikahlılıq	t͡ʃ o χ n i ɡʲ ɑ h ɫ ɯ l ɯ χ
çoxnikahlılıq	t͡s o χ n i d͡ʒ ɑ h ɫ ɯ l ɯ χ
çuğundur	t͡ʃ u ɣ u n d u r
çökmək	t͡ʃ œ k m æ j
çökmək	t͡ʃ œ k m æ k
çökmək	t͡s œ k m æ t͡ʃ
çöl	t͡ʃ œ l
çöl	t͡s œ l
çömçəquyruq	t͡ʃ œ m t͡ʃ æ ɡ u j r u χ
çörək	t͡ʃ œ r æ k
çörək	t͡ʃ œ r æ j
çörək	t͡s œ r æ t͡ʃ
çörək	t͡s œ r æ j
çünki	t͡ʃ y n k i
çünki	t͡s y n k i
çünki	t͡ʃ y n k y
çünki	t͡s y n k y
çibin	t͡ʃ i b i n
çibin	t͡s i b i n
çilingər	t͡ʃ i l i n ɡ æ r
çilingər	t͡s i l i n d͡ʒ æ r
çimizdirmək	t͡ʃ i m i z d i r m æ k
çimizdirmək	t͡s i m i z d i r m æ k
çimizdirmək	t͡ʃ i m i z d i r m æ j
çirk	t͡ʃ i r k
çirk	t͡s i r t͡ʃ
çirk	t͡s i r t͡ʃ
çirk	t͡s i ç
çirkli	t͡ʃ i r k l i
çirkli	t͡s i r t͡ʃ l i
çirkin	t͡ʃ i r k i n
çirkin	t͡s i r t͡ʃ i n
çiskinləmək	t͡ʃ i s k i n l æ m æ k
çiskinləmək	t͡s i s t͡ʃ i n l æ m æ t͡ʃ
çisələmək	t͡ʃ i s æ l æ m æ k
çisələmək	t͡s i s æ l æ m æ t͡ʃ
çisəmək	t͡ʃ i s æ m æ k
çisəmək	t͡s i s æ m æ t͡ʃ
çiy	t͡ʃ i j
çiy	t͡s i j
çiyin	t͡ʃ i j i n
çiyin	t͡s i j i n
çiyələk	t͡ʃ i j æ l æ k
çiçək	t͡ʃ i t͡ʃ æ k
çiçək	t͡ʃ i t͡ʃ æ j
çiçək	t͡s i t͡s æ k
çiçək	t͡s i t͡s æ j
çiçəkləmək	t͡ʃ i t͡ʃ æ k l æ m æ k
çiçəkləmək	t͡s i t͡s æ t͡ʃ l æ m æ t͡ʃ
çəkmək	t͡ʃ æ k m æ k
çəkmək	t͡ʃ æ k m æ j
çəkmək	t͡s æ k m æ k
çəkmək	t͡s æ k m æ j
çəkmək	t s æ h m ɑ χ
çəki	t͡ʃ æ k i
çəki	t͡s æ t͡ʃ i
çəkic	t͡ʃ æ k i d͡ʒ
çəkic	t͡s æ t͡ʃ i d͡z
çəkilmək	t͡ʃ æ k i l m æ k
çəkilmək	t͡ʃ æ k i l m æ j
çəkilmək	t͡s æ t͡ç i l m æ t͡ç
çəkilmək	t͡s æ k i l m æ j
çəkiliş	t͡ʃ æ k i l i ʃ
çəkiliş	t͡s æ t͡ʃ i l i ʃ
çəngəl	t͡ʃ æ ŋ ɡ æ l
çəngəl	t͡s æ ŋ ɡ æ l
çənə	t͡ʃ æ n æ
çətin	t͡ʃ æ t i n
çətin	t͡s æ t i n
çətir	t͡ʃ æ t i r
çətir	t͡s æ t i r
öd	œ d
ödlük	œ d l y k
ödlük	œ d l y j
ödlük	œ d l y ç
ödəniş	œ d æ n i ʃ
ödənişsiz	œ d æ n i ʃ s i z
öfgə	o f ɡ æ
öfgə	œ f ɡ æ
öfgə	œ f d͡ʒ æ
ögey	œ ɡ e j
ögey	œ ɡ æ j
öküz	œ k y z
öküz	œ t͡ʃ ʂ y z
öldürmək	œ l d y r m æ k
öldürmək	œ l d y r m æ j
öldürmək	œ l d y r m ɑ χ
ölkə	œ l k æ
ölmək	œ l m æ k
ölmək	œ l m ɑ χ
ölçmək	œ l t͡ʃ m æ k
ölçmək	œ l t͡s m æ k
ölçmək	œ l t͡ʃ m æ j
ölçmək	œ l t͡s m æ j
ölçmək	œ l t͡s m ɑ χ
ölçmək	œ ʃ m ɑ χ
ölçü	œ l t͡ʃ y
ölçü	œ l t͡s y
ölüm	œ l y m
ölümcül	œ l y m d͡ʒ y l
ölümcül	œ l y m d͡z y l
ölüxana	œ l y χ ɑ n ɑ
öndər	œ n d æ r
önəmli	œ n æ m l i
öpmək	œ p m æ k
öpmək	œ p m æ j
öpüş	œ pʰ ʏ ʃ
öpüşmək	œ p y ʃ m æ k
öpüşmək	œ p œ p y ʃ m æ j
ördək	œ r d æ k
ördək	œ r d æ ç
ördək	œ r d æ j
ördəkburun	œ r d æ k b u r u n
örpək	œ r p æ j
örpək	œ r p æ ç
örtmək	œ r t m æ k
örtmək	œ r t m æ j
örtmək	œ r t m ɑ χ
örtmək	œ t m ɑ χ
örtük	œ r t y j
örtük	œ r t y ç
öskürmək	œ s k y r m æ j
öskürmək	œ s ɡ y r m ɑ χ
ötkəm	œ t k æ m
ötmək	ö t m æ k
ötmək	ö t m æ j
ötrü	œ t r y
ötürmək	ö t y r m æ k
ötürmək	ö t y r m æ j
övlad	œ v l ɑ d
övlad	e v l ɑ d
övrə	œ v r æ
öxbə	œ x b æ
öxbə	œ h b æ
öyrənmək	œ j r æ n m æ k
öyrənmək	œ j r æ n m æ j
öyrətmək	œ j r æ t m æ k
öyrətmək	œ j r æ t m æ j
özəl	œ z æ l
ülgü	y l ɡ y
ülgüc	y l ɡ y d͡ʒ
ümid	y m i d
ümid	ü m ü d
ünsür	y n s y r
ünvan	y n v ɑ n
ürək	y r æ j
ürək	y r æ ç
üst	y s t
üstündə	y s t y n d æ
üstünə	y s t y n æ
ütü	y t y
üzbəüz	y z b æ y z
üzmək	y z m æ k
üzmək	y z m æ j
üzmək	y z m ɑ χ
üzügülər	y z y ɡ y l æ r
üzük	y z y k
üzük	y z y j
üçbucaq	y t͡ʃ b u d͡ʒ ɑ χ
üçbucaq	y t͡s b u d͡z ɑ χ
üçün	y t͡ʃ y n
üçün	y t͡s y n
üçüncü	y t͡ʃ y n d͡ʒ y
üşütmə	y ʃ y t m æ
ibarət	i b ɑː r æ t
ibrani	i b r ɑː n i
ibri	i b r i
ibrə	i b r æ
icazə	i d͡ʒ ɑː z æ
icazə	i d͡z ɑː z æ
iclas	i d͡ʒ ɫ ɑ s
iclas	i d͡z ɫ ɑ s
icma	i d͡ʒ m ɑ
icma	i d͡z m ɑ
idmançı	i d m ɑ n t͡ʃ ɯ
idmançı	i d m ɑ n t͡s ɯ
idi	i d i
iflas	i f ɫ ɑ s
igidlik	i ɡ i d l i k
igidlik	i ɡ i d l i j
ikiarvadlı	i k i ɑ r v ɑ d ɫ ɯ
ikiarvadlılıq	i k i ɑ r v ɑ d ɫ ɯ l ɯ χ
ikinci	i c i n d͡ʒ i
ilbiz	i l b i z
ildırım	i ɫ d ɯ r ɯ m
ildırım	ɯ ɫ d ɯ ɾ ɯ m
ilıq	i ɫ ɯ χ
ilk	i l k
ilkin	i l k i n
ilkin	i l t͡ʃ i n
ilə	i l æ
imkan	i m kʲ ɑ n
imkan	i m t͡ʃ ɑ n
inad	i n ɑ d
inadkar	i n ɑ d t̝͡ɕ ɑ r
inadkarlıq	i n ɑ d t̝͡ɕ ɑ r l ɯ χ
inanc	i n ɑ n d͡ʒ
inanc	i n ɑ n d͡z
inanılmaz	i n ɑ n ɯ ɫ m ɑ z
inanmaq	i n ɑ mː ɑ χ
inci	i n d͡ʒ i
inci	i n d͡z i
incimək	i n d͡ʒ i m æ k
incimək	i n d͡ʒ i m æ j
incimək	i n d͡z i m æ t͡ʃ
incitmək	i n d͡ʒ i t m æ k
incitmək	i n d͡ʒ i t m æ j
incitmək	i n d͡z i t m æ t͡ʃ
incə	i n d͡ʒ æ
incə	i n d͡z æ
indi	i n d i
ingilis	i ŋ ɡ i l i s
insan	i n s ɑ n
intihar	i n t i h ɑ r
inşaatçı	i n ʃ ɑ ɑ t͡ʃː ɯ
inşaatçı	i n ʃ ɑ ɑ t t͡sː ɯ
ip	i pʲ
ipək	i p æ k
ipək	i p æ j
iqlim	i ɡ l i m
irlandiyalı	i r ɫ ɑ n d i j ɑ l ɯ
irmaq	i r m ɑ χ
iri	i r i
irin	i r i n
irəli	i r æ l i
ishal	i s h ɑ ɫ
islandiyalı	i s ɫ ɑ n d i j ɑ l ɯ
istedadlı	i s t e d ɑ d ɫ ɯ
istedadsız	i s t e d ɑ d s ɯ z
istehlak	i s t e h ɫ ɑ kʲ
istehsal	i s t e h s ɑ ɫ
isti	i s t i
isti	i sː i
istifadə	i s t i f ɑː d æ
istilik	i s t i l i k
istilik	i s t i l i ç
istilik	i s t i l i t͡ʃ
istilikölçən	i s t i l i k œ l t͡ʃ æ n
istilikölçən	i s t i l i j œ l t͡ʃ æ n
istilikölçən	i s t i l i t͡ʃ œ l t͡s æ n
istiot	i s t i o t
istirahət	i s t i r ɑː h æ t
istəmək	i s t æ m æ k
istəmək	i s t æ m æ j
istəmək	i s t æ m e j
istəmək	i s t æ m ɑ χ
isveçli	i s v e t͡ʃ l i
isveçli	i s v e t͡s l i
isveçrəli	i s v e t͡ʃ r æ l i
isveçrəli	i s v e t͡s r æ l i
itaət	i t ɑ æ t
itaətsizlik	i t ɑ æ t s i z l i k
itburnu	i t b u r n u
itkin	i n k i n
itmək	i t m æ k
itmək	i t m æ j
itirmək	i t i r m æ k
itirmək	i t i r m æ j
itirmək	i t i r m e j
itirmək	i t i r m ɑ χ
itələmək	i t æ l æ m æ k
itələmək	i t æ l æ m æ j
ivrit	i v r i t
ixtisar	i χ t i s ɑ r
iynə	i j n æ
iyirmi	i j i r m i
iyirmi	i ɡ i r m i
iyirmi	i r m ɪ
iyirmi	iː m ɪ
iyirminci	i j i ɾ m i n d͡ʒ i
izləmək	i z l æ m æ k
izləmək	i z l æ m æ j
izləmək	i z l æ m e j
izləmək	i z l æ m ɑ χ
izin	i z i n
içkili	i t͡ʃ k i l i
içkili	i t͡s t͡ʃ i l i
içmək	i t͡ʃ m æ k
içmək	i t͡ʃ m æ j
içmək	i ʃ m ɑ χ
içində	i t͡ʃ i n d æ
içində	i t͡s i n d æ
içizdirmək	i t͡ʃ i z d i r m æ k
içizdirmək	i t͡s i z d i r m æ k
içizdirmək	i t͡ʃ i z d i r m æ j
içəri	i t͡ʃ æ r i
içəri	i t͡s æ r i
işıq	i ʃ ɯ χ
işıq	ɯ ʃ ɯ χ
işləmək	i ʃ l æ m æ k
işləmək	i ʃ t æ m æ j
işləmək	i ʃ t æ m e j
işləmək	i ʃ l æ m ɑ χ
iştibah	i ʃ t i b ɑ h
iştirak	i ʃ t i r ɑ k
işverən	i ʃ v e r æ n
işçi	i ʃ t͡ʃ i
işçi	i ʃ t͡s i
işəmək	i ʃ æ m æ k
işəmək	i ʃ æ m æ j
şad	ʃ ɑ d
şagird	ʃ ɑˑ ɡ i r d
şagird	ʃ ɑˑ ɡ i r
şahanə	ʃ ɑ h ɑː n æ
şahmat	ʃ ɑ h m ɑ t
şahmatçı	ʃ ɑ h m ɑ t t͡ʃ ɯ
şahmatçı	ʃ ɑ h m ɑ t t͡s ɯ
şahid	ʃ ɑː h i d
şalvar	ʃ ɑ ɫ v ɑ r
şam	ʃ ɑ m
şamaxı	ʃ ɑ m ɑ χ ɯ
şamçı	ʃ ɑ m t͡ʃ ɯ
şamçı	ʃ ɑ m t͡s ɯ
şapalaq	ʃ ɑ p ɑ ɫ ɑ χ
şair	ʃ ɑː i r
şer	ʃ e i r
şer	ʃ e r
şeir	ʃ e j i r
şüar	ʃ y ɑ r
şüar	ʃ u ɑ r
şüur	ʃ y uː r
şüşə	ʃ y ʃ æ
şillələmək	ʃ i lː æ
şimali	ʃ i m ɑː l i
şimali	ʃ i m ɑ l ɯ
şimşək	ʃ i m ʃ æ k
şimşək	ʃ i m ʃ æ j
şirkət	ʃ i r kʲ æ t
şişirtmək	ʃ i ʃ i r m æ k
şişirtmək	ʃ i ʃ i r m æ j
şiə	ʃ i æ
şiə	ʃ i j æ
şəbəkə	ʃ æ b æ k æ
şəbəkə	ʃ æ b æ t͡ʃ æ
şəhla	ʃ æ h l ɑ
şəhid	ʃ æ h i d
şəhər	ʃ æ h æ ɾ
şəkil	ʃ æ k i l
şəkər	ʃ æ ç æ ɾ
şəlalə	ʃ æ ɫ ɑː l æ
şənbə	ʃ æ m b æ
şərh	ʃ æ r h
şəxsiyyət	ʃ æ χ s i j æ t
əbədilik	æ b æ d i l i k
əbədilik	æ b æ d i l i j
əbədiyyət	æ b æ d i j æ t
əcəl	æ d͡ʒ æ l
əcəl	æ d͡z æ l
əcəl	æ ʒ æ l
ədalət	æ d ɑː l æ t
ədat	æ d a t
ədviyyə	æ d v i j æ
ədviyyəli	æ d v i j æ l i
ədəd	æ d æ d
əfsanəvi	æ f s ɑː n æ v ɪː
əgər	æ ɡʲ æ ɾ
əgər	æ ɡʲ æ r̥
əgər	æ j æ ɾ
əgər	æ d͡ʒ æ r
əhali	æ h ɑː l i
əhəmiyyət	æ h æ m i j æ t
əhəmiyyətli	æ h æ m i j æ t l i
əjdaha	æ ʒ d ɑ h ɑː
əkmək	æ k m æ k
əkmək	æ k m æ j
əksinə	æ k s i n æ
əksəriyyət	æ k s æ r i j æ t
əkinçi	æ k ɪ i n t͡ʃ i
əkinçi	æ k ɪ i n t͡s i
əla	æː ɫ ɑ
əlaqə	æ ɫ ɑː ɡ æ
əlaçı	æː ɫ ɑ t͡ʃ ɯ
əlaçı	æː ɫ ɑ t͡s ɯ
əlcək	æ l d͡ʒ æ k
əlcək	æ l d͡z æ k
əlcəzair	æ l d ʒ æ z ɑː i ɾ
əlcəzairli	æ l d ʒ æ z ɑː i ɾ l i
əlli	æ l l i
əllinci	æ l l i n d͡ʒ i
əlyazı	æ l j ɑ z ɯ
əlçatmaz	æ l t͡ʃ ɑ t m ɑ z
əlçatmaz	æ l t͡s ɑ t m ɑ z
əlüstü	æ l y s t y
əliyalın	ɑ æ l i j ɑ ɫ ɯ n
əmcək	æ m d͡ʒ æ j
əmcək	æ m d͡z æ j
əmmək	æ mː æ k
əmmək	æ mː æ j
əmn	æ m n
əmr	æ m r
əmi	æ m i
əmək	æ m æ k
əmək	æ m æ j
əməl	æ m æ l
ənsə	æ n s æ
ənis	æ n i s
ənənə	æ n æː n æ
ənənəvi	æ n æ n æː v i
ər	æ ɾ
ərimək	æ r i m æ k
ərimək	æ r i m æ j
əritmək	æ r i t m æ k
əritmək	æ r i t m æ j
əritmək	æ r i t m ɑ χ
əriş	æ r i ʃ
əsarət	æ s ɑː r æ t
əsgər	æ s k æ r
əski	æ s k i
əsnəmək	æ s n æ m æ k
əsnəmək	æ s n æ m æ j
əsrimək	æ s r i m æ k
əsrimək	æ s r i m æ j
əsir	æ s i r
əsəb	æ s æ b
əsər	æ s æ r
əsər	æ s æ r̥
ət	æ t
ətək	æ t æ k
ətək	æ t æ j
ətək	æ t æ t͡ʃ
əvvəl	æ vː æ l
əyləmək	æ j l æ m æ k
əyləmək	æ j l æ m æ j
əyləncə	æ j l æ n d͡ʒ æ
əyləncə	æ j l æ n d͡z æ
əylənmək	æ j l æ n m æ k
əylənmək	æ j l æ n m æ j
əymək	æ j m æ k
əyri	æ j r i
əyin	æ j i n
əzizə	æ z i z æ
əşya	æ ʃ j ɑ
тысбаға	t ɯ s b ɑ ɣ ɑ
тысбаға	t ɯ s b ɑː ɑ
улдуз	u ɫ d ú z
филм	f i l m
шаһмат	ʃ ɑ h m ɑ t
шәһәр	ʃ æ h æ ɾ
ҝәми	ɡʲ æ m i
әр	æ ɾ
فیلم	f i l m
میسمار	m i s m ɑ ɾ
