'y	ɪ
untalan	ʔ ʊ n t ɐ l ɐ n
upa	ʔ ʊ p ɐ
uriarte	ʔ ʊ ɾ j ɐ ɾ t ɛ
ursua	ʔ ʊ ɾ s ʊ ɐ
usap	ʔ u s ɐ p
usisero	ʔ ʊ s ɪ s ɛ ɾ o
utot	ʔ ʊ t o t
uwak	ʔ ʊ a k
uwi	ʔ ʊ i ʔ
valera	b ɐ l ɛ ɾ ɐ
valle	b ɐ l l ɛ
valmores	b ɐ l m o ɾ ɛ s
varias	b ɐ ɾ ɪ ɐ s
varona	b ɐ ɾ o n ɐ
vecino	b ɛ s ɪ n o
velarde	b ɛ l ɐ ɾ d ɛ
velasquez	b ɛ l ɐ s k ɛ s
veloria	b ɛ l o ɾ j ɐ
veneracion	b ɛ n ɛ ɾ ɐ ʃ o n
venturina	b ɛ n t ʊ ɾ ɪ n ɐ
versoza	b ɛ ɾ s o s ɐ
villablanca	b ɪ l l ɐ b l ɐ ŋ k ɐ
villacarlos	b ɪ l l ɐ x ɐ ɾ l o s
villafranca	b ɪ l l ɐ p ɾ ɐ ŋ k ɐ
villafuerte	b ɪ l l ɐ p w ɛ ɾ t ɛ
villagracia	b ɪ l l ɐ ɡ ɾ ɐ ʃ ɐ
villamater	b ɪ l l ɐ m ɐ t ɛ ɾ
villamin	b ɪ l l ɐ m ɪ n
villamor	b ɪ l l ɐ m o ɾ
villapando	b ɪ l l ɐ p ɐ n d o
villareal	b ɪ l l ɐ ɾ ɛ ɐ l
villarino	b ɪ l l ɐ ɾ ɪ n o
villaruz	b ɪ l l ɐ ɾ ʊ s
villaseñor	b ɪ l l ɐ s ɛ ɲ o ɾ
villasis	b ɪ l l ɐ s ɪ s
villaverde	b ɪ l l ɐ b ɛ ɾ d ɛ
villavicencio	b ɪ l l ɐ b ɪ s ɛ n ʃ o
villegas	b ɪ l l ɛ ɰ ɐ s
vinoya	b ɪ n o j ɐ
virata	b ɪ ɾ ɐ t ɐ
virrey	b ɪ ɾ ɾ ɛ ɪ̯
visaya	b ɪ s ɐ j ɐ ʔ
volante	b o l ɐ n t ɛ
wang	w ɐ ŋ
wangis	w a ŋ ɪ s
yalung	j ɐ l ʊ ŋ
yarda	j ɐ ɾ d ɐ
yasay	j ɐ s a ɪ̯
yatco	j ɐ t k o
ybañez	ʔ ɪ b ɐ ɲ ɛ s
yuvienco	j ʊ b ɪ ɛ ŋ k o
yñiguez	j ɲ ɪ ɰ ɛ s
zafra	s ɐ p ɾ ɐ
zaide	s a ɪ̯ d ɛ
zapanta	s ɐ p ɐ n t ɐ
zavalla	s ɐ b ɐ l l ɐ
zoleta	s o l ɛ t ɐ
zuñiga	s ʊ ɲ ɪ ɰ ɐ
