'tain	t ɛ̃
ruperiez	ʁ y p ə ʁ j e
ruperions	ʁ y p ə ʁ j ɔ̃
ruperons	ʁ y p ʁ ɔ̃
ruperont	ʁ y p ʁ ɔ̃
rupes	ʁ y p
rupestre	ʁ y p ɛ s t ʁ
rupez	ʁ y p e
rupicole	ʁ y p i k ɔ l
rupiez	ʁ y p j e
rupions	ʁ y p j ɔ̃
rupons	ʁ y p ɔ̃
rupture	ʁ y p t y ʁ
rupâmes	ʁ y p ɑ m
rupât	ʁ y p ɑ
rupâtes	ʁ y p ɑ t
rupèrent	ʁ y p ɛ ʁ
rupé	ʁ y p e
rural	ʁ y ʁ a l
rurbanisation	ʁ y ʁ b a n i z a s j ɔ̃
ruse	ʁ y z
ruser	ʁ y z e
russe	ʁ y s
russes	ʁ y s
russie	ʁ y s i
russien	ʁ y s j ɛ̃
russophone	ʁ y s ɔ f ɔ n
russophones	ʁ y s ɔ f ɔ n
rustaud	ʁ y s t o
rusticité	ʁ y s t i s i t e
rustique	ʁ y s t i k
rustre	ʁ y s t ʁ
rusé	ʁ y z e
rut	ʁ y t
rutabaga	ʁ y t a b a ɡ a
ruth	ʁ y t
rutherfordium	ʁ y t ɛ ʁ f ɔ ʁ d j ɔ m
ruthène	ʁ y t ɛ n
ruthénium	ʁ y t e n j ɔ m
ruée	ʁ ɥ e
rwanda	ʁ w ɑ̃ d a
rythme	ʁ i t m
rythmique	ʁ i t m i k
rythmé	ʁ i t m e
râble	ʁ ɑ b l
râcler	ʁ ɑ k l e
râle	ʁ ɑ l
râler	ʁ ɑ l e
râleur	ʁ ɑ l œ ʁ
râlocher	ʁ ɑ l ɔ ʃ e
râpe	ʁ ɑ p
râper	ʁ ɑ p e
râteau	ʁ ɑ t o
râtelier	ʁ ɑ t ə l j e
règle	ʁ ɛ ɡ l
règlement	ʁ ɛ ɡ l ə m ɑ̃
règlementaire	ʁ ɛ ɡ l ə m ɑ̃ t ɛ ʁ
règles	ʁ ɛ ɡ l
règne	ʁ ɛ ɲ
ré	ʁ e
réa	ʁ e a
réabonner	ʁ e a b ɔ n e
réabsorber	ʁ e a p s ɔ ʁ b e
réactant	ʁ e a k t ɑ̃
réaction	ʁ e a k s j ɔ̃
réactivement	ʁ e a k t i v m ɑ̃
réactiver	ʁ e a k t i v e
réactivé	ʁ e a k t i v e
réactivée	ʁ e a k t i v e
réactivées	ʁ e a k t i v e
réactivés	ʁ e a k t i v e
réactualiser	ʁ e a k t ɥ a l i z e
réadapter	ʁ e a d a p t e
réadmettre	ʁ e a d m ɛ t ʁ
réadoubement	ʁ e a d u b m ɑ̃
réagissante	ʁ e a ʒ i s ɑ̃ t
réajuster	ʁ e a ʒ y s t e
réalimenter	ʁ e a l i m ɑ̃ t e
réalisateur	ʁ e a l i z a t œ ʁ
réalisateurs	ʁ e a l i z a t œ ʁ
réalisatrice	ʁ e a l i z a t ʁ i s
réalisatrices	ʁ e a l i z a t ʁ i s
réaliser	ʁ e a l i z e
réaliste	ʁ e a l i s t
réalité	ʁ e a l i t e
réalités	ʁ e a l i t e
réallouer	ʁ e a l w e
réaménage	ʁ e a m e n a ʒ
réaménagea	ʁ e a m e n a ʒ a
réaménageai	ʁ e a m e n a ʒ e
réaménageaient	ʁ e a m e n a ʒ ɛ
réaménageais	ʁ e a m e n a ʒ ɛ
réaménageait	ʁ e a m e n a ʒ ɛ
réaménageant	ʁ e a m e n a ʒ ɑ̃
réaménageas	ʁ e a m e n a ʒ ɑ
réaménageasse	ʁ e a m e n a ʒ a s
réaménageassent	ʁ e a m e n a ʒ a s
réaménageasses	ʁ e a m e n a ʒ a s
réaménageassiez	ʁ e a m e n a ʒ a s j e
réaménageassions	ʁ e a m e n a ʒ a s j ɔ̃
réaménagent	ʁ e a m e n a ʒ
réaménageons	ʁ e a m e n a ʒ ɔ̃
réaménager	ʁ e a m e n a ʒ e
réaménagera	ʁ e a m e n a ʒ ʁ a
réaménagerai	ʁ e a m e n a ʒ ʁ e
réaménageraient	ʁ e a m e n a ʒ ʁ ɛ
réaménagerais	ʁ e a m e n a ʒ ʁ ɛ
réaménagerait	ʁ e a m e n a ʒ ʁ ɛ
réaménageras	ʁ e a m e n a ʒ ʁ ɑ
réaménagerez	ʁ e a m e n a ʒ ʁ e
réaménageriez	ʁ e a m e n a ʒ ə ʁ j e
réaménagerions	ʁ e a m e n a ʒ ə ʁ j ɔ̃
réaménagerons	ʁ e a m e n a ʒ ʁ ɔ̃
réaménageront	ʁ e a m e n a ʒ ʁ ɔ̃
réaménages	ʁ e a m e n a ʒ
réaménagez	ʁ e a m e n a ʒ e
réaménageâmes	ʁ e a m e n a ʒ ɑ m
réaménageât	ʁ e a m e n a ʒ ɑ
réaménageâtes	ʁ e a m e n a ʒ ɑ t
réaménagiez	ʁ e a m e n a ʒ j e
réaménagions	ʁ e a m e n a ʒ j ɔ̃
réaménagèrent	ʁ e a m e n a ʒ ɛ ʁ
réaménagé	ʁ e a m e n a ʒ e
réanimation	ʁ e a n i m a s j ɔ̃
réapprendre	ʁ e a p ʁ ɑ̃ d ʁ
réapprovisionner	ʁ e a p ʁ ɔ v i z j ɔ n e
réarma	ʁ e a ʁ m a
réarmai	ʁ e a ʁ m e
réarmaient	ʁ e a ʁ m ɛ
réarmais	ʁ e a ʁ m ɛ
réarmait	ʁ e a ʁ m ɛ
réarmant	ʁ e a ʁ m ɑ̃
réarmas	ʁ e a ʁ m ɑ
réarmasse	ʁ e a ʁ m a s
réarmassent	ʁ e a ʁ m a s
réarmasses	ʁ e a ʁ m a s
réarmassiez	ʁ e a ʁ m a s j e
réarmassions	ʁ e a ʁ m a s j ɔ̃
réarme	ʁ e a ʁ m
réarment	ʁ e a ʁ m
réarmer	ʁ e a ʁ m e
réarmera	ʁ e a ʁ m ə ʁ a
réarmerai	ʁ e a ʁ m ə ʁ e
réarmeraient	ʁ e a ʁ m ə ʁ ɛ
réarmerais	ʁ e a ʁ m ə ʁ ɛ
réarmerait	ʁ e a ʁ m ə ʁ ɛ
réarmeras	ʁ e a ʁ m ə ʁ ɑ
réarmerez	ʁ e a ʁ m ə ʁ e
réarmeriez	ʁ e a ʁ m ə ʁ j e
réarmerions	ʁ e a ʁ m ə ʁ j ɔ̃
réarmerons	ʁ e a ʁ m ə ʁ ɔ̃
réarmeront	ʁ e a ʁ m ə ʁ ɔ̃
réarmes	ʁ e a ʁ m
réarmez	ʁ e a ʁ m e
réarmiez	ʁ e a ʁ m j e
réarmions	ʁ e a ʁ m j ɔ̃
réarmons	ʁ e a ʁ m ɔ̃
réarmâmes	ʁ e a ʁ m ɑ m
réarmât	ʁ e a ʁ m ɑ
réarmâtes	ʁ e a ʁ m ɑ t
réarmèrent	ʁ e a ʁ m ɛ ʁ
réarmé	ʁ e a ʁ m e
réarranger	ʁ e a ʁ ɑ̃ ʒ e
réassortir	ʁ e a s ɔ ʁ t i ʁ
rébecca	ʁ e b ɛ k a
rébellion	ʁ e b e l j ɔ̃
rébellion	ʁ e b ɛ l j ɔ̃
récalcitramment	ʁ e k a l s i t ʁ a m ɑ̃
récap	ʁ e k a p
récapitulative	ʁ e k a p i t y l a t i v
récemment	ʁ e s a m ɑ̃
récent	ʁ e s ɑ̃
réception	ʁ e s ɛ p s j ɔ̃
réceptionner	ʁ e s ɛ p s j ɔ n e
réceptionniste	ʁ e s ɛ p s j ɔ n i s t
réceptivité	ʁ e s ɛ p t i v i t e
récessif	ʁ e s e s i f
réchapper	ʁ e ʃ a p e
réchaud	ʁ e ʃ o
réchauffement	ʁ e ʃ o f m ɑ̃
réchauffer	ʁ e ʃ o f e
récif	ʁ e s i f
récipient	ʁ e s i p j ɑ̃
réciproque	ʁ e s i p ʁ ɔ k
récit	ʁ e s i
récital	ʁ e s i t a l
récitation	ʁ e s i t a s j ɔ̃
récitations	ʁ e s i t a s j ɔ̃
réciter	ʁ e s i t e
réclamation	ʁ e k l a m a s j ɔ̃
réclame	ʁ e k l a m
réclamer	ʁ e k l a m e
récolte	ʁ e k ɔ l t
récolter	ʁ e k ɔ l t e
récompense	ʁ e k ɔ̃ p ɑ̃ s
récompenser	ʁ e k ɔ̃ p ɑ̃ s e
réconcilier	ʁ e k ɔ̃ s i l j e
réconforter	ʁ e k ɔ̃ f ɔ ʁ t e
récriminer	ʁ e k ʁ i m i n e
récré	ʁ e k ʁ e
récréatif	ʁ e k ʁ e a t i f
récréation	ʁ e k ʁ e a s j ɔ̃
récréer	ʁ e k ʁ e e
récupération	ʁ e k y p e ʁ a s j ɔ̃
récupérer	ʁ e k y p e ʁ e
récura	ʁ e k y ʁ a
récurai	ʁ e k y ʁ e
récuraient	ʁ e k y ʁ ɛ
récurais	ʁ e k y ʁ ɛ
récurait	ʁ e k y ʁ ɛ
récurant	ʁ e k y ʁ ɑ̃
récuras	ʁ e k y ʁ ɑ
récurasse	ʁ e k y ʁ a s
récurassent	ʁ e k y ʁ a s
récurasses	ʁ e k y ʁ a s
récurassiez	ʁ e k y ʁ a s j e
récurassions	ʁ e k y ʁ a s j ɔ̃
récure	ʁ e k y ʁ
récurent	ʁ e k y ʁ
récurer	ʁ e k y ʁ e
récurera	ʁ e k y ʁ ə ʁ a
récurerai	ʁ e k y ʁ ə ʁ e
récureraient	ʁ e k y ʁ ə ʁ ɛ
récurerais	ʁ e k y ʁ ə ʁ ɛ
récurerait	ʁ e k y ʁ ə ʁ ɛ
récureras	ʁ e k y ʁ ə ʁ ɑ
récurerez	ʁ e k y ʁ ə ʁ e
récureriez	ʁ e k y ʁ ə ʁ j e
récurerions	ʁ e k y ʁ ə ʁ j ɔ̃
récurerons	ʁ e k y ʁ ə ʁ ɔ̃
récureront	ʁ e k y ʁ ə ʁ ɔ̃
récures	ʁ e k y ʁ
récurez	ʁ e k y ʁ e
récuriez	ʁ e k y ʁ j e
récurions	ʁ e k y ʁ j ɔ̃
récurons	ʁ e k y ʁ ɔ̃
récurremment	ʁ e k y ʁ a m ɑ̃
récurrence	ʁ e k y ʁ ɑ̃ s
récurrences	ʁ e k y ʁ ɑ̃ s
récurrent	ʁ e k y ʁ ɑ̃
récursif	ʁ e k y ʁ s i f
récursive	ʁ e k y ʁ s i v
récurâmes	ʁ e k y ʁ ɑ m
récurât	ʁ e k y ʁ ɑ
récurâtes	ʁ e k y ʁ ɑ t
récurèrent	ʁ e k y ʁ ɛ ʁ
récuré	ʁ e k y ʁ e
récépissé	ʁ e s e p i s e
rédaction	ʁ e d a k s j ɔ̃
rédactrice	ʁ e d a k t ʁ i s
rédempteur	ʁ e d ɑ̃ p t œ ʁ
rédemption	ʁ e d ɑ̃ p s j ɔ̃
rédemptrice	ʁ e d ɑ̃ p t ʁ i s
rédhibitoire	ʁ e d i b i t w a ʁ
rédiger	ʁ e d i ʒ e
rédimer	ʁ e d i m e
rédox	ʁ e d ɔ k s
réduction	ʁ e d y k s j ɔ̃
réductionnisme	ʁ e d y k s j ɔ n i s m
réduire	ʁ e d ɥ i ʁ
réduit	ʁ e d ɥ i
réel	ʁ e ɛ l
réellement	ʁ e ɛ l m ɑ̃
réem	ʁ e ɛ m
réembaucher	ʁ e ɑ̃ b o ʃ e
réemployer	ʁ e ɑ̃ p l w a j e
réenchéri	ʁ e ɑ̃ ʃ e ʁ i
réenchérir	ʁ e ɑ̃ ʃ e ʁ i ʁ
réenchérira	ʁ e ɑ̃ ʃ e ʁ i ʁ a
réenchérirai	ʁ e ɑ̃ ʃ e ʁ i ʁ e
réenchériraient	ʁ e ɑ̃ ʃ e ʁ i ʁ ɛ
réenchérirais	ʁ e ɑ̃ ʃ e ʁ i ʁ ɛ
réenchérirait	ʁ e ɑ̃ ʃ e ʁ i ʁ ɛ
réenchériras	ʁ e ɑ̃ ʃ e ʁ i ʁ ɑ
réenchérirent	ʁ e ɑ̃ ʃ e ʁ i ʁ
réenchérirez	ʁ e ɑ̃ ʃ e ʁ i ʁ e
réenchéririez	ʁ e ɑ̃ ʃ e ʁ i ʁ j e
réenchéririons	ʁ e ɑ̃ ʃ e ʁ i ʁ j ɔ̃
réenchérirons	ʁ e ɑ̃ ʃ e ʁ i ʁ ɔ̃
réenchériront	ʁ e ɑ̃ ʃ e ʁ i ʁ ɔ̃
réenchéris	ʁ e ɑ̃ ʃ e ʁ i
réenchérissaient	ʁ e ɑ̃ ʃ e ʁ i s ɛ
réenchérissais	ʁ e ɑ̃ ʃ e ʁ i s ɛ
réenchérissait	ʁ e ɑ̃ ʃ e ʁ i s ɛ
réenchérissant	ʁ e ɑ̃ ʃ e ʁ i s ɑ̃
réenchérisse	ʁ e ɑ̃ ʃ e ʁ i s
réenchérissent	ʁ e ɑ̃ ʃ e ʁ i s
réenchérisses	ʁ e ɑ̃ ʃ e ʁ i s
réenchérissez	ʁ e ɑ̃ ʃ e ʁ i s e
réenchérissiez	ʁ e ɑ̃ ʃ e ʁ i s j e
réenchérissions	ʁ e ɑ̃ ʃ e ʁ i s j ɔ̃
réenchérissons	ʁ e ɑ̃ ʃ e ʁ i s ɔ̃
réenchérit	ʁ e ɑ̃ ʃ e ʁ i
réenchérîmes	ʁ e ɑ̃ ʃ e ʁ i m
réenchérît	ʁ e ɑ̃ ʃ e ʁ i
réenchérîtes	ʁ e ɑ̃ ʃ e ʁ i t
réengageas	ʁ e ɑ̃ ɡ a ʒ ɑ
réengazonner	ʁ e ɑ̃ ɡ a z ɔ n e
réentrant	ʁ e ɑ̃ t ʁ ɑ̃
réentrante	ʁ e ɑ̃ t ʁ ɑ̃ t
réessayer	ʁ e e s ɛ j e
réexamina	ʁ e ɛ ɡ z a m i n a
réexaminai	ʁ e ɛ ɡ z a m i n e
réexaminaient	ʁ e ɛ ɡ z a m i n ɛ
réexaminais	ʁ e ɛ ɡ z a m i n ɛ
réexaminait	ʁ e ɛ ɡ z a m i n ɛ
réexaminant	ʁ e ɛ ɡ z a m i n ɑ̃
réexaminas	ʁ e ɛ ɡ z a m i n ɑ
réexaminasse	ʁ e ɛ ɡ z a m i n a s
réexaminassent	ʁ e ɛ ɡ z a m i n a s
réexaminasses	ʁ e ɛ ɡ z a m i n a s
réexaminassiez	ʁ e ɛ ɡ z a m i n a s j e
réexaminassions	ʁ e ɛ ɡ z a m i n a s j ɔ̃
réexamine	ʁ e ɛ ɡ z a m i n
réexaminent	ʁ e ɛ ɡ z a m i n
réexaminera	ʁ e ɛ ɡ z a m i n ʁ a
réexaminerai	ʁ e ɛ ɡ z a m i n ʁ e
réexamineraient	ʁ e ɛ ɡ z a m i n ʁ ɛ
réexaminerais	ʁ e ɛ ɡ z a m i n ʁ ɛ
réexaminerait	ʁ e ɛ ɡ z a m i n ʁ ɛ
réexamineras	ʁ e ɛ ɡ z a m i n ʁ ɑ
réexaminerez	ʁ e ɛ ɡ z a m i n ʁ e
réexamineriez	ʁ e ɛ ɡ z a m i n ə ʁ j e
réexaminerions	ʁ e ɛ ɡ z a m i n ə ʁ j ɔ̃
réexaminerons	ʁ e ɛ ɡ z a m i n ʁ ɔ̃
réexamineront	ʁ e ɛ ɡ z a m i n ʁ ɔ̃
réexamines	ʁ e ɛ ɡ z a m i n
réexaminez	ʁ e ɛ ɡ z a m i n e
réexaminiez	ʁ e ɛ ɡ z a m i n j e
réexaminions	ʁ e ɛ ɡ z a m i n j ɔ̃
réexaminons	ʁ e ɛ ɡ z a m i n ɔ̃
réexaminâmes	ʁ e ɛ ɡ z a m i n ɑ m
réexaminât	ʁ e ɛ ɡ z a m i n ɑ
réexaminâtes	ʁ e ɛ ɡ z a m i n ɑ t
réexaminèrent	ʁ e ɛ ɡ z a m i n ɛ ʁ
réexaminé	ʁ e ɛ ɡ z a m i n e
réexporter	ʁ e ɛ k s p ɔ ʁ t e
réexprimer	ʁ e ɛ k s p ʁ i m e
réexpédier	ʁ e ɛ k s p e d j e
réfection	ʁ e f ɛ k s j ɔ̃
réfectoire	ʁ e f ɛ k t w a ʁ
réflectif	ʁ e f l ɛ k t i f
réflective	ʁ e f l ɛ k t i v
réflexe	ʁ e f l ɛ k s
réflexibilité	ʁ e f l ɛ k s i b i l i t e
réflexible	ʁ e f l ɛ k s i b l
réflexif	ʁ e f l ɛ k s i f
réflexion	ʁ e f l ɛ k s j ɔ̃
réfléchi	ʁ e f l e ʃ i
réfléchir	ʁ e f l e ʃ i ʁ
réfléchissante	ʁ e f l e ʃ i s ɑ̃ t
réforma	ʁ e f ɔ ʁ m a
réformai	ʁ e f ɔ ʁ m e
réformaient	ʁ e f ɔ ʁ m ɛ
réformais	ʁ e f ɔ ʁ m ɛ
réformait	ʁ e f ɔ ʁ m ɛ
réformant	ʁ e f ɔ ʁ m ɑ̃
réformas	ʁ e f ɔ ʁ m ɑ
réformasse	ʁ e f ɔ ʁ m a s
réformassent	ʁ e f ɔ ʁ m a s
réformasses	ʁ e f ɔ ʁ m a s
réformassiez	ʁ e f ɔ ʁ m a s j e
réformassions	ʁ e f ɔ ʁ m a s j ɔ̃
réformation	ʁ e f ɔ ʁ m a s j ɔ̃
réforment	ʁ e f ɔ ʁ m
réformer	ʁ e f ɔ ʁ m e
réformera	ʁ e f ɔ ʁ m ə ʁ a
réformerai	ʁ e f ɔ ʁ m ə ʁ e
réformeraient	ʁ e f ɔ ʁ m ə ʁ ɛ
réformerais	ʁ e f ɔ ʁ m ə ʁ ɛ
réformerait	ʁ e f ɔ ʁ m ə ʁ ɛ
réformeras	ʁ e f ɔ ʁ m ə ʁ ɑ
réformerez	ʁ e f ɔ ʁ m ə ʁ e
réformeriez	ʁ e f ɔ ʁ m ə ʁ j e
réformerions	ʁ e f ɔ ʁ m ə ʁ j ɔ̃
réformerons	ʁ e f ɔ ʁ m ə ʁ ɔ̃
réformeront	ʁ e f ɔ ʁ m ə ʁ ɔ̃
réformes	ʁ e f ɔ ʁ m
réformez	ʁ e f ɔ ʁ m e
réformiez	ʁ e f ɔ ʁ m j e
réformions	ʁ e f ɔ ʁ m j ɔ̃
réformons	ʁ e f ɔ ʁ m ɔ̃
réformâmes	ʁ e f ɔ ʁ m ɑ m
réformât	ʁ e f ɔ ʁ m ɑ
réformâtes	ʁ e f ɔ ʁ m ɑ t
réformèrent	ʁ e f ɔ ʁ m ɛ ʁ
réformé	ʁ e f ɔ ʁ m e
réfractaire	ʁ e f ʁ a k t ɛ ʁ
réfractif	ʁ e f ʁ a k t i f
réfractive	ʁ e f ʁ a k t i v
réfragabilité	ʁ e f ʁ a ɡ a b i l i t e
réfragable	ʁ e f ʁ a ɡ a b l
réfranger	ʁ e f ʁ ɑ̃ ʒ e
réfrangibilité	ʁ e f ʁ ɑ̃ ʒ i b i l i t e
réfrangible	ʁ e f ʁ ɑ̃ ʒ i b l
réfrigérateur	ʁ e f ʁ i ʒ e ʁ a t œ ʁ
réfringent	ʁ e f ʁ ɛ̃ ʒ ɑ̃
réfringente	ʁ e f ʁ ɛ̃ ʒ ɑ̃ t
réfréner	ʁ e f ʁ e n e
réfugier	ʁ e f y ʒ j e
réfugié	ʁ e f y ʒ j e
réfutabilité	ʁ e f y t a b i l i t e
réfuter	ʁ e f y t e
référence	ʁ e f e ʁ ɑ̃ s
référenda	ʁ e f e ʁ ɑ̃ d a
référenda	ʁ e f e ʁ ɛ̃ d a
référendum	ʁ e f e ʁ ɑ̃ d ɔ m
référendum	ʁ e f e ʁ ɛ̃ d ɔ m
régal	ʁ e ɡ a l
régaler	ʁ e ɡ a l e
régaline	ʁ e ɡ a l i n
régence	ʁ e ʒ ɑ̃ s
régences	ʁ e ʒ ɑ̃ s
régenter	ʁ e ʒ ɑ̃ t e
régie	ʁ e ʒ i
régime	ʁ e ʒ i m
régiment	ʁ e ʒ i m ɑ̃
régine	ʁ e ʒ i n
région	ʁ e ʒ j ɔ̃
régional	ʁ e ʒ j ɔ n a l
régionale	ʁ e ʒ j ɔ n a l
régionales	ʁ e ʒ j ɔ n a l
régionaux	ʁ e ʒ j ɔ n o
régir	ʁ e ʒ i ʁ
régis	ʁ e ʒ i s
régisseur	ʁ e ʒ i s œ ʁ
régisseuse	ʁ e ʒ i s ø z
réglage	ʁ e ɡ l a ʒ
réglement	ʁ ɛ ɡ l ə m ɑ̃
réglementaire	ʁ ɛ ɡ l ə m ɑ̃ t ɛ ʁ
réglementation	ʁ ɛ ɡ l ə m ɑ̃ t a s j ɔ̃
réglementer	ʁ ɛ ɡ l ə m ɑ̃ t e
régler	ʁ e ɡ l e
réglet	ʁ e ɡ l ɛ
réglisse	ʁ e ɡ l i s
réglo	ʁ e ɡ l o
régner	ʁ e ɲ e
régolithe	ʁ e ɡ ɔ l i t
régresse	ʁ e ɡ ʁ ɛ s
régression	ʁ e ɡ ʁ ɛ s j ɔ̃
réguler	ʁ e ɡ y l e
régulier	ʁ e ɡ y l j e
régulièrement	ʁ e ɡ y l j ɛ ʁ m ɑ̃
régurgiter	ʁ e ɡ y ʁ ʒ i t e
régénérez	ʁ e ʒ e n e ʁ e
réhabiliteront	ʁ e a b i l i t ʁ ɔ̃
réhabituer	ʁ e a b i t ɥ e
réhausser	ʁ e o s e
réhydrater	ʁ e i d ʁ a t e
réifier	ʁ e i f j e
réimporter	ʁ e ɛ̃ p ɔ ʁ t e
réimposer	ʁ e ɛ̃ p o z e
réimprimer	ʁ e ɛ̃ p ʁ i m e
réincarcérer	ʁ e ɛ̃ k a ʁ s e ʁ e
réindexer	ʁ e ɛ̃ d ɛ k s e
réinitialiser	ʁ e i n i s j a l i z e
réinstalla	ʁ e ɛ̃ s t a l a
réinstallai	ʁ e ɛ̃ s t a l e
réinstallaient	ʁ e ɛ̃ s t a l ɛ
réinstallais	ʁ e ɛ̃ s t a l ɛ
réinstallait	ʁ e ɛ̃ s t a l ɛ
réinstallant	ʁ e ɛ̃ s t a l ɑ̃
réinstallas	ʁ e ɛ̃ s t a l ɑ
réinstallasse	ʁ e ɛ̃ s t a l a s
réinstallassent	ʁ e ɛ̃ s t a l a s
réinstallasses	ʁ e ɛ̃ s t a l a s
réinstallassiez	ʁ e ɛ̃ s t a l a s j e
réinstallassions	ʁ e ɛ̃ s t a l a s j ɔ̃
réinstalle	ʁ e ɛ̃ s t a l
réinstallent	ʁ e ɛ̃ s t a l
réinstallera	ʁ e ɛ̃ s t a l ʁ a
réinstallerai	ʁ e ɛ̃ s t a l ʁ e
réinstalleraient	ʁ e ɛ̃ s t a l ʁ ɛ
réinstallerais	ʁ e ɛ̃ s t a l ʁ ɛ
réinstallerait	ʁ e ɛ̃ s t a l ʁ ɛ
réinstalleras	ʁ e ɛ̃ s t a l ʁ ɑ
réinstallerez	ʁ e ɛ̃ s t a l ʁ e
réinstalleriez	ʁ e ɛ̃ s t a l ə ʁ j e
réinstallerions	ʁ e ɛ̃ s t a l ə ʁ j ɔ̃
réinstallerons	ʁ e ɛ̃ s t a l ʁ ɔ̃
réinstalleront	ʁ e ɛ̃ s t a l ʁ ɔ̃
réinstalles	ʁ e ɛ̃ s t a l
réinstallez	ʁ e ɛ̃ s t a l e
réinstalliez	ʁ e ɛ̃ s t a l j e
réinstallions	ʁ e ɛ̃ s t a l j ɔ̃
réinstallons	ʁ e ɛ̃ s t a l ɔ̃
réinstallâmes	ʁ e ɛ̃ s t a l ɑ m
réinstallât	ʁ e ɛ̃ s t a l ɑ
réinstallâtes	ʁ e ɛ̃ s t a l ɑ t
réinstallèrent	ʁ e ɛ̃ s t a l ɛ ʁ
réinstallé	ʁ e ɛ̃ s t a l e
réinterroger	ʁ e ɛ̃ t ɛ ʁ ɔ ʒ e
réionisa	ʁ e j ɔ n i z a
réionisai	ʁ e j ɔ n i z e
réionisaient	ʁ e j ɔ n i z ɛ
réionisais	ʁ e j ɔ n i z ɛ
réionisait	ʁ e j ɔ n i z ɛ
réionisant	ʁ e j ɔ n i z ɑ̃
réionisas	ʁ e j ɔ n i z ɑ
réionisasse	ʁ e j ɔ n i z a s
réionisassent	ʁ e j ɔ n i z a s
réionisasses	ʁ e j ɔ n i z a s
réionisassiez	ʁ e j ɔ n i z a s j e
réionisassions	ʁ e j ɔ n i z a s j ɔ̃
réionisation	ʁ e j ɔ n i z a s j ɔ̃
réionise	ʁ e j ɔ n i z
réionisent	ʁ e j ɔ n i z
réionisera	ʁ e j ɔ n i z ʁ a
réioniserai	ʁ e j ɔ n i z ʁ e
réioniseraient	ʁ e j ɔ n i z ʁ ɛ
réioniserais	ʁ e j ɔ n i z ʁ ɛ
réioniserait	ʁ e j ɔ n i z ʁ ɛ
réioniseras	ʁ e j ɔ n i z ʁ ɑ
réioniserez	ʁ e j ɔ n i z ʁ e
réioniseriez	ʁ e j ɔ n i z ə ʁ j e
réioniserions	ʁ e j ɔ n i z ə ʁ j ɔ̃
réioniserons	ʁ e j ɔ n i z ʁ ɔ̃
réioniseront	ʁ e j ɔ n i z ʁ ɔ̃
réionises	ʁ e j ɔ n i z
réionisez	ʁ e j ɔ n i z e
réionisiez	ʁ e j ɔ n i z j e
réionisions	ʁ e j ɔ n i z j ɔ̃
réionisons	ʁ e j ɔ n i z ɔ̃
réionisâmes	ʁ e j ɔ n i z ɑ m
réionisât	ʁ e j ɔ n i z ɑ
réionisâtes	ʁ e j ɔ n i z ɑ t
réionisèrent	ʁ e j ɔ n i z ɛ ʁ
réionisé	ʁ e j ɔ n i z e
réislamisa	ʁ e i s l a m i z a
réislamisai	ʁ e i s l a m i z e
réislamisaient	ʁ e i s l a m i z ɛ
réislamisais	ʁ e i s l a m i z ɛ
réislamisait	ʁ e i s l a m i z ɛ
réislamisant	ʁ e i s l a m i z ɑ̃
réislamisas	ʁ e i s l a m i z ɑ
réislamisasse	ʁ e i s l a m i z a s
réislamisassent	ʁ e i s l a m i z a s
réislamisasses	ʁ e i s l a m i z a s
réislamisassiez	ʁ e i s l a m i z a s j e
réislamisassions	ʁ e i s l a m i z a s j ɔ̃
réislamise	ʁ e i s l a m i z
réislamisent	ʁ e i s l a m i z
réislamisera	ʁ e i s l a m i z ʁ a
réislamiserai	ʁ e i s l a m i z ʁ e
réislamiseraient	ʁ e i s l a m i z ʁ ɛ
réislamiserais	ʁ e i s l a m i z ʁ ɛ
réislamiserait	ʁ e i s l a m i z ʁ ɛ
réislamiseras	ʁ e i s l a m i z ʁ ɑ
réislamiserez	ʁ e i s l a m i z ʁ e
réislamiserions	ʁ e i s l a m i z ə ʁ j ɔ̃
réislamiserons	ʁ e i s l a m i z ʁ ɔ̃
réislamiseront	ʁ e i s l a m i z ʁ ɔ̃
réislamises	ʁ e i s l a m i z
réislamisez	ʁ e i s l a m i z e
réislamisiez	ʁ e i s l a m i z j e
réislamisions	ʁ e i s l a m i z j ɔ̃
réislamisons	ʁ e i s l a m i z ɔ̃
réislamisâmes	ʁ e i s l a m i z ɑ m
réislamisât	ʁ e i s l a m i z ɑ
réislamisâtes	ʁ e i s l a m i z ɑ t
réislamisèrent	ʁ e i s l a m i z ɛ ʁ
réislamisé	ʁ e i s l a m i z e
réitérat	ʁ e i t e ʁ a
réitérément	ʁ e i t e ʁ e m ɑ̃
réjoui	ʁ e ʒ w i
réjouir	ʁ e ʒ w i ʁ
réjouira	ʁ e ʒ w i ʁ a
réjouirai	ʁ e ʒ w i ʁ e
réjouiraient	ʁ e ʒ w i ʁ ɛ
réjouirais	ʁ e ʒ w i ʁ ɛ
réjouirait	ʁ e ʒ w i ʁ ɛ
réjouiras	ʁ e ʒ w i ʁ ɑ
réjouirent	ʁ e ʒ w i ʁ
réjouirez	ʁ e ʒ w i ʁ e
réjouiriez	ʁ e ʒ w i ʁ j e
réjouirions	ʁ e ʒ w i ʁ j ɔ̃
réjouirons	ʁ e ʒ w i ʁ ɔ̃
réjouiront	ʁ e ʒ w i ʁ ɔ̃
réjouis	ʁ e ʒ w i
réjouissaient	ʁ e ʒ w i s ɛ
