а	a
свирче	s v i r t͡ʃ ɛ
свиѓа	s v i ɟ a
свиња	s v i ɲ a
свињарка	s v i ɲ a r k a
свињарник	s v i ɲ a r n i k
свињарница	s v i ɲ a r n i t͡s a
свињарски	s v i ɲ a r s k i
свињарство	s v i ɲ a r s t v ɔ
сводник	s v ɔ d n i k
сводништво	s v ɔ d n i ʃ t v ɔ
своевидност	s v ɔ ɛ v i d n ɔ s t
своеглавост	s v ɔ ɛ ɡ ɫ a v ɔ s t
своина	s v ɔ i n a
сврзаност	s v r̩ z a n ɔ s t
свртува	s v r̩ t u v a
свршеничка	s v r̩ ʃ ɛ n i t͡ʃ k a
свршенички	s v r̩ ʃ ɛ n i t͡ʃ k i
се	s ɛ
север	s ɛ v ɛ r
севкупност	s ɛ f k u p n ɔ s t
седало	s ɛ d a ɫ ɔ
седело	s ɛ d ɛ ɫ ɔ
седенка	s ɛ d ɛ ŋ k a
седларски	s ɛ d ɫ a r s k i
седларство	s ɛ d ɫ a r s t v ɔ
седмица	s ɛ d m i t͡s a
седница	s ɛ d n i t͡s a
седнува	s ɛ d n u v a
седум	s ɛ d u m
седумдесет	s ɛ d u m d ɛ s ɛ t
седумка	s ɛ d u m k a
седуммина	s ɛ d u m m i n a
седумнаесет	s ɛ d u m n a ɛ s ɛ t
седумстотини	s ɛ d u m s t ɔ t i n i
сее	s ɛ ɛ
сеирџија	s ɛ i r d͡ʒ i j a
секојдневност	s ɛ k ɔ j d n ɛ v n ɔ s t
секташтво	s ɛ k t a ʃ t v ɔ
секторски	s ɛ k t ɔ r s k i
селанство	s ɛ ɫ a n s t v ɔ
село	s ɛ ɫ ɔ
селотејп	s ɛ ɫ ɔ t ɛ j p
селце	s ɛ ɫ t͡s ɛ
семе	s ɛ m ɛ
семестар	s ɛ m ɛ s t a r
семестарски	s ɛ m ɛ s t a r s k i
семиологија	s ɛ m i j ɔ ɫ ɔ ɡ i j a
семкар	s ɛ m k a r
сенаторски	s ɛ n a t ɔ r s k i
сензација	s ɛ n z a t͡s i j a
сено	s ɛ n ɔ
сеприсутен	s ɛ p r i s u t ɛ n
сеприсутност	s ɛ p r i s u t n ɔ s t
септември	s ɛ p t ɛ ɱ v r i
септички	s ɛ p t i t͡ʃ k i
сердар	s ɛ r d a r
сердарски	s ɛ r d a r s k i
сесија	s ɛ s i j a
сестра	s ɛ s t r a
сестраност	s ɛ s t r a n ɔ s t
сестринство	s ɛ s t r i n s t v ɔ
сестриче	s ɛ s t r i t͡ʃ ɛ
сеструле	s ɛ s t r u l ɛ
сеул	s ɛ u ɫ
сефте	s ɛ f t ɛ
сечач	s ɛ t͡ʃ a t͡ʃ
сечило	s ɛ t͡ʃ i ɫ ɔ
сибирски	s i b i r s k i
сигурносен	s i ɡ u r n ɔ s ɛ n
сигурност	s i ɡ u r n ɔ s t
сиднеј	s i d n ɛ j
сиднејски	s i d n ɛ j s k i
сиже	s i ʒ ɛ
силеџиство	s i l ɛ d͡ʒ i s t v ɔ
симболизација	s i m b ɔ l i z a t͡s i j a
симетричност	s i m ɛ t r i t͡ʃ n ɔ s t
симетрија	s i m ɛ t r i j a
симпатичен	s i m p a t i t͡ʃ ɛ n
симпатичност	s i m p a t i t͡ʃ n ɔ s t
симпозиум	s i m p ɔ z i j u m
симфонија	s i m f ɔ n i j a
син	s i n
сина	s i n a
синап	s i n a p
сингапур	s i ŋ ɡ a p u r
синоптички	s i n ɔ p t i t͡ʃ k i
синоубиство	s i n ɔ u b i s t v ɔ
синоќа	s i n ɔ c a
синтетика	s i n t ɛ t i k a
синхронизација	s i n x r ɔ n i z a t͡s i j a
синче	s i n t͡ʃ ɛ
синџир	s i n d͡ʒ i r
синџирче	s i n d͡ʒ i r t͡ʃ ɛ
сиот	s i j ɔ t
сипаничав	s i p a n i t͡ʃ a f
сирачки	s i ɾ a t͡ʃ k i
сиренце	s i ɾ ɛ n t͡s ɛ
сирење	s i ɾ ɛ ɲ ɛ
сиромашност	s i r ɔ m a ʃ n ɔ s t
систематизација	s i s t ɛ m a t i z a t͡s i j a
сите	s i t ɛ
ситничавост	s i t n i t͡ʃ a v ɔ s t
ситничарка	s i t n i t͡ʃ a r k a
ситничарски	s i t n i t͡ʃ a r s k i
ситничарство	s i t n i t͡ʃ a r s t v ɔ
ситнурија	s i t n u ɾ i j a
сито	s i t ɔ
ситуациски	s i t u a t͡s i s k i
скапост	s k a p ɔ s t
скелетен	s k ɛ l ɛ t ɛ n
скептик	s k ɛ p t i k
скептичност	s k ɛ p t i t͡ʃ n ɔ s t
скиснатост	s k i s n a t ɔ s t
скита	s k i t a
скитничка	s k i t n i t͡ʃ k a
скитнички	s k i t n i t͡ʃ k i
скитништво	s k i t n i ʃ t v ɔ
скијање	s k i j a ɲ ɛ
складност	s k ɫ a d n ɔ s t
скокнува	s k ɔ k n u v a
скокотливост	s k ɔ k ɔ t l i v ɔ s t
сколовранец	s k ɔ ɫ ɔ v r a n ɛ t͡s
скопјанец	s k ɔ p j a n ɛ t͡s
скопјанка	s k ɔ p j a ŋ k a
скопјанче	s k ɔ p j a n t͡ʃ ɛ
скопје	s k ɔ p j ɛ
скорпија	s k ɔ r p i j a
скотски	s k ɔ t s k i
скрб	s k r̩ p
скржавост	s k r̩ ʒ a v ɔ s t
скришност	s k r i ʃ n ɔ s t
скробен	s k r ɔ b ɛ n
скротум	s k r o t u m
скршнува	s k r̩ ʃ n u v a
скудност	s k u d n ɔ s t
скулпторски	s k u ɫ p t ɔ r s k i
скулптурен	s k u ɫ p t u ɾ ɛ n
слаб	s ɫ a p
слава	s ɫ a v a
славеј	s ɫ a v ɛ j
славејче	s ɫ a v ɛ j t͡ʃ ɛ
славољубивост	s ɫ a v ɔ l u b i v ɔ s t
сладок	s ɫ a d ɔ k
сладолед	s ɫ a d ɔ l ɛ t
сладоледџија	s ɫ a d ɔ l ɛ d d͡ʒ i j a
сламен	s ɫ a m ɛ n
сланина	s ɫ a n i n a
сланиница	s ɫ a n i n i t͡s a
сланинка	s ɫ a n i ŋ k a
слаткарски	s ɫ a t k a r s k i
слаткарство	s ɫ a t k a r s t v ɔ
слаткоречивост	s ɫ a t k ɔ r ɛ t͡ʃ i v ɔ s t
слеан	s l ɛ a n
следбеничка	s l ɛ d b ɛ n i t͡ʃ k a
слива	s l i v a
сливов	s l i v ɔ f
сливче	s l i f t͡ʃ ɛ
сликарски	s l i k a r s k i
сликичка	s l i k i t͡ʃ k a
сликовен	s l i k ɔ v ɛ n
сликовит	s l i k ɔ v i t
сликовитост	s l i k ɔ v i t ɔ s t
слободољубивост	s ɫ ɔ b ɔ d ɔ l u b i v ɔ s t
словенец	s ɫ ɔ v ɛ n ɛ t͡s
словенка	s ɫ ɔ v ɛ ŋ k a
словенски	s ɫ ɔ v ɛ n s k i
слово	s ɫ ɔ v ɔ
сложен	s ɫ ɔ ʒ ɛ n
сложенка	s ɫ ɔ ʒ ɛ ŋ k a
сложеност	s ɫ ɔ ʒ ɛ n ɔ s t
слонче	s ɫ ɔ n t͡ʃ ɛ
слончиња	s ɫ ɔ n t͡ʃ i ɲ a
служба	s ɫ u ʒ b a
слушателка	s ɫ u ʃ a t ɛ ɫ k a
смарагден	s m a ɾ a ɡ d ɛ n
смет	s m ɛ t
сметка	s m ɛ t k a
сметководителка	s m ɛ t k ɔ v ɔ d i t ɛ ɫ k a
смешност	s m ɛ ʃ n ɔ s t
смлачи	s m ɫ a t͡ʃ i
смоквин	s m ɔ k v i n
смола	s m ɔ ɫ a
смотаност	s m ɔ t a n ɔ s t
смотра	s m ɔ t r a
смрдливост	s m r̩ d l i v ɔ s t
смреков	s m r ɛ k ɔ f
смрзнатост	s m r̩ z n a t ɔ s t
смрт	s m r̩ t
смрчак	s m r̩ t͡ʃ a k
снаин	s n a i n
снаодливост	s n a ɔ d l i v ɔ s t
снајпер	s n a j p ɛ r
снајперка	s n a j p ɛ r k a
снег	s n ɛ k
снеговит	s n ɛ ɡ ɔ v i t
снеговица	s n ɛ ɡ ɔ v i t͡s a
снегулка	s n ɛ ɡ u ɫ k a
снегулки	s n ɛ ɡ u ɫ k i
снегулче	s n ɛ ɡ u ɫ t͡ʃ ɛ
снеже	s n ɛ ʒ ɛ
снежиња	s n ɛ ʒ i ɲ a
снеможува	s n ɛ m ɔ ʒ u v a
снесува	s n ɛ s u v a
снешко	s n ɛ ʃ k ɔ
снешковци	s n ɛ ʃ k ɔ f t͡s i
снисходливост	s n i s x ɔ d l i v ɔ s t
снобовски	s n ɔ b ɔ f s k i
сноп	s n ɔ p
снопче	s n ɔ p t͡ʃ ɛ
снопје	s n ɔ p j ɛ
сношти	s n ɔ ʃ t i
соавторство	s ɔ a f t ɔ r s t v ɔ
соба	s ɔ b a
собитие	s ɔ b i t i j ɛ
собичка	s ɔ b i t͡ʃ k a
соблазнивост	s ɔ b ɫ a z n i v ɔ s t
соборен	s ɔ b ɔ ɾ ɛ n
соборува	s ɔ b ɔ ɾ u v a
советничка	s ɔ v ɛ t n i t͡ʃ k a
советски	s ɔ v ɛ t s k i
совладливост	s ɔ v ɫ a d l i v ɔ s t
совпадливост	s ɔ f p a d l i v ɔ s t
современост	s ɔ v r ɛ m ɛ n ɔ s t
согласка	s ɔ ɡ ɫ a s k a
соговорница	s ɔ ɡ ɔ v ɔ r n i t͡s a
согорување	s ɔ ɡ ɔ r u v a ɲ ɛ
содржаен	s ɔ d r̩ ʒ a ɛ n
соединет	s ɔ ɛ d i n ɛ t
соединети	s ɔ ɛ d i n ɛ t i
соединетост	s ɔ ɛ d i n ɛ t ɔ s t
сожителство	s ɔ ʒ i t ɛ ɫ s t v ɔ
создание	s ɔ z d a n i j ɛ
сознание	s ɔ z n a n i j ɛ
соин	s ɔ i n
сокак	s ɔ k a k
сокаче	s ɔ k a t͡ʃ ɛ
сокачки	s ɔ k a t͡ʃ k i
сокол	s ɔ k ɔ ɫ
соколар	s ɔ k ɔ ɫ a r
соларен	s ɔ ɫ a ɾ ɛ n
соленост	s ɔ l ɛ n ɔ s t
солза	s ɔ ɫ z a
солзичка	s ɔ ɫ z i t͡ʃ k a
солун	s ɔ ɫ u n
соматски	s ɔ m a t s k i
сомнение	s ɔ m n ɛ n i j ɛ
сомнителност	s ɔ m n i t ɛ ɫ n ɔ s t
сомничавост	s ɔ m n i t͡ʃ a v ɔ s t
сомот	s ɔ m ɔ t
сомун	s ɔ m u n
сон	s ɔ n
сонародник	s ɔ n a ɾ ɔ d n i k
сонародничка	s ɔ n a r ɔ d n i t͡ʃ k a
сонетен	s ɔ n ɛ t ɛ n
сонце	s ɔ n t͡s ɛ
сонценце	s ɔ n t͡s ɛ n t͡s ɛ
сонцуле	s ɔ n t͡s u l ɛ
соодветност	s ɔ ɔ d v ɛ t n ɔ s t
соодветство	s ɔ ɔ d v ɛ t s t v ɔ
сооднос	s ɔ ɔ d n ɔ s
сопатничка	s ɔ p a t n i t͡ʃ k a
соперничка	s ɔ p ɛ r n i t͡ʃ k a
соплеменица	s ɔ p l ɛ m ɛ n i t͡s a
сопотписник	s ɔ p ɔ t p i s n i k
сопруг	s ɔ p r u k
сопруга	s ɔ p r u ɡ a
сопружник	s ɔ p r u ʒ n i k
сопружничка	s ɔ p r u ʒ n i t͡ʃ k a
сопружништво	s ɔ p r u ʒ n i ʃ t v ɔ
сопственица	s ɔ p s t v ɛ n i t͡s a
сопственички	s ɔ p s t v ɛ n i t͡ʃ k i
сопствеништво	s ɔ p s t v ɛ n i ʃ t v ɔ
сопче	s ɔ p t͡ʃ ɛ
соседство	s ɔ s ɛ t s t v ɔ
сословие	s ɔ s ɫ ɔ v i j ɛ
сосопственик	s ɔ s ɔ p s t v ɛ n i k
сот	s ɔ t
соучесница	s ɔ u t͡ʃ ɛ s n i t͡s a
соучеснички	s ɔ u t͡ʃ ɛ s n i t͡ʃ k i
соучесништво	s ɔ u t͡ʃ ɛ s n i ʃ t v ɔ
соучество	s ɔ u t͡ʃ ɛ s t v ɔ
соучествува	s ɔ u t͡ʃ ɛ s t v u v a
софија	s ɔ f i j a
сочност	s ɔ t͡ʃ n ɔ s t
сочувствителност	s ɔ t͡ʃ u f s t v i t ɛ ɫ n ɔ s t
сојузништво	s ɔ j u z n i ʃ t v ɔ
спарува	s p a ɾ u v a
спасителен	s p a s i t ɛ l ɛ n
спасувачки	s p a s u v a t͡ʃ k i
спахија	s p a x i j a
сперма	s p ɛ r m a
специјализација	s p ɛ t͡s i j a l i z a t͡s i j a
спечалува	s p ɛ t͡ʃ a ɫ u v a
спикер	s p i k ɛ r
спикерка	s p i k ɛ r k a
спинета	s p i n ɛ t a
спинети	s p i n ɛ t i
списание	s p i s a n i j ɛ
сплеткар	s p l ɛ t k a r
сполај	s p ɔ ɫ a j
споменица	s p ɔ m ɛ n i t͡s a
споменичен	s p ɔ m ɛ n i t͡ʃ ɛ n
спонзорски	s p ɔ n z ɔ r s k i
спонтаност	s p ɔ n t a n ɔ s t
споредлив	s p ɔ ɾ ɛ d l i f
споредливост	s p ɔ r ɛ d l i v ɔ s t
споредност	s p ɔ ɾ ɛ d n ɔ s t
спорен	s p ɔ ɾ ɛ n
спорност	s p ɔ r n ɔ s t
спорост	s p ɔ ɾ ɔ s t
спорт	s p ɔ r t
споцрка	s p ɔ t͡s r̩ k a
спојка	s p ɔ j k a
справа	s p r a v a
справедливост	s p r a v ɛ d l i v ɔ s t
спрат	s p r a t
спремност	s p r ɛ m n ɔ s t
спринтер	s p r i n t ɛ r
спринтерка	s p r i n t ɛ r k a
спроводен	s p r ɔ v ɔ d ɛ n
спроводник	s p r ɔ v ɔ d n i k
сразмер	s r a z m ɛ r
сразмерност	s r a z m ɛ r n ɔ s t
србин	s r̩ b i n
србинка	s r̩ b i ŋ k a
срдечност	s r̩ d ɛ t͡ʃ n ɔ s t
сребрар	s r ɛ b r a r
сребрен	s r ɛ b r ɛ n
сребрест	s r ɛ b r ɛ s t
среда	s r ɛ d a
среден	s r ɛ d ɛ n
среденост	s r ɛ d ɛ n ɔ s t
сретнува	s r ɛ t n u v a
срна	s r̩ n a
срнче	s r̩ n t͡ʃ ɛ
сродност	s r ɔ d n ɔ s t
срочиште	s r ɔ t͡ʃ i ʃ t ɛ
српски	s r̩ p s k i
срце	s r̩ t͡s ɛ
срценце	s r̩ t͡s ɛ n t͡s ɛ
срцуле	s r̩ t͡s u l ɛ
стабилизација	s t a b i l i z a t͡s i j a
стабилност	s t a b i ɫ n ɔ s t
става	s t a v a
стави	s t a v i
стагнација	s t a ɡ n a t͡s i j a
стадиум	s t a d i j u m
стадо	s t a d ɔ
стаклар	s t a k ɫ a r
стакларка	s t a k ɫ a r k a
стакларски	s t a k ɫ a r s k i
стакларство	s t a k ɫ a r s t v ɔ
стакленички	s t a k l ɛ n i t͡ʃ k i
стакленце	s t a k l ɛ n t͡s ɛ
сталешки	s t a l ɛ ʃ k i
сталоженост	s t a ɫ ɔ ʒ ɛ n ɔ s t
стан	s t a n
станарство	s t a n a r s t v ɔ
станбен	s t a m b ɛ n
стандардизација	s t a n d a r d i z a t͡s i j a
станува	s t a n u v a
станче	s t a n t͡ʃ ɛ
стап	s t a p
стаписаност	s t a p i s a n ɔ s t
стар	s t a r
старец	s t a ɾ ɛ t͡s
старешинство	s t a r ɛ ʃ i n s t v ɔ
старолик	s t a ɾ ɔ l i k
староликост	s t a r ɔ l i k ɔ s t
старче	s t a r t͡ʃ ɛ
статичност	s t a t i t͡ʃ n ɔ s t
стврднатост	s t v r̩ d n a t ɔ s t
стена	s t ɛ n a
стенографија	s t ɛ n ɔ ɡ r a f i j a
степенува	s t ɛ p ɛ n u v a
стерилизациски	s t ɛ ɾ i l i z a t͡s i s k i
стерилизација	s t ɛ ɾ i l i z a t͡s i j a
стетоскоп	s t ɛ t ɔ s k ɔ p
стилизација	s t i l i z a t͡s i j a
стиснатост	s t i s n a t ɔ s t
стиснува	s t i s n u v a
стија	s t i j a
сто	s t ɔ
стокхолм	s t ɔ k x ɔ ɫ m̩
стокхолмски	s t ɔ k x ɔ ɫ m̩ s k i
столарство	s t ɔ ɫ a r s t v ɔ
столица	s t ɔ l i t͡s a
столови	s t ɔ ɫ ɔ v i
столче	s t ɔ ɫ t͡ʃ ɛ
стомак	s t ɔ m a k
стоматологија	s t ɔ m a t ɔ ɫ ɔ ɡ i j a
стомна	s t ɔ m n a
стомничка	s t ɔ m n i t͡ʃ k a
стопеност	s t ɔ p ɛ n ɔ s t
стопува	s t ɔ p u v a
сторител	s t ɔ ɾ i t ɛ ɫ
стравотен	s t r a v ɔ t ɛ n
стравува	s ɛ s t r a v u v a
страда	s t r a d a
страдалник	s t r a d a ɫ n i k
стражарка	s t r a ʒ a r k a
страница	s t r a n i t͡s a
страничка	s t r a n i t͡ʃ k a
стратег	s t r a t ɛ k
стратификација	s t r a t i f i k a t͡s i j a
страчкин	s t r a t͡ʃ k i n
страшливост	s t r a ʃ l i v ɔ s t
стрви	s t r̩ v i
стрвник	s t r̩ v n i k
стрела	s t r ɛ ɫ a
стреличарство	s t r ɛ l i t͡ʃ a r s t v ɔ
стреличка	s t r ɛ l i t͡ʃ k a
стринин	s t r i n i n
стрмност	s t r̩ m n ɔ s t
струга	s t r u ɡ a
струи	s t r u i
студен	s t u d ɛ n
студент	s t u d ɛ n t
студентка	s t u d ɛ n t k a
студио	s t u d i j ɔ
субвенција	s u b v ɛ n t͡s i j a
сублимација	s u b l i m a t͡s i j a
сува	s u v a
сувански	s u v a n s k i
суверен	s u v ɛ ɾ ɛ n
сувост	s u v ɔ s t
сугестија	s u ɡ ɛ s t i j a
суд	s u t
суеверие	s u ɛ v ɛ ɾ i j ɛ
суетност	s u ɛ t n ɔ s t
сукало	s u k a ɫ ɔ
сукња	s u k ɲ a
султанка	s u ɫ t a ŋ k a
султанов	s u ɫ t a n ɔ f
сулфурен	s u ɫ f u ɾ ɛ n
сунѓер	s u n ɟ ɛ r
сунѓерче	s u n ɟ ɛ r t͡ʃ ɛ
супа	s u p a
супичка	s u p i t͡ʃ k a
суптилност	s u p t i ɫ n ɔ s t
сура	s u ɾ a
сурат	s u ɾ a t
сурутка	s u ɾ u t k a
сусамов	s u s a m ɔ f
суфикс	s u f i k s
суштественост	s u ʃ t ɛ s t v ɛ n ɔ s t
суштество	s u ʃ t ɛ s t v ɔ
сферичност	s f ɛ ɾ i t͡ʃ n ɔ s t
сценографија	s t͡s ɛ n ɔ ɡ r a f i j a
сценски	s t͡s ɛ n s k i
сѐ	s ɛ
сјајност	s j a j n ɔ s t
таа	t a a
таблица	t a b l i t͡s a
тавтологија	t a f t ɔ ɫ ɔ ɡ i j a
таинственост	t a i n s t v ɛ n ɔ s t
така	t a k a
такса	t a k s a
таксирлија	t a k s i r l i j a
таксономија	t a k s ɔ n ɔ m i j a
тактичност	t a k t i t͡ʃ n ɔ s t
талка	t a ɫ k a
таму	t a m u
тантал	t a n t a ɫ
танцов	t a n t͡s ɔ f
тапан	t a p a n
тапанарка	t a p a n a r k a
тапанче	t a p a n t͡ʃ ɛ
тапија	t a p i j a
тастатура	t a s t a t u ɾ a
татенце	t a t ɛ n t͡s ɛ
таткоубиство	t a t k ɔ u b i s t v ɔ
тахикардија	t a x i k a r d i j a
ташна	t a ʃ n a
ташничка	t a ʃ n i t͡ʃ k a
тајна	t a j n a
тајност	t a j n ɔ s t
таџикистан	t a d͡ʒ i k i s t a n
тбилиси	d b i l i s i
тбилисиски	d b i l i s i s k i
твид	t v i t
твој	t v ɔ j
тврдоглавост	t v r̩ d ɔ ɡ ɫ a v ɔ s t
тврдост	t v r̩ d ɔ s t
те	t ɛ
тебе	t ɛ b ɛ
тегав	t ɛ ɡ a f
тежок	t ɛ ʒ ɔ k
теза	t ɛ z a
тексас	t ɛ k s a s
текстил	t ɛ k s t i ɫ
теленце	t ɛ l ɛ n t͡s ɛ
телеологија	t ɛ l ɛ ɔ ɫ ɔ ɡ i j a
телесност	t ɛ l ɛ s n ɔ s t
телефон	t ɛ l ɛ f ɔ n
теме	t ɛ m ɛ
темница	t ɛ m n i t͡s a
темноцрвен	t ɛ m n ɔ t͡s r̩ v ɛ n
тенденција	t ɛ n d ɛ n t͡s i j a
тенис	t ɛ n i s
тениски	t ɛ n i s k i
тенија	t ɛ n i j a
тенок	t ɛ n ɔ k
тенорски	t ɛ n ɔ r s k i
теократија	t ɛ ɔ k r a t i j a
тепач	t ɛ p a t͡ʃ
тепих	t ɛ p i x
термодинамика	t ɛ r m ɔ d i n a m i k a
тесар	t ɛ s a r
теснински	t ɛ s n i n s k i
тесноградост	t ɛ s n ɔ ɡ r a d ɔ s t
тесто	t ɛ s t ɔ
тетинов	t ɛ t i n ɔ f
тетратче	t ɛ t r a t t͡ʃ ɛ
тефтерче	t ɛ f t ɛ r t͡ʃ ɛ
техеран	t ɛ x ɛ ɾ a n
техерански	t ɛ x ɛ ɾ a n s k i
техничарка	t ɛ x n i t͡ʃ a r k a
технологија	t ɛ x n ɔ ɫ ɔ ɡ i j a
тешкичок	t ɛ ʃ k i t͡ʃ ɔ k
тешкотија	t ɛ ʃ k ɔ t i j a
ти	t i
тигарски	t i ɡ a r s k i
тие	t i j ɛ
тиква	t i k v a
тикварник	t i k v a r n i k
тикве	t i k v ɛ
тиквеник	t i k v ɛ n i k
тиквичка	t i k v i t͡ʃ k a
тим	t i m
тимар	t i m a r
тимбу	t i m b u
тимбуски	t i m b u s k i
типологија	t i p ɔ ɫ ɔ ɡ i j a
тирана	t i r a n a
тих	t i x
тишина	t i ʃ i n a
ткае	t k a ɛ
ткајач	t k a j a t͡ʃ
ткајачка	t k a j a t͡ʃ k a
тоа	t ɔ a
товар	t ɔ v a r
токио	t ɔ k i j ɔ
токиски	t ɔ k i s k i
толеранција	t ɔ l ɛ r a n t͡s i j a
том	t ɔ m
топ	t ɔ p
топка	t ɔ p k a
топкање	t ɔ p k a ɲ ɛ
топличок	t ɔ p l i t͡ʃ ɔ k
топот	t ɔ p ɔ t
топчест	t ɔ p t͡ʃ ɛ s t
торба	t ɔ r b a
тореадорски	t ɔ ɾ ɛ a d ɔ r s k i
торта	t ɔ r t a
точак	t ɔ t͡ʃ a k
тој	t ɔ j
трагикомедија	t r a ɡ i k ɔ m ɛ d i j a
трагикомичен	t r a ɡ i k ɔ m i t͡ʃ ɛ n
трагичарка	t r a ɡ i t͡ʃ a r k a
трагичност	t r a ɡ i t͡ʃ n ɔ s t
трактор	t r a k t ɔ r
тракторски	t r a k t ɔ r s k i
транзитен	t r a n z i t ɛ n
транзиција	t r a n z i t͡s i j a
трансакциски	t r a n s a k t͡s i s k i
трансакција	t r a n s a k t͡s i j a
транспозиција	t r a n s p ɔ z i t͡s i j a
трансфер	t r a n s f ɛ r
трансфобија	t r a n s f ɔ b i j a
трансформатор	t r a n s f ɔ r m a t ɔ r
трансформација	t r a n s f ɔ r m a t͡s i j a
трауматичност	t r a u m a t i t͡ʃ n ɔ s t
трафика	t r a f i k a
трачар	t r a t͡ʃ a r
трајност	t r a j n ɔ s t
трбушен	t r̩ b u ʃ ɛ n
трева	t r ɛ v a
тревичка	t r ɛ v i t͡ʃ k a
тревник	t r ɛ v n i k
трезвеник	t r ɛ z v ɛ n i k
трезорски	t r ɛ z ɔ r s k i
трескот	t r ɛ s k ɔ t
тржество	t r̩ ʒ ɛ s t v ɔ
трзачки	t r̩ z a t͡ʃ k i
три	t r i
тригонометрија	t r i ɡ ɔ n ɔ m ɛ t r i j a
триделен	t r i d ɛ l ɛ n
триесет	t r i j ɛ s ɛ t
трилогија	t r i ɫ ɔ ɡ i j a
тринаесет	t r i n a ɛ s ɛ t
триста	t r i s t a
трици	t r i t͡s i
тркалце	t r̩ k a ɫ t͡s ɛ
тркачки	t r̩ k a t͡ʃ k i
трн	t r̩ n̩
трнинка	t r̩ n i ŋ k a
трнка	t r̩ n̩ k a
тровче	t r ɔ f t͡ʃ ɛ
трогателност	t r ɔ ɡ a t ɛ ɫ n ɔ s t
трогнатост	t r ɔ ɡ n a t ɔ s t
тромавост	t r ɔ m a v ɔ s t
тромб	t r ɔ m p
трошка	t r ɔ ʃ k a
трошочен	t r ɔ ʃ ɔ t͡ʃ ɛ n
тројка	t r ɔ j k a
тројца	t r ɔ j t͡s a
тројче	t r ɔ j t͡ʃ ɛ
трст	t r̩ s t
труд	t r u t
труден	t r u d ɛ n
труп	t r u p
трупа	t r u p a
трупче	t r u p t͡ʃ ɛ
трњак	t r̩ ɲ a k
тужба	t u ʒ b a
тужбен	t u ʒ b ɛ n
тужителка	t u ʒ i t ɛ ɫ k a
тука	t u k a
тулиум	t u l i j u m
туморски	t u m ɔ r s k i
тунис	t u n i s
тупав	t u p a f
турбуленција	t u r b u l ɛ n t͡s i j a
турист	t u r i s t
туристка	t u r i s t k a
турнува	t u r n u v a
турчин	t u r t͡ʃ i n
турчинка	t u r t͡ʃ i ŋ k a
туткав	t u t k a f
туш	t u ʃ
туѓински	t u ɟ i n s k i
у	u
убива	u b i v a
убиец	u b i j ɛ t͡s
убиство	u b i s t v ɔ
убоден	u b ɔ d ɛ n
увезувач	u v ɛ z u v a t͡ʃ
уверува	u v ɛ ɾ u v a
уво	u v ɔ
увод	u v ɔ t
угар	u ɡ a r
угарење	u ɡ a ɾ ɛ ɲ ɛ
угари	u ɡ a ɾ i
угледност	u ɡ l ɛ d n ɔ s t
угнетеност	u ɡ n ɛ t ɛ n ɔ s t
угодник	u ɡ ɔ d n i k
угоре	u ɡ ɔ ɾ ɛ
угостителство	u ɡ ɔ s t i t ɛ ɫ s t v ɔ
ударнички	u d a r n i t͡ʃ k i
удобност	u d ɔ b n ɔ s t
удолу	u d ɔ ɫ u
удопство	u d ɔ p s t v ɔ
ужас	u ʒ a s
узурпаторски	u z u r p a t ɔ r s k i
узурпација	u z u r p a t͡s i j a
указ	u k a s
улица	u l i t͡s a
уличарски	u l i t͡ʃ a r s k i
ум	u m
умее	u m ɛ ɛ
умереност	u m ɛ ɾ ɛ n ɔ s t
уметник	u m ɛ t n i k
уметница	u m ɛ t n i t͡s a
уметнички	u m ɛ t n i t͡ʃ k i
уметништво	u m ɛ t n i ʃ t v ɔ
уметност	u m ɛ t n ɔ s t
умешност	u m ɛ ʃ n ɔ s t
умник	u m n i k
умотворба	u m ɔ t v ɔ r b a
умува	u m u v a
унгарија	u n ɡ a ɾ i j a
унгарски	u ŋ ɡ a r s k i
универзитет	u n i v ɛ r z i t ɛ t
уникатност	u n i k a t n ɔ s t
унија	u n i j a
уплашеност	u p ɫ a ʃ ɛ n ɔ s t
управен	u p r a v ɛ n
управничка	u p r a v n i t͡ʃ k a
управнички	u p r a v n i t͡ʃ k i
упропастеност	u p r ɔ p a s t ɛ n ɔ s t
урбанизација	u r b a n i z a t͡s i j a
ургентен	u r ɡ ɛ n t ɛ n
уредничка	u r ɛ d n i t͡ʃ k a
уреднички	u r ɛ d n i t͡ʃ k i
уредност	u ɾ ɛ d n ɔ s t
урологија	u ɾ ɔ ɫ ɔ ɡ i j a
усвојлив	u s v ɔ j l i f
условност	u s ɫ ɔ v n ɔ s t
условува	u s ɫ ɔ v u v a
услужливост	u s ɫ u ʒ l i v ɔ s t
услужува	u s ɫ u ʒ u v a
усмрденост	u s m r̩ d ɛ n ɔ s t
усмртува	u s m r̩ t u v a
усогласеност	u s ɔ ɡ ɫ a s ɛ n ɔ s t
успаниченост	u s p a n i t͡ʃ ɛ n ɔ s t
успех	u s p ɛ x
успешност	u s p ɛ ʃ n ɔ s t
усрден	u s r̩ d ɛ n
усрдност	u s r̩ d n ɔ s t
уста	u s t a
устав	u s t a f
уставност	u s t a v n ɔ s t
усте	u s t ɛ
устичка	u s t i t͡ʃ k a
устројство	u s t r ɔ j s t v ɔ
утопија	u t ɔ p i j a
утре	u t r ɛ
