わ゙	b a̠̠
盆景	b õ̞ ŋ k e̞ː
ほんこう	h õ̞ ŋ k o̞ː
ほんこく	h õ̞ ŋ k o̞ k ɯ̟ᵝ
ぽんこつ	p õ̞ ŋ k o̞ t͡s ɨᵝ
ホンコン	h õ̞ ŋ k õ̞ ɴ
ぼんご	b õ̞ ŋ ɡ o̞
ぼんさい	b õ̞ ɰ̃ s a̠ i
ほんざん	h õ̞ n d͡z ã̠ ɴ
ほんざん	h õ̞ n d͡z ã̠ ɴ
ほんしつ	h õ̞ ɰ̃ ɕ i̥ t͡s ɨᵝ
ほんしゃ	h õ̞ ɰ̃ ɕ a̠
ほんしゅう	h õ̞ ɰ̃ ɕ ɨᵝː
ほんしょ	h õ̞ ɰ̃ ɕ o̞
ぼんしょう	b õ̞ ɰ̃ ɕ o̞ː
ほんしょく	h õ̞ ɰ̃ ɕ o̞ k ɯ̟ᵝ
ほんしょしごせん	h õ̞ ɰ̃ ɕ o̞ ɕ i ɡ o̞ s ẽ̞ ɴ
ほんしん	h õ̞ ɰ̃ ɕ ĩ ɴ
ほんじ	h õ̞ ɲ̟ d͡ʑ i
ぼんじ	b õ̞ ɲ̟ d͡ʑ i
ほんじつ	h õ̞ ɲ̟ d͡ʑ i t͡s ɨᵝ
ほんじつはせいてんなり	h õ̞ ɲ̟ d͡ʑ i t͡s ɨᵝ ɰᵝ a̠ s e̞ː t ẽ̞ n n a̠ ɾʲ i
ほんすじ	h õ̞ ɰ̃ s ɨᵝ ʑ i
ポンず	p õ̞ n d͡z ɨᵝ
ほんしょう	h õ̞ ɰ̃ ɕ o̞ː
ほんたい	h õ̞ n t a̠ i
ほんだ	h õ̞ n d a̠
ほんだ	h õ̞ n d a̠
ほんだい	h õ̞ n d a̠ i
ポンチ	p õ̞ ɲ̟ t͡ɕ i
ホンチュン	h õ̞ ɲ̟ t͡ɕ ɨ̃ᵝ ɴ
ポンチョ	p õ̞ ɲ̟ t͡ɕ o̞
ほんちょう	h õ̞ ɲ̟ t͡ɕ o̞ː
ぼんぢょうちん	b õ̞ ɲ̟ d͡ʑ o̞ː t͡ɕ ĩ ɴ
ほんとう	h õ̞ n t o̞ː
ほんとう	h õ̞ n t o̞ː
ほんにん	h õ̞ ɲ̟ ɲ̟ ĩ ɴ
ほんね	h õ̞ nː e̞
ほんねん	h õ̞ nː ẽ̞ ɴ
ほんの	h õ̞ n n o̞
ほんのう	h õ̞ nː o̞ː
ぼんのう	b õ̞ nː o̞ː
ほんば	h õ̞ m b a̠
ほんばん	h õ̞ m b ã̠ ɴ
ほんばんかんきょう	h õ̞ m b ã̠ ŋ k ã̠ ŋʲ kʲ o̞ː
ほんばんこうい	h õ̞ m b ã̠ ŋ k o̞ː i
ポンびき	p õ̞ m bʲ i kʲ i
ぼんぷ	b õ̞ m p ɯ̟ᵝ
ポンプ	p õ̞ m p ɯ̟ᵝ
ポンプざ	p õ̞ m p ɯ̟ᵝ z a̠
ボンベ	b õ̞ m b e̞
ほんぼし	h õ̞ m b o̞ ɕ i
ほんぽう	h õ̞ m p o̞ː
ポンポン	p õ̞ m p õ̞ ɴ
ほんま	h õ̞ mː a̠
ほんまつてんとう	h õ̞ mː a̠ t͡s ɨᵝ t ẽ̞ n t o̞ː
ほんまる	h õ̞ mː a̠ ɾ ɯ̟ᵝ
ぼんミス	b õ̞ mʲː i s ɨᵝ
ほんみょう	h õ̞ mʲː o̞ː
ほんやく	h õ̞ ɰ̃ j a̠ k ɯ̟ᵝ
ぼんやすみ	b õ̞ ɰ̃ j a̠ s ɨᵝ mʲ i
ぼんやり	b õ̞ ɰ̃ j a̠ ɾʲ i
ほうゆう	h o̞ː j ɯ̟ᵝː
ほんよみ	h õ̞ ɰ̃ j o̞ mʲ i
ほんらい	h õ̞ n ɾ a̠ i
ぼんらん	b õ̞ n ɾ ã̠ ɴ
ほんるい	h õ̞ n ɾ ɯ̟ᵝ i
ほんるいだ	h õ̞ n ɾ ɯ̟ᵝ i d a̠
ほんわか	h õ̞ ɰ̃ ɰᵝ a̠ k a̠
ま	m a̠
マ	m a̠
ま	m a̠
あさ	a̠ s a̠
まあ	m a̠ː
マーカー	m a̠ː k a̠ː
マーガリン	m a̠ː ɡ a̠ ɾʲ ĩ ɴ
マーガレット	m a̠ː ɡ a̠ ɾ e̞ t̚ t o̞
マーキュリー	m a̠ː kʲ ɨᵝ ɾʲ iː
マークシート	m a̠ː k ɯ̟ᵝ ɕ iː t o̞
マーゲイ	m a̠ː ɡ e̞ː
マーシャルアーツ	m a̠ː ɕ a̠ ɾ ɯ̟ᵝ a̠ː t͡s ɨᵝ
マージ	m a̠ː ʑ i
マージャン	m a̠ː ʑ ã̠ ɴ
マーズ	m a̠ː z ɨᵝ
まあたらしい	m a̠ː t a̠ ɾ a̠ ɕ iː
マート	m a̠ː t o̞
まーぼーどうふ	m a̠ː b o̞ː d o̞ː ɸ ɯ̟ᵝ
マーマレード	m a̠ː m a̠ ɾ e̞ː d o̞
マーメード	m a̠ː m e̞ː d o̞
マーモット	m a̠ː m o̞ t̚ t o̞
マールス	m a̠ː ɾ ɯ̟ᵝ s ɨᵝ
まいあがる	m a̠ i a̠ ɡ a̠ ɾ ɯ̟ᵝ
マイアミ	m a̠ i a̠ mʲ i
まいおちる	m a̠ i o̞ t͡ɕ i ɾ ɯ̟ᵝ
まいおどる	m a̠ i o̞ d o̞ ɾ ɯ̟ᵝ
マイカー	m a̠ i k a̠ː
まいかい	m a̠ i k a̠ i
マイク	m a̠ i k ɯ̟ᵝ
マイクロコンピュータ	m a̠ i k ɯ̟ᵝ ɾ o̞ k õ̞ m pʲ ɨᵝː t a̠
マイクロコンピューター	m a̠ i k ɯ̟ᵝ ɾ o̞ k õ̞ m pʲ ɨᵝː t a̠ː
マイクロは	m a̠ i k ɯ̟ᵝ ɾ o̞ ɰᵝ a̠
マイクロホン	m a̠ i k ɯ̟ᵝ ɾ o̞ h õ̞ ɴ
まいこ	m a̠ i k o̞
マイコン	m a̠ i k õ̞ ɴ
まいご	m a̠ i ɡ o̞
まいしゅう	m a̠ i ɕ ɨᵝː
まいにち	m a̠ i ɲ̟ i t͡ɕ i
まいすう	m a̠ i s ɨᵝː
まいせつ	m a̠ i s e̞ t͡s ɨᵝ
まいそう	m a̠ i s o̞ː
まいそう	m a̠ i s o̞ː
まいぞう	m a̠ i z o̞ː
まいたけ	m a̠ i t a̠ k e̞
まいとし	m a̠ i t o̞ ɕ i
マイトネリウム	m a̠ i t o̞ n e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
まいど	m a̠ i d o̞
マイノリティー	m a̠ i n o̞ ɾʲ i tʲ iː
マイブーム	m a̠ i b ɯ̟ᵝː m ɯ̟ᵝ
マイペース	m a̠ i p e̞ː s ɨᵝ
まいぼつ	m a̠ i b o̞ t͡s ɨᵝ
まいまい	m a̠ i m a̠ i
マイム	m a̠ i m ɯ̟ᵝ
まいり	m a̠ i ɾʲ i
マイル	m a̠ i ɾ ɯ̟ᵝ
まいる	m a̠ i ɾ ɯ̟ᵝ
マイン	m a̠ ĩ ɴ
マインド	m a̠ ĩ n d o̞
マインドセット	m a̠ ĩ n d o̞ s e̞ t̚ t o̞
まう	m a̠ ɯ̟ᵝ
まうしろ	m a̠ ɯ̟ᵝ ɕ i ɾ o̞
マウス	m a̠ ɯ̟ᵝ s ɨᵝ
マウントかいじょ	m a̠ ɯ̟̃ᵝ n t o̞ k a̠ i ʑ o̞
まえあし	m a̠ e̞ a̠ ɕ i
まえうり	m a̠ e̞ ɯ̟ᵝ ɾʲ i
まえおき	m a̠ e̞ o̞ kʲ i
まえかけ	m a̠ e̞ k a̠ k e̞
まえかけ	m a̠ e̞ k a̠ k e̞
まえかぶ	m a̠ e̞ k a̠ b ɯ̟ᵝ
まえがみ	m a̠ e̞ ɡ a̠ mʲ i
まえこうじょう	m a̠ e̞ k o̞ː ʑ o̞ː
まえざわ	m a̠ e̞ z a̠ ɰᵝ a̠
まえだて	m a̠ e̞ d a̠ t e̞
まえだれ	m a̠ e̞ d a̠ ɾ e̞
まえだれ	m a̠ e̞ d a̠ ɾ e̞
まえづけ	m a̠ e̞ z ɨᵝ k e̞
まえのめり	m a̠ e̞ n o̞ m e̞ ɾʲ i
まえばらい	m a̠ e̞ b a̠ ɾ a̠ i
まえふり	m a̠ e̞ ɸ ɯ̟ᵝ ɾʲ i
まえぶれ	m a̠ e̞ b ɯ̟ᵝ ɾ e̞
まか	m a̠ k a̠
マカー	m a̠ k a̠ː
まかい	m a̠ k a̠ i
マカオ	m a̠ k a̠ o̞
マカオ	m a̠ k a̠ o̞
まかす	m a̠ k a̠ s ɨᵝ
まかす	m a̠ k a̠ s ɨᵝ
まかせる	m a̠ k a̠ s e̞ ɾ ɯ̟ᵝ
まかつきゅう	m a̠ k a̠ t͡s ɨ̥ᵝ kʲ ɨᵝː
まかない	m a̠ k a̠ n a̠ i
まかなう	m a̠ k a̠ n a̠ ɯ̟ᵝ
マカロニ	m a̠ k a̠ ɾ o̞ ɲ̟ i
マカロン	m a̠ k a̠ ɾ õ̞ ɴ
まがいもの	m a̠ ɡ a̠ i m o̞ n o̞
まがう	m a̠ ɡ a̠ ɯ̟ᵝ
まがお	m a̠ ɡ a̠ o̞
まがたま	m a̠ ɡ a̠ t a̠ m a̠
まがまがしい	m a̠ ɡ a̠ m a̠ ɡ a̠ ɕ iː
まがも	m a̠ ɡ a̠ m o̞
まがりかど	m a̠ ɡ a̠ ɾʲ i k a̠ d o̞
まがる	m a̠ ɡ a̠ ɾ ɯ̟ᵝ
まがる	m a̠ ɡ a̠ ɾ ɯ̟ᵝ
まがん	m a̠ ɡ ã̠ ɴ
まき	m a̠ kʲ i
まきえ	m a̠ kʲ i e̞
けんうん	k ẽ̞ ɰ̃ ɯ̟̃ᵝ ɴ
まきこ	m a̠ kʲ i k o̞
まきこむ	m a̠ kʲ i k o̞ m ɯ̟ᵝ
マキシ	m a̠ kʲ i ɕ i
まきじた	m a̠ kʲ i ʑ i t a̠
まきす	m a̠ kʲ i s ɨᵝ
まきぞえ	m a̠ kʲ i z o̞ e̞
まきぞえひがい	m a̠ kʲ i z o̞ e̞ ç i ɡ a̠ i
まきぞえをくう	m a̠ kʲ i z o̞ e̞ o̞ k ɯ̟ᵝː
まきもどす	m a̠ kʲ i m o̞ d o̞ s ɨᵝ
まきもの	m a̠ kʲ i m o̞ n o̞
まきゅう	m a̠ kʲ ɨᵝː
まきょう	m a̠ kʲ o̞ː
まぎらわしい	m a̠ ɡʲ i ɾ a̠ ɰᵝ a̠ ɕ i i
まぐれ	m a̠ ɡ ɯ̟ᵝ ɾ e̞
まく	m a̠ k ɯ̟ᵝ
まく	m a̠ k ɯ̟ᵝ
まく	m a̠ k ɯ̟ᵝ
まく	m a̠ k ɯ̟ᵝ
まくしたてる	m a̠ k ɯ̟ᵝ ɕ i t a̠ t e̞ ɾ ɯ̟ᵝ
まくじゃく	m a̠ k ɯ̟ᵝ ʑ a̠ k ɯ̟ᵝ
まくつ	m a̠ k ɯ̟ᵝ t͡s ɨᵝ
マクド	m a̠ k ɯ̟ᵝ d o̞
マクドナルド	m a̠ k ɯ̟ᵝ d o̞ n a̠ ɾ ɯ̟ᵝ d o̞
まくなぎ	m a̠ k ɯ̟ᵝ n a̠ ɡʲ i
まくら	m a̠ k ɯ̟ᵝ ɾ a̠
まくらえいぎょう	m a̠ k ɯ̟ᵝ ɾ a̠ e̞ː ɡʲ o̞ː
まくらぎ	m a̠ k ɯ̟ᵝ ɾ a̠ ɡʲ i
まくらことば	m a̠ k ɯ̟ᵝ ɾ a̠ k o̞ t o̞ b a̠
まくらなげ	m a̠ k ɯ̟ᵝ ɾ a̠ n a̠ ɡ e̞
マクロファージ	m a̠ k ɯ̟ᵝ ɾ o̞ ɸ a̠ː ʑ i
マクロン	m a̠ k ɯ̟ᵝ ɾ õ̞ ɴ
マグ	m a̠ ɡ ɯ̟ᵝ
マグカップ	m a̠ ɡ ɯ̟ᵝ k a̠ p̚ p ɯ̟ᵝ
まぐさ	m a̠ ɡ ɯ̟ᵝ s a̠
マグネシウム	m a̠ ɡ ɯ̟ᵝ n e̞ ɕ i ɯ̟ᵝ m ɯ̟ᵝ
マグマ	m a̠ ɡ ɯ̟ᵝ m a̠
まぐれあたり	m a̠ ɡ ɯ̟ᵝ ɾ e̞ a̠ t a̠ ɾʲ i
まぎれる	m a̠ ɡʲ i ɾ e̞ ɾ ɯ̟ᵝ
まぐろ	m a̠ ɡ ɯ̟ᵝ ɾ o̞
まけ	m a̠ k e̞
まけいぬ	m a̠ k e̞ː n ɯ̟ᵝ
マケドニアじん	m a̠ k e̞ d o̞ ɲ̟ i a̠ ʑ ĩ ɴ
まける	m a̠ k e̞ ɾ ɯ̟ᵝ
まけん	m a̠ k ẽ̞ ɴ
まげる	m a̠ ɡ e̞ ɾ ɯ̟ᵝ
まこ	m a̠ k o̞
み	mʲ i
しん	ɕ ĩ ɴ
まこと	m a̠ k o̞ t o̞
むまご	m a̠ ɡ o̞
そんし	m a̠ ɡ o̞ k o̞
まごころ	m a̠ ɡ o̞ k o̞ ɾ o̞
まごつく	m a̠ ɡ o̞ t͡s ɨᵝ k ɯ̟ᵝ
まごのて	m a̠ ɡ o̞ n o̞ t e̞
まごまご	m a̠ ɡ o̞ m a̠ ɡ o̞
まごむすこ	m a̠ ɡ o̞ m ɯ̟ᵝ s ɨ̥ᵝ k o̞
まごむすめ	m a̠ ɡ o̞ m ɯ̟ᵝ s ɨᵝ m e̞
まさあき	m a̠ s a̠ː kʲ i
まさあき	m a̠ s a̠ː kʲ i
まさあき	m a̠ s a̠ː kʲ i
まさお	m a̠ s a̠ o̞
しょうわ	ɕ o̞ː ɰᵝ a̠
まさかのとき	m a̠ s a̠ k a̠ n o̞ t o̞ kʲ i
まつまえ	m a̠ t͡s ɨᵝ m a̠ e̞
まさき	m a̠ s a̠ kʲ i
まさき	m a̠ s a̠ kʲ i
まさき	m a̠ s a̠ kʲ i
まさき	m a̠ s a̠ kʲ i
まさくに	m a̠ s a̠ k ɯ̟ᵝ ɲ̟ i
いじる	i ʑ i ɾ ɯ̟ᵝ
まさこ	m a̠ s a̠ k o̞
まさこ	m a̠ s a̠ k o̞
まさこ	m a̠ s a̠ k o̞
まさし	m a̠ s a̠ ɕ i
まさし	m a̠ s a̠ ɕ i
ただしい	t a̠ d a̠ ɕ i i
まさしく	m a̠ s a̠ ɕ i k ɯ̟ᵝ
まさじ	m a̠ s a̠ ʑ i
まさじ	m a̠ s a̠ ʑ i
まさたか	m a̠ s a̠ t a̠ k a̠
まさき	m a̠ s a̠ kʲ i
マサチューセッツ	m a̠ s a̠ t͡ɕ ɨᵝː s e̞ t̚ t͡s ɨᵝ
まさつ	m a̠ s a̠ t͡s ɨᵝ
まさつおん	m a̠ s a̠ t͡s ɨᵝ õ̞ ɴ
まさとし	m a̠ s a̠ t o̞ ɕ i
まさとし	m a̠ s a̠ t o̞ ɕ i
まさとし	m a̠ s a̠ t o̞ ɕ i
まさに	m a̠ s a̠ ɲ̟ i
まさに	m a̠ s a̠ ɲ̟ i
まさのり	m a̠ s a̠ n o̞ ɾʲ i
まさはる	m a̠ s a̠ h a̠ ɾ ɯ̟ᵝ
まさはる	m a̠ s a̠ h a̠ ɾ ɯ̟ᵝ
まさひこ	m a̠ s a̠ ç i k o̞
まさひこ	m a̠ s a̠ ç i k o̞
まさひこ	m a̠ s a̠ ç i k o̞
まさと	m a̠ s a̠ t o̞
まさひろ	m a̠ s a̠ ç i ɾ o̞
まさひろ	m a̠ s a̠ ç i ɾ o̞
まさひろ	m a̠ s a̠ ç i ɾ o̞
まさひろ	m a̠ s a̠ ç i ɾ o̞
まさし	m a̠ s a̠ ɕ i
まさみ	m a̠ s a̠ mʲ i
まさや	m a̠ s a̠ j a̠
まさゆき	m a̠ s a̠ j ɯ̟ᵝ kʲ i
まさゆき	m a̠ s a̠ j ɯ̟ᵝ kʲ i
まさよし	m a̠ s a̠ j o̞ ɕ i
まさる	m a̠ s a̠ ɾ ɯ̟ᵝ
まさる	m a̠ s a̠ ɾ ɯ̟ᵝ
まざる	m a̠ z a̠ ɾ ɯ̟ᵝ
ましお	m a̠ ɕ i o̞
ました	m a̠ ɕ i t a̠
マシマロ	m a̠ ɕ i m a̠ ɾ o̞
マシュマロ	m a̠ ɕ ɨᵝ m a̠ ɾ o̞
ましょう	m a̠ ɕ o̞ː
しんせい	ɕ ĩ ɰ̃ s e̞ː
ましょう	m a̠ ɕ o̞ː
ましょうめん	m a̠ ɕ o̞ː m ẽ̞ ɴ
まじん	m a̠ ʑ ĩ ɴ
マシンガン	m a̠ ɕ ĩ ŋ ɡ ã̠ ɴ
マジ	m a̠ ʑ i
マジェラン	m a̠ ʑ e̞ ɾ ã̠ ɴ
マジェランアイナメ	m a̠ ʑ e̞ ɾ ã̠ ɰ̃ a̠ i n a̠ m e̞
まじえる	m a̠ ʑ i e̞ ɾ ɯ̟ᵝ
まじき	m a̠ ʑ i kʲ i
マジギレ	m a̠ ʑ i ɡʲ i ɾ e̞
マジックペン	m a̠ ʑ i k̚ k ɯ̟ᵝ p ẽ̞ ɴ
マジックミラー	m a̠ ʑ i k̚ k ɯ̟ᵝ mʲ i ɾ a̠ː
のろい	n o̞ ɾ o̞ i
のろう	n o̞ ɾ o̞ ɯ̟ᵝ
マジパン	m a̠ ʑ i p ã̠ ɴ
まじまんじ	m a̠ ʑ i m ã̠ ɲ̟ d͡ʑ i
まじゅつ	m a̠ ʑ ɨᵝ t͡s ɨᵝ
まじゅつし	m a̠ ʑ ɨᵝ t͡s ɨᵝ ɕ i
マジュロ	m a̠ ʑ ɨᵝ ɾ o̞
まじょ	m a̠ ʑ o̞
まじょがり	m a̠ ʑ o̞ ɡ a̠ ɾʲ i
マジョリティー	m a̠ ʑ o̞ ɾʲ i tʲ iː
まじる	m a̠ ʑ i ɾ ɯ̟ᵝ
マジレス	m a̠ ʑ i ɾ e̞ s ɨᵝ
まじわり	m a̠ ʑ i ɰᵝ a̠ ɾʲ i
まじわる	m a̠ ʑ i ɰᵝ a̠ ɾ ɯ̟ᵝ
ます	m a̠ s ɨᵝ
ます	m a̠ s ɨ̥ᵝ
ます	m a̠ s ɨᵝ
もうす	m o̞ː s ɨᵝ
ます	m a̠ s ɨᵝ
ますい	m a̠ s ɨᵝ i
ますいざい	m a̠ s ɨᵝ i z a̠ i
ますいやく	m a̠ s ɨᵝ i j a̠ k ɯ̟ᵝ
マスカット	m a̠ s ɨ̥ᵝ k a̠ t̚ t o̞
マスカラ	m a̠ s ɨ̥ᵝ k a̠ ɾ a̠
マスキングテープ	m a̠ s ɨᵝ kʲ ĩ ŋ ɡ ɯ̟ᵝ t e̞ː p ɯ̟ᵝ
マスク	m a̠ s ɨ̥ᵝ k ɯ̟ᵝ
マスコット	m a̠ s ɨ̥ᵝ k o̞ t̚ t o̞
マスコミ	m a̠ s ɨ̥ᵝ k o̞ mʲ i
マスコミュニケーション	m a̠ s ɨᵝ k o̞ mʲ ɨᵝ ɲ̟ i k e̞ː ɕ õ̞ ɴ
マスゴミ	m a̠ s ɨᵝ ɡ o̞ mʲ i
マスター	m a̠ s ɨ̥ᵝ t a̠ː
マスタード	m a̠ s ɨ̥ᵝ t a̠ː d o̞
マスタープラン	m a̠ s ɨᵝ t a̠ː p ɯ̟ᵝ ɾ ã̠ ɴ
マスターベーション	m a̠ s ɨ̥ᵝ t a̠ː b e̞ː ɕ õ̞ ɴ
ますたけ	m a̠ s ɨᵝ t a̠ k e̞
マスタング	m a̠ s ɨ̥ᵝ t ã̠ ŋ ɡ ɯ̟ᵝ
ますのすけ	m a̠ s ɨᵝ n o̞ s ɨᵝ k e̞
ますます	m a̠ s ɨᵝ m a̠ s ɨᵝ
ますみ	m a̠ s ɨᵝ mʲ i
ますめ	m a̠ s ɨᵝ m e̞
マスメディア	m a̠ s ɨᵝ m e̞ dʲ i a̠
ますらお	m a̠ s ɨᵝ ɾ a̠ o̞
ますらおぶり	m a̠ s ɨᵝ ɾ a̠ o̞ b ɯ̟ᵝ ɾʲ i
まず	m a̠ z ɨᵝ
まずい	m a̠ z ɨᵝ i
まずしい	m a̠ z ɨᵝ ɕ iː
マセル	m a̠ s e̞ ɾ ɯ̟ᵝ
まぜがき	m a̠ z e̞ ɡ a̠ kʲ i
マゼラン	m a̠ z e̞ ɾ ã̠ ɴ
まぜる	m a̠ z e̞ ɾ ɯ̟ᵝ
マゼンタ	m a̠ z ẽ̞ n t a̠
マゾ	m a̠ z o̞
マゾヒスト	m a̠ z o̞ ç i s ɨ̥ᵝ t o̞
マゾヒズム	m a̠ z o̞ ç i z ɨᵝ m ɯ̟ᵝ
また	m a̠ t a̠
また	m a̠ t a̠
マターリ	m a̠ t a̠ː ɾʲ i
またがる	m a̠ t a̠ ɡ a̠ ɾ ɯ̟ᵝ
いそぐ	i s o̞ ɡ ɯ̟ᵝ
またぐ	m a̠ t a̠ ɡ ɯ̟ᵝ
またたび	m a̠ t a̠ t a̠ bʲ i
またとない	m a̠ t a̠ t o̞ n a̠ i
またね	m a̠ t a̠ n e̞
またまた	m a̠ t a̠ m a̠ t a̠
マダガスカル	m a̠ d a̠ ɡ a̠ s ɨ̥ᵝ k a̠ ɾ ɯ̟ᵝ
まだに	m a̠ d a̠ ɲ̟ i
まだまだ	m a̠ d a̠ m a̠ d a̠
まだら	m a̠ d a̠ ɾ a̠
まだるっこしい	m a̠ d a̠ ɾ ɯ̟ᵝ k̚ k o̞ ɕ iː
まち	m a̠ t͡ɕ i
まちあい	m a̠ t͡ɕ i a̠ i
まちあいしつ	m a̠ t͡ɕ i a̠ i ɕ i t͡s ɨᵝ
まちあわせ	m a̠ t͡ɕ i a̠ ɰᵝ a̠ s e̞
まちあわせる	m a̠ t͡ɕ i a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
まちかまえる	m a̠ t͡ɕ i k a̠ m a̠ e̞ ɾ ɯ̟ᵝ
まちがい	m a̠ t͡ɕ i ɡ a̠ i
まちがう	m a̠ t͡ɕ i ɡ a̠ ɯ̟ᵝ
まちがえる	m a̠ t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
まちどおしい	m a̠ t͡ɕ i d o̞ː ɕ iː
まちにまった	m a̠ t͡ɕ i ɲ̟ i m a̠ t̚ t a̠
まちのぞむ	m a̠ t͡ɕ i n o̞ z o̞ m ɯ̟ᵝ
まちぶせ	m a̠ t͡ɕ i b ɯ̟ᵝ s e̞
まちぶせる	m a̠ t͡ɕ i b ɯ̟ᵝ s e̞ ɾ ɯ̟ᵝ
まちまち	m a̠ t͡ɕ i m a̠ t͡ɕ i
まちやくば	m a̠ t͡ɕ i j a̠ k ɯ̟ᵝ b a̠
マチュピチュ	m a̠ t͡ɕ ɨᵝ pʲ i t͡ɕ ɨᵝ
まちわびる	m a̠ t͡ɕ i ɰᵝ a̠ bʲ i ɾ ɯ̟ᵝ
まぢか	m a̠ ʑ i k a̠
まっか	m a̠ k̚ k a̠
まっかんがに	m a̠ k̚ k ã̠ ŋ ɡ a̠ ɲ̟ i
まっき	m a̠ k̚ʲ kʲ i
マック	m a̠ k̚ k ɯ̟ᵝ
マックス	m a̠ k̚ k ɯ̟ᵝ s ɨᵝ
まっくら	m a̠ k̚ k ɯ̟ᵝ ɾ a̠
まっくろ	m a̠ k̚ k ɯ̟ᵝ ɾ o̞
まっくろい	m a̠ k̚ k ɯ̟ᵝ ɾ o̞ i
まっこう	m a̠ k̚ k o̞ː
まっこう	m a̠ k̚ k o̞ː
まっこうくじら	m a̠ k̚ k o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
まっさいちゅう	m a̠ sː a̠ i t͡ɕ ɨᵝː
まっさお	m a̠ sː a̠ o̞
まっさかさま	m a̠ sː a̠ k a̠ s a̠ m a̠
まっさかり	m a̠ sː a̠ k a̠ ɾʲ i
まっさき	m a̠ sː a̠ kʲ i
まっさつ	m a̠ sː a̠ t͡s ɨᵝ
マッシュルーム	m a̠ ɕː ɯ̟ᵝ ɾ ɯ̟ᵝː m ɯ̟ᵝ
まっしょう	m a̠ ɕː o̞ː
まっしょうしんけいけい	m a̠ ɕː o̞ː ɕ ĩ ŋ k e̞ː k e̞ː
まっしょうめん	m a̠ ɕː o̞ː m ẽ̞ ɴ
まっしろ	m a̠ ɕː i ɾ o̞
まっしろい	m a̠ ɕː i ɾ o̞ i
まっすぐ	m a̠ sː ɯ̟ᵝ ɡ ɯ̟ᵝ
まっただなか	m a̠ t̚ t a̠ d a̠ n a̠ k a̠
マッチばこ	m a̠ t̚ t͡ɕ i b a̠ k o̞
マッチョ	m a̠ t̚ t͡ɕ o̞
まっとう	m a̠ t̚ t o̞ː
マットレス	m a̠ t̚ t o̞ ɾ e̞ s ɨᵝ
マッド	m a̠ d̚ d̥ o̞
マッハ	m a̠ hː a̠
まっぱだか	m a̠ p̚ p a̠ d a̠ k a̠
まっぴらごめん	m a̠ p̚ʲ pʲ i ɾ a̠ ɡ o̞ m ẽ̞ ɴ
まっぴるま	m a̠ p̚ʲ pʲ i ɾ ɯ̟ᵝ m a̠
まっぷたつ	m a̠ p̚ p ɯ̟ᵝ t a̠ t͡s ɨᵝ
マッポ	m a̠ p̚ p o̞
まつ	m a̠ t͡s ɨᵝ
まつ	m a̠ t͡s ɨᵝ
マツエク	m a̠ t͡s ɨᵝ e̞ k ɯ̟ᵝ
まつかさ	m a̠ t͡s ɨ̥ᵝ k a̠ s a̠
まつかぜ	m a̠ t͡s ɨᵝ k a̠ z e̞
まつげ	m a̠ t͡s ɨᵝ ɡ e̞
まつたけ	m a̠ t͡s ɨᵝ t a̠ k e̞
まつち	m a̠ t͡s ɨᵝ t͡ɕ i
まつば	m a̠ t͡s ɨᵝ b a̠
まつばくずし	m a̠ t͡s ɨᵝ b a̠ k ɯ̟ᵝ z ɨᵝ ɕ i
まつばづえ	m a̠ t͡s ɨᵝ b a̠ z ɨᵝ e̞
まつひら	m a̠ t͡s ɨᵝ ç i ɾ a̠
まつひろ	m a̠ t͡s ɨᵝ ç i ɾ o̞
まつび	m a̠ t͡s ɨᵝ bʲ i
まつむし	m a̠ t͡s ɨᵝ m ɯ̟ᵝ ɕ i
まつむら	m a̠ t͡s ɨᵝ m ɯ̟ᵝ ɾ a̠
まつやにあぶら	m a̠ t͡s ɨᵝ j a̠ ɲ̟ i a̠ b ɯ̟ᵝ ɾ a̠
まつりごと	m a̠ t͡s ɨᵝ ɾʲ i ɡ o̞ t o̞
まつる	m a̠ t͡s ɨᵝ ɾ ɯ̟ᵝ
まつわる	m a̠ t͡s ɨᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ
まて	m a̠ t e̞
まてい	m a̠ t e̞ː
マテガイ	m a̠ t e̞ ɡ a̠ i
マテちゃ	m a̠ t e̞ t͡ɕ a̠
まてばかいろのひよりあり	m a̠ t e̞ b a̠ k a̠ i ɾ o̞ n o̞ ç i j o̞ ɾʲ i a̠ ɾʲ i
まてんろう	m a̠ t ẽ̞ n ɾ o̞ː
まで	m a̠ d e̞
までもない	m a̠ d e̞ m o̞ n a̠ i
まとう	m a̠ t o̞ ɯ̟ᵝ
まとはずれ	m a̠ t o̞ h a̠ z ɨᵝ ɾ e̞
まとまり	m a̠ t o̞ m a̠ ɾʲ i
まとまる	m a̠ t o̞ m a̠ ɾ ɯ̟ᵝ
まとめる	m a̠ t o̞ m e̞ ɾ ɯ̟ᵝ
まとめる	m a̠ t o̞ m e̞ ɾ ɯ̟ᵝ
マトリョーシカ	m a̠ t o̞ ɾʲ o̞ː ɕ i k ḁ
マトン	m a̠ t õ̞ ɴ
まど	m a̠ d o̞
まどい	m a̠ d o̞ i
