ᆜ	j ɯ
주무시다	t͡ɕ u m u ɕʰ i d a̠
주문	t͡ɕ uː m u n
주문하다	t͡ɕ uː m u n ɦ a̠ d a̠
주민	t͡ɕ uː m i n
주바	t͡ɕ u b a̠
주발	t͡ɕ u b a̠ ɭ
주방	t͡ɕ u b a̠ ŋ
주방장	t͡ɕ u b a̠ ŋ d͡ʑ a̠ ŋ
주변	t͡ɕ u b j ʌ̹ n
주부	t͡ɕ u b u
주뼛	t͡ɕ u p͈ j ʌ̹ t̚
주뼛주뼛	t͡ɕ u p͈ j ʌ̹ t̚ t͡ɕ͈ u p͈ j ʌ̹ t̚
주사	t͡ɕ uː sʰ a̠
주사기	t͡ɕ uː sʰ a̠ ɡ i
주사위	t͡ɕ u sʰ a̠ ɥ i
주석	t͡ɕ u sʰ ʌ̹ k̚
주소	t͡ɕ uː sʰ o̞
주스	t͡ɕ u sʰ ɯ
주시하다	t͡ɕ uː ɕʰ i ɦ a̠ d a̠
주식	t͡ɕ u ɕʰ i k̚
주식회사	t͡ɕ u ɕʰ i kʰ w e̞ sʰ a̠
주어	t͡ɕ u ʌ̹
주어지다	t͡ɕ u ʌ̹ d͡ʑ i d a̠
주억	t͡ɕ u ʌ̹ k̚
주연	t͡ɕ u j ʌ̹ n
주요	t͡ɕ u j o
주요하다	t͡ɕ u j o ɦ a̠ d a̠
주위	t͡ɕ u ɥ i
주유소	t͡ɕ uː j u sʰ o̞
주의	t͡ɕ u ɰ i
주의	t͡ɕ uː ɰ i
주의하다	t͡ɕ u ɰ i ɦ a̠ d a̠
주인	t͡ɕ u i n
주인공	t͡ɕ u i n ɡ o̞ ŋ
주일	t͡ɕ u i ɭ
주일	t͡ɕ uː i ɭ
주장	t͡ɕ u d͡ʑ a̠ ŋ
주장하다	t͡ɕ u d͡ʑ a̠ ŋ ɦ a̠ d a̠
주저	t͡ɕ u d͡ʑ ʌ̹
주저앉다	t͡ɕ u d͡ʑ ʌ̹ a̠ n t͈ a̠
주전자	t͡ɕ u d͡ʑ ʌ̹ ɲ d͡ʑ a̠
주점	t͡ɕ u d͡ʑ ʌ̹ m
주정	t͡ɕ uː d͡ʑ ʌ̹ ŋ
주정꾼	t͡ɕ uː d͡ʑ ʌ̹ ŋ k͈ u n
주제	t͡ɕ u d͡ʑ e̞
주중	t͡ɕ u d͡ʑ u ŋ
주차	t͡ɕ uː t͡ɕʰ a̠
주차장	t͡ɕ uː t͡ɕʰ a̠ d͡ʑ a̠ ŋ
주차하다	t͡ɕ uː t͡ɕʰ a̠ ɦ a̠ d a̠
주체	t͡ɕ u t͡ɕʰ e̞
주체사상	t͡ɕ u t͡ɕʰ e̞ sʰ a̠ sʰ a̠ ŋ
주체스럽다	t͡ɕ u t͡ɕʰ e̞ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
주판	t͡ɕ uː pʰ a̠ n
죽	t͡ɕ u k̚
죽다	t͡ɕ u k̚ t͈ a̠
죽마고우	t͡ɕ u ŋ m a̠ ɡ o̞ u
죽부인	t͡ɕ u k̚ p͈ u i n
죽순	t͡ɕ u k s͈ u n
죽음	t͡ɕ u ɡ ɯ m
죽이다	t͡ɕ u ɡ i d a̠
죽지	t͡ɕ u k̚ t͡ɕ͈ i
준공	t͡ɕ uː n ɡ o̞ ŋ
준말	t͡ɕ uː n m a̠ ɭ
준비	t͡ɕ uː n b i
준비하다	t͡ɕ uː n b i ɦ a̠ d a̠
줄	t͡ɕ u ɭ
줄곧	t͡ɕ u ɭ ɡ o̞ t̚
줄공치	t͡ɕ u ɭ ɡ o̞ ŋ t͡ɕʰ i
줄기	t͡ɕ u ɭ ɡ i
줄납자루	t͡ɕ u ɭ ɭ a̠ p̚ t͡ɕ͈ a̠ ɾ u
줄다	t͡ɕ uː ɭ d a̠
줄망둑	t͡ɕ u ɭ m a̠ ŋ d u k̚
줄어들다	t͡ɕ u ɾ ʌ̹ d ɯ ɭ d a̠
줄이다	t͡ɕ u ɾ i d a̠
줍다	t͡ɕ uː p̚ t͈ a̠
중	t͡ɕ u ŋ
중간	t͡ɕ u ŋ ɡ a̠ n
중거	t͡ɕ u ŋ ɡ ʌ̹
중견수	t͡ɕ u ŋ ɡ j ʌ̹ n sʰ u
중경	t͡ɕ u ŋ ɡ j ʌ̹ ŋ
중계	t͡ɕ u ŋ ɡ j e̞
중고기	t͡ɕ uː ŋ ɡ o̞ ɡ i
중공	t͡ɕ u ŋ ɡ o̞ ŋ
중국	t͡ɕ u ŋ ɡ u k̚
중국말	t͡ɕ u ŋ ɡ u ŋ m a̠ ɭ
중국어	t͡ɕ u ŋ ɡ u ɡ ʌ̹
중국인	t͡ɕ u ŋ ɡ u ɡ i n
중국집	t͡ɕ u ŋ ɡ u k̚ t͡ɕ͈ i p̚
중국학	t͡ɕ u ŋ ɡ u kʰ a̠ k̚
중국화	t͡ɕ u ŋ ɡ u kʰ w a̠
중년	t͡ɕ u ŋ ɲ j ʌ̹ n
중뇌	t͡ɕ u ŋ n w e̞
중단하다	t͡ɕ u ŋ d a̠ n ɦ a̠ d a̠
중도	t͡ɕ u ŋ d o̞
중독	t͡ɕ u ŋ d o̞ k̚
중동	t͡ɕ u ŋ d o̞ ŋ
중량	t͡ɕ uː ŋ ɲ j a̠ ŋ
중력	t͡ɕ u ŋ ɲ j ʌ̹ k̚
중력자	t͡ɕ uː ŋ ɲ j ʌ̹ k̚ t͡ɕ͈ a̠
중립	t͡ɕ u ŋ n i p̚
중문	t͡ɕ u ŋ m u n
중미주	t͡ɕ u ŋ m i d͡ʑ u
중반	t͡ɕ u ŋ b a̠ n
중복되다	t͡ɕ uː ŋ b o̞ k̚ t͈ w e̞ d a̠
중부	t͡ɕ u ŋ b u
중사	t͡ɕ u ŋ sʰ a̠
중성	t͡ɕ u ŋ sʰ ʌ̹ ŋ
중성자	t͡ɕ u ŋ sʰ ʌ̹ ŋ d͡ʑ a̠
중세	t͡ɕ u ŋ sʰ e̞
중세국어	t͡ɕ u ŋ sʰ e̞ ɡ u ɡ ʌ̹
중소기업	t͡ɕ u ŋ sʰ o̞ ɡ i ʌ̹ p̚
중순	t͡ɕ u ŋ sʰ u n
중심	t͡ɕ u ŋ ɕʰ i m
중심닮음	t͡ɕ u ŋ ɕʰ i m d a̠ ɭ m ɯ m
중앙	t͡ɕ u ŋ a̠ ŋ
중앙아메리카	t͡ɕ u ŋ a̠ ŋ a̠ m e̞ ɾ i kʰ a̠
중얼거리다	t͡ɕ u ŋ ʌ̹ ɭ ɡ ʌ̹ ɾ i d a̠
중얼중얼	t͡ɕ u ŋ ʌ̹ ʎ d͡ʑ u ŋ ʌ̹ ɭ
중요	t͡ɕ uː ŋ j o
중요성	t͡ɕ uː ŋ j o s͈ ʌ̹ ŋ
중요시하다	t͡ɕ u ŋ j o ɕʰ i ɦ a̠ d a̠
중요하다	t͡ɕ uː ŋ j o ɦ a̠ d a̠
중위	t͡ɕ u ŋ ɥ i
중적분	t͡ɕ u ŋ d͡ʑ ʌ̹ k̚ p͈ u n
중죄	t͡ɕ uː ŋ d͡ʑ w e̞
중증	t͡ɕ uː ŋ t͡ɕ͈ ɯ ŋ
중지	t͡ɕ u ŋ d͡ʑ i
중징계	t͡ɕ uː ŋ d͡ʑ i ŋ ɡ j e̞
중천	t͡ɕ u ŋ t͡ɕʰ ʌ̹ n
중천	t͡ɕ uː ŋ t͡ɕʰ ʌ̹ n
중추절	t͡ɕ u ŋ t͡ɕʰ u d͡ʑ ʌ̹ ɭ
중학교	t͡ɕ u ŋ ɦ a̠ k̚ k͈ j o
중화	t͡ɕ u ŋ β w a̠
중화민국	t͡ɕ u ŋ β w a̠ m i n ɡ u k̚
중화인민공화국	t͡ɕ u ŋ β w a̠ i n m i n ɡ o̞ ŋ β w a̠ ɡ u k̚
줘	t͡ɕ w ʌ̹
줴치다	t͡ɕ w e̞ː t͡ɕʰ i d a̠
쥐	t͡ɕ ɥ i
쥐다	t͡ɕ ɥ i d a̠
쥐며느리	t͡ɕ ɥ i m j ʌ̹ n ɯ ɾ i
쥐창시	t͡ɕ ɥ i t͡ɕʰ a̠ ŋ ɕʰ i
즉	t͡ɕ ɯ k̚
즉시	t͡ɕ ɯ k ɕ͈ i
즐	t͡ɕ ɯ ɭ
즐거움	t͡ɕ ɯ ɭ ɡ ʌ̹ u m
즐겁다	t͡ɕ ɯ ɭ ɡ ʌ̹ p̚ t͈ a̠
즐기다	t͡ɕ ɯ ɭ ɡ i d a̠
즘게	t͡ɕ ɯ m ɡ e̞
증	t͡ɕ ɯ ŋ
증가	t͡ɕ ɯ ŋ ɡ a̠
증가하다	t͡ɕ ɯ ŋ ɡ a̠ ɦ a̠ d a̠
증거	t͡ɕ ɯ ŋ ɡ ʌ̹
증권	t͡ɕ ɯ ŋ k͈ w ʌ̹ n
증권사	t͡ɕ ɯ ŋ k͈ w ʌ̹ n sʰ a̠
증기	t͡ɕ ɯ ŋ ɡ i
증기선	t͡ɕ ɯ ŋ ɡ i sʰ ʌ̹ n
증명	t͡ɕ ɯ ŋ m j ʌ̹ ŋ
증명하다	t͡ɕ ɯ ŋ m j ʌ̹ ŋ ɦ a̠ d a̠
증상	t͡ɕ ɯ ŋ sʰ a̠ ŋ
증설	t͡ɕ ɯ ŋ sʰ ʌ̹ ɭ
증설하다	t͡ɕ ɯ ŋ sʰ ʌ̹ ɾ ɦ a̠ d a̠
증언	t͡ɕ ɯ ŋ ʌ̹ n
증여	t͡ɕ ɯ ŋ j ʌ̹
증오	t͡ɕ ɯ ŋ o̞
증오심	t͡ɕ ɯ ŋ o̞ ɕʰ i m
증인	t͡ɕ ɯ ŋ i n
증정	t͡ɕ ɯ ŋ d͡ʑ ʌ̹ ŋ
증조	t͡ɕ ɯ ŋ d͡ʑ o̞
증조부	t͡ɕ ɯ ŋ d͡ʑ o̞ b u
증진하다	t͡ɕ ɯ ŋ d͡ʑ i n ɦ a̠ d a̠
증후군	t͡ɕ ɯ ŋ β u ɡ u n
지	t͡ɕ i
지각	t͡ɕ i ɡ a̠ k̚
지갑	t͡ɕ i ɡ a̠ p̚
지게미	t͡ɕ i ɡ e̞ m i
지겹다	t͡ɕ i ɡ j ʌ̹ p̚ t͈ a̠
지경	t͡ɕ i ɡ j ʌ̹ ŋ
지골리다	t͡ɕ i ɡ o̞ ʎ ʎ i d a̠
지구	t͡ɕ i ɡ u
지구본	t͡ɕ i ɡ u b o̞ n
지구의	t͡ɕ i ɡ u ɰ i
지국	t͡ɕ i ɡ u k̚
지금	t͡ɕ i ɡ ɯ m
지긋하다	t͡ɕ i ɡ ɯ tʰ a̠ d a̠
지껄이다	t͡ɕ i k͈ ʌ̹ ɾ i d a̠
지나	t͡ɕ i n a̠
지나가다	t͡ɕ i n a̠ ɡ a̠ d a̠
지나다	t͡ɕ i n a̠ d a̠
지나치다	t͡ɕ i n a̠ t͡ɕʰ i d a̠
지난	t͡ɕ i n a̠ n
지난달	t͡ɕ i n a̠ n d a̠ ɭ
지난밤	t͡ɕ i n a̠ n b a̠ m
지난번	t͡ɕ i n a̠ n b ʌ̹ n
지난주	t͡ɕ i n a̠ ɲ d͡ʑ u
지남석	t͡ɕ i n a̠ m sʰ ʌ̹ k̚
지네	t͡ɕ i n e̞
지느러미	t͡ɕ i n ɯ ɾ ʌ̹ m i
지능	t͡ɕ i n ɯ ŋ
지니다	t͡ɕ i n i d a̠
지다	t͡ɕ i d a̠
지도	t͡ɕ i d o̞
지도자	t͡ɕ i d o̞ d͡ʑ a̠
지라	t͡ɕ i ɾ a̠
지라프	t͡ɕ i ɾ a̠ pʰ ɯ
지랄하다	t͡ɕ i ɾ a̠ ɾ ɦ a̠ d a̠
지렁이	t͡ɕ i ɾ ʌ̹ ŋ i
지뢰	t͡ɕ i ɾ w e̞
지루하다	t͡ɕ i ɾ u ɦ a̠ d a̠
지류	t͡ɕ i ɾ j u
지르다	t͡ɕ i ɾ ɯ d a̠
지르코늄	t͡ɕ i ɾ ɯ kʰ o̞ ɲ j u m
지름	t͡ɕ i ɾ ɯ m
지름길	t͡ɕ i ɾ ɯ m ɡ i ɭ
지리산	t͡ɕ i ɾ i sʰ a̠ n
지리학	t͡ɕ i ɾ i ɦ a̠ k̚
지린	t͡ɕ i ɾ i n
지만	t͡ɕ i m a̠ n
지면	t͡ɕ i m j ʌ̹ n
지명	t͡ɕ i m j ʌ̹ ŋ
지명학	t͡ɕ i m j ʌ̹ ŋ ɦ a̠ k̚
지방	t͡ɕ i b a̠ ŋ
지방산	t͡ɕ i b a̠ ŋ sʰ a̠ n
지방족	t͡ɕ i b a̠ ŋ d͡ʑ o̞ k̚
지복직관	t͡ɕ iː b o̞ k̚ t͡ɕ͈ i k̚ k͈ w a̠ n
지부티	t͡ɕ i b u tʰ i
지불	t͡ɕ i b u ɭ
지불하다	t͡ɕ i b u ɾ ɦ a̠ d a̠
지붕	t͡ɕ i b u ŋ
지사	t͡ɕ i sʰ a̠
지상	t͡ɕ i sʰ a̠ ŋ
지속적	t͡ɕ i sʰ o̞ k̚ t͡ɕ͈ ʌ̹ k̚
지슬	t͡ɕ i sʰ ɯ ɭ
지시	t͡ɕ i ɕʰ i
지시봉	t͡ɕ i ɕʰ i b o̞ ŋ
지시하다	t͡ɕ i ɕʰ i ɦ a̠ d a̠
지식	t͡ɕ i ɕʰ i k̚
지식인	t͡ɕ i ɕʰ i ɡ i n
지압	t͡ɕ i a̠ p̚
지역	t͡ɕ i j ʌ̹ k̚
지역사회	t͡ɕ i j ʌ̹ k s͈ a̠ β w e̞
지옥	t͡ɕ i o̞ k̚
지옥철	t͡ɕ i o̞ k̚ t͡ɕʰ ʌ̹ ɭ
지우다	t͡ɕ i u d a̠
지원	t͡ɕ i w ʌ̹ n
지원자	t͡ɕ i w ʌ̹ ɲ d͡ʑ a̠
지원하다	t͡ɕ i w ʌ̹ n ɦ a̠ d a̠
지위	t͡ɕ i ɥ i
지은이	t͡ɕ i ɯ n i
지읒	t͡ɕ i ɯ t̚
지의류	t͡ɕ i ɰ i ɾ j u
지저귀다	t͡ɕ i d͡ʑ ʌ̹ ɡ ɥ i d a̠
지저분하다	t͡ɕ i d͡ʑ ʌ̹ b u n ɦ a̠ d a̠
지적	t͡ɕ i d͡ʑ ʌ̹ k̚
지적	t͡ɕ i t͡ɕ͈ ʌ̹ k̚
지적되다	t͡ɕ i d͡ʑ ʌ̹ k̚ t͈ w e̞ d a̠
지적하다	t͡ɕ i d͡ʑ ʌ̹ kʰ a̠ d a̠
지점	t͡ɕ i d͡ʑ ʌ̹ m
지정되다	t͡ɕ i d͡ʑ ʌ̹ ŋ d w e̞ d a̠
지정학	t͡ɕ i d͡ʑ ʌ̹ ŋ ɦ a̠ k̚
지주	t͡ɕ i d͡ʑ u
지줌	t͡ɕ i d͡ʑ u m
지지	t͡ɕ i d͡ʑ i
지지자	t͡ɕ i d͡ʑ i d͡ʑ a̠
지지하다	t͡ɕ i d͡ʑ i ɦ a̠ d a̠
지진	t͡ɕ i d͡ʑ i n
지진학	t͡ɕ i d͡ʑ i n ɦ a̠ k̚
지질	t͡ɕ i d͡ʑ i ɭ
지질학	t͡ɕ i d͡ʑ i ɾ ɦ a̠ k̚
지출	t͡ɕ i t͡ɕʰ u ɭ
지치다	t͡ɕ iː t͡ɕʰ i d a̠
지칭하다	t͡ɕ i t͡ɕʰ i ŋ ɦ a̠ d a̠
지팡이	t͡ɕ i pʰ a̠ ŋ i
지퍼	t͡ɕ i pʰ ʌ̹
지평선	t͡ɕ i pʰ j ʌ̹ ŋ sʰ ʌ̹ n
지폐	t͡ɕ i pʰ j e̞
지푸라기	t͡ɕ i pʰ u ɾ a̠ ɡ i
지피다	t͡ɕ i pʰ i d a̠
지하	t͡ɕ i ɦ a̠
지하누비	t͡ɕ i ɦ a̠ n u b i
지하도	t͡ɕ i ɦ a̠ d o̞
지하드	t͡ɕ i ɦ a̠ d ɯ
지하실	t͡ɕ i ɦ a̠ ɕʰ i ɭ
지하철	t͡ɕ i ɦ a̠ t͡ɕʰ ʌ̹ ɭ
지하철역	t͡ɕ i ɦ a̠ t͡ɕʰ ʌ̹ ɾ j ʌ̹ k̚
지혈	t͡ɕ i ʝ j ʌ̹ ɭ
지협	t͡ɕ i ʝ j ʌ̹ p̚
지혜	t͡ɕ i ʝ j e̞
지혜서	t͡ɕ i ʝ j e̞ sʰ ʌ̹
지휘소	t͡ɕ i ɦ ɥ i sʰ o̞
지휘자	t͡ɕ i ɦ ɥ i d͡ʑ a̠
직	t͡ɕ i k̚
직감	t͡ɕ i k̚ k͈ a̠ m
직관	t͡ɕ i k̚ k͈ w a̠ n
직기	t͡ɕ i k̚ k͈ i
직물	t͡ɕ i ŋ m u ɭ
직발	t͡ɕ i k̚ p͈ a̠ ɭ
직승기	t͡ɕ i k s͈ ɯ ŋ ɡ i
직업	t͡ɕ i ɡ ʌ̹ p̚
직원	t͡ɕ i ɡ w ʌ̹ n
직위	t͡ɕ i ɡ ɥ i
직장	t͡ɕ i k̚ t͡ɕ͈ a̠ ŋ
직전	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ n
직접	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ p̚
직접적	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ p̚ t͡ɕ͈ ʌ̹ k̚
직접화법	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ pʰ w a̠ b ʌ̹ p̚
직할시	t͡ɕ i kʰ a̠ ɭ ɕʰ i
직후	t͡ɕ i kʰ u
진	t͡ɕ i n
진공	t͡ɕ i n ɡ o̞ ŋ
진공청소기	t͡ɕ i n ɡ o̞ ŋ t͡ɕʰ ʌ̹ ŋ sʰ o̞ ɡ i
진균	t͡ɕ i n ɡ j u n
진단	t͡ɕ iː n d a̠ n
진동	t͡ɕ i n d o̞ ŋ
진동수	t͡ɕ i n d o̞ ŋ sʰ u
진드기	t͡ɕ i n d ɯ ɡ i
진뗑이	t͡ɕ i n t͈ e̞ ŋ i
진랍	t͡ɕ i ɭ ɭ a̠ p̚
진료소	t͡ɕ iː ʎ ʎ j o sʰ o̞
진루	t͡ɕ iː ɭ ɭ u
진리	t͡ɕ i ʎ ʎ i
진보	t͡ɕ iː n b o̞
진부하다	t͡ɕ i n b u ɦ a̠ d a̠
진상	t͡ɕ i n sʰ a̠ ŋ
진상	t͡ɕ iː n sʰ a̠ ŋ
진실	t͡ɕ i n ɕʰ i ɭ
진실하다	t͡ɕ i n ɕʰ i ɾ ɦ a̠ d a̠
진심	t͡ɕ i n ɕʰ i m
진압	t͡ɕ iː n a̠ p̚
진압하다	t͡ɕ i n a̠ pʰ a̠ d a̠
진언	t͡ɕ i n ʌ̹ n
진여	t͡ɕ i ɲ j ʌ̹
진열장	t͡ɕ iː ɲ j ʌ̹ ʎ d͡ʑ a̠ ŋ
진원지	t͡ɕ i n w ʌ̹ ɲ d͡ʑ i
진정하다	t͡ɕ i ɲ d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠
진주	t͡ɕ i ɲ d͡ʑ u
진주층	t͡ɕ i ɲ d͡ʑ u t͡ɕʰ ɯ ŋ
진지	t͡ɕ iː ɲ d͡ʑ i
진지하다	t͡ɕ i ɲ d͡ʑ i ɦ a̠ d a̠
진짜	t͡ɕ i ɲ t͡ɕ͈ a̠
진출	t͡ɕ iː ɲ t͡ɕʰ u ɭ
진출하다	t͡ɕ iː ɲ t͡ɕʰ u ɾ ɦ a̠ d a̠
진하다	t͡ɕ i n ɦ a̠ d a̠
진한	t͡ɕ i n ɦ a̠ n
진화	t͡ɕ i n β w a̠
진흙	t͡ɕ i n ɣ ɯ k̚
질	t͡ɕ i ɭ
질녀	t͡ɕ i ʎ ʎ j ʌ̹
질량	t͡ɕ i ʎ ʎ j a̠ ŋ
질리다	t͡ɕ i ʎ ʎ i d a̠
질문	t͡ɕ i ɭ m u n
질문하다	t͡ɕ i ɭ m u n ɦ a̠ d a̠
질병	t͡ɕ i ɭ b j ʌ̹ ŋ
질서	t͡ɕ i ɭ s͈ ʌ̹
질소	t͡ɕ i ɭ sʰ o̞
질타	t͡ɕ i ɭ tʰ a̠
질타하다	t͡ɕ i ɭ tʰ a̠ ɦ a̠ d a̠
질투	t͡ɕ i ɭ tʰ u
질투하다	t͡ɕ i ɭ tʰ u ɦ a̠ d a̠
질풍노도	t͡ɕ i ɭ pʰ u ŋ n o̞ d o̞
질환	t͡ɕ i ɾ β w a̠ n
짊다	t͡ɕ i m t͈ a̠
짊어지다	t͡ɕ i ɭ m ʌ̹ d͡ʑ i d a̠
짐	t͡ɕ i m
짐	t͡ɕ iː m
짐바브웨	t͡ɕ i m b a̠ b ɯ w e̞
짐승	t͡ɕ i m sʰ ɯ ŋ
짐작	t͡ɕ i m d͡ʑ a̠ k̚
짐작하다	t͡ɕ i m d͡ʑ a̠ kʰ a̠ d a̠
집	t͡ɕ i p̚
집게	t͡ɕ i p̚ k͈ e̞
집결	t͡ɕ i p̚ k͈ j ʌ̹ ɭ
집계	t͡ɕ i p̚ k͈ j e̞
집권당	t͡ɕ i p̚ k͈ w ʌ̹ n d a̠ ŋ
집다	t͡ɕ i p̚ t͈ a̠
집단	t͡ɕ i p̚ t͈ a̠ n
집단화	t͡ɕ i p̚ t͈ a̠ n β w a̠
집들	t͡ɕ i p̚ t͈ ɯ ɭ
집들이	t͡ɕ i p̚ t͈ ɯ ɾ i
집박쥐	t͡ɕ i p̚ p͈ a̠ k̚ t͡ɕ͈ ɥ i
집사	t͡ɕ i p s͈ a̠
집사람	t͡ɕ i p s͈ a̠ ɾ a̠ m
집안	t͡ɕ i b a̠ n
집어넣다	t͡ɕ i b ʌ̹ n ʌ̹ tʰ a̠
집오리	t͡ɕ i b o̞ ɾ i
집중	t͡ɕ i p̚ t͡ɕ͈ u ŋ
집중되다	t͡ɕ i p̚ t͡ɕ͈ u ŋ d w e̞ d a̠
집중하다	t͡ɕ i p̚ t͡ɕ͈ u ŋ ɦ a̠ d a̠
집쥐	t͡ɕ i p̚ t͡ɕ͈ ɥ i
집토끼	t͡ɕ i p̚ tʰ o̞ k͈ i
집필	t͡ɕ i p̚ pʰ i ɭ
집합	t͡ɕ i pʰ a̠ p̚
집회	t͡ɕ i pʰ w e̞
집회서	t͡ɕ i pʰ w e̞ sʰ ʌ̹
짓	t͡ɕ iː t̚
짓궂다	t͡ɕ iː t̚ k͈ u t̚ t͈ a̠
짓다	t͡ɕ iː t̚ t͈ a̠
짓이기다	t͡ɕ i n n i ɡ i d a̠
징	t͡ɕ i ŋ
징계	t͡ɕ i ŋ ɡ j e̞
징그럽다	t͡ɕ i ŋ ɡ ɯ ɾ ʌ̹ p̚ t͈ a̠
징병	t͡ɕ i ŋ b j ʌ̹ ŋ
짖다	t͡ɕ i t̚ t͈ a̠
짙다	t͡ɕ i t̚ t͈ a̠
짙푸르다	t͡ɕ i t̚ pʰ u ɾ ɯ d a̠
짚	t͡ɕ i p̚
짚다	t͡ɕ i p̚ t͈ a̠
짚티미	t͡ɕ i p̚ tʰ i m i
짜	t͡ɕ͈ a̠
짜다	t͡ɕ͈ a̠ d a̠
짜리	t͡ɕ͈ a̠ ɾ i
짜릿하다	t͡ɕ͈ a̠ ɾ i tʰ a̠ d a̠
짜장면	t͡ɕ͈ a̠ d͡ʑ a̠ ŋ m j ʌ̹ n
짜증	t͡ɕ͈ a̠ d͡ʑ ɯ ŋ
짜하다	t͡ɕ͈ a̠ː ɦ a̠ d a̠
짝	t͡ɕ͈ a̠ k̚
짝사랑	t͡ɕ͈ a̠ k s͈ a̠ ɾ a̠ ŋ
짝짓기	t͡ɕ͈ a̠ k̚ t͡ɕ͈ i t̚ k͈ i
짝짓다	t͡ɕ͈ a̠ k̚ t͡ɕ͈ i t̚ t͈ a̠
짠하다	t͡ɕ͈ a̠ː n ɦ a̠ d a̠
짧다	t͡ɕ͈ a̠ ɭ t͈ a̠
짬	t͡ɕ͈ a̠ m
짬밥	t͡ɕ͈ a̠ m p͈ a̠ p̚
짬뽕	t͡ɕ͈ a̠ m p͈ o̞ ŋ
짭	t͡ɕ͈ a̠ p̚
짭짤하다	t͡ɕ͈ a̠ p̚ t͡ɕ͈ a̠ ɾ ɦ a̠ d a̠
짱	t͡ɕ͈ a̠ ŋ
짱꼴라	t͡ɕ͈ a̠ ŋ k͈ o̞ ɭ ɭ a̠
짱뚱어	t͡ɕ͈ a̠ ŋ t͈ u ŋ ʌ̹
쩍다	t͡ɕ͈ ʌ̹ k̚ t͈ a̠
쩡	t͡ɕ͈ ʌ̹ ŋ
쩨마	t͡ɕ͈ e̞ m a̠
쪼다	t͡ɕ͈ o̞ d a̠
쪼박	t͡ɕ͈ o̞ b a̠ k̚
쪼뼛	t͡ɕ͈ o̞ p͈ j ʌ̹ t̚
쪼뼛쪼뼛	t͡ɕ͈ o̞ p͈ j ʌ̹ t̚ t͡ɕ͈ o̞ p͈ j ʌ̹ t̚
쪽	t͡ɕ͈ o̞ k̚
쪽발이	t͡ɕ͈ o̞ k̚ p͈ a̠ ɾ i
쫄깃하다	t͡ɕ͈ o̞ ɭ ɡ i tʰ a̠ d a̠
쫄면	t͡ɕ͈ o̞ ɭ m j ʌ̹ n
쫑쫑	t͡ɕ͈ o̞ ŋ t͡ɕ͈ o̞ ŋ
쫓기다	t͡ɕ͈ o̞ t̚ k͈ i d a̠
쫓다	t͡ɕ͈ o̞ t̚ t͈ a̠
쭈뼛	t͡ɕ͈ u p͈ j ʌ̹ t̚
쭈뼛쭈뼛	t͡ɕ͈ u p͈ j ʌ̹ t̚ t͡ɕ͈ u p͈ j ʌ̹ t̚
쭉	t͡ɕ͈ u k̚
쯔놈	t͡ɕ͈ ɯ n o̞ m
쯤	t͡ɕ͈ ɯ m
찌그러지다	t͡ɕ͈ i ɡ ɯ ɾ ʌ̹ d͡ʑ i d a̠
찌꺼기	t͡ɕ͈ i k͈ ʌ̹ ɡ i
찌다	t͡ɕ͈ i d a̠
찌르다	t͡ɕ͈ i ɾ ɯ d a̠
찌릿하다	t͡ɕ͈ i ɾ i tʰ a̠ d a̠
찌창	t͡ɕ͈ i t͡ɕʰ a̠ ŋ
찌푸리다	t͡ɕ͈ i pʰ u ɾ i d a̠
찍다	t͡ɕ͈ i k̚ t͈ a̠
찍소리	t͡ɕ͈ i k s͈ o̞ ɾ i
찐	t͡ɕ͈ i n
찐만두	t͡ɕ͈ i n m a̠ n d u
찐빵	t͡ɕ͈ i n p͈ a̠ ŋ
찔리다	t͡ɕ͈ i ʎ ʎ i d a̠
찜	t͡ɕ͈ i m
찜질방	t͡ɕ͈ i m d͡ʑ i ɭ b a̠ ŋ
찡그리다	t͡ɕ͈ i ŋ ɡ ɯ ɾ i d a̠
찢다	t͡ɕ͈ i t̚ t͈ a̠
찢어지다	t͡ɕ͈ i d͡ʑ ʌ̹ d͡ʑ i d a̠
찧다	t͡ɕ͈ i tʰ a̠
차	t͡ɕʰ a̠
차갑다	t͡ɕʰ a̠ ɡ a̠ p̚ t͈ a̠
차고	t͡ɕʰ a̠ ɡ o̞
차다	t͡ɕʰ a̠ d a̠
차단	t͡ɕʰ a̠ː d a̠ n
차돌박이	t͡ɕʰ a̠ d o̞ ɭ b a̠ ɡ i
차드	t͡ɕʰ a̠ d ɯ
차라리	t͡ɕʰ a̠ ɾ a̠ ɾ i
차량	t͡ɕʰ a̠ ɾ j a̠ ŋ
차례	t͡ɕʰ a̠ ɾ j e̞
차례차례	t͡ɕʰ a̠ ɾ j e̞ t͡ɕʰ a̠ ɾ j e̞
차리다	t͡ɕʰ a̠ ɾ i d a̠
차림	t͡ɕʰ a̠ ɾ i m
차림표	t͡ɕʰ a̠ ɾ i m pʰ j o
차마	t͡ɕʰ a̠ m a̠
