aa	ɑː
väijy	ʋ æ i̯ j yˣ
väijyksiin	ʋ æ i̯ j y k s iː n
väijytysasema	ʋ æ i̯ j y t y s ɑ s e m ɑ
väijyä	ʋ æ i̯ j y æ
väijyä	ʋ æ i̯ j y æˣ
väikehtiä	ʋ æ i̯ k e h t i æˣ
väinä	ʋ æ i̯ n æ
väinämö	ʋ æ i̯ n æ m ø
väinämöinen	ʋ æ i̯ n æ m ø i̯ n e n
väinänlinna	ʋ æ i̯ n æ n l i nː ɑ
väinö	ʋ æ i̯ n ø
väinönputki	ʋ æ i̯ n ø n p u t k i
väistellä	ʋ æ i̯ s t e lː æˣ
väistetään	ʋ æ i̯ s t e t æː n
väistyvä	ʋ æ i̯ s t y ʋ æ
väistyvästi	ʋ æ i̯ s t y ʋ æ s t iˣ
väistäminen	ʋ æ i̯ s t æ m i n e n
väistämisvelvollisuus	ʋ æ i̯ s t æ m i s ʋ e l ʋ o lː i s uː s
väistää	ʋ æ i̯ s t æːˣ
väistö	ʋ æ i̯ s t ø
väisänen	ʋ æ i̯ s æ n e n
väite	ʋ æ i̯ t eˣ
väitelause	ʋ æ i̯ t eˣ l ɑ u̯ s eˣ
väitetysti	ʋ æ i̯ t e t y s t iˣ
väittelytaito	ʋ æ i̯ tː e l y t ɑ i̯ t o
väittäjäiset	ʋ æ i̯ tː æ j æ i̯ s e t
väitöskirja	ʋ æ i̯ t ø s k i r j ɑ
väkevyinen	ʋ æ k e ʋ y i̯ n e n
väkevä	ʋ æ k e ʋ æ
väkevästi	ʋ æ k e ʋ æ s t iˣ
väkevöidä	ʋ æ k e ʋ ø i̯ d æˣ
väki	ʋ æ k i
väkikapula	ʋ æ k i k ɑ p u l ɑ
väkikarttu	ʋ æ k i k ɑ r tː u
väkimäärä	ʋ æ k i m æː r æ
väkinäisesti	ʋ æ k i n æ i̯ s e s t iˣ
väkipakko	ʋ æ k i p ɑ kː o
väkipuukko	ʋ æ k i p uː kː o
väkipyörästö	ʋ æ k i p y ø̯ r æ s t ø
väkirynnäkkö	ʋ æ k i r y nː æ kː ø
väkisellä	ʋ æ k i s e lː æ
väkisinmaata	ʋ æ k i s i n m ɑː t ɑˣ
väkisinmakaaminen	ʋ æ k i s i n m ɑ k ɑː m i n e n
väkisten	ʋ æ k i s t e n
väkivahva	ʋ æ k i ʋ ɑ h ʋ ɑ
väkivalta	ʋ æ k i ʋ ɑ l t ɑ
väkivaltavideo	ʋ æ k i ʋ ɑ l t ɑ ʋ i d e o
väkivasara	ʋ æ k i ʋ ɑ s ɑ r ɑ
väkä	ʋ æ k æ
väkämato	ʋ æ k æ m ɑ t o
väli	ʋ æ l i
väliaikatieto	ʋ æ l i ɑ i̯ k ɑ t i e̯ t o
välialue	ʋ æ l i ɑ l u eˣ
väliarviointi	ʋ æ l i ɑ r ʋ i o i̯ n t i
väliasema	ʋ æ l i ɑ s e m ɑ
välienselvittely	ʋ æ l i e n s e l ʋ i tː e l y
välihammas	ʋ æ l i h ɑ mː ɑ s
välihousut	ʋ æ l i h o u̯ s u t
välikatto	ʋ æ l i k ɑ tː o
välikattokupoli	ʋ æ l i k ɑ tː o k u p o l i
välikausi	ʋ æ l i k ɑ u̯ s i
välikausitakki	ʋ æ l i k ɑ u̯ s i t ɑ kː i
välike	ʋ æ l i k eˣ
välikieli	ʋ æ l i k i e̯ l i
välikorvaontelo	ʋ æ l i k o r ʋ ɑ o n t e l o
välikyljys	ʋ æ l i k y l j y s
välilaituri	ʋ æ l i l ɑ i̯ t u r i
välimailla	ʋ æ l i m ɑ i̯ lː ɑ
välimaille	ʋ æ l i m ɑ i̯ lː eˣ
välimailta	ʋ æ l i m ɑ i̯ l t ɑ
välimerenilmasto	ʋ æ l i m e r e n i l m ɑ s t o
välimerenlokki	ʋ æ l i m e r e n l o kː i
välimerentaateli	ʋ æ l i m e r e n t ɑː t e l i
välimeri	ʋ æ l i m e r i
väline	ʋ æ l i n eˣ
välineaine	ʋ æ l i n eˣ ɑ i̯ n eˣ
välinearvo	ʋ æ l i n eˣ ɑ r ʋ o
välineellistyä	ʋ æ l i n eː lː i s t y æˣ
välineellistää	ʋ æ l i n eː lː i s t æːˣ
välineistää	ʋ æ l i n e i̯ s t æːˣ
välinen	ʋ æ l i n e n
välinimi	ʋ æ l i n i m i
välinpitämätön	ʋ æ l i n p i t æ m æ t ø n
väliohjelmisto	ʋ æ l i o h j e l m i s t o
väliotsikko	ʋ æ l i o t s i kː o
väliovi	ʋ æ l i o ʋ i
välipahvi	ʋ æ l i p ɑ h ʋ i
välipalakakku	ʋ æ l i p ɑ l ɑ k ɑ kː u
välipalvelin	ʋ æ l i p ɑ l ʋ e l i n
välipohja	ʋ æ l i p o h j ɑ
väliraha	ʋ æ l i r ɑ h ɑ
välirauha	ʋ æ l i r ɑ u̯ h ɑ
välisara	ʋ æ l i s ɑ r ɑ
välisiirto	ʋ æ l i s iː r t o
väliste	ʋ æ l i s t eˣ
välistys	ʋ æ l i s t y s
välistäveto	ʋ æ l i s t æ ʋ e t o
välistävetohyökkäys	ʋ æ l i s t æ ʋ e t o h y ø̯ kː æ y s
välistää	ʋ æ l i s t æːˣ
välitasanne	ʋ æ l i t ɑ s ɑ nː eˣ
välitilinpäätös	ʋ æ l i t i l i n p æː t ø s
välitse	ʋ æ l i t s eˣ
välittyä	ʋ æ l i tː y æˣ
välittäjäaine	ʋ æ l i tː æ j æ ɑ i̯ n eˣ
välittäjäpankki	ʋ æ l i tː æ j æ p ɑ ŋ kː i
välittäminen	ʋ æ l i tː æ m i n e n
välittämättä	ʋ æ l i tː æ m æ tː æ
välittämään	ʋ æ l i tː æ m æː n
välittää	ʋ æ l i tː æːˣ
välittömästi	ʋ æ l i tː ø m æ s t iˣ
välitunti	ʋ æ l i t u n t i
välityspaikka	ʋ æ l i t y s p ɑ i̯ kː ɑ
välityspalvelin	ʋ æ l i t y s p ɑ l ʋ e l i n
välityssuhde	ʋ æ l i t y s s u h d eˣ
välityö	ʋ æ l i t y ø̯
välitä	ʋ æ l i t æˣ
välitän	ʋ æ l i t æ n
välität	ʋ æ l i t æ t
välivaalit	ʋ æ l i ʋ ɑː l i t
välivarasto	ʋ æ l i ʋ ɑ r ɑ s t o
välivuosi	ʋ æ l i ʋ u o̯ s i
väliyhteisö	ʋ æ l i y h t e i̯ s ø
väljä	ʋ æ l j æ
väljähtää	ʋ æ l j æ h t æːˣ
väljälti	ʋ æ l j æ l t iˣ
väljästi	ʋ æ l j æ s t iˣ
välkkyä	ʋ æ l kː y æˣ
vällyt	ʋ æ lː y t
vällä	ʋ æ lː æ
välppä	ʋ æ l pː æ
välpätä	ʋ æ l p æ t æˣ
vältellä	ʋ æ l t e lː æˣ
välttelevä	ʋ æ l tː e l e ʋ æ
välttämättömästi	ʋ æ l tː æ m æ tː ø m æ s t iˣ
välttävä	ʋ æ l tː æ ʋ æ
välttää	ʋ æ l tː æːˣ
välys	ʋ æ l y s
välähdyksittäin	ʋ æ l æ h d y k s i tː æ i̯ n
välähdyttää	ʋ æ l æ h d y tː æːˣ
välähtää	ʋ æ l æ h t æːˣ
väläyksittäin	ʋ æ l æ y k s i tː æ i̯ n
väläytellä	ʋ æ l æ y t e lː æˣ
vängällä	ʋ æ ŋː æ lː æ
vängätä	ʋ æ ŋː æ t æˣ
vänrikki	ʋ æ n r i kː i
värehtiä	ʋ æ r e h t i æˣ
väri	ʋ æ r i
väriaberraatio	ʋ æ r i ɑ b e rː ɑː t i o
värierottelu	ʋ æ r i e r o tː e l u
värifilmi	ʋ æ r i f i l m i
värijauhe	ʋ æ r i j ɑ u̯ h eˣ
värikalvo	ʋ æ r i k ɑ l ʋ o
värikkäästi	ʋ æ r i kː æː s t iˣ
värikoodaus	ʋ æ r i k oː d ɑ u s
värikorjailu	ʋ æ r i k o r j ɑ i̯ l u
värikuva	ʋ æ r i k u ʋ ɑ
värikuvaus	ʋ æ r i k u ʋ ɑ u s
värikylläisesti	ʋ æ r i k y lː æ i̯ s e s t iˣ
värilaite	ʋ æ r i l ɑ i̯ t eˣ
värillisyys	ʋ æ r i lː i s yː s
värimittaus	ʋ æ r i m i tː ɑ u s
värinegatiivi	ʋ æ r i n e ɡ ɑ t iː ʋ i
värinen	ʋ æ r i n e n
värinhallinta	ʋ æ r i n h ɑ lː i n t ɑ
värinkesto	ʋ æ r i n k e s t o
värinkestävä	ʋ æ r i n k e s t æ ʋ æ
värinmuodostus	ʋ æ r i n m u o̯ d o s t u s
värinpitävä	ʋ æ r i n p i t æ ʋ æ
värinpoisto	ʋ æ r i n p o i̯ s t o
värinpoistoaine	ʋ æ r i n p o i̯ s t o ɑ i̯ n eˣ
värinsovitus	ʋ æ r i n s o ʋ i t u s
värintoisto	ʋ æ r i n t o i̯ s t o
värintoistoindeksi	ʋ æ r i n t o i̯ s t o i n d e k s i
värintoistokyky	ʋ æ r i n t o i̯ s t o k y k y
värinäyttö	ʋ æ r i n æ y̯ tː ø
värioppi	ʋ æ r i o pː i
väripatruuna	ʋ æ r i p ɑ t r uː n ɑ
väriperspektiivi	ʋ æ r i p e r s p e k t iː ʋ i
väripilvi	ʋ æ r i p i l ʋ i
väripoikkeama	ʋ æ r i p o i̯ kː e ɑ m ɑ
värisokeus	ʋ æ r i s o k e u s
väristä	ʋ æ r i s t æ
väristä	ʋ æ r i s t æˣ
väristää	ʋ æ r i s t æːˣ
värisyttää	ʋ æ r i s y tː æːˣ
värit	ʋ æ r i t
värittyä	ʋ æ r i tː y æˣ
värittömästi	ʋ æ r i tː ø m æ s t iˣ
värituloste	ʋ æ r i t u l o s t eˣ
värivalokuva	ʋ æ r i ʋ ɑ l o k u ʋ ɑ
värivaraus	ʋ æ r i ʋ ɑ r ɑ u s
värivedos	ʋ æ r i ʋ e d o s
värivika	ʋ æ r i ʋ i k ɑ
värivoide	ʋ æ r i ʋ o i̯ d eˣ
värjyä	ʋ æ r j y æˣ
värjätty	ʋ æ r j æ tː y
värjäys	ʋ æ r j æ y s
värjäyttää	ʋ æ r j æ y tː æːˣ
värjäytymä	ʋ æ r j æ y t y m æ
värjötellä	ʋ æ r j ø t e lː æˣ
värjöttää	ʋ æ r j ø tː æːˣ
värkätä	ʋ æ r k æ t æˣ
värssy	ʋ æ r sː y
värttinä	ʋ æ r tː i n æ
värväys	ʋ æ r ʋ æ y s
värähdys	ʋ æ r æ h d y s
värähdyttää	ʋ æ r æ h d y tː æːˣ
värähtelyenergia	ʋ æ r æ h t e l y e n e r ɡ i ɑ
värähtelytaajuus	ʋ æ r æ h t e l y t ɑː j uː s
värähtää	ʋ æ r æ h t æːˣ
väräyttää	ʋ æ r æ y tː æːˣ
västäräkki	ʋ æ s t æ r æ kː i
väsy	ʋ æ s y
väsy	ʋ æ s yˣ
väsymisilmiö	ʋ æ s y m i s i l m i ø
väsymismurtuma	ʋ æ s y m i s m u r t u m ɑ
väsymys	ʋ æ s y m y s
väsymättömästi	ʋ æ s y m æ tː ø m æ s t iˣ
väsyneesti	ʋ æ s y n eː s t iˣ
väsytyshyökkäys	ʋ æ s y t y s h y ø̯ kː æ y s
väsyä	ʋ æ s y æ
väsyä	ʋ æ s y æˣ
vätystellä	ʋ æ t y s t e lː æˣ
vävy	ʋ æ ʋ y
vävypoika	ʋ æ ʋ y p o i̯ k ɑ
väylinki	ʋ æ y̯ l i ŋ k i
vääjäämättä	ʋ æː j æː m æ tː æ
vääjäämätön	ʋ æː j æː m æ t ø n
väännyksiin	ʋ æː nː y k s iː n
väännyksissä	ʋ æː nː y k s i sː æ
vääntiö	ʋ æː n t i ø
vääntyillä	ʋ æː n t y i̯ lː æˣ
vääntyminen	ʋ æː n t y m i n e n
vääntää	ʋ æː n t æːˣ
vääntöakseli	ʋ æː n t ø ɑ k s e l i
vääntöjousi	ʋ æː n t ø j o u̯ s i
vääntömomentti	ʋ æː n t ø m o m e n tː i
vääntönuppi	ʋ æː n t ø n u pː i
vääpeli	ʋ æː p e l i
väärentää	ʋ æː r e n t æːˣ
väärin	ʋ æː r i n
väärinajattelija	ʋ æː r i n ɑ j ɑ tː e l i j ɑ
väärinajattelu	ʋ æː r i n ɑ j ɑ tː e l u
väärinkäsitys	ʋ æː r i n k æ s i t y s
väärinkäyttö	ʋ æː r i n k æ y̯ tː ø
väärinkäyttötapaus	ʋ æː r i n k æ y̯ tː ø t ɑ p ɑ u s
vääristynyt	ʋ æː r i s t y n y t
vääristäminen	ʋ æː r i s t æ m i n e n
väärtti	ʋ æː r tː i
vääryyslaitos	ʋ æː r yː s l ɑ i̯ t o s
väärä	ʋ æː r æ
väärämielisesti	ʋ æː r æ m i e̯ l i s e s t iˣ
vääräuskoinen	ʋ æː r æ u s k o i̯ n e n
väärävarsiviikate	ʋ æː r æ ʋ ɑ r s i ʋ iː k ɑ t eˣ
väärävärikuvaus	ʋ æː r æ ʋ æ r i k u ʋ ɑ u s
vårdö	ʋ oː r d øː
võro	ʋ ø r o
võro	ʋ ɤ r o
võru	ʋ ɤ r u
vörnitseri	ʋ ø r n i t s e r i
vöyri	ʋ ø y̯ r i
vöyriläinen	ʋ ø y̯ r i l æ i̯ n e n
wales	w e i̯ l s
wales	w ɑ l e s
walesilainen	w e i̯ l s i l æ i̯ n e n
walesilainen	w ɑ l e s i l ɑ i̯ n e n
waltteri	ʋ ɑ l tː e r i
wanha	ʋ ɑ n h ɑ
warrantti	w ɑ rː ɑ n tː i
warrantti	ʋ ɑ rː ɑ n tː i
washington	ʋ o ʃ i ŋ t o n
washington	ʋ ɑ ʃ i ŋ t o n
watti	w ɑ tː i
watti	ʋ ɑ tː i
wattitunti	w ɑ tː i t u n t i
wattitunti	ʋ ɑ tː i t u n t i
wc	ʋ eː s eː
weber	w eː b e r
weber	ʋ eː b e r
webmaster	w e b m ɑː s t e r
weimarinseisoja	w ɑ i̯ m ɑ r i n s e i̯ s o j ɑ
wightsaari	w ɑ i̯ t s ɑː r i
wiki	w i k i
wikiteksti	w i k i t e k s t i
wilhelmiina	ʋ i l h e l m iː n ɑ
wimp	w i m p
windex	w i n d e k s
windex	ʋ i n d e k s
wirtanen	ʋ i r t ɑ n e n
wisconsin	w i s k o n s i n
wiski	w i s k i
wiski	ʋ i s k i
wokata	w o k ɑ t ɑˣ
wokata	ʋ o k ɑ t ɑˣ
wolframiitti	w o l f r ɑ m iː tː i
wolframiitti	ʋ o l f r ɑ m iː tː i
wollastoniitti	w o lː ɑ s t o n iː tː i
wrap	r æ p
wrap	ʋ r æ p
wrappi	r æ pː i
wrappi	r ɑ pː i
wrappi	w r ɑ pː i
wrappi	ʋ r æ pː i
wyoming	w ɑ i̯ o u m i ŋː
xtc	æ k s t eː s eː
yatzy	j ɑ t s i
ydin	y d i n
ydinalus	y d i n ɑ l u s
ydinase	y d i n ɑ s eˣ
ydinaseistus	y d i n ɑ s e i̯ s t u s
ydinasevalta	y d i n ɑ s eˣ ʋ ɑ l t ɑ
ydinfissio	y d i n f i sː i o
ydinfunktio	y d i n f u ŋ k t i o
ydinfysiikka	y d i n f y s iː kː ɑ
ydinfyysikko	y d i n f yː s i kː o
ydinjäte	y d i n j æ t eˣ
ydinkemia	y d i n k e m i ɑ
ydinosaaminen	y d i n o s ɑː m i n e n
ydintyä	y d i n t y æˣ
ydinvoima	y d i n ʋ o i̯ m ɑ
yhdeksikkö	y h d e k s i kː ø
yhdeksän	y h d e k s æ n
yhdeksänkertaisesti	y h d e k s æ n k e r t ɑ i̯ s e s t iˣ
yhdeksänkertaistaa	y h d e k s æ n k e r t ɑ i̯ s t ɑːˣ
yhdeksänkertaistua	y h d e k s æ n k e r t ɑ i̯ s t u ɑˣ
yhdeksänkymmentä	y h d e k s æ n k y mː e n t æ
yhdeksänkymmentäluku	y h d e k s æ n k y mː e n t æ l u k u
yhdeksäntoista	y h d e k s æ n t o i̯ s t ɑ
yhdeksäs	y h d e k s æ s
yhdeksästi	y h d e k s æ s t iˣ
yhdenmukaisesti	y h d e n m u k ɑ i̯ s e s t iˣ
yhdenmukaistaminen	y h d e n m u k ɑ i̯ s t ɑ m i n e n
yhdenmuotoinen	y h d e n m u o̯ t o i̯ n e n
yhdenmuotoisuuskuvaus	y h d e n m u o̯ t o i̯ s uː s k u ʋ ɑ u s
yhdensuuntaisprojektio	y h d e n s uː n t ɑ i̯ s p r o j e k t i o
yhdensuuntaisuusaksiooma	y h d e n s uː n t ɑ i̯ s uː s ɑ k s i oː m ɑ
yhdentyminen	y h d e n t y m i n e n
yhdentyä	y h d e n t y æˣ
yhdenvertaisesti	y h d e n ʋ e r t ɑ i̯ s e s t iˣ
yhdessä	y h d e sː æ
yhdesti	y h d e s t iˣ
yhdiste	y h d i s t eˣ
yhdistelmäase	y h d i s t e l m æ ɑ s eˣ
yhdistelmäauto	y h d i s t e l m æ ɑ u t o
yhdistelmämalli	y h d i s t e l m æ m ɑ lː i
yhdistelmämateriaali	y h d i s t e l m æ m ɑ t e r i ɑː l i
yhdistelmärahasto	y h d i s t e l m æ r ɑ h ɑ s t o
yhdistelmäruutu	y h d i s t e l m æ r uː t u
yhdistelmätakki	y h d i s t e l m æ t ɑ kː i
yhdistetty	y h d i s t e tː y
yhdistyminen	y h d i s t y m i n e n
yhdistymisvapaus	y h d i s t y m i s ʋ ɑ p ɑ u s
yhdistyä	y h d i s t y æˣ
yhdistäminen	y h d i s t æ m i n e n
yhdistää	y h d i s t æːˣ
yhdyselin	y h d y s e l i n
yhdyselämä	y h d y s e l æ m æ
yhdysjana	y h d y s j ɑ n ɑ
yhdyskaari	y h d y s k ɑː r i
yhdyskuntajäte	y h d y s k u n t ɑ j æ t eˣ
yhdyskuntalintu	y h d y s k u n t ɑ l i n t u
yhdyskuntasuunnittelu	y h d y s k u n t ɑ s uː nː i tː e l u
yhdyskuntatyö	y h d y s k u n t ɑ y ø
yhdysliikenne	y h d y s l iː k e nː eˣ
yhdysputki	y h d y s p u t k i
yhdyssana	y h d y s s ɑ n ɑ
yhdyssanamuoto	y h d y s s ɑ n ɑ m u o̯ t o
yhdyssanavirhe	y h d y s s ɑ n ɑ ʋ i r h eˣ
yhdystie	y h d y s t i e̯
yhdysvaikutus	y h d y s ʋ ɑ i̯ k u t u s
yhdysvallat	y h d y s ʋ ɑ lː ɑ t
yhdysvaltalaismies	y h d y s ʋ ɑ l t ɑ l ɑ i̯ s m i e̯ s
yhdysvaltalaisnainen	y h d y s ʋ ɑ l t ɑ l ɑ i̯ s n ɑ i̯ n e n
yhtaikaisesti	y h t ɑ i̯ k ɑ i̯ s e s t iˣ
yhteen	y h t eː n
yhteenkuuluvuudentunne	y h t eː ŋ k uː l u ʋ uː d e n t u nː eˣ
yhteenlaskija	y h t eː n l ɑ s k i j ɑ
yhteenlaskumerkki	y h t eː n l ɑ s k u m e r kː i
yhteensopiva	y h t eː n s o p i ʋ ɑ
yhteentörmäys	y h t eː n t ø r m æ y s
yhteinen	y h t e i̯ n e n
yhteisarvo	y h t e i̯ s ɑ r ʋ o
yhteisasunto	y h t e i̯ s ɑ s u n t o
yhteiselin	y h t e i̯ s e l i n
yhteiselämä	y h t e i̯ s e l æ m æ
yhteishaku	y h t e i̯ s h ɑ k u
yhteishauta	y h t e i̯ s h ɑ u̯ t ɑ
yhteisjakauma	y h t e i̯ s j ɑ k ɑ u m ɑ
yhteiskunnallisesti	y h t e i̯ s k u nː ɑ lː i s e s t iˣ
yhteiskuntaelämä	y h t e i̯ s k u n t ɑ e l æ m æ
yhteiskuntafilosofia	y h t e i̯ s k u n t ɑ f i l o s o f i ɑ
yhteiskuntaluokka	y h t e i̯ s k u n t ɑ l u o̯ kː ɑ
yhteiskuntaoppi	y h t e i̯ s k u n t ɑ o pː i
yhteiskuntateoria	y h t e i̯ s k u n t ɑ t e o r i ɑ
yhteiskuntatiede	y h t e i̯ s k u n t ɑ t i e̯ d eˣ
yhteiskuntavastuu	y h t e i̯ s k u n t ɑ ʋ ɑ s t uː
yhteisluettelo	y h t e i̯ s l u e tː e l o
yhteismarkkinat	y h t e i̯ s m ɑ r kː i n ɑ t
yhteisneuvottelu	y h t e i̯ s n e u̯ ʋ o tː e l u
yhteisnäyttely	y h t e i̯ s n æ y̯ tː e l y
yhteisomistus	y h t e i̯ s o m i s t u s
yhteispisteet	y h t e i̯ s p i s t eː t
yhteispistetodennäköisyysfunktio	y h t e i̯ s p i s t eˣ t o d e n n æ k ø i̯ s yː s f u ŋ k t i o
yhteisrahoitteinen	y h t e i̯ s r ɑ h o i̯ tː e i̯ n e n
yhteissuoli	y h t e i̯ s s u o̯ l i
yhteistalous	y h t e i̯ s t ɑ l o u s
yhteistiheysfunktio	y h t e i̯ s t i h e y s f u ŋ k t i o
yhteistila	y h t e i̯ s t i l ɑ
yhteistoteutus	y h t e i̯ s t o t e u t u s
yhteistuotanto	y h t e i̯ s t u o̯ t ɑ n t o
yhteistutkinto	y h t e i̯ s t u t k i n t o
yhteistuumin	y h t e i̯ s t uː m i n
yhteistyö	y h t e i̯ s t y ø̯
yhteistyöelin	y h t e i̯ s t y ø̯ e l i n
yhteistyöprojekti	y h t e i̯ s t y ø̯ p r o j e k t i
yhteistyövaltuuskunta	y h t e i̯ s t y ø̯ ʋ ɑ l t uː s k u n t ɑ
yhteisvastuisesti	y h t e i̯ s ʋ ɑ s t u i̯ s e s t iˣ
yhteisvastuullisesti	y h t e i̯ s ʋ ɑ s t uː lː i s e s t iˣ
yhteisvoimin	y h t e i̯ s ʋ o i̯ m i n
yhteisömerkki	y h t e i̯ s ø m e r kː i
yhteisömuoto	y h t e i̯ s ø m u o̯ t o
yhteisösakko	y h t e i̯ s ø s ɑ kː o
yhteisösijoittaja	y h t e i̯ s ø s i j o i̯ tː ɑ j ɑ
yhteisötaide	y h t e i̯ s ø t ɑ i̯ d eˣ
yhteisötalous	y h t e i̯ s ø t ɑ l o u s
yhtenäinen	y h t e n æ i̯ n e n
yhtenäisesti	y h t e n æ i̯ s e s t iˣ
yhtenäiskoulu	y h t e n æ i̯ s k o u̯ l u
yhtenäispatentti	y h t e n æ i̯ s p ɑ t e n tː i
yhtenäistäminen	y h t e n æ i̯ s t æ m i n e n
yhteysalus	y h t e y s ɑ l u s
yhteyshauta	y h t e y s h ɑ u̯ t ɑ
yhteyspiste	y h t e y s p i s t eˣ
yhteyspäällikkö	y h t e y s p æː lː i kː ø
yhteyttäminen	y h t e y tː æ m i n e n
yhteyttää	y h t e y tː æːˣ
yhteytyä	y h t e y t y æˣ
yhtiö	y h t i ø
yhtiöittäminen	y h t i ø i̯ tː æ m i n e n
yhtiösopimus	y h t i ø s o p i m u s
yhtye	y h t y eˣ
yhtymä	y h t y m æ
yhtä	y h t æ
yhtäaikainen	y h t æ ɑ i̯ k ɑ i̯ n e n
yhtäaikaisesti	y h t æ ɑ i̯ k ɑ i̯ s e s t iˣ
yhtäjatkuva	y h t æ j ɑ t k u ʋ ɑ
yhtäkkisesti	y h t æ kː i s e s t iˣ
yhtäläinen	y h t æ l æ i̯ n e n
yhtälö	y h t æ l ø
yhtälöpari	y h t æ l ø p ɑ r i
yhtälöryhmä	y h t æ l ø r y h m æ
yhtämahtava	y h t æ m ɑ h t ɑ ʋ ɑ
yhtämittaisesti	y h t æ m i tː ɑ i̯ s e s t iˣ
yhtäpitämätön	y h t æ p i t æ m æ t ø n
yhtäpitävyys	y h t æ p i t æ ʋ yː s
yhtäpitävästi	y h t æ p i t æ ʋ æ s t iˣ
yhtäsuuruus	y h t æ s uː r uː s
yhtäänne	y h t æː nː eˣ
yhä	y h æ
yk	yː k oː
ykkösalkio	y kː ø s ɑ l k i o
ykköskanava	y kː ø s k ɑ n ɑ ʋ ɑ
ykkösmaito	y kː ø s m ɑ i̯ t o
ykkösolut	y kː ø s o l u t
yksi	y k s i
yksihuippuinen	y k s i h u i̯ pː u i̯ n e n
yksikkö	y k s i kː ø
yksikköalkio	y k s i kː ø ɑ l k i o
yksikköaskelfunktio	y k s i kː ø ɑ s k e l f u ŋ k t i o
yksikköhinta	y k s i kː ø h i n t ɑ
yksikköjuuri	y k s i kː ø j uː r i
yksikkökiekko	y k s i kː ø k i e̯ kː o
yksikkökustannus	y k s i kː ø k u s t ɑ nː u s
yksikkökuutio	y k s i kː ø k uː t i o
yksikköneliö	y k s i kː ø n e l i ø
yksikkönormaalivektori	y k s i kː ø n o r m ɑː l i ʋ e k t o r i
yksikkötangenttivektori	y k s i kː ø t ɑ ŋː e n tː i ʋ e k t o r i
yksikkötestaus	y k s i kː ø t e s t ɑ u s
yksikköväli	y k s i kː ø ʋ æ l i
yksikköympyrä	y k s i kː ø y m p y r æ
yksikotiset	y k s i k o t i s e t
yksikseen	y k s i k s eː n
yksikäsitteisyys	y k s i k æ s i tː e i̯ s yː s
yksiköittäin	y k s i k ø i̯ tː æ i̯ n
yksilöintitieto	y k s i l ø i̯ n t i t i e̯ t o
yksilöittäin	y k s i l ø i̯ tː æ i̯ n
yksilöityminen	y k s i l ø i̯ t y m i n e n
yksilökeskeisesti	y k s i l ø k e s k e i̯ s e s t iˣ
yksilökohtaisesti	y k s i l ø k o h t ɑ i̯ s e s t iˣ
yksilöllistyminen	y k s i l ø lː i s t y m i n e n
yksilöllistäminen	y k s i l ø lː i s t æ m i n e n
yksimielinen	y k s i m i e̯ l i n e n
yksin	y k s i n
yksinhuoltaja	y k s i n h u o̯ l t ɑ j ɑ
yksinkertainen	y k s i n k e r t ɑ i̯ n e n
yksinomaisesti	y k s i n o m ɑ i̯ s e s t iˣ
yksinvaltaisesti	y k s i n ʋ ɑ l t ɑ i̯ s e s t iˣ
yksinvaltiaasti	y k s i n ʋ ɑ l t i ɑː s t iˣ
yksinvaltias	y k s i n ʋ ɑ l t i ɑ s
yksinäin	y k s i n æ i̯ n
yksinäisriihi	y k s i n æ i̯ s r iː h i
yksinäistalous	y k s i n æ i̯ s t ɑ l o u s
yksinäisyys	y k s i n æ i̯ s yː s
yksioikoisesti	y k s i o i̯ k o i̯ s e s t iˣ
yksipuolisesti	y k s i p u o̯ l i s e s t iˣ
yksisarvinen	y k s i s ɑ r ʋ i n e n
yksisilmäisesti	y k s i s i l m æ i̯ s e s t iˣ
yksistään	y k s i s t æː n
yksitoikkoisesti	y k s i t o i̯ kː o i̯ s e s t iˣ
yksitoista	y k s i t o i̯ s t ɑ
yksitotisesti	y k s i t o t i s e s t iˣ
yksittäinen	y k s i tː æ i̯ n e n
yksittäisesti	y k s i tː æ i̯ s e s t iˣ
yksittäistyydyttymätön	y k s i tː æ i̯ s t yː d y tː y m æ t ø n
yksitupainen	y k s i t u p ɑ i̯ n e n
yksituumaisesti	y k s i t uː m ɑ i̯ s e s t iˣ
yksityinen	y k s i t y i̯ n e n
yksityisalue	y k s i t y i̯ s ɑ l u eˣ
yksityisarkisto	y k s i t y i̯ s ɑ r k i s t o
yksityisasiakas	y k s i t y i̯ s ɑ s i ɑ k ɑ s
yksityisasunto	y k s i t y i̯ s ɑ s u n t o
yksityiskirjasto	y k s i t y i̯ s k i r j ɑ s t o
yksityiskokoelma	y k s i t y i̯ s k o k o e l m ɑ
yksityiskone	y k s i t y i̯ s k o n eˣ
yksityiskäyttö	y k s i t y i̯ s k æ y̯ tː ø
yksityislääkäri	y k s i t y i̯ s l æː k æ r i
yksityisolot	y k s i t y i̯ s o l o t
yksityisopettaja	y k s i t y i̯ s o p e tː ɑ j ɑ
yksityissairaala	y k s i t y i̯ s s ɑ i̯ r ɑː l ɑ
yksityistalous	y k s i t y i̯ s t ɑ l o u s
yksityistila	y k s i t y i̯ s t i l ɑ
yksityistyminen	y k s i t y i̯ s t y m i n e n
yksityisyyskäytäntö	y k s i t y i̯ s yː s k æ y̯ t æ n t ø
yksivakaisesti	y k s i ʋ ɑ k ɑ i̯ s e s t iˣ
