'bout	b a ʊ t
target	t ɑ ɹ ɡ ɪ t
tariff	t ɛ ɹ ɪ f
tariq	t æ ɹ ɪ k
tarkanian	t ɑ ɹ k e ɪ̯ n i ə n
tarmac	t ɑː ɹ m æ k
tarn	t ɑ ɹ n
tarnation	t ɑ ɹ n e ɪ ʃ ə n
tarnish	t ɑ ɹ n ɪ ʃ
tarnished	t ɑ ɹ n ɪ ʃ t
tarns	t ɑː ɹ n z
taro	t ɛ ɹ o ʊ
tarot	t ɛ ɹ o ʊ
tarp	t ɑ ɹ p
tarpan	t ɑ ɹ p ə n
tarpaulin	t ɑ ɹ p ɔ l ɪ n
tarpaulin	t ɑː ɹ p ə l ɪ n
tarradiddle	t æ ɹ ə d ɪ d ə l
tarrafal	t ɑː ɹ ə f ɑː l
tarragon	t æ ɹ ə ɡ ɑ n
tarragon	t æ ɹ ə ɡ ə n
tarragon	t ɛ ɹ ə ɡ ɑ n
tarragon	t ɛ ɹ ə ɡ ə n
tarre	t ɑ ɹ
tarrier	t æ ɹ i ɚ
tarrier	t ɑː ɹ i ɚ
tarry	t æ ɹ i
tarry	t ɑː ɹ i
tarsand	t ɑː ɹ s æ n d
tarse	t ɑː ɹ s
tarsier	t a ɹ s i ə ɹ
tart	t ɑ ɹ t
tartan	t ɑ ɹ t ə n
tartar	t ɑ ɹ t ɚ
tartar	t ɑː ɹ t ə ɹ
tartare	t ɑː ɹ t ɛ ə ɹ
tartarean	t ɑ ɹ t ɑ ɹ i ə n
tarter	t ɑ ɹ t ə ɹ
tartu	t ɑ ɹ t u
tartuffe	t ɑ ɹ t uː f
tartuffe	t ɑ ɹ t ʊ f
tarzan	t ɑ ɹ z æ n
tase	t e ɪ z
tased	t e ɪ z d
taser	t e ɪ z ɚ
tases	t e ɪ z ɪ z
tashkent	t æ ʃ k ɛ n t
tashkent	t ɑː ʃ k ɛ n t
tasing	t e ɪ z ɪ ŋ
task	t æ s k
tasked	t æ s k t
tasked	t ɑː s k t
taskless	t æ s k l ə s
tasks	t æ s k s
tasks	t ɑː s k s
tasman	t æ z m ə n
tasmania	t æ z m e ɪ n i ə
tass	t æ s
tassel	t æ s ə l
tassie	t æ s i
tassie	t æ z i
taste	t e ɪ s t
tasted	t e ɪ s t ɪ d
tasteful	t e ɪ s t f ə l
taster	t e ɪ s t ɚ
tastes	t e ɪ s
tastes	t e ɪ s t͡s
tasting	t e ɪ s t ɪ ŋ
tasty	t e ɪ s t i
taswegian	t æ z w iː d͡ʒ i ə n
taswegian	t æ z w iː d͡ʒ ə n
tat	t æ t
tat	t ɑː t
tatar	t æ t ɑː ɹ
tate	t e ɪ t
tater	t e ɪ t ɚ
tatler	t æ t l ə ɹ
tatsoi	t ɑ t s ɔ ɪ
tatter	t æ t ə ɹ
tatterara	t æ t ə ɹ ɑː ɹ ɑː
tattered	t æ t ɚ d
tatters	t æ t ɚ z
tatting	t æ t ɪ ŋ
tattle	t æ t l̩
tattler	t æ t l ɚ
tattler	t æ t l̩ ɚ
tattoo	t æ t uː
tatty	t æ t i
tau	t a ʊ
tau	t ɔː
taught	t ɔ t
taunt	t ɑ n t
taunt	t ɔ n t
taupe	t o ʊ p
taupo	t a ʊ p o ʊ
taurine	t ɔː ɹ a ɪ n
taurine	t ɔː ɹ iː n
taurocholic	t ɔː ɹ ə k ɒ l ɪ k
taurus	t ɑ ɹ ə s
taurus	t ɔː ɹ ə s
taut	t ɔ t
tautology	t ɔ t ɑ l ə d͡ʒ i
tavern	t æ v ɚ n
taverna	t ə v ɛ ə ɹ n ə
taverna	t ə v ɜː ɹ n ə
tavla	t e ɪ v l ɑː
tavla	t æ v l ɑː
taw	t a ʊ
tawdry	t ɔː d ɹ i
tawn	t ɔ n
tawny	t ɔː n i
tawse	t ɔː z
tawyer	t ɔ ɪ ɚ
tax	t æ k s
taxation	t æ k s e ɪ ʃ ə n
taxes	t æ k s iː z
taxes	t æ k s ɪ z
taxi	t æ k s i
taxidermy	t æ k s ɪ d ɚ m i
taxis	t æ k s i z
taxis	t æ k s ɪ s
taxol	t æ k s ɒ l
taxon	t æ k s ɑː n
taxonomy	t æ k s ɑː n ə m i
tay	t e ɪ
taylor	t e ɪ l ɚ
taynuilt	t e ɪ n ə l t
tayra	t a ɪ ɹ ə
tayside	t e ɪ s a ɪ d
taz	t æ z
tazarotene	t ə z æ ɹ ə t i n
tazemetostat	t æ z ɪ m ɛ t ə s t æ t
tazobactam	t æ z ə b æ k t æ m
tbilisi	t ə b i l ə s i
tchaikovsky	t ʃ a ɪ k ɑ f s k i
tcl	t ɪ k ə l
tcler	t ɪ k l ə ɹ
tcler	t ɪ k ə l ə ɹ
tcon	t i k ə n
te	t iː
tea	t i
teach	t i t͡ʃ
teach	t iː t͡ʃ
teacher	t i t͡ʃ ɚ
teacheress	t iː t ʃ ə ɹ ɛ s
teachers	t i t͡ʃ ɚ z
teaching	t iː t ʃ ɪ ŋ
teachy	t iː t͡ʃ i
teacup	t iː k ʌ p
teade	t iː d
teak	t iː k
teal	t iː l
team	t iː m
teammate	t iː m m e ɪ t
teamster	t i m s t ɚ
teapoy	t iː p ɔ ɪ
tear	t ɛ ɚ
tear	t ɪ ɚ
tearaway	t ɛ ə ɹ ə w e ɪ
teardrop	t ɪ ə d ɽ ɒ p
teared	t eː d
teared	t ɛ ə d
teared	t ɛ ə ɹ d
teared	t ɛ ɹ d
teared	t ɪ ə d
teared	t ɪ ə ɹ d
teared	t ɪ ɹ d
tearful	t ɪ ɹ f ʊ l
tears	t ɛ ɹ z
tears	t ɪ ɹ z
tearsheet	t ɛ ə ʃ iː t
tearsome	t ɪ ɚ s ə m
tearstain	t ɪ ə s t e ɪ n
teary	t ɪ ə ɹ i
teas	t iː z
tease	t iː z
teased	t iː z d
teaser	t i z ɚ
teasing	t iː z ɪ ŋ
teaspoon	t i s p u n
teat	t iː t
tebuconazole	t ɛ b j uː k ɒ n ə z ə ʊ l
tebutam	t ɛ b j u t æ m
tech	t ɛ k
technacy	t ɛ k n ə s i
technetium	t ɛ k n i ʃ i ə m
technical	t ɛ k n ɪ k ə l
technicality	t ɛ k n ɪ k æ l ɪ t i
technically	t ɛ k n ɪ k l i
technically	t ɛ k n ɪ k ə l i
technician	t e k n ɪ ʃ ə n
technique	t ɛ k n iː k
techno	t ɛ k n o ʊ
technobabble	t ɛ k n o ʊ b æ b ə l
technocracy	t ɛ k n ɒ k ɹ ə s i
technologist	t ɛ k n ɑ l ə d͡ʒ ɪ s t
technology	t ɛ k n ɑ l ə d ʒ i
technopeasant	t ɛ k n ə ʊ p ɛ z ə n t
technopoleis	t ɛ k n ɒ p ɒ l ɛ ɪ z
technopolis	t ɛ k n ɒ p ɒ l ɪ s
technopolises	t ɛ k n ɒ p ɒ l ɪ s ɪ z
technopreneur	t ɛ k n ə ʊ p ɹ ə n ɜː ɹ
tectiform	t ɛ k t ə f ɔ ɹ m
tectum	t ɛ k t ə m
ted	t ɛ d
teddy	t ɛ d i
tedge	t ɛ d ʒ
tedious	t i d i ə s
tedious	t i d ʒ ə s
tee	t iː
teegeeack	t iː ɡ i æ k
teek	t iː k
teel	t iː l
teem	t iː m
teeming	t iː m ɪ ŋ
teen	t iː n
teenager	t iː n e ɪ d ʒ ə ɹ
teens	t iː n z
teeny	t iː n i
teenybopper	t i n i b ɑ p ɚ
teep	t iː p
teepee	t iː p i
teeter	t i t ə ɹ
teeth	t iː θ
teethe	t iː ð
teething	t i ð ɪ ŋ
teetotal	t iː t ə ʊ t ə l
teetotaler	t i t o ʊ t ə l ɚ
teetotaling	t i t o ʊ t ə l ɪ ŋ
teetotaller	t i t o ʊ t ə l ɚ
teff	t ɛ f
teflon	t ɛ f l ɒ n
teg	t ɛ ɡ
tegaserod	t ə ɡ æ s ə ɹ ɑ d
tegmen	t ɛ ɡ m ə n
tegucigalpa	t ɛ ɡ uː s ɪ ɡ æ l p ə
tegular	t ɛ ɡ j ʊ l ə ɹ
tegument	t ɛ ɡ j ʊ m ə n t
teh	t ɛ
teign	t e ɪ n
teign	t iː n
teignmouth	t ɪ n m ə θ
teilhardian	t e ɪ ɑː ɹ d i ə n
teint	t e ɪ n t
tejolote	t e ɪ h ə l o ʊ t e ɪ
telamon	t ɛ l ə m ə n
telamon	t ɛ l ə m ə ʊ n
telangana	t ɛ l ə n ɡ ɑː n ə
telangiectasia	t ɛ l æ n d ʒ i ɛ k t e ɪ ʒ ə
telangiectatic	t ɛ l æ n d͡ʒ i ɛ k t æ t ɪ k
telarly	t iː l ə ɹ l i
telary	t iː l ə ɹ i
telecine	t ɛ l ə s ɪ n e ɪ
telekinesis	t ɛ l ə k ɪ n iː s ɪ s
telekong	t ə l ə k o ŋ
telekung	t ə l ə k u ŋ
telemachus	t ə l ɛ m ə k ə s
telematic	t ɛ l ə m æ t ɪ k
telematics	t ɛ l ə m æ t ɪ k s
telencephalon	t ɛ l ə n s ɛ f ə l ɒ n
telencephalon	t ɛ l ə n s ɛ f ə l ə n
teleonomy	t ɛ l i ɒ n ə m i
teleophyte	t ɛ l iː ə ʊ f a ɪ t
telepathetic	t ɛ l ə p ə t h ɛ t ɪ k
telepathetically	t ɛ l ə p ə θ ɛ t ɪ k l i
telepathic	t ɛ l ɪ p æ θ ɪ k
telepathy	t ə l ɛ p ə θ i
telepathy	t ɛ l ə p æ θ i
telepathy	t ɛ l ɛ p ə θ i
telephone	t ɛ l ə f o ʊ n
teleplay	t ɛ l ə p l e ɪ
teleport	t ɛ l ə p ɔː ɹ t
teleporter	t ɛ l i p ɔː ɹ t ə ɹ
teleprompter	t ɛ l ə p ɹ ɑ m p t ə ɹ
telescope	t ɛ l ə s k o ʊ p
telescopy	t ɘ l ɛ s k ɘ p i
telestic	t ɛ l ɛ s t ɪ k
televangelist	t ɛ l ɪ v æ n d ʒ ə l ɪ s t
televise	t ɛ l ɪ v a ɪ z
television	t ɛ l ə v ɪ ʒ ə n
television	t ɛ l ɪ v ɪ ʒ ə n
telicity	t iː l ɪ s ɪ t i
telish	t ɛ l ɪ ʃ
telishment	t ɛ l ɪ ʃ m ə n t
telithromycin	t ə l ɪ θ ɹ o ʊ m a ɪ s n̩
tell	t ɛ l
tell	t ɛ ɫ
teller	t ɛ l ə ɹ
telling	t ɛ l ɪ ŋ
tells	t ɛ l z
telltale	t ɛ l t e ɪ l
tellurian	t ɛ l j ʊ ɹ i ə n
tellurion	t ɛ l j ʊ ɹ i ə n
tellurium	t ɪ l j ʊ ə ɹ i ə m
telly	t ɛ l i
telmisartan	t ɛ l m ɪ s ɑ ɹ t ə n
telogonic	t ɛ l ə ɡ ɑ n ɪ k
telomerase	t e l ɑ m ə ɹ e ɪ s
telomere	t iː l ə m ɪ ə ɹ
telomere	t ɛ l ə m ɪ ə ɹ
telomeric	t iː l ə m ɛ ɹ ɪ k
telomeric	t ɛ l ə m ɛ ɹ ɪ k
telop	t ɛ l ə p
telos	t iː l ɒ s
telos	t ɛ l ɒ s
telpherage	t ɛ l f ə ɹ ɪ d ʒ
telyn	t ɛ l ɪ n
temazepam	t ə m æ z ə p æ m
teme	t iː m
temerarious	t ɛ m ə ɹ ɛ ə ɹ i ə s
temeritous	t ɪ m ɛ ɹ ə t ə s
temerity	t ə m ɛ ɹ ə t i
temp	t ɛ m p
tempeh	t ɛ m p e ɪ
temper	t ɛ m p ɚ
tempera	t ɛ m p ə ɹ ə
temperament	t ɛ m p ə ɹ m ə n t
temperament	t ɛ m p ə ɹ ə m ə n t
temperament	t ɛ m p ɹ ə m ə n t
temperance	t ɛ m p ə ɹ ə n s
temperate	t ɛ m p ə ɹ ə t
temperature	t ɛ m p ə ɹ t ʃ ə ɹ
temperature	t ɛ m p ə ɹ t ʃ ʊ ə ɹ
temperature	t ɛ m p ə ɹ ə t ʃ ə ɹ
temperature	t ɛ m p ə ɹ ə t ʃ ʊ ə ɹ
tempest	t ɛ m p ə s t
tempi	t ɛ m p iː
template	t ɛ m p l ə t
template	t ɛ m p l ɪ t
temple	t ɛ m p ə l
temples	t ɛ m p l̩ z
temporal	t ɛ m p ə ɹ ə l
temporarily	t ɛ m p ə ɹ ɛ ɹ ə l i
temporary	t ɛ m p ə ɹ ɛ ɹ i
temporize	t ɛ m p ə ɹ a ɪ z
tempos	t ɛ m p o ʊ z
tempt	t ɛ m p t
tempt	t ɛ m t
temptation	t ɛ m p t e ɪ ʃ ə n
tempted	t ɛ m p t ɪ d
tempting	t ɛ m p t ɪ ŋ
temuka	t iː m uː k ə
ten	t ɛ n
tenacious	t ə n e ɪ ʃ ə s
tenaciously	t ə n e ɪ ʃ ə s l i
tenaciousness	t ə n e ɪ ʃ ə s n ə s
tenacity	t ə n æ s ə t i
tenacle	t ɛ n ə k ə l
tenacy	t ɛ n ə s i
tenant	t ɛ n ə n t
tenasserim	t ə n æ s ə ɹ ɪ m
tench	t ɛ n t͡ʃ
tend	t ɛ n d
tended	t ɛ n d ɪ d
tendencies	t ɛ n d ə n s i z
tendency	t ɛ n d ə n s i
tendentious	t ɛ n d ɛ n ʃ ə s
tender	t ɛ n d ə
tender	t ɛ n d ɚ
tenderizer	t ɛ n d ə ɹ a ɪ z ə ɹ
tenderly	t ɛ n d ɚ l i
tenderness	t ɛ n d ɚ n ɪ s
tenderoni	t ɛ n d ə ɹ o ʊ n i
tendie	t ɛ n d iː
tending	t ɛ n d ɪ ŋ
tendinitis	t ɛ n d n̩ a ɪ t ɪ s
tendon	t ɛ n d ə n
tendril	t ɛ n d ɹ ə l
tends	t ɛ n d z
tenebrose	t ɛ n ɪ b ɹ o ʊ s
tenebrosity	t ɛ n ɪ b ɹ ɑ s ə d i
tenebrous	t ɛ n ə b ɹ ə s
tenecteplase	t ə n ɛ k t ə p l e ɪ s
tenement	t ɛ n ɪ m ə n t
tenent	t ɛ n ɛ n t
teneral	t ɛ n ə ɹ ə l
tenesmus	t ɪ n ɛ z m ə s
tenet	t ɛ n ə t
tenet	t ɛ n ɪ t
tenge	t ɛ ŋ ɡ e ɪ
tennessee	t ɛ n ə s i
tennessine	t ɛ n ə s iː n
tennis	t ɛ n ɪ s
tennyson	t ɛ n ɪ s n̩
tenochtitlan	t ə n ɔ t ʃ t ɪ t l æ n
tenochtitlan	t ə n ɔ t ʃ t ɪ t l ɑ n
tense	t ɛ n s
tenses	t ɛ n s ɪ z
tensile	t ɛ n s a ɪ ə l
tension	t ɛ n ʃ ə n
tensity	t ɛ n s ɪ t i
tent	t ɛ n t
tent	t ɪ n t
tentacle	t ɛ n t ə k ə l
tentacle	t ɛ n t ɨ k ə l
tentacular	t ɛ n t æ k j uː l ə ɹ
tentative	t ɛ n t ə t ɪ v
tentatively	t ɛ n t ə t ɪ v l i
tentatives	t ɛ n t ə t ɪ v s
tenten	t ɛ n t ɛ n
tenter	t ɛ n t ə ɹ
tenth	t ɛ n θ
tenth	t ɪ n θ
tentiginous	t ɛ n t ɪ d ʒ ɪ n ə s
tents	t ɛ n t s
tenuious	t ɪ n j uː i ə s
tenuis	t ɛ n j u ɪ s
tenuis	t ɛ n u ɪ s
tenuity	t ə n j uː ɪ t i
tenuous	t ɛ n j u ə s
tenure	t ɛ n j ɚ
teosinte	t iː o ʊ s ɪ n t e ɪ
teosinte	t iː o ʊ s ɪ n t i
teotihuacan	t e ɪ o ʊ t i w ɑ k ɑ n
tepal	t iː p ə l
tepal	t ɛ p ə l
tephra	t ɛ f ɹ ə
tepid	t ɛ p ɪ d
teraflop	t ɛ ɹ ə f l ɑ p
terai	t ə ɹ a ɪ
teraphim	t ɛ ɹ ə f ɪ m
teratoid	t ɛ ɹ ə t ɔ ɪ d
teratoma	t ɛ ɹ ə t ə ʊ m ə
teratomata	t ɛ ɹ ə t ə ʊ m ə t ə
teratophilia	t ɛ ɹ ə t ə f ɪ l i ə
teratophiliac	t ɛ ɹ ə t ə f ɪ l i æ k
teratophiliacs	t ɛ ɹ ə t ə f ɪ l i æ k s
terazosin	t ə ɹ e ɪ z ə s ɪ n
terbinafine	t ɚ b ɪ n ə f i n
terbium	t ɜː ɹ b i ə m
terbutaline	t ɚ b j uː t ə l iː n
terebic	t ə ɹ i b ɪ k
terebic	t ə ɹ ɛ b ɪ k
terebrant	t ɛ ɹ ə b ɹ ə n t
teresa	t ə ɹ iː s ə
teresa	t ə ɹ iː z ə
terf	t ɝ f
terfenadine	t ɜː ɹ f ɛ n ə d iː n
terfenadine	t ɜː ɹ f ɛ n ə d ɪ n
tergite	t ɜː ɹ d͡ʒ a ɪ t
tergiversate	t ɝ d ʒ ɪ v ɝ s e ɪ t
tergiversation	t ɝ d͡ʒ ɪ v ɚ s e ɪ ʃ ə n
teriparatide	t ɛ ɹ ɪ p ɛ ɹ ə t a ɪ d
teriyaki	t ɛ ɹ i j ɑ k i
term	t ɝ m
termagant	t ɚ m ə ɡ ə n t
termed	t ɝ m d
termer	t ɜː ɹ m ə ɹ
termez	t ɛ ə ɹ m ɛ z
terminal	t ɚ m ɪ n ə l
terminate	t ɝ m ɪ n e ɪ t
terminated	t ɝ m ɪ n e ɪ t ɪ d
termination	t ɚ m ɪ n e ɪ ʃ ə n
terminator	t ɝ m ɪ n e ɪ d ɚ
termine	t ɜː ɹ m ɪ n
termini	t ɜ ɹ m ə n a ɪ
terminological	t ɜ ɹ m ə n ə l ɒ d͡ʒ ɪ k ə l
terminologist	t ɛː ɹ m ɪ n ɑ l ɑ d ʒ ɪ s t
terminology	t ɚ m ə n ɑ l ə d͡ʒ i
termitarium	t ɜ ɹ m ɪ t ɛ ə ɹ i ə m
termless	t ɝ m l ɨ s
terms	t ɝ m z
tern	t ɝ n
ternate	t ɜː n ə t
terne	t ɜː ɹ n
terns	t ɜː ɹ n z
terp	t ɝ p
terpenoid	t ɝ p ə n ɔ ɪ d
terpsichorean	t ɝ p s ɪ k ɔ ɹ iː ə n
terpsichorean	t ɝ p s ɪ k ə ɹ iː ə n
terrace	t ɛ ɹ ə s
terracotta	t ɛ ɹ ə k ɒ t ə
terrain	t ə r e ɪ n
terrapin	t ɛ ɹ ə p ɪ n
terrarium	t ə ɹ ɛ ɹ i ə m
terrene	t ə ɹ iː n
terrene	t ɛ ɹ iː n
terrenity	t ə ɹ ɛ n ɪ t i
terrestrial	t ə ɹ ɛ s t ɹ i ə l
terrestrious	t ə ɹ ɛ s t ɹ i ə s
terribler	t ɛ ɹ ɪ b ə l ə ɹ
terribly	t ɛ ɹ ɪ b l i
terrier	t ɛ ɹ i ə ɹ
terrific	t ə ɹ ɪ f ɪ k
terrified	t ɛ ɹ ɪ f a ɪ d
terrify	t ɛ ɹ ɪ f a ɪ
terrifying	t ɛ ɹ ɪ f a ɪ ɪ ŋ
terrine	t ə ɹ i n
territorial	t ɛ ɹ ɪ t ɔː ɹ i ə l
territories	t ɛ ɹ ɪ t ɔ ɹ i z
territory	t ɛ ɹ ɪ t ɔ ɹ i
terroir	t ɛ ɹ w ɑ ɹ
terror	t ɛ ɚ
terror	t ɛ ɹ ɚ
terrorism	t ɛ ɹ ə ɹ ɪ z ə m
terrorist	t ɛ ɹ ə ɹ ɪ s t
terrorize	t ɛ ɹ ə ɹ a ɪ z
terry	t ɛ ɹ i
terse	t ɝː s
tertiary	t ɝ ʃ i æ ɹ i
tertiary	t ɝ ʃ ə ɹ i
tertullian	t ə ɹ t ʌ l i ə n
tesaglitazar	t ɛ s ə ɡ l ɪ t ə z ɑ ɹ
tesla	t ɛ s l ə
tess	t ɛ s
tessellate	t ɛ s ə l e ɪ t
tessellation	t ɛ s ə l e ɪ ʃ ə n
tessitura	t ɛ s ɪ t ʊ ə ɹ ə
test	t ɛ s t
testaceous	t ɛ s t e ɪ ʃ ə s
testament	t ɛ s t ə m ə n t
testator	t ɛ s t e ɪ t ɚ
testatrix	t ɛ s t e ɪ t ɹ ɪ k s
testcross	t ɛ s t k ɹ ɒ s
tested	t ɛ s t ɪ d
tester	t ɛ s t ə ɹ
testicle	t ɛ s t ɪ k ə l
testicular	t ɛ s t ɪ k j ə l ə
testicular	t ɛ s t ɪ k j ə l ɚ
testification	t ɛ s t ɪ f ɪ k e ɪ ʃ ə n
testify	t ɛ s t ɪ f a ɪ
testimony	t ɛ s t ɪ m o ʊ n i
testing	t ɛ s t ɪ ŋ
testings	t ɛ s t ɪ ŋ z
testosterone	t ɛ s t ɑ s t ə ɹ o ʊ n
tests	t ɛ s t s
testy	t ɛ s t i
tetanic	t ə t æ n ɪ k
tetanus	t ɛ t n ə s
tetanus	t ɛ t ə n ə s
tetchily	t ɛ t ʃ ɪ l i
tetchy	t ɛ t ʃ i
tethering	t e ð ə ɹ ɪ ŋ
tetrabenazine	t ɛ t ɹ ə b ɛ n ə z iː n
tetracaine	t ɛ t ɹ ə k e ɪ n
tetrachromacy	t ɛ t ɹ ə k ɹ o ʊ m ə s i
tetracosactide	t ɛ t ɹ ə k ə s æ k t a ɪ d
tetracycline	t ɛ t ɹ ə s a ɪ k l iː n
tetrad	t ɛ t ɹ æ d
tetraethylammonium	t ɛ t ɹ ə ɛ θ ə l ə m o ʊ n i ə m
tetragon	t ɛ t ɹ ə ɡ ɒ n
tetrahedron	t ɛ t ɹ ə h iː d ɹ ə n
tetrahydrocannabinol	t ɛ t ɹ ə h a ɪ d ɹ ə k ə n æ b ə n ɔ l
tetrahydrogestrinone	t ɛ t ɹ ə h a ɪ d ɹ ə d͡ʒ ɛ s t ɹ ɪ n o ʊ n
tetrahydrozoline	t ɛ t ɹ ə h a ɪ d ɹ ɒ z ə l iː n
tetralogy	t ɛ t ɹ æ l ə d ʒ i
tetraoxane	t ɛ t ɹ ə ɒ k s e ɪ n
tetraoxanes	t ɛ t ɹ ə ɒ k s e ɪ n z
tetrarch	t ɛ t ɹ ɑ ɹ k
tetrarchy	t ɛ t ɹ ɑ ɹ k i
tetrastoon	t ɛ t ɹ a s t ə w ä n
tetrastoon	t ɛ t ɹ ə s t o ä n
tetrasyllabic	t ɛ t ɹ ə s ɪ l æ b ɪ k
tetratheism	t ɛ t ɹ ə θ i ɪ z ə m
tetratheist	t ɛ t ɹ ə θ i ɪ s t
tetration	t ɛ t ɹ e ɪ ʃ ə n
tetravalency	t ɛ t ɹ ə v e ɪ l ə n s i
tetrazzini	t ɛ t ɹ ə z iː n i
tetrevangelium	t ɛ t ɹ ə v æ n d͡ʒ ɛ l ɪ ə m
tetris	t ɛ t ɹ ɪ s
tetromino	t ɛ t ɹ ɑː m ɪ n o ʊ
tetrylammonium	t ɛ t ɹ ə l ə m o ʊ n i ə m
tetter	t ɛ t ɚ
teucer	t j uː s ə ɹ
teuton	t j u t ɑ n
teuton	t j u t ə n
tew	t j uː
tew	t uː
tewel	t j uː ə l
tex	t ɛ k
tex	t ɛ k s
tex	t ɛ x
texan	t ɛ k s ə n
texarkana	t ɛ k s ɑ ɹ k æ n ə
texas	t ɛ k s ə s
texed	t ɛ k s t
text	t ɛ k s t
textbook	t ɛ k s t b ʊ k
texted	t ɛ k s t ɪ d
textile	t ɛ k s t a ɪ l
texts	t ɛ k s
texts	t ɛ k s t s
textspeak	t ɛ k s t s p i k
texture	t ɛ k s t ʃ ə ɹ
texture	t ɛ k ʃ t ʃ ə ɹ
textured	t ɛ k s t ʃ ɚ d
textured	t ɛ k ʃ t ʃ ɚ d
th'	ð
th'	ð ə
th'are	ð ɑː ɹ
tha	ð a
tha	ð aː
thack	θ æ k
thad	θ æ d
thai	t a ɪ
thaify	t a i f a ɪ
thailand	t a ɪ̯ l æ n d
thailand	t a ɪ̯ l ə n d
thaler	t ɑː l ə ɹ
thales	θ e ɪ l iː z
thalia	θ ə l a ɪ ə
thalidomide	θ ə l ɪ d ə m a ɪ d
thallium	θ æ l i ə m
thallophyte	θ æ l ə f a ɪ t
thallus	θ æ l ə s
thalweg	t ɑ l v ɛ ɡ
tham	t ʌ m
thana	t ɑː n ə
thanadar	t ɑː n ə d ɑː
thanakha	t a n a k a
thanatocoenose	θ ə n æ t ə ʊ s iː n ə ʊ s
thanatocracy	θ æ n ə t ɑ k ɹ ə s i
thanatology	θ æ n ə t ɑ l ə d͡ʒ i
thanatopsis	θ æ n ə t ɒ p s ɪ s
thanatos	θ æ n ə t ɒ s
thane	θ e ɪ n
thanet	θ æ n ɪ t
thang	θ æ ŋ
thank	θ æ ŋ k
thanked	θ æ ŋ k t
thankful	θ æ ŋ k f ə l
thanks	θ æ ŋ k s
thanksgiving	θ æ ŋ k s ɡ ɪ v ɪ ŋ
thao	θ a ʊ
that	ð æ t
that'd	ð æː d
that're	ð ə t ɚ
that's	ð æ t s
that've	ð ə t ə v
thatch	θ æ t ʃ
thatcher	θ æ t ʃ ɚ
thatcherite	θ æ t ʃ ə ɹ a ɪ t
thaumaturgy	θ ɔ m ə t ɜ ɹ d ʒ i
thaw	θ ɔː
the	ð i
the	ð iː
theaism	θ iː ə ɪ z ə m
theaker	θ i k ɚ
theale	θ iː l
thearchic	θ iː ɑː ɹ k ɪ k
theater	θ i ə t ɚ
theater	θ ɪ ə t ɚ
thebacon	θ iː b ə k ɒ n
thebaic	θ ɪ b e ɪ ɪ k
thebes	θ i b z
thede	θ iː d
thee	ð iː
thee	θ iː
theft	θ ɛ f t
theia	θ iː ə
theinism	θ iː ɪ n ɪ z ə m
their	ð ɛ ɚ
theirs	ð ɛ ɚ z
theism	t i ɪ z ə m
theism	θ i ɪ z ə m
theist	θ iː ɪ s t
theistic	θ i ɪ s t ɪ k
theists	θ i ɪ s t s
thelion	θ i l i ɑ n
thelium	θ i l ɪ ə m
thelytoky	θ ə l ɪ t ə k i
them	ð ʌ m
them's	ð ɛ m s
thematic	θ ɛ m æ t ɪ k
thematic	θ ɪ m æ t ɪ k
thematise	θ iː m ə t a ɪ z
theme	θ iː m
themis	θ iː m ɨ s
themself	ð ɛ m s ɛ l f
themselves	ð ə m s ɛ l v z
themselves	ð ɛ m s ɛ l v z
then	ð ɛ n
thence	ð ɛ n s
thenceforth	ð ɛ n s f ɔː ɹ θ
theo	θ i o ʊ
theocentric	θ iː ə ʊ s ɛ n t ɹ ɪ k
theocracies	θ i ɑ k ɹ ə s i z
theocracy	θ iː ɒ k ɹ ə s ɪ
theocrasy	θ iː ɒ k ɹ ə s ɪ
theocratical	θ i ə k ɹ æ t ɪ k ə l
theodicy	θ i ɑ d ɪ s i
theodolite	θ iː ɒ d ə l a ɪ t
theogony	θ ɪ ɑː ɡ ə n ɪ
theologian	θ i ə l o ʊ d ʒ ə n
theological	θ i ə l ɑ d͡ʒ ɪ k l
theology	θ i ɒ l ə d ʒ i
theomachist	θ i ɑ m æ k ɪ s t
theomachy	θ i ɑ m ə k i
theophylline	θ i ɑ f ə l ɪ n
theopneust	θ ɪ ə p n j uː s t
theorbo	θ i ɔ ɹ b o ʊ
theorem	θ iː ə ɹ ə m
theorem	θ ɪ ə ɹ ə m
theoretic	θ iː ə ɹ ɛ t ɪ k
theoretic	θ ɪ ə̯ ɹ ɛ t ɪ k
theoretical	θ i ə ɹ ɛ t ɪ k ə l
theoretical	θ ɪ ə̯ ɹ ɛ t ɪ k ə l
theoric	θ iː ɒ ɹ ɪ k
theoric	θ iː ɔː ɹ ɪ k
theories	θ iː ə ɹ i z
theories	θ ɪ ɹ i z
theorist	θ iː ə ɹ ə s t
theorist	θ ɪ ɹ ə s t
theory	θ iː ə ɹ i
theory	θ ɪ ɹ i
theosoph	θ iː o ʊ s ɒ f
theosophic	θ i ə s ɑ f ɪ k
theosophical	θ i ə s ɑ f ɪ k ə l
therapeutic	θ ɛ ɹ ə p j uː t ɪ k
therapize	θ ɛ ɹ ə p a ɪ z
therapy	θ ɛ ɹ ə p i
there	ð e ɪ ə
there	ð ɛ ə ɹ
there'll	ð e ɹ l
there'll	ð ɛ l
there'll	ð ɛ ə ɹ l
there'll	ð ɛ ɹ l
