а	ɑ
спина	s p ɪ n ɐ
спис	s p ɪ s
список	s p ɪ s ɔ k
спитати	s p e t ɑ t e
спланувати	s p ɫ ɐ n ʊ ʋ ɑ t e
спогад	s p ɔ ɦ ɐ d
сподіватися	s p ɔ dʲ i ʋ ɑ t e sʲ ɐ
споживання	s p ɔ ʒ e ʋ ɑ nʲː ɐ
споживати	s p ɔ ʒ e ʋ ɑ t e
споживач	s p ɔ ʒ e ʋ ɑ t͡ʃ
споживача	s p ɔ ʒ e ʋ ɐ t͡ʃ ɑ
споживачка	s p ɔ ʒ e ʋ ɑ t͡ʃ k ɐ
споживачі	s p ɔ ʒ e ʋ ɐ t͡ʃʲ i
споживачів	s p ɔ ʒ e ʋ ɐ t͡ʃʲ i u̯
споживчий	s p ɔ ʒ ɪ u̯ t͡ʃ e i̯
спожити	s p ɔ ʒ ɪ t e
спокійний	s p o kʲ i i̯ n e i̯
сполучати	s p ɔ ɫ ʊ t͡ʃ ɑ t e
сполучений	s p o ɫ u t͡ʃ e n e i̯
сполучення	s p o ɫ u t͡ʃ e nʲː ɐ
сполучити	s p ɔ ɫ ʊ t͡ʃ ɪ t e
сполучник	s p o ɫ u t͡ʃ n e k
спора	s p ɔ r ɐ
спорт	s p ɔ r t
спортивний	s p ɔ r t ɪ u̯ n e i̯
спортсмен	s p ɔ r t͡s m ɛ n
спортсменка	s p ɔ r t͡s m ɛ n k ɐ
споруда	s p o r u d ɐ
спостерегти	s p ɔ s t e r e ɦ t ɪ
спостереження	s p ɔ s t e r ɛ ʒ e nʲː ɐ
спостерігати	s p ɔ s t e rʲ i ɦ ɑ t e
спостерігач	s p ɔ s t e rʲ i ɦ ɑ t͡ʃ
спостерігачка	s p ɔ s t e rʲ i ɦ ɑ t͡ʃ k ɐ
спосіб	s p ɔ sʲ i b
спочатку	s p ɔ t͡ʃ ɑ t k ʊ
справ	s p r ɑ u̯
справа	s p r ɑ ʋ ɐ
справам	s p r ɑ ʋ ɐ m
справами	s p r ɑ ʋ ɐ m e
справах	s p r ɑ ʋ ɐ x
справді	s p r ɑ u̯ dʲ i
справедливий	s p r ɐ ʋ e d ɫ ɪ ʋ e i̯
справедливість	s p r ɐ ʋ e d ɫ ɪ ʋʲ i sʲ tʲ
справжнє	s p r ɑ u̯ ʒ nʲ e
справжній	s p r ɑ u̯ ʒ nʲ i i̯
справи	s p r ɑ ʋ e
справо	s p r ɑ w ɔ
справою	s p r ɑ w ɔ j ʊ
справу	s p r ɑ w ʊ
справі	s p r ɑ ʋʲ i
спрага	s p r ɑ ɦ ɐ
спраглий	s p r ɑ ɦ ɫ e i̯
спроба	s p r ɔ b ɐ
спробувати	s p r ɔ b ʊ ʋ ɐ t e
спрогнозувати	s p r ɔ ɦ n ɔ z ʊ ʋ ɑ t e
спростити	s p r ɔ s t ɪ t e
спрощувати	s p r ɔ ʃ t͡ʃ ʊ ʋ ɐ t e
співак	sʲ pʲ i ʋ ɑ k
співати	sʲ pʲ i ʋ ɑ t e
співачка	sʲ pʲ i ʋ ɑ t͡ʃ k ɐ
співбесіда	sʲ pʲ i u̯ b ɛ sʲ i d ɐ
співвітчизник	sʲ pʲ i ʋʲː i t͡ʃː ɪ z n e k
співгромадянин	sʲ pʲ i u̯ ɦ r ɔ m ɐ dʲ ɑ n e n
співгромадянка	sʲ pʲ i u̯ ɦ r ɔ m ɐ dʲ ɑ n k ɐ
співпрацювати	sʲ pʲ i u̯ p r ɐ t͡sʲ ʊ ʋ ɑ t e
співпраця	sʲ pʲ i u̯ p r ɑ t͡sʲ ɐ
співробітництво	sʲ pʲ i u̯ r o bʲ i t n e t͡s t w ɔ
співучасник	sʲ pʲ i w ʊ t͡ʃ ɑ s n e k
спіднице	sʲ pʲ i d n ɪ t͡s e
спідницею	sʲ pʲ i d n ɪ t͡s e j ʊ
спідниць	sʲ pʲ i d n ɪ t͡sʲ
спідницю	sʲ pʲ i d n ɪ t͡sʲ ʊ
спідниця	sʲ pʲ i d n ɪ t͡sʲ ɐ
спідницям	sʲ pʲ i d n ɪ t͡sʲ ɐ m
спідницями	sʲ pʲ i d n ɪ t͡sʲ ɐ m e
спідницях	sʲ pʲ i d n ɪ t͡sʲ ɐ x
спідниці	sʲ pʲ i d n ɪ t͡sʲ i
спільний	sʲ pʲ i lʲ n e i̯
спір	sʲ pʲ i r
спірний	sʲ pʲ i r n e i̯
срака	s r ɑ k ɐ
срібло	sʲ rʲ i b ɫ ɔ
срібний	sʲ rʲ i b n e i̯
ссавець	sː ɐ ʋ ɛ t͡sʲ
ссавці	sː ɐ u̯ t͡sʲ i
ссати	sː ɑ t e
стабільний	s t ɐ bʲ i lʲ n e i̯
стабільність	s t ɐ bʲ i lʲ nʲ i sʲ tʲ
стабілізація	s t ɐ bʲ i lʲ i z ɑ t͡sʲ i j ɐ
стабілізувати	s t ɐ bʲ i lʲ i z ʊ ʋ ɑ t e
ставати	s t ɐ ʋ ɑ t e
ставатися	s t ɐ ʋ ɑ t e sʲ ɐ
ставити	s t ɑ ʋ e t e
ставлення	s t ɑ u̯ ɫ e nʲː ɐ
стайня	s t ɑ i̯ nʲ ɐ
стакан	s t ɐ k ɑ n
сталь	s t ɑ lʲ
стан	s t ɑ n
стандарт	s t ɐ n d ɑ r t
становище	s t ɐ n ɔ ʋ e ʃ t͡ʃ e
станцій	s t ɑ nʲ t͡sʲ i i̯
станцію	s t ɑ nʲ t͡sʲ i j ʊ
станція	s t ɑ nʲ t͡sʲ i j ɐ
станціям	s t ɑ nʲ t͡sʲ i j ɐ m
станціями	s t ɑ nʲ t͡sʲ i j ɐ m e
станціях	s t ɑ nʲ t͡sʲ i j ɐ x
станціє	s t ɑ nʲ t͡sʲ i j e
станцією	s t ɑ nʲ t͡sʲ i j e j ʊ
станції	s t ɑ nʲ t͡sʲ i j i
станіслав	s t ɐ nʲ i s ɫ ɑ u̯
стар	s t ɑ r
старатися	s t ɐ r ɑ t e sʲ ɐ
старий	s t ɐ r ɪ i̯
старик	s t ɐ r ɪ k
стародавній	s t ɐ r ɔ d ɑ u̯ nʲ i i̯
старіти	s t ɐ rʲ i t e
старіти	s t ɑ rʲ i t e
статевий	s t ɐ t ɛ ʋ e i̯
стати	s t ɑ t e
статистика	s t ɐ t ɪ s t e k ɐ
статистичний	s t ɐ t e s t ɪ t͡ʃ n e i̯
стаття	s t ɐ tʲː ɑ
статус	s t ɑ t ʊ s
стать	s t ɑ tʲ
ствол	s t w ɔ ɫ
створення	s t w ɔ r e nʲː ɐ
створити	s t w ɔ r ɪ t e
створювати	s t w ɔ rʲ ʊ ʋ ɐ t e
стегно	s t e ɦ n ɔ
стезя	s t e zʲ ɑ
стеля	s t ɛ lʲ ɐ
степ	s t ɛ p
стерня	s t e r nʲ ɑ
стефанія	s t e f ɑ nʲ i j ɐ
стехіометрія	s t e xʲ i ɔ m ɛ tʲ rʲ i j ɐ
сто	s t ɔ
стовбур	s t ɔ u̯ b ʊ r
стовп	s t ɔ u̯ p
столиця	s t ɔ ɫ ɪ t͡sʲ ɐ
століттю	s t o lʲ i tʲː ʊ
століття	s t o lʲ i tʲː ɐ
століттям	s t o lʲ i tʲː ɐ m
століттями	s t o lʲ i tʲː ɐ m e
століттях	s t o lʲ i tʲː ɐ x
столітті	s t o lʲ i tʲː i
століть	s t o lʲ i tʲ
стоматолог	s t ɔ m ɐ t ɔ ɫ ɔ ɦ
стоматологія	s t ɔ m ɐ t ɔ ɫ ɔ ɦʲ i j ɐ
стопа	s t ɔ p ɑ
сторож	s t ɔ r ɔ ʒ
сторона	s t ɔ r ɔ n ɑ
сторінка	s t o rʲ i n k ɐ
стосовно	s t ɔ s ɔ u̯ n ɔ
стояти	s t ɔ j ɑ t e
страва	s t r ɑ ʋ ɐ
страйк	s t r ɑ i̯ k
стратегічний	s t r ɐ t e ɦʲ i t͡ʃ n e i̯
стратегія	s t r ɐ t ɛ ɦʲ i j ɐ
страх	s t r ɑ x
страшидло	s t r ɐ ʃ ɪ d ɫ ɔ
страшило	s t r ɐ ʃ ɪ ɫ ɔ
страшний	s t r ɐ ʃ n ɪ i̯
стремено	s t r e m e n ɔ
стремено	s t r e m ɛ n ɔ
стрибати	s t r e b ɑ t e
стригти	s t r ɪ ɦ t e
строїти	s t r ɔ j i t e
структура	s t r ʊ k t u r ɐ
структурний	s t r ʊ k t u r n e i̯
струм	s t r u m
стрункий	s t r ʊ n k ɪ i̯
стріла	s tʲ rʲ i ɫ ɑ
стрілка	s tʲ rʲ i ɫ k ɐ
стріляти	s tʲ rʲ i lʲ ɑ t e
стрічка	s tʲ rʲ i t͡ʃ k ɐ
стрічки	s tʲ rʲ i t͡ʃ k e
стрічки	s tʲ rʲ i t͡ʃ k ɪ
студенець	s t ʊ d e n ɛ t͡sʲ
студент	s t ʊ d ɛ n t
студентка	s t ʊ d ɛ n t k ɐ
ступінь	s t u pʲ i nʲ
стяг	sʲ tʲ ɑ ɦ
стіг	sʲ tʲ i ɦ
стіл	sʲ tʲ i ɫ
стілець	sʲ tʲ i ɫ ɛ t͡sʲ
стіна	sʲ tʲ i n ɑ
суб'єкт	s ʊ b j ɛ k t
субота	s ʊ b ɔ t ɐ
суботи	s ʊ b ɔ t e
суботній	s ʊ b ɔ tʲ nʲ i i̯
субсидія	s ʊ b s ɪ dʲ i j ɐ
субстрат	s ʊ b s t r ɑ t
суглоб	s ʊ ɦ ɫ ɔ b
суд	s u d
судак	s ʊ d ɑ k
суддя	s ʊ dʲː ɑ
судити	s ʊ d ɪ t e
судно	s ʊ d n ɔ
сукало	s ʊ k ɑ ɫ ɔ
сукне	s u k n e
сукнею	s u k n e j ʊ
сукню	s u k nʲ ʊ
сукня	s u k nʲ ɐ
сукням	s u k nʲ ɐ m
сукнями	s u k nʲ ɐ m e
сукнях	s u k nʲ ɐ x
сукні	s u k nʲ i
суконь	s u k ɔ nʲ
суми	s u m e
суми	s ʊ m ɪ
сумка	s u m k ɐ
сумління	s ʊ m lʲ i nʲː ɐ
сумнів	s u m nʲ i u̯
сумніватися	s ʊ m nʲ i ʋ ɑ t e sʲ ɐ
сумочка	s u m ɔ t͡ʃ k ɐ
суниця	s ʊ n ɪ t͡sʲ ɐ
суперечка	s ʊ p e r ɛ t͡ʃ k ɐ
супруг	s ʊ p r u ɦ
супруга	s ʊ p r u ɦ ɐ
супругам	s ʊ p r u ɦ ɐ m
супругами	s ʊ p r u ɦ ɐ m e
супругах	s ʊ p r u ɦ ɐ x
супруги	s ʊ p r u ɦ e
супруго	s ʊ p r u ɦ ɔ
супругою	s ʊ p r u ɦ ɔ j ʊ
супругу	s ʊ p r u ɦ ʊ
супрузі	s ʊ p r u zʲ i
супутник	s ʊ p u t n e k
сура	s u r ɐ
суржик	s u r ʒ e k
суровий	s ʊ r ɔ ʋ e i̯
сусанна	s ʊ s ɑ nː ɐ
суспільний	s ʊ sʲ pʲ i lʲ n e i̯
суспільство	s ʊ sʲ pʲ i lʲ s t w ɔ
сусід	s ʊ sʲ i d
сусідка	s ʊ sʲ i d k ɐ
сусідів	s ʊ sʲ i dʲ i u̯
суттєвий	s ʊ tʲː ɛ ʋ e i̯
суть	s u tʲ
суфікс	s u fʲ i k s
сухий	s ʊ x ɪ i̯
суцвіття	s ʊ t͡sʲ ʋʲ i tʲː ɐ
суцільний	s ʊ t͡sʲ i lʲ n e i̯
сучасний	s ʊ t͡ʃ ɑ s n e i̯
сушарка	s ʊ ʃ ɑ r k ɐ
сфер	s f ɛ r
сфера	s f ɛ r ɐ
сформулювати	s f ɔ r m ʊ lʲ ʊ ʋ ɑ t e
схвалювати	s x ʋ ɑ lʲ ʊ ʋ ɐ t e
схема	s x ɛ m ɐ
схильний	s x ɪ lʲ n e i̯
схильність	s x ɪ lʲ nʲ i sʲ tʲ
схожий	s x ɔ ʒ e i̯
схід	sʲ xʲ i d
східний	sʲ xʲ i d n e i̯
східнослов'янський	sʲ xʲ i d n ɔ s ɫ ɔ ʋ j ɑ nʲ sʲ k e i̯
східноєвропейський	sʲ xʲ i d n ɔ j e u̯ r ɔ p ɛ i̯ sʲ k e i̯
сша	s ɛ ʃ ɛ ɑ
сьогодні	sʲ ɔ ɦ ɔ dʲ nʲ i
сьомий	sʲ ɔ m e i̯
сюди	sʲ ʊ d ɪ
сяти	sʲ ɑ t e
сяяти	sʲ ɐ j ɑ t e
сідати	sʲ i d ɑ t e
сіднице	sʲ i d n ɪ t͡s e
сідницею	sʲ i d n ɪ t͡s e j ʊ
сідниць	sʲ i d n ɪ t͡sʲ
сідницю	sʲ i d n ɪ t͡sʲ ʊ
сідниця	sʲ i d n ɪ t͡sʲ ɐ
сідницям	sʲ i d n ɪ t͡sʲ ɐ m
сідницями	sʲ i d n ɪ t͡sʲ ɐ m e
сідницях	sʲ i d n ɪ t͡sʲ ɐ x
сідниці	sʲ i d n ɪ t͡sʲ i
сік	sʲ i k
сіль	sʲ i lʲ
сільськогосподарський	sʲ i lʲ sʲ k ɔ ɦ ɔ s p ɔ d ɑ r sʲ k e i̯
сім	sʲ i m
сім'я	sʲ i m j ɐ
сім'я	sʲ i m j ɑ
сімдесят	sʲ i m d e sʲ ɑ t
сімдесятий	sʲ i m d e sʲ ɑ t e i̯
сімнадцятий	sʲ i m n ɑ d͡zʲ t͡sʲ ɐ t e i̯
сімнадцять	sʲ i m n ɑ d͡zʲ t͡sʲ ɐ tʲ
сімсот	sʲ i m s ɔ t
сімферополь	sʲ i m f e r ɔ p ɔ lʲ
сінаж	sʲ i n ɑ ʒ
сінгапур	sʲ i n ɦ ɐ p u r
сіни	sʲ i n e
сіно	sʲ i n ɔ
сірий	sʲ i r e i̯
сірка	sʲ i r k ɐ
сірник	sʲ i r n ɪ k
сісти	sʲ i s t e
січень	sʲ i t͡ʃ e nʲ
та	t ɑ
таблиця	t ɐ b ɫ ɪ t͡sʲ ɐ
табір	t ɑ bʲ i r
таджикистан	t ɐ d͡ʒ e k e s t ɑ n
так	t ɑ k
така	t ɐ k ɑ
таке	t ɐ k ɛ
такий	t ɐ k ɪ i̯
також	t ɐ k ɔ ʒ
також	t ɑ k ɔ ʒ
таксі	t ɐ k sʲ i
тактовний	t ɐ k t ɔ u̯ n e i̯
тактовність	t ɐ k t ɔ u̯ nʲ i sʲ tʲ
такі	t ɐ kʲ i
талій	t ɑ lʲ i i̯
талію	t ɑ lʲ i j ʊ
талія	t ɑ lʲ i j ɐ
таліям	t ɑ lʲ i j ɐ m
таліями	t ɑ lʲ i j ɐ m e
таліях	t ɑ lʲ i j ɐ x
таліє	t ɑ lʲ i j e
талією	t ɑ lʲ i j e j ʊ
талії	t ɑ lʲ i j i
там	t ɑ m
тамада	t ɐ m ɐ d ɑ
танець	t ɐ n ɛ t͡sʲ
танець	t ɑ n e t͡sʲ
танки	t ɐ n k ɪ
танки	t ɑ n k e
танцювати	t ɐ nʲ t͡sʲ ʊ ʋ ɑ t e
тарас	t ɐ r ɑ s
тарган	t ɐ r ɦ ɑ n
тарілка	t ɐ rʲ i ɫ k ɐ
татко	t ɑ t k ɔ
тато	t ɑ t ɔ
татусь	t ɐ t u sʲ
таце	t ɑ t͡s e
тацею	t ɑ t͡s e j ʊ
таць	t ɑ t͡sʲ
тацю	t ɑ t͡sʲ ʊ
таця	t ɑ t͡sʲ ɐ
тацям	t ɑ t͡sʲ ɐ m
тацями	t ɑ t͡sʲ ɐ m e
тацях	t ɑ t͡sʲ ɐ x
таці	t ɑ t͡sʲ i
таємнице	t ɐ j e m n ɪ t͡s e
таємницею	t ɐ j e m n ɪ t͡s e j ʊ
таємниць	t ɐ j e m n ɪ t͡sʲ
таємницю	t ɐ j e m n ɪ t͡sʲ ʊ
таємниця	t ɐ j e m n ɪ t͡sʲ ɐ
таємницям	t ɐ j e m n ɪ t͡sʲ ɐ m
таємницями	t ɐ j e m n ɪ t͡sʲ ɐ m e
таємницях	t ɐ j e m n ɪ t͡sʲ ɐ x
таємниці	t ɐ j e m n ɪ t͡sʲ i
таїланд	t ɐ j i ɫ ɑ n d
таїсія	t ɐ j i sʲ i j ɐ
твар	t ʋ ɑ r
тварина	t ʋ ɐ r e n ɑ
тварина	t ʋ ɐ r ɪ n ɐ
твердий	t ʋ e r d ɪ i̯
тверезий	t ʋ e r ɛ z e i̯
творити	t w ɔ r ɪ t e
твоя	t w ɔ j ɑ
твоє	t w ɔ j ɛ
твої	t w ɔ j i
твій	tʲ ʋʲ i i̯
твір	tʲ ʋʲ i r
те	t ɛ
театр	t e ɑ t r
тебе	t e b ɛ
теж	t ɛ ʒ
текст	t ɛ k s t
текти	t e k t ɪ
телебачення	t e ɫ e b ɑ t͡ʃ e nʲː ɐ
телевізор	t e ɫ e ʋʲ i z ɔ r
телевізійний	t e ɫ e ʋʲ i zʲ i i̯ n e i̯
телеканал	t e ɫ e k ɐ n ɑ ɫ
телескоп	t e ɫ e s k ɔ p
телефон	t e ɫ e f ɔ n
телефонувати	t e ɫ e f ɔ n ʊ ʋ ɑ t e
телугу	t ɛ ɫ ʊ ɦ ʊ
теля	t e lʲ ɑ
тема	t ɛ m ɐ
темний	t ɛ m n e i̯
темниця	t e m n ɪ t͡sʲ ɐ
температура	t e m p e r ɐ t u r ɐ
темрява	t ɛ m rʲ ɐ ʋ ɐ
тенденція	t e n d ɛ nʲ t͡sʲ i j ɐ
теніс	t ɛ nʲ i s
теоретичний	t e ɔ r e t ɪ t͡ʃ n e i̯
теорій	t e ɔ rʲ i i̯
теорію	t e ɔ rʲ i j ʊ
теорія	t e ɔ rʲ i j ɐ
теоріям	t e ɔ rʲ i j ɐ m
теоріями	t e ɔ rʲ i j ɐ m e
теоріях	t e ɔ rʲ i j ɐ x
теоріє	t e ɔ rʲ i j e
теорією	t e ɔ rʲ i j e j ʊ
теорії	t e ɔ rʲ i j i
тепер	t e p ɛ r
теперішній	t e p ɛ rʲ i ʃ nʲ i i̯
теплий	t ɛ p ɫ e i̯
терапевтичний	t e r ɐ p e u̯ t ɪ t͡ʃ n e i̯
терапія	t e r ɐ pʲ i j ɐ
терем	t ɛ r e m
терен	t e r ɛ n
терен	t ɛ r e n
територіальна	t e r e t ɔ rʲ i ɑ lʲ n ɐ
територіальний	t e r e t ɔ rʲ i ɑ lʲ n e i̯
територія	t e r e t ɔ rʲ i j ɐ
термодинаміка	t e r m ɔ d e n ɑ mʲ i k ɐ
термодинамічний	t e r m ɔ d e n ɐ mʲ i t͡ʃ n e i̯
термін	t ɛ r mʲ i n
терміт	t e r mʲ i t
термітник	t e r mʲ i t n e k
тернопіль	t e r n ɔ pʲ i lʲ
тероризм	t e r ɔ r ɪ z m
терплячий	t e r p lʲ ɑ t͡ʃ e i̯
терпіння	t e r pʲ i nʲː ɐ
терпіти	t e r pʲ i t e
терти	t ɛ r t e
тесля	t ɛ sʲ lʲ ɐ
тесть	t ɛ sʲ tʲ
тетеря	t e t e rʲ ɑ
тетеря	t e t ɛ rʲ ɐ
тетяна	t e tʲ ɑ n ɐ
технологічний	t e x n ɔ ɫ o ɦʲ i t͡ʃ n e i̯
технологія	t e x n ɔ ɫ ɔ ɦʲ i j ɐ
технічний	t e x nʲ i t͡ʃ n e i̯
течія	t e t͡ʃʲ i j ɑ
теща	t ɛ ʃ t͡ʃ ɐ
ти	t ɪ
тигр	t ɪ ɦ r
тиждень	t ɪ ʒ d e nʲ
тим	t ɪ m
тими	t ɪ m e
тимошенко	t e m ɔ ʃ ɛ n k ɔ
тимчасовий	t e m t͡ʃ ɐ s ɔ ʋ e i̯
тип	t ɪ p
тирана	t e r ɑ n ɐ
тис	t ɪ s
тиск	t ɪ s k
тисяча	t ɪ sʲ ɐ t͡ʃ ɐ
тисячоліттю	t e sʲ ɐ t͡ʃ o lʲ i tʲː ʊ
тисячоліття	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ
тисячоліттям	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ m
тисячоліттями	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ m e
тисячоліттях	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ x
тисячолітті	t e sʲ ɐ t͡ʃ o lʲ i tʲː i
тисячоліть	t e sʲ ɐ t͡ʃ o lʲ i tʲ
титар	t ɪ t ɐ r
тих	t ɪ x
тихий	t ɪ x e i̯
тиша	t ɪ ʃ ɐ
ткаля	t k ɑ lʲ ɐ
ткати	t k ɑ t e
тло	t ɫ ɔ
тлустий	t ɫ u s t e i̯
тля	tʲ lʲ ɑ
тобою	t ɔ b ɔ j ʊ
тобто	t ɔ b t ɔ
тобі	t o bʲ i
товар	t ɔ ʋ ɑ r
товариство	t ɔ ʋ ɐ r ɪ s t w ɔ
товариш	t ɔ ʋ ɑ r e ʃ
товаришка	t ɔ ʋ ɑ r e ʃ k ɐ
товмач	t ɔ u̯ m ɑ t͡ʃ
товстий	t ɔ u̯ s t ɪ i̯
того	t ɔ ɦ ɔ
тоді	t o dʲ i
той	t ɔ i̯
токар	t ɔ k ɐ r
токсикологічний	t ɔ k s e k ɔ ɫ o ɦʲ i t͡ʃ n e i̯
токсикологія	t ɔ k s e k ɔ ɫ ɔ ɦʲ i j ɐ
токіо	t ɔ kʲ i ɔ
том	t ɔ m
тому	t o m u
тому	t ɔ m ʊ
тонкий	t ɔ n k e i̯
тонкий	t ɔ n k ɪ i̯
тонна	t ɔ nː ɐ
торба	t ɔ r b ɐ
торгівля	t o r ɦʲ i u̯ lʲ ɐ
торкати	t ɔ r k ɑ t e
торкатися	t ɔ r k ɑ t e sʲ ɐ
торкнути	t o r k n u t e
торкнутися	t o r k n u t e sʲ ɐ
торпеда	t ɔ r p ɛ d ɐ
торік	t o rʲ i k
точка	t ɔ t͡ʃ k ɐ
точний	t ɔ t͡ʃ n e i̯
точно	t ɔ t͡ʃ n ɔ
тощо	t ɔ ʃ t͡ʃ ɔ
тою	t ɔ j ʊ
тої	t ɔ j i
трава	t r ɐ ʋ ɑ
травень	t r ɑ ʋ e nʲ
травлення	t r ɑ u̯ ɫ e nʲː ɐ
трагедій	t r ɐ ɦ ɛ dʲ i i̯
трагедію	t r ɐ ɦ ɛ dʲ i j ʊ
трагедія	t r ɐ ɦ ɛ dʲ i j ɐ
трагедіям	t r ɐ ɦ ɛ dʲ i j ɐ m
трагедіями	t r ɐ ɦ ɛ dʲ i j ɐ m e
трагедіях	t r ɐ ɦ ɛ dʲ i j ɐ x
трагедіє	t r ɐ ɦ ɛ dʲ i j e
трагедією	t r ɐ ɦ ɛ dʲ i j e j ʊ
трагедії	t r ɐ ɦ ɛ dʲ i j i
трагічний	t r ɐ ɦʲ i t͡ʃ n e i̯
традиційний	t r ɐ d e t͡sʲ i i̯ n e i̯
традиційно	t r ɐ d e t͡sʲ i i̯ n ɔ
традиція	t r ɐ d ɪ t͡sʲ i j ɐ
трактор	t r ɑ k t ɔ r
трактористка	t r ɐ k t ɔ r ɪ s t k ɐ
трамвай	t r ɐ m ʋ ɑ i̯
треба	t r ɛ b ɐ
тренер	t r ɛ n e r
трепанація	t r e p ɐ n ɑ t͡sʲ i j ɐ
третій	t r ɛ tʲ i i̯
трефа	t r ɛ f ɐ
три	t r ɪ
тривалий	t r e ʋ ɑ ɫ e i̯
тривимірний	t r e ʋ ɪ mʲ i r n e i̯
тридцятий	t r e d͡zʲ t͡sʲ ɑ t e i̯
тридцять	t r ɪ d͡zʲ t͡sʲ ɐ tʲ
трикутний	t r e k u t n e i̯
трикутник	t r e k u t n e k
тримати	t r e m ɑ t e
тринадцятий	t r e n ɑ d͡zʲ t͡sʲ ɐ t e i̯
тринадцять	t r e n ɑ d͡zʲ t͡sʲ ɐ tʲ
триста	t r ɪ s t ɐ
трок	t r ɔ k
тротуар	t r ɔ t ʊ ɑ r
тротуарам	t r ɔ t ʊ ɑ r ɐ m
тротуарами	t r ɔ t ʊ ɑ r ɐ m e
тротуарах	t r ɔ t ʊ ɑ r ɐ x
тротуари	t r ɔ t ʊ ɑ r e
тротуарі	t r ɔ t ʊ ɑ rʲ i
тротуарів	t r ɔ t ʊ ɑ rʲ i u̯
трохи	t r ɔ x e
троянда	t r ɔ j ɑ n d ɐ
троє	t r ɔ j e
труба	t r ʊ b ɑ
трудний	t r ʊ d n ɪ i̯
трудність	t r u dʲ nʲ i sʲ tʲ
трудівник	t r ʊ dʲ i u̯ n ɪ k
труна	t r ʊ n ɑ
труп	t r u p
трутень	t r u t e nʲ
труїти	t r ʊ j i t e
трясти	tʲ rʲ ɐ s t ɪ
тріска	tʲ rʲ i s k ɐ
тріска	tʲ rʲ i s k ɑ
тріщина	tʲ rʲ i ʃ t͡ʃ e n ɐ
ту	t u
туалет	t ʊ ɐ ɫ ɛ t
тугий	t ʊ ɦ ɪ i̯
туди	t ʊ d ɪ
туз	t u z
туман	t ʊ m ɑ n
туніс	t ʊ nʲ i s
тупий	t ʊ p ɪ i̯
тура	t ʊ r ɑ
турецький	t ʊ r ɛ t͡sʲ k e i̯
туреччина	t ʊ r ɛ t͡ʃː e n ɐ
туризм	t ʊ r ɪ z m
турист	t ʊ r ɪ s t
туристичний	t ʊ r e s t ɪ t͡ʃ n e i̯
туристка	t ʊ r ɪ s t k ɐ
туркменістан	t ʊ r k m e nʲ i s t ɑ n
турнікет	t ʊ r nʲ i k ɛ t
тут	t u t
тхір	tʲ xʲ i r
тюрма	tʲ ʊ r m ɑ
тютюн	tʲ ʊ tʲ u n
тюхтій	tʲ ʊ x tʲ i i̯
тягати	tʲ ɐ ɦ ɑ t e
тягнути	tʲ ɐ ɦ n u t e
тягти	tʲ ɐ ɦ t ɪ
тяжкий	tʲ ɐ ʒ k ɪ i̯
тяти	tʲ ɑ t e
ті	tʲ i
тій	tʲ i i̯
тікати	tʲ i k ɐ t e
тікати	tʲ i k ɑ t e
тіло	tʲ i ɫ ɔ
тільки	tʲ i lʲ k e
тім	tʲ i m
тім'я	tʲ i m j ɐ
тінь	tʲ i nʲ
тіні	tʲ i nʲ i
тісний	tʲ i s n ɪ i̯
тістечко	tʲ i s t e t͡ʃ k ɔ
тісто	tʲ i s t ɔ
тітка	tʲ i t k ɐ
тією	tʲ i j ɛ j ʊ
тієї	tʲ i j ɛ j i
убивати	ʊ b e ʋ ɑ t e
убивство	ʊ b ɪ u̯ s t w ɔ
убити	ʊ b ɪ t e
убогий	ʊ b ɔ ɦ e i̯
увага	ʊ ʋ ɑ ɦ ɐ
увесь	ʊ ʋ ɛ sʲ
увімкнути	ʊ ʋʲ i m k n u t e
уганда	ʊ ɦ ɑ n d ɐ
угода	ʊ ɦ ɔ d ɐ
угорський	ʊ ɦ ɔ r sʲ k e i̯
угорщина	ʊ ɦ ɔ r ʃ t͡ʃ e n ɐ
удосконалити	ʊ d ɔ s k ɔ n ɑ ɫ e t e
удосконалювати	ʊ d ɔ s k ɔ n ɑ lʲ ʊ ʋ ɐ t e
ужгород	u ʒ ɦ ɔ r ɔ d
уже	ʊ ʒ ɛ
уживати	ʊ ʒ e ʋ ɑ t e
ужити	ʊ ʒ ɪ t e
узбекистан	ʊ z b e k e s t ɑ n
узлісся	ʊ zʲ lʲ i sʲː ɐ
узяти	ʊ zʲ ɑ t e
україна	ʊ k r ɐ j i n ɐ
україна	ʊ k r ɑ j i n ɐ
українець	ʊ k r ɐ j i n e t͡sʲ
українка	ʊ k r ɐ j i n k ɐ
україномовний	ʊ k r ɐ j i n ɔ m ɔ u̯ n e i̯
українська	ʊ k r ɐ j i nʲ sʲ k ɐ
український	ʊ k r ɐ j i nʲ sʲ k e i̯
українською	ʊ k r ɐ j i nʲ sʲ k ɔ j ʊ
української	ʊ k r ɐ j i nʲ sʲ k ɔ j i
українці	ʊ k r ɐ j i nʲ t͡sʲ i
укріп	ʊ k rʲ i p
улюблений	ʊ lʲ u b ɫ e n e i̯
