.f	ʔ ɛ f
ḏd	d͡ʒ ɛ d
ḏd	t
ḏd	tʼ
ḏd	t͡ʃʼ aː ʔ
ḏd	t͡ʃʼ oː ʔ
ḏd	ʔ
ḏdb	d͡ʒ ɛ d ɛ b
ḏdft	d͡ʒ ɛ d f ɛ t
ḏdj	d͡ʒ ɛ d i
ḏdw	d͡ʒ ɛ d uː
ḏdꜣ	d͡ʒ ɛ d ɑ
ḏfd	d͡ʒ ɛ f ɛ d
ḏfḏ	d͡ʒ ɛ f ɛ d͡ʒ
ḏfꜣ	d͡ʒ ɛ f ɑ
ḏmꜥ	cʼ aː m i ʕ
ḏmꜥ	d͡ʒ ɛ m ɑː
ḏmꜥ	t͡ʃʼ aː m i ʕ
ḏmꜥ	t͡ʃʼ oː m ə ʕ
ḏnb	d͡ʒ ɛ n ɛ b
ḏnd	d͡ʒ ɛ n ɛ d
ḏnjt	d͡ʒ ɛ n i t
ḏnnt	d͡ʒ ɛ n ɛ n ɛ t
ḏnḥ	d͡ʒ ɛ n ɛ ħ
ḏr	d͡ʒ ɛ r
ḏrj	d͡ʒ ɛ r i
ḏrt	cʼ aː ɾ a t
ḏrt	d͡ʒ ɛ r ɛ t
ḏrt	tʼ aː ɾ a ʔ
ḏrt	tʼ oː ɾ ə
ḏrtj	d͡ʒ ɛ r t i
ḏrtjw	d͡ʒ ɛ r t i uː
ḏrw	d͡ʒ ɛ r uː
ḏryt	d͡ʒ ɛ r iː t
ḏs	d͡ʒ ɛ s
ḏs.f	d͡ʒ ɛ s ʔ ɛ f
ḏs.j	d͡ʒ ɛ s ʔ i
ḏs.k	d͡ʒ ɛ s ʔ ɛ k
ḏs.s	d͡ʒ ɛ s ʔ ɛ s
ḏsr	d͡ʒ ɛ s ɛ r
ḏsrt	d͡ʒ ɛ s r ɛ t
ḏt	d͡ʒ ɛ t
ḏw	cʼ a w
ḏw	d͡ʒ uː
ḏw	tʼ a w
ḏwj	d͡ʒ uː i
ḏwjw	d͡ʒ uː i uː
ḏws	d͡ʒ uː s
ḏwt	d͡ʒ uː t
ḏḥwtj	cʼ V ħ a w t i j
ḏḥwtj	d͡ʒ ɛ ħ uː t i
ḏḥwtj	tʼ V ħ a w t i j
ḏḥwtj	tʼ ə ħ a w t
ḏḥwtj	tʼ ə ħ a w t ə ʔ
ḏḥwtt	cʼ a ħ a w t a t
ḏḥwtt	d͡ʒ ɛ ħ uː t ɛ t
ḏḥwtt	tʼ a ħ a w t a ʔ
ḏḥwtt	tʼ ə ħ a w t ə
ḏḥꜥ	d͡ʒ ɛ ħ ɑː
ḏꜣ	d͡ʒ ɑ
ḏꜣdw	d͡ʒ ɑ d uː
ḏꜣf	d͡ʒ ɑ f
ḏꜣhꜣ	d͡ʒ ɑ h ɑ
ḏꜣj	d͡ʒ ɑ i
ḏꜣjs	d͡ʒ ɑ i s
ḏꜣr	d͡ʒ ɑ r
ḏꜣt	d͡ʒ ɑ t
ḏꜣtt	d͡ʒ ɑ t ɛ t
ḏꜣyt	d͡ʒ ɑ iː t
ḏꜣyw	d͡ʒ ɑ iː uː
ḏꜣḏꜣ	cʼ a ʀ cʼ a ʀ
ḏꜣḏꜣ	d͡ʒ ɑ d͡ʒ ɑ
ḏꜣḏꜣ	t͡ʃʼ a ʀ t͡ʃʼ a ʀ
ḏꜣḏꜣ	t͡ʃʼ aː t͡ʃʼ ə ʔ
ḏꜣḏꜣ	t͡ʃʼ oː t͡ʃʼ
ḏꜣḏꜣt	d͡ʒ ɑ d͡ʒ ɑ t
ḏꜣḏꜣw	d͡ʒ ɑ d͡ʒ ɑ uː
ḏꜥ	d͡ʒ ɑː
ḏꜥm	d͡ʒ ɑː m
ḏꜥnt	cʼ u ʕ n a t
ḏꜥnt	d͡ʒ ɑː n ɛ t
ḏꜥnt	t͡ʃʼ u ʕ n a ʔ
ḏꜥnt	t͡ʃʼ ø ʕ n ə
ḏꜥr	d͡ʒ ɑː r
ḥbnnwt	ħ ɛ b n ɛ n uː t
ḥbs	ħ a b a s
ḥbs	ħ ə β a s
ḥbs	ħ ɛ b ɛ s
ḥbsw	ħ ɛ b ɛ s uː
ḥbsyt	ħ ɛ b s iː t
ḥbw	ħ ɛ b uː
ḥbꜣbꜣ	ħ ɛ b ɑ b ɑ
ḥfn	ħ ɛ f ɛ n
ḥfꜣt	ħ a f aː ʀ a t
ḥfꜣt	ħ a f aː ʀ a ʔ
ḥfꜣt	ħ ə f aː ʔ a ʔ
ḥfꜣt	ħ ə f oː ʔ ə
ḥfꜣt	ħ ɛ f ɑ t
ḥfꜣw	ħ a f
ḥfꜣw	ħ a f ʀ a w
ḥfꜣw	ħ a f ʀ aː w a w
ḥfꜣw	ħ a f ʔ ə ʔ
ḥfꜣw	ħ ə f oː j
ḥfꜣw	ħ ə f ʔ aː j ə ʔ
ḥfꜣw	ħ ɛ f ɑ uː
ḥjp	ħ i p
ḥjpt	ħ i p ɛ t
ḥkn	ħ ɛ k ɛ n
ḥknw	ħ ɛ k ɛ n uː
ḥkꜣ	ħ ɛ k ɑ
ḥm	ħ ɛ m
ḥmj	ħ ɛ m i
ḥmsj	ħ e m s a ʔ
ḥmsj	ħ e m s ə
ḥmsj	ħ i m s i t
ḥmsj	ħ i m s i ʔ
ḥmsj	ħ ɛ m ɛ s i
ḥmt	ħ i j a m w a t
ḥmt	ħ i j a m w a ʔ
ḥmt	ħ iː m a t
ḥmt	ħ iː m a ʔ
ḥmt	ħ iː m ə
ḥmt	ħ ə j a m w ə
ḥmt	ħ ɛ m ɛ t
ḥmw	ħ i m i w
ḥmw	ħ ə m e ʔ
ḥmw	ħ ɛ m uː
ḥmwt	ħ ɛ m uː t
ḥmww	ħ ɛ m uː ʔ uː
ḥmy	ħ ɛ m iː
ḥmꜣt	ħ ɛ m ɑ t
ḥn	ħ ɛ n
ḥnj	ħ ɛ n i
ḥnk	ħ ɛ n ɛ k
ḥnkt	ħ ɛ n k ɛ t
ḥnkyt	ħ ɛ n k iː t
ḥnmmt	ħ ɛ n m ɛ m ɛ t
ḥnmnm	ħ ɛ n ɛ m n ɛ m
ḥnn	ħ ɛ n ɛ n
ḥnqt	ħ ɛ n k ɛ t
ḥns	ħ ɛ n ɛ s
ḥnt	ħ ɛ n ɛ t
ḥnw	ħ ə n e w
ḥnw	ħ ɛ n uː
ḥnwt	ħ ɛ n uː t
ḥnꜥ	ħ ɛ n ɑː
ḥnꜥj	ħ ɛ n ɑː i
ḥnꜥw	ħ ɛ n ɑː uː
ḥp	ħ u j p V w
ḥp	ħ ø ʔ p
ḥp	ħ ɛ p
ḥpt	ħ ɛ p ɛ t
ḥpy	ħ ɛ p iː
ḥqr	ħ a qʼ a ɾ
ḥqr	ħ a qʼ a ʔ
ḥqr	ħ ə qʼ a ʔ
ḥqr	ħ ɛ k ɛ r
ḥqt	ħ ɛ k ɛ t
ḥqꜣ	ħ ɛ k ɑ
ḥqꜣt	ħ ɛ k ɑ t
ḥr	ħ a ɾ
ḥr	ħ a ʔ
ḥr	ħ aː ɾ u w
ḥr	ħ aː ɾ ə ʔ
ḥr	ħ oː ɾ ə
ḥr	ħ ɛ r
ḥrj	ħ a ɾ i j
ḥrj	ħ ə ɾ e j
ḥrj	ħ ɛ r i
ḥrrt	ħ a ɾ uː ɾ a t
ḥrrt	ħ a ɾ uː ɾ a ʔ
ḥrrt	ħ ə ɾ eː ɾ ə
ḥrrt	ħ ɛ r ɛ r ɛ t
ḥrt	ħ ɛ r ɛ t
ḥs	ħ ɛ s
ḥsb	ħ ɛ s ɛ b
ḥsbwt	ħ ɛ s b uː t
ḥsj	ħ ɛ s i
ḥsq	ħ ɛ s ɛ k
ḥtj	ħ ɛ t i
ḥtm	ħ ɛ t ɛ m
ḥtp	ħ aː t i p
ḥtp	ħ o t ɛ p
ḥtp	ħ oː t ə p
ḥtp	ħ ɛ t ɛ p
ḥtpt	ħ ɛ t ɛ p ɛ t
ḥtpw	ħ a t p a w
ḥtpw	ħ a ʔ p
ḥtpw	ħ a ʔ p a w
ḥtpw	ħ ɛ t ɛ p uː
ḥtpwt	ħ ɛ t ɛ p uː t
ḥtrj	ħ ɛ t r i
ḥtrw	ħ ɛ t ɛ r uː
ḥts	ħ ɛ t ɛ s
ḥtt	ħ ɛ t ɛ t
ḥtyt	ħ ɛ t iː t
ḥw	ħ uː
ḥwj	ħ uː i
ḥwn	ħ uː n
ḥwnt	ħ uː n ɛ t
ḥwrw	ħ uː r uː
ḥwt	ħ a w ə
ḥwt	ħ aː w i t
ḥwt	ħ aː w i ʔ
ḥwt	ħ oː w ə
ḥwt	ħ uː t
ḥwt	ħ ə w ə
ḥww	ħ uː ʔ uː
ḥwꜣ	ħ aː w a ʀ
ḥwꜣ	ħ aː w ə ʔ
ḥwꜣ	ħ oː w
ḥwꜣ	ħ uː ɑ
ḥwꜣꜣt	ħ uː ɑ ʔ ɑ t
ḥwꜥ	ħ uː ɑː
ḥz.tj	ħ ɛ z ʔ t i
ḥzj	ħ ɛ z i
ḥzmn	ħ ɛ z m ɛ n
ḥzp	ħ ɛ z ɛ p
ḥzt	ħ ɛ z ɛ t
ḥzy	ħ ɛ z iː
ḥzꜣ	ħ ɛ z ɑ
ḥzꜣt	ħ ɛ z ɑ t
ḥḏ	ħ aː cʼ
ḥḏ	ħ aː tʼ
ḥḏ	ħ e tʼ
ḥḏ	ħ eː tʼ
ḥḏ	ħ i cʼ
ḥḏ	ħ i tʼ
ḥḏ	ħ oː tʼ
ḥḏ	ħ uː cʼ a w
ḥḏ	ħ uː tʼ a w
ḥḏ	ħ ɛ d͡ʒ
ḥḏj	ħ ɛ d͡ʒ i
ḥḏt	ħ e cʼ j ə
ḥḏt	ħ u cʼ j a t
ḥḏt	ħ u cʼ j a ʔ
ḥḏt	ħ ɛ d͡ʒ ɛ t
ḥḏw	ħ ɛ d͡ʒ uː
ḥḥ	ħ a ħ
ḥḥ	ħ ɛ ħ
ḥḥj	ħ ɛ ħ i
ḥḥw	ħ ɛ ħ uː
ḥṯṯt	ħ a c c a t
ḥṯṯt	ħ a ʔ t͡ʃ a ʔ
ḥṯṯt	ħ ə ʔ t͡ʃ a ʔ
ḥṯṯt	ħ ɛ t͡ʃ ɛ t͡ʃ ɛ t
ḥꜣ	ħ ɑ
ḥꜣb	ħ a p
ḥꜣb	ħ a ʀ a b
ḥꜣb	ħ ɑ b
ḥꜣb	ħ ə ʔ a b
ḥꜣbj	ħ i ʀ b i t
ḥꜣbj	ħ i ʀ b i ʔ
ḥꜣbj	ħ iː b a ʔ
ḥꜣbj	ħ iː β ə
ḥꜣbj	ħ ɑ b i
ḥꜣj	ħ ɑ i
ḥꜣm	ħ ɑ m
ḥꜣp	ħ ɑ p
ḥꜣq	ħ ɑ k
ḥꜣt	ħ eː ʔ ə
ḥꜣt	ħ uː ʀ i t
ḥꜣt	ħ uː ʀ i ʔ
ḥꜣt	ħ ɑ t
ḥꜣtj	ħ eː t
ḥꜣtj	ħ u ʀ iː t i j
ḥꜣtj	ħ ɑ t i
ḥꜣtt	ħ ɑ t ɛ t
ḥꜣw	ħ ɑ uː
ḥꜣyt	ħ ɑ iː t
ḥꜣḥꜣ	ħ ɑ ħ ɑ
ḥꜥb	ħ ɑː b
ḥꜥj	ħ ɑː i
ḥꜥpj	ħ ɑː p i
ḥꜥt	ħ ɑː t
ḥꜥw	ħ ɑː uː
ḥꜥḏꜣ	ħ ɑː d͡ʒ ɑ
ḥꜥꜥwt	ħ ɑː ʔ ɑː uː t
ḫ	x ɛ
ḫbj	x ɛ b i
ḫbs	x ɛ b ɛ s
ḫbzt	x ɛ b z ɛ t
ḫbzwt	x ɛ b z uː t
ḫbꜣ	x ɛ b ɑ
ḫdj	x ɛ d i
ḫdj	χ iː tʼ i t
ḫdj	χ iː tʼ i ʔ
ḫdj	χ iː tʼ ə
ḫft	x ɛ f ɛ t
ḫftj	x ɛ f t i
ḫftt	x ɛ f ɛ t ɛ t
ḫftw	x ɛ f ɛ t uː
ḫfꜣꜣt	x ɛ f ɑ ʔ ɑ t
ḫfꜥ	x ɛ f ɑː
ḫm	x ɛ m
ḫm	χ aː m
ḫm	χ oː m
ḫmnjw	x ɛ m n i uː
ḫmnjw	χ a m n i j j a w
ḫmnnw	x ɛ m ɛ n n uː
ḫmnw	x ɛ m ɛ n uː
ḫmnw	χ a m aː n a w
ḫmnw	χ ə m aː n ə ʔ
ḫmnw	χ ə m oː n
ḫmnyw	x ɛ m ɛ n iː uː
ḫmt	x ɛ m ɛ t
ḫmtnw	x ɛ m ɛ t n uː
ḫmtw	x ɛ m ɛ t uː
ḫmtw	χ a m t
ḫmtw	χ a m t a w
ḫmtw	χ a m t ə ʔ
ḫmw	x ɛ m uː
ḫmꜥt	x ɛ m ɑː t
ḫn	x ɛ n
ḫnd	x ɛ n ɛ d
ḫndw	x ɛ n d uː
ḫnfw	x ɛ n ɛ f uː
ḫnj	x ɛ n i
ḫnm	x ɛ n ɛ m
ḫnms	x ɛ n m ɛ s
ḫnmt	x ɛ n m ɛ t
ḫnmw	x ɛ n ɛ m uː
ḫnp	x ɛ n ɛ p
ḫnr	x ɛ n ɛ r
ḫnrt	x ɛ n r ɛ t
ḫnrtt	x ɛ n r ɛ t ɛ t
ḫnsw	x ɛ n s uː
ḫnsw	χ a n s
ḫnsw	χ a n s V w
ḫnsw	χ a n s ə ʔ
ḫnt	x ɛ n ɛ t
ḫntj	x ɛ n t i
ḫntj	x ɛ n ɛ t i
ḫntj	χ e n t ə
ḫntj	χ i n t i t
ḫntj	χ i n t i ʔ
ḫntw	x ɛ n ɛ t uː
ḫntyt	x ɛ n t iː t
ḫntš	x ɛ n t ɛ ʃ
ḫnws	x ɛ n uː s
ḫpj	x ɛ p i
ḫpr	x ɛ p ɛ r
ḫpr	χ aː p a ɾ
ḫpr	χ aː p a ʔ
ḫpr	χ oː p ə
ḫprj	x ɛ p r i
ḫprr	x ɛ p r ɛ r
ḫprw	x ɛ p ɛ r uː
ḫprw	χ u p i ɾ w a w
ḫprw	χ u p ɾ a w
ḫprw	χ ø p ɾ
ḫprw	χ ə p e ʔ ɾ
ḫprš	x ɛ p r ɛ ʃ
ḫpš	x o p ɛ ʃ
ḫpš	x ɛ p ɛ ʃ
ḫpš	χ aː p V ʃ
ḫpš	χ oː p ə ʃ
ḫr	x ɛ r
ḫrj	x ɛ r i
ḫrp	x ɛ r ɛ p
ḫrpw	x ɛ r p uː
ḫrs	x ɛ r ɛ s
ḫrt	x ɛ r ɛ t
ḫrw	x ɛ r uː
ḫrw	χ a ɾ a w
ḫrw	χ ə ɾ a w
ḫrw.fj	x ɛ r uː ʔ f i
ḫrwy	x ɛ r uː iː
ḫrwyw	x ɛ r uː iː uː
ḫryt	x ɛ r iː t
ḫsbd	x ɛ s b ɛ d
ḫsbḏ	x ɛ s b ɛ d͡ʒ
ḫsf	x ɛ s ɛ f
ḫsfj	x ɛ s f i
ḫsr	x ɛ s ɛ r
ḫt	x ɛ t
ḫt	χ e ʔ
ḫt	χ i t
ḫt	χ i ʔ
ḫtj	x ɛ t i
ḫtj	χ iː t a ʔ
ḫtj	χ iː t i t
ḫtj	χ iː t i ʔ
ḫtj	χ iː t ə
ḫtm	x ɛ t ɛ m
ḫtḫt	x ɛ t x ɛ t
ḫtꜣ	x ɛ t ɑ
ḫw	x uː
ḫwd	x uː d
ḫwj	x uː i
ḫwzj	x uː z i
ḫwzj	χ i w z i t
ḫšꜣyꜣrwšꜣ	x ɛ ʃ ɑ iː ɑ r uː ʃ ɑ
ḫḫ	x ɛ x
ḫꜣ	x ɑ
ḫꜣ	χ a ʀ
ḫꜣ	χ a ʔ
ḫꜣb	x ɑ b
ḫꜣbꜣbꜣšꜣ	x ɑ b ɑ b ɑ ʃ ɑ
ḫꜣj	x ɑ i
ḫꜣjw	x ɑ i uː
ḫꜣm	x ɑ m
ḫꜣrw	x ɑ r uː
ḫꜣrw	χ u ɾ ɾ a w
ḫꜣrw	χ ø ɾ ɾ
ḫꜣst	x ɑ s ɛ t
ḫꜣstjw	x ɑ s t i uː
ḫꜣt	x ɑ t
ḫꜣtb	x ɑ t ɛ b
ḫꜣwj	x ɑ uː i
ḫꜣwt	x ɑ uː t
ḫꜣy	x ɑ iː
ḫꜣyt	x ɑ iː t
ḫꜣz	x ɑ z
ḫꜣḫ	x ɑ x
ḫꜣḫꜣ	x ɑ x ɑ
ḫꜣꜥ	x ɑ ʔ ɑː
ḫꜣꜥ	χ aː ʀ a ʕ
ḫꜣꜥ	χ oː ʔ ə ʕ
ḫꜥj	x ɑː i
ḫꜥj	χ a ʕ j a
ḫꜥj	χ e ʕ j ə
ḫꜥj	χ i ʕ j i t
ḫꜥj	χ i ʕ j i ʔ
ḫꜥw	x ɑː uː
ṯb	t͡ʃ ɛ b
ṯbwt	t͡ʃ ɛ b uː t
ṯm	t͡ʃ ɛ m
ṯms	t͡ʃ ɛ m ɛ s
ṯmt	t͡ʃ ɛ m ɛ t
ṯmḥ	t͡ʃ ɛ m ɛ ħ
ṯmꜣ	t͡ʃ ɛ m ɑ
ṯn	t͡ʃ ɛ n
ṯnj	c aː n a j
ṯnj	t aː n a j
ṯnj	t oː n
ṯnj	t͡ʃ ɛ n i
ṯnm	t͡ʃ ɛ n ɛ m
ṯnw	t͡ʃ ɛ n uː
ṯnwt	t͡ʃ ɛ n uː t
ṯnḥr	t͡ʃ ɛ n ħ ɛ r
ṯnṯꜣt	t͡ʃ ɛ n t͡ʃ ɑ t
ṯpḥt	t͡ʃ ɛ p ħ ɛ t
ṯrm	t͡ʃ ɛ r ɛ m
ṯrp	t͡ʃ ɛ r ɛ p
ṯrt	c aː ɾ a t
ṯrt	t aː ɾ a ʔ
ṯrt	t oː ɾ ə
ṯrt	t͡ʃ ɛ r ɛ t
ṯw	t͡ʃ uː
ṯwfj	t͡ʃ a w f
ṯwfj	t͡ʃ uː f i
ṯwn	t͡ʃ uː n
ṯwt	t͡ʃ uː t
ṯz	c iː z u w
ṯz	t͡ʃ iː s u w
ṯz	t͡ʃ iː s ə
ṯz	t͡ʃ ɛ z
ṯzj	t͡ʃ ɛ z i
ṯzm	t͡ʃ ɛ z ɛ m
ṯzt	t͡ʃ ɛ z ɛ t
ṯztj	t͡ʃ ɛ z t i
ṯš	t͡ʃ ɛ ʃ
ṯḥn	t͡ʃ ɛ ħ ɛ n
ṯḥnt	t͡ʃ ɛ ħ n ɛ t
ṯḥnw	t͡ʃ ɛ ħ ɛ n uː
ṯḥw	t͡ʃ ɛ ħ uː
ṯꜣ	t͡ʃ ɑ
ṯꜣj	c i ʀ j i t
ṯꜣj	t͡ʃ i ʀ j i ʔ
ṯꜣj	t͡ʃ iː ʔ a ʔ
ṯꜣj	t͡ʃ iː ʔ ə
ṯꜣj	t͡ʃ ɑ i
ṯꜣm	t͡ʃ ɑ m
ṯꜣr	t͡ʃ ɑ r
ṯꜣtj	t͡ʃ ɑ t i
ṯꜣtt	t͡ʃ ɑ t ɛ t
ṯꜣw	c i ʀ w i t
ṯꜣw	c u ʀ w u w
ṯꜣw	t eː w
ṯꜣw	t u ʀ w u w
ṯꜣw	t͡ʃ i ʀ w i ʔ
ṯꜣw	t͡ʃ iː w ə
ṯꜣw	t͡ʃ ɑ uː
ṯꜣy	t͡ʃ ɑ iː
ẖdb	ç aː tʼ a b
ẖdb	ç oː tʼ ə β
ẖdb	ç ɛ d ɛ b
ẖkr	ç ɛ k ɛ r
ẖkrw	ç ɛ k ɛ r uː
ẖn	ç ɛ n
ẖnj	ç ɛ n i
ẖnm	ç ɛ n ɛ m
ẖnmt	ç a n m a ʔ
ẖnmt	ç a n m ə
ẖnmt	ç ɛ n m ɛ t
ẖnmw	ç a n aː m a w
ẖnmw	ç ə n oː m
ẖnmw	ç ɛ n m uː
ẖnn	ç ɛ n ɛ n
ẖnnw	ç ɛ n ɛ n uː
ẖntj	ç ɛ n t i
ẖnw	ç aː n a w
ẖnw	ç aː n ə ʔ
ẖnw	ç oː n
ẖnw	ç ɛ n uː
ẖnyt	ç ɛ n iː t
ẖpꜣ	ç a p l a w
ẖpꜣ	ç ə p l e
ẖpꜣ	ç ɛ p ɑ
ẖpꜣw	ç ɛ p ɑ uː
ẖr	ç u ɾ
ẖr	ç u ʔ
ẖr	ç ø ʔ
ẖr	ç ɛ r
ẖrd	ç a ɾ a tʼ
ẖrd	ç ə ɾ a tʼ
ẖrd	ç ɛ r ɛ d
ẖrdw	ç ɛ r ɛ d uː
ẖrj	ç u ɾ i j
ẖrj	ç ə ɾ e j
ẖrj	ç ɛ r i
ẖrt	ç u ɾ i t
ẖrt	ç u ɾ i ʔ
ẖrt	ç ə ɾ e ʔ
ẖrt	ç ɛ r ɛ t
ẖrw	ç ɛ r uː
ẖrwj	ç ɛ r uː i
ẖt	ç eː w ə
ẖt	ç uː w a t
ẖt	ç uː w a ʔ
ẖt	ç ɛ t
ẖzj	ç ɛ z i
ẖꜣr	ç ɑ r
ẖꜣrt	ç ɑ r ɛ t
ẖꜣt	ç ɑ t
ẖꜣyt	ç ɑ iː t
ẖꜥm	ç ɑː m
ẖꜥq	ç ɑː k
ꜣ	ɑ
ꜣb	ɑ b
ꜣbb	ɑ b ɛ b
ꜣbb	ʔ ə β a β
ꜣbd	ɑ b ɛ d
ꜣbd	ʀ a b a tʼ
ꜣbd	ʀ a b u tʼ w
ꜣbd	ʀ a b uː tʼ a w
ꜣbd	ʔ ə β a tʼ
ꜣbd	ʔ ə β eː tʼ
ꜣbd	ʔ ə β ø tʼ ʔ
ꜣbj	ɑ b i
ꜣbnjnj	ɑ b n i n i
ꜣbnn	ɑ b n ɛ n
ꜣbt	ɑ b ɛ t
ꜣbw	j eː β
ꜣbw	j uː b ə ʔ
ꜣbw	ɑ b uː
ꜣbw	ʀ aː b a w
ꜣbw	ʀ uː b a w
ꜣbw	ʔ aː b ə ʔ
ꜣbw	ʔ oː β
ꜣbwt	ɑ b uː t
ꜣby	ɑ b iː
ꜣbyt	ɑ b iː t
ꜣbḏw	ɑ b ɛ d͡ʒ uː
ꜣbḏw	ʀ a b aː cʼ a w
ꜣbḏw	ʀ a b aː tʼ a w
ꜣbḏw	ʔ ə β oː tʼ
ꜣbḫ	ɑ b ɛ x
ꜣbḫt	ɑ b x ɛ t
ꜣbꜣb	ɑ b ɑ b
ꜣd	ɑ d
ꜣd	ʀ aː tʼ
ꜣd	ʔ aː tʼ
ꜣd	ʔ oː tʼ
ꜣdt	ɑ d ɛ t
ꜣdw	ɑ d uː
ꜣdw	ʀ aː tʼ a w
ꜣdw	ʔ aː tʼ ə ʔ
ꜣdw	ʔ oː tʼ
ꜣf	ɑ f
ꜣfj	ɑ f i
ꜣfjw	ɑ f i uː
ꜣfr	ɑ f ɛ r
ꜣfꜣf	ɑ f ɑ f
ꜣfꜥ	ɑ f ɑː
ꜣhd	ɑ h ɛ d
ꜣhmt	ɑ h m ɛ t
ꜣhw	ɑ h uː
ꜣj	ɑ i
ꜣjs	ɑ i s
ꜣjwj	ɑ i uː i
ꜣk	ɑ k
ꜣkr	ɑ k ɛ r
ꜣm	ɑ m
ꜣmj	ɑ m i
ꜣmm	ɑ m ɛ m
ꜣmm	ʀ a m a m
ꜣmm	ʔ ə m a m
ꜣmmt	ɑ m ɛ m ɛ t
ꜣmmw	ɑ m ɛ m uː
ꜣms	ɑ m ɛ s
ꜣmw	ɑ m uː
ꜣmwt	ɑ m uː t
ꜣmꜥ	ɑ m ɑː
ꜣmꜥt	ɑ m ɑː t
ꜣpd	ɑ p ɛ d
ꜣpd	ʀ aː p V tʼ
ꜣpd	ʔ oː p ə tʼ
ꜣpdwt	ɑ p d uː t
ꜣpḥ	ɑ p ɛ ħ
ꜣpꜣrwywsꜣ	ɑ p ɑ r uː iː uː s ɑ
ꜣq	ɑ k
ꜣqw	ɑ k uː
ꜣqḥw	ɑ k ɛ ħ uː
ꜣr	ɑ r
ꜣrwksjndrs	ɑ r uː k s i n ɛ d r ɛ s
ꜣrwtꜣḫšꜣšꜣs	ɑ r uː t ɑ x ʃ ɑ ʃ ɑ s
ꜣryt	ɑ r iː t
ꜣs	ɑ s
ꜣsbyw	ɑ s b iː uː
ꜣst	ɑ s ɛ t
ꜣst	ʀ uː s a t
ꜣst	ʀ uː s a ʔ
ꜣst	ʔ eː s ə
ꜣst	ʔ uː s a ʔ
ꜣsḫ	ɑ s ɛ x
ꜣt	ɑ t
ꜣtf	ɑ t ɛ f
ꜣtjwt	ɑ t i uː t
ꜣtp	ɑ t ɛ p
ꜣtpwt	ɑ t p uː t
ꜣtyt	ɑ t iː t
ꜣw	ɑ uː
ꜣw	ʀ a w
ꜣw	ʔ a w
ꜣwj	ɑ uː i
ꜣwj	ʀ aː w a j
ꜣwj	ʔ oː w
ꜣwr	ɑ uː r
ꜣwsw	ɑ uː s uː
ꜣwt	ɑ uː t
ꜣwtqrtr	ɑ uː t ɛ k r ɛ t ɛ r
ꜣwšꜣ	ɑ uː ʃ ɑ
ꜣwšꜣmm	ɑ uː ʃ ɑ m ɛ m
ꜣwšꜣmm	ʔ u ʀ u ʃ a l i m u m
ꜣwḥ	ɑ uː ħ
ꜣwḫ	ɑ uː x
ꜣyt	ɑ iː t
ꜣz	ɑ z
ꜣzb	ɑ z ɛ b
ꜣzḫ	ɑ z ɛ x
ꜣš	ɑ ʃ
ꜣšr	ɑ ʃ ɛ r
ꜣšrt	ɑ ʃ r ɛ t
ꜣḥ	ɑ ħ
ꜣḥt	ɑ ħ ɛ t
ꜣḫ	ɑ x
ꜣḫ	ʀ aː χ
ꜣḫ	ʀ iː χ u w
ꜣḫ	ʔ aː χ
ꜣḫ	ʔ iː χ
ꜣḫ	ʔ iː χ ə ʔ
ꜣḫ	ʔ oː χ
ꜣḫf	ɑ x ɛ f
ꜣḫfḫf	ɑ x ɛ f x ɛ f
ꜣḫt	ɑ x ɛ t
ꜣḫtj	ɑ x t i
ꜣḫw	ɑ x uː
ꜣḫw	ʀ aː χ a w
ꜣḫw	ʔ aː χ ə ʔ
ꜣḫw	ʔ oː χ
ꜣḫyt	ɑ x iː t
ꜣḫꜣḫ	ɑ x ɑ x
ꜣṯj	ɑ t͡ʃ i
ꜣṯp	ɑ t͡ʃ ɛ p
ꜣṯp	ʀ aː c a p
ꜣṯp	ʀ aː t a p
ꜣṯp	ʔ oː t ə p
ꜣṯpw	ɑ t͡ʃ ɛ p uː
ꜣṯt	ɑ t͡ʃ ɛ t
ꜣṯwt	ɑ t͡ʃ uː t
ꜣṯyt	ɑ t͡ʃ iː t
ꜣẖꜥ	ɑ ç ɑː
ꜣẖꜥt	ɑ ç ɑː t
ꜣꜣ	ɑ ʔ ɑ
ꜣꜣt	ɑ ʔ ɑ t
ꜣꜣtꜣ	ɑ ʔ ɑ t ɑ
ꜣꜥbt	ɑ ʔ ɑː b ɛ t
ꜣꜥfj	ɑ ʔ ɑː f i
ꜣꜥw	ɑ ʔ ɑː uː
ꜣꜥz	ɑ ʔ ɑː z
ꜣꜥꜥ	ɑ ʔ ɑː ʔ ɑː
ꜣꜥꜥbw	ɑ ʔ ɑː ɑː b uː
ꜣꜥꜥnj	ɑ ʔ ɑː ɑː n i
ꜣꜥꜥt	ɑ ʔ ɑː ɑː t
ꜣꜥꜥw	ɑ ʔ ɑː ɑː uː
ꜣꜥꜥwj	ɑ ʔ ɑː ɑː uː i
ꜥ	d iː j
ꜥ	ɑː
ꜥ	ʕ eː j
ꜥ	ʕ iː j
ꜥb	ɑː b
ꜥbj	ɑː b i
ꜥbnḫ	ɑː b n ɛ x
ꜥbw	ɑː b uː
ꜥbw	ʕ aː b a w
ꜥbw	ʕ oː β
ꜥbḫn	ɑː b x ɛ n
ꜥbꜣ	ɑː b ɑ
