あ	a̠
もうしでる	m o̞ː ɕ i d e̞ ɾ ɯ̟ᵝ
もうしもうし	m o̞ː ɕ i m o̞ː ɕ i
もうしゃ	m o̞ː ɕ a̠
もうしょ	m o̞ː ɕ o̞
もうしわけ	m o̞ː ɕ i ɰᵝ a̠ k e̞
もうしわけありません	m o̞ː ɕ i ɰᵝ a̠ k e̞ a̠ ɾʲ i m a̠ s ẽ̞ ɴ
もうじゅう	m o̞ː ʑ ɨᵝː
もうす	m o̞ː s ɨᵝ
もうそう	m o̞ː s o̞ː
もうそうちく	m o̞ː s o̞ː t͡ɕ i k ɯ̟ᵝ
もうそく	m o̞ː s o̞ k ɯ̟ᵝ
もうたくとうしそう	m o̞ː t a̠ k ɯ̟ᵝ t o̞ː ɕ i s o̞ː
もうたん	m o̞ː t ã̠ ɴ
もうちょう	m o̞ː t͡ɕ o̞ː
もうでる	m o̞ː d e̞ ɾ ɯ̟ᵝ
もうとう	m o̞ː t o̞ː
もうどう	m o̞ː d o̞ː
もうどく	m o̞ː d o̞ k ɯ̟ᵝ
もうのうえん	m o̞ː n o̞ː ẽ̞ ɴ
もうひとこえ	m o̞ː ç i t o̞ k o̞ e̞
もうふぶき	m o̞ː ɸ ɯ̟ᵝ b ɯ̟ᵝ kʲ i
もうまく	m o̞ː m a̠ k ɯ̟ᵝ
もうもく	m o̞ː m o̞ k ɯ̟ᵝ
もうら	m o̞ː ɾ a̠
もうりょう	m o̞ː ɾʲ o̞ː
もうろく	m o̞ː ɾ o̞ k ɯ̟ᵝ
もえ	m o̞ e̞
もえあがる	m o̞ e̞ a̠ ɡ a̠ ɾ ɯ̟ᵝ
もえそで	m o̞ e̞ s o̞ d e̞
もえぶた	m o̞ e̞ b ɯ̟ᵝ t a̠
もえる	m o̞ e̞ ɾ ɯ̟ᵝ
もえるごみ	m o̞ e̞ ɾ ɯ̟ᵝ ɡ o̞ mʲ i
もお	m o̞ o̞
もおんな	m o̞ õ̞ nː a̠
もがく	m o̞ ɡ a̠ k ɯ̟ᵝ
もぎしけん	m o̞ ɡʲ i ɕ i̥ k ẽ̞ ɴ
もぎとる	m o̞ ɡʲ i t o̞ ɾ ɯ̟ᵝ
もぎり	m o̞ ɡʲ i ɾʲ i
もく	m o̞ k ɯ̟ᵝ
もくぎょ	m o̞ k ɯ̟ᵝ ɡʲ o̞
もくさつ	m o̞ k ɯ̟̊ᵝ s a̠ t͡s ɨᵝ
もくしゅく	m o̞ k ɯ̟ᵝ ɕ ɨᵝ k ɯ̟ᵝ
もくしろく	m o̞ k ɯ̟̊ᵝ ɕ i ɾ o̞ k ɯ̟ᵝ
もくせい	m o̞ k ɯ̟̊ᵝ s e̞ː
もくせい	m o̞ k ɯ̟ᵝ s e̞ː
もくぜん	m o̞ k ɯ̟ᵝ z ẽ̞ ɴ
もくそう	m o̞ k ɯ̟ᵝ s o̞ː
もくたん	m o̞ k ɯ̟̊ᵝ t ã̠ ɴ
もくたんが	m o̞ k ɯ̟̊ᵝ t ã̠ ŋ ɡ a̠
もくたんし	m o̞ k ɯ̟̊ᵝ t ã̠ ɰ̃ ɕ i
もくたんじどうしゃ	m o̞ k ɯ̟ᵝ t ã̠ ɲ̟ d͡ʑ i d o̞ː ɕ a̠
もくてき	m o̞ k ɯ̟̊ᵝ t e̞ kʲ i
もくてきご	m o̞ k ɯ̟ᵝ t e̞ kʲ i ɡ o̞
もくてきろん	m o̞ k ɯ̟ᵝ t e̞ kʲ i ɾ õ̞ ɴ
もくとう	m o̞ k ɯ̟ᵝ t o̞ː
もくにん	m o̞ k ɯ̟ᵝ ɲ̟ ĩ ɴ
もくば	m o̞ k ɯ̟ᵝ b a̠
もくひけん	m o̞ k ɯ̟ᵝ ç i k ẽ̞ ɴ
もくひょう	m o̞ k ɯ̟ᵝ ç o̞ː
もくめ	m o̞ k ɯ̟ᵝ m e̞
もくよう	m o̞ k ɯ̟ᵝ j o̞ː
もくようび	m o̞ k ɯ̟ᵝ j o̞ː bʲ i
もくろみ	m o̞ k ɯ̟ᵝ ɾ o̞ mʲ i
もくろむ	m o̞ k ɯ̟ᵝ ɾ o̞ m ɯ̟ᵝ
もぐ	m o̞ ɡ ɯ̟ᵝ
もぐさ	m o̞ ɡ ɯ̟ᵝ s a̠
もぐら	m o̞ ɡ ɯ̟ᵝ ɾ a̠
もぐり	m o̞ ɡ ɯ̟ᵝ ɾʲ i
もぐりこむ	m o̞ ɡ ɯ̟ᵝ ɾʲ i k o̞ m ɯ̟ᵝ
もげる	m o̞ ɡ e̞ ɾ ɯ̟ᵝ
もこし	m o̞ k o̞ ɕ i
もさ	m o̞ s a̠
もさく	m o̞ s a̠ k ɯ̟ᵝ
もし	m o̞ ɕ i
もしか	m o̞ ɕ i k a̠
もしかしたら	m o̞ ɕ i k a̠ ɕ i t a̠ ɾ a̠
もしかして	m o̞ ɕ i k a̠ ɕ i t e̞
もしかすると	m o̞ ɕ i k a̠ s ɨᵝ ɾ ɯ̟ᵝ t o̞
もしも	m o̞ ɕ i m o̞
もしもし	m o̞ ɕ i m o̞ ɕ i̥
もしゅ	m o̞ ɕ ɨᵝ
もじおこし	m o̞ ʑ i o̞ k o̞ ɕ i
もじがた	m o̞ ʑ i ɡ a̠ t a̠
もじどおり	m o̞ ʑ i d o̞ː ɾʲ i
もじばけ	m o̞ ʑ i b a̠ k e̞
もじる	m o̞ ʑ i ɾ ɯ̟ᵝ
もじれつ	m o̞ ʑ i ɾ e̞ t͡s ɨᵝ
もすこし	m o̞ s ɨᵝ k o̞ ɕ i
もぞう	m o̞ z o̞ː
もたつく	m o̞ t a̠ t͡s ɨᵝ k ɯ̟ᵝ
もたらす	m o̞ t a̠ ɾ a̠ s ɨᵝ
もたれる	m o̞ t a̠ ɾ e̞ ɾ ɯ̟ᵝ
もだえる	m o̞ d a̠ e̞ ɾ ɯ̟ᵝ
もだま	m o̞ d a̠ m a̠
もち	m o̞ t͡ɕ i
もちあげる	m o̞ t͡ɕ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
もちあわせ	m o̞ t͡ɕ i a̠ ɰᵝ a̠ s e̞
もちあわせる	m o̞ t͡ɕ i a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
もちいる	m o̞ t͡ɕ iː ɾ ɯ̟ᵝ
もちうた	m o̞ t͡ɕ i ɯ̟ᵝ t a̠
もちかえり	m o̞ t͡ɕ i k a̠ e̞ ɾʲ i
もちきたる	m o̞ t͡ɕ i kʲ i t a̠ ɾ ɯ̟ᵝ
もちきり	m o̞ t͡ɕ i kʲ i ɾʲ i
もちこたえる	m o̞ t͡ɕ i k o̞ t a̠ e̞ ɾ ɯ̟ᵝ
もちこむ	m o̞ t͡ɕ i k o̞ m ɯ̟ᵝ
もちごめ	m o̞ t͡ɕ i ɡ o̞ m e̞
もちさる	m o̞ t͡ɕ i s a̠ ɾ ɯ̟ᵝ
もちざお	m o̞ t͡ɕ i z a̠ o̞
もちじかん	m o̞ t͡ɕ i ʑ i k ã̠ ɴ
もちだす	m o̞ t͡ɕ i d a̠ s ɨᵝ
もちつけ	m o̞ t͡ɕ i t͡s ɨᵝ k e̞
もちぬし	m o̞ t͡ɕ i n ɯ̟ᵝ ɕ i
もちのろん	m o̞ t͡ɕ i n o̞ ɾ õ̞ ɴ
もちはこぶ	m o̞ t͡ɕ i h a̠ k o̞ b ɯ̟ᵝ
もちば	m o̞ t͡ɕ i b a̠
もちもの	m o̞ t͡ɕ i m o̞ n o̞
もちろん	m o̞ t͡ɕ i ɾ õ̞ ɴ
もっか	m o̞ k̚ k a̠
もっかい	m o̞ k̚ k a̠ i
もっかん	m o̞ k̚ k ã̠ ɴ
もっきん	m o̞ k̚ʲ kʲ ĩ ɴ
もったい	m o̞ t̚ t a̠ i
もったいない	m o̞ t̚ t a̠ i n a̠ i
もっと	m o̞ t̚ t o̞
もっとも	m o̞ t̚ t o̞ m o̞
もっともらしい	m o̞ t̚ t o̞ m o̞ ɾ a̠ ɕ iː
もっぱら	m o̞ p̚ p a̠ ɾ a̠
もつ	m o̞ t͡s ɨᵝ
もつれ	m o̞ t͡s ɨᵝ ɾ e̞
もつれあう	m o̞ t͡s ɨᵝ ɾ e̞ a̠ ɯ̟ᵝ
もつれがみ	m o̞ t͡s ɨᵝ ɾ e̞ ɡ a̠ mʲ i
もつれる	m o̞ t͡s ɨᵝ ɾ e̞ ɾ ɯ̟ᵝ
もてあそぶ	m o̞ t e̞ a̠ s o̞ b ɯ̟ᵝ
もてなす	m o̞ t e̞ n a̠ s ɨᵝ
もてる	m o̞ t e̞ ɾ ɯ̟ᵝ
もと	m o̞ t o̞
もとづく	m o̞ t o̞ z ɨᵝ k ɯ̟ᵝ
もとねた	m o̞ t o̞ n e̞ t a̠
もとむ	m o̞ t o̞ m ɯ̟ᵝ
もとめる	m o̞ t o̞ m e̞ ɾ ɯ̟ᵝ
もともこもない	m o̞ t o̞ m o̞ k o̞ m o̞ n a̠ i
もとる	m o̞ t o̞ ɾ ɯ̟ᵝ
もどかしい	m o̞ d o̞ k a̠ ɕ iː
もどき	m o̞ d o̞ kʲ i
もどす	m o̞ d o̞ s ɨᵝ
もどる	m o̞ d o̞ ɾ ɯ̟ᵝ
もぬけ	m o̞ n ɯ̟ᵝ k e̞
もの	m o̞ n o̞
ものいい	m o̞ n o̞ iː
ものおき	m o̞ n o̞ o̞ kʲ i
ものおと	m o̞ n o̞ o̞ t o̞
ものか	m o̞ n o̞ k a̠
ものがたり	m o̞ n o̞ ɡ a̠ t a̠ ɾʲ i
ものがたる	m o̞ n o̞ ɡ a̠ t a̠ ɾ ɯ̟ᵝ
ものぐさ	m o̞ n o̞ ɡ ɯ̟ᵝ s a̠
ものぐるい	m o̞ n o̞ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ i
ものごい	m o̞ n o̞ ɡ o̞ i
ものごし	m o̞ n o̞ ɡ o̞ ɕ i
ものさし	m o̞ n o̞ s a̠ ɕ i
ものしり	m o̞ n o̞ ɕ i ɾʲ i
ものすごい	m o̞ n o̞ s ɨᵝ ɡ o̞ i
ものする	m o̞ n o̞ s ɨᵝ ɾ ɯ̟ᵝ
ものたりない	m o̞ n o̞ t a̠ ɾʲ i n a̠ i
もののあわれ	m o̞ n o̞ n o̞ a̠ ɰᵝ a̠ ɾ e̞
もののけ	m o̞ n o̞ n o̞ k e̞
もののほん	m o̞ n o̞ n o̞ h õ̞ ɴ
ものまね	m o̞ n o̞ m a̠ n e̞
ものみだかい	m o̞ n o̞ mʲ i d a̠ k a̠ i
ものみゆさん	m o̞ n o̞ mʲ i j ɯ̟ᵝ s ã̠ ɴ
ものもち	m o̞ n o̞ m o̞ t͡ɕ i
ものものしい	m o̞ n o̞ m o̞ n o̞ ɕ iː
ものわかり	m o̞ n o̞ ɰᵝ a̠ k a̠ ɾʲ i
もはや	m o̞ h a̠ j a̠
もふもふ	m o̞ ɸ ɯ̟ᵝ m o̞ ɸ ɯ̟ᵝ
もみ	m o̞ mʲ i
もみあげ	m o̞ mʲ i a̠ ɡ e̞
もみじ	m o̞ mʲ i ʑ i
もむ	m o̞ m ɯ̟ᵝ
もも	m o̞ m o̞
ももいろ	m o̞ m o̞ i ɾ o̞
ももか	m o̞ m o̞ k a̠
ももたまな	m o̞ m o̞ t a̠ m a̠ n a̠
もや	m o̞ j a̠
もやし	m o̞ j a̠ ɕ i
もやす	m o̞ j a̠ s ɨᵝ
もやすごみ	m o̞ j a̠ s ɨᵝ ɡ o̞ mʲ i
もよう	m o̞ j o̞ː
もよおしもの	m o̞ j o̞ː ɕ i m o̞ n o̞
もよおす	m o̞ j o̞ː s ɨᵝ
もよりえき	m o̞ j o̞ ɾʲ i e̞ kʲ i
もらう	m o̞ ɾ a̠ ɯ̟ᵝ
もらす	m o̞ ɾ a̠ s ɨᵝ
もり	m o̞ ɾʲ i
もりあがる	m o̞ ɾʲ i a̠ ɡ a̠ ɾ ɯ̟ᵝ
もりあげる	m o̞ ɾʲ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
もりあわせ	m o̞ ɾʲ i a̠ ɰᵝ a̠ s e̞
もりつな	m o̞ ɾʲ i t͡s ɨᵝ n a̠
もりひろ	m o̞ ɾʲ i ç i ɾ o̞
もる	m o̞ ɾ ɯ̟ᵝ
もれる	m o̞ ɾ e̞ ɾ ɯ̟ᵝ
もろい	m o̞ ɾ o̞ i
もろくず	m o̞ ɾ o̞ k ɯ̟ᵝ z ɨᵝ
もろこし	m o̞ ɾ o̞ k o̞ ɕ i
もろこしきび	m o̞ ɾ o̞ k o̞ ɕ i kʲ i bʲ i
もろもろ	m o̞ ɾ o̞ m o̞ ɾ o̞
もん	m õ̞ ɴ
もんがまえ	m õ̞ ŋ ɡ a̠ m a̠ e̞
もんしょう	m õ̞ ɰ̃ ɕ o̞ː
もんしょうがく	m õ̞ ɰ̃ ɕ o̞ː ɡ a̠ k ɯ̟ᵝ
もんしろちょう	m õ̞ ɰ̃ ɕ i ɾ o̞ t͡ɕ o̞ː
もんじ	m õ̞ ɲ̟ d͡ʑ i
もんじゅしり	m õ̞ ɲ̟ d͡ʑ ɨᵝ ɕ i ɾʲ i
もんじん	m õ̞ ɲ̟ d͡ʑ ĩ ɴ
もんぜんばらい	m õ̞ n d͡z ẽ̞ m b a̠ ɾ a̠ i
もんだい	m õ̞ n d a̠ i
もんだいじ	m õ̞ n d a̠ i ʑ i
もんちゃく	m õ̞ ɲ̟ t͡ɕ a̠ k ɯ̟ᵝ
もんつき	m õ̞ n t͡s ɨᵝ kʲ i
もんと	m õ̞ n t o̞
もんどう	m õ̞ n d o̞ː
もんなし	m õ̞ nː a̠ ɕ i
もんぶかがくしょう	m õ̞ m b ɯ̟ᵝ k a̠ ɡ a̠ k ɯ̟ᵝ ɕ o̞ː
や	j a̠
やあ	j a̠ː
やいず	j a̠ i z ɨᵝ
やえば	j a̠ e̞ b a̠
やお	j a̠ o̞
やおい	j a̠ o̞ i
やおよろず	j a̠ o̞ j o̞ ɾ o̞ z ɨᵝ
やかい	j a̠ k a̠ i
やかた	j a̠ k a̠ t a̠
やから	j a̠ k a̠ ɾ a̠
やかん	j a̠ k ã̠ ɴ
やかんあたま	j a̠ k ã̠ ɰ̃ a̠ t a̠ m a̠
やが	j a̠ ɡ a̠
やがい	j a̠ ɡ a̠ i
やがて	j a̠ ɡ a̠ t e̞
やがら	j a̠ ɡ a̠ ɾ a̠
やきいも	j a̠ kʲ i i m o̞
やきそば	j a̠ kʲ i s o̞ b a̠
やきとり	j a̠ kʲ i t o̞ ɾʲ i
やきば	j a̠ kʲ i b a̠
やきぶた	j a̠ kʲ i b ɯ̟ᵝ t a̠
やきもち	j a̠ kʲ i m o̞ t͡ɕ i
やきもの	j a̠ kʲ i m o̞ n o̞
やきゅう	j a̠ kʲ ɨᵝː
やきゅうじょう	j a̠ kʲ ɨᵝː ʑ o̞ː
やきょく	j a̠ kʲ o̞ k ɯ̟ᵝ
やきん	j a̠ kʲ ĩ ɴ
やきんがく	j a̠ kʲ ĩ ŋ ɡ a̠ k ɯ̟ᵝ
やぎ	j a̠ ɡʲ i
やぎざ	j a̠ ɡʲ i z a̠
やぎゅう	j a̠ ɡʲ ɨᵝː
やく	j a̠ k ɯ̟ᵝ
やくがく	j a̠ k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ
やくご	j a̠ k ɯ̟ᵝ ɡ o̞
やくざ	j a̠ k ɯ̟ᵝ z a̠
やくしゃ	j a̠ k ɯ̟̊ᵝ ɕ a̠
やくじょう	j a̠ k ɯ̟ᵝ ʑ o̞ː
やくす	j a̠ k ɯ̟ᵝ s ɨᵝ
やくすう	j a̠ k ɯ̟̊ᵝ s ɨᵝː
やくする	j a̠ k ɯ̟ᵝ s ɨᵝ ɾ ɯ̟ᵝ
やくそく	j a̠ k ɯ̟̊ᵝ s o̞ k ɯ̟ᵝ
やくたたず	j a̠ k ɯ̟̊ᵝ t a̠ t a̠ z ɨᵝ
やくだつ	j a̠ k ɯ̟ᵝ d a̠ t͡s ɨᵝ
やくだてる	j a̠ k ɯ̟ᵝ d a̠ t e̞ ɾ ɯ̟ᵝ
やくづくり	j a̠ k ɯ̟ᵝ z ɨᵝ k ɯ̟ᵝ ɾʲ i
やくどし	j a̠ k ɯ̟ᵝ d o̞ ɕ i
やくにたつ	j a̠ k ɯ̟ᵝ ɲ̟ i t a̠ t͡s ɨᵝ
やくにん	j a̠ k ɯ̟ᵝ ɲ̟ ĩ ɴ
やくぶつらんよう	j a̠ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨᵝ ɾ ã̠ ɰ̃ j o̞ː
やくぶん	j a̠ k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
やくも	j a̠ k ɯ̟ᵝ m o̞
やくりがく	j a̠ k ɯ̟ᵝ ɾʲ i ɡ a̠ k ɯ̟ᵝ
やぐ	j a̠ ɡ ɯ̟ᵝ
やけ	j a̠ k e̞
やけあと	j a̠ k e̞ a̠ t o̞
やけい	j a̠ k e̞ː
やけくそ	j a̠ k e̞ k ɯ̟ᵝ s o̞
やけど	j a̠ k e̞ d o̞
やけに	j a̠ k e̞ ɲ̟ i
やける	j a̠ k e̞ ɾ ɯ̟ᵝ
やこ	j a̠ k o̞
やこう	j a̠ k o̞ː
やこううん	j a̠ k o̞ː ɯ̟̃ᵝ ɴ
やこうせい	j a̠ k o̞ː s e̞ː
やこうれっしゃ	j a̠ k o̞ː ɾ e̞ ɕː a̠
やこぜん	j a̠ k o̞ z ẽ̞ ɴ
やご	j a̠ ɡ o̞
やごう	j a̠ ɡ o̞ː
やさい	j a̠ s a̠ i
やさかにのまがたま	j a̠ s a̠ k a̠ ɲ̟ i n o̞ m a̠ ɡ a̠ t a̠ m a̠
やさぐれ	j a̠ s a̠ ɡ ɯ̟ᵝ ɾ e̞
やさしい	j a̠ s a̠ ɕ i i
やざ	j a̠ z a̠
やし	j a̠ ɕ i
やしか	j a̠ ɕ i k a̠
やしがに	j a̠ ɕ i ɡ a̠ ɲ̟ i
やしき	j a̠ ɕ i̥ kʲ i
やしとう	j a̠ ɕ i t o̞ː
やしなう	j a̠ ɕ i n a̠ ɯ̟ᵝ
やしゃ	j a̠ ɕ a̠
やしゅう	j a̠ ɕ ɨᵝː
やしゆ	j a̠ ɕ i j ɯ̟ᵝ
やしょく	j a̠ ɕ o̞ k ɯ̟ᵝ
やしろ	j a̠ ɕ i ɾ o̞
やじ	j a̠ ʑ i
やじゅうは	j a̠ ʑ ɨᵝː h a̠
やじるし	j a̠ ʑ i ɾ ɯ̟ᵝ ɕ i
やじん	j a̠ ʑ ĩ ɴ
やすい	j a̠ s ɨᵝ i
やすうり	j a̠ s ɨᵝ ɯ̟ᵝ ɾʲ i
やすげっきゅう	j a̠ s ɨᵝ ɡ e̞ k̚ʲ kʲ ɨᵝː
やすたか	j a̠ s ɨᵝ t a̠ k a̠
やすっぽい	j a̠ s ɨᵝ p̚ p o̞ i
やすで	j a̠ s ɨᵝ d e̞
やすと	j a̠ s ɨᵝ t o̞
やすなが	j a̠ s ɨᵝ n a̠ ɡ a̠
やすひこ	j a̠ s ɨᵝ ç i k o̞
やすひろ	j a̠ s ɨᵝ ç i ɾ o̞
やすみ	j a̠ s ɨᵝ mʲ i
やすむ	j a̠ s ɨᵝ m ɯ̟ᵝ
やすめる	j a̠ s ɨᵝ m e̞ ɾ ɯ̟ᵝ
やすもの	j a̠ s ɨᵝ m o̞ n o̞
やすやど	j a̠ s ɨᵝ j a̠ d o̞
やすゆき	j a̠ s ɨᵝ j ɯ̟ᵝ kʲ i
やすらぎ	j a̠ s ɨᵝ ɾ a̠ ɡʲ i
やすり	j a̠ s ɨᵝ ɾʲ i
やず	j a̠ z ɨᵝ
やせおとこ	j a̠ s e̞ o̞ t o̞ k o̞
やせん	j a̠ s ẽ̞ ɴ
やそうきょく	j a̠ s o̞ː kʲ o̞ k ɯ̟ᵝ
やそきょう	j a̠ s o̞ kʲ o̞ː
やたがらす	j a̠ t a̠ ɡ a̠ ɾ a̠ s ɨᵝ
やたのかがみ	j a̠ t a̠ n o̞ k a̠ ɡ a̠ mʲ i
やたら	j a̠ t a̠ ɾ a̠
やだ	j a̠ d a̠
やだいぼね	j a̠ d a̠ i b o̞ n e̞
やちねずみ	j a̠ t͡ɕ i n e̞ z ɨᵝ mʲ i
やちん	j a̠ t͡ɕ ĩ ɴ
やっかいばらい	j a̠ k̚ k a̠ i b a̠ ɾ a̠ i
やっかいもの	j a̠ k̚ k a̠ i m o̞ n o̞
やっき	j a̠ k̚ʲ kʲ i
やっこ	j a̠ k̚ k o̞
やっつける	j a̠ t̚ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
やってくる	j a̠ t̚ t e̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
やっぱ	j a̠ p̚ p a̠
やっぱし	j a̠ p̚ p a̠ ɕ i
やっぱり	j a̠ p̚ p a̠ ɾʲ i
やつ	j a̠ t̚ t͡s ɨᵝ
やつ	j a̠ t͡s ɨᵝ
やつあたり	j a̠ t͡s ɨᵝ a̠ t a̠ ɾʲ i
やつぎばや	j a̠ t͡s ɨᵝ ɡʲ i b a̠ j a̠
やつめ	j a̠ t͡s ɨᵝ m e̞
やつめうなぎ	j a̠ t͡s ɨᵝ m e̞ ɯ̟ᵝ n a̠ ɡʲ i
やつら	j a̠ t͡s ɨᵝ ɾ a̠
やといぬし	j a̠ t o̞ i n ɯ̟ᵝ ɕ i
やとう	j a̠ t o̞ ɯ̟ᵝ
やとう	j a̠ t o̞ː
やとわれ	j a̠ t o̞ ɰᵝ a̠ ɾ e̞
やどかり	j a̠ d o̞ k a̠ ɾʲ i
やどや	j a̠ d o̞ j a̠
やどりぎ	j a̠ d o̞ ɾʲ i ɡʲ i
やどる	j a̠ d o̞ ɾ ɯ̟ᵝ
やなぎ	j a̠ n a̠ ɡʲ i
やに	j a̠ ɲ̟ i
やねうら	j a̠ n e̞ ɯ̟ᵝ ɾ a̠
やのあさって	j a̠ n o̞ a̠ s a̠ t̚ t e̞
やはり	j a̠ h a̠ ɾʲ i
やばい	j a̠ b a̠ i
やぶ	j a̠ b ɯ̟ᵝ
やぶからぼうに	j a̠ b ɯ̟ᵝ k a̠ ɾ a̠ b o̞ː ɲ̟ i
やぶく	j a̠ b ɯ̟ᵝ k ɯ̟ᵝ
やぶける	j a̠ b ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
やぶこうじ	j a̠ b ɯ̟ᵝ k o̞ː ʑ i
やぶさめ	j a̠ b ɯ̟ᵝ s a̠ m e̞
やぶにらみ	j a̠ b ɯ̟ᵝ ɲ̟ i ɾ a̠ mʲ i
やぶのなか	j a̠ b ɯ̟ᵝ n o̞ n a̠ k a̠
やぶへび	j a̠ b ɯ̟ᵝ h e̞ bʲ i
やぶみ	j a̠ b ɯ̟ᵝ mʲ i
やぶる	j a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
やぶれる	j a̠ b ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
やま	j a̠ m a̠
やまあらし	j a̠ m a̠ a̠ ɾ a̠ ɕ i
やまあるき	j a̠ m a̠ a̠ ɾ ɯ̟ᵝ kʲ i
やまい	j a̠ m a̠ i
やまいだれ	j a̠ m a̠ i d a̠ ɾ e̞
やまいぬ	j a̠ m a̠ i n ɯ̟ᵝ
やまいも	j a̠ m a̠ i m o̞
やまうば	j a̠ m a̠ ɯ̟ᵝ b a̠
やまおく	j a̠ m a̠ o̞ k ɯ̟ᵝ
やまおとこ	j a̠ m a̠ o̞ t o̞ k o̞
やまかじ	j a̠ m a̠ k a̠ ʑ i
やまかっこ	j a̠ m a̠ ɡ a̠ k̚ k o̞
やまかわ	j a̠ m a̠ k a̠ ɰᵝ a̠
やまがた	j a̠ m a̠ ɡ a̠ t a̠
やまがたけん	j a̠ m a̠ ɡ a̠ t a̠ k ẽ̞ ɴ
やまがら	j a̠ m a̠ ɡ a̠ ɾ a̠
やまぎり	j a̠ m a̠ ɡʲ i ɾʲ i
やまくずれ	j a̠ m a̠ k ɯ̟ᵝ z ɨᵝ ɾ e̞
やまぐち	j a̠ m a̠ ɡ ɯ̟ᵝ t͡ɕ i
やまぐちけん	j a̠ m a̠ ɡ ɯ̟ᵝ t͡ɕ i k ẽ̞ ɴ
やまごもり	j a̠ m a̠ ɡ o̞ m o̞ ɾʲ i
やまざくら	j a̠ m a̠ z a̠ k ɯ̟ᵝ ɾ a̠
やましろ	j a̠ m a̠ ɕ i ɾ o̞
やまじ	j a̠ m a̠ ʑ i
やますいぎゅう	j a̠ m a̠ s ɨᵝ i ɡʲ ɨᵝː
やまたいこく	j a̠ m a̠ t a̠ i k o̞ k ɯ̟ᵝ
やまたかぼう	j a̠ m a̠ t a̠ k a̠ b o̞ː
やまたかぼうし	j a̠ m a̠ t a̠ k a̠ b o̞ː ɕ i
やまたのおろち	j a̠ m a̠ t a̠ n o̞ o̞ ɾ o̞ t͡ɕ i
やまつなみ	j a̠ m a̠ t͡s ɨᵝ n a̠ mʲ i
やまづみ	j a̠ m a̠ z ɨᵝ mʲ i
やまでら	j a̠ m a̠ d e̞ ɾ a̠
やまと	j a̠ m a̠ t o̞
やまとうた	j a̠ m a̠ t o̞ ɯ̟ᵝ t a̠
やまとぐち	j a̠ m a̠ t o̞ ɡ ɯ̟ᵝ t͡ɕ i
やまとことば	j a̠ m a̠ t o̞ k o̞ t o̞ b a̠
やまとごと	j a̠ m a̠ t o̞ ɡ o̞ t o̞
やまとだましい	j a̠ m a̠ t o̞ d a̠ m a̠ ɕ iː
やまとなでしこ	j a̠ m a̠ t o̞ n a̠ d e̞ ɕ i k o̞
やまなし	j a̠ m a̠ n a̠ ɕ i
やまなしけん	j a̠ m a̠ n a̠ ɕ i k ẽ̞ ɴ
やまなり	j a̠ m a̠ n a̠ ɾʲ i
やまね	j a̠ m a̠ n e̞
やまねこ	j a̠ m a̠ n e̞ k o̞
やまねこざ	j a̠ m a̠ n e̞ k o̞ z a̠
やまのぼり	j a̠ m a̠ n o̞ b o̞ ɾʲ i
やまば	j a̠ m a̠ b a̠
やまばん	j a̠ m a̠ b ã̠ ɴ
やまふだ	j a̠ m a̠ ɸ ɯ̟ᵝ d a̠
やまぶき	j a̠ m a̠ b ɯ̟ᵝ kʲ i
やまほど	j a̠ m a̠ h o̞ d o̞
やまみち	j a̠ m a̠ mʲ i t͡ɕ i
やまもも	j a̠ m a̠ m o̞ m o̞
やまわさび	j a̠ m a̠ ɰᵝ a̠ s a̠ bʲ i
やみ	j a̠ mʲ i
やみいち	j a̠ mʲ i i t͡ɕ i
やみくも	j a̠ mʲ i k ɯ̟ᵝ m o̞
やみなべ	j a̠ mʲ i n a̠ b e̞
やみよ	j a̠ mʲ i j o̞
やむ	j a̠ m ɯ̟ᵝ
やむおえない	j a̠ m ɯ̟ᵝ o̞ e̞ n a̠ i
やむをえない	j a̠ m ɯ̟ᵝ o̞ e̞ n a̠ i
やめる	j a̠ m e̞ ɾ ɯ̟ᵝ
やもり	j a̠ m o̞ ɾʲ i
ややこしい	j a̠ j a̠ k o̞ ɕ iː
やよい	j a̠ j o̞ i
やよう	j a̠ j o̞ː
やらい	j a̠ ɾ a̠ i
やらせ	j a̠ ɾ a̠ s e̞
やらみそ	j a̠ ɾ a̠ mʲ i s o̞
やられる	j a̠ ɾ a̠ ɾ e̞ ɾ ɯ̟ᵝ
やらん	j a̠ ɾ ã̠ ɴ
やり	j a̠ ɾʲ i
やりかえす	j a̠ ɾʲ i k a̠ e̞ s ɨᵝ
やりかた	j a̠ ɾʲ i k a̠ t a̠
やりがい	j a̠ ɾʲ i ɡ a̠ i
