ア	a̠
ブルドーザー	b ɯ̟ᵝ ɾ ɯ̟ᵝ d o̞ː z a̠ː
ブルペン	b ɯ̟ᵝ ɾ ɯ̟ᵝ p ẽ̞ ɴ
ブルマ	b ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠
ブルマー	b ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠ː
ブルンジ	b ɯ̟ᵝ ɾ ɯ̟̃ᵝ ɲ̟ d͡ʑ i
ブルー	b ɯ̟ᵝ ɾ ɯ̟ᵝː
ブルージー	b ɯ̟ᵝ ɾ ɯ̟ᵝː ʑ iː
ブルース	b ɯ̟ᵝ ɾ ɯ̟ᵝː s ɨᵝ
ブルーズ	b ɯ̟ᵝ ɾ ɯ̟ᵝː z ɨᵝ
ブルートゥース	b ɯ̟ᵝ ɾ ɯ̟ᵝː t ɯ̟ᵝː s ɨᵝ
ブルーハワイ	b ɯ̟ᵝ ɾ ɯ̟ᵝː h a̠ ɰᵝ a̠ i
ブルーベリー	b ɯ̟ᵝ ɾ ɯ̟ᵝː b e̞ ɾʲ iː
ブルーマー	b ɯ̟ᵝ ɾ ɯ̟ᵝː m a̠ː
ブルーレイ	b ɯ̟ᵝ ɾ ɯ̟ᵝː ɾ e̞ː
ブレインストーミング	b ɯ̟ᵝ ɾ ẽ̞ː ɰ̃ s ɨ̥ᵝ t o̞ː mʲ ĩ ŋ ɡ ɯ̟ᵝ
ブレザー	b ɯ̟ᵝ ɾ e̞ z a̠ː
ブレスト	b ɯ̟ᵝ ɾ e̞ s ɨ̥ᵝ t o̞
ブレスレット	b ɯ̟ᵝ ɾ e̞ s ɨᵝ ɾ e̞ t̚ t o̞
ブレーカー	b ɯ̟ᵝ ɾ e̞ː k a̠ː
ブレークダンス	b ɯ̟ᵝ ɾ e̞ː k ɯ̟ᵝ d ã̠ ɰ̃ s ɨᵝ
ブレーン	b ɯ̟ᵝ ɾ ẽ̞ː ɴ
ブレーンストーミング	b ɯ̟ᵝ ɾ ẽ̞ː ɰ̃ s ɨ̥ᵝ t o̞ː mʲ ĩ ŋ ɡ ɯ̟ᵝ
ブロックサイン	b ɯ̟̊ᵝ ɾ o̞ k̚ k ɯ̟̊ᵝ s a̠ ĩ ɴ
ブロックフレーテ	b ɯ̟ᵝ ɾ o̞ k̚ k ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ e̞ː t e̞
ブロッコリー	b ɯ̟ᵝ ɾ o̞ k̚ k o̞ ɾʲ iː
ブロマイド	b ɯ̟ᵝ ɾ o̞ m a̠ i d o̞
ブローカー	b ɯ̟ᵝ ɾ o̞ː k a̠ː
ブローチ	b ɯ̟ᵝ ɾ o̞ː t͡ɕ i
ブロートウェア	b ɯ̟ᵝ ɾ o̞ː t o̞ ɰᵝ e̞ a̠
ブントケーキ	b ɯ̟̃ᵝ n t o̞ k e̞ː kʲ i
ブーイング	b ɯ̟ᵝː ĩ ŋ ɡ ɯ̟ᵝ
ブーケ	b ɯ̟ᵝː k e̞
ブース	b ɯ̟ᵝː s ɨᵝ
ブースター	b ɯ̟ᵝː s ɨᵝ t a̠ː
ブーツ	b ɯ̟ᵝː t͡s ɨᵝ
ブービー	b ɯ̟ᵝː bʲ iː
ブーブークッション	b ɯ̟ᵝː b ɯ̟ᵝː k ɯ̟ᵝ ɕː õ̞ ɴ
ブーメラン	b ɯ̟ᵝː m e̞ ɾ ã̠ ɴ
プ	p ɯ̟ᵝ
プエルトリコ	p ɯ̟ᵝ e̞ ɾ ɯ̟ᵝ t o̞ ɾʲ i k o̞
プサイ	p ɯ̟̊ᵝ s a̠ i
プシー	p ɯ̟̊ᵝ ɕ iː
プチトマト	p ɯ̟̊ᵝ t͡ɕ i t o̞ m a̠ t o̞
プテリジン	p ɯ̟ᵝ t e̞ ɾʲ i ʑ ĩ ɴ
プテリン	p ɯ̟ᵝ t e̞ ɾʲ ĩ ɴ
プディング	p ɯ̟ᵝ dʲ ĩ ŋ ɡ ɯ̟ᵝ
プデチゲ	p ɯ̟ᵝ d e̞ t͡ɕ i ɡ e̞
プノンペン	p ɯ̟ᵝ n õ̞ m p ẽ̞ ɴ
プライバシー	p ɯ̟ᵝ ɾ a̠ i b a̠ ɕ iː
プライバシーポリシー	p ɯ̟ᵝ ɾ a̠ i b a̠ ɕ iː p o̞ ɾʲ i ɕ iː
プライヤ	p ɯ̟ᵝ ɾ a̠ i j a̠
プライヤー	p ɯ̟ᵝ ɾ a̠ i j a̠ː
プラウ	p ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ
プラグイン	p ɯ̟ᵝ ɾ a̠ ɡ ɯ̟ᵝ ĩ ɴ
プラゴミ	p ɯ̟ᵝ ɾ a̠ ɡ o̞ mʲ i
プラシーボ	p ɯ̟ᵝ ɾ a̠ ɕ iː b o̞
プラスアルファ	p ɯ̟ᵝ ɾ a̠ s ɨᵝ a̠ ɾ ɯ̟ᵝ ɸ a̠
プラスチックゴミ	p ɯ̟ᵝ ɾ a̠ s ɨᵝ t͡ɕ i k̚ k ɯ̟ᵝ ɡ o̞ mʲ i
プラスチックモデル	p ɯ̟ᵝ ɾ a̠ s ɨ̥ᵝ t͡ɕ i k̚ k ɯ̟ᵝ m o̞ d e̞ ɾ ɯ̟ᵝ
プラズマ	p ɯ̟ᵝ ɾ a̠ z ɨᵝ m a̠
プラセオジム	p ɯ̟ᵝ ɾ a̠ s e̞ o̞ ʑ i m ɯ̟ᵝ
プラセボ	p ɯ̟ᵝ ɾ a̠ s e̞ b o̞
プラチナ	p ɯ̟ᵝ ɾ a̠ t͡ɕ i n a̠
プラットホーム	p ɯ̟ᵝ ɾ a̠ t̚ t o̞ h o̞ː m ɯ̟ᵝ
プラトン	p ɯ̟ᵝ ɾ a̠ t õ̞ ɴ
プラネタリウム	p ɯ̟ᵝ ɾ a̠ n e̞ t a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
プラモ	p ɯ̟ᵝ ɾ a̠ m o̞
プラモデル	p ɯ̟ᵝ ɾ a̠ m o̞ d e̞ ɾ ɯ̟ᵝ
プラヤー	p ɯ̟ᵝ ɾ a̠ j a̠ː
プランクトン	p ɯ̟ᵝ ɾ ã̠ ŋ k ɯ̟̊ᵝ t õ̞ ɴ
プラーラー	p ɯ̟ᵝ ɾ a̠ː ɾ a̠ː
プリクラ	p ɯ̟ᵝ ɾʲ i k ɯ̟ᵝ ɾ a̠
プリシュティナ	p ɯ̟ᵝ ɾʲ i ɕ ɨᵝ tʲ i̥ n a̠
プリズム	p ɯ̟ᵝ ɾʲ i z ɨᵝ m ɯ̟ᵝ
プリティー	p ɯ̟ᵝ ɾʲ i tʲ iː
プリン	p ɯ̟ᵝ ɾʲ ĩ ɴ
プリンス	p ɯ̟ᵝ ɾʲ ĩ ɰ̃ s ɨᵝ
プリンセス	p ɯ̟ᵝ ɾʲ ĩ ɰ̃ s e̞ s ɨᵝ
プリント	p ɯ̟ᵝ ɾʲ ĩ n t o̞
プリーストリー	p ɯ̟ᵝ ɾʲ iː s ɨᵝ t o̞ ɾʲ iː
プルオーバー	p ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ː b a̠ː
プルトニウム	p ɯ̟ᵝ ɾ ɯ̟ᵝ t o̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
プルートー	p ɯ̟ᵝ ɾ ɯ̟ᵝː t o̞ː
プレイ	p ɯ̟ᵝ ɾ e̞ː
プレイヤー	p ɯ̟ᵝ ɾ e̞ː j a̠ː
プレス	p ɯ̟ᵝ ɾ e̞ s ɨᵝ
プレスカンファレンス	p ɯ̟ᵝ ɾ e̞ s ɨᵝ k ã̠ ɰ̃ ɸ a̠ ɾ ẽ̞ ɰ̃ s ɨᵝ
プレゼン	p ɯ̟ᵝ ɾ e̞ z ẽ̞ ɴ
プレゼンテーション	p ɯ̟ᵝ ɾ e̞ z ẽ̞ n t e̞ː ɕ õ̞ ɴ
プレッシャー	p ɯ̟ᵝ ɾ e̞ ɕː a̠ː
プレトリア	p ɯ̟ᵝ ɾ e̞ t o̞ ɾʲ i a̠
プレートテクトニクス	p ɯ̟ᵝ ɾ e̞ː t o̞ t e̞ k ɯ̟̊ᵝ t o̞ ɲ̟ i k ɯ̟̊ᵝ s ɨᵝ
プレーヤー	p ɯ̟ᵝ ɾ e̞ː j a̠ː
プレーリー	p ɯ̟ᵝ ɾ e̞ː ɾʲ iː
プレーリードッグ	p ɯ̟ᵝ ɾ e̞ː ɾʲ iː d o̞ ɡ̚ ɡ̊ ɯ̟ᵝ
プロキオン	p ɯ̟ᵝ ɾ o̞ kʲ i õ̞ ɴ
プログラミング	p ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ a̠ mʲ ĩ ŋ ɡ ɯ̟ᵝ
プログラム	p ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
プロジェクター	p ɯ̟ᵝ ɾ o̞ ʑ e̞ k ɯ̟̊ᵝ t a̠ː
プロジェクト	p ɯᵝ ɺ̠ o̞̞ d͡ʑʲ e̞̞ k ɯᵝ t o̞̞
プロセス	p ɯ̟ᵝ ɾ o̞ s e̞ s ɨᵝ
プロセッサー	p ɯ̟ᵝ ɾ o̞ s e̞ sː a̠ː
プロテアーゼ	p ɯ̟ᵝ ɾ o̞ t e̞ a̠ː z e̞
プロテイン	p ɯ̟ᵝ ɾ o̞ t ẽ̞ː ɴ
プロテスタンティズム	p ɯ̟ᵝ ɾ o̞ t e̞ s ɨ̥ᵝ t ã̠ n tʲ i z ɨᵝ m ɯ̟ᵝ
プロテスタント	p ɯ̟ᵝ ɾ o̞ t e̞ s ɨ̥ᵝ t ã̠ n t o̞
プロトアクチニウム	p ɯ̟ᵝ ɾ o̞ t o̞ a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
プロパガンダ	p ɯ̟ᵝ ɾ o̞ p a̠ ɡ ã̠ n d a̠
プロパン	p ɯ̟ᵝ ɾ o̞ p ã̠ ɴ
プロピレン	p ɯ̟ᵝ ɾ o̞ pʲ i ɾ ẽ̞ ɴ
プロフィール	p ɯ̟ᵝ ɾ o̞ ɸʲ iː ɾ ɯ̟ᵝ
プロフェッサー	p ɯ̟ᵝ ɾ o̞ ɸ e̞ sː a̠ː
プロポーズ	p ɯ̟ᵝ ɾ o̞ p o̞ː z ɨᵝ
プロメチウム	p ɯ̟ᵝ ɾ o̞ m e̞ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
プロリン	p ɯ̟ᵝ ɾ o̞ ɾʲ ĩ ɴ
プロレス	p ɯ̟ᵝ ɾ o̞ ɾ e̞ s ɨᵝ
プロレタリア	p ɯ̟ᵝ ɾ o̞ ɾ e̞ t a̠ ɾʲ i a̠
プロレタリアート	p ɯ̟ᵝ ɾ o̞ ɾ e̞ t a̠ ɾʲ i a̠ː t o̞
プーズー	p ɯ̟ᵝː z ɨᵝː
プーチン	p ɯ̟ᵝː t͡ɕ ĩ ɴ
プーティン	p ɯ̟ᵝː tʲ ĩ ɴ
プードル	p ɯ̟ᵝː d o̞ ɾ ɯ̟ᵝ
プーマ	p ɯ̟ᵝː m a̠
プール	p ɯ̟ᵝː ɾ ɯ̟ᵝ
ヘ	h e̞
ヘア	h e̞ a̠
ヘアドライヤー	h e̞ a̠ d o̞ ɾ a̠ i j a̠ː
ヘアネット	h e̞ a̠ n e̞ t̚ t o̞
ヘアピン	h e̞ a̠ pʲ ĩ ɴ
ヘイター	h e̞ː t a̠ː
ヘイトスピーチ	h e̞ː t o̞ s ɨ̥ᵝ pʲ iː t͡ɕ i
ヘキサン	h e̞ kʲ i s ã̠ ɴ
ヘクタール	h e̞ k ɯ̟ᵝ t a̠ː ɾ ɯ̟ᵝ
ヘクトパスカル	h e̞ k ɯ̟ᵝ t o̞ p a̠ s ɨᵝ k a̠ ɾ ɯ̟ᵝ
ヘッズ	h e̞ d̚ d͡z ɨᵝ
ヘッドバンギング	h e̞ d̚ d̥ o̞ b ã̠ ŋʲ ɡʲ ĩ ŋ ɡ ɯ̟ᵝ
ヘッドホン	h e̞ d̚ d̥ o̞ h õ̞ ɴ
ヘッドホーン	h e̞ d̚ d̥ o̞ h õ̞ː ɴ
ヘディング	h e̞ dʲ ĩ ŋ ɡ ɯ̟ᵝ
ヘドニズム	h e̞ d o̞ ɲ̟ i z ɨᵝ m ɯ̟ᵝ
ヘドバン	h e̞ d o̞ b ã̠ ɴ
ヘビメタ	h e̞ bʲ i m e̞ t a̠
ヘビーメタル	h e̞ bʲ iː m e̞ t a̠ ɾ ɯ̟ᵝ
ヘブライズム	h e̞ b ɯ̟ᵝ ɾ a̠ i z ɨᵝ m ɯ̟ᵝ
ヘプタン	h e̞ p ɯ̟ᵝ t ã̠ ɴ
ヘリウム	h e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ヘリコプター	h e̞ ɾʲ i k o̞ p ɯ̟̊ᵝ t a̠ː
ヘルス	h e̞ ɾ ɯ̟ᵝ s ɨᵝ
ヘルツ	h e̞ ɾ ɯ̟ᵝ t͡s ɨᵝ
ヘルペス	h e̞ ɾ ɯ̟ᵝ p e̞ s ɨᵝ
ヘルメット	h e̞ ɾ ɯ̟ᵝ m e̞ t̚ t o̞
ヘロイン	h e̞ ɾ o̞ ĩ ɴ
ヘンリー	h ẽ̞ n ɾʲ iː
ヘーゼルナッツ	h e̞ː z e̞ ɾ ɯ̟ᵝ n a̠ t̚ t͡s ɨᵝ
ベ	b e̞
ベイベー	b e̞ː b e̞ː
ベイルート	b e̞ː ɾ ɯ̟ᵝː t o̞
ベガ	b e̞ ɡ a̠
ベクレル	b e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
ベジタブル	b e̞ ʑ i t a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
ベジタリアン	b e̞ ʑ i t a̠ ɾʲ i ã̠ ɴ
ベストセラー	b e̞ s ɨᵝ t o̞ s e̞ ɾ a̠ː
ベッド	b e̞ d̚ d̥ o̞
ベトナム	b e̞ t o̞ n a̠ m ɯ̟ᵝ
ベトン	b e̞ t õ̞ ɴ
ベナン	b e̞ n ã̠ ɴ
ベニス	b e̞ ɲ̟ i s ɨᵝ
ベニン	b e̞ ɲ̟ ĩ ɴ
ベネチア	b e̞ n e̞ t͡ɕ i a̠
ベビー	b e̞ bʲ iː
ベビーカー	b e̞ bʲ iː k a̠ː
ベビードール	b e̞ bʲ iː d o̞ː ɾ ɯ̟ᵝ
ベビーブーマー	b e̞ bʲ iː b ɯ̟ᵝː m a̠ː
ベビーブーム	b e̞ bʲ iː b ɯ̟ᵝː m ɯ̟ᵝ
ベラドンナ	b e̞ ɾ a̠ d õ̞ nː a̠
ベラルーシ	b e̞ ɾ a̠ ɾ ɯ̟ᵝː ɕ i
ベリリウム	b e̞ ɾʲ i ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ベルギー	b e̞ ɾ ɯ̟ᵝ ɡʲ iː
ベルスタ	b e̞ ɾ ɯ̟ᵝ s ɨᵝ t a̠
ベルトコンベヤー	b e̞ ɾ ɯ̟ᵝ t o̞ k õ̞ m b e̞ j a̠ː
ベルベット	b e̞ ɾ ɯ̟ᵝ b e̞ t̚ t o̞
ベルベリン	b e̞ ɾ ɯ̟ᵝ b e̞ ɾʲ ĩ ɴ
ベルモット	b e̞ ɾ ɯ̟ᵝ m o̞ t̚ t o̞
ベルン	b e̞ ɾ ɯ̟̃ᵝ ɴ
ベルーガ	b e̞ ɾ ɯ̟ᵝː ɡ a̠
ベンゼン	b ẽ̞ n d͡z ẽ̞ ɴ
ベンゾール	b ẽ̞ n d͡z o̞ː ɾ ɯ̟ᵝ
ベンチ	b ẽ̞ ɲ̟ t͡ɕ i
ベンチワラント	b ẽ̞ ɲ̟ t͡ɕ i ɰᵝ a̠ ɾ ã̠ n t o̞
ベーグル	b e̞ː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
ベーシスト	b e̞ː ɕ i s ɨᵝ t o̞
ベージュ	b e̞ː ʑ ɨᵝ
ベースボール	b e̞ː s ɨᵝ b o̞ː ɾ ɯ̟ᵝ
ベータ	b e̞ː t a̠
ベータカロテン	b e̞ː t a̠ k a̠ ɾ o̞ t ẽ̞ ɴ
ベートーベン	b e̞ː t o̞ː b ẽ̞ ɴ
ベートーヴェン	b e̞ː t o̞ː b ẽ̞ ɴ
ベール	b e̞ː ɾ ɯ̟ᵝ
ペ	p e̞
ペア	p e̞ a̠
ペアルック	p e̞ a̠ ɾ ɯ̟ᵝ k̚ k ɯ̟ᵝ
ペイント	p ẽ̞ː n t o̞
ペガサス	p e̞ ɡ a̠ s a̠ s ɨᵝ
ペキニーズ	p e̞ kʲ i ɲ̟ iː z ɨᵝ
ペキン	p e̞ kʲ ĩ ɴ
ペキンダック	p e̞ kʲ ĩ n d a̠ k̚ k ɯ̟ᵝ
ペケ	p e̞ k e̞
ペシミスト	p e̞ ɕ i mʲ i s ɨᵝ t o̞
ペシミズム	p e̞ ɕ i mʲ i z ɨᵝ m ɯ̟ᵝ
ペスト	p e̞ s ɨ̥ᵝ t o̞
ペソ	p e̞ s o̞
ペダル	p e̞ d a̠ ɾ ɯ̟ᵝ
ペチコート	p e̞ t͡ɕ i k o̞ː t o̞
ペッカリー	p e̞ k̚ k a̠ ɾʲ iː
ペット	p e̞ t̚ t o̞
ペディキュア	p e̞ dʲ i kʲ ɨᵝ a̠
ペドフィリア	p e̞ d o̞ ɸʲ i ɾʲ i a̠
ペドメーター	p e̞ d o̞ m e̞ː t a̠ː
ペナルティ	p e̞ n a̠ ɾ ɯ̟ᵝ tʲ i
ペナルティー	p e̞ n a̠ ɾ ɯ̟ᵝ tʲ iː
ペニオク	p e̞ ɲ̟ i o̞ k ɯ̟ᵝ
ペニス	p e̞ ɲ̟ i s ɨ̥ᵝ
ペニー	p e̞ ɲ̟ iː
ペニーオークション	p e̞ ɲ̟ iː o̞ː k ɯ̟ᵝ ɕ õ̞ ɴ
ペパクラ	p e̞ p a̠ k ɯ̟ᵝ ɾ a̠
ペパロニ	p e̞ p a̠ ɾ o̞ ɲ̟ i
ペパーミント	p e̞ p a̠ː mʲ ĩ n t o̞
ペビバイト	p e̞ bʲ i b a̠ i t o̞
ペビビット	p e̞ bʲ i bʲ i t̚ t o̞
ペプシ	p e̞ p ɯ̟ᵝ ɕ i
ペプチド	p e̞ p ɯ̟ᵝ t͡ɕ i d o̞
ペリカン	p e̞ ɾʲ i k ã̠ ɴ
ペリドット	p e̞ ɾʲ i d o̞ t̚ t o̞
ペリー	p e̞ ɾʲ iː
ペルシア	p e̞ ɾ ɯ̟ᵝ ɕ i a̠
ペルシャ	p e̞ ɾ ɯ̟ᵝ ɕ a̠
ペルー	p e̞ ɾ ɯ̟ᵝː
ペロリスト	p e̞ ɾ o̞ ɾʲ i s ɨᵝ t o̞
ペン	p ẽ̞ ɴ
ペンギン	p ẽ̞ ŋʲ ɡʲ ĩ ɴ
ペンタゴン	p ẽ̞ n t a̠ ɡ õ̞ ɴ
ペンタスロン	p ẽ̞ n t a̠ s ɨᵝ ɾ õ̞ ɴ
ペンダント	p ẽ̞ n d ã̠ n t o̞
ペンチ	p ẽ̞ ɲ̟ t͡ɕ i
ペントハウス	p ẽ̞ n t o̞ h a̠ ɯ̟ᵝ s ɨᵝ
ペンネーム	p ẽ̞ n n e̞ː m ɯ̟ᵝ
ページ	p e̞ː ʑ i
ペーズリー	p e̞ː z ɨᵝ ɾʲ iː
ペーパーバック	p e̞ː p a̠ː b a̠ k̚ k ɯ̟ᵝ
ペーピン	p e̞ː pʲ ĩ ɴ
ホ	h o̞
ホイコーロー	h o̞ i k o̞ː ɾ o̞ː
ホウレンソウ	h o̞ː ɾ ẽ̞ ɰ̃ s o̞ː
ホエールウオッチング	h o̞ e̞ː ɾ ɯ̟ᵝ ɯ̟ᵝ o̞ t̚ t͡ɕ ĩ ŋ ɡ ɯ̟ᵝ
ホキ	h o̞ kʲ i
ホクシャ	h o̞ k ɯ̟̊ᵝ ɕ a̠
ホステス	h o̞ s ɨ̥ᵝ t e̞ s ɨᵝ
ホステル	h o̞ s ɨ̥ᵝ t e̞ ɾ ɯ̟ᵝ
ホスト	h o̞ s ɨ̥ᵝ t o̞
ホストファミリー	h o̞ s ɨ̥ᵝ t o̞ ɸ a̠ mʲ i ɾʲ iː
ホスフィン	h o̞ s ɨᵝ ɸʲ ĩ ɴ
ホチキス	h o̞ t͡ɕ i kʲ i s ɨᵝ
ホッケー	h o̞ k̚ k e̞ː
ホッチキス	h o̞ t̚ t͡ɕ i kʲ i s ɨᵝ
ホット	h o̞ t̚ t o̞
ホットク	h o̞ t̚ t o̞ k ɯ̟ᵝ
ホットケーキ	h o̞ t̚ t o̞ k e̞ː kʲ i
ホットソース	h o̞ t̚ t o̞ s o̞ː s ɨᵝ
ホットドッグ	h o̞ t̚ t o̞ d o̞ ɡ̚ ɡ̊ ɯ̟ᵝ
ホットパンツ	h o̞ t̚ t o̞ p ã̠ n t͡s ɨᵝ
ホットプレート	h o̞ t̚ t o̞ p ɯ̟ᵝ ɾ e̞ː t o̞
ホテル	h o̞ t e̞ ɾ ɯ̟ᵝ
ホニアラ	h o̞ ɲ̟ i a̠ ɾ a̠
ホバークラフト	h o̞ b a̠ː k ɯ̟ᵝ ɾ a̠ ɸ ɯ̟̊ᵝ t o̞
ホバート	h o̞ b a̠ː t o̞
ホメオスタシス	h o̞ m e̞ o̞ s ɨ̥ᵝ t a̠ ɕ i s ɨᵝ
ホモ	h o̞ m o̞
ホモサピエンス	h o̞ m o̞ s a̠ pʲ i ẽ̞ ɰ̃ s ɨᵝ
ホモビ	h o̞ m o̞ bʲ i
ホモビデオ	h o̞ m o̞ bʲ i d e̞ o̞
ホモフォビア	h o̞ m o̞ ɸ o̞ bʲ i a̠
ホラント	h o̞ ɾ ã̠ n t o̞
ホラー	h o̞ ɾ a̠ː
ホルスター	h o̞ ɾ ɯ̟ᵝ s ɨ̥ᵝ t a̠ː
ホルターネック	h o̞ ɾ ɯ̟ᵝ t a̠ː n e̞ k̚ k ɯ̟ᵝ
ホルマリン	h o̞ ɾ ɯ̟ᵝ m a̠ ɾʲ ĩ ɴ
ホルミウム	h o̞ ɾ ɯ̟ᵝ mʲ i ɯ̟ᵝ m ɯ̟ᵝ
ホルモン	h o̞ ɾ ɯ̟ᵝ m õ̞ ɴ
ホルン	h o̞ ɾ ɯ̟̃ᵝ ɴ
ホロスコープ	h o̞ ɾ o̞ s ɨ̥ᵝ k o̞ː p ɯ̟ᵝ
ホワイト	h o̞ ɰᵝ a̠ i t o̞
ホワイトクリスマス	h o̞ ɰᵝ a̠ i t o̞ k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨᵝ
ホワイトゴールド	h o̞ ɰᵝ a̠ i t o̞ ɡ o̞ː ɾ ɯ̟ᵝ d o̞
ホワイトシャツ	h o̞ ɰᵝ a̠ i t o̞ ɕ a̠ t͡s ɨᵝ
ホワイトデー	h o̞ ɰᵝ a̠ i t o̞ d e̞ː
ホワイトハウス	h o̞ ɰᵝ a̠ i t o̞ h a̠ ɯ̟ᵝ s ɨᵝ
ホワイトバランス	h o̞ ɰᵝ a̠ i t o̞ b a̠ ɾ ã̠ ɰ̃ s ɨᵝ
ホワイトホール	h o̞ ɰᵝ a̠ i t o̞ h o̞ː ɾ ɯ̟ᵝ
ホワイトリスト	h o̞ ɰᵝ a̠ i t o̞ ɾʲ i s ɨᵝ t o̞
ホンイーソー	h õ̞ ɰ̃ iː s o̞ː
ホンコン	h õ̞ ŋ k õ̞ ɴ
ホンチュン	h õ̞ ɲ̟ t͡ɕ ɨ̃ᵝ ɴ
ホーク	h o̞ː k ɯ̟ᵝ
ホース	h o̞ː s ɨᵝ
ホースラディッシュ	h o̞ː s ɨᵝ ɾ a̠ dʲ i ɕː ɯ̟ᵝ
ホーチミン	h o̞ː t͡ɕ i mʲ ĩ ɴ
ホーテイラオユイ	h o̞ː t e̞ː ɾ a̠ o̞ j ɯ̟ᵝ i
ホーマー	h o̞ː m a̠ː
ホーム	h o̞ː m ɯ̟ᵝ
ホームステイ	h o̞ː m ɯ̟ᵝ s ɨ̥ᵝ t e̞ː
ホームセンター	h o̞ː m ɯ̟ᵝ s ẽ̞ n t a̠ː
ホームディレクトリ	h o̞ː m ɯ̟ᵝ dʲ i ɾ e̞ k ɯ̟ᵝ t o̞ ɾʲ i
ホームドア	h o̞ː m ɯ̟ᵝ d o̞ a̠
ホームドラマ	h o̞ː m ɯ̟ᵝ d o̞ ɾ a̠ m a̠
ホームプレート	h o̞ː m ɯ̟ᵝ p ɯ̟ᵝ ɾ e̞ː t o̞
ホームベース	h o̞ː m ɯ̟ᵝ b e̞ː s ɨᵝ
ホームページ	h o̞ː m ɯ̟ᵝ p e̞ː ʑ i
ホームラン	h o̞ː m ɯ̟ᵝ ɾ ã̠ ɴ
ホームルーム	h o̞ː m ɯ̟ᵝ ɾ ɯ̟ᵝː m ɯ̟ᵝ
ホーラ	h o̞ː ɾ a̠
ホール	h o̞ː ɾ ɯ̟ᵝ
ボ	b o̞
ボイス	b o̞ i s ɨᵝ
ボイスチェンジャー	b o̞ i s ɨᵝ t͡ɕ ẽ̞ ɲ̟ d͡ʑ a̠ː
ボイストレーナー	b o̞ i s ɨᵝ t o̞ ɾ e̞ː n a̠ː
ボイストレーニング	b o̞ i s ɨᵝ t o̞ ɾ e̞ː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
ボイスパーカッション	b o̞ i s ɨᵝ p a̠ː k a̠ ɕː õ̞ ɴ
ボイスメール	b o̞ i s ɨᵝ m e̞ː ɾ ɯ̟ᵝ
ボイチェン	b o̞ i t͡ɕ ẽ̞ ɴ
ボイトレ	b o̞ i t o̞ ɾ e̞
ボイパ	b o̞ i p a̠
ボイン	b o̞ ĩ ɴ
ボウラー	b o̞ː ɾ a̠ː
ボウリング	b o̞ː ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
ボウリングボール	b o̞ː ɾʲ ĩ ŋ ɡ ɯ̟ᵝ b o̞ː ɾ ɯ̟ᵝ
ボウル	b o̞ː ɾ ɯ̟ᵝ
ボカロ	b o̞ k a̠ ɾ o̞
ボカロピー	b o̞ k a̠ ɾ o̞ pʲ iː
ボカン	b o̞ k ã̠ ɴ
ボクサー	b o̞ k ɯ̟̊ᵝ s a̠ː
ボクシング	b o̞ k ɯ̟̊ᵝ ɕ ĩ ŋ ɡ ɯ̟ᵝ
ボクシンググローブ	b o̞ k ɯ̟ᵝ ɕ ĩ ŋ ɡ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ o̞ː b ɯ̟ᵝ
ボコーダー	b o̞ k o̞ː d a̠ː
ボゴタ	b o̞ ɡ o̞ t a̠
ボストン	b o̞ s ɨ̥ᵝ t õ̞ ɴ
ボソン	b o̞ s õ̞ ɴ
ボタン	b o̞ t ã̠ ɴ
ボツワナ	b o̞ t͡s ɨ̥ᵝ ɰᵝ a̠ n a̠
ボディスーツ	b o̞ dʲ i s ɨᵝː t͡s ɨᵝ
ボディビル	b o̞ dʲ i bʲ i ɾ ɯ̟ᵝ
ボディー	b o̞ dʲ iː
ボディーランゲージ	b o̞ dʲ iː ɾ ã̠ ŋ ɡ e̞ː ʑ i
ボトルキャップ	b o̞ t o̞ ɾ ɯ̟ᵝ kʲ a̠ p̚ p ɯ̟ᵝ
ボトルキープ	b o̞ t o̞ ɾ ɯ̟ᵝ kʲ iː p ɯ̟ᵝ
ボトルグリーン	b o̞ t o̞ ɾ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾʲ ĩː ɴ
