அ	ʌ
பாற்பசு	p aː r p a s u
பாலாறு	p aː l̪ aː r u
பாலுறவு	p aː l̪ u r a ʋ u
பாலூட்டி	p aː l̪ uː ʈː i
பாலைவனம்	p aː l̪ a ɪ̯ ʋ a n a m
பால்	p aː l̪
பாவம்	p aː ʋ a m
பாவிப்பு	p aː ʋ i pː u
பாஷ்கொர்டொஸ்தான்	p aː ʂ k o ɾ̪ ʈ o s t̪ aː n
பாஷ்தூ	p aː ʂ t̪ uː
பிகு	p i ɡ u
பிகுபண்ணுதல்	p i ɡ u b a ɳː u d̪ a l̪
பிகுப்பட்டை	p i ɡ u pː a ʈː a ɪ̯
பிகுவேற்றுதல்	p i ɡ u ʋ eː ʈː ɾ u d̪ a l̪
பிங்கதிருட்டி	p i ŋ ɡ a d̪ i ɾ̪ u ʈː i
பிங்கம்	p i ŋ ɡ a m
பிங்கலகேசி	p i ŋ ɡ a l̪ a ɡ eː s i
பிங்கலம்	p i ŋ ɡ a l̪ a m
பிங்கலை	p i ŋ ɡ a l̪ a ɪ̯
பிசகுசொல்லுதல்	p i s a ɡ u s o l̪ː u d̪ a l̪
பிசகுதல்	p i s a ɡ u d̪ a l̪
பிசகுநாறுதல்	p i s a ɡ u n̪ aː r u d̪ a l̪
பிசக்குதல்	p i s a kː u d̪ a l̪
பிசங்கம்	p i s a ŋ ɡ a m
பிசங்கற்சீலை	p i s a ŋ ɡ a r t͡ʃ iː l̪ a ɪ̯
பிசங்குதல்	p i s a ŋ ɡ u d̪ a l̪
பிசண்டம்	p i s a ɳ ɖ a m
பிசண்டிலன்	p i s a ɳ ɖ i l̪ a n
பிசனம்	p i s a n a m
பிசம்	p i s a m
பிசறுதல்	p i s a r u d̪ a l̪
பிசாசக்கை	p i s aː s a kː a ɪ̯
பிசாசடித்தல்	p i s aː s a ɖ i t̪ː a l̪
பிசாசன்	p i s aː s a n
பிசாசர்	p i s aː s a ɾ̪
பிசாசாடுதல்	p i s aː s aː ɖ u d̪ a l̪
பிசாசுபிடித்தல்	p i s aː s u b i ɖ i t̪ː a l̪
பிசாத்து	p i s aː t̪ː u
பிசான்	p i s aː n
பிசி	p i s i
பிசிதாசனர்	p i s i d̪ aː s a n a ɾ̪
பிசினரக்கு	p i s i n a ɾ̪ a kː u
பிசினரிசி	p i s i n a ɾ̪ i s i
பிசினி	p i s i n i
பிசின்	p i s i n
பிசின்பட்டை	p i s i n p a ʈː a ɪ̯
பிசிர்தல்	p i s i ɾ̪ t̪ a l̪
பிசிறுலாடு	p i s i r u l̪ aː ɖ u
பிசுகுதல்	p i s u ɡ u d̪ a l̪
பிசுக்கோத்து	p i s u kː oː t̪ː u
பிசுனம்	p i s u n a m
பிசுபிசுத்தவன்	p i s u b i s u t̪ː a ʋ a n
பிசுபிசெனல்	p i s u b i s e n a l̪
பிசுமந்தச்சூரணம்	p i s u m a n̪ d̪ a t͡ʃː uː ɾ̪ a ɳ a m
பிச்சு	p i t͡ʃː u
பிச்சுப்பை	p i t͡ʃː u pː a ɪ̯
பித்தப்பை	p i t̪ː a pː a ɪ̯
பித்தம்	p i t̪ː a m
பின்	p i n
பின்னாலே	p i nː aː l̪ eː
பின்னிரக்கம்	p i nː i ɾ̪ a kː a m
பின்பு	p i n p u
பின்மொழிநிலையல்	p i n m o ɻ i n̪ i l̪ a ɪ̯ j a l̪
பின்லாந்து	p i n l̪ aː n̪ d̪ u
பிரகாரம்	p i ɾ̪ a ɡ aː ɾ̪ a m
பிரசங்கம்	p i ɾ̪ a s a ŋ ɡ a m
பிரபஞ்சம்	p i ɾ̪ a b a ɲ d͡ʑ a m
பிரபந்தம்	p i ɾ̪ a b a n̪ d̪ a m
பிரபை	p i ɾ̪ a b a ɪ̯
பிரமாதமான	p i ɾ̪ a m aː d̪ a m aː n a
பிராயம்	p i ɾ̪ aː j a m
பிரிவு	p i ɾ̪ i ʋ u
பிருதிவி	p i ɾ̪ u d̪ i ʋ i
பிறந்தை	p i r a n̪ d̪ a ɪ̯
பிறப்பு	p i r a pː u
பிறப்புவழி	p i r a pː u ʋ a ɻ i
பிறவி	p i r a ʋ i
பிறவிக்கடல்	p i r a ʋ i kː a ɖ a l̪
பிறவிக்குணம்	p i r a ʋ i kː u ɳ a m
பிறவிக்குருடன்	p i r a ʋ i kː u ɾ̪ u ɖ a n
பிறவிப்பயன்	p i r a ʋ i pː a j a n
பிறிதின்கிழமை	p i r i d̪ i n k i ɻ a m a ɪ̯
பிறிதுசாபம்	p i r i d̪ u s aː b a m
பிறை	p i r a ɪ̯
பிற்பகல்	p i r p a ɡ a l̪
பிற்பக்கம்	p i r p a kː a m
பிற்பாடர்	p i r p aː ɖ a ɾ̪
பீட்ரூட்	p iː ʈ ɾ̪ uː ʈ
பீர்க்கங்காய்	p iː ɾ̪ kː a ŋ ɡ aː j
பீர்க்கம்	p iː ɾ̪ kː a m
புகை	p u ɡ a ɪ̯
புசிப்பு	p u s i pː u
புடவை	p u ɖ a ʋ a ɪ̯
புட்டி	p u ʈː i
புட்பம்	p u ʈ p a m
புட்பாகம்	p u ʈ p aː ɡ a m
புணர்ச்சி	p u ɳ a ɾ̪ t͡ʃː i
புண்டை	p u ɳ ɖ a ɪ̯
புதன்	p u d̪ a n
புதிய	p u d̪ i j a
புது	p u d̪ u
புதுச்சேரி	p u d̪ u t͡ʃː eː ɾ̪ i
புதுமை	p u d̪ u m a ɪ̯
புத்தகம்	p u t̪ː a ɡ a m
புத்தன்	p u t̪ː a n
புத்தாண்டு	p u t̪ː aː ɳ ɖ u
புயல்	p u j a l̪
புரவு	p u ɾ̪ a ʋ u
புரியாத்தியா	p u ɾ̪ i j aː t̪ː i j aː
புரிவு	p u ɾ̪ i ʋ u
புருவம்	p u ɾ̪ u ʋ a m
புறம்	p u r a m
புறவு	p u r a ʋ u
புறா	p u r aː
புற்றுநோய்	p u ʈː ɾ u n̪ oː j
புலமை	p u l̪ a m a ɪ̯
புலவர்	p u l̪ a ʋ a ɾ̪
புலி	p u l̪ i
புளி	p u ɭ i
புள்ளி	p u ɭː i
புழு	p u ɻ u
புஷபராகம்	p u ʂ a b a ɾ̪ aː ɡ a m
புஸ்தகம்	p u s t̪ a ɡ a m
பூ	p uː
பூகண்டம்	p uː ɡ a ɳ ɖ a m
பூச்சி	p uː t͡ʃː i
பூண்டு	p uː ɳ ɖ u
பூனை	p uː n a ɪ̯
பூமி	p uː m i
பூரணமி	p uː ɾ̪ a ɳ a m i
பெட்டி	p e ʈː i
பெண்	p e ɳ
பெண்கரு	p e ɳ k a ɾ̪ u
பெண்கள்	p e ɳ k a ɭ
பெண்குறி	p e ɳ k u r i
பெண்சனம்	p e ɳ t͡ʃ a n a m
பெண்டாட்டி	p e ɳ ɖ aː ʈː i
பெண்பால்	p e ɳ p aː l̪
பெயரெச்சம்	p e j a ɾ̪ e t͡ʃː a m
பெயர்	p e j a ɾ̪
பெயர்க்கு	p e j a ɾ̪ kː u
பெயர்ச்சி	p e j a ɾ̪ t͡ʃː i
பெயர்த்திரிசொல்	p e j a ɾ̪ t̪ː i ɾ̪ i s o l̪
பெயர்த்துரை	p e j a ɾ̪ t̪ː u ɾ̪ a ɪ̯
பெயர்புறம்	p e j a ɾ̪ p u r a m
பெயர்ப்படு	p e j a ɾ̪ pː a ɖ u
பெயர்ப்பு	p e j a ɾ̪ pː u
பெயர்வழி	p e j a ɾ̪ ʋ a ɻ i
பெயர்வேற்றுமை	p e j a ɾ̪ ʋ eː ʈː ɾ u m a ɪ̯
பெயலை	p e j a l̪ a ɪ̯
பெய்துரை	p e j t̪ u ɾ̪ a ɪ̯
பெரிய	p e ɾ̪ i j a
பெரியவெள்ளிக்கிழமை	p e ɾ̪ i j a ʋ e ɭː i kː i ɻ a m a ɪ̯
பெரியார்	p e ɾ̪ i j aː ɾ̪
பெரியோன்	p e ɾ̪ i j oː n
பெருகு	p e ɾ̪ u ɡ u
பெருக்கம்	p e ɾ̪ u kː a m
பெருக்கல்	p e ɾ̪ u kː a l̪
பெருக்கல்வாய்பாடு	p e ɾ̪ u kː a l̪ ʋ aː j p aː ɖ u
பெருக்கு	p e ɾ̪ u kː u
பெருங்காயம்	p e ɾ̪ u ŋ ɡ aː j a m
பெருச்சாளி	p e ɾ̪ u t͡ʃː aː ɭ i
பெர்லின்	p e ɾ̪ l̪ i n
பெளதிகம்	p e ɭ a d̪ i ɡ a m
பேசு	p eː s u
பேச்சாளர்	p eː t͡ʃː aː ɭ a ɾ̪
பேச்சு	p eː t͡ʃː u
பேச்சுவார்த்தை	p eː t͡ʃː u ʋ aː ɾ̪ t̪ː a ɪ̯
பேதிமருந்து	p eː d̪ i m a ɾ̪ u n̪ d̪ u
பேனா	p eː n aː
பேய்	p eː j
பேரருவி	p eː ɾ̪ a ɾ̪ u ʋ i
பேராசிரியர்	p eː ɾ̪ aː s i ɾ̪ i j a ɾ̪
பேராலயம்	p eː ɾ̪ aː l̪ a j a m
பேரினம்	p eː ɾ̪ i n a m
பை	p a ɪ̯
பைவன்	p a ɪ̯ ʋ a n
பொந்து	p o n̪ d̪ u
பொன்	p o n
பொம்மை	p o mː a ɪ̯
பொய்யன்	p o jː a n
பொருட்பெயர்	p o ɾ̪ u ʈ p e j a ɾ̪
பொருத்தம்	p o ɾ̪ u t̪ː a m
பொருளட்டவணை	p o ɾ̪ u ɭ a ʈː a ʋ a ɳ a ɪ̯
பொருள்	p o ɾ̪ u ɭ
பொறியாளர்	p o r i j aː ɭ a ɾ̪
பொறுப்பு	p o r u pː u
பொறுமை	p o r u m a ɪ̯
பொலிவு	p o l̪ i ʋ u
பொழில்	p o ɻ i l̪
போ	p oː
போக்குவரத்து	p oː kː u ʋ a ɾ̪ a t̪ː u
போது	p oː d̪ u
போதை	p oː d̪ a ɪ̯
போதைப்பழக்கம்	p oː d̪ a ɪ̯ pː a ɻ a kː a m
போதைப்பொருள்	p oː d̪ a ɪ̯ pː o ɾ̪ u ɭ
போதைமருந்து	p oː d̪ a ɪ̯ m a ɾ̪ u n̪ d̪ u
போனகம்	p oː n a ɡ a m
போன்றீயம்	p oː n r iː j a m
போபால்	p oː b aː l̪
போராட்டம்	p oː ɾ̪ aː ʈː a m
போர்	p oː ɾ̪
போறை	p oː r a ɪ̯
போற்று	p oː ʈː ɾ u
போற்றுநர்	p oː ʈː ɾ u n̪ a ɾ̪
போலிஷ்	p oː l̪ i ʂ
ம	m a
மக	m a ɡ a
மகன்	m a ɡ a n
மகரந்தம்	m a ɡ a ɾ̪ a n̪ d̪ a m
மகளிர்	m a ɡ a ɭ i ɾ̪
மகள்	m a ɡ a ɭ
மகிமை	m a ɡ i m a ɪ̯
மகிழம்	m a ɡ i ɻ a m
மகிழ்	m a ɡ i ɻ
மகிழ்ச்சி	m a ɡ i ɻ t͡ʃː i
மக்களாட்சி	m a kː a ɭ aː ʈ t͡ʃ i
மங்குசுத்தான்	m a ŋ ɡ u s u t̪ː aː n
மஞ்சன்	m a ɲ d͡ʑ a n
மஞ்சள்	m a ɲ d͡ʑ a ɭ
மஞ்சள்முள்ளங்கி	m a ɲ d͡ʑ a ɭ m u ɭː a ŋ ɡ i
மஞ்ஞை	m a ɲː a ɪ̯
மடிக்கணினி	m a ɖ i kː a ɳ i n i
மடுத்தல்	m a ɖ u t̪ː a l̪
மட்டு	m a ʈː u
மணல்	m a ɳ a l̪
மணி	m a ɳ i
மணிக்கட்டு	m a ɳ i kː a ʈː u
மணித்தக்காளி	m a ɳ i t̪ː a kː aː ɭ i
மண்	m a ɳ
மண்டபம்	m a ɳ ɖ a b a m
மண்டலம்	m a ɳ ɖ a l̪ a m
மண்வளம்	m a ɳ ʋ a ɭ a m
மதம்	m a d̪ a m
மதறாஸ்	m a d̪ a r aː s
மதி	m a d̪ i
மதிக்கத்தக்க	m a d̪ i kː a t̪ː a kː a
மதிநுட்பமிக்க	m a d̪ i n̪ u ʈ p a m i kː a
மதிப்பு	m a d̪ i pː u
மதியம்	m a d̪ i j a m
மதிராஸ்	m a d̪ i ɾ̪ aː s
மத்ரித்	m a t̪ ɾ̪ i t̪
மந்தினி	m a n̪ d̪ i n i
மந்திரகூர்மை	m a n̪ d̪ i ɾ̪ a ɡ uː ɾ̪ m a ɪ̯
மந்திரர்	m a n̪ d̪ i ɾ̪ a ɾ̪
மந்திரி	m a n̪ d̪ i ɾ̪ i
மந்து	m a n̪ d̪ u
மந்துரை	m a n̪ d̪ u ɾ̪ a ɪ̯
மந்தை	m a n̪ d̪ a ɪ̯
மந்தைவெளி	m a n̪ d̪ a ɪ̯ ʋ e ɭ i
மனசு	m a n a s u
மனநலம்	m a n a n̪ a l̪ a m
மனப்பாங்கு	m a n a pː aː ŋ ɡ u
மனப்போக்கு	m a n a pː oː kː u
மனம்	m a n a m
மனிதன்	m a n i d̪ a n
மனிதவளம்	m a n i d̪ a ʋ a ɭ a m
மனிதவியல்	m a n i d̪ a ʋ i j a l̪
மனை	m a n a ɪ̯
மனைவி	m a n a ɪ̯ ʋ i
மனோபாவம்	m a n oː b aː ʋ a m
மன்னிப்பு	m a nː i pː u
மன்றம்	m a n r a m
மம்மர்	m a mː a ɾ̪
மம்மல்	m a mː a l̪
மயக்கடி	m a j a kː a ɖ i
மயடம்	m a j a ɖ a m
மயண்டை	m a j a ɳ ɖ a ɪ̯
மயர்வு	m a j a ɾ̪ ʋ u
மயல்	m a j a l̪
மயிர்	m a j i ɾ̪
மயில்	m a j i l̪
மரக்கட்டை	m a ɾ̪ a kː a ʈː a ɪ̯
மரக்கலம்	m a ɾ̪ a kː a l̪ a m
மரத்தக்காளி	m a ɾ̪ a t̪ː a kː aː ɭ i
மரம்	m a ɾ̪ a m
மரவள்ளி	m a ɾ̪ a ʋ a ɭː i
மருட்டுதல்	m a ɾ̪ u ʈː u d̪ a l̪
மருத்துவம்	m a ɾ̪ u t̪ː u ʋ a m
மருத்துவர்	m a ɾ̪ u t̪ː u ʋ a ɾ̪
மருந்தகம்	m a ɾ̪ u n̪ d̪ a ɡ a m
மருந்தாளர்	m a ɾ̪ u n̪ d̪ aː ɭ a ɾ̪
மருந்து	m a ɾ̪ u n̪ d̪ u
மருந்துக்கடை	m a ɾ̪ u n̪ d̪ u kː a ɖ a ɪ̯
மர்தோவியா	m a ɾ̪ t̪ oː ʋ i j aː
மறுக்கம்	m a r u kː a m
மறுசுழற்சி	m a r u s u ɻ a r t͡ʃ i
மறுபரிசீலனை	m a r u b a ɾ̪ i s iː l̪ a n a ɪ̯
மறை	m a r a ɪ̯
மற்றும்	m a ʈː ɾ u m
மலச்சிக்கல்	m a l̪ a t͡ʃː i kː a l̪
மலம்	m a l̪ a m
மலர்	m a l̪ a ɾ̪
மலர்க்கடை	m a l̪ a ɾ̪ kː a ɖ a ɪ̯
மலர்ச்சி	m a l̪ a ɾ̪ t͡ʃː i
மலேசியா	m a l̪ eː s i j aː
மலை	m a l̪ a ɪ̯
மலையாளம்	m a l̪ a ɪ̯ j aː ɭ a m
மழை	m a ɻ a ɪ̯
மழைக்காலம்	m a ɻ a ɪ̯ kː aː l̪ a m
மழைத்துளி	m a ɻ a ɪ̯ t̪ː u ɭ i
மழைநீர்	m a ɻ a ɪ̯ n̪ iː ɾ̪
மஹால்	m a h aː l̪
மா	m aː
மாங்காய்	m aː ŋ ɡ aː j
மாங்கிஸ்	m aː ŋ ɡ i s
மாசம்	m aː s a m
மாசவிடாய்	m aː s a ʋ i ɖ aː j
மாச்சல்	m aː t͡ʃː a l̪
மாடம்	m aː ɖ a m
மாடு	m aː ɖ u
மாட்டிடையன்	m aː ʈː i ɖ a ɪ̯ j a n
மாட்டிறைச்சி	m aː ʈː i r a ɪ̯ t͡ʃː i
மாட்டு	m aː ʈː u
மாட்டுக்கிடை	m aː ʈː u kː i ɖ a ɪ̯
மாணவன்	m aː ɳ a ʋ a n
மாணாக்கி	m aː ɳ aː kː i
மாண்	m aː ɳ
மாண்டல்	m aː ɳ ɖ a l̪
மாண்பு	m aː ɳ p u
மாதனம்	m aː d̪ a n a m
மாதம்	m aː d̪ a m
மாதறி	m aː d̪ a r i
மாதிரி	m aː d̪ i ɾ̪ i
மாதிரு	m aː d̪ i ɾ̪ u
மாதுபாகம்	m aː d̪ u b aː ɡ a m
மாத்து	m aː t̪ː u
மாநாடு	m aː n̪ aː ɖ u
மாநிலம்	m aː n̪ i l̪ a m
மாந்தர்	m aː n̪ d̪ a ɾ̪
மான்	m aː n
மாப்பிசின்	m aː pː i s i n
மாப்பு	m aː pː u
மாமரம்	m aː m a ɾ̪ a m
மாமிசம்	m aː m i s a m
மாமியார்	m aː m i j aː ɾ̪
மாம்பழம்	m aː m b a ɻ a m
மாய்ச்சி	m aː j t͡ʃː i
மாரடைப்பு	m aː ɾ̪ a ɖ a ɪ̯ pː u
மாரிகாலம்	m aː ɾ̪ i ɡ aː l̪ a m
மார்	m aː ɾ̪
மார்பகம்	m aː ɾ̪ p a ɡ a m
மாற்றுமருந்து	m aː ʈː ɾ u m a ɾ̪ u n̪ d̪ u
மாலை	m aː l̪ a ɪ̯
மாளிகை	m aː ɭ i ɡ a ɪ̯
மாவு	m aː ʋ u
மிக	m i ɡ a
மிகவும்	m i ɡ a ʋ u m
மிகுதல்	m i ɡ u d̪ a l̪
மிகுதியும்	m i ɡ u d̪ i j u m
மிகுந்த	m i ɡ u n̪ d̪ a
மிகை	m i ɡ a ɪ̯
மிதழ்	m i d̪ a ɻ
மிதவை	m i d̪ a ʋ a ɪ̯
மிதியடி	m i d̪ i j a ɖ i
மின்சாரம்	m i n t͡ʃ aː ɾ̪ a m
மின்னணு	m i nː a ɳ u
மிருகம்	m i ɾ̪ u ɡ a m
மிருதங்கம்	m i ɾ̪ u d̪ a ŋ ɡ a m
மிளகாய்	m i ɭ a ɡ aː j
மிளகு	m i ɭ a ɡ u
மீக்கணினி	m iː kː a ɳ i n i
மீக்கூற்றம்	m iː kː uː ʈː ɾ a m
மீண்டும்	m iː ɳ ɖ u m
மீனவர்	m iː n a ʋ a ɾ̪
மீன்	m iː n
மீப்பு	m iː pː u
மீள்	m iː ɭ
முகக்குறி	m u ɡ a kː u r i
முகம்	m u ɡ a m
முகை	m u ɡ a ɪ̯
முச்சம்	m u t͡ʃː a m
முடி	m u ɖ i
முடியாட்சி	m u ɖ i j aː ʈ t͡ʃ i
முட்டாள்	m u ʈː aː ɭ
முட்டு	m u ʈː u
முட்டுக்கால்	m u ʈː u kː aː l̪
முட்டை	m u ʈː a ɪ̯
முதன்மை	m u d̪ a n m a ɪ̯
முதலாளி	m u d̪ a l̪ aː ɭ i
முதலீடு	m u d̪ a l̪ iː ɖ u
முதலுதவி	m u d̪ a l̪ u d̪ a ʋ i
முதலை	m u d̪ a l̪ a ɪ̯
முதிர்ச்சி	m u d̪ i ɾ̪ t͡ʃː i
முதுமை	m u d̪ u m a ɪ̯
முன்	m u n
முன்னடியார்	m u nː a ɖ i j aː ɾ̪
முன்னடியில்	m u nː a ɖ i j i l̪
முன்னதாக	m u nː a d̪ aː ɡ a
முன்னர்	m u nː a ɾ̪
முன்னாடி	m u nː aː ɖ i
முன்னுற	m u nː u r a
முன்னே	m u nː eː
முன்னேற்றம்	m u nː eː ʈː ɾ a m
முன்னொட்டு	m u nː o ʈː u
முன்மாதிரி	m u n m aː d̪ i ɾ̪ i
முன்முகனை	m u n m u ɡ a n a ɪ̯
முன்றுறை	m u n r u r a ɪ̯
முப்பால்	m u pː aː l̪
முப்புள்ளி	m u pː u ɭː i
முப்புவனம்	m u pː u ʋ a n a m
மும்பை	m u m b a ɪ̯
முயல்	m u j a l̪
முரசு	m u ɾ̪ a s u
முரி	m u ɾ̪ i
முருங்கை	m u ɾ̪ u ŋ ɡ a ɪ̯
முறுக்கு	m u r u kː u
முறையீடு	m u r a ɪ̯ j iː ɖ u
முற்றிலும்	m u ʈː ɾ i l̪ u m
முலை	m u l̪ a ɪ̯
முலையூட்டி	m u l̪ a ɪ̯ j uː ʈː i
முளரி	m u ɭ a ɾ̪ i
முளைக்கீரை	m u ɭ a ɪ̯ kː iː ɾ̪ a ɪ̯
முள்நாறிப்	m u ɭ n̪ aː r i p
முள்ளங்கி	m u ɭː a ŋ ɡ i
முள்ளங்கிழங்கு	m u ɭː a ŋ ɡ i ɻ a ŋ ɡ u
முழங்கால்	m u ɻ a ŋ ɡ aː l̪
முழுமை	m u ɻ u m a ɪ̯
முழுவதும்	m u ɻ u ʋ a d̪ u m
முழை	m u ɻ a ɪ̯
முஸ்லிம்	m u s l̪ i m
முஸ்லீம்	m u s l̪ iː m
மூக்கண்ணாடி	m uː kː a ɳː aː ɖ i
மூக்கன்	m uː kː a n
மூக்கு	m uː kː u
மூக்குத்தி	m uː kː u t̪ː i
மூங்கில்	m uː ŋ ɡ i l̪
மூச்சு	m uː t͡ʃː u
மூடு	m uː ɖ u
மூடுபனி	m uː ɖ u b a n i
மூதாய்	m uː d̪ aː j
மூது	m uː d̪ u
மூன்று	m uː n r u
மூர்ச்சனை	m uː ɾ̪ t͡ʃː a n a ɪ̯
மூலக்கூறு	m uː l̪ a kː uː r u
மூலதனம்	m uː l̪ a d̪ a n a m
மூலம்	m uː l̪ a m
மூளை	m uː ɭ a ɪ̯
மெட்டி	m e ʈː i
மெட்ராஸ்	m e ʈ ɾ̪ aː s
மென்தங்கம்	m e n t̪ a ŋ ɡ a m
மென்பொருள்	m e n p o ɾ̪ u ɭ
மென்மை	m e n m a ɪ̯
மென்வெள்ளி	m e n ʋ e ɭː i
மெய்	m e j
மெய்ப்பாட்டிசைக்குறி	m e j pː aː ʈː i s a ɪ̯ kː u r i
மெய்யியல்	m e jː i j a l̪
மெய்யெழுத்து	m e jː e ɻ u t̪ː u
மெல்	m e l̪
மெல்லினம்	m e l̪ː i n a m
மெல்லிய	m e l̪ː i j a
மேகம்	m eː ɡ a m
மேசை	m eː s a ɪ̯
மேஜை	m eː d͡ʑ a ɪ̯
மேம்பாடு	m eː m b aː ɖ u
மேம்பாலம்	m eː m b aː l̪ a m
மேயல்	m eː j a l̪
மேய்ச்சல்	m eː j t͡ʃː a l̪
மேய்ப்பன்	m eː j pː a n
மேய்ப்பு	m eː j pː u
மேரை	m eː ɾ̪ a ɪ̯
மேற்கு	m eː r k u
மேற்கூரை	m eː r k uː ɾ̪ a ɪ̯
மேற்பார்வை	m eː r p aː ɾ̪ ʋ a ɪ̯
மேற்றளம்	m eː ʈː ɾ a ɭ a m
மேலாண்மை	m eː l̪ aː ɳ m a ɪ̯
மேலும்	m eː l̪ u m
மேல்	m eː l̪
மை	m a ɪ̯
மைதா	m a ɪ̯ t̪ aː
மொட்டு	m o ʈː u
மொய்	m o j
மொய்ம்பு	m o j m b u
மொய்யற்சன்னி	m o jː a r t͡ʃ a nː i
மொழி	m o ɻ i
மொழிபெயர்ப்பு	m o ɻ i b e j a ɾ̪ pː u
மொழியியல்	m o ɻ i j i j a l̪
மோசம்	m oː s a m
மோடு	m oː ɖ u
மோதிரம்	m oː d̪ i ɾ̪ a m
ய	j a
யமன்	j a m a n
யானை	j aː n a ɪ̯
யாமம்	j aː m a m
யார்	j aː ɾ̪
யாழ்	j aː ɻ
யாவரும்	j aː ʋ a ɾ̪ u m
யுத்தம்	j u t̪ː a m
யூதம்	j uː d̪ a m
யோசனை	j oː s a n a ɪ̯
யோனி	j oː n i
ர	ɾ̪ a
ரகசியம்	ɾ̪ a ɡ a s i j a m
ரசம்	ɾ̪ a s a m
ரத்தினம்	ɾ̪ a t̪ː i n a m
ரப்பர்	ɾ̪ a pː a ɾ̪
ரம்பம்	ɾ̪ a m b a m
ரவை	ɾ̪ a ʋ a ɪ̯
ரஷ்யா	ɾ̪ a ʂ j aː
ராஜஸ்தான்	ɾ̪ aː d͡ʑ a s t̪ aː n
ராஜீயவாதி	ɾ̪ aː d͡ʑ iː j a ʋ aː d̪ i
ரிஷபம்	ɾ̪ i ʂ a b a m
ரிஷி	ɾ̪ i ʂ i
ருசரகம்	ɾ̪ u s a ɾ̪ a ɡ a m
ருத்திரசடை	ɾ̪ u t̪ː i ɾ̪ a s a ɖ a ɪ̯
ருப்புலக்கை	ɾ̪ u pː u l̪ a kː a ɪ̯
ரும்மான்	ɾ̪ u mː aː n
ரூபாய்	ɾ̪ uː b aː j
ரேவு	ɾ̪ eː ʋ u
ரொட்டி	ɾ̪ o ʈː i
ரொஷ்டு	ɾ̪ o ʂ ʈ u
ரோகம்	ɾ̪ oː ɡ a m
ரோஜ்	ɾ̪ oː d͡ʑ
ரோஜ்கார்	ɾ̪ oː d͡ʑ k aː ɾ̪
ரோதம்	ɾ̪ oː d̪ a m
ரோமம்	ɾ̪ oː m a m
ரோம்	ɾ̪ oː m
ற	r a
ல	l̪ a
லகரி	l̪ a ɡ a ɾ̪ i
லக்குவா	l̪ a kː u ʋ aː
லக்ஷம்	l̪ a k ʂ a m
லங்கர்	l̪ a ŋ ɡ a ɾ̪
லடாய்	l̪ a ɖ aː j
லட்சம்	l̪ a ʈ t͡ʃ a m
லட்டு	l̪ a ʈː u
லதி	l̪ a d̪ i
லதை	l̪ a d̪ a ɪ̯
லத்தாடு	l̪ a t̪ː aː ɖ u
லாடம்	l̪ aː ɖ a m
லிஸ்பன்	l̪ i s p a n
லீக்டன்ஸ்டைன்	l̪ iː k ʈ a n s ʈ a ɪ̯ n
லுங்கி	l̪ u ŋ ɡ i
லோகம்	l̪ oː ɡ a m
ள	ɭ a
ழ	ɻ a
வ	ʋ a
வகு	ʋ a ɡ u
வகுத்தல்	ʋ a ɡ u t̪ː a l̪
வகை	ʋ a ɡ a ɪ̯
வக்கணம்	ʋ a kː a ɳ a m
வக்கிரகட்கம்	ʋ a kː i ɾ̪ a ɡ a ʈ k a m
வங்காளதேசம்	ʋ a ŋ ɡ aː ɭ a d̪ eː s a m
வங்காளம்	ʋ a ŋ ɡ aː ɭ a m
வங்கி	ʋ a ŋ ɡ i
வங்கிக்கடன்	ʋ a ŋ ɡ i kː a ɖ a n
வங்கிக்கணக்கு	ʋ a ŋ ɡ i kː a ɳ a kː u
வடக்கு	ʋ a ɖ a kː u
வடிவம்	ʋ a ɖ i ʋ a m
வடிவியல்	ʋ a ɖ i ʋ i j a l̪
வடை	ʋ a ɖ a ɪ̯
வடைப்பருப்பு	ʋ a ɖ a ɪ̯ pː a ɾ̪ u pː u
வணக்கம்	ʋ a ɳ a kː a m
வண்டி	ʋ a ɳ ɖ i
வண்டு	ʋ a ɳ ɖ u
வண்ணத்துப்பூச்சி	ʋ a ɳː a t̪ː u pː uː t͡ʃː i
வண்ணாத்திப்பூச்சி	ʋ a ɳː aː t̪ː i pː uː t͡ʃː i
வதி	ʋ a d̪ i
வனம்	ʋ a n a m
வன்தங்கம்	ʋ a n t̪ a ŋ ɡ a m
வன்பால்	ʋ a n p aː l̪
வன்பொருள்	ʋ a n p o ɾ̪ u ɭ
வன்முறை	ʋ a n m u r a ɪ̯
வன்மை	ʋ a n m a ɪ̯
வன்வெள்ளி	ʋ a n ʋ e ɭː i
வம்சம்	ʋ a m t͡ʃ a m
வயல்	ʋ a j a l̪
வரகு	ʋ a ɾ̪ a ɡ u
வரடம்	ʋ a ɾ̪ a ɖ a m
வரணம்	ʋ a ɾ̪ a ɳ a m
வரத்து	ʋ a ɾ̪ a t̪ː u
வரன்முறை	ʋ a ɾ̪ a n m u r a ɪ̯
வரப்பு	ʋ a ɾ̪ a pː u
வரம்	ʋ a ɾ̪ a m
வரம்பு	ʋ a ɾ̪ a m b u
வரலாறு	ʋ a ɾ̪ a l̪ aː r u
வரலாற்று	ʋ a ɾ̪ a l̪ aː ʈː ɾ u
வரவு	ʋ a ɾ̪ a ʋ u
வரவேற்கிறேன்	ʋ a ɾ̪ a ʋ eː r k i r eː n
