't	t
rekisitos	ɾ ɛ k i s i t o s
relo	ɾ ɛ l o
remigio	ɾ ɛ m i h j o
remulla	ɾ ɛ m u l l a
reodica	ɾ ɛ o d i k a
reperendum	ɾ ɛ p ɛ ɾ ɛ n d u m
resistensya	ɾ ɛ s i s t ɛ n s j a
responsable	ɾ ɛ s p o n s a b l ɛ
resurreccion	ɾ ɛ s u ɾ ɛ k s j o n
ricafort	ɾ i k a p o ɾ t
ricarte	ɾ i k a ɾ t ɛ
riles	ɾ i l ɛ s
rin	ɾ i n
rivero	ɾ i b ɛ ɾ o
riñon	ɾ i ɲ o n
rombaoa	ɾ o m b a w a
romualdez	ɾ o m w a l d ɛ s
romualdo	ɾ o m w a l d o
rosete	ɾ o s ɛ t ɛ
roxas	ɾ o d͡ʒ a s
rulloda	ɾ u l l o d a
rumupok	ɾ u m u p o k
ruta	r u t a
sa	s a
saan	s a a n
sabado	s a b a d o
sabana	s a b a n a
sabangan	s a b a ŋ a n
sabi	s a b i
sabon	s a b o n
saboy	s a b o i
sabunin	s a b u n i n
sabunot	s a b u n o t
sabunutan	s a b u n u t a n
sacdalan	s a k d a l a n
sadya	s a d j a ʔ
sagay	s a ɡ a j
sagilap	s ɐ ɡ i l a p
sagimuymoy	s a ɡ i m u j m o j
saglit	s a ɡ l i t
saguinsin	s a ɡ i n s i n
sagun	s a ɡ u n
saha	s a h a ʔ
sahagun	s a h a ɡ u n
sahog	s a h o ɡ
sais	s a ʔ i s
saka	s a k a
sakal	s a k a l
sakit	s a k i t
sakitin	s a k i t i n
saksi	s a k s i
saksihan	s a k s i h a n
saktan	s a k t a n
sakuna	s a k u n a
sakupbayan	s a k u p b a j a n
sakwa	s a k w a
sala	s a l a
salagubang	s a l a ɡ u b a ŋ
salarin	s a l a ɾ i n
salaula	s a l a ʔ u l a ʔ
salawal	s a l a w a l
saldaña	s a l d a ɲ a
sales	s a l ɛ s
salipawpaw	s a l i p a u p a u
salitre	s a l i t ɾ ɛ
salog	s a l o ɡ
salonga	s a l o ŋ ɡ a
salot	s a l o t
salud	s a l u d
salumbides	s a l u m b i d ɛ s
salvacion	s a l b a s i o n
salvatierra	s a l b a t i ɛ ɾ ɾ a
samaniego	s a m a n j ɛ ɡ o
samantala	s a m a n t a l a ʔ
samantha	s a m a n t a
samat	s a m a t
sambasamba	s a m b a s a m b a
samid	s a m i d
samonte	s a m o n t ɛ
sampaloc	s a m p a l o k
sampalok	s a m p a l o k
sampo	s a m p ɔ ʔ
sampu	s a m p u ʔ
sandali	s a n d a l i ʔ
sandali	s a n d ɐ l i ʔ
sangalang	s a ŋ ɡ a l a ŋ
sangat	s a ŋ a t
sangco	s a ŋ k o
sanggol	s a ŋ ɡ o l
sangkot	s a ŋ k o t
santo	s a n t o
sapa	s a p a ʔ
sapak	s a p a k
sapok	s a p o k
sapot	s a p o t
saquing	s a k i ŋ
sara	s ɐ ɾ a
sarabia	s a r a b j a
sarhento	s a ɾ h ɛ n t o
sawa	s a w a
sawa	s a w a ʔ
saway	s a w a i
sawayin	s a w a j i n
saya	s a j a
sayari	s a j a ɾ i ʔ
sayson	s a i s o n
see	s iː
segismundo	s ɛ ɡ i s m u n d o
segui	s ɛ ɡ i
sekreto	s ɛ k ɾ ɛ t o
selepono	s e l e p o n o
selula	s ɛ l ʊ l ɐ
semantika	s ɛ m a n t i k a
semaña	s ɛ m a ɲ a
semilla	s e m i l j a
sentenaryo	s ɛ n t ɛ n a ɾ j o
sentensiya	s ɛ n t ɛ n s j a
sentensiyahan	s ɛ n t ɛ n s j a h a n
sentido	s ɛ n t i d o
seremonya	s ɛ ɾ ɛ m o n j a
serna	s ɛ ɾ n a
shabu	s j a b u
shao	ʃ a ʊ
shau	ʃ a ʊ
shaw	ʃ a ʊ
sia	s j a
siao	ʃ a ʊ
siason	s j a s o n
sibayan	s i b a j a n
sibog	s i b o ɡ
sibug	s i b u ɡ
sibuyas	s i b u j a s
siga	s i ɡ a ʔ
sigarilyas	s i ɡ a ɾ i l j a s
sige	s i ɡ ɛ
siglo	s i ɡ l o
sigmuan	s i ɡ m u a n
siguraduhin	s i ɡ u ɾ a d u h i n
sihay	s i h a j
sihayan	s i h a j a n
sikatsikat	s i k a t s i k a t
sikhay	s i k h a j
siko	s i k o
siksin	s i k s i n
silang	s i l a ŋ
silangan	s i l a ŋ a n
silayan	s i l a j a n
silid	s ɪ l ɪ d
silidkaphay	s i l i d k a p h a j
silidkapnayan	s i l i d k a p n a j a n
silidkatwan	s i l i d k a t w a n
silidkilos	s i l i d k i l o s
silidkulay	s i l i d k u l a j
silidlawas	s i l i d l a w a s
silidmanahan	s i l i d m a n a h a n
silindro	s i l i n d ɾ o
simbulan	s i m b u l a n
simoy	s i m o j
simple	s i m p l ɛ
sinapupunan	s i n a p u p u n a n
sinat	s i n a t
sinauna	s i n a u n a
sinco	s i n k o
singil	s i ŋ i l
singkal	s i ŋ k a l
singkamasan	o r a s a n
sioson	s j o s o n
siping	s i p i ŋ
sipnayan	s ɪ p n a i ɐ n
sipon	s i p o n
sipon	s i p ʔ o n
sipsip	s i p s i p
sira	s i ɾ a ʔ
sirain	s i ɾ a ʔ i n
sisi	s i s i
sisid	s i s i d
sisihan	s i s i h a n
sitwasyon	s i t w a s j o n
siya	s i a
siya	s i j a
siyam	s i j a m
siyam	ʃ j a m
siyamnapu	s i j a m n a p u ʔ
siyamnaraan	s i j a m n a r a a n
so	s ɔ
sobrepeña	s o b ɾ ɛ p ɛ ɲ a
soledad	s o l ɛ d a d
solis	s o l i s
son	s o n
songco	s o ŋ k o
sosa	s o s a
sosyal	s o ʃ a l
suan	s w a n
suazo	s w a s o
subok	s u b o k
subok	s u b ɔ k
sucgang	s u k ɡ a ŋ
sugaan	s u ɡ a ʔ a n
sugal	s u ɡ a l
suglaguman	s u ɡ l a ɡ u m a n
sugnay	s u ɡ n a j
sugnayan	s u ɡ n a j a n
sugnayanin	s u ɡ n a j a n i n
sugnayanon	s u ɡ n a j a n o n
sugnayin	s u ɡ n a j i n
suhi	s u h i ʔ
suhol	s u h o l
suico	s u i k o
suka	s u k a
suka	s u k a ʔ
sukal	s u k a l
sulidlawas	s u l i d l a w a s
sulsol	s u l s o l
sultan	s u l t a n
sultana	s u l t a n a
sultanato	s u l t a n a t o
sumabog	s u m a b o ɡ
sumadsad	s u m a d s a d
sumagot	s u m a ɡ o t
sumakit	s u m a k i t
sumalapang	s u m a l a p a ŋ
sumalapaw	s u m a l a p a u
sumama	s u m a m a
sumama	s u m a m a ʔ
sumeksi	s u m ɛ k s i
sumemplang	s u m ɛ m p l a ŋ
sumikat	s u m i k a t
sumikip	s u m i k i p
sumimangot	s u m i m a ŋ o t
suminga	s u m i ŋ a
sumuka	s u m u k a
sumulat	s u m u l a t
suntok	s u n t o k
suntukan	s u n t u k a n
suntukin	s u n t u k i n
suplete	s u p l ɛ t ɛ
supling	s u p l i ŋ
surot	s u ɾ o t
susmaryosep	s u s m a ɾ i ɔː s e p
sustento	s u s t ɛ n t o
suweldo	s w ɛ l d o
suya	s u j a ʔ
swerte	s w e r t e
sy	s iː
syaw	ʃ a ʊ
sze	t ʃ e
tabigi	t a b i ɡ i ʔ
tablaw	t a b l a w
tabon	t a b o n
taduran	t a d u ɾ a n
tae	t a ʔ eː
tae	t aː ʔ eː
tagalog	t ɐ ɡ aː l o ɡ
tagapagmana	t a ɡ a p a ɡ m a n a
tagas	t a ɡ a s
tagiktik	t a ɡ i k t i k
taglagas	t a ɡ l a ɡ a s
tagtuyot	t a ɡ t u j o t
taguba	t a ɡ u b a
tagubilin	t a ɡ u b i l i n
taguinod	t a ɡ i n o d
tagupa	t a ɡ u p a
tahasik	t a h a s i k
taib	t a ʔ i b
taihan	t a i h a n
takahashi	t a k a h a s j i
takbo	t a k b ɔ
takilya	t a k i l j a
talag	t a l a ɡ
talampas	t a l a m p a s
talavera	t a l a b ɛ ɾ a
talento	t a l ɛ n t o
talo	t a l o
talon	t a l o n
talong	t a l o ŋ
talukbong	t a l u k b o ŋ
talulot	t a l u l o t
talunan	t a l u n a n
tam	t a m
tambakol	t a m b a k o l
tamban	t a m b a n
tambayan	t a m b a j a n
tamis	t a m i s
tampal	t a m p a l
tan	t a n
tanauan	t a n a w a n
tanauan	t a n ʔ a w a n
tancinco	t a n s i n k o
tang	t a ŋ
tanga	t a ŋ a
tangco	t a ŋ k o
tanggal	t a ŋ ɡ a l
tanghalian	t a ŋ h a l i ʔ a n
tanghas	t a ŋ h a s
tanikala	t a n i k a l a ʔ
tanso	t a n s o ʔ
tantiya	t a n t j a
tantiya	t a n t͡ʃ a
tao	t a ʔ o
taog	t a ʔ o ɡ
taon	t a ʔ o n
tapales	t a p a l ɛ s
tapat	t a p a t
tapay	t a p a j
tapilok	t a p i l o k
tapos	t a p o s
tapunan	t a p u n a n
tapusin	t a p u s i n
tarik	t a ɾ i k
taruc	t a ɾ u k
tasa	t a s a
tataw	t a t a w
tatlo	t a t l ɔ
tatlonghari	t a t l o ŋ h a ɾ i
tatlumpu	t a t l u m p u ʔ
tatlundaan	t a t l u n d a a n
tato	t a t o ʔ
tatsulok	t ɐ t s u l ɔ k
tawag	t a w a ɡ
tayahan	t a j a h a n
tayo	t aː j ɔ
tañada	t a ɲ a d a
tecson	t ɛ k s o n
tee	t iː
teklado	t e k l a d o
telepono	t ɛ l ɛ p o n o
tenga	t ɛː ŋ a
tenorio	t ɛ n o ɾ j o
tenyente	t ɛ n j ɛ n t ɛ
teoriya	t ɛ o ɾ i a
teritoryo	t ɛ ɾ i t o ɾ j o
tiamson	t j a m s o n
tian	t j a n
tiangco	t j a ŋ k o
tibay	t i b a i
tibo	t ɪ b ɔ ʔ
tiburcio	t i b u ɾ s j o
ticzon	t i k s o n
tien	t j e n
tigang	t i ɡ a ŋ
tigas	t i ɡ a s
tigilan	t i ɡ i l a n
tiis	t i ʔ i s
tikbalang	t i k b a l a ŋ
tikling	t i k l i ŋ
tiklop	t i k l o p
tiktik	t i k t i k
timbang	t i m b a ŋ
timog	t i m o ɡ
tin	t ɪ n
tindero	t i n d ɛ ɾ o
tindig	t i n d i ɡ
ting	t ɪ ŋ
tinga	t i ŋ a
tingala	t i ŋ a l a ʔ
tingalaan	t i ŋ a l a a n
tingid	t i ŋ i d
tingin	t i ŋ i n
tinidor	t i n i d o ɾ
tinig	t i n i ɡ
tinik	t i n i k
tinikling	t i n i k l i ŋ
tinta	t i n t a
tio	t j o
tiongco	t i o ŋ k o
tiozon	t j o s o n
tipaklong	t i p a k l o ŋ
tipon	t i p o n
tira	t i ɾ a
tiraniya	t i ɾ a n i a
tirik	t i ɾ i k
tiris	t i ɾ i s
tirona	t i ɾ o n a
tisod	t i s o d
tita	t i t a
tito	t i t o
tito	t i t o ʔ
tiu	t j uː
tiwala	t i w a l a ʔ
tiwali	t i w a l i ʔ
tiya	t i a
tiyaga	t i a ɡ a ʔ
tiyahin	t i a h i n
tiyahin	t͡ʃ a h i n
tiyan	t i a n
tiyanak	t i a n a k
tiyangge	t i a ŋ ɡ ɛ ʔ
tiyo	t i o
tiyubibo	t i j u b i b ɔ
tiyuhin	t i u h i n
tiyuhin	t͡ʃ u h i n
to	t o
tonelada	t o n ɛ l a d a
tong	t o ŋ
topacio	t o p a s j o
tore	t o ɾ ɛ
torotot	t o ɾ o t o t
torrecampo	t o ɾ ɾ ɛ k a m p o
totanes	t o t a n ɛ s
trabaho	t r a b a h o
trangkaso	t ɾ a ŋ k a s o
trapik	t ɾ a p i k
traqueña	t ɾ a k ɛ ɲ a
tratado	t ɾ a t a d o
trato	t ɾ a t o
traydor	t ɾ a i d o ɾ
tria	t ɾ i a
triguhan	t r ɪ ɡ ʊ h a n
trillanes	t ɾ i l l a n ɛ s
trip	t ɾ i p
tropatuts	t r o p a t u t s
tsaka	t͡ʃ a k a
tsikinini	t͡ʃ i k i n i n i ʔ
tsiklet	t ʃ i k l ɛ t
tsikot	t͡ʃ i k o t
tsina	t s i n a
tsinelas	t ʃ i n ɛ l a s
tsinoy	t s ɪ n ɔ ɪ
tsong	t ʃ o ŋ
tsonggo	t͡ʃ o ŋ ɡ o
tsugi	t͡ʃ u ɡ i
tsuper	t͡ʃ u p e ɾ
tuason	t w a s o n
tuba	t u b a
tubero	t u b ɛ ɾ o
tubig	t u b i ɡ
tubo	t u b o
tubo	t u b o ʔ
tubuhan	t u b u h a n
tugade	t u ɡ a d ɛ
tugtog	t u ɡ t o ɡ
tugtugin	t u ɡ t u ɡ i n
tuhod	t u h o d
tuklaw	t u k l a u
tukod	t u k o d
tukso	t u k s o
tulad	t u l a d
tulak	t u l a k
tulatod	t u l a t o d
tulay	t u l a i
tulingan	t u l i ŋ a n
tullao	t u l j a u
tulo	t u l o ʔ
tulog	t u l o ɡ
tulong	t u l o ŋ
tuloy	t u l o i
tumaba	t u m a b a ʔ
tumacder	t u m a k d ɛ ɾ
tumae	t u m a ʔ ɛ
tumahimik	t u m a h i m i k
tumakbo	t u m a k b ɔ
tumalima	t u m a l i m a
tumalon	t u m a l o n
tumanggi	t u m a ŋ ɡ i
tumapon	t u m a p o n
tumawa	t u m a w a
tumayo	t u m a j o ʔ
tumbaga	t u m b a ɡ a
tumbalik	t u m b a l i k
tumbok	t u m b o k
tumbong	t u m b o ŋ
tumimos	t u m i m o s
tumingala	t u m i ŋ a l a ʔ
tumira	t u m i ɾ a
tumirik	t u m i r i k
tumpang	t u m p a ŋ
tumpok	t u m p o k
tumugtog	t u m u ɡ t o ɡ
tumukso	t u m u k s o
tumula	t u m u l a ʔ
tumulong	t u m u l o ŋ
tunaw	t u n a w
tunay	t u n a i
tung	t u ŋ
tungaw	t u ŋ a u
tungkab	t u ŋ k a b
tungkod	t u ŋ k o d
tungkol	t u ŋ k o l
tungkos	t u ŋ k o s
tunog	t u n o ɡ
tunton	t u n t o n
tunugan	t u n u ɡ a n
tupad	t u p a d
tupi	t u p i ʔ
turnilyo	t u ɾ n i l j o
turok	t u ɾ o k
tuso	t u s o
tutol	t u t o l
tutubi	t u t u b i
tuwa	t u w a ʔ
tuwad	t u a d
tuwalya	t u a l j a
tuwang	t u a ŋ
ty	t iː
uang	u ʔ a ŋ
ubad	ʔ u b a d
ubalde	u b a l d e
ubas	ʔ u b a s
ubasan	ʔ u b a s a n
ubo	ʔ u b o
ubo	ʔ u b o ʔ
udyukan	ʔ u d j u k a n
ugat	ʔ u ɡ a t
uhaw	ʔ u h a w
ulam	ʔ u l a m
ulep	ʔ u l ɛ p
ulila	ʔ u l i l a
uling	ʔ u l i ŋ
ulo	u l o
umabay	ʔ u m a b a j
umagahas	ʔ u m a ɡ a h a s
umakyat	ʔ u m a k j a t
umalis	ʔ u m a l i s
umang	ʔ u m a ŋ
umanta	ʔ u m a n t a
umaraw	u m a r a w
umasa	ʔ u m a s a
umasinta	ʔ u m a s i n t a
umawat	ʔ u m a w a t
umawit	ʔ u m a w i t
umibig	ʔ u m i b i ɡ
umihi	ʔ u m i h i ʔ
uminom	ʔ u m i n o m
umiwas	ʔ u m i w a s
umiyak	ʔ u m i j a k
umpisa	ʔ u m p i s a
umuha	ʔ u m u h a ʔ
umunlad	ʔ u m u n l a d
umupo	ʔ u m u p o ʔ
umutot	ʔ u m u t o t
umuwi	ʔ u m u w i ʔ
unan	u n a n
untalan	ʔ u n t a l a n
upa	ʔ u p a
upaw	ʔ u p a w
uriarte	ʔ u ɾ j a ɾ t ɛ
ursua	ʔ u ɾ s u a
usap	ʔ u s a p
usapan	u s a p a n
usisero	ʔ u s i s ɛ ɾ o
usog	u s o ɡ
utak	ʔ u t a k
utang	u t a ŋ
utong	ʔ u t o ŋ
utot	ʔ u t o t
uwak	ʔ u a k
uwang	u w a ŋ
uwi	ʔ u w i ʔ
uwian	u w i a n
uy	u i
uyaw	ʔ u j a w
valera	b a l ɛ ɾ a
valle	b a l l ɛ
valmores	b a l m o ɾ ɛ s
vangie	b a n d͡ʒ i
varias	b a ɾ i a s
varona	b a ɾ o n a
vecino	b ɛ s i n o
velarde	b ɛ l a ɾ d ɛ
velasquez	b ɛ l a s k ɛ s
velez	b ɛ l ɛ s
veloria	b ɛ l o ɾ j a
veneracion	b ɛ n ɛ ɾ a s j o n
venturina	b ɛ n t u ɾ i n a
versoza	b ɛ ɾ s o s a
viernes	b j ɛ ɾ n ɛ s
vigilante	b i d ʒ i l a n t e
villablanca	b i l l a b l a n k a
villacarlos	b i l l a k a ɾ l o s
villafranca	b i l l a p ɾ a n k a
villafuerte	b i l l a p w ɛ ɾ t ɛ
villagracia	b i l l a ɡ ɾ a s j a
villamater	b i l l a m a t ɛ ɾ
villamin	b i l l a m i n
villamor	b i l l a m o ɾ
villapando	b i l l a p a n d o
villareal	b i l l a ɾ ɛ a l
villarino	b i l l a ɾ i n o
villaruz	b i l l a ɾ u s
villaseñor	b i l l a s ɛ ɲ o ɾ
villasis	b i l l a s i s
villaverde	b i l l a b ɛ ɾ d ɛ
villavicencio	b i l l a b i s ɛ n s j o
villegas	b i l l ɛ ɡ a s
vinoya	b i n o j a
virata	b i ɾ a t a
virrey	b i ɾ ɾ ɛ i
visaya	b i s a j a ʔ
volante	b o l a n t ɛ
waag	w a ʔ a ɡ
waagan	w a ʔ a ɡ a n
waak	w a ʔ a k
waang	w a ʔ a ŋ
wadwad	w a d w a d
wagayway	w a ɡ a j w a j
wagaywayan	w a ɡ a j w a j a n
wagi	w a ɡ i
wagiswis	w a ɡ i s w i s
wagwag	w a ɡ w a ɡ
wakaak	w a k a ʔ a k
wakas	w a k a s
waklas	w a k l a s
wakwak	w a k w a k
wakya	w a k j a ʔ
wala	w a l a ʔ
walawad	w a l a w a d
waldas	w a l d a s
waley	w a l e ɪ
walidwid	w a l i d w i d
waling	w a l i ŋ
walingwaling	w a l i ŋ w a l i ŋ
waliswis	w a l i s w i s
waliwali	w a l i w a l i
walna	w a l n a ʔ
walo	w a l o
walumpu	w a l u m p u ʔ
walundaan	w a l u n d a ʔ a n
walunlibo	w a l u n l i b o
walwal	w a l w a l
wang	w a ŋ
wangis	w a ŋ i s
wani	w a n i
wani	w a n i ʔ
waray	w a ɾ a j
wardi	w a ɾ d i
wasak	w a s a k
watawat	w a t a w a t
wating	w a t i ŋ
wawa	w a w a ʔ
webera	w e b e ɾ a
wee	w i
welga	w e l ɡ a
werpa	w e r p a
wigwig	w i ɡ w i ɡ
wika	w i k a ʔ
wiklas	w i k l a s
wilik	w i l i k
wiliwid	w i l i w i d
windang	w i n d a ŋ
wingkag	w i ŋ k a ɡ
wisik	w i s i k
wisit	w i s i t
wiski	w i s k i
wiswis	w i s w i s
witwit	w i t w i t
wong	w o ŋ
wu	w uː
yaang	j a ʔ a ŋ
yagban	j a ɡ b a n
yagit	j a ɡ i t
yakap	j a k a p
yalung	j a l u ŋ
yaman	j a m a n
yamutmot	j a m u t m o t
yan	j a n
yang	j a ŋ
yangasngas	j a ŋ a s ŋ a s
yangit	j a ŋ i t
yangot	j a ŋ o t
yanig	j a n i ɡ
yano	j a n o
yantas	j a n t a s
yantok	j a n t o k
yao	j a w
yaon	j a o n
yap	j a p
yarda	j a ɾ d a
yasay	j a s a i
yata	j a t a ʔ
yatab	j a t a b
yatco	j a t k o
yate	j a t e
yatyat	j a t j a t
ybañez	ʔ i b a ɲ ɛ s
yee	j i
yelo	j e l o
yepes	j ɛ p ɛ s
yongco	j ɔ ŋ k o
young	j ɐ ŋ
yukyok	j u k j o k
yumabang	j u m a b a ŋ
yumabong	j u m a b o ŋ
yumahod	j u m a h o d
yumakap	j u m a k a p
yumaman	j u m a m a n
yumamot	j u m a m o t
yumanig	j u m a n i ɡ
yumari	j u m a ɾ i ʔ
yumasak	j u m a s a k
yumukdo	j u m u k d o
yumuko	j u m u k o ʔ
yumurak	j u m u ɾ a k
yung	j ɐ ŋ
yung	j ʊ ŋ
yungib	j u ŋ i b
yuvienco	j u b i ɛ n k o
yñiguez	j ɲ i ɡ ɛ s
zafra	s a p ɾ a
zaide	s a i d ɛ
zapanta	s a p a n t a
zavalla	s a b a l l a
zhang	t ʃ o ŋ
zoleta	s o l ɛ t a
zubiri	a b a d j a n o
zuñiga	s u ɲ i ɡ a
