ա	ɑ
պատկառելի	p ɑ t k ɑ r ɛ l i
պատկառելիություն	p ɑ t k ɑ r ɛ l i u tʰ j u n
պատկառեցուցիչ	p ɑ t k ɑ r ɛ t͡sʰ u t͡sʰ i t͡ʃʰ
պատկեր	p ɑ t k ɛ ɾ
պատկերահան	p ɑ t k ɛ ɾ ɑ h ɑ n
պատկերասրահ	p ɑ t k ɛ ɾ ɑ s ə ɾ ɑ h
պատկերացնել	p ɑ t k ɛ ɾ ɑ t͡sʰ n ɛ l
պատկերացում	p ɑ t k ɛ ɾ ɑ t͡sʰ u m
պատկերել	p ɑ t k ɛ ɾ ɛ l
պատճառ	p ɑ t t͡ʃ ɑ r
պատճառական	p ɑ t t͡ʃ ɑ r ɑ k ɑ n
պատճառական	p ɑ t͡ʃ ɑ r ɑ k ɑ n
պատճառավ	p ɑ t t͡ʃ ɑ r ɑ v
պատճառել	p ɑ t t͡ʃ ɑ r ɛ l
պատճառել	p ɑ t͡ʃ ɑ r ɛ l
պատճառով	p ɑ t t͡ʃ ɑ r ɔ v
պատճե	p ɑ t t͡ʃ ɛ
պատճեն	p ɑ t t͡ʃ ɛ n
պատճենահան	p ɑ t t͡ʃ ɛ n ɑ h ɑ n
պատմագիտություն	p ɑ t m ɑ ɡ i t u tʰ j u n
պատմական	p ɑ t m ɑ k ɑ n
պատմել	p ɑ t m ɛ l
պատմություն	p ɑ t m u tʰ j u n
պատմուճակ	p ɑ t m u t͡ʃ ɑ k
պատմուճան	p ɑ t m u t͡ʃ ɑ n
պատմվածք	p ɑ t m ə v ɑ t͡s kʰ
պատյան	p ɑ t j ɑ n
պատնեշ	p ɑ t n ɛ ʃ
պատշաճ	p ɑ t ʃ ɑ t͡ʃ
պատշգամբ	p ɑ t ə ʃ ɡ ɑ m b
պատուհան	p ɑ t u h ɑ n
պատուհանագոգ	p ɑ t u h ɑ n ɑ ɡ ɔ kʰ
պատուհաս	p ɑ t u h ɑ s
պատռել	p ɑ t r ɛ l
պատվանդան	p ɑ t v ɑ n d ɑ n
պատվաստանյութ	p ɑ t v ɑ s t ɑ n j u tʰ
պատվաստել	p ɑ t v ɑ s t ɛ l
պատվաստում	p ɑ t v ɑ s t u m
պատվար	p ɑ t v ɑ ɾ
պատվարժան	p ɑ t v ɑ ɾ ʒ ɑ n
պատվեր	p ɑ t v ɛ ɾ
պատվիրակություն	p ɑ t v i ɾ ɑ k u tʰ j u n
պատվիրան	p ɑ t v i ɾ ɑ n
պատվիրել	p ɑ t v i ɾ ɛ l
պատվոգիր	p ɑ t v ɔ ɡ i ɾ
պատրանք	p ɑ t ɾ ɑ ŋ kʰ
պատրաստ	p ɑ t ɾ ɑ s t
պատրաստակամ	p ɑ t ɾ ɑ s t ɑ k ɑ m
պատրաստել	p ɑ t ɾ ɑ s t ɛ l
պատրաստություն	p ɑ t ɾ ɑ s t u tʰ j u n
պատրաստվել	p ɑ t ɾ ɑ s t v ɛ l
պատրինջ	p ɑ t ɾ i n d͡ʒ
պատրվակ	p ɑ t ə ɾ v ɑ k
պար	p ɑ ɾ
պարաբոլ	p ɑ ɾ ɑ b ɔ l
պարագա	p ɑ ɾ ɑ ɡ ɑ
պարագվայ	p ɑ ɾ ɑ ɡ v ɑ j
պարադոքս	p ɑ ɾ ɑ d ɔ kʰ s
պարադոքսային	p ɑ ɾ ɑ d ɔ kʰ s ɑ j i n
պարան	p ɑ ɾ ɑ n
պարանոց	p ɑ ɾ ɑ n ɔ t͡sʰ
պարաշյուտ	p ɑ ɾ ɑ ʃ j u t
պարապ	p ɑ ɾ ɑ p
պարապել	p ɑ ɾ ɑ p ɛ l
պարասրահ	p ɑ ɾ ɑ s ə ɾ ɑ h
պարավանդ	p ɑ ɾ ɑ v ɑ n d
պարարտ	p ɑ ɾ ɑ ɾ t
պարարտանյութ	p ɑ ɾ ɑ ɾ t ɑ n j u tʰ
պարացելս	p ɑ ɾ ɑ t͡sʰ ɛ l s
պարբերություն	p ɑ ɾ b ɛ ɾ u tʰ j u n
պարբրիս	p ɑ ɾ b ɾ i s
պարգեւ	p ɑ ɾ kʰ ɛ v
պարգեւավճար	p ɑ ɾ kʰ ɛ v ɑ v ə t͡ʃ ɑ ɾ
պարգեւել	p ɑ ɾ kʰ ɛ v ɛ l
պարեգոտ	p ɑ ɾ ɛ ɡ ɔ t
պարել	p ɑ ɾ ɛ l
պարեն	p ɑ ɾ ɛ n
պարենքիմ	p ɑ ɾ ɛ ŋ kʰ i m
պարետ	p ɑ ɾ ɛ t
պարետային	p ɑ ɾ ɛ t ɑ j i n
պարզ	p ɑ ɾ z
պարզաբանում	p ɑ ɾ z ɑ b ɑ n u m
պարզապես	p ɑ ɾ z ɑ p ɛ s
պարզորոշ	p ɑ ɾ z ɔ ɾ ɔ ʃ
պարզորոշաբար	p ɑ ɾ z ɔ ɾ ɔ ʃ ɑ b ɑ ɾ
պարզունակ	p ɑ ɾ z u n ɑ k
պարթեւ	p ɑ ɾ tʰ ɛ v
պարթեւաստան	p ɑ ɾ tʰ ɛ v ɑ s t ɑ n
պարթեւստան	p ɑ ɾ tʰ ɛ f s t ɑ n
պարիկ	p ɑ ɾ i k
պարիսպ	p ɑ ɾ i s p
պարծանք	p ɑ ɾ t͡s ɑ ŋ kʰ
պարծենալ	p ɑ ɾ t͡s ɛ n ɑ l
պարկ	p ɑ ɾ k
պարկապզուկ	p ɑ ɾ k ɑ p ə z u k
պարկավոր	p ɑ ɾ k ɑ v ɔ ɾ
պարկել	p ɑ ɾ k ɛ l
պարկեշտ	p ɑ ɾ k ɛ ʃ t
պարմեզան	p ɑ ɾ m ɛ z ɑ n
պարմենիդես	p ɑ ɾ m ɛ n i d ɛ s
պարող	p ɑ ɾ ɔ ʁ
պարոն	p ɑ ɾ ɔ n
պարուհի	p ɑ ɾ u h i
պարույկ	p ɑ ɾ u j k
պարույր	p ɑ ɾ u j ɾ
պարուրել	p ɑ ɾ u ɾ ɛ l
պարս	p ɑ ɾ s
պարսավանք	p ɑ ɾ s ɑ v ɑ ŋ kʰ
պարսատիկ	p ɑ ɾ s ɑ t i k
պարսիկ	p ɑ ɾ s i k
պարսկական	p ɑ ɾ s k ɑ k ɑ n
պարսկահայ	p ɑ ɾ s k ɑ h ɑ j
պարսկանալ	p ɑ ɾ s k ɑ n ɑ l
պարսկաստան	p ɑ ɾ s k ɑ s t ɑ n
պարսկացնել	p ɑ ɾ s k ɑ t͡sʰ n ɛ l
պարսկացում	p ɑ ɾ s k ɑ t͡sʰ u m
պարսկերեն	p ɑ ɾ s k ɛ ɾ ɛ n
պարսք	p ɑ ɾ s kʰ
պարտ	p ɑ ɾ t
պարտադիր	p ɑ ɾ t ɑ d i ɾ
պարտականություն	p ɑ ɾ t ɑ k ɑ n u tʰ j u n
պարտավ	p ɑ ɾ t ɑ v
պարտավորություն	p ɑ ɾ t ɑ v ɔ ɾ u tʰ j u n
պարտատեր	p ɑ ɾ t ɑ t ɛ ɾ
պարտատոմս	p ɑ ɾ t ɑ t ɔ m s
պարտեզ	p ɑ ɾ t ɛ z
պարտիա	p ɑ ɾ t j ɑ
պարտիզան	p ɑ ɾ t i z ɑ n
պարտիզանական	p ɑ ɾ t i z ɑ n ɑ k ɑ n
պարտիզպան	p ɑ ɾ t i z p ɑ n
պարտիք	p ɑ ɾ t i kʰ
պարտություն	p ɑ ɾ t u tʰ j u n
պարտվել	p ɑ ɾ t v ɛ l
պարտվող	p ɑ ɾ t v ɔ ʁ
պարտվողական	p ɑ ɾ t v ɔ ʁ ɑ k ɑ n
պարտք	p ɑ ɾ t kʰ
պացիենտ	p ɑ t͡sʰ j ɛ n t
պափլագոնիա	p ɑ pʰ l ɑ ɡ ɔ n j ɑ
պե	p ɛ
պեդալ	p ɛ d ɑ l
պելագիոս	p ɛ l ɑ ɡ i ɔ s
պեկ	p ɛ k
պեկին	p ɛ k i n
պեղել	p ɛ ʁ ɛ l
պենալ	p ɛ n ɑ l
պենզա	p ɛ n z ɑ
պեչենի	p ɛ t͡ʃʰ ɛ n i
պես	p ɛ s
պեսո	p ɛ s ɔ
պեստիցիդ	p ɛ s t i t͡sʰ i d
պետ	p ɛ t
պետական	p ɛ t ɑ k ɑ n
պետականություն	p ɛ t ɑ k ɑ n u tʰ j u n
պետերբուրգ	p ɛ t ɛ ɾ b u ɾ ɡ
պետհամարանիշ	p ɛ t h ɑ m ɑ ɾ ɑ n i ʃ
պետություն	p ɛ t u tʰ j u n
պետպատվեր	p ɛ t p ɑ t v ɛ ɾ
պետրոզավոդսկ	p ɛ t ɾ ɔ z ɑ v ɔ d s k
պետրոս	p ɛ t ɾ ɔ s
պետրոսյան	p ɛ t ɾ ɔ s j ɑ n
պետք	p ɛ t kʰ
պերեստրոյկա	p ɛ ɾ ɛ s t ɾ ɔ j k ɑ
պերիլա	p ɛ ɾ i l ɑ
պերկես	p ɛ ɾ k ɛ s
պերճ	p ɛ ɾ t͡ʃ
պերճախոս	p ɛ ɾ t͡ʃ ɑ χ ɔ s
պերճաղիճ	p ɛ ɾ t͡ʃ ɑ ʁ i t͡ʃ
պերճանք	p ɛ ɾ t͡ʃ ɑ ŋ kʰ
պերմ	p ɛ ɾ m
պերմանենտ	p ɛ ɾ m ɑ n ɛ n t
պերու	p ɛ ɾ u
պզուկ	p ə z u k
պիեմոնտ	p j ɛ m ɔ n t
պիզա	p i z ɑ
պիզայական	p i z ɑ j ɑ k ɑ n
պիզացի	p i z ɑ t͡sʰ i
պիլիպինո	p i l i p i n ɔ
պիղատոս	p i ʁ ɑ t ɔ s
պիղծ	p i χ t͡s
պինգվին	p i ŋ ɡ v i n
պինդ	p i n d
պինդարոս	p i n d ɑ ɾ ɔ s
պինդոս	p i n d ɔ s
պինչ	p i n t͡ʃʰ
պիոն	p i j ɔ n
պիսակ	p i s ɑ k
պիսիդիա	p i s i d j ɑ
պիսիստրատոս	p i s i s t ɾ ɑ t ɔ s
պիստակ	p i s t ɑ k
պիստակենի	p i s t ɑ k ɛ n i
պիվա	p i v ɑ
պիտակ	p i t ɑ k
պիտանացու	p i t ɑ n ɑ t͡sʰ u
պիտանի	p i t ɑ n i
պիտաչոկ	p i t ɑ t͡ʃʰ ɔ k
պիտի	p i t i
պիտո	p i t ɔ
պիտույք	p i t u j kʰ
պիրենեյան	p i ɾ ɛ n ɛ j ɑ n
պիրենեյներ	p i ɾ ɛ n ɛ j n ɛ ɾ
պիցունդա	p i t͡sʰ u n d ɑ
պիցցա	p i t͡sʰː ɑ
պլագիատոր	p l ɑ ɡ j ɑ t ɔ ɾ
պլասկագուբցի	p l ɑ s k ɑ ɡ u pʰ t͡sʰ i
պլաստիկ	p l ɑ s t i k
պլատոն	p l ɑ t ɔ n
պլենար	p l ɛ n ɑ ɾ
պլերոմա	p l ɛ ɾ ɔ m ɑ
պլինիոս	p l i n i ɔ s
պլյաժ	p l j ɑ ʒ
պլյաժ	p ə l j ɑ ʒ
պլոկել	p ə l ɔ k ɛ l
պլոճիկ	p ə l ɔ t͡ʃ i k
պլոր	p ə l ɔ ɾ
պլուզ	p ə l u z
պլուտարքոս	p l u t ɑ ɾ kʰ ɔ s
պլուտոն	p l u t ɔ n
պլուտոնիում	p l u t ɔ n i j u m
պղինձ	p ə ʁ i n d͡z
պղծել	p ə χ t͡s ɛ l
պղնձաձույլ	p ə ʁ ə n d͡z ɑ d͡z u j l
պղնձարջասպ	p ə ʁ ə n d͡z ɑ ɾ d͡ʒ ɑ s p
պղպեղ	p ə χ p ɛ ʁ
պղպջակ	p ə χ p ə d͡ʒ ɑ k
պճեղ	p ə t͡ʃ ɛ ʁ
պճնվել	p ə t͡ʃ n ə v ɛ l
պյութագորաս	p j u tʰ ɑ ɡ ɔ ɾ ɑ s
պյուռոս	p j u r ɔ s
պյուռոսյան	p j u r ɔ s j ɑ n
պն	p ə n ə
պնակ	p ə n ɑ k
պնդակազմ	p ə n d ɑ k ɑ z m
պնդել	p ə n d ɛ l
պնդուկ	p ə n d u k
պնդօղակ	p ə n d ɔ ʁ ɑ k
պնոմպեն	p ə n ɔ m p ɛ n
պնչատ	p ə n t͡ʃʰ ɑ t
պոդգորիցա	p ɔ d ɡ ɔ ɾ i t͡sʰ ɑ
պոդոլսկ	p ɔ d ɔ l s k
պոզ	p ɔ z
պոզիտիվ	p ɔ z i t i v
պոզիտիվիզմ	p ɔ z i t i v i z m
պոզիտրոն	p ɔ z i t ɾ ɔ n
պոլաբերեն	p ɔ l ɑ b ɛ ɾ ɛ n
պոլիմեր	p ɔ l i m ɛ ɾ
պոլիոմիելիտ	p ɔ l i j ɔ m j ɛ l i t
պոլիս	p ɔ l i s
պոլկա	p ɔ l k ɑ
պոլոճիկ	p ɔ l ɔ t͡ʃ i k
պոլոնիում	p ɔ l ɔ n i j u m
պոլտավա	p ɔ l t ɑ v ɑ
պոկել	p ɔ k ɛ l
պոկեր	p ɔ k ɛ ɾ
պող	p ɔ ʁ
պողոս	p ɔ ʁ ɔ s
պողոսյան	p ɔ ʁ ɔ s j ɑ n
պողովատ	p ɔ ʁ ɔ v ɑ t
պողոտա	p ɔ ʁ ɔ t ɑ
պողպատ	p ɔ χ p ɑ t
պոմիդոր	p ɔ m i d ɔ ɾ
պոմպ	p ɔ m p
պոմպեյ	p ɔ m p ɛ j
պոնչիկ	p ɔ n t͡ʃʰ i k
պոնտոս	p ɔ n t ɔ s
պոչ	p ɔ t͡ʃʰ
պոչազգեստ	p ɔ t͡ʃʰ ɑ z ɡ ɛ s t
պոչատ	p ɔ t͡ʃʰ ɑ t
պոչիկ	p ɔ t͡ʃʰ i k
պոչուկ	p ɔ t͡ʃʰ u k
պոպոզ	p ɔ p ɔ z
պոպոկ	p ɔ p ɔ k
պոպուլիզմ	p ɔ p u l i z m
պոպուլիստ	p ɔ p u l i s t
պոպոք	p ɔ p ɔ kʰ
պոռնիկ	p ɔ r n i k
պոռնկանոց	p ɔ r n ə k ɑ n ɔ t͡sʰ
պոռնկատուն	p ɔ r n ə k ɑ t u n
պոռնկություն	p ɔ r n ə k u tʰ j u n
պոռնոգրաֆիա	p ɔ r n ɔ ɡ ɾ ɑ f j ɑ
պոռոչ	p ɔ r ɔ t͡ʃʰ
պոռոչագին	p ɔ r ɔ t͡ʃʰ ɑ ɡ i n
պոռոչել	p ɔ r ɔ t͡ʃʰ ɛ l
պոռոչյուն	p ɔ r ɔ t͡ʃʰ j u n
պոռոտ	p ɔ r ɔ t
պոռոտաբան	p ɔ r ɔ t ɑ b ɑ n
պոռոտաբանել	p ɔ r ɔ t ɑ b ɑ n ɛ l
պոռոտաբանություն	p ɔ r ɔ t ɑ b ɑ n u tʰ j u n
պոռոտախոս	p ɔ r ɔ t ɑ χ ɔ s
պոռոտախոսել	p ɔ r ɔ t ɑ χ ɔ s ɛ l
պոռոտախոսություն	p ɔ r ɔ t ɑ χ ɔ s u tʰ j u n
պոստմոդեռնիզմ	p ɔ s t m ɔ d ɛ r n i z m
պորուչիկ	p ɔ ɾ u t͡ʃʰ i k
պորտ	p ɔ ɾ t
պորտալար	p ɔ ɾ t ɑ l ɑ ɾ
պորտապար	p ɔ ɾ t ɑ p ɑ ɾ
պորտուգալական	p ɔ ɾ t u ɡ ɑ l ɑ k ɑ n
պորտուգալացի	p ɔ ɾ t u ɡ ɑ l ɑ t͡sʰ i
պորտուգալերեն	p ɔ ɾ t u ɡ ɑ l ɛ ɾ ɛ n
պորտուգալիա	p ɔ ɾ t u ɡ ɑ l j ɑ
պորտվեյն	p ɔ ɾ t v ɛ j n
պուատիեցի	p u ɑ t j ɛ t͡sʰ i
պուլպուլակ	p u l p u l ɑ k
պուլսար	p u l s ɑ ɾ
պուճախ	p u t͡ʃ ɑ χ
պուճուր	p u t͡ʃ u ɾ
պուճուրիկ	p u t͡ʃ u ɾ i k
պույտ	p u j t
պուպուլ	p u p u l
պուպուլիկ	p u p u l i k
պուտին	p u t i n
պուտուկ	p u t u k
պուրակ	p u ɾ ɑ k
պուրի	p u ɾ i
պուց	p u t͡sʰ
պչրուհի	p ə t͡ʃʰ ɾ u h i
պռաշիվկա	p r ɑ ʃ i f k ɑ
պսակ	p ə s ɑ k
պսկով	p ə s k ɔ v
պստիկ	p ə s t i k
պտեր	p ə t ɛ ɾ
պտկաքար	p ə t k ɑ kʰ ɑ ɾ
պտկունք	p ə t k u ŋ kʰ
պտղաբեր	p ə t ʁ ɑ b ɛ ɾ
պտղատու	p ə t ʁ ɑ t u
պտղոմեոս	p ə t ʁ ɔ m ɛ ɔ s
պտուկ	p ə t u k
պտուղ	p ə t u ʁ
պտույտ	p ə t u j t
պտուտակ	p ə t u t ɑ k
պտուտակահան	p ə t u t ɑ k ɑ h ɑ n
պտտահողմ	p ə t ə t ɑ h ɔ ʁ m
պտտել	p ə t ə t ɛ l
պրագա	p ɾ ɑ ɡ ɑ
պրակ	p ə ɾ ɑ k
պրակ	p ɾ ɑ k
պրակտիկ	p ɾ ɑ k t i k
պրակրիտ	p ɾ ɑ k ɾ i t
պրահա	p ɾ ɑ h ɑ
պրայա	p ɾ ɑ j ɑ
պրաս	p ə ɾ ɑ s
պրիամոս	p ɾ j ɑ m ɔ s
պրիզմա	p ɾ i z m ɑ
պրիմիտիվ	p ɾ i m i t i v
պրինտեր	p ɾ i n t ɛ ɾ
պրինց	p ə ɾ i n t͡sʰ
պրիշտինա	p ɾ i ʃ t i n ɑ
պրիվետ	p ɾ i v ɛ t
պրծնել	p ə ɾ t͡s n ɛ l
պրոդուկտիվ	p ɾ ɔ d u k t i v
պրոթեզ	p ɾ ɔ tʰ ɛ z
պրոլետար	p ɾ ɔ l ɛ t ɑ ɾ
պրոլյուվիալ	p ɾ ɔ l j u v i j ɑ l
պրոկլետիե	p ɾ ɔ k l ɛ t j ɛ
պրոմեթիում	p ɾ ɔ m ɛ tʰ i j u m
պրոպագանդա	p ɾ ɔ p ɑ ɡ ɑ n d ɑ
պրոսպեկտ	p ɾ ɔ s p ɛ k t
պրովանս	p ɾ ɔ v ɑ n s
պրովանսերեն	p ɾ ɔ v ɑ n s ɛ ɾ ɛ n
պրոտակտինիում	p ɾ ɔ t ɑ k t i n i j u m
պրոտոն	p ɾ ɔ t ɔ n
պրոցես	p ɾ ɔ t͡sʰ ɛ s
պրոֆեսիոնալ	p ɾ ɔ f ɛ s i ɔ n ɑ l
պրոֆեսոր	p ɾ ɔ f ɛ s ɔ ɾ
պրտու	p ə ɾ t u
ջ	d͡ʒ ə
ջազ	d͡ʒ ɑ z
ջազվա	d͡ʒ ɑ z v ɑ
ջազվե	d͡ʒ ɑ z v ɛ
ջալալ	d͡ʒ ɑ l ɑ l
ջակարտա	d͡ʒ ɑ k ɑ ɾ t ɑ
ջահ	d͡ʒ ɑ h
ջահել	d͡ʒ ɑ h ɛ l
ջահիլ	d͡ʒ ɑ h i l
ջահուկյան	d͡ʒ ɑ h u k j ɑ n
ջահուկցի	d͡ʒ ɑ h u k t͡sʰ i
ջահուկցյան	d͡ʒ ɑ h u k t͡sʰ j ɑ n
ջաղաց	d͡ʒ ɑ ʁ ɑ t͡sʰ
ջաղացք	d͡ʒ ɑ ʁ ɑ t͡sʰ kʰ
ջայլամ	d͡ʒ ɑ j l ɑ m
ջայնիզմ	d͡ʒ ɑ j n i z m
ջայվ	d͡ʒ ɑ j v
ջան	d͡ʒ ɑ n
ջանալ	d͡ʒ ɑ n ɑ l
ջանասեր	d͡ʒ ɑ n ɑ s ɛ ɾ
ջանասիրաբար	d͡ʒ ɑ n ɑ s i ɾ ɑ b ɑ ɾ
ջանասիրություն	d͡ʒ ɑ n ɑ s i ɾ u tʰ j u n
ջանավար	d͡ʒ ɑ n ɑ v ɑ ɾ
ջանք	d͡ʒ ɑ ŋ kʰ
ջառջառ	d͡ʒ ɑ r d͡ʒ ɑ r
ջատագով	d͡ʒ ɑ t ɑ ɡ ɔ v
ջարդ	d͡ʒ ɑ ɾ tʰ
ջարքանդ	d͡ʒ ɑ ɾ kʰ ɑ n d
ջե	d͡ʒ ɛ
ջեբ	d͡ʒ ɛ b
ջեզվե	d͡ʒ ɛ z v ɛ
ջենովա	d͡ʒ ɛ n ɔ v ɑ
ջենովական	d͡ʒ ɛ n ɔ v ɑ k ɑ n
ջենովացի	d͡ʒ ɛ n ɔ v ɑ t͡sʰ i
ջեռ	d͡ʒ ɛ r
ջեռուցել	d͡ʒ ɛ r u t͡sʰ ɛ l
ջերմ	d͡ʒ ɛ ɾ m
ջերմաչափ	d͡ʒ ɛ ɾ m ɑ t͡ʃʰ ɑ pʰ
ջերմաստիճան	d͡ʒ ɛ ɾ m ɑ s t i t͡ʃ ɑ n
ջերմոց	d͡ʒ ɛ ɾ m ɔ t͡sʰ
ջերմություն	d͡ʒ ɛ ɾ m u tʰ j u n
ջերմուկ	d͡ʒ ɛ ɾ m u k
ջիբեյլ	d͡ʒ i b ɛ j l
ջիբութի	d͡ʒ i b u tʰ i
ջիբրալթար	d͡ʒ i b ɾ ɑ l tʰ ɑ ɾ
ջիգիթ	d͡ʒ i ɡ i tʰ
ջիգյար	d͡ʒ i ɡ j ɑ ɾ
ջիլ	d͡ʒ i l
ջիհադ	d͡ʒ i h ɑ d
ջիղ	d͡ʒ i ʁ
ջիմ	d͡ʒ i m
ջին	d͡ʒ i n
ջինջ	d͡ʒ i n d͡ʒ
ջինս	d͡ʒ i n s
ջիպ	d͡ʒ i p
ջհուդ	d͡ʒ ə h u d
ջհուդամասոն	d͡ʒ ə h u d ɑ m ɑ s ɔ n
ջղային	d͡ʒ ə ʁ ɑ j i n
ջղայն	d͡ʒ ə ʁ ɑ j n
ջղայնանալ	d͡ʒ ə ʁ ɑ j n ɑ n ɑ l
ջղայնացնել	d͡ʒ ə ʁ ɑ j n ɑ t͡sʰ n ɛ l
ջնար	d͡ʒ ə n ɑ ɾ
ջնջել	d͡ʒ ə n d͡ʒ ɛ l
ջնջոց	d͡ʒ ə n d͡ʒ ɔ t͡sʰ
ջո	d͡ʒ ɔ
ջոկ	d͡ʒ ɔ k
ջոկել	d͡ʒ ɔ k ɛ l
ջորի	d͡ʒ ɔ ɾ i
ջորջիա	d͡ʒ ɔ ɾ d͡ʒ i j ɑ
ջութ	d͡ʒ u tʰ
ջութակ	d͡ʒ u tʰ ɑ k
ջուլհակ	d͡ʒ u l h ɑ k
ջուլհակահաստոց	d͡ʒ u l h ɑ k ɑ h ɑ s t ɔ t͡sʰ
ջուղաբ	d͡ʒ u ʁ ɑ b
ջունգլի	d͡ʒ u ŋ ɡ l i
ջուր	d͡ʒ u ɾ
ջուրը	d͡ʒ u ɾ ə
ջուրջով	d͡ʒ u ɾ d͡ʒ ɔ v
ջվալ	d͡ʒ ə v ɑ l
ջրախոզուկ	d͡ʒ ə ɾ ɑ χ ɔ z u k
ջրածին	d͡ʒ ə ɾ ɑ t͡s i n
ջրածնային	d͡ʒ ə ɾ ɑ t͡s n ɑ j i n
ջրահարս	d͡ʒ ə ɾ ɑ h ɑ ɾ s
ջրաղաց	d͡ʒ ə ɾ ɑ ʁ ɑ t͡sʰ
ջրամբար	d͡ʒ ə ɾ ɑ m b ɑ ɾ
ջրային	d͡ʒ ə ɾ ɑ j i n
ջրանուն	d͡ʒ ə ɾ ɑ n u n
ջրանցք	d͡ʒ ə ɾ ɑ n t͡sʰ kʰ
ջրասամույր	d͡ʒ ə ɾ ɑ s ɑ m u j ɾ
ջրասուզակ	d͡ʒ ə ɾ ɑ s u z ɑ k
ջրատար	d͡ʒ ə ɾ ɑ t ɑ ɾ
ջրարգելակ	d͡ʒ ə ɾ ɑ ɾ kʰ ɛ l ɑ k
ջրարջ	d͡ʒ ə ɾ ɑ ɾ t͡ʃʰ
ջրափոս	d͡ʒ ə ɾ ɑ pʰ ɔ s
ջրաքիս	d͡ʒ ə ɾ ɑ kʰ i s
ջրեղեն	d͡ʒ ə ɾ ɛ ʁ ɛ n
ջրի	d͡ʒ ə ɾ i
ջրիմուռ	d͡ʒ ə ɾ i m u r
ջրիմուռներ	d͡ʒ ə ɾ i m u r n ɛ ɾ
ջրծաղիկ	d͡ʒ ə ɾ t͡s ɑ ʁ i k
ջրկոտեմ	d͡ʒ ə ɾ k ɔ t ɛ m
ջրհեղեղ	d͡ʒ ə ɾ h ɛ ʁ ɛ ʁ
ջրհոր	d͡ʒ ə ɾ h ɔ ɾ
ջրհորդան	d͡ʒ ə ɾ h ɔ ɾ d ɑ n
ջրշուն	d͡ʒ ə ɾ ʃ u n
ջրպան	d͡ʒ ə ɾ p ɑ n
ջրվեժ	d͡ʒ ə ɾ v ɛ ʒ
ջրցան	d͡ʒ ə ɾ t͡sʰ ɑ n
ջրօրհնեք	d͡ʒ ə ɾ ɔ ɾ h n ɛ kʰ
ռ	r ə
ռա	r ɑ
ռաբիզ	r ɑ b i z
ռագատկա	r ɑ ɡ ɑ t k ɑ
ռադիո	r ɑ d j ɔ
ռադիոգալակտիկա	r ɑ d i ɔ ɡ ɑ l ɑ k t i k ɑ
ռադիոկայան	r ɑ d i ɔ k ɑ j ɑ n
ռադոն	r ɑ d ɔ n
ռազիան	r ɑ z j ɑ n
ռազմ	r ɑ z m
ռազմագերի	r ɑ z m ɑ ɡ ɛ ɾ i
ռազմակայան	r ɑ z m ɑ k ɑ j ɑ n
ռազմական	r ɑ z m ɑ k ɑ n
ռազմաճակատ	r ɑ z m ɑ t͡ʃ ɑ k ɑ t
ռազմավարական	r ɑ z m ɑ v ɑ ɾ ɑ k ɑ n
ռազմավարություն	r ɑ z m ɑ v ɑ ɾ u tʰ j u n
ռազմիկ	r ɑ z m i k
ռաժոկ	r ɑ ʒ ɔ k
ռախմանինով	r ɑ χ m ɑ n i n ɔ v
ռակ	r ɑ k
ռակկա	r ɑ kː ɑ
ռահ	r ɑ h
ռահվիրա	r ɑ h v i ɾ ɑ
ռաղամ	r ɑ ʁ ɑ m
ռամ	r ɑ m
ռամեն	r ɑ m ɛ n
ռայա	r ɑ j ɑ
ռայպուր	r ɑ j p u ɾ
ռանգ	r ɑ ŋ ɡ
ռանգուն	r ɑ ŋ ɡ u n
ռանդա	r ɑ n d ɑ
ռաջաստան	r ɑ d͡ʒ ɑ s t ɑ n
ռաջաստանի	r ɑ d͡ʒ ɑ s t ɑ n i
ռասա	r ɑ s ɑ
ռասիզմ	r ɑ s i z m
ռասիստ	r ɑ s i s t
ռավիոլի	r ɑ v i ɔ l i
ռացիոնալ	r ɑ t͡sʰ i ɔ n ɑ l
ռաքել	r ɑ kʰ ɛ l
ռաֆայել	r ɑ f ɑ j ɛ l
ռդ	r ə d ə
ռեալ	r ɛ ɑ l
ռեակցիա	r ɛ ɑ k t͡sʰ j ɑ
ռեբուս	r ɛ b u s
ռեգբի	r ɛ ɡ b i
ռեգբիլիգ	r ɛ ɡ b i l i ɡ
ռեգգի	r ɛ ɡː i
ռեգլամենտ	r ɛ ɡ l ɑ m ɛ n t
ռեգուլոս	r ɛ ɡ u l ɔ s
ռեզերֆորդիում	r ɛ z ɛ ɾ f ɔ ɾ d i j u m
ռեժիսոր	r ɛ ʒ i s ɔ ɾ
ռեխ	r ɛ χ
ռեկլամ	r ɛ k l ɑ m
ռեկորդային	r ɛ k ɔ ɾ d ɑ j i n
ռեկտոր	r ɛ k t ɔ ɾ
ռեհան	r ɛ h ɑ n
ռեմեն	r ɛ m ɛ n
ռեմոնտ	r ɛ m ɔ n t
ռեյկյավիկ	r ɛ j k j ɑ v i k
ռեյտինգ	r ɛ j t i ŋ ɡ
ռենտգենիում	r ɛ n t ɡ ɛ n i j u m
ռենտգենիում	r ɛ ŋ ɡ ɛ n j u m
ռեպ	r ɛ p
ռեսուրս	r ɛ s u ɾ s
ռեստորան	r ɛ s t ɔ ɾ ɑ n
ռետին	r ɛ t i n
