ͷ	t͡sʼ
ὑπογράφεισ	y p o ɣ r a f i s
ὑπογράφεισ	y p o ɣ r a ɸ i s
ὑπογράφομαι	h y p o ɡ r a pʰ o m ɛ
ὑπογράφομαι	h y p o ɡ r á pʰ o m a i̯
ὑπογράφομαι	i p o ɣ r a f o m e
ὑπογράφομαι	y p o ɣ r a f o m e
ὑπογράφομαι	y p o ɣ r a ɸ o m ɛ
ὑπογράφομεν	h y p o ɡ r a pʰ o m ɛ n
ὑπογράφομεν	h y p o ɡ r á pʰ o m e n
ὑπογράφομεν	i p o ɣ r a f o m e n
ὑπογράφομεν	y p o ɣ r a f o m e n
ὑπογράφομεν	y p o ɣ r a ɸ o m e n
ὑπογράφω	h y p o ɡ r a pʰ o
ὑπογράφω	h y p o ɡ r á pʰ ɔː
ὑπογράφω	i p o ɣ r a f o
ὑπογράφω	y p o ɣ r a f o
ὑπογράφω	y p o ɣ r a ɸ o
ὑπογραφίσ	h y p o ɡ r a pʰ i s
ὑπογραφίσ	h y p o ɡ r a pʰ í s
ὑπογραφίσ	i p o ɣ r a f i s
ὑπογραφίσ	y p o ɣ r a f i s
ὑπογραφίσ	y p o ɣ r a ɸ i s
ὑπογραφείσ	h y p o ɡ r a pʰ i s
ὑπογραφείσ	h y p o ɡ r a pʰ ěː s
ὑπογραφείσ	i p o ɣ r a f i s
ὑπογραφείσ	y p o ɣ r a f i s
ὑπογραφείσ	y p o ɣ r a ɸ i s
ὑπογραφεῖσ	h y p o ɡ r a pʰ i s
ὑπογραφεῖσ	i p o ɣ r a f i s
ὑπογραφεῖσ	y p o ɣ r a f i s
ὑπογραφεῖσ	y p o ɣ r a ɸ i s
ὑποδέχομαι	h y p o d é kʰ o m a i̯
ὑποδέχομαι	h y p o d ɛ kʰ o m ɛ
ὑποδέχομαι	i p o ð e x o m e
ὑποδέχομαι	y p o ð e x o m e
ὑποδέχομαι	y p o ð e x o m ɛ
ὑποδήμασι	h y p o d e m a s i
ὑποδήμασι	h y p o d ɛ̌ː m a s i
ὑποδήμασι	i p o ð i m a s i
ὑποδήμασι	y p o ð i m a s i
ὑποδήμασιν	h y p o d e m a s i n
ὑποδήμασιν	h y p o d ɛ̌ː m a s i n
ὑποδήμασιν	i p o ð i m a s i n
ὑποδήμασιν	y p o ð i m a s i n
ὑποδήματα	h y p o d e m a t a
ὑποδήματα	h y p o d ɛ̌ː m a t a
ὑποδήματα	i p o ð i m a t a
ὑποδήματα	y p o ð i m a t a
ὑποδήματε	h y p o d e m a t ɛ
ὑποδήματε	h y p o d ɛ̌ː m a t e
ὑποδήματε	i p o ð i m a t e
ὑποδήματε	y p o ð i m a t e
ὑποδήματι	h y p o d e m a t i
ὑποδήματι	h y p o d ɛ̌ː m a t i
ὑποδήματι	i p o ð i m a t i
ὑποδήματι	y p o ð i m a t i
ὑποδήματοσ	h y p o d e m a t o s
ὑποδήματοσ	h y p o d ɛ̌ː m a t o s
ὑποδήματοσ	i p o ð i m a t o s
ὑποδήματοσ	y p o ð i m a t o s
ὑποδεέστερα	h y p o d e é s t e r a
ὑποδεέστερα	h y p o d ɛ ɛ s t ɛ r a
ὑποδεέστερα	i p o ð e e s t e r a
ὑποδεέστερα	y p o ð e e s t e r a
ὑποδεέστεροσ	h y p o d e é s t e r o s
ὑποδεέστεροσ	h y p o d ɛ ɛ s t ɛ r o s
ὑποδεέστεροσ	i p o ð e e s t e r o s
ὑποδεέστεροσ	y p o ð e e s t e r o s
ὑποδείκνυμι	h y p o d i k n y m i
ὑποδείκνυμι	h y p o d ěː k n yː m i
ὑποδείκνυμι	i p o ð i k n i m i
ὑποδείκνυμι	y p o ð i k n y m i
ὑποδεδειγμένοσ	h y p o d e d eː ŋ m é n o s
ὑποδεδειγμένοσ	h y p o d ɛ d i ɡ m ɛ n o s
ὑποδεδειγμένοσ	i p o ð e ð i ɣ m e n o s
ὑποδεδειγμένοσ	y p o ð e ð i ɣ m e n o s
ὑποδεδειγμένων	h y p o d e d eː ŋ m é n ɔː n
ὑποδεδειγμένων	h y p o d ɛ d i ɡ m ɛ n o n
ὑποδεδειγμένων	i p o ð e ð i ɣ m e n o n
ὑποδεδειγμένων	y p o ð e ð i ɣ m e n o n
ὑποδεεστέρα	h y p o d e e s t é r aː
ὑποδεεστέρα	h y p o d ɛ ɛ s t ɛ r a
ὑποδεεστέρα	i p o ð e e s t e r a
ὑποδεεστέρα	y p o ð e e s t e r a
ὑποδημάτοιν	h y p o d e m a t y n
ὑποδημάτοιν	h y p o d ɛː m á t o i̯ n
ὑποδημάτοιν	i p o ð i m a t i n
ὑποδημάτοιν	y p o ð i m a t y n
ὑποδημάτων	h y p o d e m a t o n
ὑποδημάτων	h y p o d ɛː m á t ɔː n
ὑποδημάτων	i p o ð i m a t o n
ὑποδημάτων	y p o ð i m a t o n
ὑποδοχή	h y p o d o kʰ e
ὑποδοχή	h y p o d o kʰ ɛ̌ː
ὑποδοχή	i p o ð o ç i
ὑποδοχή	y p o ð o x i
ὑποδοχή	y p o ð o ç i
ὑποζύγιον	h y p o z d ý ɡ i o n
ὑποζύγιον	h y p o z y ɡ i o n
ὑποζύγιον	i p o z i ʝ i o n
ὑποζύγιον	y p o z y ɣ i o n
ὑποζύγιον	y p o z y ʝ i o n
ὑποθήκη	h y p o tʰ e k e
ὑποθήκη	h y p o tʰ ɛ̌ː k ɛː
ὑποθήκη	i p o θ i c i
ὑποθήκη	y p o θ i c i
ὑποθήκη	y p o θ i k i
ὑποθετικόσ	h y p o tʰ e t i k ó s
ὑποθετικόσ	h y p o tʰ ɛ t i k o s
ὑποθετικόσ	i p o θ e t i k o s
ὑποθετικόσ	y p o θ e t i k o s
ὑποκείμενον	h y p o k i m ɛ n o n
ὑποκείμενον	h y p o k ěː m e n o n
ὑποκείμενον	i p o c i m e n o n
ὑποκείμενον	y p o c i m e n o n
ὑποκείμενον	y p o k i m e n o n
ὑποκείμενοσ	h y p o k i m ɛ n o s
ὑποκείμενοσ	h y p o k ěː m e n o s
ὑποκείμενοσ	i p o c i m e n o s
ὑποκείμενοσ	y p o c i m e n o s
ὑποκείμενοσ	y p o k i m e n o s
ὑποκιστίσ	h y p o k i s t i s
ὑποκιστίσ	h y p o k i s t í s
ὑποκιστίσ	i p o c i s t i s
ὑποκιστίσ	y p o c i s t i s
ὑποκιστίσ	y p o k i s t i s
ὑποκλέπτω	h y p o k l é p t ɔː
ὑποκλέπτω	h y p o k l ɛ p t o
ὑποκλέπτω	i p o k l e p t o
ὑποκλέπτω	y p o k l e p t o
ὑποκοριστικόσ	h y p o k o r i s t i k o s
ὑποκοριστικόσ	h y p o k o r i s t i k ó s
ὑποκοριστικόσ	i p o k o r i s t i k o s
ὑποκοριστικόσ	y p o k o r i s t i k o s
ὑποκρίνομαι	h y p o k r i n o m ɛ
ὑποκρίνομαι	h y p o k r ǐː n o m a i̯
ὑποκρίνομαι	i p o k r i n o m e
ὑποκρίνομαι	y p o k r i n o m e
ὑποκρίνομαι	y p o k r i n o m ɛ
ὑποκρίσει	h y p o k r i s i
ὑποκρίσει	h y p o k r í s eː
ὑποκρίσει	i p o k r i s i
ὑποκρίσει	y p o k r i s i
ὑποκριτήσ	h y p o k s
ὑποκριτήσ	i p o k s
ὑποκριτήσ	y p o k s
ὑποκρύπτομαι	h y p o k r y p t o m ɛ
ὑποκρύπτομαι	h y p o k r ý p t o m a i̯
ὑποκρύπτομαι	i p o k r i p t o m e
ὑποκρύπτομαι	y p o k r y p t o m e
ὑποκρύπτομαι	y p o k r y p t o m ɛ
ὑποκρύπτομεν	h y p o k r y p t o m ɛ n
ὑποκρύπτομεν	h y p o k r ý p t o m e n
ὑποκρύπτομεν	i p o k r i p t o m e n
ὑποκρύπτομεν	y p o k r y p t o m e n
ὑποκόρισμα	h y p o k o r i z m a
ὑποκόρισμα	h y p o k ó r i z m a
ὑποκόρισμα	i p o k o r i z m a
ὑποκόρισμα	y p o k o r i z m a
ὑπολήνιον	h y p o l e n i o n
ὑπολήνιον	h y p o l ɛ̌ː n i o n
ὑπολήνιον	i p o l i n i o n
ὑπολήνιον	y p o l i n i o n
ὑπολαμβάνω	h y p o l a m b a n o
ὑπολαμβάνω	h y p o l a m b á n ɔː
ὑπολαμβάνω	i p o l a m b a n o
ὑπολαμβάνω	y p o l a m b a n o
ὑπολείπω	h y p o l i p o
ὑπολείπω	h y p o l ěː p ɔː
ὑπολείπω	i p o l i p o
ὑπολείπω	y p o l i p o
ὑπολειπομένοισ	h y p o l eː p o m é n o i̯ s
ὑπολειπομένοισ	h y p o l i p o m ɛ n y s
ὑπολειπομένοισ	i p o l i p o m e n i s
ὑπολειπομένοισ	y p o l i p o m e n y s
ὑπολειπόμενοσ	h y p o l eː p ó m e n o s
ὑπολειπόμενοσ	h y p o l i p o m ɛ n o s
ὑπολειπόμενοσ	i p o l i p o m e n o s
ὑπολειπόμενοσ	y p o l i p o m e n o s
ὑπομένω	h y p o m é n ɔː
ὑπομένω	h y p o m ɛ n o
ὑπομένω	i p o m e n o
ὑπομένω	y p o m e n o
ὑπομονή	h y p o m o n e
ὑπομονή	h y p o m o n ɛ̌ː
ὑπομονή	i p o m o n i
ὑπομονή	y p o m o n i
ὑποπρό	h y p o p r o
ὑποπρό	h y p o p r ó
ὑποπρό	i p o p r o
ὑποπρό	y p o p r o
ὑποπτεύω	h y p o p t e w o
ὑποπτεύω	h y p o p t ě u̯ ɔː
ὑποπτεύω	i p o p t e v o
ὑποπτεύω	y p o p t e v o
ὑποπτεύω	y p o p t e β o
ὑποπόδιον	h y p o p o d i o n
ὑποπόδιον	h y p o p ó d i o n
ὑποπόδιον	i p o p o ð i o n
ὑποπόδιον	y p o p o ð i o n
ὑποσπαδίασ	h y p o s p a d i a s
ὑποσπαδίασ	h y p o s p a d í aː s
ὑποσπαδίασ	i p o s p a ð i a s
ὑποσπαδίασ	y p o s p a ð i a s
ὑποσπόνδουσ	h y p o s p o n d u s
ὑποσπόνδουσ	h y p o s p ó n d oː s
ὑποσπόνδουσ	i p o s p o n d u s
ὑποσπόνδουσ	y p o s p o n d u s
ὑποστάτησ	h y p o s t a t e s
ὑποστάτησ	h y p o s t á t ɛː s
ὑποστάτησ	i p o s t a t i s
ὑποστάτησ	y p o s t a t i s
ὑποστρέφω	h y p o s t r é pʰ ɔː
ὑποστρέφω	h y p o s t r ɛ pʰ o
ὑποστρέφω	i p o s t r e f o
ὑποστρέφω	y p o s t r e f o
ὑποστρέφω	y p o s t r e ɸ o
ὑποστόμια	h y p o s t o m i a
ὑποστόμια	h y p o s t ó m i a
ὑποστόμια	i p o s t o m i a
ὑποστόμια	y p o s t o m i a
ὑποτάσσω	h y p o t a s s o
ὑποτάσσω	h y p o t á s s ɔː
ὑποτάσσω	i p o t a s o
ὑποτάσσω	y p o t a s s o
ὑποτακτικόσ	h y p o t a k t i k o s
ὑποτακτικόσ	h y p o t a k t i k ó s
ὑποτακτικόσ	i p o t a k t i k o s
ὑποτακτικόσ	y p o t a k t i k o s
ὑποτείνουσα	h y p o t i n u s a
ὑποτείνουσα	h y p o t ěː n oː s a
ὑποτείνουσα	i p o t i n u s a
ὑποτείνουσα	y p o t i n u s a
ὑποτείνω	h y p o t i n o
ὑποτείνω	h y p o t ěː n ɔː
ὑποτείνω	i p o t i n o
ὑποτείνω	y p o t i n o
ὑποτελέω	h y p o t e l é ɔː
ὑποτελέω	h y p o t ɛ l ɛ o
ὑποτελέω	i p o t e l e o
ὑποτελέω	y p o t e l e o
ὑποτελήσ	h y p o t e l ɛ̌ː s
ὑποτελήσ	h y p o t ɛ l e s
ὑποτελήσ	i p o t e l i s
ὑποτελήσ	y p o t e l i s
ὑποτελεῖσ	h y p o t e l êː s
ὑποτελεῖσ	h y p o t ɛ l i s
ὑποτελεῖσ	i p o t e l i s
ὑποτελεῖσ	y p o t e l i s
ὑποτοπέω	h y p o t o p é ɔː
ὑποτοπέω	h y p o t o p ɛ o
ὑποτοπέω	i p o t o p e o
ὑποτοπέω	y p o t o p e o
ὑποτοπήσαντεσ	h y p o t o p e s a n t ɛ s
ὑποτοπήσαντεσ	h y p o t o p ɛ̌ː s a n t e s
ὑποτοπήσαντεσ	i p o t o p i s a n d e s
ὑποτοπήσαντεσ	y p o t o p i s a n t e s
ὑποτοπήσασ	h y p o t o p e s a s
ὑποτοπήσασ	h y p o t o p ɛ̌ː s aː s
ὑποτοπήσασ	i p o t o p i s a s
ὑποτοπήσασ	y p o t o p i s a s
ὑποτρίβω	h y p o t r i b o
ὑποτρίβω	h y p o t r ǐː b ɔː
ὑποτρίβω	i p o t r i v o
ὑποτρίβω	y p o t r i v o
ὑποτρίβω	y p o t r i β o
ὑποχονδριακόσ	h y p o kʰ o n d r i a k o s
ὑποχονδριακόσ	h y p o kʰ o n d r i a k ó s
ὑποχονδριακόσ	i p o x o n d r i a k o s
ὑποχονδριακόσ	y p o x o n d r i a k o s
ὑποχόνδριοσ	h y p o kʰ o n d r i o s
ὑποχόνδριοσ	h y p o kʰ ó n d r i o s
ὑποχόνδριοσ	i p o x o n d r i o s
ὑποχόνδριοσ	y p o x o n d r i o s
ὑππρό	h y p p r o
ὑππρό	h y p p r ó
ὑππρό	i p r o
ὑππρό	y p p r o
ὑπό	h y p o
ὑπό	h y p ó
ὑπό	i p o
ὑπό	y p o
ὑπόγεια	h y p o ɡ i a
ὑπόγεια	h y p ó ɡ eː a
ὑπόγεια	i p o ʝ i a
ὑπόγεια	y p o ɣ i a
ὑπόγεια	y p o ʝ i a
ὑπόγειε	h y p o ɡ i ɛ
ὑπόγειε	h y p ó ɡ eː e
ὑπόγειε	i p o ʝ i e
ὑπόγειε	y p o ɣ i e
ὑπόγειε	y p o ʝ i e
ὑπόγειοι	h y p o ɡ i y
ὑπόγειοι	h y p ó ɡ eː o i̯
ὑπόγειοι	i p o ʝ i i
ὑπόγειοι	y p o ɣ i y
ὑπόγειοι	y p o ʝ i y
ὑπόγειον	h y p o ɡ i o n
ὑπόγειον	h y p ó ɡ eː o n
ὑπόγειον	i p o ʝ i o n
ὑπόγειον	y p o ɣ i o n
ὑπόγειον	y p o ʝ i o n
ὑπόγειοσ	h y p o ɡ i o s
ὑπόγειοσ	h y p ó ɡ eː o s
ὑπόγειοσ	i p o ʝ i o s
ὑπόγειοσ	y p o ɣ i o s
ὑπόγειοσ	y p o ʝ i o s
ὑπόγλωσσον	h y p o ɡ l o s s o n
ὑπόγλωσσον	h y p ó ɡ l ɔː s s o n
ὑπόγλωσσον	i p o ɣ l o s o n
ὑπόγλωσσον	y p o ɣ l o s s o n
ὑπόδημα	h y p o d e m a
ὑπόδημα	h y p ó d ɛː m a
ὑπόδημα	i p o ð i m a
ὑπόδημα	y p o ð i m a
ὑπόδρα	h y p o d r a
ὑπόδρα	h y p ó d r a
ὑπόδρα	i p o ð r a
ὑπόδρα	y p o ð r a
ὑπόζωμα	h y p o z o m a
ὑπόζωμα	h y p ó z d ɔː m a
ὑπόζωμα	i p o z o m a
ὑπόζωμα	y p o z o m a
ὑπόθεσισ	h y p o tʰ ɛ s i s
ὑπόθεσισ	h y p ó tʰ e s i s
ὑπόθεσισ	i p o θ e s i s
ὑπόθεσισ	y p o θ e s i s
ὑπόκειμαι	h y p o k i m ɛ
ὑπόκειμαι	h y p ó k eː m a i̯
ὑπόκειμαι	i p o c i m e
ὑπόκειμαι	y p o c i m e
ὑπόκειμαι	y p o k i m ɛ
ὑπόκρισισ	h y p o k r i s i s
ὑπόκρισισ	h y p ó k r i s i s
ὑπόκρισισ	i p o k r i s i s
ὑπόκρισισ	y p o k r i s i s
ὑπόκυκλοσ	h y p o k y k l o s
ὑπόκυκλοσ	h y p ó k y k l o s
ὑπόκυκλοσ	i p o c i k l o s
ὑπόκυκλοσ	y p o c y k l o s
ὑπόκυκλοσ	y p o k y k l o s
ὑπόμνημα	h y p o m n e m a
ὑπόμνημα	h y p ó m n ɛː m a
ὑπόμνημα	i p o m n i m a
ὑπόμνημα	y p o m n i m a
ὑπόνομοσ	h y p o n o m o s
ὑπόνομοσ	h y p ó n o m o s
ὑπόνομοσ	i p o n o m o s
ὑπόνομοσ	y p o n o m o s
ὑπόσπονδοσ	h y p o s p o n d o s
ὑπόσπονδοσ	h y p ó s p o n d o s
ὑπόσπονδοσ	i p o s p o n d o s
ὑπόσπονδοσ	y p o s p o n d o s
ὑπόστρωμα	h y p o s t r o m a
ὑπόστρωμα	h y p ó s t r ɔː m a
ὑπόστρωμα	i p o s t r o m a
ὑπόστρωμα	y p o s t r o m a
ὑπόσχεσισ	h y p o s kʰ ɛ s i s
ὑπόσχεσισ	h y p ó s kʰ e s i s
ὑπόσχεσισ	i p o s ç e s i s
ὑπόσχεσισ	y p o s x e s i s
ὑπόσχεσισ	y p o s ç e s i s
ὑπόταξισ	h y p o t a k s i s
ὑπόταξισ	h y p ó t a k s i s
ὑπόταξισ	i p o t a k s i s
ὑπόταξισ	y p o t a k s i s
ὑπότριμμα	h y p o t r i m m a
ὑπότριμμα	h y p ó t r iː m m a
ὑπότριμμα	i p o t r i m a
ὑπότριμμα	y p o t r i m m a
ὑρία	h y r i a
ὑρία	h y r í aː
ὑρία	i r i a
ὑρία	y r i a
ὑριχόσ	h y r i kʰ o s
ὑριχόσ	h y r i kʰ ó s
ὑριχόσ	i r i x o s
ὑριχόσ	y r i x o s
ὑρκανία	h y r k a n i a
ὑρκανία	h y r k a n í aː
ὑρκανία	i r k a n i a
ὑρκανία	y r k a n i a
ὑρμίνη	h y r m i n e
ὑρμίνη	h y r m ǐː n ɛː
ὑρμίνη	i r m i n i
ὑρμίνη	y r m i n i
ὑροιάδησ	h y r o i̯ á d ɛː s
ὑροιάδησ	h y r y a d e s
ὑροιάδησ	i r i a ð i s
ὑροιάδησ	y r y a ð i s
ὑρτήρ	h y r t e r
ὑρτήρ	i r t i r
ὑρτήρ	y r t i r
ὑσγινοβαφήσ	h y z ɡ i n o b a pʰ e s
ὑσγινοβαφήσ	h y z ɡ i n o b a pʰ ɛ̌ː s
ὑσγινοβαφήσ	i z ʝ i n o v a f i s
ὑσγινοβαφήσ	y z ɣ i n o β a ɸ i s
ὑσγινοβαφήσ	y z ʝ i n o v a f i s
ὑσιαί	h y s i ǎ i̯
ὑσιαί	h y s i ɛ
ὑσιαί	i s i e
ὑσιαί	y s i e
ὑσιαί	y s i ɛ
ὑσμίνασ	h y z m i n a s
ὑσμίνασ	h y z m ǐː n aː s
ὑσμίνασ	i z m i n a s
ὑσμίνασ	y z m i n a s
ὑσμίνη	h y z m i n e
ὑσμίνη	h y z m ǐː n ɛː
ὑσμίνη	i z m i n i
ὑσμίνη	y z m i n i
ὑσμίνηι	h y z m i n e
ὑσμίνηι	h y z m ǐː n ɛː i̯
ὑσμίνηι	i z m i n i
ὑσμίνηι	y z m i n i
ὑσμίνην	h y z m i n e n
ὑσμίνην	h y z m ǐː n ɛː n
ὑσμίνην	i z m i n i n
ὑσμίνην	y z m i n i n
ὑσσόσ	h y s s o s
ὑσσόσ	h y s s ó s
ὑσσόσ	i s o s
ὑσσόσ	y s s o s
ὑστάσ	h y s t a s
ὑστάσ	i s t a s
ὑστάσ	y s t a s
ὑστάσπησ	h y s t a s p e s
ὑστάσπησ	h y s t á s p ɛː s
ὑστάσπησ	i s t a s p i s
ὑστάσπησ	y s t a s p i s
ὑστέρα	h y s t é r aː
ὑστέρα	h y s t ɛ r a
ὑστέρα	i s t e r a
ὑστέρα	y s t e r a
ὑστέρημα	h y s t é r ɛː m a
ὑστέρημα	h y s t ɛ r e m a
ὑστέρημα	i s t e r i m a
ὑστέρημα	y s t e r i m a
ὑστέρησα	h y s t ɛ r e s a
ὑστέρησα	h yː s t é r ɛː s a
ὑστέρησα	i s t e r i s a
ὑστέρησα	y s t e r i s a
ὑστέρησισ	h y s t é r ɛː s i s
ὑστέρησισ	h y s t ɛ r e s i s
ὑστέρησισ	i s t e r i s i s
ὑστέρησισ	y s t e r i s i s
ὑσταίχμασ	h y s t ǎ i̯ kʰ m aː s
ὑσταίχμασ	h y s t ɛ kʰ m a s
ὑσταίχμασ	i s t e x m a s
ὑσταίχμασ	y s t e x m a s
ὑσταίχμασ	y s t ɛ x m a s
ὑστερέω	h y s t e r é ɔː
ὑστερέω	h y s t ɛ r ɛ o
ὑστερέω	i s t e r e o
ὑστερέω	y s t e r e o
ὑστεραία	h y s t e r ǎ i̯ aː
ὑστεραία	h y s t ɛ r ɛ a
ὑστεραία	i s t e r e a
ὑστεραία	y s t e r e a
ὑστεραία	y s t e r ɛ a
ὑστεραίαι	h y s t e r ǎ i̯ aː i̯
ὑστεραίαι	h y s t ɛ r ɛ a
ὑστεραίαι	i s t e r e a
ὑστεραίαι	y s t e r e a
ὑστεραίαι	y s t e r ɛ a
ὑστεραῖοσ	h y s t e r â i̯ o s
ὑστεραῖοσ	h y s t ɛ r ɛ o s
ὑστεραῖοσ	i s t e r e o s
ὑστεραῖοσ	y s t e r e o s
ὑστεραῖοσ	y s t e r ɛ o s
ὑστερῶ	h y s t e r ɔ̂ː
ὑστερῶ	h y s t ɛ r o
ὑστερῶ	i s t e r o
ὑστερῶ	y s t e r o
ὑφ'	h y pʰ
ὑφ'	i f
ὑφ'	y f
ὑφ'	y ɸ
ὑφέν	h y pʰ é n
ὑφέν	h y pʰ ɛ n
ὑφέν	i f e n
ὑφέν	y f e n
ὑφέν	y ɸ e n
ὑφή	h y pʰ e
ὑφή	h y pʰ ɛ̌ː
ὑφή	i f i
ὑφή	y f i
ὑφή	y ɸ i
ὑφήγησισ	h y pʰ e ɡ e s i s
ὑφήγησισ	h y pʰ ɛ̌ː ɡ ɛː s i s
ὑφήγησισ	i f i ʝ i s i s
ὑφήγησισ	y f i ʝ i s i s
ὑφήγησισ	y ɸ i ɣ i s i s
ὑφαίνω	h y pʰ ǎ i̯ n ɔː
ὑφαίνω	h y pʰ ɛ n o
ὑφαίνω	i f e n o
ὑφαίνω	y f e n o
ὑφαίνω	y ɸ ɛ n o
ὑφηγήσεωσ	h y pʰ e ɡ e s ɛ o s
ὑφηγήσεωσ	h y pʰ ɛː ɡ ɛ̌ː s e ɔː s
ὑφηγήσεωσ	i f i ʝ i s e o s
ὑφηγήσεωσ	y f i ʝ i s e o s
ὑφηγήσεωσ	y ɸ i ɣ i s e o s
ὑφορβόσ	h y pʰ o r b o s
ὑφορβόσ	h y pʰ o r b ó s
ὑφορβόσ	i f o r v o s
ὑφορβόσ	y f o r v o s
ὑφορβόσ	y ɸ o r β o s
ὑφόλμιον	h y pʰ o l m i o n
ὑφόλμιον	h y pʰ ó l m i o n
ὑφόλμιον	i f o l m i o n
ὑφόλμιον	y f o l m i o n
ὑφόλμιον	y ɸ o l m i o n
ὑψήνωρ	a ɡ e n o r
ὑψήνωρ	a ɡ ɛ̌ː n ɔː r
ὑψήνωρ	a ɣ i n o r
ὑψήνωρ	a ʝ i n o r
ὑψήνωρ	h y p s e n o r
ὑψήνωρ	h y p s ɛ̌ː n ɔː r
ὑψήνωρ	i p s i n o r
ὑψήνωρ	y p s i n o r
ὑψίκομοσ	h y p s i k o m o s
ὑψίκομοσ	h y p s í k o m o s
ὑψίκομοσ	i p s i k o m o s
ὑψίκομοσ	y p s i k o m o s
ὑψίπυλοσ	h y p s i p y l o s
ὑψίπυλοσ	h y p s í p y l o s
ὑψίπυλοσ	i p s i p i l o s
ὑψίπυλοσ	y p s i p y l o s
ὑψίστοισ	h y p s i s t y s
ὑψίστοισ	h y p s í s t o i̯ s
ὑψίστοισ	i p s i s t i s
ὑψίστοισ	y p s i s t y s
ὑψίστων	h y p s i s t o n
ὑψίστων	h y p s í s t ɔː n
ὑψίστων	i p s i s t o n
ὑψίστων	y p s i s t o n
ὑψερεφέσ	h y p s e r e pʰ é s
ὑψερεφέσ	h y p s ɛ r ɛ pʰ ɛ s
ὑψερεφέσ	i p s e r e f e s
ὑψερεφέσ	y p s e r e f e s
ὑψερεφέσ	y p s e r e ɸ e s
ὑψερεφήσ	h y p s e r e pʰ ɛ̌ː s
ὑψερεφήσ	h y p s ɛ r ɛ pʰ e s
ὑψερεφήσ	i p s e r e f i s
ὑψερεφήσ	y p s e r e f i s
ὑψερεφήσ	y p s e r e ɸ i s
ὑψηλήν	h y p s e l e n
ὑψηλήν	h y p s ɛː l ɛ̌ː n
ὑψηλήν	i p s i l i n
ὑψηλήν	y p s i l i n
ὑψηλοῖο	h y p s e l y o
ὑψηλοῖο	h y p s ɛː l ô i̯ o
ὑψηλοῖο	i p s i l i o
ὑψηλοῖο	y p s i l y o
ὑψηλόσ	h y p s e l o s
ὑψηλόσ	h y p s ɛː l ó s
ὑψηλόσ	i p s i l o s
ὑψηλόσ	y p s i l o s
ὑψιβρεμέτησ	h y p s i b r e m é t ɛː s
ὑψιβρεμέτησ	h y p s i b r ɛ m ɛ t e s
ὑψιβρεμέτησ	i p s i v r e m e t i s
ὑψιβρεμέτησ	y p s i v r e m e t i s
ὑψιβρεμέτησ	y p s i β r e m e t i s
ὑψικάρηνοσ	h y p s i k a r e n o s
ὑψικάρηνοσ	h y p s i k á r ɛː n o s
ὑψικάρηνοσ	i p s i k a r i n o s
ὑψικάρηνοσ	y p s i k a r i n o s
ὑψικλῆσ	h y p s i k l e s
ὑψικλῆσ	h y p s i k l ɛ̂ː s
ὑψικλῆσ	i p s i k l i s
ὑψικλῆσ	y p s i k l i s
ὑψιμέλαθροσ	h y p s i m é l a tʰ r o s
ὑψιμέλαθροσ	h y p s i m ɛ l a tʰ r o s
ὑψιμέλαθροσ	i p s i m e l a θ r o s
ὑψιμέλαθροσ	y p s i m e l a θ r o s
ὑψιπύλη	h y p s i p y l e
ὑψιπύλη	h y p s i p ý l ɛː
ὑψιπύλη	i p s i p i l i
ὑψιπύλη	y p s i p y l i
ὑψοῦ	h y p s u
ὑψοῦ	h y p s ôː
ὑψοῦ	i p s u
ὑψοῦ	y p s u
ὑψόθεν	h y p s o tʰ ɛ n
ὑψόθεν	h y p s ó tʰ e n
ὑψόθεν	i p s o θ e n
ὑψόθεν	y p s o θ e n
ὑψόροφον	h y p s o r o pʰ o n
ὑψόροφον	h y p s ó r o pʰ o n
ὑψόροφον	i p s o r o f o n
ὑψόροφον	y p s o r o f o n
ὑψόροφον	y p s o r o ɸ o n
ὑψόροφοσ	h y p s o r o pʰ o s
ὑψόροφοσ	h y p s ó r o pʰ o s
ὑψόροφοσ	i p s o r o f o s
ὑψόροφοσ	y p s o r o f o s
ὑψόροφοσ	y p s o r o ɸ o s
ὑψόσ'	h y p s o s
ὑψόσ'	h y p s ó s
ὑψόσ'	i p s o s
ὑψόσ'	y p s o s
ὑψόσε	h y p s o s ɛ
ὑψόσε	h y p s ó s e
ὑψόσε	i p s o s e
ὑψόσε	y p s o s e
ὑψόω	h y p s o o
ὑψόω	h y p s ó ɔː
ὑψόω	i p s o o
ὑψόω	y p s o o
ὑόσερισ	h y o s ɛ r i s
ὑόσερισ	h y ó s e r i s
ὑόσερισ	i o s e r i s
ὑόσερισ	y o s e r i s
ὑόφθαλμοσ	h y o pʰ tʰ a l m o s
ὑόφθαλμοσ	h y ó pʰ tʰ a l m o s
ὑόφθαλμοσ	i o f θ a l m o s
ὑόφθαλμοσ	y o f θ a l m o s
ὑόφθαλμοσ	y o ɸ θ a l m o s
ὕαινα	h y ɛ n a
ὕαινα	h ý a i̯ n a
ὕαινα	i e n a
ὕαινα	y e n a
ὕαινα	y ɛ n a
ὕαλοσ	h y a l o s
ὕαλοσ	h ý a l o s
ὕαλοσ	i a l o s
ὕαλοσ	y a l o s
ὕβλα	h y b l a
ὕβλα	h ý b l a
ὕβλα	i v l a
ὕβλα	y v l a
ὕβλα	y β l a
ὕβριν	h y b r i n
ὕβριν	h ý b r i n
