't	t
oppen	o p ə n
opreegen	o p ʀ eː ʁ e n
oprou	o p ʀ ə ʊ̯
opsaz	o p z aː t͡s
opschloen	o p ʃ l oː ə n
opschléissen	o p ʃ l ɜ ɪ̯ s ə n
opsetzen	o b z æ t s ə n
optrieden	o p t ʀ i ə̯ d ə n
optrëtt	o p t ʀ ə t
opwéckelen	o b v e k ə l ə n
orange	o ʁ ɑ̃ː ʃ
orientéierungslaf	o ʀ j ə n t ɜ ɪ̯ ə ʀ u ŋ z l aː f
origine	o ʀ i ʒ i n
osten	o s t ə n
otem	oː t ə m
ouer	ə ʊ̯ ɐ
ouereschlëffer	ə ʊ̯ ə ʀ ə ʃ l ə f ɐ
ouereschmalz	ə ʊ̯ ə ʀ ə ʃ m ɑ l t͡s
ouerrank	ə ʊ̯ ɐ ʀ ɑ ŋ k
ouerréng	ə ʊ̯ ɐ ʀ e ŋ
ouni	ə ʊ̯ n i
ouschterdag	ə ʊ̯ ʃ t ɐ d aː χ
ouschteree	ə ʊ̯ ʃ t ə ʀ eː
ouschteren	ə ʊ̯ ʃ t ə ʁ ə n
ouschterhues	ə ʊ̯ ʃ t ɐ h u ə̯ s
owend	oː v ə n t
owendiessen	oː v ə n d i ə̯ s ə n
ower	oː v ɐ
owes	oː v ə s
ozean	oː t͡s e aː n
paakt	p aː k t
paangech	p aː ŋ e χ
paart	p aː χ t
pabeier	p ɑ b ɜ ɪ̯ ɐ
pad	p aː t
paf	p aː f
paff	p ɑ f
pai	p ɑ ɪ̯
pak	p aː k
paken	p aː k ə n
palais	p ɑ l eː
pampelmousse	p ɑ m p ə l m u s
pan	p aː n
pand	p ɑ n t
pandemie	p ɑ n d e m iː
panech	p aː n e χ
pankech	p ɑ ŋ k e χ
pankuch	p aː ŋ k u χ
pann	p ɑ n
panz	p ɑ n t͡s
panéil	p ɑ n ɜ ɪ l
pap	p aː p
papagei	p ɑ p ɑ ɡ ɑ ɪ̯
papp	p ɑ p
paprika	p ɑ p ʀ i k aː
par	p aː ʀ
parréck	p ɑ ʀ e k
parzell	p a ʁ t s æ l
paräis	p ɑ ʀ æː ɪ̯ s
paschtouer	p ɑ ʃ t ə ʊ̯ ɐ
pass	p ɑ s
passen	p ɑ s ə n
passiounsfruucht	p ɑ s j ə ʊ̯ n s f ʁ uː χ t
patent	p ɑ t æ n t
patt	p ɑ t
pawee	p ɑ v eː
paweeën	p ɑ v eː ə n
pech	p æ ɕ
pechband	p æ ʑ b ɑ n t
pechbänner	p æ ʑ b æ n ɐ
pedagogik	p eː d a ɡ o ʒ iː k
peeks	p eː k s
peekt	p eː k t
peepst	p eː p s t
peffer	p æ f ɐ
peffermënz	p æ f ɐ m ə n t͡s
pennen	p æ n ə n
personal	p æ ʀ z o n aː l
pescht	p æ ʃ t
peschtvull	p æ ʃ t f u l
phar	f aː ʀ
phas	f aː s
physik	f i z i k
piipsert	p iː p s ɐ t
piisch	p iː ʃ
pijen	p iː ʒ ə n
pilger	p i l ʑ ɐ
pilgerfaart	p i l ʑ ɐ f aː χ t
pill	p i l
pinguin	p i ŋ ɡ u iː n
pissblumm	p i z b l u m
pistoul	p i s t ə ʊ̯ l
piwitsch	p iː v i t͡ʃ
plack	p l ɑ k
plafong	p l ɑ f o ŋ
plage	p l aː ʃ
plakeg	p l aː k ə ɕ
plang	p l ɑ ŋ
plangen	p l ɑ ŋ ə n
planz	p l ɑ n t s
plastik	p l ɑ s t iː k
plat	p l aː t
platt	p l ɑ t
plaum	p l a u̯ m
plaz	p l aː t s
plazeweis	p l aː t͡s ə v ɑ ɪ̯ s
plo	p l oː
ploen	p l oː ə n
plomm	p l o m
plott	p l o t
plou	p l ə ʊ
pluriel	p l u ʀ i æ l
pluriel	p l u ʀ i ə̯ l
plädéieren	p l æ d ɜ ɪ̯ ə ʀ ə n
pläng	p l æ ŋ
plécken	p l e k ə n
plëmmen	p l ə m ə n
plënneren	p l ə n ə ʀ ə n
pohunn	p oː h u n
poker	p oː k ɐ
pol	p oː l
polarbier	p oː l aː b i ə̯
polen	p oː l ə n
police	p o l i s
politiker	p o l i t i k ɐ
polizist	p o l i t͡s i s t
polizistin	p o l i t͡s i s t i n
pompjee	p o m p j eː
pompjeesgefier	p o m p j eː z ɡ ə f iː ə̯
pond	p o n t
poopst	p oː p s t
popp	p o p
por	p oː ʀ
pornographie	p o ʁ n o ɡ ʁ a f iː
porrett	p o ʀ æ t
portal	p o χ t aː l
portier	p o ʀ t j eː
portmonni	p o χ t m o n i
posch	p o ʃ
post	p o s t
poufank	p ə ʊ̯ f ɑ ŋ k
pouk	p ə ʊ̯ k
poul	p ə ʊ̯ l
pout	p ə ʊ̯ t
prabbeli	p ʀ ɑ b ə l iː
praff	p ʀ ɑ f
praffen	p ʀ ɑ f ə n
praum	p ʀ a u̯ m
prett	p ʀ æ t
priedegen	p ʀ i ə̯ d e ʁ e n
priedeger	p ʀ i ə̯ d e ʁ e ʀ
priedegt	p ʀ i ə̯ d e χ t
primmel	p ʀ i m ə l
prisong	p r i z ɔ ŋ
pro	p ʀ oː
problem	p ʁ o b l æ m
programm	p ʀ o ɡ ʀ ɑ m
promenad	p ʀ o m ə n aː t
promm	p ʀ o m
propper	p ʀ o p ɐ
prouf	p ʀ ə ʊ̯ f
provënz	p ʁ oː v ə n t͡s
pruecht	p ʀ u ə̯ χ t
präis	p ʀ æː ɪ̯ s
prënz	p ʀ ə n t͡s
publikatioun	p u b l i k ɑ s j ə ʊ̯ n
puer	p u ɐ
puer	p u ɐ̯
pull	p u l
punkt	p ʊ ŋ k t
puppelchen	p u p e l χ e n
päerd	p eː ʀ t
päerdsbier	p ɛː ə̯ d z b iː ə̯
päerdscourse	p ɛː ə̯ t s k u ʀ s
päif	p æː ɪ̯ f
päifen	p æː ɪ̯ f ə n
päifint	p æː ɪ̯ v i n t
päinetsch	p æː ɪ̯ n ə t͡ʃ
päiperlek	p æː ɪ̯ p ɐ l ə k
pällem	p æ l ə m
pärel	p ɛː ʀ ə l
péil	p ɜ ɪ̯ l
péis	p ɜ ɪ̯ s
péng	p e ŋ
pëll	p ə l
pëppel	p ə p ə l
pësperen	p ə s p ə ʀ ə n
pëtz	p ə t s
quecksëlwer	k v æ k z e l v e ʀ
queesch	k v eː ʃ
quell	k v æ l
quetsch	k v æ t ʃ
quitt	k v i t
quëllen	k v e l e n
raachen	ʀ aː χ ə n
raaft	ʀ aː f t
rabbelen	ʀ ɑ b ə l ə n
rack	ʀ ɑ k
rad	ʀ aː t
radio	ʀ aː d j o
radioaktivitéit	ʀ aː d j o ɑ k t i v i t ɜ ɪ̯ t
radiowell	ʀ aː d j oː v æ l
raf	ʀ aː f
rafen	ʀ aː f ə n
rakéit	ʀ ɑ k ɜ ɪ̯ t
ram	ʀ aː m
ramm	ʀ ɑ m
rampli	ʀ ɑ m p l i
rand	ʀ ɑ n t
rank	ʀ ɑ ŋ k
rapfen	ʀ ɑ p f ə n
rapp	ʀ ɑ p
rappen	ʀ ɑ p ə n
rapport	ʀ ɑ p oː ʀ
rascht	ʀ ɑ ʃ t
raschten	ʀ ɑ ʃ t ə n
rass	ʀ ɑ s
rat	ʀ aː t
rau	ʀ æː ʊ̯
raum	ʀ æː ʊ̯ m
raumen	ʀ ɑ ʊ̯ m ə n
raup	ʀ æː ʊ̯ p
raut	ʀ æː ʊ̯ t
rauten	ʀ æː ʊ̯ t ə n
realisatioun	ʀ e ɑ l i z ɑ s j ə ʊ̯ n
rechnen	ʀ æ ɕ n ə n
recht	ʀ æ ɕ t
rechteck	ʀ æ ɕ t æ k
rechtlech	ʀ æ χ t l e χ
rechtwénkleg	ʀ æ ʑ d v e ŋ k l ə ɕ
reck	ʀ æ k
reebou	ʀ eː b ə ʊ̯
reeboufrell	ʀ eː b ə ʊ̯ f ʀ æ l
reebéi	ʀ eː b ɜ ɪ̯
reech	ʀ eː ɕ
reechen	ʀ eː ɕ ə n
reef	ʀ eː f
reefs	ʀ eː f s
reeft	ʀ eː f t
reemantel	ʀ eː m ɑ n t ə l
reemäntel	ʀ eː m æ n t ə l
reen	ʀ eː n
reendrëps	ʀ eː n d ʀ ə p s
reenen	ʀ eː n ə n
rees	ʀ eː s
reeschauer	ʀ eː ʃ ɑ ʊ̯ ɐ
reesen	ʀ eː z ə n
reest	ʀ eː s t
reewaasser	ʀ eː v aː s ɐ
reewierm	ʀ eː v iː ə̯ m
reewollek	ʀ eː v o l e k
reewuerm	ʀ eː v uː ə̯ m
reflexiv	ʀ ə f l æ k s iː f
regel	ʀ eː ʁ e l
rei	ʀ ɑ ɪ̯
reiden	ʀ ɑ ɪ̯ d ə n
reider	ʀ ɑ ɪ̯ d ɐ
reien	ʀ ɑ ɪ̯ ə n
reifs	ʀ ɑ ɪ̯ f s
reit	ʀ ɑ ɪ̯ t
reits	ʀ ɑ ɪ̯ t s
reiwen	ʀ ɑ ɪ v ə n
rekolt	ʀ e k o l t
rendéier	ʀ æ n d ɜ ɪ̯ ɐ
reng	ʀ æ ŋ
rengegen	ʀ æ ŋ e ʁ e n
rennen	ʀ æ n ə n
residéieren	ʀ æ z i d ɜ ɪ̯ ə ʀ ə n
retten	ʀ æ t ə n
revolutioun	ʀ e v o l u s j ə ʊ̯ n
rhäin	ʀ æː ɪ̯ n
ribb	ʀ i p
richen	ʀ i ɕ ə n
richteg	ʀ i ɕ t ə ɕ
ridd	ʀ i t
rido	ʀ iː d oː
ried	ʀ i ə t
riedelen	ʀ i ə̯ d ə l ə n
rieden	ʀ i ə̯ d ə n
riedner	ʀ i ə d n ɐ
riednerin	ʀ i ə d n ə ʀ i n
rief	ʀ i ə f
riets	ʀ i ə̯ t s
riicht	ʀ iː χ t
riichtbéien	ʀ iː χ t b e ɪ̯ e n
riichten	ʀ iː χ t e n
riichter	ʀ iː χ t e ʀ
rill	ʀ i l
rimm	ʀ i m
ris	ʀ iː s
riselen	ʀ iː z ə l ə n
rock	ʀ o k
roden	ʀ oː d e n
roff	ʀ o f
roll	ʀ o l
rollschong	ʀ o l ʃ o ŋ
ronderëm	r o n d ə ʀ ə m
rong	ʀ o ŋ
ronn	ʀ o n
ros	ʀ oː s
rosa	ʀ oː z a
rosen	ʀ oː z ə n
roserei	ʀ oː z ə ʀ ɑ ɪ̯
rot	ʀ oː t
rou	ʀ ə ʊ
rouer	ʀ ə ʊ̯ ɐ
roum	ʀ ə ʊ m
rous	ʀ ə ʊ̯ s
rousekranz	ʀ ə ʊ̯ z ə k ʀ ɑ n t͡s
rousemaräin	ʀ ə ʊ̯ z ə m ɑ ʀ æː ɪ̯ n
rousenueleg	ʀ ə ʊ̯ z ə n u ə̯ l ə ɕ
rout	ʀ ə ʊ t
routa	ʀ ə ʊ̯ t aː
routbrëschtchen	ʀ ə ʊ̯ d b ʀ ə ʃ t ɕ ə n
routdréischel	ʀ ə ʊ̯ d d ʀ ɜ ɪ̯ ʃ ə l
routfieder	ʀ ə ʊ̯ t f i ə̯ d ɐ
routschwanz	ʀ ə ʊ̯ t ʃ w ɑ n t͡s
rubbel	ʀ u b ə l
rudder	ʀ u d ɐ
rueden	ʀ u ə̯ d ə n
ruff	ʀ u f
ruffen	ʀ u f ə n
rugby	ʀ ɑ ɡ b iː
rull	ʀ u l
rumm	ʀ u m
russ	ʁ u s
rutt	ʀ u t
räer	ʀ ɛː ə
räich	ʀ æː ɪ̯ ɕ
räich	ʀ æː ɪ̯ χ
räif	ʀ æː ɪ̯ f
räifen	ʀ æː ɪ̯ f ə n
räis	ʀ æː ɪ̯ s
räissen	ʀ æː ɪ̯ s ə n
réck	ʀ e k
réckstrank	ʀ e k ʃ t ʀ ɑ ŋ k
réi	ʀ ɜ ɪ
réidchen	ʀ ɛ ɪ̯ t ɕ ə n
réiden	ʀ ɜ ɪ̯ d ə n
réieren	ʀ ɜ ɪ̯ ə ʀ ə n
réimech	ʀ ɜ ɪ̯ m ə ɕ
réimesch	ʀ ɜ ɪ̯ m ə ʃ
réng	ʀ e ŋ
réngen	ʀ e ŋ ə n
réngglott	ʀ e ŋ ɡ l o t
rëmeleng	ʀ e m e l e ŋ
rëndfleesch	ʀ ə n t f l eː ʃ
rëndvéi	ʀ ə n t f ɜ ɪ̯
rënnen	ʀ ə n ə n
rëpp	ʀ ə p
rëselen	ʀ ə z ə l ə n
rëtsch	ʀ ə t ʃ
saach	z aː χ
saaft	z aː f t
sachlech	z ɑ χ l e χ
saier	z ɑ ɪ̯ ɐ
sail	z ɑ ɪ̯ l
sak	z aː k
sakgaass	z aː ɡ ɡ aː s
salami	s ɑ l aː m i
salem	z aː l ə m
sall	z ɑ l
sallef	z ɑ l ə f
salut	s ɑ l yː
salz	z ɑ l t͡s
salzeg	z ɑ l t͡s e χ
sam	z aː m
samett	z ɑ m æ t
samschdeg	z ɑ m ʃ d e χ
sand	z ɑ n t
sandal	s ɑ n d aː l
sangen	z ɑ ŋ ə n
sat	z aː t
sau	z æː ʊ̯
sauer	z ɑ ʊ̯ ɐ
sauerampel	z ɑ ʊ̯ ɐ ɑ m p ə l
sauermous	z ɑ ʊ̯ ɐ m ə ʊ̯ s
sauerstoff	z ɑ ʊ̯ ɐ ʃ t o f
saumon	s oː m õː
saz	z aː t s
schaarf	ʃ aː ʀ f
schach	ʃ ɑ χ
schachfigur	ʃ ɑ χ f i ɡ u ə̯
schaf	ʃ aː f
schafen	ʃ aː f ə n
schaffen	ʃ ɑ f ə n
schaffner	ʃ ɑ f n ɐ
schal	ʃ aː l
schalen	ʃ aː l ə n
schall	ʃ ɑ l
schallott	ʃ ɑ l o t
schan	ʃ aː n
schank	ʃ ɑ ŋ k
schantjen	ʃ ɑ n t χ e n
schapp	ʃ ɑ p
scharlach	ʃ ɑ ʀ l ɑ χ
schatz	ʃ ɑ t͡s
schauer	ʃ ɑ ʊ̯ ɐ
schaum	ʃ æː ʊ̯ m
schaz	ʃ aː t s
scheed	ʃ eː t
scheeden	ʃ eː d ə n
scheedenagank	ʃ eː d ə n ɑ ɡ ɑ ŋ k
scheedung	ʃ eː d u ŋ
scheek	ʃ eː k
scheekefruucht	ʃ eː k ə f ʀ uː χ t
scheet	ʃ eː t
schei	ʃ ɑ ɪ̯
scheien	ʃ ɑ ɪ̯ ə n
scheier	ʃ ɑ ɪ̯ ɐ
scheif	ʃ ɑ ɪ̯ f
schell	ʃ æ l
schenkel	ʃ æ ŋ k ə l
schiel	ʃ i ə l
schielen	ʃ i ə l ə n
schieren	ʃ i ə ʀ ə n
schiertech	ʃ iː ʀ t e χ
schiet	ʃ i ə̯ t
schif	ʃ iː f
schimt	ʃ i m t
schimtlëps	ʃ i m d l ə p s
schinn	ʃ i n
schinnen	ʃ i n ə n
schlaang	ʃ l aː ŋ
schlag	ʃ l aː χ
schlak	ʃ l aː k
schlaken	ʃ l aː k ə n
schlamm	ʃ l ɑ m
schlank	ʃ l ɑ ŋ k
schlapp	ʃ l ɑ p
schlass	ʃ l ɑ s
schlecht	ʃ l æ ɕ t
schleef	ʃ l eː f
schleefen	ʃ l eː f ə n
schleek	ʃ l eː k
schlei	ʃ l ɑ ɪ̯
schleider	ʃ l ɑ ɪ d ɐ
schliisslech	ʃ l iː s l e χ
schlitt	ʃ l i t
schlo	ʃ l oː
schloen	ʃ l oː ə n
schlof	ʃ l oː f
schlofen	ʃ l oː f ə n
schloff	ʃ l o f
schluecht	ʃ l u ə ɕ t
schluechten	ʃ l u ə̯ χ t e n
schluechtfeld	ʃ l u ə̯ ɕ t f æ l t
schluechthaus	ʃ l u ə̯ ɕ t h æː ʊ̯ s
schluet	ʃ l u ə̯ t
schluss	ʃ l u s
schläich	ʃ l æː ɪ̯ ɕ
schläichen	ʃ l æː ɪ̯ ɕ ə n
schläifen	ʃ l æː ɪ̯ f ə n
schläifsteen	ʃ l æː ɪ̯ f ʃ t eː n
schläim	ʃ l æː ɪ̯ m
schläimen	ʃ l æː ɪ̯ m ə n
schläiss	ʃ l æː ɪ̯ s
schläissen	ʃ l æː ɪ s ə n
schléck	ʃ l e k
schléi	ʃ l ɜ ɪ̯
schléier	ʃ l ɜ ɪ̯ ɐ
schléif	ʃ l ɜ ɪ f
schléissen	ʃ l ɜ ɪ̯ s ə n
schlëff	ʃ l ə f
schlëmm	ʃ l ə m
schlëssel	ʃ l ə s ə l
schmaachen	ʃ m aː χ ə n
schmadd	ʃ m a t
schmalz	ʃ m ɑ l t͡s
schmidden	ʃ m i d ə n
schmier	ʃ m iː ə̯
schmieren	ʃ m i ə ʀ ə n
schmuebel	ʃ m u ə̯ b ə l
schmuelef	ʃ m u ə̯ l ə f
schmäissen	ʃ m æː ɪ s ə n
schmëdd	ʃ m ə t
schnapp	ʃ n a p
schnatt	ʃ n ɑ t
schnatz	ʃ n ɑ t s
schnauer	ʃ n ɑ ʊ̯ ɐ
schnauftubak	ʃ n æː ʊ̯ f t u b aː k
schneid	ʃ n ɑ ɪ̯ t
schneiden	ʃ n ɑ ɪ̯ d ə n
schneider	ʃ n ɑ ɪ̯ d ɐ
schneiderfësch	ʃ n ɑ ɪ̯ d ɐ f ə ʃ
schneien	ʃ n ɑ ɪ̯ ə n
schnell	ʃ n æ l
schniewel	ʃ n i ə̯ v ə l
schnieweldéier	ʃ n i ə̯ v ə l d ɜ ɪ̯ ɐ
schnouer	ʃ n ə ʊ̯ ɐ
schnuddel	ʃ n u d ə l
schnuddelhong	ʃ n u d ə l h o ŋ
schnäizen	ʃ n æː ɪ̯ t͡s ə n
schnéi	ʃ n ɜ ɪ
schnéiball	ʃ n ɜ ɪ̯ b ɑ l
schnéibier	ʃ n ɜ ɪ̯ b iː ə̯
schnéibiesem	ʃ n ɜ ɪ̯ b i ə̯ z ə m
schnéiblann	ʃ n ɜ ɪ̯ b l ɑ n
schnéiflack	ʃ n ɜ ɪ̯ f l ɑ k
schnéiklatz	ʃ n ɜ ɪ̯ k l ɑ t͡s
schnéikläckelchen	ʃ n ɜ ɪ̯ k l æ k ə l ɕ ə n
schnéimännchen	ʃ n ɜ ɪ̯ m æ n ɕ ə n
schnéiplou	ʃ n ɜ ɪ̯ p l ə ʊ̯
schnéireen	ʃ n ɜ ɪ̯ ʀ eː n
schnéischauer	ʃ n ɜ ɪ̯ ʃ ɑ ʊ̯ ɐ
schnéischëpp	ʃ n ɜ ɪ̯ ʃ ə p
schnéiwick	ʃ n ɜ ɪ̯ v i k
schnéiwäiss	ʃ n ɜ ɪ̯ v æː ɪ̯ s
schnëss	ʃ n ə s
schnëtt	ʃ n ə t
schnëtz	ʃ n ə t s
schnëtzel	ʃ n ə t s ə l
schockela	ʃ o k ə l aː
schockelasbotter	ʃ o k ə l aː z b o t ɐ
schof	ʃ oː f
schold	ʃ o l t
schong	ʃ o ŋ
schongbiischt	ʃ o ŋ b i ʃ t
schonn	ʃ o n
schoss	ʃ o s
schossel	ʃ o s ə l
schoul	ʃ ə ʊ̯ l
schoulkand	ʃ ə ʊ̯ l k ɑ n t
schoulmeeschter	ʃ ə ʊ̯ l m eː ʃ t ɐ
schoun	ʃ ə ʊ̯ n
schouss	ʃ ə ʊ̯ s
schouster	ʃ ə ʊ̯ s t ɐ
schratt	ʃ ʀ ɑ t
schrauf	ʃ ʀ ɑ ʊ̯ f
schreifmaschinn	ʃ ʀ a ɪ v m ɑ ʃ i n
schreifweis	ʃ ʀ ɑ ɪ̯ v v ɑ ɪ̯ s
schreiwen	ʃ ʀ ɑ ɪ v ə n
schro	ʃ ʀ oː
schräin	ʃ ʀ æː ɪ̯ n
schräiner	ʃ ʀ æː ɪ̯ n ɐ
schréi	ʃ ʀ ɜ ɪ̯
schréien	ʃ ʀ ɜ ɪ̯ ə n
schrëft	ʃ ʀ ə f t
schrëftgeléierten	ʃ ʀ ə v d ɡ ə l ɜ ɪ̯ ɐ t ə n
schrëftsteller	ʃ ʀ e f t ʃ t æ l ɐ
schrëtt	ʃ ʀ ə t
schued	ʃ u ə̯ t
schuel	ʃ u ə l
schwaach	ʃ w aː χ
schwaarm	ʃ w aː ʀ m
schwaart	ʃ v aː χ t
schwaarz	ʃ v aː ʀ t s
schwaarzbier	ʃ w aː d͡z b iː ə̯
schwammen	ʃ w ɑ m ə n
schwamp	ʃ w ɑ m p
schwan	ʃ w aː n
schwanz	ʃ w ɑ n t͡s
schwanzmees	ʃ w ɑ n d͡z m eː s
schweden	ʃ w eː d ə n
schweess	ʃ w eː s
schweessen	ʃ v eː s e n
schwell	ʃ w æ l
schwiefel	ʃ w i ə̯ f ə l
schwier	ʃ w iː ə̯
schwieren	ʃ w i ə̯ ʀ ə n
schwiewen	ʃ w i ə̯ v ə n
schwoer	ʃ w oː ə̯
schwong	ʃ w o ŋ
schwonk	ʃ w o ŋ k
schwäert	ʃ w ɛː ə̯ t
schwäin	ʃ v æ i̯ n
schwäiz	ʃ v æː ɪ̯ t͡s
schwämm	ʃ v æ m
schwänz	ʃ w æ n t͡s
schwätzen	ʃ v æ t s e n
schwéier	ʃ w ɜ ɪ̯ ɐ
schwéiermamm	ʃ w ɜ ɪ̯ ɐ m ɑ m
schwéierpapp	ʃ w ɜ ɪ̯ ɐ p ɑ p
schwéiesch	ʃ w ɜ ɪ̯ ə ʃ
schwéngchen	ʃ w e ŋ ɕ ə n
schwéngefleesch	ʃ w e ŋ ə f l eː ʃ
schwëllen	ʃ w ə l ə n
schwëster	ʃ w ə s t ɐ
schäin	ʃ æː ɪ̯ n
schäinbar	ʃ æː ɪ̯ n b aː ʀ
schäiss	ʃ æː ɪ̯ s
schäissen	ʃ æː ɪ s ə n
schätz	ʃ æ t͡s
schécken	ʃ e k ə n
schéier	ʃ ɜ ɪ̯ ɐ
schéifer	ʃ ɜ ɪ̯ f ɐ
schéin	ʃ ɜ ɪ̯ n
schéissen	ʃ ɜ ɪ̯ s ə n
schéngen	ʃ e ŋ e n
schëdden	ʃ ə d ə n
schëff	ʃ ə f
schëld	ʃ ə l t
schëlleg	ʃ e l e χ
schëller	ʃ ə l ɐ
schënnen	ʃ ə n ə n
schënner	ʃ ə n ɐ
schëpp	ʃ ə p
schëppen	ʃ ə p ə n
schëtz	ʃ ə t͡s
se	z ə
sech	z e χ
sechs	z æ k s
sechst	z æ k s t
secourist	s e k u ʀ i s t
see	z eː
seech	z eː ɕ
seechen	z eː ɕ ə n
seef	z eː f
seel	z eː l
seem	z eː m
seemen	z eː m ə n
seen	z eː n
seenen	z eː n ə n
seeën	z eː ə n
segel	z eː ʑ ə l
segelen	z eː ʑ ə l ə n
segen	z eː ʑ ə n
seid	z ɑ ɪ̯ t
sekonn	z ə k o n
selwer	z æ l v ɐ
sensatioun	s ãː s ɑ s j ə ʊ̯ n
september	z æ p t æ m b ɐ
setzen	z æ t s ə n
si	z i
sich	z i ɕ
sichen	z i ɕ ə n
sichmaschinn	z i ɕ m ɑ ʃ i n
siechzeg	z i ə̯ ɕ t͡s ə ɕ
siechzéng	z i ə̯ ɕ t͡s e ŋ
siechzéngt	z i ə̯ ɕ t͡s e ŋ t
siedegen	z i ə̯ d e ʁ e n
sielen	z i ə̯ l ə n
siff	z i f
sigel	z i ʁ e l
signal	s i n j aː l
siicht	z iː ɕ t
silb	z i l p
sinn	z i n
sireen	z i ʀ eː n
site	s i t
sitt	z i t
siwen	z iː v ə n
siwent	z iː v ə n t
siwwenzeg	z i w ə n t͡s ə ɕ
siwwenzéng	z i v ə n t͡s e ŋ
siwwenzéngt	z i v ə n t͡s e ŋ t
skelett	s k e l æ t
skizz	s k i t͡s
sklaverei	s k l aː v ə ʀ ɑ ɪ̯
skorpioun	s k o χ p j ə ʊ̯ n
slip	s l i p
so	z oː
soen	z oː ə n
soff	z o f
sollen	z o l ə n
som	z oː m
sonn	z o n
sonndeg	z o n d e χ
sonneblumm	z o n ə b l u m
sonnebrëll	s o n ə b ʀ ə l
sonnefleck	z o n ə f l æ k
sonneg	z o n ə ɕ
sonnenauer	z o n ə n ɑ ʊ̯ ɐ
sonnenopgang	z o n ə n o p ɡ ɑ ŋ
sonnenënnergang	z o n e n e n ɐ ɡ ɑ ŋ
sonneprabbeli	z o n p ʀ ɑ b ə l iː
sonneschäin	z o n ə ʃ æː ɪ̯ n
soss	z o s
sou	z u
sou	z ə ʊ
soueren	z ə ʊ̯ ə ʀ ə n
soumissioun	s u m i s j ə ʊ̯ n
soutien	s u t j ɛ̃ː
souvenir	s u v ə n iː ʀ
souwisou	z ə ʊ̯ v i z ə ʊ̯
spaass	ʃ p aː s
spaassen	ʃ p aː s ə n
spackelter	ʃ p ɑ k æ l t ɐ
spadséieren	ʃ p ɑ d͡z ɜ ɪ̯ ə ʀ ə n
spadséiergang	ʃ p ɑ d͡z ɜ ɪ̯ ɐ ɡ ɑ ŋ
spann	ʃ p ɑ n
spannen	ʃ p ɑ n ə n
spargel	ʃ p a ʁ ʑ ə l
spatz	ʃ p ɑ t s
spaut	ʃ p ɑ ʊ̯ t
spaweck	ʃ p aː v æ k
speck	ʃ p æ k
speech	ʃ p eː ɕ
spelz	ʃ p æ l t͡s
spezifesch	ʃ p æ t͡s iː f ə ʃ
spidol	ʃ p i d oː l
spiecht	ʃ p i ə̯ ɕ t
spieren	ʃ p i ə ʀ ə n
spierk	ʃ p iː ə̯ k
spigel	ʃ p i ʑ ə l
spigelee	ʃ p i ʑ ə l eː
spigelkaarp	ʃ p i ʑ ə l k aː p
spill	ʃ p i l
spillen	ʃ p i l ə n
spillkaart	ʃ p i l k aː χ t
spinat	ʃ p i n aː t
spionéieren	ʃ p i o n ɜ ɪ̯ ə ʀ ə n
spioun	ʃ p i ə ʊ̯ n
spiren	ʃ p iː ə̯ ʁ ə n
spläissen	ʃ p l æː ɪ s ə n
spoun	ʃ p e u̯ n
sprang	ʃ p ʀ ɑ ŋ
sprangen	ʃ p ʀ ɑ ŋ ə n
sprangt	ʃ p ʀ ɑ ŋ t
sprass	ʃ p ʀ ɑ s
spreeden	ʃ p ʀ eː d ə n
spreeën	ʃ p ʀ eː ə n
sprenz	ʃ p ʀ æ n t͡s
spriechen	ʃ p ʀ i e̯ χ e n
spriecher	ʃ p ʀ i ə̯ χ ɐ
sproch	ʃ p ʀ o χ
sprong	ʃ p ʀ o ŋ
spronk	ʃ p ʀ o ŋ k
sprooch	ʃ p ʀ oː χ
sproochgebitt	ʃ p ʀ oː ʁ ɡ ə b i t
sproochlech	ʃ p ʀ oː χ l e χ
spréif	ʃ p ʀ ɜ ɪ f
sprénger	ʃ p ʁ e ŋ ɐ
spréngs	ʃ p ʀ e ŋ s
spréngt	ʃ p ʀ e ŋ t
sprëss	ʃ p ʀ ə s
sprëtz	ʃ p ʀ ə t s
sprëtzen	ʃ p ʀ ə t͡s ə n
spuenesch	ʃ p u ə̯ n ə ʃ
spuenien	ʃ p u ə̯ n j ə n
spuenier	ʃ p u ə̯ n i ɐ
spuer	ʃ p uː ə̯
spueren	ʃ p u ə̯ ʀ ə n
spuerk	ʃ p uː ə̯ k
spuervigel	ʃ p uː ə̯ f i ʑ ə l
spuervull	ʃ p uː ə̯ f u l
spuet	ʃ p u ə̯ t
spull	ʃ p u l
spur	ʃ p uː ə̯
sputt	ʃ p u t
späicher	ʃ p æː ɪ̯ ɕ ɐ
späizen	ʃ p æː ɪ̯ t͡s ə n
spären	ʃ p eː ʀ e n
spéit	ʃ p ɜ ɪ̯ t
spëtz	ʃ p ə t s
spëtzen	ʃ p ə t͡s ə n
spëtzt	ʃ p ə t s t
staang	ʃ t aː ŋ
staark	ʃ t aː χ k
stack	ʃ t ɑ k
stad	ʃ t aː t
stadmauer	ʃ t aː d m ɑ ʊ̯ ə
staf	ʃ t aː f
stall	ʃ t ɑ l
stam	ʃ t aː m
stamen	ʃ t aː m ə n
stamm	ʃ t ɑ m
stammbam	ʃ t ɑ m b aː m
stand	ʃ t ɑ n t
