ँ	ə̃
शिश्नों	ʃ ɪ ʃ n̪ õː
शिष्य	ʃ ɪ ʃ jᵊ
शिष्या	ʃ ɪ ʃ j äː
शीघ्रता	ʃ iː ɡʱ ɾ ə t̪ äː
शीर्ष	ʃ iː ɾ ʃ
शीर्षक	ʃ iː ɾ ʃ ə k
शीर्षासन	ʃ iː ɾ ʃ äː s̪ ə̃ n̪
शीशा	ʃ iː ʃ äː
शुक्रगुज़ार	ʃ ʊ k ɾ ə ɡ ʊ d͡ʒ äː ɾ
शुक्रगुज़ार	ʃ ʊ k ɾ ə ɡ ʊ z äː ɾ
शुक्रवार	ʃ ʊ k ɾ ə ʋ äː ɾ
शुक्राणु	ʃ ʊ k ɾ äː ɳ uː
शुक्रिया	ʃ ʊ k ɾ i j äː
शुद्धगतिकी	ʃ ʊ d̪̚ d̪ʱ ə ɡ t̪ ɪ k iː
शुभकामना	ʃ ʊ bʱ k ä̃ː m n̪ äː
शुभेच्छु	ʃ ʊ bʱ eː t̚ t͡ʃʰ uː
शुरुआत	ʃ ʊ ɾ ʊ äː t̪
शुरुआत	ʃ ʊ ɾ ʋ äː t̪
शुरुआती	ʃ ʊ ɾ ʊ äː t̪ iː
शुल्क	ʃ ʊ l̪ k
शुष्क	ʃ ʊ ʃ k
शुष्कफल	ʃ ʊ ʃ k ə pʰ ə l̪
शूटिंग	ʃ uː ʈ ɪ̃ ŋ ɡ
शून्य	ʃ ũː n̪ j ə
शूरसेन	ʃ uː ɾ s̪ ẽː n̪
शृंखला	ʃ ɾ ɪ̃ ŋ kʰ l̪ äː
शृंग	ʃ ɾ ɪ̃ ŋ ɡ
शेख़ूपुरा	ʃ eː kʰ uː p ʊ ɾ äː
शेख़ूपुरा	ʃ eː x uː p ʊ ɾ äː
शेयरधारक	ʃ eː j ə ɾ d̪ʱ äː ɾ ə k
शेरनी	ʃ eː ɾ n̪ iː
शेष	ʃ eː ʃ
शैंपू	ʃ ɛ̃ː m p uː
शैक्षणिक	ʃ ɛː k ʃ ə ɳ ɪ k
शैतान	ʃ ɛː t̪ ä̃ː n̪
शैतानी	ʃ ɛː t̪ äː n̪ iː
शैली	ʃ ɛː l̪ iː
शैवाल	ʃ ɛː ʋ äː l̪
शोधना	ʃ oː d̪ʱ n̪ äː
शोला	ʃ oː l̪ äː
शोषण	ʃ oː ʃ ə̃ ɳ
शोषित	ʃ oː ʃ ɪ t̪
शौक़ीन	ʃ ɔː k ĩː n̪
शौक़ीन	ʃ ɔː q ĩː n̪
शौचालय	ʃ ɔː t͡ʃ äː l̪ ə j
शौरसेनी	ʃ ɔː ɾ s̪ eː n̪ iː
श्मशान	ʃ m ə ʃ ä̃ː n̪
श्यान	ʃ j ä̃ː n̪
श्यानता	ʃ j ä̃ː n̪ t̪ äː
श्याम	ʃ j ä̃ː m
श्यामदेश	ʃ j ä̃ː m d̪ eː ʃ
श्येन	ʃ j ẽː n̪
श्रद्धा	ʃ ɾ ə d̪̚ d̪ʱ äː
श्रद्धालु	ʃ ɾ ə d̪̚ d̪ʱ äː l̪ uː
श्रद्धेय	ʃ ɾ ə d̪̚ d̪ʱ eː j
श्रमण	ʃ ɾ ə m ə̃ ɳ
श्रामणेर	ʃ ɾ ä̃ː m ɳ eː ɾ
श्रावण	ʃ ɾ äː ʋ ə̃ ɳ
श्रीकाकुलम	ʃ ɾ iː k äː k ʊ l̪ ə̃ m
श्रीनगर	ʃ ɾ iː n̪ ə ɡ ə ɾ
श्रीफल	ʃ ɾ iː pʰ ə l̪
श्रीमती	ʃ ɾ ĩː m t̪ iː
श्रीलंका	ʃ ɾ iː l̪ ə̃ ŋ k äː
श्रोता	ʃ ɾ oː t̪ äː
श्लोक	ʃ l̪ oː k
श्वसन	ʃ ʋ ə s̪ ə̃ n̪
श्वान	ʃ ʋ ä̃ː n̪
श्वेता	ʃ ʋ eː t̪ äː
ष	ʃ ə
षट्कोण	ʃ ə ʈ k õː ɳ
षड्यंत्र	ʃ ə ɖ j ə̃ n̪ t̪ ɾᵊ
षड्यंत्र	ʃ ə ɽ j ə̃ n̪ t̪ ɾᵊ
षष्ठी	ʃ ə ʃ ʈʰ iː
षाण्मासिक	ʃ ä̃ː ɳ m äː s̪ ɪ k
स	s̪ ə
संकट	s̪ ə̃ ŋ k ə ʈ
संकलक	s̪ ə̃ ŋ k ə l̪ ə k
संकलन	s̪ ə̃ ŋ k ə l̪ ə̃ n̪
संकल्प	s̪ ə̃ ŋ k ə l̪ p
संकल्पना	s̪ ə̃ ŋ k ə l̪ p ə n̪ äː
संकेत	s̪ ə̃ ŋ k eː t̪
संकोच	s̪ ə̃ ŋ k oː t͡ʃ
संक्रमण	s̪ ə̃ ŋ k ɾ ə m ə̃ ɳ
संक्रमित	s̪ ə̃ ŋ k ɾ ə m ɪ t̪
संक्रांति	s̪ ə̃ ŋ k ɾ ä̃ː n̪ t̪ iː
संक्रामक	s̪ ə̃ ŋ k ɾ äː m ə k
संक्षय	s ə ŋ k ʃ ə j
संक्षिप्त	s̪ ə̃ ŋ k ʃ ɪ p t̪
संक्षिप्तीकरण	s̪ ə̃ ŋ k ʃ ɪ p t̪ iː k ə ɾ ə̃ ɳ
संख्या	s̪ ə̃ ŋ kʰ j äː
संग	s̪ ə̃ ŋ ɡ
संगठन	s̪ ə̃ ŋ ɡ ə ʈʰ ə̃ n̪
संगठनात्मक	s̪ ə̃ ŋ ɡ ə ʈʰ ə n̪ äː t̪ m ə k
संगणक	s̪ ə̃ ŋ ɡ ə ɳ ə k
संगम	s̪ ə̃ ŋ ɡ ə̃ m
संगमरमर	s̪ ə̃ ŋ ɡ m ə ɾ m ə ɾ
संगीत	s̪ ə̃ ŋ ɡ iː t̪
संगीन	s̪ ə̃ ŋ ɡ ĩː n̪
संगोष्ठी	s̪ ə̃ ŋ ɡ oː ʃ ʈʰ iː
संग्रंथन	s̪ ə̃ ŋ ɡ ɾ ə̃ n̪ t̪ʰ ə̃ n̪
संग्रथन	s̪ ə̃ ŋ ɡ ɾ ə t̪ʰ ə̃ n̪
संग्रन्थन	s̪ ə̃ ŋ ɡ ɾ ə̃ n̪ t̪ʰ ə̃ n̪
संग्रह	s̪ ə̃ ŋ ɡ ɾ ə ɦ
संग्रहालय	s̪ ə̃ ŋ ɡ ɾ ə ɦ äː l̪ ə j
संग्राम	s̪ ə̃ ŋ ɡ ɾ ä̃ː m
संघ	s̪ ə̃ ŋ ɡʱ
संघीय	s̪ ə̃ ŋ ɡʱ iː jᵊ
संचयन	s̪ ə̃ t͡ʃ ə j ə̃ n̪
संचार	s̪ ə̃ n̪ t͡ʃ äː ɾ
संजय	s̪ ə̃ n̪ d͡ʒ ə j
संजाल	s̪ ə̃ n̪ d͡ʒ äː l̪
संज्ञा	s̪ ə̃ ŋ ɡ j äː
संडास	s̪ ə̃ ɳ ɖ äː s̪
संत	s̪ ə̃ n̪ t̪
संतरा	s̪ ə̃ n̪ t̪ ɾ äː
संतान	s̪ ə̃ n̪ t̪ ä̃ː n̪
संतुलन	s̪ ə̃ n̪ t̪ ʊ l̪ ə̃ n̪
संतुलित	s̪ ə̃ n̪ t̪ ʊ l̪ ɪ t̪
संतोष	s̪ ə̃ n̪ t̪ oː ʃ
संतोषी	s̪ ə̃ n̪ t̪ oː ʃ iː
संदर्भ	s̪ ə̃ n̪ d̪ ə ɾ bʱ
संदल	s̪ ə̃ n̪ d̪ ə l̪
संदिग्ध	s̪ ə̃ n̪ d̪ ɪ ɡ d̪ʱ
संदूक़	s̪ ə̃ n̪ d̪ uː k
संदूक़	s̪ ə̃ n̪ d̪ uː q
संदूक़चा	s̪ ə̃ n̪ d̪ uː k t͡ʃ äː
संदूक़चा	s̪ ə̃ n̪ d̪ uː q t͡ʃ äː
संदूषण	s̪ ə̃ n̪ d̪ uː ʃ ə̃ ɳ
संदेय	s̪ ə̃ n̪ d̪ eː j
संदेश	s̪ ə̃ n̪ d̪ eː ʃ
संदेह	s̪ ə̃ n̪ d̪ eː ɦ
संध्या	s̪ ə̃ n̪ d̪ʱ j äː
संन्यास	s̪ ə̃ n̪ n̪ j äː s̪
संन्यासिनी	s̪ ə̃ n̪ n̪ j äː s̪ ɪ n̪ iː
संन्यासी	s̪ ə̃ n̪ n̪ j äː s̪ iː
संपत्ति	s̪ ə̃ m p ə t̪̚ t̪ iː
संपदा	s̪ ə̃ m p ə d̪ äː
संपर्क	s̪ ə̃ m p ə ɾ k
संपादक	s̪ ə̃ m p äː d̪ ə k
संपादकीय	s̪ ə̃ m p äː d̪ ə k iː jᵊ
संपादन	s̪ ə̃ m p äː d̪ ə̃ n̪
संपूर्ण	s̪ ə̃ m p uː ɾ ɳ
संपूर्णता	s̪ ə̃ m p uː ɾ ɳ t̪ äː
संप्रति	s̪ ə̃ m p ɾ ə t̪ iː
संप्रदाय	s̪ ə̃ m p ɾ ə d̪ äː j
संप्रभु	s̪ ə̃ m p ɾ ə bʱ uː
संप्रभुता	s̪ ə̃ m p ɾ ə bʱ ʊ t̪ äː
संबंध	s̪ ə̃ m b ə̃ n̪ d̪ʱ
संबंधी	s̪ ə̃ m b ə̃ n̪ d̪ʱ iː
संबोधित	s̪ ə̃ m b oː d̪ʱ ɪ t̪
संभव	s̪ ə̃ m bʱ ə ʋ
संभालना	s̪ ə̃ m bʱ äː l̪ n̪ äː
संभावना	s̪ ə̃ m bʱ äː ʋ n̪ äː
संभोग	s̪ ə̃ m bʱ oː ɡ
संयंत्र	s̪ ə̃ j ə̃ n̪ t̪ ɾᵊ
संयम	s̪ ə̃ j ə̃ m
संयमिनी	s̪ ə̃ n̪ j ə m ɪ n̪ iː
संयमी	s̪ ə̃ n̪ j ə m iː
संयुक्त	s̪ ə̃ j ʊ k t̪
संयुक्ताक्षर	s̪ ə̃ j ʊ k t̪ äː k ʃ ə ɾ
संयोग	s̪ ə̃ j oː ɡ
संयोगवश	s̪ ə̃ j oː ɡ ʋ ə ʃ
संयोजक	s̪ ə̃ j oː d͡ʒ ə k
संयोजकता	s̪ ə̃ j oː d͡ʒ ə k t̪ äː
संरक्षण	s̪ ə̃ ɾ ə k ʃ ə̃ ɳ
संरक्षणवाद	s̪ ə̃ ɾ ə k ʃ ə̃ ɳ w äː d̪
संरक्षित	s̪ ə̃ ɾ ə k ʃ ɪ t̪
संरचना	s̪ ə̃ ɾ ə t͡ʃ n̪ äː
संरचनात्मक	s̪ ə̃ ɾ ə t͡ʃ n̪ äː t̪ m ə k
संलक्षण	s̪ ə̃ l̪ ə k ʃ ə̃ ɳ
संलग्न	s̪ ə̃ l̪ ə ɡ n̪ᵊ
संलयन	s̪ ə̃ l̪ ə j ə̃ n̪
संलिप्त	s̪ ə̃ l̪ ɪ p t̪
संवत्सर	s̪ ə̃ m w ə t̪ s̪ ə ɾ
संवत्सरी	s̪ ə̃ m w ə t̪ s̪ ə ɾ iː
संवर्धन	s̪ ə̃ m w ə ɾ d̪ʱ ə̃ n̪
संवहन	s̪ ə̃ m w ɛ ɦ ɛ̃ n̪
संवाद	s̪ ə̃ m w äː d̪
संवाददाता	s̪ ə̃ m w äː d̪̚ d̪ äː t̪ äː
संवाहिका	s̪ ə̃ m w äː ɦ ɪ k äː
संवेग	s̪ ə̃ m w eː ɡ
संवेदनशील	s̪ ə̃ m w eː d̪ ə̃ n̪ ʃ iː l̪
संवेदना	s̪ ə̃ m w eː d̪̚ n̪ äː
संवैधानिक	s̪ ə̃ m w ɛː d̪ʱ äː n̪ ɪ k
संशोधन	s̪ ə̃ n̪ ʃ oː d̪ʱ ə̃ n̪
संशोधित	s̪ ə̃ n̪ ʃ oː d̪ʱ ɪ t̪
संश्लिष्ट	s̪ ə̃ n̪ ʃ l̪ ɪ ʂ ʈ
संसद	s̪ ə̃ n̪ s̪ ə d̪
संसदीय	s̪ ə̃ n̪ s̪ ə d̪ iː j
संसाधन	s̪ ə̃ n̪ s̪ äː d̪ʱ ə̃ n̪
संसार	s̪ ə̃ n̪ s̪ äː ɾ
संसिद्धि	s̪ ə̃ n̪ s̪ ɪ d̪̚ d̪ʱ iː
संस्कारी	s̪ ə̃ n̪ s̪ k äː ɾ iː
संस्कृत	s̪ ə̃ n̪ s̪ k ɾ ɪ t̪
संस्कृति	s̪ ə̃ n̪ s̪ k ɾ ɪ t̪ iː
संस्था	s̪ ə̃ n̪ s̪ t̪ʰ äː
संस्थान	s̪ ə̃ n̪ s̪ t̪ʰ ä̃ː n̪
संस्थापक	s̪ ə̃ n̪ s̪ t̪ʰ äː p ə k
संहार	s̪ ə̃ ŋ ɦ äː ɾ
संहार	s̪ ə̃ ɦ äː ɾ
संहिता	s̪ ə̃ ɦ ɪ t̪ äː
सकत	s̪ ə k ə t̪
सकता	s̪ ə k t̪ äː
सकना	s̪ ə k n̪ äː
सकर्मक	s̪ ə k ə ɾ m ə k
सकल	s̪ ə k ə l̪
सकार	s̪ ə k äː ɾ
सक्त	s̪ ə k t̪
सक्रिय	s̪ ə k ɾ ɪ j
सक्षम	s̪ ə k ʃ ə̃ m
सक्सेना	s̪ ə k s̪ eː n̪ äː
सख़्ती	s̪ ə kʰ t̪ iː
सख़्ती	s̪ ə x t̪ iː
सखा	s̪ ə kʰ äː
सख्खर	s̪ ə kʰ kʰ ə ɾ
सगाई	s̪ ə ɡ äː iː
सघन	s̪ ə ɡʱ ə̃ n̪
सघोष	s̪ ə ɡʱ oː ʃ
सच	s̪ ə t͡ʃ
सचमुच	s̪ ə t͡ʃ m ʊ t͡ʃ
सचित्र	s̪ ə t͡ʃ ɪ t̪ ɾᵊ
सचिव	s̪ ə t͡ʃ ɪ ʋ
सच्चरित्र	s̪ ə t̚ t͡ʃ ə ɾ ɪ t̪ ɾᵊ
सच्चा	s̪ ə t̚ t͡ʃ äː
सजल	s̪ ə d͡ʒ ə l̪
सज़ा	s̪ ə d͡ʒ äː
सज़ा	s̪ ə z äː
सजाना	s̪ ə d͡ʒ äː n̪ äː
सजावट	s̪ ə d͡ʒ äː ʋ ə ʈ
सजावटी	s̪ ə d͡ʒ äː ʋ ʈ iː
सजीवता	s̪ ə d͡ʒ iː ʋ t̪ äː
सज्जन	s̪ ə d̚ d͡ʒ ə̃ n̪
सज्जा	s̪ ə d̚ d͡ʒ äː
सज्जित	s̪ ə d̚ d͡ʒ ɪ t̪
सटकना	s̪ ə ʈ ə k n̪ äː
सटीक	s̪ ə ʈ iː k
सट्टा	s̪ ə ʈ̚ ʈ äː
सट्टेबाज़	s̪ ə ʈ̚ ʈ eː b äː d͡ʒ
सट्टेबाज़	s̪ ə ʈ̚ ʈ eː b äː z
सट्टेबाज़ी	s̪ ə ʈ̚ ʈ eː b äː d͡ʒ iː
सट्टेबाज़ी	s̪ ə ʈ̚ ʈ eː b äː z iː
सड़क	s̪ ə ɽ ə k
सड़कछाप	s̪ ə ɽ ə k t͡ʃʰ äː p
सड़ना	s̪ ə ɽ n̪ äː
सड़सठ	s̪ ə ɽ s̪ ə ʈʰ
सड़ियल	s̪ ə ɽ i j ə l̪
सतलुज	s̪ ə t̪ l̪ ʊ d͡ʒ
सतह	s̪ ə t̪ ə ɦ
सतहत्तर	s̪ ə t̪ʰ ə t̪̚ t̪ ə ɾ
सताना	s̪ ə t̪ äː n̪ äː
सत्तर	s̪ ə t̪̚ t̪ ə ɾ
सत्ता	s̪ ə t̪̚ t̪ äː
सत्ताईस	s̪ ə t̪̚ t̪ äː iː s̪
सत्तानवे	s̪ ə t̪̚ t̪ ä̃ː n̪ w eː
सत्तारूढ़	s̪ ə t̪̚ t̪ äː ɾ uː ɽʱ
सत्तावन	s̪ ə t̪̚ t̪ äː ʋ ə̃ n̪
सत्तावाद	s̪ ə t̪̚ t̪ äː ʋ äː d̪
सत्तासी	s̪ ə t̪̚ t̪ äː s̪ iː
सत्य	s̪ ə t̪ jᵊ
सत्याग्रह	s̪ ə t̪ j äː ɡ ɾ ə ɦ
सत्यापन	s̪ ə t̪ j äː p ə̃ n̪
सत्यापनों	s̪ ə t̪ j äː p n̪ õː
सत्रह	s̪ ə t̪ ɾ ə ɦ
सत्वर	s̪ ə t̪ w ə ɾ
सदन	s̪ ə d̪ ə̃ n̪
सदमा	s̪ ə d̪ m äː
सदर	s̪ ə d̪ ə ɾ
सदर	s̪ ə d̪ ɾ
सदरी	s̪ ə d̪ ɾ iː
सदस्य	s̪ ə d̪ ə s̪ jᵊ
सदा	s̪ ə d̪ äː
सदाबहार	s̪ ə d̪ äː b ə ɦ äː ɾ
सदिश	s̪ ə d̪ ɪ ʃ
सदैव	s̪ ə d̪ ɛː ʋ
सद्भावना	s̪ ə d̪ bʱ äː ʋ n̪ äː
सधुक्कड़ी	s̪ ə d̪ʱ ʊ k̚ k ə ɽ iː
सन	s̪ ə̃ n̪
सनक	s̪ ə n̪ ə k
सनकना	s̪ ə n̪ ə k n̪ äː
सनसनी	s̪ ə̃ n̪ s̪ ə n̪ iː
सनसनीख़ेज़	s̪ ə̃ n̪ s̪ ə n̪ iː kʰ eː d͡ʒ
सनसनीख़ेज़	s̪ ə̃ n̪ s̪ ə n̪ iː x eː z
सनातन	s̪ ə n̪ äː t̪ ə̃ n̪
सन्	s̪ ə̃ n̪
सन्दूक़चा	s̪ ə̃ n̪ d̪ uː k t͡ʃ äː
सन्दूक़चा	s̪ ə̃ n̪ d̪ uː q t͡ʃ äː
सन्देह	s̪ ə̃ n̪ d̪ eː ɦ
सन्नाटा	s̪ ə̃ n̪ n̪ äː ʈ äː
सन्निकट	s̪ ə̃ n̪ n̪ ɪ k ə ʈ
सन्निकटन	s̪ ə̃ n̪ n̪ ɪ k ə ʈ ə̃ n̪
सपूत	s̪ ə p uː t̪
सप्तक	s̪ ə p t̪ ə k
सप्ताह	s̪ ə p t̪ äː ɦ
सप्ताहांत	s̪ ə p t̪ äː ɦ ä̃ː n̪ t̪
सफल	s̪ ə pʰ ə l̪
सफ़र	s̪ ə f ə ɾ
सफ़र	s̪ ə pʰ ə ɾ
सफ़रनामा	s̪ ə f ə ɾ n̪ äː m äː
सफ़रनामा	s̪ ə pʰ ə ɾ n̪ äː m äː
सफ़ाई	s̪ ə f äː iː
सफ़ाई	s̪ ə pʰ äː iː
सफ़ेद	s̪ ə f eː d̪
सफ़ेद	s̪ ə pʰ eː d̪
सफेद	s̪ ə f eː d̪
सफेद	s̪ ə pʰ eː d̪
सब	s̪ ə b
सबक	s̪ ə b ə k
सबक	s̪ ə b ə q
सबब	s̪ ə b ə b
सबील	s̪ ə b iː l̪
सबूत	s̪ ə b uː t̪
सब्ज़ी	s̪ ə b d͡ʒ iː
सब्ज़ी	s̪ ə b z iː
सब्ज़ीमंडी	s̪ ə b d͡ʒ iː m ə̃ ɳ ɖ iː
सब्ज़ीमंडी	s̪ ə b z iː m ə̃ ɳ ɖ iː
सब्र	s̪ ə b ə ɾ
सब्र	s̪ ə b ɾ
सभा	s̪ ə bʱ äː
सभ्य	s̪ ə bʱ jᵊ
सभ्यता	s̪ ə bʱ j ə t̪ äː
सम	s̪ ə̃ m
समंदर	s̪ ə m ə̃ n̪ d̪ ə ɾ
समकालीन	s̪ ə̃ m k äː l̪ ĩː n̪
समकोण	s̪ ə̃ m k õː ɳ
समक्ष	s̪ ə m ə k ʃ
समझदार	s̪ ə m ə d͡ʒʱ d̪ äː ɾ
समझना	s̪ ə m ə d͡ʒʱ n̪ äː
समझाना	s̪ ə̃ m d͡ʒʱ äː n̪ äː
समझौता	s̪ ə̃ m d͡ʒʱ ɔː t̪ äː
समतल	s̪ ə̃ m t̪ ə l̪
समधी	s̪ ə̃ m d̪ʱ iː
समनुषंगी	s̪ ə̃ m n̪ ʊ ʃ ə̃ ŋ ɡ iː
समन्वय	s̪ ə m ə̃ n̪ w ə j
समबाहु	s̪ ə̃ m b äː ɦ uː
सममिति	s̪ ə̃ m m ɪ t̪ iː
समय	s̪ ə m ə j
समयसारणी	s̪ ə m ə j s̪ äː ɾ ɳ iː
समयसारिणी	s̪ ə m ə j s̪ äː ɾ ɪ ɳ iː
समयादेश	s̪ ə m ə j äː d̪ eː ʃ
समयानुसार	s̪ ə̃ m j äː n̪ ʊ s̪ äː ɾ
समरूप	s̪ ə̃ m ɾ uː p
समर्थ	s̪ ə m ə ɾ t̪ʰ
समर्थक	s̪ ə m ə ɾ t̪ʰ ə k
समर्थन	s̪ ə m ə ɾ t̪ʰ ə̃ n̪
समर्पण	s̪ ə m ə ɾ p ə̃ ɳ
समष्टि	s̪ ə m ə ʃ ʈ iː
समसामयिक	s̪ ə̃ m s̪ ä̃ː m j ɪ k
समस्या	s̪ ə m ə s̪ j äː
समाकलन	s̪ ə m äː k l̪ ə̃ n̪
समाचार	s̪ ə m äː t͡ʃ äː ɾ
समाचारपत्र	s̪ ə m äː t͡ʃ äː ɾ p ə t̪ ɾᵊ
समाज	s̪ ə m äː d͡ʒ
समाजवाद	s̪ ə m äː d͡ʒ ʋ äː d̪
समाजवादी	s̪ ə m äː d͡ʒ ʋ äː d̪ iː
समाजसेवा	s̪ ə m äː d͡ʒ s̪ eː ʋ äː
समाधान	s̪ ə m äː d̪ʱ ä̃ː n̪
समाधि	s̪ ə m äː d̪ʱ iː
समान	s̪ ə m ä̃ː n̪
समाना	s̪ ə m äː n̪ äː
समापन	s̪ ə m äː p ə̃ n̪
समामेलक	s̪ ə m äː m eː l̪ ə k
समामेलन	s̪ ə m äː m eː l̪ ə̃ n̪
समामेलित	s̪ ə m äː m eː l̪ ɪ t̪
समायोजन	s̪ ə m äː j oː d͡ʒ ə̃ n̪
समायोजित	s̪ ə m äː j oː d͡ʒ ɪ t̪
समारोह	s̪ ə m äː ɾ oː ɦ
समालोचना	s̪ ə m äː l̪ oː t͡ʃ n̪ äː
समावेश	s̪ ə m äː ʋ eː ʃ
समास	s̪ ə m äː s̪
समिट	s̪ ə m ɪ ʈ
समिति	s̪ ə m ɪ t̪ iː
समीकरण	s̪ ə m iː k ə ɾ ə̃ ɳ
समीक्षा	s̪ ə m iː k ʃ äː
समीप	s̪ ə m iː p
समीर	s̪ ə m iː ɾ
समुच्चय	s̪ ə m ʊ t̚ t͡ʃ ə j
समुच्चयबोधक	s̪ ə m ʊ t̚ t͡ʃ ə j b oː d̪ʱ ə k
समुत्थान	s̪ ə m ʊ t̪̚ t̪ʰ ä̃ː n̪
समुदाय	s̪ ə m ʊ d̪ äː j
समुद्र	s̪ ə m ʊ d̪ ɾᵊ
समूह	s̪ ə m uː ɦ
समूहन	s̪ ə m uː ɦ ə̃ n̪
समृद्धिकरण	s̪ ə̃ m ɾ ɪ d̪̚ d̪ʱ ɪ k ə ɾ ə̃ ɳ
समेकन	s̪ ə m eː k ə̃ n̪
समेटना	s̪ ə m eː ʈ n̪ äː
समेत	s̪ ə m eː t̪
समोसा	s̪ ə m oː s̪ äː
सम्पत्ति	s̪ ə̃ m p ə t̪̚ t̪ iː
सम्पादक	s̪ ə̃ m p äː d̪ ə k
सम्पादन	s̪ ə̃ m p äː d̪ ə̃ n̪
सम्पूर्ण	s̪ ə̃ m p uː ɾ ɳ
सम्बन्धी	s̪ ə̃ m b ə̃ n̪ d̪ʱ iː
सम्मति	s̪ ə̃ m m ə t̪ iː
सम्मान	s̪ ə̃ m m ä̃ː n̪
सम्मानजनक	s̪ ə̃ m m ä̃ː n̪ d͡ʒ ə n̪ ə k
सम्मिलन	s̪ ə̃ m m ɪ l̪ ə̃ n̪
सम्मिलित	s̪ ə̃ m m ɪ l̪ ɪ t̪
सम्मिश्रण	s̪ ə̃ m m ɪ ʃ ɾ ə̃ ɳ
सम्मुख	s̪ ə̃ m m ʊ kʰ
सम्मेलन	s̪ ə̃ m m eː l̪ ə̃ n̪
सम्यक्	s̪ ə̃ m j ə k
सम्राज्ञी	s̪ ə̃ m ɾ äː ɡ j iː
सम्राट	s̪ ə̃ m ɾ äː ʈ
सयाना	s̪ ə j äː n̪ äː
सय्याद	s̪ ə j j äː d̪
सर	s̪ ə ɾ
सरंजाम	s̪ ə ɾ ə̃ n̪ d͡ʒ ä̃ː m
सरकंडा	s̪ ə ɾ k ə̃ ɳ ɖ äː
सरकाना	s̪ ə ɾ k äː n̪ äː
सरकार	s̪ ə ɾ k äː ɾ
सरगोधा	s̪ ə ɾ ɡ oː d̪ʱ äː
सरद	s̪ ə ɾ ə d̪
सरदार	s̪ ə ɾ d̪ äː ɾ
सरदी	s̪ ə ɾ d̪ iː
सरपंच	s̪ ə ɾ p ə̃ n̪ t͡ʃ
सरफ़रोश	s̪ ə ɾ f ə ɾ oː ʃ
सरफ़रोश	s̪ ə ɾ pʰ ə ɾ oː ʃ
सरफिरा	s̪ ə ɾ pʰ ɪ ɾ äː
सरल	s̪ ə ɾ ə l̪
सरलीकृत	s̪ ə ɾ l̪ iː k ɾ ɪ t̪
सरसठ	s̪ ə ɾ s̪ ə ʈʰ
सरसों	s̪ ə ɾ s̪ õː
सरस्वती	s̪ ə ɾ ə s̪ ʋ ə t̪ iː
सरहद	s̪ ə ɾ ɦ ə d̪
सरहदी	s̪ ə ɾ ɦ ə d̪ iː
सराइकी	s̪ ə ɾ äː ɪ k iː
सराफ़ा	s̪ ə ɾ äː f äː
सराफ़ा	s̪ ə ɾ äː pʰ äː
सराबोर	s̪ ə ɾ äː b oː ɾ
सराय	s̪ ə ɾ äː j
सराहना	s̪ ə ɾ äː ɦ n̪ äː
सरी	s̪ ə ɾ iː
सरीखा	s̪ ə ɾ iː kʰ äː
सरीसृप	s̪ ə ɾ iː s̪ ɾ ɪ p
सरूर	s̪ ə ɾ uː ɾ
सरेआम	s̪ ə ɾ eː ä̃ː m
सरोज	s̪ ə ɾ oː d͡ʒ
सरोद	s̪ ə ɾ oː d̪
सरोरुह	s̪ ə ɾ oː ɾ ʊ ɦ
सर्किल	s̪ ə ɾ k ɪ l̪
सर्जन	s̪ ə ɾ d͡ʒ ə̃ n̪
सर्द	s̪ ə ɾ d̪
सर्दी	s̪ ə ɾ d̪ iː
सर्प	s̪ ə ɾ p
सर्पिल	s̪ ə ɾ p ɪ l̪
सर्ब	s̪ ə ɾ b
सर्बिया	s̪ ə ɾ b i j äː
सर्वत्र	s̪ ə ɾ ʋ ə t̪ ɾᵊ
सर्वथा	s̪ ə ɾ ʋ t̪ʰ äː
सर्वथा	s̪ ə ɾ ʋ ə t̪ʰ äː
सर्वदलीय	s̪ ə ɾ ʋ d̪ ə l̪ iː jᵊ
सर्वनाम	s̪ ə ɾ ʋ n̪ ä̃ː m
सर्वनाम	s̪ ə ɾ ʋ ə n̪ ä̃ː m
सर्वप्रथम	s̪ ə ɾ ʋ p ɾ ə t̪ʰ ə̃ m
सर्वश्रेष्ठ	s̪ ə ɾ ʋ ə ʃ ɾ eː ʂ ʈʰ
सर्वसम्मति	s̪ ə ɾ ʋ s̪ ə̃ m m ə t̪ iː
सर्वसाधारण	s̪ ə ɾ ʋ s̪ äː d̪ʱ äː ɾ ə̃ ɳ
सर्वहारा	s̪ ə ɾ ʋ ɦ äː ɾ äː
सर्वांगसम	s̪ ə ɾ ʋ ä̃ː ŋ ɡ s̪ ə̃ m
सर्वाधिक	s̪ ə ɾ ʋ äː d̪ʱ ɪ k
सर्विस	s̪ ə ɾ ʋ ɪ s̪
सर्वेक्षण	s̪ ə ɾ ʋ eː k ʃ ə̃ ɳ
सर्वोच्च	s̪ ə ɾ ʋ oː t̚ t͡ʃ
सर्वोदय	s̪ ə ɾ ʋ oː d̪ ə j
सर्वोपरि	s̪ ə ɾ ʋ oː p ə ɾ iː
सर्षप	s̪ ə ɾ ʃ ə p
सलवार	s̪ ə l̪ ʋ äː ɾ
सलहज	s̪ ə l̪ ɛ ɦ ɛ d͡ʒ
सलाउद्दीन	s̪ ə l̪ äː ʊ d̪̚ d̪ ĩː n̪
सलाख	s̪ ə l̪ äː kʰ
