ء	ʔ
دماغ	d a m ɒː ɣ
دماغ	d a m ɔː ɣ
دماغ	d æ m ɒː ɣ
دمبک	d o m b æ k
دمبک	d u m b a k
دمبک	d ʊ m b a k
دنب	d o n b
دنب	d u n b
دنب	d ʊ n b
دندان	d a n d ɑː n
دندان	d a n d ɒː n
دندان	d a n d ɔː n
دندان	d e n d ɒː n
دندان	d æ n d ɒː n
دنیا	d o n j ɒː
دنیا	d u n j ɑː
دنیا	d u n j ɔː
دنیا	d ʊ n j ɒː
دنیدن	d æ n iː d æ n
دنیوی	d o n j æ v e
دنیوی	d u n j a v i
دنیوی	d ʊ n j a w ɪ
ده	d e h
ده	d i h
ده	d ɪ h
دهان	d a h ɑː n
دهان	d a h ɒː n
دهان	d a h ɔː n
دهان	d æ h ɒː n
دهقان	d e h q ɔː n
دهقان	d e h ɣ ɒː n
دهقان	d i h q ɑː n
دهقان	d ɪ h q ɒː n
دهلی	d e h l iː
دهلی	d i h l iː
دهلی	d ɪ h l iː
دو	d o
دو	d u
دو	d uː
دو	d ʊ
دوجنس‌گرا	d o d͡ʒ e n s ɡ æ ɾ ɒː
دوجنس‌گرا	d u d͡ʒ i n s ɡ a ɾ ɑː
دوجنس‌گرا	d u d͡ʒ i n s ɡ a ɾ ɔː
دوجنس‌گرا	d ʊ d͡ʒ ɪ n s ɡ a ɾ ɒː
دودل	d o d e l
دور	d a v ɾ
دور	d a w ɾ
دور	d o w ɾ
دور	d u ɾ
دور	d uː ɾ
دوزخ	d oː z a x
دوزخ	d uː z æ x
دوزخ	d ɵː z a x
دوست	d oː s t
دوست	d uː s t
دوست	d ɵː s t
دوش	d oː ʃ
دوش	d uː ʃ
دوش	d ɵː ʃ
دوغ	d oː ɣ
دوغ	d uː ɣ
دوغ	d ɵː ɣ
دول	d oː l
دول	d uː l
دول	d ɵː l
دولت	d a v l a t
دولت	d a w l a t
دولت	d o w l æ t
دویدن	d a v i d a n
دویدن	d a v iː d a n
دویدن	d a w iː d a n
دویدن	d æ v iː d æ n
دپارتمان	d e p ɒ r tʰ e m ɒ n
دژ	d e ʒ
دژ	d i ʒ
دژ	d o ʒ ~ d e ʒ
دژ	d u ʒ ~ d i ʒ
دژ	d ɪ ʒ
دژ	d ʊ ʒ ~ d ɪ ʒ
دگر	d e ɡ a ɾ
دگر	d eː ɡ a ɾ
دگر	d iː ɡ æ ɾ
دگرجنس‌گرا	d e ɡ æ ɾ d͡ʒ e n s ɡ æ ɾ ɒː
دگرجنس‌گرا	d i ɡ a ɾ d͡ʒ i n s ɡ a ɾ ɑː
دگرجنس‌گرا	d i ɡ a ɾ d͡ʒ i n s ɡ a ɾ ɔː
دگرجنس‌گرا	d ɪ ɡ a ɾ d͡ʒ ɪ n s ɡ a ɾ ɒː
دیدن	d i d a n
دیدن	d iː d a n
دیدن	d iː d æ n
دیر	d e ɾ
دیر	d eː ɾ
دیر	d iː ɾ
دیروز	d i ɾ ɵː z
دیروز	d iː ɾ oː z
دیروز	d iː ɾ uː z
دیسک	d iː s k
دیسک‌ها	d iː s k h ɒː
دیو	d e v
دیو	d eː v
دیو	d eː w
دیو	d iː v
دیوان	d e v ɔː n
دیوان	d eː v ɑː n
دیوان	d eː w ɒː n
دیوان	d iː v ɒː n
دیوانه	d e v ɔː n a
دیوانه	d eː v ɑː n a
دیوانه	d eː w ɒː n a
دیوانه	d iː v ɒː n e
دیگ	d e ɡ
دیگ	d eː ɡ
دیگ	d iː ɡ
دیگدان	d e ɡ d ɔː n
دیگدان	d eː ɡ d ɑː n
دیگدان	d eː ɡ d ɒː n
دیگدان	d iː ɡ d ɒː n
دیگر	d i ɡ a ɾ
دیگر	d iː ɡ a ɾ
دیگر	d iː ɡ æ ɾ
ذ	z
ذ	z ɒː l
ذات	z ɒː t
ذاتی	z ɒː t iː
ذبح	z e b h
ذبح	z i b h
ذبح	z ɪ b h
ذرت	z o rː æ t
ذرت	z u rː a t
ذرت	z ʊ rː a t
ذرت	ð u rː a t
ذره	z a r r a
ذره	z æ r r e
ذهن	z e h n
ذهن	z ɪ h n
ذهن	ð i h n
ذکر	z a k a ɾ
ذکر	z e k ɾ
ذکر	z i k ɾ
ذکر	z æ k æ ɾ
ذکر	z ɪ k ɾ
رأی	ɾ a ʔ j
رأی	ɾ æ ʔ j
را	ɾ ɒː
رابط	ɾ ɑː b i t
رابط	ɾ ɒː b e t
رابط	ɾ ɒː b ɪ t
رابط	ɾ ɔː b i t
رابطه	ɾ ɑː b i t a
رابطه	ɾ ɒː b e t e
رابطه	ɾ ɒː b ɪ t a
رابطه	ɾ ɔː b i t a
راجستان	ɾ ɑː d͡ʒ a s t a n
راجستان	ɾ ɒː d͡ʒ a s t a n
راجستان	ɾ ɒː d͡ʒ æ s t æ n
راجستان	ɾ ɔː d͡ʒ a s t a n
راحت	ɾ ɑː h a t
راحت	ɾ ɒː h a t
راحت	ɾ ɒː h æ t
راحت	ɾ ɔː h a t
رازی	r ɒː z iː
راسته	ɾ ɑː s t a
راسته	ɾ ɒː s t a
راسته	ɾ ɒː s t e
راسته	ɾ ɔː s t a
رام	ɾ ɑː m
رام	ɾ ɒː m
رام	ɾ ɔː m
ران	ɾ ɑː n
ران	ɾ ɒː n
ران	ɾ ɔː n
راهب	ɾ ɑː h i b
راهب	ɾ ɒː h e b
راهب	ɾ ɒː h ɪ b
راهب	ɾ ɔː h i b
رایانه	ɾ ɑː j ɑː n a
رایانه	ɾ ɒː j ɒː n a
رایانه	ɾ ɒː j ɒː n e
رایانه	ɾ ɔː j ɔː n a
رباعی	ɾ o b ɒː ʔ iː
رباعی	ɾ u b ɑː ʔ iː
رباعی	ɾ u b ɔː ʔ iː
رباعی	ɾ ʊ b ɒː ʔ iː
ربع	ɾ o b ʔ
ربع	ɾ u b ʔ
ربع	ɾ ʊ b ʔ
رتیل	ɾ o t e j l
رتیل	ɾ u t a j l
رتیل	ɾ ʊ t a j l
رحیم	r æ h iː m
رخ	r o x
رخام	ɾ o x ɒː m
رخام	ɾ u x ɑː m
رخام	ɾ u x ɔː m
رخام	ɾ ʊ x ɒː m
رختن	r e x t æ n
رده	ɾ a d a
رده	ɾ æ d e
رستوران	r e s t o ɾ ɒː n
رستوران‌ها	r e s t o ɾ ɒː n h ɒː
رسیدن	ɾ a s i d a n ~ ɾ i s i d a n
رسیدن	ɾ a s iː d a n ~ ɾ i s iː d a n
رسیدن	ɾ a s iː d a n ~ ɾ ɪ s iː d a n
رسیدن	ɾ æ s iː d æ n ~ ɾ e s iː d æ n
رشت	r o ʃ t
رشت	r æ ʃ t
رضا	ɾ e z ɒː
رضا	ɾ i z ɑː
رضا	ɾ i z ɔː
رضا	ɾ ɪ z ɒː
رعد	ɾ a ʔ d
رعد	ɾ æ ʔ d
رعنا	ɾ a ʔ n ɑː
رعنا	ɾ a ʔ n ɒː
رعنا	ɾ a ʔ n ɔː
رعنا	ɾ æ ʔ n ɒː
رغبت	r æ ɣ b æ t
رفتار	r æ f t ɒː r
رفدن	ɾ a f d a n
رفدن	ɾ o f d æ n
رفدن	ɾ u f d a n
رفدن	ɾ æ f d æ n
رفدن	ɾ ʊ f d a n
رقص	ɾ a q s
رقص	ɾ æ ɣ s
رمضان	ɾ a m a z ɑː n
رمضان	ɾ a m a z ɒː n
رمضان	ɾ a m a z ɔː n
رمضان	ɾ æ m æ z ɒː n
رنده	ɾ a n d a
رنده	ɾ æ n d e
رنگ	ɾ a n ɡ
رنگ	ɾ æ n ɡ
رنگین	ɾ a n ɡ i n
رنگین	ɾ a n ɡ iː n
رنگین	ɾ æ n ɡ iː n
ره	r æ h
ره	r æː
رواج	r æ v ɒː d͡ʒ
روادید	r æ v ɒː d̪ iː d̪
رواق	ɾ e v ɒː ɣ
رواق	ɾ i v ɑː q
رواق	ɾ i v ɔː q
رواق	ɾ ɪ w ɒː q
روان‌شناس	ɾ a v ɑː n ʃ i n ɑː s
روان‌شناس	ɾ a v ɔː n ʃ i n ɔː s
روان‌شناس	ɾ a w ɒː n ʃ ɪ n ɒː s
روان‌شناس	ɾ æ v ɒː n ʃ e n ɒː s
روباه	ɾ oː b ɑː h
روباه	ɾ oː b ɒː h
روباه	ɾ uː b ɒː h
روباه	ɾ ɵː b ɔː h
روح	ɾ uː h
روح	ɾ ɵː h
روحانی	r o ʊ h ɒː n iː
رود	ɾ oː d
رود	ɾ uː d
رود	ɾ ɵː d
رودابه	ɾ uː d ɒː b e
رودابه	ɾ uː d ɒː b æ
رودخانه	ɾ uː d x ɒː n e
روز	ɾ oː z
روز	ɾ uː z
روز	ɾ ɵː z
روزنامه	ɾ oː z n ɑː m a
روزنامه	ɾ oː z n ɒː m a
روزنامه	ɾ uː z n ɒː m e
روزنامه	ɾ ɵː z n ɔː m a
روزها	ɾ oː z h ɑː
روزها	ɾ oː z h ɒː
روزها	ɾ uː z h ɒː
روزها	ɾ ɵː z h ɔː
روزگار	ɾ oː z ɡ ɑː ɾ ~ ɾ oː z i ɡ ɑː ɾ
روزگار	ɾ oː z ɡ ɒː ɾ ~ ɾ oː z ɪ ɡ ɒː ɾ
روزگار	ɾ uː z ɡ ɒː ɾ ~ ɾ uː z e ɡ ɒː ɾ
روزگار	ɾ ɵː z ɡ ɔː ɾ ~ ɾ ɵː z i ɡ ɔː ɾ
روستا	ɾ oː s t ɑː
روستا	ɾ oː s t ɒː
روستا	ɾ uː s t ɒː
روستا	ɾ ɵː s t ɔː
روسیه	ɾ u s i j a
روسیه	ɾ uː s i j a
روسیه	ɾ uː s i j e
روش	ɾ a v i ʃ
روش	ɾ a w ɪ ʃ
روش	ɾ æ v e ʃ
روشن	ɾ a v ʃ a n
روشن	ɾ a w ʃ a n
روشن	ɾ o w ʃ æ n
روشنی	ɾ a v ʃ a n iː
روشنی	ɾ a w ʃ a n iː
روشنی	ɾ o w ʃ æ n iː
روغن	ɾ a v ɣ a n
روغن	ɾ a w ɣ a n
روغن	ɾ o w ɣ æ n
رومی	ɾ oː m iː
رومی	ɾ uː m iː
رومی	ɾ ɵː m iː
روند	ɾ æ v æ n d
رژیمان	ɾ e ʒ iː m ɑː n
رژیمان	ɾ e ʒ iː m ɒː n
رژیمان	ɾ e ʒ ɪ m ɔ n
ریختن	ɾ e x t a n
ریختن	ɾ eː x t a n
ریختن	ɾ iː x t æ n
ریدک	r e j d æ k
ریدک	r eː d æ k
ریدک	r iː d æ k
ریدک	r æ j d æ k
ریز	ɾ e z
ریز	ɾ eː z
ریز	ɾ iː z
ریش	ɾ e ʃ
ریش	ɾ eː ʃ
ریش	ɾ iː ʃ
ریشه	ɾ e ʃ a
ریشه	ɾ eː ʃ a
ریشه	ɾ iː ʃ e
ریگ	ɾ e ɡ
ریگ	ɾ eː ɡ
ریگ	ɾ iː ɡ
ریگستان	ɾ e ɡ i s t ɔː n
ریگستان	ɾ eː ɡ i s t ɑː n
ریگستان	ɾ eː ɡ ɪ s t ɒː n
ریگستان	ɾ iː ɡ e s t ɒː n
زئوس	z e uː s
زائر	z ɑː ʔ i ɾ
زائر	z ɒː ʔ e ɾ
زائر	z ɒː ʔ ɪ ɾ
زائر	z ɔː ʔ i ɾ
زاده	z ɑː d a
زاده	z ɒː d a
زاده	z ɒː d e
زاده	z ɔː d a
زافه	z â f a
زافه	z â f e
زال	z ɒː l
زان	z ɑː n
زان	z ɒː n
زان	z ɔː n
زانو	z ɑː n uː
زانو	z ɒː n uː
زانو	z ɔː n u
زبان	z a b ɑː n
زبان	z a b ɒː n
زبان	z a b ɔː n
زبان	z æ b ɒː n
زبان‌ها	z æ b ɒː n h ɒː
زحمت	z a h m a t
زحمت	z æ h m æ t
زدن	z a d a n
زدن	z æ d æ n
زراوند	z a ɾ ɑː v a n d
زراوند	z a ɾ ɒː w a n d
زراوند	z a ɾ ɔː v a n d
زراوند	z æ ɾ ɒː v æ n d
زرشک	z e ɾ e ʃ k
زرشکی	z e ɾ e ʃ k iː
زرناپا	z u r n ɒː p ɒː
زره	z e ɾ e h
زره	z i ɾ e h
زره	z i ɾ i h
زره	z ɪ ɾ ɪ h
زشت	z e ʃ t
زشت	z i ʃ t
زشت	z ɪ ʃ t
زشتی	z e ʃ t iː
زغال	z o ɣ ɒː l
زغال	z u ɣ ɑː l
زغال	z u ɣ ɔː l
زغال	z ʊ ɣ ɒː l
زقاق	z o ɣ ɒː ɣ
زقاق	z u q ɑː q
زقاق	z u q ɔː q
زقاق	z ʊ q ɒː q
زمان	z a m ɑː n
زمان	z a m ɒː n
زمان	z a m ɔː n
زمان	z æ m ɒː n
زمستان	z e m e s t ɒː n
زمستان	z i m i s t ɑː n
زمستان	z i m i s t ɔː n
زمستان	z ɪ m ɪ s t ɒː n
زمی	z m iː
زمی	z æ m iː
زمین	z a m i n
زمین	z a m iː n
زمین	z æ m iː n
زمین‌شناسی	z a m i n ʃ i n ɔː s iː
زمین‌شناسی	z a m iː n ʃ i n ɑː s iː
زمین‌شناسی	z a m iː n ʃ ɪ n ɒː s iː
زمین‌شناسی	z æ m iː n ʃ e n ɒː s iː
زنانه	z a n ɑː n a
زنانه	z a n ɒː n a
زنانه	z a n ɔː n a
زنانه	z æ n ɒː n e
زنانگی	z a n ɑː n a ɡ iː
زنانگی	z a n ɒː n a ɡ iː
زنانگی	z a n ɔː n a ɡ iː
زنانگی	z æ n ɒː n e ɡ iː
زنبق	z a m b a q
زنبق	z æ m b æ ɣ
زنبور	z a m b u ɾ
زنبور	z a m b uː ɾ
زنبور	z æ m b uː ɾ
زنجبیل	z æ n d͡ʒ æ b iː l
زنجبیل	z æ n d͡ʒ ə b iː l
زنخ	z a n a x
زنخ	z æ n æ x
زندان	z e n d ɒː n
زندان	z i n d ɑː n
زندان	z i n d ɔː n
زندان	z ɪ n d ɒː n
زنده	z e n d e
زنده	z i n d a
زنده	z ɪ n d a
زندگی	z e n d e ɡ iː
زندگی	z i n d a ɡ iː
زندگی	z ɪ n d a ɡ iː
زهره	z o h ɾ e
زهره	z u h ɾ a
زهره	z ɵː h ɾ a
زهره	z ʊ h ɾ a
زوجیت	z a v d͡ʒ i j a t
زوجیت	z a w d͡ʒ iː j a t
زوجیت	z o w d͡ʒ iː j æ t
زود	z u d
زود	z uː d
زور	z a v ɾ
زور	z a w ɾ
زور	z o w ɾ
زور	z oː ɾ
زور	z uː ɾ
زور	z ɵː ɾ
زورق	z o w ɾ a q
زورق	z o w ɾ æ ɣ
زورمند	z oː ɾ m a n d
زورمند	z uː ɾ m æ n d
زورمند	z ɵː ɾ m a n d
زوو	z v oː
زیاد	z i j ɑː d
زیاد	z i j ɒː d
زیاد	z i j ɔː d
زیاد	z iː j ɒː d
زیبا	z e b ɔː
زیبا	z eː b ɑː
زیبا	z eː b ɒː
زیبا	z iː b ɒː
زیباتر	z iː b ɒː t æ ɾ
زیباترین	z iː b ɒː t æ ɾ iː n
زیر	z e ɾ
زیر	z eː ɾ
زیر	z iː ɾ
زیره	z iː ɾ e
زیره	z iː ɾ æ
زیستن	z i s t a n
زیستن	z iː s t a n
زیستن	z iː s t æ n
زیست‌شناس	z iː s t ʃ e n ɒː s
زیست‌شناسی	z iː s t ʃ e n ɒː s iː
زیویدن	z iː v iː d æ n
زیگ	z iː ɡ
سؤال	s o ɒː l
سؤال	s u ɑː l
سؤال	s u ɔː l
سؤال	s ʊ ɒː l
ساحل	s ɑː h i l
ساحل	s ɒː h e l
ساحل	s ɒː h ɪ l
ساحل	s ɔː h i l
ساختار	s ɑː x t ɑː ɾ
ساختار	s ɒː x t ɒː ɾ
ساختار	s ɔː x t ɔː ɾ
ساختمان	s ɑː x t i m ɑː n
ساختمان	s ɒː x t e m uː n
ساختمان	s ɒː x t e m ɒː n
ساختمان	s ɒː x t ɪ m ɒː n
ساختمان	s ɔː x t i m ɔː n
ساختن	s ɑː x t a n
ساختن	s ɒː x t a n
ساختن	s ɒː x t æ n
ساختن	s ɔː x t a n
ساده	s ɑː d a
ساده	s ɒː d a
ساده	s ɒː d e
ساده	s ɔː d a
ساده‌تر	s ɒː d e t æ ɾ
ساده‌ترین	s ɒː d e t æ ɾ iː n
ساز	s ɑː z
ساز	s ɒː z
ساز	s ɔː z
سازش	s ɑː z i ʃ
سازش	s ɒː z e ʃ
سازش	s ɒː z ɪ ʃ
سازش	s ɔː z i ʃ
سازمان	s ɑː z m ɑː n
سازمان	s ɒː z m ɒː n
سازمان	s ɔː z m ɔː n
ساعت	s ɑː ʔ a t
ساعت	s ɒː ʔ a t
ساعت	s ɒː ʔ æ t
ساعت	s ɔː ʔ a t
سال	s ɒː l
سالار	s ɒː l ɒː ɾ
سالم	s ɑː l i m
سالم	s ɒː l e m
سالم	s ɒː l ɪ m
سالم	s ɔː l i m
سالگرد	s ɑː l ɡ a ɾ d
سالگرد	s ɒː l ɡ a ɾ d
سالگرد	s ɒː l ɡ æ ɾ d
سالگرد	s ɔː l ɡ a ɾ d
سامانه	s ɑː m ɑː n a
سامانه	s ɒː m ɒː n a
سامانه	s ɒː m ɒː n e
سامانه	s ɔː m ɔː n a
سامانه‌ها	s ɒː m ɒː n e h ɒː
ساکاستان	s ɑː k ɑː s t ɑː n
ساکاستان	s ɒː k ɒː s t ɒː n
ساکاستان	s ɔː k ɔː s t ɔː n
سایه	s ɑː j a
سایه	s ɒː j a
سایه	s ɒː j e
سایه	s ɔː j a
سبد	s a b a d
سبد	s æ b æ d
سبز	s a b z
سبز	s æ b z
سبزه	s e b z æ
سبزه	s æ b z e
سبزی	s a b z iː
سبزی	s æ b z iː
ستاره	s e t ɒː ɾ e
ستاره	s i t ɑː ɾ a
ستاره	s i t ɔː ɾ a
ستاره	s ɪ t ɒː ɾ a
ستاره‌شناس	s e t ɒː ɾ e ʃ e n ɒː s
ستبر	s e tʰ æ b ɾ
ستبر	s i tʰ a b ɾ
ستبر	s ɪ tʰ a b ɾ
ستون	s ʊ t uː n
سجستان	s a d͡ʒ a s t ɑː n
سجستان	s a d͡ʒ a s t ɒː n
سجستان	s a d͡ʒ a s t ɔ n
سجستان	s a d͡ʒ e s t ɒː n
سجستان	s a d͡ʒ i s t ɑː n
سجستان	s a d͡ʒ ɪ s t ɔ n
سجستان	s e d͡ʒ e s t ɒː n
سجستان	s i d͡ʒ i s t ɑː n
سجستان	s æ d͡ʒ e s t ɒː n
سجستان	s æ d͡ʒ æ s t ɒː n
سجستان	s ɪ d͡ʒ ɪ s t ɔ n
سحر	s e h ɾ
سحر	s i h ɾ
سحر	s ɪ h ɾ
سخت	s a x t
سخت	s æ x t
سختن	s o x t æ n
سختن	s æ x t æ n
سخنرانی	s o x æ n ɾ ɒː n iː
سخنرانی	s u x a n ɾ ɑː n iː
سخنرانی	s u x a n ɾ ɔː n iː
سخنرانی	s ʊ x a n ɾ ɒː n iː
سده	s a d a
سده	s æ d e
سر	s e r
سر	s æ ɾ
سرانجام	s æ ɾ æ n d͡ʒ ɒː m
سرای	s æ ɾ ɒː j
سرب	s o ɾ b
سرب	s u ɾ b
سرب	s ʊ ɾ b
سرجوخه	s a ɾ d͡ʒ u x a
سرجوخه	s a ɾ d͡ʒ uː x a
سرجوخه	s æ ɾ d͡ʒ uː x e
سرحد	s æ ɾ h æ d
سرخ	s o ɾ x
سرخ	s u ɾ x
سرخ	s ʊ ɾ x
سرخوش	s a ɾ x u ʃ
سرخوش	s a ɾ x ʊ ʃ
سرخوش	s a ɾ xʷ a ʃ
سرخوش	s æ ɾ x o ʃ
سرد	s a ɾ d
سرد	s æ ɾ d
سرداب	s æ ɾ d ɑː b
سردار	s æ ɾ d ɒː ɾ
سرطان	s a ɾ a t ɑː n
سرطان	s a ɾ a t ɒː n
سرطان	s a ɾ a t ɔ n
سرطان	s æ ɾ æ t ɒː n
سرعت	s o ɾ ʔ æ t
سرعت	s u ɾ ʔ a t
سرعت	s ʊ ɾ ʔ a t
سرندیپ	s a r a n d iː p
سرنشین	s a ɾ n i ʃ i n
سرنشین	s a ɾ n i ʃ iː n
سرنشین	s a ɾ n ɪ ʃ iː n
سرنشین	s æ ɾ n e ʃ iː n
سرو	s a ɾ v
سرو	s a ɾ w
سرو	s o ɾ uː
سرو	s u ɾ u
سرو	s u ɾ uː
سرو	s æ ɾ v
سرو	s ʊ ɾ uː
سرودن	s o ɾ uː d æ n
سرودن	s u ɾ u d a n
سرودن	s u ɾ uː d a n
سرودن	s ʊ ɾ uː d a n
سرور	s a ɾ v a ɾ
سرور	s a ɾ w a ɾ
سرور	s æ ɾ v æ ɾ
سرپوش	s a ɾ p oː ʃ
سرپوش	s a ɾ p ɵː ʃ
سرپوش	s æ ɾ p uː ʃ
سرچشمه	s a ɾ t͡ʃ a ʃ m a
سرچشمه	s æ ɾ t͡ʃ æ ʃ m e
سرکار	s a ɾ k ɑː ɾ
سرکار	s a ɾ k ɒː ɾ
سرکار	s a ɾ k ɔː ɾ
سرکار	s æ ɾ k ɒː ɾ
سرکه	s e ɾ k e
سرکه	s i ɾ k a
سرکه	s ɪ ɾ k a
سرگیجه	s a ɾ ɡ i d͡ʒ a
سرگیجه	s a ɾ ɡ iː d͡ʒ a
سرگیجه	s æ ɾ ɡ iː d͡ʒ e
سریانی	s o ɾ j ɒː n iː
سریدن	s o ɾ iː d æ n
سرین	s o ɾ iː n
سرین	s u ɾ e n
سرین	s u ɾ eː n
سرین	s ʊ ɾ eː n
سطح	s a t h
سطح	s æ t h
سعید	s a ʔ i d
سعید	s a ʔ iː d
سعید	s æ ʔ iː d
سفارش	s e f ɒː ɾ e ʃ
سفارش	s i f ɑː ɾ i ʃ
سفارش	s i f ɔː ɾ i ʃ
سفارش	s ɪ f ɒː ɾ ɪ ʃ
سفر	s a f a ɾ
سفر	s e f ɾ
سفر	s i f ɾ
سفر	s æ f æ ɾ
سفر	s ɪ f ɾ
سفید	s a f e d
سفید	s a f eː d
سفید	s æ f iː d
سقرلات	s æ ɣ e ɾ l ɒː t
سقف	s a q f
سقف	s æ ɣ f
سلاح	s e l ɒː h
سلاح	s i l ɑː h
سلاح	s i l ɔː h
سلاح	s ɪ l ɒː h
سلام	s a l ɑː m
سلام	s a l ɒː m
سلام	s a l ɔː m
سلام	s æ l ɒː m
سلسله	s e l s e l e
سلسله	s i l s i l a
سلسله	s ɪ l s ɪ l a
سلیمان	s o l e j m ɒː n
سلیمان	s u l a j m ɑː n
سلیمان	s u l a j m ɔː n
سلیمان	s ʊ l a j m ɒː n
سلیمانی	s o l e j m ɒː n iː
سمت	s a m t
سمت	s æ m t
سمع	s a m ʔ
سمع	s æ m ʔ
سمند	s æ m æ n d
سمور	s æ m oː ɾ
سمور	s æ m uː ɾ
سمیعی	s æ m iː ʔ iː
سن	s e nː
سن	s i nː
سن	s ɪ nː
سنبل	s o m b o l
سنبل	s u m b u l
سنبل	s ʊ m b ʊ l
سنبوسه	s a m b oː s a
سنبوسه	s a m b ɵː s a
سنبوسه	s æ m b uː s e
سنت‌ها	s o n æ t h ɒː
سنجاب	s a n d͡ʒ ɑː b ~ s i n d͡ʒ ɑː b
سنجاب	s a n d͡ʒ ɒː b ~ s ɪ n d͡ʒ ɒː b
سنجاب	s a n d͡ʒ ɔː b ~ s i n d͡ʒ ɔː b
سنجاب	s æ n d͡ʒ ɒː b ~ s e n d͡ʒ ɒː b
سند	s e n d
سند	s i n d
سند	s ɪ n d
سنگ	s æ ŋ ɡ
سنگین	s a n ɡ i n
سنگین	s a n ɡ iː n
سنگین	s æ n ɡ iː n
سهراب	s o h ɾ ɒː b
سهراب	s u h ɾ ɑː b
سهراب	s ɵː h ɾ ɔː b
سهراب	s ʊ h ɾ ɒː b
سهل	s a h l
سهل	s æ h l
سهم	s a h m
سهم	s æ h m
سه‌بعدی	s e b o ʔ d iː
سه‌شنبه	s e ʃ æ n b e
سه‌شنبه	s i ʃ a n b a
سه‌شنبه	s ɪ ʃ a n b a
سوت	s oː t
سوت	s uː t
سوخ	s oː x
سوخ	s uː x
سوختن	s oː x t a n
سوختن	s uː x t æ n
سوختن	s ɵː x t a n
سوخته	s uː x t e
سوداگر	s a v d ɔː ɡ a ɾ
سوداگر	s a w d ɑː ɡ a ɾ
سوداگر	s a w d ɒː ɡ a ɾ
سوداگر	s o w d ɒː ɡ æ ɾ
سورپرایز	s u r p e ɾ ɒ j z
سورپرایز	s u r p ɾ ɒ j z
سورپریز	s u r p i ɾ i z
سورپریز	s u r p ɾ i z
سوریه	s uː ɾ i j e
سوز	s oː z
سوز	s uː z
سوز	s ɵː z
سوزش	s oː z i ʃ
سوزش	s oː z ɪ ʃ
سوزش	s uː z e ʃ
سوزش	s ɵː z i ʃ
سوزن	s u z a n
سوزن	s uː z a n
سوزن	s uː z æ n
سوسمار	s uː s m ɒː r
سوسن	s oː s æ n
سوسن	s uː s æ n
سوسن	s æ ʊ s æ n
سوگ	s oː ɡ
سوگ	s uː ɡ
سوگ	s ɵː ɡ
سوگند	s a v ɡ a n d
سوگند	s a w ɡ a n d
سوگند	s o w ɡ æ n d
سوی	s oː j
سوی	s uː j
سوی	s ɵː j
سپاه	s e p ɒː h
سپاهی	s e p ɒː h iː
سپر	s e p æ ɾ
سپندان	s e p æ n d ɒː n
سپندان	s i p a n d ɑː n
سپندان	s i p a n d ɔː n
سپندان	s ɪ p a n d ɒː n
سپهسالار	s e p æ h s ɒː l ɒː ɾ
سپهسالار	s ɪ p æ h s ɒː l ɒː ɾ
سپوختن	s e p uː x t æ n
سپوختن	s i p u x t a n
سپوختن	s i p uː x t a n
سپوختن	s ɪ p uː x t a n
سکه	s e kː e
سکه	s i kː a
سکه	s ɪ kː a
سگالیدن	s e ɡ ɒː l iː d æ n
سگالیدن	s i ɡ ɑː l iː d a n
سگالیدن	s i ɡ ɔː l i d a n
سگالیدن	s ɪ ɡ ɒː l iː d a n
سیاره‌ها	s æ j ɒː ɾ e h ɒː
سیاست	s i j ɑː s a t
سیاست	s i j ɒː s a t
سیاست	s i j ɒː s æ t
سیاست	s i j ɔː s a t
سیاه	s i j ɑː h
سیاه	s i j ɒː h
سیاه	s i j ɔː h
سیاه‌گوش	s i j ɒː h ɡ oː ʃ
سیب	s e b
سیب	s eː b
سیب	s iː b
سید	s a j j i d
سید	s a j j ɪ d
سید	s e j j e d
سیر	s e ɾ
سیر	s eː ɾ
سیر	s iː ɾ
سیزده	s e z d a h
سیزده	s eː z d a h
سیزده	s iː z d æ h
سیستم	s iː s tʰ e m
سیل	s a j l
سیل	s e j l
سیلاب	s a j l ɑː b
سیلاب	s a j l ɒː b
سیلاب	s a j l ɔː b
سیلاب	s e j l ɒː b
سیلابی	s a j l ɑː b eː
سیلابی	s a j l ɒː b eː
سیلابی	s a j l ɔː b e
سیلابی	s e j l ɒː b iː
سیلاس	s iː l ɒː s
سیلو	s i l u
سیم	s e j o m
سیم	s iː m
سیمرغ	s i m u ɾ ɣ
سیمرغ	s iː m o ɾ ɣ
سیمرغ	s iː m u ɾ ɣ
سیمرغ	s iː m ʊ ɾ ɣ
سینا	s iː n ɒː
سینه	s i n a
سینه	s iː n a
سینه	s iː n e
ش	j e ʃ
ش	j i ʃ
ش	j ɪ ʃ
شات	ʃ ɒː t
شاخ	ʃ ɒ x
شاخه	ʃ ɒː x e
شاداب	ʃ ɒː d ɒː b
شادمان	ʃ ɒː d m ɒː n
شاذ	ʃ ɒː z
شاعر	ʃ ɑː ʔ i ɾ
شاعر	ʃ ɒː ʔ e ɾ
شاعر	ʃ ɒː ʔ ɪ ɾ
شاعر	ʃ ɔː ʔ i ɾ
شال	ʃ ɒː l
شامل	ʃ ɑː m i l
شامل	ʃ ɒː m e l
شامل	ʃ ɒː m ɪ l
شامل	ʃ ɔː m i l
شانه	ʃ ɑː n a
شانه	ʃ ɒː n a
شانه	ʃ ɒː n e
شانه	ʃ ɔː n a
شاه	ʃ ɑː h
شاه	ʃ ɒː h
