є	j ɛ
спрогнозувати	s p r ɔ ɦ n ɔ z ʊ ʋ ɑ t e
спроможність	s p r ɔ m ɔ ʒ nʲ i sʲ tʲ
спроможний	s p r ɔ m ɔ ʒ n e i̯
спростити	s p r ɔ s t ɪ t e
спростовувати	s p r ɔ s t ɔ w ʊ ʋ ɐ t e
спростувати	s p r ɔ s t ʊ ʋ ɑ t e
спрощувати	s p r ɔ ʃ t͡ʃ ʊ ʋ ɐ t e
спрямовувати	s p rʲ ɐ m ɔ w ʊ ʋ ɐ t e
спрямувати	s p rʲ ɐ m ʊ ʋ ɑ t e
срібло	sʲ rʲ i b ɫ ɔ
срібний	sʲ rʲ i b n e i̯
срака	s r ɑ k ɐ
ссавець	sː ɐ ʋ ɛ t͡sʲ
ссавці	sː ɐ u̯ t͡sʲ i
ссати	sː ɑ t e
стіг	sʲ tʲ i ɦ
стіл	sʲ tʲ i ɫ
стілець	sʲ tʲ i ɫ ɛ t͡sʲ
стільниковий	sʲ tʲ i lʲ n e k ɔ ʋ e i̯
стіна	sʲ tʲ i n ɑ
стабілізація	s t ɐ bʲ i lʲ i z ɑ t͡sʲ i j ɐ
стабілізувати	s t ɐ bʲ i lʲ i z ʊ ʋ ɑ t e
стабільність	s t ɐ bʲ i lʲ nʲ i sʲ tʲ
стабільний	s t ɐ bʲ i lʲ n e i̯
ставати	s t ɐ ʋ ɑ t e
ставатися	s t ɐ ʋ ɑ t e sʲ ɐ
ставити	s t ɑ ʋ e t e
ставлення	s t ɑ u̯ ɫ e nʲː ɐ
стадіон	s t ɐ dʲ i ɔ n
стайня	s t ɑ i̯ nʲ ɐ
стакан	s t ɐ k ɑ n
сталевий	s t ɐ ɫ ɛ ʋ e i̯
сталь	s t ɑ lʲ
стан	s t ɑ n
станіслав	s t ɐ nʲ i s ɫ ɑ u̯
стандарт	s t ɐ n d ɑ r t
стандарті	s t ɐ n d ɑ r tʲ i
стандартів	s t ɐ n d ɑ r tʲ i u̯
стандартам	s t ɐ n d ɑ r t ɐ m
стандартами	s t ɐ n d ɑ r t ɐ m e
стандартах	s t ɐ n d ɑ r t ɐ x
стандарти	s t ɐ n d ɑ r t e
стандартизація	s t ɐ n d ɐ r t e z ɑ t͡sʲ i j ɐ
стандартизувати	s t ɐ n d ɐ r t e z ʊ ʋ ɑ t e
стандартний	s t ɐ n d ɑ r t n e i̯
стандартові	s t ɐ n d ɑ r t ɔ ʋʲ i
стандартом	s t ɐ n d ɑ r t ɔ m
стандарту	s t ɐ n d ɑ r t ʊ
становище	s t ɐ n ɔ ʋ e ʃ t͡ʃ e
станціє	s t ɑ nʲ t͡sʲ i j e
станцією	s t ɑ nʲ t͡sʲ i j e j ʊ
станції	s t ɑ nʲ t͡sʲ i j i
станцій	s t ɑ nʲ t͡sʲ i i̯
станцію	s t ɑ nʲ t͡sʲ i j ʊ
станція	s t ɑ nʲ t͡sʲ i j ɐ
станціям	s t ɑ nʲ t͡sʲ i j ɐ m
станціями	s t ɑ nʲ t͡sʲ i j ɐ m e
станціях	s t ɑ nʲ t͡sʲ i j ɐ x
стар	s t ɑ r
старіти	s t ɑ rʲ i t e
старіти	s t ɐ rʲ i t e
старанний	s t ɐ r ɑ nː e i̯
старання	s t ɐ r ɑ nʲː ɐ
старатися	s t ɐ r ɑ t e sʲ ɐ
старий	s t ɐ r ɪ i̯
старик	s t ɐ r ɪ k
стародавній	s t ɐ r ɔ d ɑ u̯ nʲ i i̯
старомодний	s t ɐ r ɔ m ɔ d n e i̯
статевий	s t ɐ t ɛ ʋ e i̯
стати	s t ɑ t e
статистика	s t ɐ t ɪ s t e k ɐ
статистичний	s t ɐ t e s t ɪ t͡ʃ n e i̯
стаття	s t ɐ tʲː ɑ
статус	s t ɑ t ʊ s
статут	s t ɐ t u t
стать	s t ɑ tʲ
ствол	s t w ɔ ɫ
створення	s t w ɔ r e nʲː ɐ
створити	s t w ɔ r ɪ t e
створювати	s t w ɔ rʲ ʊ ʋ ɐ t e
стегно	s t e ɦ n ɔ
стежити	s t ɛ ʒ e t e
стезя	s t e zʲ ɑ
стеля	s t ɛ lʲ ɐ
степ	s t ɛ p
стереотип	s t e r e ɔ t ɪ p
стерня	s t e r nʲ ɑ
стерня	s t e r nʲ ɑ
стероїд	s t e r ɔ j i d
стефанія	s t e f ɑ nʲ i j ɐ
стехіометрія	s t e xʲ i ɔ m ɛ tʲ rʲ i j ɐ
стигматизація	s t e ɦ m ɐ t e z ɑ t͡sʲ i j ɐ
стилістика	s t e lʲ i s t e k ɐ
стилістичний	s t e lʲ i s t ɪ t͡ʃ n e i̯
стиль	s t ɪ lʲ
стильний	s t ɪ lʲ n e i̯
стимул	s t ɪ m ʊ ɫ
стимулювати	s t e m ʊ lʲ ʊ ʋ ɑ t e
сто	s t ɔ
стовбур	s t ɔ u̯ b ʊ r
стовп	s t ɔ u̯ p
столітті	s t o lʲ i tʲː i
століттю	s t o lʲ i tʲː ʊ
століття	s t o lʲ i tʲː ɐ
століттям	s t o lʲ i tʲː ɐ m
століттями	s t o lʲ i tʲː ɐ m e
століттях	s t o lʲ i tʲː ɐ x
століть	s t o lʲ i tʲ
столиця	s t ɔ ɫ ɪ t͡sʲ ɐ
столична	s t ɔ ɫ ɪ t͡ʃ n ɐ
столичний	s t ɔ ɫ ɪ t͡ʃ n e i̯
стоматолог	s t ɔ m ɐ t ɔ ɫ ɔ ɦ
стоматологія	s t ɔ m ɐ t ɔ ɫ ɔ ɦʲ i j ɐ
стомити	s t ɔ m ɪ t e
стомлений	s t ɔ m ɫ e n e i̯
стомлювати	s t ɔ m lʲ ʊ ʋ ɐ t e
стопа	s t ɔ p ɑ
сторінка	s t o rʲ i n k ɐ
сторож	s t ɔ r ɔ ʒ
сторона	s t ɔ r ɔ n ɑ
стосовно	s t ɔ s ɔ u̯ n ɔ
стояти	s t ɔ j ɑ t e
стріла	s tʲ rʲ i ɫ ɑ
стрілка	s tʲ rʲ i ɫ k ɐ
стріляти	s tʲ rʲ i lʲ ɑ t e
стрічка	s tʲ rʲ i t͡ʃ k ɐ
стрічки	s tʲ rʲ i t͡ʃ k e
стрічки	s tʲ rʲ i t͡ʃ k ɪ
страва	s t r ɑ ʋ ɐ
страж	s t r ɑ ʒ
страждання	s t r ɐ ʒ d ɑ nʲː ɐ
страждати	s t r ɐ ʒ d ɑ t e
страйк	s t r ɑ i̯ k
страта	s t r ɑ t ɐ
стратегічний	s t r ɐ t e ɦʲ i t͡ʃ n e i̯
стратегія	s t r ɐ t ɛ ɦʲ i j ɐ
страх	s t r ɑ x
страхіття	s t r ɐ xʲ i tʲː ɐ
страховий	s t r ɐ x ɔ ʋ ɪ i̯
страхування	s t r ɐ x ʊ ʋ ɑ nʲː ɐ
страхувань	s t r ɐ x ʊ ʋ ɑ nʲ
страхувати	s t r ɐ x ʊ ʋ ɑ t e
страшенно	s t r ɐ ʃ ɛ nː ɔ
страшидло	s t r ɐ ʃ ɪ d ɫ ɔ
страшило	s t r ɐ ʃ ɪ ɫ ɔ
страшний	s t r ɐ ʃ n ɪ i̯
стремено	s t r e m ɛ n ɔ
стремено	s t r e m e n ɔ
стрибати	s t r e b ɑ t e
стрибнути	s t r e b n u t e
стригти	s t r ɪ ɦ t e
стримати	s t r ɪ m ɐ t e
стримувати	s t r ɪ m ʊ ʋ ɐ t e
строїти	s t r ɔ j i t e
структура	s t r ʊ k t u r ɐ
структурний	s t r ʊ k t u r n e i̯
структурувати	s t r ʊ k t ʊ r ʊ ʋ ɑ t e
струм	s t r u m
стрункий	s t r ʊ n k ɪ i̯
студенець	s t ʊ d e n ɛ t͡sʲ
студент	s t ʊ d ɛ n t
студентка	s t ʊ d ɛ n t k ɐ
ступінь	s t u pʲ i nʲ
ступати	s t ʊ p ɑ t e
ступити	s t ʊ p ɪ t e
стюардеса	sʲ tʲ ʊ ɐ r d ɛ s ɐ
стяг	sʲ tʲ ɑ ɦ
суб'єкт	s ʊ b j ɛ k t
суб'єктивний	s ʊ b j e k t ɪ u̯ n e i̯
субота	s ʊ b ɔ t ɐ
суботи	s ʊ b ɔ t e
суботній	s ʊ b ɔ tʲ nʲ i i̯
субсидія	s ʊ b s ɪ dʲ i j ɐ
субстрат	s ʊ b s t r ɑ t
субтитр	s ʊ b t ɪ t r
субтитри	s ʊ b t ɪ t r e
суверенітет	s ʊ ʋ e r e nʲ i t ɛ t
суверенний	s ʊ ʋ e r ɛ nː e i̯
суглоб	s ʊ ɦ ɫ ɔ b
суд	s u d
судак	s ʊ d ɑ k
суддя	s ʊ dʲː ɑ
судина	s ʊ d ɪ n ɐ
судинний	s ʊ d ɪ nː e i̯
судити	s ʊ d ɪ t e
судно	s ʊ d n ɔ
суднобудівна	s ʊ d n ɔ b ʊ dʲ i u̯ n ɑ
суднобудівний	s ʊ d n ɔ b ʊ dʲ i u̯ n ɪ i̯
суднобудівник	s ʊ d n ɔ b ʊ dʲ i u̯ n ɪ k
суднобудування	s ʊ d n ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
судноплавство	s ʊ d n ɔ p ɫ ɑ u̯ s t w ɔ
сузір'я	s ʊ zʲ i r j ɐ
сукало	s ʊ k ɑ ɫ ɔ
сукні	s u k nʲ i
сукне	s u k n e
сукнею	s u k n e j ʊ
сукню	s u k nʲ ʊ
сукня	s u k nʲ ɐ
сукням	s u k nʲ ɐ m
сукнями	s u k nʲ ɐ m e
сукнях	s u k nʲ ɐ x
суконь	s u k ɔ nʲ
суміжний	s ʊ mʲ i ʒ n e i̯
сумісність	s ʊ mʲ i sʲ nʲ i sʲ tʲ
сумісний	s ʊ mʲ i s n e i̯
суми	s u m e
суми	s ʊ m ɪ
сумка	s u m k ɐ
сумління	s ʊ m lʲ i nʲː ɐ
сумнів	s u m nʲ i u̯
сумніватися	s ʊ m nʲ i ʋ ɑ t e sʲ ɐ
сумочка	s u m ɔ t͡ʃ k ɐ
суниця	s ʊ n ɪ t͡sʲ ɐ
суп	s u p
суперечити	s ʊ p e r ɛ t͡ʃ e t e
суперечка	s ʊ p e r ɛ t͡ʃ k ɐ
суперник	s ʊ p ɛ r n e k
суперництво	s ʊ p ɛ r n e t͡s t w ɔ
суперниця	s ʊ p ɛ r n e t͡sʲ ɐ
супроводжувати	s ʊ p r ɔ w ɔ d͡ʒ ʊ ʋ ɐ t e
супроводити	s ʊ p r ɔ w ɔ d e t e
супруг	s ʊ p r u ɦ
супруга	s ʊ p r u ɦ ɐ
супругам	s ʊ p r u ɦ ɐ m
супругами	s ʊ p r u ɦ ɐ m e
супругах	s ʊ p r u ɦ ɐ x
супруги	s ʊ p r u ɦ e
супруго	s ʊ p r u ɦ ɔ
супругою	s ʊ p r u ɦ ɔ j ʊ
супругу	s ʊ p r u ɦ ʊ
супрузі	s ʊ p r u zʲ i
супутник	s ʊ p u t n e k
супутниковий	s ʊ p u t n e k ɔ ʋ e i̯
сура	s u r ɐ
суржик	s u r ʒ e k
суровий	s ʊ r ɔ ʋ e i̯
сусід	s ʊ sʲ i d
сусідів	s ʊ sʲ i dʲ i u̯
сусідка	s ʊ sʲ i d k ɐ
сусідній	s ʊ sʲ i dʲ nʲ i i̯
сусідство	s ʊ sʲ i d͡z s t w ɔ
сусідський	s ʊ sʲ i d͡zʲ sʲ k e i̯
сусанна	s ʊ s ɑ nː ɐ
суспільний	s ʊ sʲ pʲ i lʲ n e i̯
суспільство	s ʊ sʲ pʲ i lʲ s t w ɔ
суті	s u tʲ i
сутінки	s u tʲ i n k e
суттєвий	s ʊ tʲː ɛ ʋ e i̯
суть	s u tʲ
суфікс	s u fʲ i k s
сухий	s ʊ x ɪ i̯
сухожилля	s ʊ x ɔ ʒ ɪ lʲː ɐ
суцільний	s ʊ t͡sʲ i lʲ n e i̯
суцвіття	s ʊ t͡sʲ ʋʲ i tʲː ɐ
сучасний	s ʊ t͡ʃ ɑ s n e i̯
сучасник	s ʊ t͡ʃ ɑ s n e k
сучасниця	s ʊ t͡ʃ ɑ s n e t͡sʲ ɐ
сушарка	s ʊ ʃ ɑ r k ɐ
сфальсифікувати	s f ɐ lʲ s e fʲ i k ʊ ʋ ɑ t e
сфер	s f ɛ r
сфера	s f ɛ r ɐ
сформулювати	s f ɔ r m ʊ lʲ ʊ ʋ ɑ t e
схід	sʲ xʲ i d
схід	sʲ xʲ i d
східний	sʲ xʲ i d n e i̯
східноєвропейський	sʲ xʲ i d n ɔ j e u̯ r ɔ p ɛ i̯ sʲ k e i̯
східнослов'янський	sʲ xʲ i d n ɔ s ɫ ɔ ʋ j ɑ nʲ sʲ k e i̯
схвалити	s x ʋ ɐ ɫ ɪ t e
схвальний	s x ʋ ɑ lʲ n e i̯
схвалювати	s x ʋ ɑ lʲ ʊ ʋ ɐ t e
схвилювати	s x ʋ e lʲ ʊ ʋ ɑ t e
схема	s x ɛ m ɐ
схематизація	s x e m ɐ t e z ɑ t͡sʲ i j ɐ
схематизувати	s x e m ɐ t e z ʊ ʋ ɑ t e
схематичний	s x e m ɐ t ɪ t͡ʃ n e i̯
схильність	s x ɪ lʲ nʲ i sʲ tʲ
схильний	s x ɪ lʲ n e i̯
сховати	s x ɔ ʋ ɑ t e
сховище	s x ɔ ʋ e ʃ t͡ʃ e
схожість	s x ɔ ʒʲ i sʲ tʲ
схожий	s x ɔ ʒ e i̯
схуднути	s x u d n ʊ t e
сцена	s t͡s ɛ n ɐ
сценарій	s t͡s e n ɑ rʲ i i̯
сьогодні	sʲ ɔ ɦ ɔ dʲ nʲ i
сьогоднішній	sʲ ɔ ɦ ɔ dʲ nʲ i ʃ nʲ i i̯
сьодні	sʲ ɔ dʲ nʲ i
сьомий	sʲ ɔ m e i̯
сюди	sʲ ʊ d ɪ
сюрприз	sʲ ʊ r p r ɪ z
сяти	sʲ ɑ t e
сяяти	sʲ ɐ j ɑ t e
ті	tʲ i
тієї	tʲ i j ɛ j i
тією	tʲ i j ɛ j ʊ
тій	tʲ i i̯
тікати	tʲ i k ɐ t e
тікати	tʲ i k ɑ t e
тілі	tʲ i lʲ i
тілесний	tʲ i ɫ ɛ s n e i̯
тіло	tʲ i ɫ ɔ
тільки	tʲ i lʲ k e
тім	tʲ i m
тім'я	tʲ i m j ɐ
тіні	tʲ i nʲ i
тінь	tʲ i nʲ
тісний	tʲ i s n ɪ i̯
тістечко	tʲ i s t e t͡ʃ k ɔ
тісто	tʲ i s t ɔ
тітка	tʲ i t k ɐ
та	t ɑ
таємниці	t ɐ j e m n ɪ t͡sʲ i
таємнице	t ɐ j e m n ɪ t͡s e
таємницею	t ɐ j e m n ɪ t͡s e j ʊ
таємниць	t ɐ j e m n ɪ t͡sʲ
таємницю	t ɐ j e m n ɪ t͡sʲ ʊ
таємниця	t ɐ j e m n ɪ t͡sʲ ɐ
таємницям	t ɐ j e m n ɪ t͡sʲ ɐ m
таємницями	t ɐ j e m n ɪ t͡sʲ ɐ m e
таємницях	t ɐ j e m n ɪ t͡sʲ ɐ x
таїланд	t ɐ j i ɫ ɑ n d
таїландець	t ɐ j i ɫ ɑ n d e t͡sʲ
таїландка	t ɐ j i ɫ ɑ n d k ɐ
таїландський	t ɐ j i ɫ ɑ n d͡zʲ sʲ k e i̯
таїсія	t ɐ j i sʲ i j ɐ
табір	t ɑ bʲ i r
таблиця	t ɐ b ɫ ɪ t͡sʲ ɐ
табличка	t ɐ b ɫ ɪ t͡ʃ k ɐ
таджикистан	t ɐ d͡ʒ e k e s t ɑ n
тайський	t ɑ i̯ sʲ k e i̯
так	t ɑ k
такі	t ɐ kʲ i
така	t ɐ k ɑ
таке	t ɐ k ɛ
такий	t ɐ k ɪ i̯
також	t ɑ k ɔ ʒ
також	t ɐ k ɔ ʒ
таксі	t ɐ k sʲ i
тактика	t ɑ k t e k ɐ
тактичний	t ɐ k t ɪ t͡ʃ n e i̯
тактовність	t ɐ k t ɔ u̯ nʲ i sʲ tʲ
тактовний	t ɐ k t ɔ u̯ n e i̯
таліє	t ɑ lʲ i j e
талією	t ɑ lʲ i j e j ʊ
талії	t ɑ lʲ i j i
талій	t ɑ lʲ i i̯
талію	t ɑ lʲ i j ʊ
талія	t ɑ lʲ i j ɐ
таліям	t ɑ lʲ i j ɐ m
таліями	t ɑ lʲ i j ɐ m e
таліях	t ɑ lʲ i j ɐ x
талановитий	t ɐ ɫ ɐ n ɔ ʋ ɪ t e i̯
талант	t ɐ ɫ ɑ n t
там	t ɑ m
тамада	t ɐ m ɐ d ɑ
танець	t ɑ n e t͡sʲ
танець	t ɐ n ɛ t͡sʲ
танк	t ɑ n k
танки	t ɐ n k ɪ
танки	t ɑ n k e
танковий	t ɑ n k ɔ ʋ e i̯
танцювати	t ɐ nʲ t͡sʲ ʊ ʋ ɑ t e
танцюрист	t ɐ nʲ t͡sʲ ʊ r ɪ s t
танцюристів	t ɐ nʲ t͡sʲ ʊ r ɪ sʲ tʲ i u̯
танцюриста	t ɐ nʲ t͡sʲ ʊ r ɪ s t ɐ
танцюристи	t ɐ nʲ t͡sʲ ʊ r ɪ s t e
танцюристка	t ɐ nʲ t͡sʲ ʊ r ɪ s t k ɐ
танцюристки	t ɐ nʲ t͡sʲ ʊ r ɪ s t k e
танцюристок	t ɐ nʲ t͡sʲ ʊ r ɪ s t ɔ k
тарілка	t ɐ rʲ i ɫ k ɐ
тарас	t ɐ r ɑ s
тарган	t ɐ r ɦ ɑ n
татко	t ɑ t k ɔ
тато	t ɑ t ɔ
татусь	t ɐ t u sʲ
таці	t ɑ t͡sʲ i
таце	t ɑ t͡s e
тацею	t ɑ t͡s e j ʊ
таць	t ɑ t͡sʲ
тацю	t ɑ t͡sʲ ʊ
таця	t ɑ t͡sʲ ɐ
тацям	t ɑ t͡sʲ ɐ m
тацями	t ɑ t͡sʲ ɐ m e
тацях	t ɑ t͡sʲ ɐ x
твій	tʲ ʋʲ i i̯
твір	tʲ ʋʲ i r
твітнути	tʲ ʋʲ i t n ʊ t e
твар	t ʋ ɑ r
тварина	t ʋ ɐ r ɪ n ɐ
тварина	t ʋ ɐ r e n ɑ
твердий	t ʋ e r d ɪ i̯
тверезий	t ʋ e r ɛ z e i̯
твоє	t w ɔ j ɛ
твої	t w ɔ j i
творити	t w ɔ r ɪ t e
твоя	t w ɔ j ɑ
те	t ɛ
театр	t e ɑ t r
тебе	t e b ɛ
теж	t ɛ ʒ
тезис	t ɛ z e s
текст	t ɛ k s t
текстовий	t e k s t ɔ ʋ ɪ i̯
текстовий	t ɛ k s t ɔ ʋ e i̯
текти	t e k t ɪ
телебачення	t e ɫ e b ɑ t͡ʃ e nʲː ɐ
телевізійний	t e ɫ e ʋʲ i zʲ i i̯ n e i̯
телевізор	t e ɫ e ʋʲ i z ɔ r
телеведуча	t e ɫ e ʋ e d u t͡ʃ ɐ
телеведучий	t e ɫ e ʋ e d u t͡ʃ e i̯
телеглядач	t e ɫ e ɦ lʲ ɐ d ɑ t͡ʃ
телеглядачка	t e ɫ e ɦ lʲ ɐ d ɑ t͡ʃ k ɐ
телеканал	t e ɫ e k ɐ n ɑ ɫ
телескоп	t e ɫ e s k ɔ p
телефон	t e ɫ e f ɔ n
телефонувати	t e ɫ e f ɔ n ʊ ʋ ɑ t e
телугу	t ɛ ɫ ʊ ɦ ʊ
теля	t e lʲ ɑ
тем	t ɛ m
тема	t ɛ m ɐ
тематичний	t e m ɐ t ɪ t͡ʃ n e i̯
темний	t ɛ m n e i̯
темниця	t e m n ɪ t͡sʲ ɐ
температура	t e m p e r ɐ t u r ɐ
темрява	t ɛ m rʲ ɐ ʋ ɐ
теніс	t ɛ nʲ i s
тенденція	t e n d ɛ nʲ t͡sʲ i j ɐ
теолог	t e ɔ ɫ ɔ ɦ
теологічний	t e ɔ ɫ o ɦʲ i t͡ʃ n e i̯
теологія	t e ɔ ɫ ɔ ɦʲ i j ɐ
теоріє	t e ɔ rʲ i j e
теорією	t e ɔ rʲ i j e j ʊ
теорії	t e ɔ rʲ i j i
теорій	t e ɔ rʲ i i̯
теорію	t e ɔ rʲ i j ʊ
теорія	t e ɔ rʲ i j ɐ
теоріям	t e ɔ rʲ i j ɐ m
теоріями	t e ɔ rʲ i j ɐ m e
теоріях	t e ɔ rʲ i j ɐ x
теоретичний	t e ɔ r e t ɪ t͡ʃ n e i̯
тепер	t e p ɛ r
теперішній	t e p ɛ rʲ i ʃ nʲ i i̯
теплий	t ɛ p ɫ e i̯
теплиця	t e p ɫ ɪ t͡sʲ ɐ
тепло	t e p ɫ ɔ
тепло	t ɛ p ɫ ɔ
тепловий	t e p ɫ ɔ ʋ ɪ i̯
теплота	t e p ɫ ɔ t ɑ
терапія	t e r ɐ pʲ i j ɐ
терапевтичний	t e r ɐ p e u̯ t ɪ t͡ʃ n e i̯
теребейчук	t e r e b e i̯ t͡ʃ u k
терем	t ɛ r e m
терен	t ɛ r e n
терен	t e r ɛ n
території	t e r e t ɔ rʲ i j i
територіальна	t e r e t ɔ rʲ i ɑ lʲ n ɐ
територіальний	t e r e t ɔ rʲ i ɑ lʲ n e i̯
територія	t e r e t ɔ rʲ i j ɐ
термін	t ɛ r mʲ i n
терміновий	t e r mʲ i n ɔ ʋ e i̯
термінологічний	t e r mʲ i n ɔ ɫ o ɦʲ i t͡ʃ n e i̯
термінологія	t e r mʲ i n ɔ ɫ ɔ ɦʲ i j ɐ
терміт	t e r mʲ i t
термітник	t e r mʲ i t n e k
термодинаміка	t e r m ɔ d e n ɑ mʲ i k ɐ
термодинамічний	t e r m ɔ d e n ɐ mʲ i t͡ʃ n e i̯
термометр	t e r m ɔ m e t r
термометрія	t e r m ɔ m ɛ tʲ rʲ i j ɐ
термометричний	t e r m ɔ m e t r ɪ t͡ʃ n e i̯
тернопіль	t e r n ɔ pʲ i lʲ
тероризм	t e r ɔ r ɪ z m
терпіння	t e r pʲ i nʲː ɐ
терпіти	t e r pʲ i t e
терпеливість	t e r p e ɫ ɪ ʋʲ i sʲ tʲ
терпеливий	t e r p e ɫ ɪ ʋ e i̯
терплячість	t e r p lʲ ɑ t͡ʃʲ i sʲ tʲ
терплячий	t e r p lʲ ɑ t͡ʃ e i̯
терти	t ɛ r t e
тесля	t ɛ sʲ lʲ ɐ
тестування	t e s t ʊ ʋ ɑ nʲː ɐ
тестувати	t e s t ʊ ʋ ɑ t e
тесть	t ɛ sʲ tʲ
тетеря	t e t ɛ rʲ ɐ
тетеря	t e t e rʲ ɑ
тетяна	t e tʲ ɑ n ɐ
технічний	t e x nʲ i t͡ʃ n e i̯
технократія	t e x n ɔ k r ɑ tʲ i j ɐ
технократичний	t e x n ɔ k r ɐ t ɪ t͡ʃ n e i̯
технологічний	t e x n ɔ ɫ o ɦʲ i t͡ʃ n e i̯
технологія	t e x n ɔ ɫ ɔ ɦʲ i j ɐ
течія	t e t͡ʃʲ i j ɑ
теща	t ɛ ʃ t͡ʃ ɐ
ти	t ɪ
тигр	t ɪ ɦ r
тиждень	t ɪ ʒ d e nʲ
тижня	t ɪ ʒ nʲ ɐ
тим	t ɪ m
тими	t ɪ m e
тимошенко	t e m ɔ ʃ ɛ n k ɔ
тимчасовий	t e m t͡ʃ ɐ s ɔ ʋ e i̯
тип	t ɪ p
типовий	t e p ɔ ʋ e i̯
типовий	t e p ɔ ʋ ɪ i̯
тирана	t e r ɑ n ɐ
тис	t ɪ s
тиск	t ɪ s k
тисяч	t ɪ sʲ ɐ t͡ʃ
тисяча	t ɪ sʲ ɐ t͡ʃ ɐ
тисячний	t ɪ sʲ ɐ t͡ʃ n e i̯
тисячолітті	t e sʲ ɐ t͡ʃ o lʲ i tʲː i
тисячоліттю	t e sʲ ɐ t͡ʃ o lʲ i tʲː ʊ
тисячоліття	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ
тисячоліттям	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ m
тисячоліттями	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ m e
тисячоліттях	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ x
тисячоліть	t e sʲ ɐ t͡ʃ o lʲ i tʲ
титар	t ɪ t ɐ r
тих	t ɪ x
тихий	t ɪ x e i̯
тиша	t ɪ ʃ ɐ
тишина	t e ʃ e n ɑ
ткаля	t k ɑ lʲ ɐ
ткати	t k ɑ t e
тло	t ɫ ɔ
тлумач	t ɫ ʊ m ɑ t͡ʃ
тлумачити	t ɫ ʊ m ɑ t͡ʃ e t e
тлустий	t ɫ u s t e i̯
тля	tʲ lʲ ɑ
тої	t ɔ j i
тобі	t o bʲ i
тобою	t ɔ b ɔ j ʊ
тобто	t ɔ b t ɔ
товар	t ɔ ʋ ɑ r
товариство	t ɔ ʋ ɐ r ɪ s t w ɔ
товариш	t ɔ ʋ ɑ r e ʃ
товаришка	t ɔ ʋ ɑ r e ʃ k ɐ
товмач	t ɔ u̯ m ɑ t͡ʃ
товстий	t ɔ u̯ s t ɪ i̯
того	t ɔ ɦ ɔ
того	t ɔ ɦ ɔ
тоді	t o dʲ i
тодішній	t o dʲ i ʃ nʲ i i̯
тож	t ɔ ʒ
той	t ɔ i̯
токіо	t ɔ kʲ i ɔ
токар	t ɔ k ɐ r
токсикологічний	t ɔ k s e k ɔ ɫ o ɦʲ i t͡ʃ n e i̯
токсикологія	t ɔ k s e k ɔ ɫ ɔ ɦʲ i j ɐ
токсичний	t ɔ k s ɪ t͡ʃ n e i̯
толерантність	t ɔ ɫ e r ɑ n tʲ nʲ i sʲ tʲ
толерантний	t ɔ ɫ e r ɑ n t n e i̯
том	t ɔ m
тому	t o m u
тому	t ɔ m ʊ
тонкий	t ɔ n k ɪ i̯
тонкий	t ɔ n k e i̯
тонна	t ɔ nː ɐ
топір	t o pʲ i r
топографічний	t ɔ p ɔ ɦ r ɐ fʲ i t͡ʃ n e i̯
топографія	t ɔ p ɔ ɦ r ɑ fʲ i j ɐ
тополі	t ɔ p ɔ lʲ i
тополею	t ɔ p ɔ ɫ e j ʊ
тополь	t ɔ p ɔ lʲ
тополю	t ɔ p ɔ lʲ ʊ
тополя	t ɔ p ɔ lʲ ɐ
тополям	t ɔ p ɔ lʲ ɐ m
тополями	t ɔ p ɔ lʲ ɐ m e
тополях	t ɔ p ɔ lʲ ɐ x
торік	t o rʲ i k
торба	t ɔ r b ɐ
торгівля	t o r ɦʲ i u̯ lʲ ɐ
торговий	t ɔ r ɦ ɔ ʋ e i̯
торкати	t ɔ r k ɑ t e
торкатися	t ɔ r k ɑ t e sʲ ɐ
торкнути	t o r k n u t e
торкнутися	t o r k n u t e sʲ ɐ
торпеда	t ɔ r p ɛ d ɐ
торт	t ɔ r t
тоталітаризм	t ɔ t ɐ lʲ i t ɐ r ɪ z m
тоталітарний	t ɔ t ɐ lʲ i t ɑ r n e i̯
тотальний	t ɔ t ɑ lʲ n e i̯
точка	t ɔ t͡ʃ k ɐ
точний	t ɔ t͡ʃ n e i̯
точно	t ɔ t͡ʃ n ɔ
тошо	t ɔ ʃ ɔ
тощо	t ɔ ʃ t͡ʃ ɔ
тою	t ɔ j ʊ
тріска	tʲ rʲ i s k ɐ
тріска	tʲ rʲ i s k ɑ
тріумфальна	tʲ rʲ i ʊ m f ɑ lʲ n ɐ
тріумфальний	tʲ rʲ i ʊ m f ɑ lʲ n e i̯
тріщина	tʲ rʲ i ʃ t͡ʃ e n ɐ
траєкторія	t r ɐ j e k t ɔ rʲ i j ɐ
трав'яний	t r ɐ ʋ j ɐ n ɪ i̯
трав'янистий	t r ɐ ʋ j ɐ n ɪ s t e i̯
трава	t r ɐ ʋ ɑ
травень	t r ɑ ʋ e nʲ
травлення	t r ɑ u̯ ɫ e nʲː ɐ
травмувати	t r ɐ u̯ m ʊ ʋ ɑ t e
травоїдний	t r ɐ w ɔ j i d n e i̯
