ԱԱ	ɑ ɑ
մնացյալ	m ə n ɑ t͡sʰ j ɑ l
մնացորդ	m ə n ɑ t͡sʰ o ɾ tʰ
մնաք	m ə n ɑ kʰ
մնչել	m ə n t͡ʃʰ e l
մնջախաղ	m ə n d͡ʒ ɑ χ ɑ ʁ
մնջիկ	m ə n d͡ʒ i k
մնջկատակ	m ə n d͡ʒ k ɑ t ɑ k
մնջուկ	m ə n d͡ʒ u k
մշակ	m ə ʃ ɑ k
մշակել	m ə ʃ ɑ k e l
մշակութային	m ə ʃ ɑ k u tʰ ɑ j i n
մշակույթ	m ə ʃ ɑ k u j tʰ
մշկընկույզ	m ə ʃ k ə n k u j z
մշուշ	m ə ʃ u ʃ
մշուշապատ	m ə ʃ u ʃ ɑ p ɑ t
մշտական	m ʃ t ɑ k ɑ n
մշտապես	m ə ʃ t ɑ p e s
մոգ	m o ɡ
մոգոնել	m o ɡ o n e l
մոգություն	m o ɡ u tʰ j u n
մոդա	m o d ɑ
մոդել	m o d e l
մոդեմ	m o d e m
մոդուլ	m o d u l
մոզ	m o z
մոզի	m o z i
մոզիկ	m o z i k
մոլախաղ	m o l ɑ χ ɑ ʁ
մոլար	m o l ɑ ɾ
մոլդավական	m o l d ɑ v ɑ k ɑ n
մոլդովական	m o l d o v ɑ k ɑ n
մոլեգնել	m o l e ɡ n e l
մոլել	m o l e l
մոլեխաղ	m o l e χ ɑ ʁ
մոլեկուլ	m o l e k u l
մոլեկուլային	m o l e k u l ɑ j i n
մոլի	m o l i
մոլիբդեն	m o l i b d e n
մոլոր	m o l o ɾ
մոլորակ	m o l o ɾ ɑ k
մոլորակային	m o l o ɾ ɑ k ɑ j i n
մոլորել	m o l o ɾ e l
մոլորեցնել	m o l o ɾ e t͡sʰ n e l
մոլորվել	m o l o ɾ v e l
մոլուցք	m o l u t͡sʰ kʰ
մոխիր	m o χ i ɾ
մոխրագույն	m o χ ɾ ɑ ɡ u j n
մոխրաման	m o χ ɾ ɑ m ɑ n
մոխրոտ	m o χ ɾ o t
մոծակ	m o t͡s ɑ k
մող	m o ʁ
մողես	m o ʁ e s
մոմ	m o m
մոմատախտակ	m o m ɑ t ɑ χ t ɑ k
մոնիտոր	m o n i t o ɾ
մոնղոլ	m o n ʁ o l
մոնղոլական	m o n ʁ o l ɑ k ɑ n
մոնղոլերեն	m o n ʁ o l e ɾ e n
մոնոմեր	m o n o m e ɾ
մոշ	m o ʃ
մոշենի	m o ʃ e n i
մոշի	m o ʃ i
մոռ	m o r
մոռանալ	m o r ɑ n ɑ l
մոռացոնք	m o r ɑ t͡sʰ o n kʰ
մոռենի	m o r e n i
մով	m o v
մովի	m o v i
մոտ	m o t
մոտաբնակ	m o t ɑ b ə n ɑ k
մոտագնաց	m o t ɑ ɡ ə n ɑ t͡sʰ
մոտալուտ	m o t ɑ l u t
մոտակա	m o t ɑ k ɑ
մոտակայություն	m o t ɑ k ɑ j u tʰ j u n
մոտակայք	m o t ɑ k ɑ j kʰ
մոտահաս	m o t ɑ h ɑ s
մոտամոտ	m o t ɑ m o t
մոտանալ	m o t ɑ n ɑ l
մոտանց	m o t ɑ n t͡sʰ
մոտավոր	m o t ɑ v o ɾ
մոտավորապես	m o t ɑ v o ɾ ɑ p e s
մոտավորել	m o t ɑ v o ɾ e l
մոտավորություն	m o t ɑ v o ɾ u tʰ j u n
մոտեմոտ	m o t e m o t
մոտենալ	m o t e n ɑ l
մոտեցնել	m o t e t͡sʰ n e l
մոտեցում	m o t e t͡sʰ u m
մոտիկ	m o t i k
մոտիկանալ	m o t i k ɑ n ɑ l
մոտիկություն	m o t i k u tʰ j u n
մոտիվ	m o t i v
մոտիվացիա	m o t i v ɑ t͡sʰ i ɑ
մոտո	m o t o
մոտոցիկլ	m o t o t͡sʰ i k ə l
մոտոցիկլետ	m o t o t͡sʰ i k l e t
մոր	m o ɾ
մորալիստ	m o ɾ ɑ l i s t
մորաքույր	m o ɾ ɑ kʰ u j ɾ
մորաքրոջ	m o ɾ ɑ kʰ ə ɾ o d͡ʒ
մորաքրոջ	m o ɾ ɑ kʰ ə ɾ o t͡ʃʰ
մորեխ	m o ɾ e χ
մորեղբայր	m o ɾ e χ p ɑ j ɾ
մորենի	m o ɾ e n i
մորթ	m o ɾ tʰ
մորթել	m o ɾ tʰ e l
մորթի	m o ɾ tʰ i
մորի	m o ɾ i
մորմ	m o ɾ m
մորմենի	m o ɾ m e n i
մորմոն	m o ɾ m o n
մորմոք	m o ɾ m o kʰ
մորու	m o ɾ u
մորուս	m o ɾ u s
մորուք	m o ɾ u kʰ
մորքուր	m o ɾ kʰ u ɾ
մուգ	m u kʰ
մութ	m u tʰ
մուժ	m u ʒ
մուլատ	m u l ɑ t
մուխ	m u χ
մուծել	m u t͡s e l
մուկ	m u k
մուղ	m u ʁ
մուղամ	m u ʁ ɑ m
մուղտ	m u χ t
մուճակ	m u t͡ʃ ɑ k
մումիա	m u m i j ɑ
մույթ	m u j tʰ
մույկ	m u j k
մույուք	m u j u kʰ
մուն	m u n
մունդառ	m u n d ɑ r
մուննաթ	m u n n ɑ tʰ
մունջ	m u n d͡ʒ
մուշկ	m u ʃ k
մուշտակ	m u ʃ t ɑ k
մուշտարի	m u ʃ t ɑ ɾ i
մուռ	m u r
մուսուլման	m u s u l m ɑ n
մուտք	m u t kʰ
մուր	m u ɾ
մուրաբա	m u ɾ ɑ b ɑ
մուրալ	m u ɾ ɑ l
մուրացիկ	m u ɾ ɑ t͡sʰ i k
մուրացկան	m u ɾ ɑ t͡sʰ k ɑ n
մուրհակ	m u ɾ h ɑ k
մուրճ	m u ɾ t͡ʃ
մուրուք	m u ɾ u kʰ
մուրտ	m u ɾ t
մուրց	m u ɾ t͡sʰ
մուրցացի	m u ɾ t͡sʰ ɑ t͡sʰ i
մռայլ	m ə r ɑ j l
մռել	m ə r e l
մռեղ	m ə r e ʁ
մռմռալ	m ə r m ə r ɑ l
մռու	m ə r u
մռութ	m ə r u tʰ
մսագործ	m ə s ɑ ɡ o ɾ t͡s
մսալի	m ə s ɑ l i
մսալից	m ə s ɑ l i t͡sʰ
մսակեր	m ə s ɑ k e ɾ
մսան	m ə s ɑ n
մսաջուր	m ə s ɑ d͡ʒ u ɾ
մսառատ	m ə s ɑ r ɑ t
մսավաճառ	m ə s ɑ v ɑ t͡ʃ ɑ r
մսացու	m ə s ɑ t͡sʰ u
մսեղ	m ə s e ʁ
մսեղեն	m ə s e ʁ e n
մսխել	m ə s χ e l
մսմար	m ə s m ɑ ɾ
մսոտ	m ə s o t
մտաբերել	m ə t ɑ b e ɾ e l
մտագրոհ	m ə t ɑ ɡ ə ɾ o h
մտադիր	m ə t ɑ d i ɾ
մտադրական	m ə t ɑ d ɾ ɑ k ɑ n
մտադրել	m ə t ɑ d ɾ e l
մտադրություն	m ə t ɑ d ɾ u tʰ j u n
մտադրվել	m ə t ɑ d ə ɾ v e l
մտածել	m ə t ɑ t͡s e l
մտածելակերպ	m ə t ɑ t͡s e l ɑ k e ɾ p
մտածող	m ə t ɑ t͡s o ʁ
մտահաղացում	m ə t ɑ h ɑ ʁ ɑ t͡sʰ u m
մտահղացում	m ə t ɑ h ʁ ɑ t͡sʰ u m
մտահոգ	m ə t ɑ h o kʰ
մտահոգել	m ə t ɑ h o kʰ e l
մտահոգիչ	m ə t ɑ h o kʰ i t͡ʃʰ
մտահոգություն	m ə t ɑ h o kʰ u tʰ j u n
մտահոգված	m ə t ɑ h o kʰ v ɑ t͡s
մտահոգվածություն	m ə t ɑ h o kʰ v ɑ t͡s u tʰ j u n
մտահոգվել	m ə t ɑ h o kʰ v e l
մտայնություն	m ə t ɑ j n u tʰ j u n
մտապահել	m ə t ɑ p ɑ h e l
մտառու	m ə t ɑ r u
մտավարժանք	m ə t ɑ v ɑ ɾ ʒ ɑ n kʰ
մտավոր	m ə t ɑ v o ɾ
մտավորական	m ə t ɑ v o ɾ ɑ k ɑ n
մտավորականություն	m ə t ɑ v o ɾ ɑ k ɑ n u tʰ j u n
մտերիմ	m ə t e ɾ i m
մտերմական	m ə t e ɾ m ɑ k ɑ n
մտիկ	m ə t i k
մտմտալ	m ə t m ə t ɑ l
մտնել	m ə t n e l
մտովի	m ə t o v i
մտորել	m ə t o ɾ e l
մտոց	m ə t o t͡sʰ
մտրակ	m ə t ɾ ɑ k
մտրուկ	m ə t ɾ u k
մտցնել	m ə t t͡sʰ n e l
մրգային	m ə ɾ kʰ ɑ j i n
մրգաստան	m ə ɾ kʰ ɑ s t ɑ n
մրգավաճառ	m ə ɾ kʰ ɑ v ɑ t͡ʃ ɑ r
մրեժ	m ə ɾ e ʒ
մրմնջալ	m ɾ m ə n d͡ʒ ɑ l
մրմունջ	m ə ɾ m u n d͡ʒ
մրուր	m ə ɾ u ɾ
մրջյուն	m ə ɾ t͡ʃʰ j u n
մրջնաբույն	m ə ɾ t͡ʃʰ n ɑ b u j n
մրջնաբուն	m ə ɾ t͡ʃʰ n ɑ b u n
մրջնակեր	m ə ɾ t͡ʃʰ n ɑ k e ɾ
մրջնառյուծ	m ə ɾ t͡ʃʰ n ɑ r j u t͡s
մրջնոց	m ə ɾ t͡ʃʰ n o t͡sʰ
մրսած	m ə ɾ s ɑ t͡s
մրսածություն	m ə ɾ s ɑ t͡s u tʰ j u n
մրսել	m ə ɾ s e l
մրտավարդ	m ə ɾ t ɑ v ɑ ɾ tʰ
մրրիկ	m ə ɾ ɾ i k
մրրկել	m ə ɾ ɾ k e l
մրցակից	m ə ɾ t͡sʰ ɑ k i t͡sʰ
մրցակցություն	m ə ɾ t͡sʰ ɑ k t͡sʰ u tʰ j u n
մրցանակ	m ə ɾ t͡sʰ ɑ n ɑ k
մրցավազք	m ə ɾ t͡sʰ ɑ v ɑ z kʰ
մրցավար	m ə ɾ t͡sʰ ɑ v ɑ ɾ
մրցել	m ə ɾ t͡sʰ e l
մրցորդ	m ə ɾ t͡sʰ o ɾ tʰ
մրցում	m ə ɾ t͡sʰ u m
մրցույթ	m ə ɾ t͡sʰ u j tʰ
յ	j ə
յա	j ɑ
յաբախտ	j ɑ b ɑ χ t
յագուար	j ɑ ɡ u ɑ ɾ
յաթաղան	j ɑ tʰ ɑ ʁ ɑ n
յախնի	j ɑ χ n i
յակ	j ɑ k
յաղնոբերեն	j ɑ ʁ n o b e ɾ e n
յաղուզ	j ɑ ʁ u z
յաղութ	j ɑ ʁ u tʰ
յան	j ɑ n
յանիչար	j ɑ n i t͡ʃʰ ɑ ɾ
յանիչարի	j ɑ n i t͡ʃʰ ɑ ɾ i
յաշիկ	j ɑ ʃ i k
յառլիկ	j ɑ r l i k
յասախ	j ɑ s ɑ χ
յասաման	j ɑ s ɑ m ɑ n
յար	j ɑ ɾ
յարա	j ɑ ɾ ɑ
յարամազ	j ɑ ɾ ɑ m ɑ z
յարդ	j ɑ ɾ d
յարմարկա	j ɑ ɾ m ɑ ɾ k ɑ
յեն	j e n
յոգ	j o ɡ
յոգա	j o ɡ ɑ
յոգուրտ	j o ɡ u ɾ t
յոդ	j o d
յոթ	j o tʰ
յոթանասուն	j o tʰ ɑ n ɑ s u n
յոթերորդ	j o tʰ e ɾ o ɾ tʰ
յոթներյակ	j o tʰ n e ɾ j ɑ k
յոթներորդ	j o tʰ n e ɾ o ɾ tʰ
յոթնիցս	j o tʰ n i t͡sʰ ə s
յորղան	j o ɾ ʁ ɑ n
յորուբա	j o ɾ u b ɑ
յուան	j u ɑ n
յուբկա	j u b k ɑ
յուղ	j u ʁ
յուղաբլիթ	j u ʁ ɑ b ə l i tʰ
յուղալավաշ	j u ʁ ɑ l ɑ v ɑ ʃ
յուղաներկ	j u ʁ ɑ n e ɾ k
յուր	& # 8 2 0 3 ; j u ɾ
յուրահատուկ	j u ɾ ɑ h ɑ t u k
յուրային	j u ɾ ɑ j i n
յուրաքանչյուր	j u ɾ ɑ kʰ ɑ n t͡ʃʰ j u ɾ
յուրովի	j u ɾ o v i
յուրովին	j u ɾ o v i n
յուրովսանն	j u ɾ o f s ɑ n n
յուրօրինակ	j u ɾ o ɾ i n ɑ k
ն	n ə
նա	n ɑ
նադիր	n ɑ d i ɾ
նազ	n ɑ z
նազանի	n ɑ z ɑ n i
նազել	n ɑ z e l
նաժիշտ	n ɑ ʒ i ʃ t
նալ	n ɑ l
նալբանդ	n ɑ l b ɑ n d
նախ	n ɑ χ
նախաբազուկ	n ɑ χ ɑ b ɑ z u k
նախագա	n ɑ χ ɑ ɡ ɑ
նախագահ	n ɑ χ ɑ ɡ ɑ h
նախագահական	n ɑ χ ɑ ɡ ɑ h ɑ k ɑ n
նախագահացու	n ɑ χ ɑ ɡ ɑ h ɑ t͡sʰ u
նախագահություն	n ɑ χ ɑ ɡ ɑ h u tʰ j u n
նախագիծ	n ɑ χ ɑ ɡ i t͡s
նախագծել	n ɑ χ ɑ ɡ ə t͡s e l
նախագծող	n ɑ χ ɑ ɡ ə t͡s o ʁ
նախադասություն	n ɑ χ ɑ d ɑ s u tʰ j u n
նախադեպ	n ɑ χ ɑ d e p
նախադպրոցական	n ɑ χ ɑ d ə p ɾ o t͡sʰ ɑ k ɑ n
նախազգուշացում	n ɑ χ ɑ z ɡ u ʃ ɑ t͡sʰ u m
նախալեզու	n ɑ χ ɑ l e z u
նախախնամություն	n ɑ χ ɑ χ ə n ɑ m u tʰ j u n
նախածանց	n ɑ χ ɑ t͡s ɑ n t͡sʰ
նախահայր	n ɑ χ ɑ h ɑ j ɾ
նախահայրենիք	n ɑ χ ɑ h ɑ j ɾ e n i kʰ
նախաձեռնություն	n ɑ χ ɑ d͡z e r n u tʰ j u n
նախաճաշ	n ɑ χ ɑ t͡ʃ ɑ ʃ
նախաճաշել	n ɑ χ ɑ t͡ʃ ɑ ʃ e l
նախամայր	n ɑ χ ɑ m ɑ j ɾ
նախամարդ	n ɑ χ ɑ m ɑ ɾ tʰ
նախանձ	n ɑ χ ɑ n d͡z
նախանձել	n ɑ χ ɑ n d͡z e l
նախանձկոտ	n ɑ χ ɑ n d͡z k o t
նախանձոտ	n ɑ χ ɑ n d͡z o t
նախանձվել	n ɑ χ ɑ n d͡z v e l
նախապայման	n ɑ χ ɑ p ɑ j m ɑ n
նախապատմական	n ɑ χ ɑ p ɑ t m ɑ k ɑ n
նախապատմություն	n ɑ χ ɑ p ɑ t m u tʰ j u n
նախապես	n ɑ χ ɑ p e s
նախասիրտ	n ɑ χ ɑ s i ɾ t
նախասրահ	n ɑ χ ɑ s ə ɾ ɑ h
նախավերջին	n ɑ χ ɑ v e ɾ t͡ʃʰ i n
նախատանք	n ɑ χ ɑ t ɑ n kʰ
նախատել	n ɑ χ ɑ t e l
նախատեսել	n ɑ χ ɑ t e s e l
նախատեսնել	n ɑ χ ɑ t e s n e l
նախատեսություն	n ɑ χ ɑ t e s u tʰ j u n
նախատեսում	n ɑ χ ɑ t e s u m
նախատեսվել	n ɑ χ ɑ t e s v e l
նախատինք	n ɑ χ ɑ t i n kʰ
նախարար	n ɑ χ ɑ ɾ ɑ ɾ
նախարարացու	n ɑ χ ɑ ɾ ɑ ɾ ɑ t͡sʰ u
նախարարություն	n ɑ χ ɑ ɾ ɑ ɾ u tʰ j u n
նախդիր	n ɑ χ d i ɾ
նախընտրական	n ɑ χ ə n t ɾ ɑ k ɑ n
նախընտրել	n ɑ χ ə n t ɾ e l
նախիր	n ɑ χ i ɾ
նախկին	n ɑ χ k i n
նախճիր	n ɑ χ t͡ʃ i ɾ
նախնական	n ɑ χ n ɑ k ɑ n
նախնի	n ɑ χ n i
նախշ	n ɑ χ ʃ
նախորդ	n ɑ χ o ɾ tʰ
նախուտեստ	n ɑ χ u t e s t
նախօրոք	n ɑ χ o ɾ o kʰ
նահանգ	n ɑ h ɑ n ɡ
նահանգապետ	n ɑ h ɑ n ɡ ɑ p e t
նահանգապետական	n ɑ h ɑ n ɡ ɑ p e t ɑ k ɑ n
նահանջել	n ɑ h ɑ n d͡ʒ e l
նահապետ	n ɑ h ɑ p e t
նահատակ	n ɑ h ɑ t ɑ k
նահուատլ	n ɑ h u ɑ t ə l
նամ	n ɑ m
նամազ	n ɑ m ɑ z
նամակ	n ɑ m ɑ k
նամականի	n ɑ m ɑ k ɑ n i
նամականիշ	n ɑ m ɑ k ɑ n i ʃ
նամակատուն	n ɑ m ɑ k ɑ t u n
նամանավանդ	n ɑ m ɑ n ɑ v ɑ n d
նամուս	n ɑ m u s
նայած	n ɑ j ɑ t͡s
նայել	n ɑ j e l
նայվածք	n ɑ j v ɑ t͡s kʰ
նան	n ɑ n
նանա	n ɑ n ɑ
նանի	n ɑ n i
նանոտեխնոլոգիա	n ɑ n o t e χ n o l o ɡ i ɑ
նապաստակ	n ɑ p ɑ s t ɑ k
նաջար	n ɑ d͡ʒ ɑ ɾ
նասկի	n ɑ s k i
նավ	n ɑ v
նավազ	n ɑ v ɑ z
նավախել	n ɑ v ɑ χ e l
նավակ	n ɑ v ɑ k
նավակազմ	n ɑ v ɑ k ɑ z m
նավակայան	n ɑ v ɑ k ɑ j ɑ n
նավակատիկ	n ɑ v ɑ k ɑ t i k
նավակատիք	n ɑ v ɑ k ɑ t i kʰ
նավահանգիստ	n ɑ v ɑ h ɑ n ɡ i s t
նավահո	n ɑ v ɑ h o
նավապետ	n ɑ v ɑ p e t
նավաստի	n ɑ v ɑ s t i
նավատորմ	n ɑ v ɑ t o ɾ m
նավատորմիղ	n ɑ v ɑ t o ɾ m i ʁ
նավարար	n ɑ v ɑ ɾ ɑ ɾ
նավել	n ɑ v e l
նավթ	n ɑ f tʰ
նավթադոլար	n ɑ f tʰ ɑ d o l ɑ ɾ
նավթավերամշակում	n ɑ f tʰ ɑ v e ɾ ɑ m ə ʃ ɑ k u m
նատյուրմորտ	n ɑ t j u ɾ m o ɾ t
նարգիզ	n ɑ ɾ ɡ i z
նարդի	n ɑ ɾ d i
նարինջ	n ɑ ɾ i n d͡ʒ
նարնջագույն	n ɑ ɾ ə n d͡ʒ ɑ ɡ u j n
նարտ	n ɑ ɾ t
նացիզմ	n ɑ t͡sʰ i z m
նացիստ	n ɑ t͡sʰ i s t
նացիստական	n ɑ t͡sʰ i s t ɑ k ɑ n
նաֆար	n ɑ f ɑ ɾ
նաև	n ɑ j e v
նեգատիվ	n e ɡ ɑ t i v
նեգր	n e ɡ ə ɾ
նեգրի	n e ɡ ɾ i
նեխած	n e χ ɑ t͡s
նեխել	n e χ e l
նեխուր	n e χ u ɾ
նեղ	n e ʁ
նեղանալ	n e ʁ ɑ n ɑ l
նեղել	n e ʁ e l
նեղություն	n e ʁ u tʰ j u n
նեղուց	n e ʁ u t͡sʰ
նեյտրալ	n e j t ɾ ɑ l
նեյտրինո	n e j t ɾ i n o
նեյտրոն	n e j t ɾ o n
նեյտրոնային	n e j t ɾ o n ɑ j i n
նենգ	n e n ɡ
նենգաբար	n e n ɡ ɑ b ɑ ɾ
նենգադուլ	n e n ɡ ɑ d u l
նենգավոր	n e n ɡ ɑ v o ɾ
նենց	n e n t͡sʰ
նեոդիմ	n e o d i m
նեոդիում	n e o d i j u m
նեոն	n e o n
նեոնացիստ	n e o n ɑ t͡sʰ i s t
նեպալերեն	n e p ɑ l e ɾ e n
նեպալի	n e p ɑ l i
նեպտունիում	n e p t u n i j u m
նեռ	n e r
նեստորական	n e s t o ɾ ɑ k ɑ n
նետ	n e t
նետաձգուհի	n e t ɑ d͡z ə kʰ u h i
նետաձիգ	n e t ɑ d͡z i kʰ
նետել	n e t e l
նետընկեց	n e t ə n k e t͡sʰ
ներ	n e ɾ
ներածություն	n e ɾ ɑ t͡s u tʰ j u n
ներառել	n e ɾ ɑ r e l
ներարկել	n e ɾ ɑ ɾ k e l
ներարկիչ	n e ɾ ɑ ɾ k i t͡ʃʰ
ներարկում	n e ɾ ɑ ɾ k u m
ներբան	n e ɾ b ɑ n
ներբեռնել	n e ɾ b e r n e l
ներբեռնում	n e ɾ b e r n u m
ներբող	n e ɾ b o ʁ
ներբողյան	n e ɾ pʰ o ʁ j ɑ n
ներգաղթ	n e ɾ ɡ ɑ χ tʰ
ներգաղթել	n e ɾ ɡ ɑ χ tʰ e l
ներգաղթյալ	n e ɾ ɡ ɑ χ tʰ j ɑ l
ներգո	n e ɾ ɡ o
ներգոյական	n e ɾ ɡ o j ɑ k ɑ n
ներգործական	n e ɾ ɡ o ɾ t͡s ɑ k ɑ n
ներդաշնակ	n e ɾ d ɑ ʃ n ɑ k
ներդաշնակացում	n e ɾ d ɑ ʃ n ɑ k ɑ t͡sʰ u m
ներդաշնակություն	n e ɾ d ɑ ʃ n ɑ k u tʰ j u n
ներդնել	n e ɾ d ə n e l
ներդրել	n e ɾ d ə ɾ e l
ներդրող	n e ɾ d ə ɾ o ʁ
ներդրում	n e ɾ d ə ɾ u m
ներել	n e ɾ e l
ներեղություն	n e ɾ e ʁ u tʰ j u n
ներխուժել	n e ɾ χ u ʒ e l
ներխուժում	n e ɾ χ u ʒ u m
ներկ	n e ɾ k
ներկա	n e ɾ k ɑ
ներկայանալ	n e ɾ k ɑ j ɑ n ɑ l
ներկայացնել	n e ɾ k ɑ j ɑ t͡sʰ n e l
ներկայացում	n e ɾ k ɑ j ɑ t͡sʰ u m
ներկայացուցիչ	n e ɾ k ɑ j ɑ t͡sʰ u t͡sʰ i t͡ʃʰ
ներկայացուցչություն	n e ɾ k ɑ j ɑ t͡sʰ u t͡sʰ t͡ʃʰ u tʰ j u n
ներկայությամբ	n e ɾ k ɑ j u tʰ j ɑ m b
ներկայություն	n e ɾ k ɑ j u tʰ j u n
ներկայումս	n e ɾ k ɑ j u m ə s
ներկապնակ	n e ɾ k ɑ p ə n ɑ k
ներկարար	n e ɾ k ɑ ɾ ɑ ɾ
ներկել	n e ɾ k e l
ներողություն	n e ɾ o ʁ u tʰ j u n
ներուժ	n e ɾ u ʒ
ներում	n e ɾ u m
ներս	n e ɾ s
ներվ	n e ɾ v
ներց	n e ɾ t͡sʰ
ներքաղաքական	n e ɾ kʰ ɑ ʁ ɑ kʰ ɑ k ɑ n
ներքին	n e ɾ kʰ i n
ներքինանալ	n e ɾ kʰ i n ɑ n ɑ l
ներքինացնել	n e ɾ kʰ i n ɑ t͡sʰ n e l
ներքինի	n e ɾ kʰ i n i
ներքնազգեստ	n e ɾ kʰ n ɑ z ɡ e s t
ներքնախաղ	n e ɾ kʰ n ɑ χ ɑ ʁ
ներքնակ	n e ɾ kʰ n ɑ k
ներքնաձիգ	n e ɾ kʰ n ɑ d͡z i kʰ
ներքնատուն	n e ɾ kʰ n ɑ t u n
ներքո	n e ɾ kʰ o
ներքուստ	n e ɾ kʰ u s t
ներքև	n e ɾ kʰ e v
նեցուկ	n e t͡sʰ u k
նզովք	n ə z o v kʰ
նժդեհ	n ə ʒ d e h
նժույգ	n ə ʒ u j kʰ
նիդեռլանդական	n i d e r l ɑ n d ɑ k ɑ n
նիդեռլանդացի	n i d e r l ɑ n d ɑ t͡sʰ i
նիդեռլանդերեն	n i d e r l ɑ n d e ɾ e n
նիդերլանդական	n i d e ɾ l ɑ n d ɑ k ɑ n
նիդերլանդացի	n i d e ɾ l ɑ n d ɑ t͡sʰ i
նիդերլանդերեն	n i d e ɾ l ɑ n d e ɾ e n
նիզակ	n i z ɑ k
նիզակաբուն	n i z ɑ k ɑ b u n
նիլսբորիում	n i l s b o ɾ i j u m
նիկել	n i k e l
նիկոտին	n i k o t i n
նիհար	n i h ɑ ɾ
նինջ	n i n d͡ʒ
նինջա	n i n d͡ʒ ɑ
նիշ	n i ʃ
նիշք	n i ʃ kʰ
նիոբիում	n i j o b i j u m
նիստ	n i s t
նիստուկաց	n i s t u k ɑ t͡sʰ
նիրհ	n i ɾ h
նիրհել	n i ɾ h e l
նկատել	n ə k ɑ t e l
նկատմամբ	n ə k ɑ t m ɑ m b
նկատմամբ	n ə k ɑ t m ɑ m pʰ
նկատող	n ə k ɑ t o ʁ
նկատողություն	n ə k ɑ t o ʁ u tʰ j u n
նկար	n ə k ɑ ɾ
նկարագրել	n ə k ɑ ɾ ɑ ɡ ɾ e l
նկարագրություն	n ə k ɑ ɾ ɑ ɡ ɾ u tʰ j u n
նկարակալ	n ə k ɑ ɾ ɑ k ɑ l
նկարահանել	n ə k ɑ ɾ ɑ h ɑ n e l
նկարահանելուկ	n ə k ɑ ɾ ɑ h ɑ n e l u k
նկարահանում	n ə k ɑ ɾ ɑ h ɑ n u m
նկարահանվել	n ə k ɑ ɾ ɑ h ɑ n v e l
նկարել	n ə k ɑ ɾ e l
նկարեն	n ə k ɑ ɾ e n
նկարիչ	n ə k ɑ ɾ i t͡ʃʰ
նկարչություն	n ə k ɑ ɾ t͡ʃʰ u tʰ j u n
նկուղ	n ə k u ʁ
նկուղային	n ə k u ʁ ɑ j i n
նկուն	n ə k u n
նկրտել	n ə k ə ɾ t e l
նհանգ	n ə h ɑ n ɡ
նման	n ə m ɑ n
նմանատիպ	n ə m ɑ n ɑ t i p
նմանություն	n ə m ɑ n u tʰ j u n
նմոյշ	n ə m u ʃ
նմուշ	n ə m u ʃ
նյարդ	n j ɑ ɾ tʰ
նյութ	n j u tʰ
նյութափոխանակություն	n j u tʰ ɑ pʰ o χ ɑ n ɑ k u tʰ j u n
ննջարան	n ə n d͡ʒ ɑ ɾ ɑ n
ննջել	n ə n d͡ʒ e l
նշագեղձ	n ə ʃ ɑ ɡ e ʁ d͡z
նշան	n ə ʃ ɑ n
նշանաբան	n ə ʃ ɑ n ɑ b ɑ n
նշանագետ	n ə ʃ ɑ n ɑ ɡ e t
նշանակ	n ʃ ɑ n ɑ k
նշանակալից	n ə ʃ ɑ n ɑ k ɑ l i t͡sʰ
նշանակել	n ə ʃ ɑ n ɑ k e l
նշանավոր	n ə ʃ ɑ n ɑ v o ɾ
նշանել	n ə ʃ ɑ n e l
նշանված	n ə ʃ ɑ n v ɑ t͡s
նշանվել	n ə ʃ ɑ n v e l
նշել	n ə ʃ e l
նշենի	n ə ʃ e n i
նշիկ	n ə ʃ i k
նշխար	n ə ʃ χ ɑ ɾ
նշմարել	n ə ʃ m ɑ ɾ e l
նշույլ	n ə ʃ u j l
նշվել	n ə ʃ v e l
նշտար	n ə ʃ t ɑ ɾ
նոբելիում	n o b e l i j u m
նոթի	n o tʰ i
նոխազ	n o χ ɑ z
նողկալ	n o χ k ɑ l
նողկալի	n o χ k ɑ l i
նոճ	n o t͡ʃ
նոճի	n o t͡ʃ i
նոյեմբեր	n o j e m b e ɾ
նոյեմբերյան	n o j e m b e ɾ j ɑ n
նոպա	n o p ɑ
նոսր	n o s ə ɾ
նոտար	n o t ɑ ɾ
նոր	n o ɾ
նորաբնակ	n o ɾ ɑ b ə n ɑ k
նորածին	n o ɾ ɑ t͡s i n
նորահարուստ	n o ɾ ɑ h ɑ ɾ u s t
նորահարս	n o ɾ ɑ h ɑ ɾ s
նորաձևություն	n o ɾ ɑ d͡z e v u tʰ j u n
նորաոճ	n o ɾ ɑ v o t͡ʃ
նորապսակ	n o ɾ ɑ p ə s ɑ k
նորարարություն	n o ɾ ɑ ɾ ɑ ɾ u tʰ j u n
նորեկ	n o ɾ e k
նորընտիր	n o ɾ ə n t i ɾ
նորից	n o ɾ i t͡sʰ
նորհարս	n o ɾ h ɑ ɾ s
նորման	n o ɾ m ɑ n
նորմանական	n o ɾ m ɑ n ɑ k ɑ n
նորմանդացի	n o ɾ m ɑ n d ɑ t͡sʰ i
նորմատիվ	n o ɾ m ɑ t i v
նորոգ	n o ɾ o kʰ
նորոգել	n o ɾ o kʰ e l
նորություն	n o ɾ u tʰ j u n
նորություններ	n o ɾ u tʰ j u n n e ɾ
նորույթ	n o ɾ u j tʰ
նորվեգական	n o ɾ v e ɡ ɑ k ɑ n
