अ	ə
तालीम	t̪ a l i m
तालुका	t̪ a l u k a
तावणे	t̪ a ʋ ɳ e
तावणे	t̪ a ʋ ɳ ə
तास	t̪ a s
तासणे	t̪ a s ɳ e
तासणे	t̪ a s ɳ ə
तिकडे	t̪ i k ɖ e
तिकडे	t̪ i k ɖ ə
तिजोरी	t̪ i d͡z o ɾ i
तिथी	t̪ i t̪ʰ i
तिथे	t̪ i t̪ʰ e
तिथे	t̪ i t̪ʰ ə
तिमिर	t̪ i m i ɾ
तिरके	t̪ i ɾ k e
तिरके	t̪ i ɾ k ə
तिरसा	t̪ i ɾ s a
तिरस्कार	t̪ i ɾ ə s k a ɾ
तिरुचिरापल्ली	t̪ i ɾ u t͡ɕ i ɾ a p ə l l i
तिरुवनंतपुरम	t̪ i ɾ u ʋ n ə n t̪ p u ɾ ə m
तिला	t̪ i l a
तिसरे	t̪ i s ɾ e
ती	t̪ i
तीन	t̪ i n
तीर	t̪ i ɾ
तीळ	t̪ i ɭ̆
तीव्र	t̪ i ʋ ɾ ə
तीस	t̪ i s
तुझे	t̪ u d͡ʑʱ e
तुझे	t̪ u d͡ʑʱ ə
तुटणे	t̪ u ʈ ɳ e
तुटणे	t̪ u ʈ ɳ ə
तुफान	t̪ u pʰ a n
तुमचे	t̪ u m t͡ɕ e
तुमचे	t̪ u m t͡ɕ ə
तुम्ही	t̪ u mʱ i
तुरुंग	t̪ u ɾ u ŋ ɡ ə
तुला	t̪ u l a
तुळसी	t̪ u ɭ̆ s i
तू	t̪ u
तूप	t̪ u p
तूळ	t̪ u ɭ̆
तृप्ती	t̪ ɾ u p t̪ i
ते	t̪ e
तेंडुलकर	t̪ e ɳ ɖ u l k ə ɾ
तेरा	t̪ e ɾ a
तेल	t̪ e l
तेलुगू	t̪ e l u ɡ u
तेवणे	t̪ e ʋ ɳ e
तेवणे	t̪ e ʋ ɳ ə
तेवीस	t̪ e ʋ i s
तेहतीस	t̪ e ɦ t̪ i s
तेहेवार	t̪ e ɦ e ʋ a ɾ
तो	t̪ o
तोंड	t̪ o ɳ ɖ ə
तोंडे	t̪ o ɳ ɖ e
तोंडे	t̪ o ɳ ɖ ə
तोडणे	t̪ o ɖ ɳ e
तोडणे	t̪ o ɖ ɳ ə
तोरण	t̪ o ɾ ə ɳ
तोरा	t̪ o ɾ a
तोलणे	t̪ o l ɳ e
तोलणे	t̪ o l ɳ ə
तोळा	t̪ o ɭ̆ a
त्याग	t̪ j a ɡ
त्रागा	t̪ ɾ a ɡ a
त्राण	t̪ ɾ a ɳ
त्रास	t̪ ɾ a s
त्रासदायक	t̪ ɾ a s d̪ a j ə k
त्रिज्या	t̪ ɾ i d͡ʑ j a
त्रिशूळ	t̪ ɾ i ɕ u ɭ̆
त्रेचाळीस	t̪ ɾ e t͡ɕ a ɭ̆ i s
त्वरित	t̪ ʋ ə ɾ i t̪
थ	t̪ʰ ə
थंड	t̪ʰ ə ɳ ɖ ə
थकणे	t̪ʰ ə k ɳ e
थकणे	t̪ʰ ə k ɳ ə
थट्टा	t̪ʰ ə ʈ ʈ a
थर	t̪ʰ ə ɾ
थरथरणे	t̪ʰ ə ɾ t̪ʰ ə ɾ ɳ e
थरथरणे	t̪ʰ ə ɾ t̪ʰ ə ɾ ɳ ə
थर्मामीटर	t̪ʰ ə ɾ m a m i ʈ ə ɾ
थवा	t̪ʰ ə ʋ a
थांबणे	t̪ʰ a m b ɳ e
थांबणे	t̪ʰ a m b ɳ ə
थाट	t̪ʰ a ʈ
थाटणे	t̪ʰ a ʈ ɳ e
थाटमांड	t̪ʰ a ʈ m a ɳ ɖ ə
थाटमाट	t̪ʰ a ʈ m a ʈ
थापणे	t̪ʰ a p ɳ e
थायलंड	t̪ʰ a j l ə ɳ ɖ ə
थाळी	t̪ʰ a ɭ̆ i
थिजणे	t̪ʰ i d͡z ɳ e
थिजणे	t̪ʰ i d͡z ɳ ə
थुंकणे	t̪ʰ u ŋ k ɳ e
थुंकणे	t̪ʰ u ŋ k ɳ ə
थुंकी	t̪ʰ u ŋ k i
थेंब	t̪ʰ e m b ə
थेट	t̪ʰ e ʈ
थोडे	t̪ʰ o ɖ e
थोडे	t̪ʰ o ɖ ə
थोबाड	t̪ʰ o b a ɖ
थोर	t̪ʰ o ɾ
द	d ə
दंड	d̪ ə ɳ ɖ ə
दक्ष	d̪ ə k ʂ ə
दक्षिण	d̪ ə k ʂ i ɳ
दगड	d̪ ə ɡ ə ɖ
दगा	d̪ ə ɡ a
दचकणे	d̪ ə t͡s ə k ɳ e
दडपण	d̪ ə ɖ p ə ɳ
दडपणे	d̪ ə ɖ ə p ɳ e
दडपणे	d̪ ə ɖ ə p ɳ ə
दफनविधी	d̪ ə pʰ ə n ʋ i d̪ʱ i
दबाव	d̪ ə b a ʋ
दम	d̪ ə m
दमट	d̪ ə m ə ʈ
दमटणे	d̪ ə m ə ʈ ə ɳ e
दमटणे	d̪ ə m ə ʈ ə ɳ ə
दमटपणा	d̪ ə m ə ʈ p ə ɳ a
दमणे	d̪ ə m ɳ e
दमणे	d̪ ə m ɳ ə
दमवणे	d̪ ə m ə ʋ ɳ e
दमवणे	d̪ ə m ə ʋ ɳ ə
दमा	d̪ ə m a
दया	d̪ ə j a
दरबार	d̪ ə ɾ b a ɾ
दरम्यान	d̪ ə ɾ ə m j a n
दरवाजा	d̪ ə ɾ ʋ a d͡z a
दरिद्र	d̪ ə ɾ i d̪ ɾ ə
दरिद्री	d̪ ə ɾ i d̪ ɾ i
दरी	d̪ ə ɾ i
दरोडा	d̪ ə ɾ o ɖ a
दरोडेखोर	d̪ ə ɾ o ɖ e kʰ o ɾ
दर्जा	d̪ ə ɾ d͡ʑ a
दर्या	d̪ ə ɾ j a
दलाल	d̪ ə l a l
दलित	d̪ ə l i t̪
दवाखाना	d̪ ə ʋ a kʰ a n a
दशरथ	d̪ ə ɕ ɾ ə t̪ʰ
दशा	d̪ ə ɕ a
दहशत	d̪ ə ɦ ɕ ə t̪
दहशतवाद	d̪ ə ɦ ɕ ə t̪ ʋ a d̪
दहशतवादी	d̪ ə ɦ ɕ ə t̪ ʋ a d̪ i
दहा	d̪ ə ɦ a
दहावे	d̪ ə ɦ a ʋ e
दहावे	d̪ ə ɦ a ʋ ə
दही	d̪ ə ɦ i
दाखल	d̪ a kʰ ə l
दाखला	d̪ a kʰ l a
दाखवणे	d̪ a kʰ ə ʋ ɳ e
दाखवणे	d̪ a kʰ ə ʋ ɳ ə
दागिना	d̪ a ɡ i n a
दाट	d̪ a ʈ
दाटणे	d̪ a ʈ ɳ e
दाटणे	d̪ a ʈ ɳ ə
दाढा	d̪ a ɖʱ a
दाढी	d̪ a ɖʱ i
दाणा	d̪ a ɳ a
दात	d̪ a t̪
दाता	d̪ a t̪ a
दाते	d̪ a t̪ e
दाते	d̪ a t̪ ə
दादा	d̪ a d̪ a
दानीएल	d̪ a n i e l
दाब	d̪ a b
दाबणे	d̪ a b ɳ e
दाबणे	d̪ a b ɳ ə
दामिनी	d̪ a m i n i
दायक	d̪ a j ə k
दायित्व	d̪ a j i t̪ ʋ ə
दार	d̪ a ɾ
दारिद्र्य	d̪ a ɾ i d̪ ɾ j ə
दारू	d̪ a ɾ u
दारे	d̪ a ɾ e
दारे	d̪ a ɾ ə
दार्ढ्य	d̪ a ɾ ɖʱ j ə
दालचिनी	d̪ a l t͡ɕ i n i
दालन	d̪ a l ə n
दावीद	d̪ a ʋ i d̪
दिग्दर्शक	d̪ i ɡ d̪ ə ɾ ɕ ə k
दिन	d̪ i n
दिनांक	d̪ i n a ŋ k ə
दिपणे	d̪ i p ɳ e
दिपणे	d̪ i p ɳ ə
दिल	d̪ i l
दिल्ली	d̪ i l l i
दिवस	d̪ i ʋ ə s
दिवा	d̪ i ʋ a
दिवाणे	d̪ i ʋ a ɳ e
दिवाणे	d̪ i ʋ a ɳ ə
दिवाळी	d̪ i ʋ a ɭ̆ i
दिवे	d̪ i ʋ e
दिवे	d̪ i ʋ ə
दिशा	d̪ i ɕ a
दिसणे	d̪ i s ɳ e
दिसणे	d̪ i s ɳ ə
दीदी	d̪ i d̪ i
दीपावली	d̪ i p a ʋ l i
दीर	d̪ i ɾ
दुःख	d̪ uʰ kʰ ə
दुःखी	d̪ uʰ kʰ i
दुःस्वप्न	d̪ uʰ s ʋ ə p n ə
दुकान	d̪ u k a n
दुख	d̪ u kʰ
दुखणे	d̪ u kʰ ɳ e
दुखणे	d̪ u kʰ ɳ ə
दुजोरा	d̪ u d͡ʑ o ɾ a
दुधी	d̪ u d̪ʱ i
दुनिया	d̪ u n i j a
दुय्यम	d̪ u j j ə m
दुराग्रह	d̪ u ɾ a ɡ ɾ ə ɦ
दुराग्रही	d̪ u ɾ a ɡ ɾ ə ɦ i
दुरुस्त	d̪ u ɾ u s t̪ ə
दुरुस्ती	d̪ u ɾ u s t̪ i
दुर्ग	d̪ u ɾ ɡ ə
दुर्गंध	d̪ u ɾ ɡ ə n d̪ʱ ə
दुर्गंधी	d̪ u ɾ ɡ ə n d̪ʱ i
दुर्गति	d̪ u ɾ ɡ ə t̪ i
दुर्दैव	d̪ u ɾ d̪ ə i ʋ
दुर्दैवी	d̪ u ɾ d̪ ə i ʋ i
दुर्बोध	d̪ u ɾ b o d̪ʱ
दुर्भाग्य	d̪ u ɾ bʱ a ɡ j ə
दुवा	d̪ u ʋ a
दुश्मन	d̪ u ɕ m ə n
दुश्मनी	d̪ u ɕ m ə n i
दुसरे	d̪ u s ɾ e
दूध	d̪ u d̪ʱ
दूर	d̪ u ɾ
दृश्य	d̪ ɾ u ɕ j ə
दृश्ये	d̪ ɾ u ɕ j e
दृश्ये	d̪ ɾ u ɕ j ə
दृष्ट	d̪ ɾ u ʂ ʈ ə
दृष्टिकोण	d̪ ɾ u ʂ ʈ i k o ɳ
दृष्टी	d̪ ɾ u ʂ ʈ i
देखील	d̪ e kʰ i l
देठ	d̪ e ʈʰ
देणे	d̪ e ɳ e
देणे	d̪ e ɳ ə
देव	d̪ e ʋ
देवलोक	d̪ e ʋ l o k
देवी	d̪ e ʋ i
देव्या	d̪ e ʋ j a
देव्हारा	d̪ e ʋʱ a ɾ a
देश	d̪ e ɕ
देशद्रोह	d̪ e ɕ d̪ ɾ o ɦ
देशद्रोही	d̪ e ɕ ə d̪ ɾ o ɦ i
देह	d̪ e ɦ
देहभान	d̪ e ɦ bʱ a n
देहुडी	d̪ e ɦ u ɖ i
दैव	d̪ ə i ʋ
दोन	d̪ o n
दोनदा	d̪ o n d̪ a
दोन्ही	d̪ o nʱ i
दोरी	d̪ o ɾ i
दोष	d̪ o ʂ
दोषारोप	d̪ o ʂ a ɾ o p
दोषी	d̪ o ʂ i
दोस्त	d̪ o s t̪ ə
दौडणे	d̪ ə u ɖ ɳ e
दौडणे	d̪ ə u ɖ ɳ ə
दौरा	d̪ ə u ɾ a
दौलत	d̪ ə u l ə t̪
द्राक्ष	d̪ ɾ a k ʂ ə
द्रोह	d̪ ɾ o ɦ
द्रोही	d̪ ɾ o ɦ i
द्रौपदी	d̪ ɾ ə u p d̪ i
द्वीपसमूह	d̪ ʋ i p s ə m u ɦ
द्वेष	d̪ ʋ e ʂ
ध	d̪ʱ ə
धंदा	d̪ʱ ə n d̪ a
धंदे	d̪ʱ ə n d̪ e
धक्का	d̪ʱ ə k k a
धक्कादायक	d̪ʱ ə k k a d̪ a j ə k
धगधगणे	d̪ʱ ə ɡ d̪ʱ ə ɡ ɳ e
धगधगणे	d̪ʱ ə ɡ d̪ʱ ə ɡ ɳ ə
धट्ट	d̪ʱ ə ʈ ʈ ə
धडकणे	d̪ʱ ə ɖ ə k ɳ e
धडकणे	d̪ʱ ə ɖ ə k ɳ ə
धडा	d̪ʱ ə ɖ a
धडाडी	d̪ʱ ə ɖ a ɖ i
धणा	d̪ʱ ə ɳ a
धनत्रयोदशी	d̪ʱ ə n ə t̪ ɾ ə j o d̪ ɕ i
धना	d̪ʱ ə n a
धनादेश	d̪ʱ ə n a d̪ e ɕ
धनु	d̪ʱ ə n u
धनुष्य	d̪ʱ ə n u ʂ j ə
धन्य	d̪ʱ ə n j ə
धन्यवाद	d̪ʱ ə n j ə ʋ a d̪
धबधबा	d̪ʱ ə b d̪ʱ ə b a
धमनी	d̪ʱ ə m n i
धमन्या	d̪ʱ ə m ə n j a
धरणे	d̪ʱ ə ɾ ɳ e
धरणे	d̪ʱ ə ɾ ɳ ə
धरती	d̪ʱ ə ɾ t̪ i
धर्म	d̪ʱ ə ɾ m ə
धर्मग्रंथ	d̪ʱ ə ɾ m ə ɡ ɾ ə n t̪ʰ ə
धर्मनिरपेक्ष	d̪ʱ ə ɾ m ə n i ɾ ə p e k ʂ ə
धर्मनिरपेक्षता	d̪ʱ ə ɾ m ə n i ɾ ə p e k ʂ ə t̪ a
धर्मशाळा	d̪ʱ ə ɾ m ə ɕ a ɭ̆ a
धर्मशास्त्र	d̪ʱ ə ɾ m ə ɕ a s t̪ ɾ ə
धर्मशास्त्री	d̪ʱ ə ɾ m ə ɕ a s t̪ ɾ i
धांदल	d̪ʱ a n d̪ ə l
धांदली	d̪ʱ a n d̪ l i
धाडणे	d̪ʱ a ɖ ɳ e
धाडणे	d̪ʱ a ɖ ɳ ə
धाडस	d̪ʱ a ɖ ə s
धातू	d̪ʱ a t̪ u
धान्य	d̪ʱ a n j ə
धाप	d̪ʱ a p
धाबा	d̪ʱ a b a
धारणा	d̪ʱ a ɾ ɳ a
धाराशिव	d̪ʱ a ɾ a ɕ i ʋ
धार्मिक	d̪ʱ a ɾ m i k
धार्मिकता	d̪ʱ a ɾ m i k t̪ a
धावणे	d̪ʱ a ʋ ɳ e
धावणे	d̪ʱ a ʋ ɳ ə
धिक्कार	d̪ʱ i k k a ɾ
धिमे	d̪ʱ i m e
धिमे	d̪ʱ i m ə
धुंद	d̪ʱ u n d̪ ə
धुडकावणे	d̪ʱ u ɖ k a ʋ ɳ e
धुडकावणे	d̪ʱ u ɖ k a ʋ ɳ ə
धूर	d̪ʱ u ɾ
धूळ	d̪ʱ u ɭ̆
धूसर	d̪ʱ u s ə ɾ
धेंडोळी	d̪ʱ e ɳ ɖ o ɭ̆ i
धैर्य	d̪ʱ ə i ɾ j ə
धोका	d̪ʱ o k a
धोकेबाज	d̪ʱ o k e b a d͡ʑ
धोतर	d̪ʱ o t̪ ə ɾ
ध्यान	d̪ʱ j a n
ध्यास	d̪ʱ j a s
ध्येय	d̪ʱ j e j
ध्वज	d̪ʱ ʋ ə d͡ʑ
ध्वनिप्रदूषण	d̪ʱ ʋ ə n i p ɾ ə d̪ u ʂ ə ɳ
ध्वनी	d̪ʱ ʋ ə n i
ध्वन्यात्मक	d̪ʱ ʋ ə n j a t̪ m ə k
ध्वन्यात्मकता	d̪ʱ ʋ ə n j a t̪ m ə k t̪ a
न	n ə
नंतर	n ə n t̪ ə ɾ
नऊ	n ə u
नऊवारी	n ə u ʋ a ɾ i
नकार	n ə k a ɾ
नकारणे	n ə k a ɾ ɳ e
नकारात्मक	n ə k a ɾ a t̪ m ə k
नकारात्मकता	n ə k a ɾ a t̪ m ə k t̪ a
नकारार्थी	n ə k a ɾ a ɾ t̪ʰ i
नकाशा	n ə k a ɕ a
नकुल	n ə k u l
नको	n ə k o
नक्कल	n ə k k ə l
नक्की	n ə k k i
नगर	n ə ɡ ə ɾ
नजर	n ə d͡z ə ɾ
नजराणा	n ə d͡z ɾ a ɳ a
नजीक	n ə d͡ʑ i k
नट	n ə ʈ
नटी	n ə ʈ i
नणंद	n ə ɳ ə n d̪ ə
नदी	n ə d̪ i
नपुंसकलिंग	n ə p u u s ə k l i ŋ ɡ ə
नपुसकलिंग	n ə p u s ə k l i ŋ ɡ ə
नमस्कार	n ə m ə s k a ɾ
नमस्ते	n ə m ə s t̪ e
नमाज	n ə m a d͡ʑ
नमुना	n ə m u n a
नयन	n ə j ə n
नरक	n ə ɾ ə k
नरकचतुर्दशी	n ə ɾ k ə t͡ɕ t̪ u ɾ d̪ ə ɕ i
नरडे	n ə ɾ ɖ e
नरडे	n ə ɾ ɖ ə
नरसिंह	n ə ɾ s i u ɦ ə
नर्मदा	n ə ɾ m ə d̪ a
नळ	n ə ɭ̆
नवग्रह	n ə ʋ ɡ ɾ ə ɦ
नवरा	n ə ʋ ɾ a
नवरी	n ə ʋ ɾ i
नववे	n ə ʋ ʋ e
नववे	n ə ʋ ʋ ə
नवस	n ə ʋ ə s
नवा	n ə ʋ a
नवे	n ə ʋ e
नव्वद	n ə ʋ ʋ ə d̪
नव्व्याण्णव	n ə ʋ ʋ j a ɳ ɳ ə ʋ
नशीब	n ə ɕ i b
नशीबवान	n ə ɕ i b ʋ a n
नष्ट	n ə ʂ ʈ ə
नस	n ə s
नहाण	n ə ɦ a ɳ
नहाणवली	n ə ɦ a ɳ ə ʋ l i
नहाणे	n ə ɦ a ɳ e
नहाणे	n ə ɦ a ɳ ə
नांदणे	n a n d̪ ɳ e
नांदणे	n a n d̪ ɳ ə
नांदवणे	n a n d̪ ə ʋ ɳ e
नांदवणे	n a n d̪ ə ʋ ɳ ə
नांव	n a u ʋ ə
नाक	n a k
नाकपुडी	n a k p u ɖ i
नाकपुड्या	n a k p u ɖ j a
नाका	n a k a
नाके	n a k e
नाके	n a k ə
नाखुश	n a kʰ u ɕ
नाग	n a ɡ
नागपूर	n a ɡ p uː ɾ
नागरिक	n a ɡ ə ɾ i k
नाच	n a t͡s
नाचक्की	n a t͡ɕ ə k k i
नाचणी	n a t͡ɕ ə ɳ i
नाचणे	n a t͡s ɳ e
नाचणे	n a t͡s ɳ ə
नाचवणे	n a t͡s ə ʋ ɳ e
नाचवणे	n a t͡s ə ʋ ɳ ə
नाजुक	n a d͡ʑ u k
नाट	n a ʈ
नाडी	n a ɖ i
नाणं	n a ɳ ə
नाणे	n a ɳ e
नाणे	n a ɳ ə
नात	n a t̪
नाताळ	n a t̪ a ɭ̆
नातीण	n a t̪ i ɳ
नातू	n a t̪ u
नाते	n a t̪ e
नाते	n a t̪ ə
नातेवाईक	n a t̪ e ʋ a i k
नादान	n a d̪ a n
नापसंत	n a p ə s ə n t̪ ə
नाभि	n a bʱ i
नाभी	n a bʱ i
नाम	n a m
नामे	n a m e
नामे	n a m ə
नायक	n a j ə k
नायकीण	n a j k i ɳ
नायिका	n a j i k a
नारळ	n a ɾ ə ɭ̆
नाराज	n a ɾ a d͡ʑ
नाराजी	n a ɾ a d͡ʑ i
नारायण	n a ɾ a j ə ɳ
नाव	n a ʋ
नावाजणे	n a ʋ a d͡z ɳ e
नावाजणे	n a ʋ a d͡z ɳ ə
नावाडी	n a ʋ a ɖ i
नाश	n a ɕ
नाशिक	n a ɕ i k
नाश्ता	n a ɕ t̪ a
नाष्टा	n a ʂ ʈ a
नासणे	n a s ɳ e
नासणे	n a s ɳ ə
नासाडी	n a s a ɖ i
नास्तिक	n a s t̪ i k
नास्तिकता	n a s t̪ i k t̪ a
नाहणवली	n a ɦ ɳ ə ʋ l i
नाही	n a ɦ i
नाहीतर	n a ɦ i t̪ ə ɾ
नि	n i
निःशुल्क	n iʰ ɕ u l k ə
निकट	n i k ə ʈ
निका	n i k a
निकाल	n i k a l
निकालपत्र	n i k a l p ə t̪ ɾ ə
निखळणे	n i kʰ ə ɭ̆ ɳ e
निखळणे	n i kʰ ə ɭ̆ ɳ ə
निजणे	n i d͡z ɳ e
नितळ	n i t̪ ə ɭ̆
निदान	n i d̪ a n
निद्रा	n i d̪ ɾ a
निद्रानाश	n i d̪ ɾ a n a ɕ
निधि	n i d̪ʱ i
निनाद	n i n a d̪
निपजणे	n i p ə d͡z ɳ e
निपजणे	n i p ə d͡z ɳ ə
निबर	n i b ə ɾ
निभावणे	n i bʱ a ʋ ɳ e
निभावणे	n i bʱ a ʋ ɳ ə
नियंत्रक	n i j ə n t̪ ɾ ə k
नियंत्रण	n i j ə n t̪ ɾ ə ɳ
नियंत्रित	n i j ə n t̪ ɾ i t̪
नियम	n i j ə m
नियमित	n i j ə m i t̪
नियमितता	n i j m i t̪ t̪ a
निरंतर	n i ɾ ə n t̪ ə ɾ
निरपराध	n i ɾ ə p ɾ a d̪ʱ
निरर्थक	n i ɾ ə ɾ t̪ʰ ə k
निरागस	n i ɾ a ɡ ə s
निरोध	n i ɾ o d̪ʱ
निरोप	n i ɾ o p
निर्जीव	n i ɾ d͡ʑ i ʋ
निर्णय	n i ɾ ɳ ə j
निर्दोष	n i ɾ d̪ o ʂ
निर्भय	n i ɾ bʱ ə j
निर्मळ	n i ɾ m ə ɭ̆
निर्माण	n i ɾ m a ɳ
निर्माता	n i ɾ m a t̪ a
निर्माते	n i ɾ m a t̪ e
निर्मिती	n i ɾ m i t̪ i
निवडणूक	n i ʋ ə ɖ ɳ u k
निवडुंग	n i ʋ ɖ u ŋ ɡ ə
निवळणे	n i ʋ ə ɭ̆ ɳ e
निवळणे	n i ʋ ə ɭ̆ ɳ ə
निवांत	n i ʋ a n t̪ ə
निवारा	n i ʋ a ɾ a
निव्वळ	n i ʋ ʋ ə ɭ̆
निशाण	n i ɕ a ɳ
निशिगंध	n i ɕ i ɡ ə n d̪ʱ ə
निषिद्ध	n i ʂ i d̪ d̪ʱ ə
निष्णात	n i ʂ ɳ a t̪
निष्पत्ती	n i ʂ p ə t̪ t̪ i
निसटणे	n i s ə ʈ ɳ e
निसटणे	n i s ə ʈ ɳ ə
निसर्ग	n i s ə ɾ ɡ ə
निसळणे	n i s ə ɭ̆ ə ɳ e
निसळणे	n i s ə ɭ̆ ə ɳ ə
निस्तरणे	n i s t̪ ə ɾ ɳ e
निस्तरणे	n i s t̪ ə ɾ ɳ ə
नीद	n i d̪
नीलम	n i l ə m
नुन्नी	n u n n i
नेणे	n e ɳ e
नेणे	n e ɳ ə
नेतृत्व	n e t̪ ɾ u t̪ ʋ ə
नेत्र	n e t̪ ɾ ə
नेपाळ	n e p a ɭ̆
नेपाळी	n e p a ɭ̆ i
नेमके	n e m k e
नेमके	n e m k ə
नेसणे	n e s ɳ e
नेसणे	n e s ɳ ə
नेहमी	n e ɦ m i
नेहा	n e ɦ a
नैऋत्य	n ə i ɾ u t̪ j ə
नैसर्गिक	n ə i s ə ɾ ɡ i k
नोंदणे	n o n d̪ ə ɳ e
नोंदणे	n o n d̪ ə ɳ ə
नोकर	n o k ə ɾ
नोव्हेंबर	n o ʋʱ e m b ə ɾ
नोव्हेंबर	n o ʋ e m b ə ɾ
नौकादंड	n ə u k a d̪ ə ɳ ɖ ə
नौदल	n ə u d̪ ə l
नौसेना	n ə u s e n a
न्याय	n j a j
न्यायतः	n j a j t̪ əʰ
न्यायमूर्ती	n j a j m u ɾ t̪ i
न्यायाधीश	n j a j a d̪ʱ i ɕ
न्यायालय	n j a j a l ə j
न्यायासन	n j a j a s ə n
न्यायिक	n j a j i k
न्याय्य	n j a j j ə
न्यारे	n j a ɾ e
न्यारे	n j a ɾ ə
न्याहारी	n j a ɦ a ɾ i
न्यून	n j u n
न्यूनगंड	n j u n ɡ ə ɳ ɖ ə
न्यूनता	n j u n t̪ a
न्यूनांग	n j u n a ŋ ɡ ə
न्हाण	nʱ a ɳ
न्हाणीघर	nʱ a ɳ i ɡʱ ə ɾ
न्हाणे	nʱ a ɳ e
न्हाणे	nʱ a ɳ ə
न्हावी	nʱ a ʋ i
प	p ə
पंख	p ə ŋ kʰ ə
पंखा	p ə ŋ kʰ a
पंखे	p ə ŋ kʰ e
पंचवीस	p ə n t͡ɕ ʋ i s
पंचेचाळीस	p ə n t͡s e t͡ɕ a ɭ̆ i s
पंतप्रधान	p ə n t̪ ə p ɾ ə d̪ʱ a n
पंधरा	p ə n d̪ʱ ɾ a
पकडणे	p ə k ə ɖ ɳ e
पकडणे	p ə k ə ɖ ɳ ə
पक्ष	p ə k ʂ ə
पक्षी	p ə k ʂ i
पगार	p ə ɡ a ɾ
पचणे	p ə t͡s ɳ e
पचणे	p ə t͡s ɳ ə
पचवणे	p ə t͡s ə ʋ ɳ e
पचवणे	p ə t͡s ə ʋ ɳ ə
पटणे	p ə ʈ ɳ e
पटणे	p ə ʈ ɳ ə
पटवणे	p ə ʈ ə ʋ ɳ e
पटवणे	p ə ʈ ə ʋ ɳ ə
पट्टा	p ə ʈ ʈ a
पट्टी	p ə ʈ ʈ i
पट्टे	p ə ʈ ʈ e
पट्टे	p ə ʈ ʈ ə
पट्ट्या	p ə ʈ ʈ j a
पठाण	p ə ʈʰ a ɳ
पठार	p ə ʈʰ a ɾ
पडणे	p ə ɖ ɳ e
पडणे	p ə ɖ ɳ ə
पडदा	p ə ɖ d̪ a
पडवळ	p ə ɖ ʋ ə ɭ̆
पडाव	p ə ɖ a ʋ
पढवणे	p ə ɖʱ ə ʋ ɳ e
पढवणे	p ə ɖʱ ə ʋ ɳ ə
पण	p ə ɳ
पणजी	p ə ɳ d͡ʑ i
पणती	p ə ɳ t̪ i
पणतू	p ə ɳ t̪ u
पणत्या	p ə ɳ ə t̪ j a
पतन	p ə t̪ ə n
पताका	p ə t̪ a k a
पताके	p ə t̪ a k e
पताके	p ə t̪ a k ə
पती	p ə t̪ i
पतेमारी	p ə t̪ e m a ɾ i
पत्ता	p ə t̪ t̪ a
पत्ते	p ə t̪ t̪ e
पत्ते	p ə t̪ t̪ ə
पत्थर	p ə t̪ t̪ʰ ə ɾ
पत्र	p ə t̪ ɾ ə
पत्रकार	p ə t̪ ɾ ə k a ɾ
पथ	p ə t̪ʰ
पदार्थ	p ə d̪ a ɾ t̪ʰ ə
पदार्पण	p ə d̪ a ɾ p ə ɳ
पदार्पणे	p ə d̪ a ɾ p ə ɳ e
पदार्पणे	p ə d̪ a ɾ p ə ɳ ə
पद्धत	p ə d̪ d̪ʱ ə t̪
पन्नास	p ə n n a s
पन्हे	p ə nʱ e
पन्हे	p ə nʱ ə
परणाळी	p ə ɾ ɳ a ɭ̆ i
परत	p ə ɾ ə t̪
परतणे	p ə ɾ ə t̪ ɳ e
परतणे	p ə ɾ ə t̪ ɳ ə
परमेश्वर	p ə ɾ m e ɕ ʋ ə ɾ
परळ	p ə ɾ ə ɭ̆
परवड	p ə ɾ ʋ ə ɖ
परवडणे	p ə ɾ ʋ ə ɖ ɳ e
परवडणे	p ə ɾ ʋ ə ɖ ɳ ə
परवर्ण	p ə ɾ ə ʋ ə ɾ ɳ ə
परवा	p ə ɾ ʋ a
परशुराम	p ə ɾ ɕ u ɾ a m
पराजय	p ə ɾ a d͡ʑ ə j
पराणी	p ə ɾ a ɳ i
परात	p ə ɾ a t̪
पराभव	p ə ɾ a bʱ ə ʋ
परिणाम	p ə ɾ i ɳ a m
परिपूर्ण	p ə ɾ i p u ɾ ɳ ə
परिमल	p ə ɾ i m ə l
परिमळ	p ə ɾ i m ə ɭ̆
परिमळणे	p ə ɾ i m ə ɭ̆ ɳ e
परिमळणे	p ə ɾ i m ə ɭ̆ ɳ ə
परिमिती	p ə ɾ i m i t̪ i
परिवार	p ə ɾ i ʋ a ɾ
परिस्थिती	p ə ɾ i s t̪ʰ i t̪ i
परिहार	p ə ɾ i ɦ a ɾ
परीक्षण	p ə ɾ i k ʂ ə ɳ
परीक्षा	p ə ɾ i k ʂ a
परीघ	p ə ɾ i ɡʱ
पर्यंत	p ə ɾ j ə n t̪ ə
पर्यटक	p ə ɾ j ə ʈ ə k
पर्यटन	p ə ɾ j ə ʈ ə n
पर्याय	p ə ɾ j a j
पर्वतरांग	p ə ɾ ʋ ə t̪ ɾ a ŋ ɡ ə
पलंग	p ə l ə ŋ ɡ ə
पळणे	p ə ɭ̆ ɳ e
पळणे	p ə ɭ̆ ɳ ə
पळवणे	p ə ɭ̆ ə ʋ ɳ e
पळवणे	p ə ɭ̆ ə ʋ ɳ ə
पवन	p ə ʋ ə n
