ঁ	ɔ̃
দাঁড়	d̪ a ɹ
দাঁড়ানো	d̪ a ɹ a n o
দাঁড়ি	d̪ a ɹ i
দাঁত	d̪ a t̪
দাই	d̪ a i̯
দাউদ	d̪ a u̯ d̪
দাউদাউ	d̪ a u̯ d̪ a u̯
দাওয়া	d̪ a o̯ a
দাওয়াই	d̪ a o̯ a i̯
দাওয়াখানা	d̪ a o̯ a kʰ a n a
দাওয়াত	d̪ a o̯ a t̪
দাখিল	d̪ a kʰ i l
দাগ	d̪ a ɡ
দাড়ি	d̪ a ɹ i
দাতা	d̪ a t̪ a
দাদা	d̪ a d̪ a
দাদী	d̪ a d̪ i
দান	d̪ a n
দানা	d a n a
দান্দান	d̪ a n d̪ a n
দাব	d̪ a b
দাবদাহ	d̪ a b o d̪ a h o
দাবাড়ু	d̪ a b a ɹ u
দাবানল	d̪ a b a n ɔ l
দাম	d̪ a m
দামড়া	d̪ a m ɹ a
দায়ভার	d̪ a e̯ bʱ a ɹ
দায়িত্ব	d̪ a i̯ t̪ː o
দারচিনি	d̪ a ɾ t ɕ i n i
দারু	d̪ a ɹ u
দারুণ	d̪ a ɹ u n
দারোয়ান	d̪ a ɹ o̯ a n
দার্জিলিং	d̪ a ɹ d ʑ i l i ŋ
দার্ঢ্য	d̪ a ɹ dʱː o
দালান	d̪ a l a n
দাশগুপ্ত	d̪ a ʃ ɡ u p t̪ o
দাস	d̪ a ʃ
দাসানুদাস	d̪ a ʃ a n u d̪ a ʃ
দাসী	d̪ a ʃ i
দাসীপুত্র	d̪ a ʃ i p u t̪ ɹ o
দাহ্য	d̪ a d ʑʱː o
দিওয়ান	d̪ i̯ o̯ a n
দিওয়ালি	d̪ i̯ o̯ a l i
দিক	d̪ i k
দিকে	d̪ i k e
দিগ্বিজয়	d̪ i ɡ b i d ʑ ɔ e̯
দিঘি	d̪ i ɡʱ i
দিদিভাই	d̪ i d̪ i bʱ a i̯
দিন	d̪ i n
দিনরাত	d̪ i n ɹ a t̪
দিবস	d̪ i b ɔ ʃ
দিবা	d̪ i b a
দিবানিদ্রা	d̪ i b a n i d̪ ɹ a
দিবারাত্রি	d̪ i b a ɹ a t̪ ɹ i
দিব্যেন্দু	d̪ i bː e n d̪ u
দিয়েছিল	d̪ i̯ e t ɕʰ i l o
দিয়েছিলেন	d̪ i̯ e t ɕʰ i l e n
দিরহাম	d̪ i ɾ h a m
দিল	d̪ i l
দিলীপ	d̪ i l i p
দিল্লি	d i l l i
দিসপুর	d̪ i s p u ɹ
দিসপুর	d̪ i ʃ p u ɹ
দীপঙ্কর	d̪ i p ɔ ŋ k ɔ ɾ
দীপাঞ্জন	d̪ i p ɑ n d͡ʒ ɔ n
দীপান্বিতা	d̪ i p a nː i t̪ a
দীপাবলি	d̪ i p ä b o l i
দীপাবলি	d̪ i p ɑ b ɔ l i
দীপোৎসব	d̪ i p o t̪ ʃ ɔ b
দীয়া	d̪ i̯ a
দীর্ঘ	d̪ i ɹ ɡʱ o
দু	d̪ u
দুঃখ	d̪ u h kʰ o
দুঃখ	d̪ u kʰː o
দুঃস্বপ্ন	d̪ u h ʃː ɔ p n o
দুই	d̪ u̯ i
দুগি	d̪ u ɡ i
দুগ্ধ	d̪ u ɡ d̪ʱ o
দুটো	d̪ u t o
দুদু	d̪ u d̪ u
দুধ	d̪ u d̪ʱ
দুনিয়া	d̪ u n i̯ a
দুনিয়াবী	d̪ u n i̯ a b i
দুপুর	d̪ u p u ɹ
দুম্বা	d̪ u m b a
দুয়ার	d̪ o̯ a ɹ
দুয়ার	d̪ u̯ a ɹ
দুরস্ত	d̪ u ɹ ɔ s t̪ o
দুরিয়ান	d̪ u ɹ i̯ a n
দুর্গজয়	d̪ u ɹ ɡ ɔ d ʑ ɔ e̯
দুর্গন্ধ	d̪ u ɾ ɡ ɔ n d̪ʱ o
দুর্গা	d̪ u ɹ ɡ a
দুর্ঘটনা	d̪ u ɹ ɡʱ ɔ t o n a
দুর্দান্ত	d̪ u ɹ d̪ a n t̪ o
দুর্নিরীক্ষ্য	d̪ u ɹ n i ɹ i kː kʰ o
দুর্বল	d̪ u ɹ b ɔ l
দুর্বলতা	d̪ u ɹ b ɔ l o t̪ a
দুর্ভিক্ষ	d̪ u ɹ bʱ i kʰː o
দুর্ভিক্ষ	d̪ u ɾ bʱ i kʰː o
দুর্ভেদ্য	d̪ u ɹ bʱ e d̪ː o
দুশমন	d̪ u ʃ m o n
দুশমন	d̪ u ʃ m ɔ n
দুশ্চিন্তা	d̪ u s t͡ʃ i n t̪ a
দুশ্চিন্তা	d̪ u ʃ t͡ʃ i n t̪ a
দুষ্ট	d̪ u ʃ t o
দুষ্ট	d̪ u ʃ t u
দুষ্টামি	d̪ u ʃ t a m i
দুসরা	d̪ u s ɹ a
দুসরা	d̪ u s ɾ a
দুসরা	d̪ u ʃ o ɹ a
দুসরা	d̪ u ʃ ɔ ɹ a
দুসরা	d̪ u ʃ ɹ a
দুসরা	d̪ uː s ɹ a
দুসরা	d̪ uː s ɾ a
দুসরী	d̪ u ʃ o ɹ i
দুস্থ	d̪ u s t̪ʰ o
দুহিতা	d̪ u h i t̪ a
দূর	d̪ u ɾ
দূরত্ব	d̪ u ɹ o t̪ː o
দূরত্ব	d̪ u ɹ ɔ t̪ː o
দূরদর্শন	d̪ u ɹ d̪ ɔ ɹ ʃ ɔ n
দূরদর্শন	d̪ u ɹ o d̪ ɔ ɹ ʃ ɔ n
দূরবিন	d̪ u ɹ b i n
দূরভাষা	d̪ u ɹ bʱ a ʃ a
দৃঢ়	d̪ ɾ i ɹ o
দৃঢ়ভাবে	d̪ ɹ i ɹ o bʱ a b e
দৃশ্য	d̪ r i ʃː o
দৃষ্টি	d̪ ɹ i ʃ t i
দৃষ্টিহীন	d̪ ɹ i ʃ t i h i n
দেউড়ি	d̪ e u ɹ i
দেও	d e o̯
দেও	d e u̯
দেও	d e ʊ̯
দেওয়া	d̪ e o̯ ɑ
দেওয়া	d̪ æ o̯ ɑ
দেওয়ান	d̪ e o̯ a n
দেওয়ানা	d̪ e o̯ a n a
দেওয়াল	d̪ e a l
দেওয়াল	d̪ e o̯ a l
দেওয়ালি	d̪ e o̯ a l i
দেখা	d̪ ɛ kʰ a
দেখানো	d̪ æ kʰ a n o
দেখে	d̪ e kʰ e
দেড়	d̪ e ɹ
দেন	d̪ e n
দেব	d̪ e b
দেব	d̪ e b o
দেবতা	d̪ e b o t̪ a
দেবদাস	d̪ e b d̪ a ʃ
দেবদাসী	d̪ e b d̪ a ʃ i
দেবদূত	d̪ e b d̪ u t̪
দেবনাগরী	d̪ e b n a ɡ ɹ i
দেবী	d̪ e b i
দেবেন	d̪ e b e n
দেয়	d̪ ɛ e̯
দেরি	d̪ e ɹ i
দেরেঙ্গ	d̪ e ɹ e ŋ ɡ o
দেশ	d̪ e ʃ
দেশপ্রেমিক	d̪ e ʃ ɔ p ɹ e m i k
দেশলাই	d̪ e ʃ l a i̯
দেশি	d e ʃ i
দেশিয়	d̪ e ʃ i̯ o
দেশীয়	d̪ e ʃ i̯ o
দেহ	d̪ e h o
দৈব	d̪ o i̯ b ɔ
দৈর্ঘ্য	d̪ o i̯ ɹ ɡʱː o
দো	d̪ o
দোকান	d o k a n
দোকানদার	d̪ o k a n d̪ a ɹ
দোছরা	d̪ o t ɕʰ o ɹ a
দোছরা	d̪ o t ɕʰ ɔ ɹ a
দোজখ	d̪ o d ʑ o kʰ
দোজখ	d̪ o z o kʰ
দোতারা	d̪ o t̪ a ɹ a
দোভাষী	d̪ o bʱ a ʃ i
দোয়া	d̪ o̯ a
দোয়া	d̪ ʊ a
দোয়েল	d̪ o e l
দোলনা	d̪ o l n a
দোলা	d̪ o l a
দোষ	d̪ o ʃ
দোষী	d̪ o ʃ i
দোসরা	d̪ o ʃ o ɹ a
দোসরা	d̪ o ʃ ɔ ɹ a
দোসরা	d̪ o ʃ ɹ a
দোসুতি	d̪ o ʃ u t̪ i
দোস্ত	d̪ o s t̪ o
দোস্‌রা	d̪ o ʃ ɹ a
দোহাই	d̪ o h a i̯
দৌড়ানো	d̪ o u̯ ɹ a n o
দৌরাত্ম্য	d̪ o u̯ ɹ a t̪ː t̪ o
দৌলত	d̪ o u̯ l o t̪
দৌলত	d̪ o u̯ l ɔ t̪
দ্বাদশ	d̪ a d̪ ɔ ʃ
দ্বার	d̪ a ɹ
দ্বারা	d̪ a ɹ a
দ্বারী	d̪ u̯ a ɹ i
দ্বিতীয়	d̪ i t̪ i̯ o
দ্বিরুক্তি	d̪ i ɹ u k t̪ i
দ্বীপ	d̪ i p
দ্বীপপুঞ্জ	d̪ i pː u n d ʑ o
দ্বৈত	d̪ o i̯ t̪
দ্ব্যর্থ	d̪ ɔ ɹ t̪ʰ o
দ্ব্যর্থ	d̪ ɛ ɹ t̪ʰ o
দ্ব্যর্থতা	d̪ ɔ ɹ t̪ʰ o t̪ a
দ্ব্যর্থতা	d̪ ɛ ɹ t̪ʰ o t̪ a
দ্রাক্ষা	d̪ ɹ a kʰː a
দ্রাক্ষাকুঞ্জ	d̪ ɹ a kʰː a k u n d ʑ o
দ্রাক্ষারস	d̪ ɹ a kʰː a ɹ ɔ ʃ
দ্রাঘিমা	d̪ ɹ a ɡʱ i m a
দ্রুত	d̪ ɾ u t̪ o
দ্রৌপদী	d̪ ɾ o u̯ p o d̪ i
ধ	dʱ ɔ
ধন	d̪ʱ ɔ n
ধনবাদ	d̪ʱ ɔ n b a d̪
ধনিয়া	d̪ʱ o n i̯ a
ধনী	dʱ o n i
ধনে	d̪ʱ o n e
ধন্যবাদ	d̪ʱ o nː o b a d̪
ধমক	d̪ʱ ɔ m ɔ k
ধরণী	d̪ʱ ɔ ɹ o n i
ধরম	d̪ʱ ɔ ɹ o m
ধরা	dʱ ɔ r a
ধর্ম	d̪ʱ ɔ ɾ m o
ধর্মভ্রষ্ট	d̪ʱ ɔ ɹ m ɔ bʱ ɹ ɔ ʃ t o
ধর্ষণ	d̪ʱ ɔ ɹ ʃ ɔ n
ধাই	d̪ʱ a i̯
ধাওয়া	d̪ʱ a o̯ a
ধাক্কা	d̪ʱ a kː a
ধাতু	dʱ a t u
ধাত্রী	d̪ʱ a t̪ ɹ i
ধান	d̪ʱ a n
ধামরাই	d̪ʱ a m ɾ a i̯
ধামাকা	d̪ʱ a m a k a
ধামাচাপা	d̪ʱ a m a t ɕ a p a
ধার	d̪ʱ a ɹ
ধারণা	d̪ʱ a ɹ o n a
ধারা	d̪ʱ a ɹ a
ধারি	d̪ʱ a ɾ i
ধার্মিক	d̪ʱ a ɹ m i k
ধার্মিকতা	d̪ʱ a ɹ m i k ɔ t̪ a
ধিক্কার	d̪ʱ i kː a ɹ
ধীবর	d̪ʱ i b o ɾ
ধীর	d̪ʱ i ɹ
ধুতরা	d̪ʱ u t̪ ɔ ɹ a
ধুতি	d̪ʱ u t̪ i
ধুতুরা	d̪ʱ u t̪ u ɹ a
ধুনা	d̪ʱ u n a
ধুনা	d̪ʱ u n o
ধুর	d̪ʱ u ɹ
ধুর	d̪ʱ u ɾ
ধূপ	d̪ʱ u p
ধূমকেতু	d̪ʱ u m k e t̪ u
ধূমপান	dʱ u m p a n
ধূলিমলিন	d̪ʱ u l i m o l i n
ধেৎ	d̪ʱ æ t̪
ধেৎ	d̪ʱ ɛ t̪
ধোঁকা	d̪ʱ o k a
ধোঁকা	d̪ʱ õ k a
ধোঁকাবাজ	d̪ʱ o k a b a d ʑ
ধোঁকাবাজ	d̪ʱ õ k a b a d ʑ
ধোঁয়া	d̪ʱ o̯ a
ধোঁয়া	d̪ʱ õ a
ধোঁয়াশা	d̪ʱ o̯ a ʃ a
ধোঁয়াশা	d̪ʱ õ a ʃ a
ধোনি	dʱ o n i
ধোয়া	d̪ʱ o̯ a
ধ্বংস	d̪ʱ o ŋ ʃ o
ধ্বংস	d̪ʱ ɔ ŋ ʃ o
ধ্বংসযজ্ঞ	d̪ʱ ɔ ŋ ʃ ɔ d ʑ ɔ ɡː ɔ
ধ্বংসলীলা	d̪ʱ ɔ ŋ ʃ ɔ l i l ā
ধ্বজা	d̪ʱ ɔ d ʑ a
ধ্বনি	dʱ o n i
ধ্যান	d̪ʱ ɛ n
ন	n ɔ
নং	n ɔ ŋ
নওকর	n ɔ o̯ k o ɹ
নওকরি	n ɔ o̯ k ɹ i
নওগাঁ	n ɔ o̯ ɡ a
নওবাহার	n ɔ o̯ b a h a ɹ
নওরোজ	n o ɹ o d ʑ
নওরোজ	n o ɹ o z
নকল	n ɔ k o l
নকশা	n ɔ k ʃ a
নকশাল	n ɔ k ʃ a l
নক্ত	n ɔ k t̪ o
নখ	n ɔ kʰ
নগদ	n ɔ ɡ ɔ d̪
নগর	n ɔ ɡ o ɹ
নগরী	n ɔ ɡ ɹ i
নগিচ	n o ɡ i t ɕ
নগ্ন	n ɔ ɡ n o
নগ্নতা	n ɔ ɡ n o t̪ a
নজদ	n ɔ d ʑ ɔ d̪
নজর	n ɔ d ʑ o ɹ
নজরানা	n ɔ d ʑ ɹ a n a
নজরুল	n o d ʑ ɾ u l
নজরুল	n o z ɾ u l
নঞর্থক	n o i̯̯ ɔ ɹ t̪ʰ o k
নঞর্থক	n ɔ ŋ ɔ ɹ t̪ʰ o k
নড়া	n ɔ ɹ a
নত	n ɔ t̪ o
নতীজা	n o t̪ i d ʑ a
নতুন	n o t̪ u n
নদিয়া	n o d̪ i̯ a
নদী	n o d̪ i
নদীয়া	n a d̪ i̯ e̯ ā
ননদ	n ɔ n o d̪
নফরৎ	n ɔ f ɹ ɔ t̪
নফসানিয়াত	n ɔ f s a n i̯ a t̪
নব	n ɔ b
নব	n ɔ b o
নবডঙ্কা	n ɔ b o d ɔ ŋ k a
নববর্ষ	n ɔ b o b ɔ ɹ ʃ o
নবম	n ɔ b o m
নবযুগ	n ɔ b o d ʑ u ɡ
নবাব	n ɔ b a b
নবাবজাদা	n ɔ b a b d ʑ a d̪ a
নবিস	n o b i ʃ
নবী	n o b i
নবীজী	n o b i d ʑ i
নবীত্ব	n o b i t̪ː o
নবীন	n o b i n
নবুয়ত	n o b u̯ ɔ t̪
নভেম্বর	n ɔ bʱ e m b ɔ ɹ
নভেল	n ɔ bʱ e l
নমস্কার	n ɔ m o ʃ k a ɹ
নমাজ	n ɔ m a d ʑ
নমায	n ɔ m a d ʑ
নমুনা	n o m u n a
নম্বর	n ɔ m b o ɹ
নয়	n ɔ e̯
নয়ন	n ɔ e̯ o n
নয়া	n ɔ e̯ a
নয়াদিল্লি	n ɔ e̯ a d̪ i lː i
নর	n ɔ ɹ
নরক	n ɔ ɹ o k
নরম	n ɔ ɹ o m
নষ্ট	n ɔ ʃ t o
নসিহত	n ɔ ʃ i h ɔ t̪
নহা	n ɔ h a
না	n a
নাংটা	n a ŋ t a
নাক	n a k
নাখুশ	n a kʰ u ʃ
নাগপুর	n a ɡ p u ɹ
নাগরিক	n a ɡ o ɹ i k
নাগাল্যান্ড	n a ɡ a l ɛ n d
নাগেশ্বর	n a ɡ e ʃː ɔ ɾ
নাঙ্গল	n a ŋ ɡ ɔ l
নাঙ্গা	n a ŋ ɡ a
নাচা	n a t ɕ a
নাজাত	n a d ʑ a t̪
নাজিবাদ	n a d ʑ i b a d̪
নাজিবাদ	n a z i b a d̪
নাজেহাল	n a d ʑ e h a l
নাজ্জিবাদ	n a d ʑː i b a d̪
নাটক	n a t ɔ k
নাট্য	n a tː o
নাট্যকার	n a tː o k a ɹ
নাট্যমঞ্চ	n a tː o m ɔ n t ɕ o
নাট্যশালা	n a tː o ʃ a l a
নাট্যাভিনয়	n a tː a bʱ i n ɔ e̯
নাড়া	n a ɹ a
নাতনী	n a t̪ n i
নাতি	n a t̪ i
নাতিশীতোষ্ণ	n a t̪ i ʃ i t̪ o ʃ n o
নাথ	n a t̪ʰ
নাদান	n a d̪ a n
নানা	n a n a
নানী	n a n i
নানু	n a n u
নাপছন্দ	n a p ɔ t ɕʰ ɔ n d̪ o
নাপিত	n a p i t̪
নাপ্পি	n a pː i
নাবালক	n a b a l ɔ k
নাভি	n a bʱ i
নাম	n a m
নামক	n a m ɔ k
নামজাদা	n a m d ʑ a d̪ a
নামহীন	n a m h i n
নামহীন	n a mː i n
নামা	n a m a
নামাজ	n a m a d ʑ
নামাজ	n a m a z
নামানো	n a m a n o
নার	n a ɹ
নারকেল	n a ɹ k e l
নারাজ	n a ɹ a d ʑ
নারাজ	n a ɹ a z
নারায়ণ	n a ɹ a e̯ n
নারায়ণ	n a ɹ a e̯ o n
নারিকেল	n a ɹ i k e l
নারিন্দা	n a ɹ i n d̪ a
নারী	n a ɹ i
নারীবাদ	n a ɹ i b a d̪
নার্গিস	n a ɾ ɡ i s
নালিশ	n a l i ʃ
নাশকতা	n a ʃ ɔ k ɔ t̪ a
নাশপাতি	n a ʃ p a t̪ i
নাসরিন	n a s ɹ i n
নাসির	n a s i ɹ
নাসিরুদ্দিন	n a s i ɹ u d̪ː i n
নাস্তা	n a s t̪ a
নাস্তা	n a ʃ t̪ a
নাস্তানাবুদ	n a s t̪ a n a b u d̪
নাহিয়ান	n a h i̯ a n
নাৎজিবাদ	n a t̪ d ʑ i b a d̪
নাৎজিবাদ	n a t̪ z i b a d̪
নাৎসিবাদ	n a sː i b a d̪
নাৎসিবাদ	n a t̪ s i b a d̪
নিঃশ্বসন	n i h ʃː ɔ ʃ ɔ n
নিউক্লিয়াস	n i u̯ k l i̯ a ʃ
নিকট	n i k ɔ t
নিকটবর্তী	n i k ɔ t b o ɹ t̪ i
নিকটবর্তী	n i k ɔ t o b o ɹ t̪ i
নিকড়িয়া	n i k o ɹ i̯ a
নিকাব	n i k a b
নিকাহ	n i k a
নিখিল	n i kʰ i l
নিখিলবিশ্ব	n i kʰ i l b i ʃː o
নিখুঁত	n i kʰ u t̪
নিজ	n i d͡ʒ
নিজে	n i d͡ʒ e
নিজের	n i d͡ʒ e ɾ
নিধি	n i d̪ʱ i
নিবিড়	n i b i ɹ
নিমন্ত্রণ	n i m o n t̪ ɹ o n
নিমিষ	n i m i ʃ
নিমেষ	n i m e ʃ
নিম্ন	n i m n o
নিম্নভূমি	n i m n ɔ bʱ u m i
নিম্নে	n i m n e
নিয়ম	n i̯ o m
নিয়মহীন	n i̯ ɔ m h i n
নিয়মহীন	n i̯ ɔ mː i n
নিয়ে	n i̯ e
নিয়োগকর্তা	n i̯ o ɡ ɔ k ɔ ɹ t̪ a
নিযুক্ত	n i d ʑ u k t̪ o
নিরক্ষর	n i r ɔ k kʰ ɔ r
নিরসন	n i ɹ ɔ ʃ o n
নিরসন	n i ɹ ɔ ʃ ɔ n
নির্দেশ	n i ɹ d̪ e ʃ
নির্দেশনা	n i ɹ d̪ e ʃ ɔ n a
নির্দোষ	n i ɹ d̪ o ʃ
নির্বাচন	n i ɹ b a t ɕ ɔ n
নির্ভর	n i ɹ bʱ ɔ ɹ
নির্মল	n i ɹ m ɔ l
নির্মলি	n i ɹ m o l i
নির্মাণ	n i ɾ m a n
নির্মাণাধীন	n i ɾ m a n a d̪ʱ i n
নির্মূল	n i ɾ m uː l
নির্ম্মল	n i ɹ mː ɔ l
নির্যাস	n i ɹ d ʑ a ʃ
নিলাম	n i l a m
নিশান	n i ʃ a n
নিশ্চয়	n i ʃ t ɕ ɔ e̯
নিশ্চিত	n i ʃ t ɕ i t̪ o
নিশ্বসন	n i ʃː ɔ ʃ ɔ n
নিশ্বাস	n i ʃː a ʃ
নিষিদ্ধ	n i ʃ i d̪ʱː o
নিষেধ	n i ʃ e d̪ʱ
নিষেধাজ্ঞা	n i ʃ e d̪ʱ a ɡː a
নিষ্কপট	n i ʃ k ɔ p ɔ t
নিষ্ঠুর	n i ʃ tʰ u ɹ
নিস্তব্ধ	n i s t ɔ b dʱ o
নীতি	n i t̪ i
নীল	n i l
নীলুফার	n i l u f a ɹ
নীহারিকা	n i h a ɾ i k a
নুন	n u n
নুনি	n u n i
নুনু	n u n u
নুসরাত	n u s ɹ a t̪
নূতন	n u t̪ ɔ n
নূরানী	n u ɹ a n i
নূহ	n u h
নূহ	n u h u
নৃত্য	n i t̪ː o
নৃত্য	n ɹ i t̪ː o
নৃত্যনাট্য	n ɹ i t̪ː ɔ n a tː o
নেউল	n e u l
নেওয়া	n e o̯ ɑ
নেওয়া	n æ o̯ ɑ
নেকড়ে	n e k ɹ e
নেছার	n e t ɕʰ a ɹ
নেটওয়ার্ক	n e t o̯ a ɹ k
নেটো	n e t o
নেড়ি	n e ɹ i
নেতাজি	n e t̪ a d ʑ i
নেতৃত্ব	n e t̪ ɹ i t̪ː o
নেদারল্যান্ডস	n e d̪ a ɾ l ɛ n d s
নেন	n e n
নেপচুন	n e p t ɕ u n
নেপথ্যমঞ্চ	n e p ɔ t̪ʰː ɔ m ɔ n t ɕ o
নেপাল	n e p a l
নেপিদ	n e p i d̪ ɔ
নেবা	n e b a
নেবানো	n e b a n o
নেভানো	n e bʱ a n o
নেমন্তন্ন	n e m o n t̪ o n n o
নেয়ামৎ	n e a m ɔ t̪
নেশা	n e ʃ a
নেহ	n e h o
নেহেরু	n e h e ɹ u
নৈকট্য	n o i̯ k o tː o
নৈরাজ্যবাদ	n o i̯ ɹ a d ʑː ɔ b a d̪
নৈরাশ্য	n o i̯ ɹ a ʃː o
নৈশভোজ	n o i̯ ʃ ɔ bʱ o d ʑ
নোড়া	n o ɹ a
নোনা	n o n a
নোয়াখাইল্লা	n o̯ a kʰ a i̯ lː a
নোয়াখালী	n o̯ a kʰ a l i
নৌকা	n o u̯ k a
ন্যাংটা	n æ ŋ t a
ন্যাটো	n ɛ t o
ন্যায়	n ɛ e̯
ন্যায়বিচার	n ɛ e̯ b i t ɕ a ɹ
ন্যূন	n u n
ন্যূনতম	n u n o t̪ ɔ m o
প	p ɔ
পনির	p o n i ɹ
পনীর	p o n i ɹ
পবিত্র	p o b i t̪ ɾ o
পয়গম্বর	p ɔ e̯ ɡ ɔ m b ɔ ɹ
পয়গাম	p ɔ e̯ ɡ a m
পয়দা	p ɔ e̯ d̪ a
পয়লা	p ɔ e̯ l a
পয়সা	p ɔ e̯ ʃ a
পরওয়ারদেগার	p ɔ ɹ o̯ a ɹ d̪ e ɡ a ɹ
পরদা	p ɔ ɾ d̪ a
পরদেশ	p ɔ ɹ d̪ e ʃ
পরদেশী	p ɔ ɹ d̪ e ʃ i
পরম	p ɔ ɾ o m
পরমাণু	p ɔ ɹ o m a n u
পরমানন্দ	p ɔ ɹ ɔ m a n ɔ n d̪ o
পরশু	p o ɾ ʃ u
পরশ্রীকাতরতা	p ɔ ɹ o s ɹ i k a t̪ ɹ ɔ t̪ a
পরস্পর	p ɔ ɹ o ʃ p ɔ ɹ
পরহেজ	p ɔ ɾ h e d ʑ
পরহেজী	p ɔ ɾ h e d ʑ i
পরা	p ɔ ɹ a
পরাক্রম	p ɔ ɹ a kː ɹ o m
পরাগ	p ɔ ɹ a ɡ
পরাত	p ɔ ɹ a t̪
পরানো	p ɔ ɹ a n o
পরামর্শ	p ɔ r a m ɔ r ʃ o
পরামর্শদাতা	p ɔ ɹ a m ɔ ɹ ʃ ɔ d̪ a t̪ a
পরিকল্পনা	p o ɹ i k ɔ l p o n a
পরিক্রমা	p o ɹ i k ɹ ɔ m a
পরিচয়	p o ɹ i t ɕ ɔ e̯
পরিচর্যা	p o ɹ i t ɕ ɔ ɹ d ʑ a
পরিচর্যাকারিণী	p o ɹ i t ɕ ɔ ɹ d ʑ a k a ɹ i n i
পরিচায়ক	p o ɹ i t ɕ a e̯ ɔ k
পরিচালক	p o ɹ i t ɕ a l ɔ k
পরিচালিত	p o ɹ i t ɕ a l i t̪ o
পরিণতি	p o ɹ i n o t̪ i
পরিত্রাণ	p o ɹ i t̪ ɾ a n
পরিবর্তন	p o ɹ i b ɔ ɹ t̪ o n
পরিবর্তে	p o ɹ i b ɔ ɹ t̪ e
পরিবার	p o ɹ i b a ɹ
পরিশ্রম	p o ɹ i s ɹ ɔ m
পরিষদ	p o ɹ i ʃ ɔ d̪
পরিস্থিতি	p o ɹ i s t̪ʰ i t̪ i
পরিহার	p o ɹ i h a ɹ
পরী	p o ɹ i
পরীক্ষা	p o ɾ i k kʰ a
পরেন্দা	p ɔ ɾ e n d̪ a
পরোয়া	p ɔ ɹ o̯ a
পরোয়া	p ɔ ɹ u̯ a
পর্তুগাল	p o ɾ t̪ u ɡ a l
পর্দা	p ɔ ɹ d̪ a
পর্দানশীন	p ɔ ɹ d̪ a n ɔ ʃ i n
পর্ন	p ɔ ɹ n
পর্নো	p ɔ ɹ n o
পর্বত	p ɔ r b ɔ t
পর্যটন	p ɔ ɹ d ʑ ɔ t ɔ n
পর্যন্ত	p ɔ ɹ d ʑ ɔ n t̪ o
পর্যুদস্ত	p ɔ ɹ d ʑ u d̪ ɔ s t̪ o
পর্যুৎসুক	p ɔ ɹ d ʑ u t̪ ʃ u k
পলিনেশিয়া	p ɔ l i n e ʃ ŷ a
পলেষ্টীয়	p ɔ l e ʃ t i̯ o
পল্টন	p ɔ l t ɔ n
পল্টি	p ɔ l t i
পল্টিবাজ	p ɔ l t i b a d ʑ
পল্লি	p ɔ lː i
পল্লী	p ɔ lː i
পশু	p ɔ ʃ u
পশুপাল	p ɔ ʃ u p a l
পশ্চিম	p ɔ ʃ t ɕ i m
পশ্চিমবঙ্গ	p ɔ ʃ t ɕ i m b ɔ ŋ ɡ o
পশ্চিমবঙ্গে	p ɔ ʃ t ɕ i m b ɔ ŋ ɡ e
পশ্চিমবাংলা	p ɔ ʃ t ɕ i m b a ŋ l a
পহু	p o h u
পহেলা	p ɔ h e l a
পা	p a
পাঁউরুটি	p a u̯ ɹ u t i
পাঁক	p a k
পাঁচ	p a t ɕ
পাঁচিল	p a t ɕ i l
পাঁজর	p a d ʑ ɔ ɹ
পাঁঠা	p a tʰ a
পাঁঠি	p ã ʈʰ i
পাঁড়ে	p a ɾ e
পাঁতি	p a t̪ i
পাই	p a i̯
পাইথন	p ɑ i t̪ʰ ɔ n
পাউরা	p a u ɾ a
পাওয়া	p a o̯ a
পাক	p a k
পাকস্থলী	p a k ɔ s t̪ʰ o l i
পাকা	p a k a
পাকিস্তান	p a k i s t̪ a n
পাখ	p a kʰ
পাখা	p a kʰ a
পাখি	p a kʰ i
পাখী	p a kʰ i
পাঙ্গা	p a ŋ ɡ a
পাঙ্গাশ	p a ŋ a ʃ
পাঙ্গাশ	p a ŋ ɡ a ʃ
পাছা	p a s a
পাছা	p a t ɕʰ a
পাঞ্জা	p a n d ʑ a
পাঞ্জাব	p a n d ʑ a b
পাটনা	p a t ɔ n a
পাটা	p a t a
পাঠ	p a tʰ
পাঠক	p a tʰ ɔ k
পাঠদান	p a t̪ʰ d̪̪ a n
পাঠশালা	p a tʰ ʃ a l a
পাঠা	p a tʰ a
পাঠান	p a tʰ a n
পাঠানো	p a tʰ a n o
পাড়া	p a ɹ a
পাণ	p a n
পাত	p a t̪
পাতক	p a t̪ ɔ k
পাতলা	p a t̪ l a
পাতা	p a t a
পাতিল	p a t̪ i l
পাতিহাঁস	p a t̪ i h a ʃ
পাত্তা	p a t̪ː a
পাত্র	p a t̪ ɹ o
পাথর	p a t̪ʰ o ɾ
পাদটীকা	p a d̪ o t i k a
পাদ্রি	p a d̪ ɹ i
পান	p a n
পানি	p a n i
পানিফল	p a n i f ɔ l
পানিয়ালা	p a n i a l a
পানু	p ɑ n u
পান্ডা	p a n d a
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পাপ	p a p
পাপকর্ম	p a p o k ɔ ɹ m o
পাপড়ি	p a p ɹ i
পাপী	p a p i
পাবনা	p a b n a
পাবনাইয়া	p a b n a i̯ a
পায়	p a e̯
