Ա	ɑ
վուշ	v u ʃ
վուվուզել	v u v u z e l
վուվուզելա	v u v u z e l ɑ
վռազ	v ə ɾ ɑ z
վռազել	v ə ɾ ɑ z e l
վռնդել	v ə ɾ ə n tʰ e l
վստահ	v ə s t ɑ h
վստահաբար	v ə s t ɑ h ɑ pʰ ɑ ɾ
վստահել	v ə s t ɑ h e l
վստահելի	v ə s t ɑ h e l i
վստահություն	v ə s t ɑ h u tʰ ʏ n
վտակ	v ə d ɑ ɡ
վտանգ	v ə d ɑ ŋ kʰ
վտանգավոր	v ə d ɑ ŋ kʰ ɑ v o ɾ
վտանգավորություն	v ə d ɑ ŋ kʰ ɑ v o ɾ u tʰ ʏ n
վտանգել	v ə d ɑ ŋ kʰ e l
վտանգում	v ə d ɑ ŋ kʰ u m
վտանգվել	v ə d ɑ ŋ kʰ v e l
վտառ	v ə d ɑ ɾ
վտարանդի	v ə d ɑ ɾ ɑ n tʰ i
վտարել	v ə d ɑ ɾ e l
վտարում	v ə d ɑ ɾ u m
վտիտ	v ə d i d
վրա	v ə ɾ ɑ
վրաերթ	v ə ɾ ɑ j e ɾ tʰ
վրայով	v ə ɾ ɑ j o v
վրան	v ə ɾ ɑ n
վրաց	v ə ɾ ɑ t͡sʰ
վրացական	v ə ɾ ɑ t͡sʰ ɑ ɡ ɑ n
վրացերեն	v ə ɾ ɑ t͡sʰ e ɾ e n
վրացի	v ə ɾ ɑ t͡sʰ i
վրդով	v ə ɾ tʰ o v
վրդովել	v ə ɾ tʰ o v e l
վրդովվել	v ə ɾ tʰ o vː e l
վրեժ	v ə ɾ e ʒ
վրեպ	v ə ɾ e b
վրիժառու	v ə ɾ i ʒ ɑ ɾ u
վրիպակ	v ə ɾ i b ɑ ɡ
վրձին	v ə ɾ t͡sʰ i n
տ	d ə
տաբատ	d ɑ pʰ ɑ d
տաբու	d ɑ pʰ u
տագալերեն	d ɑ kʰ ɑ l e ɾ e n
տագալոգ	d ɑ kʰ ɑ l o kʰ
տագերակին	d ɑ kʰ e ɾ ɑ ɡ i n
տագերկին	d ɑ kʰ e ɾ ɡ i n
տագնապ	d ɑ kʰ n ɑ b
տագր	d ɑ kʰ ə ɾ
տալ	d ɑ l
տախտ	d ɑ χ t
տախտակ	d ɑ χ t ɑ ɡ
տախտակամած	d ɑ χ t ɑ ɡ ɑ m ɑ d͡z
տակ	d ɑ ɡ
տականք	d ɑ ɡ ɑ ŋ kʰ
տակաշոր	d ɑ ɡ ɑ ʃ o ɾ
տակառ	d ɑ ɡ ɑ ɾ
տակառագործ	d ɑ ɡ ɑ ɾ ɑ kʰ o ɾ d͡z
տակավին	d ɑ ɡ ɑ v i n
տակնուվրա	d ɑ ɡ n u v ə ɾ ɑ
տակռի	d ɑ ɡ ɾ i
տահիթի	d ɑ h i tʰ i
տահիտի	d ɑ h i d i
տաղ	d ɑ ʁ
տաղանդ	d ɑ ʁ ɑ n tʰ
տաղանդավոր	d ɑ ʁ ɑ n tʰ ɑ v o ɾ
տաղավար	d ɑ ʁ ɑ v ɑ ɾ
տաղտկանալ	d ɑ ʁ d ɡ ɑ n ɑ l
տաղտկավուն	d ɑ χ t ɡ ɑ v u n
տաղտկոտ	d ɑ ʁ d ɡ o d
տաղտուկ	d ɑ ʁ d u ɡ
տաճար	d ɑ d͡ʒ ɑ ɾ
տաճարական	d ɑ d͡ʒ ɑ ɾ ɑ ɡ ɑ n
տաճիկ	d ɑ d͡ʒ i ɡ
տաճկերեն	d ɑ d͡ʒ ɡ e ɾ e n
տամուկ	d ɑ m u ɡ
տանգո	d ɑ ŋ kʰ o
տանել	d ɑ n e l
տանը	d ɑ n ə
տանիլ	d ɑ n i l
տանիք	d ɑ n i kʰ
տանկ	d ɑ ŋ ɡ
տանկ	t ɑ ŋ ɡ
տանձ	d ɑ n t͡sʰ
տանձենի	d ɑ n t͡sʰ e n i
տանուտեր	d ɑ n u d e ɾ
տանջել	d ɑ n t͡ʃʰ e l
տանտալ	d ɑ n d ɑ l
տանտեր	d ɑ n d e ɾ
տանտիկին	d ɑ n d i ɡ i n
տանտիրուհի	d ɑ n d i ɾ u h i
տաշ	d ɑ ʃ
տաշել	d ɑ ʃ e l
տաշտ	d ɑ ʃ t
տապ	d ɑ b
տապալ	d ɑ b ɑ l
տապալել	d ɑ b ɑ l e l
տապակ	d ɑ b ɑ ɡ
տապակել	d ɑ b ɑ ɡ e l
տապան	d ɑ b ɑ n
տապար	d ɑ b ɑ ɾ
տապեղ	d ɑ b e ʁ
տապիոկա	d ɑ b i j o ɡ ɑ
տաջիկ	d ɑ t͡ʃʰ i ɡ
տաջիկական	d ɑ t͡ʃʰ i ɡ ɑ ɡ ɑ n
տաջիկերեն	d ɑ t͡ʃʰ i ɡ e ɾ e n
տառ	d ɑ ɾ
տառադարձել	d ɑ ɾ ɑ tʰ ɑ ɾ t͡sʰ e l
տառադարձություն	d ɑ ɾ ɑ tʰ ɑ ɾ t͡sʰ u tʰ ʏ n
տառապանք	d ɑ ɾ ɑ b ɑ ŋ kʰ
տառապել	d ɑ ɾ ɑ b e l
տառապեցնել	d ɑ ɾ ɑ b e t͡sʰ ə n e l
տառապիլ	d ɑ ɾ ɑ b i l
տառասխալ	d ɑ ɾ ɑ s ə χ ɑ l
տառատեսակ	d ɑ ɾ ɑ d e s ɑ ɡ
տառեխ	d ɑ ɾ e χ
տառեղ	d ɑ ɾ e ʁ
տաս	d ɑ s
տասերորդ	d ɑ s e ɾ o ɾ tʰ
տասը	d ɑ s ə
տասնամյակ	d ɑ s n ɑ m j ɑ ɡ
տասներեք	d ɑ s n ə j e ɾ e kʰ
տասներեք	t ɑ s n ə j e ɾ e kʰ
տասներեքերորդ	d ɑ s n ə j e ɾ e kʰ e ɾ o ɾ tʰ
տասներեքերորդ	t ɑ s n ə j e ɾ e kʰ e ɾ o ɾ tʰ
տասներկու	d ɑ s n ə j e ɾ ɡ u
տասներկու	t ɑ s n ə j e ɾ k u
տասներորդ	d ɑ s n e ɾ o ɾ tʰ
տասնինը	d ɑ s n ə i n ə
տասնինը	t ɑ s n ə i n ə
տասնիցս	d ɑ s n i t͡sʰ ə s
տասնհինգ	d ɑ s n ə h i ŋ kʰ
տասնմեկ	d ɑ s n ə m e ɡ
տասնյոթ	d ɑ s n ə j o tʰ
տասնութ	d ɑ s n u tʰ
տասնութ	d ɑ s n ə u tʰ
տասնութ	t ɑ s n ə u tʰ
տասնչորս	d ɑ s n ə t͡ʃʰ o ɾ s
տասնվեց	d ɑ s n ə v e t͡sʰ
տավար	d ɑ v ɑ ɾ
տավիղ	d ɑ v i ʁ
տավիղահար	d ɑ v i ʁ ɑ h ɑ ɾ
տատ	d ɑ d
տատական	d ɑ d ɑ ɡ ɑ n
տատասկ	d ɑ d ɑ s k
տատի	d ɑ d i
տատիկ	d ɑ d i ɡ
տատմայր	d ɑ d m ɑ j ɾ
տատմեր	d ɑ d m e ɾ
տատրակ	d ɑ d ɾ ɑ ɡ
տար	d ɑ ɾ
տարա	d ɑ ɾ ɑ
տարաբանվոր	d ɑ ɾ ɑ pʰ ɑ n v o ɾ
տարադրամ	d ɑ ɾ ɑ tʰ ə ɾ ɑ m
տարադրամի	d ɑ ɾ ɑ tʰ ə ɾ ɑ m i
տարաժամանակյա	d ɑ ɾ ɑ ʒ ɑ m ɑ n ɑ ɡ j ɑ
տարածաժամանակային	d ɑ ɾ ɑ d͡z ɑ ʒ ɑ m ɑ n ɑ ɡ ɑ j i n
տարածաշրջան	d ɑ ɾ ɑ d͡z ɑ ʃ ə ɾ t͡ʃʰ ɑ n
տարածաշրջանային	d ɑ ɾ ɑ d͡z ɑ ʃ ə ɾ t͡ʃʰ ɑ n ɑ j i n
տարածել	d ɑ ɾ ɑ d͡z e l
տարածություն	d ɑ ɾ ɑ d͡z u tʰ ʏ n
տարածված	d ɑ ɾ ɑ d͡z v ɑ d͡z
տարածք	d ɑ ɾ ɑ t͡sʰ kʰ
տարածքային	d ɑ ɾ ɑ t͡sʰ kʰ ɑ j i n
տարակույս	d ɑ ɾ ɑ ɡ u j s
տարակուսել	d ɑ ɾ ɑ ɡ u s e l
տարամիտել	d ɑ ɾ ɑ m i d e l
տարատեսակ	d ɑ ɾ ɑ d e s ɑ ɡ
տարափ	d ɑ ɾ ɑ pʰ
տարբեր	d ɑ ɾ pʰ e ɾ
տարբերակ	d ɑ ɾ pʰ e ɾ ɑ ɡ
տարբերել	d ɑ ɾ pʰ e ɾ e l
տարբերություն	d ɑ ɾ pʰ e ɾ u tʰ ʏ n
տարեդարձ	d ɑ ɾ e tʰ ɑ ɾ t͡sʰ
տարելից	d ɑ ɾ e l i t͡sʰ
տարեկան	d ɑ ɾ e ɡ ɑ n
տարեկետում	d ɑ ɾ e ɡ e d u m
տարերային	d ɑ ɾ e ɾ ɑ j i n
տարերք	d ɑ ɾ e ɾ kʰ
տարեց	d ɑ ɾ e t͡sʰ
տարթ	d ɑ ɾ tʰ
տարի	d ɑ ɾ i
տարիք	d ɑ ɾ i kʰ
տարխուն	d ɑ ɾ χ u n
տարկետել	d ɑ ɾ ɡ e d e l
տարկետում	d ɑ ɾ ɡ e d u m
տարկետվել	d ɑ ɾ ɡ e d v e l
տարմ	d ɑ ɾ m
տարմահավ	d ɑ ɾ m ɑ h ɑ v
տարնմանություն	d ɑ ɾ n ə m ɑ n u tʰ ʏ n
տարողություն	d ɑ ɾ o ʁ u tʰ ʏ n
տարվել	d ɑ ɾ v e l
տարտամ	d ɑ ɾ d ɑ m
տարր	d ɑ ɾː
տարրական	d ɑ ɾː ɑ ɡ ɑ n
տարփ	d ɑ ɾ pʰ
տարօրինակ	d ɑ ɾ o ɾ i n ɑ ɡ
տափ	d ɑ pʰ
տափակ	d ɑ pʰ ɑ ɡ
տափակաշուրթ	d ɑ pʰ ɑ ɡ ɑ ʃ u ɾ tʰ
տափան	d ɑ pʰ ɑ n
տափաստան	d ɑ pʰ ɑ s t ɑ n
տափաստանային	d ɑ pʰ ɑ s t ɑ n ɑ j i n
տափօղակ	d ɑ pʰ o ʁ ɑ ɡ
տաք	d ɑ kʰ
տաքավուն	d ɑ kʰ ɑ v u n
տաքդեղ	d ɑ kʰ tʰ e ʁ
տաքություն	d ɑ kʰ u tʰ ʏ n
տաքսի	d ɑ kʰ s i
տգեղ	d ə kʰ e ʁ
տգետ	d ə kʰ e d
տգիտություն	d ə kʰ i d u tʰ ʏ n
տեգ	d e kʰ
տեգերակին	d e kʰ e ɾ ɑ ɡ i n
տեգերկին	d e kʰ e ɾ ɡ i n
տեգր	d e kʰ ə ɾ
տեգրակին	d e kʰ ɾ ɑ ɡ i n
տելուգու	d e l u kʰ u
տելուր	d e l u ɾ
տեխնեցիում	d e χ n e t͡sʰ i j u m
տեխնիկա	d e χ n i ɡ ɑ
տեխնիկական	d e χ n i ɡ ɑ ɡ ɑ n
տեխնոլոգիա	d e χ n o l o kʰ i j ɑ
տեխնոլոգիաներ	d e χ n o l o kʰ i j ɑ n e ɾ
տեխնոպարկ	d e χ n o b ɑ ɾ ɡ
տեղ	d e ʁ
տեղադրել	d e ʁ ɑ tʰ ɾ e l
տեղադրում	d e ʁ ɑ tʰ ɾ u m
տեղակալ	d e ʁ ɑ ɡ ɑ l
տեղաղադրվել	d e ʁ ɑ tʰ ə ɾ v e l
տեղաճարակ	d e ʁ ɑ d͡ʒ ɑ ɾ ɑ ɡ
տեղամաս	d e ʁ ɑ m ɑ s
տեղանուն	d e ʁ ɑ n u n
տեղանք	d e ʁ ɑ ŋ kʰ
տեղաշարժել	d e ʁ ɑ ʃ ɑ ɾ ʒ e l
տեղաշոր	d e ʁ ɑ ʃ o ɾ
տեղատվություն	d e ʁ ɑ d v u tʰ ʏ n
տեղափոխել	d e ʁ ɑ pʰ o χ e l
տեղեկանալ	d e ʁ e ɡ ɑ n ɑ l
տեղեկատու	d e ʁ e ɡ ɑ d u
տեղեկատվական	d e ʁ e ɡ ɑ d v ɑ ɡ ɑ n
տեղեկատվություն	d e ʁ e ɡ ɑ d v u tʰ ʏ n
տեղեկացնել	d e ʁ e ɡ ɑ t͡sʰ ə n e l
տեղեկություն	d e ʁ e ɡ u tʰ ʏ n
տեղի	d e ʁ i
տեղիք	d e ʁ i kʰ
տեղյակ	d e ʁ j ɑ ɡ
տենալ	d e n ɑ l
տենդ	d e n tʰ
տենդախտ	d e n tʰ ɑ χ t
տենչալ	d e n t͡ʃʰ ɑ l
տեռ	d e ɾ
տեռորիստական	d e ɾ o ɾ i s t ɑ ɡ ɑ n
տեսաերիզ	d e s ɑ j e ɾ i z
տեսախցիկ	d e s ɑ χ ə t͡sʰ i ɡ
տեսակ	d e s ɑ ɡ
տեսական	d e s ɑ ɡ ɑ n
տեսականիշ	d e s ɑ ɡ ɑ n i ʃ
տեսականորեն	d e s ɑ ɡ ɑ n o ɾ e n
տեսակետ	d e s ɑ ɡ e d
տեսահոլովակ	d e s ɑ h o l o v ɑ ɡ
տեսանելի	d e s ɑ n e l i
տեսանյութ	d e s ɑ n ʏ tʰ
տեսարան	d e s ɑ ɾ ɑ n
տեսարժան	d e s ɑ ɾ ʒ ɑ n
տեսիլ	d e s i l
տեսիլք	d e s i l kʰ
տեսլական	d e s l ɑ ɡ ɑ n
տեսնալ	d e s n ɑ l
տեսնել	d e s n e l
տեսնվել	d e s n ə v e l
տեսողություն	d e s o ʁ u tʰ ʏ n
տեսություն	d e s u tʰ ʏ n
տեսուչ	d e s u t͡ʃʰ
տեսչական	d e s t͡ʃʰ ɑ ɡ ɑ n
տեսք	d e s kʰ
տետր	d e d ə ɾ
տեր	d e ɾ
տերբիում	d e ɾ pʰ i j u m
տերեփուկ	d e ɾ e pʰ u ɡ
տերիտորիա	d e ɾ i d o ɾ i j ɑ
տերմին	d e ɾ m i n
տերություն	d e ɾ u tʰ ʏ n
տերունի	d e ɾ u n i
տերտեր	d e ɾ d e ɾ
տերև	d e ɾ e v
տեքստ	d e kʰ s t
տեքր	d e kʰ ə ɾ
տզրուկ	d ə z ɾ u ɡ
տժվժալ	d ə ʒ v ə ʒ ɑ l
տժվժիկ	d ə ʒ v ə ʒ i ɡ
տի	d i
տիբեթական	d i pʰ e tʰ ɑ ɡ ɑ n
տիբեթերեն	d i pʰ e tʰ e ɾ e n
տիեզերագնաց	d i j e z e ɾ ɑ kʰ ə n ɑ t͡sʰ
տիեզերանավ	d i j e z e ɾ ɑ n ɑ v
տիեզերք	d i j e z e ɾ kʰ
տիեզերք	d j e z e ɾ kʰ
տիեզերք	t j e z e ɾ kʰ
տիզ	d i z
տիկ	d i ɡ
տիկին	d i ɡ i n
տիկնիկ	d i ɡ n i ɡ
տիկնիկային	d i ɡ n i ɡ ɑ j i n
տիկնունի	d i ɡ n u n i
տիղմ	d i ʁ m
տիպ	d i b
տիպաբանական	d i b ɑ pʰ ɑ n ɑ ɡ ɑ n
տիվ	d i v
տիվիթ	d i v i tʰ
տիտան	d i d ɑ n
տիր	d i ɾ
տիրակալ	d i ɾ ɑ ɡ ɑ l
տիրապետել	d i ɾ ɑ b e d e l
տիրապետում	d i ɾ ɑ b e d u m
տիրացու	d i ɾ ɑ t͡sʰ u
տիրել	d i ɾ e l
տիրություն	d i ɾ u tʰ ʏ n
տիւմէնճի	d ʏ m e n d͡ʒ i
տիք	d i kʰ
տխմար	d ə χ m ɑ ɾ
տխուր	d ə χ u ɾ
տխրություն	d ə χ ɾ u tʰ ʏ n
տկար	d ə ɡ ɑ ɾ
տկլոր	d ə ɡ l o ɾ
տկողին	d ə ɡ o ʁ i n
տկռել	d ə ɡ ɾ e l
տհաճ	d ə h ɑ d͡ʒ
տհաս	d ə h ɑ s
տձև	d ə t͡sʰ e v
տղա	d ə ʁ ɑ
տղամարդ	d ə ʁ ɑ m ɑ ɾ tʰ
տղամարդիկ	d ə ʁ ɑ m ɑ ɾ tʰ i ɡ
տղմուտ	d ə ʁ m u d
տմարդի	d ə m ɑ ɾ tʰ i
տյար	d j ɑ ɾ
տյուն	d ʏ n
տյուրացի	d ʏ ɾ ɑ t͡sʰ i
տնակ	d ə n ɑ ɡ
տնական	d ə n ɑ ɡ ɑ n
տնային	d ə n ɑ j i n
տնաշեն	d ə n ɑ ʃ e n
տնատիրուհի	d ə n ɑ d i ɾ u h i
տնգել	d ə ŋ kʰ e l
տնգվել	d ə ŋ kʰ v e l
տնկադաշտ	d ə ŋ ɡ ɑ tʰ ɑ ʃ t
տնկել	d ə ŋ ɡ e l
տնկի	d ə ŋ ɡ i
տնկվել	d ə ŋ ɡ v e l
տնջրի	d ə n t͡ʃʰ ə ɾ i
տնտես	d ə n d e s
տնտեսագետ	d ə n d e s ɑ kʰ e d
տնտեսագիտական	d ə n d e s ɑ kʰ i d ɑ ɡ ɑ n
տնտեսագիտություն	d ə n d e s ɑ kʰ i d u tʰ ʏ n
տնտեսական	d ə n d e s ɑ ɡ ɑ n
տնտեսություն	d ə n d e s u tʰ ʏ n
տնտղել	d ə n d ə ʁ e l
տնփեսա	d ə n pʰ e s ɑ
տնքալ	d ə ŋ kʰ ɑ l
տնօրեն	d ə n o ɾ e n
տնօրինել	d ə n o ɾ i n e l
տշել	d ə ʃ e l
տոթ	d o tʰ
տոլմա	d o l m ɑ
տոկալ	d o ɡ ɑ l
տոկացող	d o ɡ ɑ t͡sʰ o ʁ
տոկոս	d o ɡ o s
տոկոսիք	d o ɡ o s i kʰ
տոկուն	d o ɡ u n
տոկունություն	d o ɡ u n u tʰ ʏ n
տոհմ	d o h m
տոհմածառ	d o h m ɑ d͡z ɑ ɾ
տող	d o ʁ
տողադարձ	d o ʁ ɑ tʰ ɑ ɾ t͡sʰ
տողան	d o ʁ ɑ n
տողրամաճի	d o ʁ ɾ ɑ m ɑ d͡ʒ i
տոմար	d o m ɑ ɾ
տոմարակալություն	d o m ɑ ɾ ɑ ɡ ɑ l u tʰ ʏ n
տոմս	d o m s
տոմսարկղ	d o m s ɑ ɾ ɡ ə ʁ
տոն	d o n
տոնագիր	d o n ɑ kʰ i ɾ
տոնածառ	d o n ɑ d͡z ɑ ɾ
տոնավաճառ	d o n ɑ v ɑ d͡ʒ ɑ ɾ
տոնել	d o n e l
տոպրակ	d o b ɾ ɑ ɡ
տոռն	d o ɾ ə n
տոսախ	d o s ɑ χ
տոտեմ	d o d e m
տորգ	d o ɾ kʰ
տորդիկ	d o ɾ tʰ i ɡ
տորթ	d o ɾ tʰ
տորմ	d o ɾ m
տորմիղ	d o ɾ m i ʁ
տորոն	d o ɾ o n
տորտ	d o ɾ d
տորֆ	d o ɾ f
տուբերկուլյոզ	d u pʰ e ɾ ɡ u l j o z
տուբերկուլոզ	d u pʰ e ɾ ɡ u l o z
տուգանք	d u kʰ ɑ ŋ kʰ
տուզ	d u z
տուժել	d u ʒ e l
տուժող	d u ʒ o ʁ
տուժվել	d u ʒ v e l
տուկան	d u ɡ ɑ n
տուղտ	d u ʁ d
տույժ	d u j ʒ
տուն	d u n
տունդրա	d u n tʰ ɾ ɑ
տունկ	d u ŋ ɡ
տունտունիկ	d u n d u n i ɡ
տուտ	d u d
տուտուզ	d u d u z
տուտուց	d u d u t͡sʰ
տուր	d u ɾ
տուրիզմ	d u ɾ i z m
տուրմ	d u ɾ m
տուրք	d u ɾ kʰ
տուփ	d u pʰ
տպագրություն	d ə b ɑ kʰ ɾ u tʰ ʏ n
տպավորել	d ə b ɑ v o ɾ e l
տպավորիչ	d ə b ɑ v o ɾ i t͡ʃʰ
տպավորություն	d ə b ɑ v o ɾ u tʰ ʏ n
տպավորված	d ə b ɑ v o ɾ v ɑ d͡z
տպավորվել	d ə b ɑ v o ɾ v e l
տպարան	d ə b ɑ ɾ ɑ n
տպաքանակ	d ə b ɑ kʰ ɑ n ɑ ɡ
տպել	d ə b e l
տպիչ	d ə b i t͡ʃʰ
տռել	d ə ɾ e l
տռզել	d ə ɾ z e l
տռուզ	d ə ɾ u z
տվյալ	d ə v j ɑ l
տրական	d ə ɾ ɑ ɡ ɑ n
տրակտոր	d ɾ ɑ ɡ d o ɾ
տրամաբան	d ə ɾ ɑ m ɑ pʰ ɑ n
տրամաբանական	d ə ɾ ɑ m ɑ pʰ ɑ n ɑ ɡ ɑ n
տրամաբանություն	d ə ɾ ɑ m ɑ pʰ ɑ n u tʰ ʏ n
տրամագիծ	d ə ɾ ɑ m ɑ kʰ i d͡z
տրամագծորեն	d ə ɾ ɑ m ɑ kʰ ə d͡z o ɾ e n
տրամադրել	d ə ɾ ɑ m ɑ tʰ ɾ e l
տրամադրություն	d ə ɾ ɑ m ɑ tʰ ɾ u tʰ ʏ n
տրամաչափ	d ə ɾ ɑ m ɑ t͡ʃʰ ɑ pʰ
տրանսգենդեր	d ɾ ɑ n s kʰ e n tʰ e ɾ
տրանսպորտ	d ɾ ɑ n s p o ɾ d
տրիբոլոգիա	d ɾ i pʰ o l o kʰ i j ɑ
տրիբունա	d ɾ i pʰ u n ɑ
տրոհել	d ə ɾ o h e l
տրոմբոն	d ɾ o m pʰ o n
տրոցկիզմ	d ɾ o t͡sʰ k i z m
տրուսիկ	d ɾ u s i ɡ
տրտնջալ	d ə ɾ d ə n t͡ʃʰ ɑ l
տրցակ	d ə ɾ t͡sʰ ɑ ɡ
տրցակաձև	d ə ɾ t͡sʰ ɑ ɡ ɑ t͡sʰ e v
տրցակել	d ə ɾ t͡sʰ ɑ ɡ e l
տև	d e v
տևել	d e v e l
տևողություն	d e v o ʁ u tʰ ʏ n
ր	ɾ ə
րաբունապետ	ɾ ɑ pʰ u n ɑ b e d
րե	ɾ e
րոպե	ɾ o b e
րոպեական	ɾ o b e j ɑ ɡ ɑ n
ց	t͡sʰ ə
ցախ	t͡sʰ ɑ χ
ցախանոց	t͡sʰ ɑ χ ɑ n o t͡sʰ
ցախավել	t͡sʰ ɑ χ ɑ v e l
ցախատուն	t͡sʰ ɑ χ ɑ d u n
ցած	t͡sʰ ɑ d͡z
ցածր	t͡sʰ ɑ d͡z ə ɾ
ցածրահասակ	t͡sʰ ɑ d͡z ɾ ɑ h ɑ s ɑ ɡ
ցամաք	t͡sʰ ɑ m ɑ kʰ
ցամաքահանում	t͡sʰ ɑ m ɑ kʰ ɑ h ɑ n u m
ցամաքային	t͡sʰ ɑ m ɑ kʰ ɑ j i n
ցայգ	t͡sʰ ɑ j kʰ
ցայսօր	t͡sʰ ɑ j s o ɾ
ցան	t͡sʰ ɑ n
ցանել	t͡sʰ ɑ n e l
ցանկ	t͡sʰ ɑ ŋ ɡ
ցանկալ	t͡sʰ ɑ ŋ ɡ ɑ l
ցանկալի	t͡sʰ ɑ ŋ ɡ ɑ l i
ցանկանալ	t͡sʰ ɑ ŋ ɡ ɑ n ɑ l
ցանկապատ	t͡sʰ ɑ ŋ ɡ ɑ b ɑ d
ցանկություն	t͡sʰ ɑ ŋ ɡ u tʰ ʏ n
ցանց	t͡sʰ ɑ n t͡sʰ
ցանցաթաղանթ	t͡sʰ ɑ n t͡sʰ ɑ tʰ ɑ ʁ ɑ n tʰ
ցանցահեն	t͡sʰ ɑ n t͡sʰ ɑ h e n
ցանցաճոճ	t͡sʰ ɑ n t͡sʰ ɑ d͡ʒ o d͡ʒ
ցանցել	t͡sʰ ɑ n t͡sʰ e l
ցանցենի	t͡sʰ ɑ n t͡sʰ e n i
ցանք	t͡sʰ ɑ ŋ kʰ
ցանքս	t͡sʰ ɑ ŋ kʰ s
ցասկոտ	t͡sʰ ɑ s k o d
ցավ	t͡sʰ ɑ v
ցավազրկել	t͡sʰ ɑ v ɑ z ə ɾ ɡ e l
ցավազրկող	t͡sʰ ɑ v ɑ z ə ɾ ɡ o ʁ
ցավալ	t͡sʰ ɑ v ɑ l
ցավակցություն	t͡sʰ ɑ v ɑ kʰ t͡sʰ u tʰ ʏ n
ցավել	t͡sʰ ɑ v e l
ցավոք	t͡sʰ ɑ v o kʰ
ցատկ	t͡sʰ ɑ d ɡ
ցատկել	t͡sʰ ɑ d ɡ e l
ցար	t͡sʰ ɑ ɾ
ցարական	t͡sʰ ɑ ɾ ɑ ɡ ɑ n
ցաւիլ	t͡sʰ ɑ v i l
ցաք	t͡sʰ ɑ kʰ
ցաքատ	t͡sʰ ɑ kʰ ɑ d
ցաքի	t͡sʰ ɑ kʰ i
ցեզիում	t sʰ ɛ z i u m
ցեզիում	t sʰ ɛ z j u m
ցեզիում	t sʰ ɛ zʲ i u m
ցել	t͡sʰ e l
ցեխ	t͡sʰ e χ
ցեծ	t͡sʰ e d͡z
ցեղ	t͡sʰ e ʁ
ցեղակրոնություն	t͡sʰ e ʁ ɑ ɡ ɾ o n u tʰ ʏ n
ցեղասպան	t͡sʰ e ʁ ɑ s p ɑ n
ցեղասպանություն	t͡sʰ e ʁ ɑ s p ɑ n u tʰ ʏ n
ցեմենտ	t͡sʰ e m e n d
ցենտներ	t͡sʰ e n d n e ɾ
ցերեկ	t͡sʰ e ɾ e ɡ
ցերեկույթ	t͡sʰ e ɾ e ɡ u j tʰ
ցերիում	t sʰ ɛ ɾ i u m
ցերիում	t sʰ ɛ ɾ j u m
ցերիում	t sʰ ɛ ɾʲ i u m
ցեց	t͡sʰ e t͡sʰ
ցիգան	t͡sʰ i kʰ ɑ n
ցին	t͡sʰ i n
ցինգա	t͡sʰ i ŋ kʰ ɑ
ցինիզմ	t͡sʰ i n i z m
ցինկ	t͡sʰ i ŋ ɡ
ցիռ	t͡sʰ i ɾ
ցիրկոնիում	t͡sʰ i ɾ ɡ o n i j u m
ցից	t͡sʰ i t͡sʰ
ցլամարտ	t͡sʰ ə l ɑ m ɑ ɾ d
ցխինք	t͡sʰ ə χ i ŋ kʰ
ցնդել	t͡sʰ ə n tʰ e l
ցնդուկ	t͡sʰ ə n tʰ u ɡ
ցնծալ	t͡sʰ ə n d͡z ɑ l
ցնծություն	t͡sʰ ə n d͡z u tʰ ʏ n
ցնորամիտ	t͡sʰ ə n o ɾ ɑ m i d
ցնորք	t͡sʰ ə n o ɾ kʰ
ցնցել	t͡sʰ ə n t͡sʰ e l
ցնցիչ	t͡sʰ ə n t͡sʰ i t͡ʃʰ
ցնցող	t͡sʰ ə n t͡sʰ o ʁ
ցնցոտի	t͡sʰ ə n t͡sʰ o d i
ցնցուղ	t͡sʰ ə n t͡sʰ u ʁ
ցո	t͡sʰ o
ցող	t͡sʰ o ʁ
ցողկ	t͡sʰ o χ k
ցողուն	t͡sʰ o ʁ u n
ցորեն	t͡sʰ o ɾ e n
ցուլ	t͡sʰ u l
ցույց	t͡sʰ u j t͡sʰ
ցունամի	t͡sʰ u n ɑ m i
ցուպ	t͡sʰ u b
ցուրտ	t͡sʰ u ɾ d
ցուցաբերել	t͡sʰ u t͡sʰ ɑ pʰ e ɾ e l
ցուցադրական	t͡sʰ u t͡sʰ ɑ tʰ ɾ ɑ ɡ ɑ n
ցուցադրել	t͡sʰ u t͡sʰ ɑ tʰ ɾ e l
ցուցակ	t͡sʰ u t͡sʰ ɑ ɡ
ցուցակում	t͡sʰ u t͡sʰ ɑ ɡ u m
ցուցահանդես	t͡sʰ u t͡sʰ ɑ h ɑ n tʰ e s
ցուցանակ	t͡sʰ u t͡sʰ ɑ n ɑ ɡ
ցուցանել	t͡sʰ u t͡sʰ ɑ n e l
ցուցանմուշ	t͡sʰ u t͡sʰ ɑ n ə m u ʃ
ցուցասրահ	t͡sʰ u t͡sʰ ɑ s ə ɾ ɑ h
ցուցարար	t͡sʰ u t͡sʰ ɑ ɾ ɑ ɾ
ցուցափեղկ	t͡sʰ u t͡sʰ ɑ pʰ e χ k
ցտել	t͡sʰ ə d e l
ցտեսություն	s t e s t͡sʰ j u n
ցտեսություն	t͡sʰ ə d e s u tʰ ʏ n
ցրդենի	t͡sʰ ə ɾ tʰ e n i
