a	ɒ
tisztelete	t i s t ɛ l ɛ t ɛ
tiszteletek	t i s t ɛ l ɛ t ɛ k
tiszteletekben	t i s t ɛ l ɛ t ɛ ɡ b ɛ n
tiszteletekkel	t i s t ɛ l ɛ t ɛ kː ɛ l
tiszteletem	t i s t ɛ l ɛ t ɛ m
tiszteletet	t i s t ɛ l ɛ t ɛ t
tisztelettel	t i s t ɛ l ɛ tː ɛ l
tiszteletére	t i s t ɛ l ɛ t eː r ɛ
tisztelt	t i s t ɛ l t
tisztes	t i s t ɛ ʃ
tisztesség	t i s t ɛ ʃː eː ɡ
tisztességes	t i s t ɛ ʃː eː ɡ ɛ ʃ
tisztességtelen	t i s t ɛ ʃː eː k t ɛ l ɛ n
tisztogat	t i s t o ɡ ɒ t
tisztogatás	t i s t o ɡ ɒ t aː ʃ
tisztogatások	t i s t o ɡ ɒ t aː ʃ o k
tisztség	t i s t͡ʃ eː ɡ
tisztségviselő	t i s t͡ʃ eː ɡ v i ʃ ɛ l øː
tisztségviselők	t i s t͡ʃ eː ɡ v i ʃ ɛ l øː k
tiszttel	t i s t ɛ l
tisztviselő	t i s t v i ʃ ɛ l øː
tisztviselők	t i s t v i ʃ ɛ l øː k
tisztában	t i s t aː b ɒ n
tisztább	t i s t aː bː
tiszták	t i s t aː k
tisztálkodik	t i s t aː l k o d i k
tisztán	t i s t aː n
tisztás	t i s t aː ʃ
tisztások	t i s t aː ʃ o k
tisztátalan	t i s t aː t ɒ l ɒ n
tisztáz	t i s t aː z
tisztázatlan	t i s t aː z ɒ t l ɒ n
tisztázni	t i s t aː z n i
tisztázás	t i s t aː z aː ʃ
tisztázódik	t i s t aː z oː d i k
tisztít	t i s t iː t
tisztújítás	t i s t uː j iː t aː ʃ
titanic	t i t ɒ n i k
titeket	t i t ɛ k ɛ t
titka	t i t k ɒ
titkai	t i t k ɒ j i
titkok	t i t k o k
titkol	t i t k o l
titkolóddz	t i t k o l oː d͡zː
titkolódzik	t i t k o l oː d͡zː i k
titkolózik	t i t k o l oː z i k
titkolózz	t i t k o l oː zː
titkon	t i t k o n
titkos	t i t k o ʃ
titkosszolgálat	t i t k o ʃ s o l ɡ aː l ɒ t
titkosszolgálatok	t i t k o ʃ s o l ɡ aː l ɒ t o k
titkosít	t i t k o ʃ iː t
titkot	t i t k o t
titkár	t i t k aː r
titkára	t i t k aː r ɒ
titkárnő	t i t k aː r n øː
titkárnők	t i t k aː r n øː k
titkárnőket	t i t k aː r n øː k ɛ t
titkárok	t i t k aː r o k
titkárság	t i t k aː r ʃ aː ɡ
titkárságok	t i t k aː r ʃ aː ɡ o k
titkát	t i t k aː t
titok	t i t o k
titokban	t i t o ɡ b ɒ n
titoktartó	t i t o k t ɒ r t oː
titokzatos	t i t o ɡ z ɒ t o ʃ
titokzokni	t i t o ɡ z o k n i
titrál	t i t r aː l
titán	t i t aː n
titánok	t i t aː n o k
titőletek	t i t øː l ɛ t ɛ k
tivadar	t i v ɒ d ɒ r
tiveletek	t i v ɛ l ɛ t ɛ k
tivéletek	t i v eː l ɛ t ɛ k
tized	t i z ɛ d
tizedes	t i z ɛ d ɛ ʃ
tizedespont	t i z ɛ d ɛ ʃ p o n t
tizedesvessző	t i z ɛ d ɛ ʃ v ɛ sː øː
tizedik	t i z ɛ d i k
tizedike	t i z ɛ d i k ɛ
tizenegy	t i z ɛ n ɛ ɟː
tizenegyedik	t i z ɛ n ɛ ɟː ɛ d i k
tizenegyedike	t i z ɛ n ɛ ɟː ɛ d i k ɛ
tizenegyes	t i z ɛ n ɛ ɟː ɛ ʃ
tizenharmadik	t i z ɛ n ɦ ɒ r m ɒ d i k
tizenharmadika	t i z ɛ n ɦ ɒ r m ɒ d i k ɒ
tizenhat	t i z ɛ n ɦ ɒ t
tizenhatodik	t i z ɛ n ɦ ɒ t o d i k
tizenhatodika	t i z ɛ n ɦ ɒ t o d i k ɒ
tizenhatos	t i z ɛ n ɦ ɒ t o ʃ
tizenhetedik	t i z ɛ n ɦ ɛ t ɛ d i k
tizenhetedike	t i z ɛ n ɦ ɛ t ɛ d i k ɛ
tizenhárom	t i z ɛ n ɦ aː r o m
tizenháromszög	t i z ɛ n ɦ aː r o m s ø ɡ
tizenhét	t i z ɛ n ɦ eː t
tizenkettedik	t i z ɛ ŋ k ɛ tː ɛ d i k
tizenkettedike	t i z ɛ ŋ k ɛ tː ɛ d i k ɛ
tizenkettes	t i z ɛ ŋ k ɛ tː ɛ ʃ
tizenkettő	t i z ɛ ŋ k ɛ tː øː
tizenkilenc	t i z ɛ ŋ k i l ɛ n t͡s
tizenkilencedik	t i z ɛ ŋ k i l ɛ n t͡s ɛ d i k
tizenkilencedike	t i z ɛ ŋ k i l ɛ n t͡s ɛ d i k ɛ
tizenkilences	t i z ɛ ŋ k i l ɛ n t͡s ɛ ʃ
tizenkét	t i z ɛ ŋ k eː t
tizennegyedik	t i z ɛ nː ɛ ɟ ɛ d i k
tizennegyedike	t i z ɛ nː ɛ ɟ ɛ d i k ɛ
tizennyolc	t i z ɛ ɲː o l t͡s
tizennyolcadik	t i z ɛ ɲː o l t͡s ɒ d i k
tizennyolcadika	t i z ɛ ɲː o l t͡s ɒ d i k ɒ
tizennégy	t i z ɛ nː eː ɟ
tizenéves	t i z ɛ n eː v ɛ ʃ
tizenöt	t i z ɛ n ø t
tizenötödik	t i z ɛ n ø t ø d i k
tizenötödike	t i z ɛ n ø t ø d i k ɛ
tiáltalatok	t i j aː l t ɒ l ɒ t o k
tiéd	t i j eː d
tiéid	t i j eː j i d
tiéitek	t i j eː j i t ɛ k
tiérettetek	t i j eː r ɛ tː ɛ t ɛ k
tiértetek	t i j eː r t ɛ t ɛ k
tiétek	t i j eː t ɛ k
toalett	t o ɒ l ɛ tː
toalettpapír	t o ɒ l ɛ t p ɒ p iː r
tobago	t o b ɒ ɡ oː
tobogán	t o b o ɡ aː n
tobogánok	t o b o ɡ aː n o k
toboroz	t o b o r o z
toboz	t o b o z
tobozmirigy	t o b o z m i r i ɟ
tobozmirigyek	t o b o z m i r i ɟ ɛ k
tobozok	t o b o z o k
togo	t o ɡ oː
tojd	t o j d
tojhat	t o j ɦ ɒ t
tojik	t o j i k
tojj	t o jː
tojsz	t o j s
tojás	t o j aː ʃ
tojásdad	t o j aː ʒ d ɒ d
tojásfehérje	t o j aː ʃ f ɛ ɦ eː r j ɛ
tojáshéj	t o j aː ʃ h eː j
tojáshéjak	t o j aː ʃ h eː j ɒ k
tojáslepény	t o j aː ʃ l ɛ p eː ɲ
tojáslikőr	t o j aː ʃ l i k øː r
tojáslikőrök	t o j aː ʃ l i k øː r ø k
tojások	t o j aː ʃ o k
tojásrántotta	t o j aː ʃ r aː n t o tː ɒ
tojássárgája	t o j aː ʃː aː r ɡ aː j ɒ
tojást	t o j aː ʃ t
tok	t o k
toka	t o k ɒ
tokaj	t o k ɒ j
tokaji	t o k ɒ j i
tokajik	t o k ɒ j i k
tokelau	t o k ɛ l ɒ u
tokig	t o k i ɡ
tokió	t o k i j oː
tokkal	t o kː ɒ l
tokmány	t o k m aː ɲ
tokmányok	t o k m aː ɲ o k
tokok	t o k o k
tokom	t o k o m
tokot	t o k o t
tokány	t o k aː ɲ
tol	t o l
tolakodik	t o l ɒ k o d i k
tolakszik	t o l ɒ k s i k
tolat	t o l ɒ t
told	t o l d
toldalék	t o l d ɒ l eː k
toldalékok	t o l d ɒ l eː k o k
toldd	t o l d
toldhat	t o l t h ɒ t
tolerancia	t o l ɛ r ɒ n t͡s i j ɒ
tolerál	t o l ɛ r aː l
toleráns	t o l ɛ r aː n ʃ
toleránsabb	t o l ɛ r aː n ʃ ɒ bː
tolhat	t o l ɦ ɒ t
tolj	t o jː
tolják	t o jː aː k
toll	t o lː
tolla	t o lː ɒ
tollak	t o lː ɒ k
tollas	t o lː ɒ ʃ
tollaslabda	t o lː ɒ ʃ l ɒ b d ɒ
tollaslabdák	t o lː ɒ ʃ l ɒ b d aː k
tollat	t o lː ɒ t
tollatlan	t o lː ɒ t l ɒ n
tollra	t o l r ɒ
tolltartó	t o l t ɒ r t oː
tollászkodik	t o lː aː s k o d i k
tollú	t o lː uː
tolmács	t o l m aː t͡ʃ
tolmácsok	t o l m aː t͡ʃ o k
tolmácsol	t o l m aː t͡ʃ o l
tolna	t o l n ɒ
tolod	t o l o d
tolok	t o l o k
tolom	t o l o m
tolong	t o l o ŋ ɡ
tolsz	t o l s
tolsztoji	t o l s t o j i
tolta	t o l t ɒ
toluol	t o l u o l
tolvaj	t o l v ɒ j
tolvajnyelv	t o l v ɒ j ɲ ɛ l v
tolvajnyelvek	t o l v ɒ j ɲ ɛ l v ɛ k
tolvajok	t o l v ɒ j o k
tolvajt	t o l v ɒ j t
tolódik	t o l oː d i k
tolószék	t o l oː s eː k
tombol	t o m b o l
tombola	t o m b o l ɒ
tombolák	t o m b o l aː k
tombolázik	t o m b o l aː z i k
tomboló	t o m b o l oː
tombolóbb	t o m b o l oː bː
tomi	t o m i
tompa	t o m p ɒ
tompaszög	t o m p ɒ s ø ɡ
tompaszögek	t o m p ɒ s ø ɡ ɛ k
tompaszögű	t o m p ɒ s ø ɡ yː
tompor	t o m p o r
tomporok	t o m p o r o k
tomszk	t o m s k
tonga	t o ŋ ɡ ɒ
tonna	t o nː ɒ
tonzúra	t o n z uː r ɒ
tonzúrák	t o n z uː r aː k
topográfia	t o p o ɡ r aː f i j ɒ
topográfiák	t o p o ɡ r aː f i j aː k
topológia	t o p o l oː ɡ i j ɒ
toportyán	t o p o r c aː n
toportyánféreg	t o p o r c aː ɱ f eː r ɛ ɡ
toportyánférge	t o p o r c aː ɱ f eː r ɡ ɛ
topánka	t o p aː ŋ k ɒ
topánkák	t o p aː ŋ k aː k
topáz	t o p aː z
tor	t o r
torba	t o r b ɒ
torda	t o r d ɒ
torka	t o r k ɒ
torkaszakadtából	t o r k ɒ s ɒ k ɒ tː aː b oː l
torkod	t o r k o d
torkok	t o r k o k
torkollt	t o r k o l t
torkolt	t o r k o l t
torkom	t o r k o m
torkotok	t o r k o t o k
torkuk	t o r k u k
torkunk	t o r k u ŋ k
torkú	t o r k uː
torma	t o r m ɒ
tormák	t o r m aː k
torna	t o r n ɒ
tornacipő	t o r n ɒ t͡s i p øː
tornya	t o r ɲ ɒ
tornyok	t o r ɲ o k
tornác	t o r n aː t͡s
tornácok	t o r n aː t͡s o k
tornádó	t o r n aː d oː
tornádók	t o r n aː d oː k
tornára	t o r n aː r ɒ
tornász	t o r n aː s
tornászok	t o r n aː s o k
tornázik	t o r n aː z i k
tornázás	t o r n aː z aː ʃ
torok	t o r o k
torokszíj	t o r o k s iː j
torol	t o r o l
toron	t o r o n
torony	t o r o ɲ
toronyiránt	t o r o ɲ i r aː n t
toronyóra	t o r o ɲ oː r ɒ
toronyórák	t o r o ɲ oː r aː k
torpedó	t o r p ɛ d oː
torra	t o rː ɒ
torral	t o rː ɒ l
torrá	t o rː aː
tort	t o r t
torta	t o r t ɒ
tortalapát	t o r t ɒ l ɒ p aː t
torták	t o r t aː k
tortúra	t o r t uː r ɒ
tory	t o r i
toryk	t o r i k
torz	t o r z
torzul	t o r z u l
torzít	t o r z iː t
toró	t o r oː
toshiba	t o ʃ i b ɒ
tossz	t o sː
toszkána	t o s k aː n ɒ
totalitárius	t o t ɒ l i t aː r i j u ʃ
totemoszlop	t o t ɛ m o s l o p
totyog	t o c o ɡ
totál	t o t aː l
totális	t o t aː l i ʃ
tovább	t o v aː bː
továbbad	t o v aː bː ɒ d
továbbfejleszt	t o v aː p f ɛ j l ɛ s t
további	t o v aː bː i
továbbiak	t o v aː bː i j ɒ k
továbbiakban	t o v aː bː i j ɒ ɡ b ɒ n
továbbképzés	t o v aː p k eː b z eː ʃ
továbbra	t o v aː b r ɒ
továbbá	t o v aː bː aː
továbbít	t o v aː bː iː t
toxikológia	t o k s i k o l oː ɡ i j ɒ
toxikológus	t o k s i k o l oː ɡ u ʃ
toxikológusok	t o k s i k o l oː ɡ u ʃ o k
trabi	t r ɒ b i
tradicionális	t r ɒ d i t͡s i j o n aː l i ʃ
tradicionálisabb	t r ɒ d i t͡s i j o n aː l i ʃ ɒ bː
tradicionálisan	t r ɒ d i t͡s i j o n aː l i ʃ ɒ n
tradíció	t r ɒ d iː t͡s i j oː
tradíciók	t r ɒ d iː t͡s i j oː k
tragikomikus	t r ɒ ɡ i k o m i k u ʃ
tragikomikusabb	t r ɒ ɡ i k o m i k u ʃ ɒ bː
tragikus	t r ɒ ɡ i k u ʃ
tragédia	t r ɒ ɡ eː d i j ɒ
tragédiája	t r ɒ ɡ eː d i j aː j ɒ
tragédiák	t r ɒ ɡ eː d i j aː k
traktor	t r ɒ k t o r
traktora	t r ɒ k t o r ɒ
traktorok	t r ɒ k t o r o k
traktoron	t r ɒ k t o r o n
traktorvezető	t r ɒ k t o r v ɛ z ɛ t øː
trampli	t r ɒ m p l i
transzferál	t r ɒ n s f ɛ r aː l
transzformáció	t r ɒ n s f o r m aː t͡s i j oː
transzformációk	t r ɒ n s f o r m aː t͡s i j oː k
transzformál	t r ɒ n s f o r m aː l
transzkripció	t r ɒ n s k r i p t͡s i j oː
transzkripciók	t r ɒ n s k r i p t͡s i j oː k
transznacionális	t r ɒ n s n ɒ t͡s i j o n aː l i ʃ
transznemű	t r ɒ n s n ɛ m yː
transzplantál	t r ɒ n s p l ɒ n t aː l
transzplantátum	t r ɒ n s p l ɒ n t aː t u m
transzplantátumok	t r ɒ n s p l ɒ n t aː t u m o k
transzrealizmus	t r ɒ n s r ɛ ɒ l i z m u ʃ
transzszexuális	t r ɒ n s ɛ k s u aː l i ʃ
transzvesztita	t r ɒ n s v ɛ s t i t ɒ
tranzakció	t r ɒ n z ɒ k t͡s i j oː
tranzakciók	t r ɒ n z ɒ k t͡s i j oː k
tranzisztor	t r ɒ n z i s t o r
trapéz	t r ɒ p eː z
trapézcsont	t r ɒ p eː s t͡ʃ o n t
trapézcsontok	t r ɒ p eː s t͡ʃ o n t o k
trapézok	t r ɒ p eː z o k
treff	t r ɛ fː
treffek	t r ɛ fː ɛ k
trehány	t r ɛ ɦ aː ɲ
trend	t r ɛ n d
trended	t r ɛ n d ɛ d
trendi	t r ɛ n d i
treníroz	t r ɛ n iː r o z
triangulum	t r i j ɒ ŋ ɡ u l u m
trianon	t r i j ɒ n o n
trichológia	t r i ɦ o l oː ɡ i j ɒ
trigonometria	t r i ɡ o n o m ɛ t r i j ɒ
trigonometriák	t r i ɡ o n o m ɛ t r i j aː k
trikó	t r i k oː
trilógia	t r i l oː ɡ i j ɒ
trilógiák	t r i l oː ɡ i j aː k
trimeszter	t r i m ɛ s t ɛ r
trinitrotoluol	t r i n i t r o t o l u o l
tripod	t r i p o d
tripodot	t r i p o d o t
tripper	t r i pː ɛ r
triumvirátus	t r i j u ɱ v i r aː t u ʃ
triumvirátusok	t r i j u ɱ v i r aː t u ʃ o k
triviális	t r i v i j aː l i ʃ
triviálisan	t r i v i j aː l i ʃ ɒ n
trolibusz	t r o l i b u s
trolibuszok	t r o l i b u s o k
trombita	t r o m b i t ɒ
trombitajátékos	t r o m b i t ɒ j aː t eː k o ʃ
trombitaművész	t r o m b i t ɒ m yː v eː s
trombitája	t r o m b i t aː j ɒ
trombiták	t r o m b i t aː k
trombitál	t r o m b i t aː l
trombitás	t r o m b i t aː ʃ
trombitások	t r o m b i t aː ʃ o k
trombózis	t r o m b oː z i ʃ
trombózisok	t r o m b oː z i ʃ o k
tromf	t r o ɱ f
trumpi	t r aː m p i
trágya	t r aː ɟ ɒ
trágyadomb	t r aː ɟ ɒ d o m b
trágyaeltávolítás	t r aː ɟ ɒ ɛ l t aː v o l iː t aː ʃ
trágyaszóró	t r aː ɟ ɒ s oː r oː
trágyák	t r aː ɟ aː k
trágyáz	t r aː ɟ aː z
trágyázatlan	t r aː ɟ aː z ɒ t l ɒ n
trágyázatlanok	t r aː ɟ aː z ɒ t l ɒ n o k
trágyázható	t r aː ɟ aː s h ɒ t oː
trágyázás	t r aː ɟ aː z aː ʃ
trágár	t r aː ɡ aː r
tré	t r eː
tréfa	t r eː f ɒ
tréfli	t r eː f l i
tréfák	t r eː f aː k
tréfás	t r eː f aː ʃ
tréfát	t r eː f aː t
tréner	t r eː n ɛ r
trénerek	t r eː n ɛ r ɛ k
tréning	t r eː n i ŋ ɡ
tréningruha	t r eː n i ŋ ɡ r u ɦ ɒ
trófea	t r oː f ɛ ɒ
trófeára	t r oː f ɛ aː r ɒ
trója	t r oː j ɒ
trójai	t r oː j ɒ j i
trójaiak	t r oː j ɒ j i j ɒ k
trón	t r oː n
trónfosztás	t r oː ɱ f o s t aː ʃ
trónja	t r oː ɲː ɒ
trónjától	t r oː ɲː aː t oː l
trónkövetelő	t r oː ŋ k ø v ɛ t ɛ l øː
trónnal	t r oː nː ɒ l
trónná	t r oː nː aː
trónok	t r oː n o k
trónol	t r oː n o l
trónszék	t r oː n s eː k
trónus	t r oː n u ʃ
trónörökös	t r oː n ø r ø k ø ʃ
trópus	t r oː p u ʃ
trópusi	t r oː p u ʃ i
trópusok	t r oː p u ʃ o k
trükk	t r y kː
trükkök	t r y kː ø k
tsak	t͡ʃ ɒ k
tsz	t eː j ɛ s
tuareg	t u ɒ r ɛ ɡ
tuba	t u b ɒ
tuberkulózis	t u b ɛ r k u l oː z i ʃ
tuberkulózisok	t u b ɛ r k u l oː z i ʃ o k
tubák	t u b aː k
tucat	t u t͡s ɒ t
tud	t u d
tudakol	t u d ɒ k o l
tudat	t u d ɒ t
tudatlan	t u d ɒ t l ɒ n
tudatlanabb	t u d ɒ t l ɒ n ɒ bː
tudatlanság	t u d ɒ t l ɒ n ʃ aː ɡ
tudatlanságok	t u d ɒ t l ɒ n ʃ aː ɡ o k
tudatok	t u d ɒ t o k
tudatos	t u d ɒ t o ʃ
tudd	t u dː
tudhat	t u t h ɒ t
tudj	t u ɟː
tudja	t u ɟː ɒ
tudjad	t u ɟː ɒ d
tudjak	t u ɟː ɒ k
tudjalak	t u ɟː ɒ l ɒ k
tudjam	t u ɟː ɒ m
tudjanak	t u ɟː ɒ n ɒ k
tudjatok	t u ɟː ɒ t o k
tudjon	t u ɟː o n
tudjuk	t u ɟː u k
tudjunk	t u ɟː u ŋ k
tudják	t u ɟː aː k
tudjál	t u ɟː aː l
tudjátok	t u ɟː aː t o k
tudlak	t u d l ɒ k
tudna	t u d n ɒ
tudnak	t u d n ɒ k
tudni	t u d n i
tudnia	t u d n i j ɒ
tudniillik	t u d n i i lː i k
tudniuk	t u d n i j u k
tudnivaló	t u d n i v ɒ l oː
tudnivalók	t u d n i v ɒ l oː k
tudnod	t u d n o d
tudnom	t u d n o m
tudnotok	t u d n o t o k
tudnunk	t u d n u ŋ k
tudná	t u d n aː
tudnád	t u d n aː d
tudnák	t u d n aː k
tudnál	t u d n aː l
tudnálak	t u d n aː l ɒ k
tudnám	t u d n aː m
tudnának	t u d n aː n ɒ k
tudnánk	t u d n aː ŋ k
tudnátok	t u d n aː t o k
tudnék	t u d n eː k
tudod	t u d o d
tudok	t u d o k
tudom	t u d o m
tudomány	t u d o m aː ɲ
tudományegyetem	t u d o m aː ɲ ɛ ɟ ɛ t ɛ m
tudományegyetemek	t u d o m aː ɲ ɛ ɟ ɛ t ɛ m ɛ k
tudománykedvelő	t u d o m aː ɲ k ɛ d v ɛ l øː
tudománykedvelők	t u d o m aː ɲ k ɛ d v ɛ l øː k
tudományok	t u d o m aː ɲ o k
tudományos	t u d o m aː ɲ o ʃ
tudományosabb	t u d o m aː ɲ o ʃ ɒ bː
tudományosan	t u d o m aː ɲ o ʃ ɒ n
tudományág	t u d o m aː ɲ aː ɡ
tudományágak	t u d o m aː ɲ aː ɡ ɒ k
tudomás	t u d o m aː ʃ
tudomása	t u d o m aː ʃ ɒ
tudomások	t u d o m aː ʃ o k
tudomásokat	t u d o m aː ʃ o k ɒ t
tudomást	t u d o m aː ʃ t
tudomásul	t u d o m aː ʃ u l
tudott	t u d o tː
tudsz	t u t͡sː
tudta	t u tː ɒ
tudtad	t u tː ɒ d
tudtak	t u tː ɒ k
tudtalak	t u tː ɒ l ɒ k
tudtam	t u tː ɒ m
tudtatok	t u tː ɒ t o k
tudtok	t u tː o k
tudtom	t u tː o m
tudtommal	t u tː o mː ɒ l
tudtuk	t u tː u k
tudtunk	t u tː u ŋ k
tudták	t u tː aː k
tudtál	t u tː aː l
tudtátok	t u tː aː t o k
tudunk	t u d u ŋ k
tudva	t u d v ɒ
tudás	t u d aː ʃ
tudása	t u d aː ʃ ɒ
tudásbázis	t u d aː ʒ b aː z i ʃ
tudások	t u d aː ʃ o k
tudásszomj	t u d aː ʃ s o m ʝ
tudásuk	t u d aː ʃ u k
tudásukat	t u d aː ʃ u k ɒ t
tudását	t u d aː ʃ aː t
tudó	t u d oː
tudós	t u d oː ʃ
tudósabb	t u d oː ʃ ɒ bː
tudósok	t u d oː ʃ o k
tudóst	t u d oː ʃ t
tudósít	t u d oː ʃ iː t
tukán	t u k aː n
tulaj	t u l ɒ j
tulajdon	t u l ɒ j d o n
tulajdona	t u l ɒ j d o n ɒ
tulajdonban	t u l ɒ j d o m b ɒ n
tulajdoni	t u l ɒ j d o n i
tulajdonképpen	t u l ɒ j d o ŋ k eː pː ɛ n
tulajdonnevek	t u l ɒ j d o nː ɛ v ɛ k
tulajdonnév	t u l ɒ j d o nː eː v
tulajdonnévből	t u l ɒ j d o nː eː v b øː l
tulajdonok	t u l ɒ j d o n o k
tulajdonos	t u l ɒ j d o n o ʃ
tulajdonosa	t u l ɒ j d o n o ʃ ɒ
tulajdonosai	t u l ɒ j d o n o ʃ ɒ j i
tulajdonosi	t u l ɒ j d o n o ʃ i
tulajdonosnő	t u l ɒ j d o n o ʃ n øː
tulajdonosnők	t u l ɒ j d o n o ʃ n øː k
tulajdonosok	t u l ɒ j d o n o ʃ o k
tulajdonság	t u l ɒ j d o n ʃ aː ɡ
tulajdonsága	t u l ɒ j d o n ʃ aː ɡ ɒ
tulajdonságai	t u l ɒ j d o n ʃ aː ɡ ɒ j i
tulajdonságait	t u l ɒ j d o n ʃ aː ɡ ɒ j i t
tulajdonságok	t u l ɒ j d o n ʃ aː ɡ o k
tulajdonú	t u l ɒ j d o n uː
tulipán	t u l i p aː n
tulipánok	t u l i p aː n o k
tulka	t u l k ɒ
tulok	t u l o k
tunika	t u n i k ɒ
tunisz	t u n i s
tunézia	t u n eː z i j ɒ
tupíroz	t u p iː r o z
turbina	t u r b i n ɒ
turbinák	t u r b i n aː k
turbán	t u r b aː n
turbánliliom	t u r b aː n l i l i j o m
turbánliliomok	t u r b aː n l i l i j o m o k
turbánok	t u r b aː n o k
turbános	t u r b aː n o ʃ
turbékol	t u r b eː k o l
turf	t u r f
turista	t u r i ʃ t ɒ
turisták	t u r i ʃ t aː k
turistákat	t u r i ʃ t aː k ɒ t
turisztika	t u r i s t i k ɒ
turisztikai	t u r i s t i k ɒ j i
turizmus	t u r i z m u ʃ
turmixgép	t u r m i ɡ z ɡ eː p
turné	t u r n eː
turolás	t u r o l aː ʃ
turul	t u r u l
tus	t u ʃ
tusa	t u ʃ ɒ
tusfürdő	t u ʃ f y r d øː
tuson	t u ʃ o n
tussal	t u ʃː ɒ l
tussá	t u ʃː aː
tust	t u ʃ t
tusák	t u ʃ aː k
tutaj	t u t ɒ j
tutajok	t u t ɒ j o k
tuti	t u t i
tuvalu	t u v ɒ l u
tv	t eː v eː
ty	c
ty	c eː
tyé	c eː
tyúk	c uː k
tyúkanyó	c uː k ɒ ɲ oː
tyúkanyók	c uː k ɒ ɲ oː k
tyúkok	c uː k o k
tyű	c yː
tyűha	c yː ɦ ɒ
tá	t aː
tábla	t aː b l ɒ
táblagép	t aː b l ɒ ɡ eː p
táblák	t aː b l aː k
táblán	t aː b l aː n
táblára	t aː b l aː r ɒ
táblát	t aː b l aː t
táblázat	t aː b l aː z ɒ t
táblázatban	t aː b l aː z ɒ d b ɒ n
táblázatok	t aː b l aː z ɒ t o k
táblázatot	t aː b l aː z ɒ t o t
tábor	t aː b o r
táborba	t aː b o r b ɒ
táborban	t aː b o r b ɒ n
táborból	t aː b o r b oː l
tábornok	t aː b o r n o k
tábornokok	t aː b o r n o k o k
táborok	t aː b o r o k
táborozik	t aː b o r o z i k
tábort	t aː b o r t
tábortűz	t aː b o r t yː z
tádzsik	t aː d͡ʒ i k
tádzsikisztán	t aː d͡ʒ i k i s t aː n
tág	t aː ɡ
tágabb	t aː ɡ ɒ bː
tágas	t aː ɡ ɒ ʃ
tágasabb	t aː ɡ ɒ ʃ ɒ bː
tágasan	t aː ɡ ɒ ʃ ɒ n
tágasság	t aː ɡ ɒ ʃː aː ɡ
tágul	t aː ɡ u l
tágulat	t aː ɡ u l ɒ t
tágulékony	t aː ɡ u l eː k o ɲ
tágít	t aː ɡ iː t
táj	t aː j
tájak	t aː j ɒ k
tájat	t aː j ɒ t
tájfun	t aː j f u n
tájfunok	t aː j f u n o k
tájkép	t aː j k eː p
tájképek	t aː j k eː p ɛ k
tájképfestő	t aː j k eː p f ɛ ʃ t øː
tájnyelv	t aː j ɲ ɛ l v
tájnyelvek	t aː j ɲ ɛ l v ɛ k
tájol	t aː j o l
tájon	t aː j o n
tájra	t aː j r ɒ
tájszólás	t aː j s oː l aː ʃ
tájszólások	t aː j s oː l aː ʃ o k
tájszótár	t aː j s oː t aː r
tájékoztat	t aː j eː k o s t ɒ t
tájékoztatni	t aː j eː k o s t ɒ t n i
tájékoztatás	t aː j eː k o s t ɒ t aː ʃ
tájékoztatása	t aː j eː k o s t ɒ t aː ʃ ɒ
tájékoztatási	t aː j eː k o s t ɒ t aː ʃ i
tájékoztatások	t aː j eː k o s t ɒ t aː ʃ o k
tájékoztatásokat	t aː j eː k o s t ɒ t aː ʃ o k ɒ t
tájékoztatást	t aː j eː k o s t ɒ t aː ʃ t
tájékoztató	t aː j eː k o s t ɒ t oː
tájékoztatót	t aː j eː k o s t ɒ t oː t
tájékozódik	t aː j eː k o z oː d i k
tákol	t aː k o l
tákolmány	t aː k o l m aː ɲ
tákolmányok	t aː k o l m aː ɲ o k
tál	t aː l
tálak	t aː l ɒ k
tálal	t aː l ɒ l
tálalhat	t aː l ɒ l ɦ ɒ t
tálaltam	t aː l ɒ l t ɒ m
tálban	t aː l b ɒ n
tálca	t aː l t͡s ɒ
tálcák	t aː l t͡s aː k
tálka	t aː l k ɒ
tálkák	t aː l k aː k
tályog	t aː j o ɡ
tályogok	t aː j o ɡ o k
támad	t aː m ɒ d
támadhat	t aː m ɒ t h ɒ t
támadok	t aː m ɒ d o k
támadott	t aː m ɒ d o tː
támadt	t aː m ɒ tː
támadás	t aː m ɒ d aː ʃ
támadások	t aː m ɒ d aː ʃ o k
támadásokat	t aː m ɒ d aː ʃ o k ɒ t
támadásokkal	t aː m ɒ d aː ʃ o kː ɒ l
támadásoktól	t aː m ɒ d aː ʃ o k t oː l
támadással	t aː m ɒ d aː ʃː ɒ l
támadást	t aː m ɒ d aː ʃ t
támadástól	t aː m ɒ d aː ʃ t oː l
támadó	t aː m ɒ d oː
támadók	t aː m ɒ d oː k
támasz	t aː m ɒ s
támaszkodik	t aː m ɒ s k o d i k
támaszkodva	t aː m ɒ s k o d v ɒ
támaszok	t aː m ɒ s o k
támaszpont	t aː m ɒ s p o n t
támaszt	t aː m ɒ s t
támasztja	t aː m ɒ s c ɒ
támasztott	t aː m ɒ s t o tː
támogat	t aː m o ɡ ɒ t
támogatja	t aː m o ɡ ɒ cː ɒ
támogatni	t aː m o ɡ ɒ t n i
támogatok	t aː m o ɡ ɒ t o k
támogatás	t aː m o ɡ ɒ t aː ʃ
támogatása	t aː m o ɡ ɒ t aː ʃ ɒ
