က	k a̰
ဝိဟာရ	w ḭ h à j a̰
ဝိုက်ချ	w a ɪ ʔ t͡ɕʰ a̰
ဝိုင်	w à ɪ ɴ
ဝိုင်ယာကြိုး	w à ɪ ɴ j à d͡ʑ ó
ဝိုင်း	w á ɪ ɴ
ဝိုးဝင်း	w ó w ɪ́ ɴ
ဝီကီပိဒိယ	w ì k ì p ḭ d ḭ j a̰
ဝီကီပီးဒီးယား	w ì k ì p í d í j á
ဝီစကီ	w ì s ə k ì
ဝီစီ	w ì s ì
ဝီထိ	w ì tʰ ḭ
ဝီရ	w ì j a̰
ဝီရိယ	w ə ɹ ḭ j a̰
ဝေဒနာ	w è d ə n à
ဝေယျာဝစ္စ	w è j à w ʊ ʔ s a̰
ဝေလ	w è l a̰
ဝေလငါး	w è l a̰ ŋ á
ဝေသာလီ	w è θ à l ì
ဝေဟင်	w è h ɪ̀ ɴ
ဝေါ	w ɔ́
ဝေါဟာရ	w ɔ́ h à ɹ a̰
ဝေါဟာရဗေဒ	θ a ʔ d a̰ b è d a̰
ဝေး	w é
ဝေးကွာ	w é k w à
ဝေဿ	w ɪ ʔ θ a̰
ဝေဿဘူ	w è t θ ə b ù
ဝေဿဘူဘုရား	w è t θ a̰ b ù pʰ ə j á
ဝံ	w ʊ̀ ɴ
ဝံပုလွေ	w ʊ̀ ɴ b ə l w è
ဝံပုလွေငယ်	w ʊ̀ ɴ p ə l w è ŋ ɛ̀
ဝံသ	w ʊ̀ ɴ θ a̰
ဝံသာနု	w ʊ̀ ɴ θ à n ṵ
ဝံသာနုရက္ခိတ	w ʊ̀ ɴ θ à n ṵ ɹ ɛ ʔ kʰ ḭ t a̰
ဝှက်	ʍ ɛ ʔ
ဝှက်ဖဲ	ʍ ɛ ʔ pʰ ɛ́
ဝှေးစေ့	ʍ é z ḭ
သ	θ a̰
သ	θ ə
သကာ	ð ə ɡ à
သကုဏဗေဒ	θ a̰ k ṵ n a̰ b è d a̰
သက္ကတ	θ ɛ ʔ k ə t a̰
သက္ကရာဇ်	θ ɛ ʔ k ə ɹ ɪ ʔ
သက်ဆိုင်	θ ɛ ʔ sʰ à ɪ ɴ
သက်တင်	θ ɛ ʔ t ɪ̀ ɴ
သက်တော်စောင့်	θ ɛ ʔ t ɔ̀ z a̰ ʊ ɴ
သက်တံ	θ ɛ ʔ t à ɴ
သက်သာ	θ ɛ ʔ θ à
သက်သေ	θ ɛ ʔ θ è
သက်ဦးဆံပိုင်	θ ɛ ʔ ʔ ú sʰ à ɴ b à ɪ ɴ
သကြား	ð ə d͡ʑ á
သကြားလုံး	ð ə d͡ʑ á l ó ʊ ɴ
သခင်	θ ə kʰ ɪ̀ ɴ
သခင်ဘုရား	θ ə kʰ ɪ̀ ɴ pʰ ə j á
သခွား	θ ə kʰ w á
သခွားမသီး	θ ə kʰ ə m a̰ ð í
သင်	θ ɪ̀ ɴ
သင်ကြား	θ ɪ̀ ɴ t͡ɕ á
သင်ခန်းစာ	θ ɪ̀ ɴ ɡ á ɴ z à
သင်တုန်းဓား	θ ɪ̀ ɴ d ó ʊ ɴ d á
သင်ပန်း	θ ɪ̀ ɴ b á ɴ
သင်ပေါင်း	θ ɪ̀ ɴ b á ʊ ɴ
သင်း	θ ɪ́ ɴ
သင်းဝင်	θ ɪ́ ɴ w ɪ̀ ɴ
သင်္ကဒူး	θ ɪ́ ɴ ɡ ə d ú
သင်္ကန်း	θ ɪ̀ ɴ ɡ á ɴ
သင်္ကေတ	θ ɪ̀ ɴ k è t a̰
သင်္ကြန်	θ ɪ́ ɴ t͡ɕ à ɴ
သင်္ကြန်စာ	θ ɪ́ ɴ d͡ʑ à ɴ z à
သင်္ကြန်ထမင်း	ð ə d͡ʑ à ɴ tʰ ə m ɪ́ ɴ
သင်္ကြန်ပန်း	θ ɪ́ ɴ d͡ʑ à ɴ p á ɴ
သင်္ကြန်မိုး	θ ɪ̀ ɴ d͡ʑ à ɴ m ó
သင်္ချာ	θ ɪ̀ ɴ t͡ɕʰ à
သင်္ချိုင်း	θ ɪ̀ ɴ d͡ʑ á ɪ ɴ
သင်္ဂဟ	θ ɪ̰ ɴ ɡ ə h a̰
သင်္ဂဟတရားလေးပါး	θ ɪ̀ ɴ ɡ a̰ h a̰ t a̰ j á l é p á
သင်္ဘော	θ ɪ́ ɴ b ɔ́
သင်္ဘောကြမ်း	θ ɪ̀ ɴ b ɔ́ d͡ʑ á ɴ
သင်္ဘောဆိပ်	θ ɪ̀ ɴ b ɔ́ z e ɪ ʔ
သင်္ဘောမညှိုးပန်း	θ ɪ́ ɴ b ɔ́ m ə ɲ̊ ó b á ɴ
သင်္ဘောသား	θ ɪ̀ ɴ b ɔ́ ð á
သင်္ဘောသီး	θ ɪ́ ɴ b ɔ́ ð í
သင်္ဘောသီးထောင်း	θ ɪ̀ ɴ b ɔ́ ð í tʰ á ʊ ɴ
သင်္ဘောသီးသုပ်	θ ɪ̀ ɴ b ɔ́ θ í θ o ʊ ʔ
သင်္သကရိုက်	θ ɪ̀ ɴ θ ə k ə ɹ a ɪ ʔ
သစ္စာ	θ ɪ ʔ s à
သစ္စာဖောက်	θ ɪ ʔ s à pʰ a ʊ ʔ
သစ္စာရှိ	θ ɪ ʔ s à ʃ ḭ
သစ္စာလေးပါး	θ ɪ ʔ s à l é p á
သစ်	θ ɪ ʔ
သစ်ကတိုး	θ ɪ ʔ ɡ ə d ó
သစ်ကုလားအုတ်	θ ɪ ʔ k ə l ə ʔ o ʊ ʔ
သစ်ကျုတ်	θ ɪ ʔ t͡ɕ o ʊ ʔ
သစ်ကြံပိုး	θ ɪ ʔ d͡ʑ ə b ó
သစ်ခွ	θ ɪ ʔ kʰ w a̰
သစ်ခွရည်	θ ɪ ʔ kʰ w a̰ j ì
သစ်စေး	s ɪ ʔ s í
သစ်ဆိမ့်	θ ɪ ʔ sʰ ḛ ɪ ɴ
သစ်တို	θ ɪ ʔ t ò
သစ်တော	θ ɪ ʔ t ɔ́
သစ်နက်	θ ɪ ʔ n ɛ ʔ
သစ်ပင်	θ ɪ ʔ p ɪ̀ ɴ
သစ်ပုပ်	θ ɪ ʔ p o ʊ ʔ
သစ်ဖြူ	θ ɪ ʔ pʰ j ù
သစ်သစ်	θ ɪ ʔ θ ɪ ʔ
သစ်သီး	θ ɪ ʔ θ í
သစ်သီးရည်	θ ɪ ʔ θ í j è
သဇင်	ð ə z ɪ̀ ɴ
သဉ္ဇာ	θ ɪ̀ ɴ z à
သဉ္ဇာလီ	θ ɪ̀ ɴ z à l ì
သည့်	t θ ḭ
သည်	θ è
သည်မှာ	ð ì m̥ à
သည်း	θ í
သည်းခြေ	θ í d͡ʑ è
သဏ္ဌာန်	θ ə d à ɴ
သတင်း	ð ə d ɪ́ ɴ
သတင်းစာ	ð ə d ɪ́ ɴ z à
သတင်းစာဆရာ	ð ə d ɪ́ ɴ z à sʰ ə j à
သတင်းထောက်	ð ə d ɪ́ ɴ d a ʊ ʔ
သတင်းပို့	ð ə d ɪ́ ɴ p o̰
သတိ	ð ə d ḭ
သတိထား	ð ə d ḭ tʰ á
သတို့သမီး	ð ə d o̰ θ ə m í
သတို့သား	ð ə d o̰ θ á
သတ္တ	θ a ʔ t a̰
သတ္တဂံ	θ a ʔ t ə ɡ à ɴ
သတ္တဗေဒ	θ a ʔ t a̰ b è d a̰
သတ္တမ	θ a ʔ t ə m a̰
သတ္တဝါ	θ a ʔ t ə w à
သတ္တသိန္ဓု	θ a ʔ t a̰ θ è ɪ ɴ d ṵ
သတ္တိ	θ a ʔ t ḭ
သတ္တု	θ a ʔ t ṵ
သတ္တုစပ်	θ a ʔ t ṵ z a ʔ
သတ္တုတွင်း	θ a ʔ t ṵ d w ɪ́ ɴ
သတ္တုဗေဒ	θ a ʔ t ṵ b è d a̰
သတ္တုရိုင်း	θ a ʔ t ṵ j á ɪ ɴ
သတ္ထန္တရကပ်	θ a ʔ tʰ à ɴ t ə ɹ a̰ k a ʔ
သတ်	θ a ʔ
သတ်ဖြတ်	θ a ʔ pʰ j a ʔ
သဒ္ဒဗေဒ	θ a ʔ d a̰ b è d a̰
သဒ္ဒါ	ð ə d à
သဒ္ဒါဆယ်ပါး	ð ə d à sʰ ɛ̀ b á
သဒ္ဒါရုံ	θ a ʔ d à j ò ʊ ɴ
သဒ္ဓါ	θ à d d à
သဒ္ဓါကြေး	θ ə d à t͡ɕ é
သနပ်	θ ə n a ʔ
သနပ်ခါး	θ ə n ə kʰ á
သနားတော်မူ	θ ə n á d ɔ̀ m ù
သန့်ရှင်း	θ a̰ ɴ ʃ ɪ́ ɴ
သန့်ရှင်းရေးသမား	θ a̰ ɴ ʃ ɪ́ ɴ j é ð ə m á
သန္တာ	θ à ɴ d à
သန္ဓေ	θ à ɴ d è
သန္ဓေဗေဒ	θ à ɴ d è b è d a̰
သန္ဓေသား	ð ə d è ð á
သန်ကောင်	θ à ɴ ɡ à ʊ ɴ
သန်တူ	θ à ɴ t ù
သန်လျက်	θ à ɴ j ɛ ʔ
သန်လျင်	θ ə ɲ ɪ̀ ɴ
သန်လျင်း	θ à ɴ l ə j ɪ́ ɴ
သန်လျင်းချိတ်	θ à ɴ j ɪ́ ɴ d͡ʑ e ɪ ʔ
သန်း	θ á ɴ
သန်းခေါင်	ð ə ɡ à ʊ ɴ
သန်းခေါင်ယံ	ð ə ɡ à ʊ ɴ j à ɴ
သပိတ်	ð ə b e ɪ ʔ
သပ်	θ a ʔ
သပြု	ð ə b j ṵ
သပြေ	ð ə b j è
သပြေတိုင်	ð ə b j è d à ɪ ɴ
သဘက်ခါ	θ ə b ɛ ʔ kʰ à
သဘင်	θ ə b ɪ̀ ɴ
သဘာပတိ	θ ə b à p ə t ḭ
သဘာဝ	ð ə b à w a̰
သဘာဝတ္ထဗေဒ	θ ə b à w ʊ ʔ tʰ a̰ b è d a̰
သဘော	ð ə b ɔ́
သဘောတူ	ð ə b ɔ́ t ù
သမ	θ ə m a̰
သမက်	θ ə m ɛ ʔ
သမဂ္ဂ	θ a̰ m ɛ ʔ ɡ a̰
သမင်	θ ə m ɪ̀ ɴ
သမင်မ	θ ə m ɪ̀ ɴ m a̰
သမတ	θ ə m ə d a̰
သမယ	θ ə m ə j a̰
သမဝါယမ	θ ə m a̰ w à j ə m a̰
သမာသမတ်	θ ə m à θ ə m a ʔ
သမား	θ ə m á
သမိန်	θ ə m è ɪ ɴ
သမိုင်း	θ ə m á ɪ ɴ
သမိုင်းမတိုင်မီခေတ်	θ ə m á ɪ ɴ m ə t à ɪ ɴ m ì kʰ ɪ ʔ
သမီး	θ ə m í
သမီးတော်	θ a̰ m í t ɔ̀
သမုဒ္ဒရာ	θ ə m o ʊ ʔ d ə j à
သမ္ဗန္ဓ	θ à ɴ b à ɴ d a̰
သမ္မတ	θ ə m ə d a̰
သမ္မတကတော်	θ ə m a̰ d a̰ ɡ ə d ɔ̀
သမ္မတနိုင်ငံ	θ ə m ə d a̰ n à ɪ ɴ ŋ à ɴ
သမ္မာကျမ်း	θ ə m à t͡ɕ á ɴ
သမ်း	θ á ɴ
သယောင်း	θ ə j á ʊ ɴ
သယံဇာတ	θ ə j à ɴ z à t a̰
သယ်	θ ɛ̀
သယ်ရင်း	θ ɛ̀ j ɪ́ ɴ
သရ	θ ə ɹ a̰
သရက်	θ ə j ɛ ʔ
သရက်ရွက်	θ ə j ɛ ʔ j w ɛ ʔ
သရက်သီးပူတင်း	θ ə j ɛ ʔ θ í p ù d ɪ́ ɴ
သရက်သီးသနပ်	θ ə j ɛ ʔ θ í θ a̰ n a ʔ
သရဏဂုံသုံးပါး	θ ə ɹ ə n ə ɡ ò ʊ ɴ θ ó ʊ ɴ b á
သရဏင်္ကရာ	θ ə ɹ ə n ɪ̀ ɴ k ə ɹ à
သရဏင်္ကရာဘုရား	θ ə ɹ ə n ɪ̀ ɴ k ə ɹ à pʰ ə j á
သရဖီ	θ ə ɹ ə pʰ ì
သရဖူ	θ ə ɹ ə pʰ ù
သရီရ	θ ə ɹ ì ɹ a̰
သရုပ်	θ ə j o ʊ ʔ
သရုပ်ဆောင်	θ ə j o ʊ ʔ sʰ à ʊ ɴ
သရုပ်ဖော်	θ ə j o ʊ ʔ pʰ ɔ̀
သရော	θ ə j ɔ́
သရော်	θ ə j ɔ̀
သရော်စာ	θ ə j ɔ̀ z à
သရဲ	θ ə j ɛ́
သလား	θ a̰ l á
သလိပ်	θ ə l e ɪ ʔ
သလုံး	θ ə l ó ʊ ɴ
သလဲသီး	θ ə l ɛ́ θ í
သလွဲ	θ ə l w ɛ́
သဝဏ်လွှာ	θ ə w ʊ̀ ɴ l̥ w à
သာဂူ	θ à ɡ ù
သာဂူပူတင်း	θ à ɡ ù p ù d ɪ́ ɴ
သာဂူပြင်	θ à ɡ ù b j ɪ̀ ɴ
သာဓက	θ à d a̰ k a̰
သာဓု	θ à d ṵ
သာမဏေ	θ à m ə n è
သာမိုမီတာ	θ à m ò m ì t à
သာယာ	θ à j à
သာယာဝတီ	θ à j à w ə d ì
သာရကာ	θ à ɹ ə k à
သာရိပုတ္တရာ	θ à j ḭ p o ʊ ʔ t ə j à
သာလိကာ	θ à l ḭ k à
သာဝက	θ à w ə k a̰
သာဝတ္ထိ	θ à w ʊ ʔ tʰ ḭ
သာသနာ	θ à ð ə n à
သာသနာ့အာဇာနည်	θ à θ ə n a̰ ʔ à z à n ì
သား	θ á
သားကြီး	θ á d͡ʑ í
သားတော်	θ á t ɔ̀
သားပိုက်ကောင်	θ á b a ɪ ʔ k à ʊ ɴ
သားပျက်	θ á p j ɛ ʔ
သားမြီးယပ်	θ á m j í j a ʔ
သားရေ	θ ə j è
သားလောင်း	θ á l á ʊ ɴ
သားလျှော	θ á ʃ ɔ́
သားလှောင်	θ á l̥ à ʊ ɴ
သားသတ်ရုံ	θ á ð a ʔ j ò ʊ ɴ
သားသတ်သမား	θ á θ a ʔ ð ə m á
သားအိမ်	θ ə ʔ è ɪ ɴ
သားအိမ်ခေါင်း	θ ə ʔ è ɪ ɴ ɡ á ʊ ɴ
သားအိမ်လမ်းကြောင်း	θ ə ʔ è ɪ ɴ l á ɴ d͡ʑ á ʊ ɴ
သားဥ	θ á ʔ ṵ
သားဥအိမ်	θ á ʔ ṵ ʔ è ɪ ɴ
သိ	θ ḭ
သိကြား	ð ə d͡ʑ á
သိခီဘုရား	θ ḭ kʰ ì pʰ ə j á
သိင်္ဂီ	θ è ɪ ɴ ɡ ì
သိထိလ	θ ḭ tʰ ḭ l a̰
သိဒ္ဓတ္ထ	θ e ɪ ʔ d a ʔ tʰ a̰
သိဒ္ဓတ္ထဘုရား	θ ì d d a ʔ tʰ a̰ pʰ ə j á
သိဒ္ဓတ်မင်း	θ e ɪ ʔ d a ʔ m ɪ́ ɴ
သိဒ္ဓိ	θ e ɪ ʔ d ḭ
သိန္ဓု	θ è ɪ ɴ d ṵ
သိန်	θ è ɪ ɴ
သိန်း	θ é ɪ ɴ
သိပ္ပံ	θ e ɪ ʔ p à ɴ
သိပ္ပံဘွဲ့	θ e ɪ ʔ p à ɴ b w ɛ̰
သိပ်	θ e ɪ ʔ
သိမ်	θ è ɪ ɴ
သိရှိ	θ ḭ ʃ ḭ
သိဝ	θ ḭ w a̰
သိဟ်	θ è ɪ ɴ
သိုက်	θ a ɪ ʔ
သို့ပေမဲ့	ð o̰ b è m ɛ̰
သို့မဟုတ်	ð o̰ m ə h o ʊ ʔ
သို့ရာတွင်	ð o̰ j à d w ɪ̀ ɴ
သို့သော်	ð o̰ ð ɔ̀
သိုး	θ ó
သိုးကလေး	θ ó kʰ ə l é
သိုးဆောင်း	θ ó sʰ á ʊ ɴ
သိုးထိန်း	θ ó d é ɪ ɴ
သိုးထီး	θ ó d í
သိုးမ	θ ó m a̰
သိုးမွေး	θ ó m w é
သိုးအုပ်	θ ó ʔ o ʊ ʔ
သီချင်း	θ ə t͡ɕʰ ɪ́ ɴ
သီဂိရိယ	θ ì ɡ ḭ ɹ ḭ j a̰
သီတဂူ	θ ì d ə ɡ ù
သီတင်း	ð ə d ɪ́ ɴ
သီတင်းကျွတ်	ð ə d ɪ́ ɴ d͡ʑ ʊ ʔ
သီတင်းသီလ	ð ə d ɪ́ ɴ θ ì l a̰
သီတာ	θ ì d à
သီတာဒေဝီ	θ ì d à d è w ì
သီရိ	θ ì ɹ ḭ
သီရိလင်္ကာ	θ ì ɹ ḭ l ɪ̀ ɴ k à
သီလ	θ ì l a̰
သီလရှင်	θ ì l a̰ ʃ ɪ̀ ɴ
သီဟ	θ ì h a̰
သီဟသူ	θ ì h a̰ θ ù
သီဟိုဠ်	θ ì h ò
သီဟိုဠ်စေ့	θ ì h ò z ḭ
သီဟိုဠ်သရက်	θ ì h ò θ ə j ɛ ʔ
သီအိုရီ	θ ì ʔ ò ɹ ì
သီး	θ í
သီးစုံချဉ်ရည်	θ í z ò ʊ ɴ t͡ɕʰ ɪ̀ ɴ j ì
သီးပင်	θ í b ɪ̀ ɴ
သီးမွှေး	θ í m̥ w é
သီးသီး	θ í ð í
သု	θ ṵ
သုက်	θ o ʊ ʔ
သုက်ကောင်	θ o ʊ ʔ k à ʊ ɴ
သုက်ပိုး	θ o ʊ ʔ p ó
သုက်ရည်	θ o ʊ ʔ j è
သုခ	θ ṵ kʰ a̰
သုခေါဒယ	θ ṵ kʰ ɔ́ d ə j a̰
သုဂတိ	θ ṵ ɡ ə d ḭ
သုဇာတဘုရား	θ ṵ z à t a̰ pʰ ə j á
သုည	θ ù ɲ ɲ a̰
သုတ	θ ṵ t a̰
သုတေသန	θ ṵ t è θ ə n a̰
သုတေသီ	θ ṵ t è θ ì
သုတ်	θ o ʊ ʔ
သုတ်သင်	θ o ʊ ʔ θ ɪ̀ ɴ
သုဒ္ဒ	θ o ʊ ʔ d a̰
သုဒ္ဒကိန်း	θ o ʊ ʔ d a̰ k é ɪ ɴ
သုဒ္ဒကြိယာ	θ o ʊ ʔ d a̰ k ə ɹ ḭ j à
သုဒ္ဓေါဒန	θ ù d d ɔ́ d ə n a̰
သုဓမ္မပူရ	θ ṵ d ə m a̰ p ù ɹ a̰
သုဓမ္မသိင်္ဂီ	θ ṵ d à ɴ m a̰ θ è ɪ ɴ ɡ ì
သုဓာ	θ o ʊ ʔ d à
သုန္ဒြေ	θ ò ʊ ɴ d ɹ è
သုပ်	θ o ʊ ʔ
သုဘူတိ	θ ṵ b ù t ḭ
သုမန	θ ṵ m ə n a̰
သုမနဘုရား	θ ṵ m ə n a̰ pʰ ə j á
သုမေဓာ	θ ṵ m è d à
သုမေဓာဘုရား	θ ṵ m è d à pʰ ə j á
သုဝဏ္ဏ	θ ṵ w ʊ̀ ɴ n a̰
သုဝဏ္ဏဘူမိ	θ ṵ w ʊ̀ ɴ n a̰ b ù m ḭ
သုသာန်	θ o ʊ ʔ θ à ɴ
သုံး	θ ó ʊ ɴ
သုံးစွဲ	θ ó ʊ ɴ s w ɛ́
သုံးစွဲသူ	θ ó ʊ ɴ s w ɛ́ ð ù
သုံးဆယ်	θ ó ʊ ɴ sʰ ɛ̀
သုံးဆောင်	θ ó ʊ ɴ sʰ à ʊ ɴ
သုံးပွင့်ဆိုင်	θ ó ʊ ɴ b w ɪ̰ ɴ sʰ à ɪ ɴ
သုံးလ	θ ó ʊ ɴ l a̰
သူ	θ ù
သူကောင်	θ ù ɡ à ʊ ɴ
သူကောင်တင်	θ ù ɡ à ʊ ɴ d ɪ̀ ɴ
သူကောင်း	θ ù ɡ á ʊ ɴ
သူကောင်းပြု	θ ù ɡ á ʊ ɴ p j ṵ
သူကောင်းမြှောက်	θ ù ɡ á ʊ ɴ m̥ j a ʊ ʔ
သူကောင်းသား	θ ù ɡ á ʊ ɴ ð á
သူကျက်	θ ù d͡ʑ ɛ ʔ
သူကြီး	θ ù d͡ʑ í
သူကြွယ်	θ ù t͡ɕ w ɛ̀
သူခိုး	θ ə kʰ ó
သူငယ်	θ ə ŋ ɛ̀
သူငယ်ချင်း	θ ə ŋ ɛ̀ d͡ʑ ɪ́ ɴ
သူငယ်စာ	θ ù ŋ ɛ̀ z à
သူငယ်တန်း	θ ù ŋ ɛ̀ d á ɴ
သူငယ်မ	θ ə ŋ ɛ̀ m a̰
သူစိမ်း	ð ə z é ɪ ɴ
သူစိမ်းတစ်ရံဆံ	ð ə z é ɪ ɴ t ə j à ɴ z à ɴ
သူဆင်းရဲ	θ ù sʰ ɪ́ ɴ j ɛ́
သူဇာ	θ ù z à
သူဌေး	θ ə tʰ é
သူတကာ	θ ù d ə ɡ à
သူတစ်ခွန်းငါတစ်ခွန်း	θ ù t ə kʰ ʊ́ ɴ ŋ à t ə kʰ ʊ́ ɴ
သူတစ်ထူး	θ ù t ə tʰ ú
သူတစ်ပါး	θ ù d ə b á
သူတစ်ပြန်ငါတစ်ပြန်	θ ù d ə b j à ɴ ŋ à d ə b j à ɴ
သူတစ်လူငါတစ်မင်း	θ ù t ə l ù ŋ à t ə m ɪ́ ɴ
သူတို့	θ ù d o̰
သူတောင်းစား	ð ə d á ʊ ɴ z á
သူတော်	θ ù d ɔ̀
သူတော်ကောင်း	θ ù d ɔ̀ ɡ á ʊ ɴ
သူတော်စင်	θ ù d ɔ̀ z ɪ̀ ɴ
သူတော်သူမြတ်	θ ù d ɔ̀ θ ù m j a ʔ
သူနာ	θ ù n à
သူနာတင်ကား	θ ù n à d ɪ̀ ɴ k á
သူနာတင်ယာဉ်	θ ù n à t ɪ̀ ɴ j ɪ̀ ɴ
သူနာပြု	θ ù n à b j ṵ
သူနိုင်ငါညှဉ်းလုပ်	θ ù n à ɪ ɴ ŋ à ɲ̊ ɪ́ ɴ l o ʊ ʔ
သူပုန်	ð ə b ò ʊ ɴ
သူပုန်ထ	ð ə b ò ʊ ɴ tʰ a̰
သူပုန်သူကန်	ð ə b ə ð ù ɡ à ɴ
သူပြောငါပြော	θ ù p j ɔ́ ŋ à p j ɔ́
သူဖုန်းစား	θ ù pʰ ó ʊ ɴ s á
သူမ	θ ù m a̰
သူမသာကိုယ်မသာ	θ ù m ə θ à k ò j m ə θ à
သူမသာငါမသာ	θ ù m ə θ à ŋ à m ə θ à
သူမိုက်	θ ù m a ɪ ʔ
သူများ	θ ù m j á
သူများနည်းတူ	θ ù m j á n í t ù
သူယုတ်မာ	θ ù j o ʊ ʔ m à
သူယောင်	θ ù j à ʊ ɴ
သူယောင်မယ်	θ ù j à ʊ ɴ m ɛ̀
သူရ	θ ù j a̰
သူရကန်	θ ù ɹ ə k à ɴ
သူရင်းငှား	θ ə j ɪ́ ɴ ŋ̊ á
သူရင်းတိုင်	θ ə j ɪ́ ɴ d à ɪ ɴ
သူရသတ္တိ	θ ù j a̰ θ a ʔ t ḭ
သူရိန်	θ ù j è ɪ ɴ
သူရိယ	θ ù ɹ ḭ j a̰
သူရိယမာသ	θ ù ɹ ḭ j a̰ m à θ a̰
သူရဲ	θ ə j ɛ́
သူရဲကောင်း	θ ù j ɛ́ ɡ á ʊ ɴ
သူရဲကြီး	θ ù j ɛ́ d͡ʑ í
သူရဲကြီးအလံ	θ ù j ɛ́ d͡ʑ í ʔ ə l à ɴ
သူရဲခို	θ ə j ɛ́ kʰ ò
သူရဲပြေး	θ ə j ɛ́ p j é
သူရဲဘောကြောင်	θ ə j ɛ́ b ɔ́ d͡ʑ à ʊ ɴ
သူရဲဘောနည်း	θ ə j ɛ́ b ɔ́ n í
သူရဿတီ	θ ù ɹ a̰ θ ə t ì
သူလိုငါလို	θ ù l ò ŋ à l ò
သူလျှို	ð ə ʃ ò
သူသူငါငါ	θ ù θ ù ŋ à ŋ à
သူသေ	θ ù θ è
သူဟောင်းစကား	θ ù h á ʊ ɴ z ə ɡ á
သူအို	θ ù ʔ ò
သူ့	θ ṵ
သေ	θ è
သေခြင်း	θ è d͡ʑ ɪ́ ɴ
သေတ္တာ	θ ɪ ʔ t à
သေနတ်	θ ə n a ʔ
သေနာပတိ	θ è n à p ə t ḭ
သော	θ ɔ́
သောက္ကတဲ	θ a ʊ ʔ k ə t ɛ́
သောက်	θ a ʊ ʔ
သောက်တော်ခွက်	θ a ʊ ʔ d ɔ̀ kʰ w ɛ ʔ
သောကြာ	θ a ʊ ʔ t͡ɕ à
သောကြာဂြိုဟ်	θ a ʊ ʔ t͡ɕ à d͡ʑ ò
သောင်း	θ á ʊ ɴ
သောင်းသောင်း	θ á ʊ ɴ ð á ʊ ɴ
သောတ	θ ɔ́ t a̰
သောတရှင်	θ ɔ́ t a̰ ʃ ɪ̀ ɴ
သောဘိတ	θ ɔ́ b ḭ t a̰
သောဘိတဘုရား	θ ɔ́ b ḭ t a̰ pʰ ə j á
သောမနဿ	θ ɔ́ m ə n a ʔ θ a̰
သောသော	θ ɔ́ ð ɔ́
သော့	θ ɔ̰
သော့တံ	θ ɔ̰ d à ɴ
သော်	ð ɔ̀
သော်တာ	θ ɔ̀ d à
သေး	θ é
သေးပေါက်	θ é p a ʊ ʔ
သဲ	θ ɛ́
သဲကန္တာရ	θ é ɡ à ɴ d à j a̰
သဲကျောက်	θ ɛ́ d͡ʑ a ʊ ʔ
သဲနာရီ	θ ɛ́ n à j ì
သဲ့သဲ့	θ ɛ̰ ð ɛ̰
သံ	θ à ɴ
သံကြိုး	θ à ɴ d͡ʑ ó
သံကြိုးစာ	θ à ɴ d͡ʑ ó z à
သံကြွပ်	θ à ɴ d͡ʑ ʊ ʔ
သံခေတ်	θ à ɴ kʰ ɪ ʔ
သံချပ်	θ ə d͡ʑ a ʔ
သံချေး	θ à ɴ d͡ʑ í
သံခွာ	θ à ɴ kʰ w à
သံဃာ	θ à ɴ ɡ à
သံစုံတီးဝိုင်း	θ à ɴ z ò ʊ ɴ t í w á ɪ ɴ
သံတမန်	θ à ɴ t ə m à ɴ
သံတော်ဆင့်	θ à ɴ d ɔ̀ z ɪ̰ ɴ
သံတွဲ	θ à ɴ d w ɛ́
သံပန်း	θ à ɴ b á ɴ
သံပရာ	θ à ɴ b ə j à
သံပရို	θ à ɴ b a̰ j ò
သံပေါက်	θ à ɴ b a ʊ ʔ
သံပြိုင်	θ à ɴ b j à ɪ ɴ
သံဖြူ	θ à ɴ b j ù
သံမဏိ	θ à ɴ m ə n ḭ
သံယောဇဉ်	θ à ɴ j ɔ́ z ɪ̀ ɴ
သံရုံး	θ à ɴ j ó ʊ ɴ
သံလမ်း	θ à ɴ l á ɴ
သံလမ်းရထား	θ à ɴ l á ɴ j ə tʰ á
သံလိုက်	θ à ɴ l a ɪ ʔ
သံလိုက်စက်ကွင်း	θ à ɴ l a ɪ ʔ s ɛ ʔ k w ɪ́ ɴ
သံလွင်	θ à ɴ l w ɪ̀ ɴ
သံဝါသ	θ à ɴ w à θ a̰
သံဝေဂ	θ à ɴ w è ɡ a̰
သံသယ	θ à ɴ θ ə j a̰
သံအမတ်	θ à ɴ ʔ ə m a ʔ
သံ့သံ့	θ a̰ ɴ ð a̰ ɴ
သျှင်	ʃ ɪ̀ ɴ
သျှမ်း	ʃ á ɴ
သျှောင်	j à ʊ ɴ
သွင်သွင်	θ w ɪ̀ ɴ ð w ɪ̀ ɴ
သွင်း	θ w ɪ́ ɴ
သွင်းကုန်	θ w ɪ́ ɴ ɡ ò ʊ ɴ
သွတ်	θ ʊ ʔ
သွတ်သွတ်	θ ʊ ʔ θ ʊ ʔ
သွန်	θ ʊ̀ ɴ
သွန်းသွန်း	θ ʊ́ ɴ ð ʊ́ ɴ
သွပ်	θ ʊ ʔ
သွား	θ w á
သွားကြားထိုးတံ	θ w á d͡ʑ á tʰ ó d à ɴ
သွားတိုက်ဆေး	θ w á d a ɪ ʔ sʰ é
သွားပွတ်တံ	ð ə b ʊ ʔ t à ɴ
သွားဖုံး	θ ə pʰ ó ʊ ɴ
