@	a̠ t̚ t o̞
パーカッション	p a̠ː k a̠ ɕː õ̞ ɴ
パー券	p a̠ː k ẽ̞ ɴ
ハーコー	h a̠ː k o̞ː
パーサー	p a̠ː s a̠ː
葉薊	h a̠ː z a̠ mʲ i
バージニア	b a̠ː ʑ i ɲ̟ i a̠
バージョン	b a̠ː ʑ õ̞ ɴ
パーセンテージ	p a̠ː s ẽ̞ n t e̞ː ʑ i
パーセント	p a̠ː s ẽ̞ n t o̞
バーター	b a̠ː t a̠ː
パーテーション	p a̠ː t e̞ː ɕ õ̞ ɴ
バーテン	b a̠ː t ẽ̞ ɴ
バーテンダー	b a̠ː t ẽ̞ n d a̠ː
ハート	h a̠ː t o̞
ハード	h a̠ː d o̞
バード	b a̠ː d o̞
パート	p a̠ː t o̞
ハードカバー	h a̠ː d o̞ k a̠ b a̠ː
ハードコア	h a̠ː d o̞ k o̞ a̠
パートナー	p a̠ː t o̞ n a̠ː
バーピー	b a̠ː pʲ iː
パーペキ	p a̠ː p e̞ kʲ i
バーボン	b a̠ː b õ̞ ɴ
パーマ	p a̠ː m a̠
パーマネント	p a̠ː m a̠ n ẽ̞ n t o̞
バーマン	b a̠ː m ã̠ ɴ
バーミー	b a̠ː mʲ iː
ハーモニー	h a̠ː m o̞ ɲ̟ iː
ハーモニカ	h a̠ː m o̞ ɲ̟ i k a̠
バーモント	b a̠ː m õ̞ n t o̞
パーリーピーポー	p a̠ː ɾʲ iː pʲ iː p o̞ː
パーリナイ	p a̠ː ɾʲ i n a̠ i
パーレン	p a̠ː ɾ ẽ̞ ɴ
バーロ	b a̠ː ɾ o̞
バーロー	b a̠ː ɾ o̞ː
はい	h a̠ i
灰	h a̠ i
肺	h a̠ i
by	b a̠ i
ばい	b a̠ i
バイ	b a̠ i
倍	b a̠ i
ぱい	p o̞ i
パイ	p a̠ i
杯一	p a̠ i i t͡ɕ i
灰色	h a̠ i i ɾ o̞
敗因	h a̠ i ĩ ɴ
売淫	b a̠ i ĩ ɴ
背泳	h a̠ i e̞ː
廃液	h a̠ i e̞ kʲ i
廃駅	h a̠ i e̞ kʲ i
ハイエナ	h a̠ i e̞ n a̠
肺炎	h a̠ i ẽ̞ ɴ
バイオテロ	b a̠ i o̞ t e̞ ɾ o̞
パイオニア	p a̠ i o̞ ɲ̟ i a̠
バイオリン	b a̠ i o̞ ɾʲ ĩ ɴ
バイオロジー	b a̠ i o̞ ɾ o̞ ʑ iː
倍音	b a̠ i õ̞ ɴ
配下	h a̠ i k a̠
俳画	h a̠ i ɡ a̠
梅花	b a̠ i k a̠
胚芽	h a̠ i ɡ a̠
パイカ	p a̠ i k a̠
ハイカー	h a̠ i k a̠ː
俳諧	h a̠ i k a̠ i
徘徊	h a̠ i k a̠ i
媒介	b a̠ i k a̠ i
灰貝	h a̠ i ɡ a̠ i
梅花方	b a̠ i k a̠ h o̞ː
梅花藻	b a̠ i k a̠ m o̞
ハイカラ	h a̠ i k a̠ ɾ a̠
灰殻	h a̠ i k a̠ ɾ a̠
廃刊	h a̠ i k ã̠ ɴ
稗官	h a̠ i k ã̠ ɴ
配管	h a̠ i k ã̠ ɴ
肺癌	h a̠ i ɡ ã̠ ɴ
配管工	h a̠ i k ã̠ ŋ k o̞ː
廃棄	h a̠ i kʲ i
排気	h a̠ i kʲ i
排気弁	h a̠ i kʲ i b ẽ̞ ɴ
廃墟	h a̠ i kʲ o̞
肺魚	h a̠ i ɡʲ o̞
背教	h a̠ i kʲ o̞ː
廃業	h a̠ i ɡʲ o̞ː
背教者	h a̠ i kʲ o̞ː ɕ a̠
排気量	h a̠ i kʲ i ɾʲ o̞ː
黴菌	b a̠ i kʲ ĩ ɴ
廃鶏	h a̠ i k e̞ː
拝啓	h a̠ i k e̞ː
背景	h a̠ i k e̞ː
拝見	h a̠ i k ẽ̞ ɴ
廃語	h a̠ i ɡ o̞
背後	h a̠ i ɡ o̞
はいこう	h a̠ i k o̞ː
廃校	h a̠ i k o̞ː
配合	h a̠ i ɡ o̞ː
廃工場	h a̠ i k o̞ː ʑ o̞ː
背後霊	h a̠ i ɡ o̞ ɾ e̞ː
廃材	h a̠ i z a̠ i
配剤	h a̠ i z a̠ i
灰皿	h a̠ i z a̠ ɾ a̠
廃止	h a̠ i ɕ i
配餌	h a̠ i ʑ i
ハイジニーナ	h a̠ i ʑ i ɲ̟ iː n a̠
廃車	h a̠ i ɕ a̠
敗者	h a̠ i ɕ a̠
歯医者	h a̠ i ɕ a̠
排除	h a̠ i ʑ o̞
賠償	b a̠ i ɕ o̞ː
賠償金	b a̠ i ɕ o̞ː kʲ ĩ ɴ
背信	h a̠ i ɕ ĩ ɴ
配信	h a̠ i ɕ ĩ ɴ
俳人	h a̠ i ʑ ĩ ɴ
陪審	b a̠ i ɕ ĩ ɴ
陪審員	b a̠ i ɕ ĩ ɰ̃ ĩ ɴ
配信者	h a̠ i ɕ ĩ ɰ̃ ɕ a̠
排擠	h a̠ i s e̞ː
排斥	h a̠ i s e̞ kʲ i
陪席判事	b a̠ i s e̞ kʲ i h ã̠ ɲ̟ d͡ʑ i
廃線	h a̠ i s ẽ̞ ɴ
擺線	h a̠ i s ẽ̞ ɴ
敗戦	h a̠ i s ẽ̞ ɴ
配線	h a̠ i s ẽ̞ ɴ
配膳	h a̠ i s ẽ̞ ɴ
焙煎	b a̠ i s ẽ̞ ɴ
パイセン	p a̠ i s ẽ̞ ɴ
敗戦者	h a̠ i s ẽ̞ ɰ̃ ɕ a̠
ハイソ	h a̠ i s o̞
敗訴	h a̠ i s o̞
敗走	h a̠ i s o̞ː
牌総	h a̠ i s o̞ː
配送	h a̠ i s o̞ː
肺臓	h a̠ i z o̞ː
倍増	b a̠ i z o̞ː
廃村	h a̠ i s õ̞ ɴ
バイソン	b a̠ i s õ̞ ɴ
Python	p a̠ i s õ̞ ɴ
排他	h a̠ i t a̠
売女	b a̠ i t a̠
敗退	h a̠ i t a̠ i
媒体	b a̠ i t a̠ i
鷂	h a̠ i t a̠ k a̠
排他形	h a̠ i t a̠ k e̞ː
排他的	h a̠ i t a̠ t e̞ kʲ i
煤炭	b a̠ i t ã̠ ɴ
ハイチ	h a̠ i t͡ɕ i
配置	h a̠ i t͡ɕ i
拝聴	h a̠ i t͡ɕ o̞ː
廃帝	h a̠ i t e̞ː
配点	h a̠ i t ẽ̞ ɴ
売店	b a̠ i t ẽ̞ ɴ
配電	h a̠ i d ẽ̞ ɴ
バイデン	b a̠ i d ẽ̞ ɴ
売電	b a̠ i d ẽ̞ ɴ
買電	b a̠ i d ẽ̞ ɴ
配電盤	h a̠ i d ẽ̞ m b ã̠ ɴ
バイト	b a̠ i t o̞
配当	h a̠ i t o̞ː
廃道	h a̠ i d o̞ː
配当金	h a̠ i t o̞ː kʲ ĩ ɴ
配糖体	h a̠ i t o̞ː t a̠ i
バイトテロ	b a̠ i t o̞ t e̞ ɾ o̞
ハイドラ	h a̠ i d o̞ ɾ a̠
バイナリ	b a̠ i n a̠ ɾʲ i
排日	h a̠ i ɲ̟ i t͡ɕ i
排尿	h a̠ i ɲ̟ o̞ː
背任	h a̠ i ɲ̟ ĩ ɴ
売人	b a̠ i ɲ̟ ĩ ɴ
背囊	h a̠ i n o̞ː
ぱいぱい	p a̠ i p a̠ i
バイバイ	b a̠ i b a̠ i
売買	b a̠ i b a̠ i
廃番	h a̠ i b ã̠ ɴ
廃盤	h a̠ i b ã̠ ɴ
白板	p a̠ i p ã̠ ɴ
配備	h a̠ i bʲ i
バイビー	b a̠ i bʲ iː
ハイビジョン	h a̠ i bʲ i ʑ õ̞ ɴ
肺病	h a̠ i bʲ o̞ː
廃品	h a̠ i ç ĩ ɴ
ハイファ	h a̠ i ɸ a̠
排便	h a̠ i b ẽ̞ ɴ
買弁	b a̠ i b ẽ̞ ɴ
灰塗れ	h a̠ i m a̠ mʲ i ɾ e̞
倍満	b a̠ i m ã̠ ɴ
俳名	h a̠ i m e̞ː
拝命	h a̠ i m e̞ː
売名	b a̠ i m e̞ː
背面	h a̠ i m ẽ̞ ɴ
培養	b a̠ i j o̞ː
ハイライト	h a̠ i ɾ a̠ i t o̞
ハイラリ	h a̠ i ɾ a̠ ɾʲ i
排卵	h a̠ i ɾ ã̠ ɴ
配慮	h a̠ i ɾʲ o̞
梅林	b a̠ i ɾʲ ĩ ɴ
悖戻	h a̠ i ɾ e̞ː
背戻	h a̠ i ɾ e̞ː
ハイレゾ	h a̠ i ɾ e̞ z o̞
廃炉	h a̠ i ɾ o̞
パイロット	p a̠ i ɾ o̞ t̚ t o̞
パイロン	p a̠ i ɾ õ̞ ɴ
パイン	p a̠ ĩ ɴ
パイント	p a̠ ĩ n t o̞
はえ	h a̠ e̞
蝿	h a̠ e̞
パエーリャ	p a̠ e̞ː ɾʲ a̠
はえ座	h a̠ e̞ z a̠
蝿叩き	h a̠ e̞ t a̠ t a̠ kʲ i
パエリア	p a̠ e̞ ɾʲ i a̠
包	p a̠ o̞
覇王	h a̠ o̞ː
羽音	h a̠ o̞ t o̞
羽織	h a̠ o̞ ɾʲ i
羽織袴	h a̠ o̞ ɾʲ i h a̠ k a̠ m a̠
ハカ	h a̠ k a̠
墓	h a̠ k a̠
破瓜	h a̠ k a̠
馬鹿	b a̠ k a̠
破壊	h a̠ k a̠ i
破戒	h a̠ k a̠ i
墓石	h a̠ k a̠ i ɕ i
羽交い締め	h a̠ ɡ a̠ i ʑ i m e̞
破壊者	h a̠ k a̠ i ɕ a̠
馬鹿貝	b a̠ k a̠ ɡ a̠ i
葉書	h a̠ ɡ a̠ kʲ i
はかげ	h a̠ k a̠ ɡ e̞
馬鹿げた	b a̠ k a̠ ɡ e̞ t a̠
ばかし	b a̠ k a̠ ɕ i
葉加瀬	h a̠ k a̠ s e̞
博多	h a̠ k a̠ t a̠
馬鹿力	b a̠ k a̠ ʑ i k a̠ ɾ a̠
バカチョン	b a̠ k a̠ t͡ɕ õ̞ ɴ
ばかっこいい	b a̠ k a̠ k̚ k o̞ iː
図った	h a̠ k a̠ t̚ t a̠
バカッター	b a̠ k a̠ t̚ t a̠ː
儚い	h a̠ k a̠ n a̠ i
鋼	h a̠ ɡ a̠ n e̞
墓場	h a̠ k a̠ b a̠
馬鹿馬鹿しい	b a̠ k a̠ b a̠ k a̠ ɕ i i
パカ弁	p a̠ k a̠ b ẽ̞ ɴ
袴	h a̠ k a̠ m a̠
墓マイラー	h a̠ k a̠ m a̠ i ɾ a̠ː
墓参り	h a̠ k a̠ m a̠ i ɾʲ i
馬鹿者	b a̠ k a̠ m o̞ n o̞
はかもり	h a̠ k a̠ m o̞ ɾʲ i
バカラ	b a̠ k a̠ ɾ a̠
馬鹿らしい	b a̠ k a̠ ɾ a̠ ɕ iː
秤	h a̠ k a̠ ɾʲ i
計り	h a̠ k a̠ ɾʲ i
ばかり	b a̠ k a̠ ɾʲ i
謀	h a̠ k a̠ ɾʲ i ɡ o̞ t o̞
馬韓	b a̠ k ã̠ ɴ
破棄	h a̠ kʲ i
覇気	h a̠ kʲ i
バギオ	b a̠ ɡʲ i o̞
吐き気	h a̠ kʲ i̥ k e̞
バギナ	b a̠ ɡʲ i n a̠
はきはき	h a̠ kʲ i h a̠ kʲ i
ばきばき	b a̠ kʲ i b a̠ kʲ i
萩猿子	h a̠ ɡʲ i m a̠ ɕ i k o̞
履物	h a̠ kʲ i m o̞ n o̞
は行	h a̠ ɡʲ o̞ː
ぱ行	p a̠ ɡʲ o̞ː
ば行	b a̠ ɡʲ o̞ː
はぎれ	h a̠ ɡʲ i ɾ e̞
刷毛	h a̠ k e̞
捌け	h a̠ k e̞
禿	h a̠ ɡ e̞
禿げ	h a̠ ɡ e̞
パケ	p a̠ k e̞
禿鸛	h a̠ ɡ e̞ k o̞ː
パケ死	p a̠ k e̞ ɕ i
激しい	h a̠ ɡ e̞ ɕ i i
禿鷹	h a̠ ɡ e̞ t a̠ k a̠
バケット	b a̠ k e̞ t̚ t o̞
バゲット	b a̠ ɡ e̞ t̚ t o̞
パケット	p a̠ k e̞ t̚ t o̞
禿同	h a̠ ɡ e̞ d o̞ː
化け猫	b a̠ k e̞ n e̞ k o̞
化け物	b a̠ k e̞ m o̞ n o̞
ばけもん	b a̠ k e̞ m õ̞ ɴ
派遣	h a̠ k ẽ̞ ɴ
覇権	h a̠ k ẽ̞ ɴ
馬券	b a̠ k ẽ̞ ɴ
罵言	b a̠ ɡ ẽ̞ ɴ
箱	h a̠ k o̞
羽子	h a̠ ɡ o̞
羽子板	h a̠ ɡ o̞ i t a̠
箱入り	h a̠ k o̞ i ɾʲ i
波高	h a̠ k o̞ː
爬行	h a̠ k o̞ː
跛行	h a̠ k o̞ː
はこうま	h a̠ k o̞ː m a̠
はこおし	h a̠ k o̞ o̞ ɕ i
はこがい	h a̠ k o̞ ɡ a̠ i
はこせこ	h a̠ k o̞ s e̞ k o̞
歯応え	h a̠ ɡ o̞ t a̠ e̞
函館	h a̠ k o̞ d a̠ t e̞
運び屋	h a̠ k o̞ bʲ i j a̠
繁縷	h a̠ k o̞ b e̞
羽衣	h a̠ ɡ o̞ ɾ o̞ m o̞
羽衣藻	h a̠ ɡ o̞ ɾ o̞ m o̞ m o̞
稲架	h a̠ s a̠
バザー	b a̠ z a̠ː
ハザード	h a̠ z a̠ː d o̞
破砕	h a̠ s a̠ i
はさき	h a̠ s a̠ kʲ i
バ先	b a̠ s a̠ kʲ i
馬刺し	b a̠ s a̠ ɕ i
𨑕田	h a̠ z a̠ d a̠
ぱさぱさ	p a̠ s a̠ p a̠ s a̠
狭間	h a̠ z a̠ m a̠
はさみ	h a̠ s a̠ mʲ i
鋏	h a̠ s a̠ mʲ i
バサリョテ	b a̠ s a̠ ɾʲ o̞ t e̞
破産	h a̠ s ã̠ ɴ
巴市	h a̠ ɕ i
橋	h a̠ ɕ i
波斯	h a̠ ɕ i
端	h a̠ ɕ i
箸	h a̠ ɕ i
恥	h a̠ ʑ i
把持	h a̠ ʑ i
箸置き	h a̠ ɕ i o̞ kʲ i
弾き	h a̠ ʑ i kʲ i
梯子	h a̠ ɕ i ɡ o̞
はしご酒	h a̠ ɕ i ɡ o̞ z a̠ k e̞
はしごしゃ	h a̠ ɕ i ɡ o̞ ɕ a̠
はしご高	h a̠ ɕ i ɡ o̞ d a̠ k a̠
はじさらし	h a̠ ʑ i s a̠ ɾ a̠ ɕ i
端女郎	h a̠ ɕ i ʑ o̞ ɾ o̞ː
ばした	b a̠ ɕ i t a̠
橋田	h a̠ ɕ i d a̠
端たない	h a̠ ɕ i t a̠ n a̠ i
端女	h a̠ ɕ i̥ t a̠ m e̞
端っこ	h a̠ ɕ i k̚ k o̞
ばしっと	b a̠ ɕ i t̚ t o̞
丁香花	h a̠ ɕ i d o̞ i
端端	h a̠ ɕ i b a̠ ɕ i
榛	h a̠ ɕ i b a̠ mʲ i
嘴広鸛	h a̠ ɕ i bʲ i ɾ o̞ k o̞ː
はじまり	h a̠ ʑ i m a̠ ɾʲ i
始まり	h a̠ ʑ i m a̠ ɾʲ i
初め	s o̞ m e̞
始め	h a̠ ʑ i m e̞
始めた	h a̠ ʑ i m e̞ t a̠
初めて	h a̠ ʑ i m e̞ t e̞
始めて	h a̠ ʑ i m e̞ t e̞
初めまして	h a̠ ʑ i m e̞ m a̠ ɕ i̥ t e̞
始めましょう	h a̠ ʑ i m e̞ m a̠ ɕ o̞ː
橋本	h a̠ ɕ i m o̞ t o̞
覇者	h a̠ ɕ a̠
馬車	b a̠ ɕ a̠
パシャ	p a̠ ɕ a̠
破邪顕正	h a̠ ʑ a̠ k ẽ̞ ɰ̃ ɕ o̞ː
ばしゃばしゃ	b a̠ ɕ a̠ b a̠ ɕ a̠
パジャマ	p a̠ ʑ a̠ m a̠
場所	b a̠ ɕ o̞
芭蕉	b a̠ ɕ o̞ː
柱	h a̠ ɕ i ɾ a̠
柱時計	h a̠ ɕ i ɾ a̠ d o̞ k e̞ː
走り	h a̠ ɕ i ɾʲ i
パシリ	p a̠ ɕ i ɾʲ i
バシリカ	b a̠ ɕ i ɾʲ i k a̠
走り書き	h a̠ ɕ i ɾʲ i ɡ a̠ kʲ i
走高跳	h a̠ ɕ i ɾʲ i t a̠ k a̠ t o̞ bʲ i
はしりはばとび	h a̠ ɕ i ɾʲ i h a̠ b a̠ t o̞ bʲ i
はしりや	h a̠ ɕ i ɾʲ i j a̠
羽瀬	h a̠ s e̞
長谷	h a̠ s e̞
派生	h a̠ s e̞ː
罵声	b a̠ s e̞ː
派生語	h a̠ s e̞ː ɡ o̞
爆ぜ弾	h a̠ z e̞ d a̠ m a̠
パセリ	p a̠ s e̞ ɾʲ i
バセンジー	b a̠ s ẽ̞ ɲ̟ d͡ʑ iː
把総	h a̠ s o̞ː
パソコン	p a̠ s o̞ k õ̞ ɴ
破損	h a̠ s õ̞ ɴ
はた	h a̠ t a̠
旗	h a̠ t a̠
羽太	h a̠ t a̠
肌	h a̠ d a̠
バター	b a̠ t a̠ː
ばたあし	b a̠ t a̠ a̠ ɕ i
はだいろ	h a̠ d a̠ i ɾ o̞
はだえ	h a̠ d a̠ e̞
機織り業	h a̠ t a̠ o̞ ɾʲ i ɡʲ o̞ː
裸	h a̠ d a̠ k a̠
裸一貫	h a̠ d a̠ k a̠ i k̚ k ã̠ ɴ
裸の王様	h a̠ d a̠ k a̠ n o̞ o̞ː s a̠ m a̠
裸火	h a̠ d a̠ k a̠ bʲ i
裸参り	h a̠ d a̠ k a̠ m a̠ i ɾʲ i
はたき	h a̠ t a̠ kʲ i
肌着	h a̠ d a̠ ɡʲ i
叩き込み	h a̠ t a̠ kʲ i k o̞ mʲ i
畑	h a̠ t a̠ k e̞
はたけちがい	h a̠ t a̠ k e̞ t͡ɕ i ɡ a̠ i
パタゴニア	p a̠ t a̠ ɡ o̞ ɲ̟ i a̠
旗竿	h a̠ t a̠ z a̠ o̞
裸足	h a̠ d a̠ ɕ i
果たし状	h a̠ t a̠ ɕ i ʑ o̞ː
果たして	h a̠ t a̠ ɕ i̥ t e̞
二十歳	h a̠ t a̠ t͡ɕ i
畑地	h a̠ t a̠ t͡ɕ i
はたと	h a̠ t a̠ t o̞
畑中	h a̠ t a̠ n a̠ k a̠
畠中	h a̠ t a̠ n a̠ k a̠
秦野	h a̠ d a̠ n o̞
鰰	h a̠ t a̠ h a̠ t a̠
鱩	h a̠ t a̠ h a̠ t a̠
ぱたぱた	p a̠ t a̠ p a̠ t a̠
ばたばた	b a̠ t a̠ b a̠ t a̠
旗本	h a̠ t a̠ m o̞ t o̞
働いて	h a̠ t a̠ ɾ a̠ i t e̞
働き	h a̠ t a̠ ɾ a̠ kʲ i
はたらきあり	h a̠ t a̠ ɾ a̠ kʲ i a̠ ɾʲ i
働き者	h a̠ t a̠ ɾ a̠ kʲ i m o̞ n o̞
はたり	h a̠ t a̠ ɾʲ i
破綻	h a̠ t ã̠ ɴ
破談	h a̠ d ã̠ ɴ
パタン	p a̠ t ã̠ ɴ
バタンッ	b a̠ t ã̠ ɰ̃
パタンナー	p a̠ t ã̠ nː a̠ː
八	h a̠ t͡ɕ i
蜂	h a̠ t͡ɕ i
鈸	h a̠ t͡ɕ i
鉢	h a̠ t͡ɕ i
ばち	b a̠ t͡ɕ i
撥	b a̠ t͡ɕ i
桴	b a̠ t͡ɕ i
罰	b a̠ t͡ɕ i
ぱち	p a̠ t͡ɕ i
ばちあたり	b a̠ t͡ɕ i a̠ t a̠ ɾʲ i
場違い	b a̠ t͡ɕ i ɡ a̠ i
鉢金	h a̠ t͡ɕ i ɡ a̠ n e̞
バチカン	b a̠ t͡ɕ i k ã̠ ɴ
八時	h a̠ t͡ɕ i ʑ i
八道	h a̠ t͡ɕ i d o̞ː
蜂鳥	h a̠ t͡ɕ i d o̞ ɾʲ i
八年	h a̠ t͡ɕ i n ẽ̞ ɴ
はちのこ	h a̠ t͡ɕ i n o̞ k o̞
ぱちぱち	p a̠ t͡ɕ i̥ p a̠ t͡ɕ i
鉢巻	h a̠ t͡ɕ i m a̠ kʲ i
八幡	h a̠ t͡ɕ i m ã̠ ɴ
はちゃめちゃ	h a̠ t͡ɕ a̠ m e̞ t͡ɕ a̠
パチ屋	p a̠ t͡ɕ i j a̠
波長	h a̠ t͡ɕ o̞ː
八里半	h a̠ t͡ɕ i ɾʲ i h ã̠ ɴ
パチンコ	p a̠ t͡ɕ ĩ ŋ k o̞
客家	h a̠ k̚ k a̠
発火	h a̠ k̚ k a̠
薄荷	h a̠ k̚ k a̠
ばっか	b a̠ k̚ k a̠
ハッカー	h a̠ k̚ k a̠ː
八回	h a̠ k̚ k a̠ i
白海	h a̠ k̚ k a̠ i
客家語	h a̠ k̚ k a̠ ɡ o̞
ハッカソン	h a̠ k̚ k a̠ s õ̞ ɴ
八哥鳥	h a̠ k̚ k a̠ t͡ɕ o̞ː
ばっかり	b a̠ k̚ k a̠ ɾʲ i
発刊	h a̠ k̚ k ã̠ ɴ
発汗	h a̠ k̚ k ã̠ ɴ
白鷴	h a̠ k̚ k ã̠ ɴ
発汗剤	h a̠ k̚ k ã̠ n d͡z a̠ i
発揮	h a̠ k̚ʲ kʲ i
発狂	h a̠ k̚ʲ kʲ o̞ː
はっきり	h a̠ k̚ʲ kʲ i ɾʲ i
発禁	h a̠ k̚ʲ kʲ ĩ ɴ
白金	h a̠ k̚ʲ kʲ ĩ ɴ
罰金	b a̠ k̚ʲ kʲ ĩ ɴ
発禁本	h a̠ k̚ʲ kʲ ĩ m b õ̞ ɴ
八卦	h a̠ k̚ k e̞
パッケージ	p a̠ k̚ k e̞ː ʑ i
八卦掌	h a̠ k̚ k e̞ ɕ o̞ː
はっけよい	h a̠ k̚ k e̞ j o̞ i
発券	h a̠ k̚ k ẽ̞ ɴ
発見	h a̠ k̚ k ẽ̞ ɴ
白鍵	h a̠ k̚ k ẽ̞ ɴ
八個	h a̠ k̚ k o̞
跋扈	b a̠ k̚ k o̞
八紘	h a̠ k̚ k o̞ː
八荒	h a̠ k̚ k o̞ː
発光	h a̠ k̚ k o̞ː
発効	h a̠ k̚ k o̞ː
発行	h a̠ k̚ k o̞ː
発酵	h a̠ k̚ k o̞ː
白光	h a̠ k̚ k o̞ː
発光ダイオード	h a̠ k̚ k o̞ː d a̠ i o̞ː d o̞
発災	h a̠ sː a̠ i
伐採	b a̠ sː a̠ i
ばっさり	b a̠ sː a̠ ɾʲ i
発散	h a̠ sː ã̠ ɴ
抜歯	b a̠ ɕː i
抜糸	b a̠ ɕː i
発射	h a̠ ɕː a̠
発車	h a̠ ɕː a̠
発射台	h a̠ ɕː a̠ d a̠ i
ハッショ	h a̠ ɕː o̞
発症	h a̠ ɕː o̞ː
八正道	h a̠ ɕː o̞ː d o̞ː
パッション	p a̠ ɕː õ̞ ɴ
発信	h a̠ ɕː ĩ ɴ
発進	h a̠ ɕː ĩ ɴ
発声	h a̠ sː e̞ː
発生	h a̠ sː e̞ː
バッセン	b a̠ sː ẽ̞ ɴ
八仙花	h a̠ sː ẽ̞ ŋ k a̠
発想	h a̠ sː o̞ː
発送	h a̠ sː o̞ː
抜爪	b a̠ sː o̞ː
バッター	b a̠ t̚ t a̠ː
ハッタショ	h a̠ t̚ t a̠ ɕ o̞
ハッタッショ	h a̠ t̚ t a̠ ɕː o̞
はったり	h a̠ t̚ t a̠ ɾʲ i
ばったり	b a̠ t̚ t a̠ ɾʲ i
ばっち	b a̠ t̚ t͡ɕ i
ばっちい	b a̠ t̚ t͡ɕ iː
パッチギ	p a̠ t̚ t͡ɕ i ɡʲ i
ばっちし	b a̠ t̚ t͡ɕ i ɕ i
八丁	h a̠ t̚ t͡ɕ o̞ː
ばっちり	b a̠ t̚ t͡ɕ i ɾʲ i
抜擢	b a̠ t̚ t e̞ kʲ i
バッテラ	b a̠ t̚ t e̞ ɾ a̠
バッテリー	b a̠ t̚ t e̞ ɾʲ iː
発展	h a̠ t̚ t ẽ̞ ɴ
発展的	h a̠ t̚ t ẽ̞ n t e̞ kʲ i
はっと	h a̠ t̚ t o̞
ハット	h a̠ t̚ t o̞
法度	h a̠ t̚ t o̞
ばっと	b a̠ t̚ t o̞
バット	b a̠ t̚ t o̞
ぱっと	p a̠ t̚ t o̞
パット	p a̠ t̚ t o̞
抜刀	b a̠ t̚ t o̞ː
はっとうしん	h a̠ t̚ t o̞ː ɕ ĩ ɴ
バットおり	b a̠ t̚ t o̞ː ɾʲ i
バットマン	b a̠ t̚ t o̞ m ã̠ ɴ
パッパ	p a̠ p̚ p a̠
葉っぱ	h a̠ p̚ p a̠
法被	h a̠ p̚ʲ pʲ i
潑皮	h a̠ p̚ʲ pʲ i
発表	h a̠ p̚ʲ pʲ o̞ː
発表会	h a̠ p̚ʲ pʲ o̞ː k a̠ i
八方	h a̠ p̚ p o̞ː
発泡	h a̠ p̚ p o̞ː
発砲	h a̠ p̚ p o̞ː
八宝菜	h a̠ p̚ p o̞ː s a̠ i
八方美人	h a̠ p̚ p o̞ː bʲ i ʑ ĩ ɴ
抜本的	b a̠ p̚ p õ̞ n t e̞ kʲ i
はて	h a̠ t e̞
果て	h a̠ t e̞
涯	h a̠ t e̞
派手	h a̠ d e̞
パテ	p a̠ t e̞
果てしない	h a̠ t e̞ ɕ i n a̠ i
はてな	h a̠ t e̞ n a̠
ばてれん	b a̠ t e̞ ɾ ẽ̞ ɴ
破天荒	h a̠ t ẽ̞ ŋ k o̞ː
鳩	h a̠ t o̞
バド	b a̠ d o̞
抜頭	b a̠ t o̞ː
波動	h a̠ d o̞ː
罵倒	b a̠ t o̞ː
馬頭琴	b a̠ t o̞ː kʲ ĩ ɴ
パトカー	p a̠ t o̞ k a̠ː
はとこ	h a̠ t o̞ k o̞
鳩時計	h a̠ t o̞ d o̞ k e̞ː
パトナ	p a̠ t o̞ n a̠
波止場	h a̠ t o̞ b a̠
はとぽっぽ	h a̠ t o̞ p o̞ p̚ p o̞
バドミントン	b a̠ d o̞ mʲ ĩ n t õ̞ ɴ
歯止め	h a̠ d o̞ m e̞
バトン	b a̠ t õ̞ ɴ
洟	h a̠ n a̠
花	h a̠ n a̠
鼻	h a̠ n a̠
バナー	b a̠ n a̠ː
鼻息	h a̠ n a̠ i kʲ i
花一匁	h a̠ n a̠ i t͡ɕ i m õ̞ mː e̞
パナイ島	p a̠ n a̠ i t o̞ː
花江	h a̠ n a̠ e̞
はなお	h a̠ n a̠ o̞
花形	h a̠ n a̠ ɡ a̠ t a̠
鼻紙	h a̠ n a̠ ɡ a̠ mʲ i
はなから	h a̠ n a̠ k a̠ ɾ a̠
花柄	h a̠ n a̠ ɡ a̠ ɾ a̠
鼻毛	h a̠ n a̠ ɡ e̞
はなことば	h a̠ n a̠ k o̞ t o̞ b a̠
花暦	h a̠ n a̠ ɡ o̞ j o̞ mʲ i
はなざかり	h a̠ n a̠ z a̠ k a̠ ɾʲ i
鼻先	h a̠ n a̠ s a̠ kʲ i
話さない	h a̠ n a̠ s a̠ n a̠ i
はなざめ	h a̠ n a̠ z a̠ m e̞
話	h a̠ n a̠ ɕ i
話し	h a̠ n a̠ ɕ i
パナジ	p a̠ n a̠ ʑ i
話し合い	h a̠ n a̠ ɕ i a̠ i
噺家	h a̠ n a̠ ɕ i k a̠
はなしがい	h a̠ n a̠ ɕ i ɡ a̠ i
話し方	h a̠ n a̠ ɕ i k a̠ t a̠
はなしことば	h a̠ n a̠ ɕ i k o̞ t o̞ b a̠
話し手	h a̠ n a̠ ɕ i t e̞
話せない	h a̠ n a̠ s e̞ n a̠ i
花園	h a̠ n a̠ z o̞ n o̞
縹	h a̠ n a̠ d a̠
花大根	h a̠ n a̠ d a̠ i k õ̞ ɴ
縹色	h a̠ n a̠ d a̠ i ɾ o̞
花蓼	h a̠ n a̠ t a̠ d e̞
