aba	a b a
provizo	p ɾ o β i s o̝
proxecto	p ɾ o ʃ e k t o
próximo	p ɾ ɔ k s i m o
prudente	p ɾ u d e n t e
prudente	p ɾ u d ɛ n t e
prudentes	p ɾ u d e n t e s
prudentes	p ɾ u d ɛ n t e s
psiquiátrico	s i k j a t ɾ i k o
publicar	p u b l i k a ɾ
público	p u b l i k o
pucho	p u t͡ʃ o
pudibundo	p u d i b u n d o
pudico	p u d i k o
púdico	p u d i k o
pudoroso	p u d o ɾ o s o
pufista	p u f i s t a
pufo	p u f o
puga	p u ɣ a̝
pular	p u l a ɾ
pulga	p u l ɡ a
pulga	p u l ɡ a
pulga	p u l ħ a
pulmón	p u l m o ŋ
pulpillo	p u l p i ʎ o̝
pulseira	p u l s e j ɾ a
pulso	p u l s o
punición	p u n i θ j o ŋ
punición	p u n i θ j o ŋ
punición	p u n i s j o ŋ
punir	p u n i ɾ
punta	p u n t a
punto	p u n t o
puñal	p u ɲ a l
puñar	p u ɲ a ɾ
puño	p u ɲ o
purifica	p u ɾ i f i k a
purificación	p u ɾ i f i k a θ j o ŋ
purificación	p u ɾ i f i k a θ j o ŋ
purificación	p u ɾ i f i k a s j o ŋ
puro	p u ɾ o
púrpura	p u ɾ p u ɾ a
pus	p u s
puta	p u t a
puxa	p u ʃ a
puxer	p u ʃ ɛ ɾ
que	k ɪ
quebra	k ɛ b ɾ a
quebradizo	k e b ɾ a d i θ o
quebradizo	k e b ɾ a d i θ o
quebradizo	k e b ɾ a d i s o
quecer	k ɛ θ e ɾ
quecer	k ɛ s e ɾ
quedar	k e d a ɾ
quedo	k e d o
queijo	k e j ʃ o
queimada	k e j m a ð a̝
queimadura	k e j m a ð u ɾ ɐ
queimar	k e j m a ɾ
queiro	k e j ɾ o̝
queixa	k e j ʃ a
queixada	k e j ʃ a d a
queixar	k e j ʃ a ɾ
queixo	k e j ʃ o
queixume	k e j ʃ u m e̝
quella	k ɛ ɟ a
quen	k e ŋ
quenda	k ɛ n d a̝
quenlla	k ɛ n ɟ a
quenlle	k ɛ n ʎ e̝
quente	k ɛ n t e
quer	k ɛ ɾ
quere	k ɛ ɾ e
querela	k e ɾ e l a̝
queremos	k e ɾ e m ʊ s
querer	k e ɾ e ɾ
quero	k ɛ ɾ o
quérote	k ɛ ɾ o t e
querubín	k e ɾ u b i ŋ
quiabo	k j a b o
quieto	k j ɛ t o
quilla	k i ɟ a
quilómetro	k i l ɔ m ɛ t ɾ o
quince	k i n θ e
quince	k i n θ e
quince	k i n s e
quinteiro	k i n t e j ɾ o̝
quita	k i t a
quitamerendas	k i t a m e ɾ e n d a̝ s
quitas	k i t a s
quizá	k i θ a
quizá	k i θ a
quizá	k i s a
ra	r a
rá	r aː
rabaño	r a b a ɲ o
rabela	r a b ɛ l a
rabia	r a b j a
rabiar	r a β j a ɾ
rabilongo	r a β i l o ŋ ɡ o̝
rabiza	r a b i θ a
rabiza	r a b i θ a
rabiza	r a b i s a
rabo	r a b o
rabuña	r a b u ɲ a
rabuñada	r a b u ɲ a d a
rabuñar	r a β u ɲ a ɾ
rabuxa	r a b u ʃ a
rabuxento	r a b u ʃ e n t o
rabuxento	r a b u ʃ ɛ n t o
racha	r a t͡ʃ a
rachar	r a t͡ʃ a ɾ
racho	r a t͡ʃ o
racial	r a θ j a l
racial	r a θ j a l
racial	r a s j a l
ración	r a θ j o ŋ
ración	r a θ j o ŋ
ración	r a s j o ŋ
racional	r a θ j o n a l
racional	r a θ j o n a l
racional	r a s j o n a l
racismo	r a θ i s m o
racismo	r a θ i s m o
racismo	r a s i s m o
radar	r a d a ɾ
radical	r a d i k a l
radicalismo	r a d i k a l i s m o
radiografía	r a d j o ɡ ɾ a f i a
radiografía	r a d j o ɡ ɾ a f i a
radiografía	r a d j o ħ ɾ a f i a
raer	r a e ɾ
rafar	r a f a ɾ
raiar	r a j a ɾ
raíces	r a i θ e s
raíces	r a i θ e s
raíces	r a i s e s
raíña	r a i ɲ a
raiola	r a j ɔ l a̝
rairo	r a j ɾ o̝
raíz	r a i θ
raíz	r a i θ
raíz	r a i s
ralbar	r a l β a ɾ
rancho	r a n t͡ʃ o
rancio	r a n θ j o
rancio	r a n θ j o
rancio	r a n s j o
rancor	r a ŋ k o ɾ
randa	r a n d a̝
randai	r a n d a j
randan	r a n d a ŋ
randar	r a n d a ɾ
randas	r a n d a s
randear	r a n d e a ɾ
randeeira	r a n d e e j ɾ a̝
randeeira	r a n d eː j ɾ a̝
Randolfe	r a n d o l f e
randón	r a n d o ŋ
Randufe	r a n d u f e̝
Randulfe	r a n d u l f e̝
rangua	r a ŋ ɡ w a
rangua	r a ŋ ɡ w a
rangua	r a ŋ ħ w a
ranquear	r a ŋ k e a ɾ
raña	r a ɲ a̝
rañar	r a ɲ a ɾ
raño	r a ɲ o̝
rapante	r a p a n t e̝
rapar	r a p a ɾ
rapariga	r a p a ɾ i ɡ a
rapariga	r a p a ɾ i ɡ a
rapariga	r a p a ɾ i ħ a
raparigo	r a p a ɾ i ɡ o
raparigo	r a p a ɾ i ɡ o
raparigo	r a p a ɾ i ħ o
rapaz	r a p a θ
rapaz	r a p a θ
rapaz	r a p a s
rapaza	r a p a θ a
rapaza	r a p a θ a
rapaza	r a p a s a
rapidamente	r a p i d a m e n t e
rápido	r a p i d o
raposa	r a p o s a
raposo	r a p o s o
Raposo	r a p o s o̝
raro	r a ɾ o
raso	r a s o̝
raspar	r a s p a ɾ
rastro	r a s t ɾ o
ratificación	r a t i f i k a θ j o ŋ
ratificación	r a t i f i k a θ j o ŋ
ratificación	r a t i f i k a s j o ŋ
rato	r a t o̝
ratoeira	r a t o e j ɾ a
rauto	r a w t o̝
ravo	r a b o
raxeira	r a ʃ e j ɾ a̝
raxo	r a ʃ o
raza	r a θ a
raza	r a θ a
raza	r a s a
razón	r a θ o ŋ
razón	r a θ o ŋ
razón	r a s o ŋ
reabastecer	r e a b a s t e θ e ɾ
reabastecer	r e a b a s t e θ e ɾ
reabastecer	r e a b a s t e s e ɾ
real	r e a l
rebanda	r e b a n d a
rebandar	r e β a n d a ɾ
rebinxe	r e β i n ʃ e̝
rebisaco	r ɛ β i z̺ a k o̝
rebo	r e b o
rebobinar	r e b ɔ b i n a ɾ
rebocar	r e b o k a ɾ
reboira	r e β o j ɾ a̝
rebor	r e β ɔ ɾ
rebordán	r e b o ɾ d a ŋ
Rebordela	r e b o ɾ d ɛ l a
Rebordelo	r e β o ɾ ð ɛ l o̝
Rebordelos	r e β o ɾ ð ɛ l o̝ s
Reboreda	r e β o ɾ e ð a̝
Reboredo	r e β o ɾ e ð o̝
Reborido	r e β o ɾ i ð o̝
rebuldar	r e β u l d a ɾ
rebulir	r e b u l i ɾ
rebumbio	r e β u m b j o̝
reburdiar	r e b u ɾ d j a ɾ
recadar	r e k a d a ɾ
recanto	r e k a n t o̝
recear	r e θ e a ɾ
recear	r e s e a ɾ
recente	r e θ e n t e
recente	r e θ e n t e
recente	r e s e n t e
recepcionista	r e θ e p θ j o n i s t ɐ
rechamar	r e t͡ʃ a m a ɾ
rechán	r e t͡ʃ a ŋ
rechoer	r e t͡ʃ o e ɾ
rechumir	r e t͡ʃ u m i ɾ
recibir	r e θ i b i ɾ
recibir	r e θ i b i ɾ
recibir	r e s i b i ɾ
recipiente	r e θ i p j ɛ n t e
recipiente	r e θ i p j ɛ n t e
recipiente	r e s i p j ɛ n t e
recitación	r e θ i t a θ j o ŋ
recitación	r e θ i t a θ j o ŋ
recitación	r e s i t a s j o ŋ
recitar	r e θ i t a ɾ
recitar	r e θ i t a ɾ
recitar	r e s i t a ɾ
recomendación	r e k o m e n d a θ j o ŋ
recomendación	r e k o m e n d a θ j o ŋ
recomendación	r e k o m e n d a s j o ŋ
recompilar	r e k o m p i l a ɾ
recompoñer	r e k o m p o ɲ e ɾ
reconciliación	r e k o n θ i l j a θ j o ŋ
reconciliación	r e k o n θ i l j a θ j o ŋ
reconciliación	r e k o n s i l j a s j o ŋ
recostar	r e k o s t a ɾ
rectangular	r ɛ k t a ŋ ɡ u l a ɾ
rectangular	r ɛ k t a ŋ ɡ u l a ɾ
rectangular	r ɛ k t a ŋ ħ u l a ɾ
rectángulo	r ɛ k t a ŋ ɡ u l o
rectángulo	r ɛ k t a ŋ ɡ u l o
rectángulo	r ɛ k t a ŋ ħ u l o
rectificación	r ɛ k t i f i k a θ j o ŋ
rectificación	r ɛ k t i f i k a θ j o ŋ
rectificación	r ɛ k t i f i k a s j o ŋ
recuar	r e k u a ɾ
recudir	r e k u ð i ɾ
recuncar	r e k u ŋ k a ɾ
recuncho	r e k u n t͡ʃ o
rede	r e d e
redondo	r e d o n d o
reducción	r e d u k θ j o ŋ
reducción	r e d u k θ j o ŋ
reducción	r e d u k s j o ŋ
reducir	r e d u θ i ɾ
reducir	r e d u θ i ɾ
reducir	r e d u s i ɾ
reduflación	r e d u f l a θ j o ŋ
reduflación	r e d u f l a θ j o ŋ
reduflación	r e d u f l a s j o ŋ
refén	r e f e ŋ
refollo	r e f o ʎ o̝
refregar	r e f ɾ e ɣ a ɾ
refugallo	r e f u ɡ a ɟ o
refugallo	r e f u ɡ a ɟ o
refugallo	r e f u ħ a ɟ o
refugar	r e f u ɣ a ɾ
refugo	r e f u ɡ o
refugo	r e f u ɡ o
refugo	r e f u ħ o
refungar	r e f u ŋ ɡ a ɾ
refungar	r e f u ŋ k a ɾ
refusar	r e f u s a ɾ
regalicia	r e ɣ a l i θ a̝
regalicia	r e ħ a l i z̻ a̝
regaliza	r e ɣ a l i θ a̝
regaliza	r e ħ a l i z̻ a̝
regalo	r e ɡ a l o
regalo	r e ɡ a l o
regalo	r e ħ a l o
regaña	r e ɡ a ɲ a
regaña	r e ɡ a ɲ a
regaña	r e ħ a ɲ a
regatear	r e ɣ a t e a ɾ
regateiro	r e ɣ a t e i ɾ o̝
regato	r e ɣ a t o̝
regatón	r e ɡ a t o ŋ
regatón	r e ɡ a t o ŋ
regatón	r e ħ a t o ŋ
regazo	r e ɡ a θ o
regazo	r e ɡ a θ o
regazo	r e ħ a θ o
regazo	r e ħ a s o
regoldo	r e ɡ ɔ l d o
regoldo	r e ɡ ɔ l d o
regoldo	r e ħ ɔ l d o
regueifa	r e ɡ e j f a
regueifa	r e ɡ e j f a
regueifa	r e ħ e j f a
regueira	r e ɣ e j ɾ a̝
regueiro	r e ɣ e j ɾ o̝
reguengo	r e ɡ ɛ ŋ ɡ o
reguengo	r e ɡ ɛ ŋ ɡ o
reguengo	r e ħ ɛ ŋ ħ o
Reguengo	r e ɡ ɛ ŋ ɡ o
Reguengo	r e ɡ ɛ ŋ ɡ o
Reguengo	r e ħ ɛ ŋ ħ o
regulación	r e ɡ u l a θ j o ŋ
regulación	r e ɡ u l a θ j o ŋ
regulación	r e ħ u l a θ j o ŋ
regulación	r e ħ u l a s j o ŋ
regular	r e ɡ u l a ɾ
regular	r e ɡ u l a ɾ
regular	r e ħ u l a ɾ
rei	r e j
reinar	r e j n a ɾ
reino	r e j n o
reintegración	r e i n t e ɡ ɾ a θ j o ŋ
reintegración	r e i n t e ɡ ɾ a θ j o ŋ
reintegración	r e i n t e ħ ɾ a θ j o ŋ
reintegración	r e i n t e ħ ɾ a s j o ŋ
reintegracionismo	r e i n t ɛ ɡ ɾ a θ j o n i s m o
reintegracionismo	r e i n t ɛ ɡ ɾ a θ j o n i s m o
reintegracionismo	r e i n t ɛ ħ ɾ a θ j o n i s m o
reintegracionismo	r e i n t ɛ ħ ɾ a s j o n i s m o
reintegracionista	r e i n t ɛ ɡ ɾ a θ j o n i s t a
reintegracionista	r e i n t ɛ ɡ ɾ a θ j o n i s t a
reintegracionista	r e i n t ɛ ħ ɾ a θ j o n i s t a
reintegracionista	r e i n t ɛ ħ ɾ a s j o n i s t a
reira	r e j ɾ a̝̝
reiseñor	r e j s e ɲ o ɾ
reixa	r e j ʃ a
relación	r e l a θ j o ŋ
relación	r e l a θ j o ŋ
relación	r e l a s j o ŋ
relampo	r e l a m p o
relance	r e l a n θ e
relance	r e l a n θ e
relance	r e l a n s e
relanzo	r e l a n θ o
relanzo	r e l a n θ o
relanzo	r e l a n s o
relativamente	r e l a t i b a m e n t e
relear	r e l e a ɾ
releón	r e l e o ŋ
relevancia	r e l e b a n θ j a
relevancia	r e l e b a n θ j a
relevancia	r e l e b a n s j a
relinga	r e l i ŋ ɡ a̝
relinga	r e l i ŋ k a̝
relixioso	r e l i ʃ j o s o
rella	r e ʎ a̝
rello	r e ʎ o̝
relo	r e l o
relo	r ɛ l o
relo	r ɛ l o
relón	r e l o ŋ
relouco	r e l o w k o
reloxo	r e l ɔ ʃ o̝
reloxo	r e l ɔ
reloxos	r e l ɔ ʃ o s
relucir	r e l u θ i ɾ
relucir	r e l u θ i ɾ
relucir	r e l u s i ɾ
reluscar	r e l u s k a ɾ
relusco	r e l u s k o̝
relustrar	r e l u s t ɾ a ɾ
relustrar	r e l i s t ɾ a ɾ
relustro	r e l u s t ɾ o̝
relustro	r e l i s t ɾ o̝
remanecer	r e m a n e θ e ɾ
remanecer	r e m a n e s e ɾ
rematar	r e m a t a ɾ
remedio	r e m ɛ d j o
remela	r e m ɛ l a̝
remelar	r e m e l a ɾ
remexer	r e m e ʃ e ɾ
remoción	r e m ɔ θ j o ŋ
remoción	r e m ɔ θ j o ŋ
remoción	r e m ɔ s j o ŋ
remol	r e m ɔ l
remollar	r e m o ʎ a ɾ
remontar	r e m o n t a ɾ
remorso	r e m ɔ ɾ s o̝
remoucar	r e m o w k a ɾ
remuíño	r e m u i ɲ o̝
ren	r e ŋ
renacer	r e n a θ e ɾ
renacer	r e n a θ e ɾ
renacer	r e n a s e ɾ
renano	r e n a n o
Renche	r e n t͡ʃ e
renda	r e n d a
rendeiro	r e n d e j ɾ o
render	r e n d e ɾ
renegar	r e n e ɣ a ɾ
rengo	r ɛ ŋ ɡ o̝
rengue	r ɛ ŋ ɡ e̝
reno	r e n o
rens	r e ŋ s
renumerar	r e n u m e ɾ a ɾ
renxer	r e n ʃ e ɾ
reo	r e o̝
reo	r e o̝
reorganización	r e ɔ ɾ ɡ a n i θ a θ j o ŋ
reorganización	r e ɔ ɾ ɡ a n i θ a θ j o ŋ
reorganización	r e ɔ ɾ ħ a n i θ a θ j o ŋ
reorganización	r e ɔ ɾ ħ a n i s a s j o ŋ
reparación	r e p a ɾ a θ j o ŋ
reparación	r e p a ɾ a θ j o ŋ
reparación	r e p a ɾ a s j o ŋ
repenicar	r e p e n i k a ɾ
repenicar	r e p i n i k a ɾ
repouso	r e p o w s o
representación	r e p ɾ e s e n t a θ j o ŋ
representación	r e p ɾ e s e n t a θ j o ŋ
representación	r e p ɾ e s e n t a s j o ŋ
representante	r e p ɾ e s e n t a n t e
represión	r e p ɾ e s j o ŋ
repugnante	r e p u ŋ n a n t e
reputación	r e p u t a θ j o ŋ
reputación	r e p u t a θ j o ŋ
reputación	r e p u t a s j o ŋ
requecer	r e k ɛ θ e ɾ
requeixo	r e k e j ʃ o̝
Requesende	r e k e s e n d e̝
Requiá	r e k i a
Requián	r e k i a ŋ
Requiás	r e k i a s
res	r e s
res	r e s
res	r e s
reservar	r e s e ɾ b a ɾ
reseso	r e s ɛ s o̝
residencia	r e s i d e n θ j a
residencia	r e s i d e n θ j a
residencia	r e s i d e n s j a
resignación	r e s i ŋ n a θ j o ŋ
resignación	r e s i ŋ n a θ j o ŋ
resignación	r e s i ŋ n a s j o ŋ
resignar	r e s i ŋ n a ɾ
resío	r e s i o̝
resío	r e s i o̝
resolución	r e s o l u θ j o ŋ
resolución	r e s o l u θ j o ŋ
resolución	r e s o l u s j o ŋ
respectuoso	r e s p e k t w o s o
restaurante	r e s t a w ɾ a n t e
reste	r ɛ s t e̝
restinga	r e s t i ŋ ɡ a̝
restra	r ɛ s t ɾ a̝
restreba	r e s t ɾ e b a
restrelo	r e s t ɾ e l o̝
restrición	r e s t ɾ i θ j o ŋ
restrición	r e s t ɾ i θ j o ŋ
restrición	r e s t ɾ i s j o ŋ
restrinxir	r e s t ɾ i n ʃ i ɾ
restroballo	r e s t ɾ o b a ɟ o
restrollo	r e s t ɾ o ɟ o
reta	r e t a
retallo	r e t a ɟ o
retan	r e t a ŋ
retar	r e t a ɾ
reticencia	r e t i θ ɛ n θ j a
reticencia	r e t i θ ɛ n θ j a
reticencia	r e t i s ɛ n s j a
reticencia	r e t i θ e n θ j a
reticencia	r e t i θ e n θ j a
reticencia	r e t i s e n s j a
retorno	r e t o ɾ n o
retorto	r e t ɔ ɾ t o̝
retrama	r e t ɾ a m a
retrincar	r e t r i ŋ k a ɾ
retrinco	r e t ɾ i ŋ k o̝
retriza	r e t ɾ i θ a̝
retriza	r e t ɾ i s a̝
retrógrado	r e t ɾ ɔ ɡ ɾ a d o
retrógrado	r e t ɾ ɔ ɡ ɾ a d o
retrógrado	r e t ɾ ɔ ħ ɾ a d o
retrucar	r e t ɾ u k a ɾ
reuma	r ɛ w m a
revellido	r e β e ʎ i ð o̝
revendedor	r e b e n d e d o ɾ
rever	r e β e ɾ
revirado	r e β i ɾ a ð o̝
revirar	r e β i ɾ a ɾ
reviravolta	r e β i ɾ a β ɔ l t a̝
revistar	r e b i s t a ɾ
revitalización	r e b i t a l i θ a θ j o ŋ
revitalización	r e b i t a l i θ a θ j o ŋ
revitalización	r e b i t a l i s a s j o ŋ
revolta	r e b ɔ l t a
revolución	r e b o l u θ j o ŋ
revolución	r e b o l u θ j o ŋ
revolución	r e b o l u s j o ŋ
rexeitamento	r e ʃ e j t a m e n t o̝
rexeitamento	r e ʃ e j t a m ɛ n t o̝
rexeitar	r e ʃ e j t a ɾ
rexelo	r e ʃ ɛ l o̝
rexencia	r e ʃ e n θ j a
rexencia	r e ʃ e n θ j a
rexencia	r e ʃ e n s j a
rexente	r e ʃ e n t e
rexión	r e ʃ j o ŋ
rexional	r e ʃ j o n a l
rexistrar	r e ʃ i s t ɾ a ɾ
rexurdir	r e ʃ u ɾ ð i ɾ
rezo	r ɛ θ o
rezo	r ɛ θ o
rezo	r ɛ s o
riádego	r i a ð e̝ ɣ o̝
Rial	r i a l
Riazó	r i a θ ɔ
Riazón	r i a θ o ŋ
riba	r i β a̝
ribada	r i β a ð a̝
Ribadavia	r i b a d a b j a
ribeira	r i b e j ɾ a
ricamente	r i k a m e n t e
ricaz	r i k a θ
ricaz	r i k a θ
ricaz	r i k a s
richar	r i t͡ʃ a ɾ
richar	r i t͡ʃ a ɾ
rico	r i k o
ridiculamente	r i d i k u l a m e n t e
rifa	r i f a̝
rifar	r i f a ɾ
rifón	r i f o ŋ
rigoroso	r i ɡ o ɾ o s o
rigoroso	r i ɡ o ɾ o s o
rigoroso	r i ħ o ɾ o s o
ril	r i l
rillar	r i ʎ a ɾ
rima	r i m a̝
rinchar	r i n t͡ʃ a ɾ
rincho	r i n t͡ʃ o
rinchón	r i n t͡ʃ o ŋ
rinoceronte	r i n ɔ θ e ɾ o n t e
rinoceronte	r i n ɔ θ e ɾ o n t e
rinoceronte	r i n ɔ s e ɾ o n t e
río	r i o
riola	r i ɔ l a̝
ripar	r i p a ɾ
ripo	r i p o̝
riqueza	r i k e θ a
riqueza	r i k e θ a
riqueza	r i k e s a
Riquián	r i k i a ŋ
rir	r i ɾ
risada	r i s a d a
riscar	r i s k a ɾ
risco	r i s k o̝
risco	r i s k o̝
risón	r i s o ŋ
ritmicamente	r i t m i k a m e n t e
ritmo	r i t m o
ríxido	r i ʃ i d o
rixo	r i ʃ o
robaliza	r o β a l i θ a̝
robaliza	r o β a l i s a̝
robalo	r o β a l o̝
robot	r o b ɔ t
robra	r ɔ β ɾ a̝
roca	r ɔ k a̝
roca	r ɔ k a
rocha	r ɔ t͡ʃ a̝
rocho	r ɔ t͡ʃ o̝
rocho	r o t͡ʃ o̝
rocín	r o θ i ŋ
rocín	r o s i ŋ
roda	r ɔ d a
rodaballo	r o ð a β a ʎ o̝
rodada	r o d a d a
rodal	r o ð a l
rodar	r o d a ɾ
rodeira	r o ð e j ɾ a̝
rodeira	r ɔ ð e j ɾ a̝
Rodeiro	r o ð e j ɾ o̝
rodela	r o ð ɛ l a̝
rodicio	r o d i θ j o
rodicio	r o d i θ j o
rodicio	r o d i s j o
rodo	r ɔ ð o̝
rodo	r o ð o̝
rodriga	r o d ɾ i ɡ a
rodriga	r o d ɾ i ɡ a
rodriga	r o d ɾ i ħ a
rodrigar	r o ð ɾ i ɣ a ɾ
Rodrigo	r o d ɾ i ɡ o
Rodrigo	r o d ɾ i ɡ o
Rodrigo	r o d ɾ i ħ o
Rodríguez	r o d ɾ i ɡ e θ
Rodríguez	r o d ɾ i ɡ e θ
Rodríguez	r o d ɾ i ħ e θ
Rodríguez	r o d ɾ i ħ e s
roer	r o e ɾ
Roi	r ɔ j
rolada	r o l a d a
Roldán	r o l d a ŋ
rollo	r o ʎ o̝
rolo	r o l o̝
rolo	r ɔ l o̝
Román	r o m a ŋ
romántico	r o m a n t i k o
rompedes	r o m p e d e s
roncón	r o ŋ k o ŋ
ronsel	r o n s ɛ l
roñar	r o ɲ a ɾ
roque	r o k e
rosa	r ɔ s a
rosada	r o s a d a̝
Rosamonde	r o s a m o n d e̝
rosca	r o s k a
roseira	r o s e j ɾ a̝
roseta	r o s e t a
rosmar	r o s m a ɾ
rosmar	r ɔ s m a ɾ
Rosomil	r o s o m i l
rostro	r o s t ɾ o
roubar	r o w b a ɾ
roubo	r o w b o
roucear	r o w θ e a ɾ
roucear	r o w θ e a ɾ
roucear	r o w s e a ɾ
rouceo	r o w θ ɛ ʊ
roupas	r o w p ɐ s
roupeiro	r o w p e j ɾ o
rouquén	r o w k ɛ ŋ
rousar	r o w s a ɾ
roxar	r o ʃ a ɾ
roxo	r o ʃ o
roxón	r o ʃ o ŋ
roza	r o θ a̝
roza	r o s a̝
rozar	r o θ a ɾ
rozar	r o θ a ɾ
rozar	r o s a ɾ
Rozavales	r o θ a β a l e̝ s
rúa	r u a
ruada	r w a d a
ruar	r u a ɾ
rubí	r u b i
rubién	r u β j ɛ ŋ
rubio	r u b j o
rubir	r u β i ɾ
rubo	r u b o
rueiro	r u e j ɾ o̝
rufo	r u f o
ruído	r u i d o
ruín	r u i ŋ
ruína	r u i n a
rural	r u ɾ a l
Rusia	r u s j a
ruso	r u s o
rustrido	r u s t ɾ i d o
rustrir	r u s t ɾ i ɾ
Rute	r u t ɪ
ruxido	r u ʃ i d o
ruxidoiro	r u ʃ i ð o j ɾ o̝
sa	s aː
Sa	s aː
Saa	s aː
Saavedra	s a a b ɛ d ɾ a
saba	s a β a̝
sábado	s a b a d o
sábados	s a b a d o s
sabanduxa	s a b a n d u ʃ a
Sabarís	s a β a ɾ i s
Sabariz	s a β a ɾ i θ
sabedor	s a b e d o ɾ
sabela	s a β ɛ l a̝
sabelo	s a β ɛ l o̝
sabenlo	s a β ɛ n l o̝
saber	s a b e ɾ
sabichón	s a b i t͡ʃ o ŋ
sabida	s a b i d a
sabio	s a b j o
sable	s a b l e
sabor	s a b o ɾ
saboroso	s a β o ɾ o s o̝
sabugueiro	s a β u ɣ e j ɾ o̝
sabuio	s a β u i o̝
sabuxo	s a β u ʃ o̝
sacar	s a k a ɾ
sacaúntos	s a k a u n t o̝ s
sachar	s a t͡ʃ a ɾ
sacho	s a t͡ʃ o
saco	s a k o̝
sacramento	s a k ɾ a m e n t o
sacramento	s a k ɾ a m ɛ n t o
sacrificio	s a k ɾ i f i θ j o
sacrificio	s a k ɾ i f i θ j o
sacrificio	s a k ɾ i f i s j o
sacro	s a k ɾ o
saen	s a ɪ ŋ
sagrado	s a ɡ ɾ a d o
sagrado	s a ɡ ɾ a d o
sagrado	s a ħ ɾ a d o
saia	s a j a
saias	s a j a s
saibro	s a j β ɾ o̝
saída	s a i ð a̝
saído	s a i d o
saín	s a i ŋ
saír	s a i ɾ
salabardo	s a l a β a ɾ ð o̝
salaiar	s a l a j a ɾ
salame	s a l a m e
salchicha	s a l t͡ʃ i t͡ʃ a
saleiro	s a l e j ɾ o̝
salgadeira	s a l ɣ a ð e j ɾ a̝
salgado	s a l ɡ a d o
salgado	s a l ɡ a d o
salgado	s a l ħ a d o
Salgado	s a l ɡ a d o
Salgado	s a l ɡ a d o
Salgado	s a l ħ a d o
salgar	s a l ɣ a ɾ
salgueiro	s a l ɣ e j ɾ o̝
salmón	s a l m o ŋ
Salnés	s a l n e s
saloucar	s a l o w k a ɾ
salsa	s a l s a
saltar	s a l t a ɾ
salto	s a l t o
salubre	s a l u b ɾ e
salvación	s a l b a θ j o ŋ
salvación	s a l b a θ j o ŋ
salvación	s a l b a s j o ŋ
salvador	s a l b a d o ɾ
salvar	s a l b a ɾ
salvaste	s a l b a s t e
Salvaterra	s a l β a t ɛ r a̝
sambódromo	s a m b ɔ d ɾ o m o
samesuga	s a m e s u ɡ a
samesuga	s a m e s u ɡ a
samesuga	s a m e s u ħ a
Samos	s a m o̝ s
san	s a ŋ
sanción	s a n θ j o ŋ
sanción	s a n θ j o ŋ
sanción	s a n s j o ŋ
sandalia	s a n d a l j a
sandar	s a n d a ɾ
Sandiás	s a n d j a s
Sandiás	s a n d i a s
saneamento	s a n e a m e n t o
saneamento	s a n e a m ɛ n t o
sangano	s a ŋ ɡ a n o
sangano	s a ŋ ɡ a n o
sangano	s a ŋ ħ a n o
sangaño	s a ŋ ɡ a ɲ o̝
Sangiao	s a n ʃ i a o̯
sangomiño	s a ŋ ɡ o m i ɲ o̝
sangría	s a ŋ ɡ ɾ i a
sangría	s a ŋ ɡ ɾ i a
sangría	s a ŋ ħ ɾ i a
sangue	s a ŋ ɡ e
sangue	s a ŋ ɡ e
sangue	s a ŋ ħ e
sanguiño	s a ŋ ɡ i ɲ o̝
sanguiño	s a ŋ k i ɲ o̝
Sanjiao	s a n ʃ i a o̯
santa	s a n t a
santafollo	s a n t a f o ʎ o̝
Santiago	s a n t j a ɡ o
Santiago	s a n t j a ɡ o
Santiago	s a n t j a ħ o
santidade	s a n t i d a d e
santo	s a n t o
Sanxenxo	s a n ʃ ɛ n ʃ o̝
saña	s a ɲ a
sañudo	s a ɲ u d o
sapo	s a p o
sapoconcho	s a p o k o n t͡ʃ o
saponificar	s a p o n i f i k a ɾ
Sar	s a ɾ
Sara	s a ɾ a
saramaganta	s a ɾ a m a ɡ a n t a
saramaganta	s a ɾ a m a ɡ a n t a
saramaganta	s a ɾ a m a ħ a n t a
saramago	s a ɾ a m a ɣ o̝
sarampelo	s a ɾ a m p ɛ l o
sarillo	s a ɾ i ʎ o̝
sarna	s a ɾ n a̝
Sarria	s a r j a̝
sarrio	s a r j o̝
sarro	s a r o̝
sartaña	s a ɾ t a ɲ a
sarxar	s a ɾ ʃ a ɾ
satélite	s a t ɛ l i t e
Saturno	s a t u ɾ n o
saudade	s a w d a d e
saudades	s a w ð a ð e s
sazón	s a θ o ŋ
sazón	s a θ o ŋ
sazón	s a s o ŋ
se	s e
sé	s ɛ
seara	s e a ɾ a̝
seareiro	s e a ɾ e j ɾ o̝
seareiro	s j a ɾ e j ɾ o̝
sebe	s e β e̝
sebo	s e β o̝
secar	s e k a ɾ
sección	s ɛ k θ j o ŋ
sección	s ɛ k θ j o ŋ
sección	s ɛ k s j o ŋ
secreción	s e k ɾ ɛ θ j o ŋ
secreción	s e k ɾ ɛ θ j o ŋ
secreción	s e k ɾ ɛ s j o ŋ
secretaria	s e k ɾ e t a ɾ j a
secretarias	s e k ɾ e t a ɾ j a s
secretario	s e k ɾ e t a ɾ j o
secretarios	s e k ɾ e t a ɾ j o s
secreto	s e k ɾ e t o
secretor	s e k ɾ ɛ t o ɾ
secretor	s e k ɾ e t o ɾ
secularización	s ɛ k u l a ɾ i θ a θ j o ŋ
