a	eː
estimator	ɛ s t ə m e ɪ ɾ ɚ
estuarian	ɛ s t͡ʃ ə w ɛ ɹ i ə n
ethical	ɛ θ ɪ k ə l
ethical	ɛ θ ɪ k l̩
ethically	ɛ θ ɪ k l i
ethically	ɛ θ ɪ k l i
etymology	ɛ ɾ ə m ɑ l ə d͡ʒ i
Euclidean	j u k l ɪ ɾ i ə n
eugh	ə x
eugh	ʌ x
eugh	ɜː
evaporator	ɪ v æ p ə ɹ e ɪ ɾ ɚ
even	ɪ i̯ v ə n
even	ɪ i̯ v n̩
evidence	ɛ v ɪ ɾ ɪ n s
evidence	ɛ v ə ɾ ɪ n s
evil	ɪ i̯ v ə l
evil	ɪ i̯ v l̩
examination	ɪ ɡ z ɛ ə m ə n e ɪ ʃ n̩
examinee	ɪ ɡ z ɛ ə m ə n i
example	ɪ ɡ z ɛ ə m p ə ɫ
exchange	ɛ k s t͡ʃ e ɪ n d͡ʒ
exhalation	ɛ k s h ə l e ɪ̯ ʃ ə n
exhalation	ɛ k s h ə l e ɪ̯ ʃ n̩
exhale	ɛ k s h e ɪ̯ l
exist	ɪ ɡ z ɪ s t
exotic	ɪ ɡ z ɑ ɾ ɪ k
expanse	ɪ k s p ɛ ə n s
expensive	ɪ k s p ɛ n s ɪ v
expensive	ɪ k s p ɪ̟ n s ɪ v
expiration	ɛ k s p ɚ e ɪ̯ ʃ ə n
expiration	ɛ k s p ɹ̩ e ɪ̯ ʃ n̩
eye	a ɪ̯
eye	aː
facile	f æ s ɫ̩
faction	f æ k ʃ ə n
faction	f æ k ʃ n̩
factor	f æ k tʰ ɚ
factor	f æ k tʰ ɹ̩
fag	f e ɪ̯ ɡ
faggot	f æ ɡ ə t
faggot	f e ɪ̯ ɡ ə t
fair	f ɛ ɹ
fair	f ɛ ɹ̩
fair	f eː ɾ
fair	f e ɾ
fallible	f æ l ə b l̩
falsity	f ɑ l s ɪ ɾ i
falter	f ɔ l t ɚ
famine	f ɛ ə m ɪ n
fan	f ɛ ə n
fan	f e ə n
fan	f ɛː n
fanatically	f ə n æ ɾ ɪ k ə l i
fanatically	f ə n æ ɾ ɪ k l i
fanfare	f ɛ ə n f ɛ ɹ
fang	f e ɪ̯ ŋ
fang	f ɛ̃ ŋ
fank	f e ɪ̯ ŋ k
fank	f ɛ̃ ŋ k
fanks	f e ɪ̯ ŋ k s
fanks	f ɛ̃ ŋ k s
fanned	f e ə n d
fanned	f ɛ ə n d
fanonical	f ə n ɑ n ɪ k ɫ̩
fantasize	f æ̃ ɾ̃ ə s a ɪ z
fantasize	f æ n ə s a ɪ z
fantastic	f a n tʰ a s t ɪ kʰ
fantastic	f a n tʰ a s t ɪ k
fantastic	f ɛ ə̯ n tʰ æ s t ɪ kʰ
fantastic	f ɛ ə̯ n tʰ æ s t ɪ k
fantasy	f æ̃ ɾ̃ ə s i
fantasy	f æ n ə s i
fare	f ɛ ɚ
fare	f ɛ ɹ̩
fare	f eː ɾ
fare	f e ɾ
farm	f ɑ ɹ m
farrand	f æ ɹ ə n d
farrand	f æ ɹ ə n t
fashion	f æ ʃ n̩
fatal	f e ɪ ɾ ɫ̩
fatality	f e ɪ̯ tʰ æ l ɪ ɾ i
fatally	f e ɪ̯ ɾ l̩ i
fated	f e ɪ̯ ɾ ɨ d
fatherhood	f ɑ ð ɚ h ʊ̈ d
fatherhood	f ɑ ð ɹ̩ h ʊ̈ d
fatherhood	f a ð ə ɹ h ʉ d
fatherhood	f a ð ɚ h ʉ d
fatten	f æ ʔ n̩
fattening	f æˀ ə n ɪ ŋ
fattening	f æˀ n ɪ ŋ
fatuity	f ə t uː ɨ ɾ i
fauxtograph	f oː t ə ɡ ɹ ɑː f
fauxtography	f oː t ɑ ɡ ɹ ə f i
fear	f ɪ ɚ
fear	f ɪ ɹ̩
fear	f iː ɾ
fearful	f ɪ ɚ f ə l
fearful	f ɪ ɚ f ʊ l
feasible	f i z ə b ɫ̩
feast	f ɪ i̯ s t
feather	f ɛ ð ɚ
feather	f ɛ ð ɹ̩
feature	f ɪ i̯ t͡ʃ ɚ
feature	f ɪ i̯ t͡ʃ ɹ̩
fed	f ɛ d
federal	f ɛ d ɚ ə l
federal	f ɛ d ɹ̩ l̩
federale	f ɛ d ə ɹ ɑː l i
federation	f ɛ d ə ɹ e ɪ̯ ʃ ə n
federation	f ɛ d ə ɹ e ɪ̯ ʃ n̩
feed	f ɪ j d
feel	f ɪ i̯ l
feet	f ɪ i̯ t
felt	f ɛ l t
felt	f æ̝ l t
felt	f ɛ ʊ̯ t
femby	f ɛ ɱ b i
fence	f ɛ n s
fence	f ɛ n t s
fencer	f ɛ n s ɚ
fend	f ɛ n d
fend	f ɪ̟ n d
feng	f ɛ ŋ
fentanyl	f ɛ n ʔ n ɪ ɫ
fentanyl	f ɛ n ʔ n ɑ ɫ
fentanyl	f ɛ n ʔ n ɔ ɫ
feral	f ɛ ɹ ə l
feral	f ɛ ɹ l̩
feral	f ɪ ɹ ə l
feral	f ɪ ɹ l̩
festival	f ɛ s t ə v l̩
fettuccini	f ɛ ɾ ə t͡ʃʰ i n i
feudal	f j u ɾ ɫ̩
feudalism	f j u d ə l ɪ z m̩
FIBA	f i b ə
FIBA	f i b ə
fiction	f ɪ k ʃ ə n
fiction	f ɪ k ʃ n̩
fiddle	f ɪ ɾ l̩
fiddy	f ɪ ɾ i
field	f ɪ i̯ ɫ d
field	f ɪ i̯ ʊ d
fiend	f ɪ i̯ n d
fight	f ə ɪ ʔ
fighter	f a ɪ̯ ɾ ɚ
fighting	f a ɪ ɾ ɪ ŋ
fighty	f ʌ ɪ ɾ i
fil	f iː ɫ
file	f a ɪ̯ ə ɫ
file	f a ɪ̯ ɫ
fill	f ɪ ɫ
fill	f ɪ ʊ̯
filling	f ɪ ɫ ɪ ŋ
film	f ɪ ɫ m
financial	f a ɪ n æ n ʃ ɫ̩
find	f ə i̯ n d
finger	f ɪ ŋ ɡ ɚ
finger	f ɪ ŋ ɡ ɹ̩
finger	f i ŋ ɡ ɚ
finger	f i ŋ ɡ ɹ̩
finger	f æ ŋ ɡ ɚ
finger	f æ ŋ ɡ ɹ̩
finger	f e ɪ̯ ŋ ɡ ɚ
finger	f e ɪ̯ ŋ ɡ ɹ̩
finger	f ɛ̃ ŋ ɡ ɚ
finger	f ɛ̃ ŋ ɡ ɹ̩
finger	f ɪ ŋ ɡ ɚ
finite	f a ɪ n ʌ ɪ t
finitely	f a iː n a i ʔ l i
fire	f a̠ j ɚ
fire	f ʌ ɪ̯ ɚ
fire	f äː ɚ
firewood	f a ɪ ɚ w ʊ d
firewood	f äː ɚ w ʊ d
firm	f ɚ m
firman	f ɝ m ə n
firsthand	f ɝ s t h ɛ ə n d
firsthand	f ɝ s t h ɛ ə n d
fitra	f ɪ tˤ ɾ a
fitra	f ɪ t ɾ a
fitter	f ɪ ɾ ɚ
Fitz	f ɪ t s
five	f a ɪ̯ v
five	f aː v
fix	f ɪ k s
flagcem	f l a ɡ s ɛ m
flaithiúlach	f l æ h uː l ə x
flank	f l æ ŋ k
flank	f l e ɪ̯ ŋ k
flank	f l ɛ̃ ŋ k
flashlight	f l æ ʃ l a ɪ̯ t
flashlight	f l æ ʃ l ɐ ɪ̯ t
flatten	f l æ t n̩
flatten	f l æ ʔ n̩
flatter	f l æ ɾ ɚ
flauta	f l a ʊ̯ ɾ ə
flea	f l ɪ i̯
flee	f l ɪ i̯
fleet	f l ɪ i̯ t
flense	f l̥ ɛ n s
flense	f l̥ ɪ̟ n s
fleshlight	f l ɛ ʃ l a ɪ̯ t
flight	f l a ɪ̯ t
flinch	f l̥ ɪ n t͡ʃ
flitter	f l ɪ ɾ ɚ
flour	f l a ʊ̯ ɚ
flour	f l a ʊ̯ ɹ̩
flour	f l æ ʊ̯ ɚ
flour	f l æ ʊ̯ ɹ̩
flour	f l a ʊ̯ ə ɾ
flour	f l aː ɚ
flour	f l aː ɹ̩
flouted	f l a ʊ̯ ɾ ɨ d
flouting	f l ä ʊ̯ ɾ ɪ ŋ
flow	f l o ʊ̯
flow	f l ɔ ʊ̯
flower	f l a ʊ̯ ɚ
flower	f l a ʊ̯ ɹ̩
flower	f l æ ʊ̯ ɚ
flower	f l æ ʊ̯ ɹ̩
flower	f l aː ɚ
flower	f l aː ɹ̩
Floyder	f l ɔ ɪ ɾ ɚ
fluidity	f l u ɪ ɾ ə t i
fluidity	f l u ɪ ɾ ə ɾ i
Flushing	f ɫ ʌ̈ ʃ ɪ̃ ŋ
fly	f l a ɪ̯
fly	f l aː
foal	f o ɫ
foam	f ɔ ʊ̯ m
follicle	f ɑ l ɪ k ɫ̩
fondling	f ɒ n d ɫ̩ ɪ ŋ
food	f uː d
food	f ʊ w d
food	f u̟ː d
food	f u̟ d
food	f ʊ w d
food	f ʉ w d
food	f ʉː d
food	f yː d
foodstuff	f ʉ w d s t ə f
foon	f ʊ u̯ n
foot	f ʊ t
foot	f ʊ t̚
foot	f ʊ t̚
foot	f ʊ tʰ
foot	f ɵ ʔ t
foot	f ʉ t
foot	f ʊ t̚
foot	f ɤ̈ t̚
foot	fʷ ʊ t̚
foot	f ɯ̽ t̚
foot	f ɤ t
football	f ʊ ʔ t b ɔ ɫ
football	f ʊ ʔ t̚ b ɔ ɫ
forage	f o̞ ɹ ɪ d͡ʒ
forager	f o̞ ɹ ɪ d͡ʒ ɚ
forages	f o̞ ɹ ɪ d͡ʒ ɪ z
forbid	f ɚ b ɪ d
forbid	f ɹ̩ b ɪ d
forbidden	f ɚ b ɪ d ə n
forbidden	f ɚ b ɪ d n̩
force	f o̞ ɹ s
forceful	f o ɹ s f l̩
fordy	f ɔ ɚ̯ ɾ i
fordy	f o ɚ̯ ɾ i
forecaster	f ɔ ɹ k æ s t ɚ
foregaze	f ɔ ɹ ɡ e ɪ z
foretell	f oː t e ɫ
foretell	f ɔː t ɛ ɫ
foretell	f ɔ ɹ t ɛ ɫ
forgotten	f ɚ ɡ ɑ ʔ n̩
fork	f o̞ ɹ k
form	f o̞ ɹ m
formatting	f ɔ ɹ m æ ɾ i ŋ
forsythia	f ɔ ɹ s ɪ θ i j ə
fortitude	f o ɹ d ə t u d
fortunately	f ɔ ɹ t͡ʃ n ɪ ʔ l i
fortunately	f ɔ ɹ t͡ʃ n ə ʔ l i
forty	f ɔ ɹ ɾ i
forty	f ɑ ɹ ɾ i j
foundation	f a ʊ̯ n d e ɪ̯ ʃ n̩
foundation	f æ ʊ̯ n d e ɪ̯ ʃ n̩
foundation	f æ ʊ̯ n d æ̝ ɪ̯ ʃ n̩
founder	f a ʊ̯ n d ɚ
founder	f a ʊ̯ n d ɹ̩
founder	f æ ʊ̯ n d ɚ
founder	f æ ʊ̯ n d ɹ̩
founder	f aː n d ɚ
founder	f aː n d ɹ̩
fountain	f a ʊ n t n̩
fountain	f a ʊ n ʔ n̩
four	f oː ɾ
four	f o ə
fouter	f u ɾ ɚ
fracture	f ɹʷ æ k t͡ʃʰ ɚ
fracture	f ɹʷ æ k t͡ʃʰ ɹ̩
frag	f ɹʷ e ɪ̯ ɡ
fragmentation	f ɹʷ æ ɡ m ə n tʰ e ɪ̯ ʃ ə n
fragmentation	f ɹʷ æ ɡ m n̩ tʰ e ɪ̯ ʃ n̩
fragmentation	f ɹʷ æ ɡ m ə n tʰ æ̝ ɪ̯ ʃ ə n
fragmentation	f ɹʷ æ ɡ m n̩ tʰ æ̝ ɪ̯ ʃ n̩
fragmentation	f ɹʷ e ɪ̯ ɡ m ə n tʰ e ɪ̯ ʃ ə n
fragmentation	f ɹʷ e ɪ̯ ɡ m n̩ tʰ e ɪ̯ ʃ n̩
fraise	f ɹʷ e ɪ̯ z
franc	f ɹʷ e ɪ̯ ŋ k
franc	f ɹʷ ɛ̃ ŋ k
Francis	f ɹʷ æ n s ɪ s
Francis	f ɹʷ e ə̯ n s ɪ s
Francis	f ɹʷ ɛ ə̯ n s ɪ s
Francis	f ɹʷ a n s ɪ s
Francis	f ɹʷ ä n s ɪ s
Francis	f ɾ ä n s ɪ s
Francisco	f ɹʷ æ n s ɪ s k ə ʊ̯
Francisco	f ɹʷ æ n s ɪ s k o ʊ̯
Francisco	f ɹʷ e ə̯ n s ɪ s k o ʊ̯
Francisco	f ɹʷ ɛ ə̯ n s ɪ s k o ʊ̯
Francophone	f ɹ ɛ ə̯ ŋ kʰ ə f o ʊ̯ n
frank	f ɹʷ æ ŋ k
frank	f ɹʷ e ɪ̯ ŋ k
frank	f ɹʷ ɛ̃ ŋ k
Frank	f ɹʷ e ɪ̯ ŋ k
Frank	f ɹʷ ɛ̃ ŋ k
FrankenSAM	f ɹ a ŋ k n̩ s a m
franker	f ɹʷ æ ŋ k ɚ
franker	f ɹʷ æ ŋ k ɹ̩
franker	f ɹʷ e ɪ̯ ŋ k ɚ
franker	f ɹʷ e ɪ̯ ŋ k ɹ̩
franker	f ɹʷ ɛ̃ ŋ k ɚ
franker	f ɹʷ ɛ̃ ŋ k ɹ̩
Frankfurt	f ɹ æ ŋ k f ɝ t
Frankfurt	f ɹ e ɪ̯ ŋ k f ɝ t
Frankfurt	f ɹ ɛ̃ ŋ k f ɝ t
frankly	f ɹʷ æ ŋ k l ɪ i̯
frankly	f ɹʷ e ɪ̯ ŋ k ɪ i̯
frankly	f ɹʷ ɛ̃ ŋ k ɪ i̯
fratter	f ɹ æ ɾ ɚ
fraud	f ɹʷ ɔ d
fraud	f ɹʷ ɑ d
fraud	f ɹʷ ɒ d
frays	f ɹʷ e ɪ̯ z
Freedonia	f ɹ i d o ʊ n j ə
french	f ɹ̠ ɛ n̠ t͡ʃ
fresher	f ɹʷ ɛ ʃ ɚ
fresher	f ɹʷ ɛ ʃ ɹ̩
freshman	f ɹʷ ɛ ʃ m ə n
freshman	f ɹʷ ɛ ʃ m n̩
friction	f ɹʷ ɪ k ʃ ə n
friction	f ɹʷ ɪ k ʃ n̩
friend	f ɹ̥ ɛ n d
friend	f ɹ̥ ɛ n d̥
frighten	f ɹ̥ a ɪ t n̩
frighten	f ɹ̥ a ɪ ʔ n̩
Frisco	f ɹʷ ɪ s k o ʊ̯
fritter	f ɹ ɪ ɾ ɚ
from	f ɹʷ ɒ m
from	f ɹʷ ɔ m
from	f ɹʷ ɔ m
from	f ɹʷ ɔ̟ m
from	f ɹʷ ʌ m
from	f ɹʷ ə m
from	f ɹʷ m̩
frosh	f ɹʷ ɑ ʃ
frosh	f ɹʰ ɒ ʃ
froth	f ɹʷ ɔ θ
froth	f ɹʷ ɑ θ
frum	f ɹʷ ʊ m
frum	f ɹʷ ɪ m
frustrating	f ɹ ʌ s t ɹ e ɪ̯ ɾ ɪ ŋ
frustrating	f ʌ s t ɹ e ɪ̯ ɾ ɪ ŋ
frustrating	f ɹ ʌ ʃ t͡ʃ ɹ e ɪ̯ ɾ ɪ ŋ
frustrating	f ʌ ʃ t͡ʃ ɹ e ɪ̯ ɾ ɪ ŋ
fsck	f͡s̪ k
fsck	ɸ͡s k
fsck	ɸ͡s̪ k
fuck	f ʌ k
fuck	f ʌ ʔ k
fuck	f ʌ ʔ
fuck	f ɜ k
fuck	f ɐ̞ k
fuckability	f ʌ k ə b ɪ l ɪ̈ ɾ i
fuckability	f ʌ k ɪ̈ b ɪ l ɪ̈ ɾ i
fucking	f ɐ k ɪ ŋ
fucking	f ɐ k i ŋ
fucking	f ɐ k ɪ n
fuckwind	f ʌ k̚ w ɪ̃ n d̥̚
fuel	f j u w ə ɫ
full	f ʊ ɫ
function	f ʌ ŋ k ʃ ɪ̈ n
function	f ʌ ŋ k ʃ n̩
fundamental	f ʌ n d ə m ɛ n t ɫ̩
funds	f ə n d z
funeral	f j ɪ u̯ n ɚ ə l
funt	f u n t
furcal	f ɜː k ə ɫ
furcal	f ɝ k ə ɫ
furrier	f ɝˑ i ɚ
furrier	f ɝ i ɚ
fusilier	f j ʊ u̯ z ɪ l ɪ ɚ
fusilier	f j ʊ u̯ z ɪ l ɪ ɹ̩
futile	f j u ɾ ə l
futtock	f ə ɾ ə k
future	f j ʊ u̯ t͡ʃ ɚ
future	f j ʊ u̯ t͡ʃ ɹ̩
fye	f aː ə
fye	f aː
fye	f äː ə
fye	f äː
Gaeltacht	ɡ e ɪ l t ə x t
gag	ɡ e ɪ̯ ɡ
galon	ɡ æ l ɔ̃
galon	ɡ æ l ɑ̃
game	ɡ e ɪ̯ m
game	ɡ ɛ i̯ m
gamer	ɡ e ɪ̯ m ɚ
gamer	ɡ e ɪ̯ m ɹ̩
gamer	ɡ eː m ɚ
gamer	ɡ eː m ɹ̩
gang	ɡ e ɪ̯ ŋ
gang	ɡ ɛ̃ ŋ
gangbang	ɡ e ɪ̯ ŋ b e ɪ̯ ŋ
gangbang	ɡ ɛ̃ ŋ b ɛ̃ ŋ
gangbanger	ɡ æ ŋ b æ ŋ ɚ
gangbanger	ɡ æ ŋ b æ ŋ ɹ̩
gangbanger	ɡ e ɪ̯ ŋ b e ɪ̯ ŋ ɚ
gangbanger	ɡ e ɪ̯ ŋ b e ɪ̯ ŋ ɹ̩
gangbanger	ɡ ɛ̃ ŋ b ɛ̃ ŋ ɚ
gangbanger	ɡ ɛ̃ ŋ b ɛ̃ ŋ ɹ̩
gangrene	ɡ æ ŋ ɡ ɹʷ ɪ i̯ n
gangrene	ɡ e ɪ̯ ŋ ɡ ɹʷ ɪ i̯ n
gangrene	ɡ ɛ̃ ŋ ɡ ɹʷ ɪ i̯ n
gangsta	ɡ e ɪ̯ ŋ s t ə
gangsta	ɡ ɛ̃ ŋ s t ə
gangster	ɡ æ ŋ s t ɚ
gangster	ɡ æ ŋ s t ɹ̩
gangster	ɡ e ɪ̯ ŋ s t ɚ
gangster	ɡ e ɪ̯ ŋ s t ɹ̩
gangster	ɡ ɛ̃ ŋ s t ɚ
gangster	ɡ ɛ̃ ŋ s t ɹ̩
Gangtok	ɡ æ ŋ t ɒ k
gank	ɡ e ɪ̯ ŋ k
gank	ɡ ɛ̃ ŋ k
Gaon	ɡ ɔ ʏ n
Gaon	ɡ œ ʏ n
garment	ɡ ɑ ɹ m ə n t
garment	ɡ ɑ ɹ m n̩ t
garnish	ɡ ɑ ɹ n ɪ ʃ
gasoline	ɡ æ s ɵ l i n
gastroenterology	ɡ æ s t͡ʃʰ ɹ ɔ ʊ e n ə ɹ ɑ l ə d͡ʒ i
gaumy	ɡ ɔː m i
gaymer	ɡ e ɪ̯ m ɚ
gaymer	ɡ e ɪ̯ m ɹ̩
gear	ɡ ɪ ɚ
gear	ɡ ɪ ɹ̩
gear	ɡ iː ɾ
gel	d͡ʒ ɛ ɫ
genal	d ʒ ɛ n ɫ̩
generality	d͡ʒ ɛ n ə ɹ æ l ə ɾ i
generate	d͡ʒ ɛ n ɹ e ɪ t
generative	d͡ʒ ɛ n ə ɹ ə ɾ ɪ v
generative	d͡ʒ ɛ n ɹ ə ɾ ɪ v
generative	d͡ʒ ə n ɛ ɹ ə ɾ ɪ v
generosity	d͡ʒ ɛ n ə ɹ ɑ s ə ɾ i
genkan	ɡ ɛ ŋ k ɑ n
gentility	d͡ʒ ɛ n t ɪ l ə ɾ i
gentle	d͡ʒ ɛ̃ ɾ̃ l̩
gentleman	d͡ʒ ɛ ɾ̃ ɫ̩ m ə n
gently	d͡ʒ ɛ̃ ɾ̃ l i
gently	d͡ʒ ɛ n l i
Gesellian	ɡ ə z ɛ l
Gewürztraminer	ɡ ə v ɝ t s t ɹ ə m iː n ɚ
ghetto	ɡ ɛ ɾ o ʊ̯
ghettoize	ɡ ɛ ɾ o ʊ̯ a ɪ̯ z
gib	ɡ ɪ b
giddy	ɡ ɪ ɾ i
gigantic	d͡ʒ a ɪ ɡ ɛ ə n t ɪ k
giggity	ɡ ɪ ɡ ɪ ɾ i
gilt	ɡ ɪ ɫ t
GILT	ɡ ɪ ɫ t
ginseng	d͡ʒ ɪ n s ɛ ŋ
ginseng	d͡ʒ ɪ n s ɪ̟ ŋ
girl	ɡ ɝ ə ɫ
girth	ɡ ɚ θ
give	ɡ ɪ v
given	ɡ ɪ v ə n
given	ɡ ɪ v n̩
giver	ɡ ɪ v ɚ
giver	ɡ ɪ v ɹ̩
gladden	ɡ l æ d n̩
gladen	ɡ l æ d n̩
gladiator	ɡ l æ d i e ɪ tʰ ɚ
gladiator	ɡ l æ ɾ i e ɪ ɾ ɚ
glance	ɡ ɫ e ə n s
gland	ɡ l e ə n d
gland	ɡ l ɛ ə n d
glass	ɡ l ɛ ə s
glass	ɡ l e ə s
glimmer	ɡ l ɪ m ɚ
glimmer	ɡ l ɪ m ɹ̩
glimpse	ɡ l̥ ɪ m p s
glimpse	ɡ l̥ ɪ m s
glitter	ɡ l ɪ ɾ ɚ
glizzy	ɡ l ɪ z i
global	ɡ l o ʊ̯ b ə ɫ
global	ɡ l o ʊ̯ b ɫ
glory	ɡ l ɔ ɹ i
glottal	ɡ l ɑ ɾ l̩
glottis	ɡ l ɑ ɾ ɪ s
glutamate	ɡ ɫ u̟ ɾ ə m e ɪ̯ t
glutaric	ɡ l u t ɛ ɹ ɪ k
Gmail	d͡ʒ iː m e ɪ l
goal	ɡ o ɫ
goat	ɡ o ʊ ʔ t̚
goated	ɡ o ʊ ɾ ɪ d
goathouse	ɡ o ʊ ʔ t̚ h a ʊ s
goathouse	ɡ o ʊ ʔ h a ʊ s
goathouse	ɡ o ʊ ʔ t̚ h a ʊ s
goathouse	ɡ o ʊ t̚ h a ʊ s
god	ɡ ɔ̟ d
Goebbels	ɡ o ʊ b l̩ z
Goebbels	ɡ ɚ b l̩ z
Goebbels	ɡ œ b l̩ z
goiter	ɡ ɔ ɪ ɾ ɚ
gold	ɡ o l d
golden	ɡ ə ɫ d n̩
gon	ɡ õ ʊ
gon	ɡ õ
gonna	ɡ o ʊ ɪ n ə
Gorrie	ɡ ɑ ɻ w ɪ j
Gorrie	ɡ ɑ ɻ w i j
Gorrie	ɡ ɑ ɻ w i
Gorton	ɡ ɔ ɹ ɾ n̩
Gorton	ɡ ɔ ɹ ʔ n̩
gotta	ɡ ɑ ɾ ə
gotten	ɡ ɑ t n̩
gotten	ɡ ɑ ʔ n̩
gotten	ɡ ɑ t̚ n̩
Götterdämmerung	ɡ ɑ ɾ ɚ d ɛ ə̯ m ɚ ʊ ŋ
gouge	ɡ a ʊ̯ d͡ʒ
gouge	ɡ æ ʊ̯ d͡ʒ
gourami	ɡ ɚ ɑ m ɪ j
gouty	ɡ a ʊ̯ ɾ i
gowk	ɡ æ ʊ̯ˀ k
grab	ɡ ɹʷ æ b
gracias	ɡ ɾ ɑ̈ s i ə s
grade	ɡ ɹ e ɪ d
grade	ɡ ɹ ɛ j d
grade	ɡ ɹ eː d
grade	ɡ ɹ æ ɪ d
graffito	ɡ ɹ ə f i ɾ o ʊ̯
grammar	ɡ ɹ ɛ ə m ɚ
grammar	ɡ ɹ æː m ɚ
grammar	ɡ ɹ a m ɚ
gramophone	ɡ ɹ æ m ə f o ʊ n
grand	ɡ ɹʷ æ n d
grand	ɡ ɹʷ e ə̯ n d
grand	ɡ ɹʷ ɛ ə̯ n d
grandfather	ɡ ɹ̠ʷ ẽˑ ə̯̃ n d f ɑˑ ð ɚ
grandfather	ɡ ɹ̠ʷ ẽˑ ə̯̃ n f ɑˑ ð ɚ
grandfather	ɡ ɹ̠ ẽˑ ə̯̃ n d f ɑˑ ð ɚ
grandfather	ɡ ɹ̠ ẽˑ ə̯̃ n f ɑˑ ð ɚ
granular	ɡ ɹ ɛ ə n j ə l ɚ
grass	ɡ ɹ̠ æ s
grass	ɡ ɹ̠ ɛ ə s
grass	ɡ ɹ̠ e ə s
grass	ɡ ɹ̠ a s
grass	ɡ ɹ̠ ä s
grass	ɡ ɹ̠ ɛ ə s
grated	ɡ ɹ e ɪ̯ ɾ ɪ d
gratified	ɡ ɹ æː ɾ ɨ f a ɪː d̚
grating	ɡ ɹ e ɪ̯ ɾ ɪ ŋ
gratitude	ɡ ɹʷ æ tʰ ɪ tʰ ʊ u̯ d
gratitude	ɡ ɹʷ æ ɾ ɪ tʰ ʊ u̯ d
gravel	ɡ ɹ æ v l̩
gravitation	ɡ ɹʷ æ v ɪ tʰ e ɪ̯ ʃ ə n
gravitation	ɡ ɹʷ æ v ɪ tʰ e ɪ̯ ʃ n̩
gravity	ɡ ɹ æ v ɪ tʰ ɪ i̯
gravity	ɡ ɹ æ v ɪ ɾ ɪ i̯
gravity	ɡ ɹ æ v ə tʰ ɪ i̯
gravity	ɡ ɹ æ v ə ɾ ɪ i̯
great	ɡ ɹ eː t
great	ɡ ɹ eː t
great	ɡ ɹ ɛː t
greater	ɡ ɹ e ɪ ɾ ɚ
grip	ɡ ɹʷ ɪ p
grivna	ɡ ɹ ɪ v n ɑ
grows	ɡ ɹ o ʊ̯ z
grr	ɡ ɚːː
guesstimate	ɡ ɛ s t ɪ̈ m ɪ̈ ʔ t̚
guesstimate	ɡ ɛ s t ɪ̈ m ɪ̈ ʔ
guesstimate	ɡ ɛ s t ɪ̈ m e ɪ̯ ʔ t̚
guesstimate	ɡ ɛ s t ɪ̈ m e ɪ̯ ʔ
guileless	ɡ a ɪ ɫ l ə s
gutter	ɡ ʌ ɾ ɚ
guttural	ɡ ʌ ɾ ə ɹ ə ɫ̩
guy	ɡ a ɪ
guy	ɡ ɑ j
guy	ɡ a ɪ
guy	ɡ ə j
guy	ɡ ɑ ɪ
gyros	d͡ʒ a ɪ ɹ o ʊ z
h	æ ɪ t͡ʃ
h	h eː t͡ʃ
h	h æ ɪ t͡ʃ
ha	h aː
ha	h a
habitat	h æ b ɪ t æ ʔ
habitualize	h æ b ɪ t͡ʃʰ ə l a ɪː z
habitualize	h æ b ɪ t͡ʃʰ u ə̯ l a ɪː z
háček	h ɑː t͡ʃ ɛ k
háček	h ɑ t͡ʃ ɛ k
háček	h ɑ ə t͡ʃ ɛ k
háček	h aː t͡ʃ ɛ k
háček	h aː t͡ʃ e k
háček	h ɐː t͡ʃ e k
háček	ɦ ɑː t͡ʃ ɛ k
hackle	h æ k ə l
hackle	h æ k l̩
hackler	h æ k l ɚ
hackler	h æ k l ɹ̩
hackneyed	h æ k n ɪ i̯ d
hadith	h ə d iː θ
hag	h e ɪ̯ ɡ
Hague	h e ɪ̯ ɡ
hah	h aː
hah	h a
Haig	h e ɪ̯ ɡ
Haig	h a ɪ̯ ɡ
hail	h e ɪ̯ ɫ
hail	h e ɫ
hair	h ɛ ɚ
hair	h ɛ ɹ̩
hair	h eː ɾ
hallmark	h ɑ ɫ m ɑ ɹ k
ham	h æ m
ham	h e ə̯ m
ham	h ɛ ə̯ m
Hamilton	h ɛ ə m ə l t ə n
Hamilton	h e ə m ə l t ə n
hand	h æ n d
hand	h e ə̯ n d
hand	h ɛ ə̯ n d
handbook	h ɛ ə n d b ʊ k
handkerchief	h æ ŋ k ɚ t͡ʃ ə f
handkerchief	h æ ŋ k ɹ̩ t͡ʃ ə f
handkerchief	h e ɪ̯ ŋ k ɚ t͡ʃ ə f
handkerchief	h e ɪ̯ ŋ k ɹ̩ t͡ʃ ə f
handkerchief	h ɛ̃ ŋ k ɚ t͡ʃ ə f
handkerchief	h ɛ̃ ŋ k ɹ̩ t͡ʃ ə f
handler	h ɛ ə n d l ɚ
hands	h ɛ ə n d z
hands	h e ə n d z
hands	h ɛː n d z
hang	h ɛː ŋ
hang	h ɛ ə ŋ
hang	h e ə ŋ
hang	h e ɪ ŋ
hangar	h æ ŋ ɚ
hangar	h æ ŋ ɹ̩
hangar	h e ɪ̯ ŋ ɚ
hangar	h e ɪ̯ ŋ ɹ̩
hangar	h ɛ̃ ŋ ɚ
hangar	h ɛ̃ ŋ ɹ̩
hanger	h æ ŋ ɚ
hanger	h æ ŋ ɹ̩
hanger	h e ɪ̯ ŋ ɚ
