AFI	a f i
pulverización	p u l b e ɾ i θ a θ j o n
pulverizada	p u l b e ɾ i θ a d a
pulverizadas	p u l b e ɾ i θ a d a s
pulverizado	p u l b e ɾ i θ a d o
pulverizador	p u l b e ɾ i θ a d o ɾ
pulverizados	p u l b e ɾ i θ a d o s
pulverizar	p u l b e ɾ i θ a ɾ
pulvinar	p u l b i n a ɾ
pulóver	p u l o b e ɾ
pum	p u m
puma	p u m a
pumanquina	p u m a n k i n a
pumanquino	p u m a n k i n o
pumita	p u m i t a
pun	p u n
puna	p u n a
punalúa	p u n a l u a
punamos	p u n a m o s
punan	p u n a n
punas	p u n a s
punchada	p u n t͡ʃ a d a
punchadas	p u n t͡ʃ a d a s
punchado	p u n t͡ʃ a d o
punchados	p u n t͡ʃ a d o s
punchar	p u n t͡ʃ a ɾ
punción	p u n θ j o n
pundonor	p u n d o n o ɾ
pundonoroso	p u n d o n o ɾ o s o
pune	p u n e
punes	p u n e s
punga	p u n ɡ a
pungencia	p u n x e n θ j a
pungente	p u n x e n t e
pungir	p u n x i ɾ
punibilidad	p u n i b i l i d a d
punible	p u n i b l e
punición	p u n i θ j o n
punida	p u n i d a
punidas	p u n i d a s
punido	p u n i d o
punidos	p u n i d o s
punimos	p u n i m o s
punir	p u n i ɾ
puniremos	p u n i ɾ e m o s
punirá	p u n i ɾ a
punirás	p u n i ɾ a s
puniríamos	p u n i ɾ i a m o s
puniste	p u n i s t e
punitiva	p u n i t i b a
punitivas	p u n i t i b a s
punitivismo	p u n i t i b i s m o
punitivo	p u n i t i b o
punitivos	p u n i t i b o s
punk	p u n k
punki	p u n k i
puno	p u n o
punta	p u n t a
puntada	p u n t a d a
puntadas	p u n t a d a s
puntado	p u n t a d o
puntados	p u n t a d o s
puntal	p u n t a l
puntana	p u n t a n a
puntar	p u n t a ɾ
puntas	p u n t a s
puntazo	p u n t a θ o
puntazos	p u n t a θ o s
punteada	p u n t e a d a
punteadas	p u n t e a d a s
punteado	p u n t e a d o
punteados	p u n t e a d o s
puntear	p u n t e a ɾ
punteo	p u n t e o
puntero	p u n t e ɾ o
puntería	p u n t e ɾ i a
puntiforme	p u n t i f o ɾ m e
puntilla	p u n t i ʝ a
puntillazo	p u n t i ʝ a θ o
puntillazos	p u n t i ʝ a θ o s
puntillero	p u n t i ʝ e ɾ o
puntillita	p u n t i ʝ i t a
puntillo	p u n t i ʝ o
puntilloso	p u n t i ʝ o s o
puntita	p u n t i t a
puntito	p u n t i t o
punto	p u n t o
puntofijismo	p u n t o f i x i s m o
puntuabilidad	p u n t w a b i l i d a d
puntuación	p u n t w a θ j o n
puntuada	p u n t w a d a
puntuadas	p u n t w a d a s
puntuado	p u n t w a d o
puntuados	p u n t w a d o s
puntual	p u n t w a l
puntualidad	p u n t w a l i d a d
puntualización	p u n t w a l i θ a θ j o n
puntualizada	p u n t w a l i θ a d a
puntualizadas	p u n t w a l i θ a d a s
puntualizado	p u n t w a l i θ a d o
puntualizados	p u n t w a l i θ a d o s
puntualizar	p u n t w a l i θ a ɾ
puntualísimo	p u n t w a l i s i m o
puntuar	p u n t w a ɾ
puntura	p u n t u ɾ a
punzada	p u n θ a d a
punzadas	p u n θ a d a s
punzado	p u n θ a d o
punzados	p u n θ a d o s
punzante	p u n θ a n t e
punzar	p u n θ a ɾ
punzocortante	p u n θ o k o ɾ t a n t e
punzó	p u n θ o
punzón	p u n θ o n
puníamos	p u n i a m o s
pupa	p u p a
pupila	p u p i l a
pupilar	p u p i l a ɾ
pupilente	p u p i l e n t e
pupilera	p u p i l e ɾ a
pupilero	p u p i l e ɾ o
pupilo	p u p i l o
pupitre	p u p i t ɾ e
pupusa	p u p u s a
pupusería	p u p u s e ɾ i a
pura	p u ɾ a
puras	p u ɾ a s
purasangre	p u ɾ a s a n ɡ ɾ e
puretazo	p u ɾ e t a θ o
pureza	p u ɾ e θ a
purga	p u ɾ ɡ a
purgación	p u ɾ ɡ a θ j o n
purgada	p u ɾ ɡ a d a
purgadas	p u ɾ ɡ a d a s
purgado	p u ɾ ɡ a d o
purgador	p u ɾ ɡ a d o ɾ
purgados	p u ɾ ɡ a d o s
purgamos	p u ɾ ɡ a m o s
purgante	p u ɾ ɡ a n t e
purgantes	p u ɾ ɡ a n t e s
purgar	p u ɾ ɡ a ɾ
purgare	p u ɾ ɡ a ɾ e
purgas	p u ɾ ɡ a s
purgativa	p u ɾ ɡ a t i b a
purgativas	p u ɾ ɡ a t i b a s
purgativo	p u ɾ ɡ a t i b o
purgativos	p u ɾ ɡ a t i b o s
purgatoria	p u ɾ ɡ a t o ɾ j a
purgatorias	p u ɾ ɡ a t o ɾ j a s
purgatorio	p u ɾ ɡ a t o ɾ j o
purgatorios	p u ɾ ɡ a t o ɾ j o s
purgo	p u ɾ ɡ o
puridad	p u ɾ i d a d
purifica	p u ɾ i f i k a
purificación	p u ɾ i f i k a θ j o n
purificada	p u ɾ i f i k a d a
purificadas	p u ɾ i f i k a d a s
purificado	p u ɾ i f i k a d o
purificador	p u ɾ i f i k a d o ɾ
purificados	p u ɾ i f i k a d o s
purificar	p u ɾ i f i k a ɾ
purificare	p u ɾ i f i k a ɾ e
purifico	p u ɾ i f i k o
purillo	p u ɾ i ʝ o
purina	p u ɾ i n a
purismo	p u ɾ i s m o
purista	p u ɾ i s t a
puristas	p u ɾ i s t a s
puritana	p u ɾ i t a n a
puritanas	p u ɾ i t a n a s
puritano	p u ɾ i t a n o
puritanos	p u ɾ i t a n o s
puro	p u ɾ o
puros	p u ɾ o s
purpura	p u ɾ p u ɾ a
purpurada	p u ɾ p u ɾ a d a
purpuradas	p u ɾ p u ɾ a d a s
purpurado	p u ɾ p u ɾ a d o
purpurados	p u ɾ p u ɾ a d o s
purpurar	p u ɾ p u ɾ a ɾ
purpurina	p u ɾ p u ɾ i n a
purpuro	p u ɾ p u ɾ o
purulencia	p u ɾ u l e n θ j a
purulento	p u ɾ u l e n t o
puré	p u ɾ e
purépecha	p u ɾ e p e t͡ʃ a
purísimo	p u ɾ i s i m o
pus	p u s
puse	p u s e
pushco	p u ʃ k o
pusilanimidad	p u s i l a n i m i d a d
pusilanimidades	p u s i l a n i m i d a d e s
pusilánime	p u s i l a n i m e
pusilánimes	p u s i l a n i m e s
pusiéramos	p u s j e ɾ a m o s
puso	p u s o
pustulado	p u s t u l a d o
pustuloso	p u s t u l o s o
puta	p u t a
putadita	p u t a d i t a
putativa	p u t a t i b a
putativas	p u t a t i b a s
putativo	p u t a t i b o
putativos	p u t a t i b o s
putazo	p u t a θ o
putazos	p u t a θ o s
putañeada	p u t a ɲ e a d a
putañeadas	p u t a ɲ e a d a s
putañeado	p u t a ɲ e a d o
putañeados	p u t a ɲ e a d o s
putañero	p u t a ɲ e ɾ o
puteada	p u t e a d a
puteadas	p u t e a d a s
puteado	p u t e a d o
puteados	p u t e a d o s
putear	p u t e a ɾ
puteo	p u t e o
putero	p u t e ɾ o
puterío	p u t e ɾ i o
puticlub	p u t i k l u b
putiferio	p u t i f e ɾ j o
putinesca	p u t i n e s k a
putinescas	p u t i n e s k a s
putinesco	p u t i n e s k o
putinescos	p u t i n e s k o s
putita	p u t i t a
puto	p u t o
putona	p u t o n a
putonas	p u t o n a s
putrefacción	p u t ɾ e f a ɡ θ j o n
putrefacta	p u t ɾ e f a ɡ t a
putrefactas	p u t ɾ e f a ɡ t a s
putrefacto	p u t ɾ e f a ɡ t o
putrefactos	p u t ɾ e f a ɡ t o s
putsch	p u t͡ʃ
putón	p u t o n
putún	p u t u n
puya	p u ʝ a
puyar	p u ʝ a ɾ
puyazo	p u ʝ a θ o
puyazos	p u ʝ a θ o s
puzle	p u θ l e
puzzle	p u θ l e
puérpara	p w e ɾ p a ɾ a
puérpera	p w e ɾ p e ɾ a
puérperas	p w e ɾ p e ɾ a s
puñada	p u ɲ a d a
puñadas	p u ɲ a d a s
puñadito	p u ɲ a d i t o
puñado	p u ɲ a d o
puñados	p u ɲ a d o s
puñal	p u ɲ a l
puñalillo	p u ɲ a l i ʝ o
puñalito	p u ɲ a l i t o
puñalote	p u ɲ a l o t e
puñar	p u ɲ a ɾ
puñeta	p u ɲ e t a
puñetazo	p u ɲ e t a θ o
puñetazos	p u ɲ e t a θ o s
puñete	p u ɲ e t e
puñetero	p u ɲ e t e ɾ o
puño	p u ɲ o
pyme	p i m e
pábilo	p a b i l o
pádel	p a d e l
página	p a x i n a
pájara	p a x a ɾ a
pájaro	p a x a ɾ o
pájaros	p a x a ɾ o s
pálida	p a l i d a
pálidas	p a l i d a s
pálido	p a l i d o
pálidos	p a l i d o s
pálpito	p a l p i t o
pámpano	p a m p a n o
pámper	p a m p e ɾ
pámpido	p a m p i d o
páncreas	p a n k ɾ e a s
pánfilo	p a n f i l o
pánico	p a n i k o
pápalo	p a p a l o
páprika	p a p ɾ i k a
páramo	p a ɾ a m o
párpado	p a ɾ p a d o
párrafo	p a r a f o
párroco	p a r o k o
pársec	p a ɾ s e k
pártica	p a ɾ t i k a
párticas	p a ɾ t i k a s
pártico	p a ɾ t i k o
párticos	p a ɾ t i k o s
párvula	p a ɾ b u l a
párvulas	p a ɾ b u l a s
párvulo	p a ɾ b u l o
párvulos	p a ɾ b u l o s
pátera	p a t e ɾ a
pátina	p a t i n a
pávido	p a b i d o
pélvica	p e l b i k a
pélvicas	p e l b i k a s
pélvico	p e l b i k o
pélvicos	p e l b i k o s
péndola	p e n d o l a
péndulo	p e n d u l o
pénfigo	p e n f i ɡ o
pénfigos	p e n f i ɡ o s
pénsum	p e n s u m
péplum	p e p l u m
péptico	p e b t i k o
pérdida	p e ɾ d i d a
pérfida	p e ɾ f i d a
pérfidas	p e ɾ f i d a s
pérfido	p e ɾ f i d o
pérfidos	p e ɾ f i d o s
pérgola	p e ɾ ɡ o l a
pérgolas	p e ɾ ɡ o l a s
pésame	p e s a m e
pésimo	p e s i m o
pésol	p e s o l
pétalo	p e t a l o
pétreo	p e t ɾ e o
péñola	p e ɲ o l a
péñolas	p e ɲ o l a s
pías	p i a s
pícaro	p i k a ɾ o
pícea	p i θ e a
pícher	p i t͡ʃ e ɾ
pícnic	p i ɡ n i k
pícolo	p i k o l o
pícrico	p i k ɾ i k o
pídola	p i d o l a
píldora	p i l d o ɾ a
píleo	p i l e o
píloro	p i l o ɾ o
pínnula	p i n u l a
pínula	p i n u l a
pío	p i o
pírrica	p i r i k a
pírricas	p i r i k a s
pírrico	p i r i k o
pírricos	p i r i k o s
pítima	p i t i m a
pívot	p i b o t
píxel	p i ɡ s e l
píxide	p i ɡ s i d e
pócima	p o θ i m a
póculo	p o k u l o
póculos	p o k u l o s
pólipo	p o l i p o
póliza	p o l i θ a
pólvora	p o l b o ɾ a
pómez	p o m e θ
pómulo	p o m u l o
póntico	p o n t i k o
póquer	p o k e ɾ
pórfido	p o ɾ f i d o
pórtico	p o ɾ t i k o
pósit	p o s i t
pósito	p o s i t o
póster	p o s t e ɾ
póstuma	p o s t u m a
póstumas	p o s t u m a s
póstumo	p o s t u m o
póstumos	p o s t u m o s
póñil	p o ɲ i l
púa	p u a
púber	p u b e ɾ
púbica	p u b i k a
púbico	p u b i k o
público	p u b l i k o
púchica	p u t͡ʃ i k a
púdico	p u d i k o
púlpito	p u l p i t o
púlsar	p u l s a ɾ
púnico	p u n i k o
púrico	p u ɾ i k o
púrpura	p u ɾ p u ɾ a
pústula	p u s t u l a
pútrido	p u t ɾ i d o
q	k e
qoppa	k o p a
qualy	k w a l i
quantizado	k w a n t i θ a d o
quark	k w a ɾ k
quarterback	k w a ɾ t e ɾ b a k
quasitropical	k w a s i t ɾ o p i k a l
quatrocientos	k w a t ɾ o θ j e n t o s
que	k e
quebequés	k e b e k e s
quebrachal	k e b ɾ a t͡ʃ a l
quebracho	k e b ɾ a t͡ʃ o
quebrada	k e b ɾ a d a
quebradas	k e b ɾ a d a s
quebradita	k e b ɾ a d i t a
quebrado	k e b ɾ a d o
quebrados	k e b ɾ a d o s
quebradura	k e b ɾ a d u ɾ a
quebramos	k e b ɾ a m o s
quebrando	k e b ɾ a n d o
quebrantación	k e b ɾ a n t a θ j o n
quebrantada	k e b ɾ a n t a d a
quebrantadas	k e b ɾ a n t a d a s
quebrantado	k e b ɾ a n t a d o
quebrantados	k e b ɾ a n t a d o s
quebrantaherraduras	k e b ɾ a n t a e r a d u ɾ a s
quebrantahuesos	k e b ɾ a n t a w e s o s
quebrantamiento	k e b ɾ a n t a m j e n t o
quebrantar	k e b ɾ a n t a ɾ
quebranto	k e b ɾ a n t o
quebrar	k e b ɾ a ɾ
quebrara	k e b ɾ a ɾ a
quebraras	k e b ɾ a ɾ a s
quebrareis	k e b ɾ a ɾ e i s
quebraremos	k e b ɾ a ɾ e m o s
quebrares	k e b ɾ a ɾ e s
quebrará	k e b ɾ a ɾ a
quebrarás	k e b ɾ a ɾ a s
quebraríamos	k e b ɾ a ɾ i a m o s
quebraste	k e b ɾ a s t e
quebremos	k e b ɾ e m o s
quebráramos	k e b ɾ a ɾ a m o s
queche	k e t͡ʃ e
quechua	k e t͡ʃ w a
quedada	k e d a d a
quedadas	k e d a d a s
quedado	k e d a d o
quedados	k e d a d o s
quedar	k e d a ɾ
quedas	k e d a s
quedito	k e d i t o
quedo	k e d o
queer	k w i ɾ
quehacer	k e a θ e ɾ
quehúbole	k e u b o l e
queimada	k e i m a d a
queique	k e i k e
queja	k e x a
quejada	k e x a d a
quejadas	k e x a d a s
quejado	k e x a d o
quejados	k e x a d o s
quejar	k e x a ɾ
quejarse	k e x a ɾ s e
quejicoso	k e x i k o s o
quejido	k e x i d o
quejigar	k e x i ɡ a ɾ
quejigo	k e x i ɡ o
quejo	k e x o
quejoso	k e x o s o
quejumbrosamente	k e x u m b ɾ o s a m e n t e
quejumbroso	k e x u m b ɾ o s o
quejá	k e x a
quejándose	k e x a n d o s e
quejé	k e x e
quejío	k e x i o
quelar	k e l a ɾ
quelato	k e l a t o
quelele	k e l e l e
quelicerado	k e l i θ e ɾ a d o
quelite	k e l i t e
quelonio	k e l o n j o
quelpo	k e l p o
quelvacho	k e l b a t͡ʃ o
quema	k e m a
quemada	k e m a d a
quemadas	k e m a d a s
quemado	k e m a d o
quemador	k e m a d o ɾ
quemadora	k e m a d o ɾ a
quemadoras	k e m a d o ɾ a s
quemadores	k e m a d o ɾ e s
quemados	k e m a d o s
quemadura	k e m a d u ɾ a
quemar	k e m a ɾ
quemas	k e m a s
quemazones	k e m a θ o n e s
quemazón	k e m a θ o n
queme	k e m e
quemosis	k e m o s i s
quena	k e n a
quenepa	k e n e p a
quenya	k e n j a
quenístico	k e n i s t i k o
queperí	k e p e ɾ i
quepis	k e p i s
quepo	k e p o
quepí	k e p i
queque	k e k e
quequito	k e k i t o
quera	k e ɾ a
querandí	k e ɾ a n d i
queratina	k e ɾ a t i n a
queratitis	k e ɾ a t i t i s
queratoconjuntivitis	k e ɾ a t o k o n x u n t i b i t i s
querella	k e ɾ e ʝ a
querellada	k e ɾ e ʝ a d a
querelladas	k e ɾ e ʝ a d a s
querellado	k e ɾ e ʝ a d o
querellados	k e ɾ e ʝ a d o s
querellarse	k e ɾ e ʝ a ɾ s e
querencia	k e ɾ e n θ j a
querencias	k e ɾ e n θ j a s
querendona	k e ɾ e n d o n a
querendonas	k e ɾ e n d o n a s
querendones	k e ɾ e n d o n e s
querendón	k e ɾ e n d o n
querequequé	k e ɾ e k e k e
querer	k e ɾ e ɾ
queretano	k e ɾ e t a n o
querida	k e ɾ i d a
queridas	k e ɾ i d a s
querido	k e ɾ i d o
queridos	k e ɾ i d o s
queridísimo	k e ɾ i d i s i m o
querosene	k e ɾ o s e n e
queroseno	k e ɾ o s e n o
querube	k e ɾ u b e
querubín	k e ɾ u b i n
quesadilla	k e s a d i ʝ a
quesera	k e s e ɾ a
quesero	k e s e ɾ o
quesería	k e s e ɾ i a
quesillo	k e s i ʝ o
quesito	k e s i t o
queso	k e s o
quesín	k e s i n
quetiapina	k e t j a p i n a
quetzal	k e t θ a l
queule	k e u l e
quevediano	k e b e d j a n o
quezalteca	k e θ a l t e k a
quezeño	k e θ e ɲ o
queísmo	k e i s m o
qui	k i
quia	k j a
quiasma	k j a s m a
quiasmo	k j a s m o
quibla	k i b l a
quiche	k i t͡ʃ e
quiche	k i ʃ
quiché	k i t͡ʃ e
quicio	k i θ j o
quideñe	k i d e ɲ e
quiebra	k j e b ɾ a
quiebre	k j e b ɾ e
quiebro	k j e b ɾ o
quien	k j e n
quienes	k j e n e s
quienquiera	k j e n k j e ɾ a
quiere	k j e ɾ e
quiero	k j e ɾ o
quiescencia	k j e s θ e n θ j a
quiescente	k j e s θ e n t e
quiescentes	k j e s θ e n t e s
quietada	k j e t a d a
quietadas	k j e t a d a s
quietado	k j e t a d o
quietados	k j e t a d o s
quietar	k j e t a ɾ
quiete	k j e t e
quietecito	k j e t e θ i t o
quieto	k j e t o
quietud	k j e t u d
quihubo	k j u b o
quihúbole	k j u b o l e
quija	k i x a
quijada	k i x a d a
quijo	k i x o
quijotería	k i x o t e ɾ i a
quijotesco	k i x o t e s k o
quijotismo	k i x o t i s m o
quila	k i l a
quilatada	k i l a t a d a
quilatadas	k i l a t a d a s
quilatado	k i l a t a d o
quilatados	k i l a t a d o s
quilatar	k i l a t a ɾ
quilate	k i l a t e
quillada	k i ʝ a d a
quilladas	k i ʝ a d a s
quillado	k i ʝ a d o
quillados	k i ʝ a d o s
quillo	k i ʝ o
quilmahue	k i l m a w e
quilombo	k i l o m b o
quilombola	k i l o m b o l a
quilquiña	k i l k i ɲ a
quiltro	k i l t ɾ o
quimafila	k i m a f i l a
quimba	k i m b a
quimbar	k i m b a ɾ
quimbaya	k i m b a ʝ a
quimbo	k i m b o
quimbombó	k i m b o m b o
quimera	k i m e ɾ a
quimiolitótrofo	k i m j o l i t o t ɾ o f o
quimioluminiscencia	k i m j o l u m i n i s θ e n θ j a
quimioquina	k i m j o k i n a
quimioterapia	k i m j o t e ɾ a p j a
quimioterapias	k i m j o t e ɾ a p j a s
quimioterápica	k i m j o t e ɾ a p i k a
quimioterápicas	k i m j o t e ɾ a p i k a s
quimioterápico	k i m j o t e ɾ a p i k o
quimioterápicos	k i m j o t e ɾ a p i k o s
quimotripsina	k i m o t ɾ i b s i n a
quina	k i n a
quinario	k i n a ɾ j o
quinasa	k i n a s a
quincallero	k i n k a ʝ e ɾ o
quince	k i n θ e
quinceañera	k i n θ e a ɲ e ɾ a
quinceañero	k i n θ e a ɲ e ɾ o
quinceaños	k i n θ e a ɲ o s
quincena	k i n θ e n a
quincenal	k i n θ e n a l
quincenario	k i n θ e n a ɾ j o
quincha	k i n t͡ʃ a
quincho	k i n t͡ʃ o
quincuagésima	k i n k w a x e s i m a
quincuagésimas	k i n k w a x e s i m a s
quincuagésimo	k i n k w a x e s i m o
quincuagésimos	k i n k w a x e s i m o s
quincunce	k i n k u n θ e
quingentésimo	k i n x e n t e s i m o
quingombó	k i n ɡ o m b o
quiniela	k i n j e l a
quinielero	k i n j e l e ɾ o
quinientas	k i n j e n t a s
quinientos	k i n j e n t o s
quinimil	k i n i m i l
quinoa	k i n o a
quinolona	k i n o l o n a
quinoto	k i n o t o
quinquenal	k i n k e n a l
quinquenio	k i n k e n j o
quinquerreme	k i n k e r e m e
quinqui	k i n k i
quinqué	k i n k e
quinta	k i n t a
quintacolumnista	k i n t a k o l u m n i s t a
quintaesencia	k i n t a e s e n θ j a
quintaesenciar	k i n t a e s e n θ j a ɾ
quintal	k i n t a l
quintanarroense	k i n t a n a r o e n s e
quinterona	k i n t e ɾ o n a
quinteto	k i n t e t o
quintil	k i n t i l
quintilla	k i n t i ʝ a
quintillizo	k i n t i ʝ i θ o
quintito	k i n t i t o
quinto	k i n t o
quintuplicada	k i n t u p l i k a d a
quintuplicadas	k i n t u p l i k a d a s
quintuplicado	k i n t u p l i k a d o
quintuplicados	k i n t u p l i k a d o s
quintuplicar	k i n t u p l i k a ɾ
quintuplicare	k i n t u p l i k a ɾ e
quinua	k i n w a
quinurénico	k i n u ɾ e n i k o
quiosco	k j o s k o
quiosquito	k j o s k i t o
quiote	k j o t e
quipu	k i p u
quique	k i k e
quiqui	k i k i
quiquiriquí	k i k i ɾ i k i
quiral	k i ɾ a l
quirales	k i ɾ a l e s
quiralidad	k i ɾ a l i d a d
quireo	k i ɾ e o
quireñe	k i ɾ e ɲ e
quirográfico	k i ɾ o ɡ ɾ a f i k o
quiromancia	k i ɾ o m a n θ j a
quiruela	k i ɾ w e l a
quirófano	k i ɾ o f a n o
quirófanos	k i ɾ o f a n o s
quirúrgica	k i ɾ u ɾ x i k a
quirúrgicas	k i ɾ u ɾ x i k a s
quirúrgico	k i ɾ u ɾ x i k o
quirúrgicos	k i ɾ u ɾ x i k o s
quiscal	k i s k a l
quisco	k i s k o
quise	k i s e
quisimos	k i s i m o s
quisiste	k i s i s t e
quisisteis	k i s i s t e i s
quiso	k i s o
quisque	k i s k e
quisqueyana	k i s k e ʝ a n a
quisqueyano	k i s k e ʝ a n o
quisqui	k i s k i
quisquilloso	k i s k i ʝ o s o
quiste	k i s t e
quisto	k i s t o
quita	k i t a
quitada	k i t a d a
quitadas	k i t a d a s
quitado	k i t a d o
quitados	k i t a d o s
quitamiedos	k i t a m j e d o s
quitanieves	k i t a n j e b e s
quitar	k i t a ɾ
quitasol	k i t a s o l
quite	k i t e
quiteño	k i t e ɲ o
quitina	k i t i n a
quito	k i t o
quitosano	k i t o s a n o
quitándosela	k i t a n d o s e l a
quitándoselo	k i t a n d o s e l o
quitó	k i t o
quitón	k i t o n
quiz	k w i θ
quizá	k i θ a
quizás	k i θ a s
quién	k j e n
quiúbole	k j u b o l e
qué	k e
quía	k i a
química	k i m i k a
químico	k i m i k o
quínoa	k i n o a
quíntupla	k i n t u p l a
quíntuplas	k i n t u p l a s
quíntuple	k i n t u p l e
quíntuplo	k i n t u p l o
quíntuplos	k i n t u p l o s
quío	k i o
quística	k i s t i k a
quísticas	k i s t i k a s
quístico	k i s t i k o
quísticos	k i s t i k o s
quórum	k w o ɾ u m
rabadilla	r a b a d i ʝ a
rabadán	r a b a d a n
rabanito	r a b a n i t o
rabatí	r a b a t i
rabdomancia	r a b d o m a n θ j a
rabdomancía	r a b d o m a n θ i a
rabdomiosarcoma	r a b d o m j o s a ɾ k o m a
rabear	r a b e a ɾ
rabel	r a b e l
rabia	r a b j a
rabiada	r a b j a d a
rabiadas	r a b j a d a s
rabiado	r a b j a d o
rabiados	r a b j a d o s
rabiar	r a b j a ɾ
rabieta	r a b j e t a
rabihorcado	r a b j o ɾ k a d o
rabihorcados	r a b j o ɾ k a d o s
rabina	r a b i n a
rabinato	r a b i n a t o
rabino	r a b i n o
rabiones	r a b j o n e s
rabiosa	r a b j o s a
rabiosas	r a b j o s a s
rabioso	r a b j o s o
rabiosos	r a b j o s o s
rabipelado	r a b i p e l a d o
rabiza	r a b i θ a
rabión	r a b j o n
rabo	r a b o
rabona	r a b o n a
rabonas	r a b o n a s
rabones	r a b o n e s
rabudito	r a b u d i t o
rabí	r a b i
rabínica	r a b i n i k a
rabínicas	r a b i n i k a s
rabínico	r a b i n i k o
rabínicos	r a b i n i k o s
rabón	r a b o n
racaneada	r a k a n e a d a
racaneadas	r a k a n e a d a s
racaneado	r a k a n e a d o
racaneados	r a k a n e a d o s
racanear	r a k a n e a ɾ
racha	r a t͡ʃ a
racial	r a θ j a l
racializada	r a θ j a l i θ a d a
racializadas	r a θ j a l i θ a d a s
racializado	r a θ j a l i θ a d o
racializados	r a θ j a l i θ a d o s
racializar	r a θ j a l i θ a ɾ
racimado	r a θ i m a d o
racimo	r a θ i m o
racimoso	r a θ i m o s o
racinguista	r a θ i n ɡ i s t a
raciocinada	r a θ j o θ i n a d a
raciocinadas	r a θ j o θ i n a d a s
raciocinado	r a θ j o θ i n a d o
raciocinados	r a θ j o θ i n a d o s
raciocinamos	r a θ j o θ i n a m o s
raciocinar	r a θ j o θ i n a ɾ
raciocinio	r a θ j o θ i n j o
racionada	r a θ j o n a d a
racionadas	r a θ j o n a d a s
racionado	r a θ j o n a d o
racionados	r a θ j o n a d o s
racional	r a θ j o n a l
racionalidad	r a θ j o n a l i d a d
racionaliza	r a θ j o n a l i θ a
racionalización	r a θ j o n a l i θ a θ j o n
racionalizada	r a θ j o n a l i θ a d a
racionalizadas	r a θ j o n a l i θ a d a s
racionalizado	r a θ j o n a l i θ a d o
racionalizador	r a θ j o n a l i θ a d o ɾ
racionalizados	r a θ j o n a l i θ a d o s
racionalizamos	r a θ j o n a l i θ a m o s
racionalizando	r a θ j o n a l i θ a n d o
racionalizar	r a θ j o n a l i θ a ɾ
racionalizara	r a θ j o n a l i θ a ɾ a
racionalizaras	r a θ j o n a l i θ a ɾ a s
racionalizareis	r a θ j o n a l i θ a ɾ e i s
racionalizaremos	r a θ j o n a l i θ a ɾ e m o s
racionalizares	r a θ j o n a l i θ a ɾ e s
racionalizará	r a θ j o n a l i θ a ɾ a
racionalizarás	r a θ j o n a l i θ a ɾ a s
racionalizaríamos	r a θ j o n a l i θ a ɾ i a m o s
racionalizas	r a θ j o n a l i θ a s
racionalizaste	r a θ j o n a l i θ a s t e
racionalizo	r a θ j o n a l i θ o
racionalizáramos	r a θ j o n a l i θ a ɾ a m o s
racionamiento	r a θ j o n a m j e n t o
racionamientos	r a θ j o n a m j e n t o s
racionar	r a θ j o n a ɾ
racionero	r a θ j o n e ɾ o
raciones	r a θ j o n e s
raciono	r a θ j o n o
racioné	r a θ j o n e
racismo	r a θ i s m o
racista	r a θ i s t a
racistas	r a θ i s t a s
ración	r a θ j o n
raco	r a k o
racémico	r a θ e m i k o
rada	r a d a
radal	r a d a l
radar	r a d a ɾ
radfem	r a d f e m
radiación	r a d j a θ j o n
radiactividad	r a d j a ɡ t i b i d a d
radiada	r a d j a d a
radiadas	r a d j a d a s
radiado	r a d j a d o
radiados	r a d j a d o s
radial	r a d j a l
radiancia	r a d j a n θ j a
radiante	r a d j a n t e
radiar	r a d j a ɾ
radiativo	r a d j a t i b o
radicada	r a d i k a d a
radicadas	r a d i k a d a s
radicado	r a d i k a d o
radicados	r a d i k a d o s
radical	r a d i k a l
radicalidad	r a d i k a l i d a d
radicalismo	r a d i k a l i s m o
radicalización	r a d i k a l i θ a θ j o n
radicalizada	r a d i k a l i θ a d a
radicalizadas	r a d i k a l i θ a d a s
radicalizado	r a d i k a l i θ a d o
radicalizador	r a d i k a l i θ a d o ɾ
radicalizados	r a d i k a l i θ a d o s
radicalizar	r a d i k a l i θ a ɾ
radicar	r a d i k a ɾ
radico	r a d i k o
radicular	r a d i k u l a ɾ
radiculopatía	r a d i k u l o p a t i a
radiculopatías	r a d i k u l o p a t i a s
radiestesia	r a d j e s t e s j a
radio	r a d j o
radioafición	r a d j o a f i θ j o n
radiocasete	r a d j o k a s e t e
radiocontrolado	r a d j o k o n t ɾ o l a d o
radiodiagnóstico	r a d j o d j a ɡ n o s t i k o
radiofármaco	r a d j o f a ɾ m a k o
radiogalaxia	r a d j o ɡ a l a ɡ s j a
radiograbadora	r a d j o ɡ ɾ a b a d o ɾ a
radiografiada	r a d j o ɡ ɾ a f j a d a
radiografiadas	r a d j o ɡ ɾ a f j a d a s
radiografiado	r a d j o ɡ ɾ a f j a d o
radiografiados	r a d j o ɡ ɾ a f j a d o s
radiografiar	r a d j o ɡ ɾ a f j a ɾ
radiografía	r a d j o ɡ ɾ a f i a
radiográfica	r a d j o ɡ ɾ a f i k a
radiográficas	r a d j o ɡ ɾ a f i k a s
radiográfico	r a d j o ɡ ɾ a f i k o
radiográficos	r a d j o ɡ ɾ a f i k o s
radiogénica	r a d j o x e n i k a
radiogénicas	r a d j o x e n i k a s
radiogénico	r a d j o x e n i k o
