ա	ɑ
վասիլ	v ɑ s i l
վասիլի	v ɑ s i l i
վաստակ	v ɑ s t ɑ ɡ
վաստակել	v ɑ s t ɑ ɡ ɛ l
վավեր	v ɑ v ɛ ɾ
վավերագրական	v ɑ v ɛ ɾ ɑ kʰ ə ɾ ɑ ɡ ɑ n
վավերացում	v ɑ v ɛ ɾ ɑ t͡sʰ u m
վատ	v ɑ d
վատասիրտ	v ɑ d ɑ s i ɾ d
վատթար	v ɑ tʰː ɑ ɾ
վատթարագույն	v ɑ tʰː ɑ ɾ ɑ kʰ u j n
վատիկան	v ɑ d i ɡ ɑ n
վարագույր	v ɑ ɾ ɑ kʰ u j ɾ
վարազ	v ɑ ɾ ɑ z
վարաժնունի	v ɑ ɾ ɑ ʒ n u n i
վարակ	v ɑ ɾ ɑ ɡ
վարանել	v ɑ ɾ ɑ n ɛ l
վարանում	v ɑ ɾ ɑ n u m
վարանք	v ɑ ɾ ɑ ŋ kʰ
վարդ	v ɑ ɾ tʰ
վարդագույն	v ɑ ɾ tʰ ɑ kʰ u j n
վարդակակաչ	v ɑ ɾ tʰ ɑ ɡ ɑ ɡ ɑ t͡ʃʰ
վարդան	v ɑ ɾ tʰ ɑ n
վարդանյան	v ɑ ɾ tʰ ɑ n j ɑ n
վարդապետ	v ɑ ɾ tʰ ɑ b ɛ d
վարդենի	v ɑ ɾ tʰ ɛ n i
վարդենիս	v ɑ ɾ tʰ ɛ n i s
վարել	v ɑ ɾ ɛ l
վարժ	v ɑ ɾ ʒ
վարժարան	v ɑ ɾ ʒ ɑ ɾ ɑ n
վարժեցնել	v ɑ ɾ ʒ ɛ t͡sʰ ə n ɛ l
վարժություն	v ɑ ɾ ʒ u tʰ ʏ n
վարիչ	v ɑ ɾ i t͡ʃʰ
վարկ	v ɑ ɾ ɡ
վարկաբեկ	v ɑ ɾ ɡ ɑ pʰ ɛ ɡ
վարկաբեկել	v ɑ ɾ ɡ ɑ pʰ ɛ ɡ ɛ l
վարկած	v ɑ ɾ ɡ ɑ d͡z
վարկանիշ	v ɑ ɾ ɡ ɑ n i ʃ
վարկերի	v ɑ ɾ ɡ ɛ ɾ i
վարձ	v ɑ ɾ t͡sʰ
վարձակ	v ɑ ɾ t͡sʰ ɑ ɡ
վարձակառք	v ɑ ɾ t͡sʰ ɑ ɡ ɑ ɾ kʰ
վարձկան	v ɑ ɾ t͡sʰ k ɑ n
վարձվոր	v ɑ ɾ t͡sʰ v ɔ ɾ
վարյագ	v ɑ ɾ j ɑ kʰ
վարյագական	v ɑ ɾ j ɑ kʰ ɑ ɡ ɑ n
վարշամակ	v ɑ ɾ ʃ ɑ m ɑ ɡ
վարշավա	v ɑ ɾ ʃ ɑ v ɑ
վարորդ	v ɑ ɾ ɔ ɾ tʰ
վարուժան	v ɑ ɾ u ʒ ɑ n
վարունգ	v ɑ ɾ u ŋ kʰ
վարչական	v ɑ ɾ t͡ʃʰ ɑ ɡ ɑ n
վարչապետ	v ɑ ɾ t͡ʃʰ ɑ b ɛ d
վարչապետացու	v ɑ ɾ t͡ʃʰ ɑ b ɛ d ɑ t͡sʰ u
վարպետ	v ɑ ɾ b ɛ d
վարպետության	v ɑ ɾ b ɛ d u tʰ j ɑ n
վարպետություն	v ɑ ɾ b ɛ d u tʰ ʏ n
վարս	v ɑ ɾ s
վարսակ	v ɑ ɾ s ɑ ɡ
վարսակաշիլա	v ɑ ɾ s ɑ ɡ ɑ ʃ i l ɑ
վարսավիր	v ɑ ɾ s ɑ v i ɾ
վարսավիրանոց	v ɑ ɾ s ɑ v i ɾ ɑ n ɔ t͡sʰ
վարվառա	v ɑ ɾ v ɑ ɾ ɑ
վարվել	v ɑ ɾ v ɛ l
վարտիք	v ɑ ɾ d i kʰ
վարք	v ɑ ɾ kʰ
վարքականոն	v ɑ ɾ kʰ ɑ ɡ ɑ n ɔ n
վեգ	v ɛ kʰ
վեդա	v ɛ tʰ ɑ
վեդայական	v ɛ tʰ ɑ j ɑ ɡ ɑ n
վեդրո	v ɛ tʰ ɾ ɔ
վեզիր	v ɛ z i ɾ
վեզուվ	v ɛ z u v
վեթինգ	v ɛ tʰ i ŋ kʰ
վելինգտոն	v ɛ l i ŋ kʰ t ɔ n
վեհ	v ɛ h
վեհանձն	v ɛ h ɑ n t͡sʰ ə n
վեհություն	v ɛ h u tʰ ʏ n
վեղար	v ɛ ʁ ɑ ɾ
վեճ	v ɛ d͡ʒ
վեմ	v ɛ m
վենդետա	v ɛ n tʰ ɛ d ɑ
վենեսուելա	v ɛ n ɛ s u ɛ l ɑ
վենետական	v ɛ n ɛ d ɑ ɡ ɑ n
վենետերեն	v ɛ n ɛ d ɛ ɾ ɛ n
վենետիկ	v ɛ n ɛ d i ɡ
վենետիկյան	v ɛ n ɛ d i ɡ j ɑ n
վենետիկցի	v ɛ n ɛ d i kʰ t͡sʰ i
վեներա	v ɛ n ɛ ɾ ɑ
վեպ	v ɛ b
վեվ	v ɛ v
վեր	v ɛ ɾ
վերաբերել	v ɛ ɾ ɑ pʰ ɛ ɾ ɛ l
վերագրել	v ɛ ɾ ɑ kʰ ə ɾ ɛ l
վերադառնալ	v ɛ ɾ ɑ tʰ ɑ ɾ n ɑ l
վերադարձ	v ɛ ɾ ɑ tʰ ɑ ɾ t͡sʰ
վերազգային	v ɛ ɾ ɑ s kʰ ɑ j i n
վերականգնել	v ɛ ɾ ɑ ɡ ɑ ŋ kʰ n ɛ l
վերականգնման	v ɛ ɾ ɑ ɡ ɑ ŋ kʰ m ɑ n
վերականգնման	v ɛ ɾ ɑ ɡ ɑ ŋ kʰ n ə m ɑ n
վերականգնում	v ɛ ɾ ɑ ɡ ɑ ŋ kʰ n u m
վերակառուցում	v ɛ ɾ ɑ ɡ ɑ ɾ u t͡sʰ u m
վերակացու	v ɛ ɾ ɑ ɡ ɑ t͡sʰ u
վերահաս	v ɛ ɾ ɑ h ɑ s
վերամբարձ	v ɛ ɾ ɑ m pʰ ɑ ɾ t͡sʰ
վերանալ	v ɛ ɾ ɑ n ɑ l
վերանորոգել	v ɛ ɾ ɑ n ɔ ɾ ɔ kʰ ɛ l
վերանվաճում	v ɛ ɾ ɑ n ə v ɑ d͡ʒ u m
վերարկու	v ɛ ɾ ɑ ɾ ɡ u
վերարտադրություն	v ɛ ɾ ɑ ɾ d ɑ tʰ ɾ u tʰ ʏ n
վերացական	v ɛ ɾ ɑ t͡sʰ ɑ ɡ ɑ n
վերաքննիչ	v ɛ ɾ ɑ kʰ ə nː i t͡ʃʰ
վերգիլիոս	v ɛ ɾ kʰ i l i ɔ s
վերելակ	v ɛ ɾ ɛ l ɑ ɡ
վերընթերցել	v ɛ ɾ ə n tʰ ɛ ɾ t͡sʰ ɛ l
վերին	v ɛ ɾ i n
վերլուծական	v ɛ ɾ l u d͡z ɑ ɡ ɑ n
վերլուծել	v ɛ ɾ l u d͡z ɛ l
վերլուծություն	v ɛ ɾ l u d͡z u tʰ ʏ n
վերծանել	v ɛ ɾ d͡z ɑ n ɛ l
վերմակ	v ɛ ɾ m ɑ ɡ
վերմակասավան	v ɛ ɾ m ɑ ɡ ɑ s ɑ v ɑ n
վերմիշել	v ɛ ɾ m i ʃ ɛ l
վերմուտ	v ɛ ɾ m u d
վերնագիր	v ɛ ɾ n ɑ kʰ i ɾ
վերնագրել	v ɛ ɾ n ɑ kʰ ɾ ɛ l
վերնախավ	v ɛ ɾ n ɑ χ ɑ v
վերնաշապիկ	v ɛ ɾ n ɑ ʃ ɑ b i ɡ
վերուվայր	v ɛ ɾ u v ɑ j ɾ
վերուվար	v ɛ ɾ u v ɑ ɾ
վերուվարել	v ɛ ɾ u v ɑ ɾ ɛ l
վերուվեր	v ɛ ɾ u v ɛ ɾ
վերջ	v ɛ ɾ t͡ʃʰ
վերջաբան	v ɛ ɾ t͡ʃʰ ɑ pʰ ɑ n
վերջադաս	v ɛ ɾ t͡ʃʰ ɑ tʰ ɑ s
վերջադիր	v ɛ ɾ t͡ʃʰ ɑ tʰ i ɾ
վերջազարդ	v ɛ ɾ t͡ʃʰ ɑ z ɑ ɾ tʰ
վերջալույս	v ɛ ɾ t͡ʃʰ ɑ l u j s
վերջալույսային	v ɛ ɾ t͡ʃʰ ɑ l u j s ɑ j i n
վերջածանց	v ɛ ɾ t͡ʃʰ ɑ d͡z ɑ n t͡sʰ
վերջածանցային	v ɛ ɾ t͡ʃʰ ɑ d͡z ɑ n t͡sʰ ɑ j i n
վերջածանցավոր	v ɛ ɾ t͡ʃʰ ɑ d͡z ɑ n t͡sʰ ɑ v ɔ ɾ
վերջակալ	v ɛ ɾ t͡ʃʰ ɑ ɡ ɑ l
վերջակայան	v ɛ ɾ t͡ʃʰ ɑ ɡ ɑ j ɑ n
վերջակետ	v ɛ ɾ t͡ʃʰ ɑ ɡ ɛ d
վերջակետել	v ɛ ɾ t͡ʃʰ ɑ ɡ ɛ d ɛ l
վերջահանգ	v ɛ ɾ t͡ʃʰ ɑ h ɑ ŋ kʰ
վերջամաս	v ɛ ɾ t͡ʃʰ ɑ m ɑ s
վերջամասնիկ	v ɛ ɾ t͡ʃʰ ɑ m ɑ s n i ɡ
վերջամասնիկային	v ɛ ɾ t͡ʃʰ ɑ m ɑ s n i ɡ ɑ j i n
վերջամասնիկավոր	v ɛ ɾ t͡ʃʰ ɑ m ɑ s n i ɡ ɑ v ɔ ɾ
վերջամեկնում	v ɛ ɾ t͡ʃʰ ɑ m ɛ ɡ n u m
վերջամուտ	v ɛ ɾ t͡ʃʰ ɑ m u d
վերջանալ	v ɛ ɾ t͡ʃʰ ɑ n ɑ l
վերջանալի	v ɛ ɾ t͡ʃʰ ɑ n ɑ l i
վերջանալիք	v ɛ ɾ t͡ʃʰ ɑ n ɑ l i kʰ
վերջանվագ	v ɛ ɾ t͡ʃʰ ɑ n ə v ɑ kʰ
վերջաշեշտ	v ɛ ɾ t͡ʃʰ ɑ ʃ ɛ ʃ t
վերջապահ	v ɛ ɾ t͡ʃʰ ɑ b ɑ h
վերջապար	v ɛ ɾ t͡ʃʰ ɑ b ɑ ɾ
վերջապես	v ɛ ɾ t͡ʃʰ ɑ b ɛ s
վերջավանկ	v ɛ ɾ t͡ʃʰ ɑ v ɑ ŋ ɡ
վերջավանկային	v ɛ ɾ t͡ʃʰ ɑ v ɑ ŋ ɡ ɑ j i n
վերջավոր	v ɛ ɾ t͡ʃʰ ɑ v ɔ ɾ
վերջավորել	v ɛ ɾ t͡ʃʰ ɑ v ɔ ɾ ɛ l
վերջավորություն	v ɛ ɾ t͡ʃʰ ɑ v ɔ ɾ u tʰ ʏ n
վերջավորվել	v ɛ ɾ t͡ʃʰ ɑ v ɔ ɾ v ɛ l
վերջատանջ	v ɛ ɾ t͡ʃʰ ɑ d ɑ n t͡ʃʰ
վերջացնել	v ɛ ɾ t͡ʃʰ ɑ t͡sʰ ə n ɛ l
վերջացվել	v ɛ ɾ t͡ʃʰ ɑ t͡sʰ v ɛ l
վերջափակել	v ɛ ɾ t͡ʃʰ ɑ pʰ ɑ ɡ ɛ l
վերջափակում	v ɛ ɾ t͡ʃʰ ɑ pʰ ɑ ɡ u m
վերջափակվել	v ɛ ɾ t͡ʃʰ ɑ pʰ ɑ ɡ v ɛ l
վերջաքիմք	v ɛ ɾ t͡ʃʰ ɑ kʰ i m kʰ
վերջաքմային	v ɛ ɾ t͡ʃʰ ɑ kʰ ə m ɑ j i n
վերջերգ	v ɛ ɾ t͡ʃʰ ɛ ɾ kʰ
վերջերս	v ɛ ɾ t͡ʃʰ ɛ ɾ ə s
վերջերքս	v ɛ ɾ t͡ʃʰ ɛ ɾ kʰ ə s
վերջը	v ɛ ɾ t͡ʃʰ ə
վերջընթեր	v ɛ ɾ t͡ʃʰ ə n tʰ ɛ ɾ
վերջի	v ɛ ɾ t͡ʃʰ i
վերջին	v ɛ ɾ t͡ʃʰ i n
վերջինեկ	v ɛ ɾ t͡ʃʰ i n ɛ ɡ
վերջիվերջո	v ɛ ɾ t͡ʃʰ i v ɛ ɾ t͡ʃʰ ɔ
վերջնագիծ	v ɛ ɾ t͡ʃʰ n ɑ kʰ i d͡z
վերջնագիր	v ɛ ɾ t͡ʃʰ n ɑ kʰ i ɾ
վերջնազարդ	v ɛ ɾ t͡ʃʰ n ɑ z ɑ ɾ tʰ
վերջնաժամկետ	v ɛ ɾ t͡ʃʰ n ɑ ʒ ɑ m ɡ ɛ d
վերջնալույս	v ɛ ɾ t͡ʃʰ n ɑ l u j s
վերջնախաղ	v ɛ ɾ t͡ʃʰ n ɑ χ ɑ ʁ
վերջնական	v ɛ ɾ t͡ʃʰ n ɑ ɡ ɑ n
վերջնականապես	v ɛ ɾ t͡ʃʰ n ɑ ɡ ɑ n ɑ b ɛ s
վերջնականորեն	v ɛ ɾ t͡ʃʰ n ɑ ɡ ɑ n ɔ ɾ ɛ n
վերջնակետ	v ɛ ɾ t͡ʃʰ n ɑ ɡ ɛ d
վերջնակետային	v ɛ ɾ t͡ʃʰ n ɑ ɡ ɛ d ɑ j i n
վերջնահանգ	v ɛ ɾ t͡ʃʰ n ɑ h ɑ ŋ kʰ
վերջնահաշիվ	v ɛ ɾ t͡ʃʰ n ɑ h ɑ ʃ i v
վերջնահաս	v ɛ ɾ t͡ʃʰ n ɑ h ɑ s
վերջնահնչյուն	v ɛ ɾ t͡ʃʰ n ɑ h ə n t͡ʃʰ ʏ n
վերջնաղիք	v ɛ ɾ t͡ʃʰ n ɑ ʁ i kʰ
վերջնամառային	v ɛ ɾ t͡ʃʰ n ɑ m ɑ ɾ ɑ j i n
վերջնամշակել	v ɛ ɾ t͡ʃʰ n ɑ m ə ʃ ɑ ɡ ɛ l
վերջնամշակում	v ɛ ɾ t͡ʃʰ n ɑ m ə ʃ ɑ ɡ u m
վերջնամրցում	v ɛ ɾ t͡ʃʰ n ɑ m ə ɾ t͡sʰ u m
վերջնային	v ɛ ɾ t͡ʃʰ n ɑ j i n
վերջնանպատակ	v ɛ ɾ t͡ʃʰ n ɑ n ə b ɑ d ɑ ɡ
վերջնաշեշտ	v ɛ ɾ t͡ʃʰ n ɑ ʃ ɛ ʃ t
վերջնապես	v ɛ ɾ t͡ʃʰ n ɑ b ɛ s
վերջնասահման	v ɛ ɾ t͡ʃʰ n ɑ s ɑ h m ɑ n
վերջնավանկ	v ɛ ɾ t͡ʃʰ n ɑ v ɑ ŋ ɡ
վերջնավանկային	v ɛ ɾ t͡ʃʰ n ɑ v ɑ ŋ ɡ ɑ j i n
վերջնավարտ	v ɛ ɾ t͡ʃʰ n ɑ v ɑ ɾ d
վերջնեկ	v ɛ ɾ t͡ʃʰ n ɛ ɡ
վերջնուղեղ	v ɛ ɾ t͡ʃʰ n u ʁ ɛ ʁ
վերջոտնել	v ɛ ɾ t͡ʃʰ ɔ d n ɛ l
վերջվածք	v ɛ ɾ t͡ʃʰ v ɑ t͡sʰ kʰ
վերստ	v ɛ ɾ s t
վերցնել	v ɛ ɾ t͡sʰ ə n ɛ l
վերք	v ɛ ɾ kʰ
վեց	v ɛ t͡sʰ
վեցանկյուն	v ɛ t͡sʰ ɑ ŋ ɡ ʏ n
վեցերորդ	v ɛ t͡sʰ ɛ ɾ ɔ ɾ tʰ
վզան	v ə z ɑ n
վզիկ	v ə z i ɡ
վթար	v ə tʰ ɑ ɾ
վիբորգ	v i pʰ ɔ ɾ kʰ
վիգեն	v i kʰ ɛ n
վիեննա	v i j ɛ nː ɑ
վիենտյան	v j ɛ n d j ɑ n
վիետնամ	v j ɛ d n ɑ m
վիետնամական	v j ɛ d n ɑ m ɑ ɡ ɑ n
վիետնամերեն	v j ɛ d n ɑ m ɛ ɾ ɛ n
վիետնամցի	v j ɛ d n ɑ m t͡sʰ i
վիզ	v i z
վիզա	v i z ɑ
վիթ	v i tʰ
վիթխարի	v i tʰ χ ɑ ɾ i
վիժանուտ	v i ʒ ɑ n u d
վիժել	v i ʒ ɛ l
վիլնյուս	v i l n ʏ s
վիկի	v i ɡ i
վիկինգ	v i ɡ i ŋ kʰ
վիկտոր	v i ɡ d ɔ ɾ
վիճաբանել	v i d͡ʒ ɑ pʰ ɑ n ɛ l
վիճակ	v i d͡ʒ ɑ ɡ
վիճակագիր	v i d͡ʒ ɑ ɡ ɑ kʰ i ɾ
վիճակագրական	v i d͡ʒ ɑ ɡ ɑ kʰ ɾ ɑ ɡ ɑ n
վիճակագրություն	v i d͡ʒ ɑ ɡ ɑ kʰ ɾ u tʰ ʏ n
վիճակախաղ	v i d͡ʒ ɑ ɡ ɑ χ ɑ ʁ
վիճարկել	v i d͡ʒ ɑ ɾ ɡ ɛ l
վիճել	v i d͡ʒ ɛ l
վիճվել	v i d͡ʒ v ɛ l
վին	v i n
վինդհուկ	v i n tʰ h u ɡ
վիշապ	v i ʃ ɑ b
վիշի	v i ʃ i
վիշնու	v i ʃ n u
վիշտ	v i ʃ t
վիպասան	v i b ɑ s ɑ n
վիսլա	v i s l ɑ
վիսկի	v i s k i
վիտեբսկ	v i d ɛ pʰ s k
վիրաբուժություն	v i ɾ ɑ pʰ u ʒ u tʰ ʏ n
վիրագ	v i ɾ ɑ kʰ
վիրակապ	v i ɾ ɑ ɡ ɑ b
վիրավոր	v i ɾ ɑ v ɔ ɾ
վիրավորել	v i ɾ ɑ v ɔ ɾ ɛ l
վիրգիլիոս	v i ɾ kʰ i l i ɔ s
վիրուս	v i ɾ u s
վիրք	v i ɾ kʰ
վիքի	v i kʰ i
վիքիբառարան	v i kʰ i pʰ ɑ ɾ ɑ ɾ ɑ n
վիքիպեդիա	v i kʰ i b ɛ tʰ j ɑ
վիքիփեդիա	v i kʰ i pʰ ɛ tʰ j ɑ
վլադիկավկազ	v l ɑ tʰ i ɡ ɑ v ɡ ɑ z
վլադիմիր	v l ɑ tʰ i m i ɾ
վլադիսլավ	v l ɑ tʰ i s l ɑ v
վլադիվոստոկ	v l ɑ tʰ i v ɔ s t ɔ ɡ
վլաստ	v ə l ɑ s t
վխտալ	v ə χ t ɑ l
վկա	v ə ɡ ɑ
վկայագիր	v ə ɡ ɑ j ɑ kʰ i ɾ
վկայական	v ə ɡ ɑ j ɑ ɡ ɑ n
վկայել	v ə ɡ ɑ j ɛ l
վկայություն	v ə ɡ ɑ j u tʰ ʏ n
վհատ	v ə h ɑ d
վհատական	v ə h ɑ d ɑ ɡ ɑ n
վհատել	v ə h ɑ d ɛ l
վհատեցնել	v ə h ɑ d ɛ t͡sʰ ə n ɛ l
վհատեցնող	v ə h ɑ d ɛ t͡sʰ n ɔ ʁ
վհատեցուցիչ	v ə h ɑ d ɛ t͡sʰ u t͡sʰ i t͡ʃʰ
վհատիչ	v ə h ɑ d i t͡ʃʰ
վհատորեն	v ə h ɑ d ɔ ɾ ɛ n
վհատություն	v ə h ɑ d u tʰ ʏ n
վհատում	v ə h ɑ d u m
վհատված	v ə h ɑ d v ɑ d͡z
վհուկ	v ə h u ɡ
վճար	v ə d͡ʒ ɑ ɾ
վճարել	v ə d͡ʒ ɑ ɾ ɛ l
վճիռ	v ə d͡ʒ i ɾ
վճիտ	v ə d͡ʒ i d
վճռական	v ə d͡ʒ ɾ ɑ ɡ ɑ n
վճռականություն	v ə d͡ʒ ɾ ɑ ɡ ɑ n u tʰ ʏ n
վճռել	v ə d͡ʒ ɾ ɛ l
վյուն	v ʏ n
վնաս	v ə n ɑ s
վնասաբեր	v ə n ɑ s ɑ pʰ ɛ ɾ
վնասագիր	v ə n ɑ s ɑ kʰ i ɾ
վնասակար	v ə n ɑ s ɑ ɡ ɑ ɾ
վնասարար	v ə n ɑ s ɑ ɾ ɑ ɾ
վնասել	v ə n ɑ s ɛ l
վնասված	v ə n ɑ s v ɑ d͡z
վնասվածք	v ə n ɑ s v ɑ t͡sʰ kʰ
վնասվել	v ə n ɑ s v ɛ l
վշտանալ	v ə ʃ t ɑ n ɑ l
վոգեզներ	v ɔ kʰ ɛ z n ɛ ɾ
վոդ	v ɔ tʰ
վոլապյուկ	v ɔ l ɑ b ʏ ɡ
վոլգա	v ɔ l kʰ ɑ
վոլգոգրադ	v ɔ l kʰ ɔ kʰ ɾ ɑ tʰ
վոլեյբոլ	v ɔ l ɛ j pʰ ɔ l
վոլոգդա	v ɔ l ɔ kʰ tʰ ɑ
վորկուտա	v ɔ ɾ ɡ u d ɑ
վորոնեժ	v ɔ ɾ ɔ n ɛ ʒ
վուշ	v u ʃ
վուվուզել	v u v u z ɛ l
վուվուզելա	v u v u z ɛ l ɑ
վռազ	v ə ɾ ɑ z
վռազել	v ə ɾ ɑ z ɛ l
վռամ	v ə ɾ ɑ m
վռամշապուհ	v ə ɾ ɑ m ʃ ɑ b u h
վռնդել	v ə ɾ ə n tʰ ɛ l
վստահ	v ə s t ɑ h
վստահաբար	v ə s t ɑ h ɑ pʰ ɑ ɾ
վստահել	v ə s t ɑ h ɛ l
վստահելի	v ə s t ɑ h ɛ l i
վստահություն	v ə s t ɑ h u tʰ ʏ n
վտակ	v ə d ɑ ɡ
վտանգ	v ə d ɑ ŋ kʰ
վտանգավոր	v ə d ɑ ŋ kʰ ɑ v ɔ ɾ
վտանգավորություն	v ə d ɑ ŋ kʰ ɑ v ɔ ɾ u tʰ ʏ n
վտանգել	v ə d ɑ ŋ kʰ ɛ l
վտանգում	v ə d ɑ ŋ kʰ u m
վտանգվել	v ə d ɑ ŋ kʰ v ɛ l
վտառ	v ə d ɑ ɾ
վտարանդի	v ə d ɑ ɾ ɑ n tʰ i
վտարում	v ə d ɑ ɾ u m
վտիտ	v ə d i d
վրա	v ə ɾ ɑ
վրաերթ	v ə ɾ ɑ j ɛ ɾ tʰ
վրան	v ə ɾ ɑ n
վրաստան	v ə ɾ ɑ s t ɑ n
վրաց	v ə ɾ ɑ t͡sʰ
վրացական	v ə ɾ ɑ t͡sʰ ɑ ɡ ɑ n
վրացերեն	v ə ɾ ɑ t͡sʰ ɛ ɾ ɛ n
վրացի	v ə ɾ ɑ t͡sʰ i
վրդով	v ə ɾ tʰ ɔ v
վրդովել	v ə ɾ tʰ ɔ v ɛ l
վրդովվել	v ə ɾ tʰ ɔ vː ɛ l
վրեժ	v ə ɾ ɛ ʒ
վրեպ	v ə ɾ ɛ b
վրթանես	v ə ɾ tʰ ɑ n ɛ s
վրիպակ	v ə ɾ i b ɑ ɡ
վրձին	v ə ɾ t͡sʰ i n
տ	d ə
տաբատ	d ɑ pʰ ɑ d
տաբու	d ɑ pʰ u
տագալերեն	d ɑ kʰ ɑ l ɛ ɾ ɛ n
տագալոգ	d ɑ kʰ ɑ l ɔ kʰ
տագերակին	d ɑ kʰ ɛ ɾ ɑ ɡ i n
տագերկին	d ɑ kʰ ɛ ɾ ɡ i n
տագնապ	d ɑ kʰ n ɑ b
տագր	d ɑ kʰ ə ɾ
տաթեւ	d ɑ tʰ ɛ v
տաթեւիկ	d ɑ tʰ ɛ v i ɡ
տալ	d ɑ l
տալլին	d ɑ lː i n
տախտ	d ɑ χ t
տախտակ	d ɑ χ t ɑ ɡ
տախտակամած	d ɑ χ t ɑ ɡ ɑ m ɑ d͡z
տակ	d ɑ ɡ
տակաշոր	d ɑ ɡ ɑ ʃ ɔ ɾ
տակառ	d ɑ ɡ ɑ ɾ
տակառագործ	d ɑ ɡ ɑ ɾ ɑ kʰ ɔ ɾ d͡z
տակավին	d ɑ ɡ ɑ v i n
տակիտոս	d ɑ ɡ i d ɔ s
տակնուվրա	d ɑ ɡ n u v ə ɾ ɑ
տակռի	d ɑ ɡ ɾ i
տակտիկա	d ɑ ɡ d i ɡ ɑ
տահիթի	d ɑ h i tʰ i
տահիտի	d ɑ h i d i
տաղանդ	d ɑ ʁ ɑ n tʰ
տաղանդավոր	d ɑ ʁ ɑ n tʰ ɑ v ɔ ɾ
տաղավար	d ɑ ʁ ɑ v ɑ ɾ
տաղլյան	d ɑ ʁ l j ɑ n
տաղտկանալ	d ɑ ʁ d ɡ ɑ n ɑ l
տաղտկավուն	d ɑ χ t ɡ ɑ v u n
տաղտկոտ	d ɑ ʁ d ɡ ɔ d
տաղտուկ	d ɑ ʁ d u ɡ
տաճատ	d ɑ d͡ʒ ɑ d
տաճատուհի	d ɑ d͡ʒ ɑ d u h i
տաճար	d ɑ d͡ʒ ɑ ɾ
տաճարական	d ɑ d͡ʒ ɑ ɾ ɑ ɡ ɑ n
տաճիկ	d ɑ d͡ʒ i ɡ
տաճկաստան	d ɑ d͡ʒ ɡ ɑ s t ɑ n
տաճկերեն	d ɑ d͡ʒ ɡ ɛ ɾ ɛ n
տամբով	d ɑ m pʰ ɔ v
տամուկ	d ɑ m u ɡ
տայբեյ	d ɑ j pʰ ɛ j
տայք	d ɑ j kʰ
տանգո	d ɑ ŋ kʰ ɔ
տանել	d ɑ n ɛ l
տանզանիա	d ɑ n z ɑ n j ɑ
տանը	d ɑ n ə
տանիք	d ɑ n i kʰ
տանկ	d ɑ ŋ ɡ
տանձ	d ɑ n t͡sʰ
տանձենի	d ɑ n t͡sʰ ɛ n i
տանուտեր	d ɑ n u d ɛ ɾ
տանջել	d ɑ n t͡ʃʰ ɛ l
տանտալ	d ɑ n d ɑ l
տանտեր	d ɑ n d ɛ ɾ
տանտիկին	d ɑ n d i ɡ i n
տանտիրուհի	d ɑ n d i ɾ u h i
տաշ	d ɑ ʃ
տաշել	d ɑ ʃ ɛ l
տաշտ	d ɑ ʃ t
տաշքենդ	d ɑ ʃ kʰ ɛ n tʰ
տապ	d ɑ b
տապալել	d ɑ b ɑ l ɛ l
տապակ	d ɑ b ɑ ɡ
տապակել	d ɑ b ɑ ɡ ɛ l
տապար	d ɑ b ɑ ɾ
տապեղ	d ɑ b ɛ ʁ
տապիոկա	d ɑ b i j ɔ ɡ ɑ
տաջիկ	d ɑ t͡ʃʰ i ɡ
տաջիկական	d ɑ t͡ʃʰ i ɡ ɑ ɡ ɑ n
տաջիկերեն	d ɑ t͡ʃʰ i ɡ ɛ ɾ ɛ n
տաջիկստան	d ɑ t͡ʃʰ i ɡ s t ɑ n
տառ	d ɑ ɾ
տառադարձել	d ɑ ɾ ɑ tʰ ɑ ɾ t͡sʰ ɛ l
տառադարձություն	d ɑ ɾ ɑ tʰ ɑ ɾ t͡sʰ u tʰ ʏ n
տառապանք	d ɑ ɾ ɑ b ɑ ŋ kʰ
տառապել	d ɑ ɾ ɑ b ɛ l
տառասխալ	d ɑ ɾ ɑ s ə χ ɑ l
տառատեսակ	d ɑ ɾ ɑ d ɛ s ɑ ɡ
տառեխ	d ɑ ɾ ɛ χ
տառեղ	d ɑ ɾ ɛ ʁ
տաս	d ɑ s
տասերորդ	d ɑ s ɛ ɾ ɔ ɾ tʰ
տասը	d ɑ s ə
տասնամյակ	d ɑ s n ɑ m j ɑ ɡ
տասներեք	d ɑ s n ɛ ɾ ɛ kʰ
տասներկու	d ɑ s n ɛ ɾ ɡ u
տասներորդ	d ɑ s n ɛ ɾ ɔ ɾ tʰ
տասնինը	d ɑ s n i n ə
տասնիցս	d ɑ s n i t͡sʰ ə s
տասնհինգ	d ɑ s n ə h i ŋ kʰ
տասնմեկ	d ɑ s n ə m ɛ ɡ
տասնյոթ	d ɑ s n j ə ɔ tʰ
տասնութ	d ɑ s n u tʰ
տասնութ	d ɑ s n ə u tʰ
տասնչորս	d ɑ s n ə t͡ʃʰ ɔ ɾ s
տասնվեց	d ɑ s n ə v ɛ t͡sʰ
տավար	d ɑ v ɑ ɾ
տավիղ	d ɑ v i ʁ
տավուշ	d ɑ v u ʃ
տավրիս	d ɑ v ɾ i s
տավրոս	d ɑ v ɾ ɔ s
տատ	d ɑ d
տատասկ	d ɑ d ɑ s k
տատի	d ɑ d i
տատիկ	d ɑ d i ɡ
տատմայր	d ɑ d m ɑ j ɾ
տատմեր	d ɑ d m ɛ ɾ
