㑚	n a ʔ ⁴
觀	k u a ŋ ⁵ ³ ³
觀	k u a ⁴ ²
觀察	k u a ŋ ⁵ ³ ³ ⁻ ¹ ³ t͡sʰ a ʔ ² ¹
觀念	k u a ŋ ⁵ ³ ³ ⁻ ¹ ³ n i ɛ ŋ ¹ ¹
觀望	k u a ŋ ⁵ ³ ³ ⁻ ¹ ³ m ɒ ŋ ¹ ¹
觀音	k u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ i ŋ ⁵ ³ ³
觀音	k u a ⁵ ³ ³ ⁻ ¹ ¹ i ŋ ⁵ ³ ³
觀音佛	k u a ⁵ ³ ³ ⁻ ¹ ¹ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ m ɔ ʔ ⁴
觀音媽	k u a ⁵ ³ ³ ⁻ ¹ ¹ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
角	k a ʔ ² ¹
角色	k a ʔ ² ¹ ⁻ ⁴ ² ɬ ɛ ʔ ² ¹
解	e ¹ ¹
解	h a i ¹ ¹
解	k a i ⁴ ⁵ ³
解	k e ⁴ ²
解	k e ⁴ ⁵ ³
解決	k a i ⁴ ⁵ ³ ⁻ ¹ ³ œ ʔ ² ¹
解碼	k a i ⁴ ⁵ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
解約	k a i ⁴ ⁵ ³ ⁻ ¹ ³ y ɒ ʔ ² ¹
觸	tʰ a ʔ ² ¹
觸	t͡sʰ œ ʔ ² ¹
觸發	t͡sʰ œ ʔ ² ¹ ⁻ ⁴ ² h u a ʔ ² ¹
觿	h e ¹ ³
言	ŋ œ ŋ ¹ ³
訂	t i a ⁴ ²
訂	t ɛ ŋ ⁴ ²
計	k e ⁴ ²
計算	k e ⁴ ² ⁻ ⁵ ⁵ l u a ŋ ⁴ ²
計算機	k e ⁴ ² ⁻ ¹ ¹ l u a ŋ ⁴ ² ⁻ ⁵ ⁵ k i ⁵ ³ ³
訊	ɬ i ŋ ⁴ ²
訌	h ɒ ŋ ¹ ³
討	tʰ o ⁴ ⁵ ³
討	tʰ ɒ ⁴ ⁵ ³
討厭	tʰ ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ i ɛ ŋ ⁴ ²
討好	tʰ ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ h o ⁴ ⁵ ³
討數	tʰ o ⁴ ⁵ ³ ⁻ ¹ ¹ l i e u ⁴ ²
討海	tʰ o ⁴ ⁵ ³ ⁻ ¹ ¹ a i ⁴ ⁵ ³
討論	tʰ ɒ ⁴ ⁵ ³ ⁻ ¹ ³ l ɔ ŋ ¹ ¹
討錢	tʰ o ⁴ ⁵ ³ ⁻ ¹ ³ t͡s i ŋ ¹ ³
訏	h y ⁵ ³ ³
訓	h ɔ ŋ ⁴ ²
訓練	h ɔ ŋ ⁴ ² l œ ŋ ¹ ¹
記	k i ⁴ ²
記數	k i ⁴ ² ⁻ ⁵ ⁵ l i e u ⁴ ²
記者	k i ⁴ ² ⁻ ⁵ ⁵ l i a ⁴ ⁵ ³
記錄	k i ⁴ ² ⁻ ⁵ ⁵ l œ ʔ ⁴
訝	k a ¹ ¹
訝	ŋ i a ¹ ¹
訣	k œ ʔ ² ¹
訩	h œ ŋ ⁵ ³ ³
訪	h ɒ ŋ ⁴ ⁵ ³
訪問	h ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ m ɔ ŋ ¹ ¹
訪查	h ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ t͡sʰ a ¹ ³
設	ɬ ɛ ʔ ² ¹
設備	ɬ ɛ ʔ ² ¹ ⁻ ⁴ ² p i ¹ ¹
設想	ɬ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ ɬ y ɒ ŋ ⁴ ⁵ ³
設施	ɬ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ ɬ i ⁵ ³ ³
設法	ɬ ɛ ʔ ² ¹ ⁻ ⁴ ² h a ʔ ² ¹
設立	ɬ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l i ʔ ⁴
設置	ɬ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ t i ⁴ ²
設計	ɬ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ k e ⁴ ²
許	h y ɒ ⁴ ⁵ ³
許	h y ⁴ ⁵ ³
許	kʰ ɔ u ⁴ ⁵ ³
訴	ɬ ɔ u ⁴ ²
訶	h ɒ ⁵ ³ ³
訹	ɬ ɔ ʔ ² ¹
註	t͡s y ⁴ ²
註冊	t͡s y ⁴ ² t͡sʰ ɛ ʔ ² ¹
註音	t͡s ɔ u ⁴ ² ⁻ ⁵ ⁵ i ŋ ⁵ ³ ³
詈	l e ⁴ ⁵ ³
詈罵	l e ⁴ ⁵ ³ m ɒ ⁴ ²
詔	t͡s i e u ⁴ ²
詔安	t͡s i e u ⁴ ² ⁻ ⁵ ⁵ a ŋ ⁵ ³ ³
評	pʰ i ŋ ¹ ³
詗	k y ŋ ⁴ ²
詝	t y ⁴ ⁵ ³
詞	ɬ o ¹ ³
詞典	ɬ o ¹ ³ ⁻ ¹ ¹ l ɛ ŋ ⁴ ⁵ ³
詠	y ŋ ¹ ¹
詡	h y ⁴ ⁵ ³
詢	ɬ ɔ ŋ ¹ ³
詣	k e ⁴ ⁵ ³
試	ɬ i ⁴ ²
試探	ɬ i ⁴ ² ⁻ ⁵ ⁵ tʰ a ŋ ⁴ ²
試驗	ɬ i ⁴ ² ŋ i ɛ ŋ ¹ ¹
詩	ɬ i ⁵ ³ ³
詩篇	ɬ i ⁵ ³ ³ ⁻ ¹ ¹ pʰ ɛ ŋ ⁵ ³ ³
詬	k i e u ⁴ ²
詭	k u i ⁴ ⁵ ³
詭異	k u i ⁴ ⁵ ³ ⁻ ¹ ³ i ¹ ¹
話	h u a ¹ ¹
話	u a ¹ ¹
話尾	u a ¹ ¹ u e i ⁴ ⁵ ³
話縫	u a ¹ ¹ ⁻ ⁵ ⁵ a ŋ ⁴ ²
話語	u a ¹ ¹ y ⁴ ⁵ ³
該	k a i ⁵ ³ ³
詳	ɬ i e u ¹ ³
詳	ɬ y ɒ ŋ ¹ ³
詳夢	ɬ i e u ¹ ³ ⁻ ⁵ ⁵ m a ŋ ⁴ ²
詹	t͡s i ɛ ŋ ⁵ ³ ³
誌	t͡s i ⁴ ²
認	n i ŋ ¹ ¹
誓	ɬ e ¹ ¹
誓	ɬ y ɒ ¹ ¹
誕	t a ŋ ¹ ¹
誕	t ɒ ¹ ¹
誘	i u ⁴ ⁵ ³
語	k y ⁴ ⁵ ³
語文	k y ⁴ ⁵ ³ ⁻ ¹ ³ m ɔ ŋ ¹ ³
語言	k y ⁴ ⁵ ³ ⁻ ¹ ³ ŋ œ ŋ ¹ ³
語音	k y ⁴ ⁵ ³ ⁻ ¹ ¹ i ŋ ⁵ ³ ³
誠	ɬ i ŋ ¹ ³
誡	k a i ⁴ ²
誡命	k a i ⁴ ² m i ŋ ¹ ¹
誣賴	p u ¹ ³ ⁻ ⁴ ² l a i ¹ ¹
誤	k ɔ u ¹ ¹
誨	h u e i ⁴ ²
說	ɬ u e i ¹ ¹
說	ɬ œ ʔ ² ¹
說明	ɬ œ ʔ ² ¹ ⁻ ⁴ ⁵ m i ŋ ¹ ³
說明書	ɬ œ ʔ ² ¹ ⁻ ⁴ ⁵ m i ŋ ¹ ³ ⁻ ¹ ¹ n y ⁵ ³ ³
誰	ɬ u i ¹ ³
課	kʰ ɒ ⁴ ²
課堂	kʰ ɒ ⁴ ² l ɒ ŋ ¹ ³
課文	kʰ ɒ ⁴ ² m ɔ ŋ ¹ ³
課本	kʰ ɒ ⁴ ² ⁻ ⁵ ⁵ u e i ⁴ ⁵ ³
誼	k i ¹ ³
誼	k i ¹ ¹
調	t i e u ¹ ³
調	t i e u ¹ ¹
調查	t i e u ¹ ¹ l a ⁵ ³ ³
調皮	tʰ i e u ¹ ³ ⁻ ⁵ ³ ³ pʰ i ¹ ³
調羹	t i e u ¹ ³ ⁻ ¹ ¹ ɛ ŋ ⁵ ³ ³
談	t a ŋ ¹ ³
請	t͡sʰ i a ⁴ ⁵ ³
請	t͡sʰ i ŋ ⁴ ⁵ ³
請人客	t͡sʰ i a ⁴ ⁵ ³ ⁻ ¹ ¹ n a ŋ ¹ ³ ⁻ ⁴ ² ŋ a ¹ ¹
諍	t͡s a ⁴ ²
諍	t͡s ɛ ŋ ⁴ ²
諍	t͡s ɛ ŋ ⁵ ³ ³
諍喙	t͡s a ⁴ ² ⁻ ⁵ ⁵ l u i ⁴ ²
諒	l y ɒ ŋ ¹ ¹
論	l ɔ ŋ ¹ ³
論	l ɔ ŋ ¹ ¹
論壇	l ɔ ŋ ¹ ¹ t u a ¹ ³
論文	l ɔ ŋ ¹ ¹ m ɔ ŋ ¹ ³
諜	t i ɛ ʔ ⁴
諧	h a i ¹ ³
諭	t͡s y ¹ ¹
諱	h u i ⁴ ²
諶	ɬ i ŋ ¹ ³
諷	h ɒ ŋ ⁴ ⁵ ³
諸位	t͡s y ⁵ ³ ³ ⁻ ¹ ³ u i ¹ ¹
諸侯	t͡s y ⁵ ³ ³ ⁻ ¹ ¹ h i e u ¹ ³
諸君	t͡s y ⁵ ³ ³ ⁻ ¹ ¹ k ɔ ŋ ⁵ ³ ³
諺	ŋ ɛ ŋ ¹ ¹
諼	ɬ œ ŋ ⁵ ³ ³
謀	p i e u ¹ ³
謀反	p i e u ¹ ³ ⁻ ¹ ¹ u a ŋ ⁴ ⁵ ³
謁	h ɛ ʔ ² ¹
謁	ɛ ʔ ² ¹
謂	u i ¹ ¹
謊	h ɒ ŋ ⁴ ⁵ ³
謊	h ɒ ŋ ⁵ ³ ³
謎	p e ¹ ³
謔	k œ ʔ ⁴
謗	p ɒ ŋ ⁴ ²
謙虛	kʰ i ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ⁵ ³ ³
講	k a ŋ ⁴ ⁵ ³
講	k ɒ ŋ ⁴ ⁵ ³
講古	k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ k ɔ u ⁴ ⁵ ³
講大話	k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ t u a ¹ ¹ ⁻ ⁴ ² u a ¹ ¹
講定	k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ n i a ¹ ¹
講新聞	k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ n i ŋ ⁵ ³ ³ ⁻ ¹ ¹ m ɔ ŋ ¹ ³
講東講西	k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ t a ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ n a i ⁵ ³ ³
講法	k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ h a ʔ ² ¹
講臺	k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ t a i ¹ ³
講話	k ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ ŋ u a ¹ ¹
謝	ɬ i a ¹ ¹
謠	i e u ¹ ³
謬	p i u ¹ ¹
謹	k i ŋ ⁴ ⁵ ³
證	t͡s i a ⁴ ²
證	t͡s i ŋ ⁴ ²
證件	t͡s i ŋ ⁴ ² k y ɒ ¹ ¹
證明	t͡s i ŋ ⁴ ² m i ŋ ¹ ³
證見	t͡s i ŋ ⁴ ² ⁻ ⁵ ⁵ ŋ ɛ ŋ ⁴ ²
證驗	t͡s i ŋ ⁴ ² ŋ i ɛ ŋ ¹ ¹
譐	t͡s ɔ ŋ ⁴ ⁵ ³
識	ɬ i ʔ ² ¹
譚	tʰ a ŋ ¹ ³
譜	pʰ ɔ u ⁴ ⁵ ³
譞	ɬ œ ŋ ⁵ ³ ³
警	k i ŋ ⁴ ²
警車	k i ŋ ⁴ ² ⁻ ⁵ ⁵ n i a ⁵ ³ ³
警醒	k i ŋ ⁴ ² ⁻ ⁵ ⁵ t͡sʰ a ⁴ ⁵ ³
譬	pʰ i ʔ ² ¹
譬	pʰ i ⁴ ²
譬並	pʰ i ʔ ² ¹ ⁻ ⁴ ² pʰ i a ¹ ¹
譬喻	pʰ i ʔ ² ¹ ⁻ ⁴ ² t͡s y ¹ ¹
譬如	pʰ i ʔ ² ¹ ⁻ ⁴ ⁵ t͡s y ¹ ³
譯	i ʔ ⁴
譯文	i ʔ ⁴ ⁻ ² ¹ m ɔ ŋ ¹ ³
議	k i ¹ ¹
議	k i ⁴ ⁵ ³
議員	k i ⁴ ⁵ ³ ⁻ ¹ ³ œ ŋ ¹ ³
議案	k i ¹ ¹ ⁻ ⁵ ⁵ a ŋ ⁴ ²
議論	k i ¹ ¹ ⁻ ⁴ ² l ɔ ŋ ¹ ¹
譴	kʰ ɛ ŋ ⁴ ⁵ ³
護	h ɔ u ¹ ¹
護	ɔ u ¹ ¹
護法	h ɔ u ¹ ¹ ⁻ ⁴ ² h a ʔ ² ¹
護理	h ɔ u ¹ ¹ l i ⁴ ⁵ ³
譽	y ¹ ¹
讀	tʰ a ʔ ⁴
讀	tʰ ɒ ʔ ⁴
讀冊	tʰ a ʔ ⁴ ⁻ ⁴ ² t͡sʰ a ¹ ¹
讀字爿	tʰ a ʔ ⁴ ⁻ ² ¹ t͡s i ¹ ¹ p e ¹ ³
讀書	tʰ a ʔ ⁴ ⁻ ² ¹ t͡s y ⁵ ³ ³
讀書音	tʰ a ʔ ⁴ ⁻ ² ¹ t͡s y ⁵ ³ ³ ⁻ ¹ ¹ i ŋ ⁵ ³ ³
讀死書	tʰ a ʔ ⁴ ⁻ ² ¹ ɬ i ⁴ ⁵ ³ ⁻ ¹ ¹ l y ⁵ ³ ³
讀經	tʰ a ʔ ⁴ ⁻ ² ¹ k i ŋ ⁵ ³ ³
讀者	tʰ ɒ ʔ ⁴ ⁻ ² ¹ t͡s i a ⁴ ⁵ ³
變	p i ŋ ⁴ ²
變	p ɛ ŋ ⁴ ²
變動	p ɛ ŋ ⁴ ² t ɒ ŋ ¹ ¹
變化	p ɛ ŋ ⁴ ² ⁻ ⁵ ⁵ ŋ u a ⁴ ²
變壓器	p ɛ ŋ ⁴ ² ⁻ ¹ ¹ a ʔ ² ¹ ⁻ ⁴ ⁵ kʰ i ⁴ ²
變天	p ɛ ŋ ⁴ ² ⁻ ⁵ ⁵ n i ŋ ⁵ ³ ³
變形	p ɛ ŋ ⁴ ² h i ŋ ¹ ³
變面	p i ŋ ⁴ ² ⁻ ⁵ ⁵ m i ŋ ⁴ ²
讋	t͡s ɛ ʔ ² ¹
讓	t͡s i e u ¹ ¹
讓	t͡s y ɒ ŋ ¹ ¹
讖	t͡sʰ ɛ ŋ ⁴ ²
讚美	t͡s a ŋ ⁴ ² ⁻ ⁵ ⁵ p i ⁴ ⁵ ³
谷	k ɒ ʔ ² ¹
谿	kʰ e ⁵ ³ ³
豆	t a u ¹ ¹
豆	t i e u ¹ ¹
豆滷	t a u ¹ ¹ l ɔ u ⁴ ⁵ ³
豆漿	t a u ¹ ¹ l i e u ⁵ ³ ³
豆腐	t a u ⁴ ²
豆腐花	t a u ⁴ ² ⁻ ⁵ ⁵ u a ⁵ ³ ³
豆花	t a u ¹ ¹ u a ⁵ ³ ³
豆豉	t a u ¹ ¹ ⁻ ⁴ ² l i ¹ ¹
豈	kʰ i ⁴ ⁵ ³
豉	ɬ i ¹ ¹
豎	ɬ y ¹ ¹
豐	h ɒ ŋ ⁵ ³ ³
豐	pʰ ɒ ŋ ⁵ ³ ³
豕	ɬ i ⁴ ⁵ ³
象	t͡sʰ i e u ¹ ¹
象	ɬ y ɒ ŋ ¹ ¹
象形	ɬ y ɒ ŋ ¹ ¹ h i ŋ ¹ ³
象棋	t͡sʰ i e u ¹ ¹ i ¹ ³
豢	h u a ŋ ⁴ ²
豨	h i ⁵ ³ ³
豪	h ɒ ¹ ³
豫	y ¹ ¹
豬	t y ⁵ ³ ³
豬公	t y ⁵ ³ ³ ⁻ ¹ ¹ k a ŋ ⁵ ³ ³
豬哥	t y ⁵ ³ ³ ⁻ ¹ ¹ k o ⁵ ³ ³
豬囝	t y ⁵ ³ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
豬尺	t y ⁵ ³ ³ ⁻ ¹ ³ t͡sʰ i e u ¹ ¹
豬料	t y ⁵ ³ ³ ⁻ ¹ ³ l i e u ¹ ¹
豬母	t y ⁵ ³ ³ ⁻ ¹ ¹ o ⁴ ⁵ ³
豬肝	t y ⁵ ³ ³ ⁻ ¹ ¹ u a ⁵ ³ ³
豬血	t y ⁵ ³ ³ ⁻ ¹ ³ h e ¹ ¹
豬角	t y ⁵ ³ ³ ⁻ ¹ ³ k a ʔ ² ¹
豬豚	t y ⁵ ³ ³ ⁻ ¹ ¹ l ɔ ŋ ¹ ³
豬豚囝	t y ⁵ ³ ³ ⁻ ¹ ¹ l ɔ ŋ ¹ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³
豬跤	t y ⁵ ³ ³ ⁻ ¹ ¹ ɒ ⁵ ³ ³
豬鞭	t y ⁵ ³ ³ ⁻ ¹ ¹ p ɛ ŋ ⁵ ³ ³
豹	p a u ⁴ ²
豺	t͡s a i ¹ ³
貂	t i e u ⁵ ³ ³
貅	h i u ⁵ ³ ³
貆	h u a ŋ ¹ ³
貌	p a u ¹ ¹
貌相	p a u ¹ ¹ ⁻ ⁴ ² ɬ y ɒ ŋ ¹ ¹
貓	m a u ⁵ ³ ³
貓	m ɒ ¹ ³
貓子	m ɒ ¹ ³ ⁻ ¹ ¹ l i ⁴ ⁵ ³
貓狸	m ɒ ¹ ³ ⁻ ¹ ¹ l i ⁴ ⁵ ³
貝	p u e i ⁴ ²
貞	t͡s i ŋ ⁵ ³ ³
負擔	h u ¹ ¹ t a ŋ ⁵ ³ ³
負責	h u ¹ ¹ ⁻ ⁴ ² t͡s ɛ ʔ ² ¹
負面	h u ¹ ¹ ⁻ ⁵ ⁵ m i ŋ ⁴ ²
財	t͡s a i ¹ ³
財主	t͡s a i ¹ ³ ⁻ ¹ ¹ l ɔ u ⁴ ⁵ ³
財主指	t͡s a i ¹ ³ ⁻ ¹ ¹ l ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ l a i ⁴ ⁵ ³
財寶	t͡s a i ¹ ³ ⁻ ¹ ¹ o ⁴ ⁵ ³
財氣	t͡s a i ¹ ³ ⁻ ⁵ ⁵ kʰ i ⁴ ²
財源	t͡s a i ¹ ³ ⁻ ¹ ¹ ŋ œ ŋ ¹ ³
財產	t͡s a i ¹ ³ ⁻ ¹ ¹ l a ŋ ⁴ ⁵ ³
貧	p i ŋ ¹ ³
貧惰	p i ŋ ¹ ³ ⁻ ⁴ ² n i a ¹ ¹
貧惰	p ɛ ŋ ¹ ³ ⁻ ⁴ ² n y ɒ ¹ ¹
貧血	p i ŋ ¹ ³ ⁻ ⁴ ² h e ¹ ¹
貧農	p i ŋ ¹ ³ ⁻ ¹ ¹ n ɒ ŋ ¹ ³
貨車	h o ⁴ ² ⁻ ⁵ ⁵ l i a ⁵ ³ ³
貨輪	h o ⁴ ² l ɔ ŋ ¹ ³
貨𨈘	h o ⁴ ² ⁻ ⁵ ⁵ l a u ⁴ ⁵ ³
貨𨈘囝	h o ⁴ ² ⁻ ¹ ¹ l a u ⁴ ⁵ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
貨𨈘痟	h o ⁴ ² ⁻ ¹ ¹ l a u ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i e u ⁴ ⁵ ³
貨𨈘相	h o ⁴ ² ⁻ ¹ ¹ l a u ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ y ɒ ŋ ⁴ ²
貨𨈘精	h o ⁴ ² ⁻ ¹ ¹ l a u ⁴ ⁵ ³ ⁻ ¹ ¹ t͡s i ŋ ⁵ ³ ³
貨𨈘腔	h o ⁴ ² ⁻ ¹ ¹ l a u ⁴ ⁵ ³ ⁻ ¹ ¹ kʰ a ŋ ⁵ ³ ³
貨𨈘貓	h o ⁴ ² ⁻ ¹ ¹ l a u ⁴ ⁵ ³ ⁻ ¹ ³ ɒ ¹ ³
貨𨈘間	h o ⁴ ² ⁻ ¹ ¹ l a u ⁴ ⁵ ³ ⁻ ¹ ¹ e ⁵ ³ ³
販	h u a ŋ ⁴ ²
貪	tʰ a ŋ ⁵ ³ ³
貪食	tʰ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i æ ʔ ⁴
貪食鬼	tʰ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i a ¹ ³ ⁻ ¹ ¹ u i ⁴ ⁵ ³
貫	k u a ŋ ⁴ ²
責	t͡s ɛ ʔ ² ¹
責任	t͡s ɛ ʔ ² ¹ ⁻ ⁴ ² t͡s i ŋ ¹ ¹
責怪	t͡s ɛ ʔ ² ¹ ⁻ ⁴ ⁵ k u e i ⁴ ²
貲	t͡sʰ o ¹ ³
貳	t͡s i ¹ ¹
貴	k u i ⁴ ²
貴州	k u i ⁴ ² ⁻ ⁵ ⁵ l i u ⁵ ³ ³
貴陽	k u i ⁴ ² y ɒ ŋ ¹ ³
貶	p ɛ ŋ ⁴ ⁵ ³
買	m a i ⁴ ⁵ ³
買	p e ⁴ ⁵ ³
貸款	t a i ⁴ ² ⁻ ⁵ ⁵ kʰ u a ŋ ⁴ ⁵ ³
費	h i ⁴ ²
費	p i ⁴ ²
貼	tʰ e ¹ ¹
貼	tʰ i ɛ ʔ ² ¹
賀儀	h o ¹ ¹ i ¹ ³
賀禮	h o ¹ ¹ l e ⁴ ⁵ ³
賂	l ɔ u ¹ ¹
賄	h u e i ⁴ ⁵ ³
賄賂	h u e i ⁴ ⁵ ³ ⁻ ¹ ³ l ɔ u ¹ ¹
資	t͡s o ⁵ ³ ³
資料	t͡s o ⁵ ³ ³ ⁻ ¹ ³ l i e u ¹ ¹
資源	t͡s o ⁵ ³ ³ ⁻ ¹ ¹ ŋ œ ŋ ¹ ³
賊	t͡s ɛ ʔ ⁴
賊	t͡sʰ ɛ ʔ ⁴
賊頭	t͡sʰ ɛ ʔ ⁴ ⁻ ² ¹ tʰ a u ¹ ³
賒	ɬ i a ⁵ ³ ³
賓	p i ŋ ⁵ ³ ³
賜	ɬ o ⁴ ²
賜予	ɬ o ⁴ ² y ¹ ¹
賠	p u e i ¹ ³
賢	h ɛ ŋ ¹ ³
賣	m a i ¹ ¹
賣	p e ¹ ¹
賤	t͡s y ɒ ¹ ¹
賤	t͡s ɛ ŋ ¹ ¹
賦	h u ⁴ ²
質	t͡s i ʔ ² ¹
質量	t͡s i ʔ ² ¹ ⁻ ⁴ ² l y ɒ ŋ ¹ ¹
賭	t ɔ u ⁴ ⁵ ³
賴	l a i ¹ ¹
賴	l u a ¹ ¹
賴店	l a i ¹ ¹ ⁻ ⁵ ⁵ l e ⁴ ²
賺	t ɒ ¹ ¹
賺	t͡s u a ŋ ¹ ¹
賽	ɬ ø ⁴ ²
賽程	ɬ ø ⁴ ² tʰ i ŋ ¹ ³
贅	t͡s u i ⁴ ²
贓	t͡s u ŋ ⁵ ³ ³
贓	t͡s ɒ ŋ ⁵ ³ ³
贖	ɬ œ ʔ ⁴
贖款	ɬ œ ʔ ⁴ ⁻ ² ¹ kʰ u a ŋ ⁴ ⁵ ³
贖罪	ɬ œ ʔ ⁴ ⁻ ⁴ ² t͡s u e i ¹ ¹
贖金	ɬ œ ʔ ⁴ ⁻ ² ¹ k i ŋ ⁵ ³ ³
贗	ŋ a ŋ ¹ ¹
贛	k ɒ ŋ ⁴ ²
贛語	k ɒ ŋ ⁴ ² ⁻ ⁵ ⁵ ŋ y ⁴ ⁵ ³
赤	t͡sʰ i a ¹ ¹
赤	t͡sʰ i ʔ ² ¹
赤壁	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ² p i ʔ ² ¹
赤鼠	t͡sʰ i a ¹ ¹ ⁻ ⁵ ⁵ l y ⁴ ⁵ ³
赦	ɬ i a ⁴ ²
赦免	ɬ i a ⁴ ² ⁻ ⁵ ⁵ m ɛ ŋ ⁴ ⁵ ³
赩	h i ʔ ² ¹
赩	h ɛ ʔ ² ¹
赫	h ɛ ʔ ² ¹
走	t͡s a u ⁴ ⁵ ³
走	t͡s i e u ⁴ ⁵ ³
走	t͡s ɔ u ⁴ ⁵ ³
走味	t͡s a u ⁴ ⁵ ³ ⁻ ¹ ³ i ¹ ¹
走覕	t͡s a u ⁴ ⁵ ³ ⁻ ¹ ¹ a ʔ ⁴
赴	h u ⁴ ²
起	kʰ i ⁴ ⁵ ³
起價	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ ɒ ⁴ ²
起厝	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ l ɔ u ⁴ ⁵ ³
起早	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ ɒ ⁴ ⁵ ³
起早好	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ l ɒ ⁴ ⁵ ³ h o ⁴ ⁵ ³
起早時	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ ɒ ⁴ ⁵ ³ ⁻ ¹ ³ l i ¹ ³
起早暝晏	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ m a ¹ ³ ⁻ ⁵ ⁵ u a ⁴ ²
起早頭	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ ɒ ⁴ ⁵ ³ ⁻ ¹ ³ l a u ¹ ³
起母	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ p o ⁴ ⁵ ³
起火	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ u e i ⁴ ⁵ ³
起碼	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
起雞母皮	kʰ i ⁴ ⁵ ³ ⁻ ¹ ¹ e ⁵ ³ ³ ⁻ ¹ ¹ o ⁴ ⁵ ³ ⁻ ¹ ³ pʰ u e i ¹ ³
趁	tʰ ɛ ŋ ⁴ ²
趁	t͡sʰ i ŋ ¹ ¹
趁錢	tʰ ɛ ŋ ⁴ ² n i ŋ ¹ ³
趄	t͡s y ⁵ ³ ³
超	tʰ i e u ⁵ ³ ³
超越	tʰ i e u ⁵ ³ ³ ⁻ ¹ ¹ œ ʔ ⁴
越	œ ʔ ⁴
越南	œ ʔ ⁴ ⁻ ² ¹ n a ŋ ¹ ³
趒	tʰ i e u ⁴ ²
趔	l ɛ ʔ ⁴
趕	k a ŋ ⁴ ⁵ ³
趕	k u a ⁴ ⁵ ³
趙	t i e u ¹ ¹
趨勢	t͡sʰ y ⁵ ³ ³ ⁻ ¹ ³ ɬ e ⁴ ²
足	t͡s œ ʔ ² ¹
趻	tʰ i ŋ ⁴ ⁵ ³
趾	t͡s i ⁴ ⁵ ³
跋杯	p u a ¹ ³ ⁻ ¹ ¹ p u e i ⁵ ³ ³
跋繳生	p u a ¹ ³ ⁻ ¹ ¹ k i e u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ŋ ⁵ ³ ³
跋錢	p u a ¹ ³ ⁻ ¹ ¹ l i ŋ ¹ ³
跋錢生	p u a ¹ ³ ⁻ ¹ ¹ l i ŋ ¹ ³ ⁻ ¹ ¹ n ɛ ŋ ⁵ ³ ³
跋錢間	p u a ¹ ³ ⁻ ¹ ¹ l i ŋ ¹ ³ ⁻ ¹ ¹ ŋ e ⁵ ³ ³
跋錢鬼	p u a ¹ ³ ⁻ ¹ ¹ l i ŋ ¹ ³ ⁻ ¹ ¹ ŋ u i ⁴ ⁵ ³
