'day	d a j
sibig	s i b i ɡ
sibika	s i b i k a
sibil	s i b i l
sibilisa	s i b i l i s a
sibilisado	s i b i l i s a d o
sibilisasyon	s i b i l i s a s j o n
sibilyan	s i b i l j a n
sibo	s i b o
sibo	s i b o ʔ
sibog	s i b o ɡ
sibol	s i b o l
sibsib	s i b s i b
sibucao	s i b u k a w
sibukaw	s i b u k a w
sibuyas	s i b u j a s
sideral	s i d e ɾ a l
sidha	s i d h a
sidha	s i d h a ʔ
sidhi	s i d h i ʔ
sidlan	s i d l a n
sidra	s i d ɾ a
sidras	s i d ɾ a s
siga	s i ɡ a
siga	s i ɡ a ʔ
sigadilyas	s i ɡ a d i l j a s
sigalot	s i ɡ a l o t
sigam	s i ɡ a m
sigang	s i ɡ a ŋ
sigaras	s i ɡ a ɾ a s
sigaret	s i ɡ a ɾ e t
sigarilya	s i ɡ a ɾ i l j a
sigarilyas	s i ɡ a ɾ i l j a s
sigarilyo	s i ɡ a ɾ i l j o
sigaro	s i ɡ a ɾ o
sigasig	s i ɡ a s i ɡ
sigaw	s i ɡ a w
sigay	s i ɡ a j
sige	s i ɡ e
sigi	s i ɡ i
sigi	s i ɡ i ʔ
sigid	s i ɡ i d
sigik	s i ɡ i k
siging	s i ɡ i ŋ
sigit	s i ɡ i t
sigla	s i ɡ l a
siglap	s i ɡ l a p
siglaw	s i ɡ l a w
siglo	s i ɡ l o
sigmo	s i ɡ m o ʔ
sigmuan	s i ɡ m u ʔ a n
signipikante	s i ɡ n i p i k a n t e
signo	s i ɡ n o
signos	s i ɡ n o s
sigok	s i ɡ o k
sigras	s i ɡ ɾ a s
sigsa	s i ɡ s a
sigsig	s i ɡ s i ɡ
sigurado	s i ɡ u ɾ a d o
siguraduhin	s i ɡ u ɾ a d u h i n
sigurista	s i ɡ u ɾ i s t a
siguro	s i ɡ u ɾ o
sigwa	s i ɡ w a
sigwada	s i ɡ w a d a
sigwasan	s i ɡ w a s a n
sigya	s i ɡ j a
siha	s i h a ʔ
sihang	s i h a ŋ
sihay	s i h a j
sihayan	s i h a j a n
siid	s i ʔ i d
siil	s i ʔ i l
siim	s i ʔ i m
siit	s i ʔ i t
sikad	s i k a d
sikada	s i k a d a
sikal	s i k a l
sikang	s i k a ŋ
sikap	s i k a p
sikat	s i k a t
sikatsikat	s i k a t s i k a t
sikdo	s i k d o
sikhay	s i k h a j
siki	s i k i ʔ
sikil	s i k i l
sikip	s i k i p
siklab	s i k l a b
siklan	s i k l a n
siklang	s i k l a ŋ
siklista	s i k l i s t a
siklo	s i k l o
sikmat	s i k m a t
sikmura	s i k m u ɾ a
sikmura	s i k m u ɾ a ʔ
sikno	s i k n o ʔ
siko	s i k o
sikoanalisis	s i k o ʔ a n a l i s i s
sikoanalista	s i k o ʔ a n a l i s t a
sikoanalitikal	s i k o ʔ a n a l i t i k a l
sikoanalitiko	s i k o ʔ a n a l i t i k o
sikolo	s i k o l o
sikologo	s i k o l o ɡ o
sikolohia	s i k o l o h i a
sikolohista	s i k o l o h i s t a
sikolohiya	s i k o l o h i a
sikolohya	s i k o l o h j a
sikot	s i k o t
sikote	s i k o t e
sikoy	s i k o j
sikreto	s i k ɾ e t o
siksik	s i k s i k
siksikan	s i k s i k a n
siksin	s i k s i n
sikulate	s i k u l a t e
sikulo	s i k u l o
sikwan	s i k w a n
sikwat	s i k w a t
sikyu	s i k j u ʔ
sila	s i l a
sila	s i l a ʔ
silab	s i l a b
silaba	s i l a b a
silabasyon	s i l a b a s j o n
silabikasyon	s i l a b i k a s j o n
silag	s i l a ɡ
silahis	s i l a h i s
silakbo	s i l a k b o
silam	s i l a m
silambang	s i l a m b a ŋ
silang	s i l a ŋ
silangan	s i l a ŋ a n
silat	s i l a t
silaw	s i l a w
silay	s i l a j
silbato	s i l b a t o
silbi	s i l b e
silbi	s i l b i
silbiro	s i l b i ɾ o
sile	s i l e
sili	s i l e
sili	s i l i
silid	s i l i d
silidkaphay	s i l i d k a p h a j
silidkapnayan	s i l i d k a p n a j a n
silidkatwan	s i l i d k a t w a n
silidkilos	s i l i d k i l o s
silidkulay	s i l i d k u l a j
silidlawas	s i l i d l a w a s
silidmanahan	s i l i d m a n a h a n
silig	s i l i ɡ
silim	s i l i m
silindro	s i l i n d ɾ o
silinyador	s i l i n j a d o ɾ
silip	s i l i p
siliw	s i l i w
silo	s i l o ʔ
silog	s i l o ɡ
silohiya	s i l o h i a
silopono	s i l o p o n o
silsil	s i l s i l
silweta	s i l w e t a
silya	s i l j a
silyeriya	s i l j e ɾ i a
silyerya	s i l j e ɾ j a
sim	s i m
sima	s i m a ʔ
simana	s i m a n a
simangot	s i m a ŋ o t
simba	s i m b a
simbahan	s i m b a h a n
simberguwensa	s i m b e ɾ ɡ u e n s a
simbergwensa	s i m b e ɾ ɡ w e n s a
simbolismo	s i m b o l i s m o
simbolo	s i m b o l o
simenteryo	s i m e n t e ɾ j o
simento	s i m e n t o
simetriya	s i m e t ɾ i a
simi	s i m i ʔ
simot	s i m o t
simoy	s i m o j
simpan	s i m p a n
simpangol	s i m p a ŋ o l
simpatiko	s i m p a t i k o
simpatiya	s i m p a t i a
simpatya	s i m p a t j a
simpian	s i m p i ʔ a n
simpit	s i m p i t
simple	s i m p l e
simplehan	s i m p l e h a n
simplipikasyon	s i m p l i p i k a s j o n
simpok	s i m p o k
simposyum	s i m p o s j u m
simula	s i m u l a ʔ
simulain	s i m u l a ʔ i n
simulan	s i m u l a n
simulasyon	s i m u l a s j o n
simuno	s i m u n o ʔ
simutsang	s i m u t s a ŋ
simutsang	s i m u t͡ʃ a ŋ
sina	s i n a
sinabunutan	s i n a b u n u t a n
sinadobo	s i n a d o b o
sinag	s i n a ɡ
sinagoga	s i n a ɡ o ɡ a
sinaing	s i n a ʔ i ŋ
sinakyan	s i n a k j a n
sinama	s i n a m a
sinama	s i n a m a ʔ
sinamay	s i n a m a j
sinamomo	s i n a m o m o
sinamong	s i n a m o ŋ
sinandomeng	s i n a n d o m e ŋ
sinangag	s i n a ŋ a ɡ
sinaniban	s i n a n i b a n
sinap	s i n a p
sinapismo	s i n a p i s m o
sinapupo	s i n a p u p o
sinapupunan	s i n a p u p u n a n
sinasabunutan	s i n a s a b u n u t a n
sinat	s i n a t
sinauna	s i n a ʔ u n a
sinaya	s i n a j a
sinaya	s i n a j a ʔ
sindak	s i n d a k
sindakin	s i n d a k i n
sindal	s i n d a l
sindi	s i n d i
sindikato	s i n d i k a t o
sine	s i n e
sinehan	s i n e h a n
sinelas	s i n e l a s
sinepete	s i n e p e t e
singa	s i ŋ a
singap	s i ŋ a p
singasing	s i ŋ a s i ŋ
singaw	s i ŋ a w
singga	s i ŋ ɡ a
singgalong	s i ŋ ɡ a l o ŋ
singgi	s i ŋ ɡ i ʔ
singguwatse	s i ŋ ɡ u a t s e
singguwatse	s i ŋ ɡ u a t͡ʃ e
singguwatsi	s i ŋ ɡ u a t s i
singguwatsi	s i ŋ ɡ u a t͡ʃ i
singhal	s i ŋ h a l
singhap	s i ŋ h a p
singhot	s i ŋ h o t
singhutin	s i ŋ h u t i n
singil	s i ŋ i l
singit	s i ŋ i t
singkad	s i ŋ k a d
singkahulugan	s i ŋ k a h u l u ɡ a n
singkak	s i ŋ k a k
singkal	s i ŋ k a l
singkamas	s i ŋ k a m a s
singkamasan	s i ŋ k a m a s a n
singki	s i ŋ k i ʔ
singkit	s i ŋ k i t
singko	s i ŋ k o
singko	s i ŋ k o ʔ
singkol	s i ŋ k o l
singkona	s i ŋ k o n a
singkopa	s i ŋ k o p a
singkuhin	s i ŋ k u h i n
singkuwenta	s i ŋ k u e n t a
singli	s i ŋ l i
singsing	s i ŋ s i ŋ
sinigang	s i n i ɡ a ŋ
sinigurado	s i n i ɡ u ɾ a d o
sinigwelas	s i n i ɡ w e l a s
sinili	s i n i l i
sining	s i n i ŋ
sinipete	s i n i p e t e
sinipit	s i n i p i t
sinipite	s i n i p i t e
sinisa	s i n i s a
sinisera	s i n i s e ɾ a
sinisero	s i n i s e ɾ o
sinisigurado	s i n i s i ɡ u ɾ a d o
sinkuwenta	s i ŋ k u e n t a
sino	s i n o
sinok	s i n o k
sinop	s i n o p
sinsay	s i n s a j
sinsin	s i n s i n
sinsing	s i n s i ŋ
sinsoro	s i n s o ɾ o
sinta	s i n t a
sinta	s i n t a ʔ
sintabi	s i n t a b i ʔ
sintang	s i n t a ŋ
sintas	s i n t a s
sinto	s i n t o ʔ
sintog	s i n t o ɡ
sintomas	s i n t o m a s
sintones	s i n t o n e s
sintonis	s i n t o n i s
sintores	s i n t o ɾ e s
sintunado	s i n t u n a d o
sintunis	s i n t u n i s
sinturis	s i n t u ɾ i s
sinturon	s i n t u ɾ o n
sinukin	s i n u k i n
sinukmani	s i n u k m a n i ʔ
sinulaman	s i n u l a m a n
sinulid	s i n u l i d
sinuliran	s i n u l i ɾ a n
sinuman	s i n u m a n
sinumbilang	s i n u m b i l a ŋ
sinumpaan	s i n u m p a ʔ a n
sinungaling	s i n u ŋ a l i ŋ
sinupin	s i n u p i n
sinway	s i n w a j
sinyor	s i n j o ɾ
sinyora	s i n j o ɾ a
sinyuldiya	s i n j u l d i a
siomai	s i o m a j
siopao	s i o p a w
sipa	s i p a ʔ
sipag	s i p a ɡ
sipagin	s i p a ɡ i n
sipain	s i p a ʔ i n
sipak	s i p a k
sipat	s i p a t
sipatin	s i p a t i n
sipay	s i p a j
sipero	s i p e ɾ o
siphaw	s i p h a w
siphayo	s i p h a j o ʔ
sipi	s i p i ʔ
sipilis	s i p i l i s
sipilyo	s i p i l j o
siping	s i p i ŋ
sipit	s i p i t
sipitin	s i p i t i n
sipnayan	s i p n a j a n
sipol	s i p o l
sipon	s i p o n
sipot	s i p o t
sipra	s i p ɾ a
sipres	s i p ɾ e s
sipsip	s i p s i p
sipunin	s i p u n i n
sira	s i ɾ a ʔ
siraan	s i ɾ a ʔ a n
sirain	s i ɾ a ʔ i n
siraulo	s i ɾ a ʔ u l o
sirena	s i ɾ e n a
sirimiyas	s i ɾ i m i a s
sirit	s i ɾ i t
sirkito	s i ɾ k i t o
sirkon	s i ɾ k o n
sirkulasyon	s i ɾ k u l a s j o n
sirkumperensiya	s i ɾ k u m p e ɾ e n s i a
sirkunstansiya	s i ɾ k u n s t a n s i a
sirkuwito	s i ɾ k u i t o
siruhano	s i ɾ u h a n o
siruhiya	s i ɾ u h i a
sirup	s i ɾ u p
sirwelas	s i ɾ w e l a s
siryales	s i ɾ j a l e s
sisante	s i s a n t e
sisantehin	s i s a n t e h i n
sisay	s i s a j
sisenta	s i s e n t a
sisi	s i s e
sisi	s i s i
sisid	s i s i d
sisidlan	s i s i d l a n
sisig	s i s i ɡ
sisiguraduhin	s i s i ɡ u ɾ a d u h i n
sisihan	s i s i h a n
sisihin	s i s i h i n
sisikat	s i s i k a t
sisil	s i s i l
sisiliran	s i s i l i ɾ a n
sisilog	s i s i l o ɡ
sisip	s i s i p
sisiw	s i s i w
sisiwa	s i s i w a
sisiyo	s i s i o
sismatiko	s i s m a t i k o
sismiko	s i s m i k o
sismolohiya	s i s m o l o h i a
sismometro	s i s m o m e t ɾ o
sisne	s i s n e
siso	s i s o
sistema	s i s t e m a
sistematiko	s i s t e m a t i k o
sistemiko	s i s t e m i k o
sita	s i t a
sitasyon	s i t a s j o n
sitaw	s i t a w
sitenta	s i t e n t a
sitha	s i t h a ʔ
sitolohiya	s i t o l o h i a
sitsaron	s i t s a ɾ o n
sitsaron	s i t͡ʃ a ɾ o n
sitse	s i t s e
sitse	s i t͡ʃ e
sitsirika	s i t s i ɾ i k a
sitsirika	s i t͡ʃ i ɾ i k a
sitsirya	s i t s i ɾ j a
sitsirya	s i t͡ʃ i ɾ j a
sitwasyon	s i t w a s j o n
sityo	s i t j o
siwalat	s i w a l a t
siwang	s i w a ŋ
siya	s i a
siyaho	s i a h o
siyak	s i a k
siyakoy	s i a k o j
siyam	s i a m
siyamnapu	s i a m n a p u ʔ
siyamnaraan	s i a m n a ɾ a ʔ a n
siyampu	s i a m p u
siyanga	s i a ŋ a ʔ
siyano	s i a n o ʔ
siyansi	s i a n s i
siyantung	s i a n t u ŋ
siyap	s i a p
siyasat	s i a s a t
siyasatan	s i a s a t a n
siyasig	s i a s i ɡ
siyasik	s i a s i k
siyasip	s i a s i p
siyemay	s i e m a j
siyempre	s i e m p ɾ e
siyena	s i e n a
siyensiya	s i e n s i a
siyentipiko	s i e n t i p i k o
siyentista	s i e n t i s t a
siyento	s i e n t o
siyesta	s i e s t a
siyete	s i e t e
siyetemesino	s i e t e m e s i n o
siyobe	s i o b e
siyok	s i o k
siyoki	s i o k i ʔ
siyokla	s i o k l a ʔ
siyokot	s i o k o t
siyokoy	s i o k o j
siyoktong	s i o k t o ŋ
siyomay	s i o m a j
siyopaw	s i o p a w
siyota	s i o t a ʔ
siyoti	s i o t i
siyudad	s i u d a d
siyurbol	s i u ɾ b o l
siyurpit	s i u ɾ p i t
siyuting	s i u t i ŋ
slang	s l a ŋ
so	s o
so	s o w
soberania	s o b e ɾ a n i a
soberanidad	s o b e ɾ a n i d a d
soberaniya	s o b e ɾ a n i a
soberano	s o b e ɾ a n o
soberanya	s o b e ɾ a n j a
soberenidad	s o b e ɾ e n i d a d
soberenya	s o b e ɾ e n j a
sobla	s o b l a
sobra	s o b ɾ a
sobre	s o b ɾ e
sobrekarga	s o b ɾ e k a ɾ ɡ a
sobrepelis	s o b ɾ e p e l i s
sobrepelyis	s o b ɾ e p e l j i s
sodiyako	s o d i a k o
sodyak	s o d j a k
sodyako	s o d j a k o
solapa	s o l a p a
solb	s o l b
solenoyde	s o l e n o j d e
soli	s o l e ʔ
soli	s o l i ʔ
solideo	s o l i d e o
solido	s o l i d o
solihiya	s o l i h i a
solipsismo	s o l i p s i s m o
solisitor	s o l i s i t o ɾ
solista	s o l i s t a
solo	s o l o
soloista	s o l o i s t a
solowista	s o l o w i s t a
solstisyo	s o l s t i s j o
soltada	s o l t a d a
soltador	s o l t a d o ɾ
soluhin	s o l u h i n
solusyon	s o l u s j o n
sombi	s o m b i
sombrero	s o m b ɾ e ɾ o
soologo	s o ʔ o l o ɡ o
soolohiko	s o ʔ o l o h i k o
soolohiya	s o ʔ o l o h i a
sopa	s o p a
sopas	s o p a s
sopbol	s o p b o l
sopistikado	s o p i s t i k a d o
soplete	s o p l e t e
sorbetes	s o ɾ b e t e s
sori	s o ɾ i
soro	s o ɾ o
sorpresa	s o ɾ p ɾ e s a
sosi	s o s i
sospetsa	s o s p e t s a
sospetsa	s o s p e t͡ʃ a
sosyal	s o s j a l
sosyalismo	s o s j a l i s m o
sosyalista	s o s j a l i s t a
sosyedad	s o s j e d a d
sosyo	s o s j o
sosyolek	s o s j o l e k
sosyologo	s o s j o l o ɡ o
sosyolohiya	s o s j o l o h i a
sota	s o t a
sotana	s o t a n a
sotanghon	s o t a ŋ h o n
sotsoa	s o t s o a
sotsoa	s o t͡ʃ o a
sotsowa	s o t s o a
sotsowa	s o t͡ʃ o a
sotsua	s o t s u a
sotsua	s o t͡ʃ u a
sotsuwa	s o t s u a
sotsuwa	s o t͡ʃ u a
sotswa	s o t s w a
sotswa	s o t͡ʃ w a
spakol	s p a k o l
spamsilog	s p a m s i l o ɡ
starbs	s t a ɾ b s
stariray	s t a ɾ i ɾ a j
stirera	s t i ɾ e ɾ a
stirero	s t i ɾ e ɾ o
strikto	s t ɾ i k t o
suam	s u a m
suam	s u ʔ a m
suang	s u ʔ a ŋ
subali	s u b a l i ʔ
subalit	s u b a l i t
subasko	s u b a s k o
subasob	s u b a s o b
subasta	s u b a s t a
subaybay	s u b a j b a j
subersibo	s u b e ɾ s i b o
subhetibismo	s u b h e t i b i s m o
subida	s u b i d a
subido	s u b i d o
subla	s u b l a
submarino	s u b m a ɾ i n o
subo	s u b o
subo	s u b o ʔ
subok	s u b o k
subsidiya	s u b s i d i a
subsidya	s u b s i d j a
subsidyo	s u b s i d j o
subsob	s u b s o b
subtitulo	s u b t i t u l o
subtraksiyon	s u b t ɾ a k s i o n
subtraksyon	s u b t ɾ a k s j o n
subukan	s u b u k a n
subyang	s u b j a ŋ
sudeste	s u d e s t e
sudlan	s u d l a n
sudoeste	s u d o e s t e
sudoweste	s u d o e s t e
sudsod	s u d s o d
sudsuran	s u d s u ɾ a n
suerte	s u e ɾ t e
suga	s u ɡ a
suga	s u ɡ a ʔ
sugaan	s u ɡ a ʔ a n
sugadagindas	s u ɡ a d a ɡ i n d a s
sugadagitban	s u ɡ a d a ɡ i t b a n
sugal	s u ɡ a l
sugalan	s u ɡ a l a n
suganda	s u ɡ a n d a
sugapa	s u ɡ a p a ʔ
sugarol	s u ɡ a ɾ o l
sugasipat	s u ɡ a s i p a t
sugasukod	s u ɡ a s u k o d
sugat	s u ɡ a t
sugba	s u ɡ b a
sugbulog	s u ɡ b u l o ɡ
sughaynayan	s u ɡ h a j n a j a n
sugi	s u ɡ i ʔ
suglaguman	s u ɡ l a ɡ u m a n
sugnay	s u ɡ n a j
sugnayan	s u ɡ n a j a n
sugnayanin	s u ɡ n a j a n i n
sugnayanon	s u ɡ n a j a n o n
sugnayin	s u ɡ n a j i n
sugo	s u ɡ o ʔ
sugod	s u ɡ o d
sugok	s u ɡ o k
sugpo	s u ɡ p o ʔ
suha	s u h a ʔ
suhay	s u h a j
suhestiyon	s u h e s t i o n
suhestyon	s u h e s t j o n
suhi	s u h i ʔ
suhol	s u h o l
suhulan	s u h u l a n
suhur	s u h u ɾ
suka	s u k a
suka	s u k a ʔ
sukal	s u k a l
sukat	s u k a t
sukbit	s u k b i t
sukdan	s u k d a n
sukdol	s u k d o l
sukdulan	s u k d u l a n
sukdusik	s u k d u s i k
sukgisan	s u k ɡ i s a n
suki	s u k i ʔ
sukiyaki	s u k i a k i
suklam	s u k l a m
suklay	s u k l a j
sukli	s u k l i ʔ
suklob	s u k l o b
sukmani	s u k m a n i ʔ
suko	s u k o
suko	s u k o ʔ
sukob	s u k o b
sukod	s u k o d
sukol	s u k o l
sukong	s u k o ŋ
sukot	s u k o t
suksok	s u k s o k
sukuyuli	s u k u j u l i
sula	s u l a ʔ
sulak	s u l a k
sulake	s u l a k e
sulam	s u l a m
sulaman	s u l a m a n
sulapid	s u l a p i d
sulasi	s u l a s i
sulasok	s u l a s o k
sulat	s u l a t
sulatan	s u l a t a n
sulatin	s u l a t i n
sulatroniko	s u l a t ɾ o n i k o
sulayaw	s u l a j a w
sulib	s u l i b
sulid	s u l i d
sulidlawas	s u l i d l a w a s
suligi	s u l i ɡ i ʔ
sulihia	s u l i h i a
sulihiya	s u l i h i a
sulikap	s u l i k a p
sulinaw	s u l i n a w
suliran	s u l i ɾ a n
suliranin	s u l i ɾ a n i n
sulit	s u l i t
sulitin	s u l i t i n
sulo	s u l o
sulo	s u l o ʔ
sulok	s u l o k
sulong	s u l o ŋ
suloy	s u l o j
sulsi	s u l s i
sulsol	s u l s o l
sultan	s u l t a n
sultana	s u l t a n a
sultanato	s u l t a n a t o
sulukasok	s u l u k a s o k
sulupanak	s u l u p a n a k
sulupanaka	s u l u p a n a k a ʔ
sulyak	s u l j a k
sulyang	s u l j a ŋ
sulyap	s u l j a p
sulyasid	s u l j a s i d
sulyaw	s u l j a w
suma	s u m a
suma	s u m a ʔ
sumabat	s u m a b a t
sumabog	s u m a b o ɡ
sumadiyos	s u m a d i o s
sumadsad	s u m a d s a d
sumagadsad	s u m a ɡ a d s a d
sumagitsit	s u m a ɡ i t s i t
sumagot	s u m a ɡ o t
sumahimpapawid	s u m a h i m p a p a w i d
sumaibabaw	s u m a ʔ i b a b a w
sumailalim	s u m a ʔ i l a l i m
sumaisip	s u m a ʔ i s i p
sumakaalaman	s u m a k a ʔ a l a m a n
sumakalunuran	s u m a k a l u n u ɾ a n
sumakay	s u m a k a j
sumakit	s u m a k i t
sumaksak	s u m a k s a k
sumakses	s u m a k s e s
sumalahat	s u m a l a h a t
sumalamin	s u m a l a m i n
sumalangit	s u m a l a ŋ i t
sumalapang	s u m a l a p a ŋ
sumalapaw	s u m a l a p a w
sumalisi	s u m a l i s i
sumalpok	s u m a l p o k
sumama	s u m a m a
sumama	s u m a m a ʔ
sumampalataya	s u m a m p a l a t a j a
suman	s u m a n
sumangayon	s u m a ŋ ʔ a j o n
sumapanganib	s u m a p a ŋ a n i b
sumapayapa	s u m a p a j a p a ʔ
sumasaibabaw	s u m a s a ʔ i b a b a w
sumasalangit	s u m a s a l a ŋ i t
sumasampalataya	s u m a s a m p a l a t a j a
sumatotal	s u m a t o t a l
sumaya	s u m a j a
sumayaw	s u m a j a w
sumbali	s u m b a l i
sumbalilo	s u m b a l i l o
sumbi	s u m b i ʔ
sumbilang	s u m b i l a ŋ
sumbo	s u m b o
sumbong	s u m b o ŋ
sumbrero	s u m b ɾ e ɾ o
sumbungera	s u m b u ŋ e ɾ a
sumbungero	s u m b u ŋ e ɾ o
sumeksi	s u m e k s i
sumemplang	s u m e m p l a ŋ
sumigwa	s u m i ɡ w a
sumikat	s u m i k a t
sumikip	s u m i k i p
sumilang	s u m i l a ŋ
sumilip	s u m i l i p
sumimangot	s u m i m a ŋ o t
suminga	s u m i ŋ a
sumingaw	s u m i ŋ a w
suminta	s u m i n t a
sumipsip	s u m i p s i p
sumisid	s u m i s i d
sumisikat	s u m i s i k a t
sumite	s u m i t e
sumpa	s u m p a
sumpa	s u m p a ʔ
sumpaan	s u m p a ʔ a n
sumpak	s u m p a k
sumpit	s u m p i t
sumpong	s u m p o ŋ
sumugal	s u m u ɡ a l
sumuka	s u m u k a
sumulat	s u m u l a t
sumulong	s u m u l o ŋ
sumulsol	s u m u l s o l
sumunod	s u m u n o d
sumunor	s u m u n o ɾ
sumuong	s u m u ʔ o ŋ
sumusulat	s u m u s u l a t
sumuway	s u m u a j
sunat	s u n a t
sundalo	s u n d a l o
sundan	s u n d a n
sundang	s u n d a ŋ
sunday	s u n d a j
sundin	s u n d i n
sundo	s u n d o ʔ
sundong	s u n d o ŋ
sundot	s u n d o t
sungal	s u ŋ a l
sungalngal	s u ŋ a l ŋ a l
sungalngalin	s u ŋ a l ŋ a l i n
sungaw	s u ŋ a w
sungay	s u ŋ a j
sunggab	s u ŋ ɡ a b
sunggaban	s u ŋ ɡ a b a n
sunggo	s u ŋ ɡ o
sunggo	s u ŋ ɡ o ʔ
sungi	s u ŋ i ʔ
sungit	s u ŋ e t
sungit	s u ŋ i t
sungka	s u ŋ k a
sungka	s u ŋ k a ʔ
sungki	s u ŋ k i ʔ
sungkit	s u ŋ k i t
sungko	s u ŋ k o ʔ
sungkol	s u ŋ k o l
sungo	s u ŋ o
sungsong	s u ŋ s o ŋ
sunlad	s u n l a d
sunna	s u n a
sunod	s u n o d
sunog	s u n o ɡ
sunok	s u n o k
sunor	s u n o ɾ
sunran	s u n ɾ a n
sunro	s u n ɾ o ʔ
sunson	s u n s o n
sunsong	s u n s o ŋ
suntok	s u n t o k
suntukan	s u n t u k a n
suntukin	s u n t u k i n
sunugin	s u n u ɡ i n
sunungaling	s u n u ŋ a l i ŋ
sunuran	s u n u ɾ a n
sunurin	s u n u ɾ i n
suob	s u ʔ o b
suoban	s u ʔ o b a n
suong	s u ʔ o ŋ
suongin	s u ʔ o ŋ i n
suot	s u ʔ o t
superbagyo	s u p e ɾ b a ɡ j o
superbisor	s u p e ɾ b i s o ɾ
superbisyon	s u p e ɾ b i s j o n
superintendente	s u p e ɾ i n t e n d e n t e
superyora	s u p e ɾ j o ɾ a
superyoridad	s u p e ɾ j o ɾ i d a d
supil	s u p i l
supla	s u p l a
suplada	s u p l a d a
suplado	s u p l a d o
suplay	s u p l a j
suplayan	s u p l a j a n
suplayer	s u p l a j e ɾ
suplete	s u p l e t e
suplikasyon	s u p l i k a s j o n
suplina	s u p l i n a
supling	s u p l i ŋ
suplong	s u p l o ŋ
supok	s u p o k
suporta	s u p o ɾ t a
suportado	s u p o ɾ t a d o
suportahan	s u p o ɾ t a h a n
supositoryo	s u p o s i t o ɾ j o
supot	s u p o t
suprahista	s u p ɾ a h i s t a
suprahiyo	s u p ɾ a h i o
suprema	s u p ɾ e m a
supremo	s u p ɾ e m o
supsop	s u p s o p
sur	s u ɾ
sura	s u ɾ a
sura	s u ɾ a ʔ
surah	s u ɾ a
suri	s u ɾ i ʔ
surian	s u ɾ i ʔ a n
surimbangkay	s u ɾ i m b a ŋ k a j
suriso	s u ɾ i s o
suro	s u ɾ o ʔ
surot	s u ɾ o t
surotso	s u ɾ o t s o
surotso	s u ɾ o t͡ʃ o
surpresa	s u ɾ p ɾ e s a
surtido	s u ɾ t i d o
surutso	s u ɾ u t s o
surutso	s u ɾ u t͡ʃ o
sus	s u s
susan	s u s a n
sushi	s u s j i
sushi	s u ʃ i
susi	s u s i ʔ
susian	s u s i ʔ a n
suskripsiyon	s u s k ɾ i p s i o n
suskrisyon	s u s k ɾ i s j o n
suskritor	s u s k ɾ i t o ɾ
susmaryosep	s u s m a ɾ j o s e p
suso	s u s o
suso	s u s o ʔ
susog	s u s o ɡ
suson	s u s o n
susop	s u s o p
susot	s u s o t
suspek	s a s p e k
suspek	s u s p e k
suspende	s u s p e n d e
suspendido	s u s p e n d i d o
suspensiyon	s u s p e n s i o n
suspensyon	s u s p e n s j o n
suspetsa	s u s p e t s a
suspetsa	s u s p e t͡ʃ a
sustansiya	s u s t a n s i a
sustansya	s u s t a n s j a
sustantibo	s u s t a n t i b o
sustento	s u s t e n t o
susugan	s u s u ɡ a n
susuhong	s u s u h o ŋ
susukuyuli	s u s u k u j u l i
susulat	s u s u l a t
susulbot	s u s u l b o t
susunod	s u s u n o d
susunor	s u s u n o ɾ
susuwi	s u s u i ʔ
suswi	s u s w i ʔ
sutana	s u t a n a
sutil	s u t i l
sutla	s u t l a ʔ
sutmondilaw	s u t m o n d i l a w
sutmundilaw	s u t m u n d i l a w
sutsoa	s u t s o a
sutsoa	s u t͡ʃ o a
sutsot	s u t s o t
sutsowa	s u t s o a
sutsowa	s u t͡ʃ o a
sutsua	s u t s u a
sutsua	s u t͡ʃ u a
sutsuwa	s u t s u a
sutsuwa	s u t͡ʃ u a
sutswa	s u t s w a
sutswa	s u t͡ʃ w a
sutura	s u t u ɾ a
suuban	s u ʔ u b a n
suungin	s u ʔ u ŋ i n
suwabe	s u a b e
suwag	s u a ɡ
suwahe	s u a h e
suwail	s u a ʔ i l
suwak	s u a k
suwangit	s u a ŋ i t
suwapang	s u a p a ŋ
suwastika	s u a s t i k a
suwato	s u a t o ʔ
suway	s u a j
suwelas	s u e l a s
suweldo	s u e l d o
suwelduhan	s u e l d u h a n
suwero	s u e ɾ o
suwerte	s u e ɾ t e
suwertehin	s u e ɾ t e h i n
suwertihin	s u e ɾ t i h i n
suweter	s u e t e ɾ
suwipistek	s u i p i s t e k
suwipistik	s u i p i s t i k
suwipstik	s u i p s t i k
suwis	s u i s
suwisidyo	s u i s i d j o
suwitik	s u i t i k
suya	s u j a ʔ
suyo	s u j o ʔ
suyod	s u j o d
suyor	s u j o ɾ
suyurin	s u j u ɾ i n
swabe	s w a b e
swak	s w a k
swapang	s w a p a ŋ
swastika	s w a s t i k a
sweldo	s w e l d o
swerte	s w e ɾ t e
swswsw	s w s w s w s
sya	s j a
syabu	s j a b u
syensya	s j e n s j a
syentipiko	s j e n t i p i k o
syete	s j e t e
syokoy	s j o k o j
syorpit	s j o ɾ p i t
syota	s j o t a ʔ
syower	s j o e ɾ
t	t
t	t a
t	t e
t	t i
ta	t a
ta	t a ʔ
ta's	t a s
taad	t a ʔ a d
taal	t a ʔ a l
taan	t a ʔ a n
taas	t a ʔ a s
taasan	t a ʔ a s a n
taba	t a b a ʔ
tabad	t a b a d
tabag	t a b a ɡ
tabak	t a b a k
