ab	ɑˀ b̥
tõuk	t ɯ̯ uˑ kˑ
tõurõz	t ɯ̯ uˑ r ə z̥
tõv	t ɯˀ u̯ vː
tõvā	t ɯ v ɑˑ
tȭla	t ɯː l ɑ
tȭlpa	t ɯː l pˑ ɑ
tȭlza	t ɯː l z ɑ
tȭra	t ɯː r ɑ
tȭratõ	t ɯː r ɑ tˑ ə
tȭrõks	t ɯː r ə k s
trink	t r i ŋˑ kˑ
tsepļā	t s e p ʎ ɑˑ
tsirp	t s i rˑ pˑ
Tsībõrmō	t s iː b ə r m ɒː
tsīļ	t s iː ʎ
tsukkõr	t s u kːː ə r
tšoļk	t͡ʃ o ʎˑ kˑ
tšūrtša	t͡ʃ uː r t͡ʃ ɑ
tubā	t u b ɑˑ
tubāeḑḑi	t u b ɑˑ eˀ ɟː i
tubāpēļi	t u b ɑˑ p eː ʎ i
Tukāmō	t u kˑ ɑˑ m ɒː
tukkõ	t u kːː ə
tulbi	t uˀ l b i
tulk	t u lˑ kˑ
tulkõ	t u lˑ kˑ ə
tulūks	t u l uˑ k s
tuļ	t uˀ ʎ
tuļļi	t uˀ ʎː i
tundõ	t u nˑ d ə
tundtõb	t u n tˑ ə b̥
tuņšlõ	t u ɲˑ ʃ l ə
tuodli	t ŭ̯ oˀ d l i
tuoi	t ŭ̯ o̯ iˑ
tuoimiji	t ŭ̯ o̯ iˑ m i j i
tuoisti	t ŭ̯ o̯ iˑ sˑ t i
tuoistõn	t ŭ̯ o̯ iˑ sˑ t ə n
tuoistõnz	t ŭ̯ o̯ iˑ sˑ t ə n z̥
tuoit	t ŭ̯ o̯ iˑ tː
tuoitõ	t ŭ̯ o̯ iˑ tː ə
tuož	t ŭ̯ oˀ ĭ̯ ʒ̥
tup	t u pː
tus	t u sː
tutkām	t u t k ɑˑ m
tūgõ	t uːˀ ɡ ə
tūgõpǟva	t uːˀ ɡ ə p æː v ɑ
tūima	t uː i̯ m ɑ
tūlda	t uː l d ɑ
tūldõ	t uː l d ə
tūļ	t uː ʎ
tūļi	t uː ʎ i
tūodõ	t uˑ o̯ d ə
tūoḑõ	t uˑˀ o̯ ɟ ə
tūoigõz	t uˑˀ o̯ i̯ ɡ ə z̥
tūoimki	t uˑ o̯ i̯ m kˑ i
tūoitõg	t uˑ o̯ i̯ tˑ ə ɡ̥
tūoiznapǟva	t uˑ o̯ i̯ z n ɑ p æː v ɑ
tūoļi	t uˑ o̯ ʎ i
tūontõ	t uˑˀ o̯ n tˑ ə
tūontõz	t uˑˀ o̯ n tˑ ə z̥
tūoņ	t uˑ o̯ ɲ
tūorõz	t uˑ o̯ r ə z̥
tūrgõz	t uː r ɡ ə z̥
tūrska	t uː r s k ɑ
ud	uˀ d̥
udār	u d ɑˑ r
uddi	uˀ dː i
uḑā	u ɟ ɑˑ
uid	u̯ iˑ d̥
uikõ	u̯ iˑ kː ə
uim	u̯ iˑ m
ukkõ	u kːː ə
ukš	u kˑ ʃ
uktõ	u kˑ t ə
ul	u lː
ulātõ	u l ɑˑ tˑ ə
uldõ	u lˑ d ə
ullõ	u lːː ə
ullõ	uˀ lː ə
ulzāndaji	u lˑ z ɑː n d ɑ j i
ulzõ	u lˑ z ə
uļļi	u ʎːː i
um	uˀ m
umāl	u m ɑˑ l
umārz	u m ɑˑ r z̥
umbliji	u mˑ b l i j i
umblõ	u mˑ b l ə
umbõ	u mˑ b ə
ummi	uˀ mː i
ummistõ	uˀ mː i s t ə
ummitsõnā	uˀ mː i tˑ s ɯ n ɑˑ
un	u nː
Ungārmō	u ŋ ɡ ɑˑ r m ɒː
unnõ	uˀ nː ə
uņ	uˀ ɲ
uņņi	uˀ ɲː i
upāndõ	u pˑ ɑˑ n d ə
urg	u rˑ ɡ̥
urgõ	u rˑ ɡ ə
urīkšõ	u r iˑ k ʃ ə
usk	u sˑ k
uskõ	u sˑ k ə
uttõ	u tːː ə
ūdõ	uː d ə
ūdõ	uː d ə
ūdõ	uːˀ d ə
ūdstõ	uː t s t ə
ūkšõ	uːˀ k ʃ ə
ūļ	uː ʎ
ūm	uː m
ūnd	uː n d̥
ūolõ	uˑ o̯ l ə
ūoļ	uˑ o̯ ʎ
ūoļmõz	uˑˀ o̯ ʎ m ə z̥
ūomõg	uˑ o̯ m ə ɡ̥
ūoņdžõl	uˑ o̯ ɲ d ʒ ə l
ūoņi	uˑ o̯ ɲ i
ūoņõz	uˑ o̯ ɲ ə z̥
ūrga	uː r ɡ ɑ
ūrma	uː r m ɑ
ūsõd	uː sˑ ə d̥
ūška	uː ʃ k ɑ
ūž	uː ʒ̥
Ūžkilā	uː ʃ k i l ɑˑ
vabā	v ɑ b ɑˑ
vabām	v ɑ b ɑˑ m
vadā	v ɑ d ɑˑ
vadmõl	v ɑˀ d m ə l
vag	v ɑˀ ɡ̥
vagā	v ɑ ɡ ɑˑ
vagtõ	v ɑˀ k t ə
Vaid	v ɑ̯ˀ i d̥
vaidlõ	v ɑ̯ iˑˀ d l ə
vaidõ	v ɑ̯ˀ i d ə
vaigā	v ɑ i̯ ɡ ɑˑ
vail	v ɑ̯ˀ i l
vaild	v ɑ̯ˀ i l d̥
vailõ	v ɑ̯ˀ i l ə
vaim	v ɑ̯ iˑ m
vaimi	v ɑ̯ˀ i m i
vaimõst	v ɑ̯ˀ i m ə s t
vait	v ɑ̯ˀ i tˑ
vaitõ	v ɑ̯ˀ i tˑ ə
vajāg	v ɑ j ɑˑ ɡ̥
vajjõ	v ɑˀ jː ə
vakā	v ɑ kˑ ɑˑ
vaksā	v ɑ k s ɑˑ
vakț	v ɑ kˑ c
vakțõ	v ɑ kˑ c ə
val	v ɑˀ l
vald	v ɑ lˑ d̥
valdõ	v ɑ lˑ d ə
valktõ	v ɑ lˑ k t ə
vallõ	v ɑˀ lː ə
vaļmõstõ	v ɑ ʎˑ m ə s t ə
vaļmõz	v ɑ ʎˑ m ə z̥
vanā	v ɑ n ɑˑ
vanāǟma	v ɑ n ɑˑ æː m ɑ
vanātōți	v ɑ n ɑˑ t ɒː cˑ i
vanbizt	v ɑˀ n b i s t
vanbõ	v ɑˀ n b ə
vanliki	v ɑˀ n l i kˑ i
vannõ	v ɑ nːː ə
vannõ	v ɑˀ nː ə
vaņšti	v ɑ ɲˑ ʃ t i
vaņțlõ	v ɑ ɲˑ c l ə
vaps	v ɑ pˑ s
varāld	v ɑ r ɑˑ l d̥
varāz	v ɑ r ɑˑ z̥
varri	v ɑˀ rː i
vaŗīkš	v ɑ rʲ iˑ k ʃ
vaŗtõ	v ɑˀ rʲ tˑ ə
vaŗž	v ɑ rʲˑ ʒ̥
vast	v ɑ sˑ t
vastālovā	v ɑ s t ɑˑ l o v ɑˑ
vastātõ	v ɑ s t ɑˑ tˑ ə
vastõ	v ɑ sˑ t ə
vastūks	v ɑ s t uˑ k s
vašk	v ɑ ʃˑ k
vaški	v ɑ ʃˑ k i
vatsā	v ɑ t s ɑˑ
vazār	v ɑ z ɑˑ r
vāgiž	v ɑːˀ ɡ i ʒ̥
vāina	v ɑː i̯ n ɑ
vālda	v ɑː l d ɑ
Vāldakrīevmō	v ɑː l d ɑ k r iˑˀ e̯ v m ɒː
Vāldamer	v ɑː l d ɑ m eˀ r
vāldiņ	v ɑː l d i ɲ
vāldiž	v ɑː l d i ʒ̥
vālgamō	v ɑː l ɡ ɑ m ɒː
vāņka	v ɑː ɲ kˑ ɑ
vārbaz	v ɑː r b ɑ z̥
vārza	v ɑː r z ɑ
vāški	v ɑːˀ ʃ k i
väg	v æˀ ɡ̥
väggi	v æˀ ɡː i
vändi	v æ nˑ d i
vändõ	v æ nˑ d ə
värb	v æ rˑ b̥
väztõ	v æˀ s t ə
väzzõ	v æˀ zː ə
vǟgrõ	v æːˀ ɡ r ə
Vǟnta	v æː n tˑ ɑ
vǟrõd	v æːˀ r ə d̥
veggi	v eˀ ɡː i
veis	v e̯ iˑ sˑ
veitõ	v e̯ iˑ tː ə
veitõmtõ	v e̯ iˑ tː ə m tˑ ə
vejjõ	v eˀ jː ə
vel	v eˀ l
veļ	v eˀ ʎ
venk	v e ŋˑ kˑ
venkõ	v e ŋˑ kˑ ə
vepšõ	v e pˑ ʃ ə
ver	v eˀ r
verm	v e rˑ m
verri	v eˀ rː i
veržõ	v eˀ r ʒ ə
vest	v e sˑ t
vež	v eˀ ĭ̯ ʒ̥
vežā	v e ʒ ɑˑ
vežgõr	v eˀ ĭ̯ ʒ ɡ ə r
vežži	v eˀ ĭ̯ ʒː i
vēļa	v eː ʎ ɑ
vēļõ	v eː ʎ ə
vēna	v eː n ɑ
Vēna	v eː n ɑ
vērbikšõ	v eː r b i k ʃ ə
vib	v iˀ b̥
Vidumō	v i d u m ɒː
Vidūmō	v i d uˑ m ɒː
viedām	v ĭ̯ e d ɑˑ m
vieddõ	v ĭ̯ eˀ dː ə
vieddõl	v ĭ̯ eˀ dː ə lː
viennõ	v ĭ̯ eˀ nː ə
vientõ	v ĭ̯ e nˑ tˑ ə
vier	v ĭ̯ eˀ r
viertõ	v ĭ̯ eˀ r tˑ ə
viettõ	v ĭ̯ e tːː ə
vigā	v i ɡ ɑˑ
vigāli	v i ɡ ɑˑ l i
viggõl	v iˀ ɡː ə l
vijā	v i j ɑˑ
vijjõ	v iˀ jː ə
vikārt	v i kˑ ɑˑ r t
vil	v iˀ l
vilkõ	v i lˑ kˑ ə
villi	v i lːː i
villõ	v iˀ lː ə
villõ	v iˀ lː ə
villõ	v i lːː ə
viļt	v i ʎˑ tˑ
vindõ	v i nˑ d ə
ving	v i ŋˑ ɡ̥
vingõ	v i ŋˑ ɡ ə
vir	v iˀ r
virgõ	v i rˑ ɡ ə
virgtõ	v i rˑ k t ə
virgzi	v i rˑ ɡ z i
virpõļ	v i rˑ pˑ ə ʎ
viskõ	v i sˑ k ə
viš	v i ʃː
vitsā	v i t s ɑˑ
vizā	v i z ɑˑ
vizākuodā	v i z ɑˑ k ŭ̯ o d ɑˑ
vizās	v i z ɑˑ sˑ
vizzõ	v iˀ zː ə
vībõ	v iː b ə
vīdkimdõz	v iː t k i mˑ d ə z̥
vīdõ	v iː d ə
vīdõz	v iː d ə z̥
vīdsadāz	v iː t s ɑ d ɑˑ z̥
vīdtuoistõnz	v iː t t ŭ̯ o̯ iˑ sˑ t ə n z̥
vīerõ	v iˑ e̯ r ə
vīetšõz	v iˑ e̯ t͡ʃ ə z̥
vīgõz	v iːˀ ɡ ə z̥
vīla	v iː l ɑ
vīļa	v iː ʎ ɑ
vīļakū	v iː ʎ ɑ k uː
vīmba	v iː m b ɑ
vīmkū	v iːˀ m k uː
vīmõ	v iːˀ m ə
vīnõ	v iː n ə
vīnõmōŗa	v iː n ə m ɒː rʲ ɑ
vīps	v iː p s
vīrba	v iː r b ɑ
vīrdõg	v iː r d ə ɡ̥
vīri	v iːˀ r i
vīrtša	v iː r t͡ʃ ɑ
vīț	v iː cˑ
vīțõ	v iː cˑ ə
vīțsõnā	v iː cˑ s ɯ n ɑˑ
vīž	v iː ʒ̥
vīžkimdõ	v iː ʃ k i mˑ d ə
vīžsadā	v iː ʃ s ɑ d ɑˑ
vīžtuoistõn	v iː ʃ t ŭ̯ o̯ iˑ sˑ t ə n
vō	v ɒːˀ
vōdõr	v ɒːˀ d ə r
vōja	v ɒː j ɑ
vōjastõ	v ɒː j ɑ s t ə
vōjli	v ɒːˀ i̯ l i
vōjõ	v ɒːˀ j ə
vōļikšiji	v ɒː ʎ i k ʃ i j i
vōŗ	v ɒː rʲ
vȯdā	v ɤ d ɑˑ
vȯddõrz	v ɤˀ dː ə r z̥
vȯdlõ	v ɤˀ d l ə
vȯi	v ɤ̯ iˑ
vȯidõ	v ɤ̯ iˑ d ə
vȯigõ	v ɤ̯ iˑ ɡ ə
vȯikõ	v ɤ̯ iˑ kː ə
vȯiti	v ɤ̯ iˑ tː i
vȯjā	v ɤ j ɑˑ
vȯl	v ɤˀ l
vȯlmsõnā	v ɤˀ l m s ɯ n ɑˑ
vȯļg	v ɤ ʎˑ ɡ̥
vȯndzi	v ɤ nˑ d z i
vȯņ	v ɤ ɲː
vȯņštõ	v ɤ ɲˑ ʃ t ə
vȯrā	v ɤ r ɑˑ
vȯrābõz	v ɤ r ɑˑ b ə z̥
vȯrūks	v ɤ r uˑ k s
vȯŗki	v ɤˀ rʲ kˑ i
vȯŗž	v ɤ rʲˑ ʒ̥
vȯstõ	v ɤ sˑ t ə
vȯtšõ	v ɤ t͡ʃˑ ə
vȯzā	v ɤ z ɑˑ
vȯzzõ	v ɤˀ zː ə
vȯžā	v ɤ ʒʲ ɑˑ
vȱlda	v ɤː l d ɑ
vȱntsa	v ɤː n t s ɑ
vȱrna	v ɤː r n ɑ
vȱŗa	v ɤː rʲ ɑ
või	v ɯ̯ iˑ
võidõ	v ɯ̯ iˑ d ə
võilõ	v ɯ̯ˀ i l ə
võl	v ɯˀ l
võrgõ	v ɯ rˑ ɡ ə
võttõ	v ɯ tːː ə
võțīm	v ɯ cˑ iˑ m
võzā	v ɯ z ɑˑ
vȭidag	v ɯː i̯ d ɑ ɡ̥
vȭlga	v ɯː l ɡ ɑ
vȭrõz	v ɯː r ə z̥
vȭrõzizā	v ɯː r ə z i z ɑˑ
vȭrõzjemā	v ɯː r ə z j e m ɑˑ
zäp	z æ pː
zēp	z eː pˑ
zilb	z i lˑ b̥
zirmi	z i rˑ m i
zīḑõz	z iː ɟ ə z̥
zīedõz	z iˑ e̯ d ə z̥
zōig	z ɒː i̯ ɡ̥
zōigõ	z ɒː i̯ ɡ ə
zup	z u pː
