á	aː
rímsu	r iː m s u
rímsy	r iː m s i
rína	r iː n a
Rindoš	r i n d ɔ ʃ
ringlota	r i ŋ ɡ ɫ ɔ t a
Ripka	r i p k a
Rišo	r i ʃ ɔ
riť	r i c
rite	r i c e
riti	r i c i
rití	r i c iː
ritiam	r i c ɪ̯ a m
riťolez	r i c ɔ l e s
rituál	r i t u aː l
riziko	r i z i k ɔ
Riznič	r i z ɲ i t͡ʃ
rob	r ɔ p
róba	r ɔː b a
robenie	r ɔ b e ɲ ɪ̯ e
Róbert	r ɔː b ɛ r t
robí	r ɔ b iː
robia	r ɔ b ɪ̯ a
robiac	r ɔ b ɪ̯ a t͡s
robil	r ɔ b i l
robila	r ɔ b i l a
robilo	r ɔ b i l ɔ
robím	r ɔ b iː m
robíme	r ɔ b iː m e
robíš	r ɔ b iː ʃ
robiť	r ɔ b i c
robíte	r ɔ b iː c e
robôt	r ɔ b u̯ ɔ t
robota	r ɔ b ɔ t a
robotníčka	r ɔ b ɔ t ɲ iː t͡ʃ k a
robotník	r ɔ b ɔ t ɲ iː k
Ročák	r ɔ t͡ʃ aː k
rôčik	r u̯ ɔ t͡ʃ i k
Ročkár	r ɔ t͡ʃ k aː r
roční	r ɔ t͡ʃ ɲ iː
ročný	r ɔ t͡ʃ n iː
rodiaci	r ɔ ɟ ɪ̯ a t͡s i
rodičovský	r ɔ ɟ i t͡ʃ ɔ v s k iː
rodina	r ɔ ɟ i n a
rodinný	r ɔ ɟ i nː iː
rodiť	r ɔ ɟ i c
roditeľka	r ɔ ɟ i c e ʎ k a
ródium	r ɔː d i u m
rodopis	r ɔ d ɔ p i s
roh	r ɔ x
Rohaľ	r ɔ ɦ a ʎ
Rohoň	r ɔ ɦ ɔ ɲ
roj	r ɔ j
rojalizmus	r ɔ j a l i z m u s
Rojek	r ɔ j e k
Rojka	r ɔ j k a
Rojko	r ɔ j k ɔ
rok	r ɔ k
roka	r ɔ k a
rokmi	r ɔ k m i
rokoch	r ɔ k ɔ x
rokom	r ɔ k ɔ m
rokov	r ɔ k ɔ u̯
roku	r ɔ k u
roky	r ɔ k i
roľa	r ɔ ʎ a
Roland	r ɔ ɫ a n t
Rolín	r ɔ ʎ iː n
roľníctvo	r ɔ ʎ ɲ iː t͡s t v ɔ
Róm	r ɔː m
Roman	r ɔ m a n
Romana	r ɔ m a n a
rómčina	r ɔː m t͡ʃ i n a
Rómka	r ɔː m k a
röntgen	r ø n d ɡ e n
röntgene	r ø n d ɡ e ɲ e
röntgénium	r ɛ n ɡ ɛ n ɪ j ʊ m
röntgénium	r œ n ɡ ɛ n ɪ j ʊ m
röntgenovať	r ɛ n t ɡ ɛ n ɔ v a c
röntgenovať	r œ n t ɡ ɛ n ɔ v a c
röntgenový	r ø n d ɡ e n ɔ v iː
röntgenu	r ø n d ɡ e n u
ropovod	r ɔ p ɔ v ɔ t
Roš	r ɔ ʃ
rosa	r ɔ s a
Rosa	r ɔ s a
Rosič	r ɔ s i t͡ʃ
Rosina	r ɔ s i n a
Rosinský	r ɔ s i n s k iː
Roško	r ɔ ʃ k ɔ
rôsol	r u̯ ɔ s ɔ l
rošt	r ɔ ʃ t
Roštár	r ɔ ʃ t aː r
roštový	r ɔ ʃ t ɔ v iː
roštu	r ɔ ʃ t u
rováš	r ɔ v aː ʃ
rovnaký	r ɔ v n a k iː
rovnodennosť	r ɔ v n ɔ ɟ e nː ɔ s c
rovnosť	r ɔ v n ɔ s c
Rožai	r ɔ ʒ a i
Rozália	r ɔ z aː l i a
rozbaliť	r ɔ z b a ʎ i c
rozbíjať	r ɔ z b iː j a c
rozbiť	r ɔ z b i c
Rozboril	r ɔ z b ɔ r i l
rozdelenie	r ɔ z ɟ e ʎ e ɲ ɪ̯ e
rozdeliť	r ɔ z ɟ ɛ l i c
rozdrieť	r ɔ z d r ɪ̯ e c
rozhodca	r ɔ z ɦ ɔ t͡sː a
rozhodkyňa	r ɔ z ɦ ɔ t k i ɲ a
rozhodnúť	r ɔ z ɦ ɔ d n uː c
rozhodnutie	r ɔ z ɦ ɔ d n u c i̯ ɛ
Rozhon	r ɔ z ɦ ɔ n
rozísť	r ɔ z iː s c
rozkoš	r ɔ s k ɔ ʃ
rozkrok	r ɔ s k r ɔ k
rozmanitosť	r ɔ z m a ɲ i t ɔ s c
rozmanitý	r ɔ z m a ɲ i t iː
rozmarín	r ɔ z m a r iː n
rozmazaný	r ɔ z m a z a n iː
rozmazať	r ɔ z m a z a c
rozmaznaný	r ɔ z m a z n a n iː
rozmaznať	r ɔ z m a z n a c
rozmeniť	r ɔ z m e ɲ i c
rozmieňať	r ɔ z m ɪ̯ e ɲ a c
rozodrieť	r ɔ z ɔ d r ɪ̯ e c
rožok	r ɔ ʒ ɔ k
rozostavať	r ɔ z ɔ s t a v a c
rozovierať	r ɔ z ɔ v ɪ̯ e r a c
rozovrieť	r ɔ z ɔ v r ɪ̯ e c
rozpočet	r ɔ s p ɔ t͡ʃ e t
rozpočtový	r ɔ s p ɔ t͡ʃ t ɔ v iː
rozpor	r ɔ s p ɔ r
rozprávka	r ɔ s p r aː v k a
rozrábať	r ɔ z r aː b a c
rozrobiť	r ɔ z r ɔ b i c
rozšafný	r ɔ s ʃ a v n iː
rozsobáš	r ɔ sː ɔ b aː ʃ
rozstavať	r ɔ sː t a v a c
roztomilý	r ɔ s t ɔ m i l iː
roztvárať	r ɔ s t v aː r a c
roztvoriť	r ɔ s t v ɔ r i c
rozum	r ɔ z u m
rozumieť	r ɔ z u m ɪ̯ e c
rozumný	r ɔ z u m n iː
rozumový	r ɔ z u m ɔ v iː
rozvierať	r ɔ z v ɪ̯ e r a c
rozvinutý	r ɔ z v i n u t iː
rozvrieť	r ɔ z v r ɪ̯ e c
rubídium	r u b iː d i u m
Rubín	r u b iː n
rubínový	r u b iː n ɔ v iː
ručaj	r u t͡ʃ a j
ruch	r u x
rúch	r uː x
rúcha	r uː x a
rúcham	r uː x a m
rúcho	r uː x ɔ
ručička	r u t͡ʃ i t͡ʃ k a
rúčka	r uː t͡ʃ k a
ručne	r u t͡ʃ ɲ e
rúd	r uː t
ruda	r u d a
rudám	r u d aː m
Rudo	r u d ɔ
Rudolf	r u d ɔ ɫ f
rudu	r u d u
rúhať	r uː ɦ a c
rúk	r uː k
ruka	r u k a
rukách	r u k aː x
rukám	r u k aː m
rukami	r u k a m i
ruke	r u k e
rukojemníčka	r u k ɔ j e m ɲ iː t͡ʃ k a
rukojemník	r u k ɔ j e m ɲ iː k
rukola	r u k ɔ l a
rukou	r u k ɔ v
ruksak	r u k s a k
ruku	r u k u
ruky	r u k i
rumanček	r u m a n t͡ʃ ɛ k
rumigať	r u m i ɡ a c
Ruml	r u m l̩
rumunčina	r u m u n t͡ʃ i n a
Rumunsko	r u m u n s k ɔ
rún	r uː n
runa	r u n a
rúna	r uː n a
rúno	r uː n ɔ
Rus	r u s
Ruščák	r u ʃ t͡ʃ aː k
rušeň	r u ʃ e ɲ
Rusin	r u s i n
Rusín	r u s iː n
Ruska	r u s k a
ruská	r u s k aː
ruské	r u s k eː
ruského	r u s k eː ɦ ɔ
Rusko	r u s k ɔ
Ruskonovovešťan	r u s k ɔ n ɔ v ɔ v e ʃ c a n
Ruskonovovešťanka	r u s k ɔ n ɔ v ɔ v e ʃ c a n k a
ruský	r u s k iː
ruských	r u s k iː x
rušňa	r u ʃ ɲ a
Rusnak	r u s n a k
Rusnák	r u s n aː k
rušne	r u ʃ ɲ e
rušni	r u ʃ ɲ i
rušňovodič	r u ʃ ɲ ɔ v ɔ ɟ i t͡ʃ
rušňovodiči	r u ʃ ɲ ɔ v ɔ ɟ i t͡ʃ i
rušňovodička	r u ʃ ɲ ɔ v ɔ ɟ i t͡ʃ k a
rušňovodičmi	r u ʃ ɲ ɔ v ɔ ɟ i t͡ʃ m i
rušňu	r u ʃ ɲ u
Ruso	r u s ɔ
rusofóbia	r u s ɔ f ɔː b i a
ruština	r u ʃ c i n a
Rút	r uː t
ruténium	r u t ɛː n i u m
rutherfordium	r a d z ɛ f ɔ r d ɪ j ʊ m
Ruttkay	r u tː k a i
rúž	r uː ʃ
ruža	r u ʒ a
Ružanský	r u ʒ a n s k iː
Ružena	r u ʒ e n a
rúži	r uː ʒ i
Ružička	r u ʒ i t͡ʃ k a
Ružinský	r u ʒ i n s k iː
Ružomberok	r u ʒ ɔ m b e r ɔ k
rúžový	r uː ʒ ɔ v iː
rúžu	r uː ʒ u
rwandčina	r̩ v a n t͡ʃː i n a
rýb	r iː p
ryba	r i b a
Ryba	r i b a
rybách	r i b aː x
Rybák	r i b aː k
rybám	r i b aː m
rybami	r i b a m i
rybár	r i b aː r
Rybár	r i b aː r
Rybárik	r i b aː r i k
rybárka	r i b aː r k a
rybe	r i b e
rybí	r i b iː
rybičiek	r i b i t͡ʃ ɪ̯ e k
rybička	r i b i t͡ʃ k a
rybka	r i p k a
rybník	r i b ɲ iː k
Rybnikár	r i b ɲ i k aː r
rybojašter	r i b ɔ j a ʃ c e r
rybou	r i b ɔ v
rybu	r i b u
ryby	r i b i
rýchlosť	r iː x l ɔ s c
Rychlý	r i x l iː
rýchly	r iː x l i
rýdzik	r iː d͡z i k
rýdzosť	r iː d͡z ɔ s c
rýh	r iː x
ryha	r i ɦ a
ryhe	r i ɦ e
ryhou	r i ɦ ɔ v
ryhu	r i ɦ u
ryhy	r i ɦ i
rýľ	r iː ʎ
rýľa	r iː ʎ a
rýle	r iː ʎ e
rýli	r iː ʎ i
rýľmi	r iː ʎ m i
rýľoch	r iː ʎ ɔ x
rýľom	r iː ʎ ɔ m
rýľov	r iː ʎ ɔ v
rýľu	r iː ʎ u
rys	r i s
Rys	r i s
Ryš	r i ʃ
rysa	r i s a
Ryša	r i ʃ a
ryšavec	r i ʃ a v e t͡s
ryšavý	r i ʃ a v iː
ryse	r i s e
rysí	r i s iː
ryšiak	r i ʃ ɪ̯ a k
ryšiaka	r i ʃ ɪ̯ a k a
rysica	r i s i t͡s a
ryska	r i s k a
Ryška	r i ʃ k a
Ryško	r i ʃ k ɔ
rysmi	r i s m i
rysoch	r i s ɔ x
rysom	r i s ɔ m
rysov	r i s ɔ v
rysovi	r i s ɔ v i
rysu	r i s u
rysy	r i s i
ryť	r i c
rytier	r i c ɪ̯ e r
ryža	r i ʒ a
s	s
s	z
S	s
S	e s
Š	ʃ
š	ʃ
sa	s a
Sabína	s a b iː n a
Sabol	s a b ɔ l
sabotáž	s a b ɔ t aː ʃ
sácal	s aː t͡s a l
sácala	s aː t͡s a l a
sácať	s aː t͡s a c
sáče	s aː t͡ʃ e
šach	ʃ a x
šachor	ʃ a x ɔ r
šachovnica	ʃ a x ɔ u̯ ɲ i t͡s a
šachový	ʃ a x ɔ v iː
Sačko	s a t͡ʃ k ɔ
sáču	s aː t͡ʃ u
sad	s a t
sade	s a ɟ e
sadík	s a ɟ iː k
sadlo	s a d l ɔ
sadmi	s a d m i
sadoch	s a d ɔ x
sadom	s a d ɔ m
sadov	s a d ɔ v
sadová	s a d ɔ v aː
sadové	s a d ɔ v eː
sadoví	s a d ɔ v iː
sadovník	s a d ɔ v ɲ iː k
sadový	s a d ɔ v iː
sadra	s a d r a
sady	s a d i
sadza	s a d͡z a
sadze	s a d͡z e
sadzi	s a d͡z i
sadzička	s a d͡z i t͡ʃ k a
sadzu	s a d͡z u
sága	s aː ɡ a
Šagát	ʃ a ɡ aː t
Šajbidor	ʃ a j b i d ɔ r
Sajda	s a j d a
Šajnoha	ʃ a j n ɔ ɦ a
šak	ʃ a k
Šak	ʃ a k
Sakajto	s a k a j t ɔ
šakal	ʃ a k a l
šakalí	ʃ a k a ʎ iː
Sako	s a k ɔ
sakristia	s a k r i s t i a
Saksa	s a k s a
sála	s aː l a
Šalaga	ʃ a l a ɡ a
Salaj	s a l a j
Šalák	ʃ a l aː k
salaka	s a l a k a
šalát	ʃ a l aː t
Šalata	ʃ a l a t a
šalátik	ʃ a l aː c i k
šalátika	ʃ a l aː c i k a
šalátu	ʃ a l aː t u
Salgó	s a l ɡ ɔː
Šalka	ʃ a l k a
šálka	ʃ aː l k a
salmonela	s a l m ɔ n e l a
šáločka	ʃ aː l ɔ t͡ʃ k a
Salvádor	s a l v aː d ɔ r
samárium	s a m aː r i u m
šamlík	ʃ a m l iː k
Šamo	ʃ a m ɔ
Samoa	s a m ɔ a
samoderžavie	s a m ɔ ɟ e r ʒ a v ɪ̯ e
samodruhý	s a m ɔ d r u ɦ iː
samohláska	s a m ɔ ɦ l aː s k a
samojčina	s a m ɔ j t͡ʃ i n a
samolepka	s a m ɔ ʎ e p k a
samovrážd	s a m ɔ v r aː ʃ t
samovražda	s a m ɔ v r a ʒ d a
šampanské	ʃ a m p a n s k eː
šampiňón	ʃ a m p i ɲ ɔː n
šampión	ʃ a m p i ɔː n
šampióna	ʃ a m p i ɔː n a
šampiónmi	ʃ a m p i ɔː n m i
šampiónov	ʃ a m p i ɔː n ɔ v
šampiónsky	ʃ a m p i ɔː n s k i
Samuel	s a m u e l
samuraj	s a m u r a j
samurajka	s a m u r a j k a
Šandor	ʃ a n d ɔ r
Šanghaj	ʃ a n ɡ ɦ a j
sankcionovať	s a n k t͡s i ɔ n ɔ v a c
sánky	s aː n k i
sánok	s aː n ɔ k
Santiago	s a n t i a ɡ ɔ
saponátový	s a p ɔ n aː t ɔ v iː
Sára	s aː r a
Šara	ʃ a r a
Sarajevo	s a r a j e v ɔ
Sardínia	s a r d iː n i a
Sarka	s a r k a
šarkan	ʃ a r k a n
šarkana	ʃ a r k a n a
Sársko	s aː r s k ɔ
sársky	s aː r s k i
Sas	s a s
Saša	s a ʃ a
Sasák	s a s aː k
sasanka	s a s a n k a
Sasarák	s a s a r aː k
šasi	ʃ a s i
Sasko	s a s k ɔ
saský	s a s k iː
šašo	ʃ a ʃ ɔ
sať	s a c
satan	s a t a n
Šatan	ʃ a t a n
satanský	s a t a n s k iː
Šatara	ʃ a t a r a
satén	s a t eː n
Satinský	s a c i n s k iː
šatka	ʃ a t k a
šatôčka	ʃ a t u̯ ɔ t͡ʃ k a
saturejka	s a t u r e j k a
šaty	ʃ a t i
Sauer	s a u e r
sauna	s a u n a
savá	s a v aː
savé	s a v eː
savej	s a v e j
Šavel	ʃ a v e l
saví	s a v iː
Savka	s a v k a
savom	s a v ɔ m
savou	s a v ɔ v
savú	s a v uː
savý	s a v iː
saxofón	s a k s ɔ f ɔː n
saxofonista	s a k s ɔ f ɔ n i s t a
saxofonistka	s a k s ɔ f ɔ ɲ i s t k a
SBS	e z b eː e s
scenárista	s t͡s e n aː r i s t a
scenáristka	s t͡s e n aː r i s t k a
schéma	s x ɛː m a
Schmögner	s x m ø ɡ ɲ e r
schod	s x ɔ t
schody	s x ɔ d i
schopnosť	s x ɔ p n ɔ s c
schopný	s x ɔ p n iː
Schranz	s x r a n s
schudla	s x u d l a
schudne	s x u d ɲ e
schudnem	s x u d ɲ e m
schudneme	s x u d ɲ e m e
schudneš	s x u d ɲ e ʃ
schudnú	s x u d n uː
schudnúť	s x u d n uː c
schudol	s x u d ɔ l
šči	ʃ t͡ʃ i
Scípio	s t͡s iː p i ɔ
sčítanie	s t͡ʃ iː t a ɲ ɪ̯ e
sčítať	s t͡ʃ iː t a c
sčítavať	s t͡ʃ iː t a v a c
sčitovať	s t͡ʃ i t ɔ v a c
seaborgium	s iː b ɔ r ɡ ɪ j ʊ m
seba	s e b a
sebaklam	s e b a k l a m
sebca	s e p t͡s a
sebe	s ɛ b ɛ
sebec	s e b e t͡s
sebecky	s e b e t͡s k i
sebecký	s e b e t͡s k iː
Šebej	ʃ e b e j
Šebek	ʃ e b e k
Šebeň	ʃ e b e ɲ
Šebeš	ʃ e b e ʃ
sebestačnosť	s e b e s t a t͡ʃ n ɔ s c
Šebok	ʃ e b ɔ k
šechtár	ʃ e x t aː r
Sečkár	s e t͡ʃ k aː r
sedem	s e ɟ e m
sedemdesiat	s e ɟ e m ɟ e s ɪ̯ a t
sedemdesiaty	s e ɟ e m ɟ e s ɪ̯ a t i
sedemnásť	s e ɟ e m n aː s c
sedemnásti	s e ɟ e m n aː s c i
sedemnástich	s e ɟ e m n aː s c i x
sedemnástim	s e ɟ e m n aː s c i m
sedemnástimi	s e ɟ e m n aː s c i m i
sedemnásty	s e ɟ e m n aː s t i
sedemsto	s e ɟ e m s t ɔ
sedemstý	s e ɟ e m s t iː
sedieť	s e ɟ ɪ̯ e c
Šedivý	ʃ e ɟ i v iː
Sedláček	s e d l aː t͡ʃ e k
Sedlák	s e d l aː k
sedlo	s e d l ɔ
sedmokráska	s e d m ɔ k r aː s k a
Šedo	ʃ e d ɔ
Šefčovič	ʃ e f t͡ʃ ɔ v i t͡ʃ
šéfe	ʃ eː f e
Segedín	s ɛ ɡ ɛ d iː n
Segeš	s e ɡ e ʃ
segment	s e ɡ m e n t
seizmológia	s e j z m ɔ l ɔː ɡ i a
sej	s e j
sejme	s e j m e
sejte	s e j c e
sekať	s e k a c
sekera	s e k e r a
Sekera	s e k e r a
sekerôčka	s e k e r u̯ ɔ t͡ʃ k a
sekerou	s e k e r ɔ v
sekeru	s e k e r u
sekier	s e k ɪ̯ e r
sekierka	s e k ɪ̯ e r k a
Seko	s e k ɔ
sekúnd	s ɛ k uː n t
sekunda	s e k u n d a
Selecký	s e ʎ e t͡s k iː
selén	s ɛ l ɛː n
Šeliga	ʃ e ʎ i ɡ a
semafor	s e m a f ɔ r
Seman	s e m a n
Semančík	s e m a n t͡ʃ iː k
semenník	s e m e n ɲ iː k
semeno	s e m e n ɔ
Semeš	s e m e ʃ
Semko	s e m k ɔ
Šemrinec	ʃ e m r i ɲ e t͡s
sen	s e n
sendvič	s e n d v i t͡ʃ
sendviča	s e n d v i t͡ʃ a
sendvičový	s e n d v i t͡ʃ ɔ v iː
sene	s e ɲ e
Senegalčan	s e ɲ e ɡ a l t͡ʃ a n
Senegalčanka	s e n e ɡ a l t͡ʃ a n k a
Senk	s e n k
Senko	s e n k ɔ
seno	s e n ɔ
senom	s e n ɔ m
Sep	s e p
separatizmu	s e p a r a t i z m u
Šepeľa	ʃ e p e ʎ a
šepkať	ʃ e p k a c
sepsa	s ɛ p s a
september	s ɛ p t ɛ m b ɛ r
septembrový	s e p c e m b r ɔ v iː
Sergej	s e r ɡ e j
seriál	s e r i aː l
seriáli	s e r i aː ʎ i
seriálový	s e r i aː l ɔ v iː
seriály	s e r i aː l i
sérum	s eː r u m
Servác	s ɛ r v aː t͡s
servus	s ɛ r v u s
Šerý	ʃ e r iː
šesť	ʃ e s c
šesťdesiat	ʃ e z ɟː e s ɪ̯ a t
šesťdesiaty	ʃ e z ɟː e s ɪ̯ a t i
šestnásť	ʃ e s n aː s c
šestnásti	ʃ e s n aː s c i
šestnástich	ʃ e s n aː s c i x
šestnástim	ʃ e s n aː s c i m
šestnástimi	ʃ e s n aː s c i m i
šestnásty	ʃ e s t n aː s t i
sestra	s e s t r a
sestrička	s e s t r i t͡ʃ k a
sestrin	s e s t r i n
šesťsto	ʃ e s t ɔ
šesťstý	ʃ e s t iː
šesťuholník	ʃ e s c u ɦ ɔ l ɲ iː k
šešuľa	ʃ e ʃ u ʎ a
Ševčík	ʃ e v t͡ʃ iː k
Ševela	ʃ e v e l a
sever	s e v e r
Severín	s e v e r iː n
severný	s e v e r n iː
sex	s ɛ k s
sexu	s ɛ k s u
sexuálne	s e k s u aː l ɲ e
sexuálny	s e k s u aː l n i
sexuológ	s e k s u ɔ l ɔː k
sexuologička	s e k s u ɔ l ɔ ɡ i t͡ʃ k a
sexy	s e k s i
Shetland	ʃ e t ʎ e n t
shetlandský	ʃ ɛ t l ɛ n d s k iː
Shetlandy	ʃ ɛ t l ɛ n d i
si	s i
siaha	s ɪ̯ a ɦ a
siahodlhý	s ɪ̯ a ɦ ɔ d l̩ ɦ iː
siať	s ɪ̯ a c
šiat	ʃ ɪ̯ a t
Šiba	ʃ i b a
Šibík	ʃ i b iː k
Sibyla	s i b i l a
Sičák	s i t͡ʃ aː k
Sičár	s i t͡ʃ aː r
Sicília	s i t͡s iː l i a
Sicílie	s i t͡s iː l i e
Sicílii	s i t͡s iː ʎ i i
Sicíliou	s i t͡s iː ʎ i ɔ v
Sicíliu	s i t͡s iː l i u
sídlisko	s iː d ʎ i s k ɔ
sídlo	s iː d l ɔ
šidlo	ʃ i d l ɔ
Šidlo	ʃ i d l ɔ
Sidónia	s i d ɔː n i a
Sidor	s i d ɔ r
siedmi	s ɪ̯ e d m i
siedmich	s ɪ̯ e d m i x
siedmim	s ɪ̯ e d m i m
siedmimi	s ɪ̯ e d m i m i
siedmy	s ɪ̯ e d m i
šiel	ʃ ɪ̯ e l
sieň	s ɪ̯ e ɲ
siene	s ɪ̯ e ɲ e
sieni	s ɪ̯ e ɲ i
siení	s ɪ̯ e ɲ iː
šiesta	ʃ ɪ̯ e s t a
šieste	ʃ ɪ̯ e s t e
šiesti	ʃ ɪ̯ e s c i
šiestich	ʃ ɪ̯ e s c i x
šiestim	ʃ ɪ̯ e s c i m
šiestimi	ʃ ɪ̯ e s c i m i
šiestu	ʃ ɪ̯ e s t u
šiesty	ʃ ɪ̯ e s t i
sieť	s ɪ̯ e c
siete	s ɪ̯ e c e
sieti	s ɪ̯ e c i
sietí	s ɪ̯ e c iː
sih	s i x
siha	s i ɦ a
sihoť	s i ɦ ɔ c
sihy	s i ɦ i
šija	ʃ i j a
šije	ʃ i j e
šiji	ʃ i j i
šijí	ʃ i j iː
šijou	ʃ i j ɔ v
šiju	ʃ i j u
šikana	ʃ i k a n a
šikanovanie	ʃ i k a n ɔ v a ɲ ɪ̯ e
Siklienka	s i k ʎ ɪ̯ e n k a
Šiko	ʃ i k ɔ
šikovnosť	ʃ i k ɔ v n ɔ s c
šikovný	ʃ i k ɔ v n iː
siľ	s i ʎ
Sillanpää	s i l a n p eː
silvestrovský	s i l v e s t r ɔ v s k iː
Silvia	s i ɫ v i a
Šima	ʃ i m a
Šimco	ʃ i m t͡s ɔ
Šimek	ʃ i m e k
Šimko	ʃ i m k ɔ
Šimon	ʃ i m ɔ n
Simona	s i m ɔ n a
Šimončič	ʃ i m ɔ n t͡ʃ i t͡ʃ
Simonides	s i m ɔ n i d e s
Šimonides	ʃ i m ɔ n i d e s
Šimonovič	ʃ i m ɔ n ɔ v i t͡ʃ
šimpanz	ʃ i m p a n s
Šimunek	ʃ i m u ɲ e k
Šindliar	ʃ i n d ʎ ɪ̯ a r
Singapur	s i n ɡ a p u r
Singapurčan	s i n ɡ a p u r t͡ʃ a n
Singapurčanka	s i n ɡ a p u r t͡ʃ a n k a
sinka	s i n k a
Šinkovic	ʃ i n k ɔ v i t͡s
Šino	ʃ i n ɔ
sínus	s iː n u s
siný	s i n iː
sionizmu	s i ɔ n i z m u
šíp	ʃ iː p
šípa	ʃ iː p a
šípe	ʃ iː p e
Šipka	ʃ i p k a
šípka	ʃ iː p k a
šípmi	ʃ iː p m i
šípoch	ʃ iː p ɔ x
šípom	ʃ iː p ɔ m
Šipoš	ʃ i p ɔ ʃ
šípov	ʃ iː p ɔ v
šípu	ʃ iː p u
šípy	ʃ iː p i
Šír	ʃ iː r
síra	s iː r a
Širaj	ʃ i r a j
síre	s iː r e
sirka	s i r k a
Širka	ʃ i r k a
Širo	ʃ i r ɔ
široký	ʃ i r ɔ k iː
Široký	ʃ i r ɔ k iː
sirota	s i r ɔ t a
sirôtka	s i r u̯ ɔ t k a
sirôtočka	s i r u̯ ɔ t ɔ t͡ʃ k a
sírou	s iː r ɔ v
širší	ʃ i r ʃ iː
síru	s iː r u
síry	s iː r i
Sisik	s i s i k
Šišila	ʃ i ʃ i l a
šiška	ʃ i ʃ k a
sitár	s i t aː r
Sitár	s i t aː r
Sitárik	s i t aː r i k
sitina	s i c i n a
sito	s i t ɔ
situácia	s i t u aː t͡s i a
situáciou	s i t u aː t͡s i ɔ v
situáciu	s i t u aː t͡s i u
sivá	s i v aː
Sivák	s i v aː k
Sivčo	s i v t͡ʃ ɔ
Sivoška	s i v ɔ ʃ k a
sivý	s i v iː
Sivý	s i v iː
Skákala	s k aː k a l a
škál	ʃ k aː ɫ
skala	s k a l a
škála	ʃ k aː ɫ a
skald	s k a ɫ t
skalisko	s k a ʎ i s k ɔ
skalka	s k a l k a
skalpel	s k a l p e l
Skalský	s k a l s k iː
škamra	ʃ k a m r a
škandál	ʃ k a n d aː l
škandálny	ʃ k a n d aː l n i
Škandinávia	ʃ k a n d i n aː v i a
Škandinávie	ʃ k a n d i n aː v i ɛ
skanzen	s k a n z e n
Škarda	ʃ k a r d a
škáročka	ʃ k aː r ɔ t͡ʃ k a
škatuľa	ʃ k a t u ʎ a
skejtpark	s k e j t p a r k
skepticizmus	s k e p t i t͡s i z m u s
skibob	s k i b ɔ p
skibobe	s k i b ɔ b e
skibobový	s k i b ɔ b ɔ v iː
skibobu	s k i b ɔ b u
skín	s k iː n
Sklenár	s k ʎ e n aː r
skleník	s k ʎ e ɲ iː k
sklo	s k l ɔ
sklz	s k l̩ s
skočiť	s k ɔ t͡ʃ i c
škoda	ʃ k ɔ d a
Škoda	ʃ k ɔ d a
Skokan	s k ɔ k a n
škôl	ʃ k u̯ ɔ l
škola	ʃ k ɔ l a
škôlkar	ʃ k u̯ ɔ l k a r
skomolenina	s k ɔ m ɔ ʎ e ɲ i n a
Škop	ʃ k ɔ p
Skopje	s k ɔ p j e
skôr	s k u̯ ɔ r
škorca	ʃ k ɔ r t͡s a
škorcami	ʃ k ɔ r t͡s a m i
škorce	ʃ k ɔ r t͡s e
škorčí	ʃ k ɔ r t͡ʃ iː
škorcom	ʃ k ɔ r t͡s ɔ m
škorec	ʃ k ɔ r e t͡s
Škoriak	ʃ k ɔ r ɪ̯ a k
škorica	ʃ k ɔ r i t͡s a
Škorica	ʃ k ɔ r i t͡s a
škorice	ʃ k ɔ r i t͡s e
škorici	ʃ k ɔ r i t͡s i
škoricou	ʃ k ɔ r i t͡s ɔ v
škoricu	ʃ k ɔ r i t͡s u
skoro	s k ɔ r ɔ
skorocel	s k ɔ r ɔ t͡s e l
skorocelový	s k ɔ r ɔ t͡s e l ɔ v iː
škorpión	ʃ k ɔ r p i ɔː n
skorší	s k ɔ r ʃ iː
Škorvánek	ʃ k ɔ r v aː ɲ e k
skorý	s k ɔ r iː
Škót	ʃ k ɔː t
Škóta	ʃ k ɔː t a
Skoták	s k ɔ t aː k
Škóti	ʃ k ɔː c i
Skotnický	s k ɔ t ɲ i t͡s k iː
Škótsko	ʃ k ɔː t s k ɔ
škótsky	ʃ k ɔː t s k i
škótština	ʃ k ɔː t͡ʃ c i n a
Skovajsa	s k ɔ v a j s a
škovránok	ʃ k ɔ v r aː n ɔ k
Škraban	ʃ k r a b a n
škrabať	ʃ k r a b a c
skratka	s k r a t k a
škrečok	ʃ k r e t͡ʃ ɔ k
Škrek	ʃ k r e k
Škreko	ʃ k r e k ɔ
škriabať	ʃ k r ɪ̯ a b a c
škridla	ʃ k r i d l a
škriekať	ʃ k r ɪ̯ e k a c
Škriniar	ʃ k r i ɲ ɪ̯ a r
škrkaviek	ʃ k r̩ k a v ɪ̯ e k
škrkavka	ʃ k r̩ k a v k a
škrkavky	ʃ k r̩ k a v k i
Škrko	ʃ k r̩ k ɔ
škrt	ʃ k r̩ t
Škrtel	ʃ k r̩ c e l
škrtnúť	ʃ k r̩ t n uː c
škrupina	ʃ k r u p i n a
škrupinka	ʃ k r u p i ŋ k a
škrupinový	ʃ k r u p i n ɔ v iː
skrutíniový	s k r u t iː n i ɔ v iː
skrutínium	s k r u t iː n i u m
skrutka	s k r u t k a
skrutkovač	s k r u t k ɔ v a t͡ʃ
skrutkovať	s k r u t k ɔ v a c
skrz	s k r̩ s
