Амыщ	aː m ə ɕ
къаплъэн	q aː p ɬ a n
къапщыкъ	q aː p ɕ ə q
къарыу	q aː r ə w
къарыунчъ	q aː r ə w ə n t͡ʂ
къарыунчъэ	q aː r ə w ə n t͡ʂ
къарэ	q aː r a
къарэу	q aː r a w
къатыр	q aː t ə r
къаум	q aː w ə m
къаунэ	q aː w ə n a
къахьэуашъо	q aː ħ a w aː ʃʷ a
къашхъо	q aː ʃ χʷ a
къашъо	q aː ʂʷ a
къашыкъ	q aː ʃ ə q
къашыкъгъуанэ	q aː ʃ ə q ʁʷ aː n a
къашыкъхъурай	q aː ʃ ə q χʷ ə r aː j
къаӏогъум	q aː kʷʼ a ʁʷ ə m
къаӏорэгъум	q aː kʷʼ a ʁʷ ə m
къегъоин	q a j ʁʷ a j ə n
къегъэблэгъэн	q a j ʁ a b l a ʁ a n
къегъэкӏын	q a j ʁ a t͡ʃʼ ə n
къегъэтӏыхын	q a j ʁ a tʼ ə x ə n
къегъэӏыхын	q a j ʁ a tʼ ə x ə n
къеджэн	q a j d͡ʒ a n
къекӏэхын	q a j t͡ʃʼ a x ə m
къелэлэхын	q a j ɬ a ɬ a x ə n
къепщэн	q a j p ɕ a n
къетӏэрэхын	q a j tʼ a r a x ə n
къеулэлэхын	q a j ɬ a ɬ a x ə n
къефэхын	q a j f a x ə n
къехьыжьэн	q a j ħ ə ʑ a n
къехьэхын	q a j ħ a x ə n
къехэхьын	q a j x a ħ ə n
къешхын	q a j ʃ x ə n
къешӏэн	q a j ʃʼ a n
къещыхьэкӏын	q a j ɕ a ħ a t͡ʃʼ ə n
къещэкӏын	q a j ɕ a t͡ʃʼ ə n
къикӏын	q ə j t͡ʃʼ ə n
къикӏьэсӏын	q ə j kʲʼ a sʼ ə n
къилъын	q ə j ɬ ə n
къины	q ə j n ə
къиныгъу	q ə j n ə ʁʷ
къитхъун	q ə j t χʷ ə n
къиухын	q ə j w x ə n
къихын	q ə j x ə n
къо	qʷ a
къогъо	qʷ a ʁʷ a
къоджэгъу	t͡ʃ ə ɮ a ʁʷ
къожъ	qʷ a ʐ
къозын	qʷ a z ə n
къокъон	qʷ a qʷ a n
къокӏын	qʷ a t͡ʃʼ ə n
къокӏыпӏэ	qʷ a t͡ʃʼ ə pʼ a
къокӏьын	qʷ a kʲʼ ə n
къолагьэ	qʷ a l aː ɡʲ a
къоладжэ	qʷ a l aː d͡ʒ a
къолай	qʷ a l aː j
къолы	qʷ a l ə
къолэбзыу	qʷ a l a b z ə w
къолэжъ	qʷ a l a ʐ
къолэн	qʷ a l a n
къолэнсэлэн	qʷ a l a n s a l a n
къонцӏэу	qʷ a n t͡sʼ a w
къоны	qʷ a n ə
къопс	qʷ a p s
къорылъф	qʷ a r ə ɬ f
къотэгъу	qʷ a t a ʁʷ
къоуцон	qʷ a w t͡ʃʷ a n
къохь	qʷ a ħ
къохьан	qʷ a ħ aː n
къохьапӏэ	qʷ a ħ aː pʼ
къохьэн	qʷ a ħ a n
къошъобэщ	qʷ a ʂʷ a b a ɕ
къошъолӏы	qʷ a ʂʷ a ɬʼ ə
къошъомэзэжъый	qʷ a ʂʷ a m a z a ʐ ə j
къошъофы	qʷ a ʂʷ a f ə
къошъочӏэгъаз	qʷ a ʂʷ a t͡ʃ a ʁ a z
къошъошӏы	qʷ a ʂʷ a ʃ ə
къошын	qʷ a ʃ ə n
къощыр	qʷ a ɕ ə r
къоӏус	qʷ a ʔʷ ə s
къу	qʷ ə
къуаджэ	qʷ aː d͡ʒ a
къуае	qʷ aː j a
къуалъхьэ	qʷ aː ɬ ħ a
къуамэ	qʷ aː m a
къуанчӏэ	qʷ aː n t͡ʃ a
къуао	qʷ aː w a
къуапсӏэ	qʷ aː p sʼ a
къуапцӏэ	qʷ aː p t͡sʼ a
къуапэ	qʷ aː p a
къуахъо	qʷ aː χʷ a
къуашъо	qʷ aː ʂʷ a
къуащэ	qʷ aː ɕ a
къуащэу	qʷ aː ɕ a w
къугъо	qʷ ə ʁʷ a
къуджыр	qʷ ə d͡ʒ ə r
къудыин	qʷ ə d ə j ə n
къужъы	qʷ ə ʐ ə
къузмэзадэ	qʷ ə z m a z aː d a
къуй	qʷ ə j
къул	qʷ ə ɮ
къуладжэ	qʷ ə ɮ aː d͡ʒ a
къулбастэ	qʷ ə l b aː s t a
къулъфыгъэ	qʷ ə ɬ f ə ʁ a
къулыкъу	qʷ ə ɮ ə qʷ
къумбыл	qʷ ə m b ə ɮ
къупышъхьэ	qʷ ə p ə ʂ ħ a
къурбычый	qʷ ə r b ə t͡ʃ ə j
къурбэкъый	qʷ ə r b a q ə j
къурбэкъэй	qʷ ə r b a q a j
къурнэ	qʷ ə r n a
къутамэ	qʷ ə t aː m a
къутаф	qʷ ə t aː f
къутыр	qʷ ə t ə r
къутэн	qʷ ə t a n
къухьэ	qʷ ə ħ a
къухьэбыб	qʷ ə ħ a b ə b
къухьэлъат	qʷ ə ħ a ɬ aː t
къухьэтӏысыпӏ	qʷ ə ħ a tʼ ə s ə pʼ
къухьэуцупӏэ	qʷ ə ħ a w t͡sʷ ə pʼ a
къушъу	qʷ ə ʃʷ
къушъхьэ	qʷ ə ʂ ħ a
къыблэ	q ə b l a
къыгъэ	q ə ʁ a
къыдэгъэчъ	q ə d a ʁ a t͡ʂ
къыдэкӏохьын	q ə d a kʷʼ a ħ ə n
къыдэкӏухьан	q ə d a kʷʼ ə ħ aː n
къыдэмыхъун	q ə d a m ə χʷ ə n
къыдэхъун	q ə d a χʷ ə n
къызыщылъэтын	q ə z ə ɕ ə ɬ a t ə n
къыин	q ə j ə n
къыкъокӏын	q ə qʷ a t͡ʃʼ ə n
къыкӏышын	q ə t͡ʃ ə ʃ ə n
къылъыкӏотэн	q ə ɬ ə kʷʼ a t a n
къын	q ə n
къыпцӏэ	q ə p t͡sʼ a
къыпылэлын	q ə p ə ɮ a ɮ ə n
къыпыун	q ə p ə w ə n
къыпыщын	q ə p ə ɕ ə n
къыпэшӏошӏын	q ə p a ʃʷʼ a ʃʼ ə n
къырикӏон	q ə r ə j kʷʼ a n
къытегъэзын	q ə t a j ʁ a z ə n
къытегъэзэн	q ə t a j ʁ a z a n
къытэгъэзэн	q ə t a ʁ a z a n
къыухьан	q ə w ə ħ aː n
къыфифэн	q ə f ə j f a n
къыхэущыкӏын	q ə x a w ɕ ə t͡ʃʼ ə n
къыхэущыкӏьын	q ə x a w ɕ ə kʲʼ ə n
къыцэ	q ə t͡s a
къычӏэгъэкӏын	q ə t͡ʃʼ a ʁ a kʲʼ ə n
къычӏэгъэкӏьын	q ə t͡ʃʼ a ʁ a kʲʼ ə n
къычӏэгъэщын	q ə t͡ʂʼ a ʁ a ɕ ə n
къычӏэхын	q ə t͡ʃʼ a x ə n
къычӏэщын	q ə t͡ʂʼ a ɕ ə n
къыщыкӏэн	q ə ɕ ə t͡ʃʼ a n
къыщынэн	q ə ɕ ə w n a n
къыщыунэн	q ə ɕ ə w n a n
къыӏупсын	q ə ʔʷ ə p s ə
къыӏыхын	q ə ʔ ə x ə n
къыӏэкӏэхьэн	q ə ʔ a t͡ʃʼ a ħ aː n
къыӏэпхъотэн	q ə ʔ a p χʷ a t a n
къыӏэхын	q ə ʔ a x ə n
къэ	q a
къэбар	q a b aː r
къэбарыпцӏы	q a b aː r ə p t͡sʼ ə
къэбаскъэ	q a b aː s q a
къэбастхъэ	q a b aː s t χ a
къэбкӏэ	q a b kʲʼ a
къэблэн	q a b l a n
къэбы	q a b ə
къэбыпцӏэ	q a b ə p t͡s a
къэбэкъао	q a b a q aː w a
къэбэртай	q a b a r t aː j
къэбэртайбзэ	q a b a r t aː j b z a
къэвкъаз	q a f q aː z
къэгужъон	q a ɡʷ ə ʒʷ a n
къэгупшысын	q a ɡʷ ə p ʃ ə s ə n
къэгъагъэ	q a ʁ aː ʁ a
къэгъуен	q a ʁʷ a j ə n
къэгъэгъунэн	q a ʁ a ʁ a ʁʷ ə n a n
къэгъэзэгъу	q a ʁ a z a ʁʷ
къэгъэзэн	q a ʁ a z a n
къэгъэкӏохьын	q a ʁ a kʷʼ a ħ ə n
къэгъэкӏэхьын	q a ʁ a t͡ʃ a ħ ə n
къэгъэлъэгъоны	q a ʁ a ɬ a ʁʷ a n ə
къэгъэнэжьын	q a ʁ a n a ʑ ə n
къэгъэнэн	q a ʁ a n a n
къэгъэуцун	q a ʁ a w t͡sʷ ə n
къэгъэучъыӏын	q a ʁ a w t ʂ ə ʔ ə n
къэгъэущын	q a ʁ a w ɕ ə n
къэгъэфын	q a ʁ a f ə n
къэгъэхъэн	q a ʁ a χ a n
къэгъэхын	q a ʁ a x ə n
къэгъэӏун	q a ʁ a ʔʷ ə n
къэжьын	q a ʑ ə n
къэи	q a j ə
къэин	q a q ə j ə n
къэкъун	q a qʷ ə n
къэкъушъун	q a qʷ ə ʃʷ ə n
къэкъыин	q a q ə j ə n
къэкӏожьын	q a kʷʼ a ʑ ə n
къэкӏорэгъэ	q a kʷʼ a r a ʁ a
къэкӏорэтхьэмафэ	q a kʷʼ a r a t ħ a m aː f a
къэкӏохьын	q a kʷʼ a ħ ə n
къэкӏухьан	q a kʷʼ ə ħ aː n
къэкӏыгъэхэр	q a kʲʼ ə ʁ a x a r
къэкӏыгъэхэр	q a t͡ʃʼ ə ʁ a x a r
къэкӏын	q a t͡ʃʼ ə m
къэлапчъ	q a l aː p t͡ʃ
къэлъфын	q a ɬ f ə n
къэлъы	q a ɬ ə
къэлыдын	q a ɮ ə d ə n
къэлэдэс	q a ɮ a d a s
къэлэм	q a l a m
къэлэмдалъхьэ	q a l a m d aː ɬ ħ a
къэлэсэраи	q a l a s a r aː j ə
къэлэсэрай	q a l a s a r aː j
къэмлан	q a m l aː n
къэмэхын	q a m a x ə n
къэнэн	q a n a n
къэнэхъэжьын	q a n a χ a ʑ ə n
къэон	q a w a n
къэплъан	q a p ɬ aː n
къэпсын	q a p s ə n
къэпсэн	q a p s a n
къэптан	q a p t aː n
къэпчъын	q a p t͡ʂ ə n
къэпшӏэжын	q a p ʃʼ a ʑ ə n
къэпшӏэн	q a p ʃʼ a n
къэпы	q a p ə
къэраб	q a r aː b
къэрабгъэ	q a r aː b ʁ a
къэрал	q a r aː ɮ
къэралыгъу	q a r aː ɮ ə ʁʷ
къэркъэтэн	q a r q a t a n
къэрэбгъэ	q a r a b ʁ a
къэрэгъул	q a r a ʁʷ ə l
къэрэу	q a r a w
къэсшъхьэпкӏьэтын	q a s ʂ ħ a p kʲʼ a t ə n
къэсшъхьэпкӏэтын	q a s ʂ ħ a p kʲʼ a t ə n
къэсын	q a s ə n
къэсӏын	sʼ ə n
къэугупшысын	q a w ɡʷ ə p ʃ ə s ə n
къэугъоин	q a w ʁʷ a j ə n
къэун	q a w ə n
къэунэ	q a w ə n a
къэутхын	q a w ə t x ə n
къэучъыӏын	q a w t ʂ ə ʔ ə n
къэущын	q a p ɕ ə n
къэфын	q a f ə n
къэхалъэ	q a x aː ɬ a
къэхъун	q a χʷ ə n
къэхъушъун	q a χʷ ə ʃʷ ə n
къэхын	q a x ə n
къэхьо	q a ħ w a
къэхьпэ	q a ħ p a
къэхьуашъо	q a ħ w aː ʂʷ a
къэхьын	q a ħ ə n
къэхьыо	q a ħ w a
къэхьыпакъо	q a ħ ə p aː qʷ a
къэхьыпэ	q a ħ ə p a
къэхьыпэрылъф	q a ħ ə p a r ə ɬ f
къэхьыуашъо	q a ħ w aː ʂʷ a
къэц	q a t͡s
къэцы	q a t͡s ə
къэцыгъуан	q a t͡s ə ʁʷ aː n
къэцӏын	t͡sʼ ə n
къэцӏыон	q a t͡sʼ ə w a n
къэцӏэтхын	q a t͡sʼ a t x ə n
къэшъон	q a ʂʷ a n
къэшъуакӏо	q a ʃʷ aː kʷʼ a
къэшӏэжын	q a ʃʼ a ʑ ə n
къэшӏэжьын	q a ʃʼ a n
къэшӏэн	q a ʃʼ a n
къэщыпын	q a ɕ ə p ə n
къэщэгъу	q a ɕ a ʁʷ
къэщэкьын	q a ɕ a kʲ ə n
къэщэн	q a ɕ a n
къэщэчын	q a ɕ a t͡ʃ ə n
кьэ	kʲ a
кьэпчъэӏу	kʲ a p t͡ʂ a ʔʷ
кьэрхъон	kʲ a r χʷ a n
кьэт	kʲ a t
кьэтжъые	kʲ a t ʐ ə j
кьэтхъэн	kʲʼ a t χ a n
кьэтыу	kʲ a t ə w
кьэупчъэ	kʲ a w ə p t͡ʂ a
кьэфы	kʲ a f ə
кӏадзэ	t͡ʃʼ aː d͡z a
кӏай	t͡ʃʼ aː j
кӏако	t͡ʃʼ aː kʷ a
кӏакӏо	t͡ʃ aː kʷʼ a
кӏакӏы	kʲ aː t͡ʃ ə
кӏакӏы	t͡ʃ aː t͡ʃ ə
кӏалэ	t͡ʃʼ aː l a
кӏалэ	t͡ʃʼ aː ɮ a
кӏапсэ	t͡ʃʼ aː p s a
кӏапсэрыкӏо	t͡ʃʼ aː p s a r ə kʷʼ a
кӏапэ	kʲ aː p a
кӏапэ	t͡ʃ aː p a
кӏасэ	t͡ʃʼ aː s a
кӏашъо	t͡ʃʼ aː ʃʷ a
кӏежьэжьын	ʔʷ a r ə ʃʼ a
кӏодыгъошӏу	kʷʼ a d ə ʁʷ a ʃʷʼ
кӏодыжьыгъошӏу	kʷʼ a d ə ʑ ə ʁʷ a ʃʷʼ
кӏодын	kʷʼ a d ə n
кӏожьын	kʷʼ a ʑ ə n
кӏолӏэн	j a kʷʼ a ɬʼ a n
кӏон	kʷʼ a n
кӏосэн	kʷʼ a s a n
кӏотэн	kʷʼ a t a n
кӏохъун	kʷʼ a χʷ ə n
кӏоцӏы	kʷʼ a t͡sʼ ə
кӏоцӏылъхьэн	kʷʼ a t͡sʼ ə ɬ ħ a n
кӏоцӏыхьан	kʷʼ a t͡sʼ ə ħ aː n
кӏоцӏыщыхьан	kʷʼ a t͡sʼ ə ɕ ə ħ aː n
кӏоцӏыщыхьэн	kʷʼ a t͡sʼ ə ɕ ə ħ a n
кӏочӏагъэ	kʷʼ a t͡ʃʼ aː ʁ a
кӏочӏадж	kʷʼ aː t͡ʂʼ aː d͡ʒ
кӏошъэн	kʷʼ a ʂ a n
кӏошын	kʷʼ a ʃ ə n
кӏуадж	kʷʼ aː d͡ʒ
кӏуапӏэ	kʷʼ aː pʼ a
кӏуачӏэ	kʷʼ aː t͡ʃʼ a
кӏун	kʷʼ ə n
кӏурэжъый	kʷʼ ə r a ʐ ə j
кӏуснэщаб	kʷʼ ə s n a ɕ aː b
кӏыб	t͡ʃʼ ə b
кӏыгъун	t͡ʃʼ ə ʁʷ ə n
кӏыин	m a t͡ʃʼ ə j ə n
кӏыкӏьай	t͡ʃ ə kʲ aː j
кӏымафэ	t͡ʃʼ ə m aː f a
кӏын	t͡ʃʼ ə n
кӏырыун	t͡ʃʼ ə r ə w ə n
кӏыфы	t͡ʃʼ ə f ə
кӏыхьэ	t͡ʃʼ ə ħ a
кӏыхьэлыхьэ	t͡ʃʼ ə ħ a ɮ ə ħ a
кӏышъоӏот	t͡ʃʼ ə ʃʷ a ʔʷ a t
кӏышъу	t͡ʃ ə ʂʷ
кӏыӏу	t͡ʃʼ ə ʔʷ
кӏьако	kʲʼ aː kʷ a
кӏьакӏьэ	kʲʼ aː kʲʼ a
кӏьапсэ	kʲʼ aː p s a
кӏьасэ	kʲʼ aː s a
кӏьашъо	kʲʼ aː ʃʷ a
кӏьыин	kʲʼ ə j ə n
кӏьэ	kʲʼ a
кӏьэй	kʲʼ a j
кӏьэлъыон	kʲʼ a ɬ ə w ə n
кӏьэлъыун	kʲʼ a ɬ ə w ə n
кӏьэмгуе	kʲʼ a m ɡʷ ə j a
кӏьэнлъэ	kʲʼ a n ɬ a
кӏьэрахъо	kʲʼ a r aː χʷ a
кӏьэрыт	kʲʼ a r ə t
кӏьэхьы	kʲʼ a ħ ə
кӏьэхьылэхь	kʲʼ a ħ ə l a ħ
кӏэ	kʼ a
кӏэ	t͡ʃʼ a
кӏэгъожьын	t͡ʃ a ʁʷ a ʑ ə n
кӏэгъэгъожьын	t͡ʃʼ a ʁ a ʁʷ a ʑ ə n
кӏэгъэкӏын	t͡ʃʼ a ʁ a t͡ʃʼ ə n
кӏэгьэн	t͡ʃʼ a ɡʲ a n
кӏэджэн	t͡ʃʼ a d͡ʒ a n
кӏэдзапӏэ	w ə b ɮ aː pʼ a
кӏэдэн	t͡ʃʼ a d a n
кӏэегъулъын	t͡ʃʼ a j a ʁʷ ə ɬ ə n
кӏэен	t͡ʃʼ a j a n
кӏэзэзын	t͡ʃʼ a z a z ə n
кӏэй	t͡ʃʼ a j
кӏэкъэпс	t͡ʃ a q a p s
кӏэкӏьащын	t͡ʃʼ a kʲʼ aː ɕ ə n
кӏэлъыкӏон	t͡ʃ a ɬ ə kʷʼ a n
кӏэлъыон	t͡ʃʼ a ɬ ə w ə n
кӏэлъыун	t͡ʃʼ a ɬ ə w ə n
кӏэлъэтэкьын	t͡ʃ a ɬ a t a kʲ ə n
кӏэлъэӏун	t͡ʃʼ a ɬ a ʔʷ ə n
кӏэлэ	t͡ʃ a l a
кӏэлэгъу	t͡ʃ a l a ʁʷ
кӏэлэегъагь	t͡ʃʼ a l a ʁ aː ɡʲ
кӏэлэегъадж	t͡ʃʼ a ɮ a ʁ aː d͡ʒ
кӏэлэегьакӏо	t͡ʃʼ a l a j a ɡʲ aː kʷʼ a
кӏэлэеджакӏо	t͡ʃʼ a ɮ a j a d͡ʒ aː kʷʼ a
кӏэлэхъу	t͡ʃʼ a ɮ a χʷ
кӏэлэхъуцӏыкӏу	t͡ʃʼ a ɮ a χʷ t͡sʼ ə kʷʼ
кӏэмгуе	t͡ʃʼ a m ɡʷ ə j a
кӏэн	t͡ʃʼ a n
кӏэнкӏэ	t͡ʃʼ a n t͡ʃʼ a
кӏэнкӏэжъапхъэ	t͡ʃ a n t͡ʃ a ʐ aː p χ a
кӏэнлъэ	t͡ʃʼ a n ɬ a
кӏэнэкӏэн	t͡ʃʼ a n a t͡ʃʼ a n
кӏэп	t͡ʃʼ a p
кӏэпхъ	t͡ʃʼ a p χ
кӏэпхын	t͡ʃʼ a p x ə n
кӏэпщ	t͡ʃʼ a p ɕ
кӏэпщы	t͡ʃʼ a p ɕ ə
кӏэпы	t͡ʃʼ a p ə
кӏэракӏ	t͡ʃʼ a r aː t͡ʃʼ
кӏэрахъо	t͡ʃʼ a r aː χʷ a
кӏэрхъон	t͡ʃʼ a r χʷ a n
кӏэрыкӏэу	t͡ʃʼ a r ə t͡ʃʼ a w
кӏэрэон	t͡ʃʼ a r a w a n
кӏэрэхъоцыкӏу	t͡ʃ a r a χʷ a t͡s ə kʷʼ
кӏэсэн	t͡ʃʼ a s a n
кӏэтал	kʲʼ a t aː l
кӏэтал	t͡ʃʼ a t aː l
кӏэтхъун	t͡ʃʼ a t χʷ ə n
кӏэтыку	t͡ʃʼ a t ə kʷ
кӏэтыл	t͡ʃʼ a t ə l
кӏэтыщх	kʲ a t ə ɕ x
кӏэтыщх	t͡ʃ a t ə ɕ x
кӏэтӏэй	t͡ʃ a tʼ a j
кӏэупкӏэн	t͡ʃʼ a w p t͡ʃʼ a n
кӏэупхъухьан	t͡ʃ a w p χʷ ə ħ aː n
кӏэух	t͡ʃʼ a w ə x
кӏэхьан	t͡ʃʼ ə ħ aː n
кӏэхьы	t͡ʃʼ a ħ ə
кӏэхэкӏын	t͡ʃ a x a t͡ʃ ə n
кӏэшъун	t͡ʃʼ a ʃʷ ə n
кӏэшӏыхьан	t͡ʃʼ a ʃʼ ə ħ aː n
кӏэшӏэн	t͡ʃʼ a ʃʼ a n
кӏэщакӏо	t͡ʃ a ɕ aː kʷʼ a
кӏэӏэжьын	t͡ʃʼ a ʔ a ʑ ə n
кӏэӏэн	t͡ʃʼ a ʔ a n
лагъымэ	ɮ aː ʁ ə m a
лагъэ	l aː ʁ a
лажьэ	ɮ aː ʑ a
лалэ	l aː l a
лантӏэ	l aː n tʼ a
ланчъэ	l aː n t͡ʃ a
лачэ	l aː t͡ʃ a
лъабжъэ	ɬ aː b ʐ a
лъагъо	ɬ aː ʁʷ a
лъагэ	ɬ aː ɣ a
лъакъо	ɬ aː qʷ a
лъапсэ	ɬ aː p s a
лъапсӏэ	ɬ aː p sʼ a
лъапцӏэ	ɬ aː p t͡sʼ a
лъапэ	ɬ aː p a
лъапӏэ	ɬ aː pʼ a
лъасэ	ɬ aː s a
лъашъхьэ	ɬ aː ʂ ħ a
лъащэ	ɬ aː ɕ a
лъежьэн	ɬ a j ʑ a n
лъежэн	ɬ a j ʒ a n
лъфащэ	ɬ f aː ɕ a
лъфыгъэ	ɬ f ə ʁ a
лъфын	ɬ f ə n
лъфэн	ɬ f a n
лъхъанчэ	ɬ χ aː n t͡ʃ a
лъы	ɬ ə
лъыгъачъэ	ɬ ə ʁ aː t͡ʂ a
лъыкӏон	ɬ ə kʷʼ a n
лъыкӏотэн	ɬ ə kʷʼ a t a n
лъыкӏошъэн	ɬ ə kʷʼ a ʂ a n
лъын	ɬ ə n
лъынтфэ	ɬ ə n t f a
лъынэ	ɬ ə n a
лъыплъэн	ɬ ə p ɬ a n
лъытфэ	ɬ ə t f a
лъытэн	ɬ ə t a n
лъытэныгъ	ɬ ə t a n ə ʁ
лъыфыгъэ	ɬ f ə ʁ a
лъыхъожьын	ɬ ə χʷ a ʑ ə n
лъыхъуакӏо	ɬ ə χʷ aː kʷʼ a
лъыхъун	ɬ ə χʷ ə n
лъычъэн	ɬ ə t͡ʂ a n
лъышӏэжь	ɬ ə ʃʼ a ʑ
лъышӏэжьакӏо	ɬ ə ʃʼ a ʑ aː kʷʼ a
лъышӏэжьын	ɬ ə ʃʼ a ʑ ə n
лъыӏэбэн	ɬ ə ʔ a b a n
лъыӏэсын	ɬ ə ʔ a s ə n
лъэ	ɬ a
лъэбакъу	ɬ a b aː qʷ
лъэбанэ	ɬ a b aː n a
лъэбжъанэ	ɬ a p ʐ aː n a
лъэбыӏу	ɬ a b ə ʔʷ
лъэбэкъу	ɬ a b a qʷ
лъэгонджэмышъхьэ	ɬ a ɡʷ a n d͡ʒ a m ə ʂ ħ a
лъэгу	ɬ a ɡʷ
лъэгуаджэ	ɬ a ɡʷ aː d͡ʒ a
лъэгуанджэ	ɬ a ɡʷ aː n d͡ʒ a
лъэгуц	ɬ a ɡʷ ə t͡s
лъэгъуае	ɬ a ʁʷ aː j a
лъэгъуен	ɬ a ʁʷ ə j a n
лъэгъун	p ɬ a ʁʷ ə n
лъэгъупхъ	ɬ a ʁʷ ə p χ
лъэдакъэ	ɬ a d aː q a
лъэецуакъо	ɬ a j a t͡sʷ aː qʷ a
лъэжъуагъ	ɬ a ʐʷ aː ʁ
лъэкур	ɬ a kʷ ə r
лъэкъопцӏанэ	ɬ a qʷ a p t͡sʼ aː n a
лъэкъорыгъачъэ	ɬ a qʷ a r ə ʁ aː t͡ʂ a
лъэкъуапсӏ	ɬ a qʷ aː p sʼ
лъэкъуапцӏ	ɬ a qʷ aː p t͡sʼ
лъэкъуасӏэ	ɬ a qʷ aː sʼ a
лъэкъуацӏэ	ɬ a qʷ aː t͡sʼ a
лъэкӏ	ɬ a t͡ʃʼ n
лъэкӏапӏ	ɬ a t͡ʃ aː pʼ a
лъэкӏапӏэ	ɬ a t͡ʃ aː pʼ
лъэкӏоцӏ	ɬ a kʷʼ a t͡sʼ
лъэкӏын	ɬ a kʲʼ ə n
лъэкӏын	ɬ a t͡ʃʼ ə n
лъэкӏьапӏэ	ɬ a kʲʼ aː pʼ a
лъэкӏэн	ɬ a t͡ʃ a n
лъэкӏэпӏащ	ɬ a t͡ʃʼ a pʼ aː ɕ
лъэмыдж	ɬ a m ə d͡ʒ
лъэн	ɬ a n
лъэныкъу	ɬ a n ə qʷ
лъэныкъуащ	ɬ a n ə qʷ aː ɕ
лъэой	ɬ a w a j
лъэпапцӏэ	ɬ a p aː p t͡sʼ a
лъэпкъ	ɬ a p q
лъэпкъгъэкӏод	ɬ a p q ʁ a kʷʼ a d
лъэпкъэгъу	ɬ a p q
лъэпс	ɬ a p s
лъэпхъабэ	ɬ a p χ aː b a
лъэпэд	ɬ a p a d
лъэпэон	ɬ a p a w a n
лъэпэпсӏий	ɬ a p a p sʼ ə j
лъэпӏаӏо	ɬ a pʼ aː ʔʷ a
лъэрыгъачъэ	ɬ a r ə ʁ aː t͡ʂ a
лъэрымыхь	ɬ a r ə m ə ħ
лъэрычъ	ɬ a r ə t͡ʂ
лъэсы	ɬ a s ə
лъэсыбэщ	ɬ a s ə b a ɕ
лъэтэн	ɬ a t a n
лъэу	ɬ a w
лъэубакъу	ɬ a w b aː qʷ
лъэугъуае	ɬ a w ʁʷ aː j a
лъэуж	ɬ a w ə ʒ
лъэужь	ɬ a w ə ʑ
лъэужьэу	ɬ a w ʑ ə m ə j
лъэхъан	ɬ a χ aː n
лъэхъаны	ɬ a χ aː n ə
лъэхъомбэшх	ɬ a χʷ a m b a ʃ x
лъэхъуамбэ	ɬ a χʷ aː m b a
лъэхъэн	ɬ a χ a n
лъэхьэ	ɬ a ħ a
лъэхэнэн	ɬ a x a n a n
лъэш	ɬ a ʃ
лъэшъун	ɬ a ʃʷ ə n
лъэшы	ɬ a ʃ ə
лъэшыдж	ɬ a ʃ ə d͡ʒ
лъэшыӏо	ɬ a ʃ ə ʔʷ a
лъэшэу	ɬ a ʃ a w
лъэӏуакӏо	ɬ a ʔʷ aː kʷʼ a
лы	l ə
лы	ɮ ə
лыгъон	ɮ ə ʁʷ a n
лыджын	m a l ə d͡ʒ ə n
лыдын	ɮ ə d ə n
лые	ɮ ə j a
лыкъумэ	l ə qʷ m a
лымышх	l ə m ə ʃ x
лыпцэ	l ə p t͡s a
лыпцӏэ	l ə p t͡sʼ a
лыргъужъ	l ə r ʁʷ ə ʐ
лышъутӏэ	l ə ʃʷ tʼ a
лэблэбый	l a b l a b ə j
лэгъу	l a ʁʷ
лэгъунэ	ɮ a ʁʷ n a
лэгъуп	l a ʁʷ ə p
лэгьэн	ɮ a ɡʲ a n
лэджэн	ɮ a d͡ʒ a n
лэжьакӏу	l a ʑ aː kʷʼ
лэжьын	ɮ a ʑ ə n
лэжьэн	l a ʑ a n
лэлэн	l a l a n
лэн	l a n
лэн	ɮ a n
лэныстэ	l a n ə s t a
лӏакъо	ɬʼ aː qʷ a
лӏапӏэ	ɬʼ aː pʼ a
лӏы	ɬʼ ə
лӏыблан	ɬʼ ə b ɮ aː n
лӏыгъэ	ɬʼ ə ʁ a
лӏыгъэкӏэ	ɬʼ ə ʁ a t͡ʃʼ a
лӏыжъы	ɬʼ ə ʐ ə
лӏыжъыгъу	ɬʼ ə ʐ ə ʁʷ
лӏыжъыпӏ	ɬʼ ə ʐ ə pʼ
лӏыжъышъ	ɬʼ ə ʐ ə ʂ
лӏыкӏо	ɬʼ ə kʷʼ a
лӏымыш	ɬʼ ə m ə ʃ
лӏыукӏ	m a χ aː d͡ʒ a
лӏыхъу	ɬʼ ə χʷ
лӏыхъужъ	ɬʼ ə χʷ ə ʐ
лӏышъхьэ	ɬʼ ə ʂ ħ a
лӏэгъу	ɬʼ a ʁʷ
лӏэгъуаб	ɬʼ a ʁʷ aː b
лӏэкъолъэш	ɬ a qʷ a ɬ a ʃ
лӏэкъуацӏэ	ɬʼ a qʷ aː t͡sʼ a
лӏэн	ɬʼ a n
лӏэу	ɬʼ a w
лӏэуж	ɬʼ a w ə ʒ
лӏэужыгъо	ɬʼ a w ʒ ə ʁʷ a
лӏэужьыгъо	ɬʼ a w ʑ ə ʁʷ a
мажьэ	m aː ʑ a
мазэ	m aː z a
маис	m aː j ə s
майтэ	m aː j t a
макъэ	m aː q a
макӏэ	m aː t͡ʃ a
