־אַטש	a t͡ʃ
טשעך	t͡ʃ ɛ x
טשעכײַ	t͡ʃ ɛ x a ɪ̯
טשערעפּאַכע	t͡ʃ ɛ ʁ ə p a χ ə
טשײַניק	t ʃ a ɪ̯ n ɪ k
טײַך	t a ɪ̯ χ
טײַכן	t a ɪ̯ χ n̩
טײַלאַנד	t a ɪ̯ l a n d
טײַפֿון	t a ɪ̯ f ʊ n
יאַזדע	j a z d ə
יאַיִטשניצע	j a i t͡ʃ n ɪ t͡s ə
יאַיִטשניצע	j a ɪ t͡ʃ n ɪ t͡s ə
יאַנואַר	j a n ʊ a ʁ
יאַפּאַן	j a p a n
יאַקאָש	j a k ɔ ʃ
יאָגן	j aː ɡ ŋ̩
יאָגן	j u ɡ ŋ̩
יאָגן	j ɔ ɡ ŋ̩
יאָגן	j ʊ ɡ ŋ̩
יאָדלע	j ɔ d l ə
יאָר	j u r
יאָר	j uː r
יאָר	j ɔ r
יאָשקע	j ɔ ʃ k ə
ידיעה	j ə d i ə
יהודה	j ə h ʊ d ə
יויך	j ɔ ɪ̯ χ
יום	j ɔ m
יום־טובֿ	j ɔ n t ə f
יום־טובֿ	j ɔ n t ə v
יום־טובֿים	j ɔ n t ɔ ɪ̯ v ɪ m
יום־כּיפּור	j ɔ ŋ k ɪ p ə r
יונג	j ɪ ŋ ɡ
יונג	j ʊ ŋ ɡ
יונגערמאַן	j ʊ ŋ ɡ ə ʁ m a n
יונגערמאַנווײַז	j ʊ ŋ ɡ ə ʁ m a n v a ɪ̯ z
יוסי	j ɔ s i
יוסף	j ɔ s ə f
יוסף	j ɔ ɪ̯ s ə f
יושקע	j ʊ ʃ k ə
יושר	j ɔ j ʃ ɛ ʀ
יושר	j ɔ ə̯ ʃ ə ʀ
ייִאוש	j ɪ ɜ ʃ
ייִד	j i d
ייִד	j iː t
ייִד	j ɪ d
ייִדיש	j ɪ d ɪ ʃ
ייִדיש־קינד	j ɪ d ɪ ʃ k ɪ n d
ייִדישע	j ɪ d ɪ ʃ ə
ייִדישע גאַס	j ɪ d ɪ ʃ ə ɡ a s
ייִדישער	j ɪ d ɪ ʃ ə ʁ
ייִדישקייט	j ɪ d ɪ ʃ k a ɪ̯ t
ייִחוס	j ɪ χ ə s
ייִנגל	j ɪ ŋ ɡ ɫ̩
ייִנגלווײַז	j ɪ ŋ ɡ ɫ̩ v a ɪ̯ z
ייִנגער	j ɪ ŋ ɡ ə ʁ
ים־גרונט	j a m ɡ ʁ ʊ n t
ים־מיידל	j a m m ɛ ɪ̯ d ɫ̩
ים־פֿרוכט	j a m f r ʊ χ t
ימח־שמוניק	j ɪ m a χ ʃ m e ɪ n ɪ k
ימח־שמוניק	j ɪ m a χ ʃ m ɔ ɪ n ɪ k
יסוד	j ɜ s ɔ d
יסוד־שטיין	j ɜ s ɔ d ʃ t ɛ ɪ̯ n
יעגער	j e ɪ̯ ɡ ə ʁ
יעגער	j eː ɡ ə ʁ
יעגער	j i ɡ ə ʁ
יעגער	j ɛ ɡ ə ʁ
יעדן טאָג	j ɛ d n̩ t ɔ ɡ
יעדעס	j ɛ d ə s
יעדער	j ɛ d ə ʁ
יעזוס	j ɛ z ʊ s
יעלניק	j ɛ l n ɪ k
יעלניק	j ɛ ʎ n ɪ k
יענס	j ɛ n s
יענע	j ɛ n ə
יענער	j ɛ n ə ʁ
יעצט	j ɛ t͡s t
יעקבֿ	j a ŋ k ə v
יערן	j eː r n̩
יערן	j ɛː r n̩
ירדן	j a ʁ d ə n
ירושה	j ə ʁ ʊ ʃ ə
ירושלים	j ə r ɪ ʃ ʊ ɫ a j ə m
ירושלים	j ə r ʊ ʃ ɔ ɫ a j ə m
ירושלים דליטע	j ə ʀ̆ ʊ ʃ ɔ ɫ a j ə m ‿ d ɫ i t ə
ירשענען	j a r ʃ ɜ n ɜ n
ישׂראל	j ɨ s ʁ u ɫ
ישׂראל	j ɪ s ʁ uː ɫ
ישׂראל	j ɪ s ʁ ɔ ə ɫ
ישׂראלדיק	j i s ʁ ɔ ə l d ɪ k
ישׂראלדיקע	j i s ʁ ɔ ə l d ɪ k
ישו	j ɛ ɪ̯ ʃ ʊ
ישו	j ɪ ʃ ʊ
ישועה	j ɜ ʃ i ɜ
ישועה	j ɜ ʃ iː ɜ
ישועה	j ɜ ʃ ʊ ɜ
יײַכל	j a ɪ̯ χ ɫ̩
כּבֿוד	k ɔ v ə d
כּבֿוד	k ʊ v ə d
כּדי	k ə d ɛ ɪ̯
כּהונה	k ə h ɪ n ə
כּהונה	k ə h ʊ n ə
כּהונה	k ə ɨ n ə
כּהן	k ɔ ɪ̯ ə n
כּוונה	k a v uː n ə
כּוונה	k a v ɔ n ə
כּוונה	k ɔ v u n ə
כּוס	k ɔ s
כּזבֿ	k e ɪ̯ z ɜ v
כּזבֿ	k i z ɜ v
כּזבֿ	k u z ɜ v
כּזבֿ	k uː z ɜ v
כּזבֿ	k ɔ z ɜ v
כּזבֿ	k ɛ z ɜ v
כּזבֿן	k a z v n̩
כּישוף	k ɪ ʃ ə f
כּיתּה	k ɪ t ə
כּיתּות	k ɪ t ə s
כּלבֿ	k e ɪ̯ ɫ ə v
כּלבֿ	k ɛ ɫ ə v
כּלבֿטע	k ɫ a f t ə
כּמעט	k ɪ m a t
כּסדר	k ə s ɛ ɪ̯ d ə ʁ
כּסדרדיק	k ə s ɛ ɪ̯ d ə ʁ d ɪ k
כּפּרה	k a p ɔ ʁ ə
כּשר	k ɔ ʃ ə ʁ
כּשרות	k a ʃ ʁ ə s
כּתבֿ	k s a v
כּתובה	k s ʊ b ə
כאַלאַפּעניאָ	χ a ɫ a p ɛ n j ɔ
כאַלאַפּעניאָ	χ a ɫ a p ɛ ɲ ɔ
כאַלט	χ a ɫ t
כאַפּן	χ a p n̩
כאָטש	χ ɔ t͡ʃ
כוואַליע	χ v a ʎ ə
כוואַליעסווײַז	χ v a ʎ ə s v a ɪ̯ z
כומוס	χ ʊ m ʊ s
כטשוף	χ t͡ʃ ʊ f
כינע	χ ɪ n ə
כינעזיש	x ɪ n ɛ z ɪ ʃ
כינעזישער	x ɪ n ɛ z ɪ ʃ ə ʁ
כעמיע	χ ɛ m j ə
כרעמזל	χ ʁ ɛ m z l̩
כרעמזלעך	χ ʁ ɛ m z ɫ ə χ
לאַבירינט	ɫ a b ɪ ʁ ɪ n t
לאַגראַן	ɫ a ɡ r a n
לאַדינאָ	ɫ a d ɪ n ɔ
לאַווינע	l a v i n ɛ
לאַטקע	ɫ a t k ə
לאַטקעס	ɫ a t k ə s
לאַכט	ɫ a χ t
לאַכן	ɫ a χ n̩
לאַנג	ɫ a ŋ ɡ
לאַנג	ɫ a ɪ̯ ŋ ɡ
לאַנדן	ɫ a n d n̩
לאָזט	ɫ ɔ s t
לאָזן	ɫ ɔ n
לאָזן	ɫ ɔ z n̩
לאָזסט	ɫ ɔ s t
לאָמיך	ɫ ɔ m ɪ χ
לאָמיר	ɫ ɔ m ɪ ʁ
לאָנטש	ɫ ɔ n t͡ʃ
לאָקאַל	ɫ ɔ k a ɫ
לאָקש	ɫ ɔ k ʃ
לאָרבערבלאַט	ɫ ɔ r b ə r b ɫ a t
לבֿנה	l ə v u n ə
לבֿנה	l ə v uː n ə
לבֿנה	l ə v ɔ n ə
לבֿנון	ɫ ə v ɔ n ə n
להבֿדיל	l ə h ɑ v d i l
להבֿדיל	l ə h ɑ v d ɪ l
לוויה	ɫ ə v a j ə
לוויה	ɫ ə v a ɪ̯ ə
לוח	ɫ ʊ ə χ
לויט	ɫ ɔ ɪ̯ t
לוין	ɫ ɔ ɪ̯ n
לוינע	ɫ ɔ ɪ̯ n ə
לויף	ɫ ɔ ɪ̯ f
לויפֿן	ɫ e ɪ̯ f n̩
לויפֿן	ɫ ɔ ɪ̯ f n̩
לולבֿ	ɫ ʊ ɫ ə v
לולבֿים	ɫ ʊ ɫ ɔ v ə m
לונג	ɫ ʊ ŋ ɡ
לונג	ʎ ɪ ŋ ɡ
לופֿטמענטש	ɫ ʊ f t m ɛ n t͡ʃ
לחיים	ɫ ə χ a ɪ̯ ə m
ליאָדע	ʎ ɔ d ə
ליב	ɫ ɪ b
ליבן	ʎ i b n̩
ליבער	l ɪ b ə r
ליבערשט	ʎ ɪ b ə ʁ ʃ t
ליגט	ʎ ɪ k t
ליד	l iː t
ליד	l ɪ d
לידער	ʎ ɪ d ə ʁ
ליובאָווניק	ʎ ʊ b ɔ f n ɪ k
ליובאָווניק	ʎ ʊ b ɔ v n ɪ k
ליוורעע	ʎ ɪ v r ɛ ə
ליוורעע	ʎ ɪ v r ɛ ɛ
ליטווינער	ʎ ɪ t v ɪ n ə ʁ
ליטוויש	ɫ ɪ t v ɪ ʃ
לייב	ɫ a ɪ̯ b
לייב	ɫ ɛ ɪ̯ b
לייבן	ɫ ɛ ɪ̯ b n̩
לייג	ɫ ɛ ɪ̯ ɡ
לייגט	ɫ ɛ ɪ̯ k t
לייגן	ɫ ɛ ɪ̯ ɡ n̩
ליידיק	ɫ ɛ ɪ̯ d ɪ k
ליידיקן	ɫ ɛ ɪ̯ d ɪ k n̩
ליידער	ɫ ɛ ɪ̯ d ə ʁ
לייוואָרט	ɫ ɛ ɪ̯ v ɔ ʁ t
לייזונג	ɫ ɛ ɪ̯ z ʊ ŋ ɡ
לייזונגען	ɫ ɛ ɪ̯ z ʊ ŋ ɡ ə n
לייטער	ɫ ɛ ɪ̯ t ə ʁ
לייטערס	ɫ ɛ ɪ̯ t ə ʁ s
ליים	ɫ a ɪ̯ m
ליים	ɫ e ɪ̯ m
ליים	ɫ ɛ ɪ̯ m
ליימען	ɫ ɛ ɪ̯ m ə n
לייען	ɫ ɛ ɪ̯ ə n
לייענען	ɫ ɛ ɪ̯ ə n ə n
ליכט	ʎ ɪ χ t
ליכטנשטיין	ɫ ɪ χ t n̩ ʃ t ɛ ɪ̯ n
לימענאַד	ʎ ɪ m ə n a d
לינק	ɫ ɪ ŋ k
לינקאַטש	ɫ ɪ ŋ k a t͡ʃ
לינקס	ɫ ɪ ŋ k s
ליפֿט	ʎ ɪ f t
ליפֿטן	ʎ ɪ f t n̩
ליקער	ʎ ɪ k ɛ r
לכּבֿוד	ɫ ə k ɔ v ə d
למען־השם	ɫ ə m a n h a ʃ ɛ m
לסוף	ɫ ə s ɔ f
לעבן	ɫ ɛ b n̩
לעבן־געבליבענער	ɫ ɛ b n̩ ɡ ɛ b ʎ ɪ b ə n ə ʁ
לעבעדיק	l e y b ə d ɪ k
לעבעדיקע אַקאַציע	l ɛ b ə d ɪ k ə a k a t͡s j ə
לעגיאָן	ɫ ə ɡ j ɔ n
לעדל	ɫ ɛ d ɫ̩
לעטלאַנד	ɫ ɛ t ɫ a n d
לעסטערן	ɫ ɛ s t ə ʁ n̩
לעפּטאָפּ	ɫ ɛ p t ɔ p
לעפּיש	ɫ ɛ p ɪ ʃ
לעפֿל	ɫ ɛ f ɫ̩
לעקעך	ɫ ɛ k ə χ
לערן	ɫ ɛ ʁ n̩
לערנט	ɫ ɛ ʁ n t
לערנסט	ɫ ɛ ʁ n̩ s t
לערנען	ɫ ɛ ʁ n ə n
לערערין	ɫ ɛ ʁ ə ʁ ɪ n
לעש	ɫ ɛ ʃ
לעש אויס	ɫ ɛ ʃ ɔ ɪ̯ s
לעשן	ɫ ɛ ʃ n̩
לשון	ɫ oː ʃ n̩
לשון	ɫ u ʃ n̩
לשון	ɫ uː ʃ n̩
לשון	ɫ ɔ ʃ n̩
לשונות	ɫ ə ʃ ɔ ɪ̯ n̩ ə s
לשם־שמים	ɫ ə ʃ ɛ ɪ̯ m ʃ ɔ m a j ə m
לײַבל	ɫ a ɪ̯ b ɫ̩
לײַבקע	ɫ a ɪ̯ b k ə
לײַוואָרט	l a j v ɔ r t
לײַט	l a ɪ̯ t
לײַכט	ɫ a ɪ̯ χ t
לײַכטער	ɫ a ɪ̯ χ t ə ʁ
לײַכטערס	ɫ a ɪ̯ χ t ə ʁ s
לײַלעך	ɫ a ɪ̯ ɫ ə χ
לײַם	ɫ a ɪ̯ m
לײַמען	ɫ a ɪ̯ m ə n
מאַדיירע	m a d ɛ ɪ̯ r ə
מאַהאַלע	m a h a ɫ ə
מאַטעמאַטיק	m a t ɛ m a t ɪ k
מאַטערן	m a t ə ʁ n̩
מאַטראַץ	m a t ʁ a t͡s
מאַיאָראַן	m a j ɔ r a n
מאַיאָראַן	m a ɪ̯ ɔ r a n
מאַלטאַ	m a ɫ t a
מאַלפּע	m a ɫ p ə
מאַלפּעס	m a ɫ p ə s
מאַמינקע	m a m ɪ nʲ k ə
מאַמינקע	m a m ɪ ŋ k ə
מאַמע־לשון	m a m ə ɫ ɔ ʃ n̩
מאַמעליגע	m a m ə ʎ ɪ ɡ ə
מאַמעש	m a m ə ʃ
מאַנדזשורער קאַנאַטניק	m a n d͡ʒ ʊ r ə r k a n a t n ɪ k
מאַנדלברויט	m a n d l̩ b r ɔ ɪ̯ t
מאַנדלשמיר	m a n d ɫ̩ ʃ m iː r
מאַנהעטן	m a n h ɛ t n̩
מאַנטל	m a n t ɫ̩
מאַנטלען	m a n t ɫ ə n
מאַסלינע	m a s ʎ ɪ n ə
מאַסלינקע	m a s ʎ ɪ n k ə
מאַסע	m a s ə
מאַסקע	m a s k ə
מאַפּע	m a p ə
מאַקאַראָנען	m a k a r ɔ n ə n
מאַקאַראָנען־מיט־קעז	m a k a r ɔ n ə n m ɪ t k ɛ z
מאַקעראָנדל	m a k ə r ɔ n d ɫ̩
מאַראַסקינאָ	m a r a s k i n ɔ
מאַראָזשענע	m a r ɔ ʒ ə n ə
מאַרסאַלאַ	m a r s a ɫ a
מאַרץ	m a ʁ t͡s
מאַרק	m a ʁ k
מאַרקע	m a ʁ k ə
מאַרשעליק	m a ʁ ʃ ə l ɪ k
מאַרשרוטקע	m a r ʃ r ʊ t k ə
מאַשין	m a ʃ ɪ n
מאַשינביקס	m a ʃ ɪ n b ɪ k s
מאַשינען	m a ʃ ɪ n ə n
מאָדנע	m u d n ə
מאָדנע	m ɔ d n ə
מאָטעל	m ɔ t ɛ ʎ
מאָך	m ɔ χ
מאָל	m ɔ ɫ
מאָל	m ɔ ʎ
מאָל	m ʊ ɫ
מאָלאָטשנע	m ɔ ɫ ɔ t͡ʃ n ə
מאָלדאַווע	m ɔ ɫ d a v ə
מאָן	m o n
מאָנטיק	m ɔ n t ɪ k
מאָנטענעגראָ	m ɔ n t ə n ɛ ɡ ʁ ɔ
מאָניטאָר	m ɔ n ɪ t ɔ ʁ
מאָניטאָרן	m ɔ n ɪ t ɔ ʁ n̩
מאָסקווע	m ɔ s k v ə
מאָסקיט	m ɔ s k ɪ t
מאָפֿין	m ɔ f ɪ n
מאָפֿין	m ʌ f ɪ n
מאָקאַ	m ɔ k a
מאָראַל־פּאָליציי	m ɔ r a ɫ p ɔ l ɪ t͡s e ɪ̯
מאָרגן	m ɔ ʁ ɡ n̩
מאָרד	m ɔ ʀ d
מבול	m a b ɫ̩
מבולט	m a b ɫ̩ t
מבולען	m a b ɫ̩ ə n
מגילה	m ə ɡ ɪ ɫ ə
מגפֿה	m a ɡ ɛ ɪ̯ f ə
מדבר	m ɪ d b ə r
מדבריות	m ɪ d b ɔ ʁ j ə s
מדינה	m ə d ɪ n ə
מדינת־ישׂראל	m ɛ d i n ə s j i s r ɔ j l
מדרגה	m a d ʁ ɛ ɪ̯ ɡ ə
מה־דאָך	m a d ə x
מהלך	m ə h a ɫ ə χ
מודה זײַן	m e ɪ d ə z a ɪ n
מודה זײַן	m ɔ ɪ d ə z a ɪ n
מודה זײַן	m ɔ ɪ d ə z aː n
מוז	m ʊ z
מוזיי	m u z ɛ ɪ̯
מוזיקאַנט	m ʊ z ɪ k a n t
מוזיקער	m ʊ z ɪ k ə ʁ
מוזן	m ʊ z n̩
מוחל זײַן	m ɔ ɪ̯ χ ɫ̩ z a ɪ̯ n
מויל	m o ʊ̯ ɫ
מויל	m ɔ ɪ̯ ɫ
מויל	m ɔː ɫ
מויער	m o ʊ̯ ə r
מויער	m oː ə r
מויער	m ɔ j ə r
מוסד	m e ɪ̯ s ə d
מוסד	m ɔ ɪ̯ s ə d
מוסקאַט	m ʊ s k a t
מוסקל	m ʊ s k ɫ̩
מוסקלען	m ʊ s k ɫ̩ ə n
מופֿת	m ɔ ɪ̯ f ə s
מופֿתים	m ɔ f s ə m
מורא	m ɔ ɪ̯ ʁ ə
מוראַשקע	m ʊ ʁ a ʃ k ə
מוראַשקעס	m ʊ ʁ a ʃ k ə s
מוראדיק	m ɔ ɪ̯ ʁ ə d ɪ k
מושקאַט	m ʊ ʃ k a t
מושקעט	m ʊ ʃ k ə t
מזומן	m ə z ʊ m ə n
מזומנקע	m ə z ʊ m ə n k ə
מזיק	m a z ə k
מזל	m a z ɫ̩
מזל־טובֿ	m a z ɫ̩ t ɔ v
מזרח	m ɪ z ʁ ə χ
מזרח דײַטשלאַנד	m ɪ z ʁ ə χ d a t͡ʃ ɫ ɔ n d
מזרח דײַטשלאַנד	m ɪ z ʁ ə χ d a ɪ̯ t ʃ ɫ a n d
מזרח דײַטשלאַנד	m ɪ z ʁ ə χ d aː t͡ʃ ɫ a n d
מחבר	m ə χ a b ə ʁ
מחויבֿ	m ɛ χ ʊ j ə v
מחותּן	m ə χ ʊ t n̩
מחותּנים	m a χ ə t ɔ n ə m
מחותּנתטע	m ə χ ɪ t e ɪ̯ n ə s t ə
מחותּנתטע	m ə χ ʊ t ɛ n ə s t ə
מחיה	m ə χ a ɪ̯ ə
מחליט זײַן	m a χ ɫ ə t z a ɪ̯ n
מחמת	m a χ m ə s
מי־יודע	m ɪ j ə d ɛ ɪ̯ ə
מיאוס	m i ə s
מיד	m iː d
מיד	m ɪ d
מיזיניק	m ɪ z ɪ n ɪ k
מיזינקע	m ɪ z ɪ n k ɜ
מיטאָג	m ɪ t ɔ ɡ
מיטל	m ɪ t l̩
מיטן	m ɪ t n̩
מיטנעמען	m ɪ t n ɛ m ə n
מיידל	m ɛ ɪ̯ d ɫ̩
מיידלווײַז	m ɛ ɪ̯ d ɫ̩ v a ɪ̯ z
מיידלעך	m a ɪ̯ d ɫ ə χ
מיידלעך	m ɛ ɪ̯ d ɫ ə χ
מיידן	m e ɪ̯ d n̩
מיינונג	m a ɪ̯ n ɪ ŋ ɡ
מיינונג	m ɛ ɪ̯ n ʊ ŋ ɡ
מיינסטנס	m a ɪ̯ n s t n̩ s
מיינסטנס	m ɛ ɪ̯ n s t n̩ s
מייער	m ɛ ɪ̯ ə ʁ
מייערן	m ɛ ɪ̯ ə ʁ n
מיך	m ɪ χ
מיכאל	m ɪ χ uː ɫ
מיכאל	m ɪ χ ɔ ə l
מילא	m ɛ ɪ̯ ɫ ə
מילגרוים	m ɪ ɫ ɡ r ɔ ɪ̯ m
מיליאַרד	m ɪ ʎ j a ʁ d
מיליאָן	m ɪ ʎ j ɔ n
מילך	m ɪ l ə χ
מילך	m ɪ ɫ χ
מים	m a j ɪ m
מים	m a ɪ̯ ə m
מים	m i m
מינהג	m ɪ n ə ɡ
מינהגים	m ɪ n h ɔ ɡ ə m
מינוט	m ɪ n ɪ t
מינוט	m ɪ n ʊ t
מינוס	m ɪ n ʊ s
מיניבוס	m ɪ n ɪ b ʊ s
מיניסטעריום	m ɪ n ɪ s t ɛ r ɪ j ʊ m
מיסט	m ɪ s t
מיסטבאַרג	m ɪ s t b a ʁ ɡ
מיסטעריע	m ɪ s t ɛ ʁ j ə
מיסטקאַסטן	m ɪ s t k a s t n̩
מיסעס	m ɪ s ə s
מיצריש	m ɪ t͡s r ɪ ʃ
מיצרישן	m ɪ t͡s ʁ ɪ ʃ n̩
מיצרית	m ɪ t͡s ʁ ɪ s
מיר	m ɪ ʁ
מירל	m ɪ ʁ ɫ̩
מישונג	m ɪ ʃ ʊ ŋ ɡ
מישן	m ɪ ʃ n̩
מישער	m ɪ ʃ ə r
מכשיר	m a χ ʃ ə r
מכשפֿה	m a χ ʃ ɛ ɪ̯ f ə
מלאך	m a ɫ ə χ
מלחמה	m ɪ l χ ɔ m ə
מלך	m ɛ͡ɪ l ə χ
מלשין	m a ɫ ʃ n̩
מלשין זײַן	m a ɫ ʃ n̩ z a ɪ̯ n
ממש	m a m ə ʃ
מנורה	m n ɔ ɪ̯ r ə
מסביר זײַן	m a z b ə ʁ z a ɪ̯ n
מעגלעך	m ɛ ɡ ɫ ə χ
מעדוזע	m ɛ d ʊ z ə
מעדוזעס	m ɛ d ʊ z ə s
מעדיצין	m ɛ d ɪ t͡s i n
מעווע	m ɛ v ə
מעטשעט	m ɛ t ʃ ə t
מעכטיק	m ɛ χ t ɪ k
מעלדונג	m ɛ ɫ d ʊ ŋ
מענדל	m ɛ n d l̩
מענטע	m ɛ n t ə
מענטע־זשולעפּ	m ɛ n t ə ʒ ʊ ɫ ə p
מעניו	m ɛ ɲ u
מעניוען	m ɛ ɲ u ə n
מענער	m ɛ n ə ʁ
מעסער־אַקאַציע	m ɛ s ə r a k a t͡s j ə
מעקסיקע	m ɛ k s ɪ k ə
מעקער	m ɛ k ə ʁ
מעקערס	m ɛ k ə ʁ s
מערביק	m ɛ r b ɪ k
מערק	m ɛ ʁ k
מעשׂה	m a n s ə
מעשׂה	m a ɪ̯ s ə
מעשׂה	m aː s ə
מעשׂים	m a n s ə m
מעשׂים	m a ɪ̯ s ə m
מפּיל־קינד	m a p ɫ̩ k ɪ n d
מפּלה	m a p ɔ ɫ ə
מפּלען	m a p ɫ ə n
מצה	m a t͡s ə
מצות	m a t͡s ə s
מציאה	m ə t͡s i j ə
מציאות	m ə t͡s i j ə s
מצליח זײַן	m a t͡s ʎ i j ə χ z a ɪ̯ n
מצרים	m ɪ t͡s ʁ a j ə m
מרדכי	m ɔ ʁ t χ ə
משׂא	m a s ə
משׂא־פֿור	m a s ə f ʊ r
משוגע	m ə ʃ u ɡ ə
משוגע	m ɜ ʃ i ɡ ɜ
משוגע	m ɜ ʃ iː ɡ ɜ
משוגע	m ɜ ʃ ʊ ɡ ɜ
משוגעים	m ə ʃ ʊ ɡ ɔ ɪ m
משוגענער	m ə ʃ ʊ ɡ ə n ə ʁ
משוגענערווײַז	m ə ʃ ʊ ɡ ə n ə ʁ v a ɪ̯ z
משוגעת	m ə ʃ ɨ ɡ a s
משוגעת	m ə ʃ ɪ ɡ aː s
משוגעת	m ə ʃ ʊ ɡ a s
משיח	m ɔ ʃ i ə χ
משפּחה	m ɨ ʃ p u χ ɜ
משפּחה	m ɪ ʃ p uː χ ɜ
משפּחה	m ɪ ʃ p ɔ χ ɜ
משפּטן	m ɪ ʃ p ə t n̩
משרת	m ə ʃ ɔ ʁ ə s
מת	m ɛ ɪ̯ s
מתּנה	m a t ɔ n ə
מײַ	m a ɪ̯
מײַל	m a ɪ̯ ɫ
מײַן	m a ɪ̯ n
מײַן	m aː n
מײַנע	m a ɪ̯ n ə
מײַנעם	m a ɪ̯ n ə m
מײַנער	m a ɪ̯ n ə ʁ
מײַראַן	m a ɪ̯ r a n
נאַהיט	n a h i t
נאַטור	n a t ʊ ʁ
נאַטירלעך	n a t iː r l ə χ
נאַטירלעך	n a t ɪ r l ə χ
נאַטשאָ	n a t͡ʃ ɔ
נאַכט	n a χ t
נאַליווקע	n a ʎ ɪ f k ə
נאַליווקע	n a ʎ ɪ v k ə
נאַס	n a s
נאַריש	n a ʁ ɪ ʃ
נאַרישער	n a ʁ ɪ ʃ ə ʁ
נאַש	n a ʃ
נאַשן	n a ʃ n̩
נאָז	n ɔ z
נאָטיץ	n ɔ t ɪ t͡s
נאָך	n ɔ χ
נאָך אַלץ	n ɔ χ a ɫ t͡s
נאָכאַמאָל	n ɔ χ a m ɔ ɫ
נאָכגיין	n ɔ χ ɡ ɛ ɪ̯ n
נאָכמיטאָג	n ɔ χ m ɪ t ɔ ɡ
נאָמען	n u m ə n
נאָמען	n uː m ə n
נאָמען	n ɔ m ə n
נאָר	n ɔ ʁ
נאָרדמאַן־יאָדלע	n ɔ r d m a n j ɔ d l ə
נאָרוועגיע	n ɔ ʁ v ɛ ɡ j ə
נאָרמאַל	n ɔ ʁ m a ɫ
נבֿיא	n ɔ v i
נבֿיאה	n ə v ɪ j ə
נבֿיאות	n ə v ɪ j ə s
נבֿלה	n ə v ɛ ɪ̯ ɫ ə
נוגאַט	n ʊ ɡ a t
נודנע	n ʊ d n ə
נוי סוכּה	n ɔ ɪ̯ s ʊ k ə
נויטפֿאַל	n ɔ j t f a l
נול	n ʊ ɫ
נומער	n ʊ m ə ʁ
נותן	n ɔ ɪ s n̩
נותן	n ɛ ɪ s n̩
נחלה	n ɔ χ ɫ ə
נחת	n a χ ə s
נידעריק	n ɪ d ə ʁ ɪ k
ניי	n ɛ ɪ̯
נייטיק	n e ɪ̯ t ɪ k
נייטראַל	n ɛ ɪ̯ t r a l
ניין	n a ɪ̯ n
ניין	n ɛ ɪ̯ n
נייען	n ɛ ɪ̯ ə n
ניפֿטר	n ɪ f t ə ʁ
ניצול	n ɪ t͡s ɫ̩
ניצן	n ɪ t͡s n̩
נישטאָ	n ɪ ʃ t ɔ
נס	n ɛ s
נסיעה	n ɛ s i ə
נעבן	n ɛ b n̩
נעבעך	n ɛ b ə χ
נעבעכל	n ɛ b ə χ ɫ̩
נעגעלע	n ɛ ɡ ə ɫ ə
נעכטן	n ɛ χ t n̩
נעלם ווערן	n ɛ ɫ ə m v ɛ ʁ n̩
נעלקנאייל	n ɛ ɫ k n̩ ɛ ɪ̯ ɫ
נעם	n ɛ m
נעמען	n ɛ m ə n
נעקסט	n ɛ k s t
נפֿש	n e ɪ̯ f ɜ ʃ
נפֿש	n eː f ɜ ʃ
נפֿש	n i f ɜ ʃ
נפֿש	n ɛ f ɜ ʃ
נפֿש	n ɛ ɪ̯ f ɜ ʃ
נקבֿה	n ɜ k ɛ ɪ̯ v ɜ
נשמה	n ə ʃ oː m ə
נשמה	n ə ʃ u m ə
נשמה	n ə ʃ uː m ə
נשמה	n ə ʃ ɔ m ə
נײַ	n a ɪ̯
נײַן	n a n
נײַן	n a ɪ̯ n
נײַן	n aː n
נײַנט	n a ɪ̯ n t
נײַנציק	n a n t͡s ɨ k
נײַנציק	n a ɪ̯ n t͡s ɪ k
נײַנציק	n aː n t͡s ɪ k
נײַע	n a ɪ̯ ə
סאַדיזם	s a d ɪ z m̩
סאַדיסט	s a d ɪ s t
סאַדיסטיש	s a d ɪ s t ɪ ʃ
סאַוּדי אַראַביע	s a ʊ̯ d ɪ a ʁ a b j ə
סאַלאַט	s a ɫ a t
סאַמאָדערזשאַוויע	s a m ɔ d ɛ r ʒ a v j ɛ
סאַן מאַרינאָ	s a n m a ʁ ɪ n ɔ
סאַקסאָפֿאָן	s a k s ɔ f ɔ n
סאָדע	s ɔ d ə
סאָווע	s ɔ v ə
סאָוועטן־פֿאַרבאַנד	s ɔ v ɛ t n f a r b a n d
סאָוס	s ɔ ʊ s
סאָלדאַט	s ɔ ɫ d a t
סאָלדאַטן	s ɔ ɫ d a t n̩
סאָנדיי	s ɔ n d ɛ ɪ̯
סאָנדיי	s ʌ n d ɛ ɪ̯
סאָס	s ɔ s
סאָציאָלאָגיע	s ɔ t͡s j ɔ ɫ ɔ ɡ j ə
סאָרגע	s ɔ r ɡ ə
סאָרט	s ɔ ʁ t
סדר	s ɛ ɪ̯ d ə ʁ
סויע	s ɔ ɪ̯ ə
סויעמילך	s ɔ ɪ̯ ə m ɪ ɫ χ
סוכּה	s ɪ k ə
סוכּה	s ʊ k ə
סוכּות	s ɨ k ə s
סוכּות	s ɪ k ə s
סוכּות	s ʊ k ə s
סוף	s ɔ f
סוף־וואָך	s ɔ f v ɔ χ
סוף־סוף	s ɔ f s ɔ f
