ং	ŋ
পরশ্রীকাতরতা	p ɔ ɹ o s ɹ i k a t̪ ɹ ɔ t̪ a
পরা	p ɔ ɹ a
পরাগ	p ɔ ɹ a ɡ
পরাত	p ɔ ɹ a t̪
পরানো	p ɔ ɹ a n o
পরামর্শ	p ɔ r a m ɔ r ʃ o
পরামর্শদাতা	p ɔ ɹ a m ɔ ɹ ʃ ɔ d̪ a t̪ a
পরিকল্পনা	p o ɹ i k ɔ l p o n a
পরিচর্যা	p ɔ ɾ i t͡ʃ ɔ ɾ d͡ʒ a
পরিণতি	p o ɹ i n o t̪ i
পরিবর্তন	p o ɹ i b ɔ ɹ t̪ o n
পরিবর্তে	p o ɹ i b ɔ ɹ t̪ e
পরিবার	p o ɹ i b a ɹ
পরিশ্রম	p o ɹ i s ɹ ɔ m
পরিস্থিতি	p o ɹ i s t̪ʰ i t̪ i
পরী	p o ɹ i
পরেন্দা	p ɔ ɾ e n d̪ a
পরোয়া	p ɔ ɹ o̯ a
পর্তুগাল	p ɔ ɹ t̪ u ɡ a l
পর্দা	p ɔ ɹ d̪ a
পর্দানশীন	p ɔ ɹ d̪ a n ɔ ʃ i n
পর্ন	p ɔ ɹ n
পর্নো	p ɔ ɹ n o
পর্বত	p ɔ r b ɔ t
পল্টন	p ɔ l t ɔ n
পল্লি	p ɔ lː i
পশুপাল	p ɔ ʃ u p a l
পহু	p o ɦ u
পহেলা	p ɔ ɦ e l a
পা	p a
পাঁউরুটি	p a u̯ ɹ u t i
পাঁক	p a k
পাঁঠা	p a tʰ a
পাঁড়ে	p a ɾ e
পাঁতি	p a t̪ i
পাউরা	p a u ɾ a
পাওয়া	p a o̯ a
পাকস্থলী	p a k ɔ s t̪ʰ o l i
পাকা	p a k a
পাকিস্তান	p a k i s t̪ a n
পাখা	p a kʰ a
পাখি	p a kʰ i
পাখী	p a kʰ i
পাঙ্গাশ	p a ŋ a ʃ
পাঙ্গাশ	p a ŋ ɡ a ʃ
পাছা	p a s a
পাঠ	p a tʰ
পাঠা	p a tʰ a
পাঠান	p a tʰ a n
পাঠানো	p a tʰ a n o
পাড়া	p a ɹ a
পাণ	p a n
পাতক	p a t̪ ɔ k
পাতলা	p a t̪ l a
পাতা	p a t a
পাত্তা	p a t̪ː a
পাত্র	p a t̪ ɹ o
পাথর	p a tʰ o r
পাদটীকা	p a d̪ o t i k a
পাদ্রি	p a d̪ ɹ i
পান	p a n
পানি	p a n i
পানিয়ালা	p a n i a l a
পান্ডা	p a n d a
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পাপ	p a p
পাপকর্ম	p a p o k ɔ ɹ m o
পাপড়ি	p a p ɹ i
পাপী	p a p i
পাবনা	p a b n a
পাবনাইয়া	p a b n a i̯ a
পায়স	p a e ʃ
পারমাণবিক	p a ɹ o m a n o b i k
পারা	p a ɹ a
পারিবারিক	p a ɹ i b a ɹ i k
পার্কিং	p a ɹ k i ŋ
পার্থ	p a ɹ t̪ʰ o
পার্থক্য	p a ɹ t̪ʰ o kː o
পার্সেল	p a ɹ s e l
পার্সেল	p a ɹ ʃ e l
পালক	p a l o k
পালন	p a l o n
পালানো	p a l a n o
পাসরা	p a ʃ ɔ ɾ a
পাহাড়	p a h a ɽ
পাহুরা	p a ɦ u ɾ a
পিঠ	p i tʰ
পিঠা	p i ʈʰ a
পিতা	p i t̪ a
পিনাকী	p i n a k i
পিপলী	p i p ɔ l i
পিপ্পল	p i pː ɔ l
পিয়ন	p i̯ o n
পিয়া	p i̯ a
পিয়াস	p i̯ a ʃ
পিষা	p i ʃ a
পিসি	p i ʃ i
পিস্তল	p i s t̪ ɔ l
পুঁটি	p u t i
পুঁথি	p u t̪ʰ i
পুকুর	p u k u ɹ
পুঙ্খানুপুঙ্খ	p u ŋ kʰ a n u p u ŋ kʰ o
পুজো	p u d͡ʒ o
পুটকি	p u ʈ k i
পুত	p u t
পুতুল	p u t̪ u l
পুত্র	p u t̪ ɹ o
পুদিনা	p u d̪ i n a
পুনঃ	p u n ɔ h
পুনরুত্থান	p u n o ɹ u t̪ʰː a n
পুনরুত্থিত	p u n o ɹ u t̪ʰː i t̪ o
পুব	p u b
পুরনো	p u ɹ ɔ n o
পুরস্কার	p u ɹ o ʃ k a ɹ
পুরাণ	p u ɹ a n
পুরানো	p u ɹ a n o
পুরাপুরি	p u ɹ a p u ɹ i
পুরুষ	p u ɾ u ʃ
পুরুষাঙ্গ	p u ɹ u ʃ a ŋ ɡ o
পুরোনো	p u ɹ o n o
পুরোপুরি	p u ɹ o p u ɹ i
পুল	p u l
পুলিশ	p u l i ʃ
পুষ্প	p u ʃ p ɔ
পুস্তক	p u s t̪ ɔ k
পূতিবাত	p u t i b a t
পূরণ	p u ɹ o n
পূরণ	p u ɹ ɔ n
পূর্ণ	p u ɹ n o
পূর্ব	p u ɹ b o
পূর্ববাংলা	p u ɹ b ɔ b a ŋ l a
পৃথকীকরণ	p ɹ i t̪ʰ k i k ɹ o n
পৃথিবী	p ɹ i t̪ʰ i b i
পেঁচা	p ɛ̃ t ʃ a
পেঁড়া	p ɛ ɹ a
পেঁপে	p e p e
পেখম	p e kʰ ɔ m
পেটা	p e ʈ a
পেনিস	p e n i ʃ
পেয়ারা	p e a ɹ a
পেয়ালা	p e a l a
পেরু	p e ɹ u
পেরেক	p e ɹ e k
পেরেশান	p e ɹ e ʃ a n
পেস্তা	p e s t̪ a
পোকা	p o k a
পোড়া	p o ɽ a
পোশাক	p o ʃ a k
পৌনে	p o n e
পৌনে	p o u̯ n e
পৌষ	p o u̯ ʃ
প্যান্ডেল	p ɛ n d e l
প্যালেস্টাইন	p ɛ l e s t a i̯ n
প্যালেস্টাইন	p ɛ l e ʃ t a i̯ n
প্রকাশ	p ɹ o k a ʃ
প্রকাশিত	p ɹ o k a ʃ i t̪ o
প্রকৃত	p ɹ o k ɹ i t̪ o
প্রকৃতি	p ɹ o k ɹ i t̪ i
প্রতি	p ɹ o t̪ i
প্রতিজ্ঞা	p ɹ o t̪ i ɡː a
প্রতিধ্বনি	p ɹ o t̪ i d̪ʱː o n i
প্রতিমা	p ɹ o t̪ i m a
প্রতিশ্রুতি	p ɹ o t̪ i s ɹ u t̪ i
প্রতিষ্ঠিত	p ɹ o t̪ i ʃ tʰ i t̪ o
প্রত্যাশা	p ɹ o t̪ː a ʃ a
প্রত্যেক	p ɹ o t̪ː e k
প্রথম	p ɹ o t̪ʰ ɔ m
প্রধান	p ɹ o d̪ʱ a n
প্রভাব	p ɹ o bʱ a b
প্রভু	p ɹ o bʱ u
প্রভৃতি	p r o b h r i t i
প্রশিক্ষিত	p ɹ o ʃ i kʰː i t̪ o
প্রশ্ন	p ɹ o s n o
প্রশ্ন	p ɹ o ʃ n o
প্রসব	p ɾ o ʃ ɔ b
প্রস্তুত	p ɹ o s t̪ u t̪
প্রহরী	p ɹ o ɦ o ɹ i
প্রাকৃত	p ɹ a k i t̪ o
প্রাকৃত	p ɹ a k ɹ i t̪ o
প্রাকৃতিক	p ɹ a k ɹ i t̪ i k
প্রাণ	p ɹ a n
প্রাণী	p ɹ a n i
প্রাত	p ɹ a t̪
প্রাতরাশ	p ɹ a t̪ ɔ ɹ a ʃ
প্রায়	p ɹ a e̯
প্রিয়	p ɹ i̯ o
প্রীতম	p ɹ i t̪ o m
প্রীতি	p ɹ i t̪ i
প্রেম	p ɹ e m
প্রেমপীড়িত	p ɹ e m p i ɹ i t̪ o
প্রেমিক	p ɾ e m i k
প্রেমিকা	p ɹ e m i k a
প্রেরিত	p ɹ e ɹ i t̪ o
প্রোগ্রাম	p ɹ o ɡ ɹ a m
প্লাস্টিক	p l a s t i k
প্লাস্টিক	p l a ʃ t i k
প্লুটো	p l u t o
ফ	f ɔ
ফ	pʰ ɔ
ফ	ɸ ɔ
ফকিন্নি	f ɔ k i nː i
ফকির	f o k i ɹ
ফকীর	f o k i ɹ
ফটো	f o ʈ o
ফটোগ্রাফ	f ɔ t o ɡ ɹ a f
ফড়িং	f o ɹ i ŋ
ফতে	f o t̪ e
ফতোয়া	f ɔ t̪ o̯ a
ফয়সালা	f ɔ e̯ s a l a
ফরমান	f ɔ ɹ o m a n
ফরাসি	f ɔ ɹ a ʃ i
ফরিয়াদ	f o ɹ i̯ a d̪
ফল	f ɔ l
ফল	pʰ ɔ l
ফল	ɸ ɔ l
ফলসা	pʰ ɔ l ʃ a
ফলাফল	f ɔ l a f ɔ l
ফাটাফাটি	f a t a f a t i
ফাতেমা	f a t̪ e m a
ফানুস	f a n u ʃ
ফায়দা	f a e̯ d̪ a
ফারহান	f a ɾ ɦ a n
ফারহানা	f a ɾ ɦ a n a
ফারাক	f a ɹ a k
ফারাহ	f a ɹ a
ফারুক	f a r u k
ফালতু	f a l t̪ u
ফালুদা	f a l u d̪ a
ফাল্গুন	f a l ɡ u n
ফাল্গুন	pʰ a l ɡ u n
ফাস	f a s
ফাহাদ	f a ɦ a d̪
ফাহ্মী	f a ɦ m i
ফিতা	f i t̪ a
ফিনল্যান্ড	f i n l æ n d
ফিরিঙ্গি	f i ɹ i ŋ ɡ i
ফিরেবার	f i ɹ e b a ɹ
ফিলিপাইন	f i l i p a i̯ n
ফিলিস্তিন	f i l i s t̪ i n
ফুটপাত	f u t p a t̪
ফুটপাথ	f u t p a t̪ʰ
ফুটবল	pʰ u ʈ ɔ b ɔ l ɔ
ফুটি	pʰ u ʈ i
ফুফু	f u f u
ফুয়েল	f u̯ e l
ফুরসত	f u ɹ ʃ ɔ t̪
ফুর্তি	f u ɹ t̪ i
ফুল	f u l
ফুল	pʰ u l
ফুল	ɸ u l
ফেনা	f ɛ n a
ফেব্রুয়ারি	f e b ɹ u̯ a ɹ i
ফেরদৌস	f e ɹ d̪ o s
ফেরদৌস	f e ɹ d̪ o u̯ s
ফেরা	f e ɹ a
ফেরেশতা	f e ɹ e s t̪ a
ফেলা	f ɛ l a
ফেসবুক	pʰ e ʃ b u k
ফোঁটা	f o t a
ফোটা	f o t a
ফোটানো	f o t a n o
ফোড়া	f o ɹ a
ফোন	f o n
ফোরাত	f o ɹ a t̪
ফোলা	f o l a
ফোলা	pʰ o l a
ফোলা	ɸ o l a
ফোলানো	pʰ o l a n o
ফ্যান	f ɛ n
ফ্যাসিবাদ	f æ s i b a d̪
ফ্রেশ	f ɹ e ʃ
ফ্লপি	f l ɔ p i
ফ্ল্যাগ	f l ɛ ɡ
ফ্ল্যাট	pʰ l e̯ a ʈ
ব	b ɔ
বঁধু	b ɔ d̪ʱ u
বংশ	b ɔ ŋ ʃ o
বংশধর	b ɔ ŋ ʃ o d̪ʱ ɔ ɹ
বই	b o i
বউ	b o u̯
বক	b ɔ k
বকশিশ	b o k ʃ i ʃ
বকুল	b o k u l
বক্তৃতা	b o k t̪ ɹ i t̪ a
বগ	b ɔ ɡ
বগদাদ	b ɔ ɡ d̪ a d̪
বগল	b ɔ ɡ o l
বগা	b ɔ ɡ a
বগী	b o ɡ i
বগুড়া	b o ɡ u ɾ a
বঙ্গ	b ɔ ŋ ɡ o
বঙ্গালী	b ɔ ŋ ɡ a l i
বট	b ɔ t
বড়	b ɔ ɹ
বড়	b ɔ ɹ o
বড়ি	b o ɹ i
বত্ব	b ɔ t̪ː o
বদমাইশ	b ɔ d̪ m a i̯ ʃ
বদলে	b ɔ d o l e
বন	b o n
বন	b ɔ n
বনশ্রী	b o n o s ɹ i
বনানী	b ɔ n a n i
বন্দর	b ɔ n d̪ ɔ ɹ
বন্দ্যোপাধ্যায়	b ɔ n d̪ o p a d̪ʱː a e̯
বন্ধ	b ɔ n d̪ʱ o
বন্ধু	b o n d̪ʱ u
বন্ধুত্ব	b o n d̪ʱ u t̪ː o
বন্ধুহীন	b ɔ n d̪ u ɦ i n
বন্ধুহীন	b ɔ n d̪ʱ u ɦ i n
বন্যা	b ɔ nː a
বন্‌ধ	b ɔ n d̪ʱ
বমি	b o m i
বম্বে	b ɔ m b e
বয়ঃসন্ধি	b ɔ e̯ ɔ h ʃ ɔ n d̪ʱ i
বয়স	b ɔ e̯ o ʃ
বয়স	b ɔ e̯ ʃ
বয়স্ক	b ɔ e̯ o s k o
বয়ান	b ɔ e̯ a n
বর	b ɔ ɹ
বরং	b ɔ ɹ o ŋ
বরকত	b ɔ ɹ k o t̪
বরফ	b ɔ ɹ o f
বরবাদ	b ɔ ɹ b a d̪
বর্গি	b o ɹ ɡ i
বর্ণ	b ɔ ɹ n o
বর্ণনা	b ɔ ɹ n o n a
বর্ণমালা	b ɔ ɹ n o m a l a
বর্তমান	b ɔ ɹ t̪ o m a n
বর্ধমান	b ɔ ɹ d̪ʱ o m a n
বর্মা	b ɔ r m a
বর্ষ	b ɔ r ʃ ɔ
বর্ষণবিধৌত	b ɔ ɹ ʃ ɔ n b i d̪ʱ o u̯ t̪
বর্ষা	b ɔ ɹ ʃ a
বলকান	b ɔ l o k a n
বলদ	b ɔ l o d̪
বলা	b ɔ l a
বলিউড	b o l i u̯ d
বলিদান	b o l i d̪ a n
বল্টু	b ɔ l t u
বশির	b o ʃ i ɹ
বস	b ɔ s
বসন্ত	b ɔ ʃ o n t̪ o
বসবাস	b ɔ s o b a ʃ
বসবাসকারী	b ɔ s o b a ʃ k a ɹ i
বসা	b ɔ ʃ a
বসু	b ɔ ʃ u
বসুন্ধরা	b o ʃ u n d̪ʱ ɔ ɹ a
বস্তা	b ɔ s t̪ a
বস্তু	b ɔ s t̪ u
বহু	b o ɦ u
বহুব্রীহি	b o ɦ u b ɹ i ɦ i
বহেড়া	b ɔ ɦ e ɹ a
বা	b a
বাঁ	b a
বাঁকা	b a k a
বাঁড়া	b a ɹ a
বাঁদর	b a d̪ o ɹ
বাঁধ	b a d̪ʱ
বাংলা	b a ŋ l a
বাংলাদেশ	b a ŋ l a d̪ e ʃ
বাংলাদেশী	b a ŋ l a d̪ e ʃ i
বাংলাদেশে	b a ŋ l a d̪ e ʃ e
বাংলায়	b a ŋ l a e̯
বাইট	b a i̯ t
বাইবেল	b a i̯ b e l
বাউল	b a u̯ l
বাকি	b a k i
বাকী	b a k i
বাক্য	b a kː o
বাক্স	b a k ʃ o
বাগ	b a ɡ
বাগধারা	b a ɡ d̪ʱ a ɹ a
বাগান	b a ɡ a n
বাগার	b a ɡ a ɹ
বাগেরহাট	b a ɡ e ɾ ɦ a t
বাঘ	b a ɡʱ
বাঘিনি	b a ɡʱ i n i
বাঙালি	b a ŋ a l i
বাঙ্গালী	b a ŋ ɡ a l i
বাটপাড়	b a t p a ɹ
বাটি	b a t i
বাড়া	b a ɹ a
বাড়ি	b a ɹ i
বাড্ডা	b a dː a
বাত	b a t̪
বাতাস	b a t a ʃ
বাদ	b a d̪
বাদক	b a d̪ ɔ k
বাদশাহ	b a d̪ ʃ a
বাদাম	b a d̪ a m
বাদুড়	b a d̪ u ɹ
বান	b a n
বানর	b a n o ɾ
বানান	b a n a n
বানানো	b a n a n o
বান্দর	b a n d̪ o ɹ
বান্দরবান	b a n d̪ o ɹ b a n
বান্দরবান	b a n d̪ o ɹ b ɔ n
বান্ধবী	b a n d̪ʱ o b i
বাপ্তিস্ম	b a p t̪ i s m o
বাবলা	b a b l a
বাবা	b a b a
বাবুই	b a b u̯ i
বাম	b a m
বায়ু	b a j u
বার	b a ɹ
বারণ	b a r o n
বারাণসী	b a ɾ a n o ʃ i
বারান্দা	b a ɹ a n d̪ a
বারি	b a ɹ i
বারিধারা	b a ɹ i d̪ʱ a ɹ a
বারুশ	b a ɹ u ʃ
বারো	b a ɹ o
বার্তাকু	b a ɹ t̪ a k u
বার্মা	b a r m a
বাল	b a l
বালতি	b a l t̪ i
বালি	b a l i
বালিশ	b a l i ʃ
বাল্যবিবাহ	b a lː o b i b a ɦ o
বাষ্প	b a ʃ p o
বাস	b a s
বাস	b a ʃ
বাসনা	b a ʃ n a
বাসনা	b a ʃ o n a
বাসন্তী	b a ʃ o n t̪ i
বাসমতী	b a ʃ m ɔ t̪ i
বাসা	b a ʃ a
বাহানা	b a ɦ a n a
বাহার	b a ɦ a ɹ
বাহির	b a ɦ i ɾ
বিকাল	b i k a l
বিজেপি	b i d͡ʒ e p i
বিজ্ঞান	b i ɡː a n
বিজ্ঞান	b i ɡː æ n
বিজ্ঞানী	b i ɡː ɛ n i
বিজ্ঞাপন	b i ɡː a p o n
বিড়াল	b i ɹ a l
বিড়ি	b i ɹ i
বিদায়	b i d̪ a e̯
বিদেশ	b i d̪ e ʃ
বিদেশি	b i d̪ e ʃ i
বিদেশিনী	b i d̪ e ʃ i n i
বিদ্যুৎ	b i d d u t
বিধবা	b i d̪ʱ o b a
বিনষ্ট	b i n ɔ ʃ t o
বিনা	b i n a
বিনোদ	b i n o d̪
বিন্দু	b i n d̪ u
বিপরীতকামী	b i p o ɹ i t̪ k a m i
বিপাশা	b i p a ʃ a
বিবাহ	b i b a ɦ o
বিবেক	b i b e k
বিভাগ	b i bʱ a ɡ
বিভিন্ন	b i bʱ i nː o
বিভিন্নতা	b i bʱ i nː o t̪ a
বিভিন্নতা	b i bʱ i nː ɔ t̪ a
বিমল	b i m ɔ l
বিমা	b i m a
বিয়াই	b i̯ a i̯
বিয়ান	b i̯ a n
বিয়ে	b i̯ e
বিরল	b i ɹ ɔ l
বিরান	b i ɹ a n
বিরিয়ানি	b i ɹ i̯ a n i
বিরুদ্ধে	b i ɾ u d̪ʱː e
বিলাই	b i l a i̯
বিলাতি	b i l a t̪ i
বিলিতি	b i l i t̪ i
বিলেতি	b i l e t̪ i
বিল্ব	b i l l o
বিশ	b i ʃ
বিশাল	b i ʃ a l
বিশেষ	b i ʃ e ʃ
বিশেষজ্ঞ	b i ʃ e ʃ ɔ ɡ ɡ ɔ
বিশেষণ	b i ʃ e ʃ ɔ n
বিশেষ্য	b i ʃ e ʃː o
বিশ্ব	b i ʃː o
বিশ্বব্যাপী	b i ʃː o b æ p i
বিশ্বশক্তি	b i ʃː ɔ ʃ ɔ k t̪ i
বিশ্বস্ত	b i ʃː ɔ s t̪ o
বিশ্বাস	b i ʃː a ʃ
বিশ্রী	b i s ɹ i
বিষ	b i ʃ
বিষয়	b i ʃ ɔ e̯
বিষয়ে	b i ʃ ɔ e
বিষ্টু	b i ʃ ʈ u
বিষ্যুদবার	b i ʃː u d̪ b a ɹ
বিসমিল্লাহ	b i s m i lː a
বিসর্গ	b i ʃ ɔ r ɡ o
বিস্কুট	b i s k u t
বিস্তারিত	b i s t̪ a ɹ i t̪ o
বিহার	b i ɦ a ɹ
বিহ্বল	b i u̯ bʱ ɔ l
বীচি	b i s i
বীচি	b i t s i
বীচি	b i t ʃ i
বীণা	b i n a
বীর	b i ɹ
বুত	b u t̪
বুদাপেস্ট	b u d̪ a p e s t
বুদাপেস্ট	b u d̪ a p e ʃ t
বুদ্ধি	b u d̪ʱː i
বুধবার	b u d̪ʱ b a ɹ
বুর্সা	b u ɹ s a
বুলবুল	b u l b u l
বুশরা	b u ʃ ɹ a
বৃক্ক	b ɹ i kː o
বৃক্ষ	b r i k kʰ o
বৃশ্চিক	b r i ʃ t ʃ i k
বৃষ্টি	b ɹ i ʃ t i
বৃহস্পতি	b ɹ i ɦ ɔ ʃ p o t̪ i
বৃহস্পতিবার	b ɹ i ɦ ɔ ʃ p o t̪ i b a ɹ
বেওয়াকেফ	b e o̯ a k e f
বেকুব	b e k u b
বেগ	b e ɡ
বেগম	b e ɡ o m
বেগুন	b e ɡ u n
বেটা	b æ t a
বেড়াল	b e ɽ a l
বেদনা	b e d̪ o n a
বেদানা	b e d a n a
বেদে	b e d̪ e
বেনারস	b e n a ɾ ɔ ʃ
বেপরোয়া	b e p ɔ ɹ o̯ a
বেরাদর	b e ɹ a d̪ ɔ ɹ
বেরোনো	b e r o n o
বেল	b e l
বেলফাস্ট	b e l f a s t
বেলফাস্ট	b e l f a ʃ t
বেলা	b ɛ l a
বেলারুশ	b e l a ɹ u ʃ
বেলি	b e l i
বেশী	b e ʃ i
বেশুমার	b e ʃ u m a ɹ
বেশ্যা	b e ʃː a
বেসন	b ɛ ʃ o n
বেসিং	b e s i ŋ
বেহালা	b e ɦ a l a
বেহেশ্ত	b e ɦ e s t̪
বেহেশ্ত	b e ɦ e ʃ t̪
বৈকঙ্কত	b o i̯ k ɔ ŋ k ɔ t
বৈঠা	b o i̯ tʰ a
বৈশাখ	b o i̯ ʃ a kʰ
বৈশিষ্ট্য	b o i̯ ʃ i ʃ tː o
বৈশ্য	b o i ʃ ʃ o
বৈষ্ণব	b o i̯ ʃ n ɔ b
বোকা	b o k a
বোতল	b o t̪ o l
বোতাম	b o t̪ a m
বোধ	b o d̪ʱ
বোন	b o n
বোবা	b o b a
বোমা	b o m a
বোম্বাই	b o m b a i̯
বোরকা	b o ɹ k a
বোরকা	b o ɹ kʰ a
বোষ্টম	b o ʃ t ɔ m
বোস	b o ʃ
বৌদ্ধ	b o u̯ d̪ʱː o
ব্যক্তি	b e k t̪ i
ব্যক্তিত্ব	b e k t i t t o
ব্যথা	b ɛ t̪ʰ a
ব্যবসা	b ɛ b ʃ a
ব্যবস্থা	b ɛ b o s t̪ʰ a
ব্যবহার	b æ b o ɦ a ɾ
ব্যস	b ɛ s
ব্যস্ত	b ɛ s t̪ o
ব্যাকরণ	b ɛ k ɹ o n
ব্যাঘ্র	b æ ɡʱ r ɔ
ব্যাঙ্ক	b ɛ ŋ k o
ব্যাঙ্কক	b æ ŋ k ɔ k
ব্যাদ	b ɛ d̪
ব্যাধি	b æ dʱ i
ব্যাপক	b ɛ p ɔ k
ব্যাপার	b ɛ p a ɹ
ব্যায়াম	b e a m
ব্যায়াম	b ɛ a m
ব্যাস	b ɛ s
ব্রণ	b ɹ ɔ n
ব্রত	b ɹ o t̪ o
ব্রহ্মদেশ	b r ɔ m ɦ ɔ d e ʃ
ব্রহ্মপুত্র	b r o m m o p u t̪ ɹ o
ব্রাহ্ম	b ɹ a m ɦ o
ব্রাহ্ম	b ɹ a mː o
ব্রাহ্মণ	b ɾ a m ɦ o n
ব্রাহ্মণ	b ɾ a mː o n
ব্রাহ্মণবাড়িয়া	b ɹ a m ɦ o n b a ɹ i̯ a
ব্রাহ্মণবাড়িয়া	b ɹ a mː o n b a ɹ i̯ a
ব্রিটেন	b ɹ i t e n
ব্লগ	b l ɔ ɡ
বৎসর	b ɔ t̪ ʃ ɔ ɹ
ভ	bʱ o
ভগবান	bʱ ɔ ɡ o b a n
ভগিনী	bʱ o ɡ i n i
ভণ্ড	bʱ ɔ n d o
ভদকা	bʱ ɔ d̪ o k a
ভদ্রলোক	bʱ ɔ d̪ ɹ o l o k
ভনভন	bʱ ɔ n bʱ ɔ n
ভব	bʱ ɔ b o
ভবিষ্যতে	bʱ ɔ b i ʃ ʃ ɔ t̪ e
ভবিষ্যদ্বাণী	bʱ o b i ʃː ɔ d̪ b a n i
ভবিষ্যৎ	bʱ o b i ʃː ɔ t̪
ভয়	bʱ ɔ e̯
ভরতনাট্যম	bʱ ɔ ɹ t̪ n a tː o m
ভরসা	bʱ ɔ ɹ o ʃ a
ভর্তা	bʱ ɔ ɹ t̪ a
ভাং	bʱ a ŋ
ভাই	bʱ a i̯
ভাইরাস	bʱ a i̯ ɹ a s
ভাগ	bʱ a ɡ
ভাগ্য	bʱ a ɡː o
ভাঙা	bʱ a ŋ a
ভাঙা	v a ŋ a
ভাটা	bʱ a t a
ভাটি	bʱ a t i
ভাড়া	bʱ a ɹ a
ভাড়াটিয়া	bʱ a ɽ a ʈ i̯ a
ভাড়াটে	bʱ a ɹ a t e
ভাণ্ডার	bʱ a n d a ɹ
ভাত	bʱ a t̪
ভাতার	bʱ a t̪ a ɹ
ভাদ্র	bʱ a d̪ ɹ o
ভাব	bʱ a b
ভাবনা	bʱ a b n a
ভাবনা	bʱ a b ɔ n a
ভাবে	bʱ a b e
ভারত	bʱ a ɹ o t̪
ভারতীয়	bʱ a ɹ o t̪ i̯ o
ভারতে	bʱ a ɹ ɔ t̪ e
ভাল	bʱ a l
ভাল	bʱ a l o
ভালবাসা	bʱ a l ɔ b a ʃ a
ভালভা	bʱ a l bʱ a
ভালুক	bʱ a l u k
ভালুক	v a l u k
ভালো	bʱ a l o
ভালোনাম	bʱ a l o n a m
ভালোবাসা	bʱ a l o b a ʃ a
ভালোভাবে	bʱ a l o bʱ a b e
ভাল্লুক	bʱ a lː u k
ভাশুর	bʱ a ʃ u ɹ
ভাষা	bʱ a ʃ a
ভাসা	bʱ a ʃ a
ভাসুর	bʱ a ʃ u ɹ
ভাস্বর	bʱ a ʃː ɔ ɹ
ভিডিও	bʱ i d i̯ o
ভিত	bʱ i t̪ o
ভিতরে	bʱ i t̪ ɔ ɹ e
ভিত্তি	bʱ i t̪ː i
ভিত্তিপ্রস্তর	bʱ i t̪ː i p ɹ o s t̪ ɔ ɹ
ভিয়েতনাম	v i j e t̪ n a m
ভিসা	bʱ i ʃ a
ভিসি	bʱ i ʃ i
ভুঁই	bʱ u̯ i
ভুঁড়ি	bʱ u ɹ i
ভুখ	bʱ u kʰ
ভুটান	bʱ u t a n
ভুট্টা	bʱ u tː a
ভুবন	bʱ u b o n
ভুয়া	bʱ u̯ a
ভুল	bʱ u l
ভূত	bʱ u t̪
ভূমধ্যসাগর	bʱ u m o d dʱ ɔ ʃ a ɡ o r
ভূমি	bʱ u m i
ভূমিপুত্র	bʱ u m i p u t̪ ɹ o
ভেটা	bʱ e t a
ভেড়া	bʱ æ ɽ a
ভেড়া	bʱ æ ɾ a
ভেড়া	bʱ æ̃ ɽ a
ভেড়া	bʱ æ̃ ɾ a
ভেতরে	bʱ e t̪ ɔ ɹ e
ভোগা	bʱ o ɡ a
ভোদা	bʱ o d a
ভোর	bʱ o ɹ
ভৌম	bʱ o u̯ m o
ভ্রাতা	bʱ ɹ a t̪ a
ভ্লাদিমির	bʱ l a d̪ i m i ɹ
ম	m ɔ
মই	m ɔ i
মওলা	m ɔ o̯ l a
মওলানা	m ɔ o̯ l a n a
মকতব	m ɔ k t̪ o b
মকতব	m ɔ k t̪ ɔ b
মঙ্গল	m ɔ ŋ ɡ ɔ l
মঙ্গলবার	m o ŋ ɡ o l b a ɹ
মঙ্গল্য	m o n ɡ o lː ɔ
মড়া	m ɔ ɹ a
মণি	m o n i
মণিপুর	m o n i p u ɹ
মণীশ	m o n i ʃ
মণ্ডল	m o n d o l
মণ্ডলী	m ɔ n ɖ o l i
মত	m o t̪ o
মত	m ɔ t̪
মত	m ɔ t̪ o
মতি	m o t̪ i
মতো	m ɔ t̪ o
মদ	m ɔ d̪
মদ্যপান	m ɔ d d o p a n
মধু	m o d̪ʱ u
মধুর	m o d̪ʱ u ɾ
মধ্য	m o d̪ʱː o
মধ্যে	m ɔ d̪ʱː e
মন	m o n
মন	m ɔ n o
মনপ্রাণ	m ɔ n p ɹ a n
মনমোহন	m ɔ n m ɔ ɦ ɔ n
মনসা	m ɔ n o ʃ a
মনিব	m o n i b
মনির	m o n i ɹ
মনিষ	m o n i ʃ
মনুষ্য	m o n u ʃː o
মনোব্যথা	m o n o b ɛ t̪ʰ a
মনোয়ার	m o n o̯ a ɹ
মনোয়ারা	m o n o̯ a ɹ a
মনোরমা	m o n o ɹ ɔ m a
মন্ত্রী	m o n t̪ ɹ i
মন্দ	m ɔ n d̪
মন্দ	m ɔ n d̪ o
মন্দ	m ɔ n d̪ ɔ
মন্দা	m ɔ n d a
মফস্বল	m ɔ f o ʃː ɔ l
মম	m ɔ m o
ময়দা	m ɔ e̯ d̪ a
ময়দান	m ɔ e̯ d̪ a n
ময়না	m ɔ e̯ n a
ময়মনসিংহ	m ɔ e̯ m o n ʃ i ŋ ɦ o
ময়ূর	m ɔ j u ɹ
ময়ূর	m ɔ j u ɽ
ময়ূর	m ɔ j u ɾ
