Abae	aː b e
scissōrī	ʃ i s s ɔː r i
scissōs	ʃ i s s o s
scissū	ʃ i s s u
scissūra	ʃ i s s uː r a
scissūrae	ʃ i s s uː r e
scissūram	ʃ i s s uː r a m
scissūre	ʃ i s s uː r e
scissūrum	ʃ i s s uː r u m
scissūrārum	ʃ i s s u r aː r u m
scissūrās	ʃ i s s uː r a s
scissūrī	ʃ i s s uː r i
scissūrīs	ʃ i s s uː r i s
scissūrō	ʃ i s s uː r o
scissūrōrum	ʃ i s s u r ɔː r u m
scissūrōs	ʃ i s s uː r o s
scit	ʃ i t
scium	ʃ iː u m
sciunt	ʃ iː u n t
sciuntor	ʃ i u n t o r
sciuntur	ʃ i u n t u r
sciuntō	ʃ i u n t o
sciā	ʃ iː a
sciāminī	ʃ i aː m i n i
sciāmur	ʃ i aː m u r
sciāmus	ʃ i aː m u s
sciāre	ʃ i aː r e
sciāris	ʃ i aː r i s
sciārum	ʃ i aː r u m
sciās	ʃ iː a s
sciātis	ʃ i aː t i s
sciātur	ʃ i aː t u r
sciēbam	ʃ i ɛː b a m
sciēbant	ʃ i ɛː b a n t
sciēbantur	ʃ i e b a n t u r
sciēbar	ʃ i ɛː b a r
sciēbat	ʃ i ɛː b a t
sciēbāminī	ʃ i e b aː m i n i
sciēbāmur	ʃ i e b aː m u r
sciēbāmus	ʃ i e b aː m u s
sciēbāre	ʃ i e b aː r e
sciēbāris	ʃ i e b aː r i s
sciēbās	ʃ i ɛː b a s
sciēbātis	ʃ i e b aː t i s
sciēbātur	ʃ i e b aː t u r
sciēminī	ʃ i ɛː m i n i
sciēmur	ʃ i ɛː m u r
sciēmus	ʃ i ɛː m u s
sciēre	ʃ i ɛː r e
sciēris	ʃ i ɛː r i s
sciērunt	ʃ i ɛː r u n t
sciēs	ʃ iː e s
sciētis	ʃ i ɛː t i s
sciētur	ʃ i ɛː t u r
sciī	ʃ iː i
sciīs	ʃ iː i s
sciōrum	ʃ i ɔː r u m
sciōs	ʃ iː o s
sciūrō	ʃ i uː r o
scolyme	s k ɔː l i m e
scolymon	s k ɔː l i m o n
scolymus	s k ɔː l i m u s
scolymī	s k ɔː l i m i
scolymīs	s k ɔː l i m i s
scolymō	s k ɔː l i m o
scolymōrum	s k o l i m ɔː r u m
scorpiōrum	s k o r p i ɔː r u m
screātus	s k r e aː t u s
scrobe	s k r ɔː b e
scrībenda	s k r i b ɛ n d a
scrībendum	s k r i b ɛ n d u m
scrīberis	s k r i b ɛː r i s
scrīberis	s k r iː b e r i s
scrībunda	s k r i b u n d a
scrībundae	s k r i b u n d e
scrībundam	s k r i b u n d a m
scrībunde	s k r i b u n d e
scrībundum	s k r i b u n d u m
scrībundus	s k r i b u n d u s
scrībundārum	s k r i b u n d aː r u m
scrībundās	s k r i b u n d a s
scrībundī	s k r i b u n d i
scrībundīs	s k r i b u n d i s
scrībundō	s k r i b u n d o
scrībundōrum	s k r i b u n d ɔː r u m
scrībundōs	s k r i b u n d o s
scrībās	s k r iː b a s
scrīpserimus	s k r i p s e r iː m u s
scrīpserimus	s k r i p s ɛː r i m u s
scrīpseris	s k r i p s e r i s
scrīpseritis	s k r i p s e r iː t i s
scrīpseritis	s k r i p s ɛː r i t i s
scrīpta	s k r i p t a
scrīptūra	s k r i p t uː r a
scrīptūrae	s k r i p t uː r e
scrīptūram	s k r i p t uː r a m
scrīptūrā	s k r i p t uː r a
scrīptūrārum	s k r i p t u r aː r u m
scrīptūrās	s k r i p t uː r a s
scrīptūrīs	s k r i p t uː r i s
scrōta	s k r ɔː t a
scrōtī	s k r ɔː t i
scrūpule	s k r uː p u l e
scrūpulī	s k r uː p u l i
scrūpulīs	s k r uː p u l i s
scrūpulō	s k r uː p u l o
scrūpulōrum	s k r u p u l ɔː r u m
scrūpulōs	s k r uː p u l o s
scrūtō	s k r uː t o
sculptō	s k u l p t o
sculptūrātus	s k u l p t u r aː t u s
scutellae	s k u t ɛ l l e
scutellam	s k u t ɛ l l a m
scutellārum	s k u t e l l aː r u m
scutellās	s k u t ɛ l l a s
scutellātus	s k u t e l l aː t u s
scutellīs	s k u t ɛ l l i s
scutrae	s k uː t r e
scutram	s k uː t r a m
scutrārum	s k u t r aː r u m
scutrās	s k uː t r a s
scutrīs	s k uː t r i s
scutulae	s k uː t u l e
scutulam	s k uː t u l a m
scutulārum	s k u t u l aː r u m
scutulās	s k uː t u l a s
scutulātus	s k u t u l aː t u s
scutulīs	s k uː t u l i s
scynifēs	ʃ iː n i f e s
scyniphēs	ʃ iː n i f e s
scyphe	ʃ iː f e
scyphum	ʃ iː f u m
scyphī	ʃ iː f i
scyphīs	ʃ iː f i s
scyphō	ʃ iː f o
scyphōrum	ʃ i f ɔː r u m
scyphōs	ʃ iː f o s
scēna	ʃ ɛː n a
scēnica	ʃ ɛː n i k a
scēnicī	ʃ ɛː n i t͡ʃ i
scēnicō	ʃ ɛː n i k o
scēnofactōrius	ʃ e n o f a k t ɔː r i u s
scī	ʃ iː
scībam	ʃ iː b a m
scībant	ʃ iː b a n t
scībantur	ʃ i b a n t u r
scībar	ʃ iː b a r
scībat	ʃ iː b a t
scībere	ʃ iː b e r e
scīberis	ʃ iː b e r i s
scībiminī	ʃ i b iː m i n i
scībimur	ʃ iː b i m u r
scībimus	ʃ iː b i m u s
scībis	ʃ iː b i s
scībit	ʃ iː b i t
scībitis	ʃ iː b i t i s
scībitur	ʃ iː b i t u r
scībor	ʃ iː b o r
scībunt	ʃ iː b u n t
scībuntur	ʃ i b u n t u r
scībāminī	ʃ i b aː m i n i
scībāmur	ʃ i b aː m u r
scībāmus	ʃ i b aː m u s
scībāre	ʃ i b aː r e
scībāris	ʃ i b aː r i s
scībās	ʃ iː b a s
scībātis	ʃ i b aː t i s
scībātur	ʃ i b aː t u r
scībō	ʃ iː b o
scīminī	ʃ iː m i n i
scīmur	ʃ iː m u r
scīmus	ʃ iː m u s
scīram	ʃ iː r a m
scīrant	ʃ iː r a n t
scīrat	ʃ iː r a t
scīre	ʃ iː r e
scīrem	ʃ iː r e m
scīrent	ʃ iː r e n t
scīrentur	ʃ i r ɛ n t u r
scīrer	ʃ iː r e r
scīret	ʃ iː r e t
scīrim	ʃ iː r i m
scīrimus	ʃ iː r i m u s
scīrint	ʃ iː r i n t
scīris	ʃ iː r i s
scīrit	ʃ iː r i t
scīritis	ʃ iː r i t i s
scīrunt	ʃ iː r u n t
scīrāmus	ʃ i r aː m u s
scīrās	ʃ iː r a s
scīrātis	ʃ i r aː t i s
scīrēminī	ʃ i r ɛː m i n i
scīrēmur	ʃ i r ɛː m u r
scīrēmus	ʃ i r ɛː m u s
scīrēre	ʃ i r ɛː r e
scīrēris	ʃ i r ɛː r i s
scīrēs	ʃ iː r e s
scīrētis	ʃ i r ɛː t i s
scīrētur	ʃ i r ɛː t u r
scīrī	ʃ iː r i
scīrīmus	ʃ i r iː m u s
scīrītis	ʃ i r iː t i s
scīrō	ʃ iː r o
scīrōnia	ʃ i r ɔː n i a
scīrōniae	ʃ i r ɔː n i e
scīrōniam	ʃ i r ɔː n i a m
scīrōnie	ʃ i r ɔː n i e
scīrōnium	ʃ i r ɔː n i u m
scīrōniā	ʃ i r ɔː n i a
scīrōniārum	ʃ i r o n i aː r u m
scīrōniās	ʃ i r ɔː n i a s
scīrōniī	ʃ i r ɔː n i i
scīrōniīs	ʃ i r ɔː n i i s
scīrōniō	ʃ i r ɔː n i o
scīrōniōrum	ʃ i r o n i ɔː r u m
scīrōniōs	ʃ i r ɔː n i o s
scīs	ʃ i s
scīscam	ʃ i s k a m
scīscant	ʃ i s k a n t
scīscantur	ʃ i s k a n t u r
scīscar	ʃ i s k a r
scīscat	ʃ i s k a t
scīsce	ʃ i ʃ ʃ e
scīscenda	ʃ i ʃ ʃ ɛ n d a
scīscendae	ʃ i ʃ ʃ ɛ n d e
scīscendam	ʃ i ʃ ʃ ɛ n d a m
scīscende	ʃ i ʃ ʃ ɛ n d e
scīscendum	ʃ i ʃ ʃ ɛ n d u m
scīscendus	ʃ i ʃ ʃ ɛ n d u s
scīscendā	ʃ i ʃ ʃ ɛ n d a
scīscendārum	ʃ i ʃ ʃ e n d aː r u m
scīscendās	ʃ i ʃ ʃ ɛ n d a s
scīscendī	ʃ i ʃ ʃ ɛ n d i
scīscendīs	ʃ i ʃ ʃ ɛ n d i s
scīscendō	ʃ i ʃ ʃ ɛ n d o
scīscendōrum	ʃ i ʃ ʃ e n d ɔː r u m
scīscendōs	ʃ i ʃ ʃ ɛ n d o s
scīscent	ʃ i ʃ ʃ e n t
scīscente	ʃ i ʃ ʃ ɛ n t e
scīscentem	ʃ i ʃ ʃ ɛ n t e m
scīscentia	ʃ i ʃ ʃ ɛ n t͡s i a
scīscentibus	ʃ i ʃ ʃ ɛ n t i b u s
scīscentis	ʃ i ʃ ʃ ɛ n t i s
scīscentium	ʃ i ʃ ʃ ɛ n t͡s i u m
scīscentur	ʃ i ʃ ʃ ɛ n t u r
scīscentēs	ʃ i ʃ ʃ ɛ n t e s
scīscentī	ʃ i ʃ ʃ ɛ n t i
scīscentīs	ʃ i ʃ ʃ ɛ n t i s
scīscere	ʃ i ʃ ʃ e r e
scīscerem	ʃ i ʃ ʃ e r e m
scīscerent	ʃ i ʃ ʃ e r e n t
scīscerentur	ʃ i ʃ ʃ e r ɛ n t u r
scīscerer	ʃ i ʃ ʃ e r e r
scīsceret	ʃ i ʃ ʃ e r e t
scīsceris	ʃ i ʃ ʃ e r i s
scīscerēminī	ʃ i ʃ ʃ e r ɛː m i n i
scīscerēmur	ʃ i ʃ ʃ e r ɛː m u r
scīscerēmus	ʃ i ʃ ʃ e r ɛː m u s
scīscerēre	ʃ i ʃ ʃ e r ɛː r e
scīscerēris	ʃ i ʃ ʃ e r ɛː r i s
scīscerēs	ʃ i ʃ ʃ e r e s
scīscerētis	ʃ i ʃ ʃ e r ɛː t i s
scīscerētur	ʃ i ʃ ʃ e r ɛː t u r
scīscet	ʃ i ʃ ʃ e t
scīsciminī	ʃ i ʃ ʃ iː m i n i
scīscimur	ʃ i ʃ ʃ i m u r
scīscimus	ʃ i ʃ ʃ i m u s
scīscis	ʃ i ʃ ʃ i s
scīscit	ʃ i ʃ ʃ i t
scīscite	ʃ i ʃ ʃ i t e
scīscitis	ʃ i ʃ ʃ i t i s
scīscitor	ʃ i ʃ ʃ i t o r
scīscitur	ʃ i ʃ ʃ i t u r
scīscitō	ʃ i ʃ ʃ i t o
scīscitōte	ʃ i ʃ ʃ i t ɔː t e
scīscor	ʃ i s k o r
scīscunda	ʃ i s k u n d a
scīscundae	ʃ i s k u n d e
scīscundam	ʃ i s k u n d a m
scīscunde	ʃ i s k u n d e
scīscundum	ʃ i s k u n d u m
scīscundus	ʃ i s k u n d u s
scīscundārum	ʃ i s k u n d aː r u m
scīscundās	ʃ i s k u n d a s
scīscundī	ʃ i s k u n d i
scīscundīs	ʃ i s k u n d i s
scīscundō	ʃ i s k u n d o
scīscundōrum	ʃ i s k u n d ɔː r u m
scīscundōs	ʃ i s k u n d o s
scīscunt	ʃ i s k u n t
scīscuntor	ʃ i s k u n t o r
scīscuntur	ʃ i s k u n t u r
scīscuntō	ʃ i s k u n t o
scīscāminī	ʃ i s k aː m i n i
scīscāmur	ʃ i s k aː m u r
scīscāmus	ʃ i s k aː m u s
scīscāre	ʃ i s k aː r e
scīscāris	ʃ i s k aː r i s
scīscās	ʃ i s k a s
scīscātis	ʃ i s k aː t i s
scīscātur	ʃ i s k aː t u r
scīscēbam	ʃ i ʃ ʃ ɛː b a m
scīscēbant	ʃ i ʃ ʃ ɛː b a n t
scīscēbantur	ʃ i ʃ ʃ e b a n t u r
scīscēbar	ʃ i ʃ ʃ ɛː b a r
scīscēbat	ʃ i ʃ ʃ ɛː b a t
scīscēbāminī	ʃ i ʃ ʃ e b aː m i n i
scīscēbāmur	ʃ i ʃ ʃ e b aː m u r
scīscēbāmus	ʃ i ʃ ʃ e b aː m u s
scīscēbāre	ʃ i ʃ ʃ e b aː r e
scīscēbāris	ʃ i ʃ ʃ e b aː r i s
scīscēbās	ʃ i ʃ ʃ ɛː b a s
scīscēbātis	ʃ i ʃ ʃ e b aː t i s
scīscēbātur	ʃ i ʃ ʃ e b aː t u r
scīscēminī	ʃ i ʃ ʃ ɛː m i n i
scīscēmur	ʃ i ʃ ʃ ɛː m u r
scīscēmus	ʃ i ʃ ʃ ɛː m u s
scīscēre	ʃ i ʃ ʃ ɛː r e
scīscēris	ʃ i ʃ ʃ ɛː r i s
scīscēs	ʃ i ʃ ʃ e s
scīscētis	ʃ i ʃ ʃ ɛː t i s
scīscētur	ʃ i ʃ ʃ ɛː t u r
scīscī	ʃ i ʃ ʃ i
scīsse	ʃ i s s e
scīssem	ʃ i s s e m
scīssent	ʃ i s s e n t
scīsset	ʃ i s s e t
scīssēmus	ʃ i s s ɛː m u s
scīssēs	ʃ i s s e s
scīssētis	ʃ i s s ɛː t i s
scīstis	ʃ i s t i s
scīstī	ʃ i s t i
scīt	ʃ i t
scīta	ʃ iː t a
scītae	ʃ iː t e
scītam	ʃ iː t a m
scīte	ʃ iː t e
scītibus	ʃ iː t i b u s
scītis	ʃ iː t i s
scītor	ʃ iː t o r
scītur	ʃ iː t u r
scītus	ʃ iː t u s
scītuum	ʃ iː t u u m
scītuī	ʃ iː t u i
scītārum	ʃ i t aː r u m
scītās	ʃ iː t a s
scītē	ʃ iː t e
scītī	ʃ iː t i
scītīs	ʃ iː t i s
scītō	ʃ iː t o
scītōrum	ʃ i t ɔː r u m
scītōs	ʃ iː t o s
scītōte	ʃ i t ɔː t e
scītū	ʃ iː t u
scītūra	ʃ i t uː r a
scītūrae	ʃ i t uː r e
scītūram	ʃ i t uː r a m
scītūre	ʃ i t uː r e
scītūrum	ʃ i t uː r u m
scītūrārum	ʃ i t u r aː r u m
scītūrās	ʃ i t uː r a s
scītūrī	ʃ i t uː r i
scītūrīs	ʃ i t uː r i s
scītūrō	ʃ i t uː r o
scītūrōrum	ʃ i t u r ɔː r u m
scītūrōs	ʃ i t uː r o s
scīveram	ʃ iː v e r a m
scīverant	ʃ iː v e r a n t
scīverat	ʃ iː v e r a t
scīverim	ʃ iː v e r i m
scīverimus	ʃ i v ɛː r i m u s
scīverint	ʃ iː v e r i n t
scīveris	ʃ iː v e r i s
scīverit	ʃ iː v e r i t
scīveritis	ʃ i v ɛː r i t i s
scīverāmus	ʃ i v e r aː m u s
scīverās	ʃ iː v e r a s
scīverātis	ʃ i v e r aː t i s
scīverīmus	ʃ i v e r iː m u s
scīverīs	ʃ iː v e r i s
scīverītis	ʃ i v e r iː t i s
scīverō	ʃ iː v e r o
scīvimus	ʃ iː v i m u s
scīvisse	ʃ i v i s s e
scīvissem	ʃ i v i s s e m
scīvissent	ʃ i v i s s e n t
scīvisset	ʃ i v i s s e t
scīvissēmus	ʃ i v i s s ɛː m u s
scīvissēs	ʃ i v i s s e s
scīvissētis	ʃ i v i s s ɛː t i s
scīvistis	ʃ i v i s t i s
scīvistī	ʃ i v i s t i
scīvit	ʃ iː v i t
scīvēre	ʃ i v ɛː r e
scīvērunt	ʃ i v ɛː r u n t
scīvī	ʃ iː v i
scōpēs	s k ɔː p e s
scōpē̆s	s k ɔː p e s
scōticus	s k ɔː t i k u s
scūta	s k uː t a
scūtae	s k uː t e
scūtam	s k uː t a m
scūtārum	s k u t aː r u m
scūtās	s k uː t a s
scūtī	s k uː t i
scūtīs	s k uː t i s
scūtō	s k uː t o
scūtōrum	s k u t ɔː r u m
seaborgium	s e b ɔ r d͡ʒ i u m
sechellius	s e k ɛ l l i u s
sechellārus	s e k e l l aː r u s
secor	s ɛː k o r
sectiōne	s e k t͡s i ɔː n e
sectiōnem	s e k t͡s i ɔː n e m
sectiōnibus	s e k t͡s i ɔː n i b u s
sectiōnis	s e k t͡s i ɔː n i s
sectiōnum	s e k t͡s i ɔː n u m
sectiōnēs	s e k t͡s i ɔː n e s
sectiōnī	s e k t͡s i ɔː n i
sectārius	s e k t aː r i u s
sectātor	s e k t aː t o r
secuerimus	s e k u e r iː m u s
secuerimus	s e k u ɛː r i m u s
secueris	s e k uː e r i s
secueritis	s e k u e r iː t i s
secueritis	s e k u ɛː r i t i s
secundum	s e k u n d u m
secundāria	s e k u n d aː r i a
secundāriās	s e k u n d aː r i a s
secundāriō	s e k u n d aː r i o
secundāriōs	s e k u n d aː r i o s
secundō	s e k u n d o
secus	s ɛː k u s
secāre	s e k aː r e
secūre	s e k uː r e
secūta	s e k uː t a
secūtae	s e k uː t e
secūtam	s e k uː t a m
secūte	s e k uː t e
secūtum	s e k uː t u m
secūtārum	s e k u t aː r u m
secūtās	s e k uː t a s
secūtī	s e k uː t i
secūtīs	s e k uː t i s
secūtō	s e k uː t o
secūtōrum	s e k u t ɔː r u m
secūtōs	s e k uː t o s
secūtū	s e k uː t u
secūtūra	s e k u t uː r a
secūtūrae	s e k u t uː r e
secūtūram	s e k u t uː r a m
secūtūre	s e k u t uː r e
secūtūrum	s e k u t uː r u m
secūtūrārum	s e k u t u r aː r u m
secūtūrās	s e k u t uː r a s
secūtūrī	s e k u t uː r i
secūtūrīs	s e k u t uː r i s
secūtūrō	s e k u t uː r o
secūtūrōrum	s e k u t u r ɔː r u m
secūtūrōs	s e k u t uː r o s
sedeātur	s e d e aː t u r
sedum	s ɛː d u m
sedē	s ɛː d e
sedēbitur	s e d ɛː b i t u r
sedēbātur	s e d e b aː t u r
sedērētur	s e d e r ɛː t u r
sedērī	s e d ɛː r i
sedēs	s ɛː d e s
sedētor	s e d ɛː t o r
sedētur	s e d ɛː t u r
seepēnsis	s e p ɛ n s i s
sellārium	s e l l aː r i u m
sellāriī	s e l l aː r i i
sellāriīs	s e l l aː r i i s
sellāriō	s e l l aː r i o
sellāriōrum	s e l l a r i ɔː r u m
sellāriōs	s e l l aː r i o s
sellārī	s e l l aː r i
sellātus	s e l l aː t u s
semiticus	s e m iː t i k u s
sempiterna	s e m p i t ɛ r n a
sempiternae	s e m p i t ɛ r n e
sempiternam	s e m p i t ɛ r n a m
sempiterne	s e m p i t ɛ r n e
sempiternum	s e m p i t ɛ r n u m
sempiternā	s e m p i t ɛ r n a
sempiternālis	s e m p i t e r n aː l i s
sempiternārum	s e m p i t e r n aː r u m
sempiternās	s e m p i t ɛ r n a s
sempiternē	s e m p i t ɛ r n e
sempiternī	s e m p i t ɛ r n i
sempiternīs	s e m p i t ɛ r n i s
sempiternō	s e m p i t ɛ r n o
sempiternōrum	s e m p i t e r n ɔː r u m
sempiternōs	s e m p i t ɛ r n o s
sene	s ɛː n e
senecta	s e n ɛ k t a
senectus	s e n ɛ k t u s
senectūs	s e n ɛ k t u s
senegalēnsis	s e n e ɡ a l ɛ n s i s
senem	s ɛː n e m
senescalcus	s e n e s k a l k u s
senia	s ɛː n i a
senibus	s ɛː n i b u s
senicula	s e n iː k u l a
senis	s ɛː n i s
seniscalcus	s e n e s k a l k u s
senium	s ɛː n i u m
seniō	s ɛː n i o
sensātē	s e n s aː t e
sententiae	s e n t ɛ n t͡s i e
sententiōsē	s e n t e n t͡s i ɔː s̬ e
sentient	s ɛ n t͡s i e n t
sentis	s ɛ n t i s
senum	s ɛː n u m
senāpe	s e n aː p e
senāpis	s e n aː p i s
senāpium	s e n aː p i u m
senāpī	s e n aː p i
senātrīcī	s e n a t r iː t͡ʃ i
senātūscōnsulta	s e n a t u s k o n s u l t a
senātūscōnsultum	s e n a t u s k o n s u l t u m
senātūscōnsultī	s e n a t u s k o n s u l t i
senātūscōnsultīs	s e n a t u s k o n s u l t i s
senātūscōnsultō	s e n a t u s k o n s u l t o
senātūscōnsultōrum	s e n a t u s k o n s u l t ɔː r u m
senēs	s ɛː n e s
senī	s ɛː n i
sepelīverimus	s e p e l i v e r iː m u s
sepelīverimus	s e p e l i v ɛː r i m u s
sepelīveris	s e p e l iː v e r i s
sepelīveritis	s e p e l i v e r iː t i s
sepelīveritis	s e p e l i v ɛː r i t i s
september	s e p t ɛ m b e r
septemdecim	s e p t ɛ n d e t͡ʃ i m
septemgeminus	s e p t e n̠ʲ d͡ʒ ɛː m i n u s
septennis	s e p t ɛ n n i s
septennium	s e p t ɛ n n i u m
septentriōnānus	s e p t e n t r i o n aː n u s
septimplex	s e p t i m p l e k s
septimplicibus	s e p t i m p l iː t͡ʃ i b u s
septimum	s ɛ p t i m u m
septingēna	s e p t i n̠ʲ d͡ʒ ɛː n a
septingēnae	s e p t i n̠ʲ d͡ʒ ɛː n e
septingēnum	s e p t i n̠ʲ d͡ʒ ɛː n u m
septinuba	s e p t iː n u b a
septinubae	s e p t iː n u b e
septinubam	s e p t iː n u b a m
septuennis	s e p t u ɛ n n i u m
septuennium	s e p t u ɛ n n i u m
septuāgēna	s e p t u a d͡ʒ ɛː n a
septuāgēnae	s e p t u a d͡ʒ ɛː n e
septēnam	s e p t ɛː n a m
septēne	s e p t ɛː n e
septēnum	s e p t ɛː n u m
septēnī	s e p t ɛː n i
septēnō	s e p t ɛː n o
sepulchrum	s e p u l k r u m
sepulcrī	s e p u l k r i
sepultō	s e p u l t o
sequentia	s e kʷ ɛ n t͡s i a
sequuntur	s e kʷ u n t u r
sequūta	s e kʷ uː t a
sequūtae	s e kʷ uː t e
sequūtam	s e kʷ uː t a m
sequūte	s e kʷ uː t e
sequūtum	s e kʷ uː t u m
sequūtus	s e kʷ uː t u s
sequūtārum	s e kʷ u t aː r u m
sequūtās	s e kʷ uː t a s
sequūtī	s e kʷ uː t i
sequūtīs	s e kʷ uː t i s
sequūtō	s e kʷ uː t o
sequūtōrum	s e kʷ u t ɔː r u m
sequūtōs	s e kʷ uː t o s
sequūtū	s e kʷ uː t u
sequūtūra	s e kʷ u t uː r a
sequūtūrae	s e kʷ u t uː r e
sequūtūram	s e kʷ u t uː r a m
sequūtūre	s e kʷ u t uː r e
sequūtūrum	s e kʷ u t uː r u m
sequūtūrus	s e kʷ u t uː r u s
sequūtūrārum	s e kʷ u t u r aː r u m
sequūtūrās	s e kʷ u t uː r a s
sequūtūrī	s e kʷ u t uː r i
sequūtūrīs	s e kʷ u t uː r i s
sequūtūrō	s e kʷ u t uː r o
sequūtūrōrum	s e kʷ u t u r ɔː r u m
sequūtūrōs	s e kʷ u t uː r o s
sera	s ɛː r a
serapheim	s e r a f i m
seraphein	s e r a f i n
seraphica	s e r aː f i k a
seraphīm	s e r a f i m
seraphīn	s e r a f i n
serbicus	s ɛ r b i k u s
serbocroaticus	s e r b o k r o aː t i k u s
serempsit	s e r ɛ m p s i t
seribus	s ɛː r i b u s
seriem	s ɛː r i e m
seriē	s ɛː r i e
seriēī	s e r i ɛː i
sermōne	s e r m ɔː n e
sermōnī	s e r m ɔː n i
serpentifōrmēs	s e r p e n t i f ɔ r m e s
serpirastra	s e r p i r a s t r a
serram	s ɛ r r a m
serrandō	s e r r a n d o
serrem	s ɛ r r e m
serrāre	s e r r aː r e
serrārem	s e r r aː r e m
serrārās	s e r r aː r a s
serrārēs	s e r r aː r e s
serrās	s ɛ r r a s
serrāsse	s e r r a s s e
serrāssem	s e r r a s s e m
serrāssēs	s e r r a s s e s
serrēs	s ɛ r r e s
serta	s ɛ r t a
sertae	s ɛ r t e
sertam	s ɛ r t a m
serte	s ɛ r t e
sertā	s ɛ r t a
sertārum	s e r t aː r u m
sertās	s ɛ r t a s
sertī	s ɛ r t i
sertīs	s ɛ r t i s
sertō	s ɛ r t o
sertōrum	s e r t ɔː r u m
sertōs	s ɛ r t o s
serua	s ɛː r u a
seruit	s ɛː r u i t
serum	s ɛː r u m
seruum	s ɛː r u u m
seruī	s ɛː r u i
serva	s ɛ r v a
servantō	s e r v a n t o
servieram	s e r v iː e r a m
servierim	s e r v iː e r i m
servierimus	s e r v i e r iː m u s
servierimus	s e r v i ɛː r i m u s
servierāmus	s e r v i e r aː m u s
servierās	s e r v iː e r a s
servierātis	s e r v i e r aː t i s
servierō	s e r v iː e r o
serviimus	s e r v iː i m u s
serviisse	s e r v i i s s e
serviissem	s e r v i i s s e m
serviissent	s e r v i i s s e n t
serviisset	s e r v i i s s e t
serviissēmus	s e r v i i s s ɛː m u s
serviissēs	s e r v i i s s e s
serviissētis	s e r v i i s s ɛː t i s
serviistis	s e r v i i s t i s
serviistī	s e r v i i s t i
serviit	s ɛ r v i i t
servit	s ɛ r v i t
serviundum	s e r v i u n d u m
serviātur	s e r v i aː t u r
serviēbātur	s e r v i e b aː t u r
serviēre	s e r v i ɛː r e
serviētur	s e r v i ɛː t u r
serviī	s ɛ r v i i
servā	s ɛ r v a
servāvit	s e r v aː v i t
servēre	s e r v ɛː r e
servērunt	s e r v ɛː r u n t
servēs	s ɛ r v e s
servī	s ɛ r v i
servībam	s e r v iː b a m
servībant	s e r v iː b a n t
servības	s e r v iː b a s
servībat	s e r v iː b a t
servībimus	s e r v iː b i m u s
servībis	s e r v iː b i s
servībit	s e r v iː b i t
servībitis	s e r v iː b i t i s
servībunt	s e r v iː b u n t
servībāmus	s e r v i b aː m u s
servībātis	s e r v i b aː t i s
servībō	s e r v iː b o
servīle	s e r v iː l e
servīram	s e r v iː r a m
servīrant	s e r v iː r a n t
servīrat	s e r v iː r a t
servīre	s e r v iː r e
servīrim	s e r v iː r i m
servīrimus	s e r v i r iː m u s
servīrimus	s e r v iː r i m u s
servīrint	s e r v iː r i n t
servīris	s e r v iː r i s
servīrit	s e r v iː r i t
servīritis	s e r v i r iː t i s
servīritis	s e r v iː r i t i s
servīrāmus	s e r v i r aː m u s
servīrās	s e r v iː r a s
servīrātis	s e r v i r aː t i s
servīrētur	s e r v i r ɛː t u r
servīrō	s e r v iː r o
servīssent	s e r v i s s e n t
servīssēmus	s e r v i s s ɛː m u s
servīssētis	s e r v i s s ɛː t i s
servīstī	s e r v i s t i
servītur	s e r v iː t u r
servītū	s e r v iː t u
servīverimus	s e r v i v e r iː m u s
servīverimus	s e r v i v ɛː r i m u s
servīveris	s e r v iː v e r i s
servīveritis	s e r v i v e r iː t i s
servīveritis	s e r v i v ɛː r i t i s
servīvēre	s e r v i v ɛː r e
servōs	s ɛ r v o s
serās	s ɛː r a s
serēna	s e r ɛː n a
serēnitātis	s e r e n i t aː t i s
serēnō	s e r ɛː n o
serēscō	s e r ɛ s k o
serō	s ɛː r o
serū̆	s ɛː r u
sescuplus	s e s k u p l u s
sescuplus	s ɛ s k u p l u s
sescēna	s e ʃ ʃ ɛː n a
sescēnae	s e ʃ ʃ ɛː n e
sessāgintā	s e s s a d͡ʒ i n t a
sevēra	s e v ɛː r a
sevēre	s e v ɛː r e
sevērī	s e v ɛː r i
sevērō	s e v ɛː r o
sexcentiēs	s e k ʃ ɛ n t͡s i e s
sexcuplus	s e k s k u p l u s
sexcuplus	s ɛ k s k u p l u s
sexennium	s e ɡ z ɛ n n i u m
sexfasciātus	s e k s f a ʃ ʃ i aː t u s
sexhōrārius	s e ɡ z o r aː r i u s
sextum	s ɛ k s t u m
sextīlis	s e k s t iː l i s
sexubus	s ɛ k s u b u s
sexuāle	s e ɡ z u aː l e
sexuālem	s e ɡ z u aː l e m
sexuālia	s e ɡ z u aː l i a
sexuālibus	s e ɡ z u aː l i b u s
sexuālium	s e ɡ z u aː l i u m
sexuālēs	s e ɡ z u aː l e s
sexuālī	s e ɡ z u aː l i
sexāgēna	s e ɡ z a d͡ʒ ɛː n a
sexāgēnae	s e ɡ z a d͡ʒ ɛː n e
sexāgēsima	s e ɡ z a d͡ʒ ɛː s̬ i m a
sexāgēsimum	s e ɡ z a d͡ʒ ɛː s̬ i m u m
sexō	s ɛ k s o
shastēnsis	s a s t ɛ n s i s
siamēnsis	s i a m ɛ n s i s
sibiricus	s i b iː r i k u s
siccāre	s i k k aː r e
siccō	s i k k o
