Abel	ǎː b e l
simpatizerka	s i m p a t ǐ z e r k a
simpatičan	s i m p ǎ t i t͡ʃ a n
simpatično	s i m p ǎ t i t͡ʃ n o
simpatičnost	s i m p ǎ t i t͡ʃ n oː s t
simplificirati	s i m p l i f i t͡s ǐː r a t i
simplifikacija	s i m p l i f i k ǎː t͡s i j a
simpozij	s ǐ m p oː z iː j
simptom	s ǐ m p t oː m
simptomatičan	s i m p t o m ǎ t i t͡ʃ a n
simptomatično	s i m p t o m ǎ t i t͡ʃ n o
simulacija	s i m u l ǎː t͡s i j a
simulakrum	s i m u l ǎ k r u m
simulator	s i m ǔ l aː t o r
simulirati	s i m u l ǐː r a t i
simultan	s î m u l t aː n
simultano	s î m u l t aː n o
simultanost	s î m u l t aː n oː s t
sin	s î n
sin	s îː n
sinagoga	s i n a ɡ ǒː ɡ a
sinak	s î n a k
sindikalizam	s i n d i k a l ǐ z a m
sindikat	s i n d ǐ k aː t
sindrom	s ǐ n d r oː m
sindžir	s ǐ n d͡ʒ iː r
sinekura	s i n e k ǔː r a
sinergija	s i n ě r ɡ i j a
singl	s ǐ n ɡ l
singlica	s î n ɡ l i t͡s a
sinhronija	s i n x r ǒ n i j a
siniceza	s i n ǐ t͡s e z a
sinji	s îː ɲ iː
sinkopa	s i n k ǒ p a
sinkretizam	s i n k r e t ǐ z a m
sinkronija	s i n k r ǒ n i j a
sinod	s ǐ n oː d
sinologija	s i n o l ǒ ɡ i j a
sinonim	s i n ǒ n iː m
sinoniman	s i n ǒ n i m a n
sinonimija	s i n o n ǐ m i j a
sinov	s îː n o ʋ
sinovac	s i n ǒː ʋ a t͡s
sinoć	s î n oː t͡ɕ
sinoćnji	s î n o t͡ɕ ɲ iː
sintagma	s ǐ n t a ɡ m a
sintaksa	s ǐ n t a k s a
sintaktički	s i n t ǎ k t i t ʃ k i
sintaktički	s i n t ǎ k t i t ʃ k iː
sinteriranje	s i n t e r ǐː r aː ɲ e
sintetizirati	s i n t e t i z ǐː r a t i
sintetičan	s i n t ě t i t͡ʃ a n
sintetički	s i n t ě t i t ʃ k i
sintetički	s i n t ě t i t ʃ k iː
sintetski	s ǐ n t e t s k i
sintetski	s ǐ n t e t s k iː
sinteza	s i n t ěː z a
sinuti	s ǐː n u t i
sinčić	s ǐ n t͡ʃ i t͡ɕ
sinžir	s ǐ n ʒ iː r
sipa	s î p a
sipah	s ǐ p aː x
sipati	s î p a t i
sipiti	s ǐː p i t i
sipnja	s ǐː p ɲ a
sir	s î r
sirena	s i r ěː n a
sirijski	s îː r iː j s k iː
sirilo	s î r i l o
siriti	s î r i t i
sirište	s î r iː ʃ t e
sirni	s îː r n iː
sirnica	s ǐː r n i t͡s a
siromah	s i r ǒ m aː x
siromašan	s i r ǒ m a ʃ a n
siromaštvo	s i r o m ǎː ʃ t ʋ o
sirot	s ǐ r o t
sirota	s i r ǒ t a
sirotka	s î r o t k a
sirov	s ǐ r o ʋ
sirovo	s ǐ r o ʋ o
siročad	s î r o t͡ʃ aː d
siroče	s i r ǒ t ʃ e
siroče	s ǐ r o t ʃ e
sirup	s ǐ r u p
sirutka	s î r u t k a
sirće	s ǐ r t͡ɕ e
sisati	s î s a t i
sisavac	s î s a ʋ a t͡s
sistem	s ǐ s t eː m
sistematičan	s i s t e m ǎ t i t͡ʃ a n
sistematično	s i s t e m ǎ t i t͡ʃ n o
sistematski	s i s t ě m a t s k i
sistematski	s i s t ě m a t s k iː
sitan	s ǐ t a n
sitnica	s i t n ǐ t͡s a
sitniti	s ǐ t n i t i
sitničar	s ǐ t n i t͡ʃ aː r
sitničav	s ǐ t n i t͡ʃ a ʋ
sitničavo	s ǐ t n i t͡ʃ a ʋ o
sitno	s î t n o
sito	s î t o
situacija	s i t u ǎː t͡s i j a
sivac	s ǐː ʋ a t͡s
sivilo	s ǐ ʋ i l o
sivkast	s î ʋ k a s t
sivonja	s ǐː ʋ o ɲ a
sić	s î t͡ɕ
sići	s îː t͡ɕ i
sićušan	s î t͡ɕ uː ʃ a n
sičan	s ǐ t͡ʃ aː n
siže	s ǐ ʒ eː
sjahati	s j â x a t i
sjahivati	s j a x ǐː ʋ a t i
sjaj	s j âː j
sjajan	s j ǎː j a n
sjajno	s j âː j n o
sjati	s j â t i
sjašiti	s j â ʃ i t i
sjebati	s j ě b a t i
sjeckati	s j ê t͡s k a t i
sjedalo	s j ê d a l o
sjedati	s j ê d a t i
sjediniti	s j e d ǐː n i t i
sjedinjavati	s j e d i ɲ ǎː ʋ a t i
sjediti	s j ě d i t i
sjedište	s j ê d iː ʃ t e
sjedjeti	s j ě d j e t i
sjednica	s j ê d n i t͡s a
sjedoća	s j e d ǒ t͡ɕ a
sjekira	s j ě k i r a
sjeme	s j ê m e
sjemenik	s j ê m e n iː k
sjemenka	s j ě m eː n k a
sjena	s j ê n a
sjenka	s j êː n k a
sjenovit	s j e n ǒ ʋ i t
sjera	s j ê r a
sjesti	s j ê s t i
sjeta	s j ê t a
sjetiti	s j ê t i t i
sjetva	s j ê t ʋ a
sjever	s j ê ʋ e r
sjeverac	s j e ʋ ěː r a t͡s
sjeverni	s j ê ʋ eː r n iː
sjevernjak	s j e ʋ ě r ɲ aː k
sjeverno	s j ê ʋ eː r n o
sjevernoafrički	s j e ʋ e r n o ǎ f r i t͡ʃ k iː
sjevernoamerički	s j e ʋ e r n o a m ě r i t͡ʃ k iː
sjevernokorejski	s j e ʋ e r n o k ǒ r eː j s k iː
sjeveroistok	s j e ʋ e r o ǐ s t o k
sjeveroistočni	s j e ʋ e r o ǐ s t o t͡ʃ n iː
sjeveroistočno	s j e ʋ e r o ǐ s t o t͡ʃ n o
sjeverozapad	s j e ʋ e r o z ǎː p a d
sjeverozapadni	s j e ʋ e r o z ǎː p a d n iː
sjeverozapadno	s j e ʋ e r o z ǎː p a d n o
sjećati	s j ê t͡ɕ a t i
sjeći	s j ê t͡ɕ i
sječivo	s j ê t͡ʃ iː ʋ o
sjutra	s j û t r a
skakati	s k ǎː k a t i
skakač	s k ǎ k aː t͡ʃ
skakački	s k ǎ k aː t ʃ k i
skakački	s k ǎ k aː t ʃ k iː
skald	s k â l d
skald	s k âː l d
skalp	s k â l p
skalpel	s k ǎ l p e l
skalpirati	s k a l p ǐː r a t i
skameniti	s k â m e n i t i
skamenjivati	s k a m e ɲ ǐː ʋ a t i
skandal	s k ǎ n d aː l
skandalizirati	s k a n d a l i z ǐː r a t i
skandalozan	s k â n d a l oː z a n
skandalozno	s k â n d a l oː z n o
skandinavski	s k a n d ǐ n aː ʋ s k iː
skandirati	s k a n d ǐː r a t i
skanjivati	s k a ɲ ǐː ʋ a t i
skarabej	s k a r ǎ b e j
skaredan	s k â r e d a n
skaredno	s k â r e d n o
skat	s k â t
skaut	s k ǎ u t
skela	s k ê l a
skener	s k ê n e r
skepticizam	s k e p t i t͡s ǐ z a m
skeptičan	s k ě p t i t͡ʃ a n
skeptički	s k ě p t i t ʃ k i
skeptički	s k ě p t i t ʃ k iː
skeptično	s k ě p t i t͡ʃ n o
skeč	s k ê t͡ʃ
skica	s k î t͡s a
skicirati	s k i t͡s ǐː r a t i
skicnbuh	s k ǐ t͡s n b uː x
skidati	s k ǐː d a t i
skijati	s k î j a t i
skijaški	s k ǐ j aː ʃ k iː
skinuti	s k î n u t i
skitati	s k ǐː t a t i
skitnica	s k ǐː t n i t͡s a
sklad	s k l â d
skladan	s k l â d a n
skladatelj	s k l ǎ d a t e ʎ
skladati	s k l â d a t i
skladba	s k l ǎ d b a
skladište	s k l â d iː ʃ t e
skladnja	s k l ǎ d ɲ a
skladno	s k l â d n o
sklanjati	s k l â ɲ a t i
sklapati	s k l ǎː p a t i
sklerotičan	s k l e r ǒ t i t͡ʃ a n
skleroza	s k l e r ǒː z a
sklon	s k l ô n
sklonidba	s k l ǒ n i d b a
skloniti	s k l ǒ n i t i
sklonište	s k l ô n iː ʃ t e
sklonost	s k l ô n oː s t
sklop	s k l ô p
sklopiti	s k l ǒ p i t i
sklopiv	s k l ǒ p i ʋ
sklopka	s k l ô p k a
sklopovlje	s k l ô p oː ʋ ʎ e
skok	s k ô k
skolastika	s k o l ǎ s t i k a
skolastičar	s k o l ǎ s t i t͡ʃ aː r
skolastički	s k o l ǎ s t i t ʃ k i
skolastički	s k o l ǎ s t i t ʃ k iː
skorbut	s k ǒ r b u t
skoro	s k ǒ r o
skorup	s k ô r uː p
skot	s k ô t
skoč	s k ô t͡ʃ
skočimiš	s k ǒ t͡ʃ i m i ʃ
skočiti	s k ǒ t͡ʃ i t i
skrasiti	s k r ǎː s i t i
skratiti	s k r ǎː t i t i
skraćenica	s k r âː t͡ɕ e n i t͡s a
skraćivati	s k r a t͡ɕ ǐː ʋ a t i
skrb	s k r̂ː b
skrbiti	s k řː b i t i
skrbnik	s k r̂ː b n iː k
skrbništvo	s k r̂ː b n iː ʃ t ʋ o
skrenuti	s k r ěː n u t i
skresati	s k r ě s a t i
skretati	s k r ěː t a t i
skribent	s k r ǐ b e n t
skripta	s k r î p t a
skrivati	s k r ǐː ʋ a t i
skriven	s k r ǐ ʋ e n
skrnaviti	s k r n ǎː ʋ i t i
skrob	s k r ô b
skroman	s k r ô m a n
skromno	s k r ô m n o
skromnost	s k r ô m n oː s t
skrovit	s k r ǒ ʋ i t
skrovito	s k r ǒ ʋ i t o
skrovište	s k r ô ʋ iː ʃ t e
skroz	s k r ôː z
skrpati	s k r̂ p a t i
skrpavati	s k r p ǎː ʋ a t i
skrpiti	s k r̂ p i t i
skrstiti	s k ř s t i t i
skrupula	s k r û p u l a
skrupulozan	s k r û p u l oː z a n
skrupulozno	s k r û p u l oː z n o
skrušen	s k r ûː ʃ e n
skrušeno	s k r ûː ʃ e n o
skrušenost	s k r ûː ʃ e n oː s t
skršiti	s k ř ʃ i t i
skrštavati	s k r ʃ t ǎː ʋ a t i
skucati	s k û t͡s a t i
skucavati	s k u t͡s ǎː ʋ a t i
skuhati	s k û x a t i
skulptura	s k u l p t ǔː r a
skunjiti	s k ǔː ɲ i t i
skup	s k û p
skup	s k ûː p
skupa	s k û p a
skupina	s k û p i n a
skupiti	s k û p i t i
skupljati	s k ǔː p ʎ a t i
skupljač	s k ǔ p ʎ aː t͡ʃ
skupljačica	s k u p ʎ ǎ t͡ʃ i t͡s a
skupni	s k û p n iː
skupnik	s k û p n iː k
skupno	s k û p n o
skupocen	s k u p ǒ t͡s e n
skupocjen	s k u p ǒ t͡s j e n
skupoća	s k u p ǒ t͡ɕ a
skupština	s k û p ʃ t i n a
skupštinar	s k û p ʃ t i n aː r
skupštinarka	s k û p ʃ t i n aː r k a
skut	s k ûː t
skuter	s k û t e r
skutriti	s k û t r i t i
skutrivati	s k u t r ǐː ʋ a t i
skuvati	s k û x a t i
skučiti	s k ǔː t͡ʃ i t i
skvoš	s k ʋ ô ʃ
skvrniti	s k ʋ řː n i t i
skvrčiti	s k ʋ r̂ t͡ʃ i t i
slab	s l â b
slabašan	s l â b aː ʃ a n
slabeti	s l â b e t i
slabine	s l â b i n e
slabiti	s l â b i t i
slabić	s l ǎ b iː t͡ɕ
slabjeti	s l â b j e t i
slabo	s l â b o
slabokrvan	s l â b o k rː ʋ a n
slabokrvnost	s l a b o k řː ʋ n oː s t
slabost	s l â b oː s t
slabouman	s l â b o uː m a n
slaboumnost	s l a b o ǔː m n oː s t
slaboća	s l a b ǒ t͡ɕ a
slad	s l âː d
sladak	s l â d a k
sladiti	s l ǎː d i t i
sladić	s l ǎ d i t͡ɕ
sladokusac	s l a d o k ǔː s a t͡s
sladoled	s l â d o l eː d
slador	s l âː d o r
sladorača	s l a d ǒ r a t͡ʃ a
slaganje	s l ǎː ɡ aː ɲ e
slagar	s l ǎ ɡ aː r
slagati	s l ǎ ɡ a t i
slagati	s l ǎː ɡ a t i
slak	s l âː k
slalom	s l ǎ l o m
slama	s l â m a
slamarica	s l â m a r i t͡s a
slamati	s l ǎː m a t i
slamka	s l âː m k a
slamnat	s l ǎ m n a t
slamnjača	s l ǎ m ɲ a t͡ʃ a
slamčica	s l ǎ m t͡ʃ i t͡s a
slan	s l âː n
slana	s l ǎː n a
slanac	s l ǎː n a t͡s
slanik	s l ǎ n iː k
slanina	s l ǎ n i n a
slanost	s l ǎː n oː s t
slanoća	s l a n ǒ t͡ɕ a
slap	s l âː p
slasno	s l â s n o
slast	s l âː s t
slastan	s l â s t a n
slastica	s l ǎ s t i t͡s a
slastičar	s l ǎ s t i t͡ʃ aː r
slastičarna	s l ǎ s t i t͡ʃ aː r n a
slastičarnica	s l ǎ s t i t͡ʃ aː r n i t͡s a
slati	s l â t i
slatkiš	s l ǎ t k iː ʃ
slatko	s l ǎ t k oː
slatkorečiv	s l a t k o r ě t͡ʃ i ʋ
slatkorečivo	s l a t k o r ě t͡ʃ i ʋ o
slatkorječiv	s l a t k o r j ě t͡ʃ i ʋ
slatkorječivo	s l a t k o r j ě t͡ʃ i ʋ o
slatkovodni	s l â t k o ʋ o d n iː
slatkoća	s l a t k ǒ t͡ɕ a
slava	s l â ʋ a
slavan	s l âː ʋ a n
slavenski	s l ǎ ʋ eː n s k i
slavenski	s l ǎ ʋ eː n s k iː
slavina	s l ǎ ʋ i n a
slavist	s l ǎ ʋ i s t
slaviti	s l â ʋ i t i
slavić	s l ǎ ʋ iː t͡ɕ
slavno	s l âː ʋ n o
slavohlepan	s l â ʋ o x l eː p a n
slavohlepno	s l â ʋ o x l eː p n o
slavonski	s l ǎ ʋ oː n s k iː
slavuj	s l ǎ ʋ uː j
slačica	s l â t͡ʃ i t͡s a
sledbenik	s l ê d b e n iː k
sledeći	s l ě d eː t͡ɕ iː
slediti	s l ě d i t i
slediti	s l ěː d i t i
sleme	s l ê m e
sleng	s l ê n ɡ
slep	s l êː p
slepoočni	s l e p ǒ o t͡ʃ n iː
slepoočnica	s l e p o ǒ t͡ʃ n i t͡s a
sleđ	s l ê d͡ʑ
sleđivati	s l e d͡ʑ ǐː ʋ a t i
slijediti	s l j ěː d i t i
slijep	s l j êː p
slikar	s l î k aː r
slikati	s l î k a t i
slikopis	s l î k o p iː s
slina	s l î n a
slinav	s l î n a ʋ
sliv	s l îː ʋ
slizati	s l ǐː z a t i
sličan	s l î t͡ʃ a n
sličiti	s l ǐ t͡ʃ i t i
slično	s l ǐ t͡ʃ n o
slišati	s l î ʃ a t i
sljedba	s ʎ ě d b a
sljedbenik	s ʎ ê d b e n iː k
sljedeći	s ʎ ě d eː t͡ɕ iː
sljeme	s ʎ ê m e
sljepoočni	s ʎ e p ǒ o t͡ʃ n iː
sljepoočnica	s ʎ e p o ǒ t͡ʃ n i t͡s a
sljubiti	s ʎ ǔː b i t i
sljubljivati	s ʎ u b ʎ ǐː ʋ a t i
sloboda	s l o b ǒ d a
slobodan	s l ô b o d a n
slobodno	s l ô b o d n o
slobodouman	s l ô b o d o uː m a n
sloga	s l ô ɡ a
slogan	s l ǒ ɡ aː n
sloj	s l ôː j
slojevit	s l o j ě ʋ i t
slom	s l ô m
slomiti	s l ǒ m i t i
slon	s l ô n
slonica	s l ǒ n i t͡s a
slonov	s l ǒ n o ʋ
slonovača	s l ǒ n o ʋ a t͡ʃ a
slonovski	s l ǒ n o ʋ s k i
slonovski	s l ǒ n o ʋ s k iː
slovački	s l ǒ ʋ aː t͡ʃ k iː
slovenački	s l ǒ ʋ e n a t͡ʃ k iː
slovenski	s l ǒ ʋ eː n s k i
slovenski	s l ǒ ʋ eː n s k iː
slovinski	s l ǒ v iː n s k iː
slovjenski	s l ǒ ʋ j eː n s k i
slovjenski	s l ǒ ʋ j eː n s k iː
slovnica	s l ǒː ʋ n i t͡s a
slovo	s l ô ʋ o
složan	s l ô ʒ a n
složen	s l ô ʒ e n
složenica	s l o ʒ ě n i t͡s a
složiti	s l ǒ ʒ i t i
sluga	s l ǔː ɡ a
slugan	s l ǔ ɡ aː n
sluh	s l ûː x
slupati	s l ǔː p a t i
sluti	s l û t i
slutiti	s l ǔː t i t i
sluzav	s l û z a ʋ
slučaj	s l û t͡ʃ aː j
slučajan	s l û t͡ʃ aː j a n
slučajno	s l û t͡ʃ aː j n o
slušalac	s l ǔ ʃ a l a t͡s
slušalica	s l û ʃ a l i t͡s a
slušateljstvo	s l u ʃ a t ěː ʎ s t ʋ o
slušati	s l û ʃ a t i
slušač	s l ǔ ʃ aː t͡ʃ
slušačica	s l u ʃ ǎ t͡ʃ i t͡s a
sluškinja	s l û ʃ k i ɲ a
služba	s l ǔ ʒ b a
služben	s l û ʒ b e n
službenica	s l û ʒ b e n i t͡s a
službenik	s l û ʒ b e n iː k
službeno	s l û ʒ b e n o
služinčad	s l ǔ ʒ iː n t͡ʃ aː d
služinče	s l u ʒ ǐː n t͡ʃ e
služiti	s l ǔː ʒ i t i
smagati	s m ǎː ɡ a t i
smaknuti	s m ǎ k n u t i
smaknuće	s m a k n ǔː t͡ɕ e
smalaksati	s m a l ǎ k s a t i
smanjiti	s m ǎː ɲ i t i
smanjivati	s m a ɲ ǐː ʋ a t i
smaragd	s m ǎ r a ɡ d
smatrati	s m ǎː t r a t i
smazati	s m â z a t i
smaći	s m â t͡ɕ i
smejati	s m ě j a t i
smena	s m ê n a
smeniti	s m ěː n i t i
smenjivati	s m e ɲ ǐː ʋ a t i
smeo	s m ě o
smeon	s m ě o n
smeono	s m ě o n o
smerati	s m ěː r a t i
smernica	s m ěː r n i t͡s a
smesa	s m ê s a
smesta	s m ê s t a
smestiti	s m ê s t i t i
smetati	s m ěː t a t i
smetenjak	s m e t ě ɲ aː k
smeti	s m ê t i
smetnja	s m ěː t ɲ a
smeće	s m ě t͡ɕ e
smeđ	s m ê d͡ʑ
smeđast	s m ê d͡ʑ a s t
smešak	s m ěː ʃ a k
smešan	s m ěː ʃ a n
smešiti	s m ěː ʃ i t i
smešno	s m ěː ʃ n o
smeštaj	s m ê ʃ t aː j
smeštajni	s m ê ʃ t aː j n iː
smeštati	s m ěː ʃ t a t i
smežurati	s m e ʒ ǔ r a t i
smicalica	s m î t͡s a l i t͡s a
smicati	s m î t͡s a t i
smijati	s m ǐ j a t i
smijeniti	s m j ěː n i t i
smiješak	s m j ěː ʃ a k
smiješan	s m j ěː ʃ a n
smiješiti	s m j ěː ʃ i t i
smiješno	s m i j ěː ʃ n o
smilovati	s m î l o ʋ a t i
smio	s m ǐ o
smion	s m ǐ o n
smiono	s m ǐ o n o
smirak	s m ǐː r a k
smiren	s m îː r e n
smireno	s m îː r e n o
smiriti	s m ǐː r i t i
smirivati	s m i r ǐː ʋ a t i
smisao	s m îː s a o
smislen	s m î s l e n
smisleno	s m î s l e n o
smisliti	s m î s l i t i
smišljati	s m ǐː ʃ ʎ a t i
smjena	s m j ê n a
smjenjivati	s m j e ɲ ǐː ʋ a t i
smjerati	s m j ěː r a t i
smjernica	s m j ěː r n i t͡s a
smjesa	s m j ê s a
smjesta	s m j ê s t a
smjestiti	s m j ê s t i t i
smjeti	s m j ê t i
smještaj	s m j ê ʃ t aː j
smještajni	s m j ê ʃ t aː j n iː
smještati	s m j ěː ʃ t a t i
smog	s m ô ɡ
smognuti	s m ô ɡ n u t i
smoking	s m ǒ k i n ɡ
smokov	s m ǒ k o ʋ
smokva	s m ô k ʋ a
smokvik	s m ǒ k ʋ iː k
smokvin	s m ô k ʋ i n
smotak	s m ô t a k
smotati	s m ǒ t a t i
smotriti	s m ǒ t r i t i
smotuljak	s m o t ǔː ʎ a k
smoći	s m ô t͡ɕ i
smočiti	s m ǒ t͡ʃ i t i
smočnica	s m ǒ t͡ʃ n i t͡s a
smrad	s m r âː d
smrdeti	s m ř d e t i
smrditi	s m ř d i t i
smrdjeti	s m ř d j e t i
smrdljiv	s m ř d ʎ i ʋ
smreka	s m r ê k a
smrskati	s m řː s k a t i
smrskavati	s m r s k ǎː ʋ a t i
smrtan	s m r̂ t a n
smrtnički	s m r̂ t n i t ʃ k i
smrtnički	s m r̂ t n i t ʃ k iː
smrtnost	s m r̂ t n oː s t
smrtonosan	s m r t ǒ n o s a n
smrtonosno	s m r t ǒ n o s n o
smrzavati	s m r z ǎː ʋ a t i
smrznuti	s m r̂ z n u t i
smrzotina	s m ř z o t i n a
smuda	s m u d a
snabdeti	s n ǎ b d e t i
snabdevati	s n a b d ěː ʋ a t i
snabdijevati	s n a b d j ěː ʋ a t i
snabdjeti	s n ǎ b d j e t i
snaga	s n ǎː ɡ a
snagator	s n ǎ ɡ aː t o r
snaha	s n ǎ x a
snajperist	s n a j p ě r i s t
snalaziti	s n ǎ l a z i t i
snalažljiv	s n a l ǎ ʒ ʎ i ʋ
snalažljivo	s n a l ǎ ʒ ʎ i ʋ o
snalažljivost	s n a l ǎ ʒ ʎ i ʋ oː s t
snaći	s n âː t͡ɕ i
snaša	s n ǎː ʃ a
snažan	s n ǎː ʒ a n
snažno	s n âː ʒ n o
snebiti	s n ě b i t i
snebivati	s n e b ǐː ʋ a t i
sneg	s n êː ɡ
snegovit	s n e ɡ ǒ ʋ i t
snen	s n ê n
sneno	s n ê n o
snežan	s n ê ʒ a n
snežiti	s n ěː ʒ i t i
snifati	s n î f a t i
sniježiti	s n j ěː ʒ i t i
snimak	s n î m a k
snimati	s n ǐː m a t i
snimiti	s n ǐː m i t i
snimka	s n îː m k a
snishodljiv	s n i s x ǒ d ʎ i ʋ
snishodljivo	s n i s x ǒ d ʎ i ʋ o
snivati	s n ǐː ʋ a t i
sniziti	s n ǐː z i t i
snizivati	s n i z ǐː ʋ a t i
snižavati	s n i ʒ ǎː ʋ a t i
sniženje	s n i ʒ ěː ɲ e
snjegovit	s ɲ e ɡ ǒ ʋ i t
snježan	s ɲ ê ʒ a n
snob	s n ô b
snop	s n ô p
snoplje	s n ô p ʎ e
snošaj	s n ô ʃ aː j
snošljiv	s n ǒ ʃ ʎ i ʋ
snošljivo	s n ǒ ʃ ʎ i ʋ o
snužden	s n û ʒ d e n
snuždeno	s n û ʒ d e n o
so	s ôː
sobica	s ô b i t͡s a
sobom	s ô b oː m
socijalan	s ô t͡s i j aː l a n
socijaldemokracija	s o t͡s i j a l d e m o k r ǎ t͡s i j a
socijalistički	s o t s i j a l ǐ s t i t ʃ k i
socijalistički	s o t s i j a l ǐ s t i t ʃ k iː
socijalizam	s o t͡s i j a l ǐ z a m
socijalno	s ô t͡s i j aː l n o
sociolog	s o t͡s i ǒ l o ɡ
sociologija	s o t͡s i o l ǒ ɡ i j a
sociološki	s o t s i ǒ l o ʃ k i
sociološki	s o t s i ǒ l o ʃ k iː
sodomija	s o d ǒ m i j a
sodomizirati	s o d o m i z ǐː r a t i
sofizam	s o f ǐ z a m
sofra	s ô f r a
softver	s ô f t ʋ eː r
soha	s ǒ x a
soj	s ô j
soja	s ǒː j a
sokak	s ǒ k aː k
sokl	s ǒ k l
sokna	s ǒ k n a
soko	s ô k o
sokol	s ô k o l
sokoliti	s o k ǒ l i t i
sol	s ôː l
solidan	s ô l iː d a n
solidaran	s ô l i d aː r a n
solidarno	s ô l i d aː r n o
solidarnost	s o l i d ǎː r n oː s t
soliti	s ǒ l i t i
solsticij	s ǒ l s t iː t͡s iː j
solvatacija	s o l ʋ a t ǎː t͡s i j a
som	s ô m
soman	s ǒ m a n
somerica	s ô m e r i t͡s a
somnambul	s o m n ǎ m b u l
somun	s ǒ m uː n
sonar	s ǒ n aː r
sonatina	s o n a t ǐː n a
sonet	s ǒ n eː t
sonorizacija	s o n o r i z ǎː t͡s i j a
sopra	s ô p r a
sopran	s ǒ p r aː n
sopranistica	s o p r a n ǐ s t i t͡s a
sos	s ôː s
sotonizam	s o t o n ǐ z a m
sotonizirati	s o t o n i z ǐː r a t i
sovjetski	s ǒ ʋ j e t s k iː
sovra	s ô ʋ r a
sočan	s ô t͡ʃ a n
sočno	s ô t͡ʃ n o
spackati	s p â t͡s k a t i
spada	s p âː d a
spadati	s p â d a t i
spahija	s p ǎ x i j a
spajati	s p ǎː j a t i
spaliti	s p ǎː l i t i
spaljivati	s p a ʎ ǐː ʋ a t i
spartanski	s p ǎ r t aː n s k i
spartanski	s p ǎ r t aː n s k iː
spas	s p âː s
spasavati	s p a s ǎː ʋ a t i
spasilac	s p ǎ s i l a t͡s
spasilački	s p ǎ s i l a t͡ʃ k iː
spasiti	s p ǎː s i t i
spasti	s p â s t i
spasti	s p âː s t i
spati	s p â t i
spavalica	s p ǎː ʋ a l i t͡s a
spavalo	s p ǎː ʋ a l o
spavaonica	s p a ʋ a ǒː n i t͡s a
spavati	s p ǎː ʋ a t i
spavaći	s p ǎ ʋ aː t͡ɕ iː
spavaćica	s p a ʋ ǎ t͡ɕ i t͡s a
spavač	s p ǎ ʋ aː t͡ʃ
spavačica	s p a ʋ ǎ t͡ʃ i t͡s a
spaziti	s p â z i t i
spazmatičan	s p a z m ǎ t i t͡ʃ a n
spačka	s p â t͡ʃ k a
spašavati	s p a ʃ ǎː ʋ a t i
specificirati	s p e t͡s i f i t͡s ǐː r a t i
specifikacija	s p e t͡s i f i k ǎː t͡s i j a
specifičan	s p e t͡s ǐ f i t͡ʃ a n
specifično	s p e t͡s ǐ f i t͡ʃ n o
specijalan	s p ê t͡s i j aː l a n
specijalitet	s p e t͡s i j a l ǐ t eː t
specijalizacija	s p e t͡s i j a l i z ǎː t͡s i j a
specijalizirati	s p e t͡s i j a l i z ǐː r a t i
specijalna	s p ê t͡s i j aː l n a
specijalno	s p ê t͡s i j aː l n o
specijalnost	s p e t͡s i j ǎː l n oː s t
spektakl	s p e k t ǎ k l
spektakularan	s p ê k t a k u l aː r a n
spektakularno	s p ê k t a k u l aː r n o
spektralan	s p ê k t r aː l a n
spekulacija	s p e k u l ǎː t͡s i j a
spekulativan	s p ê k u l a t iː ʋ a n
spekulirati	s p e k u l ǐː r a t i
speleolog	s p e l e ǒ l o ɡ
speleologija	s p e l e o l ǒ ɡ i j a
speleološki	s p e l e ǒ l o ʃ k i
speleološki	s p e l e ǒ l o ʃ k iː
spelovati	s p ê l o ʋ a t i
spenza	s p êː n z a
sperma	s p ě r m a
spev	s p êː ʋ
spevati	s p ê ʋ a t i
speći	s p ê t͡ɕ i
spika	s p î k a
spiker	s p î k e r
spilja	s p î ʎ a
spinalan	s p ǐ n aː l a n
spirala	s p i r ǎː l a
spiralan	s p ǐ r aː l a n
spiralno	s p ǐ r aː l n o
spirati	s p ǐː r a t i
spiritizam	s p i r i t ǐ z a m
spiritualan	s p î r i t u aː l a n
spiritualizam	s p i r i t u a l ǐ z a m
spiritualno	s p î r i t u aː l n o
spiritualnost	s p i r i t u ǎː l n oː s t
spis	s p î s
spisak	s p î s a k
spisatelj	s p ǐ s a t e ʎ
spisateljica	s p i s a t ě ʎ i t͡s a
spiskati	s p î s k a t i
spiskavati	s p i s k ǎː ʋ a t i
spiza	s p îː z a
spjev	s p j êː ʋ
spjevati	s p j ê ʋ a t i
splav	s p l âː ʋ
splavar	s p l ǎ ʋ aː r
spletka	s p l ê t k a
spletkariti	s p l e t k ǎː r i t i
splitski	s p l î t s k iː
spljošten	s p ʎ ô ʃ t e n
spljoštiti	s p ʎ ô ʃ t i t i
spoj	s p ôː j
spojen	s p ô j e n
spojiti	s p ǒ j i t i
spojiv	s p ǒ j i ʋ
spojnica	s p ǒː j n i t͡s a
spokoj	s p ǒ k o j
spokojan	s p ô k oː j aː n
spokojno	s p ô k oː j n o
spokojstvo	s p o k ǒː j s t ʋ o
spol	s p ôː l
spolja	s p ô ʎ a
spoljašnji	s p ǒ ʎ a ʃ ɲ iː
spomenar	s p o m ě n aː r
spomenuti	s p o m ěː n u t i
spominjati	s p ǒ m i ɲ a t i
spona	s p ô n a
spontan	s p ô n t aː n
spontano	s p ô n t aː n o
spontanost	s p ô n t aː n oː s t
sponzor	s p ô n z o r
spopadati	s p ǒ p a d a t i
