'tamo'	t̪ a m o
micromecenazgo	m i k ɾ o m e s e n a z ɣ̞ o
micromecánica	m i k ɾ o m e k a n i k a
micromovilidad	m i k ɾ o m o β̞ i l i ð̞ a ð̞
micromundo	m i k ɾ o m ũ n̪ d̪ o
micromundos	m i k ɾ o m ũ n̪ d̪ o s
micronesia	m i k ɾ o n e s j a
micropene	m i k ɾ o p e n e
micropequeño	m i k ɾ o p e k e ɲ o
micropipeta	m i k ɾ o p i p e t̪ a
microplanta	m i k ɾ o p l ã n̪ t̪ a
micropolifonía	m i k ɾ o p o l i f o n i a
micropolitana	m i k ɾ o p o l i t̪ a n a
micropolitanas	m i k ɾ o p o l i t̪ a n a s
micropolitanos	m i k ɾ o p o l i t̪ a n o s
micropresa	m i k ɾ o p ɾ e s a
micropropagación	m i k ɾ o p ɾ o p a ɣ̞ a s j õ n
micropunción	m i k ɾ o p ũ n s j õ n
micropyme	m i k ɾ o p i m e
microrrueda	m i k ɾ o r w e ð̞ a
microscopia	m i k ɾ o s k o p j a
microscopiada	m i k ɾ o s k o p j a ð̞ a
microscopiadas	m i k ɾ o s k o p j a ð̞ a s
microscopiado	m i k ɾ o s k o p j a ð̞ o
microscopiados	m i k ɾ o s k o p j a ð̞ o s
microscopiar	m i k ɾ o s k o p j a ɾ
microscopio	m i k ɾ o s k o p j o
microscopios	m i k ɾ o s k o p j o s
microscópica	m i k ɾ o s k o p i k a
microscópicas	m i k ɾ o s k o p i k a s
microscópico	m i k ɾ o s k o p i k o
microscópicos	m i k ɾ o s k o p i k o s
microservicio	m i k ɾ o s e ɾ β̞ i s j o
microsistema	m i k ɾ o s i s t̪ e m a
microsocial	m i k ɾ o s o s j a l
microsonda	m i k ɾ o s õ n̪ d̪ a
microspora	m i k ɾ o s p o ɾ a
microstomía	m i k ɾ o s t̪ o m i a
microsurco	m i k ɾ o s u ɾ k o
microtonal	m i k ɾ o t̪ o n a l
microtono	m i k ɾ o t̪ o n o
microtopónimo	m i k ɾ o t̪ o p o n i m o
microtransacción	m i k ɾ o t̪ ɾ ã n s a ɣ̞ s j õ n
microtraumatismo	m i k ɾ o t̪ ɾ a u̯ m a t̪ i z m o
microtubular	m i k ɾ o t̪ u β̞ u l a ɾ
microvascular	m i k ɾ o β̞ a s k u l a ɾ
microvegetal	m i k ɾ o β̞ e x e t̪ a l
microverde	m i k ɾ o β̞ e ɾ ð̞ e
microvoltio	m i k ɾ o β̞ o l̪ t̪ j o
microvoltios	m i k ɾ o β̞ o l̪ t̪ j o s
microvídeo	m i k ɾ o β̞ i ð̞ e o
micrófono	m i k ɾ o f o n o
micrófonos	m i k ɾ o f o n o s
micrón	m i k ɾ õ n
micrópilo	m i k ɾ o p i l o
micuré	m i k u ɾ e
micáceo	m i k a s e o
micólico	m i k o l i k o
micólogo	m i k o l o ɣ̞ o
micótico	m i k o t̪ i k o
mida	m i ð̞ a
mide	m i ð̞ e
mides	m i ð̞ e s
mido	m i ð̞ o
miedo	m j e ð̞ o
miedosamente	m j e ð̞ o s a m ẽ n̪ t̪ e
miedoso	m j e ð̞ o s o
miel	m j e l
mielero	m j e l e ɾ o
mielga	m j e l ɣ̞ a
mielgo	m j e l ɣ̞ o
mielina	m j e l i n a
mielinización	m j e l i n i s a s j õ n
mielinizar	m j e l i n i s a ɾ
mielo	m j e l o
mieloblasto	m j e l o β̞ l a s t̪ o
mieloblastos	m j e l o β̞ l a s t̪ o s
mieloblástica	m j e l o β̞ l a s t̪ i k a
mieloblásticas	m j e l o β̞ l a s t̪ i k a s
mieloblástico	m j e l o β̞ l a s t̪ i k o
mieloblásticos	m j e l o β̞ l a s t̪ i k o s
mielodisplasia	m j e l o ð̞ i s p l a s j a
mielodisplasias	m j e l o ð̞ i s p l a s j a s
mieloma	m j e l o m a
mielopatía	m j e l o p a t̪ i a
mieloproliferativa	m j e l o p ɾ o l i f e ɾ a t̪ i β̞ a
mieloproliferativas	m j e l o p ɾ o l i f e ɾ a t̪ i β̞ a s
mieloproliferativo	m j e l o p ɾ o l i f e ɾ a t̪ i β̞ o
mieloproliferativos	m j e l o p ɾ o l i f e ɾ a t̪ i β̞ o s
mielopática	m j e l o p a t̪ i k a
mielopáticas	m j e l o p a t̪ i k a s
mielopático	m j e l o p a t̪ i k o
mielopáticos	m j e l o p a t̪ i k o s
mieluda	m j e l u ð̞ a
mieludas	m j e l u ð̞ a s
mieludo	m j e l u ð̞ o
mieludos	m j e l u ð̞ o s
mielógeno	m j e l o x e n o
miembro	m j ẽ m b ɾ o
miente	m j ẽ n̪ t̪ e
mientras	m j ẽ n̪ t̪ ɾ a s
mierda	m j e ɾ ð̞ a
mierdas	m j e ɾ ð̞ a s
mierdera	m j e ɾ ð̞ e ɾ a
mierderas	m j e ɾ ð̞ e ɾ a s
mierdero	m j e ɾ ð̞ e ɾ o
mierderos	m j e ɾ ð̞ e ɾ o s
mierdificación	m j e ɾ ð̞ i f i k a s j õ n
mierdoso	m j e ɾ ð̞ o s o
mierdota	m j e ɾ ð̞ o t̪ a
mierdotas	m j e ɾ ð̞ o t̪ a s
mierla	m j e ɾ l a
mies	m j e s
mifepristona	m i f e p ɾ i s t̪ o n a
miga	m i ɣ̞ a
migaja	m i ɣ̞ a x a
migajón	m i ɣ̞ a x õ n
migar	m i ɣ̞ a ɾ
migas	m i ɣ̞ a s
migra	m i ɣ̞ ɾ a
migración	m i ɣ̞ ɾ a s j õ n
migrada	m i ɣ̞ ɾ a ð̞ a
migradas	m i ɣ̞ ɾ a ð̞ a s
migrado	m i ɣ̞ ɾ a ð̞ o
migrados	m i ɣ̞ ɾ a ð̞ o s
migramos	m i ɣ̞ ɾ a m o s
migrando	m i ɣ̞ ɾ ã n̪ d̪ o
migrante	m i ɣ̞ ɾ ã n̪ t̪ e
migrantes	m i ɣ̞ ɾ ã n̪ t̪ e s
migrar	m i ɣ̞ ɾ a ɾ
migratorio	m i ɣ̞ ɾ a t̪ o ɾ j o
migraña	m i ɣ̞ ɾ a ɲ a
migrañosa	m i ɣ̞ ɾ a ɲ o s a
migrañoso	m i ɣ̞ ɾ a ɲ o s o
miguel	m i ɣ̞ e l
miguelito	m i ɣ̞ e l i t̪ o
mija	m i x a
mijero	m i x e ɾ o
mijilla	m i x i ʝ a
mijita	m i x i t̪ a
mijito	m i x i t̪ o
mijo	m i x o
mikado	m i k a ð̞ o
mil	m i l
mila	m i l a
milagrero	m i l a ɣ̞ ɾ e ɾ o
milagrito	m i l a ɣ̞ ɾ i t̪ o
milagro	m i l a ɣ̞ ɾ o
milagros	m i l a ɣ̞ ɾ o s
milagrosa	m i l a ɣ̞ ɾ o s a
milagrosamente	m i l a ɣ̞ ɾ o s a m ẽ n̪ t̪ e
milagrosas	m i l a ɣ̞ ɾ o s a s
milagroso	m i l a ɣ̞ ɾ o s o
milagrosos	m i l a ɣ̞ ɾ o s o s
milanesa	m i l a n e s a
milanga	m i l ã ŋ ɡ a
milano	m i l a n o
milanés	m i l a n e s
mildeu	m i l̪ d̪ e u̯
mildeus	m i l̪ d̪ e u̯ s
mildiu	m i l̪ d̪ i u̯
mildiu	m i l̪ d̪ j u
mildius	m i l̪ d̪ i u̯ s
mildius	m i l̪ d̪ j u s
mildiú	m i l̪ d̪ j u
mildiúes	m i l̪ d̪ j u e s
mildiús	m i l̪ d̪ j u s
mildéu	m i l̪ d̪ e u̯
mildéus	m i l̪ d̪ e u̯ s
mildíu	m i l̪ d̪ i u̯
mildíus	m i l̪ d̪ i u̯ s
milenario	m i l e n a ɾ j o
milenial	m i l e n j a l
milenio	m i l e n j o
miles	m i l e s
milesia	m i l e s j a
milesiana	m i l e s j a n a
milesiano	m i l e s j a n o
mileurista	m i l e u̯ ɾ i s t̪ a
mileísmo	m i l e i z m o
mileísmos	m i l e i z m o s
milgrana	m i l ɣ̞ ɾ a n a
mili	m i l i
miliamperio	m i l j ã m p e ɾ j o
miliar	m i l j a ɾ
milicia	m i l i s j a
miliciana	m i l i s j a n a
milicianas	m i l i s j a n a s
miliciano	m i l i s j a n o
milicianos	m i l i s j a n o s
milico	m i l i k o
milieu	m i l j e
milieu	m i l j e u̯
miligramo	m i l i ɣ̞ ɾ a m o
mililitro	m i l i l i t̪ ɾ o
milimetrado	m i l i m e t̪ ɾ a ð̞ o
milimétrica	m i l i m e t̪ ɾ i k a
milimétricas	m i l i m e t̪ ɾ i k a s
milimétrico	m i l i m e t̪ ɾ i k o
milimétricos	m i l i m e t̪ ɾ i k o s
milipili	m i l i p i l i
milita	m i l i t̪ a
militada	m i l i t̪ a ð̞ a
militadas	m i l i t̪ a ð̞ a s
militado	m i l i t̪ a ð̞ o
militados	m i l i t̪ a ð̞ o s
militamos	m i l i t̪ a m o s
militancia	m i l i t̪ ã n s j a
militando	m i l i t̪ ã n̪ d̪ o
militante	m i l i t̪ ã n̪ t̪ e
militar	m i l i t̪ a ɾ
militara	m i l i t̪ a ɾ a
militaras	m i l i t̪ a ɾ a s
militareis	m i l i t̪ a ɾ e i̯ s
militaremos	m i l i t̪ a ɾ e m o s
militares	m i l i t̪ a ɾ e s
militarismo	m i l i t̪ a ɾ i z m o
militarista	m i l i t̪ a ɾ i s t̪ a
militarizaciones	m i l i t̪ a ɾ i s a s j o n e s
militarización	m i l i t̪ a ɾ i s a s j õ n
militarizada	m i l i t̪ a ɾ i s a ð̞ a
militarizadas	m i l i t̪ a ɾ i s a ð̞ a s
militarizado	m i l i t̪ a ɾ i s a ð̞ o
militarizados	m i l i t̪ a ɾ i s a ð̞ o s
militarizar	m i l i t̪ a ɾ i s a ɾ
militarote	m i l i t̪ a ɾ o t̪ e
militará	m i l i t̪ a ɾ a
militarás	m i l i t̪ a ɾ a s
militaréis	m i l i t̪ a ɾ e i̯ s
militaríamos	m i l i t̪ a ɾ i a m o s
militas	m i l i t̪ a s
militaste	m i l i t̪ a s t̪ e
milite	m i l i t̪ e
militemos	m i l i t̪ e m o s
milites	m i l i t̪ e s
milito	m i l i t̪ o
militronche	m i l i t̪ ɾ õ nʲ t͡ʃ e
militáramos	m i l i t̪ a ɾ a m o s
milkshake	m i l ɣ̞ ʃ e i̯ k
milla	m i ʝ a
millaje	m i ʝ a x e
millar	m i ʝ a ɾ
millardario	m i ʝ a ɾ ð̞ a ɾ j o
millardito	m i ʝ a ɾ ð̞ i t̪ o
millardo	m i ʝ a ɾ ð̞ o
millenial	m i l e n j a l
millennial	m i l e n j a l
millo	m i ʝ o
millonada	m i ʝ o n a ð̞ a
millonaria	m i ʝ o n a ɾ j a
millonariamente	m i ʝ o n a ɾ j a m ẽ n̪ t̪ e
millonario	m i ʝ o n a ɾ j o
millonésimo	m i ʝ o n e s i m o
millón	m i ʝ õ n
milmillonésimo	m i l m i ʝ o n e s i m o
milonga	m i l õ ŋ ɡ a
milord	m i l o ɾ
milord	m i l o ɾ ð̞
milores	m i l o ɾ e s
milpa	m i l p a
milpiés	m i l p j e s
miltomate	m i l̪ t̪ o m a t̪ e
milusos	m i l u s o s
milénial	m i l e n j a l
milénica	m i l e n i k a
milésimo	m i l e s i m o
milímetro	m i l i m e t̪ ɾ o
mima	m i m a
mimada	m i m a ð̞ a
mimadas	m i m a ð̞ a s
mimado	m i m a ð̞ o
mimados	m i m a ð̞ o s
mimamos	m i m a m o s
mimando	m i m ã n̪ d̪ o
mimar	m i m a ɾ
mimbre	m ĩ m b ɾ e
mimbreada	m ĩ m b ɾ e a ð̞ a
mimbreadas	m ĩ m b ɾ e a ð̞ a s
mimbreado	m ĩ m b ɾ e a ð̞ o
mimbreados	m ĩ m b ɾ e a ð̞ o s
mimbrear	m ĩ m b ɾ e a ɾ
mimbrera	m ĩ m b ɾ e ɾ a
mimbrero	m ĩ m b ɾ e ɾ o
mimen	m i m ẽ n
mimeografiada	m i m e o ɣ̞ ɾ a f j a ð̞ a
mimeografiadas	m i m e o ɣ̞ ɾ a f j a ð̞ a s
mimeografiado	m i m e o ɣ̞ ɾ a f j a ð̞ o
mimeografiados	m i m e o ɣ̞ ɾ a f j a ð̞ o s
mimesis	m i m e s i s
mimetizada	m i m e t̪ i s a ð̞ a
mimetizadas	m i m e t̪ i s a ð̞ a s
mimetizado	m i m e t̪ i s a ð̞ o
mimetizados	m i m e t̪ i s a ð̞ o s
mimetizamos	m i m e t̪ i s a m o s
mimetizando	m i m e t̪ i s ã n̪ d̪ o
mimetizar	m i m e t̪ i s a ɾ
mimida	m i m i ð̞ a
mimidas	m i m i ð̞ a s
mimido	m i m i ð̞ o
mimidos	m i m i ð̞ o s
mimir	m i m i ɾ
mimo	m i m o
mimosa	m i m o s a
mimoso	m i m o s o
mina	m i n a
minada	m i n a ð̞ a
minadas	m i n a ð̞ a s
minado	m i n a ð̞ o
minadora	m i n a ð̞ o ɾ a
minados	m i n a ð̞ o s
minamos	m i n a m o s
minando	m i n ã n̪ d̪ o
minar	m i n a ɾ
minarete	m i n a ɾ e t̪ e
minarquista	m i n a ɾ k i s t̪ a
minas	m i n a s
minaz	m i n a s
mindoreño	m ĩ n̪ d̪ o ɾ e ɲ o
mine	m i n e
minecraftero	m ã ĩ ŋ k ɾ a f t̪ e ɾ o
minecraftiano	m ã ĩ ŋ k ɾ a f t̪ j a n o
minera	m i n e ɾ a
mineral	m i n e ɾ a l
minerales	m i n e ɾ a l e s
mineraliza	m i n e ɾ a l i s a
mineralización	m i n e ɾ a l i s a s j õ n
mineralizada	m i n e ɾ a l i s a ð̞ a
mineralizadas	m i n e ɾ a l i s a ð̞ a s
mineralizado	m i n e ɾ a l i s a ð̞ o
mineralizados	m i n e ɾ a l i s a ð̞ o s
mineralizamos	m i n e ɾ a l i s a m o s
mineralizando	m i n e ɾ a l i s ã n̪ d̪ o
mineralizar	m i n e ɾ a l i s a ɾ
mineralizara	m i n e ɾ a l i s a ɾ a
mineralizaras	m i n e ɾ a l i s a ɾ a s
mineralizareis	m i n e ɾ a l i s a ɾ e i̯ s
mineralizaremos	m i n e ɾ a l i s a ɾ e m o s
mineralizares	m i n e ɾ a l i s a ɾ e s
mineralizará	m i n e ɾ a l i s a ɾ a
mineralizarás	m i n e ɾ a l i s a ɾ a s
mineralizaríamos	m i n e ɾ a l i s a ɾ i a m o s
mineralizas	m i n e ɾ a l i s a s
mineralizaste	m i n e ɾ a l i s a s t̪ e
mineralizo	m i n e ɾ a l i s o
mineralizáramos	m i n e ɾ a l i s a ɾ a m o s
mineralogía	m i n e ɾ a l o x i a
minero	m i n e ɾ o
mineromedicinal	m i n e ɾ o m e ð̞ i s i n a l
minerva	m i n e ɾ β̞ a
minería	m i n e ɾ i a
mineróloga	m i n e ɾ o l o ɣ̞ a
mines	m i n e s
minesotano	m i n e s o t̪ a n o
minestrone	m i n e s t̪ ɾ o n e
minga	m ĩ ŋ ɡ a
mingas	m ĩ ŋ ɡ a s
mingo	m ĩ ŋ ɡ o
miniar	m i n j a ɾ
miniatura	m i n j a t̪ u ɾ a
miniaturas	m i n j a t̪ u ɾ a s
miniaturera	m i n j a t̪ u ɾ e ɾ a
miniatureras	m i n j a t̪ u ɾ e ɾ a s
miniaturero	m i n j a t̪ u ɾ e ɾ o
miniatureros	m i n j a t̪ u ɾ e ɾ o s
miniaturización	m i n j a t̪ u ɾ i s a s j õ n
miniaturizada	m i n j a t̪ u ɾ i s a ð̞ a
miniaturizadas	m i n j a t̪ u ɾ i s a ð̞ a s
miniaturizado	m i n j a t̪ u ɾ i s a ð̞ o
miniaturizados	m i n j a t̪ u ɾ i s a ð̞ o s
miniaturizar	m i n j a t̪ u ɾ i s a ɾ
miniauto	m i n j a u̯ t̪ o
minibar	m i n i β̞ a ɾ
minibús	m i n i β̞ u s
minicadena	m i n i k a ð̞ e n a
minicentral	m i n i s ẽ n̪ t̪ ɾ a l
minicentro	m i n i s ẽ n̪ t̪ ɾ o
miniciudad	m i n i s j u ð̞ a ð̞
minicomponente	m i n i k õ m p o n ẽ n̪ t̪ e
minicomputador	m i n i k õ m p u t̪ a ð̞ o ɾ
minicomputadora	m i n i k õ m p u t̪ a ð̞ o ɾ a
minifalda	m i n i f a l̪ d̪ a
minifaldera	m i n i f a l̪ d̪ e ɾ a
minifalderas	m i n i f a l̪ d̪ e ɾ a s
minifaldero	m i n i f a l̪ d̪ e ɾ o
minifalderos	m i n i f a l̪ d̪ e ɾ o s
minifundio	m i n i f ũ n̪ d̪ j o
minifundismo	m i n i f ũ n̪ d̪ i z m o
minifundista	m i n i f ũ n̪ d̪ i s t̪ a
minijefe	m i n i x e f e
minijuego	m i n i x w e ɣ̞ o
minilaptop	m i n i l a β̞ t̪ o p
miniluna	m i n i l u n a
minimal	m i n i m a l
minimalismo	m i n i m a l i z m o
minimalista	m i n i m a l i s t̪ a
minimalistas	m i n i m a l i s t̪ a s
minimalizada	m i n i m a l i s a ð̞ a
minimalizadas	m i n i m a l i s a ð̞ a s
minimalizado	m i n i m a l i s a ð̞ o
minimalizados	m i n i m a l i s a ð̞ o s
minimalizar	m i n i m a l i s a ɾ
minimización	m i n i m i s a s j õ n
minimizada	m i n i m i s a ð̞ a
minimizadas	m i n i m i s a ð̞ a s
minimizado	m i n i m i s a ð̞ o
minimizador	m i n i m i s a ð̞ o ɾ
minimizados	m i n i m i s a ð̞ o s
minimizamos	m i n i m i s a m o s
minimizando	m i n i m i s ã n̪ d̪ o
minimizar	m i n i m i s a ɾ
minina	m i n i n a
minino	m i n i n o
miniordenador	m i n j o ɾ ð̞ e n a ð̞ o ɾ
minipersiana	m i n i p e ɾ s j a n a
minipersianas	m i n i p e ɾ s j a n a s
minipimer	m i n i p i m e ɾ
miniriego	m i n i ɾ j e ɣ̞ o
ministerial	m i n i s t̪ e ɾ j a l
ministeriales	m i n i s t̪ e ɾ j a l e s
ministerializar	m i n i s t̪ e ɾ j a l i s a ɾ
ministerio	m i n i s t̪ e ɾ j o
ministra	m i n i s t̪ ɾ a
ministrable	m i n i s t̪ ɾ a β̞ l e
ministrada	m i n i s t̪ ɾ a ð̞ a
ministradas	m i n i s t̪ ɾ a ð̞ a s
ministrado	m i n i s t̪ ɾ a ð̞ o
ministrados	m i n i s t̪ ɾ a ð̞ o s
ministramos	m i n i s t̪ ɾ a m o s
ministrar	m i n i s t̪ ɾ a ɾ
ministrico	m i n i s t̪ ɾ i k o
ministril	m i n i s t̪ ɾ i l
ministro	m i n i s t̪ ɾ o
minita	m i n i t̪ a
minitérmino	m i n i t̪ e ɾ m i n o
minivestido	m i n i β̞ e s t̪ i ð̞ o
miniálbum	m i n j a l β̞ ũ m
mino	m i n o
minoica	m i n o i̯ k a
minoicas	m i n o i̯ k a s
minoico	m i n o i̯ k o
minoicos	m i n o i̯ k o s
minor	m a i̯ n o ɾ
minorante	m i n o ɾ ã n̪ t̪ e
minorar	m i n o ɾ a ɾ
minore	m i n o ɾ e
minoridad	m i n o ɾ i ð̞ a ð̞
minorismo	m i n o ɾ i z m o
minorista	m i n o ɾ i s t̪ a
minorita	m i n o ɾ i t̪ a
minoritaria	m i n o ɾ i t̪ a ɾ j a
minoritarias	m i n o ɾ i t̪ a ɾ j a s
minoritario	m i n o ɾ i t̪ a ɾ j o
minoritarios	m i n o ɾ i t̪ a ɾ j o s
minorización	m i n o ɾ i s a s j õ n
minorizada	m i n o ɾ i s a ð̞ a
minorizadas	m i n o ɾ i s a ð̞ a s
minorizado	m i n o ɾ i s a ð̞ o
minorizados	m i n o ɾ i s a ð̞ o s
minorizar	m i n o ɾ i s a ɾ
minoría	m i n o ɾ i a
minotauro	m i n o t̪ a u̯ ɾ o
minskeño	m ĩ n s k e ɲ o
mintamos	m ĩ n̪ t̪ a m o s
mintiéremos	m ĩ n̪ t̪ j e ɾ e m o s
minuanes	m i n w a n e s
minucia	m i n u s j a
minuciosamente	m i n u s j o s a m ẽ n̪ t̪ e
minuciosidad	m i n u s j o s i ð̞ a ð̞
minucioso	m i n u s j o s o
minuendo	m i n w ẽ n̪ d̪ o
minusa	m i n u s a
minusas	m i n u s a s
minusvalorada	m i n u z β̞ a l o ɾ a ð̞ a
minusvaloradas	m i n u z β̞ a l o ɾ a ð̞ a s
minusvalorado	m i n u z β̞ a l o ɾ a ð̞ o
minusvalorados	m i n u z β̞ a l o ɾ a ð̞ o s
minusválido	m i n u z β̞ a l i ð̞ o
minuta	m i n u t̪ a
minutaje	m i n u t̪ a x e
minutero	m i n u t̪ e ɾ o
minutito	m i n u t̪ i t̪ o
minuto	m i n u t̪ o
minué	m i n w e
miná	m i n a
minúscula	m i n u s k u l a
minúsculas	m i n u s k u l a s
minúsculo	m i n u s k u l o
minúsculos	m i n u s k u l o s
mio	m j o
mioblasto	m j o β̞ l a s t̪ o
miocardio	m j o k a ɾ ð̞ j o
miocarditis	m j o k a ɾ ð̞ i t̪ i s
mioceno	m j o s e n o
miocito	m j o s i t̪ o
miocitos	m j o s i t̪ o s
mioclono	m j o k l o n o
mioepitelial	m j o e p i t̪ e l j a l
miofascial	m j o f a s j a l
miofibrilla	m j o f i β̞ ɾ i ʝ a
miofilamento	m j o f i l a m ẽ n̪ t̪ o
miomatoso	m j o m a t̪ o s o
miometrio	m j o m e t̪ ɾ j o
mionca	m j õ ŋ k a
miopatía	m j o p a t̪ i a
miopática	m j o p a t̪ i k a
miopáticas	m j o p a t̪ i k a s
miopático	m j o p a t̪ i k o
miopáticos	m j o p a t̪ i k o s
miopía	m j o p i a
miositis	m j o s i t̪ i s
miotonía	m j o t̪ o n i a
mir	m i ɾ
mira	m i ɾ a
mirabel	m i ɾ a β̞ e l
mirad	m i ɾ a ð̞
mirada	m i ɾ a ð̞ a
miradas	m i ɾ a ð̞ a s
miradero	m i ɾ a ð̞ e ɾ o
miradita	m i ɾ a ð̞ i t̪ a
miraditas	m i ɾ a ð̞ i t̪ a s
mirado	m i ɾ a ð̞ o
mirador	m i ɾ a ð̞ o ɾ
miradores	m i ɾ a ð̞ o ɾ e s
mirados	m i ɾ a ð̞ o s
miraflorino	m i ɾ a f l o ɾ i n o
miraglo	m i ɾ a ɣ̞ l o
miramamolín	m i ɾ a m a m o l ĩ n
miramiento	m i ɾ a m j ẽ n̪ t̪ o
miramos	m i ɾ a m o s
mirandesa	m i ɾ ã n̪ d̪ e s a
mirandesas	m i ɾ ã n̪ d̪ e s a s
mirandeses	m i ɾ ã n̪ d̪ e s e s
mirando	m i ɾ ã n̪ d̪ o
mirandés	m i ɾ ã n̪ d̪ e s
mirar	m i ɾ a ɾ
miraremos	m i ɾ a ɾ e m o s
miraréis	m i ɾ a ɾ e i̯ s
miras	m i ɾ a s
mirasol	m i ɾ a s o l
mirasteis	m i ɾ a s t̪ e i̯ s
mire	m i ɾ e
mires	m i ɾ e s
mirilla	m i ɾ i ʝ a
mirista	m i ɾ i s t̪ a
miristicácea	m i ɾ i s t̪ i k a s e a
miriápodo	m i ɾ j a p o ð̞ o
miriñaque	m i ɾ i ɲ a k e
mirla	m i ɾ l a
mirlo	m i ɾ l o
mirobálano	m i ɾ o β̞ a l a n o
mirona	m i ɾ o n a
mironas	m i ɾ o n a s
mironeada	m i ɾ o n e a ð̞ a
mironeadas	m i ɾ o n e a ð̞ a s
mironeado	m i ɾ o n e a ð̞ o
mironeados	m i ɾ o n e a ð̞ o s
mironear	m i ɾ o n e a ɾ
mironeo	m i ɾ o n e o
mirones	m i ɾ o n e s
mironiano	m i ɾ o n j a n o
mirosinasa	m i ɾ o s i n a s a
mirra	m i r a
mirtazapina	m i ɾ t̪ a s a p i n a
mirtilo	m i ɾ t̪ i l o
mirto	m i ɾ t̪ o
miráculo	m i ɾ a k u l o
mirái	m i ɾ a i̯
mirás	m i ɾ a s
miréis	m i ɾ e i̯ s
mirés	m i ɾ e s
miríada	m i ɾ i a ð̞ a
mirífica	m i ɾ i f i k a
miríficas	m i ɾ i f i k a s
mirífico	m i ɾ i f i k o
miríficos	m i ɾ i f i k o s
mirístico	m i ɾ i s t̪ i k o
mirón	m i ɾ õ n
mis	m i s
misa	m i s a
misandria	m i s ã n̪ d̪ ɾ j a
misantropía	m i s ã n̪ t̪ ɾ o p i a
misantrópica	m i s ã n̪ t̪ ɾ o p i k a
misantrópicas	m i s ã n̪ t̪ ɾ o p i k a s
misantrópico	m i s ã n̪ t̪ ɾ o p i k o
misantrópicos	m i s ã n̪ t̪ ɾ o p i k o s
miscelánea	m i s e l a n e a
miserable	m i s e ɾ a β̞ l e
miserablemente	m i s e ɾ a β̞ l e m ẽ n̪ t̪ e
miserables	m i s e ɾ a β̞ l e s
miseria	m i s e ɾ j a
misericorde	m i s e ɾ i k o ɾ ð̞ e
misericordia	m i s e ɾ i k o ɾ ð̞ j a
misericordiosa	m i s e ɾ i k o ɾ ð̞ j o s a
misericordiosas	m i s e ɾ i k o ɾ ð̞ j o s a s
misericordioso	m i s e ɾ i k o ɾ ð̞ j o s o
misericordiosos	m i s e ɾ i k o ɾ ð̞ j o s o s
mish	m i ʃ
mishqui	m i ʃ k i
misia	m i s j a
misias	m i s j a s
misil	m i s i l
misilero	m i s i l e ɾ o
misilístico	m i s i l i s t̪ i k o
misio	m i s j o
misionar	m i s j o n a ɾ
misionaria	m i s j o n a ɾ j a
misionarias	m i s j o n a ɾ j a s
misionario	m i s j o n a ɾ j o
misionera	m i s j o n e ɾ a
misionero	m i s j o n e ɾ o
misios	m i s j o s
misis	m i s i s
misita	m i s i t̪ a
misiva	m i s i β̞ a
misiá	m i s j a
misión	m i s j õ n
mismas	m i z m a s
mismitico	m i z m i t̪ i k o
mismito	m i z m i t̪ o
mismo	m i z m o
mismos	m i z m o s
mismísimo	m i z m i s i m o
miso	m i s o
misoginia	m i s o x i n j a
misoneísmo	m i s o n e i z m o
misoneísta	m i s o n e i s t̪ a
misoprostol	m i s o p ɾ o s t̪ o l
miss	m i s
mista	m i s t̪ a
mistas	m i s t̪ a s
mistela	m i s t̪ e l a
misterio	m i s t̪ e ɾ j o
misteriosa	m i s t̪ e ɾ j o s a
misteriosamente	m i s t̪ e ɾ j o s a m ẽ n̪ t̪ e
misteriosas	m i s t̪ e ɾ j o s a s
misterioso	m i s t̪ e ɾ j o s o
misteriosos	m i s t̪ e ɾ j o s o s
misticismo	m i s t̪ i s i z m o
mistificación	m i s t̪ i f i k a s j õ n
mistificada	m i s t̪ i f i k a ð̞ a
mistificadas	m i s t̪ i f i k a ð̞ a s
mistificado	m i s t̪ i f i k a ð̞ o
mistificados	m i s t̪ i f i k a ð̞ o s
mistificamos	m i s t̪ i f i k a m o s
mistificar	m i s t̪ i f i k a ɾ
misto	m i s t̪ o
mistol	m i s t̪ o l
mistos	m i s t̪ o s
mistral	m i s t̪ ɾ a l
mistraliano	m i s t̪ ɾ a l j a n o
misturera	m i s t̪ u ɾ e ɾ a
mistureras	m i s t̪ u ɾ e ɾ a s
misturero	m i s t̪ u ɾ e ɾ o
mistureros	m i s t̪ u ɾ e ɾ o s
mistérico	m i s t̪ e ɾ i k o
misuriano	m i s u ɾ j a n o
misándrica	m i s ã n̪ d̪ ɾ i k a
misándrico	m i s ã n̪ d̪ ɾ i k o
misántropa	m i s ã n̪ t̪ ɾ o p a
misérrima	m i s e r i m a
misérrimas	m i s e r i m a s
misérrimo	m i s e r i m o
misérrimos	m i s e r i m o s
misógina	m i s o x i n a
misóginas	m i s o x i n a s
misógino	m i s o x i n o
misóginos	m i s o x i n o s
mitad	m i t̪ a ð̞
miteco	m i t̪ e k o
mitema	m i t̪ e m a
mitificación	m i t̪ i f i k a s j õ n
mitificada	m i t̪ i f i k a ð̞ a
mitificadas	m i t̪ i f i k a ð̞ a s
mitificado	m i t̪ i f i k a ð̞ o
mitificados	m i t̪ i f i k a ð̞ o s
mitificar	m i t̪ i f i k a ɾ
mitificábamos	m i t̪ i f i k a β̞ a m o s
mitigable	m i t̪ i ɣ̞ a β̞ l e
