ഁ	◌̃
മധുരം	m ɐ d̪ʱ u ɾ ɐ m
മധുരക്കിഴങ്ങ്	m ä dʱ u ɾ ɐ kː i ɻ ɐ ŋː ɨ̆
മധുരനാരങ്ങ	m ä d̪ʱ u ɾ ɐ n̪ äː ɾ ɐ ŋː ä
മധുരിക്കുക	m ɐ d̪ʱ u ɾ i k k u ɡ ɐ
മധുവിധു	m ɐ d̪ʱ u ʋ i d̪ʱ u
മധ്യം	m ɐ d̪ʱ j ɐ m
മധ്യധരണ്യാഴി	m ɐ d̪ʰ j ɐ dʰ ɐ ɾ ɐ ɳ j aː ɻ i
മന	m ɐ n ɐ
മനഃപൂർവ്വം	m ɐ n ɐ p p uː r ʋ ʋ ɐ m
മനസ്സാക്ഷി	m ɐ n ɐ s s aː k ʂ i
മനസ്സിലാക്കുക	m ɐ n ɐ s s i l aː k k u ɡ ɐ
മനസ്സ്	m ɐ n ɐ s s ə̆
മനിതൻ	m ɐ n i d̪ ɐ n
മനുജൻ	m ɐ n u d͡ʒ ɐ n
മനുഷ്യൻ	m ɐ n u ʂ j ɐ n
മനോഹരം	m a n oː h a ɾ a m
മനോഹരമായ	m ɐ n oː h ɐ ɾ ɐ m aː j ɐ
മന്താരം	m ɐ n̪ d̪ aː ɾ ɐ m
മന്ത്രം	m ɐ n̪ d̪ r ɐ m
മന്ത്രവാദം	m ɐ n̪ d̪ r ɐ ʋ aː d̪ ɐ m
മന്ത്രി	m ɐ n̪ d̪ r i
മന്ദം	m ɐ n̪ d̪ ɐ m
മന്ദബുദ്ധി	m ɐ n̪ d̪ ɐ b u d̪ d̪ʱ i
മന്നൻ	m ɐ n̪ n̪ ɐ n
മപ്പ്	m ɐ p p ə̆
മഫ്ത	m ɐ f t̪ ɐ
മമ	m ɐ m ɐ
മമത	m ɐ m ɐ d̪ ɐ
മയക്കം	m ɐ j ɐ k k ɐ m
മയക്കമരുന്ന്	m ɐ j ɐ k k ɐ m ɐ ɾ u n̪ n̪ ə̆
മയക്കുക	m ɐ j ɐ k k u ɡ ɐ
മയങ്ങുക	m ɐ j ɐ ŋ ŋ u ɡ ɐ
മയിർ	m ɐ j i r
മയിൽ	m ɐ j i l
മയൂരം	m a j uː ɾ a m
മയോസിസ്	m ä j oː s i s ɨ̆
മയ്യത്ത്	m ä jː ä t̪ː ɨ̆
മയ്യഴി	m ɐ j j ɐ ɻ i
മര	m ɐ ɾ ɐ
മരം	m ɐ ɾ ɐ m
മരംകൊത്തി	m a ɾ a m k o t̪ t̪ i
മരക്കലം	m ɐ ɾ ɐ k k ɐ l ɐ m
മരച്ചീനി	m ɐ ɾ ɐ t͡ʃ t͡ʃ iː n i
മരണം	m ɐ ɾ ɐ ɳ ɐ m
മരതകം	m ɐ ɾ ɐ d̪ ɐ ɡ ɐ m
മരപ്പട്ടി	m ɐ ɾ ɐ p p ɐ ʈ ʈ i
മരമഞ്ഞൾ	m a ɾ a m a ɲː a ɭ
മരവിക്കുക	m ɐ ɾ ɐ ʋ i k k u ɡ ɐ
മരിക്കുക	m ɐ ɾ i k k u ɡ ɐ
മരുതം	m ɐ ɾ u d̪ ɐ m
മരുത്തൻ	m ɐ ɾ u t̪ t̪ ɐ n
മരുന്ന്	m ɐ ɾ u n̪ n̪ ə̆
മരുഭൂമി	m ɐ ɾ u bʱ uː m i
മരുമകൻ	m ɐ ɾ u m ɐ ɡ ɐ n
മരുമകൾ	m ɐ ɾ u m ɐ ɡ ɐ ɭ
മറ	m ɐ r ɐ
മറയുക	m ɐ r ɐ j u ɡ ɐ
മറയ്ക്കുക	m ɐ r ɐ j k k u ɡ ɐ
മറാഠി	m ɐ r aː ʈʰ i
മറാത്തി	m ɐ r aː t̪ t̪ i
മറിച്ച്	m ä r i t͡ʃː ɨ̆
മറിമായം	m ɐ r i m aː j ɐ m
മറിയം	m ɐ r i j ɐ m
മറ്റന്നാൾ	m ɐ t t ɐ n̪ n̪ aː ɭ
മറ്റെ	m ɐ t t e
മറ്റേത്	m ɐ tː eː d̪ ɨ̆
മറ്റ്	m ɐ t t ə̆
മല	m ɐ l ɐ
മലം	m ɐ l ɐ m
മലപ്പുറം	m ɐ l ɐ p p u r ɐ m
മലബന്ധം	m ɐ l ɐ b ɐ n̪ d̪ʱ ɐ m
മലമ്പാമ്പ്	m ɐ l ɐ m b aː m b ə̆
മലയാളം	m ɐ l ɐ j aː ɭ ɐ m
മലയാളി	m ɐ l ɐ j aː ɭ i
മലയാഴ്മ	m ɐ l ɐ j aː ɻ m ɐ
മലവേടൻ	m ɐ l ɐ ʋ eː ɖ ɐ n
മലിനീകരണം	m ɐ l i n iː ɡ ɐ ɾ ɐ ɳ ɐ m
മല്പാൻ	m ɐ l p aː n
മല്ലി	m ɐ l l i
മല്ലിക	m ɐ l l i ɡ ɐ
മല്ലു	m ɐ l l u
മലർ	m ɐ l ɐ r
മലർക്കുക	m ɐ l ɐ r k k u ɡ ɐ
മലർത്തുക	m a l a r t̪ t̪ u ɡ a
മഴ	m ɐ ɻ ɐ
മഴവില്ല്	m ɐ ɻ ɐ ʋ i l l ə̆
മഴു	m ɐ ɻ u
മഷി	m ɐ ʂ i
മസാച്യുസെറ്റ്സ്	m a s aː t͡ʃ j u s e tː s ɨ̆
മസാല	m ɐ s aː l ɐ
മസ്തകം	m ɐ s t̪ ɐ ɡ ɐ m
മസ്തിഷ്കം	m ɐ s t̪ i ʂ k ɐ m
മസ്തിഷ്കപ്രക്ഷാളനം	m a s t̪ i ʂ k ä p r ɐ k ʂ ä ɭ ɐ n e m
മഹസ്സർ	m ä h ɐ sː ɐ r
മഹാ	m ɐ h aː
മഹാഗണി	m ɐ h aː ɡ ɐ ɳ i
മഹാഭാരതം	m ɐ h aː bʱ aː ɾ ɐ d̪ ɐ m
മഹാമാരി	m ɐ h aː m aː ɾ i
മഹാരാഷ്ട്ര	m ɐ h aː ɾ aː ʂ ʈ r ɐ
മഹാലക്ഷ്മി	m ɐ h aː l ɐ k ʂ m i
മഹാൻ	m ɐ h aː n
മഹിമ	m ɐ h i m ɐ
മാ	m aː
മാംസം	m aː m s ɐ m
മാംസഭുക്ക്	m aː m s ɐ bʱ u k k ə̆
മാകാണി	m aː ɡ aː ɳ i
മാക്രി	m aː k r i
മാങ്കോസ്റ്റീൻ	m aː ŋ ɡ oː s t t iː n
മാങ്ങ	m aː ŋː ɐ
മാച്ചിൽ	m äː t͡ʃː i l
മാടത്ത	m aː ɖ ɐ t̪ t̪ ɐ
മാടുക	m äː ɖ u ɡ ä
മാട്	m aː ɖ ə̆
മാട്ടം	m äː ʈː ɐ m
മാണി	m aː ɳ i
മാണിക്യം	m aː ɳ i k j ɐ m
മാതളനാരങ്ങ	m aː d̪ ɐ ɭ ɐ n aː ɾ ɐ ŋ ŋ ɐ
മാതാപിതാക്കൾ	m aː d̪ aː b i d̪ aː kː a l
മാതാവ്	m aː d̪ aː ʋ ə̆
മാത്തമാറ്റിക്സ്	m äː t̪ː ɐ m äː t i k s ɨ̆
മാത്രം	m aː t̪ r a m
മാദ്ധ്യമം	m aː d̪ d̪ʱ j a m a m
മാധവം	m aː d̪ʱ a ʋ a m
മാനം	m aː n ɐ m
മാനദണ്ഡം	m aː n a d̪ a ɳ ɖ a m
മാനവതാവാദം	m aː n ɐ ʋ ɐ d̪ aː ʋ aː d̪ ɐ m
മാനവൻ	m aː n ɐ ʋ ɐ n
മാനിക്കുക	m aː n i k k u ɡ ɐ
മാനേജർ	m äː n eː d͡ʒ ɐ r
മാന്തുക	m aː n̪ d̪ u ɡ ɐ
മാന്ത്	m aː n̪ d̪ ə̆
മാന്തൾ	m aː n̪ d̪ ɐ ɭ
മാപ്പിള	m aː p p i ɭ ɐ
മാപ്പിളപ്പാട്ട്	m aː p p i ɭ ɐ p p aː ʈ ʈ ə̆
മാപ്പ്	m aː p p ə̆
മാമി	m aː m i
മാമോദീസ	m aː m oː d̪ iː s ɐ
മാമ്പഴം	m aː m b ɐ ɻ ɐ m
മാമൻ	m aː m a n
മായ	m aː j ɐ
മായ്ക്കുക	m aː j k k u ɡ ɐ
മാരി	m aː ɾ i
മാറാല	m aː r aː l ɐ
മാറുക	m aː r u ɡ ɐ
മാറ്	m aː r ə̆
മാറ്റം	m aː t t ɐ m
മാറ്റുക	m aː t t u ɡ ɐ
മാറ്റൊലി	m aː t t o l i
മാല	m aː l ɐ
മാലയിടുക	m aː l ɐ j i ɖ u ɡ ɐ
മാലാഖ	m aː l aː kʰ ɐ
മാലിന്യം	m aː l i n j ɐ m
മാലൂമി	m äː l uː m i
മാളിക	m aː ɭ i ɡ ɐ
മാഴ	m aː ɻ ɐ
മാവ്	m aː ʋ ɨ̆
മാഷ്	m äː ʂ ɨ̆
മാസം	m aː s ɐ m
മാൻ	m aː n
മാർ	m aː r
മാർകഴി	m aː r k ɐ ɻ i
മാർക്കം	m aː r k k ɐ m
മാർക്ക്	m äː r kː ɨ̆
മാർച്ച്	m aː r t͡ʃː ɨ̆
മാർജ്ജാരൻ	m aː r d͡ʒ d͡ʒ aː ɾ ɐ n
മാർത്തോമ്മാ	m aː r t̪ t̪ oː m m aː
മാർദ്ദവം	m aː r d̪ d̪ ɐ ʋ ɐ m
മാർപ്പാപ്പ	m aː r p p aː p p ɐ
മാർവാഡി	m aː r ʋ aː ɖ i
മികച്ച	m i ɡ ɐ t͡ʃ t͡ʃ ɐ
മിച്ചം	m i t͡ʃ t͡ʃ ɐ m
മിടിൽ	m i ɖ i l
മിഠായി	m i ʈʰ aː j i
മിണ്ടുക	m i ɳ ɖ u ɡ ɐ
മിതം	m i d̪ ɐ m
മിത്രം	m i t̪ r ɐ m
മിഥുനം	m i t̪ʰ u n ɐ m
മിഥ്യ	m i t̪ʰ j ɐ
മിനിഞ്ഞാന്ന്	m i n i ɲ ɲ aː n̪ n̪ ə̆
മിനുസമാർന്ന	m i n u s ɐ m aː r n̪ n̪ ɐ
മിനുസ്സം	m i n u s s ɐ m
മിനുസ്സമുള്ള	m i n u s s ɐ m u ɭ ɭ ɐ
മിന്നുക	m i n̪ n̪ u ɡ ɐ
മിന്നൽ	m i n n ɐ l
മിന്നൽപ്പിണർ	m i n̪ n̪ ɐ l p p i ɳ ɐ r
മിയ്ജ	m i j d͡ʒ ɐ
മിറുക്കല്‍	m i r u k k ɐ l‍
മില്യൻ	m i l j ɐ n
മിളിന്ദം	m i ɭ i n̪ d̪ ɐ m
മിളിർ	m i ɭ i r
മിളീറ്	m i ɭ iː r ə̆
മിഴാവ്	m i ɻ aː ʋ ə̆
മിഴി	m i ɻ i
മിഴിക്കുക	m i ɻ i k k u ɡ ɐ
മിശിഹാ	m i ʃ i h aː
മിശ്രീം	m i ʃ ɾ iː m
മിശ്രേം	m i ʃ ɾ eː m
മിസോറം	m i s oː r ɐ m
മീടു	m iː ɖ u
മീട്	m iː ɖ ə̆
മീനം	m iː n ɐ m
മീറ	m iː r ä
മീറ്റർ	m iː t a r
മീശ	m iː ʃ ɐ
മീൻ	m iː n
മീൻപിടിക്കുക	m iː n p i ɖ i k k u ɡ ɐ
മീൻപിടിത്തം	m iː n b i ɖ i t̪ː a m
മുംബൈ	m u m b ɐ i̯
മുകം	m u ɡ ɐ m
മുകിൽ	m u ɡ i l
മുക്കാണി	m u k k aː ɳ i
മുക്കാൽ	m u kː äː l
മുക്കുക	m u k k u ɡ ɐ
മുക്കുവൻ	m u k k u ʋ ɐ n
മുക്കുവർ	m u k k u ʋ ɐ r
മുക്ത	m u k t̪ ɐ
മുക്തിയാർ	m u k t̪ i j äː r
മുകൾ	m u ɡ ɐ ɭ
മുഖ	m u kʰ ɐ
മുഖം	m u kʰ ɐ m
മുഖപ്രസംഗം	m u kʰ a p r a s a n ɡ a m
മുഖേന	m u kʰ eː n ɐ
മുഖ്യ	m u kʰ j ɐ
മുഖ്യൻ	m u kʰ j ɐ n
മുങ്ങിയ	m u ŋ ŋ i j ɐ
മുങ്ങുക	m u ŋ ŋ u ɡ ɐ
മുചിരി	m u d͡ʒ i ɾ i
മുഞ്ഞി	m u ɲ ɲ i
മുടക്കുക	m u ɖ ɐ k k u ɡ ɐ
മുടങ്ങുക	m u ɖ ɐ ŋ ŋ u ɡ ɐ
മുടന്തുക	m u ɖ ɐ n̪ d̪ u ɡ ɐ
മുടി	m u ɖ i
മുടിക്കുക	m u ɖ i k k u ɡ ɐ
മുട്ട	m u ʈ ʈ ɐ
മുട്ടക്കോസ്	m u ʈ ʈ ɐ k k oː s ə̆
മുട്ടുക	m u ʈ ʈ u ɡ ɐ
മുട്ടുകുത്തുക	m u ʈ ʈ u ɡ u t̪ t̪ u ɡ ɐ
മുട്ട്	m u ʈː ɨ̆
മുണ്ടാണി	m u ɳ ɖ aː ɳ i
മുണ്ടിനീര്	m u ɳ ɖ i n iː ɾ ə̆
മുണ്ട്	m u ɳ ɖ ə̆
മുതല	m u d̪ ɐ l ɐ
മുതലാളി	m u d̪ ɐ l aː ɭ i
മുതുക്	m u d̪ u ɡ ə̆
മുത്തങ്ങ	m u t̪ t̪ ɐ ŋ ŋ ɐ
മുത്തമിഴ്	m u t̪ t̪ ɐ m i ɻ ə̆
മുത്തശ്ശി	m u t̪ t̪ ɐ ʃ ʃ i
മുത്താഴം	m u t̪ t̪ aː ɻ ɐ m
മുത്തിക്കുക	m u t̪ t̪ i k k u ɡ ɐ
മുത്തുക	m u t̪ t̪ u ɡ ɐ
മുത്തുക്കുട	m u t̪ t̪ u k k u ɖ ɐ
മുത്തുച്ചിപ്പി	m u t̪ t̪ u t͡ʃ t͡ʃ i p p i
മുത്ത്	m u t̪ t̪ ə̆
മുതൽ	m u d̪ ɐ l
മുന	m u n ɐ
മുനി	m u n i
മുനിസിപ്പൽ	m u n i s i p i l
മുന്തിയ	m u n̪ d̪ i j ɐ
മുന്തിരി	m u n̪ d̪ i ɾ i
മുന്നാക്ക	m u n̪ː aː kː a
മുന്നാക്കം	m u n̪ː aː kː a m
മുന്നൂറാം	m u n̪ n̪ uː r aː m
മുന്നൂറ്	m u n̪ n̪ uː r ə̆
മുന്നേറുക	m u n̪ n̪ eː r u ɡ ɐ
മുന്നോട്ട്	m u n̪ n̪ oː ʈ ʈ ə̆
മുപ്പതാം	m u p p ɐ d̪ aː m
മുപ്പത്	m u p p ɐ d̪ ə̆
മുമ്പ്	m u m b ə̆
മുയൽ	m u j a l
മുയൽച്ചെവിയൻ	m u j a l t͡ʃ t͡ʃ e ʋ i j a n
മുരടുക	m u ɾ ɐ ɖ u ɡ ɐ
മുരളി	m u ɾ ɐ ɭ i
മുരിങ്ങ	m u ɾ i ŋ ŋ ɐ
മുറ	m u r ɐ
മുറച്ചെറുക്കൻ	m u r ɐ t͡ʃ t͡ʃ e r u k k ɐ n
മുറപ്പെണ്ണ്	m u r ɐ p p e ɳ ɳ ə
മുറി	m u r i
മുറിക്കുക	m u r i k k u ɡ ɐ
മുറിക്ക്	m u r i k k ə̆
മുറിയുക	m u r i j u ɡ ɐ
മുറുകുക	m u r u ɡ u k ɐ
മുറുക്കുക	m u r u k k u ɡ ɐ
മുറുവൽ	m u r u ʋ ɐ l
മുറ്റ	m u t t ɐ
മുറ്റം	m u t t ɐ m
മുല	m u l ɐ
മുലപ്പാൽ	m u l ɐ pː aː l
മുല്ല	m u lː ɐ
മുള	m u ɭ ɐ
മുളക്	m u ɭ ɐ ɡ ə̆
മുളയ്ക്കുക	m u ɭ ɐ j k k u ɡ ɐ
മുളയ്പ്പിക്കുക	m u ɭ ɐ j p p i k k u ɡ ɐ
മുള്ളുക	m u ɭ ɭ u ɡ ɐ
മുള്ള്	m u ɭ ɭ ə̆
മുള്ളൻപന്നി	m u ɭˑ ɭ ɐ nˑ p ɐ n̪ˑ n̪ i
മുഴ	m u ɻ ɐ
മുഴം	m u ɻ ɐ m
മുഴിപ്പ്	m u ɻ i pː ɨ̆
മുഴു	m u ɻ u
മുഴുകുക	m u ɻ u ɡ u k ɐ
മുഴുങ്ങുക	m u ɻ u ŋ ŋ u ɡ ɐ
മുഴുവൻ	m u ɻ u ʋ ɐ n
മുഷിഞ്ഞ	m u ʂ i ɲ ɲ ɐ
മുഷിയുക	m u ʂ i j u ɡ ɐ
മുഷ്ടി	m u ʂ ʈ i
മുസംബി	m u s ɐ m b i
മുസലം	m u s ɐ l ɐ m
മുസാവരി	m u s ä ʋ ɐ ɾ i
മുസീവത്ത്	m u s iː ʋ ɐ t̪ː ɨ̆
മുസ്ലീം	m u s l iː m
മുഹബ്ബത്ത്	m u h ä bː ɐ t̪ː ɨ̆
മുഹമ്മദ്	m u h ɐ m m ɐ d̪ ə̆
മുഹറ്രം	m u h ɐ t t ɐ m
മുൻ	m u n
മുൻവിചാരം	m u n ʋ i d͡ʒ aː ɾ ɐ m
മുൻഷി	m u n ʂ i
മുൻസിപ്പാൽ	m u n s i p äː l
മുൻസിഫ്	m u n s i f ɨ̆
മൂകം	m uː ɡ ɐ m
മൂക്കുക	m uː k k u ɡ ɐ
മൂക്കുത്തി	m uː k k u t̪ t̪ i
മൂക്ക്	m uː k k ə̆
മൂങ്ങ	m uː ŋ ŋ ɐ
മൂഞ്ചുക	m uː ɲ d͡ʒ u ɡ ɐ
മൂടി	m uː ɖ i
മൂടുക	m uː ɖ u ɡ ɐ
മൂട്	m uː ɖ ə̆
മൂട്ട	m uː ʈ ʈ ɐ
മൂഢത	m uː ɖʱ ɐ d̪ ɐ
മൂഢൻ	m uː ɖʱ ɐ n
മൂത്ത	m uː t̪ t̪ ɐ
മൂത്രം	m uː t̪ r ɐ m
മൂന്നാം	m uː n̪ n̪ aː m
മൂന്നുമാ	m uː n̪ n̪ u m aː
മൂന്ന്	m uː n̪ n̪ ə̆
മൂപ്പത്തി	m uː p p ɐ t̪ t̪ i
മൂപ്പൻ	m uː p p ɐ n
മൂപ്പർ	m uː p p ɐ r
മൂരി	m uː ɾ i
മൂലം	m uː l ɐ m
മൂലധനം	m uː l ɐ d̪ʱ ɐ n ɐ m
മൂല്യം	m uː l j ɐ m
മൂള	m uː ɭ ɐ
മൂളൽ	m uː ɭ ɐ l
മൂസ്	m uː s ɨ̆
മൂർച്ചയുള്ള	m uː r t͡ʃ t͡ʃ ɐ j u ɭ ɭ ɐ
മൂർത്ത	m uː r t̪ː a
മൂർത്തം	m uː r t̪ː a m
മൂർത്തി	m uː r t̪ t̪ i
മൂർദ്ധാവ്	m uː r d̪ d̪ʱ aː ʋ ə̆
മൃഗ	m r i ɡ ɐ
മൃഗം	m r i ɡ ɐ m
മൃഗശാല	m r i ɡ ɐ ʃ aː l ɐ
മൃഗീയ	m r i ɡ iː j ɐ
മൃദംഗം	m r i d̪ ɐ ŋ ɡ ɐ m
മൃദു	m r i d̪ u
മെത്ത	m e t̪ t̪ ɐ
മെത്രാൻ	m e t̪ r aː n
മെനയുക	m e n ɐ j u ɡ ɐ
മെയിൽബോക്സ്	m e j i l b oː k s ɨ̆
മെയ്	m e j ɨ̆
മെരു	m e ɾ u
മെറ്റാബോലോസോം	m e t aː b oː l oː s oː m
മെലിഞ്ഞ	m e l i ɲ ɲ ɐ
മെഴുകുക	m e ɻ u ɡ u k ɐ
മെഴുകുതിരി	m e ɻ u ɡ u d̪ i ɾ i
മെഴുക്	m e ɻ u ɡ ə̆
മേഖല	m eː kʰ ɐ l ɐ
മേഘ	m eː ɡʱ ɐ
മേഘം	m eː ɡʱ ɐ m
മേഘസ്ഫോടനം	m eː ɡʱ ɐ s f oː ɖ ɐ n ɐ m
മേഘാലയ	m eː ɡʱ aː l ɐ j ɐ
മേടം	m eː ɖ ɐ m
മേനോൻ	m eː n oː n
മേന്മ	m eː n m ɐ
മേപ്പടിയാൻ	m eː pː a ɖ i j aː n
മേയുക	m eː j u ɡ ɐ
മേയ്	m eː j ə̆
മേയ്ക്കുക	m eː j k k u ɡ ɐ
മേലാപ്പ്	m eː l aː p p ə
മേളം	m eː ɭ ɐ m
മേശ	m eː ʃ ɐ
മേഷം	m eː ʂ ɐ m
മേസ്തിരി	m eː s t̪ i ɾ i
മേൽ	m eː l
മേൽത്തരം	m eː l t̪ t̪ ɐ ɾ ɐ m
മേൽനോട്ടം	m eː l n oː ʈː a m
മൈക്ക്	m ɐ i̯ k k ə̆
മൈക്രോവേവ്	m ä i k ɾ oː ʋ eː ʋ ɨ̆
മൈതാനം	m ɐ i̯ d̪ aː n ɐ m
മൈദാനം	m ɐ i̯ d̪ aː n ɐ m
മൈന	m ɐ i̯ n ɐ
മൈറ്റോസിസ്	m ä i t oː s i s ɨ̆
മൈലാഞ്ചി	m ɐ i̯ l aː ɲ d͡ʒ i
മൊങ്ങ	m o ŋ ŋ ɐ
മൊഞ്ച്	m o ɲ d͡ʒ ə̆
മൊട	m o ɖ ɐ
മൊട്ട	m o ʈ ʈ ɐ
മൊട്ട്	m o ʈː ɘ
മൊണ്ണൻ	m o ɳ ɳ ɐ n
മൊത്തം	m o t̪ t̪ ɐ m
മൊത്തത്തിൽ	m o t̪ t̪ ɐ t̪ t̪ i l
മൊത്തിക്കുക	m o t̪ t̪ i k k u ɡ ɐ
മൊത്തുക	m o t̪ t̪ u ɡ ɐ
മൊന്ദു	m o n̪ d̪ u
മൊബൈൽഫോൺ	m o b ɐ i l f oː ɳ
മൊയ്ദീൻ	m o j d̪ iː n
മൊഴി	m o ɻ i
മൊഴിക്ക്	m o ɻ i k k ə̆
മൊഴിയുക	m o ɻ i j u ɡ ɐ
മോക്ഷം	m oː k ʂ ɐ m
മോണ	m oː ɳ ɐ
മോതിരം	m oː d̪ i ɾ ɐ m
മോന്ത	m oː n̪ d̪ ɐ
മോന്തുക	m oː n̪ d̪ u ɡ ɐ
മോര്	m oː ɾ ə̆
മോറ്	m oː r ə̆
മോഴ	m oː ɻ ɐ
മോശം	m oː ʃ ɐ m
മോഷണം	m oː ʂ ɐ ɳ ɐ m
മോഷ്ടാവ്	m oː ʂ ʈ aː ʋ ə̆
മോഷ്ടിക്കുക	m oː ʂ ʈ i k k u ɡ ɐ
മോഹിക്കുക	m oː h i k k u ɡ ɐ
മ്യൂസിയം	m j uː s i j ɐ m
മ്ലേച്ഛ	m l eː t͡ʃ t͡ʃʰ ɐ
മൗഢ്യം	m a u ɖʱ j a m
മൗനം	m ɐ u̯ n ɐ m
മൗലിക	m ɐ u̯ l i ɡ ɐ
മൗസ്	m ä u s ɨ̆
മൺവെട്ടി	m ɐ ɳ ʋ e ʈ ʈ i
മർക്കടം	m ɐ r k k ɐ ɖ ɐ m
മർക്കടമുഷ്ടി	m ɐ r k k ɐ ɖ ɐ m u ʂ ʈ i
മർത്ത്യൻ	m ɐ r t̪ t̪ j ɐ n
മൽപ്പിടുത്തം	m ɐ l p p i ɖ u t̪ t̪ ɐ m
യ	j
യ	j ɐ
യക്ഷി	j ɐ k ʂ i
യജമാനൻ	j ɐ d͡ʒ ɐ m aː n ɐ n
യജ്ഞം	j ɐ d͡ʒ ɲ ɐ m
യത്തീംഖാന	j ɐ t̪ t̪ iː ŋ kʰ aː n ɐ
യഥാക്രമം	j a t̪ʰ aː k r a m a m
യഥാർത്ഥ	j a t̪ʰ aː r t̪ t̪ʰ a
യന്ത്രം	j ɐ n̪ d̪ r ɐ m
യന്ത്രവത്കൃത	j ɐ n̪ d̪ r ɐ ʋ ɐ t̪ k r i d̪ ɐ
യമൻ	j ɐ m ɐ n
യയു	j ɐ j u
യവം	j ɐ ʋ ɐ m
യശസ്സ്	j ɐ ʃ ɐ s s ə̆
യഹൂദമതം	j ɐ h uː d̪ ɐ m ɐ d̪ ɐ m
യഹോവ	j ɐ h oː ʋ ä
യാക്ക	j aː k k ɐ
യാചക	j aː d͡ʒ ɐ ɡ ɐ
യാചകൻ	j aː d͡ʒ ɐ ɡ ɐ n
യാചന	j aː d͡ʒ ɐ n ɐ
യാചിക്കുക	j aː d͡ʒ i k k u ɡ ɐ
യാത്രക്കാരി	j aː t̪ r ɐ k k aː ɾ i
യാത്രക്കാരൻ	j aː t̪ r ɐ k k aː ɾ ɐ n
യാത്രയയപ്പ്	j aː t̪ r ɐ j ɐ j ɐ p p ə̆
യാദൃച്ഛികം	j aː d̪ r i t͡ʃ t͡ʃʰ i ɡ ɐ m
യാമം	j aː m a m
യുക്തം	j u k t̪ ɐ m
യുക്തി	j u k t̪ i
യുക്തിസഹം	j u k t̪ i s a h a m
യുദ്ധക്കപ്പൽ	j u d̪ d̪ʱ ɐ k k ɐ p p ɐ l
യുദ്ധക്കളം	j u d̪ d̪ʱ ɐ k k ɐ ɭ ɐ m
യുദ്ധഭൂമി	j u d̪ d̪ʱ ɐ bʱ uː m i
യുദ്ധരംഗം	j u d̪ d̪ʱ ɐ ɾ ɐ ŋ ɡ ɐ m
യുറാനസ്	j u r aː n ɐ s ə̆
യുവതി	j u ʋ ɐ d̪ i
യുവാവ്	j u ʋ aː ʋ ə̆
യൂണിഫോം	j uː ɳ i f oː m
യൂണിവേഴ്സിറ്റി	j uː ɳ i ʋ eː ɻ s i tː i
യൂണൂഷ്	j uː ɳ uː ʂ ɨ
യൂനിവേഴ്സിറ്റി	j uː n i ʋ eː ɻ s i tː i
യൂറോപ്പ്	j uː r oː p p ə̆
യെല്ലോ	j e lː oː
യേശു	j eː ʃ u
യോഗം	j oː ɡ ɐ m
യോഗ്യം	j oː ɡ j ɐ m
യോഗ്യത	j oː ɡ j ɐ d̪ ɐ
യോഗ്യമായ	j oː ɡ j ɐ m aː j ɐ
യോജനം	j oː d͡ʒ ɐ n ɐ m
യോജിക്കുക	j oː d͡ʒ i k k u ɡ ɐ
യോദ്ധാവ്	j oː d̪ d̪ʱ aː ʋ ə̆
യോനി	j oː n i
യോശുവ	j oː ʃ u ʋ ɐ
യോഹന്നാൻ	j oː h ɐ n n aː n
യൗസേപ്പ്	j ɐ u̯ s eː p p ə̆
ര	ɾ
ര	ɾ ɐ
രംഗം	ɾ ɐ ŋ ɡ ɐ m
രക്തം	ɾ ɐ k t̪ ɐ m
രക്തസ്രാവം	ɾ a k t̪ a s r aː ʋ a m
രക്ഷ	ɾ e k ʂ a
രക്ഷ	ɾ ɐ k ʂ ɐ
രക്ഷകൻ	ɾ ɐ k ʂ ɐ ɡ ɐ n
രക്ഷസ്സ്	ɾ ɐ k ʂ ɐ s s ə̆
രക്ഷാകർത്താവ്	ɾ a k ʂ aː ɡ a r t̪ t̪ aː ʋ
രക്ഷിതാവായ	ɾ ɐ k ʂ i d̪ aː ʋ aː j ɐ
രക്ഷിതാവ്	ɾ a k ʂ i d̪ aː ʋ ə
രചയിതാവ്	ɾ ɐ d͡ʒ ɐ j i d̪ aː ʋ ə̆
രജസ്വല	ɾ ɐ d͡ʒ ɐ s ʋ ɐ l ɐ
രജസ്സ്	ɾ ɐ d͡ʒ ɐ s s ə̆
രജിസ്ട്രേഷൻ	ɾ ä d͡ʒ i s ʈ r eː ʂ ɐ n
രണം	ɾ ɐ ɳ ɐ m
രണ്ടാം	ɾ ɐ ɳ ɖ aː m
രണ്ടാമത്തെ	ɾ ɐ ɳ ɖ aː m ɐ t̪ t̪ e
രണ്ടായിരം	ɾ ɐ ɳ ɖ aː j i ɾ ɐ m
രണ്ടുതവണ	ɾ ɐ ɳ ɖ u d̪ ɐ ʋ ɐ ɳ ɐ
രണ്ടുമാ	ɾ ɐ ɳ ɖ u m aː
രണ്ട്	ɾ ɐ ɳ ɖ ə̆
രതി	ɾ ɐ d̪ i
രത്നം	ɾ ɐ t̪ n̪ ɐ m
രഥം	ɾ ɐ t̪ʰ ɐ m
രന്ധ്രം	ɾ ɐ n̪ d̪ʱ r ɐ m
രപ്പോടത്ത്	ɾ ä pː o ɖ ɐ t̪ː ɨ̆
രമണി	ɾ ɐ m ɐ ɳ i
രമ്പാൻ	ɾ ɐ m b aː n
