ア	a̠
フロントマン	ɸ ɯ̟ᵝ ɾ õ̞ n t o̞ m ã̠ ɴ
フローリング	ɸ ɯ̟ᵝ ɾ o̞ː ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
フン	ɸ ɯ̟̃ᵝ ɴ
フートン	ɸ ɯ̟ᵝː t õ̞ ɴ
フード	ɸ ɯ̟ᵝː d o̞
フードファイター	ɸ ɯ̟ᵝː d o̞ ɸ a̠ i t a̠ː
フーヨーハイ	ɸ ɯ̟ᵝː j o̞ː h a̠ i
フーリガン	ɸ ɯ̟ᵝː ɾʲ i ɡ ã̠ ɴ
ブ	b ɯ̟ᵝ
ブイ	b ɯ̟ᵝ i
ブイアイオー	b ɯ̟ᵝ i a̠ i o̞ː
ブイアール	b ɯ̟ᵝ i a̠ː ɾ ɯ̟ᵝ
ブイチューバー	b ɯ̟ᵝ i t͡ɕ ɨᵝː b a̠ː
ブイティーアール	b ɯ̟ᵝ i tʲ iː a̠ː ɾ ɯ̟ᵝ
ブイブイブイエフ	b ɯ̟ᵝ i b ɯ̟ᵝ i b ɯ̟ᵝ i e̞ ɸ ɯ̟ᵝ
ブイヤベース	b ɯ̟ᵝ i j a̠ b e̞ː s ɨᵝ
ブイヨン	b ɯ̟ᵝ i j õ̞ ɴ
ブエノスアイレス	b ɯ̟ᵝ e̞ n o̞ s ɨᵝ a̠ i ɾ e̞ s ɨᵝ
ブカレスト	b ɯ̟ᵝ k a̠ ɾ e̞ s ɨᵝ t o̞
ブギウギ	b ɯ̟ᵝ ɡʲ i ɯ̟ᵝ ɡʲ i
ブクマ	b ɯ̟ᵝ k ɯ̟ᵝ m a̠
ブサヨ	b ɯ̟ᵝ s a̠ j o̞
ブジュンブラ	b ɯ̟ᵝ ʑ ɨ̃ᵝ m b ɯ̟ᵝ ɾ a̠
ブタン	b ɯ̟ᵝ t ã̠ ɴ
ブダペスト	b ɯ̟ᵝ d a̠ p e̞ s ɨᵝ t o̞
ブッキー	b ɯ̟ᵝ k̚ʲ kʲ iː
ブック	b ɯ̟ᵝ k̚ k ɯ̟ᵝ
ブックエンド	b ɯ̟ᵝ k̚ k ɯ̟ᵝ ẽ̞ n d o̞
ブックカバー	b ɯ̟ᵝ k̚ k ɯ̟̊ᵝ k a̠ b a̠ː
ブックマーク	b ɯ̟ᵝ k̚ k ɯ̟ᵝ m a̠ː k ɯ̟ᵝ
ブックメーカー	b ɯ̟ᵝ k̚ k ɯ̟ᵝ m e̞ː k a̠ː
ブッシェル	b ɯ̟ᵝ ɕː e̞ ɾ ɯ̟ᵝ
ブティック	b ɯ̟ᵝ tʲ i k̚ k ɯ̟ᵝ
ブヌン	b ɯ̟ᵝ n ɯ̟̃ᵝ ɴ
ブラ	b ɯ̟ᵝ ɾ a̠
ブライダル	b ɯ̟ᵝ ɾ a̠ i d a̠ ɾ ɯ̟ᵝ
ブライトネス	b ɯ̟ᵝ ɾ a̠ i t o̞ n e̞ s ɨᵝ
ブラインド	b ɯ̟ᵝ ɾ a̠ ĩ n d o̞
ブラウザ	b ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ z a̠
ブラウス	b ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ s ɨᵝ
ブラカン	b ɯ̟ᵝ ɾ a̠ k ã̠ ɴ
ブラクラ	b ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ ɾ a̠
ブラケット	b ɯ̟ᵝ ɾ a̠ k e̞ t̚ t o̞
ブラコン	b ɯ̟ᵝ ɾ a̠ k õ̞ ɴ
ブラシ	b ɯ̟ᵝ ɾ a̠ ɕ i
ブラジャー	b ɯ̟ᵝ ɾ a̠ ʑ a̠ː
ブラジリア	b ɯ̟ᵝ ɾ a̠ ʑ i ɾʲ i a̠
ブラジル	b ɯ̟ᵝ ɾ a̠ ʑ i ɾ ɯ̟ᵝ
ブラチスラバ	b ɯ̟ᵝ ɾ a̠ t͡ɕ i s ɨ̥ᵝ ɾ a̠ b a̠
ブラチスラヴァ	b ɯ̟ᵝ ɾ a̠ t͡ɕ i s ɨᵝ ɾ a̠ b a̠
ブラック	b ɯ̟ᵝ ɾ a̠ k̚ k ɯ̟ᵝ
ブラックジャック	b ɯ̟ᵝ ɾ a̠ k̚ k ɯ̟ᵝ ʑ a̠ k̚ k ɯ̟ᵝ
ブラックフライデー	b ɯ̟ᵝ ɾ a̠ k̚ k ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ i d e̞ː
ブラックリスト	b ɯ̟ᵝ ɾ a̠ k̚ k ɯ̟ᵝ ɾʲ i s ɨᵝ t o̞
ブラッシュ	b ɯ̟ᵝ ɾ a̠ ɕː ɯ̟ᵝ
ブラッシュアップ	b ɯ̟ᵝ ɾ a̠ ɕː ɯ̟ᵝ a̠ p̚ p ɯ̟ᵝ
ブラフ	b ɯ̟ᵝ ɾ a̠ ɸ ɯ̟ᵝ
ブラフマー	b ɯ̟ᵝ ɾ a̠ ɸ ɯ̟ᵝ m a̠ː
ブランク	b ɯ̟ᵝ ɾ ã̠ ŋ k ɯ̟ᵝ
ブランケット	b ɯ̟ᵝ ɾ ã̠ ŋ k e̞ t̚ t o̞
ブリオッシュ	b ɯ̟ᵝ ɾʲ i o̞ ɕː ɯ̟ᵝ
ブリカス	b ɯ̟ᵝ ɾʲ i k a̠ s ɨᵝ
ブリキ	b ɯ̟ᵝ ɾʲ i kʲ i
ブリッジ	b ɯ̟ᵝ ɾʲ i d̚ d͡ʑ i
ブリッジタウン	b ɯ̟ᵝ ɾʲ i d̚ d͡ʑ i t a̠ ɯ̟̃ᵝ ɴ
ブリテン	b ɯ̟ᵝ ɾʲ i t ẽ̞ ɴ
ブリュッセル	b ɯ̟ᵝ ɾʲ ɨᵝ sː e̞ ɾ ɯ̟ᵝ
ブリリアント	b ɯ̟ᵝ ɾʲ i ɾʲ i ã̠ n t o̞
ブリーフ	b ɯ̟ᵝ ɾʲ iː ɸ ɯ̟ᵝ
ブリーフィング	b ɯ̟ᵝ ɾʲ iː ɸʲ ĩ ŋ ɡ ɯ̟ᵝ
ブリーフケース	b ɯ̟ᵝ ɾʲ iː ɸ ɯ̟̊ᵝ k e̞ː s ɨ̥ᵝ
ブルガリア	b ɯ̟ᵝ ɾ ɯ̟ᵝ ɡ a̠ ɾʲ i a̠
ブルコギ	b ɯ̟ᵝ ɾ ɯ̟ᵝ k o̞ ɡʲ i
ブルジョア	b ɯ̟ᵝ ɾ ɯ̟ᵝ ʑ o̞ a̠
ブルズアイ	b ɯ̟ᵝ ɾ ɯ̟ᵝ z ɨᵝ a̠ i
ブルセラ	b ɯ̟ᵝ ɾ ɯ̟ᵝ s e̞ ɾ a̠
ブルターニュ	b ɯ̟ᵝ ɾ ɯ̟ᵝ t a̠ː ɲ̟ ɯ̟ᵝ
ブルドーザー	b ɯ̟ᵝ ɾ ɯ̟ᵝ d o̞ː z a̠ː
ブルネイ	b ɯ̟ᵝ ɾ ɯ̟ᵝ n e̞ː
ブルベ	b ɯ̟ᵝ ɾ ɯ̟ᵝ b e̞
ブルペン	b ɯ̟ᵝ ɾ ɯ̟ᵝ p ẽ̞ ɴ
ブルマ	b ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠
ブルマー	b ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠ː
ブルンジ	b ɯ̟ᵝ ɾ ɯ̟̃ᵝ ɲ̟ d͡ʑ i
ブルー	b ɯ̟ᵝ ɾ ɯ̟ᵝː
ブルージー	b ɯ̟ᵝ ɾ ɯ̟ᵝː ʑ iː
ブルース	b ɯ̟ᵝ ɾ ɯ̟ᵝː s ɨᵝ
ブルーズ	b ɯ̟ᵝ ɾ ɯ̟ᵝː z ɨᵝ
ブルートゥース	b ɯ̟ᵝ ɾ ɯ̟ᵝː t ɯ̟ᵝː s ɨᵝ
ブルーハワイ	b ɯ̟ᵝ ɾ ɯ̟ᵝː h a̠ ɰᵝ a̠ i
ブルーベリー	b ɯ̟ᵝ ɾ ɯ̟ᵝː b e̞ ɾʲ iː
ブルーマー	b ɯ̟ᵝ ɾ ɯ̟ᵝː m a̠ː
ブルーレイ	b ɯ̟ᵝ ɾ ɯ̟ᵝː ɾ e̞ː
ブレインストーミング	b ɯ̟ᵝ ɾ ẽ̞ː ɰ̃ s ɨ̥ᵝ t o̞ː mʲ ĩ ŋ ɡ ɯ̟ᵝ
ブレザー	b ɯ̟ᵝ ɾ e̞ z a̠ː
ブレスト	b ɯ̟ᵝ ɾ e̞ s ɨ̥ᵝ t o̞
ブレスレット	b ɯ̟ᵝ ɾ e̞ s ɨᵝ ɾ e̞ t̚ t o̞
ブレーカー	b ɯ̟ᵝ ɾ e̞ː k a̠ː
ブレーキ	b ɯ̟ᵝ ɾ e̞ː kʲ i
ブレークダンス	b ɯ̟ᵝ ɾ e̞ː k ɯ̟ᵝ d ã̠ ɰ̃ s ɨᵝ
ブレード	b ɯ̟ᵝ ɾ e̞ː d o̞
ブレーン	b ɯ̟ᵝ ɾ ẽ̞ː ɴ
ブレーンストーミング	b ɯ̟ᵝ ɾ ẽ̞ː ɰ̃ s ɨ̥ᵝ t o̞ː mʲ ĩ ŋ ɡ ɯ̟ᵝ
ブロガー	b ɯ̟ᵝ ɾ o̞ ɡ a̠ː
ブロステップ	b ɯ̟ᵝ ɾ o̞ s ɨᵝ t e̞ p̚ p ɯ̟ᵝ
ブロックサイン	b ɯ̟̊ᵝ ɾ o̞ k̚ k ɯ̟̊ᵝ s a̠ ĩ ɴ
ブロックバスター	b ɯ̟ᵝ ɾ o̞ k̚ k ɯ̟ᵝ b a̠ s ɨ̥ᵝ t a̠ː
ブロックフレーテ	b ɯ̟ᵝ ɾ o̞ k̚ k ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ e̞ː t e̞
ブロッコリー	b ɯ̟ᵝ ɾ o̞ k̚ k o̞ ɾʲ iː
ブロマイド	b ɯ̟ᵝ ɾ o̞ m a̠ i d o̞
ブローカー	b ɯ̟ᵝ ɾ o̞ː k a̠ː
ブローチ	b ɯ̟ᵝ ɾ o̞ː t͡ɕ i
ブロートウェア	b ɯ̟ᵝ ɾ o̞ː t o̞ ɰᵝ e̞ a̠
ブローム	b ɯ̟ᵝ ɾ o̞ː m ɯ̟ᵝ
ブンタン	b ɯ̟̃ᵝ n t ã̠ ɴ
ブンデスリーガ	b ɯ̟̃ᵝ n d e̞ s ɨᵝ ɾʲ iː ɡ a̠
ブーイング	b ɯ̟ᵝː ĩ ŋ ɡ ɯ̟ᵝ
ブーケ	b ɯ̟ᵝː k e̞
ブース	b ɯ̟ᵝː s ɨᵝ
ブースター	b ɯ̟ᵝː s ɨᵝ t a̠ː
ブーツ	b ɯ̟ᵝː t͡s ɨᵝ
ブービー	b ɯ̟ᵝː bʲ iː
ブーム	b ɯ̟ᵝː m ɯ̟ᵝ
ブーメラン	b ɯ̟ᵝː m e̞ ɾ ã̠ ɴ
プ	p ɯ̟ᵝ
プエブラ	p ɯ̟ᵝ e̞ b ɯ̟ᵝ ɾ a̠
プエルトガレラ	p ɯ̟ᵝ e̞ ɾ ɯ̟ᵝ t o̞ ɡ a̠ ɾ e̞ ɾ a̠
プエルトリコ	p ɯ̟ᵝ e̞ ɾ ɯ̟ᵝ t o̞ ɾʲ i k o̞
プサイ	p ɯ̟̊ᵝ s a̠ i
プサン	p ɯ̟ᵝ s ã̠ ɴ
プシケ	p ɯ̟ᵝ ɕ i k e̞
プシューケー	p ɯ̟ᵝ ɕ ɨᵝː k e̞ː
プシー	p ɯ̟̊ᵝ ɕ iː
プチョヘンザ	p ɯ̟ᵝ t͡ɕ o̞ h ẽ̞ n d͡z a̠
プッリャ	p ɯ̟ᵝ ɾ̚ʲ ɾʲ a̠
プテリジン	p ɯ̟ᵝ t e̞ ɾʲ i ʑ ĩ ɴ
プテリン	p ɯ̟ᵝ t e̞ ɾʲ ĩ ɴ
プディング	p ɯ̟ᵝ dʲ ĩ ŋ ɡ ɯ̟ᵝ
プトラー	p ɯ̟ᵝ t o̞ ɾ a̠ː
プノンペン	p ɯ̟ᵝ n õ̞ m p ẽ̞ ɴ
プファルツ	p ɯ̟ᵝ ɸ a̠ ɾ ɯ̟ᵝ t͡s ɨᵝ
プライバシー	p ɯ̟ᵝ ɾ a̠ i b a̠ ɕ iː
プライバシーポリシー	p ɯ̟ᵝ ɾ a̠ i b a̠ ɕ iː p o̞ ɾʲ i ɕ iː
プライベート	p ɯ̟ᵝ ɾ a̠ i b e̞ː t o̞
プライヤ	p ɯ̟ᵝ ɾ a̠ i j a̠
プライヤー	p ɯ̟ᵝ ɾ a̠ i j a̠ː
プラウ	p ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ
プラカード	p ɯ̟ᵝ ɾ a̠ k a̠ː d o̞
プラクティス	p ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ tʲ i s ɨᵝ
プラグイン	p ɯ̟ᵝ ɾ a̠ ɡ ɯ̟ᵝ ĩ ɴ
プラグマティズム	p ɯ̟ᵝ ɾ a̠ ɡ ɯ̟ᵝ m a̠ tʲ i z ɨᵝ m ɯ̟ᵝ
プラコップ	p ɯ̟ᵝ ɾ a̠ k o̞ p̚ p ɯ̟ᵝ
プラサ	p ɯ̟ᵝ ɾ a̠ s a̠
プラシーボ	p ɯ̟ᵝ ɾ a̠ ɕ iː b o̞
プラスチシン	p ɯ̟ᵝ ɾ a̠ s ɨ̥ᵝ t͡ɕ i ɕ ĩ ɴ
プラズマ	p ɯ̟ᵝ ɾ a̠ z ɨᵝ m a̠
プラセオジム	p ɯ̟ᵝ ɾ a̠ s e̞ o̞ ʑ i m ɯ̟ᵝ
プラセボ	p ɯ̟ᵝ ɾ a̠ s e̞ b o̞
プラチナ	p ɯ̟ᵝ ɾ a̠ t͡ɕ i n a̠
プラットホーム	p ɯ̟ᵝ ɾ a̠ t̚ t o̞ h o̞ː m ɯ̟ᵝ
プラトン	p ɯ̟ᵝ ɾ a̠ t õ̞ ɴ
プラナリア	p ɯ̟ᵝ ɾ a̠ n a̠ ɾʲ i a̠
プラネタリウム	p ɯ̟ᵝ ɾ a̠ n e̞ t a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
プラハ	p ɯ̟ᵝ ɾ a̠ h a̠
プラモ	p ɯ̟ᵝ ɾ a̠ m o̞
プラモデル	p ɯ̟ᵝ ɾ a̠ m o̞ d e̞ ɾ ɯ̟ᵝ
プラヤー	p ɯ̟ᵝ ɾ a̠ j a̠ː
プラン	p ɯ̟ᵝ ɾ ã̠ ɴ
プランクトン	p ɯ̟ᵝ ɾ ã̠ ŋ k ɯ̟̊ᵝ t õ̞ ɴ
プランテーション	p ɯ̟ᵝ ɾ ã̠ n t e̞ː ɕ õ̞ ɴ
プラーラー	p ɯ̟ᵝ ɾ a̠ː ɾ a̠ː
プリイン	p ɯ̟ᵝ ɾʲ ĩː ɴ
プリインストール	p ɯ̟ᵝ ɾʲ i ĩ ɰ̃ s ɨᵝ t o̞ː ɾ ɯ̟ᵝ
プリクエル	p ɯ̟ᵝ ɾʲ i k ɯ̟ᵝ e̞ ɾ ɯ̟ᵝ
プリクラ	p ɯ̟ᵝ ɾʲ i k ɯ̟ᵝ ɾ a̠
プリケツ	p ɯ̟ᵝ ɾʲ i k e̞ t͡s ɨᵝ
プリシュティナ	p ɯ̟ᵝ ɾʲ i ɕ ɨᵝ tʲ i̥ n a̠
プリズム	p ɯ̟ᵝ ɾʲ i z ɨᵝ m ɯ̟ᵝ
プリティー	p ɯ̟ᵝ ɾʲ i tʲ iː
プリン	p ɯ̟ᵝ ɾʲ ĩ ɴ
プリンス	p ɯ̟ᵝ ɾʲ ĩ ɰ̃ s ɨᵝ
プリンストン	p ɯ̟ᵝ ɾʲ ĩ ɰ̃ s ɨᵝ t õ̞ ɴ
プリンセス	p ɯ̟ᵝ ɾʲ ĩ ɰ̃ s e̞ s ɨᵝ
プリント	p ɯ̟ᵝ ɾʲ ĩ n t o̞
プリーストリー	p ɯ̟ᵝ ɾʲ iː s ɨᵝ t o̞ ɾʲ iː
プルオーバー	p ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ː b a̠ː
プルコギ	p ɯ̟ᵝ ɾ ɯ̟ᵝ k o̞ ɡʲ i
プルタブ	p ɯ̟ᵝ ɾ ɯ̟ᵝ t a̠ b ɯ̟ᵝ
プルトニウム	p ɯ̟ᵝ ɾ ɯ̟ᵝ t o̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
プルリク	p ɯ̟ᵝ ɾ ɯ̟ᵝ ɾʲ i k ɯ̟ᵝ
プルート	p ɯ̟ᵝ ɾ ɯ̟ᵝː t o̞
プルートー	p ɯ̟ᵝ ɾ ɯ̟ᵝː t o̞ː
プルートーン	p ɯ̟ᵝ ɾ ɯ̟ᵝː t õ̞ː ɴ
プレイ	p ɯ̟ᵝ ɾ e̞ː
プレイヤー	p ɯ̟ᵝ ɾ e̞ː j a̠ː
プレコン	p ɯ̟ᵝ ɾ e̞ k õ̞ ɴ
プレス	p ɯ̟ᵝ ɾ e̞ s ɨᵝ
プレスカンファレンス	p ɯ̟ᵝ ɾ e̞ s ɨᵝ k ã̠ ɰ̃ ɸ a̠ ɾ ẽ̞ ɰ̃ s ɨᵝ
プレゼン	p ɯ̟ᵝ ɾ e̞ z ẽ̞ ɴ
プレゼンテーション	p ɯ̟ᵝ ɾ e̞ z ẽ̞ n t e̞ː ɕ õ̞ ɴ
プレゼント	p ɯ̟ᵝ ɾ e̞ z ẽ̞ n t o̞
プレッシャー	p ɯ̟ᵝ ɾ e̞ ɕː a̠ː
プレトリア	p ɯ̟ᵝ ɾ e̞ t o̞ ɾʲ i a̠
プレハブ	p ɯ̟ᵝ ɾ e̞ h a̠ b ɯ̟ᵝ
プレパラート	p ɯ̟ᵝ ɾ e̞ p a̠ ɾ a̠ː t o̞
プレプリント	p ɯ̟ᵝ ɾ e̞ p ɯ̟ᵝ ɾʲ ĩ n t o̞
プレミ	p ɯ̟ᵝ ɾ e̞ mʲ i
プレミア	p ɯ̟ᵝ ɾ e̞ mʲ i a̠
プレミアム	p ɯ̟ᵝ ɾ e̞ mʲ i a̠ m ɯ̟ᵝ
プレー	p ɯ̟ᵝ ɾ e̞ː
プレーヤー	p ɯ̟ᵝ ɾ e̞ː j a̠ː
プレーリー	p ɯ̟ᵝ ɾ e̞ː ɾʲ iː
プロキオン	p ɯ̟ᵝ ɾ o̞ kʲ i õ̞ ɴ
プロキシ	p ɯ̟ᵝ ɾ o̞ kʲ i̥ ɕ i
プロキシサーバー	p ɯ̟ᵝ ɾ o̞ kʲ i̥ ɕ i s a̠ː b a̠ː
プロキシー	p ɯ̟ᵝ ɾ o̞ kʲ i̥ ɕ iː
プロクシ	p ɯ̟ᵝ ɾ o̞ k ɯ̟̊ᵝ ɕ i
プロクシサーバー	p ɯ̟ᵝ ɾ o̞ k ɯ̟̊ᵝ ɕ i s a̠ː b a̠ː
プロクシー	p ɯ̟ᵝ ɾ o̞ k ɯ̟̊ᵝ ɕ iː
プログラマー	p ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ a̠ m a̠ː
プログラミング	p ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ a̠ mʲ ĩ ŋ ɡ ɯ̟ᵝ
プログラム	p ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
プログレ	p ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ e̞
プロジェクター	p ɯ̟ᵝ ɾ o̞ ʑ e̞ k ɯ̟̊ᵝ t a̠ː
プロジェクト	p ɯ̟ᵝ ɾ o̞ ʑ e̞ k ɯ̟̊ᵝ t o̞
プロセス	p ɯ̟ᵝ ɾ o̞ s e̞ s ɨᵝ
プロセッサー	p ɯ̟ᵝ ɾ o̞ s e̞ sː a̠ː
プロテアーゼ	p ɯ̟ᵝ ɾ o̞ t e̞ a̠ː z e̞
プロテイン	p ɯ̟ᵝ ɾ o̞ t ẽ̞ː ɴ
プロテスタンティズム	p ɯ̟ᵝ ɾ o̞ t e̞ s ɨ̥ᵝ t ã̠ n tʲ i z ɨᵝ m ɯ̟ᵝ
プロテスタント	p ɯ̟ᵝ ɾ o̞ t e̞ s ɨ̥ᵝ t ã̠ n t o̞
プロデューサー	p ɯ̟ᵝ ɾ o̞ dʲ ɨᵝː s a̠ː
プロデュース	p ɯ̟ᵝ ɾ o̞ dʲ ɨᵝː s ɨᵝ
プロトアクチニウム	p ɯ̟ᵝ ɾ o̞ t o̞ a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
プロパガンダ	p ɯ̟ᵝ ɾ o̞ p a̠ ɡ ã̠ n d a̠
プロパン	p ɯ̟ᵝ ɾ o̞ p ã̠ ɴ
プロピレン	p ɯ̟ᵝ ɾ o̞ pʲ i ɾ ẽ̞ ɴ
プロフ	p ɯ̟ᵝ ɾ o̞ ɸ ɯ̟ᵝ
プロフィール	p ɯ̟ᵝ ɾ o̞ ɸʲ iː ɾ ɯ̟ᵝ
プロフェスソル	p ɯ̟ᵝ ɾ o̞ ɸ e̞ s ɨᵝ s o̞ ɾ ɯ̟ᵝ
プロフェッサー	p ɯ̟ᵝ ɾ o̞ ɸ e̞ sː a̠ː
プロブレム	p ɯ̟ᵝ ɾ o̞ b ɯ̟ᵝ ɾ e̞ m ɯ̟ᵝ
プロポ	p ɯ̟ᵝ ɾ o̞ p o̞
プロポリス	p ɯ̟ᵝ ɾ o̞ p o̞ ɾʲ i s ɨᵝ
プロポーズ	p ɯ̟ᵝ ɾ o̞ p o̞ː z ɨᵝ
プロメチウム	p ɯ̟ᵝ ɾ o̞ m e̞ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
プロメーテウス	p ɯ̟ᵝ ɾ o̞ m e̞ː t e̞ ɯ̟ᵝ s ɨᵝ
プロリン	p ɯ̟ᵝ ɾ o̞ ɾʲ ĩ ɴ
プロレス	p ɯ̟ᵝ ɾ o̞ ɾ e̞ s ɨᵝ
プロレタリア	p ɯ̟ᵝ ɾ o̞ ɾ e̞ t a̠ ɾʲ i a̠
プロレタリアート	p ɯ̟ᵝ ɾ o̞ ɾ e̞ t a̠ ɾʲ i a̠ː t o̞
プロローグ	p ɯ̟ᵝ ɾ o̞ ɾ o̞ː ɡ ɯ̟ᵝ
プンムルノリ	p ɯ̟̃ᵝ mː ɯ̟ᵝ ɾ ɯ̟ᵝ n o̞ ɾʲ i
プーズー	p ɯ̟ᵝː z ɨᵝː
プーチン	p ɯ̟ᵝː t͡ɕ ĩ ɴ
プーティン	p ɯ̟ᵝː tʲ ĩ ɴ
プードル	p ɯ̟ᵝː d o̞ ɾ ɯ̟ᵝ
プール	p ɯ̟ᵝː ɾ ɯ̟ᵝ
ヘ	h e̞
ヘア	h e̞ a̠
ヘアケア	h e̞ a̠ k e̞ a̠
ヘアゴム	h e̞ a̠ ɡ o̞ m ɯ̟ᵝ
ヘアネット	h e̞ a̠ n e̞ t̚ t o̞
ヘアピン	h e̞ a̠ pʲ ĩ ɴ
ヘアブラシ	h e̞ a̠ b ɯ̟ᵝ ɾ a̠ ɕ i
ヘイター	h e̞ː t a̠ː
ヘキ	h e̞ kʲ i
ヘキサン	h e̞ kʲ i s ã̠ ɴ
ヘクタール	h e̞ k ɯ̟ᵝ t a̠ː ɾ ɯ̟ᵝ
ヘクトパスカル	h e̞ k ɯ̟ᵝ t o̞ p a̠ s ɨᵝ k a̠ ɾ ɯ̟ᵝ
ヘスティアー	h e̞ s ɨᵝ tʲ i a̠ː
ヘッショ	h e̞ ɕː o̞
ヘッズ	h e̞ d̚ d͡z ɨᵝ
ヘッダー	h e̞ d̚ d̥ a̠ː
ヘッド	h e̞ d̚ d̥ o̞
ヘッドショット	h e̞ d̚ d̥ o̞ ɕ o̞ t̚ t o̞
ヘッドバンギング	h e̞ d̚ d̥ o̞ b ã̠ ŋʲ ɡʲ ĩ ŋ ɡ ɯ̟ᵝ
ヘッドホン	h e̞ d̚ d̥ o̞ h õ̞ ɴ
ヘッドホーン	h e̞ d̚ d̥ o̞ h õ̞ː ɴ
ヘディング	h e̞ dʲ ĩ ŋ ɡ ɯ̟ᵝ
ヘドニズム	h e̞ d o̞ ɲ̟ i z ɨᵝ m ɯ̟ᵝ
ヘドバン	h e̞ d o̞ b ã̠ ɴ
ヘビメタ	h e̞ bʲ i m e̞ t a̠
ヘビロテ	h e̞ bʲ i ɾ o̞ t e̞
ヘブライズム	h e̞ b ɯ̟ᵝ ɾ a̠ i z ɨᵝ m ɯ̟ᵝ
ヘプタン	h e̞ p ɯ̟ᵝ t ã̠ ɴ
ヘモ	h e̞ m o̞
ヘリウム	h e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ヘリコプター	h e̞ ɾʲ i k o̞ p ɯ̟̊ᵝ t a̠ː
ヘルクレス	h e̞ ɾ ɯ̟ᵝ k ɯ̟ᵝ ɾ e̞ s ɨᵝ
ヘルシー	h e̞ ɾ ɯ̟ᵝ ɕ iː
ヘルス	h e̞ ɾ ɯ̟ᵝ s ɨᵝ
ヘルスケア	h e̞ ɾ ɯ̟ᵝ s ɨᵝ k e̞ a̠
ヘルスケアー	h e̞ ɾ ɯ̟ᵝ s ɨᵝ k e̞ a̠ː
ヘルソン	h e̞ ɾ ɯ̟ᵝ s õ̞ ɴ
ヘルツ	h e̞ ɾ ɯ̟ᵝ t͡s ɨᵝ
ヘルプ	h e̞ ɾ ɯ̟ᵝ p ɯ̟ᵝ
ヘルペス	h e̞ ɾ ɯ̟ᵝ p e̞ s ɨᵝ
ヘルマン	h e̞ ɾ ɯ̟ᵝ m ã̠ ɴ
ヘルメット	h e̞ ɾ ɯ̟ᵝ m e̞ t̚ t o̞
ヘルメース	h e̞ ɾ ɯ̟ᵝ m e̞ː s ɨᵝ
ヘレネー	h e̞ ɾ e̞ n e̞ː
ヘロイン	h e̞ ɾ o̞ ĩ ɴ
ヘンゼル	h ẽ̞ n d͡z e̞ ɾ ɯ̟ᵝ
ヘンタイ	h ẽ̞ n t a̠ i
ヘンリー	h ẽ̞ n ɾʲ iː
ヘーゼルナッツ	h e̞ː z e̞ ɾ ɯ̟ᵝ n a̠ t̚ t͡s ɨᵝ
ヘーパイストス	h e̞ː p a̠ i s ɨᵝ t o̞ s ɨᵝ
ヘーラクレース	h e̞ː ɾ a̠ k ɯ̟ᵝ ɾ e̞ː s ɨᵝ
ヘーラー	h e̞ː ɾ a̠ː
ベ	b e̞
ベイベー	b e̞ː b e̞ː
ベイマツ	b e̞ː m a̠ t͡s ɨᵝ
ベイルート	b e̞ i ɾ ɯ̟ᵝː t o̞
ベガ	b e̞ ɡ a̠
ベクレル	b e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
ベジタブル	b e̞ ʑ i t a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
ベジタリアン	b e̞ ʑ i t a̠ ɾʲ i ã̠ ɴ
ベスト	b e̞ s ɨᵝ t o̞
ベストセラー	b e̞ s ɨᵝ t o̞ s e̞ ɾ a̠ː
ベスポジ	b e̞ s ɨᵝ p o̞ ʑ i
ベッド	b e̞ d̚ d̥ o̞
ベトコン	b e̞ t o̞ k õ̞ ɴ
ベトナム	b e̞ t o̞ n a̠ m ɯ̟ᵝ
ベトン	b e̞ t õ̞ ɴ
ベナン	b e̞ n ã̠ ɴ
ベニス	b e̞ ɲ̟ i s ɨᵝ
ベニヤミン	b e̞ ɲ̟ i j a̠ mʲ ĩ ɴ
ベニン	b e̞ ɲ̟ ĩ ɴ
ベネズエラ	b e̞ n e̞ z ɨᵝ e̞ ɾ a̠
