AB	ɑː b eː
inbjudan	² ɪ n b j ʉ̟ː d a n
indian	ɪ n d ɪ ɑː n
infinitiv	ɪ n f ɪ n ɪ t iː v
inför	² ɪ n f œ̞ː r
inför	ɪ n f œ̞ː r
inga	ɪ ŋ a
ingen	ɪ ŋ ɛ n
ingendera	² ɪ ŋ ɛ n d eː r a
ingenjör	ɪ n ɧ ɛ n j øː r
ingenstans	ɪ ŋː ɛ n s t a nː s
ingenting	ɪ ŋ ɛ n t ɪ ŋ
inger	² ɪ n j eː r
inget	ɪ ŋ ɛ t
inkapabel	ɪ n k a p ɑː b ɛ l
innan	² ɪ n a n
innanför	² ɪ nː a n f øː r
inne	i n n ɛ
innehåll	ɪ nː ə h ɔ l
innehållsförteckning	ɪ nː ə h ɔ l s f œ ʈ ɛ k n ɪ ŋ
inrikes	² ɪ n r iː k ɛ s
inse	² ɪ n s eː
insexnyckel	ɪ n s ɛ k s n ʏ k ɛ l
insikt	² ɪ n s ɪ k t
insjukna	² ɪ n ɧ ʉː k n a
insjö	ɪ nː ɧ øː
inspektion	ɪ n s p ɛ k ɧ uː n
inspiration	ɪ n s p ɪ r a ɧ uː n
instruktion	ɪ n s t r ɵ k ɧ uː n
insulin	ɪ n s ɵ l iː n
insyn	² ɪ n s yː n
inte	² ɛ n t ɛ
inte	² ɪ n t ɛ
inte	ɪ n t
inte	ɪ n tː
inte	ɪ t
inte	ɪ tː
integral	ɪ n t ɛ ɡ r ɑː l
intensivvård	i n t e n s iː v v ɔː r d
intensivvårdsavdelning	i n t e n s iː v v ɔː r d s aː v d eː l n iː ŋ
interjuv	ɪ n t ɛ r j ʉː v
internationell	ɪ n t ɛ r n a t ɧ ʊ n ɛ l
internet	ɪ n t ɛ r n ɛ t
intervju	ɪ n t ɛ r v j ʉː
intressant	ɪ n t r ɛ s a nː t
introduktion	i n t r u d ʉ k ɧ uː n
intryck	ɪ n t r ʏ kː
intyg	² ɪ n t yː ɡ
invändig	² ɪ n v ɛ n d ɪ ɡ
inälva	ɪ n ɛ l v a
iriomotemes	ɪ ɾ ɪ j ɔ m ɔ t ɛ m eː s
irra	ɪ r a
is	iː s
isabellatörnskata	ɪ s a b ɛ l a t øː r n s k ɑː t a
isdubb	iː s d ɵ bː
ishockey	² iː s h ɔ k ʏ
ismås	iː s m oː s
israel	ɪ s r a eː l
istid	iː s t iː d
itt	i tː
ivorian	ɪ v ʊ r ɪ ɑː n
j	j
j	j iː
j	ɧ
ja	j a
ja	j aː
ja	j ɑː
jack	j a k
jacka	j a k a
jag	j ɑː
jag	j ɑː ɡ
jaga	² j ɑː ɡ a
jaga	¹ j ɑː ɡ a
jagis	¹ j ɑː ɡ ɪ s
jak	j ɑː k
jaktfalk	j a k t f a l k
jalla	j a l l a
jalu	ɧ a l ʉː
jalusi	ɧ a l ɵ s iː
jam	j ɑː m
januari	j a n ɵ ɑː r ɪ
japan	j a p ɑː n
japanare	j a p ² ɑː n a r ɛ
japansk	j a p ɑː n s k
japanska	j a p ɑː n s k a
jargong	ɧ a r ɡ ɔ ŋ
jehu	j ɛ h ʉː
jesuit	j ɛ s ʉ iː t
jiddra	² j ɪ d r a
jo	j uː
jobb	j ɔ bː
jobbansökan	j ɔ bː a n s øː k a n
jod	j ɔ d
joina	d͡ʒ ɔ j n a
joina	² j ɔ j n a
joint	d ʒ ɔ ɪ n t
joint	j ɔ ɪ n t
jojk	j ɔ j k
jojka	² j ɔ j k a
jojo	j ʊ j ʊ
joker	j oː k ɛ r
jokk	j ɔ k
jolle	j ɔ lː ɛ
jolm	ʝ ɔ l m
joppe	j ɔ pː e
jord	j uː r d
jordafärd	² j uː r d a f ɛː r d
jorden	j uː r d ɛ n
jordfästa	j uː ɖ f ɛː s t a
jordgubbe	j uː r d ɡ ɵ b ɛ
jorduggla	j ʊ r d ɵ ɡ l a
jordvarg	j uː ɖ v a r j
jota	² j uː t a
journal	ɧ ʊ ɳ ɑː l
journalist	ɧ ʊ r n a l ɪ s t
journalistik	ɧ ʊ r n a l ɪ s t iː k
jox	j ʊ k s
ju	j ɵ
ju	j ʉ
ju	j ʉː
jude	² j ʉː d ɛ
juden	² j ʉː d ɛ n
judesvin	² j ʉː d ɛ s v iː n
judetyska	² j ʉː d ɛ t ʏ s k a
juice	j uː s
jul	j ʉː l
julas	² j ʉ̟ː l a s
julbock	² j ʉː l b ɔ k
julgranskula	² j ʉ̟ː l ɡ r ɑː n s k ʉ̟ː l a
juli	j ʉː l ɪ
julklapp	j ʉː l k l a p
julmust	² j ʉ̟ː l m ɵ s t
jun	j ʉː n
jungfrukälla	j ʉ ŋ f r ʉː ɕ ɛ l a
jungfrutrana	j ɵ ŋ f ɾ ɵ t ɾ ɑː n a
juni	j ʉː n ɪ
junta	² j ɵ n t a
jury	j ɵ r ʏ
just	j ɵ s t
juver	j ʉ v ɛ r
jägmästare	² j ɛː ɡ m ɛ s t a r ɛ
jämka	j ɛː m k a
jämnt	j ɛ m n t
jämnt	j ɛ m t
jämt	j ɛ m t
jämte	² j ɛ m t ɛ
järn	j ɛː r n
järnvägsstation	² j æː ɳ v ɛː ɡ s s t a ɧ uː n
järnvägsstation	² j æː ɳ v ɛː ɡ s t a ɧ uː n
järpe	j ɛ ɾ p ɛ
järv	j æ r v
jäst	j ɛ s t
jättebra	² j ɛ tː ɛ b r ɑː
jävel	j ɛː v ɛ l
jävig	j ɛː v ɪ
jävig	j ɛː v ɪ ɡ
jävla	j ɛː v l a
jösses	² j œ sː ɛ s
k	k
k	k oː
k	ɕ
kabel	k ɑː b ɛ l
kackig	k a kː ɪ
kackig	k a kː ɪ ɡ
kadmium	k a d m ɪ ɵ m
kaffe	² k a fː ɛ
kaffegök	kʰ a fː e j øː k
kaffepumla	² k a f ɛ p ɵ m l a
kafé	k a f eː
kajak	k a j ɑː k
kaka	k ɑ̂ː k a
kakao	k ɑ̂ː k a uː
kal	k ɑː l
kalabalik	k a l a b a l iː k
kalas	k a l ɑː s
kalcium	k a l s ɪ ɵ m
kalium	k ɑː l ɪ ɵ m
kalk	k a l k
kalkon	k a l k uː n
kall	k a lː
kalla	² k a lː a
kallprat	² k a l p r ɑː t
kalmarit	k a l m a r iː t
kam	k a m
kamera	k ɑː m r a
kamera	k ɑː m ɛ r a
kamrat	k a m r ɑː t
kan	k a nː
kanadagås	k a n a d a ɡ oː s
kanadames	k a n a d a m eː s
kanadensisk	k a n a d ɛ n s ɪ s k
kanelbulle	k a n eː l b ɵ lː ɛ
kanelsnäcka	k a n eː l s n ɛ kː a
kanin	k a n iː n
kanot	k a n oː
kanot	k a n uː t
kanske	² k a nː ɧ ɛ
kanske	ɧ
kaos	k a ʊ s
kaos	k ɑː ʊ s
kapmes	k ɑː p m eː s
kappa	k a pː a
kapris	k a p r iː s
kapris	k ɑː p r i s
kapsyl	k a p s yː l
kapuschong	k a p ɵ ɧ ɔ ŋ
kar	k ɑː r
karaktär	k a r a k t ɛː r
karat	k a r ɑː t
karate	k a ² r ɑː t ɛ
karaten	k a r ɑː t ɛ n
karaten	k a ² r ɑː t ɛ n
karatens	k a r ɑː t ɛ n s
karatens	k a ² r ɑː t ɛ n s
karbid	k a r b iː d
karbin	k a r b iː n
kardinal	k a ɖˑ ɪ n ɒː l
karl	k ɑː r
karolinasumphöna	k a ɾ ʊ l iː n a s ɵ m p h øː n a
karolinatita	k a ɾ ʊ l iː n a t iː t a
karta	k ɑː r t a
kasse	² k a s ɛ
kasse	¹ k a s ɛ
kasus	k ɑː s ɵ s
katalan	k a t ɑː l ɑː n
katod	k a t oː d
katod	k a t uː d
katt	k a tː
kedja	² t ɕ eː d j a
kedja	² t ɕ ɛː d j a
kedja	² ɕ eː d j a
kedja	² ɕ ɛː d j a
keff	k ɛ f
kejsare	² ɕ ɛ j s a r ɛ
kejsarörn	ɕ ɛ j s a r øː r n
kemi	t ɕ ɛ m iː
kemi	ɕ ɛ m iː
keramik	t ɕ ɛ r a m iː k
keramik	ɕ ɛ r a m iː k
keso	k eː s ʊ
ketchup	k ɛ tː ɕ ɵ p
kex	k ɛ k s
kex	ɕ ɛ k s
kidnappa	² k iː d n a p a
kika	ɕ iː k a
kikhosta	ɕ iː k h ʊ s t a
kil	ɕ iː l
kille	² k ɪ l ɛ
kille	² k ɪ lː ɛ
kille	² ɕ ɪ l ɛ
kilo	k iː l ʊ
kilo	ɕ iː l ʊ
kilometer	ɕ ɪ l ʊ m eː t ɛ r
kind	ɕ ɪ n d
kinders	ɕ ɪ n d ɛ r s
kines	ɕ ɪ n eː s
kinesa	ɕ ɪ n eː s a
kinesisk	ɕ ɪ n eː s ɪ s k
kinesiska	ɕ ɪ n eː s ɪ s k a
kinesjävel	² ɕ ɪ n eː s j ɛː v ɛ l
kiosk	k j ɔ s k
kiosk	k ɪ ɔ s k
kiosk	ɕ ɔ s k
kioskmongo	ɕ ɔ sː k m ɔ ŋ ɡ ʊ
kioskvältare	ɕ o s k v ɛ l t a r ɛ
kirra	² k ɪ r a
kirurg	ɕ ɪ r ɵ r ɡ
kis	k iː s
kis	ɕ iː s
kisel	ɕ iː s ɛ l
kiss	k ɪ s
kissa	k ɪ s a
kista	ɕ ɪ s t a
kitsch	k ɪ t ɧ
kitschig	k ɪ t ɧ ɪ
kitschig	k ɪ t ɧ ɪ ɡ
kittel	ɕ ɪ tː ɛ l
kjol	t ɕ uː l
kjol	ɕ uː l
kladdkaka	² k l a d k ɑː k a
klafsa	k l a f s a
klaga	² k l ɑː ɡ a
klandra	k l a n d r a
klapp	k l a p
klar	k l ɑː r
klarhet	² k l ɑː r h eː t
klia	² k l iː a
klibb	k l ɪ b
klinga	² k l ɪ ŋ a
klingonska	k l ɪ ŋ ɔ n s k a
klintbergare	² k l ɪ n t b ɛ r j a r ɛ
klippare	k l ɪ pː a r ɛ
klippduva	k l ɪ p d ʉː v a
klippkaja	k l ɪ p k a j a
klippsvala	k l ɪ p s v ɑː l a
klittra	k l ɪ t r a
klocka	k l ɔ kː a
klon	k l uː n
klonken	k l ɔ ŋ k ɛ n
klor	k l oː r
klor	k l uː r
klunga	k l ɵ ŋ a
kläde	k l ɛː d ɛ
kläder	k l ɛː d ɛ r
klädhängare	k l ɛ d h ɛ ŋ a r ɛ
klänga	k l ɛ ŋ a
klänning	k l ɛ nː ɪ ŋ
klå	k l oː
klåda	k l oː d a
klår	k l oː r
klökas	² k l øː k a s
klösa	² k l øː s a
klövdjur	² k l øː v j ʉː r
knaffel	k n a fː ɛ l
knapp	k n a p
knappologi	k n a p ʊ l ʊ ɡ iː
knark	k n a r k
knarka	k n a r k a
kned	k n eː d
kneg	k n eː ɡ
knipa	k n iː p a
knippa	k n ɪ p a
kniv	k n iː v
knoparmoj	² k n uː p a r m ɔ j
knubbsäl	k n ɵ b s ɛː l
knulla	² k n ɵ lː a
knut	k n ʉː t
knuten	² k n ʉː t ɛ n
knuten	¹ k n ʉː t ɛ n
knyte	k n yː t ɛ
knä	k n ɛː
knäck	k n ɛ k
knåda	² k n oː d a
knô	k n œː
knö	k n œː
knöl	k n øː l
knölsvan	k n ø l s v ɑː n
knölsvärta	k n ø l s v ɛ ʈ a
ko	k uː
kobolt	k oː b ɔ l t
kobolt	k uː b ɔ l t
koboltmes	k uː b ɔ l t m eː s
kod	k oː d
kod	k uː d
kofta	k ɔ f t a
koka	² k oː k a
koka	² k uː k a
kol	k oː l
kolasås	k ɔ l a s oː s
kolhydrat	k oː l h ʏ d r ɑː t
kolla	k ɔ l a
kollektiv	kʰ ɔ l ɛ k t iː v
kollo	k ɔ l ʊ
kolonilott	² k ɔ l ɔ n iː l ɔ tː
kolymasnäppa	k ɔ l yː m a s n ɛ p a
kom	k ɔ m
kombo	² k o m b uː
komma	² k ɔ m a
kommer	k ɔ m ɛ r
kommun	k ɔ m ʉː n
kommunvapen	k ɔ m ʉː n v ɑː p ɛ n
kommunvapens	k ɔ m ʉː n v ɑː p ɛ n s
kommunvapnen	k ɔ m ʉː n v ɑː p n ɛ n
kommunvapnens	k ɔ m ʉː n v ɑː p n ɛ n s
kommunvapnet	k ɔ m ʉː n v ɑː p n ɛ t
kommunvapnets	k ɔ m ʉː n v ɑː p n ɛ t s
kompis	¹ k ɔ m p ɪ s
komplett	k ɔ m p l ɛ t
kon	k uː n
kondition	k ɔ n d ɪ ɧ uː n
kondor	k ɔ n d oː r
konflikt	k ɔ n f l ɪ k t
konglig	² k ɔ ŋː l ɪ ɡ
konkurrens	k ɔ ŋ k ɵ r a n s
konkurrens	k ɔ ŋ k ɵ r a ŋ s
konkurrens	k ɔ ŋ k ɵ r ɛ n s
konsonant	k ɔ n s ʊ n a n t
konspiration	k ɔ n s p ɪ r a ɧ uː n
konspirationsteoretiker	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r eː t ɪ k ɛ r
konspirationsteori	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r iː
konst	k ɔ nː s t
konstbefrukta	² k ɔ n s t b ɛ f r ɵ k t a
konstbevattna	² k ɔ n s t b ɛ v a t n a
konstbevattning	² k ɔ n s t b ɛ v a t n ɪ ŋ
konstfiber	² k ɔ n s t f iː b ɛ r
konstgjord	² k ɔ n s t j uː r d
konstgjord	² k ɔ n s t j ʊ r d
konstläder	² k ɔ n s t l ɛː d ɛ r
konstruktion	k ɔ n s t r ɵ k ɧ uː n
konstruktör	² k ɔ n s t r ɵ k t øː r
konsumtion	k ɔ n s ɵ m ɧ uː n
kontinent	k ɔ n t ɪ n ɛ n t
kontinuum	k ɔ n t iː n ʉː ɵ m
kontinuum	k ɔ n t ɪ n ʉː ɵ m
kontinuum	k ɔ n ² t iː n ʉː ɵ m
kontinuum	k ɔ n ² t ɪ n ʉː ɵ m
kontra	k ɔ n t r a
kontrast	k ʊ n t r a s t
kontur	k ɔ n t ʉː r
konung	k oː n ɵ ŋ
konungarike	k oː n ɵ ŋ a r iː k ɛ
kopia	k ʊ ² p iː a
kopp	k ɔ p
koppar	k ɔ p a r
kopparand	k ɔ p a ɾ a n d
koppling	² k ɔ p l ɪ ŋ
kopplingskåpa	² k ɔ p l ɪ ŋ s k oː p a
kor	k uː r
kora	k oː r a
kora	k uː r a
korean	k ʊ r eː aː n
korg	k ɔ r j
kornknarr	k uː ɳ k n a ɾ
korp	k ɔ r p
korshänvisning	² k ɔ r s h ɛː n v iː s n ɪ ŋ
kort	k ɔ r t
kort	k ʊ r t
korttålärka	k ɔ r t oː l ɛ r k a
koscher	k oː ʃ e r
kost	k ɔ s t
kostpris	k ɔ s t p r iː s
koxik	k ɔ k s ɪ k
koxik	k ʊ k s ɪ k
koyot	k ʊ j oː t
krabat	k r a b ɑː t
krabba	k r a bː a
krabbis	k r ɑ bː i s
kraftfull	k r a f t f ɵ l
kragtrapp	k ɾ ɑː ɡ t ɾ a p
kram	k r ɑː m
kran	k r ɑː n
krank	k r ɑ ŋ kː
krans	k r a n s
krans	k r ɑː n s
krav	k ɾ ɑː v
kretensisk	k r ɛ t ɛ n s ɪ s k
kretsschema	k r ɛ t s ɧ eː m a
krevad	k r ɛ v ɑː d
krig	k r iː ɡ
kriga	² k r iː ɡ a
krigsförklaring	² k r iː ɡ s f œ r k l a r ɪ ŋ
kriminalist	k r ɪ m ɪ n a l ɪ s t
kristall	k r ɪ s t a lː
krita	² k r iː t a
krock	k r ɔ k
krog	k r uː ɡ
krokan	k r oː k ɑː n
krokan	k r ɔ k ɑː n
krokan	k r ʊ k ɑː n
krokben	² k r uː k b eː n
krom	k r oː m
krona	k r uː n a
kronor	k r uː n ʊ r
kropp	k r ɔ pː
kroppsdel	k r ɔ p s d ɛ l
kruka	k r ʉː k a
krusbär	k r ʉ̟ː s b ɛː r
krusbär	² k r ʉ̟ː s b ɛː r
krut	k r ʉː t
kräftskiva	² k r ɛ f t ɧ iː v a
kräk	k r ɛː k
kräkas	² k r ɛː k a s
krämig	² k r ɛː m ɪ
krämig	² k r ɛː m ɪ ɡ
kröka	² k r øː k a
krösus	k r øː s ʊ s
kubb	k ɵ b
kudde	k ɵ d d ɛ
kuf	k ʉː f
kugga	² k ɵ ɡː a
kuk	k ʉː k
kuksugare	² k ʉː k s ʉː ɡ a r ɛ
kul	k ʉː l
kuling	k ʉː l ɪ ŋ
kull	k ɵ l
kulör	k ɵ l øː r
kunde	k ɵ n d ə
kung	k ɵ ŋː
kunglig	² k ɵ ŋː l ɪ ɡ
kungsfiskare	k ɵ ŋ s f ɪ s k a r ɛ
kungsfågel	k ɵ ŋ s f oː ɡ ɛ l
kungsfågelsångare	k ɵ ŋ s f oː ɡ ɛ l s ɔ ŋ a r ɛ
kunna	² k ɵ nː a
kunnig	² k ɵ nː ɪ ɡ
kupa	k ʉː p a
kur	k ʉː r
kurr	k ɵ r
kurs	k ʉː r s
kurva	² k ɵ r v a
kuse	² k ʉː s ɛ
kusin	k ɵ s iː n
kustlabb	k ɵ s t l a b
kustpipare	k ɵ s t p iː p a ɾ ɛ
kustsnäppa	k ɵ s t s n ɛ p a
kut	k ʉː t
kuta	k ʉː t a
kuttrasju	k ɵ t r a ɧ ʉː
kuvert	k ɵ v ɛː r
kvadriljard	k v a d r i l j ɑː r d
kvadriljon	k v a d r i l j uː n
kvalitet	k v a l ɪ t eː t
kvar	k v ɑː r
kvarg	k v a r j
kvart	k v ɑː r t
kvarter	k v a r t eː r
kvasar	k v a s ɑː r
kvicksilver	k v ɪ k s ɪ l v ɛ r
kvinna	² k v ɪ nː a
kvinnan	k v ɪ nː a n
kvinnans	k v i nː a n s
kvinnas	k v i nː a s
kvinnor	k v ɪ n n ʊ r
kvinnornas	k v i nː ʊ ɳ a s
kvinnors	k v i nː ʊ ʂ
kvinns	k v ɪ n s
kvintiljard	k v ɪ n t ɪ i l j ɑː r d
kvintiljon	k v ɪ n t ɪ l j uː n
kviss	k v ɪ sː
kvist	k v ɪ s t
kvitta	k v ɪ tː a
kvälja	k v ɛ l j a
kväll	k v ɛ lː
kvänska	² k v ɛː n s k a
kväve	k v ɛː v ɛ
kyckling	t ɕ ʏ k l ɪ ŋ
kyckling	ɕ ʏ k l ɪ ŋ
kyl	t ɕ yː l
kyl	ɕ yː l
kylskåp	² ɕ yː l s k oː p
kymriska	k ʏ m r ɪ s k a
kyrka	² t ɕ ʏ r k a
kyrka	² ɕ ø r k a
kyrka	² ɕ ʏ r k a
kysk	ɕ ʏ s k
kyskhet	ɕ ʏ s k h eː t
kyss	ɕ ʏ s
kyssa	ɕ ʏ sː a
käck	ɕ ɛ kː
käftis	ɕ ɛ f t ɪ sː
käk	ɕ ɛː k
käka	² ɕ ɛː k a
käke	² ɕ ɛː k ɛ
källa	ɕ ɛ l a
källare	ɕ ɛ l a r ɛ
källing	² ɕ ɛ l ɪ ŋ
kämpa	ɕ ɛ m p a
känd	ɕ ɛ n d
känga	ɕ ɛ ŋ a
känguru	t ɕ ɛ ŋ ɡ ɵ r ɵ
känguru	ɕ ɛ ŋː ɡ ɵ r ɵ
känna	ɕ ɛ n n a
kännspak	t ɕ ɛ n s p ɑː k
kännspak	² ɕ ɛ n s p ɑː k
känsla	ɕ ɛ n s l a
känt	ɕ ɛ n t
käpp	ɕ ɛ p
kär	t͡ɕ æː r
kär	ɕ ɛː r
kära	ɕ ɛː r a
kärl	ɕ ɛː r l
kärlek	ɕ ɛː r l eː k
kärrhök	ɕ ɛ r h øː k
kärrsnäppa	ɕ ɛ r s n ɛ p a
kärrsångare	ɕ ɛ r s ɔ ŋ a r ɛ
kärrtärna	ɕ ɛ r t ɜ r n a
kätting	² t ɕ ɛ t ɪ ŋ
kätting	² ɕ ɛ t ɪ ŋ
kå	k oː
kåda	² k oː d a
kåk	k oː k
kål	k oː l
kålrabbi	² k oː l r a b ɪ
kår	k oː r
kåt	k oː t
kåta	² k oː t a
kôrka	² ɕ ø r k a
kö	k øː
köa	² k øː a
kök	ɕ øː k
kökkenmödding	² k œ k ɛ n m œ d ɪ ŋ
köksdörr	² ɕ øː k s ² d œ rː
köl	t ɕ øː l
köl	ɕ øː l
kölapp	k øː l a p
köld	ɕ œ l d
kölna	² ɕ øː l n a
kön	k øː n
kön	ɕ øː n
köp	ɕ øː p
köpa	ɕ øː p a
köping	t ɕ øː p ɪ ŋ
köping	² ɕ øː p ɪ ŋ
köpstad	² ɕ øː p s t ɑː d
kör	k œː r
kör	ɕ œː r
köra	² k œ̞ː r a
köra	² ɕ œ̞ː r a
körandas	² k øː r a n d a s
körandning	² k øː r a n d n ɪ ŋ
körs	k œ̞ː ʂ
körs	ɕ œ̞ː ʂ
kött	ɕ œ tː
köttbullar	ɕ œ tː b ɵ l a r
köttbulle	ɕ œ tː b ɵ l ɛ
köttig	ɕ œ tː ɪ ɡː
köttslig	ɕ œ t s l ɪ ɡː
la	l a
la	l ɑː
labial	l a b ɪ ɑː l
labiodental	l a b ɪ ʊ d ɛ n t ɑː l
laboratorium	l a b r a t uː r ɪ ɵ m
laboratorium	l a b ʊ r a t uː r ɪ ɵ m
lade	l ɑː
lade	¹ l ɑː d ɛ
ladugård	² l a d ɵ ɡ o r d
ladugård	² l ɑː d ɵ ɡ oː ɖ
lag	l ɑː ɡ
laga	² l ɑː ɡ a
lager	l ɑː ɡ ɛ r
lagom	l ɑː ɡ ɔ m
lagt	l a k t
lagts	l a k t s
lagård	¹ l a ɡ ɔ ɖ
lagård	¹ l ɑː ɡ ɔ ɖ
laja	² l a j a
lajbans	l a j b a n s
lakan	ˇl ɑː k a n
lakrits	¹ l a k r ɪ s
lakrits	¹ l ɑː k r ɪ s
lamm	l a mː
lammgam	l a m ɡ ɑː m
lammkött	l a mː ɕ œ tː
land	l a n
land	l a n d
landkrabba	l a n d k r a bː a
landskapsdjur	² l a n d s k ɑː p s j ʉː r
landskapsdjur	² l a n s k ɑː p s j ʉː r
landskommun	l a n d s k ɔ m ʉː n
landskommunsvapen	l a n d s k ɔ m ʉː n s v ɑː p ɛ n
landskronit	l a n d s k r ʊ n iː t
landskronit	l a n s k r ʊ n iː t
landsmål	l a n d s m oː l
langust	l a ŋ ɡ ɵ s t
lantbrevbärare	² l a n t b r eː v b ɛː r a r ɛ
lanterna	l a n t æː ɳ a
lapa	² l ɑː p a
lappmes	l a p m eː s
lappuggla	l a p ɵ ɡ l a
larv	l a r v
lasagne	l a s a n j
lass	l a sː
last	l a s t
lastförskjutningsnät	² l a s t f øː r ɧ ʉ̟ː t n ɪ ŋ s n ɛː t
lastväxlare	l a s t v ɛ k s l ɑ r e
lattja	² l a t ɕ a
lattjo	l a t ɕ ʊ
lav	l ɑː v
lavoar	l a v ʊ ɑː r
lavskrika	² l ɑː v s k r iː k a
lax	l a k s
layout	l ɛ j a ʊ t
le	l eː
lealös	² l eː a l øː s
led	l eː d
leda	l eː d a
ledd	l e dː
leddjur	l eː d j ʉː r
ledig	l eː d ɪ ɡ
ledsen	l ɛ sː ə n
ledsna	² l ɛ s n a
leende	l eː ɛ n d ɛ
legend	l e ɡ e n d
legitim	l ɛ ɡ ɪ t iː m
lego	l eː ɡ u
leidenflaska	l ɛ j d ɛ n f l a s k a
leja	l ɛ j a
lejon	² l ɛ jː ɔ n
lek	l eː k
leka	l eː k a
lemur	l ɛ m ʉː r
lesbisk	l ɛ s b ɪ s k
less	l ɛ sː
lettiska	l ɛ t ɪ s k a
lev	l eː v
leva	² l eː v a
leverpastej	l eː v ɛ r p a s t ɛ j
lian	l i aː n
lida	² l iː d a
lie	l iː ɛ
ligga	² l ɪ ɡː a
lik	l iː k
liksom	¹ l iː k s ɔ m
liksom	¹ l ɪ k s ɔ m
lillejulafton	l ɪ l ɛ j ʉ̟ː l a f t ɔ n
lime	l a j m
lin	l iː n
lind	l ɪ n d
lingon	² l ɪ ŋ ɔ n
lingonsylt	² l ɪ ŋ ɔ n s ʏ l t
linjal	l ɪ n j ɑː l
linjär	l ɪ n j æː r
lita	l iː t a
litauiska	l ɪ t a͜ʊ ɪ s k a
liten	² l iː t ɛ n
litium	l iː t s ɪ ɵ m
liv	l iː v
livsfientlig	² l iː v s f ɪ ɛ n t l ɪ
livsfientlig	² l iː v s f ɪ ɛ n t l ɪ ɡ
livskvalitet	l iː v s k v a l i t eː t
ljud	j ʉː d
ljuden	¹ j ʉː d ɛ n
ljug	² j ʉː ɡ
ljuga	² j ʉː ɡ a
ljum	j ʉː m
ljung	j ɵ ŋ
ljungpipare	j ɵ ŋ p iː p a ɾ ɛ
ljus	j ʉː s
ljushyllt	j ʉ sː h ʏ l t
ljusår	² j ʉː s oː r
ljuta	² j ʉː t a
lo	l uː
lodis	l uː d ɪ s
lodjur	² l uː j ʉː r
loge	l oː ɧ
loge	² l uː ɡ ɛ
lom	l ʊ m
lopp	l ɔ pː
lounge	² l uː ɵ ŋ ɛ
lounge	¹ l a ʊ n d ʂ
lounges	l uː ɵ ŋ ɛ s
lov	l oː v
lov	l uː v
lova	² l oː v a
lovsång	² l uː v s ɔ ŋː
lucka	² l ɵ kː a
luden	l ʉː d ɛ n
lugn	l ɵ ŋ n
lunch	l ɵ n ɧ
lunchdisco	² l ɵ ɧ d ɪ s k ʊ
lunchrast	² l ɵ n ɧ r a s t
lund	l ɵ n d
lundensisk	l ɵ n d ɛ n s ɪ s k
lundsångare	l ɵ n d s ɔ ŋ a r ɛ
lunga	² l ɵ ŋ ɡ a
lungödem	² l ɵ ŋː ø d eː m
lussekatt	l ɵ s ɛ k a t
lut	l ʉː t
luta	² l ʉː t a
lycka	² l ʏ kː a
lycklig	l ʏ kː l ɪ
lycklig	l ʏ kː l ɪ ɡ
lyckt	l ʏ k t
lyckta	² l ʏ k t a
lydnad	l yː d n a d
lykta	² l ʏ k t a
lymfocyt	l ʏ m f ʊ s yː t
lynne	² l ʏ n ɛ
lyse	² l yː s ɛ
lyssna	² l ʏ s n a
lyxhotell	l ʏ kː s h ʊ t ɛ lː
läcka	l ɛ k a
läder	l eː d ə r
läder	l ɛː d ɛ r
lägenhet	² l ɛː ɡ ɛ n h eː t
lägenhetsdörr	l ɛː ɡ eː n h eː t s d œ̞ r
läger	l ɛː ɡ ɛ r
lägga	² l ɛ ɡ a
läkare	² l ɛː k a r ɛ
läkarmottagning	l ɛː k a r m ɔ tː a k n ɪ ŋ
län	l ɛː n
länge	l ɛ ŋ ɛ
längs	l ɛ ŋ s
lär	l ɛː r
lära	l æː r a
lärare	² l ɛː r a r ɛ
läs	l ɛː s
läsa	l ɛː s a
läser	l ɛ s ɛ r
läsesal	² l ɛː s ɛ s ɑː l
läsk	l ɛ s k
läska	l ɛ s k a
läskeblask	l ɛ s k ɛ b l a s k
läskedryck	l ɛ s k ɛ d r ʏ k
läskpapper	l ɛ s k p a p ɛː r
läsuttal	² l ɛː s ʉ t t ɑː l
läsår	l ɛː s oː r
lätt	l ɛ t
lätting	² l ɛ t ɪ ŋ
låg	l oː ɡ
lång	l ɔ ŋː
långsam	² l ɔ ŋ s a m
långsmal	l ɔ ŋ s m ɑː l
långt	l ɔ ŋː t
långtåsnäppa	l ɔ ŋ t oː s n ɛ p a
långvarig	² l ɔ ŋ v ɑː r ɪ
långvarig	² l ɔ ŋ v ɑː r ɪ ɡ
låt	l oː t
låta	² l oː t a
låtsas	² l ɔ s a s
lögn	l œ ŋ n
lök	l øː k
lön	l øː n
löneslav	l øː n ɛ s l ɑː v
lönndom	² l œ n d ʊ m
löpa	l øː p a
lördag	l øː r d ɑː ɡ
lös	l øː s
lösa	² l øː s a
lösen	l øː s ɛ n
löv	l øː v
lövverk	l øː v v ɛ r k
mack	m a k
macka	² m a kː a
mage	² m ɑː ɡ ɛ
magnesium	m a ŋ n eː s ɪ ɵ m
magnoliaskogssångare	m a ɡ n uː l ɪ j a s ɡ ʊ ɡ s ɔ ŋ a ɾ ɛ
maj	m a j
