abeag	ɑː b æ͜ɑː ɣ
widcuþra	w iː d k uː ð r ɑ
widcuþre	w iː d k uː ð r e
widgillan	w iː d ɣ i ɫ ɫ ɑ n
widgille	w iː d ɣ i ɫ ɫ e
widgilles	w iː d ɣ i ɫ ɫ e s
widgilra	w iː d ɣ i ɫ r ɑ
widgilre	w iː d ɣ i ɫ r e
widherian	w iː d h e rˠ j ɑ n
widherie	w iː d h e rˠ j e
widherie	w iː d h e r i e
widmærsa	w iː d m æː rˠ z ɑ
widmærsast	w iː d m æː rˠ z ɑ s t
widmærsaþ	w iː d m æː rˠ z ɑ θ
widmærsian	w iː d m æː rˠ z i ɑ n
widmærsiaþ	w iː d m æː rˠ z i ɑ θ
widmærsiende	w iː d m æː rˠ s i͜y n d e
widmærsienne	w iː d m æː rˠ z i e n n e
widmærsige	w iː d m æː rˠ z i j e
widmærsigen	w iː d m æː rˠ z i j e n
widmærsod	w iː d m æː rˠ z o d
widmærsode	w iː d m æː rˠ z o d e
widmærsodest	w iː d m æː rˠ z o d e s t
widmærsodon	w iː d m æː rˠ z o d o n
widmærsung	w iː d m æː rˠ z u ŋ ɡ
widsið	w iː d z iː θ
widsiþa	w iː d s iː ð ɑ
widsiþas	w iː d s iː ð ɑ s
widsiþe	w iː d s iː ð e
widsiþes	w iː d s iː ð e s
widsiþum	w iː d s iː ð u m
wiðersaca	w i ð e r s ɑ k ɑ
wiðheardian	w i θ h æ͜ɑ rˠ d i ɑ n
wiðmetendlic	w i ð m e t e n d l iː t͡ʃ
wiðsæcgan	w i θ s æ d d͡ʒ ɑ n
wiehtel	w i͜y ç t e l
wieldan	w i͜y ɫ d ɑ n
wieldaþ	w i͜y ɫ d ɑ θ
wielde	w i͜y ɫ d e
wieldeþ	w i͜y ɫ d e θ
wieldon	w i͜y ɫ d o n
wiell	w i͜y ɫ
wiella	w i͜y ɫ ɫ ɑ
wiellan	w i͜y ɫ ɫ ɑ n
wiellas	w i͜y ɫ ɫ ɑ s
wielle	w i͜y ɫ ɫ e
wielles	w i͜y ɫ ɫ e s
wiellewæter	w i͜y ɫ ɫ e w æ t e r
wiellspring	w i͜y ɫ s p r i ŋ ɡ
wiellspringa	w i͜y ɫ s p r i ŋ ɡ ɑ
wiellspringas	w i͜y ɫ s p r i ŋ ɡ ɑ s
wiellspringe	w i͜y ɫ s p r i ŋ ɡ e
wiellspringes	w i͜y ɫ s p r i ŋ ɡ e s
wiellspringum	w i͜y ɫ s p r i ŋ ɡ u m
wiellum	w i͜y ɫ ɫ u m
wielm	w i͜y ɫ m
wielsca	w i͜yː ɫ ʃ ɑ
wielscan	w i͜yː ɫ ʃ ɑ n
wielsce	w i͜yː ɫ ʃ e
wielsces	w i͜yː ɫ ʃ e s
wielscum	w i͜yː ɫ ʃ u m
wielst	w i͜y ɫ s t
wielt	w i͜y ɫ t
wieltan	w i͜y ɫ t ɑ n
wielte	w i͜y ɫ t e
wielted	w i͜y ɫ t e d
wieltst	w i͜y ɫ t s t
wielwan	w i͜y ɫ w ɑ n
wierdan	w i͜y rˠ d ɑ n
wierdaþ	w i͜y rˠ d ɑ θ
wierde	w i͜y rˠ d e
wierded	w i͜y rˠ d e d
wierdende	w i͜y rˠ d e n d e
wierdeþ	w i͜y rˠ d e θ
wierð	w i͜y rˠ θ
wierg	w i͜y rˠ j
wiergan	w i͜y rˠ j ɑ n
wiergaþ	w i͜y rˠ j ɑ θ
wiergde	w i͜y rˠ j d e
wiergdest	w i͜y rˠ j d e s t
wiergdon	w i͜y rˠ j d o n
wierge	w i͜y rˠ j e
wiergen	w i͜y rˠ j e n
wiergende	w i͜y rˠ j e n d e
wiergest	w i͜y rˠ j e s t
wiergeþ	w i͜y rˠ j e θ
wiergnes	w i͜y rˠ j n e s
wiergnessa	w i͜y rˠ j n e s s ɑ
wiergnesse	w i͜y rˠ j n e s s e
wiergnessum	w i͜y rˠ j n e s s u m
wiergþ	w i͜y rˠ j θ
wiergþa	w i͜y rˠ j ð ɑ
wiergþe	w i͜y rˠ j ð e
wiergþu	w i͜y rˠ j θ u
wiergþum	w i͜y rˠ j ð u m
wierm	w i͜y rˠ m
wierman	w i͜y rˠ m ɑ n
wiermde	w i͜y rˠ m d e
wiermdon	w i͜y rˠ m d o n
wierme	w i͜y rˠ m e
wiermende	w i͜y rˠ m e n d e
wiermenne	w i͜y rˠ m e n n e
wierming	w i͜y rˠ m i ŋ ɡ
wierminge	w i͜y rˠ m i ŋ ɡ e
wiermþ	w i͜y rˠ m θ
wiern	w i͜y rˠ n
wiernan	w i͜y rˠ n ɑ n
wiernde	w i͜y rˠ n d e
wierndon	w i͜y rˠ n d o n
wierne	w i͜y rˠ n e
wierned	w i͜y rˠ n e d
wiernen	w i͜y rˠ n e n
wiernenne	w i͜y rˠ n e n n e
wiernest	w i͜y rˠ n e s t
wierneþ	w i͜y rˠ n e θ
wiernþ	w i͜y rˠ n θ
wierrest	w i͜y rˠ rˠ e s t
wiers	w i͜y rˠ s
wiersa	w i͜y rˠ s ɑ
wierse	w i͜y rˠ z e
wierst	w i͜y rˠ s t
wiert	w i͜y rˠ t
wierþ	w i͜y rˠ θ
wierþe	w i͜y rˠ ð e
wifa	w iː v ɑ
wifel	w i v e l
wifele	w i v e l e
wifer	w i v e r
wifes	w iː v e s
wifgemana	w iː v j e m ɑː n ɑ
wifhad	w iː f h ɑː d
wifhade	w iː f h ɑː d e
wifhades	w iː f h ɑː d e s
wifhand	w iː f h ɑ n d
wifhanda	w iː f h ɑ n d ɑ
wifhandum	w iː f h ɑ n d u m
wifhired	w iː f h iː r e d
wifian	w iː v i ɑ n
wifiende	w iː v i e n d e
wifienne	w iː v i e n n e
wifige	w iː v i j e
wiflac	w iː v l ɑː k
wifleas	w iː v l æ͜ɑː s
wiflic	w iː v l iː t͡ʃ
wiflican	w iː v l iː t͡ʃ ɑ n
wiflice	w iː v l iː t͡ʃ e
wiflice	w iː v l iː t͡ʃ e
wiflices	w iː v l iː t͡ʃ e s
wiflicre	w iː v l iː k r e
wiflicum	w iː v l iː t͡ʃ u m
wifman	w iː v m ɑ n
wifmann	w iː v m ɑ n
wifmenn	w iː v m e n
wifod	w iː v o d
wifode	w iː v o d e
wifodon	w iː v o d o n
wifum	w iː v u m
wiga	w i ɣ ɑ
wigan	w iː ɣ ɑ n
wigan	w i ɣ ɑ n
Wigbeald	w iː j b æ͜ɑ ɫ d
Wigbealde	w iː j b æ͜ɑ ɫ d e
Wigbealdes	w iː j b æ͜ɑ ɫ d e s
Wigbeorn	w iː j b e͜o rˠ n
Wigbeorne	w iː j b e͜o rˠ n e
wigbord	w iː j b o rˠ d
wigcing	w i j k i ŋ ɡ
wigen	w iː ɣ e n
wigen	w i ɣ e n
wigena	w i ɣ e n ɑ
wigend	w iː ɣ e n d
wigendas	w iː ɣ e n d ɑ s
wigende	w iː ɣ e n d e
wigendes	w iː ɣ e n d e s
wigendra	w iː ɣ e n d r ɑ
wigendum	w iː ɣ e n d u m
wiges	w iː ɣ e s
Wigheard	w iː j h æ͜ɑ rˠ d
Wighearde	w iː j h æ͜ɑ rˠ d e
Wigheardes	w iː j h æ͜ɑ rˠ d e s
Wighelm	w iː j h e ɫ m
wighusa	w iː j h uː z ɑ
wighuse	w iː j h uː z e
wighuses	w iː j h uː z e s
wighusum	w iː j h uː s u m
Wiglafe	w i j l ɑː v e
Wiglafes	w i j l ɑː v e s
wiglast	w i ɣ l ɑ s t
wiglaþ	w i ɣ l ɑ θ
wiglera	w i ɣ l e r ɑ
wigleras	w i ɣ l e r ɑ s
wiglere	w i ɣ l e r e
wigleres	w i ɣ l e r e s
wiglerum	w i ɣ l e r u m
wiglung	w i j l u ŋ ɡ
wiglunga	w i j l u ŋ ɡ ɑ
wiglunge	w i j l u ŋ ɡ e
wiglungum	w i j l u ŋ ɡ u m
wigmann	w iː j m ɑ n
wigmenn	w iː j m e n
wignoþ	w iː ɣ n o θ
wigon	w i ɣ o n
wigsmiþa	w iː j s m i ð ɑ
wigsmiþas	w iː j s m i ð ɑ s
wigsmiþe	w iː j s m i ð e
wigsmiþes	w iː j s m i ð e s
wigsmiþum	w iː j s m i ð u m
wigum	w i ɣ u m
wigwægna	w iː ɣ w æ j n ɑ
wigwægnas	w iː ɣ w æ j n ɑ s
wigwægne	w iː ɣ w æ j n e
wigwægnes	w iː ɣ w æ j n e s
wigwægnum	w iː ɣ w æ j n u m
wigweorþung	w iː j w e͜o rˠ ð u ŋ ɡ
wigweorþunga	w iː j w e͜o rˠ ð u ŋ ɡ ɑ
wigweorþunge	w iː j w e͜o rˠ ð u ŋ ɡ e
wigweorþungum	w iː j w e͜o rˠ ð u ŋ ɡ u m
wihst	w i ç s t
wiht	w i ç t
Wiht	w i ç t
wihta	w i ç t ɑ
Wihtburg	w i ç t b u rˠ ɣ
wihte	w i ç t e
Wihte	w i ç t e
Wihtland	w i ç t l ɑ n d
Wihtsæta	w i ç t s æː t ɑ
Wihtsætan	w i ç t s æː t ɑ n
Wihtsæte	w i ç t s æː t e
wihtu	w i ç t u
wihtum	w i ç t u m
Wihtwara	w i ç t w ɑ r ɑ
Wihtwaran	w i ç t w ɑ r ɑ n
Wihtware	w i ç t w ɑ r e
Wihtwarum	w i ç t w ɑ r u m
Wilberht	w i l b e rˠ x t
Wilberhte	w i l b e rˠ x t e
Wilberhtes	w i l b e rˠ x t e s
Wilburg	w i ɫ b u rˠ ɣ
wilcume	w i ɫ k u m e
wilcumena	w i ɫ k u m e n ɑ
wildan	w i ɫ d ɑ n
wilddeor	w i ɫ d d e͜oː r
wilddeora	w i ɫ d d e͜oː r ɑ
wilddeore	w i ɫ d d e͜oː r e
wilddeoren	w i ɫ d d e͜oː r e n
wilddeorenum	w i ɫ d d e͜oː r e n u m
wilddeores	w i ɫ d d e͜oː r e s
wilddeorlican	w i ɫ d d e͜oː rˠ l iː t͡ʃ ɑ n
wilddeorlice	w i ɫ d d e͜oː r l iː t͡ʃ e
wilddeorum	w i ɫ d d e͜oː r u m
wilde	w i ɫ d e
wildena	w i ɫ d e n ɑ
wildes	w i ɫ d e s
wildo	w i ɫ d o
wildor	w i ɫ d o r
wilgesiþe	w i ɫ j e s iː ð e
Wilgils	w i l j iː ɫ s
Wilgilse	w i l j iː ɫ z e
Wilgilses	w i l j iː ɫ z e s
Wilgyþ	w i ɫ ɣ yː θ
wiligan	w i l i ɣ ɑ n
wilige	w i l i ɣ e
wiligena	w i l i ɣ e n ɑ
wiligum	w i l i ɣ u m
willa	w i ɫ ɫ ɑ
willan	w i ɫ ɫ ɑ n
willaþ	w i ɫ ɫ ɑ θ
wille	w i ɫ ɫ e
Willehad	w i ɫ ɫ e h ɑː d
willena	w i ɫ ɫ e n ɑ
willende	w i ɫ ɫ e n d e
willes	w i ɫ ɫ e s
willian	w i ɫ ɫ i ɑ n
williaþ	w i ɫ ɫ i ɑ θ
Willibald	w i ɫ ɫ i b ɑ ɫ d
willode	w i ɫ ɫ o d e
willodon	w i ɫ ɫ o d o n
willum	w i ɫ ɫ u m
wiln	w iː ɫ n
wilna	w iː ɫ n ɑ
wilnast	w i ɫ n ɑ s t
wilnaþ	w i ɫ n ɑ θ
wilne	w iː ɫ n e
wilnian	w i ɫ n i ɑ n
wilniaþ	w i ɫ n i ɑ θ
wilniende	w i ɫ n i e n d e
wilnienne	w i ɫ n i e n n e
wilnige	w i ɫ n i j e
wilnod	w i ɫ n o d
wilnode	w i ɫ n o d e
wilnum	w iː ɫ n u m
wilnung	w i ɫ n u ŋ ɡ
wilnunga	w i ɫ n u ŋ ɡ ɑ
wilnunge	w i ɫ n u ŋ ɡ e
wilnungum	w i ɫ n u ŋ ɡ u m
Wilsæta	w i ɫ z æː t ɑ
Wilsætan	w i ɫ z æː t ɑ n
Wilsætum	w i ɫ z æː t u m
wilsca	w iː ɫ ʃ ɑ
wilscan	w iː ɫ ʃ ɑ n
wilscum	w iː ɫ ʃ u m
wilspell	w i l s p e ɫ
wilspella	w i l s p e ɫ ɫ ɑ
wilspelle	w i l s p e ɫ ɫ e
wilspelles	w i l s p e ɫ ɫ e s
wilspellum	w i l s p e ɫ ɫ u m
Wilswiþ	w i ɫ z w i θ
wilt	w i ɫ t
Wiltune	w i ɫ t uː n e
Wiltunes	w i ɫ t uː n e s
Wiltunisca	w i ɫ t uː n i ʃ ʃ ɑ
Wiltuniscan	w i ɫ t uː n i ʃ ʃ ɑ n
Wiltunisce	w i ɫ t uː n i ʃ ʃ e
Wiltuniscena	w i ɫ t uː n i ʃ ʃ e n ɑ
Wiltunisces	w i ɫ t uː n i ʃ ʃ e s
Wiltuniscne	w i ɫ t uː n i ʃ n e
Wiltuniscra	w i ɫ t uː n i ʃ r ɑ
Wiltuniscre	w i ɫ t uː n i ʃ r e
Wiltuniscum	w i ɫ t uː n i ʃ ʃ u m
Wiltunscir	w i ɫ t uː n ʃ iː r
Wiltunscire	w i ɫ t uː n ʃ iː r e
wilweorþung	w i l w e͜o rˠ ð u ŋ ɡ
wilwian	w i ɫ w i ɑ n
winbelg	w iː n b e ɫ ɣ
winbelga	w iː n b e ɫ ɣ ɑ
winbelgas	w iː n b e ɫ ɣ ɑ s
winbelge	w iː n b e ɫ ɣ e
winbelges	w iː n b e ɫ ɣ e s
winbelgum	w iː n b e ɫ ɣ u m
winbergan	w iː n b e rˠ j ɑ n
winberge	w iː n b e rˠ j e
winbergena	w iː n b e rˠ j e n ɑ
winbergum	w iː n b e rˠ j u m
winburg	w iː n b u rˠ ɣ
winburga	w iː n b u rˠ ɣ ɑ
winburgum	w iː n b u rˠ ɣ u m
winbyrg	w iː n b y rˠ j
wincaþ	w i ŋ k ɑ θ
wincettan	w i ŋ k e t t ɑ n
wincettaþ	w i ŋ k e t t ɑ θ
wincian	w i ŋ k i ɑ n
winciende	w i ŋ k i e n d e
wincige	w i ŋ k i j e
Windlesoran	w i n d l e z oː r ɑ n
windruncen	w iː n d r u ŋ k e n
windscofl	w i n d ʃ o v l
windscofle	w i n d ʃ o v l e
wineard	w iː n æ͜ɑ rˠ d
Wineberht	w i n e b e rˠ x t
winedryhten	w i n e d r y ç t e n
winedryhtnes	w i n e d r y ç t n e s
wineleasne	w i n e l æ͜ɑː z n e
winemæga	w i n e m æː ɣ ɑ
winemægum	w i n e m æː ɣ u m
winemaga	w i n e m ɑː ɣ ɑ
winemagas	w i n e m ɑː ɣ ɑ s
winemagum	w i n e m ɑː ɣ u m
Wineshlauu	w i n e s l̥ ɑː w
wingeard	w iː n j æ͜ɑ rˠ d
wingearda	w iː n j æ͜ɑ rˠ d ɑ
wingeardas	w iː n j æ͜ɑ rˠ d ɑ s
wingearde	w iː n j æ͜ɑ rˠ d e
wingeardes	w iː n j æ͜ɑ rˠ d e s
wingeardum	w iː n j æ͜ɑ rˠ d u m
winhatan	w iː n h ɑː t ɑ n
winhate	w iː n h ɑː t e
winhus	w iː n h uː s
winhusa	w iː n h uː z ɑ
winhuse	w iː n h uː z e
winhuses	w iː n h uː z e s
winhusum	w iː n h uː s u m
winn	w i n
winsalo	w iː n z ɑ l o
winsalu	w iː n z ɑ l u
winterburna	w i n t e r b u rˠ n ɑ
winterburnan	w i n t e r b u rˠ n ɑ n
winterburnena	w i n t e r b u rˠ n e n ɑ
winterburnum	w i n t e r b u rˠ n u m
winterceald	w i n t e r t͡ʃ æ͜ɑ ɫ d
wintercealdan	w i n t e r t͡ʃ æ͜ɑ ɫ d ɑ n
wintercealde	w i n t e r t͡ʃ æ͜ɑ ɫ d e
wintercealdes	w i n t e r t͡ʃ æ͜ɑ ɫ d e s
wintercealdne	w i n t e r t͡ʃ æ͜ɑ ɫ d n e
wintercealdum	w i n t e r t͡ʃ æ͜ɑ ɫ d u m
winterdaga	w i n t e r d ɑ ɣ ɑ
winterdagas	w i n t e r d ɑ ɣ ɑ s
winterdagum	w i n t e r d ɑ ɣ u m
winterfeorm	w i n t e r f e͜o rˠ m
winterfylleþ	w i n t e r f y ɫ ɫ e θ
wintergegang	w i n t e r j e ɡ ɑ ŋ ɡ
wintergeweorp	w i n t e r j e w e͜o rˠ p
winterhus	w i n t e r h uː s
winterlices	w i n t e rˠ l iː t͡ʃ e s
winterlicne	w i n t e rˠ l iː k n e
winterlicum	w i n t e rˠ l iː t͡ʃ u m
winterselde	w i n t e r s e ɫ d e
wintersufel	w i n t e r s u v e l
wintersufle	w i n t e rˠ z u f l e
winterwelle	w i n t e r w e ɫ ɫ e
winterwyllan	w i n t e r w y ɫ ɫ ɑ n
winterwylle	w i n t e r w y ɫ ɫ e
wintrog	w iː n t r o ɣ
wiorld	w i͜u rˠ ɫ d
wirð	w i rˠ θ
Wiremuþan	w iː r e m uː ð ɑ n
wirgnes	w i rˠ j n e s
Wirhealh	w iː r h æ͜ɑ ɫ x
wirs	w i rˠ s
wisa	w iː z ɑ
wisade	w iː z ɑ d e
wisan	w iː z ɑ n
wisaþ	w iː z ɑ θ
wisdom	w iː z d oː m
wisdoma	w iː z d oː m ɑ
wisdomas	w iː z d oː m ɑ s
wisdome	w iː z d oː m e
wisdomes	w iː z d oː m e s
wisdomum	w iː z d oː m u m
wise	w iː z e
wise	w iː z e
wise	w iː z e
wisena	w iː z e n ɑ
wisian	w iː z i ɑ n
wisige	w iː z i j e
wisigen	w iː z i j e n
Wislan	w iː z l ɑ n
Wisle	w iː z l e
Wisleland	w iː z l e l ɑ n d
Wislelande	w iː z l e l ɑ n d e
Wislelandes	w iː z l e l ɑ n d e s
Wislemuþa	w iː z l e m uː ð ɑ
Wislemuþan	w iː z l e m uː ð ɑ n
wislic	w iː z l iː t͡ʃ
wislice	w iː z l iː k e
wislicra	w iː z l iː k r ɑ
wislicu	w iː z l iː t͡ʃ u
wislicum	w iː z l iː t͡ʃ u m
wisnaþ	w i z n ɑ θ
wisne	w iː z n e
wisnes	w iː z n e s
wisnian	w i z n i ɑ n
wisnode	w i z n o d e
wisode	w iː z o d e
wisodon	w iː z o d o n
wisra	w iː z r ɑ
wisre	w iː z r e
wissung	w i s s u ŋ ɡ
wissunge	w i s s u ŋ ɡ e
witega	w iː t e ɣ ɑ
witegan	w iː t e ɣ ɑ n
witegaþ	w iː t e ɣ ɑ θ
witegena	w iː t e ɣ e n ɑ
witegestre	w iː t e ɣ e s t r e
witegian	w iː t e ɣ i ɑ n
witegiende	w iː t e ɣ i e n d e
witegod	w iː t e ɣ o d
witegode	w iː t e ɣ o d e
witegodon	w iː t e ɣ o d o n
witegum	w iː t e ɣ u m
witehrægl	w iː t e r̥ æ j l
witehus	w iː t e h uː s
witehusa	w iː t e h uː z ɑ
witehuse	w iː t e h uː z e
witehuses	w iː t e h uː z e s
witehusum	w iː t e h uː s u m
witga	w iː t ɣ ɑ
witgan	w iː t ɣ ɑ n
witgaþ	w iː t ɣ ɑ θ
witgena	w iː t ɣ e n ɑ
witgian	w iː t ɣ i ɑ n
witgiende	w iː t ɣ i e n d e
witgod	w iː t ɣ o d
witgode	w iː t ɣ o d e
witgodon	w iː t ɣ o d o n
witgum	w iː t ɣ u m
witgung	w iː t ɣ u ŋ ɡ
witgunge	w iː t ɣ u ŋ ɡ e
witiga	w iː t i ɣ ɑ
witigan	w iː t i ɣ ɑ n
witigena	w iː t i ɣ e n ɑ
witigum	w iː t i ɣ u m
witt	w i t
witword	w i t w o rˠ d
wiþblæwst	w i ð b l æː w s t
wiþblæwþ	w i ð b l æː w θ
wiþblawan	w i ð b l ɑː w ɑ n
wiþblawaþ	w i ð b l ɑː w ɑ θ
wiþblawe	w i ð b l ɑː w e
wiþblawen	w i ð b l ɑː w e n
wiþblawende	w i ð b l ɑː w e n d e
wiþbleow	w i ð b l e͜oː w
wiþbleowon	w i ð b l e͜oː w o n
wiþbræd	w i ð b r æː d
wiþbrægd	w i ð b r æ j d
wiþbregd	w i ð b r e j d
wiþbregdan	w i ð b r e j d ɑ n
wiþbregdaþ	w i ð b r e j d ɑ θ
wiþbregde	w i ð b r e j d e
wiþbregden	w i ð b r e j d e n
wiþbregdende	w i ð b r e j d e n d e
wiþbregdest	w i ð b r e j d e s t
wiþbregdeþ	w i ð b r e j d e θ
wiþbrogden	w i ð b r o ɣ d e n
wiþbrugdon	w i ð b r u ɣ d o n
wiþceosan	w i θ t͡ʃ e͜oː z ɑ n
wiþceosaþ	w i θ t͡ʃ e͜oː z ɑ θ
wiþceose	w i θ t͡ʃ e͜oː z e
wiþceosen	w i θ t͡ʃ e͜oː z e n
wiþceosende	w i θ t͡ʃ e͜oː z e n d e
wiþceosenne	w i θ t͡ʃ e͜oː z e n n e
wiþcweþan	w i θ k w e ð ɑ n
wiþcweþaþ	w i θ k w e ð ɑ θ
wiþcweþe	w i θ k w e ð e
wiþcweþen	w i θ k w e ð e n
wiþcweþende	w i θ k w e ð e n d e
wiþcweþenne	w i θ k w e ð e n n e
wiþdraf	w i ð d r ɑː f
wiþdrif	w i ð d r iː f
wiþdrifan	w i ð d r iː v ɑ n
wiþdrifaþ	w i ð d r iː v ɑ θ
wiþdrife	w i ð d r iː v e
wiþdrife	w i ð d r i v e
wiþdrifen	w i ð d r iː v e n
wiþdrifen	w i ð d r i v e n
wiþdrifende	w i ð d r iː v e n d e
wiþdrifenne	w i ð d r iː v e n n e
wiþdrifon	w i ð d r i v o n
wiþdrifst	w i ð d r iː f s t
wiþdrifþ	w i ð d r iː f θ
wiþeode	w i ð e͜oː d e
wiþeoden	w i ð e͜oː d e n
wiþeodest	w i ð e͜oː d e s t
wiþeodon	w i ð e͜oː d o n
wiþer	w i ð e r
wiþercrist	w i ð e r k r i s t
wiþercwædon	w i ð e r k w æː d o n
wiþercwæþ	w i ð e r k w æ θ
wiþercweden	w i ð e r k w e d e n
wiþercwedolnessa	w i ð e r k w e d o ɫ n e s s ɑ
wiþercwedolnesse	w i ð e r k w e d o ɫ n e s s e
wiþercwedolnessum	w i ð e r k w e d o l n e s s u m
wiþercweþ	w i ð e r k w e θ
wiþercweþan	w i ð e r k w e ð ɑ n
wiþercweþaþ	w i ð e r k w e ð ɑ θ
wiþercweþe	w i ð e r k w e ð e
wiþercweþende	w i ð e r k w e ð e n d e
wiþercweþenne	w i ð e r k w e ð e n n e
wiþercwida	w i ð e r k w i d ɑ
wiþercwidan	w i ð e r k w i d ɑ n
wiþercwide	w i ð e r k w i d e
wiþercwidena	w i ð e r k w i d e n ɑ
wiþercwidum	w i ð e r k w i d u m
wiþercwiþ	w i ð e r k w i θ
wiþercyrr	w i ð e r t͡ʃ y rˠ
wiþerflita	w i ð e r f l i t ɑ
wiþerflitan	w i ð e r f l i t ɑ n
wiþerhabban	w i ð e r h ɑ b b ɑ n
wiþerhabbaþ	w i ð e r h ɑ b b ɑ θ
wiþerhæbbe	w i ð e r h æ b b e
wiþerhæbben	w i ð e r h æ b b e n
wiþerhæbbende	w i ð e r h æ b b e n d e
wiþerhæbbenne	w i ð e r h æ b b e n n e
wiþerhæfd	w i ð e r h æ v d
wiþerhæfde	w i ð e r h æ v d e
wiþerhæfden	w i ð e r h æ v d e n
wiþerhæfdest	w i ð e r h æ v d e s t
wiþerhæfst	w i ð e r h æ f s t
wiþerhæfþ	w i ð e r h æ f θ
wiþerhafa	w i ð e r h ɑ v ɑ
wiþerhlinian	w i ð e r l̥ i n i ɑ n
wiþerian	w i ð e r i ɑ n
wiþerlean	w i ð e r l æ͜ɑː n
wiþerling	w i ð e r l i ŋ ɡ
wiþerlinga	w i ð e r l i ŋ ɡ ɑ
wiþerlingas	w i ð e r l i ŋ ɡ ɑ s
wiþerlinge	w i ð e r l i ŋ ɡ e
wiþerlinges	w i ð e r l i ŋ ɡ e s
wiþerlingum	w i ð e r l i ŋ ɡ u m
wiþerræda	w i ð e r r æː d ɑ
wiþerræde	w i ð e rˠ rˠ æː d e
wiþerrædum	w i ð e r r æː d u m
wiþerriht	w i ð e rˠ rˠ i ç t
wiþerrihte	w i ð e r r i ç t e
wiþerrihtes	w i ð e r r i ç t e s
wiþersaca	w i ð e r s ɑ k ɑ
wiþersacan	w i ð e r s ɑ k ɑ n
wiþersacena	w i ð e r s ɑ k e n ɑ
wiþersacum	w i ð e r s ɑ k u m
wiþersæc	w i ð e r s æ k
wiþersprecend	w i ð e r s p r e k e n d
wiþerweard	w i ð e r w æ͜ɑ rˠ d
wiþerwearda	w i ð e r w æ͜ɑ rˠ d ɑ
wiþerweardan	w i ð e r w æ͜ɑ rˠ d ɑ n
wiþerwearde	w i ð e r w æ͜ɑ rˠ d e
wiþerweardes	w i ð e r w æ͜ɑ rˠ d e s
wiþerweardne	w i ð e r w æ͜ɑ rˠ d n e
wiþerweardra	w i ð e r w æ͜ɑ rˠ d r ɑ
wiþerweardum	w i ð e r w æ͜ɑ rˠ d u m
wiþerwinna	w i ð e r w i n n ɑ
wiþfærst	w i θ f æ rˠ s t
wiþfærþ	w i θ f æ rˠ θ
wiþfangen	w i θ f ɑ ŋ ɡ e n
wiþfeng	w i θ f eː ŋ ɡ
wiþfenge	w i θ f eː ŋ ɡ e
wiþfengen	w i θ f eː ŋ ɡ e n
wiþfengon	w i θ f eː ŋ ɡ o n
wiþga	w i ð ɣ ɑː
wiþgæst	w i ð ɣ æː s t
wiþgæþ	w i ð ɣ æː θ
wiþgan	w i ð ɡ ɑː n
wiþgande	w i ð ɣ ɑː n d e
wiþgang	w i ð ɡ ɑ ŋ ɡ
wiþgangan	w i ð ɡ ɑ ŋ ɡ ɑ n
wiþgangaþ	w i ð ɡ ɑ ŋ ɡ ɑ θ
wiþgange	w i ð ɡ ɑ ŋ ɡ e
wiþgangen	w i ð ɡ ɑ ŋ ɡ e n
wiþgangende	w i ð ɡ ɑ ŋ ɡ e n d e
wiþgangenne	w i ð ɡ ɑ ŋ ɡ e n n e
wiþganne	w i ð ɣ ɑː n n e
wiþgaþ	w i ð ɣ ɑː θ
wiþgeng	w i ð j eː ŋ ɡ
wiþgenge	w i ð j eː ŋ ɡ e
wiþgengon	w i ð j eː ŋ ɡ o n
wiþgieng	w i ð j i͜yː ŋ ɡ
wiþgiengon	w i ð j i͜yː ŋ ɡ o n
wiþgrap	w i ð ɣ r ɑː p
wiþgrip	w i ð ɣ r iː p
wiþgripan	w i ð ɡ r iː p ɑ n
wiþgripaþ	w i ð ɣ r iː p ɑ θ
wiþgripe	w i ð ɣ r iː p e
wiþgripe	w i ð ɣ r i p e
wiþgripen	w i ð ɡ r iː p e n
wiþgripen	w i ð ɡ r i p e n
wiþgripende	w i ð ɡ r iː p e n d e
wiþgripenne	w i ð ɡ r iː p e n n e
wiþgripon	w i ð ɣ r i p o n
wiþgripst	w i ð ɣ r iː p s t
wiþgripþ	w i ð ɣ r iː p θ
wiþhabban	w i θ h ɑ b b ɑ n
wiþhabbaþ	w i θ h ɑ b b ɑ θ
wiþhæbbe	w i θ h æ b b e
wiþhæbben	w i θ h æ b b e n
wiþhæbbende	w i θ h æ b b e n d e
wiþhæbbenne	w i θ h æ b b e n n e
wiþhæfd	w i θ h æ v d
wiþhæfde	w i θ h æ v d e
wiþhæfden	w i θ h æ v d e n
wiþhæfdest	w i θ h æ v d e s t
wiþhæfdon	w i θ h æ v d o n
wiþhæfst	w i θ h æ f s t
wiþhæfþ	w i θ h æ f θ
wiþhafa	w i θ h ɑ f ɑ
wiþheardaþ	w i θ h æ͜ɑ rˠ d ɑ θ
wiþheardian	w i θ h æ͜ɑ rˠ d i ɑ n
wiþheardiaþ	w i θ h æ͜ɑ rˠ d i ɑ θ
wiþheardige	w i θ h æ͜ɑ rˠ d i j e
wiþheardod	w i θ h æ͜ɑ rˠ d o d
wiþheardode	w i θ h æ͜ɑ rˠ d o d e
wiþheardodon	w i θ h æ͜ɑ rˠ d o d o n
wiþhogde	w i θ h o ɣ d e
wiþhogden	w i θ h o ɣ d e n
