'ntós	n̪ t̪ o s
guarnecer	ɡ w a ɾ n e θ e ɾ
Guatemala	ɡ w a t̪ e m a l a
guaxa	ɡ w a ʃ a
guaḥe	ɡ w a h e
guedeyu	ɡ e ð̞ e ʝ u
guerra	ɡ e r a
gufanda	ɡ u f ã n̪ d̪ a
guiar	ɡ i a ɾ
guirriu	ɡ i r j u
guisa	ɡ i s a
guitarra	ɡ i t̪ a r a
guitarreros	ɡ i t̪ a r e ɾ o s
guitarreru	ɡ i t̪ a r e ɾ u
guiyu	ɡ i ʝ u
guión	ɡ i õ ŋ
guo	ɡ w o
gurrión	ɡ u r j õ ŋ
gurrumanxa	ɡ u r u m ã ɲ ʃ a
Guyana	ɡ u ʝ a n a
guá	ɡ w a
guía	ɡ i a
gástricu	ɡ a s̪ t̪ ɾ i k u
góndola	ɡ õ n̪ d̪ o l a
güela	ɡ w e l a
güeles	ɡ w e l e s
güelga	ɡ w e l ɡ a
güelga	b w e l ɣ̞ a
güelga	b w o l ɣ̞ a
güelga	b w ø l ɣ a
güelga	b w o l ɣ̞ a
güelga	b w ø l ɣ a
güelos	ɡ w e l o s
güelu	ɡ w e l u
güelu	ɣ w o l u
güelu	ɣ w ø l u
güelu	ɣ w i l u
güen	ɡ w ẽ ŋ
güenu	ɡ w e n u
güerta	ɡ w e ɾ t̪ a
güestia	ɡ w e s̪ t̪ j a
güesu	ɡ w e s u
güevu	ɡ w e β̞ u
güeyu	ɡ w e ʝ u
güeyu	w e ʝ u
güeyu	w o ʝ u
güeyu	w e t͡ʃ u
güeyu	w ø t͡ʃ u
güeyu	ɣ w a ʝ u
güeyu	w o ʝ u
güeyu	w e t͡ʃ u
güeyu	w ø t͡ʃ u
güeyu	ɣ w a ʝ u
güeyu	b w e ʝ u
haber	a β̞ e ɾ
hacha	a t͡ʃ a
hacia	a θ j a
Hades	a ð̞ e s
haiga	a i̯ ɡ a
Haití	a i̯ t̪ i
harmonizáu	a ɾ m o n i θ a u̯
harpía	a ɾ p i a
hasta	a s̪ t̪ a
haza	a θ a
heba	e β̞ a
helenismu	e l e n i z m u
helenizáu	e l e n i θ a u̯
heleno	e l e n o
helicópteros	e l i k o p t̪ e ɾ o s
heliocentrismu	e l j o θ ẽ n̪ t̪ ɾ i z m u
hemisferiu	e m i s f e ɾ j u
heredatible	e ɾ e ð̞ a t̪ i β̞ l e
hermana	e ɾ m a n a
hermanible	e ɾ m a n i β̞ l e
hermaniblemente	e ɾ m a n i β̞ l e m ẽ n̪ t̪ e
hermanu	e ɾ m a n u
hermeneuta	e ɾ m e n ø u t̪ a
hermeneutas	e ɾ m e n ø u t̪ a s
hermenéutica	e ɾ m e n ø u t̪ i k a
hermenéutico	e ɾ m e n ø u t̪ i k o
hermenéuticos	e ɾ m e n ø u t̪ i k o s
hermenéuticu	e ɾ m e n ø u t̪ i k u
hermenéutiques	e ɾ m e n ø u t̪ i k e s
heroína	e ɾ o i n a
hespital	e s p i t̪ a l
hinduismu	ĩ n̪ d̪ w i z m u
historia	i s̪ t̪ o ɾ j a
ho	o
hola	o l a
home	o m e
homenax	o m e n a ʃ
homenaxe	o m e n a ʃ e
homicidiu	o m i θ i ð̞ j u
horizonte	o ɾ i θ õ n̪ t̪ e
hormona	o ɾ m o n a
horrible	o r i β̞ l e
horriu	o r j u
horru	o r u
hospital	o s p i t̪ a l
hotel	o t̪ e l
hurriu	u r j u
héroe	e ɾ o e
héroes	e ɾ o e s
i	i
Ibias	i β̞ j a s
ichar	i t͡ʃ a ɾ
ideal	i ð̞ e a l
identifica	i ð̞ ẽ n̪ t̪ i f i k a
identificada	i ð̞ ẽ n̪ t̪ i f i k a ð̞ a
identificar	i ð̞ ẽ n̪ t̪ i f i k a ɾ
identificáu	i ð̞ ẽ n̪ t̪ i f i k a u̯
idioma	i ð̞ j o m a
igualmente	i ɡ w a l m ẽ n̪ t̪ e
ilesia	i l e s j a
Illas	i ʎ a s
ilustrar	i l u s̪ t̪ ɾ a ɾ
imaxe	i m a ʃ e
imaxen	i m a ʃ ẽ ŋ
imaxinariu	i m a ʃ i n a ɾ j u
imaxináu	i m a ʃ i n a u̯
imita	i m i t̪ a
imitación	i m i t̪ a θ j õ ŋ
imitada	i m i t̪ a ð̞ a
imitando	i m i t̪ ã n̪ d̪ o
imitar	i m i t̪ a ɾ
imitas	i m i t̪ a s
imitáis	i m i t̪ a i̯ s
imitáu	i m i t̪ a u̯
imperialismu	ĩ m p e ɾ j a l i z m u
imperialistes	ĩ m p e ɾ j a l i s̪ t̪ e s
imperios	ĩ m p e ɾ j o s
imperiu	ĩ m p e ɾ j u
implicáu	ĩ m p l i k a u̯
implícito	ĩ m p l i θ i t̪ o
importancia	ĩ m p o ɾ t̪ ã n̟ θ j a
importante	ĩ m p o ɾ t̪ ã n̪ t̪ e
importáu	ĩ m p o ɾ t̪ a u̯
impresa	ĩ m p ɾ e s a
impreses	ĩ m p ɾ e s e s
impresos	ĩ m p ɾ e s o s
impresu	ĩ m p ɾ e s u
imprimida	ĩ m p ɾ i m i ð̞ a
imprimíu	ĩ m p ɾ i m i u
impuesta	ĩ m p w e s̪ t̪ a
impuestes	ĩ m p w e s̪ t̪ e s
impuesto	ĩ m p w e s̪ t̪ o
impuestos	ĩ m p w e s̪ t̪ o s
impuestu	ĩ m p w e s̪ t̪ u
Inaciu	i n a θ j u
incestos	ĩ n̟ θ e s̪ t̪ o s
incestu	ĩ n̟ θ e s̪ t̪ u
incidíu	ĩ n̟ θ i ð̞ i u
incineráu	ĩ n̟ θ i n e ɾ a u̯
inclinada	i ŋ k l i n a ð̞ a
inclináu	i ŋ k l i n a u̯
incubáu	i ŋ k u β̞ a u̯
inda	ĩ n̪ d̪ a
independencia	ĩ n̪ d̪ e p ẽ n̪ d̪ ẽ n̟ θ j a
India	ĩ n̪ d̪ j a
india	ĩ n̪ d̪ j a
indiana	ĩ n̪ d̪ j a n a
indianu	ĩ n̪ d̪ j a n u
indicible	ĩ n̪ d̪ i θ i β̞ l e
indicáu	ĩ n̪ d̪ i k a u̯
indina	ĩ n̪ d̪ i n a
Indonesia	ĩ n̪ d̪ o n e s j a
inducir	ĩ n̪ d̪ u θ i ɾ
industrializáu	ĩ n̪ d̪ u s̪ t̪ ɾ j a l i θ a u̯
infiltrada	ĩ ɱ f i l̪ t̪ ɾ a ð̞ a
influyíu	ĩ ɱ f l u ʝ i u
información	ĩ ɱ f o ɾ m a θ j õ ŋ
Inglaterra	i ŋ ɡ l a t̪ e r a
inglés	i ŋ ɡ l e s
inicialmente	i n i θ j a l m ẽ n̪ t̪ e
inmigración	ĩ m m i ɡ ɾ a θ j õ ŋ
inscritu	ĩ n s k ɾ i t̪ u
inseparable	ĩ n s e p a ɾ a β̞ l e
insistas	ĩ n s i s̪ t̪ a s
insistida	ĩ n s i s̪ t̪ i ð̞ a
insistíu	ĩ n s i s̪ t̪ i u
institucionalizáu	ĩ n s̪ t̪ i t̪ u θ j o n a l i θ a u̯
institutos	ĩ n s̪ t̪ i t̪ u t̪ o s
institutu	ĩ n s̪ t̪ i t̪ u t̪ u
instrumentos	ĩ n s̪ t̪ ɾ u m ẽ n̪ t̪ o s
instrumentu	ĩ n s̪ t̪ ɾ u m ẽ n̪ t̪ u
instruyíu	ĩ n s̪ t̪ ɾ u ʝ i u
insulina	ĩ n s u l i n a
intautu	ĩ n̪ t̪ a u̯ t̪ u
integras	ĩ n̪ t̪ e ɡ ɾ a s
integráu	ĩ n̪ t̪ e ɡ ɾ a u̯
intelixencia	ĩ n̪ t̪ e l i ʃ ẽ n̟ θ j a
internacional	ĩ n̪ t̪ e ɾ n a θ j o n a l
internet	ĩ n̪ t̪ e ɾ n e
interrogáu	ĩ n̪ t̪ e r o ɡ a u̯
interrumpíu	ĩ n̪ t̪ e r ũ m p i u
intervenida	ĩ n̪ t̪ e ɾ β̞ e n i ð̞ a
interveníu	ĩ n̪ t̪ e ɾ β̞ e n i u
intoncias	ĩ n̪ t̪ õ n̟ θ j a s
intoncis	ĩ n̪ t̪ õ n̟ θ i s
introducida	ĩ n̪ t̪ ɾ o ð̞ u θ i ð̞ a
introducíu	ĩ n̪ t̪ ɾ o ð̞ u θ i u
inundación	i n ũ n̪ d̪ a θ j õ ŋ
invadíu	ĩ m b a ð̞ i u
invención	ĩ m b ẽ n̟ θ j õ ŋ
inventáu	ĩ m b ẽ n̪ t̪ a u̯
invertíu	ĩ m b e ɾ t̪ i u
investigación	ĩ m b e s̪ t̪ i ɡ a θ j õ ŋ
investigáu	ĩ m b e s̪ t̪ i ɡ a u̯
invitar	ĩ m b i t̪ a ɾ
invitas	ĩ m b i t̪ a s
invitáu	ĩ m b i t̪ a u̯
inxenuu	ĩ ɲ ʃ e n u w
inxenuu	ĩ ɲ ʃ e n u
inxusto	ĩ ɲ ʃ u s̪ t̪ o
inútil	i n u t̪ i l
irracional	i r a θ j o n a l
islamizáu	i z l a m i θ a u̯
Islandia	i z l ã n̪ d̪ j a
islandés	i z l ã n̪ d̪ e s
islla	i z ʎ a
Israel	i z r a e l
israelina	i z r a e l i n a
israelines	i z r a e l i n e s
israelino	i z r a e l i n o
israelinos	i z r a e l i n o s
israelita	i z r a e l i t̪ a
israelites	i z r a e l i t̪ e s
israelín	i z r a e l ĩ ŋ
istantín	i s̪ t̪ ã n̪ t̪ ĩ ŋ
iverniegu	i β̞ e ɾ n j e ɡ u
ivernizu	i β̞ e ɾ n i θ u
ivernosu	i β̞ e ɾ n o s u
ixuxú	i ʃ u ʃ u
izquierdu	i θ k j e ɾ ð̞ u
Kosovo	k o s o β̞ o
Lacio	l a θ j o
lante	l ã n̪ t̪ e
lantre	l ã n̪ t̪ ɾ e
larinxe	l a ɾ ĩ ɲ ʃ e
lenta	l ẽ n̪ t̪ a
lentilla	l ẽ n̪ t̪ i ʎ a
lento	l ẽ n̪ t̪ o
leré	l e ɾ e
Leyo	l e ʝ o
lila	l i l a
litiu	l i t̪ j u
llabiegu	ʎ a β̞ j e ɡ u
llabiu	ʎ a β̞ j u
llabor	ʎ a β̞ o ɾ
llaboratorios	ʎ a β̞ o ɾ a t̪ o ɾ j o s
llaboratoriu	ʎ a β̞ o ɾ a t̪ o ɾ j u
llaboriegu	ʎ a β̞ o ɾ j e ɡ u
llaboría	ʎ a β̞ o ɾ i a
llabrar	ʎ a β̞ ɾ a ɾ
llaceria	ʎ a θ e ɾ j a
llaceries	ʎ a θ e ɾ j e s
llaciente	ʎ a θ j ẽ n̪ t̪ e
llacón	ʎ a k õ ŋ
lladrar	ʎ a ð̞ ɾ a ɾ
lladre	ʎ a ð̞ ɾ e
lladriellu	ʎ a ð̞ ɾ j e ʎ u
lladrón	ʎ a ð̞ ɾ õ ŋ
llagar	ʎ a ɡ a ɾ
llagos	ʎ a ɡ o s
llagu	ʎ a ɡ u
llaguna	ʎ a ɡ u n a
llambedor	ʎ ã m b e ð̞ o ɾ
llambedura	ʎ ã m b e ð̞ u ɾ a
llamber	ʎ ã m b e ɾ
llambiatu	ʎ ã m b j a t̪ u
llambiayu	ʎ ã m b j a ʝ u
llambionada	ʎ ã m b j o n a ð̞ a
llambionar	ʎ ã m b j o n a ɾ
llambionazu	ʎ ã m b j o n a θ u
llambiotada	ʎ ã m b j o t̪ a ð̞ a
llambiotar	ʎ ã m b j o t̪ a ɾ
llambión	ʎ ã m b j õ ŋ
llamuerga	ʎ a m w e ɾ ɡ a
llana	ʎ a n a
llande	ʎ ã n̪ d̪ e
Llanera	ʎ a n e ɾ a
llanes	ʎ a n e s
Llanes	ʎ a n e s
Llangreo	ʎ a ŋ ɡ ɾ e o
Llangréu	ʎ a ŋ ɡ ɾ ø u
llano	ʎ a n o
llanos	ʎ a n o s
llantáu	ʎ ã n̪ t̪ a u̯
llanu	ʎ a n u
llapa	ʎ a p a
llar	ʎ a ɾ
Llara	ʎ a ɾ a
llargu	ʎ a ɾ ɡ u
llariegu	ʎ a ɾ j e ɡ u
llaudar	ʎ a u̯ ð̞ a ɾ
llavada	ʎ a β̞ a ð̞ a
llavar	ʎ a β̞ a ɾ
llave	ʎ a β̞ e
Llaviana	ʎ a β̞ j a n a
llaváu	ʎ a β̞ a u̯
llaz	ʎ a θ
llebre	ʎ e β̞ ɾ e
lleche	ʎ e t͡ʃ e
llechi	ʎ e t͡ʃ i
llechu	ʎ e t͡ʃ u
llector	ʎ e k t̪ o ɾ
llectura	ʎ e k t̪ u ɾ a
lleer	ʎ e e ɾ
lleer	t͡s e e ɾ
lleer	ʎ i e ɾ
lleer	t͡ɕ i e ɾ ɪ
lleer	t͡ɕ i e ɾ
lleer	ɖ i e ɾ
lleer	t͡ɕ i e ɾ ɪ
lleer	t͡ɕ i e ɾ
lleer	ɖ i e ɾ
llegada	ʎ e ɡ a ð̞ a
llegalizáu	ʎ e ɡ a l i θ a u̯
llegar	ʎ e ɡ a ɾ
llegua	ʎ e ɡ w a
llei	ʎ e i̯
lleiche	ʎ e i̯ t͡ʃ e
lleición	ʎ e i̯ θ j õ ŋ
lleite	ʎ e i̯ t̪ e
lleitu	ʎ e i̯ t̪ u
lleldu	ʎ e l̪ d̪ u
llena	ʎ e n a
llendadora	ʎ ẽ n̪ d̪ a ð̞ o ɾ a
llende	ʎ ẽ n̪ d̪ e
llengua	ʎ e ŋ ɡ w a
llentu	ʎ ẽ n̪ t̪ u
llenu	ʎ e n u
lleona	ʎ e o n a
llera	ʎ e ɾ a
llercia	ʎ e ɾ θ j a
llerza	ʎ e ɾ θ a
lletor	ʎ e t̪ o ɾ
lletricidá	ʎ e t̪ ɾ i θ i ð̞ a
lletráu	ʎ e t̪ ɾ a u̯
lletu	ʎ e t̪ u
lletura	ʎ e t̪ u ɾ a
lleva	ʎ e β̞ a
llevadura	ʎ e β̞ a ð̞ u ɾ a
llevantar	ʎ e β̞ ã n̪ t̪ a ɾ
llevantar	ʎ i β̞ ã n̪ t̪ a ɾ
llevantar	t͡ɕ i β̞ ã n̪ t̪ a ɾ ɪ
llevantar	ɖ i β̞ ã n̪ t̪ a ɾ
llevantar	t͡ɕ i β̞ ã n̪ t̪ a ɾ ɪ
llevantar	ɖ i β̞ ã n̪ t̪ a ɾ
llevantar	t͡s e β̞ ã n̪ t̪ a ɾ
llevar	ʎ e β̞ a ɾ
llexos	ʎ e ʃ o s
lleíble	ʎ e i β̞ l e
lleíu	ʎ e i u
Lleón	ʎ e õ ŋ
lliberalismu	ʎ i β̞ e ɾ a l i z m u
llibertá	ʎ i β̞ e ɾ t̪ a
lliberáu	ʎ i β̞ e ɾ a u̯
llibramientu	ʎ i β̞ ɾ a m j ẽ n̪ t̪ u
llibre	ʎ i β̞ ɾ e
llibru	ʎ i β̞ ɾ u
lliciu	ʎ i θ j u
llieldu	ʎ j e l̪ d̪ u
llienda	ʎ j ẽ n̪ d̪ a
llimitar	ʎ i m i t̪ a ɾ
llimonal	ʎ i m o n a l
llimonales	ʎ i m o n a l e s
llimoneros	ʎ i m o n e ɾ o s
llimoneru	ʎ i m o n e ɾ u
llimosna	ʎ i m o z n a
llimosniegu	ʎ i m o z n j e ɡ u
llimpiar	ʎ ĩ m p j a ɾ
llimón	ʎ i m õ ŋ
llingua	ʎ i ŋ ɡ w a
llingüística	ʎ i ŋ ɡ w i s̪ t̪ i k a
llinia	ʎ i n j a
llintel	ʎ ĩ n̪ t̪ e l
llinterna	ʎ ĩ n̪ t̪ e ɾ n a
lliteratura	ʎ i t̪ e ɾ a t̪ u ɾ a
llivianu	ʎ i β̞ j a n u
Llión	ʎ i õ ŋ
lloar	ʎ o a ɾ
llobu	ʎ o β̞ u
llocalizáu	ʎ o k a l i θ a u̯
llombu	ʎ õ m b u
llonxe	ʎ õ ɲ ʃ e
lloramicar	ʎ o ɾ a m i k a ɾ
Llorián	ʎ o ɾ j ã ŋ
llover	ʎ o β̞ e ɾ
lloviscar	ʎ o β̞ i s k a ɾ
llubricáu	ʎ u β̞ ɾ i k a u̯
llubrificáu	ʎ u β̞ ɾ i f i k a u̯
llucha	ʎ u t͡ʃ a
llucháu	ʎ u t͡ʃ a u̯
Lludivina	ʎ u ð̞ i β̞ i n a
lluecu	ʎ w e k u
lluegu	ʎ w e ɡ u
llueu	ʎ w ø u
llueu	ʎ w e o
llueu	ʎ w o w
llueu	ʝ w ø w
llueu	t͡ɕ o w
llugar	ʎ u ɡ a ɾ
llugar	t͡ɕ u ɣ a ɾ i
llugar	t͡ɕ u ɣ a ɾ
llugar	t͡s u ɣ a ɾ
llugar	ɖ u ɣ a ɾ
Lluis	ʎ w i s
llume	ʎ u m e
llume	ʎ u m ɪ
llume	t͡ɕ u m ɪ
llume	ɖ u m i
llume	t͡ɕ u m ɪ
llume	ɖ u m i
llume	t͡s u m e
lluna	ʎ u n a
Lluna	ʎ u n a
llunar	ʎ u n a ɾ
llunes	ʎ u n e s
Llurdes	ʎ u ɾ ð̞ e s
llutu	ʎ u t̪ u
lluvia	ʎ u β̞ j a
lluz	ʎ u θ
lluz	t͡ɕ u θ
lluz	ɖ u θ
lluz	t͡s u θ
llábana	ʎ a β̞ a n a
llácara	ʎ a k a ɾ a
llámpara	ʎ ã m p a ɾ a
lláncanu	ʎ a ŋ k a n u
llátigu	ʎ a t̪ i ɡ u
locales	l o k a l e s
Macedonia	m a θ e ð̞ o n j a
machu	m a t͡ʃ u
macéu	m a θ ø u
madera	m a ð̞ e ɾ a
madre	m a ð̞ ɾ e
madreña	m a ð̞ ɾ e ɲ a
Madrid	m a ð̞ ɾ i
madrina	m a ð̞ ɾ i n a
madrines	m a ð̞ ɾ i n e s
magar	m a ɡ a ɾ
magnesiu	m a ɡ n e s j u
magostada	m a ɡ o s̪ t̪ a ð̞ a
magostal	m a ɡ o s̪ t̪ a l
magostón	m a ɡ o s̪ t̪ õ ŋ
Mahoma	m a o m a
malaya	m a l a ʝ a
Malta	m a l̪ t̪ a
malvada	m a l β̞ a ð̞ a
mamalón	m a m a l õ ŋ
mamú	m a m u
manancial	m a n ã n̟ θ j a l
mancar	m a ŋ k a ɾ
mancha	m ã n t͡ʃ a
mancu	m a ŋ k u
mancuspiu	m a ŋ k u s p j u
mandarinal	m ã n̪ d̪ a ɾ i n a l
mandrecha	m ã n̪ d̪ ɾ e t͡ʃ a
mangu	m a ŋ ɡ u
maniar	m a n j a ɾ
manipuláu	m a n i p u l a u̯
manizu	m a n i θ u
mano	m a n o
mantega	m ã n̪ t̪ e ɡ a
mantenida	m ã n̪ t̪ e n i ð̞ a
manteníu	m ã n̪ t̪ e n i u
manxar	m ã ɲ ʃ a ɾ
manzorga	m ã n̟ θ o ɾ ɡ a
mar	m a ɾ
maraviyosu	m a ɾ a β̞ i ʝ o s u
marañuela	m a ɾ a ɲ w e l a
marciar	m a ɾ θ j a ɾ
marea	m a ɾ e a
mariar	m a ɾ j a ɾ
marmellal	m a ɾ m e ʎ a l
marmiellu	m a ɾ m j e ʎ u
Marruecos	m a r w e k o s
marrón	m a r õ ŋ
Marte	m a ɾ t̪ e
martes	m a ɾ t̪ e s
martiellu	m a ɾ t̪ j e ʎ u
marxe	m a ɾ ʃ e
marxismu	m a ɾ ʃ i z m u
marxistes	m a ɾ ʃ i s̪ t̪ e s
marzu	m a ɾ θ u
María	m a ɾ i a
marín	m a ɾ ĩ ŋ
masturba	m a s̪ t̪ u ɾ β̞ a
masturbación	m a s̪ t̪ u ɾ β̞ a θ j õ ŋ
masturbada	m a s̪ t̪ u ɾ β̞ a ð̞ a
masturbando	m a s̪ t̪ u ɾ β̞ ã n̪ d̪ o
masturbar	m a s̪ t̪ u ɾ β̞ a ɾ
masturbas	m a s̪ t̪ u ɾ β̞ a s
masturbáis	m a s̪ t̪ u ɾ β̞ a i̯ s
masturbáu	m a s̪ t̪ u ɾ β̞ a u̯
matances	m a t̪ ã n̟ θ e s
matanza	m a t̪ ã n̟ θ a
matar	m a t̪ a ɾ
Matéu	m a t̪ ø u
mayador	m a ʝ a ð̞ o ɾ
mayor	m a ʝ o ɾ
mayúscula	m a ʝ u s k u l a
mazanal	m a θ a n a l
mazcar	m a θ k a ɾ
maña	m a ɲ a
mañana	m a ɲ a n a
mañanes	m a ɲ a n e s
meca	m e k a
mecanismu	m e k a n i z m u
mecanizáu	m e k a n i θ a u̯
mecer	m e θ e ɾ
medayista	m e ð̞ a ʝ i s̪ t̪ a
melecina	m e l e θ i n a
Melia	m e l j a
Melina	m e l i n a
memoria	m e m o ɾ j a
mena	m e n a
menos	m e n o s
mensaxe	m ẽ n s a ʃ e
mensaxeru	m ẽ n s a ʃ e ɾ u
mental	m ẽ n̪ t̪ a l
mentales	m ẽ n̪ t̪ a l e s
mente	m ẽ n̪ t̪ e
mentíu	m ẽ n̪ t̪ i u
mercancía	m e ɾ k ã n̟ θ i a
Mercuriu	m e ɾ k u ɾ j u
mercáu	m e ɾ k a u̯
merendar	m e ɾ ẽ n̪ d̪ a ɾ
merenducar	m e ɾ ẽ n̪ d̪ u k a ɾ
merienda	m e ɾ j ẽ n̪ d̪ a
meriendu	m e ɾ j ẽ n̪ d̪ u
meru	m e ɾ u
merucu	m e ɾ u k u
meruéndanu	m e ɾ w ẽ n̪ d̪ a n u
mesa	m e s a
metafonía	m e t̪ a f o n i a
metralla	m e t̪ ɾ a ʎ a
metódico	m e t̪ o ð̞ i k o
mexaderu	m e ʃ a ð̞ e ɾ u
mexana	m e ʃ a n a
mexicanos	m e ʃ i k a n o s
mexicanu	m e ʃ i k a n u
mexucar	m e ʃ u k a ɾ
mexábamos	m e ʃ a β̞ a m o s
meyor	m e ʝ o ɾ
mezquita	m e θ k i t̪ a
miagando	m j a ɡ ã n̪ d̪ o
miagar	m j a ɡ a ɾ
miagonar	m j a ɡ o n a ɾ
michor	m i t͡ʃ o ɾ
miel	m j e l
mientres	m j ẽ n̪ t̪ ɾ e s
miera	m j e ɾ a
mierda	m j e ɾ ð̞ a
mierdes	m j e ɾ ð̞ e s
Mieres	m j e ɾ e s
migaya	m i ɡ a ʝ a
mileniu	m i l e n j u
milenta	m i l ẽ n̪ t̪ a
militar	m i l i t̪ a ɾ
militarismu	m i l i t̪ a ɾ i z m u
militaristes	m i l i t̪ a ɾ i s̪ t̪ e s
militarizáu	m i l i t̪ a ɾ i θ a u̯
millón	m i ʎ õ ŋ
Milín	m i l ĩ ŋ
min	m ĩ ŋ
minoría	m i n o ɾ i a
Miranda	m i ɾ ã n̪ d̪ a
mirandesa	m i ɾ ã n̪ d̪ e s a
mirandeses	m i ɾ ã n̪ d̪ e s e s
mirandés	m i ɾ ã n̪ d̪ e s
mirasol	m i ɾ a s o l
Miro	m i ɾ o
miruéndanu	m i ɾ w ẽ n̪ d̪ a n u
mitoloxía	m i t̪ o l o ʃ i a
mixitu	m i ʃ i t̪ u
miyor	m i ʝ o ɾ
miyyor	m i kʲ o ɾ
miániques	m j a n i k e s
mocedá	m o θ e ð̞ a
moceru	m o θ e ɾ u
moces	m o θ e s
mochila	m o t͡ʃ i l a
mocu	m o k u
modernizáu	m o ð̞ e ɾ n i θ a u̯
moderáu	m o ð̞ e ɾ a u̯
modifica	m o ð̞ i f i k a
modificada	m o ð̞ i f i k a ð̞ a
modificáu	m o ð̞ i f i k a u̯
molineru	m o l i n e ɾ u
mollete	m o ʎ e t̪ e
Mombuéi	m õ m b w e i̯
momentos	m o m ẽ n̪ t̪ o s
momentu	m o m ẽ n̪ t̪ u
momia	m o m j a
Mon	m õ ŋ
mondongu	m õ n̪ d̪ o ŋ ɡ u
moneda	m o n e ð̞ a
monesteriu	m o n e s̪ t̪ e ɾ j u
mongolu	m o ŋ ɡ o l u
monis	m o n i s
monopolizáu	m o n o p o l i θ a u̯
monoteísmu	m o n o t̪ e i z m u
Monse	m õ n s e
monta	m õ n̪ t̪ a
monte	m õ n̪ t̪ e
Montenegru	m õ n̪ t̪ e n e ɡ ɾ u
montés	m õ n̪ t̪ e s
monxa	m õ ɲ ʃ a
monxu	m õ ɲ ʃ u
monárquicu	m o n a ɾ k i k u
Morcín	m o ɾ θ ĩ ŋ
mortal	m o ɾ t̪ a l
mortera	m o ɾ t̪ e ɾ a
mortizu	m o ɾ t̪ i θ u
mortífero	m o ɾ t̪ i f e ɾ o
morúa	m o ɾ u a
mosquitu	m o s k i t̪ u
motocicleta	m o t̪ o θ i k l e t̪ a
moventible	m o β̞ ẽ n̪ t̪ i β̞ l e
movilizada	m o β̞ i l i θ a ð̞ a
movilizáu	m o β̞ i l i θ a u̯
movimientos	m o β̞ i m j ẽ n̪ t̪ o s
movimientu	m o β̞ i m j ẽ n̪ t̪ u
moyar	m o ʝ a ɾ
moza	m o θ a
mozacu	m o θ a k u
mozo	m o θ o
mozos	m o θ o s
mozu	m o θ u
moñar	m o ɲ a ɾ
moñeca	m o ɲ e k a
mucher	m u t͡ʃ e ɾ
mudar	m u ð̞ a ɾ
mudu	m u ð̞ u
muegu	m w e ɡ u
muela	m w e l a
muerte	m w e ɾ t̪ e
muerto	m w e ɾ t̪ o
muertu	m w e ɾ t̪ u
mueyu	m w e ʝ u
multiplicáu	m u l̪ t̪ i p l i k a u̯
Mundo	m ũ n̪ d̪ o
mundu	m ũ n̪ d̪ u
mur	m u ɾ
murador	m u ɾ a ð̞ o ɾ
muralla	m u ɾ a ʎ a
murniu	m u ɾ n j u
Muros	m u ɾ o s
mus	m u s
museos	m u s e o s
musulmano	m u s u l m a n o
musulmán	m u s u l m ã ŋ
muséu	m u s ø u
mutiláu	m u t̪ i l a u̯
muxín	m u ʃ ĩ ŋ
muyer	m u ʝ e ɾ
muyereru	m u ʝ e ɾ e ɾ u
muyeriegu	m u ʝ e ɾ j e ɡ u
muyerín	m u ʝ e ɾ ĩ ŋ
muyeríu	m u ʝ e ɾ i u
muyier	m u ʝ j e ɾ
muyyer	m u kʲ e ɾ
muñir	m u ɲ i ɾ
máquina	m a k i n a
médica	m e ð̞ i k a
médicos	m e ð̞ i k o s
médicu	m e ð̞ i k u
médiques	m e ð̞ i k e s
mélicu	m e l i k u
mísere	m i s e ɾ e
míu	m i u
mócaru	m o k a ɾ u
música	m u s i k a
nabu	n a β̞ u
nacimientos	n a θ i m j ẽ n̪ t̪ o s
nacimientu	n a θ i m j ẽ n̪ t̪ u
nacional	n a θ j o n a l
nacionalidá	n a θ j o n a l i ð̞ a
nacionalismu	n a θ j o n a l i z m u
nacionalistes	n a θ j o n a l i s̪ t̪ e s
nacionalizáu	n a θ j o n a l i θ a u̯
nación	n a θ j õ ŋ
nacíu	n a θ i u
nadar	n a ð̞ a ɾ
nadar	ɲ a ð̞ a ɾ
Nadaya	n a ð̞ a ʝ a
nade	n a ð̞ e
nade	ɲ a ð̞ e
nades	n a ð̞ e s
nades	ɲ a ð̞ e s
nalga	n a l ɡ a
nalgazu	n a l ɡ a θ u
namás	n a m a s
nana	n a n a
nanes	n a n e s
nano	n a n o
nanos	n a n o s
nanu	n a n u
Nardo	n a ɾ ð̞ o
nariz	n a ɾ i θ
nasal	n a s a l
nasales	n a s a l e s
nata	n a t̪ a
natural	n a t̪ u ɾ a l
naturaleza	n a t̪ u ɾ a l e θ a
Nava	n a β̞ a
Navarra	n a β̞ a r a
nave	n a β̞ e
navegador	n a β̞ e ɡ a ð̞ o ɾ
navegáu	n a β̞ e ɡ a u̯
Navia	n a β̞ j a
neciu	n e θ j u
Nedi	n e ð̞ i
negociable	n e ɡ o θ j a β̞ l e
negociar	n e ɡ o θ j a ɾ
negociáu	n e ɡ o θ j a u̯
negro	n e ɡ ɾ o
negru	n e ɡ ɾ u
negáu	n e ɡ a u̯
Nel	n e l
Nela	n e l a
nengunu	n e ŋ ɡ u n u
nengún	n e ŋ ɡ ũ ŋ
nerbata	n e ɾ β̞ a t̪ a
nestonces	n e s̪ t̪ õ n̟ θ e s
