Ա	ɑ
նվիրակ	n ə v i ɾ ɑ k
նվիրում	n ə v i ɾ u m
նրա	n ə ɾ ɑ
նրան	n ə ɾ ɑ n
նրանից	n ə ɾ ɑ n i t͡sʰ
նրանից	n ɾ ɑ n i t͡sʰ
նրանում	n ə ɾ ɑ n u m
նրանց	n ə ɾ ɑ n t͡sʰ
նրանք	n ə ɾ ɑ ŋ kʰ
նրբանցք	n ə ɾ pʰ ɑ n t͡sʰ kʰ
շ	ʃ ə
շա	ʃ ɑ
շաբաթ	ʃ ɑ pʰ ɑ t
շաբաթ	ʃ ɑ pʰ ɑ tʰ
շաբաթվա	ʃ ɑ pʰ ɑ tʰ v ɑ
շաբաշ	ʃ ɑ b ɑ ʃ
շագանակ	ʃ ɑ ɡ ɑ n ɑ k
շագանակագույն	ʃ ɑ ɡ ɑ n ɑ k ɑ ɡ u j n
շալ	ʃ ɑ l
շալակ	ʃ ɑ l ɑ k
շալվար	ʃ ɑ l v ɑ ɾ
շախ	ʃ ɑ χ
շախմատ	ʃ ɑ χ m ɑ t
շախմատի	ʃ ɑ χ m ɑ t i
շախմատիստ	ʃ ɑ χ m ɑ t i s t
շախմատիստուհի	ʃ ɑ χ m ɑ t i s t u h i
շակալ	ʃ ɑ k ɑ l
շահ	ʃ ɑ h
շահաբաժին	ʃ ɑ h ɑ b ɑ ʒ i n
շահախարդախ	ʃ ɑ h ɑ χ ɑ ɾ d ɑ χ
շահաստան	ʃ ɑ h ɑ s t ɑ n
շահնշահ	ʃ ɑ h ə n ʃ ɑ h
շահույթ	ʃ ɑ h u j tʰ
շաղ	ʃ ɑ ʁ
շաղախ	ʃ ɑ ʁ ɑ χ
շաղգամ	ʃ ɑ χ k ɑ m
շաղկապ	ʃ ɑ χ k ɑ p
շամամ	ʃ ɑ m ɑ m
շամայի	ʃ ɑ m ɑ j i
շամբ	ʃ ɑ m b
շամբալա	ʃ ɑ m b ɑ l ɑ
շամբուտ	ʃ ɑ m b u t
շամպայն	ʃ ɑ m p ɑ j n
շամպույն	ʃ ɑ m p u j n
շամպուն	ʃ ɑ m p u n
շամփուր	ʃ ɑ m pʰ u ɾ
շայբա	ʃ ɑ j b ɑ
շանթ	ʃ ɑ n tʰ
շանթահար	ʃ ɑ n tʰ ɑ h ɑ ɾ
շանտաժ	ʃ ɑ n t ɑ ʒ
շաշ	ʃ ɑ ʃ
շաշկի	ʃ ɑ ʃ k i
շաուրմա	ʃ ɑ u ɾ m ɑ
շաչյուն	ʃ ɑ t͡ʃʰ j u n
շապիկ	ʃ ɑ p i k
շապկա	ʃ ɑ p k ɑ
շառ	ʃ ɑ r
շառաչ	ʃ ɑ r ɑ t͡ʃʰ
շառաչյուն	ʃ ɑ r ɑ t͡ʃʰ j u n
շառավիղ	ʃ ɑ r ɑ v i ʁ
շառլատան	ʃ ɑ r l ɑ t ɑ n
շառլատանություն	ʃ ɑ r l ɑ t ɑ n u t͡sʰ j u n
շավիղ	ʃ ɑ v i ʁ
շատ	ʃ ɑ t
շատանալ	ʃ ɑ t ɑ n ɑ l
շատրվան	ʃ ɑ t ə ɾ v ɑ n
շար	ʃ ɑ ɾ
շարադրանք	ʃ ɑ ɾ ɑ d ɾ ɑ ŋ kʰ
շարադրություն	ʃ ɑ ɾ ɑ d ɾ u t͡sʰ j u n
շարական	ʃ ɑ ɾ ɑ k ɑ n
շարահյուսություն	ʃ ɑ ɾ ɑ h j u s u t͡sʰ j u n
շարժ	ʃ ɑ ɾ ʒ
շարժական	ʃ ɑ ɾ ʒ ɑ k ɑ n
շարժանկար	ʃ ɑ ɾ ʒ ɑ n ə k ɑ ɾ
շարժասանդուղք	ʃ ɑ ɾ ʒ ɑ s ɑ n d u χ kʰ
շարժիչ	ʃ ɑ ɾ ʒ i t͡ʃʰ
շարժում	ʃ ɑ ɾ ʒ u m
շարժուն	ʃ ɑ ɾ ʒ u n
շարունակություն	ʃ ɑ ɾ n ɑ k u t͡sʰ j u n
շարունակություն	ʃ ɑ ɾ u n ɑ k u t͡sʰ j u n
շարք	ʃ ɑ ɾ kʰ
շարքային	ʃ ɑ ɾ kʰ ɑ j i n
շափյուղա	ʃ ɑ pʰ j u ʁ ɑ
շաքար	ʃ ɑ kʰ ɑ ɾ
շաքարախտ	ʃ ɑ kʰ ɑ ɾ ɑ χ t
շաքարավազ	ʃ ɑ kʰ ɑ ɾ ɑ v ɑ z
շթաքար	ʃ ə tʰ ɑ kʰ ɑ ɾ
շիզիկ	ʃ i z i k
շիթ	ʃ i tʰ
շիլ	ʃ i l
շիլա	ʃ i l ɑ
շիկամուկ	ʃ i k ɑ m u k
շիկանալ	ʃ i k ɑ n ɑ l
շիճուկ	ʃ i t͡ʃ u k
շինական	ʃ i n ɑ k ɑ n
շինանյութ	ʃ i n ɑ n j u tʰ
շինարար	ʃ i n ɑ ɾ ɑ ɾ
շինծու	ʃ i n t͡s u
շինվածք	ʃ i n v ɑ t͡s kʰ
շիշ	ʃ i ʃ
շիվ	ʃ i v
շիվան	ʃ i v ɑ n
շիտակ	ʃ i t ɑ k
շիրիմ	ʃ i ɾ i m
շլագբաում	ʃ l ɑ ɡ b ɑ u m
շլանգ	ʃ ə l ɑ ŋ ɡ
շլդիկ	ʃ ə l d i k
շլինք	ʃ ə l i ŋ kʰ
շղթա	ʃ ə χ tʰ ɑ
շղթայական	ʃ ə χ tʰ ɑ j ɑ k ɑ n
շյուղ	ʃ j u ʁ
շնագայլ	ʃ ə n ɑ ɡ ɑ j l
շնաձուկ	ʃ ə n ɑ d͡z u k
շնավարդ	ʃ ə n ɑ v ɑ ɾ tʰ
շնիկ	ʃ ə n i k
շնություն	ʃ ə n u t͡sʰ j u n
շնչառություն	ʃ ə n t͡ʃʰ ɑ r u t͡sʰ j u n
շշնջալ	ʃ ə ʃ ə n d͡ʒ ɑ l
շշուկ	ʃ ə ʃ u k
շուլուխ	ʃ u l u χ
շուկա	ʃ u k ɑ
շուն	ʃ u n
շունիկ	ʃ u n i k
շունչ	ʃ u n t͡ʃʰ
շուշա	ʃ u ʃ ɑ
շուշան	ʃ u ʃ ɑ n
շուշմա	ʃ u ʃ m ɑ
շուշուտ	ʃ u ʃ u t
շուշտ	ʃ u ʃ t
շուստրի	ʃ u s t ɾ i
շուտ	ʃ u t
շուտափույթ	ʃ u t ɑ pʰ u j tʰ
շուրթ	ʃ u ɾ tʰ
շուրջ	ʃ u ɾ d͡ʒ
շուրջը	ʃ u ɾ d͡ʒ ə
շուրջպար	ʃ u ɾ d͡ʒ p ɑ ɾ
շուք	ʃ u kʰ
շչակ	ʃ ə t͡ʃʰ ɑ k
շպար	ʃ p ɑ ɾ
շպարանյութ	ʃ p ɑ ɾ ɑ n j u tʰ
շպիլկա	ʃ p i l k ɑ
շպրից	ʃ p ɾ i t͡sʰ
շռայլ	ʃ ə r ɑ j l
շվի	ʃ ə v i
շտաբ	ʃ t ɑ b
շտանգա	ʃ t ɑ ŋ ɡ ɑ
շտանգիստ	ʃ t ɑ ŋ ɡ i s t
շտապ	ʃ t ɑ p
շրթնային	ʃ ə ɾ tʰ n ɑ j i n
շրթունք	ʃ ə ɾ tʰ u ŋ kʰ
շրջակայք	ʃ ə ɾ d͡ʒ ɑ k ɑ j kʰ
շրջահայաց	ʃ ə ɾ d͡ʒ ɑ h ɑ j ɑ t͡sʰ
շրջան	ʃ ə ɾ d͡ʒ ɑ n
շրջանագիծ	ʃ ə ɾ d͡ʒ ɑ n ɑ ɡ i t͡s
շրջանակ	ʃ ə ɾ d͡ʒ ɑ n ɑ k
շրջանակում	ʃ ə ɾ d͡ʒ ɑ n ɑ k u m
շրջանառություն	ʃ ə ɾ d͡ʒ ɑ n ɑ r u t͡sʰ j u n
շրջանավարտ	ʃ ə ɾ d͡ʒ ɑ n ɑ v ɑ ɾ t
շրջարկ	ʃ ə ɾ d͡ʒ ɑ ɾ k
շրջափակում	ʃ ə ɾ d͡ʒ ɑ pʰ ɑ k u m
շրջիկ	ʃ ə ɾ d͡ʒ i k
շրջում	ʃ ə ɾ d͡ʒ u m
շրվանդ	ʃ ə ɾ v ɑ n d
շփագիտական	ʃ ə pʰ ɑ ɡ i t ɑ k ɑ n
շփագիտություն	ʃ ə pʰ ɑ ɡ i t u t͡sʰ j u n
շփական	ʃ ə pʰ ɑ k ɑ n
շփում	ʃ ə pʰ u m
շքախումբ	ʃ ə kʰ ɑ χ u m b
շքամուտք	ʃ ə kʰ ɑ m u t kʰ
շքանշան	ʃ ə kʰ ɑ n ə ʃ ɑ n
շքասրահ	ʃ ə kʰ ɑ s ə ɾ ɑ h
ոյժ	u ʒ
ու	u
ուդ	u d
ուդմուրտ	u d m u ɾ t
ութ	u tʰ
ութանասուն	u tʰ ɑ n ɑ s u n
ութեակ	u t͡sʰ j ɑ k
ությակ	u t͡sʰ j ɑ k
ութնեակ	u tʰ n j ɑ k
ութնյակ	u tʰ n j ɑ k
ութսուն	u tʰ s u n
ութսուն	u tʰ t͡sʰ u n
ութսուն	u t͡sʰ u n
ուժ	u ʒ
ուժային	u ʒ ɑ j i n
ուժգին	u ʒ ɡ i n
ուլ	u l
ուլից	u l i t͡sʰ
ուլունք	u l u ŋ kʰ
ուխտ	u χ t
ուխտագնաց	u χ t ɑ ɡ ə n ɑ t͡sʰ
ուխտագնացություն	u χ t ɑ ɡ ə n ɑ t͡sʰ u t͡sʰ j u n
ուկրաինական	u k ɾ ɑ j i n ɑ k ɑ n
ուկրաինացի	u k ɾ ɑ j i n ɑ t͡sʰ i
ուղի	u ʁ i
ուղիղ	u ʁ i ʁ
ուղղագրություն	u ʁː ɑ ɡ ɾ u t͡sʰ j u n
ուղղաթիռ	u ʁː ɑ tʰ i r
ուղղական	u ʁː ɑ k ɑ n
ուղղակի	u ʁː ɑ k i
ուղղահայաց	u ʁː ɑ h ɑ j ɑ t͡sʰ
ուղղանկյուն	u ʁː ɑ ŋ k j u n
ուղղափառ	u ʁː ɑ pʰ ɑ r
ուղղափառություն	u ʁː ɑ pʰ ɑ r u t͡sʰ j u n
ուղղություն	u ʁː u t͡sʰ j u n
ուղղում	u ʁː u m
ուղտ	u χ t
ուղտիկ	u χ t i k
ում	u m
ումպ	u m p
ույծք	u j t͡s kʰ
ույղուր	u j ʁ u ɾ
ունաբ	u n ɑ b
ունակ	u n ɑ k
ունակություն	u n ɑ k u t͡sʰ j u n
ունայն	u n ɑ j n
ունայնություն	u n ɑ j n u t͡sʰ j u n
ունդ	u n d
ունի	u n i
ունիկալ	u n i k ɑ l
ունկ	u ŋ k
ունկնդիր	u ŋ k ə n d i ɾ
ունչ	u n t͡ʃʰ
ունչատ	u n t͡ʃʰ ɑ t
ունք	u ŋ kʰ
ուշ	u ʃ
ուշադիր	u ʃ ɑ d i ɾ
ուշադրություն	u ʃ ɑ d ɾ u t͡sʰ j u n
ուշանալ	u ʃ ɑ n ɑ l
ուշաստիկ	u ʃ ɑ s t i k
ուշիմ	u ʃ i m
ուշունց	u ʃ u n t͡sʰ
ուշք	u ʃ kʰ
ուռ	u r
ուռթանալ	u r tʰ ɑ n ɑ l
ուռի	u r i
ուռույց	u r u j t͡sʰ
ուռույցք	u r u j t͡sʰ kʰ
ուռուց	u r u t͡sʰ
ուռուցք	u r u t͡sʰ kʰ
ուռուցքաբան	u r u t͡sʰ kʰ ɑ b ɑ n
ուռուցքաբանական	u r u t͡sʰ kʰ ɑ b ɑ n ɑ k ɑ n
ուռուցքաբանություն	u r u t͡sʰ kʰ ɑ b ɑ n u t͡sʰ j u n
ուս	u s
ուսադիր	u s ɑ d i ɾ
ուսապարկ	u s ɑ p ɑ ɾ k
ուսում	u s u m
ուսումնասիրություն	u s u m n ɑ s i ɾ u t͡sʰ j u n
ուսուցիչ	u s u t͡sʰ i t͡ʃʰ
ուսուցչուհի	u s u t͡sʰ t͡ʃʰ u h i
ուստի	u s t i
ուստր	u s t ə ɾ
ուտի	u t i
ուտիճ	u t i t͡ʃ
ուր	u ɾ
ուրագ	u ɾ ɑ kʰ
ուրախ	u ɾ ɑ χ
ուրախակից	u ɾ ɑ χ ɑ k i t͡sʰ
ուրախանալ	u ɾ ɑ χ ɑ n ɑ l
ուրախություն	u ɾ ɑ χ u t͡sʰ j u n
ուրան	u ɾ ɑ n
ուրանալ	u ɾ ɑ n ɑ l
ուրարտական	u ɾ ɑ ɾ t ɑ k ɑ n
ուրարտացի	u ɾ ɑ ɾ t ɑ t͡sʰ i
ուրբաթ	u ɾ pʰ ɑ tʰ
ուրդու	u ɾ d u
ուրիշ	u ɾ i ʃ
ուրու	u ɾ u
ուրուկ	u ɾ u k
ուրուր	u ɾ u ɾ
ուրվական	u ɾ v ɑ k ɑ n
ուրց	u ɾ t͡sʰ
չ	t͡ʃʰ
չա	t͡ʃʰ ɑ
չագուճ	t͡ʃʰ ɑ ɡ u t͡ʃ
չագուչ	t͡ʃʰ ɑ ɡ u t͡ʃʰ
չաթլախ	t͡ʃʰ ɑ tʰ l ɑ χ
չաթլաղ	t͡ʃʰ ɑ tʰ l ɑ ʁ
չալաղաջ	t͡ʃʰ ɑ l ɑ ʁ ɑ d͡ʒ
չախմախ	t͡ʃʰ ɑ χ m ɑ χ
չախու	t͡ʃʰ ɑ χ u
չաղ	t͡ʃʰ ɑ ʁ
չաղանալ	t͡ʃʰ ɑ ʁ ɑ n ɑ l
չաղություն	t͡ʃʰ ɑ ʁ u t͡sʰ j u n
չամադան	t͡ʃʰ ɑ m ɑ d ɑ n
չաման	t͡ʃʰ ɑ m ɑ n
չամիչ	t͡ʃʰ ɑ m i t͡ʃʰ
չայ	t͡ʃʰ ɑ j
չայնիկ	t͡ʃʰ ɑ j n i k
չանա	t͡ʃʰ ɑ n ɑ
չանգալ	t͡ʃʰ ɑ ŋ ɡ ɑ l
չանգյալ	t͡ʃʰ ɑ ŋ ɡ j ɑ l
չանչ	t͡ʃʰ ɑ n t͡ʃʰ
չաշխուր	t͡ʃʰ ɑ ʃ χ u ɾ
չար	t͡ʃʰ ɑ ɾ
չարակամություն	t͡ʃʰ ɑ ɾ ɑ k ɑ m u t͡sʰ j u n
չարաճճի	t͡ʃʰ ɑ ɾ ɑ t͡ʃ ə t͡ʃ i
չարամիտ	t͡ʃʰ ɑ ɾ ɑ m i t
չարանալ	t͡ʃʰ ɑ ɾ ɑ n ɑ l
չարաչար	t͡ʃʰ ɑ ɾ ɑ t͡ʃʰ ɑ ɾ
չարաչք	t͡ʃʰ ɑ ɾ ɑ t͡ʃʰ kʰ
չարիք	t͡ʃʰ ɑ ɾ i kʰ
չարխ	t͡ʃʰ ɑ ɾ χ
չարություն	t͡ʃʰ ɑ ɾ u t͡sʰ j u n
չարչարանք	t͡ʃʰ ɑ ɾ t͡ʃʰ ɑ ɾ ɑ ŋ kʰ
չարչի	t͡ʃʰ ɑ ɾ t͡ʃʰ i
չարչիություն	t͡ʃʰ ɑ ɾ t͡ʃʰ i j u t͡sʰ j u n
չափ	t͡ʃʰ ɑ pʰ
չափագիտություն	t͡ʃʰ ɑ pʰ ɑ ɡ i t u t͡sʰ j u n
չափազանց	t͡ʃʰ ɑ pʰ ɑ z ɑ n t͡sʰ
չափալախ	t͡ʃʰ ɑ pʰ ɑ l ɑ χ
չափակից	t͡ʃʰ ɑ pʰ ɑ k i t͡sʰ
չափահաս	t͡ʃʰ ɑ pʰ ɑ h ɑ s
չափանիշ	t͡ʃʰ ɑ pʰ ɑ n i ʃ
չափար	t͡ʃʰ ɑ pʰ ɑ ɾ
չափաքանակ	t͡ʃʰ ɑ pʰ ɑ kʰ ɑ n ɑ k
չափս	t͡ʃʰ ɑ pʰ s
չաքուճ	t͡ʃʰ ɑ kʰ u t͡ʃ
չաքուչ	t͡ʃʰ ɑ kʰ u t͡ʃʰ
չաքուջ	t͡ʃʰ ɑ kʰ u d͡ʒ
չի	t͡ʃʰ i
չիբուխ	t͡ʃʰ i b u χ
չիդար	t͡ʃʰ i d ɑ ɾ
չիթ	t͡ʃʰ i tʰ
չիլիական	t͡ʃʰ i l i j ɑ k ɑ n
չիլիացի	t͡ʃʰ i l i j ɑ t͡sʰ i
չիղջ	t͡ʃʰ i ʁ d͡ʒ
չինական	t͡ʃʰ i n ɑ k ɑ n
չինար	t͡ʃʰ i n ɑ ɾ
չինարի	t͡ʃʰ i n ɑ ɾ i
չինացի	t͡ʃʰ i n ɑ t͡sʰ i
չինգաչունգ	t͡ʃʰ i ŋ ɡ ɑ t͡ʃʰ u ŋ ɡ
չիշ	t͡ʃʰ i ʃ
չիշիկ	t͡ʃʰ i ʃ i k
չիչխան	t͡ʃʰ i t͡ʃʰ χ ɑ n
չիպ	t͡ʃʰ i p
չիր	t͡ʃʰ i ɾ
չիք	t͡ʃʰ i kʰ
չիֆթ	t͡ʃʰ i f tʰ
չկա	t͡ʃʰ ə k ɑ
չկայացած	t͡ʃʰ ə k ɑ j ɑ t͡sʰ ɑ t͡s
չկար	t͡ʃʰ ə k ɑ ɾ
չղջիկ	t͡ʃʰ ə χ t͡ʃʰ i k
չմուշկ	t͡ʃʰ ə m u ʃ k
չնայած	t͡ʃʰ ə n ɑ j ɑ t͡s
չնաշխարհիկ	t͡ʃʰ ə n ɑ ʃ χ ɑ ɾ i k
չնչին	t͡ʃʰ ə n t͡ʃʰ i n
չու	t͡ʃʰ u
չուգուն	t͡ʃʰ u ɡ u n
չուլ	t͡ʃʰ u l
չուլան	t͡ʃʰ u l ɑ n
չուխա	t͡ʃʰ u χ ɑ
չունի	t͡ʃʰ u n i
չսիրած	t͡ʃʰ ə s i ɾ ɑ t͡s
չվան	t͡ʃʰ ə v ɑ n
չվառ	t͡ʃʰ ə v ɑ r
չփլախ	t͡ʃʰ ə pʰ l ɑ χ
չփլաղ	t͡ʃʰ pʰ l ɑ ʁ
չքանալ	t͡ʃʰ ə kʰ ɑ n ɑ l
չքարա	t͡ʃʰ ə kʰ ɑ ɾ ɑ
չքնաղ	t͡ʃʰ ə kʰ n ɑ ʁ
պ	p ə
պագ	p ɑ kʰ
պադշիպնիկ	p ɑ d ʃ i p n i k
պալադիում	p ɑ l ɑ d i j u m
պալասատովի	p ɑ l ɑ s ɑ t ə v i
պալատ	p ɑ l ɑ t
պալատական	p ɑ l ɑ t ɑ k ɑ n
պալար	p ɑ l ɑ ɾ
պալարախտ	p ɑ l ɑ ɾ ɑ χ t
պալի	p ɑ l i
պակաս	p ɑ k ɑ s
պակասուրդ	p ɑ k ɑ s u ɾ tʰ
պահ	p ɑ h
պահակ	p ɑ h ɑ k
պահանջ	p ɑ h ɑ n d͡ʒ
պահանջարկ	p ɑ h ɑ n d͡ʒ ɑ ɾ k
պահապան	p ɑ h ɑ p ɑ n
պահարան	p ɑ h ɑ ɾ ɑ n
պահպանակ	p ɑ h p ɑ n ɑ k
պահք	p ɑ h kʰ
պաղ	p ɑ ʁ
պաղպաղակ	p ɑ χ p ɑ ʁ ɑ k
պաղպաղակավաճառ	p ɑ χ p ɑ ʁ ɑ k ɑ v ɑ t͡ʃ ɑ r
պաճիճ	p ɑ t͡ʃ i t͡ʃ
պաճուճ	p ɑ t͡ʃ u t͡ʃ
պաճուճաբան	p ɑ t͡ʃ u t͡ʃ ɑ b ɑ n
պաճուճաբանություն	p ɑ t͡ʃ u t͡ʃ ɑ b ɑ n u t͡sʰ j u n
պաճուճաբար	p ɑ t͡ʃ u t͡ʃ ɑ b ɑ ɾ
պաճույճ	p ɑ t͡ʃ u j t͡ʃ
պամադա	p ɑ m ɑ d ɑ
պամիրյան	p ɑ m i ɾ j ɑ n
պայթական	p ɑ j tʰ ɑ k ɑ n
պայթյուն	p ɑ j tʰ j u n
պայծառ	p ɑ j t͡s ɑ r
պայման	p ɑ j m ɑ n
պայմանագիր	p ɑ j m ɑ n ɑ ɡ i ɾ
պայմանագրական	p ɑ j m ɑ n ɑ ɡ ɾ ɑ k ɑ n
պայմանական	p ɑ j m ɑ n ɑ k ɑ n
պայուսակ	b ɑ j s ɑ ɡ
պայուսակ	p ɑ j s ɑ k
պայուսակ	p ɑ j u s ɑ k
պայուսյակ	p ɑ j u s j ɑ k
պայտ	p ɑ j t
պայտար	p ɑ j t ɑ ɾ
պայքար	p ɑ j kʰ ɑ ɾ
պան	p ɑ n
պանակ	p ɑ n ɑ k
պանդուխտ	p ɑ n d u χ t
պանթուրքիզմ	p ɑ n tʰ u ɾ kʰ i z m
պանթուրքիստ	p ɑ n tʰ u ɾ kʰ i s t
պանիր	p ɑ n i ɾ
պանծալ	p ɑ n t͡s ɑ l
պաշար	p ɑ ʃ ɑ ɾ
պաշարում	p ɑ ʃ ɑ ɾ u m
պաշտամունք	p ɑ ʃ t ɑ m u ŋ kʰ
պաշտպան	b ɑ ʃ p ɑ n
պաշտպան	p ɑ ʃ p ɑ n
պաշտպան	p ɑ ʃ t p ɑ n
պաշտպանական	b ɑ ʃ p ɑ n ɑ ɡ ɑ n
պաշտպանական	p ɑ ʃ p ɑ n ɑ k ɑ n
պաշտպանական	p ɑ ʃ t p ɑ n ɑ k ɑ n
պաշտպանության	b ɑ ʃ p ɑ n u tʰ j ɑ n
պաշտպանության	p ɑ ʃ p ɑ n u t͡sʰ j ɑ n
պաշտպանության	p ɑ ʃ t p ɑ n u t͡sʰ j ɑ n
պաշտպանություն	p ɑ ʃ p ɑ n u t͡sʰ j u n
պաշտպանություն	p ɑ ʃ t p ɑ n u t͡sʰ j u n
պաչ	p ɑ t͡ʃʰ
պաչիկ	p ɑ t͡ʃʰ i k
պապ	p ɑ p
պապա	p ɑ p ɑ
պապական	p ɑ p ɑ k ɑ n
պապայա	p ɑ p ɑ j ɑ
պապի	p ɑ p i
պապիկ	p ɑ p i k
պապկա	p ɑ p k ɑ
պառակտություն	p ɑ r ɑ k t u t͡sʰ j u n
պառավ	p ɑ r ɑ v
պաս	p ɑ s
պաստառ	p ɑ s t ɑ r
պատ	p ɑ t
պատահաբար	p ɑ t ɑ h ɑ b ɑ ɾ
պատահական	p ɑ t ɑ h ɑ k ɑ n
պատահականություն	p ɑ t ɑ h ɑ k ɑ n u t͡sʰ j u n
պատահար	p ɑ t ɑ h ɑ ɾ
պատան	p ɑ t ɑ n
պատանդ	p ɑ t ɑ n d
պատանի	p ɑ t ɑ n i
պատանյակ	p ɑ t ɑ n j ɑ k
պատառ	p ɑ t ɑ r
պատառաքաղ	p ɑ t ɑ r ɑ kʰ ɑ ʁ
պատասխան	p ɑ t ɑ s χ ɑ n
պատասխանատու	p ɑ t ɑ s χ ɑ n ɑ t u
պատասխանատվությամբ	p ɑ t ɑ s χ ɑ n ɑ t v u t͡sʰ j ɑ m b
պատասխանատվություն	p ɑ t ɑ s χ ɑ n ɑ t v u t͡sʰ j u n
պատատուկ	p ɑ t ɑ t u k
պատարագ	p ɑ t ɑ ɾ ɑ kʰ
պատգամ	p ɑ d ɡ ɑ m
պատգամ	p ɑ t ɡ ɑ m
պատգարակ	p ɑ t ɡ ɑ ɾ ɑ k
պատժում	p ɑ t ʒ u m
պատիժ	p ɑ t i ʒ
պատիկ	p ɑ t i k
պատիճ	p ɑ t i t͡ʃ
պատիվ	p ɑ t i v
պատկառանք	p ɑ t k ɑ r ɑ ŋ kʰ
պատճառ	p ɑ t t͡ʃ ɑ r
պատճառական	p ɑ t t͡ʃ ɑ r ɑ k ɑ n
պատճառական	p ɑ t͡ʃ ɑ r ɑ k ɑ n
պատճառավ	p ɑ t t͡ʃ ɑ r ɑ v
պատմաբան	p ɑ t m ɑ b ɑ n
պատմագիտություն	p ɑ t m ɑ ɡ i t u t͡sʰ j u n
պատմական	p ɑ t m ɑ k ɑ n
պատմիչ	p ɑ t m i t͡ʃʰ
պատմություն	p ɑ t m u t͡sʰ j u n
պատմուճակ	p ɑ t m u t͡ʃ ɑ k
պատմուճան	p ɑ t m u t͡ʃ ɑ n
պատմվածք	p ɑ t m ə v ɑ t͡s kʰ
պատյան	p ɑ t j ɑ n
պատյան	p ɑ t͡s j ɑ n
պատշաճ	p ɑ t ʃ ɑ t͡ʃ
պատշար	p ɑ t ʃ ɑ ɾ
պատշգամբ	p ɑ t ə ʃ ɡ ɑ m b
պատշգամբ	p ɑ t ə ʃ ɡ ɑ m pʰ
պատուհան	p ɑ t u h ɑ n
պատուհաս	p ɑ t u h ɑ s
պատում	p ɑ t u m
պատվանդան	p ɑ t v ɑ n d ɑ n
պատվաստանյութ	p ɑ t v ɑ s t ɑ n j u tʰ
պատվաստում	p ɑ t v ɑ s t u m
պատվար	p ɑ t v ɑ ɾ
պատվարժան	p ɑ t v ɑ ɾ ʒ ɑ n
պատվիրակություն	p ɑ t v i ɾ ɑ k u t͡sʰ j u n
պատվիրան	p ɑ t v i ɾ ɑ n
պատրանք	p ɑ t ɾ ɑ ŋ kʰ
պատրաստ	p ɑ t ɾ ɑ s t
պատրաստակամ	p ɑ t ɾ ɑ s t ɑ k ɑ m
պատրաստություն	p ɑ t ɾ ɑ s t u t͡sʰ j u n
պատրինջ	p ɑ t ɾ i n d͡ʒ
պատրույգ	p ɑ t ɾ u j kʰ
պատրվակ	p ɑ t ə ɾ v ɑ k
պար	p ɑ ɾ
պարագա	p ɑ ɾ ɑ ɡ ɑ
պարան	p ɑ ɾ ɑ n
պարաշյուտ	p ɑ r ɑ ʃ u t
պարաշյուտ	p ɑ ɾ ɑ ʃ j u t
պարապ	p ɑ ɾ ɑ p
պարապած	p ɑ ɾ ɑ p ɑ t͡s
պարապմունք	p ɑ ɾ ɑ p m u ŋ kʰ
պարասրահ	p ɑ ɾ ɑ s ə ɾ ɑ h
պարավանդ	p ɑ ɾ ɑ v ɑ n d
պարարտ	p ɑ ɾ ɑ ɾ t
պարարտանյութ	p ɑ ɾ ɑ ɾ t ɑ n j u tʰ
պարբրիս	p ɑ ɾ b ɾ i s
պարզ	p ɑ ɾ z
պարզաբանում	p ɑ ɾ z ɑ b ɑ n u m
պարզունակ	p ɑ ɾ z u n ɑ k
պարիկ	p ɑ ɾ i k
պարիսպ	p ɑ ɾ i s p
պարծանք	p ɑ ɾ t͡s ɑ ŋ kʰ
պարկ	p ɑ ɾ k
պարկապզուկ	p ɑ ɾ k ɑ p ə z u k
պարուհի	p ɑ ɾ u h i
պարույկ	p ɑ ɾ u j k
պարույր	p ɑ ɾ u j ɾ
պարս	p ɑ ɾ s
պարսավանք	p ɑ ɾ s ɑ v ɑ ŋ kʰ
պարսատիկ	p ɑ ɾ s ɑ t i k
պարսիկ	p ɑ ɾ s i k
պարսկական	p ɑ ɾ s k ɑ k ɑ n
պարսկահայ	p ɑ ɾ s k ɑ h ɑ j
պարսկանալ	p ɑ ɾ s k ɑ n ɑ l
պարսկացում	p ɑ ɾ s k ɑ t͡sʰ u m
պարտ	p ɑ ɾ t
պարտադիր	p ɑ ɾ t ɑ d i ɾ
պարտականություն	p ɑ ɾ t ɑ k ɑ n u t͡sʰ j u n
պարտիա	p ɑ ɾ t i j ɑ
պարտիզան	p ɑ ɾ t i z ɑ n
պարտիզանական	p ɑ ɾ t i z ɑ n ɑ k ɑ n
պարտիզպան	p ɑ ɾ t i z p ɑ n
պարտիք	p ɑ ɾ t i kʰ
պարտություն	p ɑ ɾ t u t͡sʰ j u n
պարտք	p ɑ ɾ t kʰ
պեղել	p ɛ ʁ ɛ l
պզուկ	p ə z u k
պիզայական	p i z ɑ j ɑ k ɑ n
պիզացի	p i z ɑ t͡sʰ i
պիղծ	p i χ t͡s
պինգվին	p i ŋ ɡ v i n
պինդ	p i n d
պինչ	p i n t͡ʃʰ
պիջակ	p i d͡ʒ ɑ k
պիսակ	p i s ɑ k
պիստակ	p i s t ɑ k
պիվա	p i v ɑ
պիտակ	p i t ɑ k
պիտանացու	p i t ɑ n ɑ t͡sʰ u
պիտանի	p i t ɑ n i
պիտի	p i t i
