ং	ŋ
তামিলনাড়ু	t̪ a m i l n a ɾ uˑ
তাম্র	t̪ a m ɾ oˑ
তার	t̪ ä ɾ
তারা	t̪ a ɾ aˑ
তারাহীন	t̪ a ɾ a h i n
তারিপ	t̪ ä ɾ iˑ p
তারিফ	t̪ a ɾ i f
তাল	t̪ a l
তাল	t̪ aː l
তালব্য	t̪ a l ɔ bː oˑ
তালা	t̪ ɐ l a
তালিকা	t̪ a l i k aˑ
তালিব	t̪ a l i b oˑ
তালুকদার	t̪ a l u k d̪ a ɾ
তাস	t̪ a ʃ
তাস	t̪ aː ʃ
তাহা	t̪ a h aˑ
তাহার	t̪ a h a ɾ
তিন	t̪ i n
তিন	t̪ iː n
তিনি	t̪ i n iˑ
তিন্দু	t̪ i n d̪ uˑ
তিন্দুক	t̪ i n d̪ u k
তিমি	t̪ i m iˑ
তিমির	t̪ i m i ɾ
তিরুবনন্তপুরম	t̪ i ɾ u b ɔ n o n t̪ ɔ p u ɾ o m
তিল	t̪ i l
তিল	t̪ iː l
তিলক	t̪ i l ɔ k
তিষ্ণা	t̪ i ʃ n aˑ
তীব্র	t̪ i b ɾ oˑ
তীব্রতা	t̪ i b ɾ ɔ t̪ aˑ
তীর	t̪ i ɾ
তীর	t̪ iː ɾ
তুঁত	t̪ ũ t̪
তুঁতে	t̪ ũ t̪ eˑ
তুই	t̪ u i̯
তুফান	t̪ u f a n
তুফান	t̪ u pʰ a n
তুমি	t̪ u m iˑ
তুমিহীন	t̪ u m i h i n
তুমিহীনতা	t̪ u m i h i n ɔ t̪ aˑ
তুরস্ক	t̪ u ɾ o ʃ k oˑ
তুরিত	t̪ u ɾ iˑ t̪
তুরুপ	t̪ u ɾ u p
তুর্কি	t̪ u ɾ k iˑ
তুলনা	t̪ u l o n aˑ
তুলনামূলক	t̪ u l n a m u l ɔ k
তুলসী	t̪ u l ʃ iˑ
তুলা	t̪ u l aˑ
তুলি	t̪ u l iˑ
তুলো	t̪ u l oˑ
তুষার	t̪ u ʃ a ɾ
তৃণ	t̪ː ɾ i n oˑ
তৃতীয়	t̪ː ɾ i t̪ i̯ oˑ
তৃষ্ণা	t̪ i ʃ n aˑ
তৃষ্ণা	t̪ː ɾ i ʃ n aˑ
তৃষ্ণাহীন	t̪ː ɾ i ʃ n a h i n
তেঁতুল	t̪ ẽ t̪ u l
তেওড়া	t̪ æ o̯ ɽ aˑ
তেওড়া	t̪ æ o̯ ɾ aˑ
তেজ	t̪ e d͡ʒ
তেজপাতা	t̪ e d͡ʒ p a t̪ aˑ
তেড়া	t̪ æ ɽ aˑ
তেড়া	t̪ æ ɾ aˑ
তেপায়া	t̪ e p a j aˑ
তেরো	t̪ æ ɹ oˑ
তেলবাজ	t̪ e l b a d͡ʒ
তেলা	t̪ e l aˑ
তেলাকুচা	t̪ æ l a k u t͡ʃ aˑ
তেলাচোরা	t̪ e l a t͡ʃ o ɾ aˑ
তেলাপোকা	t̪ e l a p o k aˑ
তেলেঙ্গানা	t̪ e l e ŋ ɡ a n aˑ
তৈরি	t̪ o i̯ ɾ iˑ
তৈল	t̪ o i̯ l
তো	t̪ oː
তো	t̪ oˑ
তোকমা	t̪ o k m aˑ
তোমরা	t̪ o m ɹ ä
তোমাকে	t̪ o m a k eˑ
তোমাদের	t̪ o m a d̪ e ɾ
তোমার	t̪ o m a ɾ
তোয়াক্কা	t̪ o̯ a kː aˑ
তোয়ালে	t̪ o̯ a l eˑ
তোর	t̪ o ɾ
তোর	t̪ oː ɾ
তোরা	t̪ o ɾ aˑ
তোলপাড়	t̪ o l p a ɽ
তোলপাড়	t̪ o l p a ɾ
তোলা	t̪ o l aˑ
তোশক	t̪ o ʃ o k
তোহমত	t̪ o h ɔ m ɔ t̪
তৌরাত	t̪ o u̯ ɾ a t̪
ত্বক	t̪ ɔ k
ত্বক	t̪ ɔː k
ত্যাগ	t̪ æ ɡ
ত্রয়োদশ	t̪ː ɾ ɔ e̯ o d̪ o s h
ত্রিকোণমিতি	t̪ː ɾ i k o n m i t̪ iˑ
ত্রিচক্রযান	t̪ː ɾ i t͡ʃ ɔ k ɾ ɔ d͡ʒ a n
ত্রিপদ	t̪ː ɾ i p ɔ d̪
ত্রিপুরা	t̪ː ɾ i p u ɾ aˑ
ত্রিশ	t̪ː ɾ i ʃ
তৎ	t̪ ɔ t̪
তৎসম	t̪ ɔ t̪ ʃ ɔ m oˑ
থ	t̪ʰ ɔː
থ	t̪ʰ ɔˑ
থাকব	t̪ʰ a k b oˑ
থাকানো	t̪ʰ a k a n o
থাকি	t̪ʰ a k iˑ
থাকে	t̪ʰ a k eˑ
থানকুনি	t̪ʰ a n k u n iˑ
থানা	t̪ʰ a n a
থামা	t̪ʰ a m a
থার্মোমিটার	t̪ʰ a ɾ m o m i ʈ a ɾ
থালা	t̪ʰ a l aˑ
থিতানো	t̪ʰ i t̪ a n oˑ
থুকা	t̪ʰ u k aˑ
থুড়া	t̪ʰ u ɽ aˑ
থুড়া	t̪ʰ u ɾ aˑ
থুতু	t̪ʰ u t̪ uˑ
থেকে	t̪ʰ e k eˑ
থোকা	t̪ʰ o k aˑ
থোড়া	t̪ʰ o ɽ aˑ
থোড়া	t̪ʰ o ɾ aˑ
দই	d̪ o i̯
দক্ষ	d̪ ɔ kʰː oˑ
দক্ষিণ	d̪ ɔ kʰː i n
দখল	d̪ ɔ kʰ o l
দগ্ধীভূত	d̪ ɔ ɡ d̪ʱ i bʱ u t̪ oˑ
দগ্ধীভূত	d̪ ɔ ɡ d̪ʱ i v u t̪ oˑ
দড়ি	d̪ o ɽ̟ i
দণ্ড	d̪ ɔ ɳ ɖ oˑ
দত্ত	d̪ ɔ t̪ː oˑ
দন্ত	d̪ ɔ n t̪ oˑ
দন্ত্য	d̪ ɔ n t̪ː oˑ
দপ্তর	d̪ ɔ p t̪ ɔ ɾ
দফতর	d̪ ɔ f t̪ ɔ ɾ
দফা	d̪ ɔ f aˑ
দম	d̪ ɔ m
দম	d̪ ɔː m
দমা	d̪ ɔ m aˑ
দয়া	d̪ ɔ e̯ aˑ
দয়াল	d̪ ɔ e̯ a l
দয়ালু	d̪ ɔ e̯ a l uˑ
দয়াহীন	d̪ ɔ e̯ a h i n
দরকার	d̪ ɔ ɾ k a ɾ
দরখাস্ত	d̪ ɔ ɾ kʰ a s t̪ oˑ
দরগাহ	d̪ ɔ ɾ ɡ aˑ
দরজা	d̪ ɔ ɾ d͡ʒ aˑ
দরজা	d̪ ɔ ɾ o d͡ʒ aˑ
দরদ	d̪ ɔ ɾ o d̪
দরবার	d̪ ɔ ɾ b a ɾ
দরবেশ	d̪ ɔ ɾ b e ʃ
দরশন	d̪ ɔ ɾ ʃ o n
দরাজ	d̪ ɔ ɾ a d͡ʒ
দরিদ্র	d̪ o ɾ i d̪ː ɾ oˑ
দরিয়া	d̪ o ɾ i̯ aˑ
দরূদ	d̪ o ɾ u d̪
দরূদ	d̪ u ɾ u d̪
দর্জি	d̪ o ɾ d͡ʒ iˑ
দর্পণ	d̪ ɔ ɾ p ɔ n
দর্শন	d̪ ɔ ɾ ʃ o n
দল	d̪ ɔ l
দল	d̪ ɔː l
দলিত	d̪ o l iˑ t̪
দশ	d̪ ɔ ʃ
দশ	d̪ ɔː ʃ
দশম	d̪ ɔ ʃ o m
দস্তরখান	d̪ ɔ s t̪ ɔ ɾ kʰ a n
দস্তাবেজ	d̪ ɔ s t̪ a b e d͡ʒ
দস্তুর	d̪ ɔ s t̪ u ɾ
দহ	d̪ ɔ h oˑ
দহন	d̪ ɔ h o n
দা	d̪ aː
দা	d̪ aˑ
দাঁড়	d̪ ã ɽ
দাঁড়	d̪ ã ɾ
দাঁড়ানো	d̪ ã ɽ a n oˑ
দাঁড়ানো	d̪ ã ɾ a n oˑ
দাঁড়ি	d̪ ã ɽ iˑ
দাঁড়ি	d̪ ã ɾ iˑ
দাঁত	d̪ ã t̪
দাই	d̪ a i̯
দাউদ	d̪ a u̯ d̪
দাউদাউ	d̪ a u̯ d̪ a u̯
দাওয়া	d̪ a o̯ aˑ
দাওয়াই	d̪ a o̯ a i̯
দাওয়াখানা	d̪ a o̯ a kʰ a n aˑ
দাওয়াত	d̪ a o̯ a t̪
দাগ	d̪ a ɡ
দাড়ি	d̪ a ɽ iˑ
দাড়ি	d̪ a ɾ iˑ
দাতা	d̪ a t̪ aˑ
দাদা	d̪ a d̪ aˑ
দাদী	d̪ a d̪ iˑ
দান	d̪ a n
দান	d̪ aː n
দানা	d̪ a n a
দান্দান	d̪ a n d̪ a n
দাব	d̪ a b
দাব	d̪ aː b
দাবদাহ	d̪ a b o d̪ a h oˑ
দাবা	d̪ a b a
দাবাড়ু	d̪ a b a ɽ uˑ
দাবাড়ু	d̪ a b a ɾ uˑ
দাবানল	d̪ a b a n ɔ l
দাম	d̪ a m
দাম	d̪ aː m
দামড়া	d̪ a m ɽ aˑ
দামড়া	d̪ a m ɾ aˑ
দায়ভার	d̪ a e̯ bʱ a ɾ
দায়ভার	d̪ a e̯ v a ɾ
দায়িত্ব	d̪ a i̯ t̪ː oˑ
দারচিনি	d̪ a ɾ t͡ʃ i n iˑ
দারু	d̪ a ɾ uˑ
দারুণ	d̪ a ɾ u n
দারোয়ান	d̪ a ɾ o̯ a n
দার্জিলিং	d̪ a ɾ d͡ʒ i l i ŋ
দার্ঢ্য	d̪ a ɾ ɖʱː oˑ
দাশগুপ্ত	d̪ a ʃ ɡ u p t̪ oˑ
দাস	d̪ a ʃ
দাস	d̪ aː ʃ
দাসানুদাস	d̪ a ʃ a n u d̪ a ʃ
দাসী	d̪ a ʃ iˑ
দাসীপুত্র	d̪ a ʃ i p u t̪ː ɾ oˑ
দাহ্য	d̪ a d͡ʒ d͡ʒʱ oˑ
দাহ্য	d̪ a z̪̪ d͡ʒʱ oˑ
দিওয়ান	d̪ i̯ o̯ a n
দিওয়ালি	d̪ i̯ o̯ a l iˑ
দিক	d̪ i k
দিক	d̪ iː k
দিকে	d̪ i k eˑ
দিগ্বিজয়	d̪ i ɡ b i d͡ʒ ɔ e̯
দিঘি	d̪ i ɡʱ iˑ
দিদিভাই	d̪ i d̪ i bʱ a i̯
দিদিভাই	d̪ i d̪ i v a i̯
দিন	d̪ i n
দিন	d̪ iː n
দিনরাত	d̪ i n ɾ a t̪
দিবস	d̪ i b ɔ ʃ
দিবা	d̪ i b aˑ
দিবানিদ্রা	d̪ i b a n i d̪ː ɾ aˑ
দিবারাত্রি	d̪ i b a ɾ a t̪ː ɾ iˑ
দিব্যেন্দু	d̪ i bː e n d̪ uˑ
দিয়েছিল	d̪ i̯ e t͡ʃʰ i l oˑ
দিয়েছিলেন	d̪ i̯ e t͡ʃʰ i l e n
দিরহাম	d̪ i ɾ h a m
দিল	d̪ i l
দিল	d̪ iː l
দিলীপ	d̪ i l i p
দিল্লি	d i l l i
দিসপুর	d̪ i s p u ɾ
দিসপুর	d̪ i ʃ p u ɾ
দীপান্বিতা	d̪ i p a nː i t̪ aˑ
দীপোৎসব	d̪ i p o t̪ ʃ ɔ b
দীয়া	d̪ i̯ aˑ
দীর্ঘ	d̪ i ɾ ɡʱ oˑ
দু	d̪ uː
দু	d̪ uˑ
দুঃখ	d̪ u h kʰ oˑ
দুঃখ	d̪ u kʰː oˑ
দুঃস্বপ্ন	d̪ u h ʃː ɔ p n oˑ
দুই	d̪ u̯ iˑ
দুগি	d̪ u ɡ iˑ
দুগ্ধ	d̪ u ɡ d̪ʱ oˑ
দুটো	d̪ u ʈ oˑ
দুদু	d̪ u d̪ uˑ
দুধ	d̪ u d̪
দুনিয়া	d̪ u n i̯ aˑ
দুনিয়াবী	d̪ u n i̯ a b iˑ
দুপুর	d̪ u p u ɾ
দুম্বা	d̪ u m b aˑ
দুয়ার	d̪ o̯ a ɾ
দুয়ার	d̪ u̯ a ɾ
দুরস্ত	d̪ u ɾ ɔ s t̪ oˑ
দুরিয়ান	d̪ u ɾ i̯ a n
দুর্গজয়	d̪ u ɾ ɡ ɔ d͡ʒ ɔ e̯
দুর্গন্ধ	d̪ u ɾ ɡ ɔ n d̪ʱ oˑ
দুর্গা	d̪ u ɾ ɡ aˑ
দুর্ঘটনা	d̪ u ɾ ɡʱ ɔ ʈ o n aˑ
দুর্দান্ত	d̪ u ɾ d̪ a n t̪ oˑ
দুর্নিরীক্ষ্য	d̪ u ɾ n i ɾ i kː kʰ oˑ
দুর্বল	d̪ u ɾ b ɔ l
দুর্বলতা	d̪ u ɾ b ɔ l o t̪ aˑ
দুর্ভিক্ষ	d̪ u ɹ bʱ i kʰː oˑ
দুর্ভিক্ষ	d̪ u ɹ v i kʰː oˑ
দুর্ভিক্ষ	d̪ u ɾ bʱ i kʰː oˑ
দুর্ভিক্ষ	d̪ u ɾ v i kʰː oˑ
দুর্ভেদ্য	d̪ u ɾ bʱ e d̪ː oˑ
দুর্ভেদ্য	d̪ u ɾ v e d̪ː oˑ
দুশমন	d̪ u ʃ m o n
দুশমন	d̪ u ʃ m ɔ n
দুষ্ট	d̪ u ʂ ʈ oˑ
দুষ্ট	d̪ u ʂ ʈ uˑ
দুষ্টামি	d̪ u ʂ ʈ a m iˑ
দুসরা	d̪ u ʃ o ɾ aˑ
দুসরা	d̪ u ʃ ɔ ɾ aˑ
দুসরা	d̪ u ʃ ɾ aˑ
দুসরী	d̪ u ʃ o ɾ iˑ
দুস্থ	d̪ u s t̪ʰ oˑ
দুহিতা	d̪ u h i t̪ aˑ
দূর	d̪ u ɾ
দূর	d̪ uː ɾ
দূরত্ব	d̪ u ɾ o t̪ː oˑ
দূরত্ব	d̪ u ɾ ɔ t̪ː oˑ
দূরদর্শন	d̪ u ɾ d̪ ɔ ɾ ʃ ɔ n
দূরদর্শন	d̪ u ɾ o d̪ ɔ ɾ ʃ ɔ n
দূরবিন	d̪ u ɾ b i n
দূরভাষা	d̪ u ɾ bʱ a ʃ aˑ
দূরভাষা	d̪ u ɾ v a ʃ aˑ
দৃঢ়	d̪ː ɾ i ɽ oˑ
দৃঢ়	d̪ː ɾ i ɽʱ oˑ
দৃঢ়	d̪ː ɾ i ɾ h oˑ
দৃঢ়ভাবে	d̪ː ɾ i ɽ o bʱ a b eˑ
দৃঢ়ভাবে	d̪ː ɾ i ɽʱ o bʱ a b eˑ
দৃঢ়ভাবে	d̪ː ɾ i ɾ h o v a b eˑ
দৃশ্য	d̪ r i ʃː oˑ
দৃষ্টি	d̪ː ɾ i ʂ ʈ iˑ
দৃষ্টিহীন	d̪ː ɾ i ʂ ʈ i h i n
দে	d̪ eː
দে	d̪ eˑ
দেউড়ি	d̪ e u ɽ iˑ
দেউড়ি	d̪ e u ɾ iˑ
দেওয়া	d̪ e o̯ ɑ
দেওয়া	d̪ æ o̯ ɑ
দেওয়ান	d̪ e o̯ a n
দেওয়ানা	d̪ e o̯ a n aˑ
দেওয়াল	d̪ e a l
দেওয়াল	d̪ e o̯ a l
দেওয়ালি	d̪ e o̯ a l iˑ
দেখানো	d̪ æ kʰ a n o
দেখে	d̪ e kʰ eˑ
দেড়	d̪ e ɽ
দেড়	d̪ e ɾ
দেন	d̪ e n
দেন	d̪ eː n
দেব	d̪ e b
দেব	d̪ e b oˑ
দেব	d̪ eː b
দেবতা	d̪ e b o t̪ aˑ
দেবদাস	d̪ e b d̪ a ʃ
দেবদাসী	d̪ e b d̪ a ʃ iˑ
দেবদূত	d̪ e b d̪ u t̪
দেবনাগরী	d̪ e b n a ɡ ɾ iˑ
দেবী	d̪ e b iˑ
দেবেন	d̪ e b e n
দেয়	d̪ æ e̯
দেরি	d̪ e ɾ iˑ
দেরেঙ্গ	d̪ e ɾ e ŋ ɡ oˑ
দেশ	d̪ e ʃ
দেশ	d̪ eː ʃ
দেশপ্রেমিক	d̪ e ʃ ɔ p ɾ e m i k
দেশলাই	d̪ e ʃ l a i̯
দেশিয়	d̪ e ʃ i̯ oˑ
দেশীয়	d̪ e ʃ i̯ oˑ
দেহ	d̪ e h oˑ
দৈব	d̪ o i̯ b ɔˑ
দৈর্ঘ্য	d̪ o i̯ ɾ ɡʱː oˑ
দো	d̪ oː
দো	d̪ oˑ
দোকান	d̪ o k a n
দোকানদার	d̪ o k a n d̪ a ɾ
দোছরা	d̪ o t͡ʃʰ o ɾ aˑ
দোছরা	d̪ o t͡ʃʰ ɔ ɾ aˑ
দোজখ	d̪ o d͡ʒ o k
দোজখ	d̪ o d͡ʒ o x
দোজখ	d̪ o z o k
দোজখ	d̪ o z o x
দোতারা	d̪ o t̪ a ɾ aˑ
দোভাষী	d̪ o bʱ a ʃ iˑ
দোভাষী	d̪ o v a ʃ iˑ
দোয়া	d̪ o̯ aˑ
দোয়া	d̪ ʊ aˑ
দোয়েল	d̪ o e l
দোলনা	d̪ o l n aˑ
দোলা	d̪ o l aˑ
দোষ	d̪ o ʃ
দোষ	d̪ oː ʃ
দোষী	d̪ o ʃ iˑ
দোসরা	d̪ o ʃ o ɾ aˑ
দোসরা	d̪ o ʃ ɔ ɾ aˑ
দোসরা	d̪ o ʃ ɾ aˑ
দোসুতি	d̪ o ʃ u t̪ iˑ
দোস্ত	d̪ o s t̪ oˑ
দোস্‌রা	d̪ o ʃ ɾ aˑ
দোহাই	d̪ o h a i̯
দৌড়ানো	d̪ o u̯ ɽ a n oˑ
দৌড়ানো	d̪ o u̯ ɾ a n oˑ
দৌরাত্ম্য	d̪ o u̯ ɾ a t̪ː t̪ oˑ
দৌলত	d̪ o u̯ l o t̪
দৌলত	d̪ o u̯ l ɔ t̪
দ্বাদশ	d̪ a d̪ ɔ ʃ
দ্বার	d̪ a ɾ
দ্বার	d̪ aː ɾ
দ্বারা	d̪ a ɾ aˑ
দ্বারী	d̪ u̯ a ɾ iˑ
দ্বিতীয়	d̪ i t̪ i̯ oˑ
দ্বিরুক্তি	d̪ i ɾ u k t̪ iˑ
দ্বীপ	d̪ i p
দ্বীপ	d̪ iː p
দ্বীপপুঞ্জ	d̪ i pː u n d͡ʒ oˑ
দ্বৈত	d̪ o i̯ t̪
দ্ব্যর্থ	d̪ æ ɾ t̪ʰ oˑ
দ্ব্যর্থ	d̪ ɔ ɾ t̪ʰ oˑ
দ্ব্যর্থতা	d̪ æ ɾ t̪ʰ o t̪ aˑ
দ্ব্যর্থতা	d̪ ɔ ɾ t̪ʰ o t̪ aˑ
দ্রব্য	d̪ ɾ ɔ bː ɔ̝ˑ
দ্রাক্ষা	d̪ː ɾ a kʰː aˑ
দ্রাক্ষাকুঞ্জ	d̪ː ɾ a kʰː a k u n d͡ʒ oˑ
দ্রাক্ষারস	d̪ː ɾ a kʰː a ɾ ɔ ʃ
দ্রাঘিমা	d̪ː ɾ a ɡʱ i m aˑ
দ্রুত	d̪ː ɾ u t̪ oˑ
দ্রৌপদী	d̪ː ɾ o u̯ p o d̪ iˑ
ধন	d̪ʱ ɔ n
ধনবাদ	d̪ʱ ɔ n b a d̪
ধনিয়া	d̪ʱ o n i̯ aˑ
ধনে	d̪ʱ o n eˑ
ধন্যবাদ	d̪ʱ o nː o b a d̪
ধমক	d̪ʱ ɔ m ɔ k
ধরণী	d̪ʱ ɔ ɾ o n iˑ
ধরম	d̪ʱ ɔ ɾ o m
ধরা	d̪ʱ ɔ r a
ধর্ম	d̪ʱ ɔ ɾ m oˑ
ধর্মভ্রষ্ট	d̪ʱ ɔ ɾ m ɔ bʱ ɾ ɔ ʂ ʈ oˑ
ধর্মভ্রষ্ট	d̪ʱ ɔ ɾ m ɔ v ɾ ɔ ʂ ʈ oˑ
ধর্ষণ	d̪ʱ ɔ ɾ ʃ ɔ n
ধাই	d̪ʱ a i̯
ধাওয়া	d̪ʱ a o̯ aˑ
ধাক্কা	d̪ʱ a kː aˑ
ধাতু	d̪ʱ a t̪ u
ধাত্রী	d̪ʱ a t̪ː ɾ iˑ
ধান	d̪ʱ a n
ধামরাই	d̪ʱ a m ɾ a i̯
ধামাকা	d̪ʱ a m a k aˑ
ধামাচাপা	d̪ʱ a m a t͡ʃ a p aˑ
ধার	d̪ʱ a ɾ
ধারণা	d̪ʱ a ɾ o n aˑ
ধারা	d̪ʱ a ɾ aˑ
ধার্মিক	d̪ʱ a ɾ m i k
ধার্মিকতা	d̪ʱ a ɾ m i k ɔ t̪ aˑ
ধিক্কার	d̪ʱ i kː a ɾ
ধীবর	d̪ʱ i b o ɾ
ধীর	d̪ʱ i ɾ
ধুতরা	d̪ʱ u t̪ ɔ ɾ aˑ
ধুতি	d̪ʱ u t̪ iˑ
ধুতুরা	d̪ʱ u t̪ u ɾ aˑ
ধুনা	d̪ʱ u n aˑ
ধুনা	d̪ʱ u n oˑ
ধুর	d̪ʱ u ɹ
ধুর	d̪ʱ u ɾ
ধূপ	d̪ʱ u p
ধূমকেতু	d̪ʱ u m k e t̪ uˑ
ধূলিমলিন	d̪ʱ u l i m o l i n
ধেৎ	d̪ʱ æ t̪
ধেৎ	d̪ʱ ɛ t̪
ধৈর্য	dʱ o i̯ ɹ d͡ʒ o
ধৈর্য	dʱ o ɹ d͡ʒ o
ধোঁকা	d̪ʱ õ k aˑ
ধোঁকাবাজ	d̪ʱ õ k a b a d͡ʒ
ধোঁয়া	d̪ʱ õ aˑ
ধোঁয়াশা	d̪ʱ õ a ʃ aˑ
ধোয়া	d̪ʱ o̯ aˑ
ধ্বংস	d̪ʱ o ŋ ʃ oˑ
ধ্বংস	d̪ʱ ɔ ŋ ʃ oˑ
ধ্বংসযজ্ঞ	d̪ʱ ɔ ŋ ʃ ɔ d͡ʒ ɔ ɡː ɔˑ
ধ্বংসলীলা	d̪ʱ ɔ ŋ ʃ ɔ l i l ā
ধ্বজা	d̪ʱ ɔ d͡ʒ aˑ
ধ্যান	d̪ʱ æ n
নওকর	n ɔ o̯ k o ɾ
নওকরি	n ɔ o̯ k ɾ iˑ
নওগাঁ	n ɔ o̯ ɡ ãˑ
নওবাহার	n ɔ o̯ b a h a ɾ
নওরোজ	n o ɾ o d͡ʒ
নওরোজ	n o ɾ o z
নকল	n ɔ k o l
নকশা	n ɔ k ʃ aˑ
নকশাল	n ɔ k ʃ a l
নক্ত	n ɔ k t̪ oˑ
নখ	n ɔ x
নখ	n ɔː k
নগদ	n ɔ ɡ ɔ d̪
নগর	n ɔ ɡ o ɾ
নগরী	n ɔ ɡ ɾ iˑ
নগিচ	n o ɡ i t͡ʃ
নগ্ন	n ɔ ɡ n oˑ
নজদ	n ɔ d͡ʒ ɔ d̪
নজর	n ɔ d͡ʒ o ɾ
নজরানা	n ɔ d͡ʒ ɾ a n aˑ
নজরুল	n o d͡ʒ ɾ u l
নজরুল	n o z ɾ u l
নঞর্থক	n o ĩ ɔ ɾ t̪ʰ o k
নঞর্থক	n ɔ ŋ ɔ ɾ t̪ʰ o k
নড়া	n ɔ ɽ aˑ
নড়া	n ɔ ɾ aˑ
নত	n ɔ t̪ oˑ
নতীজা	n o t̪ i d͡ʒ aˑ
নতুন	n o t̪ u n
নদিয়া	n o d̪ i̯ aˑ
নদী	n o d̪ iˑ
নদীয়া	n a d̪ i̯ e̯ ā
ননদ	n ɔ n o d̪
নফরৎ	n ɔ f ɾ ɔ t̪
নফসানিয়াত	n ɔ f s a n i̯ a t̪
নব	n ɔ b
নব	n ɔ b oˑ
নব	n ɔː b
নবডঙ্কা	n ɔ b o ɖ ɔ ŋ k aˑ
নববর্ষ	n ɔ b o b ɔ ɾ ʃ oˑ
নবম	n ɔ b o m
নবযুগ	n ɔ b o d͡ʒ u ɡ
নবাব	n ɔ b a b
নবাবজাদা	n ɔ b a b d͡ʒ a d̪ aˑ
নবিস	n o b i ʃ
নবী	n o b iˑ
নবীজী	n o b i d͡ʒ iˑ
নবীত্ব	n o b i t̪ː oˑ
নবীন	n o b i n
নবুয়ত	n o b u̯ ɔ t̪
নভেম্বর	n ɔ bʱ e m b ɔ ɾ
নভেম্বর	n ɔ v e m b ɔ ɾ
নভেল	n ɔ bʱ e l
নভেল	n ɔ v e l
নমস্কার	n ɔ m o ʃ k a ɾ
নমাজ	n ɔ m a d͡ʒ
নমায	n ɔ m a d͡ʒ
নমুনা	n o m u n aˑ
নম্বর	n ɔ m b o ɾ
নয়	n ɔ e̯
নয়ন	n ɔ e̯ o n
নয়া	n ɔ e̯ aˑ
নয়াদিল্লি	n ɔ e̯ a d̪ i lː iˑ
নর	n ɔ ɾ
নর	n ɔː ɾ
নরক	n ɔ ɾ o k
নরম	n ɔ ɾ o m
নষ্ট	n ɔ ʂ ʈ oˑ
নসিহত	n ɔ ʃ i h ɔ t̪
নহা	n ɔ h aˑ
না	n aː
না	n aˑ
নাংটা	n a ŋ ʈ aˑ
নাক	n a k
নাক	n aː k
নাখুশ	n a kʰ u ʃ
নাগপুর	n a ɡ p u ɾ
নাগরিক	n a ɡ o ɾ i k
নাগাল্যান্ড	n a ɡ a l æ ɳ ɖ
নাঙ্গল	n a ŋ ɡ ɔ l
নাঙ্গা	n a ŋ ɡ aˑ
নাচা	n a t͡ʃ aˑ
নাজাত	n a d͡ʒ a t̪
নাজিবাদ	n a d͡ʒ i b a d̪
নাজিবাদ	n a z i b a d̪
নাজেহাল	n a d͡ʒ e h a l
নাজ্জিবাদ	n a d͡ʒ d͡ʒ i b a d̪
নাজ্জিবাদ	n a z̪̪ d͡ʒ i b a d̪
নাটক	n a ʈ ɔ k
নাট্য	n a ʈː oˑ
নাট্যকার	n a ʈː o k a ɾ
নাট্যমঞ্চ	n a ʈː o m ɔ n t͡ʃ oˑ
নাট্যশালা	n a ʈː o ʃ a l aˑ
নাট্যাভিনয়	n a ʈː a bʱ i n ɔ e̯
নাট্যাভিনয়	n a ʈː a v i n ɔ e̯
নাড়া	n a ɽ aˑ
নাড়া	n a ɾ aˑ
নাতনী	n a t̪ n iˑ
নাতি	n a t̪ iˑ
নাতিশীতোষ্ণ	n a t̪ i ʃ i t̪ o ʃ n oˑ
নাথ	n a t̪
নাদান	n a d̪ a n
নানা	n a n aˑ
নানী	n a n iˑ
নানু	n a n uˑ
নাপছন্দ	n a p ɔ t͡ʃʰ ɔ n d̪ oˑ
নাপিত	n a p i t̪
নাপ্পি	n a pː iˑ
নাবালক	n a b a l ɔ k
নাভি	n a bʱ iˑ
নাম	n a m
নাম	n aː m
নামক	n a m ɔ k
নামজাদা	n a m d͡ʒ a d̪ aˑ
নামহীন	n a m h i n
নামহীন	n a mː i n
নামা	n a m aˑ
নামাজ	n a m a d͡ʒ
নামাজ	n a m a z
নামানো	n a m a n oˑ
নার	n a ɾ
নার	n aː ɾ
নারকেল	n a ɾ k e l
নারাজ	n a ɾ a d͡ʒ
নারাজ	n a ɾ a z
নারায়ণ	n a ɾ a e̯ n
নারায়ণ	n a ɾ a e̯ o n
নারিকেল	n a ɾ i k e l
নারিন্দা	n a ɾ i n d̪ aˑ
নারী	n a ɾ iˑ
নারীবাদ	n a ɾ i b a d̪
নার্গিস	n a ɾ ɡ i s
নালিশ	n a l i ʃ
নাশকতা	n a ʃ ɔ k ɔ t̪ aˑ
নাশপাতি	n a ʃ p a t̪ iˑ
নাসরিন	n a s ɾ i n
নাস্তা	n a s t̪ aˑ
নাস্তা	n a ʃ t̪ aˑ
নাস্তানাবুদ	n a s t̪ a n a b u d̪
নাহিয়ান	n a h i̯ a n
নাৎজিবাদ	n a t̪ d͡ʒ i b a d̪
নাৎজিবাদ	n a t̪ z̪ i b a d̪
নাৎসিবাদ	n a sː i b a d̪
নাৎসিবাদ	n a t̪ s̪ i b a d̪
নিঃশ্বসন	n i h ʃː ɔ ʃ ɔ n
নিউক্লিয়াস	n i u̯ k l i̯ a ʃ
নিকট	n i k ɔ ʈ
নিকটবর্তী	n i k ɔ ʈ b o ɾ t̪ iˑ
নিকটবর্তী	n i k ɔ ʈ o b o ɾ t̪ iˑ
