aa	aː
sot	s ɔ t
sot	s ɔː t
sotie	s ɔ t iː ə
sotie	s ɔ t iː
sotie	s ɔ t iː ə
sotie	s ɔ t iː
sotil	s ɔ t i l
sotil	s ɔ t ə l
sotil	s ɔː t ə l
sotil	s u t i l
sotil	s u t ə l
sotil	s u p t i l
sotilen	s ɔ t i l ə n
sotilen	s ɔ t i l ə n
sotilen	s u t i l ə n
sotilly	s ɔ t i l iː
sotilly	s ɔ t i l iː t ʃ ə
sotilly	s ɔ t i l iː t ʃ
sotilly	s ɔ t ə l iː
sotilly	s u t ə l iː
sotillynge	s u t iː l i n ɡ ə
sotillynge	s u t iː l i n ɡ
sotillynge	s u t i l i n ɡ ə
sotillynge	s u t i l i n ɡ
sotilnes	s ɔ t i l n ɛ s
sotilnes	s ɔ t ə l n ɛ s
sotilnes	s u t ə l n ɛ s
sotilte	s ɔ t i l ə t eː
sotilte	s ɔ t i l t eː
sotilte	s ɔ t ə l ə t eː
sotilte	s ɔ t ə l t eː
sotilte	s u t ə l ə t eː
sotilte	s u t ə l t eː
sotliche	s ɔ t l iː t ʃ ə
sotliche	s ɔ t l iː t ʃ
sotschipe	s ɔ t ʃ i p ə
sotschipe	s ɔ t ʃ i p
sotten	s ɔ t ə n
soudan	s ɔ u̯ d aː n
soudan	s ɔ u̯ d a n
soudan	s ɔ u̯ d ə n
soudeour	s ɔ u̯ d i uː r
soudeour	s ɔ u̯ d uː r
soudeour	s ɔ u̯ d i eː r
soudeour	s ɔ u̯ d eː r
soudeour	s ɔ u̯ d i u r
soudeour	s ɔ u̯ d u r
soudeour	s ɔ u̯ d i ə r
soudeour	s ɔ u̯ d ə r
souke	s u k ə
souke	s u k
souke	s uː k ə
souke	s uː k
souken	s uː k ə n
souken	s u k ə n
souker	s u k ə r ə
souker	s u k ə r
souker	s uː k ə r ə
souker	s uː k ə r
soukynge	s u k i n ɡ ə
soukynge	s u k i n ɡ
soukynge	s uː k i n ɡ ə
soukynge	s uː k i n ɡ
soule	s ɔ u̯ l ə
soule	s ɔ u̯ l
soule	s ɑ u̯ l ə
soule	s ɑ u̯ l
soun	s uː n
soundre	s uː n d r ə
soundre	s uː n r ə
soundre	s uː n d ə r
soundre	s uː n ə r
soupe	s uː p ə
soupe	s uː p
soupen	s uː p ə n
soupen	s u p ə n
souple	s uː p ə l
souple	s uː p l ə
souple	s u p ə l
souplen	s uː p l ə n
souplen	s u p l ə n
sour	s uː r
sourden	s uː r d ə n
sours	s uː r s ə
sours	s uː r s
soutere	s uː t ə r ə
soutere	s uː t ə r
soutere	s u t ə r ə
soutere	s u t ə r
south	s uː θ
southerne	s uː ð ə r n ə
southerne	s uː ð ə r n
southerne	s u ð ə r n ə
southerne	s u ð ə r n
sovereyn	s ɔ v ə r æ i̯ n
sovereyn	s ɔ v r æ i̯ n
sovereyn	s ɔ v ə r i n
sovereyn	s ɔ v r i n
sovereyn	s u v ə r æ i̯ n
sovereyn	s u v r æ i̯ n
sovereyn	s u v ə r i n
sovereyn	s u v r i n
sovereynly	s ɔ v ə r æ i̯ n l iː
sovereynly	s ɔ v r æ i̯ n l iː
sovereynly	s ɔ v ə r i n l iː
sovereynly	s ɔ v r i n l iː
sovereynly	s ɔ v ə r æ i̯ n l i t͡ʃ ə
sovereynly	s ɔ v ə r æ i̯ n l i t͡ʃ
sovereynly	s ɔ v r æ i̯ n l i t͡ʃ ə
sovereynly	s ɔ v r æ i̯ n l i t͡ʃ
sovereynly	s ɔ v ə r i n l i t͡ʃ ə
sovereynly	s ɔ v ə r i n l i t͡ʃ
sovereynly	s ɔ v r i n l i t͡ʃ ə
sovereynly	s ɔ v r i n l i t͡ʃ
sovereynte	s ɔ v ə r æ i̯ n ə t eː
sovereynte	s ɔ v ə r æ i̯ n t eː
sovereynte	s ɔ v r æ i̯ n ə t eː
sovereynte	s ɔ v r æ i̯ n t eː
sovereynte	s ɔ v ə r i n ə t eː
sovereynte	s ɔ v ə r i n t eː
sovereynte	s ɔ v r i n ə t eː
sovereynte	s ɔ v r i n t eː
sowe	s uː ə
sowe	s uː
sowel	s uː ə l
sowel	s uː l
sowel	s oː ə l
sowel	s oː l
sowel	s u v ə l
sowel	s ɔ u̯ ə l
sowel	s ɔ u̯ l
sowel	s ɔː ə l
sowel	s ɔː l
sowen	s ɔ u̯ ə n
sowen	s ɑ u̯ ə n
sowen	s uː ə n
sowere	s ɔ u̯ ɛː r ə
sowere	s ɔ u̯ ɛː r
sowere	s ɔ u̯ː r ə
sowere	s ɔ u̯ː r
sowere	s ɔ u̯ ə r ə
sowere	s ɔ u̯ ə r
sowryng	s ɔː r i n ɡ
sowynge	s ɔ u̯ i n ɡ ə
sowynge	s ɔ u̯ i n ɡ
spade	s p aː d ə
spade	s p aː d
spalle	s p a l
spalle	s p ɔ l
spanne	s p a n ə
spanne	s p a n
spanne	s p ɔ n ə
spanne	s p ɔ n
spannen	s p a n ə n
sparhauk	s p a r h a u̯ k
sparhauk	s p ɛ r h a u̯ k
sparke	s p a r k ə
sparke	s p a r k
sparke	s p ɛ r k ə
sparke	s p ɛ r k
sparkel	s p a r k ə l
sparkel	s p ɛ r k ə l
sparken	s p a r k ə n
sparklen	s p a r k ə l ə n
sparklen	s p a r k l ə n
sparplen	s p a r p ə l ə n
sparplen	s p a r p l ə n
sparplen	s p a r p i l ə n
sparplen	s p a r p u i̯ l ə n
sparplen	s p a r k ə l ə n
sparplen	s p a r k l ə n
sparplen	s p a r t ə l ə n
sparplen	s p a r t l ə n
sparre	s p a r ə
sparre	s p a r
sparren	s p a r ə n
sparren	s p aː r ə n
sparren	s p ɛ r ə n
sparren	s p ɛː r ə n
sparren	s p a r ə n
sparren	s p ɛ r ə n
sparthe	s p a r ð ə
sparthe	s p a r ð
sparthe	s p a r θ
sparwe	s p a r w ə
sparwe	s p a r ɔ u̯ ə
sparwe	s p a r ɔ u̯
sparwe	s p a r uː
sparwe	s p a r i u̯ ə
sparwe	s p a r i u̯
spawde	s p a l d ə
spawde	s p a l d
spawde	s p a u̯ d ə
spawde	s p a u̯ d
spayen	s p æ i̯ ə n
Spayne	s p æ i̯ n ə
Spayne	s p æ i̯ n
speche	s p ɛ̝ː t͡ʃ ə
speche	s p ɛ̝ː t͡ʃ
speche	s p eː t͡ʃ ə
speche	s p eː t͡ʃ
speche	s p aː t͡ʃ ə
speche	s p aː t͡ʃ
speche	s p ɛ̝ː k ə
speche	s p ɛ̝ː k
speche	s p eː k ə
speche	s p eː k
speckyd	s p ɛ k i d
speckyd	s p ɛ k ɛ d
speckyd	s p ɛ k ə d
speckyd	i s p ɛ k ə d
sped	s p eː d
speden	s p eː d ə n
spedful	s p eː d f u l
spedy	s p eː d iː
speken	s p ɛ̞ː k ə n
spekere	s p ɛ̞ː k ə r ə
spekere	s p ɛ̞ː k ə r
spekere	s p ɛ̞ː k ɛ̞ː r ə
spekere	s p ɛ̞ː k ɛ̞ː r
spekke	s p ɛ k ə
spekke	s p ɛ k
spekynge	s p ɛː k i n ɡ ə
spekynge	s p ɛː k i n ɡ
spelen	s p ɛː l ə n
spelunke	s p eː l u n k ə
spelunke	s p eː l u n k
spenden	s p ɛ n d ə n
spenen	s p eː n ə n
spere	s p ɛ̞ː r ə
spere	s p ɛ̞ː r
spere	s p eː r ə
spere	s p eː r
spere	s p ɛː r ə
spere	s p ɛː r
spere	s p ɛː r ə
spere	s p ɛː r
sperver	s p ɛ r v eː r
sperver	s p ɛ r v ə r
sperver	s p a r v ə r
sperver	s p r ɛ v ə r
sperwort	s p ɛː r ə w u r t
sperwort	s p ɛː r w u r t
spet	s p ɛ t
spewen	s p i u̯ ə n
spewynge	s p i u̯ i n ɡ ə
spewynge	s p i u̯ i n ɡ
spice	s p iː s ə
spice	s p iː s
spicen	s p iː s ə n
spicer	s p iː s ə r
spicerie	s p iː s ə r iː ə
spicerie	s p iː s ə r iː
spicerie	s p iː s ə r iː ə
spicerie	s p iː s ə r iː
spigot	s p i ɡ ɔ t
spigot	s p i ɡ ə t
spigurnel	s p i ɡ u r n ɛ l
spikenard	s p i k ə n a r d
spikenard	s p i k n a r d
spikenard	s p i k ə n a r d ə
spikenard	s p i k ə n a r d
spikenard	s p i k n a r d ə
spikenard	s p i k n a r d
spile	s p iː l
spile	s p i l
spilen	s p i l ə n
spilen	s p eː l ə n
spillen	s p i l ə n
spiller	s p i l ə r
spillyng	s p i l i n ɡ
spinach	s p i n a t ʃ ə
spinach	s p i n a t ʃ
spinach	s p i n a d ʒ ə
spinach	s p i n a d ʒ
spinach	s p i n a r t ʃ ə
spinach	s p i n a r t ʃ
spinnen	s p i n ə n
spirit	s p i r i t
spiþre	s p iː ð r ə
spiþre	s p iː d r ə
splayen	s p l æ i̯ ə n
splente	s p l ɛ n t ə
splente	s p l ɛ n t
splente	s p l i n t ə
splente	s p l i n t
splenten	s p l ɛ n t ə n
splenten	s p l i n t ə n
splenter	s p l ɛ n t ə r
splenter	s p l i n t ə r
splenter	s p l ɛ n d ə r
splenter	s p l i n d ə r
spoke	s p ɔ̝ː k ə
spoke	s p ɔ̝ː k
spoke	s p ɑː k ə
spoke	s p aː k
spole	s p oː l ə
spole	s p oː l
spone	s p oː n ə
spone	s p oː n
sponeful	s p oː n ə f u l
sponeful	s p oː n f u l
sponeful	s p u n ə f u l
sponeful	s p u n f u l
spore	s p ɔː r ə
spore	s p ɔː r
spore	s p oː r ə
spore	s p oː r
spore	s p u r ə
spore	s p u r
spore	s p ɔː r ə
spore	s p ɔː r
spore	s p oː r ə
spore	s p oː r
spore	s p u r ə
spore	s p u r
sporen	s p ɔː r ə n
sporen	s p oː r ə n
sporen	s p u r ə n
sporiere	s p ɔ̞ː r i ə r ə
sporiere	s p ɔ̞ː r i ə r
sporiere	s p oː r i ə r ə
sporiere	s p oː r i ə r
sporiere	s p u r i ə r ə
sporiere	s p u r i ə r
spray	s p r æ i̯
spreden	s p r ɛː d ə n
sprengen	s p r ɛ n d͡ʒ ə n
sprengen	s p r i n d͡ʒ ə n
sprenten	s p r ɛ n t ə n
spruten	s p r uː t ə n
spryng	s p r i n ɡ
spryng	s p r iː n ɡ
spryngen	s p r i n ɡ ə n
spryngen	s p r i n k ə n
sprytten	s p r i t ə n
sprytten	s p r u t ə n
sprytten	s p u t ə n
spudde	s p u d
spume	s p i u̯ m ə
spume	s p i u̯ m
spumen	s p i u̯ m ə n
spumous	s p i u̯ m u s
spurge	s p u r d͡ʒ ə
spurge	s p u r d͡ʒ
spurn	s p u r n
spurnen	s p u r n ə n
spurnen	s p oː r n ə n
spurnynge	s p u r n i n ɡ ə
spurnynge	s p u r n i n ɡ
spyndel	s p i n d ə l
spyndel	s p i n ə l
spyne	s p iː n ə
spyne	s p iː n
spyne	s p iː n a
spynnere	s p i n ə r ə
spynnere	s p i n ə r
spynnestere	s p i n ə s t ə r
spynnestere	s p i n s t ə r
spynnestere	s p i n ə s t r ə
spynnestere	s p i n s t r ə
spynnynge	s p i n i n ɡ ə
spynnynge	s p i n i n ɡ
Spynx	s p i n k s
spytte	s p i t
squame	s k w aː m ə
squame	s k w aː m
squamous	s k w aː m u s
square	s k w aː r ə
square	s k w aː r
square	s k w ɛː r ə
square	s k w ɛː r
square	s k w iː r ə
square	s k w iː r
squierie	s k w iː ə r iː ə
squierie	s k w iː ə r iː
squierie	s k w iː r iː ə
squierie	s k w iː r iː
squierie	s k w iː ə r iː ə
squierie	s k w iː ə r iː
squierie	s k w iː r iː ə
squierie	s k w iː r iː
squirel	s k w i r ə l ə
squirel	s k w i r ə l
squirel	s k w ɛ r ə l ə
squirel	s k w ɛ r ə l
squyler	s k w i l eː r
squyler	s k w i l ə r
squylerie	s k w i l ə r iː ə
squylerie	s k w i l ə r iː
squylerie	s k w i l ə r iː ə
squylerie	s k w i l ə r iː
squylerie	s k u l ə r iː ə
squylerie	s k u l ə r iː
squylerie	s k u l ə r iː ə
squylerie	s k u l ə r iː
stabbe	s t a b
stacioun	s t aː s i uː n
stacioun	s t aː s j uː n
stacioun	s t aː s i u n
stacioun	s t aː s j u n
staf	s t a f
staf	s t aː f
staf	s t aː v ə
staf	s t aː v
stafflike	s t a f l iː k ə
stafflike	s t a f l iː k
stafflike	s t a f l iː
Staffordschire	s t a f ɔ r d ʃ iː r ə
Staffordschire	s t a f ɔ r d ʃ iː r
Staffordschire	s t a f oː r d ʃ iː r ə
Staffordschire	s t a f oː r d ʃ iː r
staffull	s t a f f u l
stafslynge	s t a f s l i n ɡ
stage	s t aː d ʒ ə
stage	s t aː d ʒ
stagge	s t a ɡ ə
stagge	s t a ɡ
stak	s t a k
stake	s t aː k ə
stake	s t aː k
staken	s t aː k ə n
stakeren	s t a k ə r ə n
stakeren	s t a k r ə n
stakeren	s t a ɡ ə r ə n
stakeren	s t a ɡ r ə n
stakken	s t a k ə n
stakyng	s t aː k i n ɡ ə
stakyng	s t aː k i n ɡ
stale	s t aː l
stale	s t a l
stale	s t aː l ə
stale	s t aː l
stale	s t aː l ə
stale	s t aː l
stale	s t aː l
stale	s t aː l ə
stale	s t aː l
stale	s t aː l ə
stale	s t aː l
stale	s t aː l ə
stale	s t aː l
stalken	s t a l k ə n
stalle	s t a l
stalle	s t aː l
stameren	s t a m ə r ə n
stampen	s t a m p ə n
standard	s t a n d a r d
standard	s t a n d a r d
standard	s t a n d ə r d
standard	s t ɔ n d a r d
standard	s t ɔ n d ə r d
standard	a
standard	ɔ
stang	s t a n ɡ
stang	s t aː n ɡ
stang	s t ɔ n ɡ
stang	s t ɔ̝ː n ɡ
stangen	s t a n ɡ ə n
stangen	s t aː n ɡ ə n
stangen	s t ɔ n ɡ ə n
stangen	s t ɔː n ɡ ə n
staren	s t aː r ə n
stat	s t aː t
stature	s t a t i u̯ r ə
stature	s t a t i u̯ r
staunce	s t a u̯ n s ə
staunce	s t a u̯ n s
stede	s t ɛː d ə
stede	s t ɛː d
stede	s t eː d ə
stede	s t eː d
stede	s t ɛ d ə
stede	s t ɛ d
stede	s t i d ə
stede	s t i d
stede	s t eː d ə
stede	s t eː d
stedefast	s t ɛ̞ː d ə f a s t
stedefast	s t ɛ̞ː d f a s t
stedefast	s t ɛ d ə f a s t
stedefast	s t ɛ d f a s t
stedefast	s t i d ə f a s t
stedefast	s t i d f a s t
stedefastly	s t ɛː d ə f a s t l iː
stedefastly	s t ɛː d f a s t l iː
stedefastly	s t ɛ d ə f a s t l iː
stedefastly	s t ɛ d f a s t l iː
stedefastnesse	s t ɛ̞ː d ə f a s t n ɛ s ə
stedefastnesse	s t ɛ̞ː d ə f a s t n ɛ s
stedefastnesse	s t ɛ̞ː d f a s t n ɛ s ə
stedefastnesse	s t ɛ̞ː d f a s t n ɛ s
stedefastnesse	s t ɛ d ə f a s t n ɛ s ə
stedefastnesse	s t ɛ d ə f a s t n ɛ s
stedefastnesse	s t ɛ d f a s t n ɛ s ə
stedefastnesse	s t ɛ d f a s t n ɛ s
steden	s t ɛː d ə n
steden	s t ɛ d ə n
steer	s t eː r
steer	s t øː r
steȝere	s t iː ə r ə
steȝere	s t iː ə r
steȝere	s t eː ə r
steire	s t æ i̯ r ə
steire	s t æ i̯ r
stele	s t eː l ə
stele	s t eː l
stemme	s t ɛ m
stench	s t ɛ n t͡ʃ
stench	s t i n t͡ʃ
stench	s t y n t͡ʃ
stenchen	s t ɛ n t͡ʃ ə n
stenchen	s t i n t͡ʃ ə n
stene	s t ɛ̝ː n ə
stene	s t ɛ̝ː n
stenen	s t ɛ̝ː n ə n
steng	s t ɛ n ɡ
steng	s t eː n ɡ
steng	s t ɛ n d͡ʒ
steng	s t eː n d͡ʒ
steorve	s t œ r v ə
stepbarn	s t ɛ p b a r n
stepchild	s t ɛ p t͡ʃ iː l d
stepdame	s t ɛ p d aː m ə
stepdame	s t ɛ p d aː m
stepdame	s t ɛ p d a m ə
stepdame	s t ɛ p d a m
stepdoghter	s t ɛ p d ɔ x t ə r
stepdoghter	s t ɛ p d ɔ u̯ x t ə r
stepfader	s t ɛ p f a d ə r
stepfader	s t ɛ p f aː d ə r
stepmoder	s t ɛ p m oː d ə r
steppe	s t ɛ p ə
steppe	s t ɛ p
steppe	s t ɛː p ə
steppe	s t ɛː p
steppe	s t a p ə
steppe	s t a p
steppe	s t aː p ə
steppe	s t aː p
steppen	s t ɛ p ə n
steppen	s t a p ə n
steppynge	s t ɛ p i n ɡ ə
steppynge	s t ɛ p i n ɡ
steppynge	s t a p i n ɡ ə
steppynge	s t a p i n ɡ
stepsone	s t ɛ p s u n ə
stepsone	s t ɛ p s u n
stere	s t eː r ə
stere	s t eː r
stere	s t øː r ə
stere	s t øː r
stere	s t eː r ə
stere	s t eː r
stereles	s t eː r ə l ɛ̝ː s
stereles	s t eː r l ɛ̝ː s
stereles	s t eː r ə l ɛ s
stereles	s t eː r l ɛ s
sterne	s t ɛ r n ə
sterne	s t ɛ r n
sterne	s t a r n
sterne	s t eː r n ə
sterne	s t eː r n
sterne	s t ɛː r n ə
sterne	s t ɛː r n
sterne	s t ɛ r n ə
sterne	s t ɛ r n
sterre	s t ɛ r ə
sterre	s t ɛ r
sterre	s t œ r ə
sterre	s t œ r
sterven	s t ɛ r v ə n
steward	s t i u̯ a r d
stiborne	s t i b uː r n
stiborne	s t i b u r n
stiborne	s t u b uː r n
stiche	s t i t͡ʃ ə
stiche	s t i t͡ʃ
stiche	s t i k
stiche	s t eː k
stichen	s t i t͡ʃ ə n
stie	s t iː ə
stie	s t iː
stie	s t e i̯
stie	s t eː
stien	s t iː ə n
stif	s t iː f
stif	s t i f
stiffenes	s t i f n ɛ s
stifly	s t i f l iː
stifly	s t i f l iː t ʃ ə
stifly	s t i f l iː t ʃ
stikke	s t i k ə
stikke	s t i k
stile	s t iː l ə
stile	s t iː l
stile	s t e i̯ l
stile	s t eː l
stile	s t iː l ə
stile	s t iː l
stile	s t i l ə
stile	s t i l
stiren	s t i r ə n
stirop	s t iː r ɔː p
stirop	s t i r ɔ p
stirop	s t ɛ r ɔ p
stith	s t iː θ
stith	s t i θ
stithy	s t i d iː
stithy	s t i ð iː
stode	s t oː d
stode	s t u d
stok	s t ɔ k
stokkynge	s t ɔ k i n ɡ ə
stokkynge	s t ɔ k i n ɡ
stomak	s t u m a k
stomakere	s t u m a k ə r
stomakere	s t u m a t͡ʃ ə r
ston	s t ɔ̝ː n
ston	s t ɑː n
ston	s t aː n
stonden	s t ɔ n d ə n
stonden	s t ɔ̝ː n d ə n
stonden	s t a n d ə n
stonen	s t ɔ̝ː n ə n
stonen	s t ɔ̝ː n ə n
stonen	s t u n ə n
stonen	s t ɔː n ə n
stoneyen	s t u n æ i̯ ə n
stoneyen	s t u n i ə n
Stonhenge	s t ɔ̝ː n h eː n d͡ʒ ə
Stonhenge	s t ɔ̝ː n h eː n d͡ʒ
Stonhenge	s t ɔ̝ː n eː n d͡ʒ ə
Stonhenge	s t ɔ̝ː n eː n d͡ʒ
Stonhenge	s t ɔ n h eː n d͡ʒ ə
Stonhenge	s t ɔ n h eː n d͡ʒ
Stonhenge	s t ɔ n eː n d͡ʒ ə
Stonhenge	s t ɔ n eː n d͡ʒ
Stonhenge	s t ɑː n h eː n d͡ʒ ə
Stonhenge	s t ɑː n h eː n d͡ʒ
Stonhenge	s t ɑː n eː n d͡ʒ ə
Stonhenge	s t ɑː n eː n d͡ʒ
stony	s t ɔ̝ː n iː
stony	s t ɔ n iː
store	s t ɔː r
store	s t oː r
store	s t uː r
store	s t ɔː r
store	s t oː r
storial	s t ɔ r i a l
storial	s t ɔ r i a l
storie	s t ɔ r j ə
storie	s t ɔ r iː ə
storie	s t ɔ r iː
storien	s t ɔ r iː ə n
storien	s t ɔ r i ə n
storier	s t ɔ r iː ə r
storier	s t ɔ r i ə r
storiyng	s t ɔ r iː i n ɡ
storiyng	s t ɔ r i i n ɡ
stork	s t ɔ r k
storm	s t ɔ r m
stormy	s t ɔ r m iː
story	s t ɔ r iː ə
story	s t ɔ r iː
story	s t ɔː r iː ə
story	s t ɔː r iː
stouke	s t uː k ə
stouke	s t uː k
stoupen	s t uː p ə n
stoute	s t uː t
stoute	s t u t
strake	s t r aː k ə
strake	s t r aː k
stranglen	s t r a n ɡ l ə n
straunge	s t r a u̯ n d͡ʒ ə
straunge	s t r a u̯ n d͡ʒ
straunge	s t r aː n d͡ʒ ə
straunge	s t r aː n d͡ʒ
straunge	s t r ɔ n d͡ʒ ə
straunge	s t r ɔ n d͡ʒ
straungely	s t r a u̯ n d͡ʒ ə l iː
straungely	s t r a u̯ n d͡ʒ l iː
straungely	s t r aː n d͡ʒ ə l iː
straungely	s t r aː n d͡ʒ l iː
straungenesse	s t r a u̯ n d͡ʒ ə n ɛ s ə
straungenesse	s t r a u̯ n d͡ʒ ə n ɛ s
straungenesse	s t r a u̯ n d͡ʒ n ɛ s ə
straungenesse	s t r a u̯ n d͡ʒ n ɛ s
straungenesse	s t r aː n d͡ʒ ə n ɛ s ə
straungenesse	s t r aː n d͡ʒ ə n ɛ s
straungenesse	s t r aː n d͡ʒ n ɛ s ə
straungenesse	s t r aː n d͡ʒ n ɛ s
straunger	s t r a u̯ n d͡ʒ eː r
straunger	s t r a u̯ n d͡ʒ ə r
straunger	s t r aː n d͡ʒ ə r
straw	s t r a u̯
straw	s t r ɛ̝ː
straw	s t r eː
straw	s t r ɛ u̯
straw	s t r i u̯
straw	s t r ɔ u̯
strawberie	s t r a u̯ b ɛ r j ə
strawberie	s t r a u̯ b ɛ r iː ə
strawberie	s t r a u̯ b ɛ r iː
strawberie	s t r ɛ̝ː b ɛ r j ə
strawberie	s t r ɛ̝ː b ɛ r iː ə
strawberie	s t r ɛ̝ː b ɛ r iː
strawen	s t r a u̯ ə n
strecchen	s t r ɛ t ʃ ə n
streight	s t r ɛ x t
streight	s t r æ i̯ x t
streit	s t r æ i̯ t
streit	s t r æ i̯ x t
strem	s t r ɛ̝ː m
stremen	s t r ɛː m ə n
stremere	s t r ɛ̞ː m ə r ə
stremere	s t r ɛ̞ː m ə r
streng	s t r eː n d͡ʒ ə
streng	s t r eː n d͡ʒ
streng	s t r i n d͡ʒ ə
streng	s t r i n d͡ʒ
streng	s t r eː n ɡ ə
streng	s t r eː n ɡ
streng	s t r i n ɡ ə
streng	s t r i n ɡ
strengthen	s t r ɛ n k θ ə n
strengthen	s t r ɛ n ɡ ð ə n
strenken	s t r ɛ n k ə n
strete	s t r eː t ə
strete	s t r eː t
strete	s t r ɛ̝ː t ə
strete	s t r ɛ̝ː t
strete	s t r aː t ə
strete	s t r aː t
strewynge	s t r ɛ u̯ i n ɡ ə
strewynge	s t r ɛ u̯ i n ɡ
striden	s t r iː d ə n
striven	s t r iː v ə n
stro	s t r ɔ̝ː
stro	s t r aː
stroberie	s t r ɔ̝ː b ɛ r j ə
stroberie	s t r ɔ̝ː b ɛ r iː ə
stroberie	s t r ɔ̝ː b ɛ r iː
stroberie	s t r aː b eː r iː
stroberie	s t r aː b ɛ r iː
stroke	s t r ɑː k
stroke	s t r ɔː k
stroken	s t r ɑː k j ə n
stroken	s t r ɑː k ə
stroken	s t r ɑː k
stroken	s t r ɔː k ə n
stronde	s t r ɔ n d ə
stronde	s t r ɔ n d
stronde	s t r ɔː n d ə
stronde	s t r ɔː n d
stronde	s t r a n d ə
stronde	s t r a n d
stronde	s t r aː n d ə
stronde	s t r aː n d
strong	s t r ɔ̝ː n ɡ
strong	s t r ɔ n ɡ
strong	s t r oː n ɡ
strong	s t r u n ɡ
strong	s t r a n ɡ
strong	s t r aː n ɡ
stronge	s t r ɔ̝ː n ɡ ə
stronge	s t r ɔ̝ː n ɡ
stronge	s t r ɔ n ɡ ə
stronge	s t r ɔ n ɡ
stronge	s t r oː n ɡ ə
stronge	s t r oː n ɡ
stronge	s t r u n ɡ ə
stronge	s t r u n ɡ
stronge	s t r a n ɡ
stronge	s t r aː n ɡ
stroppe	s t r ɔ p ə
stroppe	s t r ɔ p
stroublen	s t r uː b ə l ə n
stroublen	s t r uː b l ə n
stroublen	s t r u b ə l ə n
stroublen	s t r u b l ə n
strout	s t r uː t
strout	s t r u t
strouten	s t r uː t ə n
strouten	s t r u t ə n
stroutere	s t r uː t ə r ə
stroutere	s t r uː t ə r
stroutere	s t r u t ə r ə
stroutere	s t r u t ə r
stroyen	s t r u i̯ ə n
stroyen	s t r æ i̯ ə n
stryken	s t r iː k ə n
Stryvelyn	s t r i v ə l i n
stucche	s t i t͡ʃ ə
stucche	s t i t͡ʃ
stucche	s t ɛ t͡ʃ ə
stucche	s t ɛ t͡ʃ
stucche	s t u t͡ʃ ə
stucche	s t u t͡ʃ
stucchen	s t i t ʃ ə n
stucchen	s t u t ʃ ə n
studien	s t u d i ə n
studien	s t u d iː ə n
sturdy	s t u r d iː
sturgiun	s t u r d ʒ uː n
sturgiun	s t u r d ʒ oː n
sty	s t iː
stye	s t iː ə
stye	s t iː
stye	s t iː ɣ ə
styng	s t i n ɡ
styng	s t i n d͡ʒ
styng	s t eː n d͡ʒ
styng	s t y n t͡ʃ
styngen	s t i n ɡ ə n
styngen	s t iː n ɡ ə n
styngynge	s t i n ɡ i n ɡ ə
styngynge	s t i n ɡ i n ɡ
stynk	s t i n k
stynken	s t i n k ə n
stynkynge	s t i n k i n ɡ ə
stynkynge	s t i n k i n ɡ
submissioun	s u b m i s j uː n
submissioun	s u b m i s j u n
suet	s i u̯ ɛ t
suffisen	s u f iː s ə n
suffisen	s u f iː z ə n
Suffolk	s u θ f ɔ l k
Suffolk	s u f ɔ l k
suffren	s u f r ə n
sugre	s i u̯ ɡ ə r
sugre	s i u̯ ɡ r ə
sugre	s i u̯ k ə r
sugren	s i u̯ ɡ ə r ə n
sugren	s i u̯ ɡ r ə n
supernatural	s i u̯ p ə r n aː t i u̯ r a l
supernatural	s i u̯ p ə r n aː t i u̯ r ɛ l
supernatural	s i u̯ p ə r n a t i u̯ r a l
supernatural	s i u̯ p ə r n a t i u̯ r ɛ l
supplien	s u p l iː ə n
supposicioun	s u p ɔ z i s j uː n
supposicioun	s u p ɔ z i s j u n
surcote	s u r k ɔ̝ː t ə
surcote	s u r k ɔ̝ː t
surcote	s u r k ɔ t ə
surcote	s u r k ɔ t
surcote	s u r k ə t ə
surcote	s u r k ə t
sure	s ɛ u̯ r
sure	s i u̯ r
sure	s uː r
surely	s ɛ u̯ r l iː
surely	s i u̯ r l iː
surely	s uː r l iː
surement	s i u̯ r ə m ɛ n t
surement	s i u̯ r m ɛ n t
surement	s i u̯ r ə m ɛ n t
surement	s i u̯ r m ɛ n t
suren	s i u̯ r ə n
suren	s ɛ u̯ r ə n
surenes	s i u̯ r n ɛ s
surete	s i u̯ r ə t eː
surete	s i u̯ r t eː
surete	s ɛ u̯ r ə t eː
surete	s ɛ u̯ r t eː
surete	s uː r ə t eː
surete	s uː r t eː
surgerie	s u r d ʒ ɛ r iː ə
surgerie	s u r d ʒ ɛ r iː
surgerie	s u r d ʒ iː ə
surgerie	s u r d ʒ iː
surgien	s u r d ʒ i ɛ n
surgien	s u r d ʒ i ə n
surgien	s u r d ʒ i n
surmounten	s u r m uː n t ə n
surmounten	s u r m u n t ə n
surname	s u r n aː m ə
surname	s u r n aː m
surname	s i r n aː m ə
surname	s i r n aː m
surnape	s u r n aː p ə
surnape	s u r n aː p
surnape	s u r n a p ə
surnape	s u r n a p
surnoun	s u r n uː n
surnoun	s u r n u n
surplys	s u r p l iː s
surplys	s u r p l i s
survewe	s u r v i u̯ ə
survewe	s u r v i u̯
surveyen	s u r v æ i̯ ə n
surveyour	s u r v æ i̯ uː r
surveyour	s u r v æ i̯ u r
surveyour	s u r v i u r
suster	s u s t ə r
suster	s i s t ə r
suster	s w u s t ə r
suster	z u s t ə r
suster	z i s t ə r
susterhede	s u s t ə r h ɛː d
